Orthogroup	Dufourea_novaeangliae	Ceratina_calcarata
OG0000973	XP_015434681.1	XP_017881151.1
OG0000974	XP_015430129.1	XP_026675013.1
OG0000975	XP_015428614.1, XP_015428615.1, XP_015428616.1	XP_017890279.1
OG0000976	XP_015434110.1, XP_015434107.1, XP_015434108.1	XP_017884640.1, XP_017884639.1
OG0000977	XP_015439176.1	XP_017882215.1
OG0000978	XP_015428804.1	XP_026670440.1, XP_026670439.1, XP_026670441.1, XP_017882221.1
OG0000979	XP_015437934.1	XP_026670777.1, XP_017882917.1
OG0000980	XP_015433137.1	XP_026666956.1
OG0000981	XP_015432807.1	XP_026674661.1
OG0000983	XP_015431830.1	XP_026673201.1
OG0000984	XP_015438431.1	XP_026667240.1
OG0000985	XP_015440453.1	XP_017878954.1, XP_017878943.1
OG0000986	XP_015429672.1, XP_015429671.1	XP_017875899.1
OG0000987	XP_015432729.1	XP_017880171.1, XP_017880169.1
OG0000988	XP_015436724.1	XP_017893041.1
OG0000989	XP_015440300.1	XP_017881316.1, XP_017881317.1, XP_017881314.1, XP_017881315.1
OG0000990	XP_015437501.1	XP_017888873.1, XP_026673739.1
OG0000991	XP_015437220.1	XP_017890910.1
OG0000992	XP_015439344.1	XP_017886511.2
OG0000993	XP_015437651.1	XP_017875660.1, XP_017875659.1
OG0000994	XP_015429117.1	XP_026675119.1
OG0000995	XP_015436761.1	XP_017888643.1
OG0000996	XP_015429723.1	XP_017892888.1
OG0000997	XP_015435121.1, XP_015435123.1, XP_015435122.1	XP_017893182.1
OG0000998	XP_015433845.1	XP_017892522.1
OG0000999	XP_015438534.1	XP_017886560.1
OG0001000	XP_015439820.1	XP_017890150.1
OG0001001	XP_015434488.1	XP_017887717.1, XP_026673045.1
OG0001002	XP_015433801.1, XP_015433802.1	XP_017887748.1, XP_017887747.1
OG0001003	XP_015439529.1	XP_017875624.1
OG0001004	XP_015438645.1	XP_017886825.1
OG0001005	XP_015438852.1	XP_017878403.1
OG0001006	XP_015431177.1	XP_017880034.1
OG0001007	XP_015435143.1	XP_017885489.2, XP_026672126.1, XP_017878082.2, XP_017876336.1, XP_017893147.2, XP_026672146.1, XP_026671946.1, XP_026672145.1, XP_017888250.2
OG0001008	XP_015429452.1, XP_015429453.1	XP_017884417.1
OG0001009	XP_015431129.1	XP_017891497.1
OG0001010	XP_015430005.1, XP_015430006.1	XP_017887555.1, XP_026673052.1
OG0001011	XP_015437146.1	XP_026671202.1
OG0001012	XP_015435120.1	XP_017891083.1
OG0001013	XP_015439831.1	XP_017890164.1, XP_017890162.1, XP_017890163.1, XP_026674321.1
OG0001014	XP_015428428.1	XP_017890676.1
OG0001015	XP_015431848.1	XP_017876752.1, XP_026667755.1, XP_026667754.1, XP_026667753.1, XP_017876341.1
OG0001016	XP_015434502.1	XP_026675468.1, XP_026675469.1
OG0001017	XP_015432625.1	XP_017875801.1
OG0001018	XP_015431398.1	XP_017876594.1
OG0001019	XP_015429597.1	XP_017886719.1
OG0001020	XP_015434645.1	XP_017879902.1
OG0001021	XP_015431748.1, XP_015431754.1, XP_015431763.1, XP_015431771.1, XP_015431740.1	XP_017892800.1
OG0001023	XP_015438110.1, XP_015438037.1, XP_015435706.1, XP_015440401.1	XP_017882371.1, XP_017892292.1
OG0001026	XP_015436868.1, XP_015436859.1	XP_017887715.1, XP_026673144.1, XP_026673143.1
OG0001027	XP_015438132.1	XP_026667264.1
OG0001030	XP_015431171.1	XP_017891965.1, XP_017891962.1, XP_017891963.1
OG0001031	XP_015434048.1	XP_026669092.1, XP_026669091.1
OG0001032	XP_015431651.1	XP_017883617.2, XP_026671280.1
OG0001033	XP_015428536.1	XP_017884931.1, XP_017884941.1
OG0001034	XP_015436372.1, XP_015436373.1	XP_017877433.1, XP_017885659.1, XP_017877434.1, XP_017877431.1, XP_017877430.1
OG0001035	XP_015434509.1	XP_017883236.2, XP_017883240.1
OG0001036	XP_015439665.1	XP_026670773.1, XP_017882988.1, XP_026670781.1, XP_017882986.1
OG0001037	XP_015434082.1	XP_026671763.1, XP_017884604.1
OG0001038	XP_015439559.1	XP_017881699.1
OG0001039	XP_015435231.1	XP_017890947.1, XP_017890949.1
OG0001040	XP_015435498.1	XP_026672454.1, XP_026672451.1
OG0001041	XP_015429442.1	XP_026666465.1, XP_026666463.1, XP_026666462.1, XP_017892894.1
OG0001042	XP_015428407.1	XP_026673450.1
OG0001043	XP_015431136.1	XP_017879640.1
OG0001044	XP_015436515.1	XP_017879066.1
OG0001045	XP_015428770.1	XP_017879047.1
OG0001046	XP_015432630.1	XP_017891820.1, XP_026675191.1
OG0001047	XP_015435515.1	XP_017878705.1, XP_017878704.1
OG0001048	XP_015434560.1	XP_026666876.1
OG0001049	XP_015437802.1	XP_017880011.1
OG0001050	XP_015428931.1, XP_015428930.1, XP_015428932.1	XP_017891911.1
OG0001051	XP_015435729.1, XP_015431439.1	XP_026667306.1
OG0001052	XP_015436339.1	XP_017892823.1, XP_017892824.1
OG0001053	XP_015432401.1	XP_017891851.1, XP_026675172.1
OG0001054	XP_015435185.1	XP_017885186.1, XP_017885187.1
OG0001055	XP_015429932.1	XP_017892301.1, XP_017879157.1, XP_017888730.2, XP_017885269.1
OG0001056	XP_015429268.1	XP_017893360.1
OG0001057	XP_015432626.1	XP_017888633.1
OG0001058	XP_015439247.1	XP_017882141.1, XP_017882142.1
OG0001059	XP_015436795.1	XP_017890411.1
OG0001060	XP_015432104.1	XP_017880108.2
OG0001061	XP_015439286.1	XP_017885787.1, XP_017885788.1, XP_026672226.1, XP_017885790.1, XP_026672225.1, XP_017885786.1
OG0001062	XP_015439795.1	XP_017890226.1
OG0001063	XP_015435354.1	XP_017883973.1
OG0001064	XP_015432842.1	XP_026667351.1, XP_026667352.1, XP_017875945.1, XP_026667350.1, XP_017875946.1
OG0001065	XP_015435269.1	XP_026673198.1, XP_026673199.1, XP_026673200.1, XP_017887788.1
OG0001066	XP_015436696.1	XP_017879502.1, XP_017879503.1
OG0001067	XP_015430324.1	XP_017877182.1
OG0001068	XP_015430264.1	XP_026671161.1
OG0001069	XP_015432377.1	XP_017891834.1
OG0001070	XP_015431194.1	XP_026669127.1, XP_017879703.1
OG0001072	XP_015431102.1	XP_026670299.1
OG0001073	XP_015435544.1	XP_017879404.2, XP_026675514.1, XP_017888046.2, XP_026673303.1
OG0001074	XP_015429716.1, XP_015429715.1	XP_017883349.1, XP_017883348.1
OG0001075	XP_015430692.1, XP_015430693.1	XP_017885525.1
OG0001076	XP_015429439.1	XP_017892911.1
OG0001077	XP_015431180.1	XP_017881299.1
OG0001078	XP_015431834.1	XP_017886614.1
OG0001079	XP_015432669.1	XP_017875360.1
OG0001079	XP_015428418.1	XP_026671953.1
OG0001080	XP_015429544.1	XP_017877358.1
OG0001081	XP_015431491.1, XP_015431490.1	XP_017880740.1
OG0001082	XP_015433362.1	XP_017883034.1
OG0001083	XP_015429221.1	XP_026675374.1
OG0001084	XP_015434186.1	XP_017888072.1
OG0001085	XP_015428636.1	XP_017891928.1, XP_017891930.1
OG0001086	XP_015431605.1, XP_015431603.1	XP_017880350.1
OG0001087	XP_015435127.1	XP_017891039.1
OG0001088	XP_015438782.1	XP_017877090.1, XP_017877089.1
OG0001089	XP_015434448.1	XP_026669042.1, XP_026669012.1
OG0001090	XP_015436290.1	XP_017881591.1
OG0001091	XP_015439786.1	XP_017891803.1, XP_026675136.1
OG0001093	XP_015439125.1	XP_026672911.1
OG0001094	XP_015434733.1	XP_017888492.1, XP_017888491.1
OG0001095	XP_015435669.1	XP_026669849.1
OG0001096	XP_015438154.1	XP_026669917.1, XP_017881348.1
OG0001097	XP_015437058.1, XP_015437059.1	XP_026670981.1, XP_017883340.1
OG0001098	XP_015433455.1	XP_017877082.1
OG0001099	XP_015435899.1	XP_017880606.1
OG0001100	XP_015432557.1	XP_017882444.1
OG0001101	XP_015436632.1	XP_017886223.1, XP_017883955.1, XP_017883953.1, XP_017883954.1
OG0001102	XP_015431954.1	XP_026669273.1, XP_026669275.1, XP_026669277.1
OG0001103	XP_015431293.1	XP_026667634.1, XP_026667626.1, XP_026667629.1
OG0001104	XP_015437515.1	XP_017876029.1
OG0001105	XP_015439845.1	XP_017883121.1
OG0001106	XP_015434451.1, XP_015434452.1	XP_017887918.1
OG0001107	XP_015435691.1	XP_026675544.1
OG0001108	XP_015434206.1	XP_026671747.1
OG0001109	XP_015440516.1	XP_017878408.1, XP_017878409.1, XP_017878407.1, XP_017878406.1
OG0001110	XP_015438842.1	XP_017881106.1, XP_017881107.1, XP_017881105.1
OG0001111	XP_015437315.1	XP_017878432.1
OG0001112	XP_015437320.1	XP_026668656.1
OG0001113	XP_015437543.1, XP_015437555.1	XP_026670613.1
OG0001114	XP_015436130.1	XP_026668091.1, XP_017877511.1
OG0001115	XP_015433316.1	XP_026671175.1
OG0001116	XP_015434310.1	XP_017875282.1
OG0001117	XP_015429969.1	XP_017887979.1
OG0001118	XP_015435006.1	XP_017878216.1
OG0001119	XP_015435019.1	XP_017879362.1
OG0001120	XP_015432736.1, XP_015432728.1, XP_015432745.1	XP_017884005.1
OG0001121	XP_015438569.1	XP_017876719.1, XP_017876718.1
OG0001122	XP_015437606.1	XP_017878842.1
OG0001123	XP_015430049.1	XP_017885255.1
OG0001124	XP_015432038.1	XP_017880270.1
OG0001125	XP_015438188.1	XP_017875134.1, XP_017875126.1
OG0001126	XP_015437573.1	XP_026672346.1, XP_017885838.1
OG0001127	XP_015440224.1	XP_017879604.1
OG0001128	XP_015432674.1	XP_017886867.1
OG0001129	XP_015437281.1	XP_017886238.1
OG0001130	XP_015432945.1	XP_017889163.1
OG0001131	XP_015429602.1, XP_015429443.1	XP_026673904.1, XP_026670639.1, XP_026673902.1
OG0001132	XP_015429876.1	XP_026675278.1, XP_017892087.1
OG0001133	XP_015428809.1	XP_026668840.1, XP_017878934.1, XP_017878936.1, XP_017878935.1
OG0001134	XP_015440066.1	XP_017883513.1, XP_026671069.1, XP_026671070.1, XP_026671071.1
OG0001136	XP_015429157.1	XP_017886624.1
OG0001137	XP_015437597.1	XP_026675072.1, XP_026675076.1
OG0001138	XP_015439805.1	XP_026670874.1, XP_017883156.1
OG0001140	XP_015437235.1, XP_015437232.1	XP_017880274.1
OG0001141	XP_015432604.1	XP_017888519.1
OG0001142	XP_015433899.1	XP_017892467.1
OG0001143	XP_015430912.1	XP_017888896.1, XP_017888897.1, XP_017888898.1, XP_026673687.1, XP_017888895.1
OG0001144	XP_015436211.1	XP_017881313.1
OG0001145	XP_015438506.1	XP_017883857.1, XP_017883856.1
OG0001146	XP_015438471.1	XP_017886568.1
OG0001147	XP_015435577.1	XP_017876290.1
OG0001148	XP_015434208.1	XP_017888068.1
OG0001149	XP_015432473.1	XP_017886333.1, XP_017886334.1, XP_026672516.1
OG0001150	XP_015430348.1, XP_015430346.1, XP_015430347.1	XP_017890670.1, XP_017890668.1, XP_017890669.1
OG0001151	XP_015435267.1	XP_026673420.1
OG0001152	XP_015438218.1	XP_017891829.1
OG0001153	XP_015434941.1	XP_026668983.1, XP_017879315.1
OG0001154	XP_015431855.1	XP_017884127.1, XP_017884118.1
OG0001155	XP_015430067.1	XP_017892370.1
OG0001156	XP_015430746.1	XP_026668532.1
OG0001157	XP_015435398.1	XP_017888208.1
OG0001158	XP_015440318.1	XP_026672188.1, XP_017885718.1
OG0001159	XP_015439291.1	XP_017892031.1
OG0001160	XP_015440127.1	XP_017883520.1, XP_017883519.1
OG0001161	XP_015440380.1	XP_017881615.1, XP_017881614.1, XP_017881613.1
OG0001162	XP_015438066.1	XP_026671892.1, XP_026671891.1, XP_026671890.1, XP_026671895.1, XP_026671893.1, XP_026671894.1
OG0001163	XP_015429973.1	XP_017885855.1
OG0001165	XP_015429949.1	XP_017887871.1
OG0001166	XP_015435997.1	XP_017889444.1
OG0001167	XP_015434504.1	XP_017885155.1, XP_026671985.1
OG0001168	XP_015434431.1	XP_017874995.1
OG0001169	XP_015430405.1	XP_026675580.1
OG0001169	XP_015430502.1, XP_015430500.1	XP_026675574.1
OG0001170	XP_015437879.1	XP_026666630.1
OG0001171	XP_015438053.1	XP_017878550.1
OG0001172	XP_015433288.1	XP_026670220.1
OG0001173	XP_015433222.1	XP_017882367.1, XP_017882368.1
OG0001174	XP_015436410.1	XP_026674410.1
OG0001175	XP_015436133.1	XP_017885371.1
OG0001176	XP_015431054.1	XP_026670242.1
OG0001178	XP_015429764.1	XP_026673531.1, XP_026673533.1, XP_026673532.1, XP_017888510.1
OG0001179	XP_015431083.1	XP_026675245.1
OG0001180	XP_015436053.1	XP_017878360.1
OG0001181	XP_015433425.1	XP_017882130.1
OG0001182	XP_015437037.1	XP_017880391.1
OG0001183	XP_015437316.1	XP_017890544.1
OG0001184	XP_015436194.1	XP_017881391.1
OG0001185	XP_015428698.1	XP_026671514.1
OG0001186	XP_015437030.1	XP_026675650.1, XP_026675649.1
OG0001187	XP_015440537.1	XP_017877619.1
OG0001188	XP_015437362.1	XP_017879030.1
OG0001189	XP_015429985.1	XP_026669485.1, XP_026669486.1, XP_026669487.1, XP_017880443.1
OG0001190	XP_015437349.1	XP_026669253.1, XP_017879996.1, XP_026669256.1, XP_026669254.1, XP_026669255.1
OG0001191	XP_015432296.1	XP_026666804.1
OG0001191	XP_015432295.1	XP_026666810.1
OG0001192	XP_015438932.1	XP_026671655.1, XP_026671650.1
OG0001193	XP_015439100.1	XP_017888127.1
OG0001194	XP_015434083.1	XP_026671861.1, XP_026671863.1, XP_026671862.1, XP_017884638.1
OG0001195	XP_015432426.1	XP_017889504.1
OG0001196	XP_015440292.1	XP_017882882.1
OG0001197	XP_015428838.1, XP_015428839.1, XP_015428837.1	XP_017882789.1, XP_017882787.1
OG0001198	XP_015430886.1	XP_017888741.1, XP_026673698.1
OG0001199	XP_015438630.1	XP_017890964.1, XP_017890962.1, XP_017890966.1, XP_017890965.1, XP_017890967.1, XP_017890969.1, XP_026674685.1, XP_017890961.1
OG0001200	XP_015439945.1	XP_017883155.1
OG0001201	XP_015429634.1	XP_017890647.1, XP_017883228.1, XP_017883229.1
OG0001201	XP_015429546.1	XP_026670908.1, XP_017883230.1
OG0001202	XP_015432021.1	XP_017891267.2
OG0001203	XP_015431412.1	XP_017876530.2
OG0001204	XP_015440511.1	XP_017878619.1
OG0001205	XP_015434149.1	XP_017884815.1
OG0001206	XP_015438225.1, XP_015438224.1, XP_015438222.1	XP_017885842.1
OG0001207	XP_015431984.1	XP_017879182.1
OG0001208	XP_015435944.1, XP_015435945.1	XP_017886567.1, XP_017886558.1
OG0001209	XP_015431513.1	XP_017882487.1
OG0001210	XP_015440056.1	XP_017890089.1
OG0001211	XP_015435715.1	XP_017876952.1, XP_017876951.1, XP_017876954.1, XP_017876953.1
OG0001212	XP_015435255.1	XP_017888226.1, XP_026673403.1
OG0001213	XP_015433835.1	XP_017889286.1
OG0001214	XP_015436514.1	XP_017879068.1
OG0001215	XP_015432684.1, XP_015432683.1	XP_017880146.1
OG0001216	XP_015432515.1	XP_017889583.1
OG0001217	XP_015437014.1	XP_026675653.1, XP_017892921.1, XP_017892924.1, XP_026675652.1, XP_026675654.1, XP_017892925.1, XP_026675655.1
OG0001218	XP_015428929.1	XP_017882124.1
OG0001219	XP_015430581.1	XP_017876353.1
OG0001219	XP_015437086.1	XP_017876352.1, XP_026667536.1
OG0001220	XP_015435893.1	XP_017880975.1
OG0001221	XP_015430267.1, XP_015430268.1	XP_017889996.1
OG0001222	XP_015433495.1	XP_017881412.1, XP_026669973.1
OG0001223	XP_015434417.1	XP_026673331.1, XP_026673282.1
OG0001224	XP_015439215.1	XP_017882283.1
OG0001225	XP_015438565.1	XP_017890803.1, XP_017890802.1, XP_017890801.1, XP_026674660.1
OG0001226	XP_015437768.1	XP_017878487.1, XP_017878486.1
OG0001227	XP_015437973.1	XP_026674120.1, XP_017889532.1
OG0001228	XP_015437978.1	XP_017889956.1, XP_026674122.1, XP_017889955.1
OG0001229	XP_015432937.1	XP_017889131.1
OG0001230	XP_015429087.1	XP_026674450.1
OG0001231	XP_015440157.1	XP_026674508.1, XP_017890510.1
OG0001232	XP_015429489.1, XP_015433726.1	XP_017887663.1, XP_017887655.1, XP_026674840.1, XP_026667909.1, XP_026673848.1
OG0001233	XP_015434162.1	XP_026671692.1
OG0001235	XP_015437266.1	XP_017882805.2
OG0001236	XP_015429993.1	XP_026673231.1
OG0001237	XP_015438379.1	XP_026671485.1, XP_026675134.1, XP_017877133.1, XP_026671900.1, XP_026672991.1, XP_026670667.1, XP_017887403.1, XP_017877815.1, XP_017890372.1, XP_017875915.1, XP_017881335.1, XP_017881334.1, XP_026666668.1, XP_017893066.1, XP_026673473.1, XP_026672775.1, XP_026670680.1
OG0001238	XP_015437903.1	XP_017885361.1
OG0001240	XP_015440302.1	XP_017885185.1
OG0001241	XP_015435134.1	XP_017893259.1
OG0001242	XP_015435375.1	XP_017881024.1
OG0001243	XP_015436158.1	XP_017887355.1, XP_026672942.1
OG0001244	XP_015437469.1	XP_017888862.1, XP_017888861.1
OG0001245	XP_015431112.1	XP_017875158.1
OG0001246	XP_015437687.1	XP_026672892.1
OG0001247	XP_015434371.1	XP_017886094.1
OG0001248	XP_015435368.1	XP_026673419.1
OG0001249	XP_015439179.1	XP_026670258.1, XP_026670259.1, XP_017882210.1
OG0001250	XP_015434459.1	XP_026667268.1
OG0001251	XP_015435615.1	XP_017877146.1, XP_017889622.1
OG0001252	XP_015428527.1	XP_017886197.1
OG0001253	XP_015439861.1	XP_017883091.1
OG0001254	XP_015430648.1	XP_017877914.1
OG0001255	XP_015439177.1	XP_017884891.2
OG0001256	XP_015428686.1	XP_026668846.1, XP_026671320.1
OG0001257	XP_015429648.1	XP_026674924.1, XP_017891390.1
OG0001258	XP_015438829.1	XP_026667819.1, XP_017876389.1, XP_026667810.1, XP_026667813.1
OG0001259	XP_015438836.1	XP_017878459.1
OG0001259	XP_015440254.1	XP_017890136.1
OG0001260	XP_015432510.1	XP_017889933.1
OG0001261	XP_015439186.1	XP_017882310.1
OG0001262	XP_015439418.1	XP_017892764.1
OG0001263	XP_015436335.1	XP_017883786.2, XP_026672616.1
OG0001264	XP_015436322.1	XP_017882274.1
OG0001265	XP_015435528.1	XP_017886274.1
OG0001266	XP_015432920.1	XP_017876093.1
OG0001267	XP_015437088.1	XP_017887580.1
OG0001268	XP_015438004.1	XP_017885950.1, XP_026672347.1
OG0001269	XP_015431190.1, XP_015431189.1	XP_026670810.1
OG0001270	XP_015434106.1	XP_017884797.1
OG0001271	XP_015431722.1	XP_026668701.1, XP_017878786.1
OG0001272	XP_015429455.1	XP_017884423.1, XP_017884422.1
OG0001273	XP_015434176.1	XP_017884705.1
OG0001274	XP_015440075.1	XP_017879513.1, XP_026669075.1
OG0001275	XP_015440525.1	XP_017884428.1
OG0001276	XP_015439008.1	XP_017884457.1
OG0001277	XP_015431755.1	XP_017878709.1, XP_017878710.1
OG0001278	XP_015436702.1	XP_017884488.1, XP_017884486.1, XP_026671579.1, XP_026671580.1
OG0001279	XP_015430368.1	XP_017886726.1
OG0001280	XP_015430157.1	XP_017893237.1
OG0001282	XP_015431867.1	XP_017892670.1
OG0001283	XP_015429220.1	XP_017879538.1
OG0001284	XP_015433855.1	XP_017882726.1
OG0001285	XP_015437208.1	XP_017885291.1, XP_017885292.1, XP_026672009.1
OG0001286	XP_015438419.1	XP_017876633.1
OG0001287	XP_015430183.1	XP_026674226.1
OG0001288	XP_015433211.1	XP_017889378.1, XP_017889377.1
OG0001289	XP_015431205.1	XP_026670949.1
OG0001291	XP_015437759.1	XP_017890613.1
OG0001292	XP_015437335.1	XP_017879970.1
OG0001293	XP_015435941.1	XP_017880681.1
OG0001294	XP_015439893.1	XP_017879595.1
OG0001295	XP_015433718.1	XP_026668753.1
OG0001296	XP_015431549.1	XP_017885920.1
OG0001297	XP_015430294.1	XP_017882614.1
OG0001298	XP_015434462.1	XP_026672593.1, XP_017875559.1
OG0001300	XP_015430393.1	XP_017889991.1, XP_017889986.1
OG0001301	XP_015432385.1	XP_017890298.1
OG0001303	XP_015438098.1	XP_017881542.1, XP_017881540.1, XP_017881543.1
OG0001304	XP_015439454.1	XP_017883216.1, XP_017883220.1
OG0001305	XP_015435976.1	XP_017875666.1
OG0001306	XP_015432476.1	XP_017889806.1, XP_017889808.1
OG0001307	XP_015439461.1, XP_015439460.1	XP_017886465.1
OG0001308	XP_015430558.1, XP_015430566.1	XP_017882687.1
OG0001309	XP_015435922.1, XP_015435923.1, XP_015435919.1	XP_026672398.1
OG0001310	XP_015435957.1	XP_017887230.1
OG0001311	XP_015431473.1	XP_017882319.1
OG0001312	XP_015429130.1	XP_017892804.1, XP_017892803.1
OG0001313	XP_015438763.1	XP_017877029.1, XP_017877030.1, XP_017877031.1, XP_017877034.1, XP_017877033.1, XP_026667884.1
OG0001314	XP_015436147.1, XP_015436148.1	XP_017889586.1, XP_017889585.1
OG0001315	XP_015439859.1	XP_017891773.1
OG0001316	XP_015436787.1	XP_017875605.1, XP_017875614.1
OG0001317	XP_015436789.1	XP_026671535.1
OG0001318	XP_015439370.1	XP_017887831.1
OG0001320	XP_015436856.1	XP_017881224.1
OG0001321	XP_015439637.1	XP_026670676.1, XP_017882678.1
OG0001322	XP_015434158.1	XP_017884563.1, XP_017884565.1
OG0001323	XP_015433459.1	XP_017877083.1
OG0001324	XP_015432526.1, XP_015432594.1	XP_026667276.1
OG0001325	XP_015434909.1	XP_017883265.1
OG0001327	XP_015432502.1	XP_017889498.1
OG0001328	XP_015434901.1	XP_017878108.1, XP_026668425.1
OG0001329	XP_015435921.1	XP_017877509.1
OG0001330	XP_015431980.1, XP_015431978.1	XP_017892743.1, XP_017892744.1
OG0001331	XP_015433385.1	XP_017891758.1
OG0001332	XP_015436610.1	XP_017892875.1
OG0001333	XP_015436553.1	XP_017887492.1
OG0001335	XP_015430937.1, XP_015430936.1	XP_017880996.1
OG0001336	XP_015439133.1	XP_017884436.1, XP_017884437.1
OG0001337	XP_015436665.1	XP_017893546.1
OG0001338	XP_015432133.1	XP_017890682.1
OG0001339	XP_015438670.1	XP_017880134.1
OG0001340	XP_015437075.1	XP_017888159.1
OG0001341	XP_015440411.1	XP_017886580.1, XP_017886581.1
OG0001342	XP_015436581.1	XP_026668990.1, XP_026668988.1
OG0001343	XP_015439577.1	XP_017892013.1
OG0001344	XP_015438803.1	XP_017881108.1, XP_026669832.1, XP_026669833.1
OG0001345	XP_015437725.1	XP_017890494.1
OG0001346	XP_015437409.1	XP_026674518.1
OG0001347	XP_015430488.1	XP_017876183.1, XP_017877305.1
OG0001348	XP_015432217.1	XP_017875367.1, XP_017875368.1
OG0001349	XP_015436237.1, XP_015436235.1	XP_026666763.1, XP_026666764.1
OG0001350	XP_015439664.1	XP_017890564.1
OG0001351	XP_015438160.1	XP_017887910.1
OG0001352	XP_015433773.1	XP_017880041.1, XP_017880042.1
OG0001353	XP_015428968.1	XP_026675098.1, XP_026675104.1
OG0001354	XP_015434492.1, XP_015434493.1	XP_026675472.1, XP_026675471.1, XP_017892348.1, XP_017892346.1
OG0001355	XP_015433405.1	XP_017887127.1
OG0001356	XP_015428826.1	XP_017888854.1
OG0001357	XP_015429824.1	XP_017887873.1
OG0001358	XP_015436717.1	XP_017885195.1
OG0001359	XP_015437911.1	XP_017885191.1
OG0001360	XP_015433967.1	XP_026671394.1, XP_017884202.1
OG0001361	XP_015431888.1	XP_017884012.1
OG0001362	XP_015430773.1	XP_017877884.1, XP_026668381.1
OG0001363	XP_015430838.1	XP_017877958.1, XP_026668382.1
OG0001364	XP_015430776.1	XP_017877860.1
OG0001365	XP_015433820.1	XP_017893681.1, XP_017893682.1, XP_026666873.1
OG0001366	XP_015434223.1	XP_026670093.1, XP_017881638.1
OG0001367	XP_015428446.1	XP_017880248.1
OG0001368	XP_015437442.1	XP_017892431.1
OG0001370	XP_015430054.1, XP_015430056.1, XP_015430051.1, XP_015430053.1, XP_015430052.1, XP_015430055.1	XP_017887642.1
OG0001371	XP_015440199.1, XP_015440200.1	XP_026670825.1
OG0001372	XP_015435449.1, XP_015435448.1, XP_015435447.1	XP_026670972.1, XP_026670971.1, XP_017883353.1
OG0001374	XP_015435265.1	XP_026673393.1
OG0001375	XP_015432546.1	XP_017878366.2, XP_026671884.1
OG0001376	XP_015435700.1, XP_015435701.1	XP_017881950.1, XP_017881949.1
OG0001377	XP_015430092.1	XP_026667052.1
OG0001378	XP_015430136.1	XP_017889552.1
OG0001379	XP_015436846.1	XP_017876136.1
OG0001380	XP_015431248.1	XP_017892267.1, XP_026675333.1, XP_017892269.1
OG0001381	XP_015438784.1, XP_015438551.1	XP_017885162.1
OG0001383	XP_015433341.1	XP_026670897.1, XP_017883111.1
OG0001384	XP_015439292.1	XP_017893537.1
OG0001385	XP_015434229.1	XP_017880863.1
OG0001386	XP_015435380.1, XP_015435379.1	XP_017879986.1
OG0001387	XP_015434278.1	XP_017875270.1, XP_017875271.2
OG0001388	XP_015436964.1, XP_015436963.1	XP_017881774.1
OG0001389	XP_015437627.1	XP_026667280.1, XP_026667282.1, XP_026667281.1, XP_017875828.1
OG0001390	XP_015436778.1	XP_026666529.1, XP_017893035.1
OG0001391	XP_015438236.1	XP_017885227.1
OG0001392	XP_015435673.1, XP_015435671.1	XP_017887352.1, XP_017887351.1, XP_017887354.1
OG0001393	XP_015437265.1	XP_017882806.1
OG0001394	XP_015430114.1	XP_017884288.1
OG0001395	XP_015436151.1	XP_017878328.1, XP_017878327.1
OG0001396	XP_015436125.1	XP_017881294.1, XP_017881292.1
OG0001397	XP_015435557.1	XP_017886254.1, XP_026667998.1, XP_017877327.1
OG0001398	XP_015432269.1	XP_026670200.1, XP_017888366.1
OG0001400	XP_015434630.1	XP_026669781.1, XP_017880993.2
OG0001401	XP_015430204.1	XP_017884489.2
OG0001402	XP_015437928.1	XP_017889400.1
OG0001403	XP_015429918.1	XP_017887732.1, XP_017887731.1
OG0001404	XP_015435627.1	XP_026674165.1, XP_017889593.1
OG0001405	XP_015430299.1	XP_017882566.1, XP_017882565.1
OG0001406	XP_015429365.1	XP_026672855.1, XP_026672844.1
OG0001407	XP_015435016.1, XP_015434945.1	XP_026668954.1
OG0001408	XP_015432211.1	XP_026674532.1, XP_017889988.1, XP_017889998.1, XP_026674542.1
OG0001409	XP_015429751.1	XP_026670647.1, XP_017882635.1
OG0001410	XP_015429851.1	XP_017885940.1, XP_026672302.1
OG0001411	XP_015435947.1	XP_026669686.1
OG0001412	XP_015429350.1	XP_017887263.1, XP_026672922.1, XP_026672921.1
OG0001413	XP_015428598.1	XP_017890368.1
OG0001414	XP_015431526.1	XP_017886853.1
OG0001415	XP_015429376.1	XP_017887035.1, XP_017888579.1
OG0001416	XP_015429379.1	XP_026672865.1
OG0001417	XP_015432876.1	XP_017881618.1
OG0001418	XP_015435816.1	XP_026670469.1
OG0001419	XP_015434084.1	XP_017893531.1
OG0001421	XP_015431690.1	XP_017878076.1
OG0001422	XP_015431712.1	XP_017877894.1
OG0001423	XP_015431790.1	XP_017878767.1
OG0001424	XP_015431729.1	XP_017888704.1
OG0001425	XP_015440416.1	XP_026666742.1, XP_026666721.1
OG0001426	XP_015440230.1	XP_017883103.1
OG0001426	XP_015439771.1	XP_017876432.1
OG0001427	XP_015433343.1, XP_015433344.1	XP_017883045.1, XP_017883046.1, XP_026670881.1
OG0001428	XP_015439701.1	XP_026667473.1
OG0001429	XP_015433251.1, XP_015433249.1, XP_015433250.1	XP_026674350.1
OG0001430	XP_015439975.1	XP_026674346.1, XP_017890244.1
OG0001431	XP_015434643.1	XP_026666889.1
OG0001432	XP_015429823.1	XP_017876323.1
OG0001433	XP_015433560.1	XP_017877554.1, XP_026668158.1
