Orthogroup	Dufourea_novaeangliae	Nomia_melanderi
OG0001966	XP_015437177.1	XP_031846795.1
OG0001967	XP_015439348.1	XP_031847449.1, XP_031847451.1
OG0001968	XP_015436563.1	XP_031828968.1
OG0001969	XP_015430896.1	XP_031828821.1
OG0001970	XP_015431069.1	XP_031834770.1
OG0001970	XP_015431056.1	XP_031834615.1
OG0001971	XP_015439271.1, XP_015429309.1	XP_031836779.1
OG0001972	XP_015437329.1	XP_031835372.1, XP_031835371.1
OG0001973	XP_015433355.1	XP_031833666.1
OG0001974	XP_015438185.1	XP_031827900.1, XP_031827901.1
OG0001975	XP_015437205.1	XP_031848652.1
OG0001976	XP_015435395.1	XP_031847146.1, XP_031847147.1
OG0001977	XP_015429374.1	XP_031848434.1
OG0001978	XP_015431745.1	XP_031834506.1
OG0001979	XP_015429898.1	XP_031846759.1
OG0001980	XP_015430043.1, XP_015430039.1	XP_031846782.1
OG0001981	XP_015435206.1	XP_031826501.1
OG0001982	XP_015439244.1	XP_031836944.1
OG0001983	XP_015434916.1, XP_015434915.1	XP_031844808.1, XP_031844807.1
OG0001984	XP_015429701.1	XP_031848655.1
OG0001985	XP_015430284.1	XP_031826881.1
OG0001986	XP_015430279.1	XP_031826866.1
OG0001987	XP_015430350.1	XP_031827227.1
OG0001988	XP_015430269.1, XP_015430270.1	XP_031827233.1, XP_031827232.1
OG0001989	XP_015430259.1	XP_031827089.1, XP_031827090.1
OG0001990	XP_015432316.1	XP_031847655.1
OG0001991	XP_015432344.1	XP_031832368.1
OG0001992	XP_015432323.1	XP_031832407.1, XP_031832408.1, XP_031832409.1
OG0001993	XP_015432394.1	XP_031832399.1
OG0001994	XP_015431694.1	XP_031834425.1
OG0001995	XP_015438067.1	XP_031831631.1, XP_031831630.1
OG0001996	XP_015429249.1	XP_031848482.1
OG0001997	XP_015434438.1	XP_031839067.1
OG0001998	XP_015433688.1	XP_031848790.1
OG0001999	XP_015432404.1	XP_031844396.1
OG0002000	XP_015438023.1	XP_031844438.1, XP_031844441.1, XP_031844440.1
OG0002001	XP_015435871.1	XP_031846311.1
OG0002002	XP_015429694.1	XP_031828487.1
OG0002003	XP_015436908.1	XP_031842266.1, XP_031842268.1
OG0002005	XP_015430417.1	XP_031830189.1, XP_031830188.1
OG0002006	XP_015433539.1	XP_031846566.1, XP_031846565.1, XP_031846567.1, XP_031846569.1
OG0002007	XP_015431316.1	XP_031830823.1
OG0002008	XP_015431844.1, XP_015431845.1	XP_031836064.1, XP_031836065.1
OG0002009	XP_015432433.1	XP_031842786.1
OG0002010	XP_015435633.1	XP_031825719.1
OG0002011	XP_015429255.1	XP_031841826.1
OG0002012	XP_015431484.1	XP_031844580.1
OG0002013	XP_015435210.1	XP_031837289.1
OG0002014	XP_015432350.1	XP_031827737.1, XP_031827734.1
OG0002016	XP_015436663.1	XP_031833341.1, XP_031833340.1
OG0002017	XP_015437532.1	XP_031825771.1
OG0002018	XP_015435906.1	XP_031844605.1, XP_031844606.1, XP_031844604.1
OG0002019	XP_015429192.1	XP_031839079.1
OG0002020	XP_015436190.1	XP_031835273.1
OG0002021	XP_015433932.1	XP_031838099.1
OG0002022	XP_015439538.1	XP_031843505.1
OG0002023	XP_015435070.1	XP_031828774.1
OG0002024	XP_015440025.1	XP_031831529.1, XP_031831528.1
OG0002025	XP_015433235.1	XP_031831600.1, XP_031831601.1, XP_031831599.1
OG0002026	XP_015436767.1	XP_031847932.1
OG0002027	XP_015436755.1	XP_031837027.1, XP_031837039.1
OG0002028	XP_015435799.1	XP_031846204.1
OG0002029	XP_015431744.1	XP_031845997.1
OG0002030	XP_015435920.1	XP_031846174.1, XP_031846175.1
OG0002031	XP_015431301.1	XP_031843856.1
OG0002032	XP_015431364.1	XP_031843881.1
OG0002033	XP_015438364.1	XP_031830912.1
OG0002034	XP_015433433.1	XP_031830490.1
OG0002035	XP_015438587.1, XP_015438584.1	XP_031830970.1
OG0002036	XP_015436497.1	XP_031832705.1
OG0002037	XP_015438680.1	XP_031825707.1
OG0002038	XP_015438684.1	XP_031841790.1, XP_031841789.1
OG0002039	XP_015435705.1	XP_031835011.1
OG0002040	XP_015439396.1	XP_031842933.1, XP_031842931.1, XP_031842934.1
OG0002041	XP_015434864.1	XP_031843279.1
OG0002042	XP_015432445.1	XP_031847456.1, XP_031847454.1, XP_031847455.1
OG0002043	XP_015428712.1	XP_031841200.1, XP_031841202.1
OG0002044	XP_015433528.1	XP_031828648.1
OG0002045	XP_015433530.1	XP_031828717.1
OG0002046	XP_015429617.1	XP_031838302.1
OG0002047	XP_015429344.1	XP_031841041.1
OG0002048	XP_015434267.1	XP_031840847.1, XP_031840846.1, XP_031840845.1
OG0002049	XP_015431962.1	XP_031840182.1
OG0002050	XP_015440163.1	XP_031831539.1
OG0002051	XP_015433311.1	XP_031833648.1
OG0002052	XP_015434467.1	XP_031826288.1
OG0002053	XP_015435504.1	XP_031838586.1, XP_031838585.1
OG0002054	XP_015428885.1	XP_031825840.1
OG0002055	XP_015430933.1	XP_031828884.1
OG0002056	XP_015433496.1	XP_031830226.1
OG0002057	XP_015433515.1, XP_015433514.1	XP_031830239.1
OG0002058	XP_015430425.1	XP_031830157.1
OG0002059	XP_015430479.1	XP_031829871.1
OG0002060	XP_015440062.1	XP_031831278.1
OG0002061	XP_015439093.1	XP_031833019.1, XP_031833020.1
OG0002062	XP_015439036.1	XP_031833158.1
OG0002063	XP_015435161.1	XP_031836360.1, XP_031836371.1
OG0002064	XP_015432091.1	XP_031825958.1, XP_031825966.1
OG0002065	XP_015432017.1	XP_031840212.1
OG0002066	XP_015432025.1	XP_031838701.1
OG0002067	XP_015431973.1	XP_031838979.1
OG0002068	XP_015429842.1	XP_031826201.1
OG0002069	XP_015439563.1	XP_031835823.1
OG0002070	XP_015436493.1	XP_031845941.1, XP_031845939.1, XP_031845940.1, XP_031845937.1
OG0002071	XP_015439249.1	XP_031832920.1
OG0002072	XP_015438483.1	XP_031848264.1
OG0002073	XP_015432629.1	XP_031830793.1
OG0002074	XP_015437044.1	XP_031850140.1
OG0002075	XP_015440514.1	XP_031850213.1
OG0002076	XP_015437712.1	XP_031849214.1
OG0002077	XP_015430662.1	XP_031845374.1
OG0002078	XP_015430715.1, XP_015430716.1, XP_015430714.1	XP_031845086.1
OG0002079	XP_015436231.1	XP_031835052.1, XP_031835051.1
OG0002080	XP_015436412.1	XP_031835192.1, XP_031835194.1
OG0002081	XP_015436808.1	XP_031838407.1
OG0002082	XP_015440043.1	XP_031833775.1
OG0002083	XP_015439821.1	XP_031843335.1, XP_031843336.1
OG0002084	XP_015433399.1	XP_031833456.1
OG0002085	XP_015429047.1, XP_015429046.1	XP_031839713.1, XP_031839710.1
OG0002087	XP_015433739.1, XP_015433861.1	XP_031826521.1
OG0002088	XP_015429438.1	XP_031825969.1, XP_031825975.1
OG0002089	XP_015428682.1	XP_031829854.1
OG0002090	XP_015436791.1	XP_031827892.1
OG0002091	XP_015437528.1	XP_031828025.1, XP_031828026.1
OG0002092	XP_015438078.1	XP_031827965.1
OG0002093	XP_015437845.1	XP_031828084.1
OG0002094	XP_015434957.1	XP_031844906.1
OG0002095	XP_015432466.1	XP_031839648.1
OG0002096	XP_015431267.1	XP_031839615.1, XP_031839616.1, XP_031839618.1, XP_031839617.1
OG0002097	XP_015431471.1	XP_031839626.1, XP_031839624.1, XP_031839623.1, XP_031839625.1, XP_031839627.1
OG0002098	XP_015431921.1	XP_031827621.1
OG0002099	XP_015436938.1	XP_031829353.1, XP_031829352.1, XP_031829350.1
OG0002100	XP_015430757.1	XP_031845416.1, XP_031845417.1, XP_031845419.1, XP_031845415.1
OG0002101	XP_015430836.1	XP_031833212.1
OG0002102	XP_015432686.1	XP_031827285.1
OG0002103	XP_015438294.1, XP_015438293.1	XP_031828066.1, XP_031828067.1
OG0002104	XP_015428744.1	XP_031829826.1, XP_031829828.1
OG0002105	XP_015436909.1	XP_031826472.1
OG0002106	XP_015440456.1	XP_031849424.1, XP_031849421.1
OG0002107	XP_015438131.1	XP_031835744.1, XP_031835743.1
OG0002108	XP_015437280.1	XP_031835553.1
OG0002109	XP_015432916.1	XP_031846818.1, XP_031846821.1
OG0002110	XP_015435391.1	XP_031839484.1, XP_031839485.1
OG0002111	XP_015429724.1	XP_031828910.1
OG0002112	XP_015438980.1	XP_031840208.1
OG0002113	XP_015436792.1	XP_031849136.1
OG0002114	XP_015429465.1	XP_031844019.1, XP_031844018.1
OG0002115	XP_015429706.1	XP_031844080.1
OG0002115	XP_015429698.1	XP_031844079.1
OG0002116	XP_015428765.1	XP_031829799.1
OG0002117	XP_015431150.1	XP_031838060.1
OG0002118	XP_015439630.1	XP_031836591.1
OG0002119	XP_015433734.1	XP_031836619.1
OG0002120	XP_015438752.1, XP_015438753.1	XP_031836529.1, XP_031836527.1, XP_031836528.1
OG0002122	XP_015432569.1	XP_031836882.1
OG0002124	XP_015434216.1	XP_031844482.1, XP_031844483.1
OG0002126	XP_015429333.1, XP_015429330.1, XP_015429332.1	XP_031849478.1
OG0002127	XP_015431701.1	XP_031846032.1
OG0002128	XP_015430739.1	XP_031845299.1, XP_031845297.1, XP_031845298.1
OG0002129	XP_015437128.1	XP_031834333.1
OG0002130	XP_015430781.1	XP_031845504.1
OG0002131	XP_015428746.1	XP_031828683.1
OG0002132	XP_015431736.1	XP_031834434.1
OG0002133	XP_015439520.1	XP_031833325.1
OG0002134	XP_015440217.1	XP_031848745.1
OG0002135	XP_015440042.1	XP_031831226.1
OG0002136	XP_015439971.1, XP_015439970.1	XP_031825632.1
OG0002137	XP_015437165.1	XP_031848771.1
OG0002138	XP_015438610.1	XP_031838753.1
OG0002139	XP_015429212.1	XP_031845699.1
OG0002140	XP_015437284.1	XP_031846767.1
OG0002141	XP_015429619.1	XP_031841811.1
OG0002142	XP_015430447.1	XP_031830220.1
OG0002143	XP_015436505.1	XP_031828398.1
OG0002144	XP_015434419.1, XP_015437434.1	XP_031848006.1
OG0002145	XP_015430483.1	XP_031829897.1, XP_031829898.1
OG0002146	XP_015429581.1	XP_031841868.1
OG0002147	XP_015436077.1	XP_031846334.1
OG0002148	XP_015436050.1	XP_031837088.1, XP_031840509.1, XP_031840528.1
OG0002149	XP_015436357.1	XP_031846270.1, XP_031846279.1
OG0002150	XP_015438385.1	XP_031830560.1
OG0002151	XP_015438502.1	XP_031830783.1
OG0002152	XP_015436573.1	XP_031828134.1
OG0002153	XP_015440526.1	XP_031850225.1
OG0002154	XP_015440528.1	XP_031838553.1
OG0002156	XP_015434779.1	XP_031836037.1
OG0002157	XP_015439123.1	XP_031832638.1
OG0002158	XP_015439132.1	XP_031837263.1, XP_031837264.1
OG0002159	XP_015434196.1, XP_015434197.1	XP_031833041.1
OG0002160	XP_015438930.1	XP_031848100.1, XP_031848102.1
OG0002161	XP_015439130.1	XP_031848104.1
OG0002162	XP_015429331.1	XP_031844033.1
OG0002164	XP_015432455.1	XP_031847459.1, XP_031847461.1
OG0002165	XP_015434861.1	XP_031843113.1
OG0002166	XP_015434751.1	XP_031850036.1
OG0002167	XP_015431479.1	XP_031837824.1
OG0002168	XP_015431819.1	XP_031834821.1
OG0002169	XP_015435279.1	XP_031839107.1, XP_031839106.1
OG0002170	XP_015436168.1	XP_031828108.1, XP_031828109.1
OG0002171	XP_015437724.1	XP_031827914.1, XP_031827913.1, XP_031827915.1
OG0002172	XP_015429738.1	XP_031828583.1
OG0002173	XP_015436120.1	XP_031840351.1
OG0002174	XP_015434994.1	XP_031839887.1
OG0002175	XP_015436023.1	XP_031847261.1
OG0002176	XP_015433988.1	XP_031839888.1, XP_031839889.1
OG0002178	XP_015434949.1	XP_031839932.1, XP_031839933.1
OG0002179	XP_015432564.1	XP_031834283.1
OG0002180	XP_015434327.1	XP_031850312.1
OG0002181	XP_015431446.1	XP_031849613.1, XP_031849606.1
OG0002182	XP_015434358.1	XP_031840887.1
OG0002183	XP_015431592.1	XP_031834289.1
OG0002184	XP_015432591.1	XP_031843605.1, XP_031843621.1
OG0002185	XP_015430649.1	XP_031829336.1
OG0002187	XP_015436648.1	XP_031828636.1, XP_031847201.1
OG0002188	XP_015436880.1	XP_031842458.1
OG0002189	XP_015434190.1	XP_031833272.1
OG0002190	XP_015433312.1	XP_031841073.1
OG0002191	XP_015439678.1	XP_031833454.1
OG0002192	XP_015433376.1	XP_031833559.1, XP_031833557.1
OG0002193	XP_015436065.1	XP_031840461.1
OG0002194	XP_015433391.1, XP_015433390.1	XP_031831460.1, XP_031831462.1, XP_031831461.1
OG0002195	XP_015440024.1	XP_031833953.1, XP_031833961.1
OG0002196	XP_015433357.1	XP_031831327.1
OG0002197	XP_015440136.1	XP_031831554.1, XP_031831555.1
OG0002198	XP_015439669.1	XP_031833520.1
OG0002199	XP_015440006.1	XP_031833483.1
OG0002200	XP_015439745.1	XP_031831339.1
OG0002201	XP_015440039.1	XP_031833423.1, XP_031833421.1
OG0002202	XP_015439694.1	XP_031825655.1, XP_031825653.1, XP_031825654.1
OG0002203	XP_015439900.1	XP_031825648.1, XP_031825649.1
OG0002204	XP_015428483.1	XP_031828976.1
OG0002205	XP_015439120.1	XP_031848463.1
OG0002206	XP_015437227.1	XP_031838876.1, XP_031838877.1, XP_031838875.1, XP_031838874.1
OG0002208	XP_015430170.1	XP_031832446.1
OG0002209	XP_015433465.1	XP_031836758.1
OG0002210	XP_015440368.1	XP_031838823.1
OG0002211	XP_015429216.1	XP_031834178.1
OG0002212	XP_015436472.1	XP_031827853.1, XP_031827851.1
OG0002213	XP_015434395.1, XP_015434392.1	XP_031826511.1
OG0002214	XP_015435990.1	XP_031831893.1
OG0002215	XP_015435994.1, XP_015435993.1	XP_031832190.1
OG0002216	XP_015437072.1	XP_031828986.1
OG0002217	XP_015435039.1	XP_031845938.1, XP_031845928.1, XP_031845948.1
OG0002218	XP_015428691.1	XP_031846358.1, XP_031846359.1, XP_031846357.1
OG0002220	XP_015435133.1	XP_031831926.1
OG0002222	XP_015436788.1	XP_031846186.1, XP_031846185.1
OG0002223	XP_015433643.1	XP_031830051.1, XP_031830050.1
OG0002224	XP_015431052.1	XP_031838925.1
OG0002225	XP_015439518.1	XP_031846306.1
OG0002226	XP_015436272.1	XP_031841270.1
OG0002227	XP_015436040.1	XP_031842112.1
OG0002228	XP_015431145.1	XP_031846219.1
OG0002229	XP_015431202.1	XP_031837991.1
OG0002230	XP_015431259.1	XP_031830766.1
OG0002231	XP_015431282.1	XP_031843780.1
OG0002232	XP_015431422.1	XP_031843876.1, XP_031843875.1
OG0002233	XP_015437018.1	XP_031849761.1
OG0002234	XP_015435503.1	XP_031838481.1
OG0002235	XP_015438194.1	XP_031828112.1, XP_031828113.1
OG0002236	XP_015431806.1	XP_031834905.1
OG0002237	XP_015436683.1	XP_031831760.1, XP_031831759.1
OG0002238	XP_015437732.1	XP_031849256.1, XP_031849257.1
OG0002239	XP_015435501.1	XP_031838530.1
OG0002240	XP_015435271.1	XP_031847095.1, XP_031847097.1, XP_031847098.1
OG0002241	XP_015432271.1	XP_031827603.1, XP_031827602.1
OG0002242	XP_015438673.1, XP_015438674.1	XP_031841389.1
OG0002243	XP_015432333.1	XP_031846346.1
OG0002244	XP_015428625.1	XP_031840057.1
OG0002245	XP_015437615.1	XP_031836217.1
OG0002246	XP_015434768.1, XP_015434769.1	XP_031836236.1
OG0002249	XP_015434024.1	XP_031829586.1, XP_031829587.1, XP_031829585.1
OG0002250	XP_015439114.1	XP_031845965.1
OG0002251	XP_015432986.1	XP_031839259.1, XP_031839257.1
OG0002252	XP_015434103.1	XP_031829619.1, XP_031829618.1
OG0002253	XP_015434854.1	XP_031825681.1
OG0002254	XP_015434857.1	XP_031837657.1
OG0002255	XP_015434847.1	XP_031843142.1
OG0002256	XP_015428581.1	XP_031835184.1
OG0002257	XP_015434906.1	XP_031843034.1
OG0002258	XP_015435756.1	XP_031848495.1
OG0002259	XP_015435587.1	XP_031825706.1
OG0002260	XP_015433740.1	XP_031842159.1
OG0002261	XP_015436998.1	XP_031825960.1
OG0002263	XP_015433575.1	XP_031841173.1
OG0002264	XP_015438196.1	XP_031840477.1, XP_031840478.1, XP_031840476.1, XP_031840475.1
OG0002265	XP_015432910.1	XP_031839680.1, XP_031839686.1
OG0002266	XP_015431862.1	XP_031844979.1
OG0002267	XP_015428619.1	XP_031834584.1
OG0002268	XP_015430704.1	XP_031837846.1, XP_031837845.1
OG0002269	XP_015434070.1	XP_031833124.1
OG0002270	XP_015434859.1	XP_031829414.1
OG0002271	XP_015428442.1	XP_031850450.1, XP_031850430.1, XP_031850440.1, XP_031850402.1, XP_031850412.1, XP_031850423.1
OG0002272	XP_015435372.1, XP_015435371.1	XP_031844692.1
OG0002273	XP_015440363.1	XP_031840122.1
OG0002274	XP_015440381.1	XP_031838739.1
OG0002275	XP_015432008.1, XP_015432006.1	XP_031836713.1, XP_031836715.1, XP_031836714.1
OG0002276	XP_015438061.1	XP_031832235.1
OG0002277	XP_015433517.1	XP_031846549.1, XP_031846551.1, XP_031846548.1
OG0002278	XP_015429049.1	XP_031832963.1
OG0002279	XP_015432154.1	XP_031841414.1
OG0002280	XP_015429068.1, XP_015429069.1, XP_015429067.1	XP_031834029.1
OG0002281	XP_015431193.1	XP_031838131.1
OG0002282	XP_015430331.1	XP_031827176.1, XP_031827174.1, XP_031827175.1
OG0002283	XP_015435872.1	XP_031844669.1, XP_031844671.1, XP_031844667.1, XP_031844670.1, XP_031844668.1
OG0002284	XP_015430835.1	XP_031845508.1
OG0002285	XP_015435408.1	XP_031839372.1, XP_031839370.1, XP_031839371.1
OG0002286	XP_015428717.1	XP_031846366.1, XP_031846367.1, XP_031846365.1
OG0002287	XP_015431101.1	XP_031838141.1
OG0002288	XP_015435536.1	XP_031850081.1
OG0002289	XP_015430956.1	XP_031829652.1
OG0002290	XP_015428925.1, XP_015428924.1	XP_031845493.1
OG0002291	XP_015439588.1	XP_031825926.1
OG0002292	XP_015437662.1	XP_031825900.1, XP_031825899.1, XP_031825901.1
OG0002293	XP_015439231.1	XP_031832904.1
OG0002294	XP_015437964.1	XP_031847416.1
OG0002295	XP_015431824.1, XP_015431825.1	XP_031837007.1, XP_031837008.1, XP_031837006.1
OG0002296	XP_015435832.1	XP_031841025.1
OG0002297	XP_015430850.1	XP_031845506.1
OG0002298	XP_015439942.1	XP_031825487.1
OG0002299	XP_015439983.1	XP_031845681.1
OG0002300	XP_015429607.1	XP_031838343.1, XP_031838344.1
OG0002301	XP_015437453.1	XP_031830361.1
OG0002302	XP_015437308.1	XP_031835606.1, XP_031835607.1, XP_031835608.1
OG0002303	XP_015438406.1	XP_031848271.1, XP_031848793.1
OG0002304	XP_015438361.1	XP_031830402.1
OG0002305	XP_015433807.1, XP_015433806.1, XP_015433808.1, XP_015433809.1	XP_031840037.1
OG0002306	XP_015436360.1	XP_031844265.1, XP_031844282.1, XP_031844255.1, XP_031844290.1, XP_031844273.1
OG0002307	XP_015435913.1	XP_031844287.1
OG0002308	XP_015430735.1	XP_031833343.1
OG0002309	XP_015436737.1	XP_031837038.1
OG0002310	XP_015428694.1	XP_031846356.1
OG0002311	XP_015435302.1	XP_031839418.1
OG0002312	XP_015439825.1, XP_015439827.1, XP_015439826.1	XP_031831419.1, XP_031831420.1
OG0002313	XP_015440005.1	XP_031825426.1
OG0002314	XP_015432875.1	XP_031839266.1, XP_031839267.1
OG0002315	XP_015440077.1	XP_031825492.1, XP_031825491.1, XP_031825490.1, XP_031825493.1, XP_031825494.1
OG0002316	XP_015434032.1	XP_031833141.1
OG0002317	XP_015432538.1	XP_031838994.1, XP_031838993.1, XP_031838992.1, XP_031838990.1
OG0002318	XP_015433358.1	XP_031825599.1, XP_031825597.1
OG0002319	XP_015433821.1	XP_031837826.1, XP_031837827.1
OG0002320	XP_015439347.1	XP_031842468.1, XP_031842467.1
OG0002321	XP_015433381.1	XP_031833552.1, XP_031833553.1
OG0002322	XP_015428823.1	XP_031829183.1
OG0002323	XP_015430949.1	XP_031830812.1
OG0002324	XP_015438851.1	XP_031849445.1, XP_031849446.1
OG0002325	XP_015437636.1	XP_031835899.1
OG0002326	XP_015435237.1	XP_031834278.1
OG0002327	XP_015433977.1	XP_031833016.1
OG0002328	XP_015431325.1	XP_031843818.1, XP_031843820.1
OG0002329	XP_015428725.1	XP_031829836.1, XP_031829835.1
OG0002330	XP_015429661.1, XP_015429668.1	XP_031827316.1, XP_031827314.1, XP_031827315.1
OG0002331	XP_015430618.1	XP_031845387.1
OG0002332	XP_015434750.1	XP_031849984.1
OG0002333	XP_015433872.1	XP_031836524.1
OG0002334	XP_015437500.1	XP_031840627.1
OG0002335	XP_015438640.1	XP_031841525.1
OG0002336	XP_015435839.1	XP_031844121.1, XP_031844120.1, XP_031844123.1, XP_031844119.1, XP_031844122.1
OG0002337	XP_015439362.1	XP_031832020.1, XP_031832019.1, XP_031832018.1
OG0002338	XP_015429112.1	XP_031834626.1
OG0002339	XP_015437647.1	XP_031847922.1
OG0002340	XP_015436662.1	XP_031833342.1, XP_031826131.1, XP_031826126.1, XP_031826127.1
OG0002341	XP_015428426.1	XP_031828689.1
OG0002342	XP_015438988.1	XP_031837135.1, XP_031837136.1
OG0002343	XP_015432593.1	XP_031837800.1
OG0002344	XP_015436434.1	XP_031839654.1, XP_031839666.1, XP_031839662.1, XP_031839672.1
OG0002345	XP_015433830.1, XP_015433831.1, XP_015433832.1	XP_031826563.1
OG0002346	XP_015430572.1	XP_031830031.1
OG0002347	XP_015436878.1, XP_015436886.1	XP_031827908.1
OG0002348	XP_015430771.1	XP_031845406.1
OG0002349	XP_015435384.1	XP_031839210.1
OG0002350	XP_015431976.1	XP_031836458.1
OG0002351	XP_015434194.1	XP_031829568.1, XP_031829569.1
OG0002352	XP_015440339.1	XP_031833322.1
OG0002353	XP_015432002.1	XP_031840198.1, XP_031840199.1, XP_031840200.1
OG0002354	XP_015437380.1	XP_031835598.1
OG0002355	XP_015437310.1	XP_031835625.1
OG0002356	XP_015437826.1	XP_031840998.1
OG0002357	XP_015428530.1, XP_015428529.1	XP_031841015.1, XP_031841014.1
OG0002358	XP_015439060.1	XP_031832759.1, XP_031832761.1, XP_031832760.1
OG0002359	XP_015439015.1, XP_015439016.1	XP_031833033.1
OG0002360	XP_015432845.1	XP_031827356.1
OG0002361	XP_015430496.1	XP_031844075.1, XP_031844076.1
OG0002362	XP_015431638.1	XP_031845598.1
OG0002363	XP_015438484.1	XP_031830494.1
OG0002364	XP_015431269.1	XP_031830877.1
OG0002365	XP_015431002.1	XP_031838934.1
OG0002366	XP_015434037.1	XP_031848013.1, XP_031848252.1, XP_031848501.1, XP_031848081.1, XP_031848334.1, XP_031848165.1, XP_031848426.1
OG0002367	XP_015436556.1	XP_031838575.1
OG0002368	XP_015440530.1	XP_031849398.1, XP_031849399.1, XP_031849401.1, XP_031849403.1, XP_031849400.1, XP_031849397.1
OG0002369	XP_015428509.1	XP_031836003.1
OG0002370	XP_015439024.1, XP_015439022.1	XP_031832875.1, XP_031832892.1
OG0002371	XP_015435002.1	XP_031839886.1
OG0002372	XP_015430966.1, XP_015430965.1	XP_031829541.1
OG0002373	XP_015433698.1	XP_031841054.1
OG0002380	XP_015431641.1	XP_031836770.1
OG0002381	XP_015436678.1, XP_015433579.1, XP_015437588.1, XP_015432649.1, XP_015436017.1	XP_031826514.1
OG0002383	XP_015434259.1	XP_031848299.1
OG0002384	XP_015438001.1	XP_031842579.1
OG0002385	XP_015439677.1	XP_031833709.1
OG0002386	XP_015436537.1	XP_031838578.1, XP_031838579.1
OG0002387	XP_015429233.1	XP_031848004.1
OG0002388	XP_015428488.1	XP_031827130.1
OG0002389	XP_015438333.1	XP_031841150.1
OG0002390	XP_015436739.1	XP_031846235.1
OG0002391	XP_015434920.1	XP_031844797.1
OG0002392	XP_015438894.1, XP_015438895.1, XP_015438896.1	XP_031833980.1, XP_031833981.1
OG0002393	XP_015436030.1	XP_031837913.1
OG0002394	XP_015429456.1	XP_031840301.1
OG0002395	XP_015434182.1	XP_031829627.1, XP_031829628.1
OG0002396	XP_015429760.1	XP_031829234.1
OG0002397	XP_015433228.1	XP_031847517.1
OG0002398	XP_015431228.1	XP_031836757.1
OG0002399	XP_015431613.1	XP_031845554.1
OG0002400	XP_015433839.1	XP_031848198.1, XP_031848197.1
OG0002401	XP_015433319.1	XP_031831484.1
OG0002402	XP_015430477.1	XP_031829731.1
OG0002403	XP_015439571.1	XP_031835889.1
OG0002404	XP_015439164.1	XP_031837089.1
OG0002405	XP_015433014.1	XP_031847563.1
OG0002406	XP_015429646.1	XP_031845794.1, XP_031845795.1
OG0002407	XP_015437012.1	XP_031849740.1, XP_031849743.1, XP_031849742.1, XP_031849741.1
OG0002408	XP_015440447.1	XP_031835432.1
OG0002409	XP_015438038.1	XP_031840629.1
OG0002410	XP_015430339.1, XP_015430338.1	XP_031826761.1
OG0002411	XP_015432464.1, XP_015432462.1	XP_031847303.1, XP_031847301.1
OG0002412	XP_015432043.1	XP_031849123.1
OG0002413	XP_015428856.1	XP_031825849.1
OG0002415	XP_015429091.1, XP_015429092.1, XP_015429093.1, XP_015429090.1	XP_031834766.1, XP_031834765.1
OG0002416	XP_015437587.1	XP_031834473.1
OG0002417	XP_015434770.1	XP_031836268.1, XP_031836269.1
OG0002418	XP_015438025.1	XP_031844426.1, XP_031844427.1
OG0002420	XP_015438129.1, XP_015434111.1	XP_031829553.1
OG0002421	XP_015432069.1	XP_031849072.1
OG0002422	XP_015436355.1	XP_031841282.1
OG0002424	XP_015434370.1	XP_031844595.1
OG0002425	XP_015428944.1	XP_031848518.1
OG0002426	XP_015432754.1	XP_031826622.1, XP_031826631.1, XP_031826612.1
OG0002427	XP_015436618.1, XP_015438157.1	XP_031828837.1
OG0002428	XP_015436293.1	XP_031842105.1
OG0002429	XP_015436100.1	XP_031838017.1
OG0002430	XP_015429901.1	XP_031832541.1
OG0002431	XP_015436967.1	XP_031848967.1
OG0002432	XP_015429156.1	XP_031846848.1
OG0002433	XP_015433360.1	XP_031831374.1, XP_031831373.1
OG0002434	XP_015428663.1	XP_031832353.1
OG0002435	XP_015430823.1	XP_031828886.1
OG0002436	XP_015433395.1, XP_015433396.1	XP_031825585.1
OG0002437	XP_015433202.1	XP_031847320.1
OG0002438	XP_015436337.1	XP_031839726.1
OG0002439	XP_015437954.1	XP_031828353.1, XP_031828352.1
OG0002440	XP_015439570.1, XP_015435090.1	XP_031832121.1
OG0002441	XP_015429089.1	XP_031834764.1
OG0002442	XP_015429140.1	XP_031834743.1
OG0002443	XP_015430895.1	XP_031832498.1, XP_031832499.1, XP_031832500.1
OG0002444	XP_015433000.1	XP_031847186.1, XP_031847185.1, XP_031847187.1
OG0002445	XP_015433114.1	XP_031843141.1, XP_031843140.1
OG0002446	XP_015428692.1	XP_031837938.1, XP_031837939.1
OG0002447	XP_015437982.1	XP_031843074.1, XP_031843073.1
OG0002448	XP_015432574.1	XP_031840750.1
OG0002450	XP_015433607.1	XP_031827673.1
OG0002451	XP_015432020.1	XP_031839052.1
OG0002452	XP_015434790.1	XP_031843108.1
OG0002453	XP_015429748.1	XP_031844910.1
OG0002454	XP_015431909.1	XP_031834855.1
OG0002455	XP_015430041.1	XP_031828964.1, XP_031828967.1, XP_031828963.1
OG0002456	XP_015434514.1	XP_031826350.1
OG0002457	XP_015435524.1	XP_031850126.1
OG0002458	XP_015434035.1	XP_031848527.1, XP_031848530.1, XP_031848529.1, XP_031848528.1
OG0002459	XP_015428847.1	XP_031843440.1
OG0002460	XP_015433717.1	XP_031848151.1, XP_031848152.1, XP_031848150.1
OG0002461	XP_015434506.1	XP_031834095.1
OG0002462	XP_015429940.1	XP_031828263.1, XP_031828269.1
