Orthogroup	Dufourea_novaeangliae	Megalopta_genalis
OG0001983	XP_015434916.1, XP_015434915.1	XP_033322291.1
OG0001984	XP_015429701.1	XP_033330641.1
OG0001985	XP_015430284.1	XP_033338583.1, XP_033338585.1
OG0001986	XP_015430279.1	XP_033338560.1, XP_033338565.1
OG0001987	XP_015430350.1	XP_033338535.1
OG0001988	XP_015430269.1, XP_015430270.1	XP_033339835.1, XP_033338545.1
OG0001989	XP_015430259.1	XP_033338614.1
OG0001990	XP_015432316.1	XP_033339024.1
OG0001991	XP_015432344.1	XP_033330194.1
OG0001992	XP_015432323.1	XP_033330231.1
OG0001993	XP_015432394.1	XP_033330239.1
OG0001994	XP_015431694.1	XP_033329776.1
OG0001995	XP_015438067.1	XP_033332083.1, XP_033332082.1
OG0001996	XP_015429249.1	XP_033329544.1
OG0001997	XP_015434438.1	XP_033329652.1, XP_033329657.1
OG0001998	XP_015433688.1	XP_033326412.1
OG0001999	XP_015432404.1	XP_033330212.1
OG0002000	XP_015438023.1	XP_033330114.1, XP_033330116.1, XP_033330115.1
OG0002001	XP_015435871.1	XP_033321371.1, XP_033321370.1
OG0002002	XP_015429694.1	XP_033339533.1
OG0002003	XP_015436908.1	XP_033335945.1, XP_033335936.1
OG0002004	XP_015429552.1	XP_033332770.1
OG0002005	XP_015430417.1	XP_033337642.1
OG0002006	XP_015433539.1	XP_033337392.1
OG0002007	XP_015431312.1, XP_015431316.1	XP_033320992.1, XP_033320997.1
OG0002008	XP_015431844.1, XP_015431845.1	XP_033330609.1, XP_033330608.1, XP_033330607.1
OG0002009	XP_015432433.1	XP_033321248.1
OG0002010	XP_015435633.1	XP_033339946.1
OG0002011	XP_015429255.1	XP_033329500.1, XP_033329499.1, XP_033329498.1
OG0002012	XP_015431484.1	XP_033321770.1, XP_033321771.1, XP_033321772.1
OG0002013	XP_015435210.1	XP_033323930.1, XP_033323931.1
OG0002014	XP_015432350.1	XP_033332242.1
OG0002016	XP_015436663.1	XP_033336878.1, XP_033336877.1
OG0002017	XP_015437532.1	XP_033324834.1
OG0002018	XP_015435906.1	XP_033321759.1
OG0002019	XP_015429192.1	XP_033329391.1, XP_033329393.1, XP_033329394.1
OG0002020	XP_015436190.1	XP_033331639.1
OG0002021	XP_015433932.1	XP_033321247.1, XP_033321246.1
OG0002022	XP_015439538.1	XP_033339255.1, XP_033339256.1
OG0002023	XP_015435070.1	XP_033325749.1, XP_033325748.1
OG0002024	XP_015440025.1	XP_033338961.1, XP_033338962.1
OG0002025	XP_015433235.1	XP_033332135.1
OG0002026	XP_015436767.1	XP_033322844.1
OG0002027	XP_015436755.1	XP_033332260.1, XP_033332257.1, XP_033332258.1, XP_033332256.1
OG0002028	XP_015435799.1	XP_033323561.1
OG0002029	XP_015431744.1	XP_033333807.1, XP_033333806.1
OG0002030	XP_015435920.1	XP_033341851.1
OG0002031	XP_015431301.1	XP_033326072.1
OG0002032	XP_015431364.1	XP_033325980.1, XP_033325986.1
OG0002033	XP_015438364.1	XP_033331753.1
OG0002034	XP_015433433.1	XP_033331601.1
OG0002035	XP_015438587.1, XP_015438584.1	XP_033326065.1
OG0002036	XP_015436497.1	XP_033343070.1, XP_033336504.1
OG0002037	XP_015438680.1	XP_033325068.1, XP_033325069.1
OG0002038	XP_015438684.1	XP_033331324.1, XP_033331325.1
OG0002039	XP_015435705.1	XP_033330393.1
OG0002040	XP_015439396.1	XP_033322197.1
OG0002041	XP_015434864.1	XP_033339813.1, XP_033339820.1
OG0002042	XP_015432445.1	XP_033321200.1
OG0002043	XP_015428712.1	XP_033329432.1, XP_033329433.1
OG0002044	XP_015433528.1	XP_033337934.1, XP_033337936.1
OG0002045	XP_015433530.1	XP_033337953.1
OG0002046	XP_015429617.1	XP_033329523.1
OG0002047	XP_015429344.1	XP_033323180.1
OG0002048	XP_015434267.1	XP_033322034.1
OG0002049	XP_015431962.1	XP_033329093.1
OG0002050	XP_015440163.1	XP_033337251.1
OG0002051	XP_015433311.1	XP_033337224.1, XP_033337223.1
OG0002052	XP_015434467.1	XP_033332911.1
OG0002053	XP_015435504.1	XP_033334851.1
OG0002054	XP_015428885.1	XP_033325845.1
OG0002055	XP_015430933.1	XP_033327285.1
OG0002056	XP_015433496.1	XP_033337434.1
OG0002057	XP_015433515.1, XP_015433514.1	XP_033337805.1, XP_033337804.1
OG0002058	XP_015430425.1	XP_033327303.1
OG0002059	XP_015430479.1	XP_033327249.1
OG0002060	XP_015440062.1	XP_033334034.1, XP_033334035.1
OG0002061	XP_015439093.1	XP_033336102.1
OG0002062	XP_015439036.1	XP_033336546.1
OG0002063	XP_015435161.1	XP_033328220.1
OG0002064	XP_015432091.1	XP_033326357.1
OG0002065	XP_015432017.1	XP_033321054.1
OG0002066	XP_015432025.1	XP_033326870.1
OG0002067	XP_015431973.1	XP_033334289.1, XP_033334290.1
OG0002068	XP_015429842.1	XP_033328418.1
OG0002069	XP_015439563.1	XP_033325920.1, XP_033325922.1, XP_033325918.1, XP_033325921.1
OG0002070	XP_015436493.1	XP_033335729.1
OG0002071	XP_015439249.1	XP_033336137.1, XP_033336138.1
OG0002072	XP_015438483.1	XP_033325943.1
OG0002073	XP_015432629.1	XP_033340645.1
OG0002074	XP_015437044.1	XP_033342463.1
OG0002075	XP_015440514.1	XP_033342758.1, XP_033342761.1
OG0002076	XP_015437712.1	XP_033334760.1, XP_033334759.1
OG0002077	XP_015430662.1	XP_033327109.1, XP_033327108.1
OG0002078	XP_015430715.1, XP_015430716.1, XP_015430714.1	XP_033337091.1
OG0002079	XP_015436231.1	XP_033325798.1
OG0002080	XP_015436412.1	XP_033332703.1
OG0002081	XP_015436808.1	XP_033332991.1
OG0002082	XP_015440043.1	XP_033321173.1, XP_033321171.1, XP_033321172.1
OG0002083	XP_015439821.1	XP_033339270.1
OG0002084	XP_015433399.1	XP_033327982.1, XP_033327978.1, XP_033327980.1, XP_033327979.1
OG0002085	XP_015429047.1, XP_015429046.1	XP_033321519.1
OG0002087	XP_015433739.1	XP_033328809.1
OG0002087	XP_015433861.1	XP_033333475.1
OG0002089	XP_015428682.1	XP_033327452.1
OG0002090	XP_015436791.1	XP_033329559.1, XP_033329569.1
OG0002091	XP_015437528.1	XP_033331960.1
OG0002092	XP_015438078.1	XP_033332108.1, XP_033332128.1, XP_033332117.1, XP_033332137.1
OG0002093	XP_015437845.1	XP_033331815.1
OG0002094	XP_015434957.1	XP_033334185.1
OG0002095	XP_015432466.1	XP_033337507.1, XP_033337517.1
OG0002096	XP_015431267.1	XP_033336928.1
OG0002097	XP_015431471.1	XP_033334209.1
OG0002098	XP_015431921.1	XP_033338304.1, XP_033338305.1, XP_033338306.1
OG0002099	XP_015436938.1	XP_033336911.1, XP_033336910.1
OG0002100	XP_015430757.1	XP_033324277.1
OG0002101	XP_015430836.1	XP_033326522.1
OG0002102	XP_015432686.1	XP_033338603.1, XP_033338602.1
OG0002103	XP_015438294.1, XP_015438293.1	XP_033340327.1
OG0002104	XP_015428744.1	XP_033327415.1
OG0002105	XP_015436909.1	XP_033340277.1
OG0002106	XP_015440456.1	XP_033342710.1
OG0002107	XP_015438131.1	XP_033343028.1
OG0002108	XP_015437280.1	XP_033342702.1
OG0002109	XP_015432916.1	XP_033341407.1, XP_033341403.1
OG0002110	XP_015435391.1	XP_033328572.1, XP_033328570.1, XP_033328571.1, XP_033328573.1
OG0002111	XP_015429724.1	XP_033325138.1, XP_033325139.1, XP_033325140.1
OG0002113	XP_015436792.1	XP_033322780.1
OG0002114	XP_015429465.1	XP_033340195.1
OG0002115	XP_015429698.1	XP_033340524.1
OG0002116	XP_015428765.1	XP_033327294.1, XP_033327293.1
OG0002117	XP_015431150.1	XP_033321516.1
OG0002118	XP_015439630.1	XP_033320850.1, XP_033320849.1, XP_033320852.1, XP_033320853.1, XP_033320851.1
OG0002119	XP_015433734.1	XP_033333840.1
OG0002120	XP_015438752.1, XP_015438753.1	XP_033333812.1
OG0002122	XP_015432569.1	XP_033339056.1
OG0002124	XP_015434216.1	XP_033322051.1
OG0002125	XP_015432633.1	XP_033341706.1
OG0002126	XP_015429333.1, XP_015429330.1, XP_015429332.1	XP_033322157.1
OG0002127	XP_015431701.1	XP_033333886.1
OG0002128	XP_015430739.1	XP_033327025.1
OG0002129	XP_015437128.1	XP_033326560.1
OG0002130	XP_015430781.1	XP_033336939.1
OG0002131	XP_015428746.1	XP_033333537.1
OG0002132	XP_015431736.1	XP_033332134.1
OG0002133	XP_015439520.1	XP_033333852.1
OG0002134	XP_015440217.1	XP_033321219.1, XP_033321220.1
OG0002135	XP_015440042.1	XP_033336066.1
OG0002136	XP_015439971.1, XP_015439970.1	XP_033337158.1, XP_033337161.1, XP_033337160.1
OG0002137	XP_015437165.1	XP_033320798.1
OG0002139	XP_015429212.1	XP_033329496.1
OG0002140	XP_015437284.1	XP_033340224.1, XP_033340223.1
OG0002141	XP_015429619.1	XP_033329522.1
OG0002142	XP_015430447.1	XP_033330325.1
OG0002143	XP_015436505.1	XP_033340994.1
OG0002144	XP_015434419.1, XP_015437434.1	XP_033329291.1, XP_033329294.1
OG0002145	XP_015430483.1	XP_033327275.1
OG0002146	XP_015429581.1	XP_033333937.1
OG0002147	XP_015436077.1	XP_033324134.1
OG0002148	XP_015436050.1	XP_033336319.1, XP_033332408.1
OG0002149	XP_015436357.1	XP_033321395.1, XP_033321394.1
OG0002150	XP_015438385.1	XP_033340689.1
OG0002151	XP_015438502.1	XP_033340983.1, XP_033340982.1
OG0002152	XP_015436573.1	XP_033328388.1
OG0002153	XP_015440526.1	XP_033335029.1, XP_033335031.1, XP_033335033.1
OG0002154	XP_015440528.1	XP_033343005.1, XP_033343007.1
OG0002156	XP_015434779.1	XP_033320950.1
OG0002157	XP_015439123.1	XP_033335645.1
OG0002158	XP_015439132.1	XP_033330833.1
OG0002159	XP_015434196.1, XP_015434197.1	XP_033336440.1, XP_033336439.1
OG0002160	XP_015438930.1	XP_033334675.1, XP_033333647.1
OG0002161	XP_015439130.1	XP_033335946.1, XP_033335947.1, XP_033335948.1
OG0002162	XP_015429331.1	XP_033340179.1
OG0002163	XP_015434888.1	XP_033341676.1
OG0002164	XP_015432455.1	XP_033321264.1, XP_033321270.1
OG0002165	XP_015434861.1	XP_033342072.1, XP_033342065.1, XP_033342081.1
OG0002166	XP_015434751.1	XP_033324545.1
OG0002168	XP_015431819.1	XP_033341784.1
OG0002169	XP_015435279.1	XP_033341291.1
OG0002170	XP_015436168.1	XP_033330952.1, XP_033330944.1
OG0002171	XP_015437724.1	XP_033330238.1
OG0002172	XP_015429738.1	XP_033339631.1
OG0002173	XP_015436120.1	XP_033329020.1
OG0002174	XP_015434994.1	XP_033341787.1
OG0002176	XP_015433988.1	XP_033341952.1, XP_033341953.1, XP_033341954.1
OG0002178	XP_015434949.1	XP_033342028.1, XP_033322496.1, XP_033322495.1
OG0002179	XP_015432564.1	XP_033334078.1
OG0002180	XP_015434327.1	XP_033323175.1
OG0002181	XP_015431446.1	XP_033329894.1, XP_033329895.1
OG0002182	XP_015434358.1	XP_033327289.1
OG0002183	XP_015431592.1	XP_033341726.1, XP_033341727.1
OG0002184	XP_015432591.1	XP_033338564.1, XP_033338526.1
OG0002185	XP_015430649.1	XP_033327218.1, XP_033327215.1, XP_033327214.1, XP_033327216.1
OG0002186	XP_015439803.1	XP_033338263.1
OG0002187	XP_015436648.1	XP_033334484.1
OG0002189	XP_015434190.1	XP_033327147.1
OG0002190	XP_015433312.1	XP_033329989.1, XP_033329988.1, XP_033329991.1
OG0002191	XP_015439678.1	XP_033327849.1, XP_033327848.1
OG0002192	XP_015433376.1	XP_033337232.1
OG0002193	XP_015436065.1	XP_033331076.1
OG0002194	XP_015433391.1, XP_015433390.1	XP_033321347.1
OG0002195	XP_015440024.1	XP_033328129.1, XP_033328130.1
OG0002196	XP_015433357.1	XP_033332719.1
OG0002197	XP_015440136.1	XP_033336200.1, XP_033336189.1, XP_033336210.1, XP_033336218.1
OG0002198	XP_015439669.1	XP_033328000.1, XP_033328001.1, XP_033328003.1, XP_033328002.1
OG0002199	XP_015440006.1	XP_033323840.1, XP_033323839.1, XP_033323841.1, XP_033323842.1
OG0002200	XP_015439745.1	XP_033338337.1
OG0002201	XP_015440039.1	XP_033328041.1, XP_033328040.1
OG0002202	XP_015439694.1	XP_033328231.1
OG0002203	XP_015439900.1	XP_033324367.1
OG0002204	XP_015428483.1	XP_033339657.1
OG0002205	XP_015439120.1	XP_033326884.1, XP_033326883.1, XP_033326886.1
OG0002206	XP_015437227.1	XP_033326843.1
OG0002208	XP_015430170.1	XP_033328649.1
OG0002209	XP_015433465.1	XP_033330987.1, XP_033330986.1, XP_033330985.1
OG0002210	XP_015440368.1	XP_033327711.1
OG0002211	XP_015429216.1	XP_033329203.1, XP_033329197.1
OG0002212	XP_015436472.1	XP_033341065.1
OG0002213	XP_015434395.1	XP_033332314.1
OG0002215	XP_015435994.1, XP_015435993.1	XP_033329602.1
OG0002216	XP_015437072.1	XP_033339715.1
OG0002217	XP_015435039.1	XP_033325449.1
OG0002218	XP_015428691.1	XP_033337483.1
OG0002219	XP_015429408.1	XP_033327393.1
OG0002220	XP_015435133.1	XP_033333143.1, XP_033333141.1, XP_033333142.1
OG0002221	XP_015433827.1	XP_033337563.1
OG0002223	XP_015433643.1	XP_033321719.1
OG0002224	XP_015431052.1	XP_033334085.1
OG0002225	XP_015439518.1	XP_033340893.1, XP_033335204.1, XP_033338398.1, XP_033338389.1
OG0002226	XP_015436272.1	XP_033332936.1
OG0002227	XP_015436040.1	XP_033333420.1
OG0002228	XP_015431145.1	XP_033324884.1, XP_033325604.1, XP_033325592.1
OG0002229	XP_015431202.1	XP_033337311.1
OG0002230	XP_015431259.1	XP_033330505.1
OG0002231	XP_015431282.1	XP_033326036.1, XP_033326035.1
OG0002232	XP_015431422.1	XP_033325977.1, XP_033325976.1
OG0002233	XP_015437018.1	XP_033334689.1
OG0002234	XP_015435503.1	XP_033342429.1
OG0002235	XP_015438194.1	XP_033330369.1, XP_033330361.1
OG0002236	XP_015431806.1	XP_033329047.1, XP_033342090.1, XP_033329053.1, XP_033342088.1, XP_033341973.1, XP_033342113.1, XP_033342087.1, XP_033342089.1, XP_033342114.1
OG0002238	XP_015437732.1	XP_033334560.1
OG0002239	XP_015435501.1	XP_033335040.1
OG0002240	XP_015435271.1	XP_033341493.1
OG0002241	XP_015432271.1	XP_033338467.1
OG0002242	XP_015438673.1	XP_033330094.1
OG0002242	XP_015438674.1	XP_033330093.1
OG0002243	XP_015432333.1	XP_033330154.1
OG0002244	XP_015428625.1	XP_033323381.1
OG0002245	XP_015437615.1	XP_033328646.1
OG0002246	XP_015434768.1, XP_015434769.1	XP_033321265.1
OG0002249	XP_015434024.1	XP_033336407.1
OG0002250	XP_015439114.1	XP_033336612.1
OG0002251	XP_015432986.1	XP_033328789.1
OG0002252	XP_015434103.1	XP_033335978.1, XP_033335977.1
OG0002253	XP_015434854.1	XP_033339751.1, XP_033339776.1
OG0002254	XP_015434857.1	XP_033334428.1
OG0002255	XP_015434847.1	XP_033324707.1
OG0002256	XP_015428581.1	XP_033341754.1
OG0002257	XP_015434906.1	XP_033342010.1
OG0002258	XP_015435756.1	XP_033326773.1
OG0002259	XP_015435587.1	XP_033324837.1, XP_033324836.1
OG0002260	XP_015433740.1	XP_033321320.1
OG0002261	XP_015436998.1	XP_033340318.1
OG0002262	XP_015429699.1	XP_033321458.1, XP_033321460.1
OG0002262	XP_015429700.1	XP_033321461.1
OG0002263	XP_015433575.1	XP_033328858.1
OG0002264	XP_015438196.1	XP_033329515.1
OG0002265	XP_015432910.1	XP_033334123.1, XP_033334119.1
OG0002266	XP_015431862.1	XP_033341837.1, XP_033341835.1, XP_033341836.1
OG0002267	XP_015428619.1	XP_033342175.1
OG0002268	XP_015430704.1	XP_033324998.1
OG0002269	XP_015434070.1	XP_033330942.1
OG0002270	XP_015434859.1	XP_033324777.1, XP_033324776.1
OG0002271	XP_015428442.1	XP_033332495.1
OG0002272	XP_015435372.1, XP_015435371.1	XP_033341200.1, XP_033341201.1, XP_033341202.1, XP_033341203.1
OG0002273	XP_015440363.1	XP_033343097.1
OG0002274	XP_015440381.1	XP_033327733.1, XP_033327735.1
OG0002275	XP_015432008.1, XP_015432006.1	XP_033331095.1
OG0002276	XP_015438061.1	XP_033339090.1, XP_033339092.1
OG0002277	XP_015433517.1	XP_033337515.1, XP_033337514.1, XP_033337516.1
OG0002279	XP_015432154.1	XP_033332471.1, XP_033332470.1
OG0002281	XP_015431193.1	XP_033322355.1
OG0002282	XP_015430331.1	XP_033335399.1
OG0002283	XP_015435872.1	XP_033323160.1
OG0002284	XP_015430835.1	XP_033336983.1
OG0002285	XP_015435408.1	XP_033339939.1
OG0002286	XP_015428717.1	XP_033337704.1, XP_033337702.1, XP_033337703.1
OG0002287	XP_015431101.1	XP_033322223.1
OG0002288	XP_015435536.1	XP_033334658.1, XP_033334756.1
OG0002289	XP_015430956.1	XP_033337486.1, XP_033337485.1, XP_033337488.1, XP_033337487.1
OG0002290	XP_015428925.1, XP_015428924.1	XP_033331412.1
OG0002291	XP_015439588.1	XP_033325474.1, XP_033325473.1
OG0002292	XP_015437662.1	XP_033320975.1, XP_033320976.1
OG0002293	XP_015439231.1	XP_033335900.1, XP_033335901.1, XP_033335898.1, XP_033335902.1, XP_033335899.1
OG0002295	XP_015431824.1, XP_015431825.1	XP_033334423.1, XP_033334425.1
OG0002296	XP_015435832.1	XP_033321904.1
OG0002297	XP_015430850.1	XP_033336894.1
OG0002298	XP_015439942.1	XP_033324167.1, XP_033324166.1
OG0002299	XP_015439983.1	XP_033324359.1
OG0002300	XP_015429607.1	XP_033329340.1
OG0002301	XP_015437453.1	XP_033337338.1
OG0002302	XP_015437308.1	XP_033342743.1
OG0002303	XP_015438406.1	XP_033325932.1
OG0002304	XP_015438361.1	XP_033331724.1
OG0002305	XP_015433807.1, XP_015433806.1, XP_015433808.1, XP_015433809.1	XP_033323341.1
OG0002306	XP_015436360.1	XP_033333282.1
OG0002307	XP_015435913.1	XP_033321612.1, XP_033321623.1
OG0002308	XP_015430735.1	XP_033327181.1
OG0002309	XP_015436737.1	XP_033332255.1
OG0002310	XP_015428694.1	XP_033337541.1
OG0002311	XP_015435302.1	XP_033341556.1
OG0002312	XP_015439825.1, XP_015439827.1, XP_015439826.1	XP_033338987.1
OG0002313	XP_015440005.1	XP_033328240.1
OG0002314	XP_015432875.1	XP_033328800.1, XP_033328801.1, XP_033328799.1
OG0002315	XP_015440077.1	XP_033324343.1
OG0002316	XP_015434032.1	XP_033336254.1, XP_033335686.1
OG0002317	XP_015432538.1	XP_033322647.1
OG0002318	XP_015433358.1	XP_033324310.1
OG0002320	XP_015439347.1	XP_033324661.1
OG0002321	XP_015433381.1	XP_033337230.1
OG0002322	XP_015428823.1	XP_033339765.1
OG0002322	XP_015440110.1	XP_033326068.1, XP_033339767.1
OG0002323	XP_015430949.1	XP_033327269.1, XP_033327268.1
OG0002324	XP_015438851.1	XP_033342715.1
OG0002325	XP_015437636.1	XP_033325909.1, XP_033339877.1, XP_033325911.1, XP_033325907.1, XP_033325904.1
OG0002326	XP_015435237.1	XP_033341751.1, XP_033341752.1
OG0002327	XP_015433977.1	XP_033342043.1, XP_033342042.1
OG0002328	XP_015431325.1	XP_033325750.1
OG0002329	XP_015428725.1	XP_033327360.1
OG0002330	XP_015429661.1, XP_015429668.1	XP_033332597.1
OG0002331	XP_015430618.1	XP_033337076.1, XP_033337075.1
OG0002332	XP_015434750.1	XP_033324515.1, XP_033324518.1, XP_033324516.1
OG0002333	XP_015433872.1	XP_033333792.1
OG0002334	XP_015437500.1	XP_033340663.1, XP_033340894.1, XP_033340665.1, XP_033340664.1, XP_033340660.1
OG0002335	XP_015438640.1	XP_033338623.1
OG0002336	XP_015435839.1	XP_033321957.1
OG0002337	XP_015439362.1	XP_033329268.1
OG0002338	XP_015429112.1	XP_033321474.1
OG0002339	XP_015437647.1	XP_033325386.1
OG0002340	XP_015436662.1	XP_033336880.1
OG0002341	XP_015428426.1	XP_033333546.1
OG0002342	XP_015438988.1	XP_033323975.1, XP_033323976.1
OG0002343	XP_015432593.1	XP_033339614.1
OG0002344	XP_015436434.1	XP_033332872.1, XP_033332891.1
OG0002345	XP_015433830.1, XP_015433831.1, XP_015433832.1	XP_033337832.1
OG0002346	XP_015430572.1	XP_033337456.1, XP_033337455.1, XP_033337457.1
OG0002347	XP_015436878.1, XP_015436886.1	XP_033328282.1, XP_033328283.1
OG0002348	XP_015430771.1	XP_033336933.1, XP_033336932.1
OG0002349	XP_015435384.1	XP_033341435.1
OG0002350	XP_015431976.1	XP_033330977.1
OG0002351	XP_015434194.1	XP_033336391.1, XP_033336392.1
OG0002352	XP_015440339.1	XP_033339963.1, XP_033339964.1
OG0002353	XP_015432002.1	XP_033320764.1
OG0002354	XP_015437380.1	XP_033342741.1, XP_033342742.1
OG0002355	XP_015437310.1	XP_033342225.1, XP_033342223.1, XP_033342226.1
OG0002356	XP_015437826.1	XP_033340058.1
OG0002357	XP_015428530.1, XP_015428529.1	XP_033341683.1, XP_033341671.1
OG0002358	XP_015439060.1	XP_033336532.1
OG0002359	XP_015439015.1, XP_015439016.1	XP_033335991.1
OG0002360	XP_015432845.1	XP_033323000.1
OG0002361	XP_015430496.1	XP_033340798.1
OG0002362	XP_015431638.1	XP_033338046.1
OG0002363	XP_015438484.1	XP_033340984.1, XP_033340986.1
OG0002364	XP_015431269.1	XP_033320904.1
OG0002365	XP_015431002.1	XP_033327732.1
OG0002367	XP_015436556.1	XP_033334588.1
OG0002368	XP_015440530.1	XP_033342619.1
OG0002369	XP_015428509.1	XP_033330166.1
OG0002370	XP_015439024.1, XP_015439022.1	XP_033336098.1, XP_033336093.1
OG0002372	XP_015430966.1, XP_015430965.1	XP_033337305.1, XP_033337304.1
OG0002373	XP_015433698.1	XP_033323250.1
OG0002373	XP_015433700.1	XP_033323252.1
OG0002374	XP_015431037.1	XP_033321269.1, XP_033328792.1, XP_033322219.1, XP_033322221.1, XP_033322218.1, XP_033322206.1
OG0002379	XP_015429410.1	XP_033329937.1, XP_033329941.1, XP_033329942.1
OG0002380	XP_015431641.1	XP_033320861.1
OG0002381	XP_015436678.1, XP_015433579.1, XP_015437588.1	XP_033330826.1
OG0002383	XP_015434259.1	XP_033331260.1, XP_033331261.1, XP_033331262.1
OG0002384	XP_015438001.1	XP_033321036.1
OG0002385	XP_015439677.1	XP_033327810.1
OG0002386	XP_015436537.1	XP_033334592.1, XP_033334594.1
OG0002388	XP_015428488.1	XP_033338889.1
OG0002389	XP_015438333.1	XP_033340101.1
OG0002390	XP_015436739.1	XP_033325580.1, XP_033325575.1
OG0002392	XP_015438894.1, XP_015438895.1, XP_015438896.1	XP_033342800.1
OG0002393	XP_015436030.1	XP_033321216.1
OG0002394	XP_015429456.1	XP_033330558.1
OG0002395	XP_015434182.1	XP_033336473.1
OG0002396	XP_015429760.1	XP_033325832.1, XP_033325831.1
OG0002397	XP_015433228.1	XP_033340749.1
OG0002398	XP_015431228.1	XP_033333732.1
OG0002399	XP_015431613.1	XP_033338040.1, XP_033338042.1
OG0002400	XP_015433839.1	XP_033323926.1
OG0002401	XP_015433319.1	XP_033321421.1
OG0002402	XP_015430477.1	XP_033332627.1, XP_033332631.1
OG0002403	XP_015439571.1	XP_033325839.1
OG0002404	XP_015439164.1	XP_033336242.1, XP_033336240.1, XP_033336243.1
OG0002405	XP_015433014.1	XP_033328730.1
OG0002406	XP_015429646.1	XP_033333158.1
OG0002407	XP_015437012.1	XP_033335161.1
OG0002409	XP_015438038.1	XP_033340896.1, XP_033340934.1, XP_033340935.1
OG0002410	XP_015430339.1, XP_015430338.1	XP_033335407.1
OG0002411	XP_015432464.1, XP_015432462.1	XP_033327669.1
OG0002412	XP_015432043.1	XP_033326851.1, XP_033339954.1
OG0002414	XP_015433075.1	XP_033341174.1
OG0002416	XP_015437587.1	XP_033326442.1
OG0002417	XP_015434770.1	XP_033321266.1
OG0002418	XP_015438025.1	XP_033330117.1
OG0002420	XP_015438129.1, XP_015434111.1	XP_033336399.1, XP_033336400.1
OG0002421	XP_015432069.1	XP_033343118.1
OG0002422	XP_015436355.1	XP_033334335.1
OG0002423	XP_015436387.1, XP_015436386.1	XP_033321213.1
OG0002424	XP_015434370.1	XP_033322058.1, XP_033322059.1
OG0002425	XP_015428944.1	XP_033331417.1
OG0002426	XP_015432754.1	XP_033332417.1
OG0002427	XP_015436618.1, XP_015438157.1	XP_033334486.1
OG0002428	XP_015436293.1	XP_033332396.1, XP_033332395.1
OG0002429	XP_015436100.1	XP_033339888.1
OG0002430	XP_015429901.1	XP_033340105.1, XP_033340106.1
OG0002431	XP_015436967.1	XP_033328444.1, XP_033328446.1
OG0002432	XP_015429156.1	XP_033340194.1
OG0002433	XP_015433360.1	XP_033332892.1
OG0002434	XP_015428663.1	XP_033331989.1
OG0002435	XP_015430823.1	XP_033330435.1
OG0002436	XP_015433395.1, XP_015433396.1	XP_033324313.1
OG0002437	XP_015433202.1	XP_033341144.1, XP_033341161.1, XP_033341154.1
OG0002438	XP_015436337.1	XP_033333409.1
OG0002439	XP_015437954.1	XP_033329859.1, XP_033329851.1
OG0002440	XP_015439570.1, XP_015435090.1	XP_033326338.1
OG0002443	XP_015430895.1	XP_033328736.1
OG0002444	XP_015433000.1	XP_033328920.1
OG0002445	XP_015433114.1	XP_033341104.1
OG0002446	XP_015428692.1	XP_033325004.1
OG0002447	XP_015437982.1	XP_033341010.1
OG0002448	XP_015432574.1	XP_033331233.1
OG0002450	XP_015433607.1	XP_033334246.1
OG0002451	XP_015432020.1	XP_033320841.1, XP_033320840.1
OG0002452	XP_015434790.1	XP_033342171.1, XP_033342188.1, XP_033342180.1, XP_033342196.1
OG0002453	XP_015429748.1	XP_033330749.1
OG0002455	XP_015430041.1	XP_033330444.1
OG0002456	XP_015434514.1	XP_033325250.1, XP_033325251.1, XP_033325252.1
OG0002457	XP_015435524.1	XP_033334687.1, XP_033334827.1
OG0002458	XP_015434035.1	XP_033335856.1
OG0002459	XP_015428847.1	XP_033327761.1
OG0002460	XP_015433717.1	XP_033323929.1
OG0002461	XP_015434506.1	XP_033333960.1
OG0002462	XP_015429940.1	XP_033333126.1
OG0002463	XP_015433505.1	XP_033337926.1, XP_033337925.1
OG0002464	XP_015435236.1	XP_033341902.1
OG0002465	XP_015431208.1	XP_033321442.1
OG0002466	XP_015432312.1	XP_033339402.1, XP_033339408.1
OG0002467	XP_015429513.1	XP_033333102.1
OG0002468	XP_015431886.1	XP_033326797.1
OG0002469	XP_015431896.1	XP_033338173.1
OG0002470	XP_015433639.1	XP_033341019.1
OG0002471	XP_015428652.1	XP_033323436.1
OG0002473	XP_015432523.1	XP_033321176.1
OG0002474	XP_015431366.1	XP_033325661.1
OG0002475	XP_015438138.1, XP_015431410.1	XP_033320916.1
OG0002476	XP_015439062.1	XP_033336414.1
OG0002478	XP_015440461.1	XP_033331973.1, XP_033330976.1
OG0002479	XP_015431163.1	XP_033334083.1
OG0002480	XP_015436141.1	XP_033321243.1, XP_033321242.1
OG0002481	XP_015438546.1	XP_033340963.1, XP_033340962.1
OG0002482	XP_015429570.1	XP_033329665.1
OG0002483	XP_015437866.1	XP_033326405.1, XP_033326406.1, XP_033326407.1
OG0002484	XP_015437666.1	XP_033320977.1
OG0002486	XP_015429224.1	XP_033329567.1
OG0002488	XP_015428884.1	XP_033325848.1
OG0002489	XP_015439894.1	XP_033324104.1
OG0002490	XP_015431033.1	XP_033329033.1, XP_033329032.1, XP_033329034.1
OG0002491	XP_015432226.1	XP_033326309.1, XP_033326308.1
OG0002494	XP_015440069.1	XP_033324128.1
