Orthogroup	Dufourea_novaeangliae	Bombus_terrestris
OG0001075	XP_015430692.1, XP_015430693.1	XP_012163521.1, XP_003395096.1
OG0001076	XP_015429439.1	XP_012172302.1, XP_012172298.1
OG0001077	XP_015431180.1	XP_003397626.1, XP_020720007.1
OG0001078	XP_015431834.1	XP_020724042.1, XP_012170049.1
OG0001079	XP_015432669.1	XP_020721401.1
OG0001079	XP_015428418.1	XP_012169861.1
OG0001080	XP_015429544.1	XP_012166332.1, XP_020719846.1
OG0001081	XP_015431491.1, XP_015431490.1	XP_003394444.1
OG0001082	XP_015433362.1	XP_003395796.2
OG0001082	XP_015433348.1	XP_020718684.1
OG0001083	XP_015429221.1	XP_020719955.1
OG0001084	XP_015434186.1	XP_012171801.1
OG0001085	XP_015428636.1	XP_012170736.1
OG0001086	XP_015431605.1, XP_015431603.1	XP_012163516.1, XP_020718442.1, XP_020718441.1, XP_020718287.1, NP_001267823.1, XP_012163168.1
OG0001087	XP_015435127.1	XP_003397032.1, XP_012166303.1
OG0001088	XP_015438782.1	XP_020723252.1, XP_012173898.1, XP_020723253.1
OG0001090	XP_015436290.1	XP_003397956.3
OG0001091	XP_015439786.1	XP_003395439.1
OG0001094	XP_015434733.1	XP_003399752.1, XP_012170070.1, XP_012170069.1
OG0001095	XP_015435669.1	XP_012168843.1
OG0001096	XP_015438154.1	XP_003395028.1
OG0001097	XP_015437058.1, XP_015437059.1	XP_003402708.1
OG0001098	XP_015433455.1	XP_012174425.1, XP_012174424.1, XP_003402727.1, XP_012174426.1
OG0001099	XP_015435899.1	XP_003394623.1, XP_012176589.1, XP_012176588.1, XP_020724112.1, XP_020724111.1
OG0001100	XP_015432557.1	XP_012176497.1, XP_012176503.1, XP_012176502.1, XP_012176498.1
OG0001101	XP_015436632.1	XP_012168781.1
OG0001102	XP_015431954.1	XP_012164925.1, XP_003396084.1, XP_020719028.1
OG0001103	XP_015431293.1	XP_020720601.1
OG0001104	XP_015437515.1	XP_003401696.1
OG0001105	XP_015439845.1	XP_012164003.1, XP_003395569.1, XP_012164005.1, XP_012164004.1
OG0001106	XP_015434451.1, XP_015434452.1	XP_003396887.1, XP_003396886.1
OG0001107	XP_015435691.1	XP_020723251.1
OG0001108	XP_015434206.1	XP_012171163.2
OG0001109	XP_015440516.1	XP_003398913.1, XP_012169017.1
OG0001110	XP_015438842.1	XP_012169614.1, XP_012169615.1
OG0001112	XP_015437320.1	XP_003399090.1
OG0001113	XP_015437543.1, XP_015437555.1	XP_020721358.1, XP_003399739.1
OG0001114	XP_015436130.1	XP_012167039.1
OG0001115	XP_015433316.1	XP_012164344.1, XP_012164346.1, XP_012164347.1
OG0001116	XP_015434310.1	XP_012169487.1, XP_003399206.1, XP_012169486.1
OG0001117	XP_015429969.1	XP_012165841.1, XP_003396741.1
OG0001118	XP_015435006.1	XP_003393761.1
OG0001119	XP_015435019.1	XP_003402684.1, XP_012174351.1
OG0001120	XP_015432736.1, XP_015432728.1, XP_015432745.1	XP_003393777.1
OG0001121	XP_015438569.1	XP_003398069.1
OG0001122	XP_015437606.1	XP_003402425.1
OG0001123	XP_015430049.1	XP_003396885.1
OG0001124	XP_015432038.1	XP_012164863.1
OG0001125	XP_015438188.1	XP_012165311.1, XP_012165312.1, XP_003396333.1
OG0001126	XP_015437573.1	XP_012165290.1, XP_003396315.2
OG0001127	XP_015440224.1	XP_012164305.1
OG0001128	XP_015432674.1	XP_003399756.2
OG0001129	XP_015437281.1	XP_020721166.1
OG0001130	XP_015432945.1	XP_020718769.1
OG0001131	XP_015429602.1, XP_015429443.1	XP_003393256.1, XP_003393207.1
OG0001132	XP_015429876.1	XP_020723419.1, XP_003402508.2, XP_020719010.1, XP_020719012.1
OG0001133	XP_015428809.1	XP_012169472.1, XP_012169475.1, XP_012169474.1, XP_012169473.1
OG0001134	XP_015440066.1	XP_020718785.1, XP_020718784.1, XP_020718783.1, XP_003395304.1
OG0001136	XP_015429157.1	XP_003393631.1, XP_012171830.1
OG0001137	XP_015437597.1	XP_020723395.1, XP_020723398.1
OG0001138	XP_015439805.1	XP_020718881.1
OG0001139	XP_015440209.1	XP_012163981.1
OG0001140	XP_015437235.1, XP_015437232.1	XP_012164764.1, XP_012164760.1
OG0001141	XP_015432604.1	XP_003395933.1
OG0001142	XP_015433899.1	XP_003396986.1
OG0001143	XP_015430912.1	XP_003401633.1
OG0001144	XP_015436211.1	XP_012167578.1
OG0001145	XP_015438506.1	XP_003398289.1
OG0001146	XP_015438471.1	XP_012167750.1
OG0001147	XP_015435577.1	XP_003398933.2
OG0001148	XP_015434208.1	XP_020722053.1, XP_020722051.1
OG0001149	XP_015432473.1	XP_020722405.1
OG0001150	XP_015430348.1, XP_015430346.1, XP_015430347.1	XP_012170145.1
OG0001151	XP_015435267.1	XP_003393190.1
OG0001152	XP_015438218.1	XP_003396785.1
OG0001153	XP_015434941.1	XP_003393670.1, XP_012172500.1
OG0001154	XP_015431855.1	XP_003393615.1, XP_020722754.1
OG0001155	XP_015430067.1	XP_003393728.1
OG0001156	XP_015430746.1	XP_012176709.1
OG0001157	XP_015435398.1	XP_012164301.1, XP_012164306.1, XP_020718377.1, XP_003393116.1, XP_012164295.1
OG0001158	XP_015440318.1	XP_012169541.1, XP_012175271.1
OG0001159	XP_015439291.1	XP_003401963.1
OG0001160	XP_015440127.1	XP_012164437.1, XP_012164436.1, XP_012164435.1
OG0001161	XP_015440380.1	XP_003402897.1
OG0001162	XP_015438066.1	XP_020720216.1
OG0001163	XP_015429973.1	XP_012165843.1
OG0001165	XP_015429949.1	XP_012165675.1, XP_012165676.1, XP_012165674.1, XP_012165673.1
OG0001166	XP_015435997.1	XP_012166488.1
OG0001167	XP_015434504.1	XP_003396929.1, XP_012166091.1
OG0001168	XP_015434431.1	XP_003396914.1
OG0001169	XP_015430405.1	XP_012175206.1
OG0001169	XP_015430502.1, XP_015430500.1	XP_012175120.1
OG0001170	XP_015437879.1	XP_003397488.1, XP_012167004.1, XP_012167003.1, XP_012167001.1
OG0001171	XP_015438053.1	XP_012166541.1, XP_012166542.1
OG0001172	XP_015433288.1	XP_012175108.1
OG0001173	XP_015433222.1	XP_012173213.1, XP_012173212.1, XP_012173211.1
OG0001174	XP_015436410.1	XP_020720241.1
OG0001175	XP_015436133.1	XP_012166847.1, XP_012166846.1, XP_012166849.1, XP_012166845.1, XP_012166848.1
OG0001176	XP_015431054.1	XP_020720427.1
OG0001178	XP_015429764.1	XP_003393251.1
OG0001179	XP_015431083.1	XP_003401930.1
OG0001180	XP_015436053.1	XP_003397852.1
OG0001181	XP_015433425.1	XP_012168213.1, XP_012168212.1, XP_012168215.1, XP_012168214.1, XP_012168217.1, XP_012168216.1, XP_020720602.1
OG0001182	XP_015437037.1	XP_003399407.1
OG0001183	XP_015437316.1	XP_003399058.1
OG0001184	XP_015436194.1	XP_003397002.1, XP_020719469.1, XP_020719470.1
OG0001185	XP_015428698.1	XP_020718454.1
OG0001186	XP_015437030.1	XP_020720893.1
OG0001187	XP_015440537.1	XP_003399142.1, XP_020721145.1
OG0001188	XP_015437362.1	XP_012169367.1, XP_012169366.1, XP_012169365.1
OG0001189	XP_015429985.1	XP_020719414.1
OG0001190	XP_015437349.1	XP_012169730.1
OG0001191	XP_015432296.1, XP_015432295.1	XP_012175447.1, XP_012175521.2
OG0001192	XP_015438932.1	XP_012171252.1, XP_012171244.1
OG0001193	XP_015439100.1	XP_003400768.1
OG0001194	XP_015434083.1	XP_003400709.1, XP_012171687.1, XP_012171686.1
OG0001195	XP_015432426.1	XP_012172761.1, XP_003401506.1, XP_012172760.1
OG0001196	XP_015440292.1	XP_012172004.1
OG0001197	XP_015428838.1, XP_015428839.1, XP_015428837.1	XP_003399692.1
OG0001198	XP_015430886.1	XP_020722890.1, XP_012173131.1, XP_012173132.1
OG0001199	XP_015438630.1	XP_012173863.1
OG0001200	XP_015439945.1	XP_003395546.2
OG0001201	XP_015429634.1, XP_015429546.1	XP_003397300.2
OG0001202	XP_015432021.1	XP_003395955.1
OG0001203	XP_015431412.1	XP_003398242.2, XP_012167913.1, XP_012167914.1
OG0001204	XP_015440511.1	XP_003399280.1
OG0001205	XP_015434149.1	XP_020722117.1, XP_020722116.1
OG0001206	XP_015438225.1, XP_015438224.1, XP_015438222.1	XP_003396295.1
OG0001207	XP_015431984.1	XP_003393925.1, XP_012173919.1
OG0001208	XP_015435944.1, XP_015435945.1	XP_020724338.1, XP_020724339.1
OG0001209	XP_015431513.1	XP_012175968.1, XP_020724189.1, XP_003394189.1
OG0001210	XP_015440056.1	XP_003395499.1
OG0001211	XP_015435715.1	XP_012163118.1
OG0001212	XP_015435255.1	XP_003393017.1
OG0001213	XP_015433835.1	XP_012175823.1
OG0001214	XP_015436514.1	XP_012169115.1, XP_012169114.1, XP_003398965.1
OG0001215	XP_015432684.1, XP_015432683.1	XP_003402120.1
OG0001216	XP_015432515.1	XP_003401031.1, XP_020722507.1
OG0001217	XP_015437014.1	XP_003398692.1
OG0001218	XP_015428929.1	XP_012167829.1, XP_012167830.1
OG0001219	XP_015430581.1	XP_003397480.1
OG0001219	XP_015437086.1	XP_003397483.1
OG0001220	XP_015435893.1	XP_003394548.1, XP_003394549.1
OG0001221	XP_015430267.1, XP_015430268.1	XP_012170277.1, XP_012170281.1, XP_012170278.1, XP_003399733.1
OG0001222	XP_015433495.1	XP_003403063.1
OG0001223	XP_015434417.1	XP_003397075.2
OG0001224	XP_015439215.1	XP_003400968.1
OG0001225	XP_015438565.1	XP_003398521.2
OG0001226	XP_015437768.1	XP_003399251.2
OG0001227	XP_015437973.1	XP_020722689.1, XP_020722688.1
OG0001228	XP_015437978.1	XP_003401279.1, XP_003401278.1
OG0001229	XP_015432937.1	XP_003393159.2
OG0001231	XP_015440157.1	XP_003395441.1, XP_012163864.1
OG0001232	XP_015429489.1, XP_015433726.1	XP_003397204.1
OG0001233	XP_015434162.1	XP_012171732.1, XP_012171733.1, XP_003400887.1
OG0001234	XP_015435594.1	XP_003401245.1, XP_020722644.1, XP_012172395.1, XP_003401246.1
OG0001235	XP_015437266.1	XP_020722979.1, XP_020722978.1, XP_003401671.1, XP_012172966.1, XP_012172965.1, XP_012172964.1, XP_012172963.1, XP_012172962.1, XP_020722980.1
OG0001236	XP_015429993.1	XP_012165174.1, XP_020719222.1, XP_012165173.1
OG0001240	XP_015440302.1	NP_001267850.1
OG0001241	XP_015435134.1	XP_012166300.1, XP_012166301.1, XP_012166299.1, XP_003397025.1
OG0001242	XP_015435375.1	XP_012175128.2
OG0001243	XP_015436158.1	XP_020720024.1, XP_012166840.1, XP_020720026.1
OG0001244	XP_015437469.1	XP_012173261.1, XP_003401858.1, XP_012173260.1
OG0001245	XP_015431112.1	XP_012164960.1
OG0001247	XP_015434371.1	XP_012176387.1
OG0001249	XP_015439179.1	XP_003400916.1
OG0001250	XP_015434459.1	XP_020720272.1, XP_020720273.1, XP_003397466.1
OG0001251	XP_015435615.1	XP_003397462.1
OG0001252	XP_015428527.1	XP_003400160.1
OG0001253	XP_015439861.1	XP_012164095.1, XP_012164094.1, XP_020718886.1, XP_020718887.1, XP_003395628.1, XP_012164096.1
OG0001255	XP_015439177.1	XP_003400838.2
OG0001256	XP_015428686.1	XP_020721313.1
OG0001257	XP_015429648.1	XP_003392920.1
OG0001258	XP_015438829.1	XP_012169677.1
OG0001259	XP_015440254.1	XP_012164255.1
OG0001260	XP_015432510.1	XP_003401497.1
OG0001261	XP_015439186.1	XP_003400844.1
OG0001262	XP_015439418.1	XP_003397119.1
OG0001263	XP_015436335.1	XP_012167433.1
OG0001264	XP_015436322.1	XP_003398702.1
OG0001265	XP_015435528.1	XP_003399010.1, XP_012169173.1, XP_012169172.1
OG0001266	XP_015432920.1	XP_012163338.1, XP_012163331.1
OG0001267	XP_015437088.1	XP_012165448.1
OG0001268	XP_015438004.1	XP_003396318.1, XP_003396317.1
OG0001269	XP_015431190.1, XP_015431189.1	XP_003395966.1, XP_012164569.1
OG0001270	XP_015434106.1	XP_012171143.1
OG0001271	XP_015431722.1	XP_012163274.1, XP_012163276.1
OG0001272	XP_015429455.1	XP_012169635.1
OG0001273	XP_015434176.1	XP_012171741.1
OG0001274	XP_015440075.1	XP_020718905.1
OG0001275	XP_015440525.1	XP_020719976.1, XP_003397656.1, XP_003397657.1
OG0001276	XP_015439008.1	XP_012171826.2
OG0001277	XP_015431755.1	XP_003395172.1
OG0001278	XP_015436702.1	XP_003395952.1, XP_020718997.1
OG0001279	XP_015430368.1	XP_012170273.1
OG0001280	XP_015430157.1	XP_003400491.1
OG0001282	XP_015431867.1	XP_012169912.1, XP_012169906.1, XP_012169916.1, XP_020722020.1, XP_012169921.1, XP_003393557.1
OG0001283	XP_015429220.1	XP_003397327.1
OG0001284	XP_015433855.1	XP_003398012.1
OG0001285	XP_015437208.1	XP_003396003.1, XP_003396005.1, XP_003396006.1
OG0001286	XP_015438419.1	XP_012167765.2
OG0001287	XP_015430183.1	XP_003401107.1
OG0001288	XP_015433211.1	XP_003401063.1
OG0001289	XP_015431205.1	XP_012164561.1
OG0001290	XP_015429103.1	XP_003394054.1, XP_020723176.1, XP_012175779.1
OG0001291	XP_015437759.1	XP_003399038.1
OG0001292	XP_015437335.1	XP_003399093.1
OG0001293	XP_015435941.1	XP_020724281.1
OG0001294	XP_015439893.1	XP_003395639.1
OG0001295	XP_015433718.1	XP_012170892.1, XP_012170894.1, XP_020721929.1, XP_020721928.1, XP_003400155.1
OG0001296	XP_015431549.1	XP_012175941.1
OG0001297	XP_015430294.1	XP_003399854.1
OG0001298	XP_015434462.1	XP_020719930.1, XP_020719929.1, XP_020719932.1, XP_020719931.1
OG0001300	XP_015430393.1	XP_012170282.1
OG0001301	XP_015432385.1	XP_020721875.1
OG0001303	XP_015438098.1	XP_020719471.1
OG0001304	XP_015439454.1	XP_003397240.2
OG0001305	XP_015435976.1	XP_012166479.1
OG0001306	XP_015432476.1	XP_012172749.1, XP_012172750.1, XP_003401499.1
OG0001307	XP_015439461.1, XP_015439460.1	XP_003401450.1
OG0001308	XP_015430558.1, XP_015430566.1	XP_020723776.1, XP_012175122.1
OG0001309	XP_015435922.1, XP_015435923.1, XP_015435919.1	XP_020724315.1
OG0001310	XP_015435957.1	XP_012166735.1, XP_012166736.1
OG0001311	XP_015431473.1	XP_003394391.1
OG0001312	XP_015429130.1	XP_003394083.1
OG0001313	XP_015438763.1	XP_003402316.1
OG0001314	XP_015436147.1, XP_015436148.1	XP_003397750.1, XP_020720255.1
OG0001315	XP_015439859.1	XP_003395416.3
OG0001316	XP_015436787.1	XP_003396167.1, XP_012164791.1
OG0001317	XP_015436789.1	XP_012164750.1, XP_012164749.1, XP_003396139.1
OG0001318	XP_015439370.1	XP_003395241.1
OG0001319	XP_015431764.1	XP_020718412.1
OG0001319	XP_015431761.1	XP_020718414.1, XP_020718413.1
OG0001320	XP_015436856.1	XP_012170777.1
OG0001321	XP_015439637.1	XP_012174476.1, XP_003402712.1
OG0001322	XP_015434158.1	XP_003400696.1, XP_012171710.1
OG0001323	XP_015433459.1	XP_003402736.1
OG0001324	XP_015432526.1, XP_015432594.1	XP_003402764.1
OG0001325	XP_015434909.1	XP_012167682.1, XP_003397962.1, XP_012167681.1
OG0001327	XP_015432502.1	XP_012172228.1
OG0001327	XP_015432505.1	XP_003401091.1
OG0001328	XP_015434901.1	XP_012172058.1
OG0001330	XP_015431980.1, XP_015431978.1	XP_012164592.1
OG0001331	XP_015433385.1	XP_012163799.1
OG0001332	XP_015436610.1	XP_012169109.1
OG0001333	XP_015436553.1	XP_012169107.1, XP_012169108.1
OG0001335	XP_015430937.1, XP_015430936.1	XP_012173130.1, XP_003401755.1
OG0001337	XP_015436665.1	XP_003395040.1, XP_012163434.1
OG0001338	XP_015432133.1	XP_012174210.1
OG0001339	XP_015438670.1	XP_003399853.1
OG0001340	XP_015437075.1	XP_012168934.1
OG0001341	XP_015440411.1, XP_015438728.1	XP_020718505.1
OG0001342	XP_015436581.1	XP_020719399.1
OG0001343	XP_015439577.1	XP_020720490.1
OG0001344	XP_015438803.1	XP_020721304.1, XP_003399292.1, XP_020721303.1
OG0001345	XP_015437725.1	XP_012169223.1
OG0001346	XP_015437409.1	XP_003399071.1, XP_012169277.1, XP_012169276.1
OG0001347	XP_015430488.1	XP_003403175.1
OG0001348	XP_015432217.1	XP_003399954.1, XP_012170615.1
OG0001349	XP_015436237.1, XP_015436235.1	XP_003402575.2
OG0001350	XP_015439664.1	XP_012164220.1
OG0001351	XP_015438160.1	XP_012165830.2
OG0001352	XP_015433773.1	XP_003401656.1
OG0001353	XP_015428968.1	XP_012175686.1
OG0001354	XP_015434492.1, XP_015434493.1	XP_003396674.1
OG0001355	XP_015433405.1	XP_003402359.1
OG0001356	XP_015428826.1	XP_012173188.1
OG0001357	XP_015429824.1	XP_003396255.1
OG0001358	XP_015436717.1	XP_012165197.1
OG0001359	XP_015437911.1	XP_012165190.1, XP_012165189.1
OG0001360	XP_015433967.1	XP_012174325.1, XP_012174323.1
OG0001361	XP_015431888.1	XP_012174370.1
OG0001362	XP_015430773.1	XP_012174128.1, XP_012174127.1, XP_020723362.1, XP_012174125.1
OG0001363	XP_015430838.1	XP_012174132.1, XP_020723403.1
OG0001364	XP_015430776.1	XP_003394992.1
OG0001365	XP_015433820.1	XP_020723145.1
OG0001366	XP_015434223.1	XP_003394178.3
OG0001367	XP_015428446.1	XP_003399549.1
OG0001368	XP_015437442.1	XP_012165341.1, XP_012165342.1, XP_020719271.1, XP_003396358.1
OG0001369	XP_015438255.1	XP_012165419.1
OG0001370	XP_015430054.1, XP_015430056.1, XP_015430051.1, XP_015430053.1, XP_015430052.1, XP_015430055.1	XP_012165942.1, XP_003396804.1
OG0001371	XP_015440199.1, XP_015440200.1	XP_012164085.1
OG0001372	XP_015435449.1, XP_015435448.1, XP_015435447.1	XP_012176639.1
OG0001374	XP_015435265.1	XP_012164033.1
OG0001375	XP_015432546.1	XP_003402928.1, XP_012174804.1
OG0001376	XP_015435700.1, XP_015435701.1	XP_020719977.1
OG0001377	XP_015430092.1	XP_020721280.1
OG0001378	XP_015430136.1	XP_020720014.1, XP_003392930.1
OG0001379	XP_015436846.1	XP_003393299.1
OG0001380	XP_015431248.1	XP_012173360.1
OG0001381	XP_015438784.1, XP_015438551.1	XP_003396926.1
OG0001383	XP_015433341.1	XP_012164465.1, XP_020718761.1, XP_012164464.1
OG0001384	XP_015439292.1	XP_003402828.1
OG0001385	XP_015434229.1	XP_020718230.1
OG0001386	XP_015435380.1, XP_015435379.1	XP_003393071.1, XP_012163729.1
OG0001387	XP_015434278.1	XP_012174553.1, XP_003402850.1
OG0001388	XP_015436964.1, XP_015436963.1	XP_003394957.1, XP_020718585.1
OG0001389	XP_015437627.1	XP_003402767.2
OG0001390	XP_015436778.1	XP_020723661.1
OG0001391	XP_015438236.1	XP_012165602.1
OG0001392	XP_015435673.1, XP_015435671.1	XP_012175234.1, XP_020723862.1
OG0001393	XP_015437265.1	XP_003401670.1, XP_012172958.1, XP_012172959.1
OG0001394	XP_015430114.1	XP_003393414.1
OG0001395	XP_015436151.1	XP_020720452.1, XP_003397850.1
OG0001396	XP_015436125.1	XP_012167575.1
OG0001397	XP_015435557.1	XP_012169153.1
OG0001398	XP_015432270.1	XP_020721610.1
OG0001400	XP_015434630.1	XP_003399469.1
OG0001401	XP_015430204.1	XP_003400444.2
OG0001402	XP_015437929.1, XP_015437928.1	XP_020722609.1
OG0001403	XP_015429918.1	XP_012165421.1, XP_012165422.1
OG0001404	XP_015435627.1	XP_003401222.1
OG0001405	XP_015430299.1	XP_012170120.1
OG0001406	XP_015429365.1	XP_020724319.1
OG0001407	XP_015435016.1, XP_015434945.1	XP_012174355.1
OG0001408	XP_015432211.1	XP_012174773.1
OG0001410	XP_015429851.1	XP_012165849.1
OG0001411	XP_015435947.1	XP_012176230.1
OG0001412	XP_015429350.1	XP_020724226.1, XP_012175860.1, XP_012175862.1
OG0001413	XP_015428598.1	XP_003394137.1
OG0001414	XP_015431526.1	XP_003394493.2
OG0001415	XP_015429376.1	XP_012175836.1
OG0001416	XP_015429379.1	XP_020724322.1, XP_020724320.1
OG0001417	XP_015432876.1	XP_012168921.1, XP_012168807.1, XP_003392885.1
OG0001418	XP_015435816.1	XP_003394244.1
OG0001419	XP_015434084.1	XP_012174687.1, XP_020723594.1
OG0001421	XP_015431690.1	XP_012163573.1
OG0001422	XP_015431712.1	XP_012163562.1
OG0001423	XP_015431790.1	XP_012163602.1, XP_012163603.1
OG0001424	XP_015431729.1	NP_001273373.1
OG0001425	XP_015440416.1	XP_020718305.1, XP_020718302.1
OG0001426	XP_015440230.1	XP_020718730.1
OG0001426	XP_015439771.1	XP_003395510.1
OG0001427	XP_015433343.1, XP_015433344.1	XP_003395337.1
OG0001428	XP_015439701.1	XP_012164087.1
OG0001429	XP_015433251.1, XP_015433249.1, XP_015433250.1	XP_012163774.1
OG0001430	XP_015439975.1	XP_020718740.1, XP_003395533.1
OG0001431	XP_015434643.1	XP_012174268.1
OG0001432	XP_015429823.1	XP_012165175.1, XP_003396256.1
OG0001433	XP_015433560.1	XP_020720044.1, XP_012167219.1, XP_012167220.1
OG0001434	XP_015431985.1	XP_012164880.1
OG0001435	XP_015438068.1	XP_012173876.1, XP_012173878.1
OG0001435	XP_015438153.1	XP_020723256.1
OG0001436	XP_015438775.1	XP_003402321.1, XP_020723273.1
OG0001437	XP_015430064.1	XP_020720302.1, XP_003397645.1
OG0001438	XP_015434541.1	XP_003403296.2
OG0001439	XP_015436708.1	XP_020723632.1, XP_012174824.1
OG0001440	XP_015434491.1	XP_012166030.1
OG0001441	XP_015431090.1	XP_003402056.1
OG0001442	XP_015433781.1	XP_003402009.3
OG0001443	XP_015437455.1	XP_003401923.1
OG0001444	XP_015435442.1	XP_003393166.1, XP_012175642.1
OG0001445	XP_015433377.1	XP_012173220.1
OG0001446	XP_015436134.1	XP_012167599.1
OG0001447	XP_015429962.1	XP_003396733.1
OG0001448	XP_015439502.1	XP_012167129.2
OG0001449	XP_015431128.1	XP_012173394.1, XP_012173393.1
OG0001450	XP_015428911.1	XP_020720734.1
OG0001451	XP_015428697.1	XP_020721006.1
OG0001452	XP_015430303.1	XP_003392862.1
OG0001453	XP_015428685.1	XP_012168897.1
OG0001453	XP_015428808.1	XP_020721039.1
OG0001454	XP_015429816.1	XP_020719511.1
OG0001455	XP_015432190.1, XP_015432191.1	XP_003399511.1
OG0001456	XP_015438616.1	XP_012169972.1, XP_012169974.1, XP_012169971.1
OG0001457	XP_015432681.1, XP_015432680.1	XP_003399532.1
OG0001458	XP_015428547.1	XP_020721879.1
OG0001459	XP_015439222.1	XP_020722111.1
OG0001460	XP_015439225.1	XP_020722268.1, XP_020722269.1, XP_003400699.1
OG0001461	XP_015432496.1	XP_020722728.1
OG0001462	XP_015428578.1	XP_012176762.1, XP_012176764.1, XP_012176763.1
OG0001463	XP_015437938.1	XP_020722599.1
OG0001464	XP_015434840.1	XP_020722786.1
OG0001465	XP_015433857.1, XP_015433860.1, XP_015433858.1, XP_015433859.1	XP_003402261.2
OG0001466	XP_015429945.1	XP_003396399.1
OG0001467	XP_015430320.1	XP_012170144.1
OG0001468	XP_015433021.1, XP_015433020.1	XP_012169150.1, XP_012169155.1, XP_012169188.1
OG0001469	XP_015429461.1	XP_012172177.1, XP_012172215.1, XP_020724038.1, XP_012172198.1, XP_012172190.1
OG0001470	XP_015432799.1	XP_012175903.1
OG0001471	XP_015429447.1	XP_012171226.1, XP_003393592.1, XP_020723737.1, XP_012171216.1
OG0001472	XP_015436615.1	XP_020720897.1, XP_012169101.1, XP_012169102.1, XP_012169103.1, XP_003398958.1, XP_020720896.1
OG0001473	XP_015429883.1, XP_015429882.1, XP_015429884.1	XP_003396554.1
OG0001474	XP_015429839.1	XP_020719583.1, XP_020719584.1
OG0001476	XP_015435985.1	XP_012166489.1
OG0001477	XP_015431133.1	XP_012174519.1
OG0001479	XP_015439104.1	XP_012171569.1, XP_012171568.1, XP_012171570.1
OG0001480	XP_015430879.1	XP_020724078.1, XP_012175886.1
OG0001481	XP_015437572.1, XP_015437571.1	XP_012170298.1
OG0001482	XP_015432338.1	XP_003400227.1
OG0001483	XP_015438908.1	XP_012171515.1, XP_003400563.1
OG0001484	XP_015433224.1	XP_012172145.1
OG0001485	XP_015429124.1	XP_003393823.1
OG0001486	XP_015431486.1	XP_003394255.1
OG0001487	XP_015431474.1	XP_012176080.1, XP_012176078.1, XP_012176076.1, XP_003394250.1, XP_012176077.1, XP_020724133.1
OG0001488	XP_015440058.1, XP_015440057.1	XP_012164244.1, XP_003395722.1
OG0001489	XP_015430582.1, XP_015430585.1	XP_003393249.1, XP_012165153.1
OG0001490	XP_015436828.1	XP_012166785.1, XP_003397550.1
OG0001491	XP_015439227.1	XP_012171646.1, XP_012171645.1, XP_003400728.1
OG0001492	XP_015433404.1	XP_012175914.1
OG0001493	XP_015431734.1	XP_003395188.1
OG0001494	XP_015439824.1	XP_012163934.1
OG0001495	XP_015432239.1	XP_020721557.1, XP_020721556.1
OG0001496	XP_015439813.1, XP_015439812.1	XP_012164431.1
OG0001497	XP_015428567.1	XP_012176755.1
OG0001498	XP_015436577.1	XP_020721102.1, XP_003398974.1
OG0001499	XP_015436536.1	XP_003398972.1, XP_012169129.1
OG0001500	XP_015435937.1	XP_003394216.1
OG0001501	XP_015437147.1	XP_003396087.1, XP_012164771.1
OG0001502	XP_015434258.1	XP_003394468.2
OG0001503	XP_015439998.1	XP_012164409.1
OG0001504	XP_015438622.1	XP_003399846.1, XP_012170486.1
OG0001505	XP_015438089.1	XP_003395116.1
OG0001506	XP_015438863.1	XP_020720976.1, XP_003398681.1
OG0001507	XP_015433408.1	XP_012175372.1
OG0001508	XP_015430156.1	XP_012166942.1, XP_003397454.1
OG0001509	XP_015439041.1	XP_012171561.1
OG0001510	XP_015431709.1	XP_003395191.1
OG0001511	XP_015439639.1	XP_012164361.1
OG0001512	XP_015437322.1, XP_015437324.1, XP_015437323.1	XP_012169332.1
OG0001513	XP_015431637.1	XP_003402478.1, XP_020723341.1
OG0001514	XP_015436352.1	XP_020720035.1, XP_012166833.1
OG0001516	XP_015432932.1	XP_020719723.1, XP_012169444.1
OG0001517	XP_015437153.1	XP_012174753.1, XP_020723678.1
OG0001525	XP_015429084.1	XP_003393855.1, XP_012175335.1, XP_012175339.1
OG0001526	XP_015439549.1	XP_012166790.1
OG0001527	XP_015437253.1, XP_015435215.1	XP_003400548.1
OG0001528	XP_015433886.1, XP_015433879.1	XP_003397991.1
OG0001529	XP_015433151.1	XP_012172197.1
OG0001530	XP_015436152.1	XP_020720003.1, XP_020720004.1
OG0001531	XP_015428643.1, XP_015428644.1, XP_015428645.1	XP_012170705.1, XP_020721926.1, XP_012170704.1
OG0001532	XP_015433143.1	XP_012174505.1
OG0001532	XP_015437694.1	XP_003402761.1
OG0001533	XP_015432571.1	XP_003402775.1
OG0001534	XP_015433471.1, XP_015433464.1, XP_015433478.1	XP_003403105.1
OG0001535	XP_015439931.1, XP_015439932.1	XP_012164167.1
OG0001536	XP_015434568.1, XP_015434569.1	XP_003402719.1, XP_020723562.1
OG0001539	XP_015430112.1	XP_003393420.1
OG0001540	XP_015433844.1	XP_020723076.1, XP_003402026.1
OG0001541	XP_015430213.1	XP_003400669.1
OG0001542	XP_015433778.1	XP_003398015.2
OG0001543	XP_015432265.1	XP_003393976.1, XP_003393975.1
OG0001544	XP_015431565.1	XP_020724197.1, XP_012175940.1
OG0001545	XP_015438990.1	XP_012171650.1
OG0001546	XP_015431060.1	XP_012167159.1
OG0001547	XP_015429160.1	XP_003393812.1, XP_012174893.1
