Orthogroup	Megachile_rotundata	Drosophila_melanogaster
OG0001417	XP_012135871.1	NP_611932.2
OG0001418	XP_012148215.1	NP_001162911.1
OG0001419	XP_012146068.1	NP_001036356.1, NP_001260403.1
OG0001420	XP_003702222.1	NP_650569.1, NP_651139.1
OG0001421	XP_012140766.1, XP_012140761.1	NP_649899.1
OG0001422	XP_003705628.1, XP_012146161.1	NP_001189074.1
OG0001423	XP_012141596.1	NP_729234.2
OG0001424	XP_003707239.2	NP_001262495.1
OG0001425	XP_012141671.1	NP_788574.3
OG0001426	XP_003704181.1, XP_012142802.1	NP_001163056.1
OG0001427	XP_003706058.1	NP_648499.1
OG0001428	XP_012149989.1	NP_608929.1
OG0001429	XP_012140383.1	NP_609625.2, NP_001260439.1, NP_609627.1
OG0001430	XP_003701430.1	NP_001287466.1
OG0001432	XP_012151885.1, XP_012151887.1, XP_012151886.1, XP_012151888.1	NP_001188923.1, NP_611185.3
OG0001434	XP_003700866.1	NP_788618.1, NP_649928.1
OG0001436	XP_012139669.1	NP_650868.1, NP_649289.2
OG0001437	XP_012136059.1, XP_012136061.1, XP_012136060.1	NP_001286742.1
OG0001438	XP_003701308.2, XP_012136076.1	NP_727644.3
OG0001440	XP_012142151.1, XP_012142152.1, XP_003703973.1, XP_012142153.1	NP_611647.1
OG0001441	XP_012135580.1	NP_001027574.2
OG0001442	XP_003705747.2	NP_001287592.1
OG0001443	XP_003701582.1	NP_001096850.2
OG0001444	XP_003703425.1, XP_003707375.2	NP_001034052.2
OG0001445	XP_003705203.1	NP_788715.2, NP_788714.1, NP_651058.1
OG0001446	XP_012149258.1	NP_648358.2
OG0001453	XP_003703131.2	NP_001285826.1
OG0001455	XP_003705086.1	NP_610092.2
OG0001456	XP_012136768.1, XP_012136763.1, XP_012136765.1, XP_012136767.1, XP_012136764.1, XP_012136769.1	NP_001286295.1
OG0001457	XP_003701275.1	NP_001163688.1
OG0001458	XP_012151974.1	NP_476858.1
OG0001459	XP_012140200.1, XP_012140199.1	NP_001263148.1
OG0001460	XP_003701853.1	NP_476848.1
OG0001461	XP_003707359.1, XP_012150325.1, XP_012150326.1, XP_012150324.1	NP_001287491.1, NP_001036749.2, NP_001262890.1
OG0001462	XP_003705852.1, XP_012146665.1	NP_001262421.1
OG0001463	XP_003705629.1	NP_649574.1
OG0001464	XP_012140660.1, XP_003703270.1	NP_651592.2, NP_569871.2, NP_001246485.1
OG0001465	XP_012138427.1, XP_003702262.1	NP_001189124.1
OG0001466	XP_003703397.1, XP_003701756.1	NP_569951.1, NP_611911.1
OG0001467	XP_003702020.1	NP_001260304.1, NP_001260305.1, NP_001260306.1
OG0001468	XP_003699387.1, XP_003699386.1	NP_001260652.1
OG0001469	XP_012149074.1, XP_012148936.1, XP_012148869.1, XP_012149002.1, XP_003699309.1	NP_523568.2
OG0001470	XP_012147279.1, XP_012147280.1	NP_648768.1
OG0001471	XP_003707711.1, XP_003707710.1	NP_648463.2, NP_001285545.1, NP_608514.1
OG0001472	XP_012152060.1, XP_012142269.1, XP_003704007.1	NP_725504.1, NP_001246828.1, NP_001286770.1
OG0001473	XP_003701445.2	NP_001287361.1
OG0001474	XP_003706861.1	NP_609560.2, NP_569850.1
OG0001475	XP_003707927.1	NP_001368987.1
OG0001477	XP_003706943.1	NP_001014453.1
OG0001478	XP_003703127.1	NP_001285042.1
OG0001479	XP_003699231.1	NP_001036624.1
OG0001480	XP_012139923.1, XP_003703030.1	NP_524533.1
OG0001481	XP_012148072.1	NP_001286181.1
OG0001482	XP_012154088.1	NP_651924.2
OG0001483	XP_012144587.1, XP_012144588.1, XP_012144589.1	NP_001262996.1
OG0001484	XP_012151969.1	NP_001188579.1
OG0001485	XP_003702383.2	NP_569913.1
OG0001485	XP_003700738.2	NP_523596.2
OG0001486	XP_012134505.1, XP_012134503.1	NP_476764.1
OG0001487	XP_003706964.2	NP_001188904.1
OG0001488	XP_012140532.1, XP_012140542.1	NP_001189108.1
OG0001489	XP_012142590.1	NP_648555.1
OG0001491	XP_012149603.1, XP_012149602.1, XP_012149601.1, XP_003707125.1, XP_012149605.1	NP_609228.2
OG0001492	XP_012154169.1	NP_001263168.1
OG0001493	XP_012143623.1, XP_012143618.1	NP_001262195.1
OG0001494	XP_012142423.1	NP_001287233.1, NP_731250.1, NP_001262370.1
OG0001495	XP_003704451.1	NP_612063.2
OG0001496	XP_012148217.1	NP_609203.1
OG0001497	XP_012151254.1	NP_001260853.1
OG0001498	XP_012149890.1, XP_012149885.1, XP_012149886.1	NP_729823.2
OG0001499	XP_003700193.2	NP_572167.3
OG0001500	XP_012150430.1, XP_012150423.1	NP_730859.1
OG0001501	XP_003702049.1, XP_012138005.1	NP_001303373.1
OG0001502	XP_003702050.1	NP_001261464.1
OG0001503	XP_012154512.1, XP_012154508.1	NP_665880.2
OG0001504	XP_003704073.1	NP_001261440.1
OG0001505	XP_003707392.2, XP_012150017.1, XP_012150018.1	NP_001097527.1
OG0001507	XP_003704760.1	NP_001287269.1
OG0001508	XP_012144584.1	NP_001138130.2
OG0001509	XP_012145883.1	NP_001261116.1
OG0001510	XP_012145851.1	NP_001284936.1
OG0001511	XP_003702175.1	NP_649151.1
OG0001514	XP_003700242.1, XP_012153732.1, XP_012153734.1, XP_012153733.1	NP_001188550.1
OG0001515	XP_012140232.1	NP_001259809.1
OG0001516	XP_012143741.1, XP_012143740.1, XP_012143739.1	NP_001163857.2, NP_001104417.3
OG0001517	XP_003700693.1	NP_731242.1
OG0001518	XP_012136815.1, XP_003701655.1	NP_001036462.1
OG0001519	XP_003700588.2	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1
OG0001521	XP_003700357.1	NP_523422.4
OG0001522	XP_003699840.1	NP_001096867.3
OG0001524	XP_003707715.1	NP_001261067.1
OG0001525	XP_003706007.1	NP_477026.1
OG0001526	XP_012150716.1, XP_012150720.1	NP_001369078.1
OG0001527	XP_012150166.1, XP_003699997.2	NP_001259089.1
OG0001529	XP_012152267.1	NP_001162930.1
OG0001530	XP_012151687.1, XP_012151688.1	NP_611501.1
OG0001531	XP_003705210.1	NP_651595.1
OG0001532	XP_012141138.1, XP_012141142.1	NP_001162665.1
OG0001533	XP_012143278.1, XP_003704557.1	NP_728534.2
OG0001534	XP_012151396.1	NP_731923.2
OG0001535	XP_003702338.1	NP_001261999.1
OG0001536	XP_012153011.1	NP_648357.1
OG0001537	XP_012134593.1, XP_003700663.1	NP_001245892.1, NP_001260974.1
OG0001538	XP_003705599.1	NP_995639.1
OG0001539	XP_003704195.1	NP_524017.1
OG0001540	XP_012151512.1	NP_610693.1, NP_610694.1
OG0001541	XP_003702036.1	NP_001261940.1
OG0001542	XP_003699473.1	NP_609207.1
OG0001543	XP_012152090.1	NP_650901.2
OG0001545	XP_012147299.1	NP_523451.2
OG0001546	XP_003705190.1	NP_001247104.1
OG0001548	XP_012145040.1, XP_012145042.1, XP_012145041.1	NP_001285388.1
OG0001550	XP_012134940.1	NP_647968.3
OG0001551	XP_003703120.2	NP_001246815.1
OG0001552	XP_012137496.1, XP_012137493.1	NP_477317.1
OG0001553	XP_003700859.1	NP_651623.1
OG0001554	XP_012142523.1, XP_012142516.1	NP_001261344.1
OG0001555	XP_003700399.1	NP_001246451.1
OG0001556	XP_012142836.1	NP_726771.1
OG0001557	XP_012134493.1, XP_012134501.1	NP_001260951.1
OG0001558	XP_003706453.1	NP_001245722.1
OG0001559	XP_003701996.1	NP_650472.2
OG0001560	XP_012152574.1	NP_001246228.1
OG0001561	XP_012153363.1	NP_001260963.1
OG0001562	XP_012146167.1	NP_001137943.2
OG0001563	XP_012142206.1, XP_012142232.1	NP_001246300.1
OG0001564	XP_012152732.1	NP_650698.1
OG0001565	XP_012143226.1	NP_001286976.1
OG0001567	XP_003705693.1	NP_001137746.1
OG0001568	XP_012150304.1	NP_001263152.1
OG0001569	XP_012139688.1, XP_003702800.1	NP_477320.1
OG0001570	XP_003706331.1, XP_012147701.1, XP_012147700.1, XP_012147702.1	NP_648176.1
OG0001571	XP_003704407.1	NP_610075.2
OG0001575	XP_012144229.1	NP_524337.1
OG0001576	XP_012151098.1	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1
OG0001577	XP_003703471.2	NP_001285493.1
OG0001579	XP_012148874.1, XP_012148872.1	NP_001097592.1
OG0001580	XP_012135639.1	NP_001285528.1
OG0001581	XP_003706977.1	NP_608983.2
OG0001582	XP_012147352.1, XP_012147353.1, XP_012147350.1, XP_012147351.1	NP_001287593.1
OG0001583	XP_012141906.1, XP_012141890.1, XP_012141882.1, XP_012141915.1, XP_012141899.1	NP_001189157.1
OG0001584	XP_012151643.1, XP_003707893.1	NP_648993.1
OG0001585	XP_012146645.1	NP_001262143.1
OG0001586	XP_012136684.1, XP_012136683.1, XP_003701498.1, XP_012136685.1, XP_012136681.1, XP_012136682.1	NP_647865.2
OG0001587	XP_012137740.1, XP_003702052.1	NP_648090.1
OG0001588	XP_012134520.1, XP_012134519.1	NP_001188558.1
OG0001589	XP_012150319.1, XP_003707355.1	NP_726318.1
OG0001590	XP_012148053.1	NP_572910.1, NP_001285210.1
OG0001592	XP_012141805.1	NP_647896.1
OG0001593	XP_012146918.1	NP_001287342.1
OG0001594	XP_003703415.1	NP_001259723.1
OG0001595	XP_012146189.1, XP_003705662.1	NP_611252.1
OG0001596	XP_003707140.1, XP_012149518.1	NP_730651.1
OG0001597	XP_012135100.1	NP_572854.1
OG0001600	XP_012151844.1, XP_012151837.1, XP_003700157.1	NP_001286151.1
OG0001601	XP_012151797.1, XP_012151798.1	NP_001097706.1
OG0001602	XP_012139084.1	NP_001033958.1
OG0001603	XP_003706605.2, XP_003706606.1	NP_001027070.1
OG0001604	XP_012151094.1	NP_001163129.1
OG0001606	XP_012145577.1	NP_523902.2
OG0001607	XP_003708443.1	NP_001285753.1
OG0001608	XP_003707683.1	NP_001260655.1
OG0001614	XP_012144865.1, XP_012144859.1	NP_001259303.1, NP_569908.1
OG0001615	XP_003706347.1	NP_523764.1
OG0001616	XP_012148066.1	NP_001259833.1
OG0001617	XP_003706311.1	NP_524011.1
OG0001619	XP_003701825.1	NP_652526.1
OG0001620	XP_012135834.1, XP_003701138.1	NP_609496.1
OG0001621	XP_003699542.1	NP_573362.1, NP_729837.1
OG0001622	XP_003704565.2	NP_572536.1
OG0001623	XP_012139931.1, XP_012139932.1, XP_012139934.1, XP_012139935.1, XP_003703031.1, XP_012139930.1	NP_524400.2
OG0001624	XP_003707163.1	NP_788056.1
OG0001625	XP_003701122.1	NP_001262669.1
OG0001626	XP_003707071.1, XP_012149296.1	NP_001259186.1
OG0001627	XP_012142226.1	NP_001303417.1
OG0001628	XP_003706182.1	NP_651052.1
OG0001629	XP_012134914.1	NP_651782.1
OG0001630	XP_012149399.1	NP_729395.2
OG0001631	XP_003699352.1	NP_001261267.1
OG0001632	XP_012152615.1	NP_001245408.1
OG0001633	XP_003704191.2	NP_001246351.1
OG0001634	XP_012154281.1, XP_012154282.1, XP_003700508.1	NP_651054.1
OG0001635	XP_003700442.1	NP_001303479.1
OG0001636	XP_012135111.1	NP_728142.1
OG0001637	XP_012137021.1, XP_012137022.1, XP_003701735.1	NP_612046.1
OG0001638	XP_012153931.1, XP_003700331.2, XP_003707829.1	NP_648826.2
OG0001639	XP_012139503.1, XP_012139505.1, XP_012139506.1, XP_012139500.1, XP_012139499.1, XP_012139501.1, XP_012139502.1	NP_572360.1
OG0001640	XP_003702429.1	NP_477027.1
OG0001641	XP_012150147.1	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1
OG0001642	XP_003700849.1	NP_725207.1
OG0001644	XP_003702550.2	NP_001262395.1
OG0001645	XP_003707512.1	NP_733058.1
OG0001646	XP_012137346.1	NP_001285211.1
OG0001647	XP_012139375.1	NP_570025.1
OG0001648	XP_003703869.1	NP_001287187.1
OG0001649	XP_012150556.1	NP_609720.1, NP_524152.2
OG0001650	XP_003704519.2	NP_648222.3
OG0001651	XP_012148202.1, XP_012148180.1, XP_012148196.1	NP_001259585.1
OG0001652	XP_012141240.1	NP_788858.1
OG0001653	XP_012147584.1	NP_995788.1
OG0001654	XP_012134616.1, XP_003700747.1	NP_001246814.1
OG0001655	XP_003703150.1	NP_001245567.1
OG0001656	XP_003699406.1	NP_569872.1
OG0001657	XP_003706618.1	NP_001286489.1
OG0001658	XP_012137784.1	NP_001259992.1
OG0001659	XP_012146888.1, XP_012146887.1	NP_730944.2
OG0001660	XP_012140533.1	NP_648750.1
OG0001662	XP_012153291.1, XP_012153289.1	NP_001097377.2
OG0001663	XP_003699500.1	NP_649918.1
OG0001664	XP_012149935.1, XP_012149923.1	NP_648183.3
OG0001665	XP_012148252.1	NP_001014619.2
OG0001666	XP_012147919.1, XP_003706369.1	NP_001163472.1, NP_649145.1
OG0001667	XP_003702647.1	NP_001261574.1
OG0001669	XP_012143194.1	NP_001287417.1
OG0001670	XP_012148029.1, XP_012148028.1, XP_012148027.1, XP_003706491.1	NP_001138149.1
OG0001671	XP_012148803.1	NP_732316.2
OG0001672	XP_012134919.1	NP_001246400.1
OG0001673	XP_003707973.1	NP_649883.1
OG0001674	XP_012151708.1	NP_001260539.1
OG0001675	XP_003708343.2	NP_001261382.1
OG0001676	XP_012140189.1, XP_012140188.1, XP_012140190.1	NP_001163073.2
OG0001677	XP_012140510.1, XP_003703246.1, XP_012140509.1	NP_001260561.1
OG0001679	XP_003700555.1	NP_611460.1
OG0001680	XP_012144403.1	NP_001260364.1, NP_001033899.1
OG0001681	XP_003704239.1	NP_001163282.1
OG0001682	XP_012152352.1	NP_001285158.1
OG0001684	XP_012145799.1, XP_003705494.1	NP_001368993.1
OG0001685	XP_003703991.1	NP_001097520.2
OG0001686	XP_012135513.1	NP_731649.2
OG0001687	XP_012142809.1, XP_012142813.1	NP_609069.1
OG0001690	XP_012152504.1	NP_652015.1
OG0001693	XP_003703517.1, XP_012141375.1, XP_012141374.1	NP_001245400.1
OG0001694	XP_003699911.1, XP_012145892.1	NP_610256.1
OG0001695	XP_003705899.1	NP_001262760.1
OG0001696	XP_012147905.1, XP_012147901.1	NP_001247156.1
OG0001697	XP_003706011.1	NP_001245797.1
OG0001699	XP_003703501.1	NP_733303.2
OG0001700	XP_012152399.1	NP_001189311.1
OG0001701	XP_012143744.1	NP_995862.1
OG0001702	XP_003702570.1	NP_651170.1
OG0001703	XP_003705789.1, XP_012146509.1, XP_003705790.1	NP_001262871.1, NP_651242.1
OG0001704	XP_003700189.1, XP_012152954.1	NP_001356971.1
OG0001706	XP_003702391.1	NP_001247116.1
OG0001707	XP_012147062.1, XP_003706041.1	NP_001262589.2
OG0001708	XP_003703506.1	NP_001287390.1
OG0001709	XP_012152385.1	NP_001303494.1
OG0001710	XP_012138235.1	NP_651745.1
OG0001710	XP_012138236.1, XP_012139142.1, XP_012138234.1, XP_003702278.1, XP_003702340.1, XP_003702277.1	NP_573217.1, NP_730784.1
OG0001711	XP_003708383.1, XP_012152751.1, XP_012152752.1	NP_608741.1
OG0001712	XP_012140448.1, XP_012140449.1	NP_001188885.2
OG0001713	XP_012140723.1, XP_012140724.1	NP_001033943.2
OG0001714	XP_012139220.1, XP_012139225.1	NP_649156.1
OG0001715	XP_012136821.1	NP_001285698.1
OG0001716	XP_012148366.1	NP_001163671.1
OG0001717	XP_012137287.1	NP_611675.2
OG0001718	XP_003705642.1	NP_001287021.1, NP_001261456.1, NP_001261457.1
OG0001719	XP_003706430.1, XP_012147835.1	NP_001245568.1
OG0001720	XP_003707485.1	NP_610938.1
OG0001722	XP_012150036.1	NP_723401.1
OG0001724	XP_012150271.1	NP_001261391.1
OG0001725	XP_012154309.1, XP_012154308.1	NP_524401.2
OG0001726	XP_012134728.1	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1
OG0001727	XP_003699745.1	NP_001036351.2
OG0001728	XP_012134675.1	NP_001286002.1
OG0001729	XP_012149413.1	NP_001286919.1
OG0001730	XP_012139893.1	NP_001247378.2, NP_001245717.1, NP_001245715.1
OG0001731	XP_012146689.1, XP_003705854.1	NP_572995.1, NP_001163445.1
OG0001732	XP_003705430.1, XP_012145657.1	NP_651725.1
OG0001733	XP_012136994.1	NP_001260590.1, NP_523506.1, NP_523578.1, NP_523507.2
OG0001734	XP_012147074.1, XP_003706046.1	NP_608563.1
OG0001735	XP_003701533.1	NP_609387.1
OG0001736	XP_012152038.1	NP_001097937.1
OG0001737	XP_003706607.1	NP_001259675.1, NP_001033853.1
OG0001738	XP_003701699.1	NP_001014543.1
OG0001739	XP_012143056.1	NP_001246653.1
OG0001740	XP_012148970.1, XP_003706817.1	NP_001036555.1
OG0001742	XP_012136211.1	NP_733224.2
OG0001743	XP_003704286.2, XP_012142697.1, XP_012142698.1	NP_001285126.1
OG0001744	XP_012146970.1	NP_651315.2
OG0001745	XP_012137160.1	NP_650743.1
OG0001746	XP_003703699.1	NP_524852.2
OG0001747	XP_012153715.1, XP_012153718.1, XP_012153719.1, XP_003700293.1, XP_012153716.1, XP_012153717.1, XP_012153714.1	NP_001261633.1
OG0001748	XP_012136615.1	NP_001189227.1
OG0001749	XP_012148449.1	NP_001036722.1
OG0001750	XP_003699586.1	NP_001261148.1
OG0001751	XP_003701501.1, XP_012136689.1	NP_001286159.1
OG0001752	XP_012143489.1	NP_651792.1, NP_651791.2
OG0001753	XP_003706694.1	NP_523391.3
OG0001754	XP_012141609.1, XP_012136273.1	NP_651671.1
OG0001756	XP_003706604.1	NP_649646.3
OG0001757	XP_012142983.1	NP_733185.2, NP_648528.1, NP_001261732.1, NP_001287549.1
OG0001758	XP_003705252.1	NP_001163069.1
OG0001759	XP_003701941.1, XP_012137503.1	NP_001287202.1
OG0001760	XP_003702127.1	NP_732069.3
OG0001762	XP_012148878.1, XP_003706789.1	NP_001261764.1
OG0001763	XP_003700566.1, XP_012154469.1	NP_650223.1
OG0001765	XP_012136106.1	NP_731461.1
OG0001766	XP_003701794.1, XP_012137180.1	NP_001261659.1
OG0001767	XP_003707472.1, XP_012149995.1	NP_723294.1
OG0001768	XP_003706687.1	NP_572805.1
OG0001771	XP_003705216.1, XP_012145090.1, XP_012145093.1, XP_012145091.1	NP_727732.1, NP_001097831.1
OG0001774	XP_012149582.1	NP_476778.1
OG0001775	XP_012154197.1	NP_523735.2
OG0001776	XP_012146502.1, XP_003705787.1	NP_620470.1
OG0001777	XP_003699193.1, XP_012135904.1	NP_001245758.1
OG0001778	XP_003700370.1	NP_001262233.1
OG0001779	XP_003706847.1	NP_648194.1, NP_726718.1, NP_001261626.1, NP_648160.2, NP_648052.1
OG0001780	XP_003702781.1	NP_610617.1
OG0001781	XP_012140213.1	NP_650423.1
OG0001782	XP_012138573.1, XP_003702394.1	NP_649000.1
OG0001783	XP_012153106.1, XP_012153190.1	NP_647892.1
OG0001784	XP_012148009.1, XP_012148010.1, XP_012148011.1	NP_001163585.1
OG0001785	XP_003708459.1, XP_012152861.1	NP_524416.1
OG0001786	XP_003703759.1	NP_001260689.1
OG0001787	XP_003706905.1	NP_648786.1
OG0001788	XP_012141594.1	NP_724103.1
OG0001789	XP_003702679.1	NP_651728.1
OG0001790	XP_003705513.1	NP_649460.3
OG0001791	XP_012138231.1, XP_012138230.1, XP_012138229.1, XP_012138232.1	NP_572504.1
OG0001792	XP_003704979.1	NP_611734.1
OG0001793	XP_003703372.1	NP_608828.2
OG0001794	XP_012138228.1	NP_001259442.1
OG0001796	XP_003704098.1	NP_477212.1
OG0001797	XP_003705276.1	NP_523830.2
OG0001799	XP_012152790.1	NP_001260496.1
OG0001800	XP_003703789.1	NP_001262652.1, NP_001262651.1
OG0001801	XP_003707540.1	NP_572456.1, NP_001259211.1, NP_651547.1, NP_001262253.1
OG0001802	XP_003701460.1	NP_001162765.1
OG0001803	XP_003700826.1, XP_012135007.1, XP_012135006.1	NP_001015387.1
OG0001804	XP_012139092.1, XP_012139091.1, XP_012139089.1, XP_003702672.1	NP_728575.2, NP_612081.1
OG0001805	XP_012152572.1	NP_649038.1, NP_730334.2
OG0001806	XP_003706448.1	NP_610087.2
OG0001807	XP_012141865.1, XP_012141866.1, XP_012141867.1	NP_001286460.1
OG0001808	XP_012136611.1	NP_650163.2, NP_650840.1
OG0001809	XP_003703087.1	NP_609837.1
OG0001810	XP_012150387.1, XP_012150386.1	NP_001246271.1
OG0001811	XP_003699893.1, XP_012146304.1	NP_001262677.1
OG0001812	XP_012152368.1, XP_012152367.1	NP_001259970.1
OG0001813	XP_012150502.1	NP_611350.1
OG0001814	XP_012146115.1	NP_524758.1
OG0001815	XP_003706805.1, XP_012148924.1	NP_476667.1, NP_001246493.1
OG0001816	XP_003707640.1, XP_012150641.1	NP_648106.1
OG0001818	XP_012143501.1	NP_001285489.1
OG0001820	XP_003707104.1, XP_012149520.1	NP_649757.1
OG0001821	XP_012147907.1, XP_003706357.1	NP_001287100.1
OG0001822	XP_003703530.1	NP_995873.2
OG0001823	XP_012136264.1	NP_609767.2, NP_001260489.1
OG0001824	XP_003700865.1, XP_012135183.1	NP_001356918.1
OG0001825	XP_003701480.1	NP_001285277.1
OG0001826	XP_012146129.1, XP_012146130.1, XP_012146131.1, XP_012146134.1, XP_012146132.1, XP_012146133.1, XP_003705635.1, XP_012146127.1, XP_012146128.1	NP_610191.2
OG0001827	XP_012139141.1	NP_001261341.1
OG0001828	XP_003702396.1	NP_477184.1
OG0001829	XP_012144120.1, XP_012144119.1	NP_511153.1
OG0001830	XP_012145185.1	NP_001189170.1
OG0001831	XP_012139389.1	NP_648895.1
OG0001832	XP_003705967.1	NP_611293.3
OG0001833	XP_003703423.1	NP_001262071.1
OG0001834	XP_003707795.1, XP_012151120.1, XP_012151119.1	NP_725449.1, NP_611238.2, NP_001285657.1
OG0001835	XP_003706134.1	NP_648567.2, NP_729801.1
OG0001836	XP_012145254.1, XP_012145260.1	NP_001097041.2
OG0001838	XP_003701089.1	NP_649809.1
OG0001839	XP_003705315.1, XP_012145347.1	NP_001287516.1, NP_524496.1
OG0001840	XP_012145200.1	NP_001287291.1
OG0001841	XP_003700397.2	NP_649554.1
OG0001843	XP_012150857.1, XP_012150858.1, XP_003707567.1	NP_001163392.1
OG0001844	XP_012152496.1	NP_733332.1
OG0001845	XP_003702489.1	NP_649732.1
OG0001846	XP_003707292.1	NP_788721.1
OG0001847	XP_012152980.1, XP_012153146.1	NP_001163705.1
OG0001848	XP_012140215.1, XP_003703080.1	NP_610735.1
OG0001849	XP_003703496.2	NP_001303451.1, NP_524581.1
OG0001850	XP_003708098.1, XP_012152022.1	NP_001097569.1
OG0001851	XP_003705365.1, XP_012145537.1	NP_524795.2
OG0001852	XP_003699279.1	NP_611258.2
OG0001853	XP_012136245.1	NP_001285407.1
OG0001854	XP_012142510.1	NP_610231.2, NP_525107.1, NP_536747.2
OG0001855	XP_012144474.1, XP_012144473.1	NP_001097922.1
OG0001856	XP_012152678.1	NP_650446.2
OG0001858	XP_003704198.1	NP_651605.1
OG0001859	XP_003704257.1, XP_012143013.1	NP_001261279.1, NP_608679.1
OG0001860	XP_012142237.1, XP_003703966.1	NP_001286627.1
OG0001861	XP_012139144.1	NP_524274.1
OG0001863	XP_012144871.1, XP_003705098.1, XP_012144870.1	NP_001303452.1
OG0001864	XP_003703202.2	NP_001259978.1
OG0001865	XP_012146126.1, XP_003705671.1	NP_001036440.1
OG0001866	XP_003708355.1	NP_610462.3
OG0001867	XP_003701904.1	NP_651658.1
OG0001868	XP_003707740.1	NP_732113.3
OG0001869	XP_012146861.1, XP_012146862.1	NP_477402.1
OG0001870	XP_003703359.1	NP_001285457.1
OG0001871	XP_003701743.1	NP_572522.2
OG0001872	XP_003703430.1	NP_536773.1
OG0001873	XP_003703441.1, XP_012141056.1	NP_730982.1
OG0001874	XP_012146669.1, XP_012146666.1, XP_012146668.1, XP_012146670.1, XP_003705880.1	NP_477024.1
OG0001875	XP_012145397.1	NP_511130.2
OG0001876	XP_012136906.1, XP_012136908.1	NP_001368952.1
OG0001877	XP_012136259.1, XP_012136260.1	NP_001014498.1
OG0001878	XP_012151380.1	NP_001259740.1, NP_001260348.1
OG0001879	XP_012142382.1	NP_652101.2
OG0001880	XP_012148142.1, XP_012148144.1	NP_001033948.1
OG0001881	XP_012146739.1, XP_012146740.1, XP_003705828.1	NP_722959.1
OG0001882	XP_012136562.1	NP_001188575.1
OG0001883	XP_003708496.1	NP_650805.1
OG0001884	XP_012143033.1	NP_001188772.1
OG0001885	XP_012145796.1, XP_012145797.1	NP_001262303.1
OG0001886	XP_003706184.1	NP_001261166.1
OG0001887	XP_012136736.1	NP_723772.2
OG0001888	XP_003702770.1, XP_012139537.1	NP_001286416.1
OG0001889	XP_012140097.1	NP_651593.1
OG0001890	XP_012139488.1, XP_003702907.1, XP_012139482.1, XP_012139483.1, XP_012139484.1, XP_012139485.1, XP_012139486.1, XP_012139487.1	NP_609530.1
OG0001891	XP_012137349.1, XP_012137347.1, XP_012137345.1, XP_012137348.1	NP_476733.1
OG0001892	XP_012150332.1	NP_001245925.1, NP_611294.1
OG0001893	XP_003701078.2	NP_477049.2
OG0001894	XP_012150887.1	NP_001137875.1
OG0001895	XP_012139580.1	NP_524651.2
OG0001896	XP_012150977.1	NP_609570.1
OG0001897	XP_003704946.1, XP_012144428.1	NP_611140.3
OG0001898	XP_012153488.1	NP_001263035.1
OG0001899	XP_003699368.1	NP_724878.2
OG0001900	XP_003702606.2, XP_012138993.1	NP_001259735.1
OG0001901	XP_003707788.1, XP_012151293.1	NP_651080.2
OG0001902	XP_012153258.1, XP_012153261.1	NP_001286818.1
OG0001903	XP_012140007.1	NP_001285675.1
OG0001905	XP_003702692.1, XP_012139166.1	NP_001287263.1
OG0001906	XP_012149147.1	NP_001245625.1
OG0001908	XP_012140618.1, XP_012140617.1, XP_012140619.1	NP_650314.1
OG0001909	XP_012150069.1, XP_012150073.1	NP_001033913.1
OG0001910	XP_003701443.2	NP_648745.1
OG0001912	XP_012146812.1, XP_012146779.1, XP_012146797.1	NP_001286124.1
OG0001913	XP_012145489.1, XP_012145498.1	NP_524909.1
OG0001914	XP_012135228.1	NP_608998.2, NP_001188704.1
OG0001915	XP_003702632.1	NP_001014612.1
OG0001916	XP_012136862.1, XP_012136861.1	NP_648272.1
OG0001917	XP_003705443.1, XP_012145696.1	NP_611237.2
OG0001919	XP_012152342.1	NP_610950.2
OG0001920	XP_012149021.1	NP_608361.3
OG0001921	XP_003702595.1	NP_001036438.1
OG0001922	XP_012145791.1	NP_001246140.1
OG0001923	XP_012149647.1	NP_726381.1
OG0001924	XP_012153844.1, XP_012153840.1	NP_609384.1
OG0001925	XP_012148613.1	NP_476618.1
OG0001926	XP_012135847.1	NP_609736.1
OG0001927	XP_003704096.1, XP_012142442.1	NP_524688.1
OG0001928	XP_012143821.1	NP_001261246.1
OG0001929	XP_003699719.1	NP_001260566.1, NP_001260567.1
OG0001930	XP_003706866.1, XP_012149134.1, XP_012149132.1, XP_012149133.1	NP_650547.1
OG0001931	XP_003702361.1	NP_001097135.1
OG0001932	XP_012143825.1, XP_012150436.1, XP_012150913.1	NP_608570.1
OG0001933	XP_003706624.1	NP_524431.2
OG0001935	XP_012141857.1, XP_003703843.1	NP_001015254.1
OG0001936	XP_012135817.1	NP_001286158.1
OG0001937	XP_012144116.1	NP_001259619.1
OG0001938	XP_003701429.1	NP_001286427.1
OG0001939	XP_003704511.1	NP_649157.1
OG0001940	XP_012153191.1	NP_001287364.1
OG0001941	XP_012146566.1, XP_012146567.1, XP_012146574.1	NP_001368962.1
OG0001942	XP_003700745.1	NP_001260565.1, NP_476804.1
