Orthogroup	Megachile_rotundata	Nasonia_vitripennis
OG0000800	XP_003708325.1	XP_032456854.1, XP_008203832.1, XP_031788683.1
OG0000801	XP_003699548.1	XP_001603690.2
OG0000801	XP_012153863.1	XP_016842856.2
OG0000802	XP_012149292.1	XP_016844032.2
OG0000804	XP_012147771.1, XP_012147772.1, XP_012147773.1, XP_003706340.1, XP_012147769.1, XP_012147770.1	XP_001607812.1
OG0000805	XP_012148240.1	XP_016839343.1
OG0000806	XP_003704830.1, XP_012144283.1, XP_012144282.1	XP_008204862.1
OG0000807	XP_012143794.1, XP_003704685.1	NP_001177692.1
OG0000809	XP_012154054.1, XP_012154050.1	XP_031780123.1
OG0000810	XP_003704957.1, XP_012144469.1	XP_001599255.3
OG0000811	XP_012148169.1, XP_012148168.1	XP_008206145.1, XP_001599526.2, XP_016843288.1
OG0000812	XP_012140217.1, XP_012140219.1, XP_003703081.1	XP_031780669.1, XP_031780667.1
OG0000812	XP_003706123.1	XP_001606867.1
OG0000813	XP_003700541.1	XP_003427853.1
OG0000814	XP_012143511.1	XP_001605038.2
OG0000814	XP_003704490.1	XP_001605056.1
OG0000815	XP_012151633.1	XP_031778111.1
OG0000816	XP_003701080.1	XP_031780761.1
OG0000817	XP_003706519.1	XP_031778664.1, XP_031778665.1
OG0000818	XP_012142258.1, XP_012142260.1, XP_012142257.1, XP_003703969.1, XP_012142256.1	XP_032452330.1, XP_003424883.1, XP_031780814.1, XP_003424884.1
OG0000819	XP_012148535.1, XP_012148532.1	XP_016840174.1, XP_032452235.1, XP_032452237.1, XP_032452251.1
OG0000820	XP_003701764.1	XP_031780508.1
OG0000821	XP_003707016.1	XP_031779281.1, XP_032452253.1, XP_008212127.1, XP_032452259.1, XP_032452258.1, XP_032452255.1, XP_008212125.1, XP_008212124.1, XP_008212126.1, XP_032452254.1, XP_001598992.1, XP_008212118.1, XP_016844284.1, XP_031779282.1, XP_032452256.1
OG0000822	XP_012147912.1, XP_012147908.1	XP_031782027.1
OG0000823	XP_003706526.1	XP_003427039.1, XP_016843769.1
OG0000824	XP_012135554.1, XP_012149199.1	XP_016843593.1
OG0000825	XP_003707634.1	NP_001128399.1
OG0000826	XP_012145066.1, XP_012145067.1	XP_031780650.1, XP_031780649.1, XP_031780648.1
OG0000828	XP_012140704.1, XP_012140702.1, XP_012140701.1, XP_012140700.1, XP_012140703.1, XP_003703286.1	XP_031783203.1, XP_008205141.1
OG0000829	XP_003704986.1	XP_031782563.1, XP_016842103.1, XP_008217436.1, XP_008217437.1, XP_032451991.1
OG0000830	XP_003699932.1	XP_032452876.1, XP_032452877.1, XP_001607481.1, XP_008209675.1
OG0000831	XP_012135046.1, XP_012135047.1	XP_001604057.1
OG0000832	XP_003702358.2	XP_016840804.1, XP_016840805.1, XP_001606660.1, XP_008211572.1
OG0000833	XP_012149713.1, XP_012149693.1	XP_031779400.1, XP_031779399.1, XP_031779394.1
OG0000834	XP_003706673.1, XP_012148462.1	XP_001607087.1, XP_016840033.1, XP_008213704.1, XP_008213703.1
OG0000835	XP_012147573.1	NP_001154989.1, XP_016836997.1
OG0000835	XP_003701307.1	XP_031784287.1, NP_001154968.1
OG0000836	XP_012153460.1	XP_003427950.1, XP_001600169.1
OG0000837	XP_012150835.1, XP_012150836.1	XP_031785521.1, XP_031785523.1, XP_031785524.1, XP_031785519.1, XP_031785520.1
OG0000838	XP_012139561.1, XP_012139566.1	XP_031781334.1, XP_031781318.1, XP_031781326.1
OG0000839	XP_003703664.2	XP_001603584.1, NP_001165964.1, XP_032456548.1, XP_031783698.1, XP_031783705.1, NP_001165963.1
OG0000840	XP_012137930.1, XP_012137929.1, XP_012137927.1, XP_012137928.1, XP_003702038.1	XP_031785625.1
OG0000842	XP_003707334.1	XP_003428187.1
OG0000843	XP_003701284.1	XP_001600667.2, XP_016844989.1
OG0000844	XP_012147957.1, XP_003706375.1, XP_012147958.1	XP_008207314.1, XP_001608127.1
OG0000845	XP_012150707.1, XP_012150708.1, XP_012150709.1, XP_012150710.1, XP_012150711.1, XP_012150712.1, XP_012150713.1	XP_031779699.1
OG0000846	XP_012146686.1	XP_031778962.1
OG0000849	XP_003699767.1, XP_003701041.1	XP_001602816.1
OG0000850	XP_003707116.1	XP_032453468.1, XP_008216202.1, XP_008216203.1
OG0000851	XP_012137152.1, XP_012137151.1, XP_012137153.1	XP_032451854.1, XP_032451855.1, XP_032451853.1, XP_001602999.1
OG0000852	XP_003701517.2	XP_032458189.1, XP_032458188.1, XP_016841908.1, XP_032458187.1, XP_032458186.1, XP_031783811.1, XP_031786708.1
OG0000853	XP_012154140.1	XP_032451871.1, XP_032451873.1, XP_032451872.1, XP_031786272.1, XP_032451874.1, XP_032451877.1, XP_032451876.1, XP_032451878.1, XP_032451875.1
OG0000856	XP_012136055.1	XP_031777092.1
OG0000856	XP_012136062.1	XP_001599699.1
OG0000857	XP_003703016.1	XP_001604312.1
OG0000858	XP_003701952.1	XP_008217743.1
OG0000858	XP_003706116.1	XP_001605289.1
OG0000858	XP_012142916.1	XP_001605273.1
OG0000859	XP_012151735.1	XP_031782644.1, XP_031782643.1, XP_032454634.1
OG0000860	XP_003699935.1, XP_012146529.1, XP_012146522.1	XP_001604397.2
OG0000862	XP_012140780.1	XP_032457677.1, XP_032457678.1, XP_031781729.1, XP_031781730.1, XP_031781727.1, XP_031781728.1, XP_032457675.1, XP_031781726.1
OG0000863	XP_003705112.1, XP_012144749.1, XP_012144747.1	XP_008215956.1, XP_031788340.1
OG0000864	XP_012139096.1, XP_012139095.1	XP_031778701.1
OG0000865	XP_012150045.1, XP_012150046.1	XP_031784596.1, XP_031784602.1, XP_031784601.1, XP_031784604.1, XP_031784603.1, XP_031784597.1, XP_032454911.1, XP_032454912.1, XP_031784600.1, XP_031784598.1, XP_032454909.1, XP_032454910.1
OG0000866	XP_012134615.1	XP_001607406.2
OG0000867	XP_012137804.1, XP_012137805.1	XP_001606804.1
OG0000868	XP_012148474.1, XP_012148472.1	XP_031782157.1, XP_008204022.1
OG0000869	XP_012150629.1, XP_003707632.1	XP_031783495.1, XP_008206503.1
OG0000870	XP_003702735.2	XP_008216315.1
OG0000871	XP_012144581.1, XP_003699829.1	XP_001607708.1
OG0000872	XP_012148260.1, XP_012148261.1, XP_003706559.1	XP_008203441.1, XP_001601907.2
OG0000873	XP_012143157.1	XP_001603702.3
OG0000875	XP_003704237.1	XP_001606373.1, XP_032453891.1, XP_032453889.1, XP_032453890.1
OG0000876	XP_003701124.1, XP_012135759.1	XP_016845645.1, XP_016845643.1, XP_016845642.1, XP_016845644.1
OG0000877	XP_012142780.1	NP_001154936.1, XP_031784310.1
OG0000878	XP_012140880.1	XP_031782738.1, XP_031782737.1, XP_031782739.1
OG0000878	XP_012140910.1	NP_001154932.1
OG0000879	XP_003701030.1, XP_012135456.1, XP_012135454.1	XP_031784124.1, XP_031784122.1
OG0000881	XP_012143587.1	XP_032455118.1, XP_008211907.1, XP_001603028.1
OG0000882	XP_003699596.1	XP_001607037.2
OG0000883	XP_003699627.1, XP_012141433.1	XP_001608156.3, XP_031788370.1
OG0000885	XP_012141171.1, XP_012141167.1, XP_012141168.1, XP_012141169.1, XP_012141173.1, XP_012141175.1, XP_012141174.1, XP_012141172.1	XP_008202364.1
OG0000886	XP_012145756.1, XP_012145753.1, XP_012145752.1, XP_012145755.1	XP_031788182.1, XP_032457086.1, XP_032457087.1, XP_032457084.1, XP_032457085.1
OG0000887	XP_012142571.1	XP_001603602.1
OG0000888	XP_003703610.1	XP_031779326.1, XP_031779325.1
OG0000890	XP_012142084.1	XP_016840823.1, XP_016840824.1
OG0000891	XP_012146264.1	XP_016843208.1
OG0000892	XP_003703279.1	XP_008204316.1
OG0000893	XP_003706505.1	XP_016844650.1
OG0000893	XP_003706503.2	XP_003427801.1
OG0000894	XP_012145590.1, XP_012145584.1, XP_012145587.1, XP_012145581.1, XP_012145585.1, XP_012145586.1, XP_012145583.1, XP_012145582.1	XP_016838700.1, NP_001122570.1
OG0000895	XP_012142281.1	XP_016837248.1, XP_032453357.1, XP_031779114.1
OG0000897	XP_012144020.1	XP_003425328.1
OG0000898	XP_003700395.1	XP_031783388.1
OG0000898	XP_003706432.1	XP_001603888.1
OG0000899	XP_012143457.1, XP_003704533.1	XP_031788210.1
OG0000900	XP_003704933.1	XP_031789521.1, XP_031789519.1
OG0000901	XP_003701795.1	XP_003427272.1
OG0000902	XP_012149662.1, XP_003707170.1	XP_008214069.1
OG0000904	XP_003700147.1	XP_031785214.2
OG0000904	XP_012149389.1	XP_031786120.1, NP_001153501.1
OG0000905	XP_003706592.2	XP_032454335.1, XP_032454336.1, XP_031782551.1, XP_031782552.1, XP_031782548.1, XP_031782550.1, XP_031782553.1, XP_031782547.1, XP_031782555.1, XP_001603376.3
OG0000906	XP_003699766.2	XP_031787058.1
OG0000908	XP_003707695.1	XP_003425187.1, XP_008217832.1, XP_032452757.1
OG0000909	XP_012145889.1, XP_012145888.1, XP_012145890.1	XP_016837688.1, XP_008214370.1
OG0000910	XP_003704205.1	XP_031787063.1, XP_001607428.1
OG0000911	XP_012139834.1, XP_012139833.1	XP_016837240.1, XP_016837237.1
OG0000912	XP_003700037.1, XP_012149460.1, XP_012149422.1	XP_008214863.1
OG0000913	XP_003700627.2	XP_032454159.1, XP_032454160.1, XP_008206282.1, XP_032454161.1, XP_031783525.1, XP_031783526.1, XP_031783527.1, XP_003424373.1, XP_008204562.1
OG0000914	XP_012138809.1	XP_031783035.1, NP_001161273.1, NP_001161272.1, NP_001161270.1, NP_001161269.1
OG0000917	XP_012139887.1, XP_003702996.1	XP_001603612.2
OG0000918	XP_003702469.2	XP_008206288.1
OG0000919	XP_012147617.1, XP_003706282.1	XP_031783576.1
OG0000920	XP_003706389.1	NP_001165790.1
OG0000921	XP_012143581.1	XP_032456207.1
OG0000923	XP_012146034.1	XP_008215795.1, XP_031781902.1
OG0000924	XP_003706144.1	XP_008212840.1
OG0000927	XP_003701474.1, XP_012136614.1, XP_012136613.1	XP_016839612.1, XP_032453742.1, XP_008213379.1, XP_032453744.1, XP_032453743.1
OG0000928	XP_012138574.1	XP_001606972.1
OG0000929	XP_003705976.1	XP_003427033.2
OG0000930	XP_003704509.1	XP_008215813.1
OG0000931	XP_003708629.1	XP_031784100.1
OG0000932	XP_003704170.1, XP_012142600.1, XP_012142599.1	XP_001607959.1
OG0000933	XP_003704636.1	XP_016845773.1
OG0000933	XP_003707899.1	XP_003424204.1
OG0000934	XP_012150178.1	XP_008208493.1, XP_008208494.1, XP_008208491.1, XP_008208492.1, XP_001601634.2
OG0000935	XP_003701327.1	XP_001602859.1, XP_032452999.1, XP_001603755.1, XP_032452998.1, XP_031777177.1, XP_001602791.1
OG0000936	XP_012143633.1, XP_012143632.1, XP_012144081.1	XP_031785075.1, XP_031785076.1
OG0000937	XP_012141088.1	XP_032454471.1, XP_032454469.1, XP_032454468.1, XP_008213526.1
OG0000938	XP_012135995.1, XP_012135811.1	XP_031786142.1
OG0000939	XP_012150873.1	XP_001599590.1
OG0000939	XP_012146234.1	XP_001601801.3
OG0000941	XP_003706264.1	XP_001607661.3, XP_031779586.1
OG0000943	XP_003705898.1, XP_012146892.1, XP_012146893.1, XP_012146891.1, XP_012146894.1	XP_031787564.1
OG0000944	XP_003708299.1	XP_031787429.1, NP_001153371.1, NP_001153370.1
OG0000945	XP_003701736.1	XP_031780907.1
OG0000946	XP_012154352.1, XP_012154353.1, XP_012154354.1, XP_003704426.1	XP_008207104.1
OG0000947	XP_012152689.1	XP_031778070.1, XP_016845649.1
OG0000948	XP_003701955.1, XP_012137553.1	XP_001600980.4
OG0000949	XP_012140666.1, XP_003703369.1, XP_012140668.1	XP_031783731.1
OG0000950	XP_003704663.1, XP_012143751.1	XP_001602897.1, XP_003425200.1, XP_032452383.1
OG0000951	XP_012135808.1, XP_012135809.1, XP_003701129.1, XP_012135807.1	XP_031777143.2
OG0000952	XP_003699574.1, XP_012140136.1, XP_012140128.1	XP_031786619.1, XP_032455505.1, XP_032455504.1, XP_032455507.1, XP_032455506.1
OG0000953	XP_012137265.1, XP_012137266.1	XP_032458221.1
OG0000954	XP_012145732.1, XP_003705459.1	XP_001599452.1
OG0000955	XP_012145681.1	XP_016839302.1, XP_016839300.1
OG0000957	XP_012145909.1, XP_012145908.1, XP_012145907.1, XP_012145905.1, XP_012145904.1, XP_012145903.1, XP_012145906.1, XP_003705537.1, XP_012145912.1, XP_012145913.1, XP_012145914.1, XP_012145911.1	XP_016842360.1, XP_001605450.1
OG0000958	XP_003708421.2	XP_008217710.1
OG0000959	XP_003706790.1, XP_012148886.1	XP_031784795.1, XP_031784790.1
OG0000960	XP_003705148.1, XP_012144999.1	XP_001604758.1
OG0000960	XP_012144980.1	XP_001607105.2
OG0000961	XP_012144107.1, XP_012144112.1	XP_032456343.1, XP_016843235.1
OG0000962	XP_012139358.1, XP_012139352.1	XP_031788739.1
OG0000963	XP_012151581.1, XP_003700039.1	XP_032456701.1, XP_003426586.1, XP_001604685.1, XP_003426585.1
OG0000964	XP_012138394.1, XP_003702252.1	XP_016839380.1
OG0000965	XP_012150818.1, XP_012150816.1	XP_031784763.1
OG0000966	XP_003704897.1, XP_012144237.1, XP_012144236.1	XP_008202524.1, NP_001136335.1
OG0000967	XP_003706171.1, XP_012147400.1	XP_031780321.1
OG0000968	XP_012151828.1	XP_032454505.1, XP_032454513.1
OG0000969	XP_003702118.1	XP_031782320.1
OG0000970	XP_012154264.1	XP_016839834.1
OG0000971	XP_003704749.1, XP_012143954.1	XP_031787391.1, XP_001607922.1, XP_032456907.1, XP_016841184.1, XP_016841183.1, XP_001607916.2, XP_031787268.1, XP_032456901.1, XP_001607913.2
OG0000972	XP_012154538.1, XP_012154537.1, XP_003700577.1	XP_008211564.1
OG0000973	XP_003705715.1, XP_012151965.1, XP_012151966.1	XP_031784386.1
OG0000974	XP_012152015.1, XP_012152019.1	XP_008203039.1, XP_003425481.1
OG0000975	XP_012134987.1	XP_031781752.1
OG0000976	XP_012140789.1, XP_003703304.1	XP_001606432.1
OG0000977	XP_003705214.2	XP_031785179.1, XP_016840542.1
OG0000978	XP_012151304.1	XP_008203197.1
OG0000979	XP_012140964.1	XP_008208358.1
OG0000980	XP_012141251.1	XP_031787265.1
OG0000981	XP_012147611.1, XP_012147608.1, XP_012147610.1, XP_012147609.1	XP_008202998.3, XP_031783435.1
OG0000982	XP_003706709.2, XP_012137028.1	XP_031787327.1
OG0000983	XP_003707404.1	XP_003427562.2
OG0000984	XP_012143046.1	XP_003424431.1
OG0000984	XP_003704405.2	XP_001603549.2
OG0000985	XP_003706912.1	XP_032452397.1, XP_032452396.1, XP_008204163.1, XP_001601701.1
OG0000986	XP_003701877.1	XP_016840806.1
OG0000986	XP_012145235.1	XP_008214937.1
OG0000987	XP_012150428.1	XP_016842371.1
OG0000988	XP_003702699.1	XP_003426713.1, XP_031787402.1
OG0000989	XP_012140416.1, XP_012140398.1, XP_012140408.1	XP_032456182.1, XP_031788590.1, XP_031788601.1, XP_031788596.1
OG0000990	XP_012146272.1, XP_003705682.1	XP_031782876.1
OG0000992	XP_012142757.1	XP_032456181.1, XP_032456180.1, XP_016841525.1, XP_016841521.1
OG0000993	XP_012138207.1, XP_003702300.1	XP_001608053.1, XP_001608047.1
OG0000994	XP_012135077.1	XP_016839998.1
OG0000995	XP_012143974.1	NP_001153450.1, XP_032455945.1
OG0000995	XP_012154470.1	NP_001127783.1
OG0000996	XP_003701102.1, XP_012135525.1	XP_001607273.1
OG0000997	XP_003700349.1	XP_031785641.1
OG0000999	XP_003702512.1, XP_012138897.1	XP_001599305.1, XP_032456021.1, XP_032456020.1
OG0001000	XP_003708469.1	XP_001608110.1
OG0001001	XP_003703042.1	XP_001603900.1, XP_032454168.1
OG0001002	XP_012153545.1, XP_012153470.1	XP_031786462.1, XP_031786460.1, XP_031786461.1, XP_032454813.1
OG0001003	XP_012148505.1, XP_003706692.1	XP_031786764.1, XP_031786766.1
OG0001004	XP_012149128.1	XP_008211009.1
OG0001004	XP_003706862.1	XP_016839580.1, XP_032455704.1
OG0001005	XP_003708347.1	XP_008205600.1, XP_008205599.1, XP_016843090.1, XP_016843918.1
OG0001006	XP_003699241.1, XP_012148696.1	XP_031784848.1, XP_008211438.1
OG0001007	XP_003702879.1, XP_012139397.1, XP_012139396.1	XP_016842295.1, XP_031788072.1
OG0001008	XP_012134571.1	XP_032458023.1
OG0001008	XP_012134691.1	NP_001177963.1
OG0001009	XP_012153813.1	XP_031783374.1
OG0001010	XP_012140072.1	XP_001607395.1, XP_031776854.1, XP_003423973.1, XP_031776855.1, XP_032451638.1
OG0001011	XP_003701148.1	XP_001604770.2
OG0001012	XP_012145132.1	XP_031784899.1
OG0001013	XP_003705487.1, XP_012145775.1	XP_031788641.1, XP_031788643.1, XP_031788642.1, XP_032456511.1, XP_032456512.1, XP_032456513.1, XP_032456514.1, XP_031788639.1, XP_031788644.1
OG0001014	XP_012148695.1, XP_012148697.1, XP_003706766.1, XP_012148698.1, XP_012148699.1	XP_032454056.1, XP_003428062.1, XP_032454054.1, XP_016845141.1, XP_016845139.1
OG0001015	XP_012137197.1	XP_003425592.1
OG0001016	XP_003703809.1	XP_001607384.2
OG0001016	XP_003699952.1	XP_001604992.1
OG0001017	XP_003706023.1	XP_001607039.2, XP_032451948.1
OG0001018	XP_012148403.1	NP_001155852.1
OG0001018	XP_012148402.1	XP_001601162.2
OG0001019	XP_003699355.1	XP_001608115.1, XP_016842095.1
OG0001020	XP_012152180.1, XP_012152181.1, XP_003708140.1	XP_031779052.1
OG0001021	XP_003699520.1, XP_012138849.1	XP_001602210.1
OG0001022	XP_012135767.1	XP_016836879.1
OG0001022	XP_012135994.1	XP_008215638.1
OG0001023	XP_003699272.2	XP_001599379.2
OG0001024	XP_012139549.1, XP_003702926.1	XP_016837715.1, XP_003427454.1, XP_003427453.1, XP_003427452.1, XP_008211089.1, XP_008211088.1
OG0001025	XP_012148895.1	XP_031785398.1, XP_001606010.2
OG0001026	XP_012135322.1	XP_031778012.1
OG0001027	XP_003707337.1	XP_008214395.1, XP_032452523.1, XP_032452522.1, XP_032452521.1, XP_031779616.1
OG0001028	XP_003701499.1	XP_001604584.2
OG0001028	XP_003701816.1	XP_001604446.1
OG0001029	XP_012153029.1	XP_001607413.1, XP_032451642.1
OG0001030	XP_012145749.1	XP_003424575.2
OG0001031	XP_012147844.1	XP_016842453.1
OG0001032	XP_003704228.1	XP_001607807.1
OG0001032	XP_012154394.1	XP_001606710.1
OG0001033	XP_003703151.1	XP_008210877.1, XP_001601768.1, XP_032457048.1, XP_032457046.1
OG0001034	XP_012150155.1	XP_031784406.1, XP_031784407.1
OG0001035	XP_003703548.1, XP_012141492.1	XP_001606861.1, XP_008203558.1
OG0001036	XP_012137742.1	XP_001607856.1
OG0001036	XP_012138164.1	XP_001605019.1
OG0001037	XP_012141539.1, XP_003703553.1	XP_001601129.2
OG0001038	XP_012149996.1	XP_008207533.1, XP_003424853.1, XP_031778777.1
OG0001039	XP_003704469.1, XP_012143252.1, XP_012143251.1, XP_012143253.1	XP_008206089.1, XP_032456318.1
OG0001040	XP_012151831.1	XP_032458030.1, XP_032458031.1, XP_032458027.1, XP_032458029.1, XP_032458032.1, XP_003424668.1, XP_031788693.1, XP_031788694.1, XP_032458028.1, XP_032458033.1
OG0001041	XP_003703257.1, XP_012140624.1	XP_031783039.1, NP_001136323.1
OG0001042	XP_003702248.1	XP_008203825.1
OG0001043	XP_012137974.1, XP_012137973.1	XP_003424009.1, XP_016844819.1
OG0001044	XP_012145419.1	XP_003424621.1, XP_016836857.1
OG0001045	XP_012141449.1	XP_001606266.1
OG0001046	XP_012136085.1	XP_031789307.1, XP_031789309.1, XP_016844569.2
OG0001048	XP_012143051.1	XP_008207429.3
OG0001049	XP_012150682.1, XP_012150685.1	XP_031784881.1, XP_031784883.1
OG0001050	XP_012139027.1	XP_031783816.1, XP_031783810.1
OG0001051	XP_012149168.1, XP_012149224.1, XP_003699242.1, XP_012149360.1	XP_003427534.1, XP_016840524.1
OG0001052	XP_012154004.1, XP_012154008.1	XP_001604954.1
OG0001054	XP_012154176.1	XP_016842506.1
OG0001055	XP_012142874.1	XP_031784964.1, XP_031784963.1
OG0001056	XP_003704471.1	XP_008207347.1
OG0001057	XP_012150279.1, XP_012150280.1	XP_001602018.1
OG0001058	XP_012144415.1	XP_032458090.1, XP_031789093.1
OG0001059	XP_003701850.1, XP_012150237.1	XP_008208155.1
OG0001060	XP_012147435.1	XP_031781772.1
OG0001061	XP_012138000.1, XP_012138045.1, XP_003699198.1	XP_031786543.1
OG0001062	XP_003704092.1	XP_003423884.1, XP_008214759.1
OG0001063	XP_012147018.1	XP_031787733.1
OG0001063	XP_012140859.1	XP_008208616.1
OG0001064	XP_012142407.1, XP_012142405.1	XP_031787506.1
OG0001065	XP_012149279.1, XP_003707068.2	XP_001604056.2, XP_003427340.1
OG0001067	XP_003707733.2, XP_012151227.1, XP_012151224.1	XP_001600313.2
OG0001068	XP_012146153.1, XP_012146145.1	XP_016842107.1, XP_031784716.1
OG0001070	XP_003707963.2, XP_003707964.1	XP_001607507.3
OG0001071	XP_012150330.1	XP_016842081.1
OG0001072	XP_012142873.1, XP_012142877.1	XP_031784957.1
OG0001073	XP_003700141.1	XP_003423859.1
OG0001073	XP_012151379.1	XP_031776847.1
OG0001074	XP_003708179.1	XP_008209334.1
OG0001074	XP_012152362.1	XP_031779121.1
OG0001075	XP_012138621.1, XP_012138620.1, XP_012138625.1, XP_012138624.1, XP_012138622.1	XP_031782154.1, XP_016839209.1, XP_031782151.1, XP_031782150.1, XP_031782153.1, XP_031782152.1
OG0001076	XP_012137657.1, XP_012137656.1, XP_012137654.1, XP_012137653.1, XP_012137652.1, XP_012137651.1, XP_012137655.1	XP_016837510.1, XP_016837509.1, XP_032453442.1
OG0001077	XP_012134804.1	XP_032453049.1
OG0001078	XP_003706792.1	XP_008210269.1, XP_008210270.1, XP_008210271.1, XP_016843990.1, XP_016843989.1
OG0001079	XP_003700353.2	XP_008211650.1, XP_016840479.1, XP_008211646.1, XP_008211647.1, XP_016840480.1
OG0001081	XP_012145792.1	XP_001607983.2, XP_031788174.2
OG0001082	XP_012151415.1	XP_008214725.1
OG0001084	XP_003702849.1	XP_016838352.1, XP_003425934.1
OG0001085	XP_003700405.2, XP_012154064.1	XP_031784469.1, XP_008211614.1, XP_032455784.1, XP_032455786.1, XP_032455785.1, XP_031784470.1, XP_031784471.1, XP_001606977.1
OG0001086	XP_003706174.1	XP_032453207.1, XP_001605628.1, XP_008204328.1, XP_008204329.1
OG0001087	XP_012139723.1, XP_012139724.1	XP_003426616.1, XP_003426618.1, XP_032456285.1, XP_032456284.1
OG0001090	XP_012147385.1, XP_003706183.1	XP_032457605.1, XP_032457606.1, XP_001600472.1, XP_032457607.1
OG0001091	XP_012146112.1	XP_031785408.1, XP_016840416.1
OG0001092	XP_003700030.1	XP_001605819.1
OG0001093	XP_003706880.1	XP_003427218.4, XP_031779285.1
OG0001094	XP_003706678.1	XP_031782503.1, XP_008213609.1
OG0001095	XP_012136589.1, XP_012136590.1, XP_003701462.1	XP_032457727.1
OG0001096	XP_003700497.1, XP_012154247.1, XP_012154246.1	XP_003425115.1, XP_031782797.1
OG0001097	XP_003706929.1, XP_012149371.1, XP_012149372.1	XP_003424766.1
OG0001098	XP_012144364.1	XP_031789531.1, XP_001603423.1, XP_016842518.1, XP_016842523.1
OG0001099	XP_012139004.1	XP_031787397.1
OG0001100	XP_003706328.1, XP_003701747.1	XP_031783420.1
OG0001101	XP_003699363.2	XP_001600262.1
OG0001102	XP_003699435.1	XP_032457645.1, XP_001602465.1
OG0001103	XP_012135822.1, XP_003701133.1	XP_001607402.1
OG0001104	XP_012139104.1, XP_012139103.1, XP_012139105.1	XP_016840630.1
OG0001105	XP_003701454.1	NP_001165930.1
OG0001106	XP_003706346.1, XP_012147775.1, XP_012147774.1	NP_001165789.1
OG0001107	XP_003701151.1, XP_012135901.1, XP_012135902.1	XP_016842156.1
OG0001108	XP_012135922.1	XP_032457359.1, XP_031778262.1
OG0001109	XP_012138817.1	XP_001606469.2
OG0001110	XP_012146445.1, XP_012146443.1, XP_003705729.1	XP_031788465.1
OG0001111	XP_003706394.1	XP_016839633.1
OG0001112	XP_003704075.1	XP_031778614.1
OG0001113	XP_012137395.1, XP_003701894.1, XP_012137394.1	XP_031786692.1
OG0001115	XP_012150492.1, XP_012150491.1, XP_012150490.1, XP_012150487.1, XP_012150489.1, XP_012150488.1, XP_012150494.1, XP_012150495.1, XP_012150496.1, XP_003707513.1	XP_001606127.2
OG0001116	XP_003706247.1	XP_001607643.1
OG0001117	XP_012144347.1	XP_008217800.1, XP_001605901.2
OG0001118	XP_003701943.2	XP_031782585.1, XP_032453978.1, XP_008203783.1
OG0001119	XP_003702461.1	XP_003425014.1, XP_001602619.1, XP_016843971.1
OG0001120	XP_012153711.1	XP_001604234.2
OG0001121	XP_012141625.1, XP_012141627.1, XP_012141621.1, XP_012141620.1, XP_012141619.1, XP_012141623.1, XP_012141622.1, XP_012141624.1	XP_031782800.1, XP_031782801.1, XP_031782799.1
OG0001122	XP_003701851.1	XP_008209601.1
OG0001123	XP_012146962.1	XP_003424977.1
OG0001124	XP_003701067.1	XP_031788510.1
OG0001125	XP_012143831.1	XP_003425026.1
OG0001126	XP_003707487.1	XP_003424309.3
OG0001127	XP_003702084.2, XP_012138092.1	XP_031779496.1, XP_031779495.1
OG0001128	XP_012138052.1	XP_031784571.1, XP_003426947.1, XP_008208751.1
OG0001128	XP_012138049.1	XP_031781216.1
OG0001129	XP_012137049.1, XP_012137046.1	XP_008206205.1, XP_008206206.1
OG0001132	XP_003708394.2	XP_008205312.1, XP_032453720.1
OG0001133	XP_012141536.1, XP_012141532.1, XP_012141533.1, XP_012141534.1, XP_012141535.1	XP_008203489.1
OG0001134	XP_012142803.1, XP_012142805.1, XP_003704180.2	XP_008211472.1
OG0001135	XP_012141843.1	XP_008212599.2
OG0001138	XP_003699964.1, XP_012148664.1	XP_008211425.1, XP_031784853.1
OG0001139	XP_003705950.1, XP_012146880.1	XP_032455231.1, XP_016845441.1, XP_001605918.1
OG0001140	XP_012134975.1	XP_001604284.1
OG0001141	XP_003699214.1, XP_012140363.1	NP_001234899.1, XP_008209307.1
OG0001142	XP_012154144.1	XP_001599805.2, XP_008213880.1, XP_008213879.1, XP_008213881.1
OG0001143	XP_003699188.2	XP_008214909.1
OG0001144	XP_012143909.1	XP_031787271.1
OG0001145	XP_003707584.1	XP_016840554.1
OG0001146	XP_012154049.1, XP_003700377.2	XP_001604010.1
OG0001148	XP_003700592.1	XP_008206679.1
OG0001149	XP_012134917.1, XP_012134910.1	XP_003426568.1
OG0001150	XP_012139922.1	XP_008205817.1, XP_001600445.1
OG0001151	XP_003707769.1	XP_003427238.1, XP_001606424.1
OG0001152	XP_012148994.1, XP_003706990.2, XP_012148993.1	XP_031784874.1
OG0001153	XP_012148577.1, XP_012148580.1	XP_031783844.1, XP_031783841.1
OG0001154	XP_012153385.1, XP_012153384.1, XP_003708546.1	XP_008206054.1, XP_032456325.1
OG0001155	XP_003701945.1, XP_012137511.1	XP_008213582.1, XP_008213583.1, XP_008213584.1, XP_001606200.2
OG0001156	XP_012149143.1	XP_016841496.1
OG0001157	XP_003706419.1	XP_032453390.1, XP_032453389.1, XP_008204796.2, XP_031780242.1, XP_031780240.1
OG0001158	XP_003703152.1, XP_012140207.1, XP_012140208.1	XP_003423881.1
OG0001159	XP_003699306.1	XP_008204614.1, XP_008204613.1, XP_008204612.1, XP_008204616.1, XP_008204615.1
OG0001160	XP_003704991.2	XP_031783145.1
