Orthogroup	Megachile_rotundata	Osmia_bicornis
OG0001460	XP_003701853.1	XP_029036249.1
OG0001461	XP_003707359.1, XP_012150325.1, XP_012150326.1, XP_012150324.1	XP_029036407.1, XP_029036408.1, XP_029036406.1
OG0001462	XP_003705852.1	XP_029038649.1
OG0001462	XP_012146665.1	XP_029038652.1
OG0001463	XP_003705629.1	XP_029053110.1
OG0001464	XP_012140660.1, XP_003703270.1	XP_029040572.1
OG0001465	XP_012138427.1, XP_003702262.1	XP_029056629.1, XP_029056628.1
OG0001466	XP_003703397.1	XP_029041250.1
OG0001466	XP_003701756.1	XP_029040137.1
OG0001467	XP_003702020.1	XP_029032514.1, XP_029032515.1, XP_029032518.1, XP_029032516.1, XP_029032519.1
OG0001468	XP_003699387.1	XP_029043109.1
OG0001468	XP_003699386.1	XP_029043110.1
OG0001469	XP_012149074.1, XP_012148936.1, XP_012148869.1, XP_012149002.1, XP_003699309.1	XP_029037613.1
OG0001470	XP_012147279.1, XP_012147280.1	XP_029038904.1, XP_029038905.1, XP_029038903.1
OG0001471	XP_003707711.1, XP_003707710.1	XP_029033027.1
OG0001472	XP_012152060.1	XP_029037086.1
OG0001472	XP_012142269.1, XP_003704007.1	XP_029038615.1
OG0001473	XP_003701445.2	XP_029034238.1, XP_029034236.1, XP_029034237.1, XP_029034234.1, XP_029034235.1
OG0001474	XP_003706861.1	XP_029039988.1
OG0001475	XP_003707927.1	XP_029037911.1, XP_029037910.1
OG0001476	XP_012134858.1	XP_029049330.1
OG0001477	XP_003706943.1	XP_029040039.1
OG0001478	XP_003703127.1	XP_029055557.1
OG0001479	XP_003699231.1	XP_029044070.1
OG0001480	XP_012139923.1, XP_003703030.1	XP_029047289.1
OG0001481	XP_012148072.1	XP_029033413.1, XP_029033411.1
OG0001482	XP_012154088.1	XP_029051009.1, XP_029051010.1
OG0001483	XP_012144587.1, XP_012144588.1, XP_012144589.1	XP_029053716.1
OG0001484	XP_012151969.1	XP_029037396.1
OG0001485	XP_003700738.2	XP_029056153.1
OG0001486	XP_012134505.1	XP_029048935.1
OG0001486	XP_012134503.1	XP_029048933.1
OG0001487	XP_003706964.2	XP_029040531.1
OG0001488	XP_012140532.1	XP_029050400.1
OG0001488	XP_012140542.1	XP_029050396.1, XP_029050399.1
OG0001489	XP_012142590.1	XP_029034683.1
OG0001490	XP_012145224.1, XP_012145225.1	XP_029042050.1
OG0001491	XP_012149603.1, XP_012149602.1, XP_012149601.1, XP_003707125.1, XP_012149605.1	XP_029037402.1
OG0001492	XP_012154169.1	XP_029051008.1
OG0001493	XP_012143623.1, XP_012143618.1	XP_029033513.1
OG0001494	XP_012142423.1	XP_029042364.1
OG0001495	XP_003704451.1	XP_029035135.1, XP_029035153.1, XP_029035126.1, XP_029035143.1
OG0001496	XP_012148217.1	XP_029054351.1
OG0001497	XP_012151254.1	XP_029048447.1, XP_029048445.1, XP_029048444.1
OG0001498	XP_012149890.1, XP_012149885.1, XP_012149886.1	XP_029036977.1, XP_029036979.1
OG0001499	XP_003700193.2	XP_029040363.1
OG0001500	XP_012150430.1, XP_012150423.1	XP_029038777.1
OG0001501	XP_003702049.1	XP_029055526.1
OG0001501	XP_012138005.1	XP_029055527.1
OG0001502	XP_003702050.1	XP_029055525.1
OG0001503	XP_012154508.1	XP_029049700.1, XP_029049697.1
OG0001504	XP_003704073.1	XP_029052689.1
OG0001505	XP_003707392.2, XP_012150017.1, XP_012150018.1	XP_029048731.1
OG0001506	XP_003701281.1	XP_029041958.1, XP_029041960.1, XP_029041959.1
OG0001507	XP_003704760.1	XP_029040825.1
OG0001508	XP_012144584.1	XP_029033136.1
OG0001509	XP_012145883.1	XP_029035096.1, XP_029035094.1
OG0001510	XP_012145851.1	XP_029048819.1
OG0001511	XP_003702175.1	XP_029055474.1
OG0001512	XP_012145321.1	XP_029042216.1
OG0001512	XP_012145320.1	XP_029042235.1
OG0001513	XP_012153812.1	XP_029048889.1
OG0001514	XP_003700242.1, XP_012153732.1, XP_012153734.1, XP_012153733.1	XP_029037337.1
OG0001515	XP_012140232.1	XP_029055431.1
OG0001517	XP_003700693.1	XP_029046635.1
OG0001518	XP_003701655.1	XP_029032938.1, XP_029032939.1
OG0001519	XP_003700588.2	XP_029048918.1
OG0001520	XP_012136622.1, XP_012136623.1	XP_029056592.1
OG0001521	XP_003705269.1, XP_012145107.1, XP_012145106.1	XP_029048178.1
OG0001522	XP_003699840.1	XP_029046200.1
OG0001523	XP_012145413.1, XP_012145408.1, XP_012145412.1, XP_012145411.1, XP_012145407.1, XP_012145409.1, XP_003705344.1	XP_029036752.1
OG0001524	XP_003707715.1	XP_029033727.1
OG0001525	XP_003706007.1	XP_029045785.1
OG0001526	XP_012150716.1, XP_012150720.1	XP_029039080.1, XP_029039033.1
OG0001527	XP_012150166.1, XP_003699997.2	XP_029039352.1
OG0001529	XP_012152267.1	XP_029046278.1, XP_029046280.1, XP_029046281.1, XP_029046282.1
OG0001530	XP_012151687.1, XP_012151688.1	XP_029033999.1, XP_029033997.1, XP_029034001.1, XP_029034000.1, XP_029034003.1, XP_029034002.1
OG0001531	XP_003705210.1	XP_029045528.1, XP_029045527.1, XP_029045531.1, XP_029045530.1
OG0001532	XP_012141142.1	XP_029047041.1, XP_029047040.1, XP_029047039.1
OG0001533	XP_012143278.1, XP_003704557.1	XP_029039196.1
OG0001534	XP_012151396.1	XP_029042396.1, XP_029042393.1, XP_029042392.1, XP_029042395.1, XP_029042394.1
OG0001535	XP_003702338.1	XP_029041515.1, XP_029041514.1
OG0001536	XP_012153011.1	XP_029043998.1
OG0001537	XP_012134593.1, XP_003700663.1	XP_029041748.1
OG0001538	XP_003705599.1	XP_029043474.1, XP_029043706.1
OG0001539	XP_003704195.1	XP_029052353.1
OG0001540	XP_012151512.1	XP_029038083.1
OG0001541	XP_003702036.1	XP_029032292.1, XP_029032291.1
OG0001542	XP_003699473.1	XP_029032403.1, XP_029032393.1
OG0001543	XP_012152090.1	XP_029054496.1
OG0001545	XP_012147299.1	XP_029037038.1, XP_029037156.1
OG0001546	XP_003705190.1	XP_029042168.1
OG0001547	XP_012144391.1	XP_029040329.1
OG0001548	XP_012145040.1, XP_012145042.1, XP_012145041.1	XP_029047586.1, XP_029047583.1, XP_029047584.1
OG0001549	XP_012140344.1, XP_012140345.1	XP_029036007.1, XP_029036008.1, XP_029036009.1
OG0001551	XP_003703120.2	XP_029055449.1
OG0001552	XP_012137496.1, XP_012137493.1	XP_029032099.1, XP_029032096.1
OG0001553	XP_003700859.1	XP_029055962.1, XP_029055964.1
OG0001554	XP_012142523.1	XP_029050063.1
OG0001554	XP_012142516.1	XP_029050028.1
OG0001555	XP_003700399.1	XP_029036488.1
OG0001556	XP_012142836.1	XP_029044980.1
OG0001557	XP_012134493.1, XP_012134501.1	XP_029035431.1
OG0001558	XP_003706453.1	XP_029050297.1
OG0001559	XP_003701996.1	XP_029041271.1, XP_029041274.1, XP_029041275.1, XP_029041272.1, XP_029041273.1
OG0001560	XP_012152574.1	XP_029041351.1
OG0001561	XP_012153363.1	XP_029045928.1, XP_029045929.1
OG0001562	XP_012146167.1	XP_029035187.1
OG0001563	XP_012142206.1	XP_029036922.1
OG0001563	XP_012142232.1	XP_029036925.1
OG0001564	XP_012152732.1	XP_029054776.1, XP_029054676.1
OG0001564	XP_012138746.1	XP_029054686.1
OG0001565	XP_012143226.1	XP_029052456.1
OG0001567	XP_003705693.1	XP_029036870.1, XP_029036871.1
OG0001568	XP_012150304.1	XP_029036603.1
OG0001569	XP_012139688.1, XP_003702800.1	XP_029039068.1
OG0001570	XP_003706331.1, XP_012147701.1, XP_012147700.1, XP_012147702.1	XP_029042704.1
OG0001571	XP_003704407.1	XP_029049963.1
OG0001572	XP_003701369.1	XP_029056363.1
OG0001573	XP_012141615.1	XP_029037844.1, XP_029037845.1, XP_029037847.1, XP_029037846.1, XP_029037848.1
OG0001574	XP_012142706.1, XP_012142709.1	XP_029052089.1, XP_029052093.1
OG0001575	XP_012144229.1	XP_029047969.1
OG0001576	XP_012151098.1	XP_029040570.1
OG0001577	XP_003703471.2	XP_029046400.1
OG0001578	XP_012135020.1	XP_029048033.1, XP_029048044.1, XP_029048023.1
OG0001579	XP_012148874.1, XP_012148872.1	XP_029040562.1, XP_029040558.1
OG0001580	XP_012135639.1	XP_029047159.1
OG0001581	XP_003706977.1	XP_029040501.1
OG0001582	XP_012147352.1, XP_012147353.1, XP_012147350.1, XP_012147351.1	XP_029047173.1, XP_029047172.1, XP_029047171.1
OG0001583	XP_012141906.1, XP_012141890.1, XP_012141882.1, XP_012141915.1, XP_012141899.1	XP_029036943.1
OG0001584	XP_012151643.1, XP_003707893.1	XP_029034029.1
OG0001585	XP_012146645.1	XP_029055399.1, XP_029055037.1
OG0001586	XP_012136684.1, XP_012136683.1, XP_003701498.1, XP_012136685.1, XP_012136681.1, XP_012136682.1	XP_029034228.1
OG0001587	XP_012137740.1, XP_003702052.1	XP_029032253.1
OG0001588	XP_012134520.1, XP_012134519.1	XP_029048881.1
OG0001589	XP_012150319.1, XP_003707355.1	XP_029036502.1, XP_029036500.1
OG0001590	XP_012148053.1	XP_029051587.1
OG0001592	XP_012141805.1	XP_029037953.1
OG0001593	XP_012146918.1	XP_029052765.1
OG0001594	XP_003703415.1	XP_029055518.1, XP_029055519.1
OG0001595	XP_012146189.1, XP_003705662.1	XP_029047246.1
OG0001596	XP_003707140.1, XP_012149518.1	XP_029051870.1, XP_029051869.1
OG0001597	XP_003700940.2, XP_012135101.1	XP_029041598.1
OG0001598	XP_012139907.1, XP_012139904.1, XP_012139909.1, XP_012139901.1, XP_012139919.1, XP_012139918.1	XP_029035514.1
OG0001599	XP_003701479.1	XP_029032089.1, XP_029032088.1, XP_029032090.1
OG0001600	XP_012151844.1, XP_012151837.1, XP_003700157.1	XP_029041422.1
OG0001601	XP_012151798.1	XP_029051974.1, XP_029051976.1, XP_029051958.1
OG0001603	XP_003706605.2, XP_003706606.1	XP_029047403.1, XP_029047402.1
OG0001604	XP_012151094.1	XP_029044763.1
OG0001605	XP_012152109.1, XP_012152105.1, XP_012148624.1	XP_029039316.1
OG0001606	XP_012145577.1	XP_029048641.1
OG0001607	XP_003708443.1	XP_029042931.1
OG0001608	XP_003707683.1	XP_029035490.1
OG0001609	XP_012143796.1, XP_003706373.1, XP_012147953.1	XP_029035777.1
OG0001610	XP_012144348.1	XP_029036302.1
OG0001611	XP_003704574.1, XP_012143543.1	XP_029038852.1, XP_029038853.1, XP_029038850.1, XP_029038851.1
OG0001612	XP_012141726.1, XP_012141725.1	XP_029051728.1, XP_029051727.1, XP_029051726.1, XP_029051729.1
OG0001614	XP_012144865.1	XP_029035009.1
OG0001614	XP_012144859.1	XP_029034998.1
OG0001615	XP_003706347.1	XP_029041015.1, XP_029041014.1
OG0001616	XP_012148066.1	XP_029048974.1
OG0001617	XP_003706311.1	XP_029052247.1
OG0001619	XP_003701825.1	XP_029048423.1
OG0001620	XP_012135834.1, XP_003701138.1	XP_029049615.1, XP_029049616.1
OG0001621	XP_003699542.1	XP_029053378.1
OG0001622	XP_003704565.2	XP_029041834.1
OG0001623	XP_012139931.1, XP_012139932.1, XP_012139934.1, XP_012139935.1, XP_003703031.1, XP_012139930.1	XP_029045853.1
OG0001624	XP_003707163.1	XP_029033140.1
OG0001625	XP_003701122.1	XP_029046814.1
OG0001626	XP_003707071.1, XP_012149296.1	XP_029039632.1, XP_029039631.1
OG0001627	XP_012142226.1	XP_029052083.1
OG0001628	XP_003706182.1	XP_029035837.1
OG0001629	XP_012134914.1	XP_029038883.1
OG0001630	XP_012149399.1	XP_029045678.1
OG0001631	XP_003699352.1	XP_029042683.1, XP_029042681.1
OG0001632	XP_012152615.1	XP_029045335.1
OG0001633	XP_003704191.2	XP_029050350.1
OG0001635	XP_003700442.1	XP_029049661.1
OG0001636	XP_012135111.1	XP_029041561.1, XP_029041550.1, XP_029041560.1
OG0001637	XP_012137021.1, XP_012137022.1, XP_003701735.1	XP_029049035.1, XP_029049034.1, XP_029049033.1, XP_029049032.1, XP_029049031.1
OG0001638	XP_012153931.1, XP_003700331.2	XP_029046644.1
OG0001638	XP_003707829.1	XP_029033173.1
OG0001639	XP_012139503.1, XP_012139505.1, XP_012139506.1, XP_012139500.1, XP_012139499.1, XP_012139501.1, XP_012139502.1	XP_029041904.1
OG0001640	XP_003702429.1	XP_029043527.1, XP_029044243.1
OG0001641	XP_012150147.1	XP_029043918.1
OG0001642	XP_003700849.1	XP_029041523.1, XP_029041521.1, XP_029041520.1, XP_029041522.1
OG0001643	XP_012139802.1	XP_029043348.1, XP_029043347.1, XP_029043346.1
OG0001644	XP_003702550.2	XP_029044240.1
OG0001645	XP_003707512.1	XP_029044315.1, XP_029044314.1
OG0001646	XP_012137346.1	XP_029033719.1
OG0001647	XP_012139375.1	XP_029045431.1
OG0001648	XP_003703869.1	XP_029050942.1, XP_029050943.1, XP_029050944.1
OG0001649	XP_012150556.1	XP_029041370.1, XP_029041369.1, XP_029041368.1
OG0001650	XP_003704519.2	XP_029037514.1, XP_029037512.1, XP_029037513.1
OG0001651	XP_012148202.1, XP_012148180.1, XP_012148196.1	XP_029048948.1
OG0001652	XP_012141240.1	XP_029041293.1
OG0001653	XP_012147584.1	XP_029044672.1, XP_029044670.1, XP_029044669.1, XP_029044671.1
OG0001654	XP_012134616.1, XP_003700747.1	XP_029041762.1, XP_029041760.1, XP_029041761.1, XP_029041758.1, XP_029041759.1, XP_029041763.1
OG0001655	XP_003703150.1	XP_029055475.1
OG0001656	XP_003699406.1	XP_029031948.1, XP_029031949.1
OG0001657	XP_003706618.1	XP_029035294.1, XP_029035293.1
OG0001658	XP_012137784.1	XP_029033443.1
OG0001659	XP_012146888.1, XP_012146887.1	XP_029036804.1
OG0001660	XP_012140533.1	XP_029050401.1
OG0001661	XP_003699710.1, XP_012143942.1	XP_029047707.1
OG0001662	XP_012153291.1	XP_029045835.1
OG0001662	XP_012153289.1	XP_029045838.1
OG0001663	XP_003699500.1	XP_029039881.1, XP_029039882.1, XP_029039883.1
OG0001664	XP_012149935.1	XP_029045726.1
OG0001664	XP_012149923.1	XP_029045718.1
OG0001665	XP_012148252.1	XP_029038507.1
OG0001666	XP_012147919.1, XP_003706369.1	XP_029035783.1
OG0001668	XP_012146313.1, XP_003705703.1, XP_012146311.1	XP_029036775.1
OG0001669	XP_012143194.1	XP_029035840.1
OG0001670	XP_012148029.1, XP_012148028.1, XP_012148027.1, XP_003706491.1	XP_029032431.1, XP_029032438.1
OG0001671	XP_012148803.1	XP_029051433.1, XP_029051434.1
OG0001672	XP_012134919.1	XP_029038878.1
OG0001673	XP_003707973.1	XP_029038017.1, XP_029038016.1, XP_029038015.1, XP_029038018.1
OG0001674	XP_012151708.1	XP_029050257.1
OG0001675	XP_003708343.2	XP_029043446.1
OG0001676	XP_012140189.1, XP_012140188.1, XP_012140190.1	XP_029055465.1
OG0001677	XP_012140510.1, XP_003703246.1, XP_012140509.1	XP_029041707.1, XP_029041799.1
OG0001678	XP_003708069.1	XP_029047469.1, XP_029047470.1
OG0001679	XP_003700555.1	XP_029048832.1, XP_029048831.1, XP_029048833.1
OG0001680	XP_012144403.1	XP_029033268.1, XP_029033269.1
OG0001681	XP_003704239.1	XP_029036098.1
OG0001682	XP_012152352.1	XP_029052026.1
OG0001683	XP_003703522.1	XP_029041067.1, XP_029041068.1, XP_029041064.1, XP_029041066.1
OG0001684	XP_012145799.1	XP_029049999.1
OG0001685	XP_003703991.1	XP_029037041.1
OG0001686	XP_012135513.1	XP_029049380.1
OG0001687	XP_012142809.1, XP_012142813.1	XP_029044510.1
OG0001689	XP_003704259.1	XP_029043772.1, XP_029043780.1
OG0001690	XP_012152504.1	XP_029043541.1
OG0001691	XP_003706344.1	XP_029041172.1, XP_029041171.1
OG0001692	XP_012154182.1, XP_012154183.1, XP_012154184.1, XP_012154187.1, XP_012154185.1	XP_029042328.1
OG0001693	XP_003703517.1, XP_012141375.1, XP_012141374.1	XP_029041290.1
OG0001694	XP_003699911.1, XP_012145892.1	XP_029047193.1, XP_029047192.1
OG0001695	XP_003705899.1	XP_029036779.1
OG0001696	XP_012147905.1, XP_012147901.1	XP_029040418.1, XP_029040409.1
OG0001697	XP_003706011.1	XP_029045797.1
OG0001699	XP_003703501.1	XP_029041247.1
OG0001700	XP_012152399.1	XP_029056367.1
OG0001701	XP_012143744.1	XP_029047529.1, XP_029047525.1
OG0001702	XP_003702570.1	XP_029048394.1, XP_029048396.1, XP_029048395.1, XP_029048397.1
OG0001703	XP_003705789.1, XP_012146509.1	XP_029053026.1
OG0001703	XP_003705790.1	XP_029053028.1
OG0001704	XP_003700189.1, XP_012152954.1	XP_029056076.1, XP_029056079.1, XP_029056077.1
OG0001706	XP_003702391.1	XP_029043578.1, XP_029043574.1, XP_029043575.1, XP_029043573.1, XP_029043577.1
OG0001707	XP_012147062.1, XP_003706041.1	XP_029040459.1
OG0001708	XP_003703506.1	XP_029041028.1
OG0001709	XP_012152385.1	XP_029050200.1, XP_029050209.1
OG0001710	XP_012138236.1	XP_029041574.1
OG0001710	XP_003702278.1	XP_029041580.1
OG0001710	XP_003702340.1, XP_003702277.1	XP_029041582.1
OG0001711	XP_003708383.1, XP_012152751.1, XP_012152752.1	XP_029042921.1
OG0001712	XP_012140448.1, XP_012140449.1	XP_029035719.1, XP_029035720.1
OG0001713	XP_012140723.1, XP_012140724.1	XP_029048048.1, XP_029048047.1, XP_029048046.1
OG0001714	XP_012139220.1, XP_012139225.1	XP_029050791.1
OG0001715	XP_012136821.1	XP_029033877.1
OG0001716	XP_012148366.1	XP_029040492.1
OG0001717	XP_012137287.1	XP_029033708.1, XP_029033699.1, XP_029033691.1
OG0001718	XP_003705642.1	XP_029051687.1
OG0001719	XP_003706430.1, XP_012147835.1	XP_029037938.1, XP_029037939.1
OG0001720	XP_003707485.1	XP_029046381.1, XP_029046380.1, XP_029046379.1
OG0001721	XP_012148358.1	XP_029039289.1
OG0001721	XP_012148359.1	XP_029039323.1
OG0001722	XP_012150036.1	XP_029048706.1, XP_029048702.1, XP_029048703.1, XP_029048704.1, XP_029048705.1, XP_029048707.1
OG0001724	XP_012150271.1	XP_029036442.1, XP_029036443.1
OG0001725	XP_012154309.1, XP_012154308.1	XP_029045224.1
OG0001726	XP_012134728.1	XP_029041968.1
OG0001727	XP_003699745.1	XP_029044570.1
OG0001728	XP_012134675.1	XP_029046665.1, XP_029046657.1
OG0001729	XP_012149413.1	XP_029050566.1
OG0001730	XP_012139893.1	XP_029035550.1
OG0001731	XP_012146689.1, XP_003705854.1	XP_029048092.1
OG0001732	XP_003705430.1, XP_012145657.1	XP_029043901.1
OG0001733	XP_012136994.1	XP_029040692.1
OG0001734	XP_012147074.1, XP_003706046.1	XP_029041078.1, XP_029041085.1, XP_029041093.1, XP_029041102.1
OG0001735	XP_003701533.1	XP_029034196.1, XP_029034197.1
OG0001736	XP_012152038.1	XP_029049568.1
OG0001737	XP_003706607.1	XP_029047424.1, XP_029047422.1, XP_029047423.1
OG0001738	XP_003701699.1	XP_029034270.1
OG0001739	XP_012143056.1	XP_029047535.1
OG0001740	XP_012148970.1, XP_003706817.1	XP_029045700.1, XP_029045692.1
OG0001741	XP_012136835.1	XP_029034269.1, XP_029034268.1
OG0001742	XP_012136211.1	XP_029056342.1
OG0001743	XP_003704286.2, XP_012142697.1, XP_012142698.1	XP_029049959.1, XP_029049960.1, XP_029049958.1
OG0001744	XP_012146970.1	XP_029034818.1
OG0001745	XP_012137160.1	XP_029049388.1, XP_029049386.1
OG0001746	XP_003703699.1	XP_029045290.1
OG0001747	XP_012153715.1, XP_012153718.1, XP_012153719.1, XP_003700293.1, XP_012153716.1, XP_012153717.1, XP_012153714.1	XP_029044869.1, XP_029044868.1, XP_029044870.1
OG0001748	XP_012136615.1	XP_029032073.1, XP_029032064.1
OG0001749	XP_012148449.1	XP_029040788.1
OG0001750	XP_003699586.1	XP_029044823.1, XP_029044825.1
OG0001751	XP_003701501.1, XP_012136689.1	XP_029056586.1, XP_029056587.1
OG0001752	XP_012143489.1	XP_029039201.1
OG0001753	XP_003706694.1	XP_029050541.1
OG0001754	XP_012141609.1	XP_029040725.1
OG0001754	XP_012136273.1	XP_029045989.1
OG0001756	XP_003706604.1	XP_029035240.1
OG0001757	XP_012142983.1	XP_029036070.1
OG0001758	XP_003705252.1	XP_029042180.1, XP_029042177.1, XP_029042178.1, XP_029042179.1
OG0001759	XP_003701941.1, XP_012137503.1	XP_029032105.1
OG0001760	XP_003702127.1	XP_029048484.1
OG0001762	XP_012148878.1, XP_003706789.1	XP_029040564.1
OG0001763	XP_003700566.1, XP_012154469.1	XP_029053396.1
OG0001765	XP_012136106.1	XP_029039005.1, XP_029039004.1, XP_029039003.1
OG0001767	XP_003707472.1, XP_012149995.1	XP_029048720.1
OG0001768	XP_003706687.1	XP_029039800.1
OG0001769	XP_012138463.1	XP_029034136.1
OG0001771	XP_003705216.1, XP_012145090.1, XP_012145093.1, XP_012145091.1	XP_029055778.1, XP_029055779.1, XP_029055777.1, XP_029055780.1
OG0001773	XP_012154349.1	XP_029048634.1
OG0001774	XP_012149582.1	XP_029045460.1
OG0001775	XP_012154197.1	XP_029042334.1, XP_029042333.1
OG0001776	XP_012146502.1, XP_003705787.1	XP_029052622.1
OG0001777	XP_003699193.1	XP_029033694.1
OG0001777	XP_012135904.1	XP_029033498.1
OG0001778	XP_003700370.1	XP_029036678.1
OG0001779	XP_003706847.1	XP_029040462.1
OG0001780	XP_003702781.1	XP_029050706.1
OG0001781	XP_012140213.1	XP_029053291.1
OG0001782	XP_012138573.1, XP_003702394.1	XP_029048493.1
OG0001783	XP_012153190.1	XP_029047303.1
OG0001784	XP_012148009.1, XP_012148010.1, XP_012148011.1	XP_029050306.1
OG0001785	XP_003708459.1, XP_012152861.1	XP_029045993.1, XP_029046001.1
OG0001786	XP_003703759.1	XP_029037857.1, XP_029037856.1
OG0001787	XP_003706905.1	XP_029050564.1, XP_029050565.1, XP_029050563.1
OG0001788	XP_012141594.1	XP_029048755.1
OG0001789	XP_003702679.1	XP_029036577.1, XP_029036575.1
OG0001790	XP_003705513.1	XP_029050003.1, XP_029050002.1
OG0001791	XP_012138231.1, XP_012138230.1, XP_012138229.1, XP_012138232.1	XP_029041575.1, XP_029041576.1
OG0001792	XP_003704979.1	XP_029033135.1, XP_029033137.1
OG0001793	XP_003703372.1	XP_029050447.1
OG0001794	XP_012138228.1	XP_029041647.1, XP_029041595.1
OG0001795	XP_003707276.1	XP_029036342.1
OG0001796	XP_003704098.1	XP_029045166.1
OG0001797	XP_003705276.1	XP_029042045.1
OG0001799	XP_012152790.1	XP_029046350.1
OG0001800	XP_003703789.1	XP_029047399.1
OG0001801	XP_003707540.1	XP_029042699.1
OG0001802	XP_003701460.1	XP_029043170.1
OG0001803	XP_003700826.1, XP_012135007.1, XP_012135006.1	XP_029042974.1, XP_029042973.1, XP_029042972.1, XP_029042971.1
OG0001804	XP_012139092.1, XP_012139091.1, XP_012139089.1, XP_003702672.1	XP_029036643.1
OG0001805	XP_012152572.1	XP_029043315.1
OG0001806	XP_003706448.1	XP_029054142.1, XP_029054141.1
OG0001807	XP_012141865.1, XP_012141866.1, XP_012141867.1	XP_029040769.1
OG0001808	XP_012136611.1	XP_029032074.1
OG0001809	XP_003703087.1	XP_029055565.1
OG0001810	XP_012150387.1	XP_029041184.1
OG0001810	XP_012150386.1	XP_029041181.1
OG0001811	XP_003699893.1, XP_012146304.1	XP_029046125.1
OG0001812	XP_012152368.1, XP_012152367.1	XP_029039791.1
OG0001813	XP_012150502.1	XP_029044198.1
OG0001814	XP_012146115.1	XP_029042421.1, XP_029045552.1
OG0001815	XP_003706805.1	XP_029040479.1
OG0001816	XP_003707640.1, XP_012150641.1	XP_029044832.1, XP_029044831.1, XP_029044829.1
OG0001817	XP_012134861.1	XP_029033248.1, XP_029033247.1
OG0001818	XP_012143501.1	XP_029038479.1, XP_029038480.1, XP_029038477.1
OG0001819	XP_003699430.1	XP_029033511.1
OG0001820	XP_003707104.1, XP_012149520.1	XP_029051864.1
OG0001821	XP_012147907.1, XP_003706357.1	XP_029040388.1
OG0001822	XP_003703530.1	XP_029046426.1, XP_029046425.1
OG0001823	XP_012136264.1	XP_029036949.1
OG0001824	XP_003700865.1, XP_012135183.1	XP_029031980.1, XP_029031977.1
OG0001825	XP_003701480.1	XP_029032081.1
OG0001826	XP_012146129.1, XP_012146130.1, XP_012146131.1, XP_012146134.1, XP_012146132.1, XP_012146133.1, XP_003705635.1, XP_012146127.1, XP_012146128.1	XP_029053086.1
OG0001827	XP_012139141.1	XP_029036559.1
OG0001828	XP_003702396.1	XP_029048531.1
OG0001829	XP_012144120.1, XP_012144119.1	XP_029047842.1, XP_029047841.1
OG0001830	XP_012145185.1	XP_029042153.1
OG0001831	XP_012139389.1	XP_029045342.1
OG0001832	XP_003705967.1	XP_029052768.1, XP_029052767.1, XP_029052766.1, XP_029052769.1
OG0001833	XP_003703423.1	XP_029045272.1
OG0001834	XP_003707795.1, XP_012151120.1, XP_012151119.1	XP_029042694.1, XP_029042695.1
OG0001835	XP_003706134.1	XP_029047233.1
OG0001836	XP_012145254.1, XP_012145260.1	XP_029037552.1
OG0001837	XP_012154447.1, XP_012154451.1, XP_012154450.1, XP_012154449.1, XP_012154448.1, XP_012154452.1, XP_003700606.1	XP_029037380.1, XP_029037381.1
OG0001838	XP_003701089.1	XP_029051146.1, XP_029051147.1
OG0001839	XP_003705315.1, XP_012145347.1	XP_029050310.1
OG0001840	XP_012145200.1	XP_029042173.1
OG0001841	XP_003700397.2	XP_029036470.1
OG0001842	XP_003702260.1	XP_029031995.1, XP_029031994.1
OG0001843	XP_012150857.1, XP_012150858.1, XP_003707567.1	XP_029047793.1
OG0001844	XP_012152496.1	XP_029043545.1
OG0001845	XP_003702489.1	XP_029046828.1
OG0001846	XP_003707292.1	XP_029055810.1
OG0001847	XP_012152980.1, XP_012153146.1	XP_029040367.1
OG0001848	XP_012140215.1, XP_003703080.1	XP_029055489.1, XP_029055490.1
OG0001849	XP_003703496.2	XP_029053171.1
OG0001850	XP_012152022.1	XP_029037643.1
OG0001851	XP_003705365.1, XP_012145537.1	XP_029045173.1, XP_029045174.1, XP_029045172.1
OG0001852	XP_003699279.1	XP_029049682.1
OG0001853	XP_012136245.1	XP_029043094.1
OG0001854	XP_012142510.1	XP_029045247.1
OG0001855	XP_012144474.1, XP_012144473.1	XP_029041716.1
OG0001856	XP_012152678.1	XP_029039272.1
OG0001857	XP_012151852.1	XP_029041402.1
OG0001858	XP_003704198.1	XP_029044979.1, XP_029044977.1
OG0001859	XP_003704257.1, XP_012143013.1	XP_029043804.1, XP_029043803.1
OG0001860	XP_012142237.1	XP_029050093.1
OG0001860	XP_003703966.1	XP_029050098.1
OG0001861	XP_012139144.1	XP_029048687.1
OG0001863	XP_012144871.1, XP_003705098.1, XP_012144870.1	XP_029035027.1, XP_029035029.1, XP_029035026.1
OG0001864	XP_003703202.2	XP_029048578.1
OG0001865	XP_012146126.1, XP_003705671.1	XP_029053119.1, XP_029053120.1, XP_029053121.1
OG0001866	XP_003708355.1	XP_029043436.1, XP_029043437.1
OG0001867	XP_003701904.1	XP_029048154.1
OG0001868	XP_003707740.1	XP_029048430.1
OG0001869	XP_012146861.1, XP_012146862.1	XP_029045809.1
OG0001870	XP_003703359.1	XP_029055542.1
OG0001871	XP_003701743.1	XP_029048416.1
OG0001872	XP_003703430.1	XP_029041112.1, XP_029041932.1
OG0001873	XP_003703441.1, XP_012141056.1	XP_029038144.1
