Orthogroup	Megachile_rotundata	Polistes_dominula
OG0000528	XP_003707178.1	XP_015173596.1
OG0000529	XP_012145252.1	XP_015180779.1
OG0000529	XP_003704796.1	XP_015174000.1
OG0000530	XP_012145160.1	XP_015172268.1
OG0000530	XP_012145199.1	XP_015172277.1
OG0000531	XP_012140216.1	XP_015171584.1
OG0000533	XP_012148330.1	XP_015187513.1, XP_015187512.1
OG0000534	XP_012147486.1	XP_015189981.1, XP_015189924.1
OG0000536	XP_012151826.1	XP_015190937.1
OG0000536	XP_012150447.1	XP_015188262.1
OG0000538	XP_003703203.1	XP_015191382.1
OG0000540	XP_012146859.1	XP_015188027.1
OG0000541	XP_012141741.1, XP_012141742.1, XP_012141739.1, XP_003703819.1	XP_015184399.1, XP_015184400.1, XP_015184401.1, XP_015184397.1
OG0000542	XP_003701338.1	XP_015173526.1, XP_015173523.1, XP_015173522.1, XP_015173525.1, XP_015173524.1, XP_015173519.1, XP_015173521.1, XP_015173520.1, XP_015173529.1, XP_015173527.1
OG0000543	XP_012153054.1, XP_012153053.1, XP_012153052.1, XP_012153055.1, XP_012153050.1, XP_012153051.1, XP_012153056.1	XP_015176987.1
OG0000545	XP_003703186.1	XP_015190238.1
OG0000546	XP_012151391.1	XP_015182760.1
OG0000547	XP_003702085.1, XP_012138083.1, XP_012138081.1, XP_012138082.1	XP_015181073.1
OG0000548	XP_003705921.1	XP_015179381.1
OG0000549	XP_012151772.1	XP_015189695.1, XP_015189694.1, XP_015185177.1, XP_015182055.1
OG0000550	XP_012150909.1, XP_012150881.1	XP_015171822.1
OG0000551	XP_012144041.1, XP_003704785.1	XP_015183166.1
OG0000552	XP_003701496.1	XP_015187785.1
OG0000552	XP_003705057.1	XP_015180360.1
OG0000553	XP_003703532.1, XP_012141409.1	XP_015171078.1, XP_015171077.1
OG0000554	XP_003703581.1	XP_015177001.1
OG0000554	XP_003699656.1	XP_015175654.1, XP_015175655.1
OG0000555	XP_003701051.1	XP_015178311.1
OG0000555	XP_003701079.1	XP_015178478.1
OG0000556	XP_003707345.2	XP_015186802.1
OG0000557	XP_012149683.1, XP_012149672.1, XP_003700130.1	XP_015175082.1, XP_015175084.1
OG0000558	XP_003705272.1	XP_015179999.1
OG0000558	XP_012144740.1	XP_015188663.1
OG0000559	XP_003705404.1	XP_015179651.1, XP_015179617.1, XP_015179643.1, XP_015179626.1, XP_015179633.1
OG0000560	XP_003704777.1	XP_015179179.1, XP_015179183.1, XP_015179178.1, XP_015179180.1, XP_015179181.1, XP_015179184.1
OG0000561	XP_012148186.1	XP_015174740.1
OG0000562	XP_012145024.1	XP_015186798.1
OG0000562	XP_012145014.1	XP_015186797.1
OG0000563	XP_003707364.1	XP_015181608.1, XP_015181602.1
OG0000565	XP_012136786.1	XP_015183282.1
OG0000567	XP_003699254.1	XP_015191148.1
OG0000567	XP_012151432.1	XP_015190709.1
OG0000568	XP_012138846.1, XP_012138845.1	XP_015171473.1, XP_015171472.1, XP_015171474.1
OG0000569	XP_012138656.1	XP_015191638.1
OG0000572	XP_012142896.1	XP_015171168.1, XP_015171161.1
OG0000573	XP_003708111.1	XP_015181562.1
OG0000574	XP_003702503.1, XP_012138851.1	XP_015180242.1, XP_015180241.1
OG0000574	XP_012138937.1	XP_015182202.1
OG0000575	XP_003700028.2	XP_015182669.1, XP_015182785.1
OG0000575	XP_012152647.1	XP_015182670.1
OG0000576	XP_012142530.1, XP_012142529.1	XP_015177938.1, XP_015177939.1, XP_015177937.1
OG0000577	XP_012135120.1	XP_015178332.1, XP_015178330.1, XP_015178331.1, XP_015178333.1
OG0000578	XP_012153255.1, XP_003708587.1, XP_012153257.1, XP_012153256.1	XP_015187313.1, XP_015187307.1, XP_015187306.1, XP_015187309.1, XP_015187308.1, XP_015187310.1
OG0000579	XP_012143705.1, XP_012143704.1, XP_012143703.1, XP_012143702.1, XP_012143701.1, XP_012143700.1, XP_003704643.1, XP_012143706.1	XP_015172231.1, XP_015172238.1, XP_015172236.1, XP_015172237.1, XP_015172234.1, XP_015172233.1, XP_015172235.1
OG0000582	XP_012154015.1	XP_015188411.1, XP_015188412.1
OG0000584	XP_003701095.1	XP_015181615.1
OG0000584	XP_012136483.1	XP_015183361.1
OG0000585	XP_003699449.1	XP_015174406.1
OG0000585	XP_012137588.1	XP_015191542.1
OG0000586	XP_003708104.1	XP_015186252.1
OG0000586	XP_003701659.2	XP_015179858.1
OG0000587	XP_012143050.1, XP_003704410.1	XP_015186935.1, XP_015186936.1, XP_015186934.1, XP_015186938.1
OG0000588	XP_003700698.1, XP_012134591.1, XP_012134590.1	XP_015183027.1, XP_015183026.1
OG0000589	XP_003702019.1	XP_015184062.1
OG0000591	XP_003700763.1	XP_015188885.1
OG0000591	XP_003700356.1	XP_015180278.1
OG0000592	XP_012136196.1	XP_015184903.1
OG0000593	XP_003707045.1, XP_012149206.1	XP_015178586.1
OG0000594	XP_003706573.2, XP_012148185.1, XP_012148183.1, XP_012148184.1, XP_012148181.1, XP_012148182.1	XP_015174738.1
OG0000595	XP_012153305.1	XP_015174684.1
OG0000595	XP_012153307.1	XP_015183505.1
OG0000596	XP_012135074.1	XP_015182406.1
OG0000598	XP_012135634.1	XP_015186100.1
OG0000599	XP_012141685.1	XP_015188527.1, XP_015188534.1
OG0000600	XP_012149221.1, XP_003706892.1	XP_015183407.1
OG0000601	XP_003705493.1	XP_015173235.1
OG0000601	XP_012145798.1	XP_015173236.1
OG0000602	XP_003704138.1	XP_015179779.1
OG0000602	XP_012140187.1	XP_015171451.1
OG0000603	XP_003699623.1, XP_012141367.1	XP_015181038.1, XP_015181037.1
OG0000604	XP_003706232.1	XP_015184462.1
OG0000604	XP_012147475.1	XP_015184463.1
OG0000606	XP_012152883.1, XP_012152882.1, XP_012152881.1	XP_015175575.1, XP_015175573.1, XP_015175574.1, XP_015175571.1, XP_015175572.1
OG0000607	XP_012139773.1, XP_003702826.1	XP_015191727.1, XP_015191728.1, XP_015191729.1, XP_015191726.1
OG0000609	XP_012150149.1, XP_012150148.1, XP_012150150.1, XP_003707308.1	XP_015189358.1
OG0000611	XP_012146946.1	XP_015181298.1, XP_015181297.1, XP_015181296.1
OG0000612	XP_012139018.1	XP_015179263.1
OG0000613	XP_012151435.1	XP_015188507.1
OG0000613	XP_003705023.1	XP_015183019.1
OG0000614	XP_012135347.1	XP_015187538.1
OG0000614	XP_003708658.2	XP_015174915.1
OG0000615	XP_012147118.1, XP_012147119.1, XP_012147120.1	XP_015181651.1, XP_015181650.1, XP_015181654.1, XP_015181653.1, XP_015181652.1, XP_015181649.1
OG0000616	XP_012136781.1	XP_015184088.1, XP_015184091.1
OG0000617	XP_012136381.1	XP_015186988.1, XP_015186989.1, XP_015186987.1
OG0000617	XP_003701529.1	XP_015186977.1
OG0000619	XP_003699212.1	XP_015190413.1, XP_015190412.1, XP_015190415.1, XP_015190414.1
OG0000620	XP_003704014.1, XP_012142164.1, XP_012142163.1	XP_015172097.1
OG0000621	XP_012134974.1, XP_012134981.1, XP_012134958.1, XP_012134967.1, XP_003699281.1	XP_015189145.1, XP_015189144.1, XP_015189143.1, XP_015189142.1
OG0000622	XP_012146926.1	XP_015184720.1
OG0000623	XP_003704122.1, XP_012142456.1	XP_015186678.1, XP_015186677.1, XP_015186679.1
OG0000624	XP_003702431.1	XP_015183343.1, XP_015183349.1
OG0000625	XP_012137108.1, XP_012137107.1, XP_012137110.1, XP_012137109.1, XP_003701751.1	XP_015186903.1, XP_015186904.1, XP_015186905.1
OG0000626	XP_012134602.1, XP_003700700.2	XP_015183650.1, XP_015183649.1, XP_015183645.1, XP_015183646.1, XP_015183647.1, XP_015183648.1
OG0000627	XP_012152695.1	XP_015180643.1, XP_015180644.1
OG0000628	XP_012135649.1	XP_015173970.1
OG0000628	XP_012154146.1	XP_015173969.1, XP_015173968.1
OG0000629	XP_012149303.1	XP_015177997.1
OG0000630	XP_012152551.1	XP_015190549.1
OG0000631	XP_012139766.1	XP_015177364.1
OG0000632	XP_003704217.1	XP_015172160.1, XP_015172161.1, XP_015172162.1
OG0000633	XP_003702788.2	XP_015183047.1, XP_015183046.1
OG0000633	XP_003702337.1	XP_015186974.1
OG0000634	XP_003700649.2	XP_015185676.1
OG0000634	XP_003700648.1	XP_015185639.1
OG0000635	XP_012141488.1	XP_015184631.1
OG0000635	XP_003705447.1	XP_015181540.1
OG0000635	XP_012141583.1	XP_015181564.1
OG0000636	XP_012149325.1, XP_003706913.1	XP_015178010.1
OG0000637	XP_012140807.1, XP_012140808.1, XP_003703313.1	XP_015173254.1
OG0000638	XP_012136617.1, XP_012136630.1	XP_015191322.1, XP_015191317.1
OG0000639	XP_003702233.1, XP_012138309.1	XP_015187910.1, XP_015187909.1, XP_015187911.1
OG0000640	XP_003708059.1, XP_012151918.1, XP_012151917.1, XP_012151919.1	XP_015186374.1
OG0000641	XP_003699394.1	XP_015180654.1
OG0000642	XP_012138364.1, XP_012138363.1, XP_003702243.1	XP_015181404.1, XP_015181405.1
OG0000643	XP_003703311.1	XP_015173274.1
OG0000643	XP_003703310.1	XP_015173275.1
OG0000644	XP_003700862.1, XP_012135174.1, XP_012135173.1, XP_012135172.1	XP_015188700.1, XP_015188699.1
OG0000645	XP_012143317.1	XP_015188661.1
OG0000645	XP_003704517.1	XP_015175009.1
OG0000646	XP_012143713.1, XP_003704625.1	XP_015172229.1
OG0000647	XP_003703636.1	XP_015187418.1, XP_015187419.1
OG0000648	XP_003704915.1, XP_012144478.1	XP_015173778.1
OG0000649	XP_012148844.1	XP_015182725.1, XP_015182709.1, XP_015182700.1, XP_015182718.1, XP_015182691.1
OG0000650	XP_012138910.1, XP_012138911.1	XP_015177656.1
OG0000651	XP_012146709.1	XP_015186623.1
OG0000651	XP_003706774.2	XP_015187789.1
OG0000653	XP_012150339.1	XP_015184478.1
OG0000654	XP_012146273.1	XP_015185844.1
OG0000654	XP_012153940.1	XP_015183230.1
OG0000655	XP_012144791.1	XP_015189604.1, XP_015189586.1, XP_015189599.1
OG0000656	XP_012147137.1, XP_012147136.1, XP_012147135.1	XP_015175864.1
OG0000659	XP_003704846.1	XP_015182064.1, XP_015182065.1
OG0000660	XP_003708232.1	XP_015180142.1
OG0000661	XP_012151862.1, XP_012151328.1	XP_015179223.1
OG0000662	XP_003703421.1	XP_015181970.1
OG0000663	XP_012140389.1	XP_015177064.1, XP_015177062.1, XP_015177068.1
OG0000664	XP_003704889.2	XP_015174258.1
OG0000665	XP_012145766.1, XP_012145767.1, XP_012145769.1, XP_012145768.1	XP_015184641.1
OG0000666	XP_012150626.1	XP_015190545.1
OG0000666	XP_003700113.1	XP_015190567.1
OG0000667	XP_012138048.1, XP_012138046.1, XP_012138047.1, XP_012138043.1, XP_012138044.1, XP_003702066.1	XP_015188831.1
OG0000668	XP_003704444.2	XP_015189393.1
OG0000669	XP_012138808.1, XP_012138807.1, XP_012138804.1, XP_012138806.1, XP_012138805.1, XP_003702483.1	XP_015186031.1
OG0000670	XP_003705423.1	XP_015179260.1
OG0000671	XP_003703047.1, XP_012139953.1	XP_015185728.1
OG0000672	XP_012141550.1, XP_012141549.1, XP_003703560.1	XP_015176566.1, XP_015176565.1
OG0000672	XP_003703561.1	XP_015176600.1
OG0000673	XP_012136410.1, XP_012136409.1, XP_012136411.1, XP_012136412.1, XP_012136413.1, XP_012136414.1, XP_012136415.1, XP_012136416.1, XP_012136408.1	XP_015189488.1, XP_015189486.1, XP_015189489.1
OG0000674	XP_012151680.1, XP_012151678.1, XP_003707905.2	XP_015175773.1
OG0000674	XP_003703681.1	XP_015187094.1
OG0000676	XP_012141540.1	XP_015176516.1
OG0000677	XP_012143146.1, XP_012143151.1	XP_015172889.1, XP_015172888.1, XP_015172884.1
OG0000677	XP_012144552.1	XP_015172890.1
OG0000678	XP_003708665.1, XP_012152379.1, XP_003700088.1, XP_003700090.2, XP_003708666.1, XP_003699993.2, XP_003700087.2	XP_015181338.1
OG0000680	XP_003706446.1	XP_015181835.1
OG0000681	XP_012136536.1	XP_015177157.1
OG0000681	XP_012149307.1	XP_015179283.1
OG0000682	XP_012142792.1	XP_015176964.1
OG0000683	XP_012152066.1, XP_012152058.1, XP_012152073.1	XP_015178545.1
OG0000684	XP_012151849.1	XP_015183369.1, XP_015183372.1
OG0000685	XP_012146708.1	XP_015186626.1
OG0000685	XP_003707968.1	XP_015178476.1
OG0000686	XP_012152216.1, XP_012152217.1	XP_015186259.1
OG0000687	XP_012144281.1	XP_015180013.1
OG0000688	XP_012139430.1, XP_012139432.1, XP_003702747.1, XP_012139431.1	XP_015172768.1, XP_015172770.1, XP_015172769.1, XP_015172771.1
OG0000689	XP_012150337.1	XP_015173020.1
OG0000689	XP_012150338.1	XP_015173015.1
OG0000690	XP_003702047.1	XP_015185113.1
OG0000691	XP_003705766.1, XP_012146482.1	XP_015184030.1
OG0000692	XP_012143565.1, XP_012143556.1, XP_012143549.1, XP_012143542.1, XP_003699790.1	XP_015175100.1, XP_015175099.1, XP_015175101.1, XP_015175098.1
OG0000693	XP_012147058.1, XP_012147057.1, XP_003706026.1, XP_012147056.1	XP_015186916.1, XP_015186887.1, XP_015186878.1, XP_015186870.1, XP_015186907.1, XP_015186897.1
OG0000694	XP_003706512.1, XP_012148092.1	XP_015181364.1
OG0000695	XP_012152035.1, XP_003708102.1	XP_015186274.1, XP_015186273.1
OG0000696	XP_003704809.1	XP_015188314.1, XP_015188340.1, XP_015188347.1, XP_015188365.1, XP_015188355.1, XP_015188323.1, XP_015188332.1
OG0000697	XP_003702250.2	XP_015179314.1
OG0000697	XP_012138353.1	XP_015181407.1
OG0000698	XP_003700375.1	XP_015184506.1
OG0000699	XP_012149977.1	XP_015179117.1
OG0000700	XP_003705049.1	XP_015171713.1
OG0000700	XP_012144655.1, XP_012144654.1, XP_012144653.1	XP_015171452.1
OG0000701	XP_012141527.1	XP_015184656.1
OG0000703	XP_012142303.1	XP_015180074.1, XP_015180072.1, XP_015180071.1, XP_015180075.1
OG0000704	XP_003702810.1	XP_015179716.1
OG0000705	XP_012140775.1	XP_015183007.1
OG0000706	XP_012146214.1, XP_012146217.1	XP_015186669.1
OG0000707	XP_003700816.1, XP_003700801.1	XP_015184241.1, XP_015184240.1
OG0000708	XP_012143972.1	XP_015179149.1
OG0000709	XP_012138799.1, XP_012138798.1	XP_015185512.1, XP_015185514.1
OG0000710	XP_012137658.1, XP_012148756.1, XP_003706944.2, XP_012148757.1	XP_015190493.1
OG0000711	XP_012136016.1, XP_012136015.1, XP_012136019.1, XP_012136018.1, XP_012136020.1, XP_003701339.1, XP_012136017.1	XP_015175488.1
OG0000712	XP_012137053.1, XP_012137054.1, XP_012137052.1	XP_015184996.1, XP_015184992.1
OG0000713	XP_012139469.1	XP_015173455.1
OG0000714	XP_012146423.1, XP_012146409.1, XP_012146417.1	XP_015191354.1
OG0000715	XP_012148516.1	XP_015180973.1, XP_015180975.1
OG0000715	XP_012148517.1	XP_015180971.1
OG0000716	XP_012137994.1, XP_012137996.1, XP_012137992.1, XP_012137993.1, XP_012137986.1, XP_012137990.1, XP_012137991.1, XP_012137988.1, XP_012137989.1, XP_012137995.1	XP_015185112.1
OG0000717	XP_003703795.1, XP_012141602.1, XP_012141601.1	XP_015190318.1
OG0000718	XP_012139877.1	XP_015172333.1
OG0000719	XP_012135438.1	XP_015184347.1, XP_015184348.1, XP_015184349.1, XP_015184351.1, XP_015184352.1, XP_015184350.1
OG0000720	XP_012138613.1	XP_015183286.1
OG0000720	XP_012153548.1	XP_015190628.1
OG0000721	XP_003705802.1	XP_015174375.1
OG0000722	XP_012135907.1, XP_012135906.1	XP_015171285.1
OG0000722	XP_003701156.1	XP_015171283.1, XP_015171284.1
OG0000723	XP_012142043.1	XP_015180385.1, XP_015180374.1
OG0000724	XP_012137649.1, XP_012137646.1, XP_012137640.1	XP_015179218.1, XP_015179211.1, XP_015179216.1
OG0000726	XP_012143134.1	XP_015176244.1
OG0000727	XP_003699194.1	XP_015188819.1, XP_015188820.1
OG0000728	XP_012154300.1	XP_015181373.1, XP_015183596.1, XP_015181385.1
OG0000729	XP_003707520.1, XP_012150459.1, XP_012150457.1, XP_012150458.1	XP_015184372.1
OG0000730	XP_003708480.1, XP_012153030.1, XP_012153031.1	XP_015188769.1, XP_015188775.1
OG0000731	XP_012143004.1	XP_015177761.1
OG0000733	XP_012153113.1, XP_012153114.1, XP_012153111.1, XP_012153112.1, XP_012153115.1, XP_003708460.1, XP_012153110.1	XP_015177532.1, XP_015177534.1, XP_015177533.1, XP_015177536.1, XP_015177535.1, XP_015177538.1
OG0000734	XP_003708680.1, XP_012136138.1, XP_012136137.1, XP_012136140.1, XP_012136139.1, XP_012136136.1, XP_012136142.1, XP_012136141.1, XP_012136143.1, XP_012136144.1	XP_015181061.1, XP_015181064.1, XP_015181063.1, XP_015181066.1, XP_015181065.1, XP_015181068.1, XP_015181067.1, XP_015181062.1, XP_015181059.1, XP_015181060.1
OG0000736	XP_012145248.1, XP_003699811.1	XP_015172347.1
OG0000737	XP_003704876.1	XP_015176140.1, XP_015176143.1, XP_015176141.1
OG0000738	XP_012145181.1	XP_015185037.1
OG0000739	XP_003702317.1, XP_012138407.1, XP_012138408.1, XP_012138406.1, XP_012138405.1	XP_015174351.1
OG0000740	XP_012144661.1, XP_003705050.1	XP_015186238.1, XP_015186254.1, XP_015186246.1
OG0000741	XP_003701373.1, XP_012136150.1, XP_012136151.1, XP_012136152.1	XP_015187999.1
OG0000742	XP_003707085.1	XP_015178589.1
OG0000743	XP_012143829.1, XP_012143830.1, XP_003704699.1	XP_015185275.1, XP_015185274.1, XP_015185273.1
OG0000744	XP_003701323.1	XP_015179932.1
OG0000745	XP_012138984.1	XP_015179849.1, XP_015179852.1, XP_015179850.1
OG0000746	XP_003703135.2, XP_012140106.1	XP_015177864.1
OG0000747	XP_003700582.1	XP_015189222.1, XP_015189230.1
OG0000748	XP_012134972.1, XP_012134969.1	XP_015183127.1
OG0000749	XP_012148514.1	XP_015180980.1
OG0000750	XP_012148930.1	XP_015185680.1
OG0000751	XP_012135356.1, XP_012137302.1	XP_015186057.1
OG0000751	XP_003707895.1	XP_015176176.1
OG0000752	XP_012139706.1, XP_012139708.1, XP_012139707.1	XP_015179724.1, XP_015179727.1, XP_015179726.1, XP_015179723.1, XP_015179728.1, XP_015179725.1
OG0000753	XP_012136333.1	XP_015176325.1
OG0000754	XP_012143945.1	XP_015177253.1
OG0000755	XP_012149515.1, XP_012149513.1, XP_012149516.1, XP_003707105.1, XP_012149517.1, XP_012149514.1	XP_015191582.1
OG0000756	XP_012138024.1	XP_015182790.1
OG0000756	XP_012138028.1	XP_015182788.1
OG0000757	XP_012136968.1	XP_015181656.1
OG0000757	XP_012136979.1, XP_012136969.1	XP_015181657.1
OG0000758	XP_012142371.1	XP_015178144.1
OG0000758	XP_003703662.1	XP_015174833.1
OG0000759	XP_012144496.1	XP_015177931.1
OG0000760	XP_003707581.1, XP_012150646.1, XP_012150647.1	XP_015178058.1
OG0000761	XP_012148047.1, XP_012148046.1, XP_012148045.1, XP_012148048.1, XP_003706495.1	XP_015191843.1
OG0000762	XP_012141137.1, XP_012141134.1, XP_012141136.1, XP_012141135.1, XP_003703462.1	XP_015183904.1, XP_015183902.1, XP_015183903.1, XP_015183901.1
OG0000764	XP_012137420.1	XP_015175586.1
OG0000764	XP_012142561.1	XP_015184215.1
OG0000765	XP_012153731.1, XP_003700299.1	XP_015176727.1
OG0000766	XP_012139196.1, XP_012139197.1, XP_012139198.1, XP_012139199.1, XP_003702635.1, XP_012139195.1	XP_015173730.1, XP_015173731.1
OG0000767	XP_003702016.1, XP_012137841.1	XP_015190178.1, XP_015190180.1
OG0000768	XP_012135083.1, XP_012135087.1, XP_003699283.1	XP_015186865.1, XP_015186866.1
OG0000769	XP_003706462.2	XP_015179961.1, XP_015179960.1
OG0000770	XP_003702817.1, XP_012139725.1, XP_012139726.1	XP_015191816.1
OG0000771	XP_012136986.1	XP_015175532.1
OG0000772	XP_012141908.1, XP_012141909.1, XP_012141907.1, XP_012141914.1, XP_012141911.1, XP_012141910.1, XP_012141913.1, XP_012141912.1, XP_003703865.1	XP_015176089.1, XP_015176092.1
OG0000773	XP_012143303.1	XP_015177905.1
OG0000774	XP_003701026.1	XP_015191157.1
OG0000775	XP_012135269.1, XP_003701000.1	XP_015189462.1, XP_015189456.1
OG0000776	XP_012151646.1, XP_003707993.1	XP_015184371.1, XP_015184370.1
OG0000777	XP_003708279.1, XP_012152623.1, XP_012152620.1, XP_012152619.1, XP_012152622.1, XP_012152621.1	XP_015191081.1, XP_015191082.1, XP_015191083.1, XP_015191075.1, XP_015191076.1, XP_015191077.1, XP_015191078.1, XP_015191084.1, XP_015191085.1, XP_015191080.1
OG0000778	XP_003702097.1	XP_015181118.1, XP_015181119.1
OG0000779	XP_003705698.1	XP_015188486.1
OG0000780	XP_003707696.1	XP_015188571.1
OG0000781	XP_003708223.1	XP_015177398.1
OG0000782	XP_003707618.1	XP_015189387.1
OG0000783	XP_003708252.2	XP_015171665.1
OG0000784	XP_012141668.1, XP_012141667.1, XP_003703808.1, XP_012141669.1	XP_015188545.1
OG0000785	XP_003702963.1	XP_015191733.1
OG0000786	XP_012154199.1, XP_003700412.1	XP_015174812.1, XP_015174813.1, XP_015174814.1, XP_015174815.1, XP_015174816.1, XP_015174817.1
OG0000787	XP_012153932.1, XP_012153937.1	XP_015183229.1, XP_015183228.1
OG0000788	XP_012134899.1, XP_012134891.1, XP_012134888.1	XP_015183575.1, XP_015183574.1, XP_015183573.1, XP_015183572.1
OG0000789	XP_003703446.1	XP_015175543.1, XP_015175544.1, XP_015175545.1, XP_015175546.1
OG0000790	XP_012148521.1, XP_012148520.1, XP_012148519.1, XP_012148527.1, XP_012148525.1, XP_012148524.1, XP_003706735.2, XP_012148522.1, XP_012148523.1	XP_015180977.1
OG0000791	XP_003700460.1, XP_012154103.1, XP_012154102.1, XP_012154101.1	XP_015175347.1, XP_015175344.1, XP_015175345.1
OG0000795	XP_012153149.1	XP_015182090.1
OG0000796	XP_012134999.1	XP_015188342.1, XP_015172763.1
OG0000797	XP_003702476.1	XP_015183656.1
OG0000798	XP_012143298.1, XP_012143299.1, XP_012143297.1, XP_012143295.1, XP_012143296.1, XP_003704508.2	XP_015191261.1
OG0000799	XP_012150637.1, XP_012150635.1, XP_012150636.1	XP_015180676.1
OG0000800	XP_003708325.1	XP_015171144.1, XP_015171145.1
OG0000801	XP_003699548.1	XP_015182371.1
OG0000801	XP_012153863.1	XP_015174497.1
OG0000802	XP_012149292.1	XP_015174781.1
OG0000803	XP_003705540.1, XP_012145915.1	XP_015177675.1, XP_015177672.1, XP_015177673.1, XP_015177674.1
OG0000804	XP_012147771.1, XP_012147772.1, XP_012147773.1, XP_003706340.1, XP_012147769.1, XP_012147770.1	XP_015177827.1
OG0000805	XP_012145708.1	XP_015182111.1
OG0000805	XP_012148240.1	XP_015191705.1
OG0000806	XP_003704830.1, XP_012144283.1, XP_012144282.1	XP_015180020.1, XP_015180026.1, XP_015180025.1, XP_015180024.1, XP_015180023.1, XP_015180022.1
OG0000807	XP_012143794.1, XP_003704685.1	XP_015185915.1
OG0000809	XP_012154054.1, XP_012154050.1	XP_015190648.1, XP_015190653.1
OG0000810	XP_003704957.1, XP_012144469.1	XP_015175370.1
OG0000811	XP_012148169.1, XP_012148168.1	XP_015175059.1, XP_015175058.1
OG0000812	XP_012140217.1, XP_012140219.1, XP_003703081.1	XP_015177868.1, XP_015177866.1
OG0000812	XP_003706123.1	XP_015191437.1
OG0000813	XP_003700541.1	XP_015185493.1
OG0000814	XP_012143511.1	XP_015177459.1
OG0000814	XP_003704490.1	XP_015177461.1
OG0000815	XP_012151633.1	XP_015190690.1, XP_015190692.1
OG0000816	XP_003701080.1	XP_015178477.1
OG0000817	XP_003706519.1	XP_015172113.1
OG0000818	XP_012142258.1, XP_012142260.1, XP_012142257.1, XP_003703969.1, XP_012142256.1	XP_015171841.1
OG0000819	XP_012148535.1, XP_012148532.1	XP_015177455.1
OG0000820	XP_003701764.1	XP_015173350.1
OG0000821	XP_003707016.1	XP_015187205.1
OG0000822	XP_012147912.1, XP_012147908.1	XP_015189041.1, XP_015189039.1, XP_015189042.1
OG0000823	XP_003706526.1	XP_015184871.1, XP_015184870.1, XP_015184873.1, XP_015184872.1
OG0000824	XP_012135554.1	XP_015191755.1, XP_015191754.1
OG0000824	XP_012149199.1	XP_015180593.1
OG0000825	XP_003707634.1	XP_015187740.1
OG0000826	XP_012145066.1, XP_012145067.1	XP_015187846.1, XP_015187847.1
OG0000827	XP_003706957.1, XP_012148808.1	XP_015190880.1
OG0000829	XP_003704986.1	XP_015174247.1
OG0000830	XP_003699932.1	XP_015176486.1
OG0000831	XP_012135046.1, XP_012135047.1	XP_015187648.1
OG0000832	XP_003702358.2	XP_015182201.1
OG0000833	XP_012149713.1, XP_012149693.1	XP_015179083.1, XP_015179069.1
OG0000834	XP_003706673.1, XP_012148462.1	XP_015188791.1, XP_015188793.1
OG0000835	XP_003701307.1	XP_015172107.1
OG0000836	XP_012153460.1	XP_015175593.1
OG0000837	XP_012150835.1, XP_012150836.1	XP_015189396.1, XP_015189394.1, XP_015189395.1
OG0000838	XP_012139561.1	XP_015172378.1, XP_015172379.1, XP_015172381.1
OG0000839	XP_003703664.2	XP_015176907.1, XP_015176906.1, XP_015176905.1
OG0000840	XP_012137930.1, XP_012137929.1, XP_012137927.1, XP_012137928.1, XP_003702038.1	XP_015171609.1, XP_015171610.1
OG0000841	XP_012141439.1, XP_012141438.1	XP_015185470.1
OG0000842	XP_003707334.1	XP_015188377.1
OG0000843	XP_003701284.1	XP_015179933.1, XP_015179934.1
OG0000844	XP_012147957.1, XP_003706375.1, XP_012147958.1	XP_015189208.1, XP_015189210.1
OG0000846	XP_012146686.1	XP_015180905.1, XP_015188409.1, XP_015188578.1, XP_015184250.1, XP_015189712.1
OG0000849	XP_003699767.1, XP_003701041.1	XP_015184255.1, XP_015184256.1
OG0000850	XP_003707116.1	XP_015172914.1, XP_015172913.1
OG0000851	XP_012137152.1, XP_012137151.1, XP_012137153.1	XP_015174236.1
OG0000852	XP_003701517.2	XP_015177376.1, XP_015177375.1
OG0000853	XP_012154140.1	XP_015174954.1, XP_015174955.1
OG0000854	XP_012136594.1, XP_012136597.1	XP_015178802.1
OG0000855	XP_003707664.1	XP_015184043.1, XP_015184042.1, XP_015184044.1
OG0000856	XP_012136055.1	XP_015173180.1
OG0000856	XP_012136062.1	XP_015173076.1
OG0000857	XP_003703016.1	XP_015176568.1, XP_015176569.1
OG0000858	XP_012142916.1	XP_015172512.1
OG0000859	XP_012151735.1	XP_015190125.1
OG0000860	XP_003699935.1, XP_012146529.1, XP_012146522.1	XP_015179289.1, XP_015179285.1, XP_015179286.1, XP_015179287.1
OG0000861	XP_003701514.1	XP_015191192.1
OG0000862	XP_012140780.1	XP_015182915.1
OG0000863	XP_003705112.1, XP_012144749.1, XP_012144747.1	XP_015182553.1
OG0000864	XP_012139096.1, XP_012139095.1	XP_015172499.1, XP_015172500.1, XP_015172502.1
OG0000865	XP_012150045.1, XP_012150046.1	XP_015183510.1
OG0000866	XP_012134615.1	XP_015172995.1, XP_015172994.1, XP_015172996.1, XP_015172993.1
OG0000867	XP_012137804.1, XP_012137805.1	XP_015182439.1
OG0000868	XP_012148474.1, XP_012148472.1	XP_015187718.1
OG0000869	XP_012150629.1, XP_003707632.1	XP_015183581.1, XP_015183579.1, XP_015183578.1, XP_015183577.1, XP_015183582.1
OG0000870	XP_003702735.2	XP_015188337.1
OG0000871	XP_012144581.1, XP_003699829.1	XP_015172789.1, XP_015172790.1, XP_015172791.1, XP_015172788.1, XP_015172792.1
