Orthogroup	Megachile_rotundata	Solenopsis_invicta
OG0001640	XP_003702429.1	XP_011162453.1
OG0001641	XP_012150147.1	XP_011167461.1
OG0001642	XP_003700849.1	XP_011161737.1
OG0001643	XP_012139802.1	XP_025995866.2
OG0001644	XP_003702550.2	XP_039302614.1, XP_011175857.1, XP_011175856.1
OG0001645	XP_003707512.1	XP_011162052.1, XP_011162053.1
OG0001646	XP_012137346.1	XP_025991119.1
OG0001647	XP_012139375.1	XP_011167238.1
OG0001648	XP_003703869.1	XP_011161583.1, XP_039310226.1
OG0001649	XP_012150556.1	XP_011160573.1
OG0001650	XP_003704519.2	XP_039306040.1, XP_039306042.1, XP_039306041.1, XP_039306043.1
OG0001651	XP_012148202.1, XP_012148180.1, XP_012148196.1	XP_039307391.1, XP_039307390.1
OG0001652	XP_012141240.1	XP_025989514.1, XP_011170123.1
OG0001653	XP_012147584.1	XP_011164509.2
OG0001654	XP_012134616.1, XP_003700747.1	XP_025990587.2, XP_011171393.2, XP_025990588.2
OG0001655	XP_003703150.1	XP_011172420.1, XP_011172419.1
OG0001656	XP_003699406.1	XP_025989933.1, XP_011176122.1
OG0001657	XP_003706618.1	XP_011156207.1
OG0001658	XP_012137784.1	XP_025987786.1, XP_011169230.1
OG0001659	XP_012146888.1, XP_012146887.1	XP_011156725.1
OG0001660	XP_012140533.1	XP_011175649.1
OG0001661	XP_003699710.1, XP_012143942.1	XP_025991899.1, XP_011161848.1
OG0001662	XP_012153291.1, XP_012153289.1	XP_011166179.1, XP_011166174.1
OG0001663	XP_003699500.1	XP_011160600.1
OG0001664	XP_012149935.1, XP_012149923.1	XP_039315097.1, XP_039315095.1
OG0001665	XP_012148252.1	XP_011162304.1
OG0001666	XP_012147919.1, XP_003706369.1	XP_011157454.1
OG0001667	XP_003702647.1	XP_039314599.1
OG0001668	XP_012146313.1, XP_003705703.1, XP_012146311.1	XP_011164357.1, XP_011164356.1
OG0001669	XP_012143194.1	XP_011157251.2
OG0001670	XP_012148029.1, XP_012148028.1, XP_012148027.1, XP_003706491.1	XP_039313082.1, XP_025995976.1
OG0001671	XP_012148803.1	XP_039308958.1
OG0001672	XP_012134919.1	XP_039303278.1
OG0001673	XP_003707973.1	XP_011156255.2
OG0001674	XP_012151708.1	XP_025992958.2, XP_039307971.1, XP_025992957.2, XP_011163203.2
OG0001675	XP_003708343.2	XP_011161210.1, XP_011161211.1
OG0001676	XP_012140189.1, XP_012140188.1, XP_012140190.1	XP_011173208.2
OG0001677	XP_012140510.1, XP_003703246.1, XP_012140509.1	XP_011166896.1
OG0001678	XP_003708069.1	XP_011160108.1, XP_011160107.1
OG0001679	XP_003700555.1	XP_011158431.1
OG0001680	XP_012144403.1	XP_011162712.1, XP_039310111.1
OG0001681	XP_003704239.1	XP_039309619.1
OG0001682	XP_012152352.1	XP_011171824.1
OG0001683	XP_003703522.1	XP_011169305.1
OG0001684	XP_003705494.1	XP_039310942.1
OG0001685	XP_003703991.1	XP_039303275.1
OG0001686	XP_012135513.1	XP_011162209.1, XP_039301716.1, XP_039301714.1, XP_039301715.1
OG0001687	XP_012142809.1	XP_039309671.1
OG0001687	XP_012142813.1	XP_025992568.1
OG0001689	XP_003704259.1	XP_025986564.1, XP_025986563.1
OG0001690	XP_012152504.1	XP_039306829.1, XP_011157264.1
OG0001691	XP_003706344.1	XP_011171427.1
OG0001692	XP_012154182.1, XP_012154183.1, XP_012154184.1, XP_012154187.1, XP_012154185.1	XP_011155633.1
OG0001693	XP_003703517.1, XP_012141375.1, XP_012141374.1	XP_025987446.1, XP_039310517.1
OG0001694	XP_003699911.1, XP_012145892.1	XP_011168616.2
OG0001695	XP_003705899.1	XP_011156723.1
OG0001696	XP_012147905.1, XP_012147901.1	XP_039310023.1, XP_039310017.1
OG0001697	XP_003706011.1	XP_039304291.1, XP_039304292.1, XP_025993247.1, XP_025993246.1, XP_025993245.1
OG0001699	XP_003703501.1	XP_025986701.1, XP_011158791.1, XP_011158789.1, XP_011158790.1
OG0001700	XP_012152399.1	XP_011167786.2
OG0001701	XP_012143744.1	XP_025988830.1, XP_011164170.2, XP_039302064.1
OG0001702	XP_003702570.1	XP_011162940.1
OG0001703	XP_003705789.1, XP_012146509.1	XP_011164234.2
OG0001703	XP_003705790.1	XP_025988895.2, XP_025988894.1
OG0001704	XP_003700189.1, XP_012152954.1	XP_011167326.1
OG0001706	XP_003702391.1	XP_011158625.1
OG0001707	XP_012147062.1, XP_003706041.1	XP_011155612.1
OG0001708	XP_003703506.1	XP_011164603.1, XP_025991942.1
OG0001709	XP_012152385.1	XP_025990188.1, XP_025990194.1
OG0001710	XP_012138236.1	XP_039305265.1
OG0001711	XP_003708383.1, XP_012152751.1, XP_012152752.1	XP_011165612.1
OG0001712	XP_012140448.1, XP_012140449.1	XP_011166117.1, XP_011166096.1
OG0001713	XP_012140723.1, XP_012140724.1	XP_011166931.1
OG0001714	XP_012139225.1	XP_025987284.1
OG0001715	XP_012136821.1	XP_011159122.2
OG0001716	XP_012148366.1	XP_025989710.2
OG0001717	XP_012137287.1	XP_011155359.1, XP_039311597.1, XP_025991129.1, XP_011155367.1
OG0001718	XP_003705642.1	XP_011168466.1
OG0001719	XP_003706430.1, XP_012147835.1	XP_011169234.1
OG0001720	XP_003707485.1	XP_025989851.1, XP_011175636.1, XP_025989850.1
OG0001721	XP_012148358.1, XP_012148359.1	XP_011158131.2, XP_011158133.1, XP_039305886.1
OG0001722	XP_012150036.1	XP_011169266.2
OG0001724	XP_012150271.1	XP_039304618.1, XP_025992218.1
OG0001725	XP_012154309.1, XP_012154308.1	XP_011174902.2
OG0001726	XP_012134728.1	XP_025989444.1
OG0001727	XP_003699745.1	XP_011161620.1
OG0001728	XP_012134675.1	XP_039313676.1, XP_039313680.1
OG0001729	XP_012149413.1	XP_039308930.1, XP_039308926.1
OG0001730	XP_012139893.1	XP_025987718.2, XP_025987717.2
OG0001731	XP_012146689.1, XP_003705854.1	XP_011175411.2
OG0001732	XP_003705430.1, XP_012145657.1	XP_039304441.1, XP_011159479.1
OG0001734	XP_012147074.1, XP_003706046.1	XP_039314386.1
OG0001735	XP_003701533.1	XP_011170355.1, XP_039305740.1
OG0001737	XP_003706607.1	XP_039315088.1, XP_011160101.1
OG0001738	XP_003701699.1	XP_039310354.1
OG0001739	XP_012143056.1	XP_011170792.1
OG0001740	XP_012148970.1, XP_003706817.1	XP_011166965.1, XP_025985931.1
OG0001741	XP_012136835.1	XP_025987359.1
OG0001742	XP_012136211.1	XP_039303639.1, XP_025991103.2
OG0001743	XP_003704286.2, XP_012142697.1, XP_012142698.1	XP_011161430.1, XP_011161433.1
OG0001744	XP_012146970.1	XP_039314453.1, XP_039314456.1
OG0001745	XP_012137160.1	XP_011162193.2
OG0001746	XP_003703699.1	XP_011164075.1
OG0001747	XP_012153715.1, XP_012153718.1, XP_012153719.1, XP_003700293.1, XP_012153716.1, XP_012153717.1, XP_012153714.1	XP_039309971.1
OG0001748	XP_012136615.1	XP_039302590.1, XP_039302582.1
OG0001749	XP_012148449.1	XP_039307685.1, XP_039307681.1
OG0001750	XP_003699586.1	XP_011155871.1
OG0001751	XP_003701501.1, XP_012136689.1	XP_011155816.1, XP_011155818.1
OG0001752	XP_012143489.1	XP_039305802.1
OG0001753	XP_003706694.1	XP_011165025.1, XP_039312598.1, XP_039312597.1, XP_039312596.1
OG0001754	XP_012141609.1	XP_039305540.1, XP_039305545.1
OG0001754	XP_012136273.1	XP_011167859.1
OG0001756	XP_003706604.1	XP_039313053.1, XP_039313054.1
OG0001757	XP_012142983.1	XP_039308870.1
OG0001758	XP_003705252.1	XP_039303751.1, XP_025990540.1
OG0001759	XP_003701941.1, XP_012137503.1	XP_011170736.1
OG0001760	XP_003702127.1	XP_039311097.1
OG0001762	XP_012148878.1, XP_003706789.1	XP_011161105.1, XP_011161112.1
OG0001763	XP_003700566.1, XP_012154469.1	XP_011156236.1
OG0001765	XP_012136106.1	XP_011156559.1
OG0001766	XP_003701794.1	XP_011162202.2, XP_025986966.2
OG0001767	XP_003707472.1, XP_012149995.1	XP_011160151.1
OG0001768	XP_003706687.1	XP_011165067.2
OG0001769	XP_012138463.1	XP_025990023.2, XP_039308397.1, XP_039308396.1, XP_039308395.1, XP_039308393.1, XP_039308394.1
OG0001771	XP_003705216.1, XP_012145090.1, XP_012145093.1, XP_012145091.1	XP_039302499.1, XP_011173087.2
OG0001773	XP_012154349.1	XP_039304162.1
OG0001774	XP_012149582.1	XP_025990865.1
OG0001775	XP_012154197.1	XP_025993879.1, XP_011176339.1, XP_011176338.1
OG0001776	XP_012146502.1, XP_003705787.1	XP_011166850.1
OG0001777	XP_003699193.1, XP_012135904.1	XP_011163067.1
OG0001778	XP_003700370.1	XP_011160655.1, XP_011160649.1
OG0001779	XP_003706847.1	XP_011160763.1
OG0001780	XP_003702781.1	XP_039306100.1, XP_011160811.1
OG0001781	XP_012140213.1	XP_011168846.1
OG0001782	XP_012138573.1, XP_003702394.1	XP_011168428.1
OG0001783	XP_012153106.1, XP_012153190.1	XP_025989077.1, XP_011168314.1
OG0001784	XP_012148009.1, XP_012148010.1, XP_012148011.1	XP_011168601.2, XP_011168600.2
OG0001785	XP_003708459.1, XP_012152861.1	XP_011157927.1
OG0001786	XP_003703759.1	XP_011164288.1, XP_025988909.1, XP_011164286.1
OG0001787	XP_003706905.1	XP_011165044.1
OG0001788	XP_012141594.1	XP_025988821.1, XP_025988822.1
OG0001789	XP_003702679.1	XP_011166253.1, XP_011166254.1, XP_039304453.1
OG0001790	XP_003705513.1	XP_011163941.1
OG0001791	XP_012138231.1, XP_012138230.1, XP_012138229.1, XP_012138232.1	XP_011158709.1
OG0001792	XP_003704979.1	XP_011164881.1
OG0001793	XP_003703372.1	XP_025989823.1
OG0001794	XP_012138228.1	XP_025994735.1, XP_025994732.1
OG0001795	XP_003707276.1	XP_011169692.1
OG0001796	XP_003704098.1	XP_011156619.1
OG0001797	XP_003705276.1	XP_011167269.1
OG0001799	XP_012152790.1	XP_039311598.1, XP_011168273.2, XP_011168270.2
OG0001800	XP_003703789.1	XP_011168246.1
OG0001801	XP_003707540.1	XP_039303673.1
OG0001802	XP_003701460.1	XP_011158769.1
OG0001803	XP_003700826.1, XP_012135007.1, XP_012135006.1	XP_039305517.1
OG0001804	XP_012139092.1, XP_012139091.1, XP_012139089.1, XP_003702672.1	XP_011170600.1, XP_011170595.1
OG0001805	XP_012152572.1	XP_011161311.1, XP_011161313.1, XP_011161312.1, XP_011161314.1
OG0001806	XP_003706448.1	XP_011175795.2
OG0001807	XP_012141865.1, XP_012141866.1, XP_012141867.1	XP_011162553.2
OG0001808	XP_012136611.1	XP_011157802.1
OG0001809	XP_003703087.1	XP_011155517.1
OG0001810	XP_012150387.1, XP_012150386.1	XP_039313299.1, XP_011160318.1
OG0001811	XP_003699893.1, XP_012146304.1	XP_011168515.1
OG0001812	XP_012152368.1, XP_012152367.1	XP_011159277.1, XP_011159276.1, XP_039304732.1
OG0001813	XP_012150502.1	XP_039315397.1
OG0001814	XP_012146115.1	XP_025990231.1, XP_039306034.1, XP_039305487.1, XP_039305488.1, XP_039305486.1, XP_039312318.1
OG0001815	XP_003706805.1, XP_012148924.1	XP_011163797.1, XP_039306189.1, XP_039306185.1
OG0001816	XP_003707640.1, XP_012150641.1	XP_039314317.1
OG0001817	XP_012134861.1	XP_039310065.1, XP_011162718.2, XP_011162719.2, XP_011162717.2
OG0001818	XP_012143501.1	XP_025989845.1, XP_025989844.1
OG0001819	XP_003699430.1	XP_039311733.1, XP_011165265.1
OG0001820	XP_003707104.1, XP_012149520.1	XP_011160496.1
OG0001821	XP_012147907.1, XP_003706357.1	XP_025991257.1, XP_025991254.1
OG0001822	XP_003703530.1	XP_011162501.1, XP_025987461.1
OG0001823	XP_012136264.1	XP_011164610.1, XP_025991955.1
OG0001824	XP_003700865.1, XP_012135183.1	XP_011155809.1
OG0001825	XP_003701480.1	XP_025987936.1, XP_025987937.1, XP_025987935.1, XP_025987934.1, XP_025987938.1
OG0001826	XP_012146129.1, XP_012146130.1, XP_012146131.1, XP_012146134.1, XP_012146132.1, XP_012146133.1, XP_003705635.1, XP_012146127.1, XP_012146128.1	XP_011172390.1
OG0001827	XP_012139141.1	XP_039304416.1
OG0001828	XP_003702396.1	XP_011168343.1, XP_039309295.1
OG0001829	XP_012144120.1, XP_012144119.1	XP_025992741.1, XP_025992742.1, XP_025992743.1, XP_025992744.1, XP_025992745.1
OG0001830	XP_012145185.1	XP_011159754.1
OG0001831	XP_012139389.1	XP_025995670.1, XP_025995668.1, XP_025995669.1, XP_039312889.1
OG0001832	XP_003705967.1	XP_039315007.1
OG0001833	XP_003703423.1	XP_039313344.1
OG0001834	XP_003707795.1, XP_012151120.1, XP_012151119.1	XP_011163399.2
OG0001835	XP_003706134.1	XP_011168711.1, XP_011168712.1
OG0001836	XP_012145254.1, XP_012145260.1	XP_039307187.1
OG0001837	XP_012154447.1, XP_012154451.1, XP_012154450.1, XP_012154449.1, XP_012154448.1, XP_012154452.1, XP_003700606.1	XP_011157877.1, XP_011157961.1, XP_011157801.1
OG0001838	XP_003701089.1	XP_025994570.1, XP_039304235.1, XP_039304229.1, XP_039304230.1, XP_039304231.1, XP_039304232.1, XP_039304234.1, XP_039304228.1
OG0001839	XP_003705315.1, XP_012145347.1	XP_039308920.1
OG0001840	XP_012145200.1	XP_011159388.1
OG0001841	XP_003700397.2	XP_039303300.1
OG0001842	XP_003702260.1	XP_039303265.1
OG0001843	XP_012150857.1, XP_012150858.1, XP_003707567.1	XP_011166162.1
OG0001844	XP_012152496.1	XP_025992119.1
OG0001845	XP_003702489.1	XP_011166954.1
OG0001846	XP_003707292.1	XP_011155530.1, XP_011155531.1
OG0001847	XP_012152980.1, XP_012153146.1	XP_011158153.2, XP_039311870.1, XP_011158155.1
OG0001848	XP_012140215.1, XP_003703080.1	XP_011172427.1
OG0001849	XP_003703496.2	XP_011168927.1
OG0001850	XP_012152022.1	XP_025991413.1
OG0001851	XP_003705365.1, XP_012145537.1	XP_011159639.2, XP_011159640.2
OG0001852	XP_003699279.1	XP_011169062.2
OG0001853	XP_012136245.1	XP_011156362.2
OG0001854	XP_012142510.1	XP_039314594.1
OG0001855	XP_012144474.1, XP_012144473.1	XP_011162018.1
OG0001856	XP_012152678.1	XP_011166372.1
OG0001857	XP_012151852.1	XP_039304741.1, XP_025993230.2
OG0001858	XP_003704198.1	XP_011160902.1
OG0001859	XP_003704257.1, XP_012143013.1	XP_011167983.1
OG0001860	XP_012142237.1, XP_003703966.1	XP_011157896.1
OG0001861	XP_012139144.1	XP_011155579.1, XP_039303738.1
OG0001863	XP_012144871.1, XP_003705098.1, XP_012144870.1	XP_039301789.1, XP_011158443.1
OG0001864	XP_003703202.2	XP_011168664.2
OG0001865	XP_012146126.1, XP_003705671.1	XP_011157758.1
OG0001867	XP_003701904.1	XP_025989927.1
OG0001868	XP_003707740.1	XP_025986322.1, XP_025986321.1
OG0001869	XP_012146861.1, XP_012146862.1	XP_025994490.1
OG0001870	XP_003703359.1	XP_025989757.1
OG0001871	XP_003701743.1	XP_011166857.1, XP_011166858.1, XP_011166859.1
OG0001872	XP_003703430.1	XP_011159588.1
OG0001873	XP_003703441.1, XP_012141056.1	XP_011165220.1, XP_011165221.1
OG0001874	XP_012146669.1, XP_012146666.1, XP_012146668.1, XP_012146670.1, XP_003705880.1	XP_011164300.1
OG0001875	XP_012145397.1	XP_039314795.1
OG0001876	XP_012136906.1	XP_011169038.1
OG0001876	XP_012136908.1	XP_039307637.1
OG0001879	XP_012142382.1	XP_011163848.2
OG0001880	XP_012148144.1	XP_039314499.1, XP_039314493.1
OG0001881	XP_012146739.1, XP_012146740.1, XP_003705828.1	XP_011164275.1
OG0001882	XP_012136562.1	XP_011158770.1
OG0001883	XP_003708496.1	XP_011169787.1
OG0001884	XP_012143033.1	XP_025988158.2
OG0001885	XP_012145796.1, XP_012145797.1	XP_025992055.1, XP_039310763.1
OG0001886	XP_003706184.1	XP_011165698.2
OG0001887	XP_012136736.1	XP_025986914.1
OG0001888	XP_012139537.1	XP_039306162.1
OG0001889	XP_012140097.1	XP_039309851.1, XP_039309805.1, XP_039309662.1, XP_039309892.1, XP_039309725.1, XP_039309750.1
OG0001890	XP_012139488.1, XP_003702907.1, XP_012139482.1, XP_012139483.1, XP_012139484.1, XP_012139485.1, XP_012139486.1, XP_012139487.1	XP_011166970.2
OG0001891	XP_012137349.1, XP_012137347.1, XP_012137345.1, XP_012137348.1	XP_011167450.1
OG0001892	XP_012150332.1	XP_025987389.1
OG0001893	XP_003701078.2	XP_011160550.2, XP_011160548.2, XP_011160552.2, XP_011160551.2
OG0001894	XP_012150887.1	XP_025990876.2, XP_025990883.2
OG0001896	XP_012150977.1	XP_011160557.2
OG0001897	XP_003704946.1, XP_012144428.1	XP_039314067.1
OG0001898	XP_012153488.1	XP_011164999.1
OG0001899	XP_003699368.1	XP_011164419.2
OG0001900	XP_003702606.2, XP_012138993.1	XP_025991978.2
OG0001901	XP_003707788.1, XP_012151293.1	XP_039308637.1
OG0001903	XP_012140007.1	XP_025988270.2
OG0001904	XP_012150029.1	XP_025987819.1
OG0001905	XP_003702692.1, XP_012139166.1	XP_025995563.1, XP_025995564.1
OG0001906	XP_012149147.1	XP_025990505.1
OG0001907	XP_012138990.1, XP_012138989.1	XP_011171468.2
OG0001908	XP_012140618.1, XP_012140617.1, XP_012140619.1	XP_039313610.1, XP_011166685.1
OG0001909	XP_012150069.1, XP_012150073.1	XP_025996302.1, XP_025996300.1
OG0001910	XP_003701443.2	XP_025996984.1, XP_011162911.1, XP_011162903.1, XP_011162904.1, XP_039303625.1, XP_039303626.1, XP_039303624.1
OG0001912	XP_012146779.1, XP_012146797.1	XP_039304141.1
OG0001913	XP_012145489.1, XP_012145498.1	XP_025993747.1
OG0001914	XP_012135228.1	XP_039307056.1, XP_039307054.1
OG0001915	XP_003702632.1	XP_011170489.1
OG0001916	XP_012136862.1, XP_012136861.1	XP_011163484.1
OG0001917	XP_003705443.1, XP_012145696.1	XP_011162663.1
OG0001918	XP_012144468.1	XP_039301732.1
OG0001919	XP_012152342.1	XP_011159962.2
OG0001920	XP_012149021.1	XP_011168258.1
OG0001921	XP_003702595.1	XP_039312174.1
OG0001922	XP_012145791.1	XP_025988179.2, XP_025988182.1
OG0001923	XP_012149647.1	XP_039302208.1
OG0001924	XP_012153844.1, XP_012153840.1	XP_011162462.2
OG0001925	XP_012148613.1	XP_011162425.1
OG0001926	XP_012135847.1	XP_025993858.1
OG0001927	XP_003704096.1, XP_012142442.1	XP_039311888.1
OG0001928	XP_012143821.1	XP_025990418.2, XP_039308867.1
OG0001929	XP_003699719.1	XP_011160578.1
OG0001930	XP_003706866.1, XP_012149134.1, XP_012149132.1, XP_012149133.1	XP_011165943.2
OG0001931	XP_003702361.1	XP_011156252.1
OG0001932	XP_012136804.1	XP_039315145.1
OG0001933	XP_003706624.1	XP_011165813.1
OG0001934	XP_003704019.1, XP_012142173.1	XP_039307111.1, XP_011158198.1
OG0001935	XP_012141857.1, XP_003703843.1	XP_025987348.1, XP_011162557.1
OG0001936	XP_012135817.1	XP_039303347.1
OG0001937	XP_012144116.1	XP_025992699.1
OG0001938	XP_003701429.1	XP_011164650.1
OG0001939	XP_003704511.1	XP_011162377.1
OG0001940	XP_012153191.1	XP_011164491.1, XP_039310767.1, XP_011164495.1
OG0001941	XP_012146566.1, XP_012146567.1, XP_012146574.1	XP_011164493.2
OG0001942	XP_003700745.1	XP_039315527.1
OG0001943	XP_012147474.1	XP_025988815.2, XP_011164241.2, XP_011164240.2, XP_011164239.2
OG0001944	XP_003703726.1, XP_003703814.1	XP_039307825.1
OG0001946	XP_003699969.1	XP_011168051.1
OG0001947	XP_003705697.1	XP_039304812.1, XP_039304814.1
OG0001948	XP_003706760.1	XP_039303605.1, XP_039303603.1, XP_039303604.1, XP_025990667.1, XP_025990669.1, XP_025990666.1
OG0001950	XP_012144602.1	XP_011159348.1
OG0001951	XP_003702731.1	XP_011161681.1
OG0001952	XP_012135997.1	XP_025987848.2
OG0001955	XP_012147963.1, XP_012147962.1, XP_012147964.1, XP_003706380.1, XP_012147961.1	XP_039310166.1
OG0001956	XP_003703905.1	XP_011176228.1, XP_039312025.1
OG0001957	XP_012142305.1	XP_039306351.1, XP_039306347.1
OG0001959	XP_003702678.1	XP_039311222.1, XP_011167700.1, XP_011166246.1, XP_025990423.1, XP_011168840.1
OG0001960	XP_003703234.1, XP_012140366.1, XP_012140367.1	XP_011168667.2, XP_011168666.2
OG0001961	XP_012142144.1, XP_003704004.1	XP_011159117.1
OG0001962	XP_003704351.1	XP_039310863.1, XP_039310862.1
OG0001963	XP_012141356.1, XP_012141357.1, XP_012141360.1, XP_012141358.1, XP_012141359.1, XP_003703511.1	XP_025987329.1
OG0001964	XP_012148107.1, XP_012148103.1, XP_012148104.1, XP_012148102.1, XP_012148105.1	XP_011170815.1
OG0001965	XP_003702172.1, XP_012138026.1, XP_012138025.1	XP_011165971.3
OG0001966	XP_003708349.1	XP_011156473.1, XP_039301838.1
OG0001968	XP_003705340.2	XP_025993548.2
OG0001969	XP_003702437.1, XP_012138619.1, XP_012138618.1	XP_025990813.1
OG0001970	XP_003702801.1	XP_011175180.2
OG0001971	XP_003703284.1, XP_012140698.1	XP_039302372.1, XP_011172043.1
OG0001974	XP_003706062.1	XP_039312911.1, XP_011164013.1, XP_011164019.1
OG0001975	XP_012137208.1, XP_003701846.1	XP_039306273.1
OG0001976	XP_012137825.1, XP_012137826.1	XP_011175704.1
OG0001977	XP_003702139.1	XP_039312209.1, XP_011163239.2, XP_039306960.1, XP_039308853.1, XP_039308615.1, XP_025989079.1
OG0001978	XP_012146364.1	XP_025987987.1
OG0001979	XP_012145291.1, XP_003705289.2	XP_025986866.2, XP_039301891.1, XP_025986977.2, XP_025987019.1, XP_025987018.2, XP_025986849.1, XP_039301888.1, XP_039301887.1, XP_039301882.1, XP_039301990.1, XP_039301755.1, XP_039301893.1, XP_039311646.1, XP_039311642.1
OG0001980	XP_012142543.1, XP_012142550.1	XP_011162093.1, XP_011162094.1, XP_025986884.1
OG0001981	XP_012151878.1	XP_039306583.1, XP_039306585.1, XP_039306581.1, XP_039306582.1, XP_039306586.1
OG0001982	XP_003706109.1	XP_039305717.1, XP_039305715.1, XP_025987663.2, XP_039305716.1
OG0001983	XP_012135251.1	XP_039312850.1
OG0001984	XP_003700790.2	XP_039311144.1, XP_039312185.1, XP_011168276.1, XP_011165961.1
OG0001987	XP_012142901.1	XP_039309520.1
OG0001988	XP_003703079.1	XP_011172432.1
OG0001989	XP_012147323.1, XP_003706122.1	XP_011155994.1
OG0001990	XP_003707657.2, XP_003707658.1	XP_011160281.1
OG0001991	XP_012135527.1, XP_012135526.1	XP_011162213.1
OG0001992	XP_003699919.1	XP_011166417.1
OG0001993	XP_012145304.1	XP_011161945.1
OG0001994	XP_003703431.1	XP_011157615.1
OG0001996	XP_012148191.1	XP_039306908.1
OG0001997	XP_003699645.1	XP_011176266.1
OG0001998	XP_012142139.1, XP_012142128.1, XP_012142140.1	XP_011165662.3, XP_039305288.1
OG0001999	XP_003705603.1	XP_011163699.1
OG0002000	XP_012147747.1, XP_012147746.1, XP_012147745.1, XP_012147748.1	XP_011167421.1
OG0002001	XP_003706433.1, XP_012147804.1	XP_011155895.1
OG0002002	XP_012146246.1	XP_011155883.1
OG0002003	XP_003703233.1, XP_012140369.1, XP_012140370.1	XP_011168665.1
OG0002004	XP_003703011.1	XP_011173600.1
OG0002005	XP_012152247.1	XP_011158219.1
OG0002006	XP_003706758.1	XP_025990495.1
OG0002007	XP_003703240.1	XP_011175469.1
OG0002009	XP_003707309.1	XP_011167462.1
OG0002010	XP_003703696.1	XP_011159621.1, XP_011159651.1
OG0002011	XP_003701635.1	XP_011175427.1
OG0002012	XP_012138348.1	XP_011167163.1
OG0002013	XP_012141432.1	XP_011162687.2
OG0002014	XP_012140431.1, XP_012140420.1	XP_011158023.1
OG0002015	XP_003700402.1	XP_011159334.1
OG0002016	XP_003701509.1	XP_011158764.2
OG0002017	XP_012153242.1, XP_012153243.1, XP_012153244.1, XP_012153238.1, XP_012153239.1, XP_003708585.2, XP_012153241.1, XP_012153237.1, XP_012153240.1	XP_025988462.1
OG0002018	XP_003700546.1	XP_011166334.1, XP_011167845.1
OG0002019	XP_003700615.1	XP_011156334.1
OG0002020	XP_012143175.1	XP_039306807.1
OG0002021	XP_003703149.1, XP_012140063.1, XP_012140062.1	XP_011156180.1, XP_039309468.1, XP_039309469.1
OG0002022	XP_003702362.1	XP_011168593.2
OG0002023	XP_012142679.1	XP_025986607.1, XP_039310710.1
OG0002024	XP_012143161.1	XP_011156937.2, XP_025994650.2, XP_011156936.2, XP_011176120.1
OG0002025	XP_003706213.1	XP_011173487.2, XP_039305713.1
OG0002026	XP_012153897.1	XP_011157414.1
OG0002027	XP_003704130.1	XP_025993797.2
OG0002028	XP_003703134.1, XP_012140101.1	XP_039303455.1, XP_039303453.1
OG0002029	XP_003700421.1	XP_011164082.1
OG0002030	XP_012146966.1, XP_012146968.1	XP_025989480.1, XP_025989485.1, XP_025989488.1, XP_025989483.1, XP_025989484.1, XP_025989479.1, XP_039314460.1, XP_025989481.1
OG0002032	XP_003707304.1	XP_011165871.1
OG0002033	XP_012153387.1	XP_039314338.1
OG0002033	XP_012143911.1	XP_039315148.1
OG0002033	XP_012143910.1	XP_039315149.1
OG0002034	XP_003703586.1	XP_011162529.1
OG0002036	XP_012135179.1	XP_025996420.1
OG0002037	XP_012151785.1	XP_025989827.1, XP_011168570.1
OG0002038	XP_012144842.1	XP_039302742.1, XP_011172587.1, XP_039302745.1, XP_039302743.1, XP_039302744.1, XP_011172602.1
OG0002039	XP_003702840.1	XP_011171335.2
OG0002040	XP_012145327.1, XP_012145319.1, XP_003699812.1	XP_039301804.1, XP_025997050.1
OG0002041	XP_012134878.1, XP_012134945.1	XP_025987866.1
OG0002042	XP_012143342.1	XP_011164810.1
OG0002043	XP_012141291.1, XP_012141293.1, XP_012141292.1, XP_012141290.1, XP_012141288.1	XP_011164926.1
OG0002044	XP_012136341.1, XP_012136347.1	XP_011164707.1
OG0002045	XP_012143496.1	XP_011168636.1, XP_039307873.1
OG0002046	XP_003706185.1	XP_011163598.2, XP_025992606.1
OG0002047	XP_003704896.1	XP_011159418.1
OG0002048	XP_012138294.1, XP_012138308.1	XP_039306029.1, XP_039306023.1
OG0002049	XP_012150356.1	XP_025992504.2, XP_025992505.2, XP_025992506.2
OG0002050	XP_003708065.1	XP_011160116.1
OG0002051	XP_003700857.1	XP_039303098.1
OG0002052	XP_003704502.1	XP_039307831.1
OG0002053	XP_012137462.1	XP_011157842.1, XP_011157841.1
OG0002054	XP_012139709.1	XP_025991239.1
OG0002055	XP_003707010.1	XP_025989880.1, XP_011163551.1
OG0002056	XP_003701093.1, XP_012135528.1	XP_011162217.1
OG0002057	XP_003702834.1	XP_025996006.1
OG0002058	XP_003707801.1	XP_011167938.1
OG0002059	XP_012139338.1, XP_012139340.1, XP_012139339.1, XP_003702874.1	XP_011162168.2, XP_011162169.2, XP_011162170.2
OG0002060	XP_012141197.1	XP_039314867.1
OG0002061	XP_012151955.1	XP_011168713.1
OG0002062	XP_012146355.1, XP_012146353.1	XP_011160150.1
OG0002063	XP_003706896.1	XP_025995129.1
OG0002064	XP_012142928.1	XP_011162965.2
OG0002065	XP_003702761.2	XP_025991323.2
OG0002066	XP_012143894.1, XP_012143896.1, XP_012143897.1	XP_025987323.2
OG0002067	XP_012154310.1	XP_011174966.1
OG0002068	XP_003704477.1	XP_011175514.1
OG0002069	XP_003705335.1	XP_025987315.1
