Orthogroup	Megachile_rotundata	Tribolium_castaneum
OG0000826	XP_012145066.1, XP_012145067.1	XP_968324.1
OG0000827	XP_003706957.1, XP_012148808.1	XP_008190593.1, XP_015832959.1, XP_001814285.1, XP_008190592.1
OG0000828	XP_012140704.1, XP_012140702.1, XP_012140701.1, XP_012140700.1, XP_012140703.1, XP_003703286.1	XP_015839867.1, XP_966527.1
OG0000829	XP_003704986.1	XP_015836394.1
OG0000830	XP_003699932.1	XP_969246.1
OG0000831	XP_012135046.1, XP_012135047.1	XP_966629.2
OG0000832	XP_003702358.2	XP_015834318.1
OG0000833	XP_012149713.1, XP_012149693.1	XP_008193629.1, XP_008193622.1
OG0000834	XP_003706673.1, XP_012148462.1	XP_008196985.1, XP_001813599.1
OG0000835	XP_012147573.1	NP_001161777.1, XP_008197172.1
OG0000835	XP_003701307.1	NP_001161778.1
OG0000837	XP_012150835.1, XP_012150836.1	XP_966340.1
OG0000838	XP_012139561.1, XP_012139566.1	XP_015837141.1, XP_015837139.1
OG0000839	XP_003703664.2	XP_015837749.1, XP_008194206.1, XP_001814500.1
OG0000840	XP_012137930.1, XP_012137929.1, XP_012137927.1, XP_012137928.1, XP_003702038.1	XP_972558.1
OG0000841	XP_012141439.1, XP_012141438.1	XP_008191611.2, XP_973223.1, XP_015834454.1
OG0000842	XP_003707334.1	XP_008199587.1, XP_015835642.1, XP_008199598.1, XP_008199214.1
OG0000843	XP_003701284.1	NP_001164151.1, XP_015839763.1, XP_015836305.1, XP_015836304.1
OG0000844	XP_012147957.1, XP_003706375.1, XP_012147958.1	XP_008194355.1, XP_008194354.1, XP_976102.1
OG0000849	XP_003699767.1, XP_003701041.1	XP_974694.1, XP_008191702.1
OG0000850	XP_003707116.1	XP_968953.1
OG0000851	XP_012137152.1, XP_012137151.1, XP_012137153.1	XP_970378.1
OG0000852	XP_003701517.2	XP_970723.1
OG0000853	XP_012154140.1	XP_972319.1
OG0000854	XP_012136594.1, XP_012136597.1	XP_008192670.1, XP_008192671.1, XP_974904.1
OG0000855	XP_003707664.1	XP_008200417.1
OG0000856	XP_012136055.1	XP_969485.1
OG0000856	XP_012136062.1	XP_008191821.1
OG0000857	XP_003703016.1	XP_015838130.1
OG0000858	XP_012142916.1	XP_975095.1
OG0000859	XP_012151735.1	XP_008194278.1
OG0000860	XP_003699935.1, XP_012146529.1, XP_012146522.1	XP_968421.2
OG0000862	XP_012140780.1	XP_015839850.1, XP_015839851.1
OG0000863	XP_003705112.1, XP_012144749.1, XP_012144747.1	XP_008191661.1
OG0000864	XP_012139096.1, XP_012139095.1	XP_001810857.1
OG0000865	XP_012150045.1, XP_012150046.1	XP_966867.1, XP_975287.1
OG0000867	XP_012137804.1, XP_012137805.1	XP_008196728.1, XP_970067.1, XP_008196726.1, XP_008196725.1
OG0000868	XP_012148474.1, XP_012148472.1	XP_008199462.1, XP_008199456.1
OG0000869	XP_012150629.1, XP_003707632.1	XP_008191933.1, XP_975387.1
OG0000870	XP_003702735.2	XP_970817.2, XP_008191521.1, XP_008191514.1, XP_970023.1, XP_015840225.1, XP_015840224.1
OG0000871	XP_012144581.1, XP_003699829.1	XP_972974.1
OG0000872	XP_012148260.1, XP_012148261.1, XP_003706559.1	XP_975496.1
OG0000873	XP_012143157.1	XP_008200174.2, XP_968354.1, XP_008200004.1, XP_015838086.1, XP_015838088.1, XP_015838087.1, XP_008197049.1, XP_008197050.1, NP_001153727.1, XP_008197048.1, XP_968596.1
OG0000875	XP_003704237.1	NP_001280510.1
OG0000876	XP_003701124.1, XP_012135759.1	XP_966990.1
OG0000877	XP_012142780.1	XP_008196449.1, XP_008196452.1
OG0000878	XP_012140880.1	XP_008199398.1
OG0000878	XP_012140910.1	XP_008193969.1
OG0000879	XP_003701030.1, XP_012135456.1, XP_012135454.1	XP_968223.1
OG0000881	XP_012143587.1	XP_975088.1
OG0000882	XP_003699596.1	XP_973361.2, XP_008193581.1
OG0000883	XP_003699627.1, XP_012141433.1	XP_008194497.1
OG0000884	XP_012142017.1	XP_008196302.1
OG0000885	XP_012141171.1, XP_012141167.1, XP_012141168.1, XP_012141169.1, XP_012141173.1, XP_012141175.1, XP_012141174.1, XP_012141172.1	XP_015840975.1, XP_008190312.1
OG0000886	XP_012145756.1, XP_012145753.1, XP_012145752.1, XP_012145755.1	XP_008197067.1
OG0000887	XP_012142571.1	XP_974918.1
OG0000888	XP_003703610.1	XP_976484.1
OG0000890	XP_012142084.1	XP_015839379.1
OG0000892	XP_003703279.1	XP_971720.1
OG0000893	XP_003706505.1, XP_003706503.2	XP_015840762.1
OG0000894	XP_012145590.1, XP_012145584.1, XP_012145587.1, XP_012145581.1, XP_012145585.1, XP_012145586.1, XP_012145583.1, XP_012145582.1	XP_008196971.1
OG0000895	XP_012142281.1	XP_015838580.1, XP_015838577.1
OG0000897	XP_012144020.1	XP_972954.1
OG0000898	XP_003700395.1, XP_003706432.1	XP_973433.1
OG0000899	XP_012143457.1, XP_003704533.1	XP_008197394.1, XP_008197388.1
OG0000900	XP_003704933.1	XP_975518.1
OG0000901	XP_003701795.1	XP_972742.1
OG0000902	XP_012149662.1, XP_003707170.1	XP_015836082.1
OG0000903	XP_003702318.1	NP_001280545.1
OG0000904	XP_003700147.1	XP_974704.1
OG0000904	XP_012149389.1	XP_008193109.1
OG0000905	XP_003706592.2	XP_015834466.1, XP_974925.1
OG0000906	XP_012137115.1	XP_015835817.1
OG0000906	XP_003699766.2	XP_015834567.1, XP_008195291.2
OG0000909	XP_012145889.1, XP_012145888.1, XP_012145890.1	XP_008193249.1
OG0000910	XP_003704205.1	XP_008195539.1
OG0000911	XP_012139834.1, XP_012139833.1	XP_008199253.1
OG0000912	XP_003700037.1, XP_012149460.1, XP_012149422.1	XP_008200507.1
OG0000913	XP_003700627.2	XP_015834654.1, XP_008192488.1, XP_008196951.1
OG0000914	XP_012138809.1	XP_008198899.1, XP_967645.1
OG0000915	XP_012147255.1	XP_008198828.2, XP_008194579.1
OG0000916	XP_003701667.2	XP_008190404.1, XP_008190403.1
OG0000917	XP_012139887.1, XP_003702996.1	XP_974228.1
OG0000918	XP_003702469.2	XP_008198658.1, XP_966808.3
OG0000919	XP_012147617.1, XP_003706282.1	XP_973176.1
OG0000920	XP_003706389.1	XP_972603.1
OG0000921	XP_012143581.1	XP_975525.1
OG0000922	XP_012135993.1	XP_975585.1, XP_015837975.1
OG0000923	XP_012146034.1	XP_008200555.2, NP_001107795.1
OG0000924	XP_003706144.1	XP_015840070.1
OG0000925	XP_012151685.1	XP_970135.2
OG0000927	XP_003701474.1, XP_012136614.1, XP_012136613.1	XP_970926.1
OG0000928	XP_012138574.1	XP_970970.3
OG0000929	XP_003705976.1	XP_008201261.2
OG0000930	XP_003704509.1	XP_974670.1
OG0000931	XP_012153544.1	NP_001306946.1
OG0000932	XP_003704170.1, XP_012142600.1, XP_012142599.1	XP_967792.1
OG0000933	XP_003707899.1	NP_001300806.1
OG0000934	XP_012150178.1	NP_001164081.1, XP_008200118.1
OG0000935	XP_003701327.1	XP_969053.1, XP_968762.2, XP_015836672.1, XP_968905.2, XP_968838.1
OG0000936	XP_012143633.1, XP_012143632.1, XP_012144081.1	XP_008190860.2
OG0000937	XP_012141088.1	XP_008200071.1
OG0000938	XP_012135995.1, XP_012135811.1	XP_968610.1
OG0000939	XP_012150873.1	XP_001811241.1
OG0000939	XP_012146234.1	XP_008191643.1
OG0000941	XP_003706264.1	XP_008197366.1, XP_969423.1
OG0000943	XP_003705898.1, XP_012146892.1, XP_012146893.1, XP_012146891.1, XP_012146894.1	XP_970739.1
OG0000944	XP_003708299.1	XP_966560.1
OG0000945	XP_003701736.1	XP_967690.1
OG0000946	XP_012154352.1, XP_012154353.1, XP_012154354.1, XP_003704426.1	XP_971878.2
OG0000948	XP_003701955.1, XP_012137553.1	XP_967077.2
OG0000949	XP_012140666.1, XP_003703369.1, XP_012140668.1	NP_001164308.1, XP_008191735.1
OG0000950	XP_003704663.1, XP_012143751.1	XP_015834523.1, XP_015834522.1
OG0000951	XP_012135808.1, XP_012135809.1, XP_003701129.1, XP_012135807.1	XP_970664.1
OG0000952	XP_003699574.1, XP_012140136.1, XP_012140128.1	XP_015834328.1, XP_975405.2
OG0000954	XP_012145732.1, XP_003705459.1	XP_015834707.1
OG0000955	XP_012145681.1	XP_008194042.1, XP_015833870.1
OG0000957	XP_012145909.1, XP_012145908.1, XP_012145907.1, XP_012145905.1, XP_012145904.1, XP_012145903.1, XP_012145906.1, XP_003705537.1, XP_012145912.1, XP_012145913.1, XP_012145914.1, XP_012145911.1	XP_969616.2
OG0000958	XP_003708421.2	XP_008199736.1, XP_973738.2
OG0000959	XP_003706790.1, XP_012148886.1	XP_015835943.1
OG0000960	XP_003705148.1, XP_012144999.1	XP_972385.1
OG0000960	XP_012144980.1	XP_001813556.2
OG0000961	XP_012144105.1	XP_015840242.1
OG0000961	XP_012144107.1, XP_012144112.1	XP_015833743.1
OG0000962	XP_012139358.1, XP_012139352.1	XP_008194653.1
OG0000963	XP_012151581.1, XP_003700039.1	XP_976188.1
OG0000964	XP_012138394.1, XP_003702252.1	XP_975467.2, XP_015834681.1
OG0000965	XP_012150818.1, XP_012150816.1	XP_015835969.1, XP_015835957.1
OG0000966	XP_003704897.1, XP_012144237.1, XP_012144236.1	XP_969046.1
OG0000967	XP_003706171.1, XP_012147400.1	XP_008195382.1
OG0000968	XP_012151828.1	XP_008195614.1, XP_971104.2, XP_008195611.1
OG0000969	XP_003702118.1	XP_015840918.1, XP_008201276.1
OG0000970	XP_012154264.1	XP_968305.1
OG0000971	XP_003704749.1, XP_012143954.1	XP_972282.2, XP_015837020.1
OG0000972	XP_012154538.1, XP_012154537.1, XP_003700577.1	XP_967420.1
OG0000974	XP_012152015.1, XP_012152019.1	XP_971298.2
OG0000975	XP_012134987.1	XP_015837167.1, XP_015837165.1, XP_015837173.1
OG0000976	XP_012140789.1, XP_003703304.1	XP_008198905.1
OG0000977	XP_003705214.2	XP_015837319.1, XP_970802.1
OG0000978	XP_012140582.1, XP_012151304.1	XP_008199102.1
OG0000979	XP_012140964.1	XP_969078.1
OG0000980	XP_012141251.1	XP_015840382.1, XP_015838797.1, XP_015840939.1
OG0000981	XP_012147611.1, XP_012147608.1, XP_012147610.1, XP_012147609.1	XP_008199943.1
OG0000982	XP_003706709.2	XP_015835195.1, NP_001280502.1
OG0000983	XP_003707404.1	XP_967514.2, XP_008193998.2
OG0000984	XP_012143046.1	XP_008197144.1
OG0000984	XP_003704405.2	XP_008197146.1
OG0000985	XP_003706912.1	XP_008195583.1
OG0000986	XP_003701877.1, XP_012145235.1	XP_015837599.1
OG0000987	XP_012150428.1	XP_015836128.1
OG0000988	XP_003702699.1	XP_015838738.1
OG0000989	XP_012140416.1, XP_012140398.1, XP_012140408.1	XP_008194375.1
OG0000992	XP_012142757.1	XP_974606.1
OG0000993	XP_012138207.1, XP_003702300.1	NP_001164130.1, NP_001164132.1
OG0000994	XP_012135077.1	XP_968930.1
OG0000995	XP_012143974.1, XP_012154470.1	XP_008198979.1
OG0000996	XP_003701102.1, XP_012135525.1	XP_972738.1, XP_008200903.1
OG0000997	XP_003700349.1	XP_001812951.1
OG0000997	XP_003707296.1	XP_971180.1
OG0000999	XP_003702512.1, XP_012138897.1	NP_001038092.1, NP_001038091.1, XP_015835197.1
OG0001000	XP_003708469.1	XP_971954.1
OG0001001	XP_003703042.1	XP_015837955.1, XP_008196172.1
OG0001002	XP_012153545.1, XP_012153470.1	XP_969124.4, XP_971550.1
OG0001003	XP_012148505.1, XP_003706692.1	XP_008193884.1
OG0001004	XP_012149128.1	XP_972250.1
OG0001004	XP_003706862.1	XP_968039.1
OG0001005	XP_003708347.1	NP_001164000.1
OG0001006	XP_003699241.1, XP_012148696.1	XP_015835270.1, XP_015835267.1
OG0001007	XP_003702879.1, XP_012139397.1, XP_012139396.1	XP_008198971.1
OG0001008	XP_012134571.1	NP_001306193.1
OG0001008	XP_012134691.1	NP_001034521.1
OG0001009	XP_012153813.1	XP_015837854.1
OG0001010	XP_012140072.1	XP_008192053.1
OG0001011	XP_003701148.1	XP_974410.1
OG0001012	XP_012145132.1	XP_008195285.1
OG0001013	XP_003705487.1, XP_012145775.1	XP_015836976.1
OG0001014	XP_012148695.1, XP_012148697.1, XP_003706766.1, XP_012148698.1, XP_012148699.1	XP_974871.1
OG0001015	XP_012137197.1	XP_008201197.1
OG0001016	XP_003703809.1	XP_969349.1
OG0001016	XP_003699952.1	XP_967560.1
OG0001017	XP_003706023.1	XP_969629.1, XP_008194028.1
OG0001018	XP_012148403.1	NP_001107779.1
OG0001018	XP_012148402.1	NP_001107780.1
OG0001019	XP_003699355.1	XP_015839056.1, XP_974292.2, XP_008198287.1
OG0001020	XP_012152180.1, XP_012152181.1, XP_003708140.1	XP_970433.1
OG0001021	XP_003699520.1, XP_012138849.1	XP_969653.1
OG0001022	XP_012135767.1, XP_012135994.1	XP_015835414.1, XP_015835415.1
OG0001023	XP_003699272.2	XP_001811805.1
OG0001024	XP_012139549.1, XP_003702926.1	XP_971735.1
OG0001025	XP_012148895.1	XP_008193091.1
OG0001026	XP_012135322.1	XP_970449.1
OG0001027	XP_003707337.1	XP_015838508.1
OG0001028	XP_003701499.1	XP_015839464.1, XP_970163.1
OG0001029	XP_012153029.1	XP_015840479.1
OG0001030	XP_012145749.1	XP_015838296.1, XP_976275.1
OG0001031	XP_012147844.1	XP_975003.1, XP_975012.1
OG0001032	XP_003704228.1	XP_008197238.1
OG0001033	XP_003703151.1	XP_968121.1
OG0001034	XP_012150155.1	XP_015835089.1, XP_015835090.1, XP_008192440.2, XP_015835122.1, XP_008192433.1, XP_008192434.1, XP_015840598.1, XP_008201070.1
OG0001035	XP_003703548.1, XP_012141492.1	XP_001816488.1
OG0001036	XP_012137742.1, XP_012138164.1	XP_015838416.1
OG0001037	XP_012141539.1, XP_003703553.1	XP_008201337.1
OG0001038	XP_012149996.1	XP_975102.1
OG0001039	XP_003704469.1, XP_012143252.1, XP_012143251.1, XP_012143253.1	XP_008197122.1, XP_972852.1
OG0001040	XP_012151831.1	XP_008200571.1
OG0001041	XP_003703257.1, XP_012140624.1	XP_971368.1, XP_008199393.1, XP_008199391.1
OG0001042	XP_003702248.1	XP_008191863.1
OG0001043	XP_012137974.1, XP_012137973.1	XP_008199231.1, XP_008199232.1
OG0001044	XP_012145419.1	XP_015839545.1
OG0001045	XP_012141449.1	XP_974068.1
OG0001046	XP_012136085.1	XP_015835974.1
OG0001048	XP_012143051.1	XP_015836699.1, XP_008195153.1
OG0001049	XP_012150682.1, XP_012150685.1	XP_008198519.1
OG0001050	XP_012139027.1	XP_008197845.1, XP_008197843.1
OG0001052	XP_012154004.1, XP_012154008.1	XP_015836414.1
OG0001053	XP_012140272.1	XP_008201416.1
OG0001054	XP_012154176.1	XP_970597.2
OG0001055	XP_012142874.1	XP_971906.1
OG0001056	XP_003704471.1	XP_008199786.1
OG0001057	XP_012150279.1, XP_012150280.1	XP_015838535.1
OG0001058	XP_012144415.1	XP_015833239.1, XP_015833240.1, XP_968118.1, XP_008190828.1
OG0001059	XP_003701850.1, XP_012150237.1	XP_001812701.1
OG0001060	XP_012147435.1	XP_975678.1
OG0001061	XP_012138000.1, XP_012138045.1, XP_003699198.1	XP_008194269.1, XP_015835880.1
OG0001063	XP_012147018.1, XP_012140859.1	XP_008198790.1
OG0001064	XP_012142407.1, XP_012142405.1	XP_015839254.1, XP_973869.1
OG0001065	XP_012149279.1, XP_003707068.2	NP_001076808.1, XP_008195066.1
OG0001066	XP_012154526.1, XP_012154525.1, XP_012154524.1, XP_003700576.1	XP_008194156.1, XP_015835951.1, XP_008194158.1, XP_971810.2
OG0001067	XP_003707733.2, XP_012151227.1, XP_012151224.1	XP_015835194.1, XP_015835191.1, XP_015835193.1, XP_015835189.1
OG0001068	XP_012146153.1, XP_012146145.1	XP_015833006.1, XP_015833002.1
OG0001070	XP_003707963.2, XP_003707964.1	XP_967757.1
OG0001071	XP_012150330.1	XP_015835573.1, XP_971088.1
OG0001072	XP_012142877.1	XP_968287.2
OG0001073	XP_003700141.1, XP_012151379.1	XP_015840906.1
OG0001074	XP_003708179.1, XP_012152362.1	XP_968014.1
OG0001075	XP_012138621.1, XP_012138620.1, XP_012138625.1, XP_012138624.1, XP_012138622.1	XP_976192.1
OG0001076	XP_012137657.1, XP_012137656.1, XP_012137654.1, XP_012137653.1, XP_012137652.1, XP_012137651.1, XP_012137655.1	XP_015836852.1
OG0001077	XP_012134804.1	XP_969551.1
OG0001078	XP_003706792.1	XP_008197026.2
OG0001079	XP_003700353.2	XP_970516.1
OG0001081	XP_012145792.1	XP_972805.1, XP_008196164.1
OG0001082	XP_012151415.1	XP_974821.1
OG0001084	XP_003702849.1	XP_008193669.1
OG0001085	XP_003700405.2, XP_012154064.1	XP_015836984.1, XP_966581.1
OG0001086	XP_003706174.1	XP_008196611.1
OG0001090	XP_012147385.1, XP_003706183.1	XP_008193026.1, XP_969238.1
OG0001091	XP_012146112.1	XP_008191347.1
OG0001092	XP_003700030.1	XP_008192984.1, NP_001107766.2
OG0001093	XP_003706880.1	XP_967758.1
OG0001094	XP_003706678.1	XP_972722.1
OG0001095	XP_012136589.1, XP_012136590.1, XP_003701462.1	XP_974524.1
OG0001096	XP_003700497.1, XP_012154247.1, XP_012154246.1	XP_971402.1
OG0001097	XP_003706929.1, XP_012149371.1, XP_012149372.1	XP_973281.1
OG0001098	XP_012144364.1	XP_001808476.1
OG0001099	XP_012139005.1	XP_015838140.1
OG0001099	XP_012139004.1	XP_015838137.1
OG0001100	XP_003701747.1	XP_015833017.1, XP_974324.1
OG0001101	XP_003699363.2	XP_015835316.1, XP_008192958.1
OG0001102	XP_003699435.1	XP_008198777.1, XP_970498.1
OG0001103	XP_012135822.1, XP_003701133.1	NP_001164136.1
OG0001104	XP_012139104.1, XP_012139103.1, XP_012139105.1	XP_966537.1
OG0001105	XP_003701454.1	XP_968687.1, XP_015836906.1, XP_015836904.1, XP_969139.2, XP_968617.1
OG0001106	XP_003706346.1, XP_012147775.1, XP_012147774.1	XP_975213.1
OG0001107	XP_003701151.1, XP_012135901.1, XP_012135902.1	XP_015835955.1, XP_967711.1
OG0001108	XP_012135922.1	XP_969212.1, XP_969136.1, XP_969065.1
OG0001109	XP_012138817.1	XP_015840812.1
OG0001110	XP_012146445.1, XP_012146443.1, XP_003705729.1	XP_008197884.1
OG0001111	XP_003706394.1	XP_975084.1
OG0001112	XP_003704075.1	XP_015839558.1, XP_008199112.1, XP_008199111.1, XP_008199113.1, XP_008199114.1
OG0001113	XP_012137395.1, XP_003701894.1, XP_012137394.1	XP_966673.1
OG0001114	XP_012143661.1, XP_003699751.1	XP_966885.1, XP_008191103.1
OG0001115	XP_012150492.1, XP_012150491.1, XP_012150490.1, XP_012150487.1, XP_012150489.1, XP_012150488.1, XP_012150494.1, XP_012150495.1, XP_012150496.1, XP_003707513.1	XP_968555.2
OG0001116	XP_003706247.1	XP_008199210.1
OG0001117	XP_012144347.1	XP_008199836.1
OG0001118	XP_003701943.2	XP_972023.1
OG0001119	XP_003702461.1	XP_015833676.1
OG0001120	XP_012153711.1	XP_008195678.2
OG0001120	XP_012153707.1	XP_975429.1
OG0001121	XP_012141625.1, XP_012141627.1, XP_012141621.1, XP_012141620.1, XP_012141619.1, XP_012141623.1, XP_012141622.1, XP_012141624.1	NP_001107840.1, XP_008201496.1
OG0001122	XP_003701851.1	XP_968775.1
OG0001123	XP_012146962.1	XP_008198553.1
OG0001124	XP_003701067.1	XP_975636.1
OG0001125	XP_012143831.1	XP_008190532.1, XP_008190533.1, XP_008190535.1, XP_008190536.1, XP_008190537.1, XP_015833013.1
OG0001126	XP_003707487.1	XP_971282.1, XP_015836202.1
OG0001127	XP_003702084.2, XP_012138092.1	XP_008198191.1
OG0001128	XP_012138049.1	XP_008190655.1
OG0001129	XP_012137049.1, XP_012137046.1	XP_008195074.1
OG0001131	XP_012137468.1	XP_015840650.1, XP_008199422.1
OG0001132	XP_003708394.2	XP_967011.1
OG0001133	XP_012141536.1, XP_012141532.1, XP_012141533.1, XP_012141534.1, XP_012141535.1	XP_967241.1, XP_015832935.1
OG0001134	XP_012142803.1, XP_012142805.1, XP_003704180.2	XP_008194083.1
OG0001135	XP_012141843.1	XP_968753.2
OG0001138	XP_003699964.1, XP_012148664.1	XP_974752.2
OG0001139	XP_003705950.1, XP_012146880.1	XP_973786.1, XP_015835878.1
OG0001140	XP_012134975.1	XP_971142.1
OG0001141	XP_003699214.1, XP_012140363.1	NP_001103250.1, NP_001103249.1, NP_001103248.1
OG0001142	XP_012154144.1	XP_008193039.1
OG0001143	XP_003699188.2	XP_969623.1
OG0001144	XP_012143922.1, XP_012143909.1	NP_001280546.1
OG0001145	XP_003707584.1	XP_973829.1
OG0001146	XP_012154049.1, XP_003700377.2	XP_967210.1
OG0001148	XP_003700592.1	XP_008191864.1
OG0001149	XP_012134917.1, XP_012134910.1	XP_008193472.1
OG0001150	XP_012139922.1	XP_968505.1
OG0001151	XP_003707769.1	XP_008194307.1
OG0001152	XP_012148994.1, XP_003706990.2, XP_012148993.1	XP_015835806.1
OG0001153	XP_012148580.1	XP_008196650.2
OG0001154	XP_012153385.1, XP_012153384.1, XP_003708546.1	XP_015840392.1, XP_008195259.1
OG0001155	XP_003701945.1, XP_012137511.1	XP_008192108.1, XP_008192109.1, XP_974039.1
OG0001156	XP_012149143.1	XP_008192296.1
OG0001157	XP_003706419.1	XP_970548.1, XP_008199067.1
OG0001158	XP_003703152.1, XP_012140207.1, XP_012140208.1	XP_008197031.1, NP_001164280.1
OG0001159	XP_003699306.1	XP_008199533.1
OG0001160	XP_003704991.2	XP_972545.1
OG0001161	XP_012149589.1	XP_008198406.1
OG0001163	XP_012135319.1, XP_012135318.1	XP_008196669.1, XP_972490.2
OG0001164	XP_003702522.1	XP_001815875.1
OG0001165	XP_012148730.1, XP_012148729.1	XP_015835803.1, XP_008193882.1
OG0001166	XP_012138908.1, XP_012138909.1	XP_008191785.1, XP_015833648.1, XP_015833649.1
OG0001167	XP_012137041.1	XP_008190526.1
OG0001168	XP_003704983.1	XP_008194043.1, NP_001129235.1
OG0001169	XP_003702988.1	XP_971976.1, XP_008195314.1
OG0001170	XP_012145174.1, XP_012145173.1	XP_008195103.1
OG0001171	XP_012148237.1, XP_012148231.1, XP_012148230.1	XP_008201706.1, XP_008201707.1
OG0001172	XP_012150144.1, XP_012150146.1	XP_015835716.1, XP_015835718.1
OG0001173	XP_003706675.1	XP_008191324.1
OG0001174	XP_012134641.1	XP_971424.1
OG0001175	XP_003708528.1	XP_008200383.1
OG0001176	XP_003700974.2	XP_972928.1
OG0001177	XP_012136355.1	XP_015837748.1, XP_015837697.1
OG0001178	XP_012138377.1, XP_012138379.1, XP_012138380.1, XP_012138381.1, XP_012138382.1, XP_003702251.1	XP_975464.2
OG0001179	XP_012143284.1, XP_012143277.1, XP_003699782.1, XP_012143300.1	XP_008198975.1, XP_971602.1
OG0001180	XP_003705173.1, XP_012145030.1	XP_008198633.1
OG0001181	XP_012140845.1, XP_003703409.1	XP_008191878.1
OG0001182	XP_012135309.1, XP_012135308.1	XP_015840100.1, XP_015840102.1
OG0001183	XP_012147427.1	XP_008193529.1
OG0001184	XP_012144175.1, XP_012144178.1	XP_008201701.1, XP_015840686.1
OG0001186	XP_003701161.1	XP_969063.1
OG0001187	XP_003701139.1	XP_968896.1, XP_015835887.1
OG0001188	XP_012139341.1	XP_001816493.1, XP_015837546.1, XP_015837545.1
OG0001189	XP_003702958.1	XP_008194526.1
OG0001190	XP_012149844.1, XP_003707230.2	XP_008199702.1, XP_008199701.1
OG0001191	XP_012143967.1, XP_012143969.1, XP_012143963.1, XP_012143964.1	XP_008201559.2, NP_001165842.1
OG0001193	XP_003708447.1	XP_967266.2
OG0001195	XP_003705691.1	XP_008195388.1, XP_008195387.1
OG0001197	XP_012147923.1, XP_003706414.1	XP_015840919.1, XP_008201266.1, XP_008201358.1
OG0001198	XP_012146495.1, XP_012146496.1, XP_012146497.1, XP_003705773.1	XP_008192533.1
OG0001199	XP_012153061.1, XP_012153060.1, XP_003708523.1	XP_008190901.1
OG0001201	XP_012152866.1, XP_012152852.1, XP_012152845.1, XP_012152837.1, XP_012152859.1, XP_012152833.1	XP_967431.2
OG0001202	XP_003702439.1, XP_012138666.1	XP_008198196.1, XP_969574.1, XP_970203.1
OG0001203	XP_012151781.1	XP_008198168.2, XP_015837354.1
OG0001204	XP_012149378.1, XP_012149382.1	XP_015835914.1
OG0001205	XP_012150847.1	XP_015832961.1
OG0001206	XP_012138565.1	XP_968926.1, XP_008192540.1, XP_008192547.1
OG0001207	XP_003701320.2, XP_012136118.1, XP_012136117.1	XP_008193742.1
OG0001208	XP_012139205.1, XP_012145241.1	XP_008195493.1, XP_008195494.1, XP_008195495.1, XP_015836894.1, XP_015836892.1, XP_015836893.1
OG0001211	XP_012143732.1	XP_969398.1, XP_015836279.1, XP_015839975.1, XP_015839976.1, XP_008196675.1
OG0001214	XP_003708127.2, XP_012152099.1	XP_008200001.1, XP_975934.1
OG0001215	XP_012139788.1, XP_003702833.1, XP_012139787.1	XP_968957.1
OG0001216	XP_012140227.1, XP_012140229.1, XP_012140230.1, XP_012140228.1, XP_003703119.1	XP_015839295.1
OG0001217	XP_012154260.1, XP_012154261.1, XP_012154262.1, XP_003700430.1	XP_008192863.1
OG0001218	XP_003703319.1, XP_012140843.1	XP_008201334.1
OG0001219	XP_003705366.1	XP_001816128.1
OG0001220	XP_003705398.1	XP_972076.1
OG0001221	XP_003707478.1	XP_008190388.1, XP_008190385.1, XP_008190387.2, XP_971157.1
OG0001222	XP_003701434.1, XP_012136252.1, XP_012136253.1	XP_968714.2
OG0001223	XP_003705779.1	XP_967177.1
OG0001224	XP_012142432.1, XP_012142431.1	XP_008191038.1, XP_975446.1
OG0001225	XP_012144875.1, XP_012144877.1, XP_003705100.1	XP_972067.1
OG0001228	XP_003708578.1, XP_012153511.1	XP_008197675.1
OG0001229	XP_012153775.1, XP_003700247.1	XP_973115.2
OG0001230	XP_012150027.1	XP_967571.1
OG0001231	XP_012143018.1	XP_008197759.1, XP_008197754.1
OG0001231	XP_012143020.1	XP_969776.1
OG0001232	XP_012137926.1, XP_012137925.1, XP_012137924.1	XP_008190354.1
OG0001233	XP_003706513.1	XP_008190817.1
OG0001234	XP_012143086.1, XP_012143087.1	XP_972865.2
OG0001236	XP_003705225.1, XP_012145120.1	XP_970017.1, XP_008194730.1
OG0001237	XP_012154403.1	XP_970990.1, XP_970935.1, XP_008198405.1, XP_008201442.1, XP_008201445.1
OG0001238	XP_012144760.1	XP_015840481.1, XP_008199848.1
OG0001239	XP_003700256.1	XP_969339.3
OG0001240	XP_003699955.1, XP_012148056.1	XP_008196847.1
OG0001241	XP_003702459.1, XP_012138700.1	XP_008196700.1, NP_001280495.1
OG0001242	XP_012148292.1	XP_015837308.1, XP_015837309.1
OG0001243	XP_012148753.1, XP_012148788.1	XP_968084.1
OG0001244	XP_012154517.1, XP_003700573.1	XP_974073.3
OG0001245	XP_003703064.1	XP_968503.1
OG0001246	XP_003700646.1	XP_008191948.1, XP_008191947.1
OG0001247	XP_003699702.1, XP_012142848.1, XP_012142853.1, XP_012142840.1	XP_969111.2
OG0001248	XP_003701958.1, XP_012137519.1, XP_012137518.1, XP_012137520.1	XP_975017.2
OG0001249	XP_012146140.1, XP_003705651.2	XP_975542.1
OG0001250	XP_003705072.1, XP_012144751.1	XP_015835066.1, XP_015835069.1, XP_015835068.1, XP_015835067.1, XP_008191723.1, XP_015835064.1, XP_015835065.1
