Orthogroup	Megachile_rotundata	Vespa_mandarinia
OG0000668	XP_003704444.2	XP_035743929.1, XP_035743925.1, XP_035743926.1, XP_035743927.1
OG0000669	XP_012138808.1, XP_012138807.1, XP_012138804.1, XP_012138806.1, XP_012138805.1, XP_003702483.1	XP_035737438.1
OG0000670	XP_003705423.1	XP_035736657.1
OG0000671	XP_003703047.1, XP_012139953.1	XP_035717974.1
OG0000672	XP_012141550.1, XP_012141549.1, XP_003703560.1	XP_035717545.1
OG0000672	XP_003703561.1	XP_035717583.1
OG0000673	XP_012136410.1, XP_012136409.1, XP_012136411.1, XP_012136412.1, XP_012136413.1, XP_012136414.1, XP_012136415.1, XP_012136416.1, XP_012136408.1	XP_035723062.1, XP_035723060.1, XP_035723061.1
OG0000674	XP_012151680.1, XP_012151678.1, XP_003707905.2	XP_035737376.1
OG0000674	XP_003703681.1	XP_035737750.1
OG0000675	XP_003706289.1, XP_003706290.1, XP_003706294.1, XP_003706295.1, XP_003706293.1, XP_012147625.1	XP_035727254.1
OG0000677	XP_012143146.1, XP_012143151.1	XP_035734822.1, XP_035734830.1
OG0000678	XP_003708665.1, XP_012152379.1, XP_003700088.1, XP_003700090.2, XP_003708666.1, XP_003699993.2, XP_003700087.2	XP_035739546.1
OG0000680	XP_003706446.1	XP_035732688.1, XP_035732689.1
OG0000681	XP_012136536.1	XP_035730416.1
OG0000681	XP_012149307.1	XP_035736589.1
OG0000682	XP_012142792.1	XP_035730509.1
OG0000683	XP_012152066.1, XP_012152058.1, XP_012152073.1	XP_035742980.1
OG0000684	XP_012151849.1	XP_035720461.1, XP_035720465.1, XP_035720464.1, XP_035720463.1, XP_035720462.1
OG0000685	XP_012146708.1	XP_035726310.1
OG0000685	XP_003707968.1	XP_035718319.1
OG0000686	XP_012152216.1, XP_012152217.1	XP_035725592.1, XP_035725589.1, XP_035725590.1, XP_035725587.1, XP_035725591.1
OG0000687	XP_012144281.1	XP_035744190.1
OG0000688	XP_012139430.1, XP_012139432.1, XP_003702747.1, XP_012139431.1	XP_035725093.1
OG0000689	XP_012150337.1	XP_035734480.1
OG0000689	XP_012150338.1	XP_035734527.1
OG0000690	XP_003702047.1	XP_035736006.1, XP_035736005.1, XP_035736004.1, XP_035736003.1
OG0000691	XP_003705766.1, XP_012146482.1	XP_035733422.1, XP_035733421.1
OG0000692	XP_012143565.1, XP_012143556.1, XP_012143549.1, XP_012143542.1, XP_003699790.1	XP_035738696.1
OG0000694	XP_003706512.1, XP_012148092.1	XP_035737510.1, XP_035737512.1
OG0000695	XP_012152035.1, XP_003708102.1	XP_035725164.1, XP_035725165.1
OG0000696	XP_003704809.1	XP_035717862.1
OG0000698	XP_003700375.1	XP_035719080.1
OG0000699	XP_012149977.1	XP_035739620.1
OG0000700	XP_003705049.1	XP_035738864.1
OG0000700	XP_012144655.1, XP_012144654.1, XP_012144653.1	XP_035738985.1
OG0000701	XP_012141527.1	XP_035725746.1
OG0000703	XP_012142303.1	XP_035741856.1
OG0000704	XP_003702810.1	XP_035735915.1
OG0000705	XP_012140775.1	XP_035720546.1, XP_035720545.1
OG0000706	XP_012146214.1, XP_012146217.1	XP_035740539.1
OG0000707	XP_003700816.1, XP_003700801.1	XP_035727759.1, XP_035739261.1
OG0000708	XP_012143972.1	XP_035739714.1
OG0000709	XP_012138799.1, XP_012138798.1	XP_035737454.1, XP_035737447.1, XP_035737449.1, XP_035737452.1
OG0000710	XP_012137658.1, XP_012148756.1, XP_003706944.2, XP_012148757.1	XP_035717116.1
OG0000711	XP_012136016.1, XP_012136015.1, XP_012136019.1, XP_012136018.1, XP_012136020.1, XP_003701339.1, XP_012136017.1	XP_035731898.1
OG0000712	XP_012137053.1, XP_012137054.1, XP_012137052.1	XP_035724913.1, XP_035724921.1
OG0000713	XP_012139469.1	XP_035721344.1, XP_035721340.1, XP_035721339.1, XP_035721342.1, XP_035721341.1, XP_035721343.1
OG0000714	XP_012146423.1, XP_012146409.1, XP_012146417.1	XP_035743266.1
OG0000715	XP_012148517.1	XP_035736099.1
OG0000716	XP_012137994.1, XP_012137996.1, XP_012137992.1, XP_012137993.1, XP_012137986.1, XP_012137990.1, XP_012137991.1, XP_012137988.1, XP_012137989.1, XP_012137995.1	XP_035735998.1
OG0000717	XP_003703795.1, XP_012141602.1, XP_012141601.1	XP_035743738.1, XP_035743739.1
OG0000718	XP_012139877.1	XP_035720559.1, XP_035720555.1, XP_035720560.1
OG0000719	XP_012135438.1	XP_035740882.1, XP_035740883.1, XP_035740885.1
OG0000720	XP_012138613.1	XP_035720460.1
OG0000720	XP_012153548.1	XP_035725777.1
OG0000721	XP_003705802.1	XP_035738601.1, XP_035738597.1, XP_035738598.1, XP_035738599.1
OG0000723	XP_012142043.1	XP_035731157.1, XP_035731164.1
OG0000724	XP_012137649.1, XP_012137646.1, XP_012137640.1	XP_035739785.1, XP_035739784.1
OG0000726	XP_012143134.1	XP_035732106.1
OG0000727	XP_003699194.1	XP_035742962.1, XP_035742970.1
OG0000728	XP_012154300.1	XP_035731130.1, XP_035731097.1
OG0000729	XP_003707520.1, XP_012150459.1, XP_012150457.1, XP_012150458.1	XP_035731108.1, XP_035731109.1, XP_035731111.1
OG0000730	XP_003708480.1, XP_012153030.1, XP_012153031.1	XP_035717232.1, XP_035717231.1
OG0000731	XP_012143004.1	XP_035736168.1
OG0000733	XP_012153113.1, XP_012153114.1, XP_012153111.1, XP_012153112.1, XP_012153115.1, XP_003708460.1, XP_012153110.1	XP_035735542.1, XP_035735543.1
OG0000734	XP_003708680.1, XP_012136138.1, XP_012136137.1, XP_012136140.1, XP_012136139.1, XP_012136136.1, XP_012136142.1, XP_012136141.1, XP_012136143.1, XP_012136144.1	XP_035738188.1
OG0000736	XP_012145248.1, XP_003699811.1	XP_035720367.1
OG0000737	XP_003704876.1	XP_035721091.1, XP_035721090.1, XP_035721089.1
OG0000738	XP_012145181.1	XP_035723897.1
OG0000739	XP_003702317.1, XP_012138407.1, XP_012138408.1, XP_012138406.1, XP_012138405.1	XP_035722617.1, XP_035722616.1
OG0000740	XP_012144661.1, XP_003705050.1	XP_035730120.1, XP_035730122.1, XP_035730121.1, XP_035730123.1
OG0000741	XP_003701373.1, XP_012136150.1, XP_012136151.1, XP_012136152.1	XP_035719143.1
OG0000742	XP_003707085.1	XP_035731976.1, XP_035731975.1, XP_035731974.1
OG0000743	XP_012143829.1, XP_012143830.1, XP_003704699.1	XP_035719571.1
OG0000744	XP_003701323.1	XP_035729804.1
OG0000745	XP_012138984.1	XP_035730031.1, XP_035730030.1
OG0000746	XP_003703135.2, XP_012140106.1	XP_035735782.1
OG0000747	XP_003700582.1	XP_035743788.1, XP_035743787.1, XP_035743786.1
OG0000748	XP_012134972.1, XP_012134969.1	XP_035727008.1
OG0000749	XP_012148514.1	XP_035736123.1
OG0000750	XP_012148930.1	XP_035725142.1
OG0000751	XP_003707895.1	XP_035742080.1
OG0000752	XP_012139706.1, XP_012139708.1, XP_012139707.1	XP_035735936.1
OG0000753	XP_012136333.1	XP_035732089.1, XP_035732090.1
OG0000754	XP_012143945.1	XP_035722716.1
OG0000755	XP_012149515.1, XP_012149513.1, XP_012149516.1, XP_003707105.1, XP_012149517.1, XP_012149514.1	XP_035733249.1
OG0000756	XP_012138024.1	XP_035727440.1
OG0000756	XP_012138028.1	XP_035727474.1
OG0000757	XP_012136979.1, XP_012136969.1	XP_035739702.1
OG0000758	XP_012142371.1	XP_035724560.1
OG0000758	XP_003703662.1	XP_035719725.1, XP_035719718.1
OG0000759	XP_012144496.1	XP_035731755.1
OG0000760	XP_003707581.1, XP_012150646.1, XP_012150647.1	XP_035724653.1, XP_035724652.1, XP_035724646.1
OG0000761	XP_012148047.1, XP_012148046.1, XP_012148045.1, XP_012148048.1, XP_003706495.1	XP_035729581.1
OG0000762	XP_012141137.1, XP_012141134.1, XP_012141136.1, XP_012141135.1, XP_003703462.1	XP_035728257.1, XP_035728255.1, XP_035728252.1, XP_035728256.1, XP_035728254.1
OG0000764	XP_012137420.1	XP_035737178.1
OG0000765	XP_012153731.1, XP_003700299.1	XP_035720500.1, XP_035720511.1, XP_035720489.1, XP_035720522.1
OG0000766	XP_012139196.1, XP_012139197.1, XP_012139198.1, XP_012139199.1, XP_003702635.1, XP_012139195.1	XP_035728683.1, XP_035728682.1, XP_035728681.1
OG0000767	XP_003702016.1, XP_012137841.1	XP_035717902.1, XP_035717901.1
OG0000768	XP_012135083.1, XP_012135087.1, XP_003699283.1	XP_035717969.1, XP_035717970.1, XP_035717971.1, XP_035717968.1, XP_035717967.1
OG0000769	XP_003706462.2	XP_035729826.1, XP_035729825.1, XP_035729827.1
OG0000770	XP_003702817.1, XP_012139725.1, XP_012139726.1	XP_035735825.1, XP_035735824.1
OG0000771	XP_012136986.1	XP_035726924.1
OG0000772	XP_012141908.1, XP_012141909.1, XP_012141907.1, XP_012141914.1, XP_012141911.1, XP_012141910.1, XP_012141913.1, XP_012141912.1, XP_003703865.1	XP_035721559.1
OG0000773	XP_012143303.1	XP_035721393.1
OG0000774	XP_003701026.1	XP_035734491.1, XP_035734483.1
OG0000775	XP_012135269.1, XP_003701000.1	XP_035723089.1, XP_035723086.1
OG0000776	XP_012151646.1, XP_003707993.1	XP_035721945.1
OG0000777	XP_003708279.1, XP_012152623.1, XP_012152620.1, XP_012152619.1, XP_012152622.1, XP_012152621.1	XP_035741119.1
OG0000778	XP_003702097.1	XP_035736345.1, XP_035736344.1, XP_035736343.1
OG0000779	XP_003705698.1	XP_035723001.1
OG0000780	XP_003707696.1	XP_035719579.1
OG0000781	XP_003708223.1	XP_035722336.1
OG0000782	XP_003707618.1	XP_035742043.1, XP_035742042.1, XP_035742037.1, XP_035742041.1, XP_035742040.1, XP_035742039.1, XP_035742038.1, XP_035742044.1, XP_035742045.1
OG0000783	XP_003708252.2	XP_035737556.1
OG0000784	XP_012141668.1, XP_012141667.1, XP_003703808.1, XP_012141669.1	XP_035726576.1
OG0000786	XP_012154199.1, XP_003700412.1	XP_035719275.1, XP_035719250.1, XP_035719259.1, XP_035719268.1
OG0000787	XP_012153932.1, XP_012153937.1	XP_035726858.1, XP_035726860.1
OG0000788	XP_012134899.1, XP_012134891.1, XP_012134888.1	XP_035725562.1
OG0000789	XP_003703446.1	XP_035726923.1
OG0000790	XP_012148521.1, XP_012148520.1, XP_012148519.1, XP_012148527.1, XP_012148525.1, XP_012148524.1, XP_003706735.2, XP_012148522.1, XP_012148523.1	XP_035736162.1, XP_035736157.1, XP_035736156.1, XP_035736155.1, XP_035736161.1, XP_035736163.1, XP_035736160.1, XP_035736159.1, XP_035736158.1
OG0000791	XP_003700460.1, XP_012154103.1, XP_012154102.1, XP_012154101.1	XP_035724382.1, XP_035724383.1, XP_035724385.1, XP_035724386.1, XP_035724387.1, XP_035724384.1, XP_035724381.1
OG0000795	XP_012153149.1	XP_035722568.1
OG0000796	XP_012134999.1	XP_035725099.1
OG0000797	XP_003702476.1	XP_035741632.1, XP_035741637.1, XP_035741638.1, XP_035741635.1, XP_035741634.1, XP_035741636.1, XP_035741633.1
OG0000798	XP_012143298.1, XP_012143299.1, XP_012143297.1, XP_012143295.1, XP_012143296.1, XP_003704508.2	XP_035741552.1
OG0000799	XP_012150637.1, XP_012150635.1, XP_012150636.1	XP_035718747.1
OG0000800	XP_003708325.1	XP_035719055.1, XP_035719053.1
OG0000801	XP_012153863.1	XP_035734010.1
OG0000802	XP_012149292.1	XP_035743442.1
OG0000803	XP_003705540.1, XP_012145915.1	XP_035735360.1, XP_035735361.1
OG0000804	XP_012147771.1, XP_012147772.1, XP_012147773.1, XP_003706340.1, XP_012147769.1, XP_012147770.1	XP_035737952.1
OG0000806	XP_003704830.1, XP_012144283.1, XP_012144282.1	XP_035717179.1
OG0000807	XP_012143794.1, XP_003704685.1	XP_035724467.1
OG0000809	XP_012154054.1, XP_012154050.1	XP_035733176.1, XP_035733168.1
OG0000810	XP_003704957.1, XP_012144469.1	XP_035723927.1, XP_035723925.1, XP_035723926.1
OG0000811	XP_012148169.1, XP_012148168.1	XP_035739302.1
OG0000812	XP_012140217.1, XP_012140219.1, XP_003703081.1	XP_035737174.1
OG0000812	XP_003706123.1	XP_035741003.1
OG0000813	XP_003700541.1	XP_035737583.1
OG0000814	XP_012143511.1	XP_035736228.1
OG0000815	XP_012151633.1	XP_035726011.1, XP_035726013.1
OG0000816	XP_003701080.1	XP_035717990.1
OG0000817	XP_003706519.1	XP_035734155.1, XP_035734157.1
OG0000818	XP_012142258.1, XP_012142260.1, XP_012142257.1, XP_003703969.1, XP_012142256.1	XP_035727225.1
OG0000819	XP_012148535.1, XP_012148532.1	XP_035736129.1
OG0000820	XP_003701764.1	XP_035727120.1
OG0000821	XP_003707016.1	XP_035730075.1
OG0000822	XP_012147912.1, XP_012147908.1	XP_035736969.1
OG0000823	XP_003706526.1	XP_035732382.1, XP_035732383.1, XP_035732384.1
OG0000824	XP_012135554.1	XP_035729598.1
OG0000824	XP_012149199.1	XP_035718672.1
OG0000825	XP_003707634.1	XP_035730924.1, XP_035730923.1
OG0000826	XP_012145066.1, XP_012145067.1	XP_035721104.1
OG0000827	XP_003706957.1, XP_012148808.1	XP_035729075.1, XP_035729082.1
OG0000828	XP_012140704.1, XP_012140702.1, XP_012140701.1, XP_012140700.1, XP_012140703.1, XP_003703286.1	XP_035733882.1, XP_035733881.1, XP_035733880.1
OG0000829	XP_003704986.1	XP_035738725.1
OG0000830	XP_003699932.1	XP_035744221.1, XP_035744218.1, XP_035744219.1, XP_035744220.1
OG0000831	XP_012135046.1, XP_012135047.1	XP_035720383.1
OG0000832	XP_003702358.2	XP_035729990.1, XP_035729985.1, XP_035729989.1, XP_035729988.1, XP_035729986.1, XP_035729987.1
OG0000833	XP_012149713.1, XP_012149693.1	XP_035739568.1, XP_035739556.1
OG0000834	XP_003706673.1, XP_012148462.1	XP_035737030.1
OG0000835	XP_003701307.1	XP_035731442.1
OG0000836	XP_012153460.1	XP_035735176.1
OG0000837	XP_012150835.1, XP_012150836.1	XP_035742051.1, XP_035742050.1
OG0000838	XP_012139561.1	XP_035720912.1, XP_035720908.1
OG0000839	XP_003703664.2	XP_035722759.1
OG0000840	XP_012137930.1, XP_012137929.1, XP_012137927.1, XP_012137928.1, XP_003702038.1	XP_035732134.1, XP_035732126.1
OG0000841	XP_012141439.1, XP_012141438.1	XP_035743574.1
OG0000842	XP_003707334.1	XP_035732858.1
OG0000844	XP_012147957.1, XP_003706375.1, XP_012147958.1	XP_035726706.1, XP_035726705.1, XP_035726704.1
OG0000845	XP_012150707.1, XP_012150708.1, XP_012150709.1, XP_012150710.1, XP_012150711.1, XP_012150712.1, XP_012150713.1	XP_035742155.1
OG0000846	XP_012146686.1	XP_035739853.1
OG0000849	XP_003699767.1, XP_003701041.1	XP_035740856.1
OG0000850	XP_003707116.1	XP_035734698.1, XP_035734700.1, XP_035734699.1
OG0000851	XP_012137152.1, XP_012137151.1, XP_012137153.1	XP_035739417.1, XP_035739418.1
OG0000852	XP_003701517.2	XP_035722545.1
OG0000853	XP_012154140.1	XP_035739346.1, XP_035739347.1
OG0000854	XP_012136594.1, XP_012136597.1	XP_035742303.1, XP_035742304.1
OG0000856	XP_012136055.1	XP_035723721.1, XP_035723725.1
OG0000856	XP_012136062.1	XP_035723746.1
OG0000857	XP_003703016.1	XP_035717218.1, XP_035717217.1
OG0000858	XP_012142916.1	XP_035742118.1
OG0000859	XP_012151735.1	XP_035717151.1
OG0000860	XP_003699935.1, XP_012146529.1, XP_012146522.1	XP_035742707.1, XP_035742708.1
OG0000861	XP_003701514.1	XP_035722985.1
OG0000862	XP_012140780.1	XP_035720777.1, XP_035720780.1
OG0000863	XP_003705112.1, XP_012144749.1, XP_012144747.1	XP_035723848.1
OG0000864	XP_012139096.1, XP_012139095.1	XP_035742216.1
OG0000865	XP_012150045.1, XP_012150046.1	XP_035717940.1
OG0000866	XP_012134615.1	XP_035725128.1, XP_035725127.1, XP_035725126.1, XP_035725125.1, XP_035725132.1, XP_035725131.1, XP_035725129.1
OG0000867	XP_012137804.1, XP_012137805.1	XP_035743017.1, XP_035743016.1, XP_035743015.1
OG0000868	XP_012148474.1, XP_012148472.1	XP_035736876.1
OG0000869	XP_012150629.1, XP_003707632.1	XP_035725570.1, XP_035725572.1, XP_035725569.1, XP_035725571.1
OG0000870	XP_003702735.2	XP_035726342.1, XP_035726343.1, XP_035726345.1, XP_035726344.1, XP_035726341.1, XP_035726339.1, XP_035726346.1
OG0000871	XP_012144581.1, XP_003699829.1	XP_035734847.1, XP_035734848.1, XP_035734846.1
OG0000872	XP_012148260.1, XP_012148261.1, XP_003706559.1	XP_035731796.1
OG0000873	XP_012143157.1	XP_035724593.1
OG0000875	XP_003704237.1	XP_035719948.1, XP_035719950.1
OG0000876	XP_003701124.1, XP_012135759.1	XP_035727816.1, XP_035727817.1
OG0000877	XP_012142780.1	XP_035731826.1
OG0000878	XP_012140880.1	XP_035718132.1
OG0000879	XP_003701030.1, XP_012135456.1, XP_012135454.1	XP_035731414.1, XP_035731397.1
OG0000881	XP_012143587.1	XP_035744143.1
OG0000882	XP_003699596.1	XP_035728833.1
OG0000883	XP_003699627.1, XP_012141433.1	XP_035736276.1, XP_035736278.1, XP_035736277.1
OG0000884	XP_012142017.1	XP_035738105.1
OG0000886	XP_012145756.1, XP_012145753.1, XP_012145752.1, XP_012145755.1	XP_035725399.1, XP_035725400.1
OG0000887	XP_012142571.1	XP_035732962.1
OG0000888	XP_003703610.1	XP_035736263.1, XP_035736262.1
OG0000890	XP_012142084.1	XP_035744053.1
OG0000891	XP_012146264.1	XP_035739937.1, XP_035739939.1, XP_035739938.1
OG0000892	XP_003703279.1	XP_035725498.1, XP_035725490.1, XP_035725512.1
OG0000894	XP_012145590.1, XP_012145584.1, XP_012145587.1, XP_012145581.1, XP_012145585.1, XP_012145586.1, XP_012145583.1, XP_012145582.1	XP_035735298.1
OG0000895	XP_012142281.1	XP_035741878.1, XP_035741880.1, XP_035741883.1
OG0000897	XP_012144020.1	XP_035722018.1
OG0000898	XP_003700395.1	XP_035717149.1
OG0000898	XP_003706432.1	XP_035743764.1
OG0000899	XP_012143457.1, XP_003704533.1	XP_035742086.1
OG0000901	XP_003701795.1	XP_035736679.1
OG0000902	XP_012149662.1, XP_003707170.1	XP_035721592.1
OG0000903	XP_003702318.1	XP_035722703.1
OG0000904	XP_003700147.1	XP_035734474.1
OG0000904	XP_012149389.1	XP_035736739.1
OG0000905	XP_003706592.2	XP_035726207.1, XP_035726206.1
OG0000906	XP_003699766.2	XP_035725564.1
OG0000908	XP_003707695.1	XP_035719412.1
OG0000909	XP_012145889.1, XP_012145888.1, XP_012145890.1	XP_035718276.1, XP_035718279.1
OG0000910	XP_003704205.1	XP_035717751.1
OG0000911	XP_012139834.1, XP_012139833.1	XP_035734733.1
OG0000912	XP_003700037.1, XP_012149460.1, XP_012149422.1	XP_035728913.1, XP_035728912.1, XP_035728914.1, XP_035728910.1, XP_035728911.1, XP_035728908.1, XP_035728909.1
OG0000913	XP_003700627.2	XP_035737127.1, XP_035737122.1, XP_035737125.1, XP_035737124.1, XP_035737126.1
OG0000914	XP_012138809.1	XP_035744281.1, XP_035744280.1
OG0000917	XP_012139887.1, XP_003702996.1	XP_035732616.1
OG0000918	XP_003702469.2	XP_035726969.1
OG0000919	XP_012147617.1, XP_003706282.1	XP_035731675.1, XP_035731674.1
OG0000920	XP_003706389.1	XP_035730710.1, XP_035730709.1, XP_035730711.1
OG0000921	XP_012143581.1	XP_035728984.1, XP_035728986.1, XP_035728987.1, XP_035728988.1
OG0000922	XP_012135993.1	XP_035722257.1
OG0000923	XP_012146034.1	XP_035731183.1, XP_035731180.1, XP_035731193.1
OG0000924	XP_003706144.1	XP_035741017.1
OG0000927	XP_003701474.1, XP_012136614.1, XP_012136613.1	XP_035743166.1
OG0000928	XP_012138574.1	XP_035719794.1
OG0000929	XP_003705976.1	XP_035721437.1
OG0000930	XP_003704509.1	XP_035740434.1
OG0000931	XP_012153544.1	XP_035727865.1
OG0000931	XP_003708629.1	XP_035727884.1
OG0000932	XP_003704170.1, XP_012142600.1, XP_012142599.1	XP_035728300.1, XP_035728299.1
OG0000933	XP_003704636.1	XP_035740977.1
OG0000933	XP_003707899.1	XP_035742089.1
OG0000934	XP_012150178.1	XP_035732202.1, XP_035732199.1, XP_035732197.1, XP_035732201.1, XP_035732200.1
OG0000935	XP_003701327.1	XP_035729878.1
OG0000936	XP_012144081.1	XP_035720179.1, XP_035720183.1, XP_035720185.1, XP_035720181.1, XP_035720182.1, XP_035720186.1, XP_035720187.1, XP_035720180.1
OG0000937	XP_012141088.1	XP_035717338.1
OG0000938	XP_012135995.1, XP_012135811.1	XP_035722535.1
OG0000939	XP_012150873.1	XP_035735601.1
OG0000939	XP_012146234.1	XP_035735930.1
OG0000941	XP_003706264.1	XP_035724313.1, XP_035724314.1
OG0000943	XP_003705898.1, XP_012146892.1, XP_012146893.1, XP_012146891.1, XP_012146894.1	XP_035718109.1
OG0000944	XP_003708299.1	XP_035723267.1
OG0000946	XP_012154352.1, XP_012154353.1, XP_012154354.1	XP_035719465.1
OG0000946	XP_003704426.1	XP_035720946.1, XP_035720947.1
OG0000947	XP_012152689.1	XP_035729217.1
OG0000948	XP_003701955.1, XP_012137553.1	XP_035737505.1, XP_035737506.1
OG0000949	XP_012140666.1, XP_003703369.1, XP_012140668.1	XP_035734313.1, XP_035734312.1
OG0000950	XP_003704663.1, XP_012143751.1	XP_035730236.1, XP_035730238.1, XP_035730237.1
OG0000951	XP_012135808.1, XP_012135809.1, XP_003701129.1, XP_012135807.1	XP_035723109.1, XP_035723110.1, XP_035723111.1, XP_035723108.1
OG0000952	XP_003699574.1, XP_012140136.1, XP_012140128.1	XP_035731220.1, XP_035731221.1
OG0000953	XP_012137265.1, XP_012137266.1	XP_035738982.1
OG0000954	XP_012145732.1, XP_003705459.1	XP_035729183.1
OG0000955	XP_012145681.1	XP_035737790.1
OG0000957	XP_012145909.1, XP_012145908.1, XP_012145907.1, XP_012145905.1, XP_012145904.1, XP_012145903.1, XP_012145906.1, XP_003705537.1, XP_012145912.1, XP_012145913.1, XP_012145914.1, XP_012145911.1	XP_035723149.1
OG0000958	XP_003708421.2	XP_035732816.1, XP_035732811.1
OG0000959	XP_003706790.1	XP_035729883.1
OG0000960	XP_003705148.1, XP_012144999.1	XP_035724669.1
OG0000960	XP_012144980.1	XP_035742136.1
OG0000962	XP_012139358.1, XP_012139352.1	XP_035727271.1, XP_035727294.1
OG0000963	XP_012151581.1, XP_003700039.1	XP_035720893.1
OG0000964	XP_012138394.1, XP_003702252.1	XP_035722121.1
OG0000965	XP_012150818.1, XP_012150816.1	XP_035718659.1
OG0000966	XP_003704897.1, XP_012144237.1, XP_012144236.1	XP_035734437.1, XP_035734436.1, XP_035734435.1
OG0000967	XP_003706171.1, XP_012147400.1	XP_035731612.1
OG0000968	XP_012151828.1	XP_035742069.1, XP_035742068.1
OG0000969	XP_003702118.1	XP_035720993.1
OG0000970	XP_012154264.1	XP_035739818.1, XP_035739819.1
OG0000972	XP_012154538.1, XP_012154537.1, XP_003700577.1	XP_035738757.1, XP_035738748.1, XP_035738768.1
OG0000973	XP_003705715.1, XP_012151965.1, XP_012151966.1	XP_035730507.1, XP_035730504.1, XP_035730506.1, XP_035730508.1, XP_035730505.1, XP_035730510.1
OG0000974	XP_012152015.1, XP_012152019.1	XP_035732401.1, XP_035732396.1
OG0000975	XP_012134987.1	XP_035727718.1, XP_035727749.1
OG0000976	XP_012140789.1, XP_003703304.1	XP_035723671.1, XP_035723679.1, XP_035723685.1, XP_035723662.1
OG0000977	XP_003705214.2	XP_035719284.1, XP_035719283.1
OG0000978	XP_012140582.1	XP_035724394.1
OG0000978	XP_012151304.1	XP_035743561.1
OG0000979	XP_012140964.1	XP_035729461.1
OG0000980	XP_012141251.1	XP_035719471.1
OG0000981	XP_012147611.1, XP_012147608.1, XP_012147610.1, XP_012147609.1	XP_035729647.1, XP_035729648.1
OG0000982	XP_003706709.2	XP_035730163.1
OG0000983	XP_003707404.1	XP_035733695.1, XP_035733694.1, XP_035733693.1, XP_035733692.1, XP_035733696.1
OG0000984	XP_012143046.1	XP_035720738.1
OG0000984	XP_003704405.2	XP_035720737.1
OG0000985	XP_003706912.1	XP_035722289.1, XP_035722290.1, XP_035722291.1, XP_035722294.1, XP_035722295.1, XP_035722293.1, XP_035722292.1
OG0000987	XP_012150428.1	XP_035741142.1
OG0000988	XP_003702699.1	XP_035733739.1, XP_035733732.1
OG0000989	XP_012140416.1, XP_012140398.1, XP_012140408.1	XP_035732262.1, XP_035732263.1, XP_035732243.1
OG0000990	XP_012146272.1, XP_003705682.1	XP_035733018.1
OG0000992	XP_012142757.1	XP_035732019.1, XP_035732018.1, XP_035732016.1
OG0000993	XP_012138207.1, XP_003702300.1	XP_035737417.1
OG0000994	XP_012135077.1	XP_035720197.1
OG0000995	XP_012143974.1	XP_035738707.1
OG0000995	XP_012154470.1	XP_035722832.1
OG0000996	XP_003701102.1, XP_012135525.1	XP_035732862.1
OG0000997	XP_003700349.1	XP_035724864.1
OG0000997	XP_003707296.1	XP_035724863.1
OG0000999	XP_003702512.1, XP_012138897.1	XP_035722769.1
OG0001000	XP_003708469.1	XP_035723338.1, XP_035723337.1, XP_035723336.1, XP_035723335.1
OG0001001	XP_003703042.1	XP_035717221.1
OG0001003	XP_012148505.1, XP_003706692.1	XP_035729021.1
OG0001004	XP_012149128.1	XP_035741234.1
OG0001004	XP_003706862.1	XP_035733627.1
OG0001005	XP_003708347.1	XP_035723658.1
OG0001006	XP_003699241.1, XP_012148696.1	XP_035740141.1, XP_035740139.1
OG0001007	XP_003702879.1, XP_012139397.1, XP_012139396.1	XP_035743845.1
OG0001008	XP_012134571.1, XP_012134691.1	XP_035738052.1
OG0001009	XP_012153813.1	XP_035738303.1
OG0001010	XP_012140072.1	XP_035724541.1
OG0001011	XP_003701148.1	XP_035722498.1, XP_035722517.1, XP_035722507.1, XP_035722528.1, XP_035722532.1, XP_035722461.1, XP_035722472.1, XP_035722482.1, XP_035722489.1
OG0001012	XP_012145132.1	XP_035725259.1
OG0001013	XP_003705487.1, XP_012145775.1	XP_035722228.1, XP_035722222.1
OG0001014	XP_012148695.1, XP_012148697.1, XP_003706766.1, XP_012148698.1, XP_012148699.1	XP_035720767.1, XP_035720768.1
OG0001016	XP_003703809.1	XP_035726600.1
OG0001016	XP_003699952.1	XP_035730531.1
OG0001017	XP_003706023.1	XP_035722072.1
OG0001018	XP_012148403.1	XP_035723331.1
OG0001018	XP_012148402.1	XP_035727220.1
OG0001019	XP_003699355.1	XP_035722052.1
OG0001020	XP_012152180.1, XP_012152181.1, XP_003708140.1	XP_035719947.1
OG0001021	XP_003699520.1, XP_012138849.1	XP_035735706.1
OG0001022	XP_012135994.1	XP_035729459.1
OG0001023	XP_003699272.2	XP_035718321.1
OG0001024	XP_012139549.1, XP_003702926.1	XP_035718102.1, XP_035718100.1, XP_035718101.1, XP_035720108.1, XP_035720106.1, XP_035720107.1, XP_035720104.1, XP_035720105.1
OG0001025	XP_012148895.1	XP_035717529.1
OG0001026	XP_012135322.1	XP_035717489.1
OG0001027	XP_003707337.1	XP_035724948.1
OG0001028	XP_003701816.1	XP_035720221.1
OG0001029	XP_012153029.1	XP_035735438.1, XP_035735432.1
OG0001030	XP_012145749.1	XP_035725397.1
OG0001031	XP_012147844.1	XP_035743774.1
OG0001032	XP_003704228.1	XP_035719411.1
OG0001032	XP_012154394.1	XP_035723439.1
OG0001033	XP_003703151.1	XP_035734763.1, XP_035734772.1, XP_035734782.1
OG0001034	XP_012150155.1	XP_035732600.1
