Orthogroup	Dufourea_novaeangliae	Aedes_aegypti
OG0000543	XP_015437477.1	XP_021707722.1, XP_021707736.1, XP_021707758.1, XP_021707756.1, XP_021707752.1, XP_021707749.1, XP_021707746.1, XP_021707727.1
OG0000544	XP_015432517.1, XP_015432519.1, XP_015432521.1, XP_015432520.1, XP_015432518.1, XP_015432522.1	XP_021696024.1, XP_021698174.1
OG0000545	XP_015434858.1, XP_015431089.1	XP_021703894.1, XP_001652105.2, XP_001652108.2, XP_001652111.2, XP_021703903.1
OG0000546	XP_015439508.1, XP_015439517.1	XP_021706384.1, XP_001659429.1, XP_001659428.2, XP_001653819.1
OG0000547	XP_015437695.1, XP_015437702.1	XP_001656924.2, XP_021705374.1, XP_001660875.1
OG0000548	XP_015439405.1	XP_001661339.1
OG0000551	XP_015434437.1, XP_015434435.1	XP_021699087.1, XP_021699092.1, XP_021699084.1, XP_021699097.1
OG0000552	XP_015433984.1	XP_001662524.1
OG0000552	XP_015430423.1	XP_021703244.1
OG0000553	XP_015429639.1	XP_021708280.1
OG0000554	XP_015434889.1, XP_015434890.1	XP_001651589.1
OG0000555	XP_015430604.1	XP_011493026.1
OG0000556	XP_015433332.1, XP_015433331.1, XP_015433333.1	XP_001664323.1
OG0000557	XP_015436178.1, XP_015436177.1	XP_021708578.1, XP_021708577.1, XP_001658942.1, XP_021708576.1
OG0000558	XP_015440146.1	XP_021705955.1
OG0000558	XP_015430419.1	XP_001661161.2
OG0000559	XP_015428439.1, XP_015428440.1, XP_015428441.1	XP_021694758.1
OG0000560	XP_015434883.1	XP_011493224.1
OG0000561	XP_015434544.1	XP_021710635.1
OG0000562	XP_015433405.1	XP_021710179.1, XP_021710180.1
OG0000563	XP_015439705.1	XP_021712485.1, XP_001661978.1
OG0000564	XP_015437714.1	XP_021695105.1
OG0000565	XP_015438914.1, XP_015434955.1	XP_021698255.1, XP_021695627.1
OG0000567	XP_015435501.1, XP_015432904.1	XP_021695415.1
OG0000568	XP_015430553.1	XP_001659918.1, XP_021712686.1
OG0000569	XP_015436835.1	XP_001651163.1
OG0000569	XP_015436529.1	XP_021704891.1
OG0000570	XP_015438303.1, XP_015438302.1, XP_015438301.1, XP_015438300.1, XP_015438299.1	XP_021694023.1
OG0000571	XP_015430209.1	XP_021694767.1
OG0000572	XP_015432288.1	XP_021711921.1, XP_001658266.2, XP_021699807.1, XP_021699806.1, XP_021699805.1
OG0000573	XP_015431448.1	XP_001652109.1
OG0000574	XP_015430534.1	XP_001659464.1, XP_021706993.1, XP_021706994.1, XP_021706997.1, XP_021706996.1
OG0000575	XP_015439510.1	XP_001661761.2, XP_021709804.1, XP_021707415.1
OG0000576	XP_015432168.1	XP_021703039.1, XP_021703040.1, XP_021703038.1, XP_021703037.1
OG0000577	XP_015433055.1	XP_021708433.1, XP_021708434.1, XP_021708431.1, XP_021708432.1, XP_021708430.1, XP_021708429.1, XP_021708423.1, XP_021708422.1, XP_021708421.1, XP_021708428.1, XP_021708427.1, XP_021708426.1, XP_021708425.1
OG0000582	XP_015439735.1	XP_021697532.1
OG0000584	XP_015440306.1	XP_001650293.2, XP_021694535.1
OG0000585	XP_015430694.1	XP_001656098.1
OG0000586	XP_015431489.1	XP_001660815.1
OG0000587	XP_015437432.1	XP_021711831.1, XP_001660614.1
OG0000588	XP_015438642.1	XP_001649479.2
OG0000589	XP_015434455.1	XP_021695447.1, XP_021695446.1, XP_021695448.1, XP_021695445.1, XP_001653412.2
OG0000591	XP_015433846.1	XP_001650539.1
OG0000591	XP_015440033.1	XP_001649286.1
OG0000592	XP_015429806.1	XP_021699972.1, XP_001663028.2
OG0000593	XP_015431261.1	XP_001660679.1, XP_001660678.1
OG0000594	XP_015434546.1	XP_001654700.2
OG0000595	XP_015432442.1	XP_001649136.1
OG0000595	XP_015432492.1	XP_001661858.2
OG0000596	XP_015429070.1, XP_015429106.1	XP_021693452.1, XP_021693453.1
OG0000597	XP_015438217.1	XP_021698278.1, XP_021698279.1
OG0000598	XP_015437496.1	XP_001659256.2, XP_021695781.1, XP_001659257.1
OG0000598	XP_015437505.1	XP_001654817.2
OG0000599	XP_015433061.1, XP_015433063.1, XP_015433067.1	XP_021696323.1, XP_021696329.1
OG0000600	XP_015438367.1	XP_021700570.1
OG0000601	XP_015433201.1	XP_001648827.1
OG0000601	XP_015433130.1	XP_021693386.1
OG0000602	XP_015436076.1	XP_001650696.2
OG0000603	XP_015439412.1	XP_001649002.2
OG0000604	XP_015436738.1, XP_015436758.1, XP_015436757.1	XP_001651423.1
OG0000605	XP_015433720.1	XP_001662957.2
OG0000606	XP_015438085.1, XP_015438084.1, XP_015438086.1	XP_001650867.1
OG0000607	XP_015438996.1, XP_015438997.1	XP_021709764.1, XP_001648222.2
OG0000609	XP_015440194.1	XP_021705402.1
OG0000611	XP_015433176.1, XP_015433175.1	XP_021705600.1
OG0000612	XP_015437004.1	XP_001653457.2
OG0000613	XP_015432916.1	XP_021694777.1
OG0000614	XP_015433748.1	XP_021693554.1
OG0000614	XP_015435590.1	XP_021711539.1
OG0000615	XP_015430027.1, XP_015430036.1	XP_021711725.1, XP_001658157.2
OG0000616	XP_015433964.1	XP_021704758.1
OG0000619	XP_015440418.1	XP_021704628.1
OG0000620	XP_015431510.1, XP_015431511.1, XP_015431509.1	XP_001661768.1
OG0000621	XP_015437746.1, XP_015437744.1, XP_015437743.1, XP_015437742.1, XP_015437745.1	XP_001648135.2, XP_021705075.1, XP_021705072.1, XP_021705073.1, XP_021705074.1, XP_001648134.2
OG0000622	XP_015433212.1, XP_015433214.1, XP_015433213.1	XP_001662433.1, XP_021712719.1, XP_021712718.1
OG0000623	XP_015432743.1, XP_015432744.1, XP_015432742.1	XP_001653066.1
OG0000624	XP_015432546.1	XP_001659273.2, XP_001659274.2
OG0000625	XP_015430996.1	XP_001660334.1
OG0000626	XP_015432162.1	XP_001648394.2
OG0000627	XP_015435545.1	XP_021697640.1, XP_021697637.1, XP_021697638.1, XP_021697642.1, XP_021697641.1, XP_021697639.1, XP_001659842.2, XP_021695196.1
OG0000628	XP_015437709.1	XP_021705468.1, XP_021705465.1, XP_021705466.1, XP_021705467.1
OG0000629	XP_015438509.1	XP_001654368.2
OG0000630	XP_015436208.1	XP_001650049.1
OG0000631	XP_015439121.1	XP_001653408.1
OG0000632	XP_015432406.1	XP_001653010.1
OG0000633	XP_015439060.1	XP_001661589.1
OG0000634	XP_015434635.1	XP_021700196.1, XP_021700197.1, XP_001661395.3
OG0000634	XP_015434621.1	XP_021700198.1
OG0000635	XP_015429501.1, XP_015431013.1	XP_021702709.1
OG0000636	XP_015438460.1, XP_015438459.1	XP_021700536.1
OG0000637	XP_015437199.1	XP_021694209.1
OG0000638	XP_015436908.1	XP_021713263.1, XP_021713264.1, XP_021713265.1, XP_021712262.1
OG0000639	XP_015429071.1	XP_021711783.1, XP_021705055.1, XP_021705053.1, XP_021705056.1, XP_001650414.1, XP_021705054.1
OG0000640	XP_015437071.1	XP_001660194.1
OG0000641	XP_015430154.1	XP_001663795.2
OG0000642	XP_015432222.1	XP_021697085.1, XP_021697092.1, XP_021697066.1, XP_021697074.1, XP_021697077.1, XP_021697071.1
OG0000643	XP_015437212.1	XP_001653106.2
OG0000643	XP_015437210.1	XP_001653107.2
OG0000644	XP_015429150.1	XP_001651886.1
OG0000645	XP_015431074.1	XP_021695400.1, XP_001650493.2, XP_021695398.1, XP_021695399.1
OG0000645	XP_015431075.1	XP_021713279.1
OG0000646	XP_015434410.1	XP_021704083.1, XP_001647614.2, XP_021699401.1
OG0000647	XP_015438056.1	XP_001651790.1, XP_021707665.1
OG0000649	XP_015431280.1	XP_021698167.1, XP_021698166.1, XP_021698165.1, XP_021698164.1, XP_021698169.1, XP_021698168.1, XP_021698161.1, XP_021698162.1, XP_021698163.1
OG0000650	XP_015434573.1	XP_021706698.1, XP_021706697.1, XP_021706699.1, XP_021706700.1
OG0000651	XP_015432064.1	XP_021700660.1
OG0000651	XP_015429048.1	XP_021703567.1
OG0000653	XP_015440189.1, XP_015440190.1	XP_001652724.2, XP_021700158.1
OG0000655	XP_015433541.1	XP_021708307.1
OG0000656	XP_015429876.1	XP_021696153.1, XP_021696156.1, XP_021696154.1
OG0000657	XP_015433993.1, XP_015433994.1	XP_001653865.1
OG0000659	XP_015439500.1	XP_021712818.1, XP_001661899.2, XP_021712276.1, XP_021710211.1, XP_021712391.1
OG0000660	XP_015435816.1	XP_001649277.2, XP_001649281.2, XP_001649276.1, XP_001649279.2
OG0000661	XP_015432276.1	XP_021703014.1, XP_021703018.1
OG0000661	XP_015432115.1	XP_021695341.1
OG0000662	XP_015440363.1	XP_001655105.1, XP_021706637.1, XP_021706638.1, XP_021712090.1, XP_021712088.1, XP_021712089.1, XP_021712086.1, XP_021712087.1, XP_021712085.1, XP_021706635.1, XP_011493585.1, XP_021706636.1
OG0000663	XP_015428538.1	XP_021703319.1, XP_021703302.1, XP_021703320.1
OG0000664	XP_015436395.1	XP_021700002.1, XP_021699998.1
OG0000665	XP_015439163.1	XP_001657401.2, XP_001652590.1
OG0000666	XP_015436070.1, XP_015436071.1	XP_001650051.2, XP_001650053.1
OG0000667	XP_015437621.1	XP_021701622.1
OG0000668	XP_015428745.1, XP_015428748.1, XP_015428747.1	XP_021698067.1
OG0000669	XP_015430929.1	XP_021693010.1
OG0000670	XP_015440089.1	XP_001660217.1, XP_001660218.1, XP_001660220.1, XP_001647804.2, XP_001660331.1, XP_001647805.2, XP_001647808.2, XP_021694062.1
OG0000671	XP_015431794.1	XP_021697224.1
OG0000672	XP_015429268.1, XP_015429284.1	XP_021700738.1
OG0000673	XP_015433953.1	XP_021705518.1
OG0000674	XP_015432937.1, XP_015429621.1	XP_021709463.1, XP_021709464.1
OG0000680	XP_015433554.1, XP_015433558.1	XP_001657955.1
OG0000681	XP_015433017.1	XP_001651827.2
OG0000682	XP_015438452.1	XP_001661400.1
OG0000683	XP_015436281.1	XP_021702418.1, XP_001660372.1
OG0000684	XP_015432542.1, XP_015432541.1	XP_001655660.2
OG0000685	XP_015431118.1	XP_001657170.1
OG0000686	XP_015429335.1	XP_021694974.1, XP_021694975.1, XP_001662693.2
OG0000687	XP_015436147.1, XP_015436148.1	XP_001658306.1
OG0000688	XP_015434082.1	XP_021696400.1, XP_021696406.1, XP_021696403.1, XP_021696404.1, XP_021696397.1, XP_021696398.1, XP_021696396.1, XP_021696401.1, XP_021712809.1, XP_021696402.1, XP_021696399.1
OG0000689	XP_015440063.1	XP_021701887.1, XP_021701877.1
OG0000690	XP_015430057.1, XP_015430058.1	XP_021697881.1
OG0000691	XP_015437058.1, XP_015437059.1	XP_001652949.1, XP_021708670.1
OG0000692	XP_015431341.1	XP_021699881.1, XP_001647853.1
OG0000693	XP_015429764.1	XP_021703930.1
OG0000694	XP_015440083.1	XP_021711757.1, XP_021700151.1, XP_021700150.1
OG0000695	XP_015431578.1, XP_015431579.1, XP_015431581.1, XP_015431580.1	XP_021696449.1, XP_001659185.1, XP_021696448.1
OG0000696	XP_015434483.1	XP_021698610.1
OG0000697	XP_015432291.1	XP_021697048.1
OG0000698	XP_015439831.1	XP_001660145.2
OG0000699	XP_015439540.1	XP_021705831.1, XP_011493449.1, XP_021705843.1, XP_021705838.1, XP_021705837.1, XP_021705836.1, XP_021705834.1, XP_021705832.1, XP_021712528.1, XP_021712529.1, XP_021712530.1, XP_021712531.1, XP_021712537.1, XP_021712534.1, XP_021712535.1, XP_021712536.1, XP_021712533.1, XP_021712532.1, XP_021705833.1, XP_021705839.1, XP_021712527.1
OG0000700	XP_015432816.1, XP_015432817.1	XP_021708163.1
OG0000704	XP_015434162.1, XP_015438972.1	XP_001659588.2
OG0000705	XP_015432029.1	XP_001660454.1
OG0000706	XP_015437465.1	XP_021698840.1
OG0000707	XP_015436876.1	XP_001657964.2, XP_001657967.2, XP_021712275.1, XP_001657968.2, XP_021712274.1, XP_001657965.2, XP_001657966.2
OG0000708	XP_015434860.1	XP_001651499.3
OG0000709	XP_015430935.1	XP_021703524.1
OG0000711	XP_015431925.1	XP_001655995.2
OG0000712	XP_015432050.1, XP_015432051.1, XP_015432049.1, XP_015432048.1	XP_001655222.1, XP_021712075.1
OG0000713	XP_015434206.1	XP_021707226.1
OG0000714	XP_015428397.1, XP_015428396.1	XP_021694494.1
OG0000715	XP_015430199.1	XP_021693271.1, XP_021693344.1
OG0000716	XP_015429867.1	XP_021697884.1
OG0000717	XP_015432908.1	XP_001653384.1, XP_021700632.1, XP_021700630.1, XP_021700631.1
OG0000718	XP_015438933.1, XP_015439212.1	XP_021694581.1
OG0000719	XP_015432587.1	XP_021703044.1
OG0000720	XP_015432543.1	XP_001654085.2
OG0000720	XP_015430178.1	XP_021703190.1
OG0000721	XP_015431480.1	XP_021700727.1, XP_021700759.1, XP_021700737.1, XP_021700754.1, XP_021700696.1, XP_021700704.1, XP_021700709.1, XP_021700732.1, XP_021700713.1, XP_021700748.1, XP_021700722.1, XP_021700742.1
OG0000722	XP_015430974.1, XP_015430975.1	XP_001653113.1, XP_021706329.1
OG0000723	XP_015430804.1	XP_021694901.1, XP_021694900.1, XP_021694903.1, XP_021694902.1
OG0000724	XP_015436647.1, XP_015436644.1	XP_001648003.1
OG0000725	XP_015431762.1	XP_001663742.2, XP_021696062.1, XP_001663979.1, XP_001663746.1, XP_021696078.1, XP_001663748.1, XP_021696079.1, XP_001663739.2, XP_021696072.1, XP_001661156.1, XP_001659340.2, XP_001648715.2, XP_001648716.2, XP_021693908.1, XP_021693844.1, XP_001659358.2, XP_001659359.1, XP_021693819.1, XP_021693861.1, XP_021693851.1, XP_001659353.2, XP_001659342.2, XP_001657707.1, XP_021693814.1, XP_021695443.1, XP_001655846.2
OG0000726	XP_015433614.1	XP_001656636.2, XP_001651236.2, XP_021698106.1, XP_021698105.1, XP_021698104.1, XP_021698103.1
OG0000727	XP_015439589.1	XP_021706362.1, XP_021706359.1, XP_021706358.1, XP_001652281.1, XP_021706361.1, XP_021706360.1, XP_021706363.1
OG0000728	XP_015440526.1	XP_021707035.1, XP_001656976.1
OG0000729	XP_015433222.1	XP_001659718.2
OG0000730	XP_015430002.1	XP_021699018.1
OG0000731	XP_015433610.1, XP_015433611.1	XP_021702680.1, XP_021702679.1, XP_021702677.1, XP_021702678.1, XP_021702675.1, XP_021702676.1
OG0000732	XP_015434230.1	XP_021702963.1
OG0000736	XP_015434092.1, XP_015434093.1, XP_015434090.1, XP_015434091.1, XP_015434094.1	XP_011493105.1
OG0000737	XP_015439526.1	XP_001663804.1
OG0000738	XP_015433375.1	XP_001648063.1
OG0000738	XP_015433274.1	XP_021707588.1
OG0000739	XP_015432942.1, XP_015432950.1	XP_001656497.1, XP_001656498.1
OG0000740	XP_015432891.1, XP_015432790.1	XP_001655652.1
OG0000741	XP_015435759.1, XP_015435760.1, XP_015435761.1	XP_001655538.2, XP_001660494.2
OG0000742	XP_015438404.1	XP_001658195.1, XP_021706475.1, XP_001655778.2
OG0000743	XP_015429985.1	XP_021702827.1, XP_021702829.1, XP_021702828.1
OG0000744	XP_015432237.1	XP_021704321.1, XP_001658540.2, XP_021710964.1
OG0000745	XP_015430064.1	XP_021709871.1, XP_021709872.1
OG0000746	XP_015437573.1	XP_001662225.1
OG0000747	XP_015437721.1	XP_001648748.1
OG0000748	XP_015431791.1	XP_001649806.1, XP_021710522.1, XP_021710524.1, XP_021710521.1, XP_001649780.1, XP_021710523.1
OG0000749	XP_015430201.1	XP_001651437.2
OG0000749	XP_015434828.1	XP_001658020.2, XP_021693932.1
OG0000750	XP_015437374.1	XP_021697452.1, XP_021697454.1, XP_021697453.1, XP_021697456.1, XP_021697459.1, XP_021697460.1, XP_021697457.1, XP_021697458.1, XP_021697455.1
OG0000752	XP_015438973.1, XP_015439115.1	XP_021709991.1, XP_001658559.1
OG0000753	XP_015438101.1	XP_021693406.1, XP_021693405.1, XP_021693404.1, XP_021693407.1, XP_021693408.1
OG0000754	XP_015429254.1, XP_015439372.1	XP_021693782.1
OG0000755	XP_015431086.1	XP_001649514.2
OG0000757	XP_015435714.1	XP_021701862.1, XP_021701864.1, XP_021701865.1, XP_021701860.1, XP_021701863.1, XP_021701861.1
OG0000758	XP_015434240.1, XP_015429496.1	XP_001660380.1
OG0000759	XP_015432714.1	XP_001651726.1, XP_001651725.1
OG0000760	XP_015436367.1	XP_001654546.2, XP_021693457.1, XP_021693459.1, XP_021693458.1
OG0000761	XP_015438013.1	XP_021703326.1, XP_021703325.1
OG0000762	XP_015429614.1	XP_021711578.1, XP_021711577.1, XP_021711579.1, XP_021711576.1
OG0000766	XP_015433383.1, XP_015433382.1	XP_021693801.1, XP_021693804.1, XP_021693803.1
OG0000767	XP_015434452.1, XP_015434451.1	XP_021699700.1, XP_021699704.1
OG0000768	XP_015437773.1	XP_001649142.1
OG0000769	XP_015433465.1	XP_021700883.1
OG0000770	XP_015439048.1	XP_021705629.1
OG0000771	XP_015435200.1	XP_021695140.1, XP_021695138.1, XP_021695139.1, XP_021695136.1, XP_021695137.1, XP_021695133.1, XP_021695135.1, XP_021695132.1, XP_021695131.1, XP_001663841.2
OG0000772	XP_015430519.1	XP_021711611.1
OG0000773	XP_015435527.1	XP_021710932.1, XP_021710938.1, XP_021710937.1, XP_021710936.1, XP_021710935.1, XP_021710934.1, XP_001653446.1
OG0000774	XP_015432609.1, XP_015432607.1, XP_015432608.1	XP_001662478.2
OG0000775	XP_015436551.1, XP_015436549.1	XP_001663177.1, XP_021709658.1
OG0000777	XP_015439100.1	XP_001653698.2, XP_021701199.1
OG0000778	XP_015437148.1	XP_001658605.1, XP_021697400.1, XP_021697401.1
OG0000779	XP_015437694.1, XP_015433143.1	XP_021693680.1, XP_021693679.1, XP_021693682.1, XP_021693681.1, XP_021693677.1
OG0000780	XP_015438502.1	XP_021698236.1, XP_021698235.1
OG0000781	XP_015435781.1	XP_021704575.1, XP_021704574.1, XP_021704576.1
OG0000782	XP_015436117.1	XP_021705044.1
OG0000785	XP_015438966.1	XP_001648679.1, XP_001661611.2, XP_021697236.1, XP_021697237.1, XP_021697238.1, XP_021697239.1, XP_021697241.1
OG0000786	XP_015430326.1	XP_001649965.1
OG0000787	XP_015435743.1	XP_001650234.1, XP_021693140.1
OG0000789	XP_015429610.1	XP_021710561.1, XP_021710560.1, XP_001659460.1
OG0000790	XP_015430194.1	XP_021694745.1
OG0000791	XP_015430314.1, XP_015430315.1	XP_021711711.1
OG0000795	XP_015429939.1	XP_021701536.1
OG0000796	XP_015430785.1	XP_001652294.1
OG0000797	XP_015430964.1, XP_015430962.1, XP_015430963.1	XP_001654818.1
OG0000798	XP_015431041.1	XP_001651286.2
OG0000799	XP_015436448.1, XP_015436446.1	XP_021703821.1, XP_001650264.1
OG0000800	XP_015438988.1	XP_001654814.1, XP_001654518.1, XP_001654517.1, XP_021709313.1, XP_021709312.1, XP_001652729.1, XP_001652728.1, XP_021693345.1, XP_001648938.1
OG0000801	XP_015434936.1	XP_021700978.1
OG0000801	XP_015430589.1	XP_021694725.1
OG0000802	XP_015438421.1, XP_015438420.1	XP_021696602.1, XP_021696601.1, XP_021696603.1, XP_021696600.1
OG0000803	XP_015434459.1	XP_021696207.1, XP_001651092.2
OG0000804	XP_015434734.1	XP_001648786.1
OG0000806	XP_015436300.1	XP_021699241.1
OG0000807	XP_015437566.1, XP_015437567.1	XP_021708417.1
OG0000808	XP_015438454.1	XP_001653176.2
OG0000809	XP_015439656.1	XP_021711664.1, XP_021711648.1, XP_021711665.1
OG0000810	XP_015437543.1, XP_015437555.1	XP_001663023.1
OG0000811	XP_015429244.1	XP_021693898.1, XP_021693897.1, XP_021693896.1, XP_001650328.2
OG0000812	XP_015436704.1, XP_015435806.1	XP_021712474.1, XP_001650653.2
OG0000813	XP_015430297.1	XP_021710986.1, XP_021709626.1, XP_021701770.1, XP_021701765.1, XP_001652746.2
OG0000814	XP_015433794.1	XP_021702253.1
OG0000814	XP_015433799.1	XP_021702248.1, XP_021702251.1, XP_021702250.1, XP_021702249.1
OG0000815	XP_015435418.1	XP_021697473.1, XP_021697483.1
OG0000816	XP_015430601.1	XP_021700413.1, XP_021700426.1, XP_021700424.1, XP_021700423.1, XP_021700422.1, XP_021700421.1, XP_021700420.1, XP_021700418.1, XP_021700419.1, XP_021700414.1, XP_021700415.1, XP_021700416.1, XP_021700411.1, XP_021700412.1, XP_021700417.1, XP_021700425.1
OG0000817	XP_015431473.1	XP_001662510.3, XP_021709841.1, XP_021709842.1
OG0000819	XP_015437993.1, XP_015437994.1	XP_021698532.1, XP_021698523.1
OG0000820	XP_015436712.1, XP_015436713.1, XP_015436714.1	XP_021708390.1
OG0000821	XP_015437647.1	XP_001654202.2
OG0000822	XP_015430083.1, XP_015430122.1	XP_021693835.1, XP_021693834.1, XP_021693829.1, XP_021693833.1, XP_021693832.1, XP_021693831.1, XP_021693830.1
OG0000824	XP_015433325.1, XP_015431310.1	XP_021705882.1
OG0000825	XP_015436392.1	XP_001661591.1, XP_001661590.1
OG0000826	XP_015439895.1, XP_015439897.1	XP_021705396.1, XP_001647887.1, XP_021705397.1
OG0000827	XP_015437657.1	XP_021712431.1, XP_021696096.1
OG0000828	XP_015438750.1	XP_001648136.1, XP_021712398.1
OG0000829	XP_015437554.1, XP_015437553.1	XP_001658891.1
OG0000830	XP_015433638.1	XP_001659249.1
OG0000831	XP_015428606.1, XP_015440192.1	XP_021709176.1, XP_021709173.1, XP_021709174.1, XP_021709175.1
OG0000832	XP_015429166.1	XP_021706142.1
OG0000833	XP_015438693.1, XP_015438704.1	XP_021701250.1
OG0000835	XP_015431134.1	XP_001652709.2
OG0000836	XP_015433137.1	XP_021709808.1
OG0000837	XP_015436329.1	XP_021703515.1
OG0000838	XP_015438932.1	XP_021711771.1, XP_021711770.1, XP_021702877.1
OG0000839	XP_015429634.1, XP_015429546.1	XP_001659467.2
OG0000840	XP_015436664.1	XP_001659498.2, XP_021709111.1
OG0000841	XP_015429529.1	XP_021698052.1, XP_021698051.1, XP_001658125.1, XP_001658124.1, XP_001658126.1, XP_001658123.1, XP_001654244.1, XP_001654245.2, XP_021713213.1
OG0000842	XP_015440270.1	XP_021700554.1, XP_021701284.1, XP_021701285.1, XP_021701286.1, XP_001654876.1, XP_021701287.1
OG0000843	XP_015432284.1	XP_021709907.1, XP_001660150.2, XP_021699938.1
OG0000844	XP_015429808.1	XP_021702806.1
OG0000849	XP_015438588.1, XP_015438589.1	XP_021706608.1, XP_001654857.1, XP_001654856.1
OG0000850	XP_015436742.1	XP_021700401.1, XP_021700402.1, XP_021700403.1
OG0000851	XP_015429407.1, XP_015429406.1	XP_021707129.1
OG0000852	XP_015432163.1	XP_021708781.1
OG0000853	XP_015430348.1, XP_015430346.1, XP_015430347.1	XP_001660390.1
OG0000854	XP_015433988.1	XP_021703073.1, XP_021705114.1, XP_021705059.1, XP_021705001.1
OG0000855	XP_015429905.1, XP_015429906.1	XP_021695372.1, XP_021695373.1
OG0000856	XP_015434638.1	XP_001663005.2
OG0000857	XP_015430616.1	XP_021712663.1, XP_001659917.1
OG0000858	XP_015431883.1	XP_011493174.1, XP_021704948.1
OG0000859	XP_015435330.1	XP_021708245.1, XP_021708244.1, XP_021708243.1, XP_021708404.1
OG0000860	XP_015433666.1, XP_015433664.1, XP_015433665.1	XP_001656757.2
OG0000861	XP_015432534.1	XP_021699033.1, XP_001654492.2, XP_021699032.1
OG0000863	XP_015430577.1	XP_021711806.1, XP_021711828.1, XP_021711821.1, XP_021711815.1
OG0000864	XP_015439795.1	XP_001654191.2
OG0000865	XP_015440202.1	XP_021693445.1
OG0000866	XP_015434681.1	XP_021713171.1, XP_021713174.1, XP_021713172.1
OG0000867	XP_015433845.1	XP_021696900.1
OG0000868	XP_015430090.1, XP_015429498.1	XP_021708415.1
OG0000870	XP_015437265.1	XP_021709637.1
OG0000871	XP_015439143.1	XP_021705667.1
OG0000872	XP_015435231.1	XP_021701784.1, XP_021701794.1, XP_021701771.1, XP_021701766.1, XP_021701804.1, XP_021701779.1
OG0000873	XP_015440324.1	XP_001651410.1, XP_001651411.2, XP_021703510.1
OG0000875	XP_015432366.1	XP_021696370.1, XP_021696368.1
OG0000876	XP_015433442.1, XP_015433436.1	XP_001661220.1, XP_021709052.1
OG0000877	XP_015428650.1	XP_001659194.1
OG0000878	XP_015435085.1	XP_001647568.1
OG0000878	XP_015435111.1	XP_001660628.1
OG0000879	XP_015433788.1, XP_015433787.1	XP_021707480.1, XP_021704605.1
OG0000880	XP_015439130.1	XP_001652873.1, XP_021701656.1, XP_021701658.1, XP_021701657.1, XP_021701652.1
OG0000880	XP_015438999.1	XP_021695777.1
OG0000881	XP_015431399.1	XP_001661364.1
OG0000883	XP_015439347.1	XP_021708167.1, XP_021708166.1, XP_021708168.1, XP_021708169.1, XP_021708170.1
OG0000884	XP_015435608.1, XP_015435609.1	XP_021705057.1, XP_021705058.1
OG0000885	XP_015429188.1	XP_001655440.2
OG0000886	XP_015439247.1	XP_021709848.1
OG0000887	XP_015434402.1, XP_015434519.1	XP_001663800.2
OG0000888	XP_015430402.1, XP_015437884.1	XP_021704185.1, XP_001653340.1, XP_001653339.1
OG0000890	XP_015430864.1	XP_021709688.1, XP_021709735.1, XP_021709693.1, XP_021709715.1, XP_021709702.1, XP_021709672.1, XP_021709725.1, XP_021709721.1, XP_021709747.1, XP_021709681.1, XP_021709731.1, XP_021709706.1, XP_021709759.1, XP_021709740.1, XP_021709752.1
OG0000892	XP_015439082.1, XP_015439090.1, XP_015439098.1	XP_021713340.1
OG0000893	XP_015436613.1	XP_001657630.2
OG0000894	XP_015432602.1	XP_021696518.1
OG0000895	XP_015434236.1, XP_015434237.1	XP_021699140.1
OG0000896	XP_015435598.1	XP_021710162.1, XP_021703460.1, XP_021703463.1, XP_021703461.1
OG0000897	XP_015434715.1	XP_001662174.2
OG0000899	XP_015428714.1	XP_021707713.1
OG0000900	XP_015432099.1	XP_001659953.1, XP_001659954.2, XP_021697143.1, XP_021697141.1, XP_021697142.1, XP_021697140.1, XP_001660178.2, XP_001659951.1
OG0000901	XP_015435681.1	XP_021702705.1
OG0000903	XP_015432930.1	XP_021706437.1, XP_021706438.1, XP_021706439.1
OG0000905	XP_015438183.1	XP_001648294.1, XP_021705206.1
OG0000906	XP_015438179.1	XP_001654884.2
OG0000906	XP_015438388.1	XP_021699355.1
OG0000908	XP_015438401.1	XP_021698245.1, XP_021698243.1, XP_021698246.1, XP_001662247.2
OG0000909	XP_015428795.1	XP_011493717.1
OG0000910	XP_015432353.1, XP_015432343.1	XP_021699295.1, XP_021699294.1, XP_021696190.1, XP_021696195.1, XP_021696193.1, XP_021696194.1
OG0000911	XP_015439013.1	XP_021696334.1, XP_021711908.1
OG0000912	XP_015439535.1	XP_021705223.1
OG0000914	XP_015430477.1	XP_021695121.1, XP_021695120.1
OG0000915	XP_015434614.1	XP_021703472.1, XP_011493087.1, XP_011493088.2
OG0000916	XP_015432584.1	XP_021700530.1
OG0000916	XP_015432596.1	XP_021700528.1, XP_021711890.1
OG0000917	XP_015432611.1	XP_021712600.1, XP_001651262.1
OG0000918	XP_015436619.1	XP_021696791.1, XP_001651544.1, XP_001651406.2, XP_001652677.1
OG0000919	XP_015431667.1	XP_001650507.1
OG0000920	XP_015430334.1, XP_015430325.1, XP_015430342.1	XP_001659681.1
OG0000921	XP_015431388.1, XP_015431387.1, XP_015431389.1	XP_001661823.1
OG0000922	XP_015430415.1	XP_001657891.1
OG0000923	XP_015438334.1	XP_021697826.1
OG0000924	XP_015435794.1	XP_001660574.2, XP_021697628.1, XP_021697623.1, XP_021697622.1, XP_021697627.1, XP_021697626.1, XP_021697625.1, XP_021697624.1
