Orthogroup	Dufourea_novaeangliae	Solenopsis_invicta
OG0001073	XP_015439548.1	XP_011166357.1
OG0001073	XP_015439514.1	XP_011166496.2
OG0001074	XP_015435822.1	XP_011159283.1
OG0001074	XP_015435786.1	XP_011159282.2
OG0001075	XP_015436519.1	XP_025990833.2
OG0001076	XP_015436502.1	XP_011159538.1
OG0001077	XP_015438675.1	XP_011170429.1, XP_011170430.1, XP_011170428.1
OG0001078	XP_015431398.1	XP_025986036.1, XP_025986037.1, XP_011166956.1, XP_039308895.1
OG0001079	XP_015440017.1	XP_025991664.1, XP_011159694.1
OG0001082	XP_015432945.1	XP_011172611.1, XP_025994767.1
OG0001083	XP_015439190.1	XP_011159372.2
OG0001084	XP_015439092.1	XP_011155352.1, XP_011155351.2
OG0001085	XP_015433251.1, XP_015433250.1, XP_015433249.1	XP_025989431.1, XP_025989433.1
OG0001086	XP_015430723.1, XP_015430724.1, XP_015430725.1, XP_015430726.1	XP_011165624.1
OG0001087	XP_015439251.1	XP_011161180.2, XP_011161179.2
OG0001090	XP_015430665.1, XP_015430664.1, XP_015430663.1	XP_011165641.1
OG0001091	XP_015429760.1	XP_025990318.1
OG0001092	XP_015433886.1, XP_015433879.1	XP_011166457.1, XP_039306837.1
OG0001093	XP_015431393.1, XP_015431394.1	XP_011169511.1
OG0001094	XP_015432999.1	XP_039308804.1, XP_039308803.1, XP_039304718.1, XP_011162536.1, XP_039311022.1, XP_039310600.1, XP_011162537.1
OG0001095	XP_015433991.1	XP_011158680.1
OG0001096	XP_015430260.1	XP_025993866.1, XP_025993865.1, XP_025993867.1
OG0001097	XP_015438468.1, XP_015438467.1	XP_011171301.1
OG0001098	XP_015432197.1	XP_039314597.1
OG0001099	XP_015435246.1	XP_011159174.1, XP_039311351.1
OG0001099	XP_015435245.1	XP_039311772.1, XP_039311773.1, XP_011159129.1
OG0001100	XP_015432039.1	XP_011166885.1
OG0001101	XP_015437372.1	XP_011169060.1, XP_025986266.1
OG0001102	XP_015439559.1	XP_011173598.1
OG0001103	XP_015437469.1	XP_025992892.1
OG0001104	XP_015440021.1	XP_011165981.1, XP_011165982.1, XP_039310830.1
OG0001105	XP_015431851.1	XP_011158662.1
OG0001106	XP_015436611.1	XP_039306727.1, XP_011171425.1
OG0001107	XP_015430937.1, XP_015430936.1	XP_011171628.1
OG0001108	XP_015430476.1	XP_011175804.1
OG0001109	XP_015430549.1	XP_025997087.1
OG0001110	XP_015437037.1	XP_039305008.1, XP_025987622.2
OG0001111	XP_015432987.1	XP_011167411.1
OG0001112	XP_015435253.1	XP_025997156.1
OG0001113	XP_015440030.1, XP_015440029.1	XP_011155666.1
OG0001114	XP_015431323.1	XP_039308544.1
OG0001115	XP_015430909.1	XP_025987003.1
OG0001116	XP_015435142.1	XP_025995356.1, XP_039313579.1, XP_039313578.1, XP_011164317.1
OG0001117	XP_015438541.1	XP_011160593.1, XP_039304729.1, XP_039304728.1, XP_011160592.1
OG0001118	XP_015429117.1	XP_011170731.1, XP_011170733.1, XP_011170732.1
OG0001119	XP_015436536.1	XP_025989072.1
OG0001120	XP_015436692.1	XP_039302541.1
OG0001120	XP_015436699.1	XP_039302542.1
OG0001121	XP_015432861.1	XP_025991526.1, XP_039307815.1
OG0001122	XP_015433096.1	XP_011155854.1
OG0001123	XP_015437977.1	XP_025989167.1, XP_025989166.1
OG0001124	XP_015438358.1	XP_011163637.1, XP_011163636.1
OG0001125	XP_015429880.1	XP_039310854.1, XP_025992661.2
OG0001126	XP_015429255.1	XP_011166887.2, XP_025985954.2
OG0001127	XP_015438281.1, XP_015438279.1	XP_011158552.1, XP_011158551.3
OG0001128	XP_015429793.1	XP_011156523.3
OG0001128	XP_015430023.1	XP_011163428.1
OG0001129	XP_015431987.1	XP_011156357.1, XP_039307593.1
OG0001130	XP_015432310.1	XP_025986574.2, XP_011161459.2, XP_039310703.1
OG0001131	XP_015439208.1	XP_011157851.1
OG0001132	XP_015430844.1	XP_011163174.1
OG0001134	XP_015428627.1	XP_011160255.1, XP_011160257.1, XP_025992574.1
OG0001135	XP_015436846.1	XP_039313398.1
OG0001136	XP_015437447.1	XP_011175151.1
OG0001137	XP_015434120.1	XP_011157895.1, XP_025995386.1
OG0001138	XP_015440516.1	XP_011168199.1
OG0001140	XP_015431625.1	XP_011165958.1
OG0001141	XP_015428712.1	XP_025995593.1
OG0001142	XP_015430391.1	XP_011155375.3
OG0001143	XP_015437639.1	XP_011169579.1
OG0001144	XP_015430186.1	XP_011166007.2
OG0001145	XP_015436145.1	XP_011168245.2
OG0001146	XP_015440143.1	XP_039308020.1, XP_011157448.1, XP_039308018.1
OG0001147	XP_015429658.1	XP_011166309.1
OG0001148	XP_015435482.1	XP_011172034.1
OG0001149	XP_015437736.1	XP_039312701.1, XP_011169138.1
OG0001150	XP_015431706.1, XP_015431705.1	XP_039310944.1
OG0001151	XP_015435577.1	XP_011167664.1, XP_011167665.1, XP_025993787.1, XP_011167666.1
OG0001152	XP_015428951.1	XP_011159091.2
OG0001153	XP_015431781.1	XP_025989988.2
OG0001154	XP_015434924.1	XP_039304154.1
OG0001154	XP_015434922.1	XP_039304148.1
OG0001155	XP_015429037.1	XP_011172072.1, XP_039302712.1
OG0001156	XP_015438608.1	XP_011159299.2
OG0001157	XP_015429042.1	XP_011157466.1, XP_039303668.1, XP_039303663.1
OG0001158	XP_015438264.1	XP_025991651.1
OG0001159	XP_015437279.1	XP_011167339.1
OG0001160	XP_015439543.1	XP_039311819.1
OG0001161	XP_015434186.1	XP_011167380.1
OG0001162	XP_015440107.1	XP_039303089.1, XP_039303087.1, XP_039303088.1, XP_011169752.1
OG0001163	XP_015433801.1, XP_015433802.1	XP_011161732.3
OG0001165	XP_015431293.1	XP_025985971.2
OG0001166	XP_015434509.1	XP_011168537.1, XP_011168538.1
OG0001167	XP_015431079.1	XP_011156104.1
OG0001168	XP_015440302.1	XP_011176352.1
OG0001169	XP_015434074.1	XP_039306262.1, XP_039306261.1, XP_011157746.1
OG0001170	XP_015440109.1	XP_011162655.1
OG0001172	XP_015440157.1	XP_025987963.1, XP_025987960.1
OG0001173	XP_015430095.1	XP_011158513.2, XP_039310526.1
OG0001174	XP_015432220.1, XP_015432221.1	XP_011161987.1
OG0001175	XP_015437682.1	XP_025993082.1
OG0001176	XP_015428980.1	XP_039302580.1, XP_039302579.1, XP_039302581.1
OG0001177	XP_015437236.1	XP_039306182.1, XP_039315302.1
OG0001179	XP_015433439.1	XP_039304562.1
OG0001180	XP_015434367.1, XP_015434364.1	XP_011167997.1, XP_025990282.1
OG0001181	XP_015431189.1, XP_015431190.1	XP_011156355.1, XP_039307596.1
OG0001182	XP_015436546.1	XP_039305887.1, XP_039305890.1
OG0001183	XP_015435918.1, XP_015435916.1	XP_025990516.1
OG0001184	XP_015431102.1	XP_011156884.2, XP_039307254.1
OG0001185	XP_015432093.1	XP_039312820.1
OG0001186	XP_015430528.1	XP_011175807.1
OG0001187	XP_015430468.1, XP_015430469.1	XP_011172004.1, XP_011172006.1
OG0001188	XP_015431928.1	XP_011163748.1
OG0001189	XP_015430238.1	XP_039313493.1, XP_039313495.1, XP_039313487.1, XP_025986851.1, XP_039313496.1
OG0001190	XP_015437836.1	XP_025987355.2
OG0001191	XP_015434812.1	XP_039303760.1
OG0001193	XP_015430850.1	XP_011173460.1
OG0001195	XP_015434567.1	XP_025985837.1, XP_011166782.1, XP_011166783.1
OG0001197	XP_015429122.1	XP_025987979.1
OG0001198	XP_015435697.1	XP_039314770.1
OG0001199	XP_015438166.1	XP_011172415.1
OG0001201	XP_015432185.1, XP_015432184.1, XP_015432183.1	XP_011162101.2
OG0001202	XP_015436552.1	XP_011162095.1, XP_011162106.1, XP_039312312.1, XP_039312311.1, XP_039312473.1, XP_039312313.1, XP_039312472.1, XP_011172272.2, XP_039302872.1
OG0001203	XP_015431891.1	XP_039310696.1, XP_011163743.2
OG0001204	XP_015438592.1	XP_025991982.1
OG0001205	XP_015439419.1	XP_039314810.1
OG0001205	XP_015436179.1	XP_039303835.1
OG0001206	XP_015429839.1	XP_011156167.1
OG0001207	XP_015434630.1	XP_011156545.1, XP_039302232.1
OG0001208	XP_015439996.1	XP_011170339.1
OG0001209	XP_015436787.1	XP_011172048.1
OG0001209	XP_015433630.1	XP_039308043.1, XP_039307692.1
OG0001210	XP_015429511.1	XP_039307930.1, XP_011165372.2, XP_039315002.1, XP_039315004.1, XP_039307520.1
OG0001211	XP_015435190.1	XP_039305023.1, XP_039305022.1
OG0001212	XP_015432821.1	XP_039309508.1
OG0001214	XP_015436578.1	XP_011160964.2
OG0001215	XP_015439104.1	XP_039312900.1
OG0001216	XP_015436801.1	XP_011172216.1
OG0001217	XP_015428454.1	XP_011175935.1, XP_039308277.1, XP_011175936.1
OG0001218	XP_015432038.1	XP_011166690.1, XP_011166689.1, XP_039301873.1
OG0001219	XP_015432683.1, XP_015432684.1	XP_011159638.1, XP_039303862.1, XP_011159634.1, XP_011159636.1
OG0001220	XP_015432670.1	XP_011169281.1, XP_039302204.1
OG0001222	XP_015437978.1	XP_011164688.1, XP_011164686.1, XP_011164689.1
OG0001223	XP_015432643.1	XP_011164227.1
OG0001224	XP_015432729.1	XP_011159507.1
OG0001225	XP_015437481.1	XP_011164828.1
OG0001226	XP_015433780.1, XP_015433779.1	XP_011166465.1
OG0001228	XP_015437959.1, XP_015437956.1, XP_015437957.1, XP_015437958.1	XP_025987277.1, XP_039314353.1
OG0001229	XP_015429715.1, XP_015429716.1	XP_039305870.1
OG0001230	XP_015439809.1, XP_015439808.1	XP_011169142.1
OG0001231	XP_015428621.1	XP_011158057.1
OG0001231	XP_015428623.1	XP_025986565.1
OG0001232	XP_015437160.1	XP_011166300.1
OG0001233	XP_015431474.1	XP_011170934.1, XP_039302501.1
OG0001234	XP_015437820.1, XP_015437818.1	XP_011161472.2
OG0001236	XP_015433344.1, XP_015433343.1	XP_039312471.1, XP_011161524.1
OG0001237	XP_015438822.1	XP_039311173.1, XP_039310827.1
OG0001238	XP_015433532.1	XP_025993336.1, XP_039304779.1
OG0001239	XP_015429453.1, XP_015429452.1	XP_025995034.1
OG0001240	XP_015438883.1, XP_015438882.1	XP_011165534.1
OG0001241	XP_015436535.1	XP_011172347.1, XP_011172352.1
OG0001242	XP_015438224.1, XP_015438225.1, XP_015438222.1	XP_011163952.2
OG0001244	XP_015437313.1	XP_011168503.1
OG0001245	XP_015430823.1	XP_025988274.1
OG0001246	XP_015431442.1	XP_039303840.1, XP_025988269.1, XP_011168731.1
OG0001247	XP_015438506.1	XP_011164739.2
OG0001248	XP_015431131.1	XP_039304594.1
OG0001249	XP_015429969.1	XP_039309218.1
OG0001250	XP_015430420.1	XP_011164364.2
OG0001251	XP_015439687.1	XP_039312198.1
OG0001252	XP_015439447.1	XP_039314807.1
OG0001253	XP_015436543.1	XP_025995063.2
OG0001254	XP_015433626.1	XP_011168604.1
OG0001255	XP_015437600.1	XP_039314922.1, XP_025987255.1
OG0001256	XP_015437215.1	XP_025988912.1
OG0001256	XP_015437216.1	XP_025988913.1
OG0001257	XP_015428710.1	XP_011160876.1, XP_025994228.1
OG0001259	XP_015438736.1	XP_011164223.1
OG0001259	XP_015438759.1	XP_011164216.2
OG0001260	XP_015434802.1	XP_039304059.1
OG0001261	XP_015436130.1	XP_011160516.2
OG0001262	XP_015438742.1	XP_011164195.1
OG0001263	XP_015436360.1	XP_011170503.1
OG0001264	XP_015436315.1	XP_011165039.1
OG0001265	XP_015437878.1	XP_039315308.1
OG0001266	XP_015433275.1	XP_011162657.1, XP_025987442.1
OG0001267	XP_015437512.1	XP_025994469.1, XP_039308643.1
OG0001268	XP_015430584.1	XP_025989285.1
OG0001268	XP_015429366.1	XP_025989636.1
OG0001269	XP_015430000.1	XP_039315133.1, XP_025994739.1
OG0001270	XP_015428931.1, XP_015428930.1, XP_015428932.1	XP_011157222.1
OG0001271	XP_015434064.1	XP_039313271.1
OG0001272	XP_015429233.1	XP_011159578.1, XP_011159747.3, XP_025997663.2, XP_039314843.1
OG0001273	XP_015440200.1, XP_015440199.1	XP_025987733.1
OG0001274	XP_015439823.1	XP_011170905.2, XP_011173464.2
OG0001275	XP_015434895.1	XP_011164629.1, XP_025990967.2
OG0001277	XP_015437104.1	XP_025989192.1
OG0001278	XP_015439344.1	XP_039315140.1, XP_039315139.1, XP_011155768.1, XP_011155769.1
OG0001280	XP_015435160.1	XP_011168647.1
OG0001281	XP_015436211.1	XP_011171012.1
OG0001282	XP_015428909.1, XP_015428908.1	XP_011163529.2
OG0001283	XP_015429429.1, XP_015429428.1	XP_039309473.1, XP_039309472.1
OG0001284	XP_015435944.1, XP_015435945.1	XP_011159268.2
OG0001286	XP_015431910.1	XP_011175133.1
OG0001287	XP_015433020.1, XP_015433021.1	XP_011165494.2, XP_039307430.1, XP_011165491.2, XP_025986183.2
OG0001288	XP_015436739.1	XP_011165929.1, XP_025993806.1, XP_011165930.1, XP_011165928.1
OG0001289	XP_015439418.1	XP_011162420.1
OG0001290	XP_015433178.1	XP_011163991.2, XP_011166539.2, XP_039310665.1, XP_039310663.1, XP_039310664.1
OG0001291	XP_015438650.1	XP_025995978.1, XP_039315524.1
OG0001292	XP_015439215.1	XP_039312474.1
OG0001293	XP_015438430.1	XP_011160608.1
OG0001294	XP_015437976.1	XP_011166902.1
OG0001295	XP_015436164.1	XP_025988763.2, XP_011172182.2, XP_039313063.1
OG0001296	XP_015434751.1	XP_039302522.1
OG0001298	XP_015436157.1	XP_025991722.1
OG0001299	XP_015438126.1	XP_011155329.2
OG0001300	XP_015432681.1, XP_015432680.1	XP_039308336.1, XP_011176356.1
OG0001301	XP_015437879.1	XP_039313098.1
OG0001302	XP_015432865.1	XP_039305041.1
OG0001303	XP_015429458.1	XP_011162751.2, XP_025993208.2
OG0001304	XP_015432495.1	XP_039303726.1, XP_011169416.1
OG0001305	XP_015434386.1	XP_039306299.1
OG0001306	XP_015438568.1, XP_015438567.1	XP_039311745.1, XP_025993252.1
OG0001307	XP_015439283.1	XP_025992202.1, XP_025992201.1, XP_039304075.1
OG0001308	XP_015434718.1	XP_011164101.2
OG0001310	XP_015440120.1	XP_011175922.1
OG0001312	XP_015428775.1, XP_015428777.1, XP_015428776.1	XP_011169654.1
OG0001313	XP_015433453.1, XP_015433469.1	XP_011168031.1
OG0001314	XP_015434639.1	XP_025987160.1, XP_025987159.1
OG0001315	XP_015439125.1	XP_039307094.1, XP_039307090.1, XP_039307091.1
OG0001316	XP_015432954.1	XP_011165521.1, XP_011165520.1, XP_039307433.1
OG0001317	XP_015431735.1	XP_039305014.1, XP_011169093.1
OG0001318	XP_015436273.1	XP_039306228.1, XP_011159820.1
OG0001320	XP_015430263.1	XP_011175003.1
OG0001321	XP_015437485.1	XP_039304469.1
OG0001322	XP_015439957.1	XP_025995334.2, XP_025995333.2
OG0001323	XP_015429395.1	XP_039313975.1
OG0001323	XP_015429394.1	XP_011175670.1
OG0001328	XP_015438483.1	XP_011171298.1, XP_011171300.1, XP_039307149.1
OG0001329	XP_015434492.1, XP_015434493.1	XP_025994744.1
OG0001330	XP_015436922.1	XP_011173423.1
OG0001331	XP_015430431.1	XP_011159081.1, XP_011155677.1
OG0001332	XP_015428837.1, XP_015428839.1, XP_015428838.1	XP_011161127.1
OG0001333	XP_015436045.1	XP_011161667.1
OG0001334	XP_015434048.1	XP_039314193.1
OG0001335	XP_015438515.1, XP_015438516.1	XP_011176244.1, XP_025994143.1
OG0001336	XP_015437052.1	XP_039313962.1, XP_039313963.1, XP_039313961.1
OG0001337	XP_015436696.1	XP_011172356.1
OG0001338	XP_015437333.1, XP_015437330.1, XP_015437332.1	XP_011156305.1
OG0001339	XP_015435924.1	XP_011170919.1
OG0001340	XP_015429725.1	XP_011157400.1, XP_039302773.1
OG0001341	XP_015438392.1	XP_011160585.2
OG0001341	XP_015438393.1	XP_011160584.3
OG0001342	XP_015431438.1	NP_001291521.1, XP_011158641.1
OG0001343	XP_015439074.1, XP_015434192.1	XP_039315305.1, XP_039305231.1
OG0001344	XP_015436231.1	XP_025988540.1
OG0001345	XP_015440141.1	XP_011159425.1
OG0001346	XP_015433969.1	XP_025986739.2
OG0001347	XP_015439292.1	XP_011162367.1
OG0001348	XP_015430417.1	XP_025994333.2
OG0001349	XP_015434793.1	XP_011156749.1, XP_011156750.1
OG0001350	XP_015440292.1	XP_011167785.1, XP_039304006.1, XP_025991063.1
OG0001351	XP_015437973.1	XP_011166906.1
OG0001352	XP_015434609.1	XP_039302099.1, XP_039302098.1, XP_011156572.1, XP_025991200.1
OG0001353	XP_015433855.1	XP_011166239.1, XP_025988594.1
OG0001354	XP_015439962.1	XP_039314179.1, XP_039314178.1, XP_011160080.1, XP_025987762.1, XP_025987763.1
OG0001355	XP_015434784.1	XP_011168669.1, XP_039306977.1
OG0001356	XP_015432604.1	XP_025993681.1
OG0001357	XP_015438207.1	XP_011156200.1
OG0001358	XP_015433112.1	XP_011164657.3
OG0001359	XP_015430299.1	XP_011155735.1
OG0001360	XP_015429427.1	XP_011156183.1
OG0001361	XP_015432652.1	XP_039303850.1, XP_011159643.2, XP_039303852.1
OG0001362	XP_015439867.1	XP_011166065.1
OG0001363	XP_015434313.1, XP_015430014.1	XP_011164426.1
OG0001364	XP_015430718.1	XP_025992935.1
OG0001365	XP_015437725.1	XP_011156369.2
OG0001366	XP_015433256.1	XP_011170838.2
OG0001366	XP_015433254.1	XP_011170837.1
OG0001368	XP_015431180.1	XP_039306221.1, XP_025986501.1
OG0001369	XP_015434405.1	XP_011160216.1, XP_039309889.1, XP_039309890.1, XP_011160219.1
OG0001370	XP_015435813.1	XP_025990425.1, XP_011162934.1, XP_025990426.1
OG0001371	XP_015437147.1	XP_011175761.2
OG0001372	XP_015433276.1	XP_011157484.1
OG0001373	XP_015436632.1	XP_011168414.1
OG0001374	XP_015434147.1	XP_011166756.2
OG0001375	XP_015435213.1	XP_011167128.1
OG0001375	XP_015435214.1	XP_011167127.1
OG0001376	XP_015431149.1	XP_039306070.1
OG0001377	XP_015436659.1, XP_015436660.1, XP_015436658.1	XP_011176400.1, XP_011176401.1
OG0001378	XP_015429949.1	XP_011164716.1
OG0001379	XP_015436055.1	XP_011155491.1
OG0001380	XP_015429665.1	XP_025994567.1
OG0001382	XP_015437912.1	XP_039313566.1, XP_039313567.1, XP_039313568.1
OG0001383	XP_015433838.1, XP_015433837.1	XP_011160864.2, XP_011160863.2, XP_039306105.1, XP_039306104.1
OG0001384	XP_015436514.1	XP_011163732.1, XP_025990206.1
OG0001386	XP_015433248.1	XP_025989972.1
OG0001387	XP_015440060.1	XP_011171595.1
OG0001388	XP_015437021.1	XP_039309574.1
OG0001389	XP_015431036.1	XP_039305597.1
OG0001390	XP_015432331.1	XP_039309353.1, XP_039309352.1, XP_011160277.2, XP_011160278.2
OG0001391	XP_015431342.1	XP_011161215.1, XP_039308652.1
OG0001392	XP_015430121.1, XP_015430118.1	XP_025993442.2
OG0001393	XP_015429416.1	XP_011157653.2
OG0001394	XP_015437935.1	XP_039314983.1
OG0001394	XP_015429256.1	XP_011176229.1
OG0001395	XP_015432409.1	XP_011164439.1, XP_025993826.1
OG0001396	XP_015435269.1	XP_025993663.2
OG0001397	XP_015431048.1	XP_011172906.1
OG0001398	XP_015429350.1	XP_025990535.1
OG0001399	XP_015435265.1	XP_025993541.2
OG0001400	XP_015437499.1	XP_025993885.1
OG0001400	XP_015437506.1	XP_025993881.1
OG0001401	XP_015433181.1	XP_011170086.1
OG0001402	XP_015437667.1	XP_011163539.1
OG0001403	XP_015436374.1	XP_039310380.1
OG0001404	XP_015437404.1	XP_011156235.1
OG0001405	XP_015431935.1	XP_039304316.1
OG0001406	XP_015431719.1	XP_011159875.1, XP_011159874.1
OG0001407	XP_015438269.1, XP_015438268.1, XP_015438266.1	XP_025996674.2, XP_025996673.2, XP_039307890.1
OG0001408	XP_015439582.1	XP_011157143.1
OG0001409	XP_015432641.1	XP_025988890.2
OG0001410	XP_015435731.1	XP_011164802.1
OG0001412	XP_015436902.1	XP_025988414.1
OG0001412	XP_015436904.1	XP_039304946.1
OG0001413	XP_015435120.1	XP_011169177.2, XP_011169180.2
OG0001414	XP_015429749.1	XP_011156102.1
OG0001415	XP_015436505.1	XP_011168452.2
OG0001416	XP_015429419.1	XP_011156599.2, XP_039307071.1
OG0001417	XP_015436553.1	XP_011159626.1, XP_011159625.1, XP_039303854.1
OG0001418	XP_015434209.1, XP_015433093.1	XP_025988310.1
OG0001419	XP_015429751.1	XP_025990704.1, XP_025990698.1
OG0001420	XP_015435045.1	XP_039305246.1, XP_039305245.1
OG0001421	XP_015431980.1, XP_015431978.1	XP_011157717.1
OG0001422	XP_015429923.1	XP_011168866.3
OG0001423	XP_015432837.1	XP_039301682.1
OG0001424	XP_015438763.1	XP_025988061.1, XP_011175495.1
OG0001425	XP_015432966.1	XP_011161576.1
OG0001426	XP_015428633.1	XP_039309524.1
OG0001427	XP_015435649.1	XP_011175988.1
OG0001428	XP_015440167.1	XP_011169585.1, XP_011169577.1
OG0001429	XP_015436203.1	XP_011161484.1, XP_039311060.1, XP_039311061.1, XP_011161485.1, XP_025986645.1, XP_011156902.1, XP_011156899.2, XP_025986354.2, XP_039306264.1, XP_011156898.1, XP_039306265.1, XP_011171049.1, XP_011171091.1
OG0001430	XP_015439452.1	XP_011164676.1, XP_039308732.1, XP_039302689.1, XP_039302690.1, XP_039302692.1, XP_039302691.1, XP_025991973.2, XP_039307943.1, XP_039307372.1, XP_039308068.1, XP_039307944.1, XP_011164674.1, XP_011164678.1, XP_011164680.2, XP_011164681.2
OG0001433	XP_015433620.1	XP_025994189.2
OG0001434	XP_015428560.1	XP_011159065.1
OG0001436	XP_015438908.1	XP_011175197.1
OG0001437	XP_015434663.1	XP_011172011.1
OG0001438	XP_015428846.1	XP_025987016.1
OG0001439	XP_015434986.1, XP_015434978.1, XP_015434953.1, XP_015434961.1, XP_015434969.1	XP_039303757.1, XP_039303753.1, XP_039303755.1, XP_039303756.1, XP_039303754.1
OG0001440	XP_015434309.1	XP_039301796.1
OG0001441	XP_015430893.1	XP_025995051.1, XP_011164726.1
OG0001442	XP_015437034.1	XP_039304061.1
OG0001443	XP_015434954.1	XP_039302720.1, XP_039302721.1
OG0001444	XP_015439769.1	XP_039303669.1
OG0001445	XP_015440249.1, XP_015440248.1	XP_011167441.1
OG0001446	XP_015437635.1	XP_011169573.2
OG0001448	XP_015430330.1	XP_039312922.1, XP_011173898.1
OG0001449	XP_015436016.1	XP_011164180.2, XP_011164179.2, XP_011164181.2
OG0001450	XP_015434899.1	XP_011167782.1, XP_039304005.1
OG0001451	XP_015435526.1	XP_011168974.1
OG0001453	XP_015437629.1	XP_011166027.1, XP_039311081.1
OG0001455	XP_015433503.1	XP_011158617.2, XP_025990485.1, XP_039309522.1, XP_039309203.1
OG0001456	XP_015432188.1	XP_039314390.1, XP_011160138.1
OG0001457	XP_015431177.1	XP_011156838.1
OG0001458	XP_015434044.1	XP_039313170.1, XP_039313172.1, XP_039313171.1
OG0001459	XP_015436986.1	XP_039314602.1
OG0001460	XP_015431866.1	XP_011168563.1
OG0001461	XP_015439639.1	XP_011166122.1
OG0001462	XP_015431158.1	XP_039313168.1
OG0001463	XP_015429965.1	XP_039314506.1
OG0001464	XP_015437158.1	XP_011175504.1
OG0001465	XP_015432347.1	XP_039302626.1, XP_011172138.1, XP_011172139.1
OG0001466	XP_015431946.1	XP_011164329.1, XP_025988877.1
OG0001467	XP_015434502.1	XP_011171584.1, XP_011171583.1
OG0001468	XP_015437861.1	XP_011168738.1
OG0001469	XP_015440543.1	XP_025992793.1
OG0001470	XP_015434648.1	XP_025996653.1
OG0001471	XP_015435921.1	XP_011168758.1
OG0001472	XP_015432615.1	XP_011171029.1
OG0001473	XP_015434009.1	XP_025987889.2
OG0001474	XP_015428929.1	XP_011163536.1
OG0001475	XP_015435318.1	XP_011165353.1
OG0001476	XP_015432216.1	XP_011170458.2
OG0001477	XP_015431434.1, XP_015431435.1, XP_015431436.1	XP_025990076.1
OG0001478	XP_015438251.1, XP_015438252.1	XP_039303041.1, XP_039303040.1, XP_025996444.1, XP_025996445.1, XP_025993296.1
OG0001479	XP_015437416.1	XP_011171853.1
OG0001480	XP_015431709.1	XP_025988609.1, XP_011167365.1
OG0001481	XP_015439635.1	XP_011163818.1
OG0001482	XP_015430392.1	XP_025995318.2
OG0001483	XP_015439415.1	XP_011158227.2
OG0001484	XP_015434069.1	XP_039313164.1
OG0001486	XP_015435498.1	XP_025988210.1
OG0001487	XP_015431378.1	XP_011160910.1
OG0001488	XP_015438396.1	XP_011175651.1
OG0001489	XP_015439314.1	XP_011159173.1
OG0001490	XP_015433286.1, XP_015433285.1	XP_039308811.1
OG0001491	XP_015439000.1, XP_015439001.1	XP_011173446.1
OG0001492	XP_015430307.1	XP_011166609.1
OG0001493	XP_015428963.1, XP_015428964.1	XP_011168223.2, XP_039311783.1, XP_011168226.2
OG0001494	XP_015432661.1	XP_011159518.1, XP_039304095.1, XP_039304096.1, XP_039304094.1
OG0001495	XP_015440321.1	XP_011168272.1
OG0001496	XP_015436755.1	XP_011176077.2, XP_011176075.2, XP_011176076.2, XP_011174865.2
OG0001497	XP_015440537.1	XP_011165457.1, XP_011165458.1
OG0001498	XP_015429415.1	XP_039305924.1
OG0001499	XP_015438685.1	XP_039307688.1, XP_011158157.1
OG0001499	XP_015436304.1	XP_011163631.1
OG0001500	XP_015436279.1	XP_039312635.1, XP_039312637.1, XP_039312638.1, XP_039312634.1
OG0001501	XP_015430049.1	XP_025988324.1
OG0001502	XP_015430048.1	XP_011166475.1
OG0001503	XP_015437335.1	XP_025996966.1, XP_025996963.2
OG0001504	XP_015435853.1	XP_011167263.2
OG0001505	XP_015439805.1	XP_011172206.2
OG0001506	XP_015431921.1	XP_039304198.1, XP_039304197.1, XP_039304199.1, XP_039304201.1, XP_039304200.1, XP_039304196.1
OG0001507	XP_015432502.1	XP_039314299.1
OG0001508	XP_015439520.1	XP_039311816.1
OG0001509	XP_015428744.1	XP_039311684.1
OG0001510	XP_015435496.1, XP_015437806.1	XP_025992335.2, XP_025986196.2
OG0001511	XP_015437500.1	XP_025994312.2, XP_039315233.1, XP_039315195.1, XP_039310857.1
OG0001512	XP_015428808.1	XP_025986523.1
OG0001514	XP_015428567.1	XP_011176284.1, XP_011176285.1
OG0001515	XP_015437528.1	XP_025995098.1
OG0001516	XP_015437627.1	XP_011166939.1, XP_039315567.1, XP_039315566.1
OG0001517	XP_015436545.1	XP_025995929.1, XP_039311148.1, XP_025995926.1, XP_039311149.1, XP_025995927.1, XP_025995928.1, XP_025995924.1, XP_025995925.1, XP_025995930.1
OG0001518	XP_015434223.1	XP_011175547.2
OG0001519	XP_015435519.1, XP_015435520.1	XP_025995933.2, XP_025995932.2
OG0001520	XP_015435016.1	XP_011172158.1
OG0001520	XP_015434945.1	XP_011172159.1
OG0001521	XP_015439954.1, XP_015440055.1	XP_039314177.1
OG0001522	XP_015433647.1	XP_025988170.1, XP_025988171.1, XP_039312191.1, XP_039312156.1, XP_039312155.1, XP_039312179.1, XP_039312144.1, XP_039312149.1, XP_011168770.1, XP_011168769.1, XP_039312184.1, XP_025988169.1
OG0001523	XP_015437892.1	XP_025987250.1
OG0001524	XP_015434310.1	XP_011168675.2
OG0001525	XP_015432476.1	XP_011159211.1
OG0001527	XP_015439538.1	XP_039303803.1, XP_011158352.1
OG0001529	XP_015437119.1	XP_039311427.1
OG0001531	XP_015440062.1	XP_025988753.1
OG0001532	XP_015435975.1	XP_011162596.1, XP_039310282.1
OG0001533	XP_015431090.1	XP_025987694.2
OG0001534	XP_015432662.1	XP_011156569.2, XP_039308558.1
