Orthogroup	Dufourea_novaeangliae	Anopheles_gambiae
OG0000931	XP_015434904.1	XP_321812.4
OG0000932	XP_015439311.1	XP_321361.5
OG0000933	XP_015434525.1, XP_015433046.1	XP_308800.3
OG0000934	XP_015440077.1	XP_308788.3
OG0000937	XP_015429305.1	XP_314129.4
OG0000938	XP_015437503.1	XP_318102.2
OG0000941	XP_015429495.1	XP_320660.4
OG0000942	XP_015434790.1	XP_309480.3
OG0000943	XP_015432439.1	XP_321357.4
OG0000944	XP_015434121.1	XP_313297.3
OG0000945	XP_015438438.1, XP_015438439.1	XP_320578.4
OG0000946	XP_015429289.1, XP_015428568.1	XP_316421.3
OG0000948	XP_015435728.1	XP_309921.3
OG0000950	XP_015435825.1, XP_015435833.1	XP_319893.3
OG0000951	XP_015430464.1, XP_015430462.1, XP_015430463.1	XP_310711.2
OG0000952	XP_015436332.1	XP_313752.4, XP_003436823.1, XP_003436822.1
OG0000953	XP_015429439.1	XP_317950.3, XP_317944.4, XP_317948.4, XP_554872.3
OG0000955	XP_015429456.1	XP_001238322.2, XP_561526.1, XP_320459.4
OG0000957	XP_015428740.1	XP_316912.4
OG0000958	XP_015430623.1	XP_318029.4
OG0000959	XP_015431386.1, XP_015431296.1	XP_319812.4
OG0000960	XP_015439752.1	XP_313575.5
OG0000960	XP_015439746.1	XP_316346.4
OG0000961	XP_015431200.1	XP_003436087.1
OG0000961	XP_015431047.1	XP_312657.5, XP_003436086.1
OG0000962	XP_015430216.1	XP_308166.4
OG0000963	XP_015436151.1	XP_312843.1, XP_003436411.1, XP_003436410.1, XP_003436409.1
OG0000964	XP_015431708.1, XP_015431717.1	XP_320746.4
OG0000965	XP_015436410.1	XP_001688923.1, XP_001688924.1, XP_316615.4, XP_316614.4
OG0000966	XP_015431135.1	XP_314043.4
OG0000967	XP_015430658.1	XP_308187.4, XP_001687862.1
OG0000968	XP_015432857.1	XP_313931.4
OG0000970	XP_015440451.1	XP_320569.3
OG0000971	XP_015439434.1	XP_001688071.1
OG0000972	XP_015437318.1	XP_317352.3
OG0000974	XP_015434065.1, XP_015434066.1	XP_001689389.2
OG0000975	XP_015436879.1	XP_317924.4
OG0000976	XP_015431992.1	XP_320253.2
OG0000977	XP_015440051.1	XP_312558.5
OG0000978	XP_015435492.1	XP_310715.5, XP_314327.3
OG0000979	XP_015438043.1	XP_319777.4, XP_309185.5
OG0000980	XP_015429212.1	XP_313773.4, XP_553643.3, XP_309023.4, XP_315517.3
OG0000981	XP_015438081.1	XP_318419.5
OG0000983	XP_015440002.1	XP_311964.4
OG0000984	XP_015437704.1	XP_319605.4
OG0000985	XP_015438344.1	XP_315127.2
OG0000986	XP_015439743.1	XP_313139.4
OG0000986	XP_015439956.1	XP_320937.5
OG0000987	XP_015440366.1	XP_320264.4
OG0000988	XP_015430580.1	XP_024667085.1, XP_309588.5, XP_003436692.1
OG0000989	XP_015433625.1	XP_321415.5, XP_003435899.1
OG0000990	XP_015438755.1	XP_321555.1
OG0000992	XP_015428550.1, XP_015428548.1	XP_309992.2
OG0000993	XP_015429057.1	XP_003436444.1, XP_003436445.1
OG0000994	XP_015429081.1, XP_015429135.1	XP_309631.5
OG0000995	XP_015431356.1	XP_308821.4, XP_001688099.1
OG0000996	XP_015435745.1, XP_015435744.1	XP_314487.3
OG0000997	XP_015439771.1	XP_315616.4
OG0000997	XP_015440230.1	XP_311426.1
OG0000998	XP_015434647.1	XP_311299.1, XP_316865.2, XP_003437127.1
OG0000999	XP_015430447.1	XP_317398.3, XP_001237925.1
OG0001000	XP_015429845.1, XP_015429844.1	XP_003436472.1, XP_311698.5
OG0001001	XP_015438002.1, XP_015430747.1	XP_001688785.1, XP_316161.4, XP_001688784.1, XP_001688783.1
OG0001002	XP_015434888.1	XP_552293.2, XP_319645.4
OG0001003	XP_015438385.1	XP_314318.4
OG0001004	XP_015437655.1	XP_308942.4
OG0001005	XP_015439086.1	XP_321274.5
OG0001006	XP_015440539.1, XP_015440538.1	XP_003436707.1, XP_309629.5
OG0001007	XP_015438960.1	XP_001688444.2
OG0001008	XP_015438788.1	XP_310585.4, XP_310530.3
OG0001009	XP_015436115.1	XP_310493.5
OG0001009	XP_015437413.1	XP_317322.4
OG0001010	XP_015438257.1	XP_310232.4
OG0001011	XP_015430912.1	XP_314123.4
OG0001013	XP_015439219.1	XP_314060.4
OG0001014	XP_015429109.1	XP_312817.4
OG0001015	XP_015436597.1	XP_313115.4
OG0001015	XP_015436607.1	XP_308884.2
OG0001016	XP_015433041.1, XP_015437715.1	XP_563695.1
OG0001017	XP_015429960.1	XP_311055.5
OG0001018	XP_015438190.1	XP_001688381.1
OG0001019	XP_015438862.1	XP_316696.4
OG0001020	XP_015429328.1	XP_314731.4
OG0001021	XP_015436528.1	XP_309024.3
OG0001022	XP_015430502.1, XP_015430500.1, XP_015430405.1	XP_003436590.1, XP_310271.7
OG0001023	XP_015440486.1	XP_313173.5
OG0001024	XP_015439080.1	XP_319635.4
OG0001025	XP_015431309.1	XP_314283.5
OG0001026	XP_015433750.1	XP_003436567.1, XP_313472.4
OG0001027	XP_015439987.1, XP_015439986.1, XP_015439985.1	XP_309944.3
OG0001028	XP_015434970.1, XP_015439622.1	XP_311527.2
OG0001030	XP_015439176.1	XP_309545.3
OG0001031	XP_015430659.1	XP_315208.4
OG0001032	XP_015437692.1, XP_015438823.1	XP_310000.4
OG0001033	XP_015438265.1	XP_310453.2
OG0001034	XP_015440115.1	XP_310276.4
OG0001035	XP_015429551.1	XP_321735.4
OG0001036	XP_015433741.1, XP_015440403.1	XP_319657.4
OG0001037	XP_015434444.1	XP_315158.3
OG0001038	XP_015439893.1	XP_319690.4
OG0001039	XP_015438726.1	XP_310813.5
OG0001040	XP_015435380.1, XP_015435379.1	XP_311818.2
OG0001041	XP_015437162.1	XP_310153.4
OG0001042	XP_015432407.1	XP_308531.3
OG0001043	XP_015430045.1	XP_308245.4
OG0001044	XP_015436972.1	XP_315822.5
OG0001045	XP_015429608.1	XP_310646.5
OG0001046	XP_015434583.1	XP_312227.5
OG0001048	XP_015437438.1, XP_015437439.1, XP_015437440.1, XP_015437441.1, XP_015437443.1, XP_015437437.1	XP_308398.3
OG0001049	XP_015436429.1, XP_015436428.1	XP_001687845.1, XP_001687846.1, XP_308153.4
OG0001050	XP_015435563.1, XP_015435564.1	XP_320316.4
OG0001052	XP_015439737.1	XP_310662.5
OG0001053	XP_015433232.1, XP_015433233.1	XP_001687881.1, XP_308279.2
OG0001054	XP_015430275.1	XP_314840.4
OG0001055	XP_015428649.1, XP_015428648.1, XP_015428647.1	XP_311983.4
OG0001056	XP_015429671.1, XP_015429672.1	XP_308553.4, XP_001687984.1, XP_001687985.1
OG0001057	XP_015439675.1	XP_309938.3
OG0001058	XP_015431277.1	XP_311505.1
OG0001059	XP_015429445.1, XP_015439523.1	XP_003435972.1, XP_321126.5
OG0001061	XP_015439606.1, XP_015439605.1, XP_015439604.1	XP_315958.4, XP_001688754.1
OG0001063	XP_015433110.1	XP_312857.5
OG0001064	XP_015434494.1	XP_564324.1, XP_310275.7
OG0001065	XP_015438348.1	XP_313928.3
OG0001066	XP_015437334.1	XP_001238515.3, XP_308515.4
OG0001067	XP_015440478.1, XP_015440480.1	XP_001688943.1, XP_557321.3
OG0001068	XP_015429851.1	XP_001237855.2, XP_316699.4, XP_001688951.1
OG0001069	XP_015438935.1	XP_312834.5
OG0001070	XP_015435416.1	XP_317977.5, XP_318025.4, XP_318028.4
OG0001071	XP_015436206.1	XP_312799.5
OG0001072	XP_015428646.1, XP_015428520.1	XP_550917.4
OG0001073	XP_015439548.1, XP_015439514.1	XP_311915.3
OG0001074	XP_015435822.1, XP_015435786.1	XP_307839.4
OG0001075	XP_015436621.1	XP_001688625.1
OG0001076	XP_015436502.1	XP_313348.4
OG0001077	XP_015438675.1	XP_319424.2, XP_319425.2
OG0001078	XP_015431398.1	XP_320176.3, XP_320177.4
OG0001079	XP_015440017.1	XP_320339.4
OG0001081	XP_015438910.1	XP_308790.4
OG0001082	XP_015432945.1	XP_315574.3, XP_001237683.2
OG0001083	XP_015439190.1	XP_314359.3, XP_001688566.1
OG0001084	XP_015439092.1	XP_556553.2
OG0001085	XP_015433251.1, XP_015433250.1, XP_015433249.1	XP_317314.3
OG0001086	XP_015430723.1, XP_015430724.1, XP_015430725.1, XP_015430726.1	XP_001689067.1, XP_001238005.1, XP_317929.3
OG0001090	XP_015430665.1, XP_015430664.1, XP_015430663.1	XP_315009.3
OG0001091	XP_015429760.1	XP_003436096.1, XP_312603.5, XP_319738.2
OG0001092	XP_015433886.1, XP_015433879.1	XP_003436030.1, XP_320944.5, XP_003436029.1, XP_003436028.1
OG0001093	XP_015431393.1, XP_015431394.1	XP_319293.4
OG0001094	XP_015432999.1	XP_307411.2, XP_003436009.1, XP_003436008.1, XP_321028.5
OG0001095	XP_015433991.1	XP_314827.2
OG0001097	XP_015438468.1, XP_015438467.1	XP_317307.4
OG0001098	XP_015432197.1	XP_321240.5
OG0001099	XP_015435246.1	XP_003436928.1
OG0001099	XP_015435245.1	XP_310965.5
OG0001100	XP_015432039.1	XP_314568.3
OG0001101	XP_015437372.1	XP_001688400.2, XP_312658.5
OG0001102	XP_015439559.1	XP_311181.2, XP_312618.2
OG0001103	XP_015437469.1	XP_553744.3
OG0001104	XP_015440021.1	XP_308660.3
OG0001105	XP_015431851.1	XP_310975.1, XP_566239.1, XP_319078.2
OG0001106	XP_015436611.1	XP_320183.2
OG0001107	XP_015430937.1, XP_015430936.1	XP_314706.4
OG0001108	XP_015430476.1	XP_311208.4
OG0001109	XP_015430549.1	XP_321850.3
OG0001110	XP_015437037.1	XP_560496.3, XP_320439.4
OG0001111	XP_015432987.1	XP_321349.4
OG0001112	XP_015435253.1	XP_318149.4
OG0001113	XP_015440030.1, XP_015440029.1	XP_307774.3
OG0001114	XP_015431323.1	XP_318236.4
OG0001115	XP_015430909.1	XP_320996.5
OG0001116	XP_015435142.1	XP_310850.4
OG0001117	XP_015438541.1	XP_312919.4
OG0001118	XP_015429117.1	XP_322006.1
OG0001119	XP_015436536.1	XP_003437115.1, XP_316802.5
OG0001120	XP_015436692.1	XP_318732.4
OG0001120	XP_015436699.1	XP_315358.4
OG0001121	XP_015432861.1	XP_320248.4
OG0001122	XP_015433096.1	XP_320362.4
OG0001123	XP_015437977.1	XP_313330.5
OG0001124	XP_015438358.1	XP_312370.5
OG0001126	XP_015429255.1	XP_312385.5
OG0001127	XP_015438279.1	XP_003437008.1
OG0001128	XP_015429793.1	XP_313287.4
OG0001128	XP_015430023.1	XP_315365.3, XP_001688644.1
OG0001129	XP_015431987.1	XP_308038.5, XP_003436041.1, XP_308996.3
OG0001130	XP_015432310.1	XP_318345.4
OG0001131	XP_015439208.1	XP_003435809.1, XP_321814.4, XP_551513.3
OG0001132	XP_015430844.1	XP_320484.2
OG0001133	XP_015434384.1	XP_311448.4, XP_003436891.1, XP_554228.4, XP_311449.4
OG0001134	XP_015428627.1	XP_319097.3
OG0001135	XP_015436846.1	XP_308076.3, XP_311350.2
OG0001137	XP_015434120.1	XP_024667094.1, XP_306688.4, XP_319223.4
OG0001138	XP_015440516.1	XP_320011.4
OG0001139	XP_015432496.1	XP_307945.5
OG0001140	XP_015431625.1	XP_317273.3
OG0001141	XP_015428712.1	XP_318646.4
OG0001142	XP_015430391.1	XP_311392.4
OG0001143	XP_015437639.1	XP_557018.3
OG0001144	XP_015430181.1, XP_015430186.1	XP_307534.2, XP_313797.5
OG0001145	XP_015436145.1	XP_308148.3
OG0001146	XP_015439721.1, XP_015440143.1	XP_308872.2
OG0001147	XP_015429658.1	XP_310582.2
OG0001148	XP_015435482.1	XP_314234.2
OG0001149	XP_015437736.1	XP_308972.4
OG0001150	XP_015431706.1, XP_015431705.1	XP_315411.4
OG0001151	XP_015435577.1	XP_312460.5
OG0001152	XP_015428951.1	XP_310362.7
OG0001153	XP_015431781.1	XP_553211.3
OG0001154	XP_015434924.1, XP_015434922.1	XP_311713.5, XP_003436477.1
OG0001155	XP_015429037.1	XP_310967.5
OG0001156	XP_015438608.1	XP_003436005.1, XP_321037.5
OG0001157	XP_015429042.1	XP_311092.3
OG0001158	XP_015438264.1	XP_315369.4
OG0001159	XP_015437279.1	XP_552266.3
OG0001160	XP_015439543.1	XP_553588.1
OG0001161	XP_015434186.1	XP_312237.4
OG0001165	XP_015431293.1	XP_321402.5, XP_003435904.1
OG0001166	XP_015434509.1	XP_003437030.1, XP_310514.3, XP_001237264.1
OG0001167	XP_015431079.1	XP_316568.4
OG0001168	XP_015440302.1	XP_318706.4
OG0001169	XP_015434074.1	XP_317457.4
OG0001172	XP_015440157.1	XP_321331.5, XP_003435918.1
OG0001173	XP_015430095.1	XP_003436462.1
OG0001174	XP_015434999.1, XP_015432220.1, XP_015432221.1	XP_313500.1
OG0001175	XP_015437682.1	XP_316052.4
OG0001176	XP_015428980.1	XP_309066.4
OG0001178	XP_015432042.1	XP_320745.4
OG0001179	XP_015433439.1	XP_318508.4
OG0001180	XP_015434367.1, XP_015434364.1	XP_312107.4, XP_003436250.1
OG0001181	XP_015431189.1, XP_015431190.1	XP_310584.5
OG0001182	XP_015436546.1	XP_320209.4
OG0001183	XP_015435918.1, XP_015435916.1	XP_001237762.2
OG0001184	XP_015431102.1	XP_003436481.1, XP_558879.4, XP_003436480.1
OG0001185	XP_015432093.1	XP_317794.3, XP_557418.3, XP_309856.4, XP_554727.1
OG0001186	XP_015430528.1	XP_001237242.1
OG0001187	XP_015430468.1, XP_015430469.1	XP_001230352.1, XP_321322.5
OG0001189	XP_015430238.1	XP_556172.2
OG0001190	XP_015437836.1	XP_314805.4
OG0001191	XP_015434908.1, XP_015434812.1	XP_559733.2, XP_309365.2
OG0001193	XP_015430850.1	XP_320433.1
OG0001195	XP_015434567.1	XP_319946.4
OG0001197	XP_015429122.1	XP_311347.4
OG0001198	XP_015435697.1	XP_317373.3
OG0001199	XP_015438166.1	XP_315370.3, XP_001688648.1
OG0001202	XP_015436552.1	XP_320320.4, XP_320321.3
OG0001203	XP_015431891.1, XP_015435254.1	XP_308917.3, XP_313576.4
OG0001204	XP_015438592.1	XP_556259.3
OG0001205	XP_015439419.1, XP_015436179.1	XP_310915.3
OG0001207	XP_015434630.1	XP_320895.4, XP_320898.4
OG0001208	XP_015439996.1	XP_563571.4
OG0001214	XP_015436578.1	XP_003437198.1, XP_003437199.1, XP_003437197.1, XP_318298.5, XP_003437202.1, XP_003437203.1, XP_003437201.1, XP_003437200.1
OG0001215	XP_015439104.1	XP_315584.3
OG0001216	XP_015436801.1	XP_319631.4
OG0001217	XP_015428454.1	XP_001237272.3
OG0001218	XP_015432038.1	XP_311542.4
OG0001219	XP_015432683.1, XP_015432684.1	XP_321594.5
OG0001220	XP_015432670.1	XP_317914.3, XP_320417.3
OG0001222	XP_015437978.1	XP_321456.5, XP_003435893.1
OG0001223	XP_015432643.1	XP_311768.3
OG0001224	XP_015432729.1	XP_315115.4
OG0001225	XP_015437481.1	XP_003437152.1, XP_309141.2, XP_001688166.1
OG0001226	XP_015433780.1, XP_015433779.1	XP_557147.3
OG0001228	XP_015437959.1, XP_015437956.1, XP_015437957.1, XP_015437958.1	XP_308185.4
OG0001229	XP_015429715.1, XP_015429716.1	XP_321154.5, XP_561425.4
OG0001230	XP_015439809.1, XP_015439808.1	XP_306740.3, XP_555129.1
OG0001231	XP_015428621.1	XP_316842.5
OG0001231	XP_015428623.1	XP_319125.4
OG0001232	XP_015437160.1	XP_317470.4
OG0001233	XP_015431474.1	XP_564861.2, XP_309343.4
OG0001234	XP_015437820.1, XP_015437818.1	XP_318427.5
OG0001236	XP_015433344.1, XP_015433343.1	XP_308646.4
OG0001237	XP_015438822.1	XP_316118.4, XP_001688780.1, XP_001688779.1
OG0001238	XP_015433532.1	XP_311357.4
OG0001239	XP_015429453.1, XP_015429452.1	XP_307938.5
OG0001240	XP_015438883.1, XP_015438882.1	XP_318582.3
OG0001241	XP_015436535.1	XP_320914.4
OG0001242	XP_015438224.1, XP_015438225.1, XP_015438222.1	XP_308221.4
OG0001244	XP_015437313.1	XP_001689367.1
OG0001245	XP_015430823.1	XP_321648.3
OG0001246	XP_015431442.1	XP_310077.4
OG0001247	XP_015438506.1	XP_321174.5
OG0001248	XP_015431131.1	XP_310021.4
OG0001249	XP_015429969.1	XP_320124.6, XP_312729.4
OG0001250	XP_015430420.1	XP_003436645.1, XP_308104.5
OG0001251	XP_015439312.1, XP_015439687.1	XP_310489.5, XP_001688288.2
OG0001252	XP_015439447.1	XP_310427.5
OG0001253	XP_015436543.1	XP_308343.4
OG0001254	XP_015433626.1	XP_320968.4
OG0001255	XP_015437600.1	XP_564170.3
OG0001256	XP_015437215.1, XP_015437216.1	XP_560153.3, XP_003437143.1
OG0001257	XP_015428710.1	XP_562833.3, XP_003436381.1, XP_562831.2, XP_003436380.1
OG0001258	XP_015430648.1	XP_310177.3
OG0001259	XP_015438759.1	XP_311427.4
OG0001260	XP_015434802.1	XP_308216.2
OG0001261	XP_015436130.1	XP_320145.3
OG0001262	XP_015438742.1	XP_312902.5, XP_001237504.2
OG0001263	XP_015436360.1	XP_318757.4
OG0001264	XP_015436315.1	XP_317955.4
OG0001265	XP_015437878.1	XP_559898.3
OG0001267	XP_015437512.1	XP_314507.4
OG0001267	XP_015437502.1	XP_317303.4
OG0001268	XP_015430584.1, XP_015429366.1	XP_310216.4, XP_310215.4
OG0001269	XP_015430000.1	XP_309316.4
OG0001270	XP_015428931.1, XP_015428930.1, XP_015428932.1	XP_307773.4
OG0001271	XP_015434064.1	XP_312449.4
OG0001272	XP_015429233.1	XP_316157.2
OG0001273	XP_015440200.1, XP_015440199.1	XP_310979.5
OG0001274	XP_015439823.1	XP_312084.5
OG0001277	XP_015437104.1	XP_552532.3
OG0001278	XP_015439344.1	XP_321063.5
OG0001279	XP_015431712.1	XP_311100.5
OG0001280	XP_015435160.1	XP_319604.4
OG0001281	XP_015436211.1	XP_001237136.2, XP_003435739.1
OG0001282	XP_015428909.1, XP_015428908.1	XP_001688070.1
OG0001283	XP_015429429.1, XP_015429428.1	XP_313998.3
OG0001284	XP_015435944.1, XP_015435945.1	XP_001689151.1, XP_001689162.1
OG0001286	XP_015431910.1	XP_318853.2
OG0001287	XP_015433020.1, XP_015433021.1	XP_551001.4
OG0001288	XP_015436739.1	XP_310977.5
OG0001289	XP_015439418.1	XP_003437137.1, XP_309110.3
OG0001290	XP_015433178.1	XP_311436.4
OG0001291	XP_015438650.1	XP_313145.5
OG0001292	XP_015439215.1	XP_308278.3
OG0001293	XP_015438430.1	XP_311898.4
OG0001294	XP_015437976.1	XP_321341.3
OG0001295	XP_015436164.1	XP_314005.4, XP_001688503.1, XP_001688504.1
OG0001298	XP_015436157.1	XP_308149.4
OG0001300	XP_015432681.1, XP_015432680.1	XP_314929.3
OG0001301	XP_015437879.1	XP_310852.4
OG0001302	XP_015432865.1	XP_310129.4
OG0001303	XP_015429458.1	XP_320455.4
OG0001304	XP_015432495.1	XP_001237568.1
OG0001305	XP_015434388.1	XP_308312.4, XP_001687892.1, XP_308314.4
OG0001306	XP_015438568.1, XP_015438567.1	XP_318367.5, XP_003436659.1, XP_003436658.1
OG0001307	XP_015439283.1	XP_001237138.3
OG0001308	XP_015434718.1	XP_565909.3
OG0001310	XP_015440120.1	XP_310388.3
OG0001312	XP_015428775.1, XP_015428777.1, XP_015428776.1	XP_317732.2
OG0001314	XP_015434639.1	XP_316418.4
OG0001315	XP_015439125.1	XP_001688741.1, XP_315896.4
OG0001316	XP_015432954.1	XP_308707.4
OG0001317	XP_015431735.1	XP_316638.4
OG0001318	XP_015436273.1	XP_319761.3
OG0001320	XP_015430263.1	XP_320705.4
OG0001322	XP_015439957.1	XP_313611.5, XP_003436787.1
OG0001328	XP_015438483.1	XP_321026.4
OG0001329	XP_015434492.1, XP_015434493.1	XP_308396.4
OG0001330	XP_015436922.1	XP_320278.2
OG0001331	XP_015430431.1	XP_310307.5, XP_003436600.1
OG0001332	XP_015428837.1, XP_015428839.1, XP_015428838.1	XP_308202.3
OG0001333	XP_015436045.1	XP_312171.3
OG0001334	XP_015434048.1	XP_555006.1, XP_001238801.1
OG0001335	XP_015438515.1, XP_015438516.1	XP_316939.3
OG0001336	XP_015437053.1	XP_317297.3
OG0001336	XP_015437052.1	XP_310039.4
OG0001337	XP_015436696.1	XP_313722.3
OG0001338	XP_015437333.1, XP_015437330.1, XP_015437332.1	XP_316877.5
OG0001339	XP_015435924.1	XP_310597.2
OG0001340	XP_015429725.1	XP_551371.1, XP_003435845.1, XP_003435844.1
OG0001341	XP_015438393.1	XP_320076.4
OG0001342	XP_015431438.1	XP_320130.3
OG0001343	XP_015439074.1, XP_015434192.1	XP_308170.4
OG0001344	XP_015436231.1	XP_314163.4
OG0001345	XP_015440141.1	XP_315997.4
OG0001346	XP_015433969.1	XP_322022.5
OG0001347	XP_015439292.1	XP_001687935.1, XP_001687938.1
OG0001348	XP_015430417.1	XP_321887.4
OG0001349	XP_015434793.1	XP_003436725.1, XP_003436724.1, XP_003436723.1
OG0001350	XP_015440292.1	XP_001230796.3
OG0001351	XP_015437973.1	XP_321338.3
OG0001352	XP_015434609.1	XP_003436441.1, XP_553315.4
OG0001353	XP_015433855.1	XP_001238315.2
OG0001354	XP_015439962.1	XP_315356.3
OG0001355	XP_015434784.1	XP_313397.5
OG0001356	XP_015432604.1	XP_315694.1
OG0001357	XP_015438207.1	XP_557821.3
OG0001359	XP_015430299.1	XP_308864.3, XP_003437100.1, XP_003437099.1, XP_311336.3
OG0001361	XP_015432652.1	XP_003436721.1
OG0001362	XP_015439867.1	XP_310355.6
OG0001363	XP_015434313.1, XP_015430014.1	XP_003437112.1, XP_316789.3
OG0001364	XP_015430718.1	XP_310270.2
OG0001365	XP_015437725.1	XP_317619.4
OG0001366	XP_015433254.1	XP_308172.4
OG0001367	XP_015432524.1	XP_318458.3, XP_314722.4, XP_314725.4, XP_314724.4
OG0001368	XP_015431180.1	XP_312656.5
OG0001369	XP_015434405.1	XP_308535.4
OG0001370	XP_015435813.1	XP_319250.4
OG0001371	XP_015437147.1	XP_316138.4
OG0001372	XP_015433361.1, XP_015433276.1	XP_316026.3
OG0001373	XP_015436632.1	XP_003437187.1, XP_318273.4
OG0001374	XP_015434147.1	XP_314564.3
OG0001375	XP_015435213.1, XP_015435214.1	XP_316578.4, XP_001237835.2, XP_316574.4
OG0001376	XP_015431149.1	XP_003437121.1
OG0001377	XP_015436659.1, XP_015436660.1, XP_015436658.1	XP_312215.3
OG0001378	XP_015429949.1	XP_320419.3
OG0001379	XP_015436055.1	XP_319268.2
OG0001380	XP_015429665.1	XP_307876.4
OG0001381	XP_015430401.1	XP_316621.3, XP_001688925.1
OG0001382	XP_015437912.1	XP_319318.3
OG0001383	XP_015433838.1, XP_015433837.1	XP_316646.4
OG0001384	XP_015436514.1	XP_320637.3
OG0001385	XP_015439943.1	XP_314364.3
OG0001386	XP_015433248.1	XP_314061.4
OG0001387	XP_015440060.1	XP_319589.4
OG0001388	XP_015437021.1	XP_321258.5, XP_003435949.1
OG0001389	XP_015431036.1	XP_309533.4, XP_001688850.1, XP_316369.3
OG0001390	XP_015432331.1	XP_319294.4
OG0001391	XP_015431342.1	XP_316352.3
OG0001393	XP_015429416.1	XP_316059.4
OG0001394	XP_015429256.1	XP_311608.4
OG0001395	XP_015432409.1	XP_308628.5
OG0001396	XP_015435269.1	XP_319240.5
OG0001397	XP_015431048.1	XP_313548.1, XP_003436890.1
OG0001398	XP_015429350.1	XP_310956.5, XP_003436931.1, XP_003436932.1
OG0001399	XP_015435265.1	XP_001230873.3, XP_313089.4
OG0001400	XP_015437499.1, XP_015437506.1	XP_317549.3, XP_317551.4, XP_317550.3
OG0001401	XP_015433181.1	XP_315885.2
OG0001402	XP_015437667.1	XP_316681.4
OG0001403	XP_015436374.1	XP_003436814.1, XP_313732.5
OG0001404	XP_015437404.1	XP_317751.3
OG0001405	XP_015431935.1	XP_321345.3, XP_321346.4
OG0001406	XP_015431719.1	XP_313862.4
OG0001407	XP_015438269.1, XP_015438268.1, XP_015438266.1	XP_320518.4
OG0001408	XP_015439582.1	XP_003437018.1, XP_565822.3
OG0001409	XP_015432641.1	XP_001688370.2
OG0001410	XP_015435731.1	XP_314486.1
OG0001413	XP_015435120.1	XP_311009.5
OG0001414	XP_015429749.1	XP_317350.4
OG0001415	XP_015436505.1	XP_001688819.1, XP_316253.4
OG0001416	XP_015429431.1, XP_015429419.1	XP_317647.4, XP_555667.3
OG0001417	XP_015436553.1	XP_308151.4
OG0001418	XP_015434209.1, XP_015433093.1	XP_314941.3
OG0001419	XP_015429751.1	XP_001688271.1, XP_310221.4
OG0001420	XP_015435045.1	XP_321838.4, XP_001688621.2
OG0001421	XP_015431980.1, XP_015431978.1	XP_551368.4
OG0001422	XP_015429923.1	XP_315120.4, XP_307270.4, XP_307269.4, XP_315119.4
OG0001423	XP_015432837.1	XP_001687887.1
OG0001424	XP_015438763.1	XP_307921.4
OG0001425	XP_015432966.1	XP_565883.4
OG0001426	XP_015428633.1	XP_319732.4
OG0001427	XP_015435649.1	XP_320403.3
OG0001428	XP_015440167.1	XP_314678.2
OG0001429	XP_015436203.1	XP_317285.4
OG0001430	XP_015439452.1	XP_320982.5
OG0001432	XP_015432656.1	XP_320633.4
OG0001434	XP_015428560.1	XP_307894.5, XP_003436082.1
OG0001436	XP_015438908.1	XP_316604.4, XP_001688913.1, XP_001688912.1
OG0001437	XP_015434663.1	XP_319485.2
OG0001438	XP_015428846.1	XP_311976.5, XP_003436313.1
OG0001439	XP_015434986.1, XP_015434978.1, XP_015434953.1, XP_015434961.1, XP_015434969.1	XP_001688176.1
OG0001440	XP_015434309.1	XP_320189.4
OG0001441	XP_015430893.1	XP_311372.4
OG0001442	XP_015437034.1	XP_307936.4
OG0001443	XP_015434954.1, XP_015432330.1	XP_321956.5
OG0001444	XP_015439769.1, XP_015440091.1	XP_321723.5
OG0001445	XP_015440249.1, XP_015440248.1	XP_312030.5
OG0001446	XP_015437635.1	XP_318394.5, XP_003436668.1, XP_003436666.1, XP_003436667.1
OG0001453	XP_015437629.1	XP_310188.3
OG0001455	XP_015433503.1	XP_314502.4, XP_314504.3
OG0001456	XP_015432188.1	XP_320465.2
OG0001457	XP_015431177.1	XP_311700.3
OG0001458	XP_015434044.1	XP_320742.3
OG0001459	XP_015436986.1	XP_308453.3
OG0001460	XP_015431866.1	XP_313156.2
OG0001461	XP_015439639.1	XP_321733.4
OG0001462	XP_015431158.1	XP_003436675.1, XP_318432.4
OG0001463	XP_015429965.1	XP_309942.4
OG0001464	XP_015437158.1	XP_318672.4, XP_321135.5
OG0001465	XP_015432347.1	XP_311607.2
OG0001466	XP_015431946.1	XP_312403.4
OG0001467	XP_015434502.1	XP_554016.3
OG0001468	XP_015437861.1	XP_317127.3
OG0001469	XP_015440543.1	XP_311746.4
OG0001470	XP_015434648.1	XP_001230998.1, XP_001230999.1, XP_316361.2
OG0001471	XP_015435921.1	XP_314721.3
OG0001472	XP_015432615.1	XP_319592.3, XP_316821.4
OG0001473	XP_015434009.1	XP_557363.3
OG0001474	XP_015428929.1	XP_312327.5
OG0001477	XP_015431434.1, XP_015431435.1, XP_015431436.1	XP_557954.2
OG0001478	XP_015438251.1, XP_015438252.1	XP_311138.3
OG0001479	XP_015437416.1	XP_315576.4
OG0001480	XP_015431709.1	XP_551238.2
OG0001481	XP_015439635.1	XP_559127.3
OG0001482	XP_015430392.1	XP_003436902.1
OG0001483	XP_015439415.1	XP_001237195.3
OG0001484	XP_015434069.1	XP_313559.5, XP_003436773.1, XP_551109.3
OG0001485	XP_015438628.1	XP_557938.3
