Orthogroup	Dufourea_novaeangliae	Vespa_mandarinia
OG0001711	XP_015436935.1	XP_035735878.1, XP_035735875.1, XP_035735876.1, XP_035735879.1, XP_035735874.1, XP_035735877.1
OG0001712	XP_015437609.1	XP_035717949.1, XP_035717946.1
OG0001713	XP_015439138.1	XP_035727580.1
OG0001714	XP_015435175.1, XP_015435172.1	XP_035733669.1
OG0001715	XP_015432563.1	XP_035730023.1
OG0001716	XP_015432047.1	XP_035739670.1, XP_035739663.1
OG0001717	XP_015431723.1	XP_035725525.1
OG0001718	XP_015436538.1	XP_035740550.1
OG0001719	XP_015432932.1	XP_035729786.1
OG0001720	XP_015429615.1	XP_035730232.1, XP_035730231.1
OG0001721	XP_015437587.1	XP_035722174.1
OG0001722	XP_015440203.1	XP_035717959.1
OG0001723	XP_015434811.1	XP_035739522.1
OG0001724	XP_015440037.1	XP_035724251.1
OG0001725	XP_015430311.1	XP_035727405.1, XP_035727406.1, XP_035727407.1
OG0001726	XP_015433761.1	XP_035725641.1
OG0001727	XP_015431273.1	XP_035738581.1
OG0001728	XP_015432270.1, XP_015432269.1	XP_035723533.1, XP_035723531.1
OG0001729	XP_015428887.1	XP_035720408.1
OG0001730	XP_015439766.1, XP_015439728.1	XP_035718931.1, XP_035718936.1, XP_035718938.1
OG0001731	XP_015431999.1	XP_035730629.1, XP_035730630.1
OG0001732	XP_015439971.1, XP_015439970.1	XP_035736651.1, XP_035736652.1, XP_035736653.1, XP_035736650.1, XP_035736649.1
OG0001733	XP_015430373.1	XP_035739692.1
OG0001734	XP_015430313.1	XP_035724184.1, XP_035724191.1
OG0001735	XP_015434941.1	XP_035740869.1
OG0001736	XP_015431447.1	XP_035736510.1
OG0001737	XP_015429823.1	XP_035723339.1, XP_035723341.1, XP_035723340.1
OG0001738	XP_015431867.1	XP_035728779.1
OG0001739	XP_015438547.1	XP_035742975.1
OG0001740	XP_015428911.1	XP_035723606.1, XP_035723601.1
OG0001741	XP_015431831.1	XP_035728835.1, XP_035728834.1
OG0001742	XP_015430129.1	XP_035727937.1, XP_035727936.1
OG0001743	XP_015432401.1	XP_035734201.1, XP_035734202.1
OG0001744	XP_015434874.1	XP_035725897.1, XP_035725889.1
OG0001745	XP_015440300.1	XP_035736546.1
OG0001746	XP_015434739.1	XP_035737436.1
OG0001748	XP_015434989.1	XP_035733691.1, XP_035733815.1
OG0001749	XP_015432799.1	XP_035721521.1, XP_035721527.1
OG0001750	XP_015436339.1	XP_035729052.1, XP_035729053.1
OG0001751	XP_015432211.1	XP_035736886.1, XP_035736887.1, XP_035736884.1, XP_035736882.1, XP_035736885.1, XP_035736888.1
OG0001752	XP_015435309.1	XP_035743789.1
OG0001753	XP_015438523.1	XP_035729016.1, XP_035729014.1, XP_035729015.1, XP_035729017.1
OG0001754	XP_015435270.1	XP_035736905.1
OG0001755	XP_015432309.1	XP_035736336.1
OG0001756	XP_015429979.1	XP_035724490.1
OG0001758	XP_015433380.1	XP_035724233.1
OG0001759	XP_015429172.1	XP_035726260.1, XP_035726259.1
OG0001760	XP_015440407.1	XP_035719167.1, XP_035719165.1, XP_035719166.1, XP_035719168.1
OG0001761	XP_015436736.1	XP_035718203.1, XP_035718202.1, XP_035718201.1, XP_035718204.1, XP_035718200.1
OG0001762	XP_015431370.1	XP_035729964.1, XP_035729965.1, XP_035729966.1
OG0001763	XP_015437324.1, XP_015437323.1, XP_015437322.1	XP_035730909.1, XP_035730910.1
OG0001764	XP_015439710.1	XP_035734372.1, XP_035734151.1
OG0001765	XP_015434686.1, XP_015434687.1	XP_035726400.1
OG0001766	XP_015435671.1, XP_015435673.1	XP_035736684.1
OG0001767	XP_015439782.1	XP_035739192.1
OG0001768	XP_015438481.1	XP_035739764.1
OG0001769	XP_015429680.1	XP_035725245.1
OG0001772	XP_015438163.1	XP_035728672.1
OG0001773	XP_015428430.1, XP_015428418.1	XP_035723714.1
OG0001774	XP_015436743.1, XP_015436744.1	XP_035734709.1
OG0001775	XP_015430270.1, XP_015430269.1	XP_035722727.1
OG0001776	XP_015434581.1	XP_035727441.1
OG0001777	XP_015437651.1	XP_035743010.1, XP_035723112.1
OG0001778	XP_015439889.1	XP_035719209.1, XP_035719207.1, XP_035719208.1
OG0001779	XP_015438578.1, XP_015438577.1	XP_035723057.1, XP_035723059.1, XP_035723058.1
OG0001780	XP_015439263.1	XP_035720164.1
OG0001781	XP_015436361.1	XP_035739689.1
OG0001782	XP_015429980.1	XP_035720277.1
OG0001783	XP_015429903.1	XP_035735275.1
OG0001784	XP_015428693.1	XP_035742842.1
OG0001785	XP_015438089.1	XP_035727090.1
OG0001786	XP_015430050.1, XP_015430059.1	XP_035739679.1
OG0001787	XP_015439588.1	XP_035737845.1, XP_035737844.1, XP_035737847.1, XP_035737846.1, XP_035737848.1
OG0001788	XP_015432875.1	XP_035720898.1
OG0001789	XP_015439821.1	XP_035734071.1, XP_035734072.1
OG0001790	XP_015433136.1	XP_035729403.1, XP_035729395.1
OG0001791	XP_015429175.1, XP_015429176.1	XP_035718692.1, XP_035718691.1
OG0001792	XP_015434645.1	XP_035723572.1, XP_035723571.1
OG0001793	XP_015436780.1	XP_035738047.1
OG0001794	XP_015428968.1	XP_035741806.1, XP_035741807.1
OG0001795	XP_015439788.1	XP_035720860.1
OG0001796	XP_015432675.1	XP_035736721.1
OG0001797	XP_015433387.1	XP_035738575.1
OG0001799	XP_015430852.1	XP_035732908.1
OG0001800	XP_015430278.1	XP_035724318.1
OG0001801	XP_015437812.1	XP_035736900.1
OG0001802	XP_015433996.1	XP_035733457.1, XP_035733455.1, XP_035733456.1
OG0001803	XP_015430776.1	XP_035741393.1
OG0001804	XP_015440056.1	XP_035742224.1
OG0001805	XP_015434025.1	XP_035735349.1
OG0001806	XP_015434909.1	XP_035735734.1
OG0001807	XP_015429156.1	XP_035734427.1, XP_035734428.1, XP_035734426.1, XP_035734429.1, XP_035734430.1, XP_035734425.1
OG0001808	XP_015435021.1	XP_035722381.1
OG0001810	XP_015429544.1	XP_035730273.1
OG0001811	XP_015433639.1	XP_035742695.1, XP_035742697.1, XP_035742699.1, XP_035742698.1
OG0001812	XP_015435802.1, XP_015435803.1, XP_015435804.1	XP_035730716.1, XP_035730717.1
OG0001813	XP_015430989.1	XP_035721231.1
OG0001814	XP_015429721.1	XP_035737109.1
OG0001815	XP_015438604.1	XP_035727864.1
OG0001816	XP_015436134.1	XP_035724657.1
OG0001817	XP_015438622.1	XP_035731560.1
OG0001818	XP_015433781.1	XP_035732407.1
OG0001819	XP_015430621.1	XP_035731373.1
OG0001820	XP_015431087.1	XP_035733253.1
OG0001821	XP_015430084.1	XP_035737059.1, XP_035737060.1
OG0001822	XP_015439384.1	XP_035718893.1
OG0001823	XP_015434884.1	XP_035727906.1
OG0001824	XP_015437276.1	XP_035720255.1, XP_035720254.1
OG0001825	XP_015434949.1	XP_035741953.1, XP_035741952.1, XP_035741951.1
OG0001826	XP_015429915.1	XP_035722834.1
OG0001827	XP_015439870.1	XP_035723798.1, XP_035723796.1
OG0001828	XP_015429898.1	XP_035738445.1
OG0001829	XP_015436324.1	XP_035731878.1, XP_035731877.1
OG0001830	XP_015433385.1	XP_035724192.1
OG0001831	XP_015439064.1	XP_035743790.1
OG0001832	XP_015433224.1	XP_035740718.1
OG0001833	XP_015440389.1	XP_035720137.1
OG0001834	XP_015440453.1	XP_035739846.1
OG0001835	XP_015435898.1	XP_035726862.1
OG0001836	XP_015434061.1	XP_035718737.1, XP_035718713.1
OG0001837	XP_015437382.1	XP_035743754.1
OG0001838	XP_015432627.1	XP_035718209.1
OG0001839	XP_015428796.1	XP_035739361.1
OG0001840	XP_015433376.1	XP_035724224.1, XP_035724225.1, XP_035724219.1, XP_035724223.1, XP_035724221.1, XP_035724220.1
OG0001841	XP_015440226.1	XP_035730129.1, XP_035730125.1, XP_035730124.1, XP_035730130.1, XP_035730126.1, XP_035730127.1
OG0001842	XP_015431899.1	XP_035728617.1
OG0001843	XP_015436196.1	XP_035729710.1
OG0001844	XP_015434159.1	XP_035741777.1
OG0001845	XP_015430548.1, XP_015430547.1	XP_035737471.1
OG0001846	XP_015439994.1	XP_035732652.1, XP_035732653.1
OG0001847	XP_015438674.1, XP_015438673.1	XP_035735462.1
OG0001848	XP_015438236.1	XP_035743093.1, XP_035743092.1
OG0001849	XP_015435117.1, XP_015435116.1	XP_035725066.1
OG0001851	XP_015432666.1	XP_035731465.1, XP_035731466.1
OG0001852	XP_015437348.1	XP_035727695.1
OG0001853	XP_015434447.1	XP_035734442.1
OG0001854	XP_015432691.1	XP_035731814.1
OG0001855	XP_015437570.1	XP_035723472.1
OG0001856	XP_015439519.1	XP_035734477.1
OG0001857	XP_015436238.1	XP_035717416.1
OG0001858	XP_015432338.1	XP_035736318.1, XP_035736320.1, XP_035736317.1
OG0001859	XP_015433623.1	XP_035743154.1
OG0001860	XP_015435415.1	XP_035738656.1
OG0001861	XP_015433347.1	XP_035728169.1
OG0001862	XP_015437814.1	XP_035729587.1
OG0001863	XP_015437511.1	XP_035723484.1
OG0001864	XP_015434760.1	XP_035742416.1, XP_035742413.1, XP_035742411.1, XP_035742415.1, XP_035742392.1, XP_035742400.1, XP_035742414.1, XP_035742409.1
OG0001865	XP_015429962.1	XP_035731925.1
OG0001866	XP_015434128.1	XP_035735805.1
OG0001867	XP_015433252.1	XP_035741376.1, XP_035741377.1, XP_035741378.1, XP_035741374.1, XP_035741375.1
OG0001868	XP_015440460.1, XP_015440462.1	XP_035729430.1
OG0001869	XP_015432523.1	XP_035728194.1
OG0001870	XP_015436774.1	XP_035724411.1, XP_035724410.1
OG0001871	XP_015432021.1	XP_035724909.1
OG0001872	XP_015428698.1	XP_035737536.1
OG0001873	XP_015429243.1	XP_035734797.1, XP_035734798.1
OG0001874	XP_015431168.1	XP_035742159.1
OG0001875	XP_015434901.1	XP_035728046.1
OG0001876	XP_015431834.1	XP_035726498.1
OG0001877	XP_015434850.1	XP_035735144.1, XP_035735142.1
OG0001878	XP_015432672.1	XP_035719276.1, XP_035719280.1
OG0001879	XP_015432569.1	XP_035719312.1, XP_035719311.1, XP_035719310.1
OG0001880	XP_015429293.1	XP_035734673.1
OG0001882	XP_015434015.1	XP_035733311.1, XP_035733305.1
OG0001883	XP_015438160.1	XP_035735348.1
OG0001884	XP_015435161.1	XP_035744000.1
OG0001885	XP_015433202.1	XP_035729348.1
OG0001886	XP_015430845.1	XP_035735965.1
OG0001887	XP_015430843.1	XP_035724359.1
OG0001888	XP_015430204.1	XP_035720564.1
OG0001889	XP_015438148.1, XP_015438141.1	XP_035738527.1
OG0001890	XP_015434060.1	XP_035721367.1
OG0001891	XP_015440036.1	XP_035723898.1
OG0001892	XP_015440072.1, XP_015440073.1	XP_035743999.1
OG0001893	XP_015430593.1	XP_035717988.1
OG0001894	XP_015430055.1, XP_015430053.1, XP_015430052.1, XP_015430054.1, XP_015430056.1, XP_015430051.1	XP_035733527.1
OG0001895	XP_015439234.1	XP_035720116.1
OG0001896	XP_015438399.1	XP_035719576.1, XP_035719577.1, XP_035719575.1
OG0001897	XP_015432138.1	XP_035738097.1, XP_035738098.1, XP_035738099.1
OG0001898	XP_015434801.1	XP_035726006.1
OG0001899	XP_015437370.1	XP_035718024.1, XP_035718023.1, XP_035718020.1, XP_035718021.1
OG0001900	XP_015435107.1	XP_035731396.1
OG0001901	XP_015437320.1	XP_035731136.1, XP_035731137.1
OG0001902	XP_015435627.1	XP_035743519.1, XP_035743521.1
OG0001903	XP_015429925.1	XP_035737662.1
OG0001904	XP_015439701.1	XP_035719459.1
OG0001905	XP_015433269.1	XP_035724466.1
OG0001906	XP_015438434.1	XP_035718233.1
OG0001907	XP_015433560.1	XP_035730581.1
OG0001908	XP_015437153.1	XP_035742812.1
OG0001909	XP_015440209.1	XP_035736047.1, XP_035736046.1
OG0001910	XP_015433997.1	XP_035743101.1, XP_035743100.1, XP_035743099.1, XP_035743098.1, XP_035743097.1
OG0001913	XP_015431486.1	XP_035738544.1
OG0001914	XP_015431801.1	XP_035720609.1
OG0001915	XP_015433363.1	XP_035732211.1
OG0001916	XP_015428552.1	XP_035721860.1, XP_035721857.1, XP_035721861.1, XP_035721858.1, XP_035721859.1
OG0001917	XP_015431859.1	XP_035737814.1
OG0001919	XP_015435780.1	XP_035722709.1
OG0001920	XP_015438499.1	XP_035729863.1, XP_035729861.1
OG0001921	XP_015433952.1, XP_015430139.1	XP_035739206.1
OG0001922	XP_015433698.1, XP_015433700.1	XP_035736712.1, XP_035736714.1
OG0001923	XP_015434670.1	XP_035740035.1
OG0001924	XP_015431830.1	XP_035720977.1, XP_035720981.1
OG0001925	XP_015440515.1	XP_035719164.1
OG0001926	XP_015437501.1	XP_035722640.1
OG0001927	XP_015432693.1	XP_035741116.1, XP_035741118.1, XP_035741117.1
OG0001928	XP_015431266.1	XP_035738468.1
OG0001929	XP_015438534.1	XP_035719272.1, XP_035719271.1
OG0001930	XP_015437649.1	XP_035730074.1
OG0001931	XP_015429157.1	XP_035717865.1
OG0001933	XP_015429918.1	XP_035740463.1
OG0001934	XP_015434258.1	XP_035731948.1, XP_035731953.1
OG0001935	XP_015429168.1	XP_035744258.1
OG0001936	XP_015437464.1	XP_035722630.1
OG0001937	XP_015436344.1	XP_035738250.1
OG0001938	XP_015433114.1	XP_035730147.1, XP_035736009.1
OG0001939	XP_015431077.1, XP_015431078.1	XP_035726925.1
OG0001941	XP_015435926.1	XP_035739439.1, XP_035739446.1
OG0001942	XP_015438645.1	XP_035723233.1
OG0001943	XP_015436752.1, XP_015436751.1, XP_015436753.1	XP_035719742.1
OG0001944	XP_015435375.1	XP_035726697.1
OG0001945	XP_015428388.1	XP_035740100.1
OG0001946	XP_015437315.1	XP_035718360.1
OG0001947	XP_015438019.1	XP_035724027.1, XP_035724024.1
OG0001948	XP_015429103.1	XP_035720239.1
OG0001950	XP_015435899.1	XP_035737014.1, XP_035737015.1
OG0001951	XP_015429402.1, XP_015429403.1	XP_035719331.1
OG0001952	XP_015430425.1	XP_035723358.1
OG0001953	XP_015428771.1, XP_015428678.1	XP_035743922.1
OG0001954	XP_015434626.1	XP_035736960.1
OG0001955	XP_015429480.1	XP_035726680.1, XP_035726679.1
OG0001956	XP_015438312.1	XP_035742090.1, XP_035742098.1, XP_035742082.1
OG0001957	XP_015434239.1	XP_035741892.1
OG0001959	XP_015440131.1	XP_035727175.1
OG0001960	XP_015434783.1	XP_035742253.1, XP_035742263.1, XP_035742271.1
OG0001961	XP_015434371.1	XP_035734760.1
OG0001963	XP_015435997.1	XP_035728364.1
OG0001964	XP_015440087.1	XP_035737585.1
OG0001965	XP_015436287.1	XP_035720178.1
OG0001966	XP_015434083.1	XP_035735625.1, XP_035735624.1
OG0001967	XP_015440162.1	XP_035726078.1
OG0001968	XP_015434817.1	XP_035727988.1
OG0001969	XP_015436563.1	XP_035734385.1, XP_035734383.1, XP_035734384.1
OG0001970	XP_015439033.1	XP_035735840.1, XP_035735834.1, XP_035735837.1, XP_035735838.1, XP_035735835.1, XP_035735836.1, XP_035735841.1, XP_035735843.1, XP_035735839.1
OG0001971	XP_015436775.1	XP_035722776.1, XP_035721922.1, XP_035720192.1, XP_035721060.1
OG0001973	XP_015436237.1, XP_015436235.1	XP_035719261.1
OG0001974	XP_015431561.1	XP_035724213.1
OG0001975	XP_015431855.1	XP_035725903.1, XP_035725905.1
OG0001976	XP_015434488.1	XP_035730315.1
OG0001977	XP_015434406.1	XP_035722673.1, XP_035722672.1, XP_035722674.1, XP_035722372.1, XP_035722373.1, XP_035722374.1
OG0001978	XP_015440193.1	XP_035730641.1, XP_035730640.1
OG0001979	XP_015434711.1, XP_015434712.1	XP_035730883.1
OG0001980	XP_015432255.1	XP_035742245.1
OG0001981	XP_015436123.1	XP_035743060.1
OG0001983	XP_015437394.1	XP_035718861.1
OG0001984	XP_015431637.1	XP_035723702.1
OG0001987	XP_015432385.1	XP_035719828.1, XP_035719827.1
OG0001988	XP_015436771.1	XP_035743498.1, XP_035743493.1, XP_035743497.1, XP_035743496.1, XP_035743495.1
OG0001989	XP_015435807.1	XP_035741394.1
OG0001991	XP_015440304.1	XP_035739539.1, XP_035739538.1, XP_035739540.1
OG0001992	XP_015429340.1	XP_035739800.1
OG0001993	XP_015428785.1	XP_035743880.1, XP_035743881.1
OG0001994	XP_015429597.1	XP_035738629.1
OG0001995	XP_015429226.1	XP_035740451.1
OG0001997	XP_015433227.1	XP_035732100.1
OG0001999	XP_015429728.1	XP_035736872.1, XP_035736871.1
OG0002000	XP_015428703.1	XP_035728548.1
OG0002001	XP_015438325.1	XP_035722607.1, XP_035722608.1
OG0002002	XP_015438333.1	XP_035722422.1
OG0002003	XP_015434769.1, XP_015434768.1	XP_035742384.1
OG0002004	XP_015431663.1	XP_035723661.1
OG0002005	XP_015429376.1	XP_035738615.1, XP_035738635.1, XP_035738624.1
OG0002006	XP_015435248.1	XP_035743207.1
OG0002007	XP_015440384.1	XP_035724428.1
OG0002009	XP_015439786.1	XP_035719674.1
OG0002010	XP_015429577.1, XP_015429576.1	XP_035740514.1, XP_035740516.1
OG0002011	XP_015428658.1	XP_035721307.1, XP_035721303.1, XP_035721305.1, XP_035721306.1, XP_035721304.1
OG0002012	XP_015432233.1	XP_035743310.1
OG0002013	XP_015429604.1	XP_035739957.1, XP_035739977.1, XP_035739988.1, XP_035739949.1, XP_035739940.1, XP_035739932.1, XP_035739968.1
OG0002014	XP_015428636.1	XP_035727696.1
OG0002015	XP_015439998.1	XP_035733182.1
OG0002016	XP_015431553.1	XP_035720900.1, XP_035720899.1, XP_035720901.1
OG0002017	XP_015439321.1	XP_035735019.1, XP_035734958.1
OG0002018	XP_015430276.1	XP_035739377.1
OG0002019	XP_015437340.1	XP_035738821.1
OG0002020	XP_015440318.1	XP_035723851.1
OG0002021	XP_015429432.1	XP_035739280.1
OG0002022	XP_015429006.1	XP_035726378.1
OG0002023	XP_015432377.1	XP_035736419.1
OG0002024	XP_015440343.1	XP_035724575.1, XP_035724576.1, XP_035724574.1
OG0002025	XP_015430739.1	XP_035739826.1
OG0002026	XP_015429711.1	XP_035733070.1
OG0002027	XP_015432685.1	XP_035741150.1, XP_035741151.1, XP_035741153.1, XP_035741149.1, XP_035741152.1
OG0002028	XP_015437763.1	XP_035735967.1
OG0002029	XP_015430331.1	XP_035727801.1
OG0002030	XP_015434920.1	XP_035725953.1
OG0002032	XP_015439664.1	XP_035732726.1, XP_035732732.1
OG0002036	XP_015438130.1, XP_015437272.1, XP_015438033.1	XP_035720251.1
OG0002037	XP_015435366.1	XP_035739511.1, XP_035720360.1
OG0002038	XP_015433516.1	XP_035722315.1
OG0002039	XP_015439062.1	XP_035730921.1
OG0002040	XP_015434183.1	XP_035727156.1
OG0002041	XP_015432217.1	XP_035730098.1
OG0002042	XP_015431128.1	XP_035735376.1
OG0002043	XP_015435121.1, XP_015435122.1, XP_015435123.1	XP_035719124.1, XP_035719123.1
OG0002044	XP_015435587.1	XP_035732094.1
OG0002045	XP_015440409.1	XP_035739767.1
OG0002047	XP_015431129.1	XP_035738257.1
OG0002048	XP_015430813.1	XP_035739918.1, XP_035739912.1
OG0002049	XP_015434462.1	XP_035719010.1
OG0002050	XP_015438174.1	XP_035739158.1
OG0002052	XP_015431130.1	XP_035720452.1
OG0002053	XP_015437425.1	XP_035735927.1
OG0002054	XP_015439123.1	XP_035735815.1, XP_035735822.1
OG0002055	XP_015428884.1	XP_035740573.1
OG0002056	XP_015440299.1	XP_035736544.1, XP_035736545.1
OG0002057	XP_015439036.1	XP_035723084.1, XP_035723083.1, XP_035723080.1, XP_035723082.1, XP_035723079.1, XP_035723085.1
OG0002058	XP_015437039.1	XP_035740136.1
OG0002059	XP_015430239.1	XP_035727142.1, XP_035727141.1
OG0002060	XP_015434441.1	XP_035719880.1, XP_035719882.1
OG0002061	XP_015434244.1, XP_015434246.1, XP_015434247.1, XP_015434245.1, XP_015434243.1, XP_015434242.1	XP_035741357.1
OG0002062	XP_015435747.1	XP_035720264.1
OG0002063	XP_015438450.1	XP_035717995.1, XP_035717987.1, XP_035718004.1
OG0002064	XP_015432344.1	XP_035734293.1, XP_035734294.1
OG0002065	XP_015439259.1	XP_035721238.1
OG0002066	XP_015437972.1	XP_035739648.1
OG0002067	XP_015430264.1	XP_035727493.1
OG0002068	XP_015435020.1	XP_035743353.1
OG0002069	XP_015429548.1	XP_035740810.1, XP_035741174.1
OG0002070	XP_015435012.1	XP_035717658.1
OG0002071	XP_015436909.1	XP_035741025.1
OG0002072	XP_015439529.1	XP_035718675.1
OG0002073	XP_015428800.1	XP_035727915.1
OG0002074	XP_015439348.1	XP_035740830.1
OG0002075	XP_015440046.1	XP_035720687.1
OG0002076	XP_015430892.1	XP_035719131.1
OG0002077	XP_015428603.1	XP_035721646.1
OG0002078	XP_015435581.1	XP_035740068.1
OG0002080	XP_015431532.1	XP_035727188.1
OG0002081	XP_015433498.1	XP_035741097.1, XP_035741095.1, XP_035741098.1, XP_035741094.1
OG0002082	XP_015431985.1	XP_035724663.1
OG0002083	XP_015431353.1, XP_015431352.1	XP_035718959.1
OG0002084	XP_015431455.1	XP_035728399.1
OG0002085	XP_015438753.1, XP_015438752.1	XP_035724969.1, XP_035724970.1, XP_035724968.1
OG0002086	XP_015431400.1	XP_035740909.1
OG0002087	XP_015430259.1	XP_035719326.1
OG0002088	XP_015438486.1	XP_035719764.1, XP_035719765.1
OG0002089	XP_015430227.1	XP_035720333.1, XP_035720336.1
OG0002090	XP_015437329.1	XP_035736793.1, XP_035736794.1, XP_035736796.1, XP_035736795.1
OG0002091	XP_015434463.1	XP_035719020.1
OG0002092	XP_015430289.1	XP_035724954.1
OG0002095	XP_015435701.1, XP_015435700.1	XP_035727860.1
OG0002096	XP_015436285.1	XP_035728116.1
OG0002097	XP_015430144.1, XP_015430143.1	XP_035734565.1
OG0002098	XP_015433809.1, XP_015433808.1, XP_015433806.1, XP_015433807.1	XP_035728920.1
OG0002100	XP_015438357.1	XP_035718610.1, XP_035718617.1
OG0002101	XP_015440368.1	XP_035733659.1, XP_035733662.1
OG0002102	XP_015440104.1	XP_035732555.1
OG0002103	XP_015434508.1	XP_035733861.1
OG0002104	XP_015433272.1	XP_035724351.1
OG0002105	XP_015437195.1	XP_035731174.1
OG0002106	XP_015429311.1	XP_035721552.1, XP_035721556.1
OG0002107	XP_015435920.1	XP_035733340.1, XP_035733341.1
OG0002108	XP_015434928.1	XP_035724044.1
OG0002109	XP_015432154.1	XP_035718566.1, XP_035718394.1, XP_035718474.1, XP_035718656.1
OG0002110	XP_015435235.1	XP_035729328.1
OG0002111	XP_015428944.1	XP_035732279.1, XP_035732278.1, XP_035732275.1, XP_035732277.1, XP_035732276.1, XP_035732274.1
OG0002113	XP_015438364.1	XP_035741707.1
OG0002114	XP_015439958.1	XP_035730818.1
OG0002115	XP_015438017.1	XP_035729727.1, XP_035729726.1
OG0002116	XP_015433092.1	XP_035733768.1
OG0002117	XP_015430662.1	XP_035734240.1
OG0002118	XP_015436352.1	XP_035728940.1, XP_035728941.1
OG0002119	XP_015440386.1	XP_035726268.1
OG0002120	XP_015435528.1	XP_035737273.1
OG0002121	XP_015439802.1	XP_035732878.1, XP_035732876.1
OG0002122	XP_015436052.1	XP_035722267.1
OG0002123	XP_015432957.1	XP_035736862.1, XP_035736863.1
OG0002124	XP_015430383.1	XP_035730938.1, XP_035730937.1, XP_035730933.1, XP_035730934.1, XP_035730939.1, XP_035730935.1
OG0002125	XP_015430544.1	XP_035733410.1
OG0002126	XP_015430531.1	XP_035735563.1
OG0002127	XP_015429162.1	XP_035726427.1, XP_035726428.1
OG0002128	XP_015436515.1	XP_035731211.1
OG0002129	XP_015431368.1	XP_035737664.1
OG0002130	XP_015430496.1	XP_035734204.1, XP_035734203.1
OG0002131	XP_015430393.1	XP_035719517.1
OG0002132	XP_015434077.1	XP_035741835.1, XP_035741840.1
OG0002134	XP_015432070.1	XP_035719970.1
OG0002136	XP_015440494.1	XP_035735644.1
OG0002137	XP_015428478.1	XP_035731787.1
OG0002138	XP_015433157.1	XP_035725182.1
OG0002139	XP_015431257.1	XP_035728880.1
OG0002140	XP_015431932.1	XP_035729171.1
OG0002141	XP_015439454.1	XP_035720637.1, XP_035720632.1
OG0002142	XP_015436683.1	XP_035734948.1
OG0002143	XP_015431907.1	XP_035729203.1, XP_035729213.1
OG0002144	XP_015438907.1	XP_035718592.1
OG0002145	XP_015429736.1	XP_035719132.1
OG0002146	XP_015438616.1	XP_035731749.1
OG0002147	XP_015429077.1	XP_035718680.1
OG0002148	XP_015435901.1	XP_035722533.1
OG0002149	XP_015439222.1	XP_035734711.1, XP_035734712.1
OG0002150	XP_015437347.1	XP_035731133.1
OG0002151	XP_015438717.1	XP_035735228.1
OG0002152	XP_015438969.1	XP_035727108.1
OG0002153	XP_015440458.1	XP_035740030.1, XP_035740028.1
OG0002154	XP_015439562.1	XP_035717597.1
OG0002155	XP_015430818.1	XP_035739887.1
OG0002156	XP_015438728.1, XP_015440411.1	XP_035717280.1, XP_035717274.1
OG0002157	XP_015429945.1	XP_035723199.1
OG0002158	XP_015434838.1	XP_035733783.1
OG0002159	XP_015432224.1	XP_035719711.1
OG0002160	XP_015437542.1	XP_035731772.1
OG0002161	XP_015440323.1	XP_035724581.1
OG0002163	XP_015429344.1	XP_035736595.1, XP_035736594.1, XP_035736597.1
OG0002164	XP_015436471.1	XP_035729378.1, XP_035729373.1
OG0002165	XP_015438293.1, XP_015438294.1	XP_035725968.1
OG0002166	XP_015431845.1, XP_015431844.1	XP_035742335.1, XP_035742332.1
OG0002167	XP_015433899.1	XP_035743036.1
OG0002168	XP_015433995.1	XP_035733569.1
OG0002169	XP_015429566.1	XP_035730230.1
OG0002170	XP_015439563.1	XP_035717789.1
OG0002171	XP_015428893.1	XP_035736697.1
OG0002172	XP_015433975.1	XP_035726761.1
OG0002173	XP_015438332.1	XP_035722407.1
OG0002174	XP_015438339.1	XP_035726475.1
OG0002175	XP_015428547.1	XP_035744064.1, XP_035744049.1
OG0002177	XP_015429619.1	XP_035719135.1, XP_035719136.1, XP_035719137.1
OG0002178	XP_015438887.1	XP_035718171.1
OG0002179	XP_015430430.1	XP_035735938.1
OG0002180	XP_015435352.1	XP_035739753.1, XP_035739752.1
OG0002181	XP_015438789.1	XP_035738292.1, XP_035738302.1
OG0002182	XP_015432466.1	XP_035737539.1
OG0002183	XP_015433278.1, XP_015433279.1	XP_035724470.1, XP_035724478.1
OG0002184	XP_015440252.1	XP_035734166.1
OG0002185	XP_015435756.1	XP_035727623.1
OG0002186	XP_015429888.1	XP_035719396.1
OG0002187	XP_015430704.1	XP_035721914.1, XP_035721915.1
OG0002188	XP_015437143.1	XP_035726399.1
OG0002189	XP_015433388.1	XP_035733181.1, XP_035733180.1
OG0002190	XP_015430414.1	XP_035722248.1, XP_035722249.1, XP_035722250.1
OG0002191	XP_015436770.1, XP_015436769.1	XP_035738117.1, XP_035738115.1
OG0002192	XP_015440066.1	XP_035730132.1, XP_035730131.1
OG0002193	XP_015434176.1	XP_035721519.1
OG0002194	XP_015434431.1	XP_035741186.1
OG0002195	XP_015440333.1	XP_035719364.1, XP_035719362.1
OG0002196	XP_015434208.1	XP_035732389.1
OG0002197	XP_015439774.1	XP_035743995.1
OG0002198	XP_015439162.1	XP_035729653.1
OG0002199	XP_015431954.1	XP_035726488.1, XP_035726489.1
OG0002200	XP_015435948.1	XP_035725818.1
OG0002201	XP_015438946.1	XP_035727118.1
OG0002202	XP_015439760.1, XP_015439759.1	XP_035732865.1
OG0002203	XP_015435271.1	XP_035725983.1
OG0002204	XP_015433290.1	XP_035724217.1
OG0002206	XP_015435206.1	XP_035729404.1
