Orthogroup	Dufourea_novaeangliae	Nasonia_vitripennis
OG0000574	XP_015430520.1	NP_001161315.1
OG0000575	XP_015439510.1	XP_031776742.1
OG0000576	XP_015432168.1	XP_031785618.1
OG0000577	XP_015433055.1	XP_016839846.1, XP_008213412.1, XP_008213411.1, XP_001604395.1, XP_031782783.1
OG0000579	XP_015434496.1	XP_008216440.1
OG0000582	XP_015439735.1	XP_008209076.1
OG0000583	XP_015438944.1	XP_031782165.1
OG0000584	XP_015433985.1	XP_008202616.3
OG0000585	XP_015430694.1	XP_032454372.1, XP_031783577.1
OG0000586	XP_015431489.1	NP_001165802.1, XP_032457413.1
OG0000586	XP_015432562.1	NP_001161244.1, XP_032455886.1
OG0000587	XP_015437432.1	XP_032456134.1, XP_032456136.1, XP_032456135.1, XP_031787326.1, XP_008207425.1, XP_001607780.1
OG0000588	XP_015438642.1	XP_031779318.1
OG0000589	XP_015434455.1	XP_008216757.1
OG0000590	XP_015430535.1	XP_016840242.1
OG0000591	XP_015433846.1	XP_001602564.1
OG0000593	XP_015431261.1	XP_031776811.1, XP_031776812.1
OG0000594	XP_015434546.1	XP_001602668.2
OG0000595	XP_015432442.1	XP_016838365.1
OG0000595	XP_015432492.1	XP_003424589.1
OG0000596	XP_015429106.1	XP_008208801.1, XP_032457314.1
OG0000597	XP_015438217.1	XP_001603541.3
OG0000598	XP_015437496.1	XP_008208882.1
OG0000598	XP_015437505.1	XP_016845721.1
OG0000599	XP_015433061.1, XP_015433063.1, XP_015433067.1	XP_008207253.1, XP_008207256.1
OG0000601	XP_015433201.1	XP_001602713.1
OG0000601	XP_015433130.1	NP_001161266.1
OG0000602	XP_015432677.1	XP_032457807.1
OG0000602	XP_015436076.1	XP_031783600.1
OG0000604	XP_015436738.1, XP_015436758.1, XP_015436757.1	NP_001164327.1
OG0000605	XP_015438556.1	XP_008216752.1
OG0000606	XP_015438085.1, XP_015438084.1, XP_015438086.1	XP_031785551.1
OG0000607	XP_015438996.1, XP_015438997.1	XP_032451718.1, XP_003425566.1, XP_001600173.2, XP_001603967.3, XP_008213036.1, XP_003424586.1, XP_001608081.2, XP_008217070.1, XP_031787832.1, XP_032452310.1, XP_016842057.1
OG0000609	XP_015440194.1	XP_001604458.2
OG0000611	XP_015433176.1, XP_015433175.1	XP_001608139.2
OG0000612	XP_015437004.1	NP_001127803.1, XP_008209313.1
OG0000613	XP_015432916.1	XP_031788241.1
OG0000613	XP_015431452.1	XP_032455248.1
OG0000614	XP_015433748.1	XP_008208864.1
OG0000614	XP_015435590.1	XP_031788271.1
OG0000615	XP_015430027.1, XP_015430036.1	XP_001602694.1
OG0000616	XP_015433964.1	XP_031782122.1, XP_031782114.1, XP_031782124.1
OG0000617	XP_015434994.1	XP_016844846.1
OG0000619	XP_015440418.1	XP_031783098.1, XP_031783099.1, XP_031783097.1
OG0000620	XP_015431510.1, XP_015431511.1, XP_015431509.1	XP_003426798.1, XP_001599509.1, XP_032452706.1
OG0000621	XP_015437746.1, XP_015437744.1, XP_015437743.1, XP_015437742.1, XP_015437745.1	XP_001603507.1
OG0000622	XP_015433212.1, XP_015433214.1, XP_015433213.1	XP_003427045.1, XP_008209064.1
OG0000623	XP_015432743.1, XP_015432744.1, XP_015432742.1	XP_031783416.1, XP_032454282.1
OG0000624	XP_015432546.1	XP_016844670.1, XP_016844669.1, XP_008214059.1, XP_032452558.1
OG0000625	XP_015430996.1	XP_032451626.1, XP_016836805.2, XP_031783431.1, XP_031783426.1, XP_031783424.1, XP_032451627.1
OG0000626	XP_015432162.1	XP_008202907.1, XP_031777789.1, XP_001601960.1
OG0000627	XP_015435545.1	XP_016844021.1
OG0000628	XP_015437785.1	XP_008206719.2
OG0000628	XP_015437709.1	XP_031784779.1
OG0000629	XP_015438509.1	XP_008207456.1
OG0000631	XP_015439121.1	XP_031776827.1, XP_031776826.1, XP_031776828.1
OG0000632	XP_015432406.1	XP_001603249.2
OG0000633	XP_015439060.1	XP_008209454.1, XP_008209455.1, XP_016845234.1, XP_016845235.1
OG0000634	XP_015434635.1	XP_001606588.1
OG0000634	XP_015434621.1	XP_001606618.1
OG0000635	XP_015429501.1, XP_015431013.1	XP_016840269.1
OG0000636	XP_015438460.1, XP_015438459.1	XP_008207378.1
OG0000637	XP_015437199.1	XP_032457613.1, XP_001602602.2
OG0000638	XP_015436908.1	XP_001605572.3, XP_031780020.1, XP_008217760.1, XP_008217761.1, XP_008217762.1
OG0000639	XP_015429071.1	XP_031778226.1, XP_016836721.1, XP_031778225.1, XP_031778224.1, XP_032457433.1
OG0000640	XP_015437071.1	XP_032456946.1, XP_008210720.1, XP_008210719.1, XP_001600362.1
OG0000641	XP_015430154.1	XP_001602388.1, XP_003424839.1
OG0000642	XP_015432222.1	XP_008204039.3
OG0000643	XP_015437212.1	XP_001600392.1
OG0000643	XP_015437210.1	XP_008208940.2
OG0000644	XP_015429150.1	XP_032456508.1, XP_031787535.1
OG0000645	XP_015431074.1	XP_016843783.1
OG0000645	XP_015431075.1	XP_032458060.1
OG0000646	XP_015434410.1	XP_016836787.1, XP_016836788.1, XP_001604535.1, XP_032456524.1
OG0000647	XP_015438056.1	XP_031778215.1, XP_031778216.1, XP_001603691.2, XP_032452033.1
OG0000648	XP_015437571.1, XP_015437572.1	XP_003423893.1, XP_001603292.1
OG0000649	XP_015431280.1	XP_031779189.1
OG0000650	XP_015434573.1	XP_003425405.1
OG0000651	XP_015432064.1	XP_008217741.1
OG0000651	XP_015429048.1	XP_016840101.1
OG0000653	XP_015440189.1, XP_015440190.1	XP_032457459.1
OG0000654	XP_015433472.1	XP_031780803.1
OG0000654	XP_015435753.1	XP_008205366.1, XP_008210916.1
OG0000655	XP_015433541.1	XP_031782740.1, XP_031782767.1
OG0000656	XP_015429876.1	XP_016843266.1
OG0000657	XP_015433993.1, XP_015433994.1	XP_031778053.1, XP_031778051.1
OG0000658	XP_015437863.1	XP_032457801.1, XP_031777432.1, XP_031786084.1
OG0000659	XP_015439500.1	XP_001600265.2
OG0000660	XP_015435816.1	XP_008217086.1
OG0000661	XP_015432115.1	XP_031778396.1
OG0000662	XP_015440363.1	XP_031780978.1
OG0000663	XP_015428538.1	XP_031787236.1, XP_031787241.1, XP_031787245.1
OG0000664	XP_015436395.1	XP_031785575.1, XP_031785576.1
OG0000665	XP_015439163.1	XP_031788172.1
OG0000666	XP_015436070.1	XP_031776894.1, XP_031777433.1, NP_001234900.1, XP_031777392.2
OG0000666	XP_015436071.1	XP_031784303.1, NP_001166024.1, NP_001166023.1
OG0000668	XP_015428745.1, XP_015428748.1, XP_015428747.1	XP_008218078.1, XP_016842364.1, XP_003425266.2
OG0000669	XP_015430929.1	XP_031777225.1, XP_031777224.1, XP_031777226.1
OG0000670	XP_015440089.1	XP_016840330.1, XP_031785333.1, XP_031785334.1, XP_001600875.2, XP_031784636.1
OG0000671	XP_015431794.1	XP_031783740.1, XP_031783736.1, XP_031783737.1, XP_031783738.1, XP_031783739.1, XP_032453858.1, XP_032453857.1
OG0000672	XP_015429268.1, XP_015429284.1	XP_031780753.1
OG0000673	XP_015433953.1	XP_031787627.1, XP_016844729.1, XP_003424520.1, XP_003424519.1, XP_003424521.1
OG0000675	XP_015438926.1	XP_031777507.1, NP_001164671.1, NP_001164670.2
OG0000676	XP_015429601.1	XP_031778541.1, XP_016838640.1
OG0000677	XP_015433927.1, XP_015433923.1, XP_015433924.1, XP_015433918.1	XP_031782673.1, XP_008203991.1, XP_008204001.1
OG0000680	XP_015433554.1, XP_015433558.1	XP_008206522.1, XP_001607790.1, XP_032454329.1
OG0000681	XP_015433017.1	XP_016845804.1, XP_001600769.1
OG0000683	XP_015436281.1	XP_016842073.1
OG0000684	XP_015432542.1, XP_015432541.1	XP_016842936.2, XP_031785356.1, XP_008214047.1, XP_003427268.1
OG0000685	XP_015431118.1	NP_001165810.1
OG0000685	XP_015435276.1	XP_031784275.1, NP_001161318.1
OG0000686	XP_015429335.1	XP_032457244.1, NP_001161447.1
OG0000687	XP_015436147.1, XP_015436148.1	XP_031780662.1, XP_031780663.1, XP_031780664.1, XP_032453373.1, XP_001606735.1, XP_001606535.1, XP_032453365.1, XP_032453371.1, XP_032453367.1, XP_032453368.1, XP_032453366.1, XP_032453372.1, XP_032453369.1, XP_032453370.1
OG0000688	XP_015434082.1	XP_008213533.1
OG0000689	XP_015440063.1	XP_008207880.3
OG0000689	XP_015440100.1	XP_031779504.1
OG0000690	XP_015430057.1, XP_015430058.1	XP_016844941.2, XP_032456330.1, XP_032456334.1, XP_032456336.1, XP_031776657.1
OG0000691	XP_015437058.1, XP_015437059.1	XP_003427124.1, XP_001604390.2
OG0000692	XP_015431341.1	XP_001606658.1
OG0000693	XP_015429764.1	XP_031785532.1, XP_032454420.1, XP_031785515.1, XP_031785542.1, XP_032454422.1, XP_031785533.1, XP_031785535.1, XP_031785522.1, XP_031785531.1, XP_031785528.1
OG0000694	XP_015440083.1	XP_008214944.1
OG0000696	XP_015434483.1	XP_008216362.1, XP_032452045.1, XP_031777788.1
OG0000697	XP_015429121.1	XP_008214404.2
OG0000698	XP_015439831.1	XP_031779710.1, XP_031779707.1, XP_031779708.1, XP_032452473.1, XP_031779704.1, XP_031779705.1, XP_031779706.1, XP_032452470.1, XP_032452471.1, XP_008212634.2, XP_031779709.1, XP_032452472.1
OG0000699	XP_015439540.1	XP_001605702.1
OG0000700	XP_015432816.1	XP_008210291.1
OG0000700	XP_015432817.1	XP_016840280.1
OG0000701	XP_015434443.1	XP_031783449.1
OG0000704	XP_015434162.1	XP_008204138.1
OG0000704	XP_015438972.1	XP_008206785.1
OG0000705	XP_015432029.1	XP_032457673.1, XP_031781702.1, XP_031781710.1, XP_031781711.1, XP_031781704.1, XP_031781705.1, XP_031781703.1, XP_031781708.1, XP_031781709.1, XP_031781706.1, XP_031781707.1, XP_031781712.1
OG0000706	XP_015437465.1	XP_001606075.2, XP_008211025.1
OG0000707	XP_015436876.1	NP_001155079.1, XP_032457660.1
OG0000708	XP_015434860.1	NP_001155849.1, XP_031787868.1
OG0000709	XP_015430935.1	XP_008212308.1, XP_008212306.1, XP_031789616.1
OG0000710	XP_015436503.1, XP_015431301.1	XP_008217946.1, XP_008212391.1, NP_001164521.1
OG0000711	XP_015431925.1	XP_008202278.1, XP_016842555.1, XP_016842556.1
OG0000712	XP_015432050.1, XP_015432051.1, XP_015432049.1, XP_015432048.1	XP_031783286.1
OG0000713	XP_015434206.1	XP_032458150.1, XP_032458151.1, XP_032458152.1, XP_031777657.1, XP_031777658.1, XP_031777659.1, XP_031777660.1
OG0000714	XP_015428397.1, XP_015428396.1	XP_016840505.1, XP_016840509.1
OG0000715	XP_015430199.1	XP_016838200.1
OG0000716	XP_015429867.1	XP_008216788.1
OG0000717	XP_015432908.1	XP_032454842.1, XP_001601687.1, XP_032454844.1, XP_032454843.1, XP_016840363.1, XP_008211301.1, XP_003427498.1
OG0000718	XP_015439212.1	XP_016841304.1, XP_016841295.1
OG0000719	XP_015432587.1	XP_016837895.1, XP_016837897.1, XP_032452366.1, XP_008217655.1, XP_008217652.1, XP_008217656.1, XP_032452365.1
OG0000720	XP_015432543.1	XP_031779636.1
OG0000720	XP_015430178.1	XP_008209982.1
OG0000721	XP_015431480.1	XP_001606786.2, XP_031779662.1
OG0000722	XP_015430974.1, XP_015430975.1	XP_008215159.1, XP_031785764.1
OG0000722	XP_015430973.1, XP_015430972.1	XP_008215171.1
OG0000723	XP_015430804.1	XP_031780854.1, XP_008204366.1
OG0000724	XP_015436647.1, XP_015436644.1	XP_032453443.1, XP_001601630.2
OG0000726	XP_015433614.1	XP_008216020.3, XP_003423840.3, XP_001601908.2, XP_016837479.1
OG0000727	XP_015439589.1	XP_001604143.2
OG0000728	XP_015440526.1	XP_016842871.1
OG0000729	XP_015433222.1	XP_032455307.1, XP_032455299.1, XP_032455298.1, XP_032455297.1, XP_032455303.1, XP_032455302.1, XP_032455301.1, XP_032455300.1, XP_032455305.1, XP_032455304.1, XP_008210011.1, XP_032455306.1
OG0000731	XP_015433610.1, XP_015433611.1	XP_016841856.1, XP_031788806.1
OG0000732	XP_015434230.1	XP_008207720.1, XP_001602209.1
OG0000733	XP_015429975.1	XP_031782437.1
OG0000734	XP_015432171.1, XP_015432170.1, XP_015432084.1	XP_031776900.1
OG0000736	XP_015434092.1, XP_015434093.1, XP_015434090.1, XP_015434091.1, XP_015434094.1	XP_031779173.1
OG0000737	XP_015439526.1	XP_032455328.1, XP_032455329.1, XP_008211509.1, XP_001607917.1, XP_001607924.1
OG0000738	XP_015433274.1	XP_001606122.2
OG0000740	XP_015432891.1, XP_015432790.1	XP_032456146.1, XP_001608212.1
OG0000741	XP_015435759.1, XP_015435760.1, XP_015435761.1	XP_001607561.1, XP_032454295.1
OG0000742	XP_015438404.1	XP_008204431.1
OG0000743	XP_015429985.1	XP_016841722.1, XP_008216232.1, XP_016841726.1, XP_008216210.1, XP_003425028.1, XP_003425027.1
OG0000744	XP_015432237.1	XP_032457556.1, XP_001599847.1, XP_032457539.1, XP_032457537.1, XP_016842206.1, XP_032457564.1, XP_032457538.1, XP_008217913.1
OG0000745	XP_015430064.1	XP_001603881.1, XP_032456013.1
OG0000746	XP_015437573.1	XP_003424467.1, XP_031788004.1
OG0000747	XP_015437721.1	XP_032455496.1, XP_016843502.1
OG0000748	XP_015431791.1	XP_031785807.1
OG0000749	XP_015430201.1	XP_001608277.2
OG0000750	XP_015437374.1	XP_008205207.1
OG0000751	XP_015432871.1	XP_008214453.1, XP_008214452.1
OG0000752	XP_015438973.1, XP_015439115.1	XP_031787252.1
OG0000753	XP_015438101.1	XP_008215352.1
OG0000754	XP_015429254.1, XP_015439372.1	XP_008211402.1
OG0000755	XP_015431086.1	XP_031780116.1
OG0000756	XP_015436298.1	XP_001604237.1
OG0000756	XP_015436309.1	XP_001604331.1
OG0000757	XP_015435714.1	XP_031778503.1, XP_031778502.1
OG0000758	XP_015434240.1	XP_031778531.1
OG0000758	XP_015429496.1	XP_001607611.1
OG0000759	XP_015432714.1	XP_001600558.1, XP_016839651.1, XP_008205130.1
OG0000760	XP_015436367.1	XP_008204593.1, XP_008204594.1, XP_001602397.2
OG0000761	XP_015438013.1	XP_001600716.1
OG0000762	XP_015429614.1	XP_016839764.2
OG0000766	XP_015433383.1, XP_015433382.1	XP_003427531.1
OG0000767	XP_015434452.1, XP_015434451.1	XP_008210388.1, XP_008210389.1
OG0000768	XP_015437773.1	XP_032458137.1, XP_031789261.1, XP_031789262.1, XP_031789259.1, XP_031789260.1, XP_031789258.1
OG0000769	XP_015433465.1	XP_016839765.1, XP_032454181.1, XP_003426338.1, XP_008206326.1, XP_032454180.1, XP_008206327.1
OG0000770	XP_015439048.1	XP_032456801.1, XP_008206825.1
OG0000771	XP_015435200.1	XP_031781137.1, XP_031781138.1, XP_031781139.1
OG0000772	XP_015430519.1	XP_016843184.1, XP_016843187.1
OG0000773	XP_015435527.1	XP_001602298.2
OG0000774	XP_015432609.1, XP_015432607.1, XP_015432608.1	NP_001136159.1
OG0000775	XP_015436551.1, XP_015436549.1	XP_003424469.1, XP_003424468.1, XP_032456673.1, XP_032456674.1, XP_031788002.1, XP_031788003.1, XP_016844778.1, XP_016844779.1
OG0000776	XP_015432975.1	XP_008214474.1, XP_032453790.1, XP_016845138.1, XP_032453788.1, XP_032453789.1
OG0000777	XP_015439100.1	XP_003425598.1
OG0000778	XP_015437148.1	XP_008211032.1
OG0000779	XP_015437694.1, XP_015433143.1	XP_031776620.1, XP_001606275.2
OG0000780	XP_015438502.1	XP_008217823.1, XP_016838554.1, XP_008217820.1, XP_008217822.1, XP_008217821.1, XP_032453044.1, XP_032453045.1, XP_032453046.1
OG0000781	XP_015435781.1	XP_001605409.1
OG0000784	XP_015432863.1	XP_008207267.1
OG0000785	XP_015438966.1	XP_032456151.1
OG0000786	XP_015430326.1	XP_001600259.2, XP_031789412.1, XP_032453667.1
OG0000787	XP_015435743.1	XP_003427434.1
OG0000789	XP_015429610.1	XP_031779105.1, XP_016838518.1
OG0000790	XP_015430194.1	XP_008215874.1, XP_016838288.1, XP_031787833.1, XP_001608278.2
OG0000795	XP_015429939.1	XP_016839402.1, XP_016839400.1, XP_032453956.1
OG0000796	XP_015436930.1, XP_015430785.1	XP_001606958.1
OG0000797	XP_015430964.1, XP_015430962.1, XP_015430963.1	XP_003424917.1
OG0000798	XP_015431041.1	XP_001605214.2
OG0000799	XP_015436448.1, XP_015436446.1	XP_031785772.1
OG0000800	XP_015438988.1	XP_032456854.1, XP_008203832.1, XP_031788683.1
OG0000801	XP_015434936.1	XP_001603690.2
OG0000801	XP_015430589.1	XP_016842856.2
OG0000802	XP_015438421.1, XP_015438420.1	XP_016844032.2
OG0000804	XP_015434734.1	XP_001607812.1
OG0000806	XP_015436300.1	XP_008204862.1
OG0000807	XP_015437566.1, XP_015437567.1	NP_001177692.1
OG0000808	XP_015438454.1	XP_016842591.1
OG0000809	XP_015439656.1	XP_031780123.1
OG0000810	XP_015437543.1, XP_015437555.1	XP_001599255.3
OG0000811	XP_015429244.1	XP_008206145.1, XP_001599526.2, XP_016843288.1
OG0000812	XP_015436704.1	XP_031780669.1, XP_031780667.1
OG0000812	XP_015435806.1	XP_001606867.1
OG0000813	XP_015430297.1	XP_003427853.1
OG0000814	XP_015433794.1	XP_001605038.2
OG0000814	XP_015433799.1	XP_001605056.1
OG0000815	XP_015435418.1	XP_031778111.1
OG0000816	XP_015430601.1	XP_031780761.1
OG0000817	XP_015431473.1	XP_031778664.1, XP_031778665.1
OG0000818	XP_015434228.1	XP_032452330.1, XP_003424883.1, XP_031780814.1, XP_003424884.1
OG0000819	XP_015437993.1, XP_015437994.1	XP_016840174.1, XP_032452235.1, XP_032452237.1, XP_032452251.1
OG0000820	XP_015436712.1, XP_015436713.1, XP_015436714.1	XP_031780508.1
OG0000821	XP_015437647.1	XP_031779281.1, XP_032452253.1, XP_008212127.1, XP_032452259.1, XP_032452258.1, XP_032452255.1, XP_008212125.1, XP_008212124.1, XP_008212126.1, XP_032452254.1, XP_001598992.1, XP_008212118.1, XP_016844284.1, XP_031779282.1, XP_032452256.1
OG0000822	XP_015430083.1, XP_015430122.1	XP_031782027.1
OG0000823	XP_015428705.1	XP_003427039.1, XP_016843769.1
OG0000824	XP_015433325.1, XP_015431310.1	XP_016843593.1
OG0000825	XP_015436392.1	NP_001128399.1
OG0000826	XP_015439895.1, XP_015439897.1	XP_031780650.1, XP_031780649.1, XP_031780648.1
OG0000828	XP_015438750.1	XP_031783203.1, XP_008205141.1
OG0000829	XP_015437554.1, XP_015437553.1	XP_031782563.1, XP_016842103.1, XP_008217436.1, XP_008217437.1, XP_032451991.1
OG0000830	XP_015433638.1	XP_032452876.1, XP_032452877.1, XP_001607481.1, XP_008209675.1
OG0000831	XP_015440192.1	XP_001604057.1
OG0000832	XP_015429166.1	XP_016840804.1, XP_016840805.1, XP_001606660.1, XP_008211572.1
OG0000833	XP_015438693.1, XP_015438704.1	XP_031779400.1, XP_031779399.1, XP_031779394.1
OG0000834	XP_015430099.1	XP_001607087.1, XP_016840033.1, XP_008213704.1, XP_008213703.1
OG0000835	XP_015431134.1	XP_031784287.1, NP_001154968.1
OG0000836	XP_015433137.1	XP_003427950.1, XP_001600169.1
OG0000837	XP_015436329.1	XP_031785521.1, XP_031785523.1, XP_031785524.1, XP_031785519.1, XP_031785520.1
OG0000838	XP_015438932.1	XP_031781334.1, XP_031781318.1, XP_031781326.1
OG0000839	XP_015429634.1, XP_015429546.1	XP_001603584.1, NP_001165964.1, XP_032456548.1, XP_031783698.1, XP_031783705.1, NP_001165963.1
OG0000840	XP_015436664.1	XP_031785625.1
OG0000842	XP_015440270.1	XP_003428187.1
OG0000843	XP_015432284.1	XP_001600667.2, XP_016844989.1
OG0000844	XP_015429808.1	XP_008207314.1, XP_001608127.1
OG0000845	XP_015436209.1	XP_031779699.1
OG0000846	XP_015433628.1	XP_031778962.1
OG0000849	XP_015438588.1, XP_015438589.1	XP_001602816.1
OG0000850	XP_015436742.1	XP_032453468.1, XP_008216202.1, XP_008216203.1
OG0000851	XP_015429407.1, XP_015429406.1	XP_032451854.1, XP_032451855.1, XP_032451853.1, XP_001602999.1
OG0000852	XP_015432163.1	XP_032458189.1, XP_032458188.1, XP_016841908.1, XP_032458187.1, XP_032458186.1, XP_031783811.1, XP_031786708.1
OG0000853	XP_015430348.1, XP_015430346.1, XP_015430347.1	XP_032451871.1, XP_032451873.1, XP_032451872.1, XP_031786272.1, XP_032451874.1, XP_032451877.1, XP_032451876.1, XP_032451878.1, XP_032451875.1
OG0000856	XP_015434595.1	XP_031777092.1
OG0000856	XP_015434638.1	XP_001599699.1
OG0000857	XP_015430616.1	XP_001604312.1
OG0000858	XP_015431883.1	XP_001605289.1
OG0000858	XP_015432357.1	XP_001605273.1
OG0000859	XP_015435330.1	XP_031782644.1, XP_031782643.1, XP_032454634.1
OG0000860	XP_015433666.1, XP_015433664.1, XP_015433665.1	XP_001604397.2
OG0000862	XP_015432062.1	XP_032457677.1, XP_032457678.1, XP_031781729.1, XP_031781730.1, XP_031781727.1, XP_031781728.1, XP_032457675.1, XP_031781726.1
OG0000863	XP_015430577.1	XP_008215956.1, XP_031788340.1
OG0000864	XP_015439795.1	XP_031778701.1
OG0000865	XP_015440202.1	XP_031784596.1, XP_031784602.1, XP_031784601.1, XP_031784604.1, XP_031784603.1, XP_031784597.1, XP_032454911.1, XP_032454912.1, XP_031784600.1, XP_031784598.1, XP_032454909.1, XP_032454910.1
OG0000866	XP_015434681.1	XP_001607406.2
OG0000867	XP_015433845.1	XP_001606804.1
OG0000868	XP_015430090.1, XP_015429498.1	XP_031782157.1, XP_008204022.1
OG0000869	XP_015436302.1	XP_031783495.1, XP_008206503.1
OG0000870	XP_015437265.1	XP_008216315.1
OG0000871	XP_015439143.1	XP_001607708.1
OG0000872	XP_015435231.1	XP_008203441.1, XP_001601907.2
OG0000873	XP_015440324.1	XP_001603702.3
OG0000874	XP_015438188.1	XP_031778722.1, XP_031778720.1, XP_031778723.1, XP_031778724.1, XP_031778721.1
OG0000875	XP_015432366.1	XP_001606373.1, XP_032453891.1, XP_032453889.1, XP_032453890.1
OG0000876	XP_015433442.1, XP_015433436.1	XP_016845645.1, XP_016845643.1, XP_016845642.1, XP_016845644.1
OG0000877	XP_015428650.1	NP_001154936.1, XP_031784310.1
OG0000878	XP_015435085.1	XP_031782738.1, XP_031782737.1, XP_031782739.1
OG0000878	XP_015435111.1	NP_001154932.1
OG0000879	XP_015433788.1, XP_015433787.1	XP_031784124.1, XP_031784122.1
OG0000880	XP_015438999.1	XP_016837891.1
OG0000881	XP_015431399.1	XP_032455118.1, XP_008211907.1, XP_001603028.1
OG0000882	XP_015436379.1	XP_001607037.2
OG0000883	XP_015439347.1	XP_001608156.3, XP_031788370.1
OG0000885	XP_015429188.1	XP_008202364.1
OG0000886	XP_015439247.1	XP_031788182.1, XP_032457086.1, XP_032457087.1, XP_032457084.1, XP_032457085.1
OG0000887	XP_015434402.1	XP_001603602.1
OG0000887	XP_015434519.1	XP_008210682.1
OG0000888	XP_015430402.1, XP_015437884.1	XP_031779326.1, XP_031779325.1
OG0000890	XP_015430864.1	XP_016840823.1, XP_016840824.1
OG0000891	XP_015431178.1	XP_016843208.1
OG0000892	XP_015439082.1, XP_015439090.1, XP_015439098.1	XP_008204316.1
OG0000893	XP_015436613.1	XP_016844650.1
OG0000893	XP_015435682.1	XP_003427801.1
OG0000894	XP_015432602.1	XP_016838700.1, NP_001122570.1
OG0000895	XP_015434236.1, XP_015434237.1	XP_016837248.1, XP_032453357.1, XP_031779114.1
OG0000896	XP_015435598.1	XP_001607181.2
OG0000897	XP_015434715.1	XP_003425328.1
OG0000898	XP_015440102.1	XP_031783388.1
OG0000898	XP_015429217.1	XP_001603888.1
OG0000899	XP_015428714.1	XP_031788210.1
OG0000900	XP_015432099.1	XP_031789521.1, XP_031789519.1
OG0000901	XP_015435681.1	XP_003427272.1
OG0000902	XP_015438632.1, XP_015438633.1	XP_008214069.1
OG0000904	XP_015438560.1	XP_031786120.1, NP_001153501.1
OG0000905	XP_015438183.1	XP_032454335.1, XP_032454336.1, XP_031782551.1, XP_031782552.1, XP_031782548.1, XP_031782550.1, XP_031782553.1, XP_031782547.1, XP_031782555.1, XP_001603376.3
OG0000906	XP_015438388.1	XP_031787058.1
OG0000908	XP_015438401.1	XP_003425187.1, XP_008217832.1, XP_032452757.1
OG0000909	XP_015428795.1	XP_016837688.1, XP_008214370.1
OG0000910	XP_015432353.1, XP_015432343.1	XP_031787063.1, XP_001607428.1
OG0000911	XP_015439013.1	XP_016837240.1, XP_016837237.1
OG0000912	XP_015439535.1	XP_008214863.1
OG0000913	XP_015435552.1, XP_015435551.1	XP_032454159.1, XP_032454160.1, XP_008206282.1, XP_032454161.1, XP_031783525.1, XP_031783526.1, XP_031783527.1, XP_003424373.1, XP_008204562.1
OG0000914	XP_015430477.1	XP_031783035.1, NP_001161273.1, NP_001161272.1, NP_001161270.1, NP_001161269.1
OG0000916	XP_015432584.1	XP_016841794.1
OG0000917	XP_015432611.1	XP_001603612.2
OG0000918	XP_015436619.1	XP_008206288.1
OG0000919	XP_015431667.1	XP_031783576.1
OG0000920	XP_015430334.1, XP_015430325.1, XP_015430342.1	NP_001165790.1
OG0000921	XP_015431388.1, XP_015431387.1, XP_015431389.1	XP_032456207.1
OG0000923	XP_015438334.1	XP_008215795.1, XP_031781902.1
OG0000924	XP_015435794.1	XP_008212840.1
OG0000925	XP_015433075.1	XP_032454529.1, XP_032454528.1
OG0000926	XP_015432575.1	XP_032452324.1, XP_031780444.1, XP_016837620.1, XP_008209765.1, XP_008209797.1, XP_008209757.1, XP_031780443.1, XP_031780442.1, XP_032452321.1, XP_032452322.1, XP_032452323.1, XP_031780445.1
OG0000927	XP_015435019.1	XP_016839612.1, XP_032453742.1, XP_008213379.1, XP_032453744.1, XP_032453743.1
OG0000928	XP_015438428.1	XP_001606972.1
OG0000929	XP_015433173.1	XP_003427033.2
OG0000930	XP_015431084.1	XP_008215813.1
OG0000931	XP_015434904.1	XP_031784100.1
OG0000932	XP_015439311.1	XP_001607959.1
OG0000933	XP_015434525.1	XP_016845773.1
OG0000933	XP_015433046.1	XP_003424204.1
OG0000934	XP_015440077.1	XP_008208493.1, XP_008208494.1, XP_008208491.1, XP_008208492.1, XP_001601634.2
OG0000937	XP_015429305.1	XP_032454471.1, XP_032454469.1, XP_032454468.1, XP_008213526.1
OG0000938	XP_015437503.1	XP_031786142.1
OG0000939	XP_015436573.1	XP_001601801.3
OG0000941	XP_015429495.1	XP_001607661.3, XP_031779586.1
OG0000943	XP_015432439.1	XP_031787564.1
OG0000944	XP_015434121.1	XP_031787429.1, NP_001153371.1, NP_001153370.1
OG0000945	XP_015438438.1	XP_031780907.1
OG0000946	XP_015429289.1, XP_015428568.1	XP_008207104.1
OG0000948	XP_015435728.1	XP_001600980.4
OG0000949	XP_015437163.1	XP_031783731.1
OG0000950	XP_015435825.1, XP_015435833.1	XP_001602897.1, XP_003425200.1, XP_032452383.1
OG0000951	XP_015430464.1, XP_015430462.1, XP_015430463.1	XP_031777143.2
OG0000952	XP_015436332.1	XP_031786619.1, XP_032455505.1, XP_032455504.1, XP_032455507.1, XP_032455506.1
OG0000953	XP_015429439.1	XP_032458221.1
OG0000954	XP_015431012.1	XP_001599452.1
OG0000955	XP_015429456.1	XP_016839302.1, XP_016839300.1
OG0000957	XP_015428740.1	XP_016842360.1, XP_001605450.1
OG0000958	XP_015430623.1	XP_008217710.1
OG0000959	XP_015431386.1, XP_015431296.1	XP_031784795.1, XP_031784790.1
OG0000960	XP_015439752.1	XP_001604758.1
