Orthogroup	Tribolium_castaneum	Nomia_melanderi
OG0000728	XP_015835600.1, XP_001814267.1, XP_008193682.1, XP_976334.1	XP_031850225.1
OG0000729	XP_975583.1	XP_031841058.1
OG0000730	XP_976161.1	XP_031828345.1
OG0000731	XP_008193063.1, XP_008193062.1, XP_972014.1, XP_015835321.1	XP_031844351.1, XP_031844353.1, XP_031844350.1, XP_031844355.1, XP_031844354.1, XP_031844357.1, XP_031844356.1
OG0000732	XP_973363.1	XP_031850346.1, XP_031850345.1, XP_031850348.1, XP_031850349.1
OG0000736	XP_015838309.1, XP_008196796.1, XP_015838214.1	XP_031833144.1, XP_031833147.1, XP_031833148.1, XP_031833145.1
OG0000737	XP_015837747.1, NP_001284604.1	XP_031846618.1, XP_031846635.1, XP_031846626.1
OG0000738	XP_008192970.1	XP_031833608.1
OG0000739	XP_968962.1, XP_015835129.1, XP_008192442.1	XP_031839691.1
OG0000740	XP_970675.1	XP_031839277.1, XP_031839281.1, XP_031839280.1, XP_031839279.1, XP_031839278.1
OG0000741	XP_015839069.1, XP_015839855.1, XP_972524.1	XP_031842109.1
OG0000742	NP_001076794.1, XP_008200421.1	XP_031848256.1
OG0000743	XP_975869.2	XP_031846668.1
OG0000744	XP_008198084.1, XP_008198085.1	XP_031841753.1
OG0000745	XP_967842.2	XP_031837051.1
OG0000746	XP_015840197.1, XP_015840196.1	XP_031826252.1, XP_031826254.1
OG0000747	XP_008200433.1	XP_031849235.1, XP_031849233.1, XP_031849231.1, XP_031849232.1, XP_031849230.1
OG0000748	NP_001034490.1, XP_008191152.1	XP_031848949.1, XP_031834514.1
OG0000749	XP_015837495.1	XP_031829524.1
OG0000750	XP_972562.2	XP_031835558.1, XP_031835560.1, XP_031835561.1
OG0000751	NP_001153720.1	XP_031847228.1
OG0000751	XP_015837414.1	XP_031847558.1
OG0000752	XP_015836381.1, XP_972176.1	XP_031832824.1, XP_031832825.1
OG0000753	XP_008198451.1	XP_031825759.1, XP_031825760.1, XP_031825756.1, XP_031825757.1, XP_031825758.1, XP_031825761.1, XP_031825762.1
OG0000754	XP_973097.1	XP_031838447.1, XP_031842490.1
OG0000755	XP_008193975.1	XP_031843663.1, XP_031843664.1, XP_031843670.1, XP_031843671.1, XP_031843668.1, XP_031843669.1, XP_031843666.1, XP_031843667.1, XP_031843665.1
OG0000756	XP_001811932.1, XP_001810980.1	XP_031848815.1
OG0000757	XP_972879.1	XP_031828697.1
OG0000758	XP_969808.1	XP_031850495.1, XP_031832262.1
OG0000759	XP_008200324.1, XP_971832.1	XP_031841444.1
OG0000760	XP_008195593.1	XP_031835118.1
OG0000761	XP_008191796.1	XP_031839051.1, XP_031839046.1, XP_031839047.1, XP_031839048.1, XP_031839049.1, XP_031839045.1, XP_031839042.1, XP_031839050.1
OG0000762	XP_972221.1	XP_031832009.1, XP_031832010.1
OG0000764	XP_970673.1	XP_031833933.1, XP_031833837.1
OG0000765	XP_008194704.1, XP_015836347.1	XP_031832930.1, XP_031832939.1, XP_031832909.1, XP_031832919.1, XP_031832925.1, XP_031832949.1, XP_031832902.1
OG0000766	XP_008196256.1, XP_015837262.1	XP_031847688.1
OG0000767	XP_008195674.1, XP_008195675.1, XP_015837248.1, XP_008195676.1	XP_031846672.1, XP_031846674.1
OG0000768	XP_969961.1, XP_008198938.1	XP_031849249.1, XP_031849250.1
OG0000769	XP_972749.1, XP_008192575.1, XP_015834680.1	XP_031836758.1
OG0000770	XP_015838418.1, XP_015838417.1	XP_031832794.1, XP_031832793.1
OG0000771	XP_015835948.1, XP_015835947.1	XP_031828481.1
OG0000772	XP_015833311.1	XP_031837510.1
OG0000773	XP_970410.1	XP_031849947.1, XP_031849948.1, XP_031849945.1, XP_031849946.1, XP_031849943.1, XP_031849944.1
OG0000774	XP_971579.2	XP_031846257.1, XP_031846251.1, XP_031846252.1, XP_031846249.1, XP_031846250.1, XP_031846255.1, XP_031846256.1, XP_031846253.1, XP_031846254.1, XP_031846259.1
OG0000775	XP_008196848.1	XP_031850025.1, XP_031850023.1
OG0000776	XP_966630.3	XP_031847599.1, XP_031847598.1, XP_031847597.1, XP_031847596.1, XP_031847593.1, XP_031847594.1, XP_031847595.1, XP_031847600.1
OG0000777	XP_972936.1	XP_031832906.1, XP_031832905.1
OG0000778	XP_015833391.1, XP_973455.1	XP_031846780.1, XP_031846778.1, XP_031846777.1, XP_031846779.1
OG0000779	NP_001280535.1, XP_008198427.1	XP_031847701.1
OG0000780	XP_967848.2	XP_031830783.1
OG0000781	NP_001280540.1, XP_008190406.1	XP_031844318.1, XP_031844319.1, XP_031844320.1, XP_031844321.1
OG0000782	XP_015833194.1	XP_031835282.1
OG0000783	XP_008191892.1, XP_015834431.1, XP_015834432.1	XP_031836116.1, XP_031836115.1
OG0000784	XP_969377.1, XP_967531.2, XP_015840226.1, XP_015840227.1, XP_008200409.1	XP_031839330.1
OG0000785	XP_008201310.2, XP_015839849.1	XP_031832597.1, XP_031832596.1, XP_031832595.1, XP_031832598.1
OG0000786	XP_968026.1	XP_031827087.1, XP_031827088.1, XP_031827086.1
OG0000787	XP_001809587.2, XP_008194582.2, XP_008193885.1, XP_970014.1	XP_031835406.1
OG0000789	XP_973485.2	XP_031838365.1, XP_031838364.1
OG0000790	XP_966929.1	XP_031829531.1
OG0000791	XP_973299.1	XP_031827269.1, XP_031827267.1, XP_031827268.1
OG0000795	XP_972085.1, XP_972137.1, XP_971105.1, XP_972034.1, XP_971043.1	XP_031840605.1
OG0000796	XP_971000.1	XP_031848582.1, XP_031833218.1
OG0000797	XP_976408.1	XP_031829294.1, XP_031829303.1, XP_031829271.1, XP_031829281.1, XP_031829289.1
OG0000798	XP_970910.1	XP_031837981.1, XP_031837977.1, XP_031837976.1, XP_031837979.1, XP_031837978.1, XP_031837980.1, XP_031837984.1, XP_031837982.1, XP_031837983.1
OG0000799	XP_008192753.1, XP_967166.2	XP_031835311.1, XP_031835309.1
OG0000800	XP_975766.1, XP_966312.1	XP_031837135.1, XP_031837136.1
OG0000801	XP_974400.1, XP_008201328.1	XP_031833767.1
OG0000801	XP_015840663.1	XP_031828757.1
OG0000802	XP_008196539.1, XP_008196541.1, XP_008196542.1, XP_008196540.1	XP_031843741.1
OG0000803	XP_015838602.1, XP_968717.1, XP_975356.1	XP_031845957.1
OG0000804	XP_008199784.1, XP_008199783.1, XP_969293.1	XP_031849672.1
OG0000805	XP_008192126.1	XP_031838980.1
OG0000805	NP_001103907.1, XP_015834312.1	XP_031848753.1, XP_031847040.1
OG0000806	XP_975252.1	XP_031838008.1
OG0000807	XP_973473.1, XP_015837145.1, XP_008199731.1, XP_001811345.2	XP_031841799.1, XP_031841800.1, XP_031841801.1, XP_031841798.1
OG0000808	XP_966647.3	XP_031825857.1
OG0000809	XP_015839883.1	XP_031831207.1, XP_031831202.1, XP_031831205.1
OG0000810	XP_967137.1	XP_031841727.1, XP_031841726.1
OG0000811	XP_015835466.1	XP_031841901.1
OG0000812	XP_015838959.1	XP_031828031.1, XP_031836916.1
OG0000813	XP_008191104.1, XP_008197373.1	XP_031827180.1, XP_031827177.1
OG0000814	XP_971300.2	XP_031848239.1
OG0000815	XP_015833081.1	XP_031844738.1
OG0000816	XP_974466.2	XP_031830982.1
OG0000817	NP_001280521.1, XP_015838938.1	XP_031850377.1, XP_031850375.1, XP_031850374.1
OG0000818	XP_008190837.2	XP_031844524.1, XP_031844526.1, XP_031844527.1, XP_031844523.1, XP_031844522.1, XP_031844525.1
OG0000819	XP_008190357.1	XP_031829487.1, XP_031829482.1
OG0000820	XP_008199356.1	XP_031836434.1
OG0000821	XP_973706.1	XP_031847922.1
OG0000822	XP_008200699.1	XP_031837400.1, XP_031837401.1
OG0000823	XP_015838185.1, XP_008196921.1	XP_031841105.1, XP_031841107.1, XP_031841106.1, XP_031841109.1, XP_031841108.1, XP_031841111.1, XP_031841110.1, XP_031841112.1
OG0000824	XP_970563.1	XP_031841093.1, XP_031830519.1
OG0000825	NP_001161902.1, NP_001161904.1, XP_015833252.1, NP_001161927.1, NP_001161906.1, NP_001161907.1	XP_031835128.1
OG0000826	XP_968324.1	XP_031845666.1, XP_031845667.1
OG0000827	XP_008190593.1, XP_015832959.1, XP_001814285.1, XP_008190592.1	XP_031825898.1
OG0000828	XP_015839867.1, XP_966527.1	XP_031849066.1, XP_031849064.1, XP_031849065.1
OG0000829	XP_015836394.1	XP_031845756.1, XP_031845737.1, XP_031845726.1, XP_031845765.1, XP_031845747.1
OG0000830	XP_969246.1	XP_031849546.1, XP_031849545.1, XP_031849547.1
OG0000831	XP_966629.2	XP_031834870.1
OG0000832	XP_015834318.1	XP_031844990.1, XP_031848968.1
OG0000833	XP_008193629.1, XP_008193622.1	XP_031827591.1, XP_031827577.1, XP_031827590.1
OG0000834	XP_008196985.1, XP_001813599.1	XP_031842016.1, XP_031842015.1, XP_031842013.1, XP_031842014.1, XP_031842012.1, XP_031842017.1
OG0000835	NP_001161777.1, XP_008197172.1	XP_031835224.1
OG0000837	XP_966340.1	XP_031835289.1, XP_031835288.1
OG0000838	XP_015837141.1, XP_015837139.1	XP_031848070.1
OG0000839	XP_015837749.1, XP_008194206.1, XP_001814500.1	XP_031832206.1, XP_031832208.1
OG0000840	XP_972558.1	XP_031825965.1, XP_031825964.1, XP_031825963.1, XP_031825962.1
OG0000841	XP_008191611.2, XP_973223.1, XP_015834454.1	XP_031845758.1, XP_031845762.1
OG0000842	XP_008199587.1, XP_015835642.1, XP_008199598.1, XP_008199214.1	XP_031833893.1
OG0000843	NP_001164151.1, XP_015839763.1, XP_015836305.1, XP_015836304.1	XP_031841755.1
OG0000844	XP_008194355.1, XP_008194354.1, XP_976102.1	XP_031841977.1, XP_031841976.1
OG0000849	XP_974694.1, XP_008191702.1	XP_031830980.1, XP_031830979.1, XP_031830981.1
OG0000850	XP_968953.1	XP_031846261.1, XP_031846260.1
OG0000851	XP_970378.1	XP_031830298.1, XP_031830299.1, XP_031830297.1
OG0000852	XP_970723.1	XP_031839705.1
OG0000853	XP_972319.1	XP_031827045.1
OG0000854	XP_008192670.1, XP_008192671.1, XP_974904.1	XP_031839888.1, XP_031839889.1
OG0000855	XP_008200417.1	XP_031828391.1, XP_031828390.1
OG0000856	XP_969485.1	XP_031827494.1, XP_031827496.1
OG0000856	XP_008191821.1	XP_031827414.1
OG0000857	XP_015838130.1	XP_031845279.1
OG0000858	XP_975095.1	XP_031832396.1
OG0000859	XP_008194278.1	XP_031839183.1
OG0000860	XP_968421.2	XP_031849518.1
OG0000862	XP_015839850.1, XP_015839851.1	XP_031836552.1
OG0000863	XP_008191661.1	XP_031830070.1, XP_031830076.1, XP_031830075.1, XP_031830077.1, XP_031830072.1, XP_031830071.1, XP_031830074.1, XP_031830073.1
OG0000864	XP_001810857.1	XP_031833408.1, XP_031833406.1
OG0000865	XP_966867.1, XP_975287.1	XP_031825305.1
OG0000867	XP_008196728.1, XP_970067.1, XP_008196726.1, XP_008196725.1	XP_031846275.1
OG0000868	XP_008199462.1, XP_008199456.1	XP_031847685.1, XP_031842054.1
OG0000869	XP_008191933.1, XP_975387.1	XP_031835120.1
OG0000870	XP_970817.2, XP_008191521.1, XP_008191514.1, XP_970023.1, XP_015840225.1, XP_015840224.1	XP_031849881.1, XP_031850156.1
OG0000871	XP_972974.1	XP_031845851.1, XP_031845852.1
OG0000872	XP_975496.1	XP_031835220.1
OG0000873	XP_008200174.2, XP_968354.1, XP_008200004.1, XP_015838086.1, XP_015838088.1, XP_015838087.1, XP_008197049.1, XP_008197050.1, NP_001153727.1, XP_008197048.1, XP_968596.1	XP_031833177.1
OG0000874	XP_008199106.1, XP_974993.1	XP_031826043.1
OG0000875	NP_001280510.1	XP_031827729.1, XP_031827731.1, XP_031827730.1
OG0000876	XP_966990.1	XP_031830042.1
OG0000877	XP_008196449.1, XP_008196452.1	XP_031832339.1
OG0000878	XP_008199398.1	XP_031832067.1
OG0000879	XP_968223.1	XP_031848961.1, XP_031843912.1
OG0000880	XP_973332.1	XP_031848104.1
OG0000881	XP_975088.1	XP_031830414.1, XP_031830410.1, XP_031830411.1, XP_031830408.1, XP_031830409.1, XP_031830412.1, XP_031830413.1, XP_031830415.1
OG0000882	XP_973361.2, XP_008193581.1	XP_031842216.1
OG0000883	XP_008194497.1	XP_031842467.1, XP_031842468.1
OG0000884	XP_008196302.1, XP_015839696.1, XP_008200309.1, XP_008200308.1, XP_008200310.1	XP_031842896.1
OG0000885	XP_015840975.1, XP_008190312.1	XP_031848677.1
OG0000886	XP_008197067.1	XP_031837659.1, XP_031837652.1
OG0000887	XP_974918.1	XP_031834027.1, XP_031834089.1
OG0000888	XP_976484.1	XP_031834007.1, XP_031834008.1, XP_031834006.1
OG0000890	XP_015839379.1	XP_031845089.1
OG0000892	XP_971720.1	XP_031840279.1, XP_031840278.1, XP_031840277.1
OG0000893	XP_015840762.1	XP_031845113.1, XP_031844314.1
OG0000894	XP_008196971.1	XP_031833286.1
OG0000895	XP_015838580.1, XP_015838577.1	XP_031840800.1, XP_031840793.1
OG0000896	XP_008199894.2, XP_008194610.1	XP_031825838.1
OG0000897	XP_972954.1	XP_031846276.1
OG0000898	XP_973433.1	XP_031831650.1, XP_031831649.1, XP_031832419.1
OG0000899	XP_008197394.1, XP_008197388.1	XP_031837337.1
OG0000900	XP_975518.1	XP_031845551.1
OG0000901	XP_972742.1	XP_031837713.1
OG0000902	XP_015836082.1	XP_031825589.1, XP_031826999.1
OG0000903	NP_001280545.1	XP_031839765.1, XP_031839764.1
OG0000904	XP_974704.1	XP_031846428.1
OG0000904	XP_008193109.1	XP_031841220.1
OG0000905	XP_015834466.1, XP_974925.1	XP_031828171.1
OG0000906	XP_015835817.1	XP_031838725.1
OG0000906	XP_015834567.1, XP_008195291.2	XP_031830813.1
OG0000909	XP_008193249.1	XP_031829834.1, XP_031829831.1, XP_031829833.1, XP_031829832.1
OG0000910	XP_008195539.1	XP_031827757.1, XP_031827759.1
OG0000911	XP_008199253.1	XP_031848061.1, XP_031848054.1, XP_031848055.1, XP_031848056.1
OG0000912	XP_008200507.1	XP_031843630.1, XP_031843622.1
OG0000913	XP_015834654.1, XP_008192488.1, XP_008196951.1	XP_031829079.1
OG0000914	XP_008198899.1, XP_967645.1	XP_031829731.1
OG0000915	XP_008198828.2, XP_008194579.1	XP_031827475.1
OG0000916	XP_972862.1	XP_031850432.1
OG0000916	XP_008190404.1, XP_008190403.1	XP_031850436.1
OG0000917	XP_974228.1	XP_031837793.1, XP_031837792.1, XP_031837791.1, XP_031837790.1
OG0000918	XP_008198658.1, XP_966808.3	XP_031849896.1
OG0000919	XP_973176.1	XP_031846090.1
OG0000920	XP_972603.1	XP_031843972.1, XP_031843975.1, XP_031843974.1, XP_031843973.1
OG0000921	XP_975525.1	XP_031830417.1, XP_031830420.1, XP_031830419.1, XP_031830418.1
OG0000922	XP_975585.1, XP_015837975.1	XP_031830327.1
OG0000923	XP_008200555.2, NP_001107795.1	XP_031833875.1, XP_031833871.1
OG0000924	XP_015840070.1	XP_031836909.1, XP_031836915.1, XP_031836911.1, XP_031836910.1, XP_031836913.1, XP_031836912.1, XP_031836914.1
OG0000925	XP_970135.2	XP_031847158.1
OG0000926	XP_969641.1	XP_031840751.1
OG0000927	XP_970926.1	XP_031839836.1
OG0000928	XP_970970.3	XP_031830819.1
OG0000929	XP_008201261.2	XP_031847350.1
OG0000930	XP_974670.1	XP_031838030.1
OG0000932	XP_967792.1	XP_031829394.1, XP_031829395.1, XP_031829396.1
OG0000933	NP_001300806.1	XP_031847184.1
OG0000934	NP_001164081.1, XP_008200118.1	XP_031825491.1, XP_031825490.1, XP_031825493.1, XP_031825492.1, XP_031825494.1
OG0000935	XP_969053.1, XP_968762.2, XP_015836672.1, XP_968905.2, XP_968838.1	XP_031841678.1
OG0000936	XP_008190860.2	XP_031836984.1
OG0000937	XP_008200071.1	XP_031834127.1
OG0000938	XP_968610.1	XP_031830083.1
OG0000939	XP_008191643.1	XP_031828134.1
OG0000941	XP_008197366.1, XP_969423.1	XP_031835056.1, XP_031835053.1, XP_031835054.1, XP_031835055.1
OG0000943	XP_970739.1	XP_031842773.1, XP_031842772.1
OG0000944	XP_966560.1	XP_031848559.1, XP_031848553.1, XP_031848552.1, XP_031848551.1, XP_031848558.1, XP_031848556.1, XP_031848554.1, XP_031848555.1, XP_031848560.1
OG0000945	XP_967690.1	XP_031830987.1, XP_031830991.1
OG0000946	XP_971878.2	XP_031844012.1, XP_031835959.1
OG0000948	XP_967077.2	XP_031837900.1
OG0000949	NP_001164308.1, XP_008191735.1	XP_031848725.1
OG0000950	XP_015834523.1, XP_015834522.1	XP_031843586.1, XP_031843585.1, XP_031843584.1
OG0000951	XP_970664.1	XP_031829740.1, XP_031829741.1
OG0000952	XP_015834328.1, XP_975405.2	XP_031841161.1
OG0000954	XP_015834707.1	XP_031836781.1
OG0000955	XP_008194042.1, XP_015833870.1	XP_031840301.1
OG0000957	XP_969616.2	XP_031829798.1
OG0000958	XP_008199736.1, XP_973738.2	XP_031845528.1, XP_031845525.1, XP_031845526.1, XP_031845527.1, XP_031845530.1, XP_031845524.1
OG0000959	XP_015835943.1	XP_031843845.1, XP_031843795.1
OG0000960	XP_001813556.2	XP_031831337.1
OG0000961	XP_015840242.1	XP_031837755.1
OG0000961	XP_015833743.1	XP_031837903.1
OG0000962	XP_008194653.1	XP_031829542.1, XP_031829543.1
OG0000963	XP_976188.1	XP_031841332.1, XP_031841325.1
OG0000964	XP_975467.2, XP_015834681.1	XP_031839871.1
OG0000965	XP_015835969.1, XP_015835957.1	XP_031838041.1, XP_031838046.1
OG0000966	XP_969046.1	XP_031840590.1, XP_031840615.1, XP_031840606.1, XP_031840597.1
OG0000967	XP_008195382.1	XP_031845246.1, XP_031845248.1, XP_031845247.1
OG0000968	XP_008195614.1, XP_971104.2, XP_008195611.1	XP_031847191.1
OG0000969	XP_015840918.1, XP_008201276.1	XP_031826522.1
OG0000970	XP_968305.1	XP_031835789.1, XP_031835790.1, XP_031835791.1
OG0000971	XP_972282.2, XP_015837020.1	XP_031842853.1
OG0000972	XP_967420.1	XP_031835597.1
OG0000974	XP_971298.2	XP_031829593.1, XP_031829600.1, XP_031829595.1
OG0000975	XP_015837167.1, XP_015837165.1, XP_015837173.1	XP_031845071.1, XP_031845069.1, XP_031845033.1
OG0000976	XP_008198905.1	XP_031840163.1, XP_031840165.1, XP_031840164.1
OG0000977	XP_015837319.1, XP_970802.1	XP_031831267.1
OG0000978	XP_008199102.1	XP_031847608.1, XP_031849987.1
OG0000979	XP_969078.1	XP_031835974.1, XP_031832259.1
OG0000980	XP_015840382.1, XP_015838797.1, XP_015840939.1	XP_031845699.1
OG0000981	XP_008199943.1	XP_031842427.1
OG0000982	XP_015835195.1, NP_001280502.1	XP_031831094.1
OG0000983	XP_967514.2, XP_008193998.2	XP_031848747.1
OG0000984	XP_008197144.1	XP_031836326.1
OG0000984	XP_008197146.1	XP_031836325.1
OG0000985	XP_008195583.1	XP_031825882.1
OG0000986	XP_015837599.1	XP_031831865.1, XP_031831618.1
OG0000987	XP_015836128.1	XP_031844672.1, XP_031829207.1
OG0000988	XP_015838738.1	XP_031842060.1, XP_031842061.1, XP_031842062.1, XP_031842063.1, XP_031842064.1, XP_031842065.1
OG0000989	XP_008194375.1	XP_031827785.1
OG0000992	XP_974606.1	XP_031835958.1
OG0000993	NP_001164130.1, NP_001164132.1	XP_031839722.1, XP_031839721.1
OG0000994	XP_968930.1	XP_031834946.1, XP_031834954.1
OG0000995	XP_008198979.1	XP_031830724.1, XP_031830725.1
OG0000996	XP_972738.1, XP_008200903.1	XP_031842133.1
OG0000997	XP_001812951.1	XP_031833364.1
OG0000997	XP_971180.1	XP_031833363.1
OG0000998	XP_015837903.1, XP_008196475.1	XP_031829003.1, XP_031829004.1, XP_031829005.1
OG0000999	NP_001038092.1, NP_001038091.1, XP_015835197.1	XP_031830220.1
OG0001000	XP_971954.1	XP_031828338.1, XP_031828339.1, XP_031828340.1, XP_031828341.1
OG0001001	XP_015837955.1, XP_008196172.1	XP_031840300.1, XP_031840299.1, XP_031845112.1
OG0001002	XP_969124.4, XP_971550.1	XP_031842658.1
OG0001003	XP_008193884.1	XP_031830560.1
OG0001004	XP_972250.1	XP_031847911.1
OG0001004	XP_968039.1	XP_031847925.1, XP_031847926.1
OG0001005	NP_001164000.1	XP_031837283.1
OG0001006	XP_015835270.1, XP_015835267.1	XP_031838535.1, XP_031838534.1
OG0001007	XP_008198971.1	XP_031833032.1, XP_031833031.1, XP_031833030.1, XP_031833029.1, XP_031833028.1, XP_031833027.1, XP_031833026.1
OG0001008	NP_001306193.1	XP_031835367.1
OG0001008	NP_001034521.1	XP_031835364.1, XP_031835365.1, XP_031835366.1
OG0001009	XP_015837854.1	XP_031835649.1
OG0001010	XP_008192053.1	XP_031826530.1, XP_031826529.1
OG0001011	XP_974410.1	XP_031846370.1
OG0001012	XP_008195285.1	XP_031831465.1
OG0001013	XP_015836976.1	XP_031837179.1
OG0001014	XP_974871.1	XP_031832622.1, XP_031832633.1
OG0001015	XP_008201197.1	XP_031849460.1
OG0001015	XP_008201597.1	XP_031841047.1
OG0001016	XP_969349.1	XP_031839438.1
OG0001016	XP_967560.1	XP_031849170.1
OG0001017	XP_969629.1, XP_008194028.1	XP_031843977.1
OG0001018	NP_001107779.1	XP_031840129.1
OG0001019	XP_015839056.1, XP_974292.2, XP_008198287.1	XP_031835710.1, XP_031835709.1, XP_031835716.1, XP_031835715.1, XP_031835714.1, XP_031835712.1, XP_031835718.1, XP_031835717.1, XP_031835719.1, XP_031835720.1, XP_031835711.1
OG0001020	XP_970433.1	XP_031848395.1, XP_031848396.1, XP_031848391.1, XP_031848390.1, XP_031848388.1, XP_031848393.1, XP_031848392.1, XP_031848394.1
OG0001021	XP_969653.1	XP_031850028.1, XP_031850029.1, XP_031850026.1
OG0001022	XP_015835414.1, XP_015835415.1	XP_031841172.1
OG0001023	XP_001811805.1	XP_031850182.1
OG0001025	XP_008193091.1	XP_031830711.1
OG0001026	XP_970449.1	XP_031826561.1, XP_031826560.1, XP_031826559.1, XP_031826558.1, XP_031826562.1
OG0001027	XP_015838508.1	XP_031833919.1
OG0001028	XP_015839464.1, XP_970163.1	XP_031839668.1
OG0001029	XP_015840479.1	XP_031828254.1, XP_031828243.1
OG0001030	XP_015838296.1, XP_976275.1	XP_031837571.1
OG0001031	XP_975003.1, XP_975012.1	XP_031832463.1, XP_031832464.1
OG0001032	XP_008197238.1	XP_031840027.1
OG0001033	XP_968121.1	XP_031840404.1
OG0001034	XP_015835089.1, XP_015835090.1, XP_008192440.2, XP_015835122.1, XP_008192433.1, XP_008192434.1, XP_015840598.1, XP_008201070.1	XP_031825483.1
OG0001035	XP_001816488.1	XP_031838336.1, XP_031838331.1, XP_031838335.1, XP_031838333.1, XP_031838332.1
OG0001036	XP_015838416.1	XP_031826430.1, XP_031826588.1
OG0001037	XP_008201337.1	XP_031834169.1, XP_031834168.1
OG0001038	XP_975102.1	XP_031825338.1, XP_031825336.1, XP_031825337.1
OG0001039	XP_008197122.1, XP_972852.1	XP_031835057.1
OG0001040	XP_008200571.1	XP_031839503.1, XP_031839502.1, XP_031839504.1
OG0001041	XP_971368.1, XP_008199393.1, XP_008199391.1	XP_031846760.1
OG0001042	XP_008191863.1	XP_031839798.1
OG0001043	XP_008199231.1, XP_008199232.1	XP_031826540.1, XP_031826539.1
OG0001044	XP_015839545.1	XP_031829470.1
OG0001045	XP_974068.1	XP_031845746.1
OG0001046	XP_015835974.1	XP_031841691.1, XP_031841690.1, XP_031841692.1
OG0001048	XP_015836699.1, XP_008195153.1	XP_031836053.1
OG0001049	XP_008198519.1	XP_031842231.1, XP_031842223.1
OG0001050	XP_008197845.1, XP_008197843.1	XP_031838598.1
OG0001052	XP_015836414.1	XP_031831642.1
OG0001053	XP_008201416.1	XP_031848240.1, XP_031848178.1
OG0001054	XP_970597.2	XP_031827096.1, XP_031827097.1
OG0001055	XP_971906.1	XP_031825448.1, XP_031825449.1, XP_031825446.1, XP_031825447.1
OG0001056	XP_008199786.1	XP_031850484.1, XP_031850485.1
OG0001057	XP_015838535.1	XP_031833783.1
OG0001058	XP_015833239.1, XP_015833240.1, XP_968118.1, XP_008190828.1	XP_031848868.1
OG0001059	XP_001812701.1	XP_031839544.1, XP_031837759.1
OG0001060	XP_975678.1	XP_031845533.1, XP_031845535.1, XP_031845534.1
OG0001061	XP_008194269.1, XP_015835880.1	XP_031845486.1, XP_031845485.1, XP_031845487.1
OG0001063	XP_008198790.1	XP_031847353.1, XP_031849142.1
OG0001064	XP_015839254.1, XP_973869.1	XP_031833841.1, XP_031833788.1, XP_031833785.1
OG0001065	NP_001076808.1, XP_008195066.1	XP_031843757.1
OG0001066	XP_008194156.1, XP_015835951.1, XP_008194158.1, XP_971810.2	XP_031835635.1
OG0001067	XP_015835194.1, XP_015835191.1, XP_015835193.1, XP_015835189.1	XP_031850277.1
OG0001068	XP_015833006.1, XP_015833002.1	XP_031828065.1
OG0001069	XP_008195047.1, XP_008195052.1, XP_970713.1	XP_031837032.1, XP_031837042.1, XP_031837054.1, XP_031837049.1
OG0001070	XP_967757.1	XP_031839480.1
OG0001071	XP_015835573.1, XP_971088.1	XP_031837891.1
OG0001072	XP_968287.2	XP_031825452.1
OG0001073	XP_015840906.1	XP_031844011.1, XP_031843997.1
OG0001074	XP_968014.1	XP_031844622.1, XP_031844625.1
OG0001075	XP_976192.1	XP_031828907.1
OG0001076	XP_015836852.1	XP_031847023.1
OG0001077	XP_969551.1	XP_031850143.1, XP_031850169.1, XP_031850178.1, XP_031850161.1, XP_031850152.1, XP_031850187.1
OG0001078	XP_008197026.2	XP_031841266.1, XP_031841265.1
OG0001079	XP_970516.1	XP_031831793.1, XP_031831794.1, XP_031831795.1, XP_031831792.1
OG0001081	XP_972805.1, XP_008196164.1	XP_031837883.1
OG0001082	XP_974821.1	XP_031846912.1, XP_031846913.1
OG0001084	XP_008193669.1	XP_031836282.1
OG0001085	XP_015836984.1, XP_966581.1	XP_031831314.1
OG0001086	XP_008196611.1	XP_031845012.1
OG0001090	XP_008193026.1, XP_969238.1	XP_031845250.1, XP_031845252.1, XP_031845251.1
OG0001091	XP_008191347.1	XP_031829234.1
OG0001092	XP_008192984.1, NP_001107766.2	XP_031843453.1, XP_031843338.1
OG0001093	XP_967758.1	XP_031830830.1
OG0001094	XP_972722.1	XP_031827321.1
OG0001095	XP_974524.1	XP_031839865.1, XP_031839868.1, XP_031839866.1, XP_031839867.1
OG0001096	XP_971402.1	XP_031827068.1, XP_031827067.1
OG0001097	XP_973281.1	XP_031847813.1, XP_031847814.1, XP_031847815.1
OG0001098	XP_001808476.1	XP_031841773.1
OG0001099	XP_015838137.1	XP_031828604.1
OG0001100	XP_015833017.1, XP_974324.1	XP_031836436.1
OG0001101	XP_015835316.1, XP_008192958.1	XP_031849211.1
OG0001102	XP_008198777.1, XP_970498.1	XP_031845478.1
OG0001103	NP_001164136.1	XP_031829966.1
OG0001104	XP_966537.1	XP_031825419.1
OG0001105	XP_968687.1, XP_015836906.1, XP_015836904.1, XP_969139.2, XP_968617.1	XP_031831857.1
OG0001106	XP_975213.1	XP_031847014.1
OG0001107	XP_015835955.1, XP_967711.1	XP_031830156.1
OG0001108	XP_969212.1, XP_969136.1, XP_969065.1	XP_031829899.1, XP_031829900.1
OG0001109	XP_015840812.1	XP_031829725.1
OG0001110	XP_008197884.1	XP_031849760.1
OG0001111	XP_975084.1	XP_031832456.1, XP_031832457.1, XP_031832459.1
OG0001112	XP_015839558.1, XP_008199112.1, XP_008199111.1, XP_008199113.1, XP_008199114.1	XP_031850475.1
