Orthogroup	Tribolium_castaneum	Solenopsis_invicta
OG0001451	XP_008198505.1	XP_011168974.1
OG0001452	XP_015834413.1, XP_015834401.1, XP_015834405.1, XP_008191903.1, XP_015833473.1, XP_015839946.1, XP_015834419.1, XP_015839949.1, XP_015839948.1, XP_015834414.1, XP_015837021.1, XP_008190650.1, XP_015835131.1, XP_015835130.1	XP_011160094.1
OG0001453	XP_008192135.1, XP_974780.1	XP_011166027.1, XP_039311081.1
OG0001455	XP_008195504.1, XP_008195463.1	XP_011158617.2, XP_025990485.1, XP_039309522.1, XP_039309203.1
OG0001456	XP_967649.1	XP_039314390.1, XP_011160138.1
OG0001457	XP_972313.1	XP_011156838.1
OG0001458	XP_969998.1	XP_039313170.1, XP_039313172.1, XP_039313171.1
OG0001459	XP_971056.1	XP_039314602.1
OG0001460	XP_968481.1	XP_011168563.1
OG0001461	XP_008195927.1	XP_011166122.1
OG0001462	XP_969537.1	XP_039313168.1
OG0001463	XP_975612.1	XP_039314506.1
OG0001464	XP_008192049.1, XP_008192050.1	XP_011175504.1
OG0001465	XP_970371.1	XP_039302626.1, XP_011172138.1, XP_011172139.1
OG0001466	XP_971808.1	XP_011164329.1, XP_025988877.1
OG0001467	XP_008190991.1	XP_011171584.1, XP_011171583.1
OG0001468	XP_969120.1, NP_001164201.1	XP_011168738.1
OG0001469	XP_015835402.1	XP_025992793.1
OG0001470	XP_972043.2, XP_015839118.1, XP_008198420.1	XP_025996653.1
OG0001471	XP_966863.1	XP_011168758.1
OG0001472	XP_974027.1	XP_011171029.1
OG0001473	XP_969761.2	XP_025987889.2
OG0001474	XP_008197149.1	XP_011163536.1
OG0001475	XP_008194014.1	XP_011165353.1
OG0001476	XP_008196197.1, XP_008196196.1, XP_015837812.1	XP_011170458.2
OG0001477	XP_008193717.1	XP_025990076.1
OG0001478	XP_971848.1	XP_039303041.1, XP_039303040.1, XP_025996444.1, XP_025996445.1, XP_025993296.1
OG0001479	XP_015835497.1	XP_011171853.1
OG0001480	XP_968112.1, XP_015840540.1	XP_025988609.1, XP_011167365.1
OG0001481	XP_008192172.1, XP_008192171.1	XP_011163818.1
OG0001482	XP_008191953.1, XP_008191952.1	XP_025995318.2
OG0001483	XP_015832869.1	XP_011158227.2
OG0001484	XP_008197131.1	XP_039313164.1
OG0001486	XP_008197650.1, NP_001280513.1	XP_025988210.1
OG0001487	XP_015833845.1	XP_011160910.1
OG0001488	XP_015834903.1	XP_011175651.1
OG0001491	XP_970708.2	XP_011173446.1
OG0001492	XP_973907.1	XP_011166609.1
OG0001493	XP_001812538.1, XP_008194282.1	XP_011168223.2, XP_039311783.1, XP_011168226.2
OG0001494	XP_975427.2	XP_011159518.1, XP_039304095.1, XP_039304096.1, XP_039304094.1
OG0001495	XP_972502.1, XP_975469.1	XP_011168272.1
OG0001496	XP_008191879.1, XP_008191880.1	XP_011176077.2, XP_011176075.2, XP_011176076.2, XP_011174865.2
OG0001497	XP_973523.2, XP_008191647.1, XP_008191650.1, XP_008191649.1	XP_011165457.1, XP_011165458.1
OG0001498	XP_008200217.1, XP_969950.2	XP_039305924.1
OG0001499	XP_974456.3	XP_039307688.1, XP_011158157.1, XP_011163631.1
OG0001500	XP_015835209.1, NP_001280507.1	XP_039312635.1, XP_039312637.1, XP_039312638.1, XP_039312634.1
OG0001501	XP_015833023.1	XP_025988324.1
OG0001502	XP_015833027.1	XP_011166475.1
OG0001503	XP_971310.1, XP_008195559.1	XP_025996966.1, XP_025996963.2
OG0001505	XP_015839664.1, XP_970228.2, XP_015838048.1	XP_011172206.2
OG0001506	XP_973081.1	XP_039304198.1, XP_039304197.1, XP_039304199.1, XP_039304201.1, XP_039304200.1, XP_039304196.1
OG0001507	XP_008197549.1, XP_970874.1	XP_039314299.1
OG0001508	XP_008201537.1	XP_039311816.1
OG0001509	XP_008196908.1	XP_039311684.1
OG0001510	XP_015838190.1	XP_025992335.2, XP_025986196.2
OG0001511	XP_970235.1	XP_025994312.2, XP_039315233.1, XP_039315195.1, XP_039310857.1
OG0001512	XP_015838487.1	XP_025986523.1
OG0001513	XP_008195017.1	XP_011173097.1
OG0001514	XP_968217.2	XP_011176284.1, XP_011176285.1
OG0001515	XP_967539.1	XP_025995098.1
OG0001516	XP_015836356.1	XP_011166939.1, XP_039315567.1, XP_039315566.1
OG0001517	XP_970104.3	XP_025995929.1, XP_039311148.1, XP_025995926.1, XP_039311149.1, XP_025995927.1, XP_025995928.1, XP_025995924.1, XP_025995925.1, XP_025995930.1
OG0001518	XP_967543.1	XP_011175547.2
OG0001519	XP_967329.1, XP_001811319.1, XP_015837971.1, XP_015838004.1, XP_008196924.1, XP_967414.1	XP_025995933.2, XP_025995932.2
OG0001520	XP_008194955.2	XP_011172159.1
OG0001521	XP_008196004.1, XP_015837067.1	XP_039314177.1
OG0001522	XP_008198803.1	XP_025988170.1, XP_025988171.1, XP_039312191.1, XP_039312156.1, XP_039312155.1, XP_039312179.1, XP_039312144.1, XP_039312149.1, XP_011168770.1, XP_011168769.1, XP_039312184.1, XP_025988169.1
OG0001523	XP_008198896.1, XP_008198895.1	XP_025987250.1
OG0001524	XP_008200329.1	XP_011168675.2
OG0001525	XP_969909.1	XP_011159211.1
OG0001527	XP_975382.1	XP_039303803.1, XP_011158352.1
OG0001529	XP_008197492.1	XP_039311427.1
OG0001531	XP_974940.1	XP_025988753.1
OG0001532	XP_008201526.1, XP_966735.2	XP_011162596.1, XP_039310282.1
OG0001533	XP_015839661.1	XP_025987694.2
OG0001534	XP_969604.2	XP_011156569.2, XP_039308558.1
OG0001535	XP_969480.1, XP_971061.2	XP_011158713.1
OG0001536	XP_015833087.1	XP_025994747.1, XP_025994749.1, XP_039314099.1
OG0001537	XP_972795.1	XP_011158583.1, XP_039307705.1
OG0001538	NP_001076809.1, XP_008195552.1	XP_025995016.1
OG0001539	XP_015839205.1, XP_008198054.1, NP_001164115.1, XP_001813274.1, XP_015836535.1	XP_025989075.1
OG0001540	XP_973817.2, XP_008200667.1	XP_011156938.1
OG0001541	XP_968546.2	XP_039305648.1, XP_039305645.1
OG0001542	XP_008192060.1	XP_011176315.1
OG0001543	XP_008199669.1	XP_011160969.1
OG0001545	XP_975212.1	XP_011167357.1
OG0001546	XP_015836962.1, XP_015836964.1, XP_015836965.1, XP_015836963.1	XP_011173304.1
OG0001547	XP_008196118.1	XP_011157267.1, XP_011157187.1, XP_025995250.1, XP_011157118.1, XP_039313897.1, XP_039313896.1
OG0001549	XP_967893.2	XP_039302374.1, XP_011172055.1, XP_039302373.1, XP_039302375.1, XP_011174292.2
OG0001551	XP_015832989.1	XP_025991441.1
OG0001552	XP_008190770.1, XP_008190772.1	XP_039306173.1
OG0001553	XP_008200044.1	XP_011171181.2
OG0001554	XP_008193024.1	XP_025993708.2, XP_011167298.3
OG0001555	XP_015835901.1	XP_039302216.1, XP_039302217.1, XP_039302218.1
OG0001556	XP_970686.2	XP_011160222.1, XP_011160221.1
OG0001557	XP_008190378.1	XP_025987489.1
OG0001559	XP_015836282.1	XP_025995579.2
OG0001560	XP_015837120.1, XP_015837119.1, XP_015837117.1	XP_011171066.1, XP_011171068.2
OG0001561	XP_008201574.1	XP_011156748.1
OG0001562	XP_015833433.1, XP_008192389.1	XP_011160241.1
OG0001563	XP_008192558.1, XP_008192559.1	XP_011164698.1, XP_011164700.1
OG0001565	XP_975257.1	XP_011159749.1
OG0001566	XP_015839880.1, XP_015839881.1, XP_015839388.1, XP_015834323.1, XP_008201287.1, XP_015835215.1, XP_015836111.1, XP_015833200.1, XP_015837869.1, XP_015837488.1, XP_015833749.1, XP_015837861.1, XP_015834539.1, XP_008201297.1, XP_015839374.1, XP_015835289.1, XP_015839894.1, XP_015833844.1, XP_015837108.1, XP_008194852.1, XP_008194496.1, XP_015840357.1, XP_015835534.1	XP_011164289.1
OG0001567	XP_974106.1	XP_011164347.2
OG0001568	XP_974421.1, XP_008195811.1	XP_039315462.1, XP_011170161.1
OG0001569	XP_970921.1	XP_039307127.1, XP_011175182.1
OG0001570	XP_974899.2	XP_025996281.1
OG0001571	XP_973610.2	XP_011173525.1
OG0001572	XP_971371.1	XP_025991099.2
OG0001573	XP_015833275.1	XP_011167748.2
OG0001574	XP_008199698.1	XP_025990480.1, XP_025990476.1
OG0001575	XP_008197647.1	XP_025989254.1
OG0001576	XP_008193716.1	XP_011162339.1, XP_011162338.1
OG0001577	XP_967646.1	XP_039314987.1, XP_025990992.2, XP_011156779.2, XP_011156780.2
OG0001579	XP_015836149.1	XP_025990916.1, XP_011161055.1
OG0001580	XP_008201637.1, XP_967750.1	XP_025989737.2, XP_025989741.2
OG0001581	XP_968816.1	XP_039312559.1
OG0001582	XP_015840194.1	XP_025993005.2, XP_039302703.1, XP_011170369.2
OG0001583	XP_008194225.1, XP_015835660.1	XP_011173101.1, XP_011173102.1
OG0001584	XP_008195851.1	XP_011163216.1, XP_011163212.1
OG0001586	XP_967561.1, XP_972037.1	XP_011172109.1
OG0001587	XP_968197.1	XP_025992049.1
OG0001588	XP_015834889.1	XP_039302461.1, XP_025989691.2
OG0001589	XP_008197702.1, XP_008192720.1, XP_015836948.1	XP_011172968.1
OG0001590	XP_966455.1	XP_011157497.2
OG0001591	XP_967809.1	XP_011168160.3
OG0001592	XP_970967.2	XP_011171154.1, XP_039310573.1, XP_039310572.1, XP_011171149.1, XP_011171150.1, XP_011171153.1, XP_011171152.1
OG0001593	XP_015836546.1	XP_025989465.2
OG0001594	XP_971722.1	XP_039313370.1
OG0001595	XP_971845.3	XP_011155321.1, XP_011155323.1
OG0001596	XP_008190483.1	XP_011160525.1, XP_039308865.1
OG0001597	XP_967895.1	XP_011161753.1
OG0001597	XP_967819.1	XP_039302815.1
OG0001598	XP_970210.1, XP_971398.1	NP_001291513.1, XP_039304810.1, NP_001291514.1
OG0001601	XP_008199668.1, XP_008199653.1	XP_039303295.1
OG0001602	XP_015838387.1, XP_015838385.1	XP_025988800.1, XP_025988804.2
OG0001603	XP_015834051.1, XP_968352.3	XP_039314417.1, XP_039314415.1, XP_011160104.1, XP_025987808.1, XP_025987807.1, XP_025987806.1, XP_025987809.1
OG0001604	XP_008200661.1, XP_967231.3	XP_039306393.1, XP_039306391.1
OG0001605	XP_008201547.1, XP_015840720.1	XP_025993135.2, XP_039312161.1, XP_039312160.1
OG0001606	XP_973145.3, XP_015834931.1, XP_008192087.1, XP_008192090.1, XP_008192091.1, XP_008192086.1, XP_015834933.1	XP_039303892.1
OG0001607	XP_976004.1, XP_008198242.1	XP_025988460.1, XP_039305259.1
OG0001608	XP_972286.1	XP_039312323.1
OG0001609	XP_008199066.2	XP_025987980.1, XP_011157468.1, XP_011157467.1
OG0001612	XP_008200626.1, XP_008200627.1	XP_025991527.2
OG0001614	XP_008194443.1, NP_001139415.1	XP_039302685.1
OG0001615	XP_967910.1	XP_011159603.1
OG0001616	XP_967918.1, XP_015837909.1	XP_011165539.1
OG0001617	XP_973076.1	XP_025996452.1
OG0001619	XP_968073.1	XP_039310054.1, XP_039310053.1, XP_025992244.2, XP_011169725.1
OG0001620	XP_967558.1	XP_011172508.2
OG0001621	XP_008194243.1	XP_011163719.2
OG0001622	XP_008194474.1, XP_001811901.2	XP_011163366.1
OG0001623	XP_974776.1, XP_974759.1	XP_011173601.1
OG0001624	NP_001153783.1	XP_025988947.1
OG0001625	XP_973818.1	XP_011158987.1
OG0001626	XP_967659.3	XP_011166369.1
OG0001627	XP_008198503.1	XP_025992429.1
OG0001628	XP_015840508.1	XP_039313243.1, XP_011165694.2
OG0001629	XP_968147.1, XP_008195384.1	XP_011164801.1, NP_001291532.1
OG0001630	XP_967133.1, XP_008193096.2	XP_011169550.2, XP_011169546.2
OG0001631	XP_008198296.1, XP_008198297.1	XP_025994075.2
OG0001632	XP_008198970.1	XP_025996098.1, XP_039312892.1, XP_039312891.1
OG0001633	XP_008195201.1	XP_025990458.1
OG0001634	XP_008190427.1	XP_011163706.1
OG0001635	XP_972058.1	XP_025990186.1
OG0001636	XP_001808212.1	XP_011161744.1
OG0001637	XP_968378.1	XP_011160567.1, XP_039303715.1
OG0001638	XP_974870.1	XP_011173071.2
OG0001639	XP_008190658.1, XP_969463.1	XP_011162004.1, XP_039302197.1
OG0001640	XP_968671.1, XP_968743.1	XP_011162453.1
OG0001641	NP_001161257.1	XP_011167461.1
OG0001642	XP_975475.2	XP_011161737.1
OG0001643	XP_015838711.1, XP_008197729.1, XP_015838712.1	XP_025995866.2
OG0001645	XP_968472.1	XP_011162052.1, XP_011162053.1
OG0001646	XP_015836692.1	XP_025991119.1
OG0001647	XP_008196907.1	XP_011167238.1
OG0001648	XP_970811.3	XP_011161583.1, XP_039310226.1
OG0001649	XP_968588.1	XP_011160573.1
OG0001650	XP_008196718.1	XP_039306040.1, XP_039306042.1, XP_039306041.1, XP_039306043.1
OG0001651	XP_008201666.1	XP_039307391.1, XP_039307390.1
OG0001652	XP_008201098.1	XP_025989514.1, XP_011170123.1
OG0001653	XP_969495.1	XP_011164509.2
OG0001655	XP_968200.2	XP_011172420.1, XP_011172419.1
OG0001656	XP_966649.1	XP_025989933.1, XP_011176122.1
OG0001657	XP_972931.1	XP_011156207.1
OG0001658	XP_008194959.1	XP_025987786.1, XP_011169230.1
OG0001659	XP_008200384.1	XP_011156724.2, XP_011156725.1
OG0001660	XP_975550.1	XP_011175649.1
OG0001661	XP_008198980.1	XP_025991899.1, XP_011161848.1
OG0001662	XP_015838476.1	XP_011166179.1, XP_011166174.1
OG0001663	XP_008195710.1	XP_011160600.1
OG0001664	NP_001135406.1, XP_015836766.1	XP_039315097.1, XP_039315095.1
OG0001665	XP_008200528.1	XP_011162304.1
OG0001666	XP_966660.1	XP_011157454.1
OG0001667	XP_970532.1	XP_039314599.1
OG0001668	XP_015837252.1	XP_011164357.1, XP_011164356.1
OG0001669	XP_969894.1, XP_008190493.1, XP_008190492.1	XP_011157251.2
OG0001670	XP_015840620.1	XP_039313082.1, XP_025995976.1
OG0001671	XP_008191116.1	XP_039308958.1
OG0001672	XP_972180.1	XP_039303278.1
OG0001673	XP_015836576.1	XP_011156255.2
OG0001674	XP_008200693.1	XP_025992958.2, XP_039307971.1, XP_025992957.2, XP_011163203.2
OG0001675	XP_973975.1	XP_011161210.1, XP_011161211.1
OG0001676	XP_008193502.1	XP_011173208.2
OG0001677	XP_970641.1	XP_011166896.1
OG0001678	XP_974956.1, XP_015833321.1	XP_011160108.1, XP_011160107.1
OG0001679	XP_975143.1	XP_011158431.1
OG0001680	XP_015838153.1	XP_011162712.1, XP_039310111.1
OG0001681	XP_971049.1	XP_039309619.1
OG0001682	XP_015839568.1, XP_008199877.1	XP_011171824.1
OG0001683	XP_975042.1	XP_011169305.1
OG0001684	XP_015838963.1, XP_015839133.1, XP_015839136.1	XP_011163930.3, XP_039310942.1
OG0001685	XP_008196454.1, XP_972983.2	XP_039303275.1
OG0001686	XP_008190435.1, XP_008190436.1	XP_011162209.1, XP_039301716.1, XP_039301714.1, XP_039301715.1
OG0001687	XP_008194075.1, XP_015836165.1	XP_039309671.1, XP_025992568.1
OG0001689	XP_015836120.1	XP_025986564.1, XP_025986563.1
OG0001690	XP_008194929.1	XP_039306829.1, XP_011157264.1
OG0001691	XP_969223.1	XP_011171427.1
OG0001692	XP_015836122.1, XP_015836121.1	XP_011155633.1
OG0001693	XP_008200041.1	XP_025987446.1, XP_039310517.1
OG0001694	XP_008196858.1	XP_011168616.2
OG0001695	XP_008194025.1	XP_011156723.1
OG0001696	XP_008199058.1	XP_039310023.1, XP_039310017.1
OG0001697	XP_966430.2	XP_039304291.1, XP_039304292.1, XP_025993247.1, XP_025993246.1, XP_025993245.1
OG0001698	XP_008199760.1	XP_025995559.2, XP_039312007.1
OG0001699	XP_966756.1	XP_025986701.1, XP_011158791.1, XP_011158789.1, XP_011158790.1
OG0001700	XP_008198754.1	XP_011167786.2
OG0001701	XP_008195151.1, XP_008195147.1	XP_025988830.1, XP_011164170.2, XP_039302064.1
OG0001702	XP_971283.1	XP_011162940.1
OG0001703	XP_973910.1	XP_011164234.2, XP_025988895.2, XP_025988894.1
OG0001704	XP_015839476.1	XP_011167326.1
OG0001707	XP_972022.1	XP_011155612.1
OG0001708	XP_971764.2, XP_015838804.1	XP_011164603.1, XP_025991942.1
OG0001709	XP_015835409.1	XP_025990188.1, XP_025990194.1
OG0001710	XP_015836909.1	XP_039305265.1
OG0001711	XP_008197982.1, XP_015838980.1, XP_969573.1	XP_011165612.1
OG0001712	XP_008191120.1, XP_015839938.1	XP_011166117.1, XP_011166096.1
OG0001713	XP_008192792.1, XP_008192793.1	XP_011166931.1
OG0001714	XP_968879.1	XP_011158003.1, XP_025987284.1
OG0001715	XP_972976.2	XP_011159122.2
OG0001716	XP_008194318.1	XP_025989710.2
OG0001717	XP_970328.1	XP_011155359.1, XP_039311597.1, XP_025991129.1, XP_011155367.1
OG0001718	XP_973987.1, XP_008190931.1	XP_011168466.1
OG0001719	XP_969295.1	XP_011169234.1
OG0001720	XP_008195419.1	XP_025989851.1, XP_011175636.1, XP_025989850.1
OG0001721	XP_971909.2, XP_001813448.1	XP_011158131.2, XP_011158133.1, XP_039305886.1
OG0001722	XP_015837216.1, XP_008199610.1	XP_011169266.2
OG0001723	XP_008193918.1	XP_011173007.1
OG0001724	XP_974615.1	XP_039304618.1, XP_025992218.1
OG0001725	XP_971172.2	XP_011174902.2
OG0001726	XP_972049.2, XP_015839452.1	XP_025989444.1
OG0001728	XP_015836419.1	XP_039313676.1, XP_039313680.1
OG0001729	XP_015840335.1, XP_015833348.1	XP_039308930.1, XP_039308926.1
OG0001730	XP_015833482.1	XP_025987718.2, XP_025987717.2
OG0001731	XP_008191795.1, XP_970721.2	XP_011175411.2
OG0001732	XP_973118.1	XP_039304441.1, XP_011159479.1
OG0001734	XP_972923.1	XP_039314386.1
OG0001735	XP_001814509.1	XP_011170355.1, XP_039305740.1
OG0001737	XP_967723.2	XP_039315088.1, XP_011160101.1
OG0001738	XP_015835145.1, XP_008200248.1, XP_001813427.1	XP_039310354.1
OG0001739	XP_968592.2	XP_011170792.1
OG0001740	XP_008193605.1, XP_008199012.1	XP_011166965.1, XP_025985931.1
OG0001742	XP_015840747.1, XP_015840743.1	XP_039303639.1, XP_025991103.2
OG0001743	XP_967142.1, XP_008197750.1, XP_008197749.1	XP_011161430.1, XP_011161433.1
OG0001744	XP_015838667.1, XP_008197600.1	XP_039314453.1, XP_039314456.1
OG0001745	XP_008201469.1	XP_011162193.2
OG0001746	XP_968256.1, XP_008201143.1	XP_011164075.1
OG0001748	XP_015836622.1, XP_015836619.1	XP_039302590.1, XP_039302582.1
OG0001749	XP_008193533.1	XP_039307685.1, XP_039307681.1
OG0001750	XP_970242.1, XP_008192912.1	XP_011155871.1
OG0001751	XP_969871.2	XP_011155816.1, XP_011155818.1
OG0001752	XP_008198887.1, XP_001815490.2, XP_008192875.1, XP_008192876.1, XP_015834712.1, XP_015834710.1, XP_008192879.1	XP_039305802.1
OG0001753	XP_969955.1	XP_011165025.1, XP_039312598.1, XP_039312597.1, XP_039312596.1
OG0001756	XP_968859.1, XP_015840285.1	XP_039313053.1, XP_039313054.1
OG0001757	NP_001161929.1, NP_001161926.1	XP_039308870.1
OG0001758	XP_971002.1	XP_039303751.1, XP_025990540.1
OG0001759	XP_966423.1	XP_011170736.1
OG0001760	XP_966763.1	XP_039311097.1
OG0001762	XP_008194069.1	XP_011161105.1, XP_011161112.1
OG0001763	XP_008191831.1, XP_973224.1	XP_011156236.1
OG0001764	XP_008199965.1, XP_968569.3, XP_968643.1, XP_015837277.1, XP_015837276.1, XP_015837278.1, XP_975752.1	XP_025996897.1, XP_039312890.1
OG0001766	XP_008201079.1, XP_008201080.1	XP_011162202.2, XP_025986966.2
OG0001767	XP_008193134.1, XP_015835802.1, XP_008193901.1	XP_011160151.1
OG0001768	XP_015834861.1	XP_011165067.2
OG0001769	XP_008192898.1, XP_015834493.1, XP_008192826.1, XP_015834494.1, XP_008192895.1, XP_008192836.1	XP_025990023.2, XP_039308397.1, XP_039308396.1, XP_039308395.1, XP_039308393.1, XP_039308394.1
OG0001771	XP_008195425.2, XP_001808512.2	XP_039302499.1, XP_011173087.2
OG0001774	XP_969023.1	XP_025990865.1
OG0001775	XP_970951.1, NP_001298082.1	XP_025993879.1, XP_011176339.1, XP_011176338.1
OG0001776	NP_001164088.1	XP_011166850.1
OG0001777	XP_967221.1	XP_011163067.1
OG0001778	XP_970875.1	XP_011160655.1, XP_011160649.1
OG0001779	XP_973494.1	XP_011160763.1
OG0001780	XP_968841.1	XP_039306100.1, XP_011160811.1
OG0001781	XP_008192416.1	XP_011168846.1
OG0001782	XP_973321.1	XP_011168428.1
OG0001783	XP_015833325.1, XP_972914.1, XP_008190904.1	XP_025989077.1, XP_011168314.1
OG0001784	XP_970614.1	XP_011168601.2, XP_011168600.2
OG0001785	XP_969235.2	XP_011157927.1
OG0001786	XP_974171.1	XP_011164288.1, XP_025988909.1, XP_011164286.1
OG0001787	XP_966837.1	XP_011165044.1
OG0001789	XP_975068.2	XP_011166253.1, XP_011166254.1, XP_039304453.1
OG0001790	XP_973834.1	XP_011163941.1
OG0001791	XP_008190467.1	XP_011158709.1
OG0001792	XP_967089.1	XP_011164881.1
OG0001793	XP_975535.1	XP_025989823.1
OG0001794	XP_015834535.1	XP_025994732.1
OG0001795	XP_008195656.1	XP_011169692.1
OG0001796	XP_015834572.1, XP_015839928.1	XP_011156619.1
OG0001797	XP_973014.1	XP_011167269.1
OG0001799	NP_001157183.1	XP_039311598.1, XP_011168273.2, XP_011168270.2
OG0001800	XP_966972.1	XP_011168246.1
OG0001801	XP_974888.3	XP_039303673.1
OG0001802	XP_975650.1	XP_011158769.1
OG0001803	XP_008199564.1	XP_039305517.1
OG0001804	XP_008199910.1	XP_011170600.1, XP_011170595.1
OG0001805	XP_008199909.1	XP_011161311.1, XP_011161313.1, XP_011161312.1, XP_011161314.1
OG0001806	XP_008197947.1	XP_011175795.2
OG0001807	XP_008195294.1	XP_011162553.2
OG0001808	XP_972925.2	XP_011157802.1
OG0001809	XP_973657.1	XP_011155517.1
OG0001810	XP_015836863.1	XP_039313299.1, XP_011160318.1
OG0001811	XP_973747.1	XP_011168515.1
OG0001812	XP_967937.1	XP_011159277.1, XP_011159276.1, XP_039304732.1
OG0001813	XP_008199635.1	XP_039315397.1
OG0001814	XP_972868.1	XP_025990231.1, XP_039306034.1, XP_039305487.1, XP_039305488.1, XP_039305486.1, XP_039312318.1
OG0001815	XP_008199756.1	XP_011163797.1, XP_039306189.1, XP_039306185.1
OG0001816	XP_973162.1	XP_039314317.1
OG0001817	XP_015837888.1, XP_974446.1	XP_039310065.1, XP_011162718.2, XP_011162719.2, XP_011162717.2
OG0001818	XP_015836560.1, XP_015836559.1	XP_025989845.1, XP_025989844.1
OG0001819	XP_008194754.1	XP_039311733.1, XP_011165265.1
OG0001820	XP_966351.2	XP_011160496.1
OG0001821	XP_008193342.1	XP_025991257.1, XP_025991254.1
OG0001823	XP_974250.1	XP_011164610.1, XP_025991955.1
OG0001824	XP_015834417.1	XP_011155809.1
OG0001825	XP_015834320.1	XP_025987936.1, XP_025987937.1, XP_025987935.1, XP_025987934.1, XP_025987938.1
OG0001826	XP_008195586.1	XP_011172390.1
OG0001827	XP_008199970.1, XP_008199968.1	XP_039304416.1
OG0001828	XP_008191114.2	XP_011168343.1, XP_039309295.1
OG0001829	XP_968607.1	XP_025992741.1, XP_025992742.1, XP_025992743.1, XP_025992744.1, XP_025992745.1
OG0001830	XP_008200479.1	XP_011159754.1
OG0001831	XP_015835742.1, XP_015835744.1, XP_015835743.1	XP_025995670.1, XP_025995668.1, XP_025995669.1, XP_039312889.1
OG0001832	XP_015839131.1	XP_039315007.1
OG0001833	XP_015834094.1	XP_039313344.1
OG0001834	NP_001164305.1	XP_011163399.2
OG0001835	XP_008190330.1, XP_008190331.1, XP_015832872.1	XP_011168711.1, XP_011168712.1
OG0001836	XP_015837393.1, XP_015837408.1	XP_039307187.1
OG0001837	XP_008191765.1	XP_011157877.1, XP_011157961.1, XP_011157801.1
OG0001838	XP_973996.1	XP_025994570.1, XP_039304235.1, XP_039304229.1, XP_039304230.1, XP_039304231.1, XP_039304232.1, XP_039304234.1, XP_039304228.1
OG0001839	XP_968056.1, XP_015836876.1	XP_039308920.1
OG0001840	XP_008195127.1, XP_015836709.1	XP_011159388.1
OG0001841	XP_008199607.1	XP_039303300.1
OG0001842	XP_968201.1	XP_039303265.1
OG0001843	XP_970048.1	XP_011166162.1
OG0001844	XP_967434.1	XP_025992119.1
OG0001845	XP_972280.1	XP_011166954.1
OG0001846	XP_971039.1	XP_011155530.1, XP_011155531.1
OG0001847	XP_969079.1	XP_011158153.2, XP_039311870.1, XP_011158155.1
OG0001848	XP_966931.1, XP_015840170.1	XP_011172427.1
OG0001850	XP_008197509.1	XP_025991413.1
OG0001851	XP_974730.2	XP_011159639.2, XP_011159640.2
OG0001852	XP_008194931.1	XP_011169062.2
OG0001853	XP_974684.1	XP_011156362.2
OG0001854	XP_974711.1, XP_008190957.1, XP_974693.1	XP_039314594.1
OG0001855	XP_008193347.1, XP_969166.1	XP_011162018.1
OG0001856	XP_970966.2	XP_011166372.1
OG0001858	XP_008196162.1	XP_011160902.1
OG0001859	XP_015835825.1, XP_015835826.1	XP_011167983.1
OG0001861	XP_970093.1	XP_011155579.1, XP_039303738.1
OG0001862	XP_970196.2	XP_011161432.3, XP_039310938.1, XP_025985893.1
OG0001863	XP_968848.1	XP_039301789.1, XP_011158443.1
OG0001864	XP_008196595.1	XP_011168664.2
OG0001865	XP_008196649.1, XP_970928.1	XP_011157758.1
OG0001867	XP_008193780.1	XP_025989927.1
OG0001868	XP_008191524.1, XP_008191525.1	XP_025986322.1, XP_025986321.1
OG0001869	XP_968474.1	XP_025994490.1
OG0001870	XP_970830.2, XP_008200721.1, XP_008200720.1, XP_015836188.1, XP_966582.1, XP_008200719.1	XP_025989757.1
OG0001871	XP_970702.1	XP_011166857.1, XP_011166858.1, XP_011166859.1
OG0001872	XP_975296.1	XP_011159588.1
OG0001873	XP_969187.1	XP_011165220.1, XP_011165221.1
OG0001874	XP_971013.1	XP_011164300.1
OG0001875	XP_015833812.1, XP_008191230.1, XP_969031.2	XP_039314795.1
OG0001876	XP_015835298.1	XP_011169038.1, XP_039307637.1
OG0001879	XP_972523.1	XP_011163848.2
OG0001880	XP_015837523.1, XP_015837518.1	XP_039314499.1, XP_039314493.1
OG0001881	XP_969186.1	XP_011164275.1
OG0001882	XP_008192360.1	XP_011158770.1
OG0001883	XP_008191423.1, XP_970042.1	XP_011169787.1
OG0001884	XP_008196596.1, XP_015837973.1	XP_025988158.2
OG0001885	XP_967536.1	XP_025992055.1, XP_039310763.1
OG0001886	XP_975677.2	XP_011165698.2
OG0001887	XP_008197283.1	XP_025986914.1
OG0001888	XP_008195157.1	XP_039306164.1, XP_039306162.1
OG0001889	XP_976203.1	XP_039309851.1, XP_039309805.1, XP_039309662.1, XP_039309892.1, XP_039309725.1, XP_039309750.1
OG0001890	XP_008199667.1	XP_011166970.2
OG0001891	XP_008192976.1	XP_011167450.1
OG0001894	XP_015834285.1	XP_025990876.2, XP_025990883.2
OG0001895	XP_015837161.1, XP_015837158.1	XP_025994229.1, XP_025994233.1
OG0001896	XP_008199025.2, XP_015836575.1	XP_011160557.2
OG0001897	XP_973467.1	XP_039314067.1
OG0001898	XP_015837675.1, XP_008194172.1	XP_011164999.1
OG0001899	XP_972476.1	XP_011164419.2
OG0001900	XP_973168.1	XP_025991978.2
OG0001901	XP_975551.3	XP_039308637.1
OG0001902	XP_008200644.1, XP_008200643.1	XP_025986551.1
