Orthogroup	Tribolium_castaneum	Ceratina_calcarata
OG0001258	NP_001034507.1	XP_017877914.1, XP_017877911.1
OG0001259	XP_968406.2	XP_017877153.1
OG0001260	XP_974043.1, XP_015835245.1	XP_017889906.1, XP_017889907.1
OG0001261	XP_969615.1	XP_026668091.1, XP_017877511.1
OG0001262	XP_015836277.1	XP_017877111.1, XP_017877113.1
OG0001263	XP_008194044.1, XP_966465.1	XP_017885436.1
OG0001264	XP_008199359.1	XP_017876225.1
OG0001267	XP_015835758.1, XP_008193926.1	XP_026673666.1
OG0001268	XP_001812645.1	XP_017888924.1
OG0001269	XP_008199240.1	XP_026666924.1, XP_026666930.1
OG0001270	XP_008195264.1	XP_017891911.1
OG0001271	XP_015837418.1	XP_017875511.1, XP_017875509.1
OG0001273	XP_008196928.2, XP_008194333.1, XP_015835670.1	XP_026670825.1
OG0001275	XP_015838616.1, XP_008200892.1, XP_015838623.1, XP_008200889.1	XP_017878338.1, XP_017878340.1
OG0001278	XP_968260.1	XP_017886511.2
OG0001279	XP_015833552.1	XP_017877894.1, XP_026668364.1
OG0001280	XP_968053.2, XP_008192425.1	XP_026667929.1, XP_017877172.1
OG0001281	XP_008200663.1	XP_017881313.1
OG0001282	XP_968795.1	XP_017882122.1
OG0001283	XP_008195901.1	XP_017892422.1
OG0001284	XP_015835521.1, XP_008200427.2	XP_017886567.1, XP_017886558.1
OG0001286	XP_973603.2	XP_017885102.1
OG0001288	XP_008195503.1	XP_017877639.1
OG0001289	XP_972155.1	XP_017892764.1
OG0001291	XP_973702.2	XP_017886822.1
OG0001293	XP_967850.1	XP_017876705.1
OG0001294	XP_008190438.1	XP_017889518.1, XP_026674115.1
OG0001295	XP_015837736.1, XP_008199992.1, XP_015837734.1, XP_015837735.1, XP_008197104.1, XP_015838076.1, XP_966433.1	XP_017881319.1
OG0001297	XP_015840262.1	XP_017878038.1
OG0001298	XP_001814199.1	XP_017881237.1
OG0001299	XP_008190539.1	XP_017881510.1
OG0001300	XP_971886.1	XP_017888500.1, XP_017888499.1
OG0001301	XP_971367.2	XP_026666630.1
OG0001302	XP_015839006.1	XP_026669115.1
OG0001303	XP_015833856.1	XP_017880508.1
OG0001304	XP_008201630.1	XP_017886478.1, XP_026672517.1, XP_017886477.1
OG0001305	XP_015834192.1	XP_026666601.1
OG0001306	XP_015835234.1, XP_015835237.1	XP_017883838.1
OG0001307	XP_015835558.1	XP_026669213.1, XP_026669216.1
OG0001308	XP_008200820.1	XP_017888463.1
OG0001310	XP_975420.1	XP_026674326.1, XP_026674327.1, XP_017890165.1
OG0001312	XP_974931.1	XP_017880083.1, XP_017880079.1
OG0001313	XP_974660.1	XP_017881145.1
OG0001314	XP_015833753.1	XP_017877181.1
OG0001315	XP_015836908.1, XP_966473.2	XP_026672911.1, XP_017887152.1
OG0001316	XP_008196392.1	XP_017889124.1, XP_026673752.1, XP_026673753.1, XP_026673754.1
OG0001317	XP_967323.2	XP_017878772.1
OG0001318	XP_008199614.1	XP_026667476.1
OG0001320	XP_008199679.1	XP_026671122.1, XP_026671123.1, XP_017883626.1
OG0001322	XP_008196249.1	XP_017891378.1
OG0001328	XP_969305.1	XP_017882111.1
OG0001329	XP_008190670.1	XP_017892346.1, XP_026675471.1, XP_026675472.1, XP_017892348.1
OG0001330	XP_008195392.1	XP_017891678.1
OG0001331	XP_975415.1	XP_017883464.1
OG0001332	XP_008197848.1	XP_017882789.1, XP_017882787.1
OG0001333	XP_008195720.1, XP_969089.1	XP_017892813.1
OG0001334	XP_015838448.1	XP_026669091.1, XP_026669092.1
OG0001335	XP_008193497.1	XP_017882018.2, XP_017882019.1
OG0001336	XP_008193739.1	XP_017882037.2
OG0001336	XP_001815618.1	XP_026670312.1
OG0001337	XP_970871.1	XP_017879502.1, XP_017879503.1
OG0001338	NP_001139390.1	XP_026668816.1, XP_026668818.1, XP_026668819.1, XP_026668820.1, XP_026668822.1, XP_017878975.1, XP_026668817.1, XP_026668821.1
OG0001339	XP_970397.1	XP_017886121.1
OG0001340	XP_008193660.1, XP_970247.1	XP_017890061.1, XP_017877160.1
OG0001341	XP_008199365.1	XP_026672596.1
OG0001342	XP_008199415.1	XP_017878213.1
OG0001343	XP_015835564.1, XP_008194046.1	XP_017884609.1
OG0001345	XP_974634.1	XP_017890181.1, XP_026674313.1, XP_026674314.1
OG0001346	XP_008200257.1	XP_017876879.1
OG0001347	XP_973080.2	XP_017893537.1
OG0001348	XP_008194100.1	XP_017876044.1
OG0001349	XP_008197983.1	XP_017878282.1, XP_026668505.1, XP_026668506.1, XP_017878283.1
OG0001350	XP_015837465.1, XP_015837464.1	XP_017882882.1
OG0001351	XP_015832916.1, XP_971672.1	XP_026674120.1, XP_017889532.1
OG0001352	XP_008199131.1	XP_017881148.1
OG0001353	XP_015833130.1, XP_015833131.1, XP_970090.1	XP_017882726.1
OG0001355	NP_001127921.1, XP_008197034.1	XP_017888035.2
OG0001356	XP_968380.1, NP_001280528.1	XP_017888519.1
OG0001357	XP_008195370.1	XP_017885862.1
OG0001358	XP_008196120.1, XP_008196123.1	XP_017889636.1, XP_017889633.1
OG0001359	XP_972884.1, XP_972109.3	XP_017882565.1, XP_017882566.1
OG0001360	XP_968834.1	XP_017892403.1
OG0001362	XP_015835360.1, XP_008200476.1	XP_017891783.1
OG0001363	NP_001107813.1, XP_008193052.1	XP_017886031.2, XP_017885003.1
OG0001364	XP_008201239.1, NP_001034514.1	XP_026666520.1
OG0001365	XP_971819.1	XP_017890494.1
OG0001366	XP_008195516.1	XP_026667108.1
OG0001367	XP_974803.1, XP_008196057.2	XP_017879464.1
OG0001368	XP_968199.1	XP_017881299.1
OG0001369	XP_971568.1, XP_008190885.1, XP_008190887.1, XP_008190886.1, XP_971622.1, XP_008190884.1	XP_017893611.1
OG0001370	XP_008199205.1	XP_017887687.1
OG0001371	XP_974014.1, XP_015835087.1, XP_015835088.1	XP_017878765.1
OG0001372	XP_008194525.1	XP_017881661.1, XP_017891436.1, XP_017879762.1
OG0001373	XP_968404.1, XP_015839616.1	XP_017883954.1, XP_017883953.1, XP_017886223.1, XP_017883955.1
OG0001374	XP_001814181.1	XP_026673332.1, XP_017888065.2
OG0001375	XP_008190523.1	XP_017884465.1, XP_017884481.1
OG0001376	XP_972494.1	XP_017892499.1, XP_017892497.1
OG0001377	XP_008192006.1	XP_017877173.1
OG0001378	XP_974170.1	XP_017887871.1
OG0001379	XP_008200289.1	XP_017893069.1
OG0001380	XP_008198237.1	XP_017875912.1
OG0001381	XP_970624.1, XP_015837364.1, XP_015837357.1	XP_017880799.1, XP_017880808.1, XP_026669592.1, XP_026669587.1, XP_017880791.1, XP_017880754.1, XP_026669588.1
OG0001382	XP_015837790.1, XP_008196501.1, XP_975884.1, XP_008196500.1	XP_026667542.1
OG0001383	XP_008196388.1, XP_015837150.1	XP_017878984.1
OG0001384	XP_974696.2	XP_017879068.1
OG0001385	NP_001280529.1, XP_008200155.1, NP_001280662.1	XP_017879493.1
OG0001386	XP_015836790.1	XP_017875382.1
OG0001387	XP_973997.3	XP_017883516.1
OG0001388	XP_008198472.1, XP_015839126.1	XP_017880362.1
OG0001389	XP_008191705.2, XP_015835153.1, XP_015835175.1	XP_026674453.1, XP_026675071.1, XP_017892329.1
OG0001390	XP_008196746.1	XP_017887124.1
OG0001391	XP_015835294.1	XP_017876528.1, XP_017876529.1
OG0001392	XP_972774.2	XP_026667204.1, XP_017875693.1, XP_017875702.1
OG0001393	NP_001092812.1, XP_008191439.1	XP_017879548.1
OG0001394	XP_974474.1	XP_026674847.1
OG0001395	XP_008197875.1	XP_017877486.1
OG0001396	XP_001807060.1	XP_017887788.1, XP_026673200.1, XP_026673198.1, XP_026673199.1
OG0001397	XP_015840901.1, XP_015840903.1	XP_017889289.1, XP_017889291.1
OG0001398	XP_008199101.1, XP_974850.1	XP_026672922.1, XP_017887263.1, XP_026672921.1
OG0001399	XP_015833723.1	XP_026673393.1
OG0001400	XP_008192848.1	XP_017883457.1
OG0001401	XP_966394.2	XP_017889463.1, XP_017889465.1, XP_026673966.1
OG0001402	XP_973256.1	XP_026667249.1
OG0001403	XP_015834718.1	XP_026672021.1, XP_026672022.1
OG0001404	XP_975540.1, XP_015837367.1	XP_017878479.1
OG0001405	XP_970709.2	XP_017885433.1
OG0001406	XP_001808764.1	XP_017878387.1
OG0001409	XP_008201593.1	XP_017890921.1
OG0001410	XP_015837864.1, NP_001280533.1	XP_017883413.1, XP_017883414.1, XP_026670994.1, XP_026670995.1, XP_026670996.1, XP_017883410.1, XP_017883406.1, XP_017883405.1, XP_017883401.1
OG0001412	XP_015833580.1	XP_026670137.1
OG0001414	XP_008192642.1, XP_008192641.1, XP_974537.1	XP_017885076.1
OG0001415	XP_015834284.1, XP_008197482.1	XP_017887419.1, XP_017887415.1
OG0001416	XP_008194088.1	XP_026668278.1, XP_017882648.2
OG0001417	XP_973125.1	XP_017887492.1
OG0001418	XP_008191844.1	XP_017885400.1
OG0001419	XP_015838768.1, XP_015838769.1	XP_017882635.1, XP_026670647.1
OG0001420	XP_015836480.1, XP_968142.1	XP_026671452.1
OG0001421	XP_974319.1	XP_017892744.1, XP_017892743.1
OG0001422	XP_971902.1	XP_017885854.1, XP_017885853.1, XP_026672326.1
OG0001423	XP_976493.2	XP_026669133.1, XP_026667553.1
OG0001424	XP_973684.1	XP_017877030.1, XP_017877029.1, XP_017877033.1, XP_026667884.1, XP_017877034.1, XP_017877031.1
OG0001425	XP_015838773.1	XP_017875961.1
OG0001426	XP_015836693.1	XP_017887072.1, XP_017887075.1, XP_026672822.1, XP_017887071.1, XP_017887073.1, XP_017887074.1
OG0001427	XP_008200281.1	XP_017887786.1
OG0001428	XP_972790.1	XP_017876422.1, XP_026667570.1, XP_017876425.1, XP_017876424.1, XP_017876423.1
OG0001430	XP_974921.1	XP_017889757.1
OG0001432	XP_001815304.2, XP_008190450.1	XP_017877191.1
OG0001433	XP_001810287.1	XP_026670221.1, XP_017881880.1, XP_017887042.1
OG0001434	XP_015838174.1	XP_017889807.1
OG0001436	XP_967350.1, XP_967269.1, XP_008195569.1, XP_008195564.1, XP_008195566.1	XP_017875451.1, XP_026667144.1, XP_026667143.1, XP_017875452.1
OG0001437	XP_974738.1	XP_017889324.1, XP_017889326.1, XP_017889327.1
OG0001438	XP_015835335.1, XP_015835336.1	XP_017882586.1, XP_017882584.1, XP_017882585.1
OG0001439	XP_975295.1	XP_017885251.1
OG0001440	XP_969806.1	XP_026669665.1, XP_026669663.1, XP_026669664.1, XP_017880753.1
OG0001441	XP_015838362.1, XP_015838361.1, XP_972088.1	XP_017877253.1, XP_017877251.1
OG0001444	XP_008199773.1	XP_026669184.1, XP_017879880.1
OG0001451	XP_008198505.1	XP_017888302.1, XP_017888301.1, XP_026673460.1
OG0001452	XP_015834413.1, XP_015834401.1, XP_015834405.1, XP_008191903.1, XP_015833473.1, XP_015839946.1, XP_015834419.1, XP_015839949.1, XP_015839948.1, XP_015834414.1, XP_015837021.1, XP_008190650.1, XP_015835131.1, XP_015835130.1	XP_026673594.1, XP_026669177.1, XP_026669869.1
OG0001453	XP_008192135.1, XP_974780.1	XP_017885844.1
OG0001455	XP_008195504.1, XP_008195463.1	XP_017881514.1
OG0001456	XP_967649.1	XP_026667780.1, XP_026667784.1
OG0001457	XP_972313.1	XP_017880034.1
OG0001458	XP_969998.1	XP_017884582.1
OG0001459	XP_008197038.1, XP_971056.1	XP_026675395.1
OG0001460	XP_968481.1	XP_026671393.1, XP_017884092.1
OG0001461	XP_008195927.1	XP_017890699.1
OG0001462	XP_969537.1	XP_017887335.1
OG0001463	XP_975612.1	XP_026672318.1
OG0001464	XP_008192049.1, XP_008192050.1	XP_017880281.1
OG0001465	XP_970371.1	XP_017876776.1, XP_017876777.1
OG0001466	XP_971808.1	XP_017888947.1, XP_017888948.1
OG0001467	XP_008190991.1	XP_026675468.1, XP_026675469.1
OG0001468	XP_969120.1, NP_001164201.1	XP_017883650.1, XP_017883649.1
OG0001469	XP_015835402.1	XP_017882156.1
OG0001470	XP_972043.2, XP_015839118.1, XP_008198420.1	XP_026670189.1
OG0001471	XP_966863.1	XP_026668131.1, XP_017877509.1
OG0001472	XP_974027.1	XP_017880836.2, XP_017882420.1
OG0001473	XP_969761.2	XP_017879270.1
OG0001474	XP_008197149.1	XP_017882124.1
OG0001475	XP_008194014.1	XP_026667272.1, XP_026667270.1, XP_017875766.1
OG0001476	XP_008196197.1, XP_008196196.1, XP_015837812.1	XP_017880175.1
OG0001477	XP_008193717.1	XP_017882175.1
OG0001478	XP_971848.1	XP_017884388.1
OG0001479	XP_015835497.1	XP_017887456.1
OG0001480	XP_968112.1, XP_015840540.1	XP_017891707.1
OG0001481	XP_008192172.1, XP_008192171.1	XP_017879500.1
OG0001482	XP_008191953.1, XP_008191952.1	XP_017883654.1, XP_026671100.1
OG0001483	XP_015832869.1	XP_017885452.1
OG0001484	XP_008197131.1	XP_017884916.1
OG0001486	XP_008197650.1, NP_001280513.1	XP_026672451.1, XP_026672454.1
OG0001487	XP_015833845.1	XP_017876635.1
OG0001488	XP_015834903.1	XP_026666526.1, XP_026666533.1
OG0001491	XP_970708.2	XP_017875538.1
OG0001492	XP_973907.1	XP_017893678.1, XP_026666881.1
OG0001493	XP_001812538.1, XP_008194282.1	XP_017883907.1
OG0001494	XP_975427.2	XP_017880160.1
OG0001495	XP_972502.1, XP_975469.1	XP_017882031.1
OG0001496	XP_008191879.1, XP_008191880.1	XP_017891409.1
OG0001497	XP_973523.2, XP_008191647.1, XP_008191650.1, XP_008191649.1	XP_017877619.1
OG0001498	XP_008200217.1, XP_969950.2	XP_017881140.1
OG0001499	XP_974456.3	XP_017880154.1, XP_017878329.1
OG0001500	XP_015835209.1, NP_001280507.1	XP_026667478.1
OG0001501	XP_015833023.1	XP_017885255.1
OG0001502	XP_015833027.1	XP_017882984.1
OG0001503	XP_971310.1, XP_008195559.1	XP_017879971.1, XP_017879970.1
OG0001505	XP_015839664.1, XP_970228.2, XP_015838048.1	XP_017883156.1, XP_026670874.1
OG0001506	XP_973081.1	XP_017882579.1
OG0001507	XP_008197549.1, XP_970874.1	XP_017889498.1
OG0001508	XP_008201537.1	XP_026675341.1
OG0001509	XP_008196908.1	XP_017888843.1
OG0001510	XP_015838190.1	XP_017879018.1, XP_017892889.1
OG0001511	XP_970235.1	XP_017885232.1
OG0001512	XP_015838487.1	XP_026673003.1
OG0001513	XP_008195017.1	XP_017884443.1
OG0001514	XP_968217.2	XP_026674694.1
OG0001515	XP_967539.1	XP_017893465.1, XP_017893493.1, XP_017893475.1, XP_017893483.1
OG0001516	XP_015836356.1	XP_026667281.1, XP_026667280.1, XP_017875828.1, XP_026667282.1
OG0001517	XP_970104.3	XP_017886742.1
OG0001518	XP_967543.1	XP_026670093.1, XP_017881638.1
OG0001519	XP_967329.1, XP_001811319.1, XP_015837971.1, XP_015838004.1, XP_008196924.1, XP_967414.1	XP_017886273.1
OG0001521	XP_015837067.1	XP_026671068.1
OG0001522	XP_008198803.1	XP_017886164.1
OG0001523	XP_008198896.1, XP_008198895.1	XP_026668411.1, XP_026668410.1, XP_017878159.1
OG0001524	XP_008200329.1	XP_017875282.1
OG0001525	XP_969909.1	XP_017889808.1, XP_017889806.1
OG0001526	XP_008190710.1	XP_017887355.1, XP_026672942.1
OG0001527	XP_975382.1	XP_017881373.1
OG0001529	XP_008197492.1	XP_026672466.1, XP_026672474.1, XP_026672478.1, XP_026672488.1, XP_026672486.1, XP_017885398.1, XP_026672468.1
OG0001530	XP_972321.1	XP_017889183.1
OG0001531	XP_974940.1	XP_017879505.1
OG0001532	XP_008201526.1, XP_966735.2	XP_026673838.1, XP_017884610.1
OG0001533	XP_015839661.1	XP_017892515.1, XP_017892516.1, XP_017892517.1, XP_026675396.1, XP_026675397.1
OG0001534	XP_969604.2	XP_017880208.1, XP_017885096.2
OG0001535	XP_969480.1, XP_971061.2	XP_026675097.1, XP_017891037.1
OG0001536	XP_015833087.1	XP_017875095.1, XP_017875093.1
OG0001537	XP_972795.1	XP_017882609.1, XP_017882610.1
OG0001538	NP_001076809.1, XP_008195552.1	XP_017886236.1
OG0001539	XP_015839205.1, XP_008198054.1, NP_001164115.1, XP_001813274.1, XP_015836535.1	XP_026674421.1, XP_026674420.1
OG0001540	XP_973817.2, XP_008200667.1	XP_017889014.1
OG0001541	XP_968546.2	XP_026675415.1, XP_017892553.1
OG0001542	XP_008192060.1	XP_026668701.1, XP_017878786.1
OG0001543	XP_008199669.1	XP_026669849.1
OG0001545	XP_975212.1	XP_026670107.1, XP_026675304.1, XP_026672402.1, XP_026674393.1, XP_017879402.2, XP_026672688.1
OG0001546	XP_015836962.1, XP_015836964.1, XP_015836965.1, XP_015836963.1	XP_017891805.1
OG0001547	XP_008196118.1	XP_026673903.1
OG0001549	XP_967893.2	XP_017888159.1
OG0001551	XP_015832989.1	XP_017884371.2
OG0001552	XP_008190770.1, XP_008190772.1	XP_026671455.1, XP_017884355.1
OG0001553	XP_008200044.1	XP_017884263.1, XP_017884262.1
OG0001554	XP_008193024.1	XP_017888433.1, XP_026673527.1
OG0001555	XP_015835901.1	XP_017875845.1, XP_017875846.1
OG0001556	XP_970686.2	XP_017893482.1
OG0001557	XP_008190378.1	XP_017877629.1
OG0001559	XP_015836282.1	XP_017877587.1, XP_017877585.1, XP_017877586.1, XP_026668180.1
OG0001560	XP_015837120.1, XP_015837119.1, XP_015837117.1	XP_026670245.1, XP_026670080.1
OG0001561	XP_008201574.1	XP_017889717.1
OG0001562	XP_015833433.1, XP_008192389.1	XP_026669458.1, XP_017880457.2
OG0001563	XP_008192558.1, XP_008192559.1	XP_026673959.1, XP_026673955.1
OG0001565	XP_975257.1	XP_017882130.1
OG0001566	XP_008201287.1, XP_015835215.1, XP_015836111.1, XP_015833200.1, XP_015837869.1, XP_015837488.1, XP_015833749.1, XP_015837861.1, XP_015834539.1, XP_008201297.1, XP_015839374.1, XP_015835289.1, XP_015839894.1, XP_015833844.1, XP_015837108.1	XP_017887390.2
OG0001566	XP_015840357.1, XP_015835534.1	XP_026673580.1, XP_026673559.1, XP_026673901.1
OG0001567	XP_974106.1	XP_017882680.1, XP_017882684.1
OG0001568	XP_974421.1, XP_008195811.1	XP_026671175.1
OG0001569	XP_970921.1	XP_017875431.1
OG0001570	XP_974899.2	XP_017875150.1, XP_017875152.1, XP_017875151.1, XP_017885804.1
OG0001571	XP_973610.2	XP_017890463.1, XP_017892717.2
OG0001572	XP_971371.1	XP_017879452.1
OG0001573	XP_015833275.1	XP_017892741.1
OG0001574	XP_008199698.1	XP_017886184.1
OG0001575	XP_970330.2, XP_968079.1, XP_001813340.1	XP_017888111.2
OG0001575	XP_008197647.1	XP_026666896.1
OG0001576	XP_008193716.1	XP_026667012.1
OG0001577	XP_967646.1	XP_017885615.1, XP_026672158.1, XP_017885614.1
OG0001579	XP_015836149.1	XP_017876530.2
OG0001580	XP_008201637.1, XP_967750.1	XP_017888347.1, XP_017888344.1
OG0001581	XP_968816.1	XP_026670294.1
OG0001582	XP_015840194.1	XP_026669615.1, XP_017880629.1, XP_017880628.1
OG0001583	XP_008194225.1, XP_015835660.1	XP_026673971.1
OG0001584	XP_008195851.1	XP_017889139.1
OG0001586	XP_967561.1, XP_972037.1	XP_017879262.1, XP_017879261.1
OG0001587	XP_968197.1	XP_017892386.1, XP_017892383.1
OG0001588	XP_015834889.1	XP_017881662.1
OG0001589	XP_008197702.1, XP_008192720.1, XP_015836948.1	XP_026674955.1
OG0001590	XP_966455.1	XP_017879754.1
OG0001591	XP_967809.1	XP_026668586.1
OG0001592	XP_970967.2	XP_026674315.1
OG0001593	XP_015836546.1	XP_017889870.1
OG0001594	XP_971722.1	XP_026671535.1, XP_026671711.1
OG0001595	XP_971845.3	XP_017881535.1, XP_017881534.1
OG0001596	XP_008190483.1	XP_026672205.1, XP_026672211.1, XP_026672207.1, XP_026672206.1, XP_026672209.1, XP_017885740.1, XP_026672208.1, XP_026672210.1
OG0001597	XP_967895.1	XP_026667798.1
OG0001597	XP_967819.1	XP_017876747.2
OG0001598	XP_970210.1, XP_971398.1	XP_017881745.1
OG0001602	XP_015838387.1, XP_015838385.1	XP_026674281.1
OG0001603	XP_015834051.1, XP_968352.3	XP_026673231.1, XP_026667519.1
OG0001604	XP_008200661.1, XP_967231.3	XP_017881294.1, XP_017881292.1
OG0001605	XP_008201547.1, XP_015840720.1	XP_026673228.1
OG0001606	XP_973145.3, XP_015834931.1, XP_008192087.1, XP_008192090.1, XP_008192091.1, XP_008192086.1, XP_015834933.1	XP_017888687.1
OG0001607	XP_976004.1, XP_008198242.1	XP_026675048.1, XP_017891714.1, XP_017891715.1, XP_017891716.1
OG0001608	XP_972286.1	XP_017881106.1, XP_017881107.1, XP_017881105.1
OG0001609	XP_008199066.2	XP_017883252.1, XP_026671014.1
OG0001612	XP_008200626.1, XP_008200627.1	XP_017881044.1, XP_017881043.1, XP_026669801.1, XP_026669802.1
OG0001614	XP_008194443.1, NP_001139415.1	XP_017883388.1
OG0001615	XP_967910.1	XP_026674697.1, XP_017890960.1
OG0001616	XP_967918.1, XP_015837909.1	XP_017876471.1, XP_017876481.1
OG0001617	XP_973076.1	XP_017876865.1
OG0001619	XP_968073.1	XP_017874994.1, XP_017874993.1
OG0001620	XP_967558.1	XP_026673662.1
OG0001621	XP_008194243.1	XP_026672226.1, XP_026672225.1, XP_017885786.1, XP_017885787.1, XP_017885788.1, XP_017885790.1
OG0001622	XP_008194474.1, XP_001811901.2	XP_026675335.1
OG0001623	XP_974776.1, XP_974759.1	XP_017877969.1
OG0001624	NP_001153783.1	XP_017880405.1
OG0001625	XP_973818.1	XP_017893078.1
OG0001626	XP_967659.3	XP_017875692.1
OG0001627	XP_008198503.1	XP_017880923.1
OG0001628	XP_015840508.1	XP_017889213.2, XP_026666872.1
OG0001629	XP_968147.1, XP_008195384.1	XP_017888381.1, XP_017879817.1
OG0001631	XP_008198296.1, XP_008198297.1	XP_017879946.1
OG0001632	XP_008198970.1	XP_017884911.1
OG0001633	XP_008195201.1	XP_017893400.1
OG0001634	XP_008190427.1	XP_017890676.1
OG0001635	XP_972058.1	XP_017886906.1
OG0001636	XP_001808212.1	XP_017879192.1
OG0001637	XP_968378.1	XP_017886568.1
OG0001638	XP_974870.1	XP_017882539.1
OG0001639	XP_008190658.1, XP_969463.1	XP_017884733.1
OG0001640	XP_968671.1, XP_968743.1	XP_017875145.1
OG0001641	NP_001161257.1	XP_017891802.1
OG0001642	XP_975475.2	XP_017879182.1
OG0001643	XP_015838711.1, XP_008197729.1, XP_015838712.1	XP_017884457.1
OG0001645	XP_968472.1	XP_017880045.1, XP_026669289.1, XP_026669290.1
OG0001646	XP_015836692.1	XP_026668720.1, XP_017878838.1, XP_017878836.1, XP_017878835.1
OG0001647	XP_008196907.1	XP_026674619.1
OG0001648	XP_970811.3	XP_017875340.1
OG0001649	XP_968588.1	XP_017881323.1
OG0001650	XP_008196718.1	XP_026675245.1
OG0001651	XP_008201666.1	XP_026667616.1, XP_026667603.1
OG0001652	XP_008201098.1	XP_026675374.1, XP_017892220.1
OG0001653	XP_969495.1	XP_017883279.1
OG0001655	XP_968200.2	XP_017892397.1
OG0001656	XP_966649.1	XP_017891121.1
OG0001657	XP_972931.1	XP_026672283.1, XP_017886007.1
OG0001658	XP_008194959.1	XP_017878018.1
OG0001659	XP_008200384.1	XP_017889582.1
OG0001660	XP_975550.1	XP_017893028.1
OG0001661	XP_008198980.1	XP_026670628.1, XP_026670616.1
OG0001662	XP_015838476.1	XP_017886371.1
OG0001663	XP_008195710.1	XP_017876718.1, XP_017876719.1
OG0001664	NP_001135406.1, XP_015836766.1	XP_017883594.1, XP_017883592.1
OG0001665	XP_008200528.1	XP_017878558.1
OG0001666	XP_966660.1	XP_017883967.1
OG0001667	XP_970532.1	XP_017879513.1, XP_026669075.1
OG0001668	XP_015837252.1	XP_017882678.1, XP_026670676.1
OG0001669	XP_969894.1, XP_008190493.1, XP_008190492.1	XP_017878986.1, XP_017878989.1
OG0001670	XP_015840620.1	XP_017875801.1
OG0001671	XP_008191116.1	XP_017882254.1
OG0001672	XP_972180.1	XP_026673491.1, XP_017888448.1
OG0001673	XP_015836576.1	XP_017891424.1, XP_017891429.1
OG0001674	XP_008200693.1	XP_017888194.1
OG0001675	XP_973975.1	XP_017884842.1
OG0001676	XP_008193502.1	XP_017885189.1, XP_017885190.1
OG0001677	XP_970641.1	XP_026671202.1
OG0001678	XP_974956.1, XP_015833321.1	XP_026673248.1, XP_026673247.1, XP_017887877.1
OG0001679	XP_975143.1	XP_026673450.1
OG0001680	XP_015838153.1	XP_017880192.1
OG0001681	XP_971049.1	XP_026668087.1
OG0001682	XP_015839568.1, XP_008199877.1	XP_017880907.1
OG0001683	XP_975042.1	XP_017885079.1
OG0001684	XP_015838963.1, XP_015839133.1, XP_015839136.1	XP_017891459.2
OG0001685	XP_008196454.1, XP_972983.2	XP_017882422.2
OG0001686	XP_008190435.1, XP_008190436.1	XP_017878346.1
OG0001687	XP_008194075.1, XP_015836165.1	XP_026672887.1, XP_026672817.1
OG0001688	NP_001280530.1	XP_017877565.1, XP_017877567.1, XP_026668167.1, XP_026668168.1, XP_017877564.1
OG0001689	XP_015836120.1	XP_017888563.1
OG0001690	XP_008194929.1	XP_017884563.1, XP_017884565.1
OG0001691	XP_969223.1	XP_026671374.1, XP_017884155.1
OG0001692	XP_015836122.1, XP_015836121.1	XP_017885636.1, XP_026675558.1
OG0001693	XP_008200041.1	XP_017875666.1
OG0001694	XP_008196858.1	XP_026672387.1, XP_026672388.1, XP_017886053.1
OG0001695	XP_008194025.1	XP_017889583.1
OG0001696	XP_008199058.1	XP_026667052.1
OG0001697	XP_966430.2	XP_017889914.1, XP_026674031.1, XP_026674032.1
OG0001699	XP_966756.1	XP_017887230.1
OG0001700	XP_008198754.1	XP_017882876.1, XP_026670779.1, XP_026670780.1
OG0001701	XP_008195151.1, XP_008195147.1	XP_017877082.1
OG0001702	XP_971283.1	XP_017887580.1
OG0001703	XP_973910.1	XP_026674679.1
OG0001704	XP_015839476.1	XP_017888495.1, XP_017888494.1, XP_026673516.1, XP_026673517.1, XP_017888497.1, XP_017888496.1
OG0001707	XP_972022.1	XP_017876145.1
OG0001708	XP_971764.2, XP_015838804.1	XP_017883231.1
OG0001709	XP_015835409.1	XP_026672855.1, XP_026672844.1
OG0001710	XP_015836909.1	XP_017890623.2
OG0001711	XP_008197982.1, XP_015838980.1, XP_969573.1	XP_017891682.1
OG0001712	XP_008191120.1, XP_015839938.1	XP_017876930.1
OG0001713	XP_008192792.1, XP_008192793.1	XP_017879776.1
OG0001714	XP_968879.1	XP_017877102.1, XP_017875604.2
OG0001715	XP_972976.2	XP_017886030.1
OG0001717	XP_970328.1	XP_017878801.1
OG0001718	XP_973987.1, XP_008190931.1	XP_017893125.1
OG0001719	XP_969295.1	XP_017875778.1
OG0001720	XP_008195419.1	XP_026668016.1, XP_017877352.1, XP_017877351.1
OG0001721	XP_971909.2, XP_001813448.1	XP_017893357.1
OG0001722	XP_015837216.1, XP_008199610.1	XP_017879558.1
OG0001723	XP_008193918.1	XP_017889630.1, XP_026674230.1
OG0001724	XP_974615.1	XP_017890174.1, XP_017890173.1
OG0001725	XP_971172.2	XP_017883704.1
OG0001726	XP_972049.2, XP_015839452.1	XP_017886793.1, XP_017886882.1
OG0001728	XP_015836419.1	XP_026672112.1, XP_017888366.1, XP_026670200.1
OG0001729	XP_015840335.1, XP_015833348.1	XP_017882117.1
OG0001730	XP_015833482.1	XP_026670129.1
OG0001731	XP_008191795.1, XP_970721.2	XP_017886957.1, XP_026672777.1
OG0001732	XP_973118.1	XP_017891303.1
