Orthogroup	Tribolium_castaneum	Aedes_aegypti
OG0001322	XP_008196249.1	XP_021713221.1, XP_021713222.1, XP_021713223.1
OG0001328	XP_969305.1	XP_021709467.1
OG0001329	XP_008190670.1	XP_001657589.2
OG0001330	XP_008195392.1	XP_001652750.1
OG0001331	XP_975415.1	XP_001654299.1
OG0001332	XP_008197848.1	XP_001652269.1
OG0001333	XP_008195720.1, XP_969089.1	XP_001651256.1
OG0001334	XP_015838448.1	XP_001650222.1, XP_001654443.1
OG0001335	XP_008193497.1	XP_001649624.2, XP_001649625.2
OG0001336	XP_001815618.1	XP_021703688.1, XP_021703684.1
OG0001337	XP_970871.1	XP_021707110.1
OG0001338	NP_001139390.1	XP_001660476.2
OG0001339	XP_970397.1	XP_001654036.2
OG0001340	XP_008193660.1, XP_970247.1	XP_021709482.1, XP_001655390.1, XP_001655391.1
OG0001341	XP_008199365.1	XP_021695378.1, XP_021703438.1
OG0001342	XP_008199415.1	XP_021707182.1
OG0001343	XP_015835564.1, XP_008194046.1	XP_001662179.2
OG0001344	XP_967651.3	XP_021699741.1, XP_021699742.1, XP_021699744.1, XP_001658638.2, XP_021699743.1
OG0001345	XP_974634.1	XP_001661090.1
OG0001346	XP_008200257.1	XP_001648900.1, XP_021707707.1
OG0001347	XP_973080.2	XP_001659204.1
OG0001348	XP_008194100.1	XP_001661832.1
OG0001349	XP_008197983.1	XP_001654544.1
OG0001350	XP_015837465.1, XP_015837464.1	XP_001655317.2
OG0001351	XP_015832916.1, XP_971672.1	XP_021705308.1, XP_021705307.1, XP_021705305.1, XP_021705304.1, XP_021705303.1, XP_021705302.1, XP_021705309.1
OG0001352	XP_008199131.1	XP_021705226.1
OG0001353	XP_015833130.1, XP_015833131.1, XP_970090.1	XP_001656906.2
OG0001355	NP_001127921.1, XP_008197034.1	XP_021710337.1
OG0001356	XP_968380.1, NP_001280528.1	XP_021696915.1
OG0001357	XP_008195370.1	XP_021700297.1, XP_021700298.1, XP_021700299.1, XP_021700289.1, XP_021700288.1, XP_021700294.1, XP_021700295.1, XP_021700296.1, XP_021700290.1, XP_021700292.1, XP_021700293.1, XP_021700300.1
OG0001359	XP_972884.1	XP_001655316.1
OG0001362	XP_015835360.1, XP_008200476.1	XP_021711634.1, XP_001650538.2, XP_021711639.1, XP_021711636.1, XP_021711635.1, XP_021711638.1, XP_021711637.1
OG0001363	NP_001107813.1, XP_008193052.1	XP_001659788.1
OG0001364	XP_008201239.1, NP_001034514.1	XP_021704232.1
OG0001365	XP_971819.1	XP_021703837.1, XP_021703838.1, XP_021703833.1, XP_021703834.1, XP_021703836.1, XP_021703835.1
OG0001366	XP_969992.1	XP_001659892.2
OG0001367	XP_974803.1, XP_008196057.2	XP_001648364.2, XP_001657924.1, XP_001654932.2, XP_001654934.2, XP_001660482.1, XP_001660484.1, XP_001660483.1, XP_021701594.1, XP_001657925.2
OG0001368	XP_968199.1	XP_001658458.1, XP_021709263.1, XP_021709266.1
OG0001369	XP_971568.1, XP_008190885.1, XP_008190887.1, XP_008190886.1, XP_971622.1, XP_008190884.1	XP_001661015.2
OG0001370	XP_008199205.1	XP_021711931.1, XP_001650631.2
OG0001371	XP_974014.1, XP_015835087.1, XP_015835088.1	XP_001649083.3, XP_021697602.1, XP_021712118.1
OG0001372	XP_008194525.1	XP_021696997.1, XP_021697000.1, XP_021697001.1, XP_021696999.1, XP_021696995.1, XP_021696996.1
OG0001373	XP_968404.1, XP_015839616.1	XP_021694453.1
OG0001374	XP_001814181.1	XP_001657485.1
OG0001375	XP_008190523.1	XP_021699017.1, XP_021699013.1
OG0001376	XP_972494.1	XP_021704527.1
OG0001377	XP_008192006.1	XP_001664237.1
OG0001378	XP_974170.1	XP_021712935.1, XP_021712936.1, XP_001649534.1, XP_021695113.1
OG0001379	XP_008200289.1	XP_021700986.1, XP_021700988.1, XP_021700987.1, XP_021700980.1, XP_021700981.1, XP_021700982.1, XP_021700983.1, XP_021700984.1, XP_001649718.1, XP_021700985.1
OG0001380	XP_008198237.1	XP_021703772.1, XP_021703773.1, XP_021703774.1, XP_001653369.1, XP_021703771.1
OG0001381	XP_970624.1, XP_015837364.1, XP_015837357.1	XP_001648807.1
OG0001382	XP_015837790.1, XP_008196501.1, XP_975884.1, XP_008196500.1	XP_021701098.1, XP_001651389.2, XP_001648852.1
OG0001383	XP_008196388.1, XP_015837150.1	XP_001662373.2
OG0001384	XP_974696.2	XP_001660023.2
OG0001385	NP_001280529.1, XP_008200155.1, NP_001280662.1	XP_021698595.1
OG0001386	XP_015836790.1	XP_021698247.1
OG0001387	XP_973997.3	XP_001656936.1
OG0001388	XP_008198472.1, XP_015839126.1	XP_021711868.1, XP_021710112.1
OG0001389	XP_015835153.1, XP_015835175.1	XP_021705377.1, XP_001661979.2, XP_021698303.1, XP_021698302.1
OG0001390	XP_008196746.1	XP_021700843.1
OG0001391	XP_015835294.1	XP_021697039.1, XP_021697040.1, XP_021697038.1, XP_021697041.1
OG0001392	XP_972774.2	XP_021709568.1, XP_021709569.1, XP_021709567.1
OG0001393	NP_001092812.1, XP_008191439.1	XP_021696289.1, XP_021696288.1
OG0001394	XP_974474.1	XP_001650424.1
OG0001395	XP_008197875.1	XP_021696363.1, XP_021696349.1
OG0001396	XP_001807060.1	XP_001662596.2, XP_021699720.1
OG0001397	XP_015840901.1, XP_015840903.1	XP_021712502.1, XP_021693812.1
OG0001398	XP_008199101.1, XP_974850.1	XP_001657045.2, XP_021694877.1
OG0001399	XP_015833723.1	XP_001651707.1
OG0001400	XP_008192848.1	XP_021703961.1, XP_021703962.1
OG0001401	XP_966394.2	XP_001660577.1
OG0001402	XP_973256.1	XP_001664062.1
OG0001403	XP_015834718.1	XP_021710754.1, XP_001650547.1
OG0001404	XP_975540.1, XP_015837367.1	XP_001659873.1, XP_021700729.1, XP_021700728.1
OG0001405	XP_970709.2	XP_001649519.2, XP_001649518.2, XP_001649517.2
OG0001406	XP_001808764.1	XP_021712670.1
OG0001408	XP_973448.1	XP_021713401.1
OG0001409	XP_008201593.1	XP_021711099.1
OG0001410	XP_015837864.1, NP_001280533.1	XP_021708563.1
OG0001414	XP_008192642.1, XP_008192641.1, XP_974537.1	XP_021702146.1
OG0001415	XP_015834284.1, XP_008197482.1	XP_021699093.1
OG0001416	XP_008194088.1	XP_021712252.1
OG0001417	XP_973125.1	XP_021695666.1
OG0001418	XP_008191844.1	XP_021702027.1
OG0001419	XP_015838768.1, XP_015838769.1	XP_021703807.1
OG0001420	XP_015836480.1	XP_001655783.1
OG0001420	XP_968142.1	XP_001652599.2
OG0001421	XP_974319.1	XP_001657115.1
OG0001422	XP_971902.1	XP_001650075.2
OG0001423	XP_976493.2	XP_001659271.2
OG0001424	XP_973684.1	XP_001648513.1
OG0001425	XP_015838773.1	XP_021693444.1, XP_021693451.1, XP_021693464.1, XP_021693471.1, XP_021693468.1, XP_021693475.1, XP_021693480.1, XP_021693491.1, XP_021693456.1
OG0001426	XP_015836693.1	XP_021701495.1
OG0001427	XP_008200281.1	XP_001660203.1
OG0001428	XP_972790.1	XP_001647790.2
OG0001430	XP_974921.1	XP_001654175.2, XP_021708114.1
OG0001432	XP_001815304.2, XP_008190450.1	XP_021708580.1, XP_001660017.2, XP_021708611.1, XP_021708613.1, XP_021708608.1, XP_001663217.2
OG0001433	XP_001810287.1	XP_001662331.2
OG0001434	XP_015838174.1	XP_001663415.1
OG0001435	XP_015840346.1	XP_021711791.1, XP_021694248.1, XP_021711091.1, XP_021694242.1
OG0001436	XP_967350.1, XP_967269.1, XP_008195569.1, XP_008195564.1, XP_008195566.1	XP_021697897.1
OG0001437	XP_974738.1	XP_021700178.1
OG0001438	XP_015835335.1, XP_015835336.1	XP_021708714.1, XP_021704285.1
OG0001439	XP_975295.1	XP_021705419.1, XP_021711772.1
OG0001440	XP_969806.1	XP_021706240.1
OG0001441	XP_015838362.1, XP_015838361.1, XP_972088.1	XP_021706835.1, XP_021706838.1, XP_021712543.1, XP_021706836.1
OG0001442	XP_015833984.1	XP_021706881.1
OG0001444	XP_008199773.1	XP_021708725.1
OG0001453	XP_008192135.1, XP_974780.1	XP_001652827.1, XP_001652828.1, XP_001652829.1
OG0001455	XP_008195504.1, XP_008195463.1	XP_001659135.1, XP_001649843.1
OG0001456	XP_967649.1	XP_021706989.1
OG0001457	XP_972313.1	XP_001656531.1
OG0001458	XP_969998.1	XP_021709031.1
OG0001459	XP_971056.1	XP_001658793.2
OG0001460	XP_968481.1	XP_001663584.2
OG0001461	XP_008195927.1	XP_001649395.2
OG0001462	XP_969537.1	XP_021710250.1, XP_021710252.1
OG0001463	XP_975612.1	XP_021706165.1, XP_021706164.1
OG0001464	XP_008192049.1, XP_008192050.1	XP_001656398.1, XP_001664152.2, XP_001651087.1, XP_001651086.1
OG0001465	XP_970371.1	XP_011493120.1, XP_021707681.1, XP_021707682.1, XP_021707683.1
OG0001466	XP_971808.1	XP_001652327.1
OG0001467	XP_008190991.1	XP_001649724.2
OG0001468	XP_969120.1, NP_001164201.1	XP_001648269.1
OG0001469	XP_015835402.1	XP_001655637.2, XP_021694126.1, XP_021712662.1, XP_021712661.1, XP_021694127.1, XP_021712660.1
OG0001470	XP_972043.2, XP_015839118.1, XP_008198420.1	XP_001650785.1, XP_001650784.1, XP_001652204.1
OG0001471	XP_966863.1	XP_001657926.1
OG0001472	XP_974027.1	XP_001656628.1
OG0001473	XP_969761.2	XP_021699212.1
OG0001474	XP_008197149.1	XP_001662447.1
OG0001475	XP_008194014.1	XP_001664045.2
OG0001476	XP_008196197.1, XP_008196196.1, XP_015837812.1	XP_021705887.1
OG0001477	XP_008193717.1	XP_001654194.2
OG0001478	XP_971848.1	XP_021711922.1, XP_021699182.1
OG0001479	XP_015835497.1	XP_001655863.1
OG0001480	XP_968112.1, XP_015840540.1	XP_021708351.1
OG0001481	XP_008192172.1, XP_008192171.1	XP_021711458.1, XP_021711459.1, XP_021711454.1, XP_021711457.1, XP_021711456.1, XP_021711455.1
OG0001482	XP_008191953.1, XP_008191952.1	XP_021694591.1, XP_021694590.1, XP_021694592.1, XP_021694593.1, XP_021694594.1, XP_021694595.1, XP_001661357.2
OG0001483	XP_015832869.1	XP_021713037.1, XP_021710729.1, XP_021711353.1, XP_021713109.1, XP_021712820.1, XP_021713247.1, XP_021713178.1, XP_021711820.1, XP_021712986.1, XP_021710117.1, XP_021712319.1
OG0001484	XP_008197131.1	XP_021713154.1, XP_021707140.1, XP_021707142.1, XP_021707144.1, XP_021707145.1, XP_021707146.1, XP_021707138.1, XP_021707137.1, XP_021707141.1, XP_021707139.1, XP_021707143.1
OG0001485	XP_975329.1	XP_021700466.1
OG0001486	XP_008197650.1, NP_001280513.1	XP_001648831.2, XP_021701667.1, XP_001659833.2
OG0001487	XP_015833845.1	XP_021697348.1, XP_021697349.1, XP_021697346.1, XP_021697347.1, XP_021697353.1, XP_021697354.1, XP_021697351.1, XP_021697352.1, XP_021697355.1
OG0001488	XP_015834903.1	XP_021710667.1
OG0001490	XP_008196389.1, XP_974383.1, XP_008196042.1, XP_008195752.1	XP_021701945.1, XP_021701935.1
OG0001492	XP_973907.1	XP_001662155.1, XP_001654105.1, XP_021713033.1
OG0001493	XP_001812538.1, XP_008194282.1	XP_021698974.1
OG0001494	XP_975427.2	XP_021697267.1, XP_021697268.1, XP_021697269.1
OG0001495	XP_975469.1	XP_021707805.1
OG0001496	XP_008191879.1, XP_008191880.1	XP_021695727.1, XP_011493651.1, XP_001655836.1
OG0001497	XP_973523.2, XP_008191647.1, XP_008191650.1, XP_008191649.1	XP_021707615.1
OG0001498	XP_008200217.1, XP_969950.2	XP_021697831.1
OG0001499	XP_974456.3	XP_001651889.2
OG0001500	XP_015835209.1, NP_001280507.1	XP_021705614.1, XP_021705612.1, XP_021705613.1, XP_021705610.1, XP_021705611.1, XP_021705609.1
OG0001501	XP_015833023.1	XP_021712753.1, XP_021699608.1
OG0001502	XP_015833027.1	XP_021699619.1
OG0001503	XP_971310.1, XP_008195559.1	XP_021702842.1, XP_021702843.1, XP_021702844.1
OG0001505	XP_015839664.1, XP_970228.2, XP_015838048.1	XP_001660600.2, XP_021704345.1
OG0001506	XP_973081.1	XP_021702222.1, XP_021702224.1, XP_021702223.1, XP_001663031.1
OG0001507	XP_008197549.1, XP_970874.1	XP_021713312.1
OG0001508	XP_008201537.1	XP_001658818.2
OG0001509	XP_008196908.1	XP_021708146.1, XP_021708145.1, XP_021708148.1, XP_021708147.1, XP_021708149.1, XP_021708142.1, XP_021708144.1, XP_021708143.1
OG0001510	XP_015838190.1	XP_021707687.1
OG0001511	XP_970235.1	XP_001654598.1, XP_021697822.1
OG0001512	XP_015838487.1	XP_021705417.1, XP_021705418.1, XP_021705415.1, XP_021705416.1, XP_021705414.1
OG0001513	XP_008195017.1	XP_001654919.1, XP_021709538.1, XP_021709542.1, XP_021709539.1, XP_021709540.1, XP_021709543.1, XP_021709541.1, XP_001654920.1, XP_021709544.1
OG0001514	XP_968217.2	XP_001655385.1, XP_021705456.1
OG0001515	XP_967539.1	XP_021703402.1, XP_021703403.1, XP_021703404.1, XP_021703405.1
OG0001516	XP_015836356.1	XP_001657534.2
OG0001517	XP_970104.3	XP_021712247.1
OG0001518	XP_967543.1	XP_021702663.1
OG0001519	XP_967329.1, XP_001811319.1, XP_015837971.1, XP_015838004.1, XP_008196924.1, XP_967414.1	XP_021695723.1, XP_021695724.1
OG0001520	XP_008194955.2	XP_001659529.1
OG0001521	XP_008196004.1	XP_001663347.2
OG0001522	XP_008198803.1	XP_021710700.1
OG0001523	XP_008198896.1, XP_008198895.1	XP_021693518.1
OG0001524	XP_008200329.1	XP_021693893.1, XP_021693937.1
OG0001525	XP_969909.1	XP_021706611.1, XP_021706609.1, XP_021706610.1
OG0001526	XP_008190710.1	XP_021699965.1, XP_021699966.1, XP_021699961.1
OG0001527	XP_975382.1	XP_021705511.1, XP_001659060.1
OG0001529	XP_008197492.1	XP_001653365.2, XP_001653366.2
OG0001530	XP_972321.1	XP_001659200.1
OG0001531	XP_974940.1	XP_001654172.1, XP_021711999.1
OG0001532	XP_008201526.1, XP_966735.2	XP_021705174.1
OG0001533	XP_015839661.1	XP_021697618.1
OG0001534	XP_969604.2	XP_021707804.1
OG0001535	XP_969480.1, XP_971061.2	XP_001654088.2
OG0001536	XP_015833087.1	XP_021698558.1, XP_021698552.1
OG0001537	XP_972795.1	XP_021710074.1, XP_001655561.2
OG0001538	NP_001280549.1, XP_015839552.1	XP_001653920.3
OG0001539	XP_015839205.1, XP_008198054.1, NP_001164115.1, XP_001813274.1, XP_015836535.1	XP_001655433.2
OG0001540	XP_973817.2, XP_008200667.1	XP_021711753.1, XP_021698365.1, XP_021698362.1, XP_021698363.1, XP_021698361.1, XP_021698364.1
OG0001541	XP_968546.2	XP_021698640.1, XP_021698641.1, XP_021698643.1, XP_021698642.1, XP_021698644.1
OG0001542	XP_008192060.1	XP_021703912.1
OG0001543	XP_008199669.1	XP_021695126.1, XP_021695125.1, XP_021695123.1, XP_001656251.2
OG0001545	XP_975212.1	XP_021703178.1
OG0001546	XP_015836962.1, XP_015836964.1, XP_015836965.1, XP_015836963.1	XP_021694031.1
OG0001547	XP_008196118.1	XP_021696774.1, XP_021696775.1, XP_021696776.1, XP_021696777.1, XP_021696778.1
OG0001551	XP_015832989.1	XP_001649247.2
OG0001552	XP_008190770.1, XP_008190772.1	XP_021709518.1, XP_021709510.1
OG0001553	XP_008200044.1	XP_001649155.2
OG0001554	XP_008193024.1	XP_021699256.1
OG0001555	XP_015835901.1	XP_021708369.1
OG0001556	XP_970686.2	XP_021698930.1
OG0001557	XP_015836089.1	XP_021707945.1
OG0001557	XP_008190378.1	XP_021703099.1
OG0001559	XP_015836282.1	XP_021709809.1
OG0001560	XP_015837120.1, XP_015837119.1, XP_015837117.1	XP_021700177.1
OG0001561	XP_008201574.1	XP_001659517.1
OG0001562	XP_015833433.1, XP_008192389.1	XP_021699829.1, XP_021699830.1
OG0001563	XP_008192558.1, XP_008192559.1	XP_021707780.1
OG0001565	XP_975257.1	XP_001654340.2, XP_021699250.1, XP_021699255.1, XP_021699253.1, XP_021699252.1, XP_021699251.1
OG0001567	XP_974106.1	XP_021705207.1
OG0001568	XP_974421.1, XP_008195811.1	XP_021707976.1, XP_001649607.2, XP_021707970.1
OG0001569	XP_970921.1	XP_001653986.2
OG0001570	XP_974899.2	XP_021697701.1
OG0001571	XP_973610.2	XP_021701795.1, XP_021711966.1
OG0001572	XP_971371.1	XP_001661833.2, XP_001661834.1
OG0001575	XP_970330.2, XP_968079.1, XP_001813340.1	XP_021699040.1
OG0001575	XP_008197647.1	XP_001662131.2, XP_001648863.2
OG0001576	XP_008193716.1	XP_021700231.1
OG0001577	XP_967646.1	XP_021694857.1
OG0001579	XP_015836149.1	XP_021697228.1
OG0001580	XP_008201637.1, XP_967750.1	XP_021708412.1
OG0001581	XP_968816.1	XP_021701022.1, XP_021701021.1, XP_021701019.1, XP_021701020.1, XP_021701017.1, XP_021701018.1, XP_021701015.1, XP_021701016.1, XP_021701023.1
OG0001582	XP_015840194.1	XP_021693418.1
OG0001583	XP_008194225.1, XP_015835660.1	XP_001653136.2
OG0001584	XP_008195851.1	XP_021697527.1
OG0001586	XP_967561.1, XP_972037.1	XP_021704945.1, XP_001654729.2
OG0001587	XP_968197.1	XP_001659266.1
OG0001588	XP_015834889.1	XP_021708908.1
OG0001589	XP_008197702.1	XP_021705121.1, XP_001657326.1
OG0001590	XP_966455.1	XP_001648508.2, XP_021709476.1, XP_001662559.2, XP_001658622.2, XP_001662400.2, XP_001662401.2
OG0001591	XP_967809.1	XP_001649539.2
OG0001592	XP_970967.2	XP_001652031.2, XP_001652030.2
OG0001593	XP_015836546.1	XP_021706070.1, XP_021706066.1, XP_021706068.1, XP_021706069.1, XP_021706060.1, XP_021706061.1, XP_021706062.1, XP_021706063.1, XP_021706065.1, XP_021706067.1, XP_001652228.1
OG0001594	XP_971722.1	XP_001652589.2
OG0001595	XP_971845.3	XP_001654339.2
OG0001596	XP_008190483.1	XP_001655002.2
OG0001597	XP_967819.1	XP_001655545.1
OG0001598	XP_970210.1, XP_971398.1	XP_001657509.1, XP_001660818.2, XP_001657506.2
OG0001601	XP_008199668.1, XP_008199653.1	XP_021693003.1, XP_021693005.1, XP_021712673.1
OG0001602	XP_015838387.1, XP_015838385.1	XP_021711854.1, XP_021693787.1
OG0001603	XP_015834051.1, XP_968352.3	XP_021694636.1
OG0001604	XP_008200661.1, XP_967231.3	XP_021698607.1, XP_021698608.1
OG0001605	XP_008201547.1, XP_015840720.1	XP_021698633.1
OG0001606	XP_973145.3, XP_015834931.1, XP_008192087.1, XP_008192090.1, XP_008192091.1, XP_008192086.1, XP_015834933.1	XP_021698821.1, XP_021698822.1
OG0001607	XP_976004.1, XP_008198242.1	XP_021701306.1
OG0001608	XP_972286.1	XP_021701802.1, XP_021701803.1, XP_021701800.1, XP_021701801.1
OG0001609	XP_008199066.2	XP_021710794.1, XP_021710793.1, XP_021710792.1
OG0001614	XP_008194443.1, NP_001139415.1	XP_001661445.1
OG0001615	XP_967910.1	XP_001649059.1, XP_001649058.1
OG0001616	XP_967918.1, XP_015837909.1	XP_021712922.1, XP_001654033.1
OG0001617	XP_973076.1	XP_021712041.1, XP_001651134.1
OG0001618	XP_015834806.1	XP_021703737.1, XP_021698268.1, XP_021703733.1, XP_021695386.1, XP_021703736.1, XP_021703734.1, XP_021703735.1, XP_021695387.1, XP_001654638.2, XP_021698269.1, XP_021703745.1, XP_021703747.1, XP_021703746.1, XP_021696911.1, XP_001661222.1, XP_021700755.1, XP_001662955.2, XP_021695457.1, XP_001663555.2
OG0001619	XP_968073.1	XP_001659711.1
OG0001620	XP_967558.1	XP_001650713.1
OG0001621	XP_008194243.1	XP_001653624.2
OG0001622	XP_008194474.1, XP_001811901.2	XP_001660625.1
OG0001623	XP_974776.1, XP_974759.1	XP_001653270.2
OG0001624	NP_001153783.1	XP_001656550.2
OG0001625	XP_973818.1	XP_001661087.1
OG0001626	XP_967659.3	XP_001649135.1
OG0001627	XP_008198503.1	XP_021707044.1, XP_011493541.1, XP_001654478.1
OG0001628	XP_015840508.1	XP_021693961.1
OG0001629	XP_968147.1, XP_008195384.1	XP_001660169.1
OG0001630	XP_967133.1, XP_008193096.2	XP_021699215.1, XP_021699214.1
OG0001631	XP_008198296.1, XP_008198297.1	XP_021704306.1
OG0001633	XP_008195201.1	XP_021698387.1, XP_021698388.1, XP_021698385.1, XP_021698386.1, XP_021698396.1, XP_021698395.1, XP_021698391.1, XP_021698392.1, XP_021698389.1, XP_021698393.1, XP_021698394.1, XP_021698390.1
OG0001634	XP_008190427.1	XP_021707434.1, XP_021707433.1, XP_001649577.2
OG0001635	XP_972058.1	XP_001660621.2
OG0001636	XP_001808212.1	XP_001661101.1
OG0001637	XP_968378.1	XP_001658256.1
OG0001638	XP_974870.1	XP_001662068.2
OG0001639	XP_008190658.1, XP_969463.1	XP_021706741.1
OG0001640	XP_968671.1, XP_968743.1	XP_021711928.1, XP_001660977.2
OG0001641	NP_001161257.1	XP_001649767.2, XP_021710563.1, XP_001649763.2, XP_021710569.1
OG0001642	XP_975475.2	XP_021704630.1, XP_021704631.1, XP_001648127.2
OG0001645	XP_968472.1	XP_021713239.1
OG0001646	XP_015836692.1	XP_001651173.2
OG0001647	XP_008196907.1	XP_021710653.1, XP_021710277.1
OG0001648	XP_970811.3	XP_001651963.2
OG0001649	XP_968588.1	XP_021699402.1
OG0001650	XP_008196718.1	XP_001660443.2
OG0001651	XP_008201666.1	XP_021712338.1
OG0001652	XP_008201098.1	XP_021709162.1
OG0001653	XP_972146.1	XP_021713075.1
OG0001653	XP_969495.1	XP_021704764.1, XP_021704765.1
OG0001655	XP_968200.2	XP_021712934.1, XP_021695115.1
OG0001656	XP_966649.1	XP_001660613.1
OG0001657	XP_972931.1	XP_001650988.2
OG0001658	XP_008194959.1	XP_021701909.1
OG0001659	XP_008200384.1	XP_001649004.2, XP_021712038.1
OG0001660	XP_975550.1	XP_021710671.1
OG0001661	XP_008198980.1	XP_021699130.1
OG0001662	XP_015838476.1	XP_001661416.2, XP_021712562.1
OG0001663	XP_008195710.1	XP_021708803.1
OG0001664	NP_001135406.1, XP_015836766.1	XP_021712961.1
OG0001665	XP_008200528.1	XP_021711561.1, XP_001654204.2, XP_001651001.2, XP_021693638.1
OG0001666	XP_966660.1	XP_021695946.1
OG0001667	XP_970532.1	XP_021699681.1
OG0001668	XP_015837252.1	XP_021705214.1
OG0001669	XP_969894.1, XP_008190493.1, XP_008190492.1	XP_021703010.1, XP_021703012.1, XP_021703011.1, XP_021703006.1, XP_021703008.1, XP_021703009.1, XP_021703007.1
OG0001670	XP_015840620.1	XP_001663817.1
OG0001671	XP_008191116.1	XP_021708990.1
OG0001672	XP_972180.1	XP_021709521.1, XP_021709522.1, XP_021709520.1
OG0001673	XP_015836576.1	XP_001660487.1
OG0001674	XP_008200693.1	XP_021702429.1, XP_021702434.1, XP_021702435.1, XP_021702430.1, XP_021702431.1, XP_021702432.1, XP_021702433.1
OG0001675	XP_973975.1	XP_021699206.1, XP_021699205.1, XP_021699208.1, XP_021699207.1
OG0001676	XP_008193502.1	XP_001652395.2
OG0001677	XP_970641.1	XP_001652096.1
OG0001678	XP_974956.1, XP_015833321.1	XP_001652786.2
OG0001679	XP_975143.1	XP_021712412.1, XP_001660326.1
OG0001680	XP_015838153.1	XP_021700806.1, XP_021712519.1
OG0001681	XP_971049.1	XP_001658183.2
OG0001682	XP_015839568.1, XP_008199877.1	XP_021710725.1, XP_021710723.1, XP_021710727.1
OG0001683	XP_975042.1	XP_001657224.1
OG0001684	XP_015838963.1, XP_015839133.1, XP_015839136.1	XP_021694318.1
OG0001685	XP_008196454.1, XP_972983.2	XP_021696569.1
OG0001686	XP_008190435.1, XP_008190436.1	XP_021693026.1, XP_021693027.1, XP_021693024.1, XP_021693025.1, XP_021693022.1
OG0001687	XP_015836165.1	XP_001648656.2
OG0001688	NP_001280530.1	XP_001655654.1
OG0001689	XP_015836120.1	XP_021695340.1, XP_021702951.1, XP_001654676.1, XP_001652436.1, XP_021702788.1, XP_021702787.1
OG0001690	XP_008194929.1	XP_001652822.2
OG0001691	XP_969223.1	XP_021697807.1, XP_021711737.1
OG0001692	XP_015836122.1, XP_015836121.1	XP_021706079.1, XP_021706080.1
OG0001693	XP_008200041.1	XP_021699846.1, XP_021699847.1, XP_021699845.1
OG0001694	XP_008196858.1	XP_001657811.1
OG0001695	XP_008194025.1	XP_021695027.1
OG0001696	XP_008199058.1	XP_021707171.1
OG0001697	XP_966430.2	XP_001655183.2
OG0001699	XP_966756.1	XP_021706338.1, XP_001652000.1
OG0001700	XP_008198754.1	XP_021709327.1, XP_021709333.1, XP_021709340.1
OG0001701	XP_008195151.1, XP_008195147.1	XP_021709749.1
OG0001702	XP_971283.1	XP_001657404.2
OG0001703	XP_973910.1	XP_021694077.1, XP_021694076.1
OG0001704	XP_015839476.1	XP_021695754.1, XP_021695753.1
OG0001707	XP_972022.1	XP_021710585.1, XP_021710586.1
OG0001708	XP_971764.2, XP_015838804.1	XP_021705236.1
OG0001709	XP_015835409.1	XP_021692980.1
OG0001710	XP_015836909.1	XP_021694338.1, XP_021712737.1
OG0001711	XP_008197982.1, XP_015838980.1, XP_969573.1	XP_001650198.2
OG0001712	XP_008191120.1, XP_015839938.1	XP_021711134.1
OG0001713	XP_008192792.1, XP_008192793.1	XP_021705608.1, XP_021705607.1, XP_021705606.1, XP_021705605.1
OG0001714	XP_968879.1	XP_001661880.1
OG0001715	XP_972976.2	XP_001660978.1
OG0001716	XP_008194318.1	XP_021708325.1
OG0001717	XP_970328.1	XP_001648674.1
OG0001718	XP_973987.1, XP_008190931.1	XP_021698837.1, XP_021698835.1, XP_021698836.1, XP_021698839.1, XP_001648403.1, XP_021698838.1
OG0001719	XP_969295.1	XP_001653610.1
OG0001720	XP_008195419.1	XP_021707046.1
OG0001721	XP_971909.2, XP_001813448.1	XP_001659894.2
OG0001722	XP_015837216.1, XP_008199610.1	XP_021700019.1
OG0001723	XP_008193918.1	XP_001658810.2, XP_021708657.1, XP_021708698.1, XP_001658813.1, XP_021708687.1, XP_001660077.1, XP_001663216.2
OG0001724	XP_974615.1	XP_001658110.2
OG0001725	XP_971172.2	XP_021709391.1
OG0001726	XP_972049.2, XP_015839452.1	XP_021706047.1
OG0001728	XP_015836419.1	XP_021700273.1
OG0001729	XP_015840335.1, XP_015833348.1	XP_021696384.1, XP_021696372.1, XP_021696389.1
OG0001730	XP_015833482.1	XP_021707010.1, XP_021707011.1, XP_021707007.1, XP_021707008.1
OG0001731	XP_008191795.1, XP_970721.2	XP_021708554.1, XP_021708557.1
OG0001732	XP_973118.1	XP_021694992.1
OG0001733	XP_015835945.1	XP_021695329.1, XP_021702423.1, XP_021702422.1, XP_021701342.1, XP_021712901.1, XP_021701341.1, XP_021702192.1
OG0001734	XP_972923.1	XP_021703177.1, XP_001658259.2
OG0001735	XP_001814509.1	XP_021703341.1, XP_021706414.1
OG0001736	XP_967526.1	XP_001652118.2
OG0001737	XP_967723.2	XP_001659930.2
OG0001738	XP_015835145.1, XP_008200248.1, XP_001813427.1	XP_001660400.1, XP_021697734.1
OG0001739	XP_968592.2	XP_021695605.1, XP_021695606.1
OG0001740	XP_008193605.1, XP_008199012.1	XP_021704328.1
OG0001742	XP_015840747.1, XP_015840743.1	XP_021708254.1
OG0001743	XP_967142.1, XP_008197750.1, XP_008197749.1	XP_001660114.1
OG0001744	XP_015838667.1, XP_008197600.1	XP_021704069.1, XP_021704068.1
OG0001745	XP_008201469.1	XP_021713007.1
