Orthogroup	Tribolium_castaneum	Dufourea_novaeangliae
OG0001641	NP_001161257.1	XP_015439784.1
OG0001642	XP_975475.2	XP_015431984.1
OG0001643	XP_015838711.1, XP_008197729.1, XP_015838712.1	XP_015439008.1
OG0001645	XP_968472.1	XP_015430949.1
OG0001646	XP_015836692.1	XP_015431656.1
OG0001647	XP_008196907.1	XP_015430219.1
OG0001648	XP_970811.3	XP_015432949.1
OG0001649	XP_968588.1	XP_015436244.1, XP_015436245.1
OG0001650	XP_008196718.1	XP_015431083.1
OG0001651	XP_008201666.1	XP_015438881.1
OG0001652	XP_008201098.1	XP_015429221.1
OG0001653	XP_969495.1	XP_015435705.1
OG0001655	XP_968200.2	XP_015437882.1
OG0001656	XP_966649.1	XP_015435340.1
OG0001657	XP_972931.1	XP_015437247.1
OG0001658	XP_008194959.1	XP_015430715.1, XP_015430714.1, XP_015430716.1
OG0001659	XP_008200384.1	XP_015432457.1
OG0001660	XP_975550.1	XP_015438405.1
OG0001661	XP_008198980.1	XP_015431340.1
OG0001662	XP_015838476.1	XP_015439420.1
OG0001663	XP_008195710.1	XP_015438569.1
OG0001664	NP_001135406.1, XP_015836766.1	XP_015439931.1, XP_015439932.1
OG0001665	XP_008200528.1	XP_015438873.1
OG0001666	XP_966660.1	XP_015431000.1, XP_015430992.1, XP_015430984.1
OG0001667	XP_970532.1	XP_015440075.1
OG0001668	XP_015837252.1	XP_015439637.1
OG0001669	XP_969894.1, XP_008190493.1, XP_008190492.1	XP_015428749.1
OG0001670	XP_015840620.1	XP_015432625.1
OG0001671	XP_008191116.1	XP_015437645.1
OG0001672	XP_972180.1	XP_015433859.1, XP_015433860.1, XP_015433858.1, XP_015433857.1
OG0001673	XP_015836576.1	XP_015435389.1
OG0001674	XP_008200693.1	XP_015435396.1
OG0001675	XP_973975.1	XP_015434148.1
OG0001676	XP_008193502.1	XP_015436065.1
OG0001677	XP_970641.1	XP_015437146.1
OG0001678	XP_974956.1, XP_015833321.1	XP_015429968.1
OG0001679	XP_975143.1	XP_015428407.1
OG0001680	XP_015838153.1	XP_015438640.1
OG0001681	XP_971049.1	XP_015432354.1, XP_015432355.1
OG0001682	XP_015839568.1, XP_008199877.1	XP_015433709.1, XP_015433707.1
OG0001683	XP_975042.1	XP_015436001.1
OG0001684	XP_015838963.1, XP_015839133.1, XP_015839136.1	XP_015433128.1, XP_015433129.1
OG0001685	XP_008196454.1, XP_972983.2	XP_015434220.1
OG0001686	XP_008190435.1, XP_008190436.1	XP_015434580.1
OG0001687	XP_008194075.1, XP_015836165.1	XP_015428605.1, XP_015428513.1
OG0001688	NP_001280530.1	XP_015438970.1
OG0001689	XP_015836120.1	XP_015428620.1
OG0001690	XP_008194929.1	XP_015434158.1
OG0001691	XP_969223.1	XP_015434721.1, XP_015434720.1
OG0001692	XP_015836122.1, XP_015836121.1	XP_015430360.1
OG0001693	XP_008200041.1	XP_015435976.1
OG0001694	XP_008196858.1	XP_015429361.1
OG0001695	XP_008194025.1	XP_015432515.1
OG0001696	XP_008199058.1	XP_015430092.1
OG0001697	XP_966430.2	XP_015432434.1
OG0001699	XP_966756.1	XP_015435957.1
OG0001700	XP_008198754.1	XP_015434826.1
OG0001701	XP_008195151.1, XP_008195147.1	XP_015433455.1
OG0001702	XP_971283.1	XP_015437088.1
OG0001703	XP_973910.1	XP_015432536.1
OG0001704	XP_015839476.1	XP_015438712.1
OG0001707	XP_972022.1	XP_015429567.1
OG0001708	XP_971764.2, XP_015838804.1	XP_015429635.1
OG0001709	XP_015835409.1	XP_015429365.1
OG0001710	XP_015836909.1	XP_015429177.1
OG0001711	XP_008197982.1, XP_015838980.1, XP_969573.1	XP_015436935.1
OG0001712	XP_008191120.1, XP_015839938.1	XP_015437609.1
OG0001713	XP_008192792.1, XP_008192793.1	XP_015439138.1
OG0001714	XP_968879.1	XP_015435175.1, XP_015435172.1
OG0001715	XP_972976.2	XP_015432563.1
OG0001716	XP_008194318.1	XP_015432047.1
OG0001717	XP_970328.1	XP_015431723.1
OG0001718	XP_973987.1, XP_008190931.1	XP_015436538.1
OG0001719	XP_969295.1	XP_015432932.1
OG0001720	XP_008195419.1	XP_015429615.1
OG0001721	XP_971909.2, XP_001813448.1	XP_015437587.1
OG0001722	XP_015837216.1, XP_008199610.1	XP_015440203.1
OG0001723	XP_008193918.1	XP_015434811.1
OG0001724	XP_974615.1	XP_015440037.1
OG0001725	XP_971172.2	XP_015430311.1
OG0001726	XP_972049.2, XP_015839452.1	XP_015433761.1
OG0001728	XP_015836419.1	XP_015432270.1, XP_015432269.1
OG0001729	XP_015840335.1, XP_015833348.1	XP_015428887.1
OG0001730	XP_015833482.1	XP_015439766.1, XP_015439728.1
OG0001731	XP_008191795.1, XP_970721.2	XP_015431999.1
OG0001732	XP_973118.1	XP_015439971.1, XP_015439970.1
OG0001733	XP_015835945.1	XP_015430373.1
OG0001734	XP_972923.1	XP_015430313.1
OG0001735	XP_001814509.1	XP_015434941.1
OG0001737	XP_967723.2	XP_015429823.1
OG0001738	XP_015835145.1, XP_008200248.1, XP_001813427.1	XP_015431867.1
OG0001739	XP_968592.2	XP_015438547.1
OG0001740	XP_008193605.1, XP_008199012.1	XP_015428911.1
OG0001742	XP_015840747.1, XP_015840743.1	XP_015430129.1
OG0001743	XP_967142.1, XP_008197750.1, XP_008197749.1	XP_015432401.1
OG0001744	XP_015838667.1, XP_008197600.1	XP_015434874.1
OG0001745	XP_008201469.1	XP_015440300.1
OG0001746	XP_968256.1, XP_008201143.1	XP_015434739.1
OG0001748	XP_015836622.1, XP_015836619.1	XP_015434989.1
OG0001749	XP_008193533.1	XP_015432799.1
OG0001750	XP_970242.1, XP_008192912.1	XP_015436339.1
OG0001751	XP_969871.2	XP_015432211.1
OG0001752	XP_008198887.1, XP_001815490.2, XP_008192875.1, XP_008192876.1, XP_015834712.1, XP_015834710.1, XP_008192879.1	XP_015435309.1
OG0001753	XP_969955.1	XP_015438523.1
OG0001756	XP_968859.1, XP_015840285.1	XP_015429979.1
OG0001758	XP_971002.1	XP_015433380.1
OG0001759	XP_966423.1	XP_015429172.1
OG0001760	XP_966763.1	XP_015440407.1
OG0001762	XP_008194069.1	XP_015431370.1
OG0001763	XP_008191831.1, XP_973224.1	XP_015437324.1, XP_015437323.1, XP_015437322.1
OG0001764	XP_008199965.1, XP_968569.3, XP_968643.1, XP_015837277.1, XP_015837276.1, XP_015837278.1, XP_975752.1	XP_015439710.1
OG0001766	XP_008201079.1, XP_008201080.1	XP_015435671.1, XP_015435673.1
OG0001767	XP_008193134.1, XP_015835802.1, XP_008193901.1	XP_015439782.1
OG0001768	XP_015834861.1	XP_015438481.1
OG0001769	XP_008192898.1, XP_015834493.1, XP_008192826.1, XP_015834494.1, XP_008192895.1, XP_008192836.1	XP_015429680.1
OG0001771	XP_008195425.2, XP_001808512.2	XP_015439651.1
OG0001774	XP_969023.1	XP_015436743.1, XP_015436744.1
OG0001775	XP_970951.1, NP_001298082.1	XP_015430270.1, XP_015430269.1
OG0001776	NP_001164088.1	XP_015434581.1
OG0001777	XP_967221.1	XP_015437651.1
OG0001778	XP_970875.1	XP_015439889.1
OG0001779	XP_973494.1	XP_015438578.1, XP_015438577.1
OG0001780	XP_968841.1	XP_015439263.1
OG0001781	XP_008192416.1	XP_015436361.1
OG0001782	XP_973321.1	XP_015429980.1
OG0001783	XP_015833325.1, XP_972914.1, XP_008190904.1	XP_015429903.1
OG0001784	XP_970614.1	XP_015428693.1
OG0001785	XP_969235.2	XP_015438089.1
OG0001786	XP_974171.1	XP_015430050.1, XP_015430059.1
OG0001787	XP_966837.1	XP_015439588.1
OG0001789	XP_975068.2	XP_015439821.1
OG0001790	XP_973834.1	XP_015433136.1
OG0001791	XP_008190467.1	XP_015429175.1, XP_015429176.1
OG0001792	XP_967089.1	XP_015434645.1
OG0001793	XP_975535.1	XP_015436780.1
OG0001794	XP_015834535.1, NP_001280504.1	XP_015428968.1
OG0001795	XP_008195656.1	XP_015439788.1
OG0001796	XP_015834572.1, XP_015839928.1	XP_015432675.1
OG0001797	XP_973014.1	XP_015433387.1
OG0001799	NP_001157183.1	XP_015430852.1
OG0001800	XP_966972.1	XP_015430278.1
OG0001801	XP_974888.3	XP_015437812.1
OG0001802	XP_975650.1	XP_015433996.1
OG0001803	XP_008199564.1	XP_015430776.1
OG0001804	XP_008199910.1	XP_015440056.1
OG0001805	XP_008199909.1	XP_015434025.1
OG0001806	XP_008197947.1	XP_015434909.1
OG0001807	XP_008195294.1	XP_015429156.1
OG0001808	XP_972925.2	XP_015435021.1
OG0001810	XP_015836863.1	XP_015429544.1
OG0001811	XP_973747.1	XP_015433639.1
OG0001812	XP_967937.1	XP_015435802.1, XP_015435803.1, XP_015435804.1
OG0001813	XP_008199635.1	XP_015430989.1
OG0001814	XP_972868.1	XP_015429721.1
OG0001815	XP_008199756.1	XP_015438604.1
OG0001816	XP_973162.1	XP_015436134.1
OG0001817	XP_015837888.1, XP_974446.1	XP_015438622.1
OG0001818	XP_015836560.1, XP_015836559.1	XP_015433781.1
OG0001819	XP_008194754.1	XP_015430621.1
OG0001820	XP_966351.2	XP_015431087.1
OG0001821	XP_008193342.1	XP_015430084.1
OG0001823	XP_974250.1	XP_015434884.1
OG0001824	XP_015834417.1	XP_015437276.1
OG0001825	XP_015834320.1	XP_015434949.1
OG0001826	XP_008195586.1	XP_015429915.1
OG0001827	XP_008199970.1, XP_008199968.1	XP_015439870.1
OG0001828	XP_008191114.2	XP_015429898.1
OG0001829	XP_968607.1	XP_015436324.1
OG0001830	XP_008200479.1	XP_015433385.1
OG0001831	XP_015835742.1, XP_015835744.1, XP_015835743.1	XP_015439064.1
OG0001832	XP_015839131.1	XP_015433224.1
OG0001833	XP_015834094.1	XP_015440389.1
OG0001834	NP_001164305.1	XP_015440453.1
OG0001835	XP_008190330.1, XP_008190331.1, XP_015832872.1	XP_015435898.1
OG0001836	XP_015837393.1, XP_015837408.1	XP_015434061.1
OG0001837	XP_008191765.1	XP_015437382.1
OG0001838	XP_973996.1	XP_015432627.1
OG0001839	XP_968056.1, XP_015836876.1	XP_015428796.1
OG0001840	XP_008195127.1, XP_015836709.1	XP_015433376.1
OG0001841	XP_008199607.1	XP_015440226.1
OG0001842	XP_968201.1	XP_015431899.1
OG0001843	XP_970048.1	XP_015436196.1
OG0001844	XP_967434.1	XP_015434159.1
OG0001845	XP_972280.1	XP_015430548.1, XP_015430547.1
OG0001846	XP_971039.1	XP_015439994.1
OG0001847	XP_969079.1	XP_015438674.1, XP_015438673.1
OG0001848	XP_966931.1, XP_015840170.1	XP_015438236.1
OG0001850	XP_008197509.1	XP_015434105.1
OG0001851	XP_974730.2	XP_015432666.1
OG0001852	XP_008194931.1	XP_015437348.1
OG0001853	XP_974684.1	XP_015434447.1
OG0001854	XP_974711.1, XP_008190957.1, XP_974693.1	XP_015432691.1
OG0001855	XP_008193347.1, XP_969166.1	XP_015437570.1
OG0001856	XP_970966.2	XP_015439519.1
OG0001858	XP_008196162.1	XP_015432338.1
OG0001859	XP_015835825.1, XP_015835826.1	XP_015433623.1
OG0001861	XP_970093.1	XP_015433347.1
OG0001862	XP_970196.2	XP_015437814.1
OG0001863	XP_968848.1	XP_015437511.1
OG0001864	XP_008196595.1	XP_015434760.1
OG0001865	XP_008196649.1, XP_970928.1	XP_015429962.1
OG0001866	XP_969990.1, XP_969855.1	XP_015434128.1
OG0001867	XP_008193780.1	XP_015433252.1
OG0001868	XP_008191524.1, XP_008191525.1	XP_015440460.1, XP_015440462.1
OG0001869	XP_968474.1	XP_015432523.1
OG0001870	XP_970830.2, XP_008200721.1, XP_008200720.1, XP_015836188.1, XP_966582.1, XP_008200719.1	XP_015436774.1
OG0001871	XP_970702.1	XP_015432021.1
OG0001872	XP_975296.1	XP_015428698.1
OG0001873	XP_969187.1	XP_015429243.1
OG0001874	XP_971013.1	XP_015431168.1
OG0001875	XP_015833812.1, XP_008191230.1, XP_969031.2	XP_015434901.1
OG0001876	XP_015835298.1	XP_015431834.1
OG0001877	XP_973601.1	XP_015434850.1
OG0001879	XP_972523.1	XP_015432569.1
OG0001880	XP_015837523.1, XP_015837518.1	XP_015429293.1
OG0001881	XP_969186.1	XP_015432054.1
OG0001882	XP_008192360.1	XP_015434015.1
OG0001883	XP_008191423.1, XP_970042.1	XP_015438160.1
OG0001884	XP_008196596.1, XP_015837973.1	XP_015435161.1
OG0001885	XP_967536.1	XP_015433202.1
OG0001886	XP_975677.2	XP_015430845.1
OG0001887	XP_008197283.1	XP_015430843.1
OG0001888	XP_008195157.1	XP_015430204.1
OG0001889	XP_976203.1	XP_015438148.1, XP_015438141.1
OG0001890	XP_008199667.1	XP_015434060.1
OG0001891	XP_008192976.1	XP_015440036.1
OG0001894	XP_015834285.1	XP_015430055.1, XP_015430053.1, XP_015430052.1, XP_015430054.1, XP_015430056.1, XP_015430051.1
OG0001895	XP_015837161.1, XP_015837158.1	XP_015439234.1
OG0001896	XP_008199025.2, XP_015836575.1	XP_015438399.1
OG0001897	XP_973467.1	XP_015432138.1
OG0001898	XP_015837675.1, XP_008194172.1	XP_015434801.1
OG0001899	XP_972476.1	XP_015437370.1
OG0001900	XP_973168.1	XP_015435107.1
OG0001901	XP_975551.3	XP_015437320.1
OG0001902	XP_008200644.1, XP_008200643.1	XP_015435627.1
OG0001903	XP_008195330.1	XP_015429925.1
OG0001905	XP_015836844.1	XP_015433269.1
OG0001906	XP_008192297.1	XP_015438434.1
OG0001907	XP_008196697.1	XP_015433560.1
OG0001908	NP_001034524.1	XP_015437153.1
OG0001909	XP_008192942.1	XP_015440209.1
OG0001910	XP_008200358.1	XP_015433997.1
OG0001912	XP_015838680.1	XP_015433690.1
OG0001913	XP_008190278.1	XP_015431486.1
OG0001914	XP_015833095.1, XP_008190774.1	XP_015431801.1
OG0001915	XP_008195899.1, XP_015837384.1	XP_015433363.1
OG0001916	XP_968009.1, XP_008199227.1	XP_015428552.1
OG0001917	XP_969465.1	XP_015431859.1
OG0001919	XP_008201301.1, XP_008201320.1	XP_015435780.1
OG0001920	XP_015839675.1	XP_015438499.1
OG0001921	XP_015838145.1	XP_015433952.1, XP_015430139.1
OG0001922	XP_015838207.1, XP_008196854.1	XP_015433698.1, XP_015433700.1
OG0001923	XP_008198220.1	XP_015434670.1
OG0001924	XP_008200040.1	XP_015431830.1
OG0001925	XP_015833560.1	XP_015440515.1
OG0001926	XP_974856.1	XP_015437501.1
OG0001927	XP_970922.1	XP_015432693.1
OG0001928	XP_015840097.1, XP_008193263.1	XP_015431266.1
OG0001929	XP_969941.1	XP_015438534.1
OG0001930	XP_973098.1	XP_015437649.1
OG0001931	XP_968315.1	XP_015429157.1
OG0001933	XP_008197905.1	XP_015429918.1
OG0001934	XP_008195057.1, XP_008195056.1	XP_015434258.1
OG0001935	XP_972743.1	XP_015429168.1
OG0001936	XP_015838605.1, XP_008193365.2, XP_008190649.2, XP_015836208.1, XP_015836206.1	XP_015437464.1
OG0001937	NP_001159380.1, XP_015837360.1, XP_015837617.1, NP_001159381.1	XP_015436344.1
OG0001938	XP_972867.1	XP_015433114.1
OG0001939	XP_975288.1	XP_015431077.1, XP_015431078.1
OG0001940	XP_968090.1	XP_015429924.1
OG0001941	XP_008197953.1, XP_008197949.1	XP_015435926.1
OG0001942	XP_008195032.1	XP_015438645.1
OG0001943	XP_968664.1	XP_015436752.1, XP_015436751.1, XP_015436753.1
OG0001944	NP_001164311.1, NP_001164312.1, XP_008200790.1	XP_015435375.1
OG0001945	XP_015834904.1	XP_015428388.1
OG0001946	XP_008197760.1	XP_015437315.1
OG0001947	XP_008200081.1	XP_015438019.1
OG0001948	XP_015839318.1	XP_015429103.1
OG0001949	XP_015838744.1	XP_015433773.1
OG0001950	XP_015834259.1	XP_015435899.1
OG0001951	XP_008198065.2, XP_008198067.1, XP_008198061.1	XP_015429402.1, XP_015429403.1
OG0001952	XP_015835699.1, XP_015835703.1, XP_015835707.1, XP_015835694.1	XP_015430425.1
OG0001953	XP_015838030.1, NP_001180378.1	XP_015428771.1, XP_015428678.1
OG0001954	XP_972227.1	XP_015434626.1
OG0001955	XP_971125.1	XP_015429480.1
OG0001956	XP_975480.1, XP_975607.1	XP_015438312.1
OG0001957	XP_015838649.1	XP_015434239.1
OG0001959	XP_015838645.1	XP_015440131.1
OG0001960	XP_008200339.1	XP_015434783.1
OG0001961	XP_969940.1	XP_015434371.1
OG0001962	XP_015837014.1, XP_974612.1, XP_974632.1, XP_974652.1, XP_008195477.1	XP_015432289.1
OG0001963	XP_008191834.1	XP_015435997.1
OG0001964	XP_971585.1	XP_015440087.1
OG0001965	XP_008201279.1, XP_015840730.1, XP_015839909.1, XP_008195883.2	XP_015436287.1
OG0001966	XP_001809413.1	XP_015434083.1
OG0001967	XP_001807448.1	XP_015440162.1
OG0001968	XP_008198558.1	XP_015434817.1, XP_015434818.1
OG0001969	XP_008199546.1, XP_008199547.1, XP_008199548.1, XP_008199545.1	XP_015436563.1
OG0001970	XP_008195169.1	XP_015439033.1
OG0001971	XP_008191777.1	XP_015436775.1
OG0001973	XP_008198599.1	XP_015436237.1, XP_015436235.1
OG0001974	XP_008197175.1	XP_015431561.1
OG0001975	XP_015833055.1, NP_001164144.1	XP_015431855.1
OG0001976	XP_015833110.1, XP_008190652.1	XP_015434488.1
OG0001977	XP_015833284.1, XP_015833283.1, XP_973810.2	XP_015434406.1
OG0001980	XP_971979.1	XP_015432255.1
OG0001981	XP_008200848.1, XP_970028.2, XP_968593.1, XP_968666.1, XP_968739.1, XP_008191362.2	XP_015436123.1
OG0001984	XP_008191058.1	XP_015431637.1
OG0001987	XP_969865.2	XP_015432385.1
OG0001988	XP_001812661.1	XP_015436771.1
OG0001989	XP_967120.2	XP_015435807.1
OG0001990	XP_971866.1	XP_015436585.1, XP_015437377.1
OG0001991	XP_975465.1	XP_015440304.1
OG0001992	XP_008200920.1	XP_015429340.1
OG0001993	XP_971227.1	XP_015428785.1
OG0001994	XP_971533.1	XP_015429597.1
OG0001995	XP_008192557.1	XP_015429226.1
OG0001997	XP_968867.1, XP_008200402.1, XP_966438.1	XP_015433227.1
OG0001998	XP_008199937.1	XP_015431729.1
OG0001999	XP_967576.1, XP_008191346.1	XP_015429728.1
OG0002000	XP_015836974.1	XP_015428703.1
OG0002001	XP_008190967.1, XP_008190968.1, XP_974902.1, XP_015833322.1	XP_015438325.1
OG0002002	NP_001034520.2	XP_015438333.1
OG0002003	XP_015838178.1, XP_968621.1	XP_015434769.1, XP_015434768.1
OG0002004	XP_008201162.1, XP_974743.1	XP_015431663.1
OG0002005	XP_970311.1	XP_015429376.1
OG0002006	XP_008192345.1	XP_015435248.1
OG0002007	XP_008191274.1	XP_015440384.1
OG0002009	XP_970519.1	XP_015439786.1
OG0002010	XP_973746.2	XP_015429577.1, XP_015429576.1
OG0002011	XP_971545.1	XP_015428658.1
OG0002012	NP_001107817.1, XP_008192468.1	XP_015432233.1
OG0002013	XP_973466.1, XP_008194703.1	XP_015429604.1
OG0002014	XP_008194388.1	XP_015428636.1
OG0002015	XP_001811459.1	XP_015439998.1
OG0002016	XP_969441.1	XP_015431553.1
OG0002017	XP_008199875.1	XP_015439321.1
OG0002018	XP_969631.2, XP_015835856.1	XP_015430276.1
OG0002019	XP_968850.1, XP_015839177.1	XP_015437340.1
OG0002020	XP_015839132.1	XP_015440318.1
OG0002021	XP_015836519.1	XP_015429432.1
OG0002022	XP_974755.2	XP_015429006.1
OG0002023	XP_972040.2	XP_015432377.1
OG0002024	XP_968623.1	XP_015440343.1
OG0002025	XP_008200104.1	XP_015430739.1
OG0002026	XP_015836199.1	XP_015429711.1
OG0002027	XP_008195541.1	XP_015432685.1
OG0002028	XP_008193942.1, XP_015836057.1, XP_008193941.1	XP_015437763.1
OG0002029	XP_008198388.1	XP_015430331.1
OG0002030	XP_008201254.2	XP_015434920.1
OG0002032	XP_008199563.1	XP_015439664.1
OG0002035	XP_015834331.1	XP_015433446.1
OG0002036	XP_008193640.1	XP_015438130.1, XP_015437272.1, XP_015438033.1
OG0002037	XP_968226.1	XP_015435366.1
OG0002038	XP_975880.1	XP_015433516.1
OG0002039	XP_008191389.1	XP_015439062.1
OG0002040	XP_015840551.1	XP_015434183.1
OG0002041	XP_970185.1	XP_015432217.1
OG0002042	XP_008195431.1	XP_015431128.1
OG0002043	XP_008193412.1	XP_015435121.1, XP_015435122.1, XP_015435123.1
OG0002044	XP_972243.1	XP_015435587.1
OG0002045	NP_001034540.1, XP_015834295.1	XP_015440409.1
OG0002047	XP_967875.1, XP_008200945.1	XP_015431129.1
OG0002048	XP_015832893.1, XP_008190487.1	XP_015430813.1
OG0002049	XP_008194849.1	XP_015434462.1
OG0002050	XP_971138.1	XP_015438174.1
OG0002051	NP_001164092.1, XP_008195713.1	XP_015429040.1
OG0002052	XP_015837547.1	XP_015431130.1
OG0002053	XP_015840450.1	XP_015437425.1
OG0002054	XP_015836409.1	XP_015439123.1
OG0002055	XP_008198559.1	XP_015428884.1
OG0002056	XP_975463.1, XP_008201462.1, XP_008201461.1	XP_015440299.1
OG0002057	XP_975350.1	XP_015439036.1
OG0002058	XP_008193741.1, XP_974607.1	XP_015437039.1
OG0002059	XP_969613.1	XP_015430239.1
OG0002060	XP_008190346.1	XP_015434438.1, XP_015434441.1
OG0002061	XP_008196537.1	XP_015434244.1, XP_015434246.1, XP_015434247.1, XP_015434245.1, XP_015434243.1, XP_015434242.1
OG0002062	XP_001808961.1	XP_015435747.1
OG0002063	XP_966349.1	XP_015438450.1
OG0002064	XP_971594.2, XP_008197242.1	XP_015432344.1
OG0002065	XP_008190660.1	XP_015439259.1
OG0002066	XP_008195892.1, XP_966832.1	XP_015437972.1
OG0002067	XP_008199684.1	XP_015430264.1
OG0002068	XP_972853.1	XP_015435020.1
OG0002069	XP_008194753.1	XP_015429548.1
OG0002070	XP_008199445.1	XP_015435012.1
OG0002071	XP_971591.1	XP_015436909.1
OG0002072	XP_008194342.1	XP_015439529.1
OG0002073	XP_976020.1	XP_015428800.1
OG0002074	XP_969518.1	XP_015439348.1
OG0002075	XP_974640.1, XP_974146.1, XP_015832957.1, XP_967492.1	XP_015440046.1
OG0002076	XP_008201044.1, NP_001280534.1	XP_015430892.1
OG0002077	XP_967357.1	XP_015428603.1
OG0002078	XP_008194370.1	XP_015435581.1
OG0002079	XP_015834267.1, XP_015836722.1	XP_015436724.1
OG0002080	XP_973096.1	XP_015431532.1
OG0002081	XP_001807880.1, XP_008194570.1	XP_015433498.1
OG0002082	XP_008192105.1	XP_015431985.1
OG0002083	XP_967458.1	XP_015431353.1, XP_015431352.1
OG0002084	XP_008195932.1	XP_015431455.1
OG0002085	XP_969410.1	XP_015438753.1, XP_015438752.1
OG0002086	XP_974176.1	XP_015431400.1
OG0002087	XP_015836902.1	XP_015430259.1
OG0002088	XP_008199834.1	XP_015438486.1
OG0002089	NP_001161917.1	XP_015430227.1
OG0002091	XP_969843.1	XP_015434463.1
OG0002095	XP_973222.1	XP_015435701.1, XP_015435700.1
OG0002096	XP_974674.2	XP_015436285.1
OG0002097	XP_969557.1	XP_015430144.1, XP_015430143.1
OG0002098	XP_972070.1	XP_015433809.1, XP_015433808.1, XP_015433806.1, XP_015433807.1
OG0002100	XP_008192294.1	XP_015438357.1
OG0002101	XP_015834925.1, XP_008192122.2	XP_015440368.1
OG0002102	XP_971608.1	XP_015440104.1
OG0002103	XP_968825.1	XP_015434508.1
OG0002104	XP_976358.1, XP_008193781.1	XP_015433272.1
OG0002105	XP_975598.1	XP_015437195.1
OG0002106	NP_001164138.1, XP_008193600.1	XP_015429311.1
OG0002107	XP_008195685.1	XP_015435920.1
OG0002108	XP_008198627.1	XP_015434928.1
OG0002109	XP_008196116.1	XP_015432154.1
OG0002110	XP_969156.2	XP_015435235.1
OG0002111	XP_008194431.1	XP_015428944.1
OG0002113	XP_015834959.1, XP_001816436.2	XP_015438364.1
OG0002114	XP_972858.1	XP_015439958.1
OG0002115	XP_968584.1	XP_015438017.1
OG0002116	XP_008193891.1	XP_015433092.1
OG0002117	XP_008191876.1	XP_015430662.1
OG0002118	XP_008190636.1	XP_015436352.1
OG0002119	XP_015834684.1	XP_015440386.1
OG0002120	XP_971372.1	XP_015435528.1
OG0002121	XP_008200135.1, XP_008200132.1	XP_015439802.1
OG0002122	XP_972559.1	XP_015436052.1
OG0002123	XP_015833440.1, XP_015833442.1, XP_015833441.1, XP_015833443.1	XP_015432957.1
OG0002124	XP_015838755.1	XP_015430383.1
OG0002125	XP_008201698.1, XP_008201697.1	XP_015430544.1
OG0002126	XP_015839290.1, XP_008197430.1, XP_008197429.1, XP_001810780.1	XP_015430531.1
OG0002127	XP_015836243.1, XP_015836245.1	XP_015429162.1
OG0002128	XP_001815774.1	XP_015436515.1
OG0002129	XP_015839592.1, XP_968654.1, XP_008198821.1	XP_015431368.1
OG0002130	XP_972472.3	XP_015430496.1
OG0002131	XP_008190518.1	XP_015430393.1
OG0002132	XP_015836435.1, XP_008194818.1, XP_015836436.1	XP_015434077.1
OG0002134	XP_008200830.1	XP_015432070.1
OG0002136	XP_966441.1	XP_015440494.1
OG0002137	XP_008190943.1, XP_008190944.1	XP_015428478.1
OG0002138	XP_968086.1	XP_015433157.1
OG0002139	XP_966456.1	XP_015431257.1
OG0002140	XP_008198759.1	XP_015431932.1
OG0002141	XP_008199721.1	XP_015439454.1
OG0002142	XP_973309.2, XP_008197132.1	XP_015436683.1
OG0002143	NP_001280537.1, XP_973636.1	XP_015431907.1
OG0002144	NP_001107809.1, NP_001107764.1, XP_015840082.1, NP_001107808.1	XP_015438907.1
OG0002145	XP_001811305.1	XP_015429736.1
OG0002146	XP_015838767.1	XP_015438616.1
OG0002147	XP_970558.1	XP_015429077.1
OG0002148	XP_008192249.1	XP_015435901.1
OG0002149	XP_015838724.1	XP_015439222.1
OG0002150	XP_008200255.1, XP_001806913.1	XP_015437347.1
OG0002151	XP_001812763.1	XP_015438717.1
OG0002152	XP_015838366.1, XP_968078.1, XP_008197189.1	XP_015438969.1
OG0002153	XP_008201208.1	XP_015440458.1
OG0002155	XP_015832895.1	XP_015430818.1
OG0002156	XP_008201052.1	XP_015438728.1, XP_015440411.1
OG0002157	XP_015840099.1	XP_015429945.1
OG0002158	XP_970676.1, XP_008191922.2	XP_015434838.1
OG0002159	XP_008197592.1	XP_015432224.1
OG0002160	XP_015836742.1, XP_008199830.1, XP_008199829.1	XP_015437542.1
OG0002161	XP_969001.1	XP_015440323.1
OG0002162	XP_008196308.1	XP_015439661.1
OG0002163	XP_015838284.1	XP_015429344.1
OG0002164	XP_015838497.1, XP_008197410.1	XP_015436471.1
OG0002165	XP_975588.2	XP_015438293.1, XP_015438294.1
OG0002166	XP_970024.1	XP_015431845.1, XP_015431844.1
OG0002167	XP_972438.1	XP_015433899.1
OG0002168	XP_008191800.1, XP_970907.1	XP_015433995.1
OG0002169	XP_972079.2, XP_008195141.1, XP_008195142.1	XP_015429566.1
OG0002170	XP_974763.2	XP_015439563.1
OG0002171	XP_015839451.1	XP_015428893.1
OG0002172	XP_973695.2	XP_015433975.1
OG0002173	NP_001164113.1, XP_008200010.1	XP_015438332.1
OG0002175	XP_008195835.1	XP_015428547.1
OG0002177	XP_008201509.1	XP_015429619.1
OG0002178	XP_015835920.1	XP_015438887.1
OG0002179	XP_008191502.1	XP_015430430.1
OG0002180	XP_001811865.1	XP_015435352.1
OG0002181	XP_008198092.1, XP_008198093.1, XP_015839034.1	XP_015438789.1
OG0002182	XP_015835011.1	XP_015432466.1
OG0002183	XP_008197314.1	XP_015433278.1, XP_015433279.1
OG0002184	XP_974130.1	XP_015440252.1
OG0002185	XP_008197256.1	XP_015435756.1
