Orthogroup	Tribolium_castaneum	Osmia_lignaria
OG0000790	XP_966929.1	XP_034179072.1
OG0000791	XP_973299.1	XP_034187035.1, XP_034187036.1, XP_034187037.1
OG0000795	XP_972085.1, XP_972137.1, XP_971105.1, XP_972034.1, XP_971043.1	XP_034188912.1
OG0000796	XP_971000.1	XP_034174861.1, XP_034187746.1
OG0000797	XP_976408.1	XP_034190292.1
OG0000798	XP_970910.1	XP_034180056.1, XP_034180058.1
OG0000799	XP_008192753.1, XP_967166.2	XP_034180545.1, XP_034180514.1, XP_034180523.1
OG0000800	XP_975766.1, XP_966312.1	XP_034180330.1
OG0000801	XP_974400.1, XP_008201328.1	XP_034173967.1
OG0000801	XP_015840663.1	XP_034187749.1
OG0000802	XP_008196539.1, XP_008196541.1, XP_008196542.1, XP_008196540.1	XP_034189560.1, XP_034189562.1, XP_034189561.1, XP_034189564.1, XP_034189563.1
OG0000803	XP_015838602.1, XP_968717.1, XP_975356.1	XP_034188816.1, XP_034188817.1
OG0000804	XP_008199784.1, XP_008199783.1, XP_969293.1	XP_034180962.1
OG0000805	XP_008192126.1	XP_034194545.1
OG0000805	NP_001103907.1, XP_015834312.1	XP_034181599.1
OG0000806	XP_975252.1	XP_034184428.1, XP_034184432.1, XP_034184431.1, XP_034184430.1, XP_034184429.1
OG0000807	XP_973473.1, XP_015837145.1, XP_008199731.1, XP_001811345.2	XP_034190741.1, XP_034190740.1
OG0000808	XP_966647.3	XP_034183463.1, XP_034183461.1
OG0000809	XP_015839883.1	XP_034193051.1, XP_034193046.1
OG0000810	XP_967137.1	XP_034183310.1, XP_034183309.1
OG0000811	XP_015835466.1	XP_034188072.1, XP_034188070.1, XP_034188069.1, XP_034188071.1
OG0000812	XP_015838959.1	XP_034175129.1
OG0000813	XP_008191104.1, XP_008197373.1	XP_034186990.1, XP_034186991.1
OG0000815	XP_015833081.1	XP_034172727.1, XP_034172729.1
OG0000816	XP_974466.2	XP_034189879.1, XP_034189877.1
OG0000817	NP_001280521.1, XP_015838938.1	XP_034195003.1
OG0000818	XP_008190837.2	XP_034188503.1
OG0000819	XP_008190357.1	XP_034179064.1, XP_034179057.1
OG0000820	XP_008199356.1	XP_034195599.1
OG0000821	XP_973706.1	XP_034185797.1, XP_034185798.1, XP_034185799.1
OG0000822	XP_008200699.1	XP_034172458.1, XP_034172455.1
OG0000823	XP_015838185.1, XP_008196921.1	XP_034187890.1, XP_034187889.1
OG0000824	XP_970563.1	XP_034184719.1
OG0000825	NP_001161902.1, NP_001161904.1, XP_015833252.1, NP_001161927.1, NP_001161906.1, NP_001161907.1	XP_034174046.1
OG0000826	XP_968324.1	XP_034176934.1, XP_034176935.1
OG0000827	XP_008190593.1, XP_015832959.1, XP_001814285.1, XP_008190592.1	XP_034183745.1, XP_034183742.1
OG0000828	XP_015839867.1, XP_966527.1	XP_034195499.1
OG0000829	XP_015836394.1	XP_034183255.1
OG0000830	XP_969246.1	XP_034194303.1, XP_034194302.1, XP_034194301.1, XP_034194299.1, XP_034194304.1
OG0000831	XP_966629.2	XP_034189119.1, XP_034189121.1, XP_034189122.1
OG0000832	XP_015834318.1	XP_034182733.1
OG0000833	XP_008193629.1, XP_008193622.1	XP_034190806.1, XP_034190798.1, XP_034190807.1
OG0000834	XP_008196985.1, XP_001813599.1	XP_034172452.1
OG0000835	NP_001161778.1	XP_034190763.1
OG0000837	XP_966340.1	XP_034184128.1, XP_034184129.1
OG0000838	XP_015837141.1, XP_015837139.1	XP_034180061.1, XP_034180067.1
OG0000839	XP_015837749.1, XP_008194206.1, XP_001814500.1	XP_034181508.1
OG0000840	XP_972558.1	XP_034177541.1, XP_034177551.1
OG0000841	XP_008191611.2, XP_973223.1, XP_015834454.1	XP_034181768.1
OG0000842	XP_008199587.1, XP_015835642.1, XP_008199598.1, XP_008199214.1	XP_034192812.1
OG0000843	NP_001164151.1, XP_015839763.1, XP_015836305.1, XP_015836304.1	XP_034187129.1
OG0000844	XP_008194355.1, XP_008194354.1, XP_976102.1	XP_034172406.1, XP_034172405.1
OG0000849	XP_974694.1, XP_008191702.1	XP_034183622.1, XP_034189636.1
OG0000850	XP_968953.1	XP_034180435.1, XP_034180437.1, XP_034180436.1
OG0000851	XP_970378.1	XP_034185597.1
OG0000852	XP_970723.1	XP_034172044.1
OG0000853	XP_972319.1	XP_034186796.1, XP_034186797.1, XP_034186798.1, XP_034186795.1
OG0000854	XP_008192670.1, XP_008192671.1, XP_974904.1	XP_034196499.1
OG0000855	XP_008200417.1	XP_034172075.1
OG0000856	XP_969485.1, XP_008191821.1	XP_034183287.1
OG0000857	XP_015838130.1	XP_034174526.1, XP_034174525.1, XP_034174524.1, XP_034174523.1, XP_034174529.1, XP_034174528.1, XP_034174527.1, XP_034174522.1
OG0000858	XP_975095.1	XP_034178314.1
OG0000859	XP_008194278.1	XP_034173381.1
OG0000860	XP_968421.2	XP_034194264.1
OG0000862	XP_015839850.1, XP_015839851.1	XP_034195426.1
OG0000863	XP_008191661.1	XP_034185668.1, XP_034185670.1
OG0000864	XP_001810857.1	XP_034192662.1
OG0000865	XP_966867.1, XP_975287.1	XP_034176896.1
OG0000867	XP_008196728.1, XP_970067.1, XP_008196726.1, XP_008196725.1	XP_034174325.1, XP_034174336.1, XP_034174316.1
OG0000868	XP_008199462.1, XP_008199456.1	XP_034172436.1, XP_034172433.1
OG0000869	XP_008191933.1, XP_975387.1	XP_034174081.1, XP_034174065.1, XP_034174056.1, XP_034174073.1
OG0000870	XP_970817.2, XP_008191521.1, XP_008191514.1, XP_970023.1, XP_015840225.1, XP_015840224.1	XP_034184904.1
OG0000871	XP_972974.1	XP_034191570.1, XP_034191569.1, XP_034191572.1, XP_034191571.1
OG0000872	XP_975496.1	XP_034181751.1, XP_034181750.1, XP_034181753.1
OG0000873	XP_008200174.2, XP_968354.1, XP_008200004.1, XP_015838086.1, XP_015838088.1, XP_015838087.1, XP_008197049.1, XP_008197050.1, NP_001153727.1, XP_008197048.1, XP_968596.1	XP_034187537.1
OG0000874	XP_008199106.1, XP_974993.1	XP_034177643.1
OG0000875	NP_001280510.1	XP_034178077.1
OG0000876	XP_966990.1	XP_034190240.1, XP_034190239.1
OG0000877	XP_008196449.1, XP_008196452.1	XP_034178224.1
OG0000878	XP_008199398.1	XP_034181479.1
OG0000879	XP_968223.1	XP_034189598.1, XP_034189599.1
OG0000881	XP_975088.1	XP_034189677.1
OG0000882	XP_973361.2, XP_008193581.1	XP_034186420.1
OG0000883	XP_008194497.1	XP_034193676.1, XP_034193677.1
OG0000884	XP_008196302.1	XP_034193462.1
OG0000885	XP_015840975.1, XP_008190312.1	XP_034181121.1
OG0000886	XP_008197067.1	XP_034180685.1, XP_034180684.1
OG0000887	XP_974918.1	XP_034192262.1, XP_034192264.1, XP_034192207.1
OG0000888	XP_976484.1	XP_034192158.1, XP_034174666.1
OG0000890	XP_015839379.1	XP_034173867.1
OG0000892	XP_971720.1	XP_034192271.1, XP_034192267.1, XP_034172302.1
OG0000893	XP_015840762.1	XP_034185523.1, XP_034185522.1
OG0000894	XP_008196971.1	XP_034192209.1, XP_034192212.1
OG0000895	XP_015838580.1, XP_015838577.1	XP_034182503.1, XP_034182492.1, XP_034182496.1
OG0000896	XP_008199894.2, XP_008194610.1	XP_034179388.1, XP_034179490.1
OG0000897	XP_972954.1	XP_034192250.1, XP_034192319.1, XP_034192370.1, XP_034192188.1
OG0000898	XP_973433.1	XP_034192983.1, XP_034172398.1
OG0000899	XP_008197394.1, XP_008197388.1	XP_034171832.1
OG0000900	XP_975518.1	XP_034186437.1
OG0000901	XP_972742.1	XP_034185264.1
OG0000902	XP_015836082.1	XP_034190777.1, XP_034190776.1
OG0000903	NP_001280545.1	XP_034171020.1, XP_034196642.1
OG0000904	XP_974704.1	XP_034184563.1
OG0000904	XP_008193109.1	XP_034189450.1
OG0000905	XP_015834466.1, XP_974925.1	XP_034176256.1
OG0000906	XP_015835817.1	XP_034194763.1
OG0000906	XP_015834567.1, XP_008195291.2	XP_034185940.1
OG0000909	XP_008193249.1	XP_034185582.1, XP_034185583.1, XP_034185578.1, XP_034185580.1, XP_034185581.1
OG0000910	XP_008195539.1	XP_034178793.1
OG0000911	XP_008199253.1	XP_034180882.1, XP_034180893.1
OG0000912	XP_008200507.1	XP_034184131.1, XP_034184142.1
OG0000913	XP_015834654.1, XP_008192488.1, XP_008196951.1	XP_034175764.1, XP_034175763.1, XP_034175760.1, XP_034175762.1, XP_034175761.1, XP_034175765.1
OG0000914	XP_008198899.1, XP_967645.1	XP_034190362.1
OG0000915	XP_008198828.2, XP_008194579.1	XP_034183062.1
OG0000916	XP_972862.1	XP_034188357.1
OG0000916	XP_008190404.1, XP_008190403.1	XP_034188361.1, XP_034188360.1
OG0000917	XP_974228.1	XP_034187453.1, XP_034187452.1
OG0000918	XP_008198658.1, XP_966808.3	XP_034175887.1
OG0000919	XP_973176.1	XP_034173735.1, XP_034173734.1, XP_034173733.1, XP_034173737.1, XP_034173736.1
OG0000920	XP_972603.1	XP_034172598.1, XP_034172599.1, XP_034172596.1, XP_034172597.1
OG0000921	XP_975525.1	XP_034189680.1, XP_034189681.1, XP_034189682.1, XP_034189683.1
OG0000922	XP_975585.1, XP_015837975.1	XP_034190592.1
OG0000923	XP_008200555.2, NP_001107795.1	XP_034175024.1, XP_034175018.1
OG0000924	XP_015840070.1	XP_034194386.1
OG0000925	XP_970135.2	XP_034173467.1
OG0000927	XP_970926.1	XP_034171094.1, XP_034171093.1, XP_034171092.1, XP_034171095.1
OG0000928	XP_970970.3	XP_034189849.1
OG0000929	XP_008201261.2	XP_034179318.1
OG0000930	XP_974670.1	XP_034191756.1
OG0000932	XP_967792.1	XP_034179540.1
OG0000933	NP_001300806.1	XP_034173570.1
OG0000934	NP_001164081.1, XP_008200118.1	XP_034192953.1
OG0000935	XP_969053.1, XP_968762.2, XP_015836672.1, XP_968905.2, XP_968838.1	XP_034187241.1
OG0000936	XP_008190860.2	XP_034175603.1
OG0000937	XP_008200071.1	XP_034188007.1, XP_034188006.1
OG0000938	XP_968610.1	XP_034184735.1, XP_034184734.1, XP_034184733.1, XP_034184736.1
OG0000939	XP_001811241.1	XP_034181447.1
OG0000939	XP_008191643.1	XP_034181421.1
OG0000940	XP_015837585.1	XP_034195043.1
OG0000941	XP_008197366.1, XP_969423.1	XP_034189067.1
OG0000943	XP_970739.1	XP_034193562.1
OG0000944	XP_966560.1	XP_034180736.1
OG0000945	XP_967690.1	XP_034186310.1, XP_034186312.1
OG0000946	XP_971878.2	XP_034178644.1, XP_034178643.1
OG0000947	XP_015838046.1	XP_034179287.1
OG0000948	XP_967077.2	XP_034180454.1, XP_034180455.1, XP_034180456.1
OG0000949	NP_001164308.1, XP_008191735.1	XP_034195825.1
OG0000950	XP_015834523.1, XP_015834522.1	XP_034190142.1, XP_034190143.1
OG0000951	XP_970664.1	XP_034184794.1
OG0000952	XP_015834328.1, XP_975405.2	XP_034184206.1, XP_034184205.1
OG0000955	XP_008194042.1, XP_015833870.1	XP_034171887.1
OG0000957	XP_969616.2	XP_034190259.1
OG0000958	XP_008199736.1, XP_973738.2	XP_034173680.1, XP_034173685.1
OG0000959	XP_015835943.1	XP_034183625.1, XP_034183626.1, XP_034183827.1
OG0000960	XP_972385.1	XP_034177332.1
OG0000961	XP_015833743.1	XP_034184073.1, XP_034184070.1
OG0000962	XP_008194653.1	XP_034180283.1, XP_034180297.1, XP_034180295.1
OG0000963	XP_976188.1	XP_034177225.1
OG0000964	XP_975467.2, XP_015834681.1	XP_034171352.1, XP_034171351.1
OG0000965	XP_015835969.1, XP_015835957.1	XP_034184086.1
OG0000966	XP_969046.1	XP_034184334.1, XP_034184333.1, XP_034184332.1
OG0000967	XP_008195382.1	XP_034187639.1, XP_034187640.1, XP_034187638.1
OG0000968	XP_008195614.1, XP_971104.2, XP_008195611.1	XP_034173572.1, XP_034173571.1
OG0000969	XP_015840918.1, XP_008201276.1	XP_034181152.1
OG0000970	XP_968305.1	XP_034176225.1, XP_034176226.1, XP_034176224.1
OG0000971	XP_972282.2, XP_015837020.1	XP_034193659.1
OG0000972	XP_967420.1	XP_034193136.1
OG0000974	XP_971298.2	XP_034191527.1
OG0000975	XP_015837167.1, XP_015837165.1, XP_015837173.1	XP_034174317.1
OG0000976	XP_008198905.1	XP_034195212.1, XP_034195220.1, XP_034195217.1, XP_034195224.1
OG0000977	XP_015837319.1, XP_970802.1	XP_034176763.1
OG0000978	XP_008199102.1	XP_034192557.1, XP_034175477.1
OG0000979	XP_969078.1	XP_034178365.1, XP_034192445.1, XP_034192444.1, XP_034192446.1
OG0000980	XP_015840382.1, XP_015838797.1, XP_015840939.1	XP_034181217.1
OG0000981	XP_008199943.1	XP_034173760.1, XP_034173759.1, XP_034173761.1, XP_034173755.1, XP_034173757.1, XP_034173754.1, XP_034173758.1
OG0000982	XP_015835195.1, NP_001280502.1	XP_034185935.1
OG0000983	XP_967514.2, XP_008193998.2	XP_034192716.1
OG0000984	XP_008197144.1	XP_034178006.1
OG0000984	XP_008197146.1	XP_034178004.1
OG0000985	XP_008195583.1	XP_034190102.1
OG0000986	XP_015837599.1	XP_034176941.1
OG0000987	XP_015836128.1	XP_034182022.1, XP_034171497.1
OG0000988	XP_015838738.1	XP_034195550.1, XP_034195549.1
OG0000989	XP_008194375.1	XP_034178407.1, XP_034178405.1
OG0000992	XP_974606.1	XP_034178167.1, XP_034178166.1
OG0000993	NP_001164130.1, NP_001164132.1	XP_034171207.1, XP_034171206.1
OG0000994	XP_968930.1	XP_034171673.1, XP_034171674.1
OG0000995	XP_008198979.1	XP_034186263.1, XP_034175673.1
OG0000996	XP_972738.1, XP_008200903.1	XP_034195101.1, XP_034195102.1
OG0000997	XP_001812951.1	XP_034177088.1
OG0000999	NP_001038092.1, NP_001038091.1, XP_015835197.1	XP_034185608.1
OG0001000	XP_971954.1	XP_034190868.1
OG0001001	XP_015837955.1, XP_008196172.1	XP_034174538.1
OG0001002	XP_969124.4, XP_971550.1	XP_034179570.1, XP_034179579.1
OG0001003	XP_008193884.1	XP_034185954.1, XP_034185952.1, XP_034185953.1
OG0001004	XP_972250.1	XP_034186039.1
OG0001005	NP_001164000.1	XP_034179988.1, XP_034179989.1, XP_034179986.1, XP_034179987.1
OG0001006	XP_015835270.1, XP_015835267.1	XP_034176286.1, XP_034176287.1
OG0001007	XP_008198971.1	XP_034180622.1, XP_034180623.1, XP_034180619.1, XP_034180620.1, XP_034180621.1, XP_034180624.1
OG0001008	NP_001306193.1, NP_001034521.1	XP_034175217.1
OG0001009	XP_015837854.1	XP_034176145.1
OG0001010	XP_008192053.1	XP_034180151.1
OG0001011	XP_974410.1	XP_034190314.1, XP_034190315.1
OG0001012	XP_008195285.1	XP_034177792.1, XP_034177793.1, XP_034177790.1, XP_034177796.1, XP_034177797.1, XP_034177794.1, XP_034177795.1, XP_034177798.1
OG0001013	XP_015836976.1	XP_034180220.1
OG0001014	XP_974871.1	XP_034196606.1
OG0001015	XP_008201597.1	XP_034185533.1
OG0001016	XP_969349.1	XP_034172226.1
OG0001016	XP_967560.1	XP_034193451.1
OG0001017	XP_969629.1, XP_008194028.1	XP_034194629.1, XP_034194613.1, XP_034194620.1
OG0001018	NP_001107779.1	XP_034195546.1
OG0001018	NP_001107780.1	XP_034195668.1
OG0001019	XP_015839056.1, XP_974292.2, XP_008198287.1	XP_034193171.1
OG0001020	XP_970433.1	XP_034194356.1, XP_034194357.1
OG0001022	XP_015835414.1, XP_015835415.1	XP_034185216.1
OG0001023	XP_001811805.1	XP_034193213.1, XP_034193212.1, XP_034193214.1
OG0001024	XP_971735.1	XP_034180076.1, XP_034180077.1
OG0001025	XP_008193091.1	XP_034183565.1
OG0001026	XP_970449.1	XP_034171444.1, XP_034171443.1, XP_034171446.1, XP_034171445.1, XP_034171441.1, XP_034171442.1
OG0001027	XP_015838508.1	XP_034192770.1, XP_034192772.1, XP_034192775.1, XP_034192769.1, XP_034192771.1, XP_034192773.1
OG0001028	XP_015839464.1, XP_970163.1	XP_034189226.1
OG0001029	XP_015840479.1	XP_034186590.1, XP_034186588.1
OG0001030	XP_015838296.1, XP_976275.1	XP_034180877.1, XP_034180881.1, XP_034180878.1
OG0001031	XP_975003.1, XP_975012.1	XP_034173192.1, XP_034173193.1, XP_034173195.1, XP_034173196.1
OG0001032	XP_008197238.1	XP_034177986.1
OG0001033	XP_968121.1	XP_034172943.1
OG0001034	XP_015835089.1, XP_015835090.1, XP_008192440.2, XP_015835122.1, XP_008192433.1, XP_008192434.1, XP_015840598.1, XP_008201070.1	XP_034177105.1
OG0001035	XP_001816488.1	XP_034188104.1, XP_034188106.1, XP_034188105.1, XP_034188103.1
OG0001036	XP_015838416.1	XP_034178925.1, XP_034191136.1
OG0001037	XP_008201337.1	XP_034181054.1, XP_034181053.1
OG0001038	XP_975102.1	XP_034176773.1, XP_034176774.1
OG0001039	XP_008197122.1, XP_972852.1	XP_034191955.1
OG0001040	XP_008200571.1	XP_034172327.1
OG0001041	XP_971368.1, XP_008199393.1, XP_008199391.1	XP_034196125.1
OG0001042	XP_008191863.1	XP_034171367.1
OG0001043	XP_008199231.1, XP_008199232.1	XP_034195755.1, XP_034195738.1
OG0001044	XP_015839545.1	XP_034178974.1, XP_034178975.1
OG0001045	XP_974068.1	XP_034181765.1
OG0001046	XP_015835974.1	XP_034183001.1
OG0001048	XP_015836699.1, XP_008195153.1	XP_034178672.1, XP_034178669.1
OG0001049	XP_008198519.1	XP_034184517.1
OG0001050	XP_008197845.1, XP_008197843.1	XP_034175103.1, XP_034175109.1, XP_034175107.1
OG0001052	XP_015836414.1	XP_034192975.1
OG0001053	XP_008201416.1	XP_034174919.1, XP_034174922.1
OG0001054	XP_970597.2	XP_034191193.1
OG0001055	XP_971906.1	XP_034178783.1, XP_034178784.1, XP_034178782.1
OG0001056	XP_008199786.1	XP_034171186.1, XP_034171187.1
OG0001057	XP_015838535.1	XP_034192748.1, XP_034192759.1, XP_034192758.1, XP_034192752.1, XP_034192751.1, XP_034192749.1, XP_034192757.1, XP_034192755.1, XP_034192754.1, XP_034192753.1, XP_034192750.1
OG0001058	XP_015833239.1, XP_015833240.1, XP_968118.1, XP_008190828.1	XP_034186171.1, XP_034186172.1, XP_034186170.1
OG0001059	XP_001812701.1	XP_034188697.1, XP_034182125.1
OG0001060	XP_975678.1	XP_034187479.1
OG0001061	XP_008194269.1, XP_015835880.1	XP_034185702.1
OG0001063	XP_008198790.1	XP_034195521.1
OG0001064	XP_015839254.1, XP_973869.1	XP_034194045.1, XP_034194043.1, XP_034194042.1
OG0001065	NP_001076808.1, XP_008195066.1	XP_034189611.1, XP_034189614.1
OG0001066	XP_008194156.1, XP_015835951.1, XP_008194158.1, XP_971810.2	XP_034193133.1, XP_034193129.1
OG0001067	XP_015835194.1, XP_015835191.1, XP_015835193.1, XP_015835189.1	XP_034175494.1, XP_034175495.1
OG0001068	XP_015833006.1, XP_015833002.1	XP_034190441.1, XP_034190468.1
OG0001069	XP_008195047.1, XP_008195052.1, XP_970713.1	XP_034191932.1
OG0001070	XP_967757.1	XP_034173026.1
OG0001071	XP_015835573.1, XP_971088.1	XP_034184577.1
OG0001072	XP_968287.2	XP_034178796.1
OG0001073	XP_015840906.1	XP_034184211.1, XP_034184212.1
OG0001074	XP_968014.1	XP_034191911.1, XP_034191889.1
OG0001075	XP_976192.1	XP_034176378.1, XP_034176374.1, XP_034176373.1, XP_034176377.1, XP_034176375.1, XP_034176371.1, XP_034176372.1, XP_034176370.1, XP_034176379.1
OG0001076	XP_015836852.1	XP_034181315.1
OG0001077	XP_969551.1	XP_034186544.1
OG0001078	XP_008197026.2	XP_034189835.1, XP_034189836.1, XP_034189837.1, XP_034189832.1, XP_034189838.1, XP_034189834.1
OG0001079	XP_970516.1	XP_034177458.1, XP_034177459.1, XP_034177460.1
OG0001081	XP_972805.1, XP_008196164.1	XP_034180808.1
OG0001082	XP_974821.1	XP_034172987.1, XP_034172986.1
OG0001084	XP_008193669.1	XP_034192058.1
OG0001085	XP_015836984.1, XP_966581.1	XP_034192926.1
OG0001086	XP_008196611.1	XP_034187630.1
OG0001090	XP_008193026.1, XP_969238.1	XP_034187646.1, XP_034187647.1
OG0001091	XP_008191347.1	XP_034196131.1
OG0001092	XP_008192984.1, NP_001107766.2	XP_034180589.1, XP_034180659.1
OG0001093	XP_967758.1	XP_034183459.1, XP_034183453.1
OG0001094	XP_972722.1	XP_034172312.1
OG0001095	XP_974524.1	XP_034171736.1
OG0001096	XP_971402.1	XP_034187116.1
OG0001097	XP_973281.1	XP_034189603.1, XP_034189601.1
OG0001098	XP_001808476.1	XP_034186450.1
OG0001099	XP_015838137.1	XP_034189301.1
OG0001100	XP_015833017.1, XP_974324.1	XP_034195611.1
OG0001101	XP_015835316.1, XP_008192958.1	XP_034193116.1
OG0001102	XP_008198777.1, XP_970498.1	XP_034174277.1
OG0001103	NP_001164136.1	XP_034184813.1
OG0001104	XP_966537.1	XP_034177620.1, XP_034177618.1, XP_034177619.1
OG0001105	XP_968687.1, XP_015836906.1, XP_015836904.1, XP_969139.2, XP_968617.1	XP_034171581.1
OG0001106	XP_975213.1	XP_034180966.1, XP_034180964.1, XP_034180965.1
OG0001107	XP_015835955.1, XP_967711.1	XP_034185419.1
OG0001108	XP_969212.1, XP_969136.1, XP_969065.1	XP_034185226.1
OG0001109	XP_015840812.1	XP_034190510.1, XP_034190509.1, XP_034190511.1
OG0001110	XP_008197884.1	XP_034176105.1, XP_034176106.1, XP_034176107.1, XP_034176104.1
OG0001111	XP_975084.1	XP_034172906.1
OG0001112	XP_015839558.1, XP_008199112.1, XP_008199111.1, XP_008199113.1, XP_008199114.1	XP_034182139.1
OG0001113	XP_966673.1	XP_034177084.1, XP_034177085.1, XP_034177086.1
OG0001114	XP_966885.1, XP_008191103.1	XP_034185828.1
OG0001115	XP_968555.2	XP_034185352.1
OG0001117	XP_008199836.1	XP_034183606.1, XP_034183605.1, XP_034183604.1, XP_034183602.1
OG0001118	XP_972023.1	XP_034188923.1, XP_034188924.1
OG0001119	XP_015833676.1	XP_034176009.1, XP_034176006.1, XP_034176007.1, XP_034176008.1
OG0001120	XP_975429.1	XP_034175203.1
OG0001121	NP_001107840.1, XP_008201496.1	XP_034173241.1
OG0001122	XP_968775.1	XP_034188975.1
OG0001123	XP_008198553.1	XP_034179080.1
OG0001124	XP_975636.1	XP_034189565.1, XP_034189566.1
OG0001125	XP_008190532.1, XP_008190533.1, XP_008190535.1, XP_008190536.1, XP_008190537.1, XP_015833013.1	XP_034190130.1
OG0001126	XP_971282.1, XP_015836202.1	XP_034192402.1
OG0001127	XP_008198191.1	XP_034182044.1, XP_034182029.1
OG0001128	XP_008190655.1	XP_034181255.1
OG0001129	XP_008195074.1	XP_034195384.1
OG0001130	XP_968477.1	XP_034178604.1, XP_034178603.1, XP_034178602.1, XP_034178601.1
OG0001131	XP_015840650.1, XP_008199422.1	XP_034180587.1, XP_034180593.1
OG0001132	XP_967011.1	XP_034187455.1, XP_034187457.1, XP_034187456.1, XP_034187459.1, XP_034187458.1, XP_034187454.1
OG0001133	XP_967241.1, XP_015832935.1	XP_034181239.1
OG0001134	XP_008194083.1	XP_034178023.1, XP_034178019.1
OG0001135	XP_968753.2	XP_034172088.1
OG0001137	XP_008198456.2	XP_034188644.1
OG0001138	XP_974752.2	XP_034174988.1
OG0001139	XP_973786.1, XP_015835878.1	XP_034179909.1, XP_034179896.1
OG0001140	XP_971142.1	XP_034187615.1, XP_034187617.1, XP_034187616.1, XP_034187618.1
OG0001142	XP_008193039.1	XP_034186751.1
OG0001143	XP_969623.1	XP_034186083.1, XP_034186084.1
OG0001144	NP_001280546.1	XP_034178881.1, XP_034178875.1
OG0001145	XP_973829.1	XP_034183918.1
OG0001146	XP_967210.1	XP_034177091.1, XP_034193007.1
OG0001147	XP_008201711.1	XP_034181639.1, XP_034181638.1, XP_034181637.1, XP_034181636.1, XP_034181634.1, XP_034181635.1
OG0001148	XP_008191864.1	XP_034176415.1
OG0001149	XP_008193472.1	XP_034193355.1, XP_034193359.1, XP_034193357.1, XP_034193358.1, XP_034193360.1, XP_034193364.1, XP_034193363.1, XP_034193361.1, XP_034193362.1
OG0001150	XP_968505.1	XP_034174258.1, XP_034174256.1, XP_034174259.1
OG0001151	XP_008194307.1	XP_034175216.1
OG0001152	XP_015835806.1	XP_034185850.1
OG0001153	XP_008196650.2	XP_034174564.1
OG0001154	XP_015840392.1, XP_008195259.1	XP_034193938.1
OG0001155	XP_008192108.1, XP_008192109.1, XP_974039.1	XP_034188751.1, XP_034188750.1, XP_034188749.1
OG0001156	XP_008192296.1	XP_034183424.1, XP_034183423.1
OG0001157	XP_970548.1, XP_008199067.1	XP_034172285.1
OG0001158	XP_008197031.1, NP_001164280.1	XP_034195518.1, XP_034195533.1, XP_034195526.1
OG0001159	XP_008199533.1	XP_034176206.1, XP_034176207.1
OG0001160	XP_972545.1	XP_034174113.1, XP_034174109.1, XP_034174110.1, XP_034174111.1, XP_034174112.1
OG0001161	NP_001164093.1, XP_008198406.1	XP_034191779.1
OG0001163	XP_008196669.1, XP_972490.2	XP_034171296.1
OG0001164	XP_001815875.1	XP_034194903.1, XP_034194888.1
OG0001165	XP_015835803.1, XP_008193882.1	XP_034183564.1, XP_034183563.1
OG0001166	XP_008191785.1, XP_015833648.1, XP_015833649.1	XP_034188785.1, XP_034188784.1
OG0001167	XP_008190526.1	XP_034195581.1
OG0001168	XP_008194043.1, NP_001129235.1	XP_034184018.1, XP_034184017.1
OG0001169	XP_971976.1, XP_008195314.1	XP_034180023.1
OG0001170	XP_008195103.1	XP_034176948.1
OG0001171	XP_008201706.1, XP_008201707.1	XP_034181621.1, XP_034181619.1
OG0001172	XP_015835716.1, XP_015835718.1	XP_034176822.1, XP_034176827.1
OG0001173	XP_008191324.1	XP_034172429.1
OG0001174	XP_971424.1	XP_034189266.1, XP_034183182.1
OG0001175	XP_008200383.1	XP_034196369.1
OG0001176	XP_972928.1	XP_034170973.1
OG0001178	XP_975464.2	XP_034171345.1, XP_034171350.1, XP_034171348.1, XP_034171347.1, XP_034171346.1
OG0001179	XP_008198975.1, XP_971602.1	XP_034183642.1
OG0001180	XP_008198633.1	XP_034181925.1, XP_034181930.1
OG0001181	XP_008191878.1	XP_034196230.1, XP_034196231.1
OG0001182	XP_015840100.1, XP_015840102.1	XP_034174871.1, XP_034174877.1
OG0001183	XP_008193529.1	XP_034188546.1, XP_034188540.1
OG0001184	XP_008201701.1, XP_015840686.1	XP_034192556.1
OG0001186	XP_969063.1	XP_034185239.1, XP_034185238.1, XP_034185237.1, XP_034185235.1, XP_034185240.1
OG0001187	XP_968896.1, XP_015835887.1	XP_034184862.1
OG0001188	XP_001816493.1, XP_015837546.1, XP_015837545.1	XP_034173804.1, XP_034174687.1
OG0001189	XP_008194526.1	XP_034180630.1
OG0001190	XP_008199702.1, XP_008199701.1	XP_034188565.1, XP_034188563.1
OG0001191	XP_008201559.2, NP_001165842.1	XP_034179538.1, XP_034179528.1, XP_034179527.1
OG0001193	XP_967266.2	XP_034173693.1
OG0001195	XP_008195388.1, XP_008195387.1	XP_034189890.1, XP_034189889.1, XP_034189891.1
OG0001197	XP_015840919.1, XP_008201266.1, XP_008201358.1	XP_034172980.1, XP_034172979.1, XP_034172981.1
OG0001198	XP_008192533.1	XP_034183506.1, XP_034183505.1, XP_034183503.1, XP_034183504.1
OG0001201	XP_967431.2	XP_034186935.1
OG0001202	XP_008198196.1, XP_969574.1, XP_970203.1	XP_034176718.1
OG0001203	XP_008198168.2, XP_015837354.1	XP_034172801.1
OG0001204	XP_015835914.1	XP_034189459.1
