Orthogroup	Megalopta_genalis	Solenopsis_invicta
OG0001415	XP_033340994.1	XP_011168452.2
OG0001417	XP_033334848.1, XP_033334847.1, XP_033334846.1, XP_033334849.1	XP_011159626.1, XP_011159625.1, XP_039303854.1
OG0001418	XP_033331754.1, XP_033321453.1, XP_033335309.1, XP_033335471.1, XP_033335515.1, XP_033335510.1, XP_033335511.1, XP_033339328.1, XP_033335514.1, XP_033335512.1	XP_025988310.1
OG0001419	XP_033337007.1	XP_025990704.1, XP_025990698.1
OG0001421	XP_033323775.1, XP_033323776.1, XP_033323777.1, XP_033323784.1	XP_011157717.1
OG0001422	XP_033328316.1	XP_011168866.3
OG0001423	XP_033328804.1	XP_039301682.1
OG0001424	XP_033342016.1	XP_025988061.1, XP_011175495.1
OG0001425	XP_033328615.1	XP_011161576.1
OG0001426	XP_033323404.1	XP_039309524.1
OG0001427	XP_033341537.1	XP_011175988.1
OG0001428	XP_033324199.1	XP_011169585.1, XP_011169577.1
OG0001429	XP_033333465.1	XP_011161484.1, XP_039311060.1, XP_039311061.1, XP_011161485.1, XP_025986645.1, XP_011156902.1, XP_011156899.2, XP_025986354.2, XP_039306264.1, XP_011156898.1, XP_039306265.1, XP_011171049.1, XP_011171091.1
OG0001430	XP_033341692.1	XP_011164676.1, XP_039308732.1, XP_039302689.1, XP_039302690.1, XP_039302692.1, XP_039302691.1, XP_025991973.2, XP_039307943.1, XP_039307372.1, XP_039308068.1, XP_039307944.1, XP_011164674.1, XP_011164678.1, XP_011164680.2, XP_011164681.2
OG0001433	XP_033321462.1, XP_033321471.1	XP_025994189.2
OG0001434	XP_033323565.1	XP_011159065.1
OG0001436	XP_033336290.1	XP_011175197.1
OG0001437	XP_033335425.1	XP_011172011.1
OG0001438	XP_033322465.1, XP_033322466.1, XP_033322464.1	XP_025987016.1
OG0001440	XP_033331189.1, XP_033339930.1	XP_039301796.1
OG0001441	XP_033337618.1, XP_033337623.1	XP_025995051.1, XP_011164726.1
OG0001442	XP_033334776.1, XP_033334777.1	XP_039304061.1
OG0001443	XP_033341889.1	XP_039302720.1, XP_039302721.1
OG0001444	XP_033322506.1	XP_039303669.1
OG0001445	XP_033327764.1, XP_033327763.1	XP_011167441.1
OG0001446	XP_033325927.1	XP_011169573.2
OG0001448	XP_033338668.1, XP_033338667.1, XP_033338669.1	XP_039312922.1, XP_011173898.1
OG0001449	XP_033332321.1, XP_033332323.1, XP_033332324.1, XP_033332320.1, XP_033332322.1	XP_011164180.2, XP_011164179.2, XP_011164181.2
OG0001450	XP_033330587.1, XP_033330584.1	XP_011167782.1, XP_039304005.1
OG0001451	XP_033335047.1, XP_033335046.1	XP_011168974.1
OG0001452	XP_033331391.1	XP_011160094.1
OG0001453	XP_033331863.1	XP_011166027.1, XP_039311081.1
OG0001455	XP_033337744.1	XP_011158617.2, XP_025990485.1, XP_039309522.1, XP_039309203.1
OG0001457	XP_033339154.1, XP_033339155.1, XP_033339156.1, XP_033339194.1, XP_033339193.1, XP_033324163.1	XP_011156838.1
OG0001458	XP_033330895.1, XP_033330893.1, XP_033330892.1	XP_039313170.1, XP_039313172.1, XP_039313171.1
OG0001459	XP_033329392.1	XP_039314602.1
OG0001460	XP_033330576.1	XP_011168563.1
OG0001461	XP_033328146.1	XP_011166122.1
OG0001462	XP_033331097.1	XP_039313168.1
OG0001463	XP_033333161.1	XP_039314506.1
OG0001464	XP_033320813.1, XP_033320810.1	XP_011175504.1
OG0001466	XP_033321041.1	XP_011164329.1, XP_025988877.1
OG0001468	XP_033331781.1	XP_011168738.1
OG0001469	XP_033342476.1	XP_025992793.1
OG0001470	XP_033322494.1	XP_025996653.1
OG0001471	XP_033341583.1	XP_011168758.1
OG0001472	XP_033321728.1, XP_033331242.1	XP_011171029.1
OG0001473	XP_033341943.1	XP_025987889.2
OG0001474	XP_033325626.1, XP_033325489.1	XP_011163536.1
OG0001475	XP_033341141.1	XP_011165353.1
OG0001476	XP_033338396.1, XP_033338397.1, XP_033338392.1, XP_033338393.1, XP_033338394.1, XP_033338395.1	XP_011170458.2
OG0001477	XP_033326073.1	XP_025990076.1
OG0001478	XP_033331825.1	XP_039303041.1, XP_039303040.1, XP_025996444.1, XP_025996445.1, XP_025993296.1
OG0001479	XP_033342437.1	XP_011171853.1
OG0001480	XP_033329780.1, XP_033329779.1, XP_033329778.1	XP_011167365.1
OG0001481	XP_033332968.1	XP_011163818.1
OG0001482	XP_033338834.1	XP_025995318.2
OG0001483	XP_033325302.1	XP_011158227.2
OG0001484	XP_033330946.1	XP_039313164.1
OG0001486	XP_033335135.1, XP_033335134.1	XP_025988210.1
OG0001487	XP_033325758.1	XP_011160910.1
OG0001488	XP_033320789.1	XP_011175651.1
OG0001489	XP_033322429.1	XP_011159173.1
OG0001490	XP_033337133.1	XP_039308811.1
OG0001491	XP_033336606.1, XP_033336604.1, XP_033336605.1, XP_033336602.1, XP_033336603.1	XP_011173446.1
OG0001492	XP_033338934.1	XP_011166609.1
OG0001494	XP_033338609.1	XP_011159518.1, XP_039304095.1, XP_039304096.1, XP_039304094.1
OG0001495	XP_033327149.1	XP_011168272.1
OG0001496	XP_033332258.1, XP_033332257.1, XP_033332260.1, XP_033332256.1	XP_011176077.2, XP_011176075.2, XP_011176076.2, XP_011174865.2
OG0001497	XP_033335024.1	XP_011165457.1, XP_011165458.1
OG0001498	XP_033323594.1	XP_039305924.1
OG0001499	XP_033330091.1	XP_039307688.1, XP_011158157.1
OG0001499	XP_033333713.1	XP_011163631.1
OG0001500	XP_033321201.1	XP_039312635.1, XP_039312637.1, XP_039312638.1, XP_039312634.1
OG0001501	XP_033328422.1, XP_033328421.1	XP_025988324.1
OG0001502	XP_033328439.1	XP_011166475.1
OG0001503	XP_033334874.1	XP_025996966.1, XP_025996963.2
OG0001504	XP_033321622.1	XP_011167263.2
OG0001505	XP_033328209.1	XP_011172206.2
OG0001506	XP_033338306.1, XP_033338305.1, XP_033338304.1	XP_039304198.1, XP_039304197.1, XP_039304199.1, XP_039304201.1, XP_039304200.1, XP_039304196.1
OG0001507	XP_033324710.1	XP_039314299.1
OG0001508	XP_033333852.1	XP_039311816.1
OG0001509	XP_033327415.1	XP_039311684.1
OG0001510	XP_033334830.1, XP_033342219.1	XP_025992335.2, XP_025986196.2
OG0001511	XP_033340665.1, XP_033340894.1, XP_033340664.1, XP_033340663.1, XP_033340660.1	XP_025994312.2, XP_039315233.1, XP_039315195.1, XP_039310857.1
OG0001512	XP_033327405.1	XP_025986523.1
OG0001513	XP_033331658.1, XP_033331659.1, XP_033331657.1	XP_011173097.1
OG0001514	XP_033341747.1	XP_011176284.1, XP_011176285.1
OG0001515	XP_033331960.1	XP_025995098.1
OG0001516	XP_033339005.1	XP_011166939.1, XP_039315567.1, XP_039315566.1
OG0001517	XP_033324412.1	XP_025995929.1, XP_039311148.1, XP_025995926.1, XP_039311149.1, XP_025995927.1, XP_025995928.1, XP_025995924.1, XP_025995925.1, XP_025995930.1
OG0001518	XP_033333447.1, XP_033333446.1	XP_011175547.2
OG0001519	XP_033335127.1	XP_025995933.2, XP_025995932.2
OG0001520	XP_033341995.1	XP_011172158.1
OG0001520	XP_033341994.1	XP_011172159.1
OG0001521	XP_033339329.1	XP_039314177.1
OG0001522	XP_033327915.1	XP_025988170.1, XP_025988171.1, XP_039312191.1, XP_039312156.1, XP_039312155.1, XP_039312179.1, XP_039312144.1, XP_039312149.1, XP_011168770.1, XP_011168769.1, XP_039312184.1, XP_025988169.1
OG0001523	XP_033324854.1	XP_025987250.1
OG0001524	XP_033323194.1, XP_033323193.1, XP_033323192.1	XP_011168675.2
OG0001525	XP_033341568.1	XP_011159211.1
OG0001527	XP_033339255.1, XP_033339256.1	XP_039303803.1, XP_011158352.1
OG0001529	XP_033321653.1	XP_039311427.1
OG0001531	XP_033334035.1, XP_033334034.1	XP_025988753.1
OG0001532	XP_033329479.1, XP_033329480.1	XP_011162596.1, XP_039310282.1
OG0001533	XP_033322269.1, XP_033322277.1	XP_025987694.2
OG0001534	XP_033332433.1	XP_011156569.2, XP_039308558.1
OG0001535	XP_033338217.1, XP_033338218.1	XP_011158713.1
OG0001536	XP_033328996.1	XP_025994747.1, XP_025994749.1, XP_039314099.1
OG0001537	XP_033331322.1, XP_033331319.1	XP_011158583.1, XP_039307705.1
OG0001538	XP_033331672.1	XP_025995016.1
OG0001539	XP_033339323.1	XP_025989075.1
OG0001540	XP_033341234.1	XP_011156938.1
OG0001541	XP_033340318.1	XP_039305648.1, XP_039305645.1
OG0001542	XP_033333820.1	XP_011176315.1
OG0001543	XP_033324404.1, XP_033324402.1	XP_011160969.1
OG0001545	XP_033331183.1	XP_011167357.1
OG0001546	XP_033337144.1, XP_033337143.1	XP_011173304.1
OG0001547	XP_033325188.1, XP_033325194.1	XP_011157267.1, XP_011157187.1, XP_025995250.1, XP_011157118.1, XP_039313897.1, XP_039313896.1
OG0001548	XP_033323260.1, XP_033323265.1	XP_039312926.1, XP_011167899.2
OG0001549	XP_033333515.1	XP_039302374.1, XP_011172055.1, XP_039302373.1, XP_039302375.1, XP_011174292.2
OG0001551	XP_033332177.1	XP_025991441.1
OG0001552	XP_033331975.1	XP_039306173.1
OG0001553	XP_033321525.1	XP_011171181.2
OG0001554	XP_033335487.1, XP_033335482.1	XP_025993708.2, XP_011167298.3
OG0001555	XP_033325608.1, XP_033325605.1, XP_033325607.1, XP_033325606.1, XP_033325609.1	XP_039302216.1, XP_039302217.1, XP_039302218.1
OG0001556	XP_033330110.1	XP_011160222.1, XP_011160221.1
OG0001557	XP_033334702.1	XP_025987489.1
OG0001558	XP_033337704.1, XP_033337702.1, XP_033337703.1	XP_011164872.1
OG0001559	XP_033332966.1	XP_025995579.2
OG0001561	XP_033339970.1, XP_033339969.1, XP_033339972.1	XP_011156748.1
OG0001562	XP_033328357.1	XP_011160241.1
OG0001563	XP_033341462.1	XP_011164698.1, XP_011164700.1
OG0001565	XP_033325424.1	XP_011159749.1
OG0001567	XP_033326103.1, XP_033326100.1	XP_011164347.2
OG0001568	XP_033328178.1, XP_033328180.1	XP_039315462.1, XP_011170161.1
OG0001569	XP_033336286.1, XP_033336285.1, XP_033336287.1, XP_033336289.1, XP_033336288.1	XP_039307127.1, XP_011175182.1
OG0001570	XP_033322655.1, XP_033322657.1, XP_033322656.1	XP_025996281.1
OG0001571	XP_033328364.1	XP_011173525.1
OG0001572	XP_033339468.1	XP_025991099.2
OG0001573	XP_033328803.1	XP_011167748.2
OG0001574	XP_033330239.1	XP_025990480.1, XP_025990476.1
OG0001575	XP_033323472.1	XP_025989254.1
OG0001576	XP_033323118.1	XP_011162339.1, XP_011162338.1
OG0001577	XP_033329340.1	XP_039314987.1, XP_025990992.2, XP_011156779.2, XP_011156780.2
OG0001578	XP_033329773.1	XP_039311675.1, XP_025995374.2
OG0001579	XP_033340592.1	XP_025990916.1, XP_011161055.1
OG0001580	XP_033337604.1, XP_033337605.1	XP_025989737.2, XP_025989741.2
OG0001581	XP_033339616.1, XP_033339615.1	XP_039312559.1
OG0001582	XP_033323093.1	XP_025993005.2, XP_039302703.1, XP_011170369.2
OG0001583	XP_033324983.1, XP_033324986.1, XP_033324985.1, XP_033324982.1	XP_011173101.1, XP_011173102.1
OG0001584	XP_033328517.1, XP_033328521.1	XP_011163216.1, XP_011163212.1
OG0001585	XP_033331088.1, XP_033331092.1, XP_033331093.1	XP_011175980.2
OG0001586	XP_033341972.1	XP_011172109.1
OG0001587	XP_033333475.1	XP_025992049.1
OG0001588	XP_033335121.1, XP_033335117.1	XP_039302461.1, XP_025989691.2
OG0001592	XP_033326588.1, XP_033325215.1, XP_033325214.1	XP_011171154.1, XP_039310573.1, XP_039310572.1, XP_011171149.1, XP_011171150.1, XP_011171153.1, XP_011171152.1
OG0001593	XP_033320857.1	XP_025989465.2
OG0001594	XP_033322653.1, XP_033322654.1	XP_039313370.1
OG0001595	XP_033340635.1, XP_033340636.1	XP_011155321.1, XP_011155323.1
OG0001596	XP_033337111.1	XP_011160525.1, XP_039308865.1
OG0001598	XP_033336974.1	NP_001291513.1, XP_039304810.1, NP_001291514.1
OG0001599	XP_033323629.1	XP_011163081.1
OG0001600	XP_033339991.1, XP_033339992.1, XP_033339990.1	XP_011165848.2
OG0001601	XP_033341217.1, XP_033341216.1, XP_033341205.1	XP_039303295.1
OG0001602	XP_033328040.1	XP_025988800.1
OG0001602	XP_033328041.1	XP_025988804.2
OG0001603	XP_033330414.1, XP_033330422.1, XP_033330429.1	XP_039314417.1, XP_039314415.1, XP_011160104.1, XP_025987808.1, XP_025987807.1, XP_025987806.1, XP_025987809.1
OG0001604	XP_033332928.1, XP_033332924.1	XP_039306393.1, XP_039306391.1
OG0001605	XP_033338293.1	XP_025993135.2, XP_039312161.1, XP_039312160.1
OG0001606	XP_033338831.1	XP_039303892.1
OG0001607	XP_033336917.1	XP_025988460.1, XP_039305259.1
OG0001608	XP_033334922.1	XP_039312323.1
OG0001609	XP_033338735.1	XP_025987980.1, XP_011157468.1, XP_011157467.1
OG0001611	XP_033322576.1	XP_011157083.1
OG0001612	XP_033323072.1	XP_025991527.2
OG0001613	XP_033330628.1	XP_039307245.1, XP_039307244.1, XP_039307243.1, XP_011156140.1, XP_025997359.2, XP_039303090.1, XP_025996903.2
OG0001614	XP_033337936.1, XP_033337934.1	XP_039302685.1
OG0001615	XP_033341753.1	XP_011159603.1
OG0001616	XP_033342748.1, XP_033342747.1	XP_011165539.1
OG0001617	XP_033330712.1	XP_025996452.1
OG0001619	XP_033341836.1, XP_033341837.1, XP_033341835.1	XP_039310054.1, XP_039310053.1, XP_025992244.2, XP_011169725.1
OG0001620	XP_033327573.1, XP_033327574.1, XP_033327571.1	XP_011172508.2
OG0001621	XP_033332724.1	XP_011163719.2
OG0001622	XP_033337476.1	XP_011163366.1
OG0001623	XP_033332377.1	XP_011173601.1
OG0001624	XP_033325167.1	XP_025988947.1
OG0001625	XP_033327626.1, XP_033327627.1	XP_011158987.1
OG0001626	XP_033330427.1	XP_011166369.1
OG0001627	XP_033322073.1	XP_025992429.1
OG0001628	XP_033338104.1	XP_039313243.1, XP_011165694.2
OG0001629	XP_033321365.1	XP_011164801.1, NP_001291532.1
OG0001630	XP_033325738.1, XP_033325745.1	XP_011169550.2, XP_011169546.2
OG0001631	XP_033342689.1	XP_025994075.2
OG0001632	XP_033336063.1, XP_033336060.1, XP_033336062.1, XP_033336061.1	XP_025996098.1, XP_039312892.1, XP_039312891.1
OG0001633	XP_033331985.1	XP_025990458.1
OG0001634	XP_033332462.1, XP_033332463.1	XP_011163706.1
OG0001635	XP_033332548.1, XP_033332549.1	XP_025990186.1
OG0001637	XP_033340713.1	XP_011160567.1, XP_039303715.1
OG0001638	XP_033321532.1	XP_011173071.2
OG0001639	XP_033335751.1	XP_011162004.1, XP_039302197.1
OG0001640	XP_033331048.1	XP_011162453.1
OG0001641	XP_033337119.1	XP_011167461.1
OG0001643	XP_033335649.1	XP_025995866.2
OG0001644	XP_033330310.1	XP_039302614.1, XP_011175857.1, XP_011175856.1
OG0001645	XP_033327269.1, XP_033327268.1	XP_011162052.1, XP_011162053.1
OG0001646	XP_033333828.1	XP_025991119.1
OG0001647	XP_033330811.1	XP_011167238.1
OG0001648	XP_033341546.1	XP_011161583.1, XP_039310226.1
OG0001649	XP_033321164.1	XP_011160573.1
OG0001650	XP_033333007.1	XP_039306040.1, XP_039306042.1, XP_039306041.1, XP_039306043.1
OG0001651	XP_033342552.1	XP_039307391.1, XP_039307390.1
OG0001652	XP_033329489.1, XP_033329488.1	XP_025989514.1, XP_011170123.1
OG0001653	XP_033330393.1	XP_011164509.2
OG0001654	XP_033335314.1	XP_025990587.2, XP_011171393.2, XP_025990588.2
OG0001655	XP_033328947.1	XP_011172420.1, XP_011172419.1
OG0001656	XP_033325688.1	XP_025989933.1, XP_011176122.1
OG0001657	XP_033340678.1, XP_033340677.1	XP_011156207.1
OG0001658	XP_033337091.1	XP_025987786.1, XP_011169230.1
OG0001659	XP_033324801.1	XP_011156724.2, XP_011156725.1
OG0001660	XP_033320807.1	XP_011175649.1
OG0001661	XP_033320894.1	XP_025991899.1, XP_011161848.1
OG0001662	XP_033322366.1	XP_011166179.1, XP_011166174.1
OG0001663	XP_033325545.1, XP_033325546.1, XP_033325543.1, XP_033325547.1, XP_033325548.1	XP_011160600.1
OG0001664	XP_033324394.1	XP_039315097.1, XP_039315095.1
OG0001665	XP_033342879.1	XP_011162304.1
OG0001666	XP_033332593.1, XP_033332594.1, XP_033332595.1	XP_011157454.1
OG0001667	XP_033327987.1	XP_039314599.1
OG0001668	XP_033322995.1, XP_033322996.1, XP_033322994.1	XP_011164357.1, XP_011164356.1
OG0001669	XP_033336705.1	XP_011157251.2
OG0001670	XP_033322617.1, XP_033322616.1	XP_039313082.1, XP_025995976.1
OG0001671	XP_033320982.1, XP_033320978.1	XP_039308958.1
OG0001672	XP_033321312.1	XP_039303278.1
OG0001673	XP_033341305.1, XP_033323992.1, XP_033327288.1	XP_011156255.2
OG0001674	XP_033328606.1, XP_033328605.1	XP_025992958.2, XP_039307971.1, XP_025992957.2, XP_011163203.2
OG0001675	XP_033335980.1	XP_011161210.1, XP_011161211.1
OG0001676	XP_033331076.1	XP_011173208.2
OG0001677	XP_033329150.1	XP_011166896.1
OG0001678	XP_033330208.1	XP_011160108.1, XP_011160107.1
OG0001679	XP_033342295.1, XP_033342294.1, XP_033342296.1	XP_011158431.1
OG0001680	XP_033338623.1	XP_011162712.1, XP_039310111.1
OG0001681	XP_033332236.1	XP_039309619.1
OG0001682	XP_033327515.1, XP_033327533.1	XP_011171824.1
OG0001683	XP_033329603.1, XP_033329604.1	XP_011169305.1
OG0001684	XP_033341680.1	XP_039310942.1
OG0001685	XP_033338267.1	XP_039303275.1
OG0001686	XP_033342792.1	XP_011162209.1, XP_039301716.1, XP_039301714.1, XP_039301715.1
OG0001687	XP_033323437.1	XP_039309671.1, XP_025992568.1
OG0001689	XP_033334832.1	XP_025986564.1, XP_025986563.1
OG0001690	XP_033335859.1, XP_033335857.1	XP_039306829.1, XP_011157264.1
OG0001691	XP_033324459.1	XP_011171427.1
OG0001692	XP_033338547.1, XP_033339979.1	XP_011155633.1
OG0001693	XP_033334042.1	XP_025987446.1, XP_039310517.1
OG0001694	XP_033322137.1	XP_011168616.2
OG0001695	XP_033324788.1	XP_011156723.1
OG0001696	XP_033328992.1	XP_039310023.1, XP_039310017.1
OG0001697	XP_033320906.1, XP_033320897.1	XP_039304291.1, XP_039304292.1, XP_025993247.1, XP_025993246.1, XP_025993245.1
OG0001699	XP_033329273.1, XP_033329278.1, XP_033329277.1, XP_033329275.1, XP_033329274.1	XP_025986701.1, XP_011158791.1, XP_011158789.1, XP_011158790.1
OG0001700	XP_033330580.1, XP_033330582.1	XP_011167786.2
OG0001703	XP_033322886.1	XP_011164234.2
OG0001704	XP_033340004.1	XP_011167326.1
OG0001706	XP_033339728.1	XP_011158625.1
OG0001707	XP_033332633.1	XP_011155612.1
OG0001708	XP_033329224.1, XP_033329226.1	XP_011164603.1, XP_025991942.1
OG0001709	XP_033321919.1	XP_025990188.1, XP_025990194.1
OG0001710	XP_033321579.1	XP_039305265.1
OG0001711	XP_033336914.1	XP_011165612.1
OG0001712	XP_033333873.1, XP_033333908.1	XP_011166117.1, XP_011166096.1
OG0001713	XP_033339348.1	XP_011166931.1
OG0001714	XP_033341279.1	XP_025987284.1
OG0001715	XP_033333962.1	XP_011159122.2
OG0001717	XP_033333786.1	XP_011155359.1, XP_039311597.1, XP_025991129.1, XP_011155367.1
OG0001718	XP_033328315.1	XP_011168466.1
OG0001719	XP_033325254.1	XP_011169234.1
OG0001720	XP_033332755.1	XP_025989851.1, XP_011175636.1, XP_025989850.1
OG0001721	XP_033326442.1	XP_011158131.2, XP_011158133.1, XP_039305886.1
OG0001722	XP_033334018.1	XP_011169266.2
OG0001723	XP_033341640.1	XP_011173007.1
OG0001724	XP_033328109.1	XP_039304618.1, XP_025992218.1
OG0001725	XP_033335517.1	XP_011174902.2
OG0001727	XP_033320981.1	XP_011161620.1
OG0001728	XP_033335316.1, XP_033335330.1	XP_039313676.1, XP_039313680.1
OG0001729	XP_033325478.1	XP_039308930.1, XP_039308926.1
OG0001730	XP_033336961.1, XP_033336973.1	XP_025987718.2, XP_025987717.2
OG0001731	XP_033321051.1, XP_033321053.1	XP_011175411.2
OG0001732	XP_033337160.1, XP_033337161.1, XP_033337158.1	XP_039304441.1, XP_011159479.1
OG0001734	XP_033328701.1	XP_039314386.1
OG0001735	XP_033342086.1, XP_033342085.1	XP_011170355.1, XP_039305740.1
OG0001737	XP_033330439.1	XP_039315088.1, XP_011160101.1
OG0001738	XP_033334409.1	XP_039310354.1
OG0001739	XP_033331725.1, XP_033339903.1, XP_033331565.1	XP_011170792.1
OG0001740	XP_033331453.1	XP_011166965.1, XP_025985931.1
OG0001741	XP_033334407.1, XP_033334406.1	XP_025987359.1
OG0001742	XP_033339438.1	XP_039303639.1, XP_025991103.2
OG0001743	XP_033330230.1	XP_011161430.1, XP_011161433.1
OG0001744	XP_033322295.1, XP_033322296.1	XP_039314453.1, XP_039314456.1
OG0001745	XP_033342401.1	XP_011162193.2
OG0001746	XP_033324433.1	XP_011164075.1
OG0001747	XP_033342101.1	XP_039309971.1
OG0001748	XP_033341803.1, XP_033341822.1	XP_039302590.1, XP_039302582.1
OG0001749	XP_033340152.1, XP_033340159.1	XP_039307685.1, XP_039307681.1
OG0001750	XP_033333620.1, XP_033333619.1	XP_011155871.1
OG0001751	XP_033341955.1	XP_011155816.1, XP_011155818.1
OG0001752	XP_033323998.1	XP_039305802.1
OG0001753	XP_033340758.1	XP_011165025.1, XP_039312598.1, XP_039312597.1, XP_039312596.1
OG0001754	XP_033328816.1, XP_033328817.1	XP_039305540.1, XP_039305545.1
OG0001755	XP_033339158.1	XP_011158260.1
OG0001756	XP_033330164.1	XP_039313053.1, XP_039313054.1
OG0001757	XP_033331548.1	XP_039308870.1
OG0001758	XP_033337238.1	XP_039303751.1, XP_025990540.1
OG0001759	XP_033321524.1	XP_011170736.1
OG0001760	XP_033337146.1	XP_039311097.1
OG0001761	XP_033340643.1, XP_033340642.1, XP_033340641.1	XP_039304606.1
OG0001762	XP_033340719.1, XP_033340721.1, XP_033340722.1, XP_033340723.1, XP_033340720.1	XP_011161105.1, XP_011161112.1
OG0001763	XP_033342962.1, XP_033342960.1, XP_033342961.1	XP_011156236.1
OG0001764	XP_033324121.1	XP_025996897.1, XP_039312890.1
OG0001765	XP_033335227.1	XP_011156559.1
OG0001766	XP_033342642.1	XP_011162202.2, XP_025986966.2
OG0001767	XP_033324255.1, XP_033324254.1	XP_011160151.1
OG0001768	XP_033340879.1	XP_011165067.2
OG0001769	XP_033330762.1, XP_033330635.1	XP_025990023.2, XP_039308397.1, XP_039308396.1, XP_039308395.1, XP_039308393.1, XP_039308394.1
OG0001771	XP_033323850.1, XP_033323851.1, XP_033323852.1, XP_033323853.1, XP_033323849.1, XP_033323848.1	XP_039302499.1, XP_011173087.2
OG0001772	XP_033340739.1, XP_033340738.1, XP_033340737.1	XP_011168440.2
OG0001773	XP_033339488.1, XP_033339849.1, XP_033332459.1, XP_033330976.1	XP_039304162.1
OG0001774	XP_033331574.1, XP_033333645.1	XP_025990865.1
OG0001775	XP_033339835.1, XP_033338545.1	XP_025993879.1, XP_011176339.1, XP_011176338.1
OG0001776	XP_033327937.1	XP_011166850.1
OG0001777	XP_033331520.1, XP_033331423.1	XP_011163067.1
OG0001778	XP_033325625.1	XP_011160655.1, XP_011160649.1
OG0001779	XP_033331694.1	XP_011160763.1
OG0001780	XP_033336217.1	XP_039306100.1, XP_011160811.1
OG0001781	XP_033333357.1	XP_011168846.1
OG0001782	XP_033340424.1, XP_033340425.1, XP_033340426.1, XP_033340421.1, XP_033340422.1, XP_033340423.1	XP_011168428.1
OG0001783	XP_033340312.1	XP_025989077.1, XP_011168314.1
OG0001784	XP_033337484.1	XP_011168601.2, XP_011168600.2
OG0001785	XP_033332190.1, XP_033332191.1	XP_011157927.1
OG0001786	XP_033340093.1	XP_011164288.1, XP_025988909.1, XP_011164286.1
OG0001787	XP_033325473.1, XP_033325474.1	XP_011165044.1
OG0001788	XP_033328800.1, XP_033328801.1, XP_033328799.1	XP_025988821.1, XP_025988822.1
OG0001789	XP_033339270.1	XP_011166253.1, XP_011166254.1, XP_039304453.1
OG0001790	XP_033340405.1	XP_011163941.1
OG0001791	XP_033321506.1	XP_011158709.1
OG0001792	XP_033335272.1, XP_033335274.1	XP_011164881.1
OG0001793	XP_033322777.1, XP_033322778.1, XP_033322775.1, XP_033322776.1, XP_033322779.1	XP_025989823.1
OG0001794	XP_033338249.1	XP_025994735.1
OG0001794	XP_033338250.1	XP_025994732.1
OG0001795	XP_033328261.1	XP_011169692.1
OG0001796	XP_033339909.1, XP_033326366.1	XP_011156619.1
OG0001797	XP_033321346.1	XP_011167269.1
OG0001799	XP_033336893.1	XP_039311598.1, XP_011168273.2, XP_011168270.2
OG0001800	XP_033341184.1, XP_033341185.1, XP_033341183.1	XP_011168246.1
OG0001801	XP_033322697.1	XP_039303673.1
OG0001802	XP_033342032.1	XP_011158769.1
OG0001803	XP_033338050.1	XP_039305517.1
OG0001804	XP_033328045.1, XP_033328044.1	XP_011170600.1, XP_011170595.1
OG0001805	XP_033336397.1	XP_011161311.1, XP_011161313.1, XP_011161312.1, XP_011161314.1
OG0001806	XP_033341086.1	XP_011175795.2
OG0001807	XP_033340194.1	XP_011162553.2
OG0001808	XP_033341843.1	XP_011157802.1
OG0001809	XP_033331854.1, XP_033331835.1, XP_033331845.1	XP_011155517.1
OG0001810	XP_033332827.1	XP_039313299.1, XP_011160318.1
OG0001811	XP_033341019.1	XP_011168515.1
OG0001812	XP_033321917.1	XP_011159277.1, XP_011159276.1, XP_039304732.1
OG0001813	XP_033337360.1	XP_039315397.1
OG0001814	XP_033325836.1, XP_033325833.1	XP_025990231.1, XP_039306034.1, XP_039305487.1, XP_039305488.1, XP_039305486.1, XP_039312318.1
OG0001815	XP_033339582.1, XP_033339583.1	XP_011163797.1, XP_039306189.1, XP_039306185.1
OG0001816	XP_033339115.1, XP_033339116.1	XP_039314317.1
OG0001817	XP_033338408.1	XP_039310065.1, XP_011162718.2, XP_011162719.2, XP_011162717.2
OG0001818	XP_033324037.1, XP_033324036.1	XP_025989845.1, XP_025989844.1
OG0001819	XP_033336925.1	XP_039311733.1, XP_011165265.1
OG0001820	XP_033337108.1	XP_011160496.1
OG0001821	XP_033328769.1, XP_033328770.1	XP_025991257.1, XP_025991254.1
OG0001822	XP_033333045.1, XP_033333043.1, XP_033333041.1, XP_033333048.1, XP_033333042.1, XP_033333047.1, XP_033333046.1	XP_011162501.1, XP_025987461.1
OG0001823	XP_033324872.1	XP_011164610.1, XP_025991955.1
OG0001825	XP_033342028.1, XP_033322495.1, XP_033322496.1	XP_025987936.1, XP_025987937.1, XP_025987935.1, XP_025987934.1, XP_025987938.1
OG0001826	XP_033332327.1	XP_011172390.1
OG0001827	XP_033339261.1	XP_039304416.1
OG0001828	XP_033340413.1, XP_033340412.1	XP_011168343.1, XP_039309295.1
OG0001829	XP_033333302.1	XP_025992741.1, XP_025992742.1, XP_025992743.1, XP_025992744.1, XP_025992745.1
OG0001830	XP_033337253.1	XP_011159754.1
OG0001831	XP_033335982.1	XP_025995670.1, XP_025995668.1, XP_025995669.1, XP_039312889.1
OG0001832	XP_033342646.1, XP_033342636.1	XP_039315007.1
OG0001833	XP_033320819.1	XP_039313344.1
OG0001834	XP_033334784.1, XP_033334783.1	XP_011163399.2
OG0001835	XP_033323101.1	XP_011168711.1, XP_011168712.1
