Orthogroup	Megalopta_genalis	Bombyx_mori
OG0000942	XP_033342180.1, XP_033342196.1, XP_033342171.1, XP_033342188.1	XP_037875810.1
OG0000943	XP_033324797.1, XP_033324795.1	XP_012544451.1
OG0000944	XP_033335860.1, XP_033335864.1	XP_021208208.1, XP_037867074.1
OG0000945	XP_033340987.1, XP_033340989.1	NP_001040531.1
OG0000946	XP_033338836.1, XP_033330204.1	XP_004929214.1
OG0000948	XP_033331636.1, XP_033331637.1	XP_004929142.1, XP_004929141.1
OG0000949	XP_033333797.1, XP_033343079.1, XP_033343080.1, XP_033343081.1, XP_033343082.1, XP_033320769.1	NP_001296553.1
OG0000950	XP_033323558.1, XP_033323559.1, XP_033323560.1	XP_037870486.1, XP_037870487.1
OG0000951	XP_033332639.1, XP_033332638.1	XP_004928270.1
OG0000952	XP_033327799.1	XP_004928289.1
OG0000953	XP_033339478.1	XP_037877732.1
OG0000954	XP_033333557.1, XP_033333683.1	XP_004927115.1, XP_037877524.1
OG0000955	XP_033330558.1	XP_037876067.1, XP_021209092.1
OG0000957	XP_033327376.1, XP_033327377.1, XP_033327375.1	XP_037870134.1, XP_037877293.1
OG0000958	XP_033336951.1, XP_033336953.1	NP_001127714.1, NP_001127740.1, XP_037873765.1
OG0000959	XP_033339327.1, XP_033339325.1	XP_037874880.1, XP_012544647.1
OG0000960	XP_033336039.1	XP_037873523.1
OG0000961	XP_033324058.1	XP_037867675.1, XP_037867674.1
OG0000962	XP_033330788.1, XP_033330791.1	XP_021205129.1, NP_001299580.1
OG0000963	XP_033333707.1	NP_001091829.1
OG0000964	XP_033334231.1, XP_033334232.1	XP_037870832.1, XP_037870835.1
OG0000965	XP_033325969.1	XP_037874770.1, XP_037874755.1
OG0000966	XP_033339240.1, XP_033339239.1	XP_037872227.1
OG0000967	XP_033327106.1	NP_001116812.1
OG0000968	XP_033328909.1, XP_033328904.1, XP_033328905.1	XP_037873409.1, XP_037873416.1
OG0000970	XP_033342842.1, XP_033342843.1, XP_033342841.1	XP_004924882.2
OG0000971	XP_033331031.1, XP_033331047.1	XP_037870111.1, XP_012548870.1
OG0000972	XP_033342734.1	XP_037866506.1
OG0000973	XP_033339764.1	XP_004930164.1
OG0000974	XP_033330881.1, XP_033330888.1, XP_033330882.1	XP_037872739.1
OG0000975	XP_033327010.1, XP_033326986.1	XP_037873866.1, XP_037873895.1, XP_037873893.1
OG0000976	XP_033322238.1, XP_033322154.1, XP_033322324.1	XP_004927917.2
OG0000977	XP_033323828.1	XP_004923422.2, XP_004928914.1
OG0000978	XP_033320772.1, XP_033334688.1	XP_021208192.1
OG0000979	XP_033330237.1, XP_033339159.1	XP_021206860.2
OG0000980	XP_033329496.1	XP_037868898.1, XP_037875915.1, XP_037875916.1
OG0000982	XP_033340630.1	NP_001296483.1, XP_021208983.1
OG0000983	XP_033321222.1, XP_033321225.1, XP_033321223.1, XP_033321226.1	XP_004924077.1, XP_004924076.1
OG0000984	XP_033328658.1	NP_001037051.1
OG0000985	XP_033320990.1	XP_021206754.2, XP_012549882.2, XP_004922470.2
OG0000986	XP_033338976.1	XP_037876430.1, XP_021202300.1, XP_021202305.1, XP_021202303.1, XP_021202302.1, XP_021202301.1
OG0000987	XP_033322185.1, XP_033324118.1	XP_012548339.1
OG0000989	XP_033334068.1, XP_033334115.1	XP_012546534.2, XP_012546538.2
OG0000990	XP_033330907.1, XP_033330906.1	NP_001127719.1
OG0000992	XP_033330170.1, XP_033330171.1	NP_001040289.1, XP_012548308.1
OG0000993	XP_033321472.1	NP_001037364.1, XP_037872127.1
OG0000994	XP_033334244.1, XP_033334245.1	NP_001040167.1
OG0000995	XP_033320898.1	NP_001106230.1
OG0000996	XP_033326795.1	NP_001036909.1
OG0000997	XP_033323347.1	XP_004933539.1
OG0000998	XP_033333519.1, XP_033333518.1	NP_001108463.1, XP_021204265.2
OG0000999	XP_033330325.1	XP_037871889.1, NP_001036847.1
OG0001000	XP_033331936.1, XP_033331946.1	XP_004927100.1
OG0001001	XP_033336870.1	NP_001091815.1
OG0001002	XP_033341676.1	NP_001036874.1, XP_004933178.2
OG0001002	XP_033341695.1	NP_001091821.1
OG0001003	XP_033340689.1	XP_004930115.1, XP_004930116.1
OG0001004	XP_033325389.1	XP_021207158.1
OG0001005	XP_033330827.1	XP_004930344.1
OG0001006	XP_033342465.1, XP_033342466.1	XP_037877686.1, XP_037877687.1
OG0001007	XP_033336108.1	XP_012551579.1
OG0001008	XP_033342998.1	NP_001243922.1, XP_037869044.1, NP_001037034.1
OG0001009	XP_033325838.1, XP_033342936.1	XP_037876105.1
OG0001011	XP_033337566.1	XP_004930447.2
OG0001012	XP_033333094.1	XP_012551938.1, XP_037873592.1
OG0001013	XP_033323900.1, XP_033323902.1	XP_004933411.1, XP_004933410.1
OG0001015	XP_033334862.1	XP_004931112.2, XP_037868988.1
OG0001016	XP_033328945.1, XP_033342709.1	XP_004932217.1
OG0001017	XP_033340793.1	XP_012548326.1, XP_012548337.1, XP_004922144.1, XP_021204671.1
OG0001019	XP_033335112.1	XP_037869186.1
OG0001020	XP_033339021.1	XP_004925875.1
OG0001021	XP_033335004.1	XP_004925524.1
OG0001022	XP_033332662.1, XP_033332665.1	XP_012548973.1
OG0001023	XP_033334891.1, XP_033334892.1	XP_021202636.2
OG0001024	XP_033335894.1, XP_033335895.1, XP_033335897.1	XP_012546162.1
OG0001025	XP_033326022.1	XP_012544535.2
OG0001026	XP_033337831.1	XP_004922009.1
OG0001027	XP_033328121.1, XP_033328119.1, XP_033328120.1	XP_004925186.1
OG0001028	XP_033320854.1	NP_001040546.1, XP_012546310.1
OG0001030	XP_033324041.1	XP_004932570.1
OG0001031	XP_033341416.1, XP_033341415.1, XP_033341417.1, XP_033341414.1	XP_037877146.1
OG0001032	XP_033330122.1, XP_033330124.1	XP_004923640.1
OG0001033	XP_033328959.1	XP_012545394.1, NP_001161188.1
OG0001034	XP_033324169.1	XP_037875314.1, XP_037875312.1
OG0001035	XP_033323993.1	XP_037870647.1
OG0001036	XP_033333456.1, XP_033333452.1, XP_033337123.1	XP_004931447.2
OG0001037	XP_033333213.1	NP_001037080.1, XP_004926655.1, XP_004926654.1, XP_037867715.1, XP_037867716.1
OG0001038	XP_033324259.1	XP_012549948.1
OG0001039	XP_033330410.1	XP_004921977.2, XP_037877272.1
OG0001040	XP_033341328.1	XP_021204516.2
OG0001041	XP_033326930.1, XP_033326929.1	XP_004932148.1
OG0001042	XP_033337407.1, XP_033337454.1, XP_033337435.1, XP_033337416.1, XP_033337426.1, XP_033337445.1	XP_037876973.1, XP_037876972.1, XP_037876971.1
OG0001044	XP_033340709.1, XP_033340717.1	XP_037868906.1, XP_021208939.1
OG0001045	XP_033333148.1	XP_004923807.1, XP_004923839.3, XP_037871303.1
OG0001046	XP_033338364.1, XP_033338361.1, XP_033338362.1, XP_033338360.1, XP_033338363.1	XP_004929883.1, XP_004929882.1
OG0001048	XP_033328616.1	XP_037876905.1, XP_037876906.1
OG0001049	XP_033334373.1	XP_037866893.1, XP_037866897.1, XP_021207763.2
OG0001050	XP_033334659.1	NP_001037042.1
OG0001052	XP_033324321.1	XP_004926923.1
OG0001053	XP_033324032.1, XP_033324034.1	NP_001036970.1, XP_021203004.2
OG0001054	XP_033338773.1, XP_033338774.1, XP_033338770.1, XP_033338771.1, XP_033338772.1	XP_037877208.1, XP_037872743.1
OG0001055	XP_033323439.1	XP_037874322.1
OG0001056	XP_033330201.1, XP_033330119.1	XP_021208201.1, XP_012551775.1, XP_004933144.1, XP_004933143.1
OG0001057	XP_033328156.1	XP_012546102.1
OG0001058	XP_033320886.1	XP_037869696.1
OG0001059	XP_033339480.1, XP_033339161.1	NP_001165393.1, XP_037873012.1
OG0001060	XP_033337027.1	XP_037874163.1, XP_037874164.1, XP_037874165.1
OG0001061	XP_033325808.1, XP_033325809.1	XP_012544018.2
OG0001062	XP_033329774.1, XP_033325321.1	XP_037875673.1
OG0001063	XP_033342623.1, XP_033326899.1	XP_012545541.3
OG0001065	XP_033330489.1	NP_001106139.1, XP_012544167.1
OG0001066	XP_033342242.1, XP_033342247.1, XP_033342249.1	XP_004929225.1
OG0001067	XP_033334970.1	XP_012549214.1
OG0001068	XP_033340448.1	XP_037876252.1, XP_021208008.2, XP_012551482.1
OG0001069	XP_033336175.1, XP_033336177.1, XP_033336172.1, XP_033336171.1, XP_033336174.1, XP_033336173.1, XP_033336176.1	XP_004932579.1
OG0001070	XP_033328836.1	XP_004930760.1, XP_004930761.1
OG0001071	XP_033321152.1	XP_012544371.1, XP_012544374.1
OG0001072	XP_033323441.1	XP_037874093.1, XP_037874090.1
OG0001073	XP_033338221.1, XP_033338367.1	XP_021203320.2, XP_021203319.1
OG0001074	XP_033321761.1, XP_033321765.1	XP_004930337.1
OG0001075	XP_033334465.1	XP_037872729.1
OG0001076	XP_033324478.1	XP_037874441.1, XP_004929657.1
OG0001077	XP_033325061.1	NP_001040222.1
OG0001078	XP_033326059.1, XP_033326058.1	XP_012546938.2
OG0001079	XP_033338387.1, XP_033338386.1, XP_033338388.1	XP_012545888.2
OG0001081	XP_033324008.1	XP_004925864.1, XP_012545586.2
OG0001083	XP_033336142.1	XP_004925857.1
OG0001084	XP_033336597.1	XP_004931981.2
OG0001085	XP_033332140.1, XP_033332139.1, XP_033332141.1	XP_004924088.1, XP_004924087.1
OG0001086	XP_033327099.1	XP_004926056.1, XP_012545716.1
OG0001090	XP_033327128.1, XP_033327130.1	NP_001037162.1, XP_012549564.1
OG0001091	XP_033325831.1, XP_033325832.1	XP_004929855.2
OG0001092	XP_033323362.1, XP_033323354.1	XP_012548309.1, NP_001037470.1
OG0001093	XP_033340576.1, XP_033340575.1	XP_004931699.1
OG0001094	XP_033340018.1	XP_012547124.1, NP_001040452.1
OG0001095	XP_033341802.1, XP_033341801.1, XP_033341800.1	NP_001040518.1
OG0001096	XP_033338473.1	XP_021203548.1, XP_004925978.1
OG0001097	XP_033331437.1	NP_001040313.1
OG0001098	XP_033338654.1	XP_004926527.1
OG0001099	XP_033332278.1	NP_001093089.1
OG0001100	XP_033330961.1	NP_001040216.1
OG0001101	XP_033342811.1, XP_033342812.1, XP_033342810.1	XP_004922168.1, XP_037873380.1
OG0001102	XP_033324282.1	NP_001037114.1
OG0001103	XP_033337723.1	NP_001037108.1
OG0001104	XP_033327975.1	XP_004934317.1
OG0001105	XP_033323666.1, XP_033323665.1	XP_037871716.1, XP_037871717.1
OG0001107	XP_033337995.1	XP_004926469.1
OG0001108	XP_033327279.1	XP_021203928.2
OG0001109	XP_033332635.1	XP_012545410.1
OG0001110	XP_033334625.1	XP_004930468.1
OG0001111	XP_033325249.1, XP_033325248.1, XP_033325247.1	XP_004924201.1
OG0001112	XP_033321712.1	NP_001266326.1, XP_012547737.1
OG0001113	XP_033337171.1	XP_004931327.2
OG0001114	XP_033320960.1	XP_004932918.1, XP_012551624.1
OG0001115	XP_033327270.1	XP_004931997.1
OG0001116	XP_033325653.1	XP_037868483.1
OG0001117	XP_033325640.1, XP_033325642.1, XP_033325641.1	XP_012549213.2
OG0001118	XP_033321496.1, XP_033321495.1, XP_033321494.1	XP_004922745.1
OG0001119	XP_033335082.1, XP_033335081.1	XP_004929815.1, XP_012549045.1
OG0001121	XP_033323014.1	XP_021207858.2, NP_001180543.1
OG0001122	XP_033330758.1	XP_037869135.1
OG0001123	XP_033322309.1, XP_033322308.1, XP_033322312.1, XP_033322310.1, XP_033322311.1, XP_033322307.1	XP_004931101.1, XP_004931100.1
OG0001124	XP_033325871.1	XP_037873124.1
OG0001125	XP_033330109.1	XP_037867289.1, XP_012551742.1, XP_004933168.1, XP_004933169.1, XP_021208191.1
OG0001126	XP_033329500.1, XP_033329499.1, XP_033329498.1	XP_037872173.1
OG0001127	XP_033340519.1	XP_012551002.1
OG0001128	XP_033340447.1	XP_012551412.2, NP_001232932.1
OG0001129	XP_033327738.1	XP_021203161.1
OG0001130	XP_033339147.1	NP_001106222.1
OG0001131	XP_033330921.1, XP_033330920.1	NP_001036904.1, XP_021205859.1
OG0001132	XP_033338146.1	XP_037870554.1
OG0001133	XP_033333210.1	XP_004930615.1
OG0001134	XP_033323394.1	XP_037877752.1
OG0001135	XP_033326143.1, XP_033326144.1, XP_033326142.1, XP_033326141.1	XP_037877715.1, XP_037877714.1
OG0001137	XP_033329863.1, XP_033329864.1	XP_004933072.1
OG0001138	XP_033343008.1	XP_037877664.1, NP_001040359.1
OG0001139	XP_033342611.1, XP_033342580.1, XP_033320808.1	XP_012544364.1, XP_012544366.1
OG0001140	XP_033338049.1	XP_021205705.1, NP_001103403.1
OG0001141	XP_033329432.1, XP_033329433.1	XP_037872989.1
OG0001142	XP_033338864.1, XP_033338863.1	XP_037868754.1
OG0001143	XP_033325901.1, XP_033325895.1, XP_033325897.1, XP_033325898.1, XP_033325899.1, XP_033325900.1	XP_004931875.1
OG0001145	XP_033334364.1, XP_033334360.1, XP_033334362.1, XP_033334361.1, XP_033334363.1	XP_012543901.1
OG0001146	XP_033337181.1, XP_033325828.1	XP_004921594.1
OG0001147	XP_033338209.1, XP_033338211.1, XP_033338212.1, XP_033338210.1	XP_012547142.2
OG0001149	XP_033334903.1	XP_037867251.1
OG0001150	XP_033326716.1	XP_004925200.1, XP_021203010.1
OG0001151	XP_033334650.1	XP_012545538.1, NP_001103478.1
OG0001152	XP_033331452.1, XP_033331451.1, XP_033331450.1, XP_033335406.1	XP_012547811.1, XP_012547814.1
OG0001153	XP_033323509.1, XP_033323512.1	XP_004924521.2
OG0001154	XP_033324878.1, XP_033324875.1	XP_037868706.1, XP_004924023.1
OG0001155	XP_033327789.1	XP_037871158.1
OG0001156	XP_033331749.1	XP_004928302.1
OG0001157	XP_033338809.1, XP_033338798.1, XP_033338787.1	XP_004926833.1
OG0001158	XP_033328897.1	XP_012551780.2
OG0001159	XP_033337175.1, XP_033322893.1, XP_033322892.1, XP_033322889.1, XP_033322891.1, XP_033322890.1	XP_037876270.1
OG0001160	XP_033333704.1, XP_033333703.1	XP_004921968.1, XP_037877276.1
OG0001161	XP_033336253.1	NP_001093315.1
OG0001162	XP_033338984.1, XP_033338982.1	XP_037873093.1
OG0001163	XP_033323984.1, XP_033323985.1, XP_033323983.1	XP_037877307.1, NP_001243921.1
OG0001164	XP_033330867.1	XP_012544977.1
OG0001165	XP_033325372.1, XP_033325371.1	XP_037871563.1, XP_037871559.1
OG0001166	XP_033340853.1	XP_037869122.1
OG0001167	XP_033329069.1, XP_033329070.1, XP_033329071.1, XP_033329072.1, XP_033329073.1	XP_004925143.1
OG0001169	XP_033336118.1, XP_033336119.1	XP_004933290.1, XP_004933289.1
OG0001170	XP_033333082.1, XP_033333078.1, XP_033333083.1, XP_033333080.1, XP_033333081.1	NP_001040307.1, XP_037873399.1
OG0001171	XP_033323480.1, XP_033338191.1, XP_033323479.1	XP_037871074.1, XP_037871077.1
OG0001172	XP_033337196.1, XP_033337191.1	XP_037871481.1, NP_001139127.1
OG0001173	XP_033325207.1	XP_004923145.2, XP_037875779.1
OG0001174	XP_033325129.1	XP_004931972.1
OG0001175	XP_033328293.1, XP_033328292.1, XP_033328291.1	XP_037875209.1
OG0001176	XP_033334241.1, XP_033334242.1	XP_004931359.1
OG0001179	XP_033326082.1, XP_033326083.1, XP_033326084.1	XP_012550481.2
OG0001180	XP_033323213.1	XP_037872073.1
OG0001181	XP_033322804.1	XP_004927791.1
OG0001182	XP_033342889.1, XP_033342895.1	XP_037875670.1, XP_037875884.1
OG0001183	XP_033321792.1, XP_033321801.1	XP_037869217.1, XP_037869220.1
OG0001184	XP_033334070.1, XP_033334075.1	XP_012549667.1, XP_012549669.1
OG0001185	XP_033335392.1	XP_037874622.1, NP_001165114.1
OG0001186	XP_033327357.1, XP_033327358.1, XP_033327355.1, XP_033327356.1, XP_033327359.1	XP_004924300.1
OG0001187	XP_033327329.1	XP_012551805.2
OG0001189	XP_033336245.1	XP_037877740.1
OG0001191	XP_033341679.1	XP_021204668.1, XP_037870110.1, XP_021204693.1
OG0001193	XP_033336894.1	NP_001093292.1, XP_021203117.2, NP_001103402.1
OG0001195	XP_033330951.1, XP_033330953.1, XP_033330954.1	XP_037877359.1
OG0001198	XP_033323595.1	XP_004925553.1
OG0001199	XP_033330074.1	XP_012551521.2, XP_021207983.2, XP_037868317.1, XP_037868319.1, XP_037868313.1
OG0001202	XP_033334443.1	XP_037869396.1, XP_037869397.1
OG0001203	XP_033341315.1	NP_001296540.1
OG0001204	XP_033325410.1, XP_033325411.1, XP_033325409.1	XP_037874979.1
OG0001205	XP_033322200.1, XP_033325793.1	XP_004933672.2
OG0001206	XP_033328400.1	XP_004929966.1, XP_037869097.1
OG0001208	XP_033324122.1	XP_037876320.1, XP_012553119.1, XP_021209257.1
OG0001211	XP_033340264.1, XP_033340254.1, XP_033340253.1	XP_021205177.2, XP_021205176.2, XP_021205173.2, XP_004928771.2, XP_021205174.2, XP_012544584.1
OG0001214	XP_033324526.1, XP_033324525.1	NP_001040279.1, XP_012551201.1
OG0001215	XP_033336550.1, XP_033336549.1	XP_037872613.1, XP_037872615.1, XP_021208348.1
OG0001216	XP_033331986.1, XP_033331993.1	XP_012550836.2
OG0001217	XP_033338712.1, XP_033338710.1	XP_004927890.1
OG0001218	XP_033339952.1, XP_033339953.1	NP_001040120.1
OG0001219	XP_033338491.1, XP_033338492.1	XP_004929153.2
OG0001220	XP_033338496.1, XP_033338497.1, XP_033338495.1	XP_004930794.1
OG0001221	XP_033332841.1	XP_012545938.1, NP_001040197.1, XP_004930220.1
OG0001222	XP_033327693.1	XP_004922174.2
OG0001223	XP_033322887.1	XP_037872237.1
OG0001224	XP_033338548.1, XP_033338552.1	XP_004926867.1
OG0001225	XP_033327582.1, XP_033327580.1	NP_001040311.1
OG0001228	XP_033321096.1	XP_012545774.2, XP_037876543.1
OG0001229	XP_033339510.1	NP_001037132.1, XP_012548070.1
OG0001230	XP_033328206.1, XP_033328205.1, XP_033328207.1, XP_033328204.1	NP_001037259.1
OG0001231	XP_033334870.1	XP_037869352.1
OG0001232	XP_033328496.1	XP_037869261.1, XP_037869262.1
OG0001233	XP_033327337.1	XP_012549545.1
OG0001234	XP_033326409.1	XP_037874331.1, XP_021203183.1, XP_004925455.2
OG0001236	XP_033321426.1	XP_004931956.1
OG0001238	XP_033337766.1, XP_033337767.1	XP_021203590.2, XP_021203599.1
OG0001239	XP_033331661.1	XP_012548121.3
OG0001240	XP_033342584.1, XP_033342582.1, XP_033342585.1, XP_033342583.1, XP_033342581.1	NP_001040150.1
OG0001241	XP_033334766.1, XP_033334769.1	XP_012551265.1
OG0001242	XP_033340326.1, XP_033340325.1	XP_021203674.1, XP_004926232.2
OG0001244	XP_033342274.1	XP_004931363.1
OG0001245	XP_033330435.1	XP_012547946.1, XP_021205147.1, XP_037871844.1, XP_037871843.1
OG0001246	XP_033330518.1	XP_021205319.1, XP_021205320.1, XP_012547940.1, XP_021205318.1
OG0001247	XP_033325507.1, XP_033325505.1	NP_001280620.1, XP_012547444.1
OG0001248	XP_033338006.1	NP_001266436.1
OG0001249	XP_033332368.1, XP_033332358.1	XP_037873698.1
OG0001250	XP_033337904.1	XP_012547191.3, XP_037871060.1
OG0001251	XP_033332353.1	XP_021202275.2, XP_021202277.2
OG0001253	XP_033334669.1, XP_033334666.1	XP_037868796.1
OG0001254	XP_033321789.1	XP_012548031.1
OG0001255	XP_033321111.1	XP_004932670.4
OG0001256	XP_033326933.1	XP_037870663.1, NP_001036985.1
OG0001257	XP_033329191.1	XP_012546555.1
OG0001258	XP_033327208.1	XP_037870191.1
OG0001259	XP_033321335.1	XP_037874041.1
OG0001260	XP_033339643.1, XP_033339651.1	NP_001040211.1
OG0001261	XP_033325790.1	XP_021208090.1
OG0001262	XP_033333808.1, XP_033333809.1	XP_021205442.1
OG0001263	XP_033333282.1	NP_001037452.1
OG0001264	XP_033321232.1	XP_037867170.1
OG0001265	XP_033339929.1, XP_033329668.1	NP_001266388.1
OG0001267	XP_033337655.1	XP_037866491.1
OG0001268	XP_033330923.1, XP_033326114.1	XP_021205844.2
OG0001269	XP_033331143.1, XP_033331168.1	XP_037869606.1
OG0001270	XP_033331492.1, XP_033331491.1, XP_033331490.1	NP_001040175.1
OG0001272	XP_033329520.1, XP_033329541.1	XP_037871475.1, NP_001093314.1, NP_001098702.1, NP_001098700.1
OG0001273	XP_033334025.1, XP_033334023.1	XP_037866725.1, NP_001116823.2
OG0001274	XP_033332718.1	XP_012544435.2
OG0001277	XP_033321811.1	XP_004931850.2, XP_021207347.2
OG0001278	XP_033341649.1, XP_033341650.1	XP_037875820.1
OG0001279	XP_033332151.1, XP_033332153.1, XP_033332154.1	XP_012546213.2
OG0001280	XP_033328482.1, XP_033328474.1	XP_012550549.1, NP_001098067.2
OG0001281	XP_033332931.1	XP_004932331.1
OG0001283	XP_033340604.1	XP_012551935.1, NP_001037644.1
OG0001284	XP_033321750.1, XP_033321748.1	XP_012544695.2, XP_012544697.2
OG0001286	XP_033323978.1	XP_004933304.1
OG0001287	XP_033328763.1	XP_037874173.1
OG0001288	XP_033325575.1, XP_033325580.1	XP_037876362.1
OG0001289	XP_033333053.1, XP_033333052.1, XP_033333051.1, XP_033333050.1, XP_033333054.1	XP_004922571.1
OG0001291	XP_033338839.1	XP_021202357.1, NP_001037055.1
OG0001292	XP_033336590.1	XP_037877060.1
OG0001293	XP_033325445.1	XP_004923001.1, XP_004923002.1
OG0001294	XP_033340861.1, XP_033340870.1, XP_033340852.1, XP_033340830.1, XP_033340841.1	XP_021204295.1
OG0001295	XP_033321157.1	XP_004933504.2, XP_037873395.1
OG0001296	XP_033324545.1	XP_037868617.1
OG0001298	XP_033334359.1	XP_037867209.1
OG0001299	XP_033340775.1	XP_004928614.1
OG0001300	XP_033335256.1	XP_037876736.1
OG0001301	XP_033328498.1, XP_033328260.1, XP_033328427.1, XP_033328350.1	XP_037869383.1
OG0001302	XP_033322974.1	XP_037870217.1, XP_037870210.1
OG0001303	XP_033330552.1, XP_033330557.1	XP_037875592.1, XP_037875594.1
OG0001304	XP_033324766.1, XP_033324765.1	XP_004930048.2
OG0001305	XP_033332409.1	NP_001108348.1, NP_001091843.1
OG0001306	XP_033325497.1, XP_033325494.1	XP_037872003.1, XP_037872009.1
OG0001308	XP_033324511.1	XP_037868945.1, XP_004931237.2
OG0001310	XP_033325998.1, XP_033325997.1	XP_004931319.1
OG0001312	XP_033327364.1, XP_033327363.1, XP_033327365.1, XP_033327366.1	NP_001040409.1
OG0001314	XP_033338921.1	XP_037868789.1, XP_037868793.1, XP_037868792.1, XP_037868791.1, XP_037868790.1, XP_037868795.1, XP_037868794.1
OG0001315	XP_033330904.1, XP_033330903.1	XP_037871474.1, XP_012546336.2
OG0001317	XP_033326800.1	XP_004930756.1
OG0001318	XP_033321114.1	XP_037866753.1, NP_001040253.1
OG0001320	XP_033335361.1, XP_033335359.1	XP_004924759.1, XP_004924776.1
OG0001322	XP_033337157.1	XP_012545066.1, XP_012545062.1
OG0001323	XP_033327590.1, XP_033327621.1	NP_001166748.1
OG0001328	XP_033325943.1	XP_004923057.1
OG0001330	XP_033327119.1	XP_037874170.1
OG0001331	XP_033337458.1	XP_021204676.1, NP_001037564.1
OG0001332	XP_033323630.1, XP_033323640.1, XP_033323032.1	NP_001037586.1
OG0001333	XP_033333461.1, XP_033333462.1, XP_033333460.1	XP_037871533.1, NP_001037243.1
OG0001334	XP_033337855.1, XP_033337854.1, XP_033337841.1	XP_012545428.1, NP_001136083.1
OG0001335	XP_033339620.1, XP_033339617.1	XP_004930207.1, XP_004930205.1
OG0001336	XP_033334937.1	XP_004930907.1
OG0001338	XP_033342357.1	XP_037868459.1
OG0001339	XP_033331285.1, XP_033331287.1, XP_033331286.1	NP_001244268.1, NP_001266404.1
OG0001340	XP_033339650.1, XP_033339649.1	NP_001037165.1, XP_012545340.1
OG0001341	XP_033325431.1	XP_004932389.1
OG0001342	XP_033334101.1	XP_037866745.1, NP_001037011.1
OG0001343	XP_033336674.1, XP_033336370.1	XP_037875228.1
OG0001345	XP_033328117.1	XP_004930391.1
OG0001346	XP_033341908.1	XP_037867854.1, XP_037867853.1, XP_037867852.1
OG0001347	XP_033321822.1	XP_004924763.1
OG0001348	XP_033337642.1	XP_037868035.1
OG0001349	XP_033341785.1, XP_033324607.1	XP_037868296.1, XP_004932184.1
OG0001350	XP_033343041.1	XP_021206894.1, XP_037877388.1, XP_037877464.1, NP_001093288.1
OG0001351	XP_033340933.1	XP_004927142.1
OG0001352	XP_033335226.1, XP_033335225.1, XP_033335224.1	XP_012550733.1
OG0001353	XP_033323348.1	XP_004922173.1
OG0001354	XP_033328214.1	XP_037873431.1, XP_037873434.1
OG0001355	XP_033321262.1, XP_033331301.1, XP_033331297.1	XP_012552803.2
OG0001356	XP_033322696.1	XP_012548900.1
OG0001357	XP_033340784.1	XP_021209301.1, XP_021209300.1
OG0001359	XP_033338661.1, XP_033338656.1, XP_033338659.1, XP_033338658.1, XP_033338657.1	NP_001040366.1, XP_004930970.1
OG0001362	XP_033337167.1	XP_004922990.2
OG0001363	XP_033331207.1	XP_004929272.1
OG0001364	XP_033324267.1, XP_033324387.1	XP_012552135.1
OG0001365	XP_033342970.1	NP_001171773.1
OG0001366	XP_033332178.1	XP_012552100.2, XP_021208338.1
OG0001368	XP_033324217.1, XP_033324216.1	XP_004930597.1
OG0001369	XP_033328476.1	XP_021209165.1, XP_004923234.1
OG0001371	XP_033343106.1	XP_021208861.2
OG0001373	XP_033334491.1	XP_004924045.1, XP_037868833.1
OG0001375	XP_033332162.1, XP_033332110.1	NP_001243941.1
OG0001376	XP_033321505.1	XP_037872952.1
OG0001377	XP_033325219.1	XP_004928133.1
OG0001378	XP_033331868.1	XP_004933406.1
OG0001379	XP_033333766.1	XP_021204324.1, XP_004927180.1
OG0001380	XP_033325963.1	NP_001243931.1
OG0001381	XP_033328703.1, XP_033328704.1	XP_012544235.1
OG0001382	XP_033340856.1	XP_004924008.1, XP_037868775.1
OG0001383	XP_033327241.1, XP_033327238.1, XP_033327237.1, XP_033327240.1, XP_033327239.1	XP_037871400.1
OG0001384	XP_033335089.1, XP_033335090.1, XP_033335088.1	XP_037870879.1, XP_037870878.1, XP_037870877.1, XP_037870876.1, XP_037870875.1
OG0001385	XP_033324055.1	NP_001127743.1, XP_021205799.1, NP_001127738.1, XP_021205793.1, NP_001127718.1, XP_037873374.1
OG0001386	XP_033332148.1	XP_037877052.1
OG0001387	XP_033323892.1	XP_012551998.1, XP_012551999.1, XP_012552000.1
OG0001388	XP_033334641.1	XP_012551899.1, XP_012551818.1, XP_021207492.1, XP_012551932.1, XP_037869508.1
OG0001389	XP_033329037.1, XP_033322441.1	XP_037866835.1, XP_021206196.1
OG0001390	XP_033331230.1	XP_004923976.1, XP_012543955.1
OG0001391	XP_033340978.1, XP_033340977.1	XP_004931964.1, XP_012550804.1
OG0001392	XP_033326235.1, XP_033326236.1, XP_033326228.1, XP_033326234.1	XP_004923286.3
OG0001393	XP_033331823.1	NP_001108457.1, XP_012548872.1, NP_001108458.1
OG0001394	XP_033329639.1	XP_037872972.1, XP_037872971.1, XP_012551207.1
OG0001395	XP_033332209.1, XP_033332210.1	XP_037868467.1
OG0001396	XP_033341459.1	XP_012546276.2
OG0001397	XP_033321033.1	XP_021208952.1, XP_037868947.1
OG0001398	XP_033339038.1	XP_037871681.1
OG0001399	XP_033341554.1	XP_021203857.1, XP_004926442.1, XP_021203856.1
OG0001400	XP_033327579.1, XP_033327368.1	XP_004926572.1, XP_037870367.1
OG0001401	XP_033324988.1, XP_033324989.1, XP_033324990.1	XP_004923967.2
OG0001402	XP_033331427.1	XP_004931504.1
