Orthogroup	Megalopta_genalis	Anopheles_gambiae
OG0000854	XP_033341953.1, XP_033341954.1, XP_033341952.1	XP_566387.4, XP_316496.3
OG0000855	XP_033328341.1	XP_001687874.1, XP_001687873.1, XP_001687875.1, XP_308237.4, XP_001687876.1
OG0000856	XP_033335424.1	XP_001689087.1, XP_318047.4
OG0000857	XP_033336856.1	XP_562320.4
OG0000858	XP_033323980.1	XP_552102.3
OG0000859	XP_033341427.1	XP_001230995.1, XP_309522.4
OG0000860	XP_033339012.1, XP_033339010.1, XP_033339011.1	XP_321195.5
OG0000861	XP_033323637.1	XP_315658.3
OG0000862	XP_033323788.1, XP_033323791.1, XP_033323792.1, XP_033323789.1, XP_033323790.1	XP_001238522.2, XP_001238523.2, XP_003435843.1
OG0000863	XP_033337885.1	XP_312621.4
OG0000864	XP_033328031.1	XP_312223.5, XP_319733.4
OG0000865	XP_033333958.1	XP_315231.5
OG0000866	XP_033335441.1, XP_033335442.1, XP_033335439.1, XP_033335438.1, XP_033335443.1	XP_319528.4
OG0000867	XP_033321317.1	XP_315403.4
OG0000870	XP_033327373.1, XP_033327374.1	XP_320737.4
OG0000871	XP_033335767.1, XP_033335765.1	XP_311516.4
OG0000872	XP_033342110.1	XP_316840.3
OG0000873	XP_033326410.1	XP_557731.3
OG0000875	XP_033332238.1, XP_033332239.1, XP_033332240.1, XP_033332241.1	XP_308629.2
OG0000876	XP_033327623.1, XP_033327624.1, XP_033327622.1, XP_033327625.1	XP_312228.5
OG0000877	XP_033332054.1	XP_315841.3
OG0000878	XP_033329435.1	XP_308419.4
OG0000878	XP_033329348.1	XP_315059.4, XP_315060.4
OG0000879	XP_033337729.1, XP_033337731.1	XP_001689090.1, XP_001689089.1, XP_318058.4
OG0000880	XP_033335948.1, XP_033335947.1, XP_033335946.1	XP_315613.4, XP_314829.4, XP_001237606.1
OG0000881	XP_033320874.1, XP_033320873.1	XP_311105.2
OG0000883	XP_033324661.1	XP_313339.4, XP_003436531.1
OG0000884	XP_033324890.1	XP_307777.3
OG0000886	XP_033324028.1	XP_003436122.1, XP_312518.5
OG0000887	XP_033333972.1, XP_033333973.1	XP_321479.1
OG0000888	XP_033329999.1	XP_321033.5
OG0000890	XP_033337067.1, XP_033337074.1	XP_001237490.3, XP_003436386.1
OG0000892	XP_033329142.1, XP_033329141.1, XP_033331857.1	XP_003436835.1, XP_313833.5
OG0000894	XP_033336733.1	XP_316113.4
OG0000895	XP_033327441.1, XP_033327361.1	XP_308934.4
OG0000897	XP_033321303.1, XP_033321304.1, XP_033321302.1	XP_001237068.2, XP_001687904.1
OG0000899	XP_033323280.1	XP_003436759.1, XP_313176.5
OG0000900	XP_033338649.1	XP_315331.4, XP_555956.2, XP_315333.4
OG0000901	XP_033342637.1	XP_317516.4
OG0000903	XP_033334211.1	XP_312952.4, XP_312953.4
OG0000904	XP_033338446.1	XP_001688859.1, XP_001688857.1, XP_001688856.1, XP_001688858.1, XP_316396.4
OG0000905	XP_033341054.1	XP_312929.3, XP_003436421.1
OG0000906	XP_033325463.1	XP_309041.4, XP_309040.4
OG0000908	XP_033340608.1, XP_033340607.1, XP_033340606.1	XP_316672.4
OG0000909	XP_033327460.1, XP_033327459.1, XP_033327458.1	XP_318981.4
OG0000910	XP_033331994.1	XP_001237085.1, XP_308481.1, XP_001237087.1, XP_308448.2, XP_308446.3
OG0000911	XP_033336031.1, XP_033336028.1, XP_033336020.1	XP_001688047.1, XP_308622.4
OG0000912	XP_033333372.1, XP_033333369.1, XP_033333370.1, XP_033333371.1, XP_033333373.1	XP_552325.3
OG0000914	XP_033332627.1, XP_033332631.1	XP_001688294.1
OG0000916	XP_033341712.1	XP_319584.4
OG0000916	XP_033341741.1	XP_319585.4
OG0000917	XP_033339626.1	XP_003436170.1
OG0000918	XP_033334576.1	XP_003435743.1, XP_001687900.1, XP_001687901.1, XP_001687902.1
OG0000919	XP_033332363.1, XP_033332362.1	XP_308247.4
OG0000920	XP_033340048.1	XP_318629.2
OG0000921	XP_033320915.1, XP_033320914.1	XP_003435754.1
OG0000922	XP_033327302.1, XP_033327300.1, XP_033327301.1	XP_311884.5
OG0000923	XP_033338947.1	XP_556301.3
OG0000924	XP_033331246.1, XP_033331247.1, XP_033331248.1, XP_033331249.1	XP_315708.4
OG0000925	XP_033341174.1, XP_033341170.1	XP_003436686.1
OG0000927	XP_033341765.1	XP_310706.3
OG0000928	XP_033325475.1	XP_563117.1, XP_003436339.1, XP_003436340.1
OG0000929	XP_033342980.1	XP_565460.2
OG0000930	XP_033333008.1, XP_033333009.1, XP_033333010.1	XP_003437155.1, XP_003437156.1, XP_309146.4, XP_003437157.1
OG0000931	XP_033339679.1	XP_321812.4
OG0000932	XP_033342708.1	XP_321361.5
OG0000933	XP_033340317.1, XP_033339921.1, XP_033328903.1	XP_308800.3
OG0000934	XP_033324343.1	XP_308788.3
OG0000935	XP_033338472.1	XP_310832.5, XP_310834.4, XP_310684.3, XP_310833.5
OG0000936	XP_033322963.1	XP_314147.4
OG0000937	XP_033329619.1, XP_033329617.1, XP_033329618.1	XP_314129.4
OG0000938	XP_033337469.1	XP_318102.2
OG0000941	XP_033330406.1, XP_033330404.1, XP_033330407.1	XP_320660.4
OG0000942	XP_033342180.1, XP_033342196.1, XP_033342171.1, XP_033342188.1	XP_309480.3
OG0000943	XP_033324797.1, XP_033324795.1	XP_321357.4
OG0000944	XP_033335860.1, XP_033335864.1	XP_313297.3
OG0000945	XP_033340987.1, XP_033340989.1	XP_320578.4
OG0000946	XP_033338836.1, XP_033330204.1	XP_316421.3
OG0000948	XP_033331636.1, XP_033331637.1	XP_309921.3
OG0000950	XP_033323558.1, XP_033323559.1, XP_033323560.1	XP_319893.3
OG0000951	XP_033332639.1, XP_033332638.1	XP_310711.2
OG0000952	XP_033327799.1	XP_313752.4, XP_003436823.1, XP_003436822.1
OG0000953	XP_033339478.1	XP_317950.3, XP_317944.4, XP_317948.4, XP_554872.3
OG0000955	XP_033330558.1	XP_001238322.2, XP_561526.1, XP_320459.4
OG0000957	XP_033327376.1, XP_033327377.1, XP_033327375.1	XP_316912.4
OG0000958	XP_033336951.1, XP_033336953.1	XP_318029.4
OG0000959	XP_033339327.1, XP_033339325.1	XP_319812.4
OG0000960	XP_033336039.1	XP_316346.4
OG0000961	XP_033324139.1	XP_003436087.1
OG0000961	XP_033324058.1	XP_312657.5, XP_003436086.1
OG0000962	XP_033330788.1, XP_033330791.1	XP_308166.4
OG0000963	XP_033333707.1	XP_312843.1, XP_003436411.1, XP_003436410.1, XP_003436409.1
OG0000964	XP_033334231.1, XP_033334232.1	XP_320746.4
OG0000965	XP_033325969.1	XP_001688923.1, XP_001688924.1, XP_316615.4, XP_316614.4
OG0000966	XP_033339240.1, XP_033339239.1	XP_314043.4
OG0000967	XP_033327106.1	XP_308187.4, XP_001687862.1
OG0000968	XP_033328909.1, XP_033328904.1, XP_033328905.1	XP_313931.4
OG0000970	XP_033342842.1, XP_033342843.1, XP_033342841.1	XP_320569.3
OG0000971	XP_033331031.1, XP_033331047.1	XP_001688071.1
OG0000972	XP_033342734.1	XP_317352.3
OG0000974	XP_033330881.1, XP_033330888.1, XP_033330882.1	XP_001689389.2
OG0000975	XP_033327010.1, XP_033326986.1	XP_317924.4
OG0000976	XP_033322238.1, XP_033322154.1, XP_033322324.1	XP_320253.2
OG0000977	XP_033323828.1	XP_312558.5
OG0000978	XP_033334688.1	XP_310715.5, XP_314327.3
OG0000979	XP_033330237.1, XP_033339159.1	XP_319777.4, XP_309185.5
OG0000980	XP_033329496.1	XP_313773.4, XP_553643.3, XP_309023.4, XP_315517.3
OG0000981	XP_033321480.1, XP_033326810.1	XP_318419.5
OG0000982	XP_033340630.1	XP_001687830.2
OG0000983	XP_033321222.1, XP_033321225.1, XP_033321223.1, XP_033321226.1	XP_311964.4
OG0000984	XP_033328668.1	XP_319605.4
OG0000984	XP_033328658.1	XP_552730.3
OG0000985	XP_033320990.1	XP_315127.2
OG0000986	XP_033338976.1	XP_313139.4
OG0000986	XP_033335560.1	XP_320937.5
OG0000987	XP_033322185.1, XP_033324118.1	XP_320264.4
OG0000989	XP_033334068.1, XP_033334115.1	XP_321415.5, XP_003435899.1
OG0000990	XP_033330907.1, XP_033330906.1	XP_321555.1
OG0000992	XP_033330170.1, XP_033330171.1	XP_309992.2
OG0000993	XP_033321472.1	XP_003436444.1, XP_003436445.1
OG0000994	XP_033334244.1, XP_033334245.1	XP_309631.5
OG0000995	XP_033320898.1	XP_308821.4, XP_001688099.1
OG0000996	XP_033326795.1	XP_314487.3
OG0000997	XP_033323347.1	XP_315616.4
OG0000998	XP_033333519.1, XP_033333518.1	XP_311299.1, XP_316865.2, XP_003437127.1
OG0000999	XP_033330325.1	XP_317398.3, XP_001237925.1
OG0001000	XP_033331936.1, XP_033331946.1	XP_003436472.1, XP_311698.5
OG0001001	XP_033336870.1	XP_001688785.1, XP_316161.4, XP_001688784.1, XP_001688783.1
OG0001002	XP_033341676.1	XP_308214.4
OG0001002	XP_033341695.1	XP_552293.2, XP_319645.4
OG0001003	XP_033340689.1	XP_314318.4
OG0001004	XP_033325389.1	XP_308942.4
OG0001005	XP_033330827.1	XP_321274.5
OG0001006	XP_033342465.1, XP_033342466.1	XP_003436707.1, XP_309629.5
OG0001007	XP_033336108.1	XP_001688444.2
OG0001008	XP_033342998.1	XP_310585.4, XP_310530.3
OG0001009	XP_033325838.1	XP_310493.5
OG0001009	XP_033342936.1	XP_317322.4
OG0001010	XP_033331831.1	XP_310232.4
OG0001011	XP_033337566.1	XP_314123.4
OG0001013	XP_033323900.1, XP_033323902.1	XP_314060.4
OG0001015	XP_033334862.1	XP_313115.4
OG0001016	XP_033328945.1, XP_033342709.1	XP_563695.1
OG0001017	XP_033340793.1	XP_311055.5
OG0001019	XP_033335112.1	XP_316696.4
OG0001020	XP_033339021.1	XP_314731.4
OG0001021	XP_033335004.1	XP_309024.3
OG0001022	XP_033332662.1, XP_033332665.1	XP_003436590.1, XP_310271.7
OG0001023	XP_033334891.1, XP_033334892.1	XP_313173.5
OG0001024	XP_033335894.1, XP_033335895.1, XP_033335897.1	XP_319635.4
OG0001025	XP_033326022.1	XP_314283.5
OG0001026	XP_033337831.1	XP_003436567.1, XP_313472.4
OG0001027	XP_033328121.1, XP_033328119.1, XP_033328120.1	XP_309944.3
OG0001028	XP_033342084.1, XP_033320854.1	XP_311527.2
OG0001030	XP_033324041.1	XP_309545.3
OG0001031	XP_033341416.1, XP_033341415.1, XP_033341417.1, XP_033341414.1	XP_315208.4
OG0001032	XP_033330122.1, XP_033330124.1, XP_033342599.1	XP_310000.4
OG0001033	XP_033328959.1	XP_310453.2
OG0001034	XP_033324169.1	XP_310276.4
OG0001035	XP_033323993.1	XP_321735.4
OG0001036	XP_033333456.1, XP_033333452.1, XP_033337123.1	XP_319657.4
OG0001037	XP_033333213.1	XP_315158.3
OG0001038	XP_033324259.1	XP_319690.4
OG0001039	XP_033330410.1	XP_310813.5
OG0001040	XP_033341328.1	XP_311818.2
OG0001041	XP_033326930.1, XP_033326929.1	XP_310153.4
OG0001042	XP_033337407.1, XP_033337454.1, XP_033337435.1, XP_033337416.1, XP_033337426.1, XP_033337445.1	XP_308531.3
OG0001043	XP_033328373.1, XP_033328372.1	XP_308245.4
OG0001044	XP_033340709.1, XP_033340717.1	XP_315822.5
OG0001045	XP_033333148.1	XP_310646.5
OG0001046	XP_033338364.1, XP_033338361.1, XP_033338362.1, XP_033338360.1, XP_033338363.1	XP_312227.5
OG0001048	XP_033328616.1	XP_308398.3
OG0001049	XP_033334373.1	XP_001687845.1, XP_001687846.1, XP_308153.4
OG0001050	XP_033334659.1	XP_320316.4
OG0001052	XP_033324321.1	XP_310662.5
OG0001053	XP_033324032.1, XP_033324034.1	XP_001687881.1, XP_308279.2
OG0001054	XP_033338773.1, XP_033338774.1, XP_033338770.1, XP_033338771.1, XP_033338772.1	XP_314840.4
OG0001055	XP_033323439.1	XP_311983.4
OG0001056	XP_033330201.1, XP_033330119.1	XP_308553.4, XP_001687984.1, XP_001687985.1
OG0001057	XP_033328156.1	XP_309938.3
OG0001058	XP_033320886.1	XP_311505.1
OG0001059	XP_033339480.1, XP_033339161.1	XP_003435972.1, XP_321126.5
OG0001061	XP_033325808.1, XP_033325809.1	XP_315958.4, XP_001688754.1
OG0001063	XP_033342623.1, XP_033326899.1	XP_312857.5
OG0001065	XP_033330489.1	XP_313928.3
OG0001066	XP_033342242.1, XP_033342247.1, XP_033342249.1	XP_001238515.3, XP_308515.4
OG0001067	XP_033334970.1	XP_001688943.1, XP_557321.3
OG0001068	XP_033340448.1	XP_001237855.2, XP_316699.4, XP_001688951.1
OG0001069	XP_033336175.1, XP_033336177.1, XP_033336172.1, XP_033336171.1, XP_033336174.1, XP_033336173.1, XP_033336176.1	XP_312834.5
OG0001070	XP_033328836.1	XP_317977.5, XP_318025.4, XP_318028.4
OG0001071	XP_033321152.1	XP_312799.5
OG0001072	XP_033323441.1	XP_550917.4
OG0001073	XP_033338221.1, XP_033338367.1	XP_311915.3
OG0001074	XP_033321761.1, XP_033321765.1	XP_307839.4
OG0001076	XP_033324478.1	XP_313348.4
OG0001077	XP_033325061.1	XP_319424.2, XP_319425.2
OG0001078	XP_033326059.1, XP_033326058.1	XP_320176.3, XP_320177.4
OG0001079	XP_033338387.1, XP_033338386.1, XP_033338388.1	XP_320339.4
OG0001081	XP_033324008.1	XP_308790.4
OG0001082	XP_033341268.1, XP_033341269.1, XP_033341271.1, XP_033341272.1	XP_315574.3, XP_001237683.2
OG0001083	XP_033336142.1	XP_314359.3, XP_001688566.1
OG0001084	XP_033336597.1	XP_556553.2
OG0001085	XP_033332140.1, XP_033332139.1, XP_033332141.1	XP_317314.3
OG0001086	XP_033327099.1	XP_001689067.1, XP_001238005.1, XP_317929.3
OG0001090	XP_033327128.1, XP_033327130.1	XP_315009.3
OG0001091	XP_033325831.1, XP_033325832.1	XP_003436096.1, XP_312603.5, XP_319738.2
OG0001092	XP_033323362.1, XP_033323354.1	XP_003436030.1, XP_320944.5, XP_003436029.1, XP_003436028.1
OG0001093	XP_033340576.1, XP_033340575.1	XP_319293.4
OG0001094	XP_033340018.1	XP_307411.2, XP_003436009.1, XP_003436008.1, XP_321028.5
OG0001095	XP_033341802.1, XP_033341801.1, XP_033341800.1	XP_314827.2
OG0001097	XP_033331437.1	XP_317307.4
OG0001098	XP_033338654.1	XP_321240.5
OG0001099	XP_033332278.1	XP_310965.5
OG0001100	XP_033330961.1	XP_314568.3
OG0001101	XP_033342811.1, XP_033342812.1, XP_033342810.1	XP_001688400.2, XP_312658.5
OG0001102	XP_033324282.1	XP_311181.2, XP_312618.2
OG0001103	XP_033337723.1	XP_553744.3
OG0001104	XP_033327975.1	XP_308660.3
OG0001105	XP_033323666.1, XP_033323665.1	XP_310975.1, XP_566239.1, XP_319078.2
OG0001107	XP_033337995.1	XP_314706.4
OG0001108	XP_033327279.1	XP_311208.4
OG0001109	XP_033332635.1	XP_321850.3
OG0001110	XP_033334625.1	XP_560496.3, XP_320439.4
OG0001111	XP_033325249.1, XP_033325248.1, XP_033325247.1	XP_321349.4
OG0001112	XP_033321712.1	XP_318149.4
OG0001113	XP_033337171.1	XP_307774.3
OG0001114	XP_033320960.1	XP_318236.4
OG0001115	XP_033327270.1	XP_320996.5
OG0001116	XP_033325653.1	XP_310850.4
OG0001117	XP_033325640.1, XP_033325642.1, XP_033325641.1	XP_312919.4
OG0001118	XP_033321496.1, XP_033321495.1, XP_033321494.1	XP_322006.1
OG0001119	XP_033335082.1, XP_033335081.1	XP_003437115.1, XP_316802.5
OG0001121	XP_033323014.1	XP_320248.4
OG0001122	XP_033330758.1	XP_320362.4
OG0001123	XP_033322309.1, XP_033322308.1, XP_033322312.1, XP_033322310.1, XP_033322311.1, XP_033322307.1	XP_313330.5
OG0001124	XP_033325871.1	XP_312370.5
OG0001126	XP_033329500.1, XP_033329499.1, XP_033329498.1	XP_312385.5
OG0001127	XP_033340519.1	XP_003437008.1
OG0001128	XP_033340447.1	XP_313287.4, XP_315365.3, XP_001688644.1
OG0001129	XP_033327738.1	XP_308038.5, XP_003436041.1, XP_308996.3
OG0001130	XP_033339147.1	XP_318345.4
OG0001131	XP_033330921.1, XP_033330920.1	XP_003435809.1, XP_321814.4, XP_551513.3
OG0001132	XP_033338146.1	XP_320484.2
OG0001133	XP_033333210.1	XP_311448.4, XP_003436891.1, XP_554228.4, XP_311449.4
OG0001134	XP_033323394.1	XP_319097.3
OG0001135	XP_033326143.1, XP_033326144.1, XP_033326142.1, XP_033326141.1	XP_308076.3, XP_311350.2
OG0001137	XP_033329863.1, XP_033329864.1	XP_024667094.1, XP_306688.4, XP_319223.4
OG0001138	XP_033343008.1	XP_320011.4
OG0001139	XP_033342611.1, XP_033342580.1, XP_033320808.1	XP_307945.5
OG0001140	XP_033338049.1	XP_317273.3
OG0001141	XP_033329432.1, XP_033329433.1	XP_318646.4
OG0001142	XP_033338864.1, XP_033338863.1	XP_311392.4
OG0001143	XP_033325901.1, XP_033325895.1, XP_033325897.1, XP_033325898.1, XP_033325899.1, XP_033325900.1	XP_557018.3
OG0001145	XP_033334364.1, XP_033334360.1, XP_033334362.1, XP_033334361.1, XP_033334363.1	XP_308148.3
OG0001146	XP_033337181.1, XP_033325828.1	XP_308872.2
OG0001147	XP_033338209.1, XP_033338211.1, XP_033338212.1, XP_033338210.1	XP_310582.2
OG0001149	XP_033334903.1	XP_308972.4
OG0001150	XP_033326716.1	XP_315411.4
OG0001151	XP_033334650.1	XP_312460.5
OG0001152	XP_033331452.1, XP_033331451.1, XP_033331450.1, XP_033335406.1	XP_310362.7
OG0001153	XP_033323509.1, XP_033323512.1	XP_553211.3
OG0001154	XP_033324878.1, XP_033324875.1	XP_311713.5, XP_003436477.1
OG0001155	XP_033327789.1	XP_310967.5
OG0001156	XP_033331749.1	XP_003436005.1, XP_321037.5
OG0001157	XP_033338809.1, XP_033338798.1, XP_033338787.1	XP_311092.3
OG0001158	XP_033328897.1	XP_315369.4
OG0001159	XP_033337175.1, XP_033322893.1, XP_033322892.1, XP_033322889.1, XP_033322891.1, XP_033322890.1	XP_552266.3
OG0001160	XP_033333704.1, XP_033333703.1	XP_553588.1
OG0001161	XP_033336253.1	XP_312237.4
OG0001161	XP_033336444.1	XP_321654.3
OG0001165	XP_033325372.1, XP_033325371.1	XP_321402.5, XP_003435904.1
OG0001166	XP_033340853.1	XP_003437030.1, XP_310514.3, XP_001237264.1
OG0001167	XP_033329069.1, XP_033329070.1, XP_033329071.1, XP_033329072.1, XP_033329073.1	XP_316568.4
OG0001168	XP_033339685.1, XP_033339684.1	XP_318706.4
OG0001169	XP_033336118.1, XP_033336119.1	XP_317457.4
OG0001171	XP_033323480.1, XP_033338191.1, XP_033323479.1	XP_310580.4, XP_003437016.1
OG0001172	XP_033337196.1, XP_033337191.1	XP_321331.5, XP_003435918.1
OG0001173	XP_033325207.1	XP_003436462.1
OG0001174	XP_033325129.1	XP_313500.1
OG0001175	XP_033328293.1, XP_033328292.1, XP_033328291.1	XP_316052.4
OG0001176	XP_033334241.1, XP_033334242.1	XP_309066.4
OG0001179	XP_033326082.1, XP_033326083.1, XP_033326084.1	XP_318508.4
OG0001180	XP_033323213.1	XP_312107.4, XP_003436250.1
OG0001181	XP_033322804.1	XP_310584.5
OG0001182	XP_033342889.1, XP_033342895.1	XP_320209.4
OG0001183	XP_033321792.1, XP_033321801.1	XP_001237762.2
OG0001184	XP_033334070.1, XP_033334075.1	XP_003436481.1, XP_558879.4, XP_003436480.1
OG0001185	XP_033335392.1	XP_317794.3, XP_557418.3, XP_309856.4, XP_554727.1
OG0001186	XP_033327357.1, XP_033327358.1, XP_033327355.1, XP_033327356.1, XP_033327359.1	XP_001237242.1
OG0001187	XP_033327329.1	XP_001230352.1, XP_321322.5
OG0001189	XP_033336245.1	XP_556172.2
OG0001190	XP_033338253.1	XP_314805.4
OG0001191	XP_033341679.1	XP_559733.2, XP_309365.2
OG0001193	XP_033336894.1	XP_320433.1
OG0001195	XP_033330951.1, XP_033330953.1, XP_033330954.1	XP_319946.4
OG0001197	XP_033332586.1, XP_033332585.1, XP_033332584.1	XP_311347.4
OG0001198	XP_033323595.1	XP_317373.3
OG0001199	XP_033330074.1	XP_315370.3, XP_001688648.1
OG0001202	XP_033334443.1	XP_320320.4, XP_320321.3
OG0001203	XP_033341315.1	XP_308917.3, XP_313576.4
OG0001204	XP_033325410.1, XP_033325411.1, XP_033325409.1	XP_556259.3
OG0001205	XP_033322200.1, XP_033325793.1	XP_310915.3
OG0001207	XP_033335287.1	XP_320895.4, XP_320898.4
OG0001208	XP_033324122.1	XP_563571.4
OG0001214	XP_033324526.1, XP_033324525.1	XP_003437198.1, XP_003437199.1, XP_003437197.1, XP_318298.5, XP_003437202.1, XP_003437203.1, XP_003437201.1, XP_003437200.1
OG0001215	XP_033336550.1, XP_033336549.1	XP_315584.3
OG0001216	XP_033331986.1, XP_033331993.1	XP_319631.4
OG0001217	XP_033338712.1, XP_033338710.1	XP_001237272.3
OG0001218	XP_033339952.1, XP_033339953.1	XP_311542.4
OG0001219	XP_033338491.1, XP_033338492.1	XP_321594.5
OG0001220	XP_033338496.1, XP_033338497.1, XP_033338495.1	XP_317914.3, XP_320417.3
OG0001221	XP_033332841.1	XP_313849.2
OG0001222	XP_033327693.1	XP_321456.5, XP_003435893.1
OG0001223	XP_033322887.1	XP_311768.3
OG0001224	XP_033338548.1, XP_033338552.1	XP_315115.4
OG0001225	XP_033327582.1, XP_033327580.1	XP_003437152.1, XP_309141.2, XP_001688166.1
OG0001226	XP_033323368.1, XP_033323367.1, XP_033323371.1, XP_033323370.1, XP_033323366.1	XP_557147.3
OG0001228	XP_033321096.1	XP_308185.4
OG0001229	XP_033339510.1	XP_321154.5, XP_561425.4
OG0001230	XP_033328206.1, XP_033328205.1, XP_033328207.1, XP_033328204.1	XP_306740.3, XP_555129.1
OG0001231	XP_033334870.1	XP_316842.5
OG0001232	XP_033328496.1	XP_317470.4
OG0001233	XP_033327337.1	XP_564861.2, XP_309343.4
OG0001234	XP_033326409.1	XP_318427.5
OG0001236	XP_033321426.1	XP_308646.4
OG0001237	XP_033342687.1	XP_316118.4, XP_001688780.1, XP_001688779.1
OG0001238	XP_033337766.1, XP_033337767.1	XP_311357.4
OG0001239	XP_033331661.1	XP_307938.5
OG0001240	XP_033342584.1, XP_033342582.1, XP_033342585.1, XP_033342583.1, XP_033342581.1	XP_318582.3
OG0001241	XP_033334766.1, XP_033334769.1	XP_320914.4
OG0001242	XP_033340326.1, XP_033340325.1	XP_308221.4
OG0001244	XP_033342274.1	XP_001689367.1
OG0001245	XP_033330435.1	XP_321648.3
OG0001246	XP_033330518.1	XP_310077.4
OG0001247	XP_033325507.1, XP_033325505.1	XP_321174.5
OG0001248	XP_033338006.1	XP_310021.4
OG0001249	XP_033332368.1, XP_033332358.1	XP_320124.6, XP_312729.4
OG0001250	XP_033337904.1	XP_003436645.1, XP_308104.5
OG0001251	XP_033332353.1	XP_310489.5, XP_001688288.2
OG0001252	XP_033324821.1	XP_310427.5
OG0001253	XP_033334669.1, XP_033334666.1	XP_308343.4
OG0001254	XP_033321789.1	XP_320968.4
OG0001255	XP_033321111.1	XP_564170.3
OG0001256	XP_033326933.1	XP_560153.3, XP_003437143.1
OG0001257	XP_033329191.1	XP_562833.3, XP_003436381.1, XP_562831.2, XP_003436380.1
OG0001258	XP_033327208.1	XP_310177.3
OG0001259	XP_033321335.1	XP_311427.4
OG0001260	XP_033339643.1, XP_033339651.1	XP_308216.2
OG0001261	XP_033325790.1	XP_320145.3
OG0001262	XP_033333808.1, XP_033333809.1	XP_312902.5, XP_001237504.2
OG0001263	XP_033333282.1	XP_318757.4
OG0001264	XP_033321232.1	XP_317955.4
OG0001265	XP_033339929.1, XP_033329668.1	XP_559898.3
OG0001267	XP_033337655.1	XP_314507.4
OG0001268	XP_033330923.1, XP_033326114.1	XP_310216.4, XP_310215.4
OG0001269	XP_033331143.1, XP_033331168.1	XP_309316.4
OG0001270	XP_033331492.1, XP_033331491.1, XP_033331490.1	XP_307773.4
OG0001271	XP_033336434.1, XP_033321514.1	XP_312449.4
OG0001272	XP_033329520.1, XP_033329541.1	XP_316157.2
OG0001273	XP_033334025.1, XP_033334023.1	XP_310979.5
OG0001274	XP_033332718.1	XP_312084.5
OG0001277	XP_033321811.1	XP_552532.3
OG0001278	XP_033341649.1, XP_033341650.1	XP_321063.5
OG0001279	XP_033332151.1, XP_033332153.1, XP_033332154.1	XP_311100.5
OG0001280	XP_033328482.1, XP_033328474.1	XP_319604.4
OG0001281	XP_033332931.1	XP_001237136.2, XP_003435739.1
OG0001282	XP_033325483.1	XP_001688070.1
OG0001283	XP_033340604.1	XP_313998.3
OG0001284	XP_033321750.1, XP_033321748.1	XP_001689151.1, XP_001689162.1
OG0001286	XP_033323978.1	XP_318853.2
OG0001287	XP_033328763.1	XP_551001.4
OG0001288	XP_033325575.1, XP_033325580.1	XP_310977.5
OG0001289	XP_033333053.1, XP_033333052.1, XP_033333051.1, XP_033333050.1, XP_033333054.1	XP_003437137.1, XP_309110.3
OG0001290	XP_033341658.1	XP_311436.4
OG0001291	XP_033338839.1	XP_313145.5
OG0001292	XP_033336590.1	XP_308278.3
OG0001293	XP_033325445.1	XP_311898.4
OG0001294	XP_033340861.1, XP_033340870.1, XP_033340852.1, XP_033340830.1, XP_033340841.1	XP_321341.3
OG0001295	XP_033321157.1	XP_314005.4, XP_001688503.1, XP_001688504.1
OG0001296	XP_033324545.1	XP_564508.3, XP_001687851.1, XP_001687850.1
OG0001298	XP_033334359.1	XP_308149.4
OG0001300	XP_033335256.1	XP_314929.3
OG0001301	XP_033328498.1, XP_033328260.1, XP_033328427.1, XP_033328350.1	XP_310852.4
OG0001302	XP_033322974.1	XP_310129.4
OG0001303	XP_033330552.1, XP_033330557.1	XP_320455.4
OG0001304	XP_033324766.1, XP_033324765.1	XP_001237568.1
OG0001305	XP_033332409.1	XP_308312.4, XP_001687892.1, XP_308314.4
OG0001306	XP_033325497.1, XP_033325494.1	XP_318367.5, XP_003436659.1, XP_003436658.1
OG0001308	XP_033324511.1	XP_565909.3
OG0001310	XP_033325998.1, XP_033325997.1	XP_310388.3
OG0001312	XP_033327364.1, XP_033327363.1, XP_033327365.1, XP_033327366.1	XP_317732.2
OG0001314	XP_033338921.1	XP_316418.4
OG0001315	XP_033330904.1, XP_033330903.1	XP_001688741.1, XP_315896.4
OG0001317	XP_033326800.1	XP_316638.4
OG0001318	XP_033321114.1	XP_319761.3
OG0001320	XP_033335361.1, XP_033335359.1	XP_320705.4
OG0001322	XP_033337157.1	XP_313611.5, XP_003436787.1
OG0001328	XP_033325943.1	XP_321026.4
OG0001330	XP_033327119.1	XP_320278.2
OG0001331	XP_033337458.1	XP_310307.5, XP_003436600.1
OG0001332	XP_033323630.1, XP_033323640.1, XP_033323032.1	XP_308202.3
OG0001333	XP_033333461.1, XP_033333462.1, XP_033333460.1	XP_312171.3
OG0001334	XP_033337855.1, XP_033337854.1, XP_033337841.1	XP_555006.1, XP_001238801.1
OG0001335	XP_033339620.1, XP_033339617.1	XP_316939.3
OG0001336	XP_033334937.1	XP_310039.4
OG0001338	XP_033342357.1	XP_316877.5
OG0001339	XP_033331285.1, XP_033331287.1, XP_033331286.1	XP_310597.2
OG0001340	XP_033339650.1, XP_033339649.1	XP_551371.1, XP_003435845.1, XP_003435844.1
OG0001341	XP_033325431.1	XP_320076.4
OG0001342	XP_033334101.1	XP_320130.3
OG0001343	XP_033336674.1, XP_033336370.1	XP_308170.4
OG0001344	XP_033325798.1	XP_314163.4
