Orthogroup	Megalopta_genalis	Megachile_rotundata
OG0001806	XP_033341086.1	XP_003706448.1
OG0001807	XP_033340194.1	XP_012141865.1, XP_012141866.1, XP_012141867.1
OG0001808	XP_033341843.1	XP_012136611.1
OG0001809	XP_033331854.1, XP_033331835.1, XP_033331845.1	XP_003703087.1
OG0001810	XP_033332827.1	XP_012150387.1, XP_012150386.1
OG0001811	XP_033341019.1	XP_003699893.1, XP_012146304.1
OG0001812	XP_033321917.1	XP_012152368.1, XP_012152367.1
OG0001813	XP_033337360.1	XP_012150502.1
OG0001814	XP_033325836.1, XP_033325833.1	XP_012146115.1
OG0001815	XP_033339582.1, XP_033339583.1	XP_012148924.1
OG0001816	XP_033339115.1, XP_033339116.1	XP_003707640.1, XP_012150641.1
OG0001817	XP_033338408.1	XP_012134861.1
OG0001818	XP_033324037.1, XP_033324036.1	XP_012143501.1
OG0001819	XP_033336925.1	XP_003699430.1
OG0001820	XP_033337108.1	XP_003707104.1, XP_012149520.1
OG0001821	XP_033328769.1, XP_033328770.1	XP_012147907.1, XP_003706357.1
OG0001822	XP_033333045.1, XP_033333043.1, XP_033333041.1, XP_033333048.1, XP_033333042.1, XP_033333047.1, XP_033333046.1	XP_003703530.1
OG0001823	XP_033324872.1	XP_012136264.1
OG0001825	XP_033342028.1, XP_033322495.1, XP_033322496.1	XP_003701480.1
OG0001826	XP_033332327.1	XP_012146129.1, XP_012146130.1, XP_012146131.1, XP_012146134.1, XP_012146132.1, XP_012146133.1, XP_003705635.1, XP_012146127.1, XP_012146128.1
OG0001827	XP_033339261.1	XP_012139141.1
OG0001828	XP_033340413.1, XP_033340412.1	XP_003702396.1
OG0001829	XP_033333302.1	XP_012144120.1, XP_012144119.1
OG0001830	XP_033337253.1	XP_012145185.1
OG0001831	XP_033335982.1	XP_012139389.1
OG0001832	XP_033342646.1, XP_033342636.1	XP_003705967.1
OG0001833	XP_033320819.1	XP_003703423.1
OG0001834	XP_033334784.1, XP_033334783.1	XP_003707795.1, XP_012151120.1, XP_012151119.1
OG0001835	XP_033323101.1	XP_003706134.1
OG0001836	XP_033336701.1	XP_012145254.1, XP_012145260.1
OG0001837	XP_033342830.1	XP_012154447.1, XP_012154451.1, XP_012154450.1, XP_012154449.1, XP_012154448.1, XP_012154452.1, XP_003700606.1
OG0001838	XP_033340650.1	XP_003701089.1
OG0001839	XP_033336632.1, XP_033336622.1	XP_003705315.1, XP_012145347.1
OG0001840	XP_033337232.1	XP_012145200.1
OG0001841	XP_033321309.1	XP_003700397.2
OG0001843	XP_033331786.1	XP_012150857.1, XP_012150858.1, XP_003707567.1
OG0001844	XP_033336659.1, XP_033336660.1	XP_012152496.1
OG0001845	XP_033332610.1	XP_003702489.1
OG0001846	XP_033328152.1	XP_003707292.1
OG0001847	XP_033330093.1	XP_012152980.1
OG0001847	XP_033330094.1	XP_012153146.1
OG0001848	XP_033329418.1	XP_012140215.1, XP_003703080.1
OG0001849	XP_033333140.1	XP_003703496.2
OG0001850	XP_033330793.1	XP_003708098.1
OG0001851	XP_033338488.1, XP_033338487.1, XP_033338486.1	XP_003705365.1, XP_012145537.1
OG0001852	XP_033343065.1, XP_033343064.1, XP_033343063.1, XP_033343062.1, XP_033343066.1	XP_003699279.1
OG0001853	XP_033325669.1, XP_033325670.1	XP_012136245.1
OG0001855	XP_033331359.1	XP_012144474.1, XP_012144473.1
OG0001856	XP_033338084.1	XP_012152678.1
OG0001857	XP_033339986.1	XP_012151852.1
OG0001858	XP_033330211.1	XP_003704198.1
OG0001859	XP_033334191.1	XP_003704257.1, XP_012143013.1
OG0001860	XP_033329838.1	XP_012142237.1, XP_003703966.1
OG0001861	XP_033324078.1	XP_012139144.1
OG0001863	XP_033327491.1, XP_033327490.1	XP_012144871.1, XP_003705098.1, XP_012144870.1
OG0001864	XP_033339863.1	XP_003703202.2
OG0001865	XP_033333139.1, XP_033333147.1	XP_012146126.1, XP_003705671.1
OG0001866	XP_033336383.1	XP_003708355.1
OG0001867	XP_033332172.1, XP_033332173.1	XP_003701904.1
OG0001868	XP_033334802.1	XP_003707740.1
OG0001869	XP_033321176.1	XP_012146861.1, XP_012146862.1
OG0001870	XP_033322633.1	XP_003703359.1
OG0001871	XP_033327724.1, XP_033327723.1	XP_003701743.1
OG0001872	XP_033322140.1	XP_003703430.1
OG0001873	XP_033329258.1	XP_003703441.1, XP_012141056.1
OG0001874	XP_033327725.1	XP_012146669.1, XP_012146666.1, XP_012146668.1, XP_012146670.1, XP_003705880.1
OG0001875	XP_033324785.1, XP_033324782.1, XP_033324784.1	XP_012145397.1
OG0001876	XP_033332288.1	XP_012136906.1
OG0001877	XP_033324617.1, XP_033324614.1, XP_033324618.1	XP_012136260.1
OG0001878	XP_033338500.1	XP_012151380.1
OG0001879	XP_033339056.1	XP_012142382.1
OG0001880	XP_033333133.1	XP_012148142.1
OG0001880	XP_033333136.1	XP_012148144.1
OG0001881	XP_033333843.1	XP_012146739.1, XP_012146740.1, XP_003705828.1
OG0001882	XP_033342020.1	XP_012136562.1
OG0001883	XP_033331959.1, XP_033331958.1	XP_003708496.1
OG0001884	XP_033328220.1	XP_012143033.1
OG0001885	XP_033341144.1, XP_033341154.1, XP_033341161.1	XP_012145796.1, XP_012145797.1
OG0001886	XP_033338085.1	XP_003706184.1
OG0001887	XP_033327039.1	XP_012136736.1
OG0001888	XP_033336318.1	XP_003702770.1, XP_012139537.1
OG0001889	XP_033331860.1	XP_012140097.1
OG0001890	XP_033336322.1	XP_012139488.1, XP_003702907.1, XP_012139482.1, XP_012139483.1, XP_012139484.1, XP_012139485.1, XP_012139486.1, XP_012139487.1
OG0001891	XP_033327843.1	XP_012137349.1, XP_012137347.1, XP_012137345.1, XP_012137348.1
OG0001892	XP_033328080.1, XP_033328081.1, XP_033328082.1	XP_012150332.1
OG0001893	XP_033325594.1	XP_003701078.2
OG0001894	XP_033328392.1	XP_012150887.1
OG0001895	XP_033336125.1	XP_012139580.1
OG0001896	XP_033340979.1	XP_012150977.1
OG0001897	XP_033326353.1	XP_003704946.1, XP_012144428.1
OG0001899	XP_033342612.1	XP_003699368.1
OG0001900	XP_033333504.1	XP_003702606.2, XP_012138993.1
OG0001901	XP_033334873.1, XP_033334871.1, XP_033334872.1	XP_003707788.1, XP_012151293.1
OG0001902	XP_033324620.1	XP_012153261.1
OG0001903	XP_033330443.1, XP_033330441.1	XP_012140007.1
OG0001904	XP_033328278.1	XP_012150029.1
OG0001905	XP_033339110.1, XP_033339109.1	XP_003702692.1, XP_012139166.1
OG0001906	XP_033331741.1	XP_012149147.1
OG0001907	XP_033329726.1	XP_012138990.1, XP_012138989.1
OG0001908	XP_033326920.1	XP_012140618.1, XP_012140617.1, XP_012140619.1
OG0001909	XP_033321249.1	XP_012150069.1
OG0001910	XP_033342036.1	XP_003701443.2
OG0001912	XP_033322190.1	XP_012146812.1
OG0001912	XP_033322186.1	XP_012146779.1, XP_012146797.1
OG0001913	XP_033326690.1, XP_033326697.1	XP_012145489.1, XP_012145498.1
OG0001914	XP_033331976.1	XP_012135228.1
OG0001915	XP_033324316.1	XP_003702632.1
OG0001916	XP_033341694.1	XP_012136862.1, XP_012136861.1
OG0001917	XP_033330626.1	XP_003705443.1, XP_012145696.1
OG0001918	XP_033331339.1, XP_033331341.1, XP_033331340.1, XP_033331336.1, XP_033331337.1	XP_003704958.2
OG0001919	XP_033327722.1, XP_033327666.1	XP_012152342.1
OG0001920	XP_033325395.1	XP_012149021.1
OG0001921	XP_033325549.1	XP_003702595.1
OG0001922	XP_033323250.1, XP_033323252.1	XP_012145791.1
OG0001923	XP_033323344.1	XP_012149647.1
OG0001924	XP_033342122.1	XP_012153844.1, XP_012153840.1
OG0001925	XP_033323913.1	XP_012148613.1
OG0001926	XP_033337474.1, XP_033337473.1, XP_033337472.1	XP_012135847.1
OG0001927	XP_033326238.1	XP_003704096.1, XP_012142442.1
OG0001928	XP_033320933.1, XP_033320938.1	XP_012143821.1
OG0001929	XP_033325685.1	XP_003699719.1
OG0001930	XP_033325385.1	XP_003706866.1, XP_012149134.1, XP_012149132.1, XP_012149133.1
OG0001931	XP_033330668.1	XP_003702361.1
OG0001933	XP_033330320.1	XP_003706624.1
OG0001934	XP_033331289.1	XP_003704019.1, XP_012142173.1
OG0001935	XP_033340055.1, XP_033340054.1	XP_012141857.1, XP_003703843.1
OG0001936	XP_033337492.1	XP_012135817.1
OG0001937	XP_033321271.1	XP_012144116.1
OG0001938	XP_033341104.1	XP_003701429.1
OG0001939	XP_033337694.1	XP_003704511.1
OG0001940	XP_033340348.1, XP_033340347.1	XP_012153191.1
OG0001941	XP_033323315.1	XP_012146566.1, XP_012146567.1, XP_012146574.1
OG0001942	XP_033338841.1	XP_003700745.1
OG0001944	XP_033322969.1, XP_033322967.1, XP_033322968.1	XP_003703726.1, XP_003703814.1
OG0001945	XP_033335067.1	XP_012154441.1
OG0001946	XP_033342777.1	XP_003699969.1
OG0001947	XP_033330927.1	XP_003705697.1
OG0001948	XP_033342187.1, XP_033342190.1, XP_033342191.1, XP_033342189.1	XP_003706760.1
OG0001949	XP_033330306.1, XP_033330307.1	XP_012147996.1, XP_003706445.1, XP_012147995.1
OG0001950	XP_033321946.1	XP_012144602.1
OG0001951	XP_033327536.1	XP_003702731.1
OG0001952	XP_033327303.1	XP_012135997.1
OG0001953	XP_033329951.1	XP_012145326.1
OG0001953	XP_033327408.1	XP_012145351.1
OG0001955	XP_033340240.1, XP_033340239.1, XP_033340238.1	XP_012147963.1, XP_012147962.1, XP_012147964.1, XP_003706380.1, XP_012147961.1
OG0001957	XP_033329870.1	XP_012142305.1
OG0001957	XP_033326980.1	XP_012142306.1
OG0001959	XP_033339272.1, XP_033339273.1, XP_033339274.1	XP_003702678.1
OG0001960	XP_033321263.1	XP_003703234.1, XP_012140366.1, XP_012140367.1
OG0001961	XP_033339667.1	XP_012142144.1, XP_003704004.1
OG0001962	XP_033323388.1	XP_003704351.1
OG0001963	XP_033329457.1	XP_012141356.1, XP_012141357.1, XP_012141360.1, XP_012141358.1, XP_012141359.1, XP_003703511.1
OG0001964	XP_033332092.1, XP_033332090.1, XP_033332091.1	XP_012148107.1, XP_012148103.1, XP_012148104.1, XP_012148102.1, XP_012148105.1
OG0001965	XP_033340669.1	XP_003702172.1, XP_012138026.1, XP_012138025.1
OG0001966	XP_033336472.1	XP_003708349.1
OG0001967	XP_033322474.1	XP_012153499.1
OG0001968	XP_033324891.1	XP_003705340.2
OG0001969	XP_033324554.1	XP_003702437.1, XP_012138619.1, XP_012138618.1
OG0001970	XP_033336275.1	XP_003702801.1
OG0001971	XP_033322853.1, XP_033322851.1, XP_033322852.1	XP_003703284.1, XP_012140698.1
OG0001973	XP_033331793.1, XP_033331789.1, XP_033331787.1	XP_012150814.1
OG0001974	XP_033321877.1	XP_003706062.1
OG0001975	XP_033330571.1	XP_012137208.1, XP_003701846.1
OG0001976	XP_033328894.1, XP_033328898.1, XP_033328896.1, XP_033328895.1	XP_012137825.1, XP_012137826.1
OG0001977	XP_033330380.1	XP_003702139.1
OG0001978	XP_033321930.1, XP_033321927.1, XP_033321928.1, XP_033321929.1, XP_033321932.1	XP_012146364.1
OG0001979	XP_033324498.1	XP_012145291.1, XP_003705289.2
OG0001980	XP_033332519.1	XP_012142543.1, XP_012142550.1
OG0001981	XP_033321136.1	XP_012151878.1
OG0001982	XP_033322532.1, XP_033322530.1, XP_033322531.1	XP_003706109.1
OG0001983	XP_033342609.1	XP_012135251.1
OG0001984	XP_033338045.1	XP_003700790.2
OG0001987	XP_033331402.1	XP_012142901.1
OG0001988	XP_033329629.1	XP_003703079.1
OG0001989	XP_033331257.1, XP_033331256.1, XP_033331258.1	XP_012147323.1, XP_003706122.1
OG0001991	XP_033342534.1	XP_012135527.1, XP_012135526.1
OG0001992	XP_033322162.1	XP_003699919.1
OG0001994	XP_033333127.1	XP_003703431.1
OG0001996	XP_033335228.1	XP_012148191.1
OG0001997	XP_033341663.1	XP_003699645.1
OG0001998	XP_033329813.1	XP_012142139.1, XP_012142128.1, XP_012142140.1
OG0001999	XP_033325830.1	XP_003705603.1
OG0002000	XP_033335153.1	XP_012147747.1, XP_012147746.1, XP_012147745.1, XP_012147748.1
OG0002001	XP_033322962.1, XP_033322961.1	XP_003706433.1, XP_012147804.1
OG0002002	XP_033340101.1	XP_012146246.1
OG0002003	XP_033321265.1	XP_003703233.1, XP_012140369.1, XP_012140370.1
OG0002004	XP_033332375.1	XP_003703011.1
OG0002005	XP_033321881.1	XP_012152247.1
OG0002006	XP_033325286.1	XP_003706758.1
OG0002007	XP_033320825.1	XP_003703240.1
OG0002009	XP_033337121.1, XP_033337122.1, XP_033337213.1	XP_003707309.1
OG0002010	XP_033334090.1, XP_033334088.1	XP_003703696.1
OG0002011	XP_033338506.1	XP_003701635.1
OG0002012	XP_033337695.1	XP_012138348.1
OG0002013	XP_033332756.1	XP_012141432.1
OG0002014	XP_033334391.1	XP_012140420.1
OG0002015	XP_033335589.1	XP_003700402.1
OG0002016	XP_033339897.1	XP_003701509.1
OG0002017	XP_033322358.1, XP_033322357.1	XP_012153242.1, XP_012153243.1, XP_012153244.1, XP_012153238.1, XP_012153239.1, XP_003708585.2, XP_012153241.1, XP_012153237.1, XP_012153240.1
OG0002018	XP_033338775.1	XP_003700546.1
OG0002019	XP_033342269.1	XP_003700615.1
OG0002020	XP_033327053.1, XP_033341687.1	XP_012143175.1
OG0002021	XP_033341026.1	XP_003703149.1, XP_012140063.1, XP_012140062.1
OG0002022	XP_033330606.1	XP_003702362.1
OG0002023	XP_033330187.1	XP_012142679.1
OG0002024	XP_033326388.1	XP_012143161.1
OG0002025	XP_033327025.1	XP_003706213.1
OG0002026	XP_033339539.1	XP_012153897.1
OG0002027	XP_033326241.1	XP_003704130.1
OG0002028	XP_033331884.1	XP_003703134.1, XP_012140101.1
OG0002029	XP_033335399.1	XP_003700421.1
OG0002030	XP_033322294.1	XP_012146966.1, XP_012146968.1
OG0002032	XP_033328092.1, XP_033328085.1	XP_003707304.1
OG0002033	XP_033342327.1	XP_012153387.1
OG0002033	XP_033324917.1	XP_012143911.1
OG0002034	XP_033339301.1	XP_003703586.1
OG0002035	XP_033322584.1	XP_012148042.1
OG0002036	XP_033328755.1, XP_033328745.1, XP_033337105.1, XP_033339865.1	XP_012135179.1
OG0002037	XP_033341316.1	XP_012151785.1
OG0002038	XP_033337933.1	XP_012144842.1
OG0002039	XP_033336414.1	XP_003702840.1
OG0002041	XP_033325116.1, XP_033325117.1	XP_012134945.1
OG0002042	XP_033337308.1	XP_012143342.1
OG0002043	XP_033332748.1, XP_033332747.1	XP_012141291.1, XP_012141293.1, XP_012141292.1, XP_012141290.1, XP_012141288.1
OG0002044	XP_033324836.1, XP_033324837.1	XP_012136341.1, XP_012136347.1
OG0002045	XP_033323946.1	XP_012143496.1
OG0002046	XP_033338089.1	XP_003706185.1
OG0002047	XP_033339189.1, XP_033339191.1, XP_033339190.1, XP_033339182.1, XP_033339188.1	XP_003704896.1
OG0002048	XP_033338178.1	XP_012138294.1, XP_012138308.1
OG0002049	XP_033332838.1, XP_033332836.1	XP_012150356.1
OG0002050	XP_033330871.1	XP_003708065.1
OG0002051	XP_033323677.1	XP_003700857.1
OG0002052	XP_033322201.1	XP_003704502.1
OG0002054	XP_033335645.1	XP_012139709.1
OG0002055	XP_033325848.1	XP_003707010.1
OG0002056	XP_033342389.1	XP_003701093.1, XP_012135528.1
OG0002057	XP_033336546.1	XP_003702834.1
OG0002058	XP_033334796.1, XP_033339821.1	XP_003707801.1
OG0002059	XP_033336246.1	XP_012139338.1, XP_012139340.1, XP_012139339.1, XP_003702874.1
OG0002060	XP_033329657.1, XP_033329652.1	XP_012141197.1
OG0002061	XP_033323132.1	XP_012151955.1
OG0002062	XP_033334333.1	XP_012146355.1, XP_012146353.1
OG0002063	XP_033331779.1	XP_003706896.1
OG0002064	XP_033330194.1	XP_012142928.1
OG0002065	XP_033335764.1	XP_003702761.2
OG0002067	XP_033335279.1	XP_012154310.1
OG0002069	XP_033331638.1, XP_033337225.1	XP_003705335.1
OG0002070	XP_033342075.1	XP_012136442.1
OG0002071	XP_033340277.1	XP_003702033.1, XP_012137945.1
OG0002072	XP_033325972.1	XP_003707613.1
OG0002073	XP_033337711.1	XP_012147998.1
OG0002075	XP_033324047.1	XP_012149919.1, XP_012149920.1, XP_003707271.1
OG0002076	XP_033327390.1	XP_012135597.1
OG0002077	XP_033336962.1, XP_033336884.1	XP_003701633.1
OG0002078	XP_033342405.1	XP_012149123.1
OG0002079	XP_033331094.1	XP_003705877.1
OG0002080	XP_033323307.1	XP_003705020.1
OG0002081	XP_033337432.1	XP_003701177.1
OG0002082	XP_033329080.1	XP_012146702.1
OG0002083	XP_033320970.1	XP_012148780.1, XP_003706931.1
OG0002084	XP_033323164.1	XP_003706522.2
OG0002085	XP_033333812.1	XP_003707196.1
OG0002086	XP_033325988.1	XP_003707054.2
OG0002087	XP_033338614.1	XP_003700492.1, XP_012154201.1, XP_012154202.1
OG0002088	XP_033325453.1	XP_003699720.2, XP_012144235.1
OG0002089	XP_033336265.1	XP_003702769.1
OG0002090	XP_033342349.1, XP_033342350.1, XP_033342351.1	XP_012154459.1
OG0002091	XP_033332839.1	XP_003707492.1
OG0002092	XP_033335532.1	XP_003700521.2
OG0002094	XP_033331902.1	XP_003704619.1
OG0002095	XP_033333377.1	XP_012147718.1, XP_003706334.1
OG0002097	XP_033326566.1	XP_012136159.1
OG0002098	XP_033323341.1	XP_003700046.1
OG0002099	XP_033338981.1	XP_003704719.2
OG0002100	XP_033331711.1	XP_003707021.1
OG0002101	XP_033327711.1	XP_012140864.1
OG0002102	XP_033339729.1	XP_012153664.1, XP_012153667.1, XP_012153662.1
OG0002103	XP_033322989.1	XP_003702025.1
OG0002104	XP_033332963.1	XP_012139164.1
OG0002105	XP_033323695.1	XP_012140790.1
OG0002106	XP_033331719.1	XP_012137541.1
OG0002107	XP_033341851.1	XP_003705786.1
OG0002108	XP_033324893.1	XP_012141408.1
OG0002109	XP_033332470.1, XP_033332471.1	XP_003700184.1
OG0002110	XP_033335705.1, XP_033336326.1	XP_012137441.1
OG0002111	XP_033331417.1	XP_003699750.1
OG0002113	XP_033331753.1	XP_003699727.1
OG0002114	XP_033321101.1, XP_033321100.1	XP_003701865.1
OG0002115	XP_033330968.1	XP_003706465.2
OG0002116	XP_033321454.1	XP_012148200.1, XP_012148201.1
OG0002117	XP_033327108.1, XP_033327109.1	XP_003706178.1
OG0002118	XP_033339938.1, XP_033325696.1	XP_012150849.1
OG0002119	XP_033327718.1	XP_012140732.1
OG0002121	XP_033324053.1	XP_012144919.1
OG0002122	XP_033333719.1	XP_003700153.1
OG0002123	XP_033341169.1	XP_003708022.1
OG0002124	XP_033338624.1	XP_012154155.1
OG0002125	XP_033337446.1, XP_033337444.1	XP_012144745.1
OG0002126	XP_033340638.1	XP_012147815.1
OG0002127	XP_033338251.1, XP_033338252.1	XP_012138223.1
OG0002128	XP_033335080.1, XP_033335078.1, XP_033335079.1, XP_033335076.1, XP_033335077.1	XP_012138724.1
OG0002129	XP_033330437.1	XP_012140017.1, XP_012140006.1
OG0002130	XP_033340798.1	XP_003706018.1, XP_012147030.1
OG0002132	XP_033336668.1	XP_012152509.1, XP_012152510.1
OG0002134	XP_033343130.1	XP_012149760.1
OG0002136	XP_033335149.1	XP_003707738.1, XP_012151248.1, XP_012151247.1
OG0002137	XP_033338681.1	XP_003705359.1
OG0002138	XP_033341651.1	XP_003705988.1
OG0002139	XP_033330542.1	XP_012149202.1, XP_003707042.1
OG0002140	XP_033326796.1	XP_012136173.1
OG0002141	XP_033333036.1, XP_033333033.1	XP_003703529.2, XP_012141410.1
OG0002143	XP_033326798.1	XP_003701374.1
OG0002144	XP_033340067.1	XP_012143665.1
OG0002145	XP_033325867.1	XP_003700252.1
OG0002146	XP_033335349.1	XP_012144454.1
OG0002147	XP_033321563.1, XP_033321564.1	XP_003702343.1
OG0002148	XP_033326919.1	XP_003708174.1
OG0002149	XP_033335868.1, XP_033335869.1	XP_012139810.1
OG0002150	XP_033342630.1	XP_003699249.1
OG0002151	XP_033338514.1	XP_012134580.1
OG0002153	XP_033334951.1, XP_033334953.1	XP_012154424.1
OG0002154	XP_033325425.1	XP_012149072.1
OG0002155	XP_033338128.1	XP_012138208.1
OG0002156	XP_033326696.1, XP_033326695.1	XP_012139476.1, XP_012139690.1
OG0002157	XP_033321443.1	XP_012148346.1, XP_012148347.1, XP_012148348.1, XP_012148349.1
OG0002158	XP_033324674.1	XP_012141723.1
OG0002159	XP_033331327.1	XP_012134594.1
OG0002160	XP_033331654.1	XP_012153808.1
OG0002161	XP_033327030.1	XP_012143162.1, XP_012143164.1, XP_012143163.1
OG0002162	XP_033324386.1	XP_012145060.1
OG0002163	XP_033323180.1	XP_012145910.1, XP_012145916.1, XP_012145902.1
OG0002164	XP_033336338.1, XP_033336334.1	XP_012152664.1
OG0002165	XP_033340327.1	XP_003706589.1
OG0002166	XP_033330607.1, XP_033330608.1, XP_033330609.1	XP_012147678.1
OG0002167	XP_033333596.1	XP_012137795.1
OG0002168	XP_033341916.1	XP_012136782.1
OG0002169	XP_033332754.1	XP_003707484.1
OG0002170	XP_033325922.1, XP_033325920.1, XP_033325921.1, XP_033325918.1	XP_012149050.1
OG0002171	XP_033331401.1	XP_012149320.1
OG0002172	XP_033325565.1	XP_012139047.1
OG0002173	XP_033340098.1, XP_033340096.1	XP_003705677.1
OG0002174	XP_033322680.1	XP_012146638.1, XP_012146636.1
OG0002175	XP_033339446.1, XP_033339509.1, XP_033339523.1	XP_003704291.1, XP_012142633.1, XP_012142630.1, XP_012142632.1, XP_012142631.1, XP_012142629.1
OG0002177	XP_033329522.1	XP_003706560.2, XP_012148154.1
OG0002178	XP_033340915.1	XP_012135420.1
OG0002179	XP_033332653.1, XP_033332654.1	XP_012138827.1, XP_003702494.1
OG0002180	XP_033328741.1, XP_033328743.1, XP_033328742.1	XP_003707906.1, XP_012151700.1
OG0002181	XP_033342304.1	XP_012134634.1
OG0002182	XP_033337517.1, XP_033337507.1	XP_003702306.1
OG0002183	XP_033321319.1	XP_003705223.2, XP_012145126.1
OG0002184	XP_033327976.1, XP_033327977.1	XP_003707287.1
OG0002185	XP_033326773.1	XP_012145824.1, XP_012145826.1
OG0002186	XP_033323783.1	XP_012143834.1
OG0002187	XP_033324998.1	XP_012136067.1
OG0002188	XP_033329155.1	XP_012140483.1
OG0002189	XP_033329970.1	XP_003707503.1
OG0002190	XP_033327299.1, XP_033327297.1	XP_012135699.1
OG0002191	XP_033322763.1	XP_012140684.1
OG0002192	XP_033321337.1	XP_003700362.1
OG0002193	XP_033336651.1, XP_033336652.1, XP_033336650.1	XP_012152485.1, XP_003708303.1
OG0002195	XP_033339965.1	XP_012152712.1
OG0002196	XP_033336631.1	XP_012145369.1
OG0002197	XP_033328063.1, XP_033328062.1, XP_033328061.1, XP_033328060.1, XP_033328065.1, XP_033328064.1	XP_012150327.1, XP_012150329.1, XP_012150331.1, XP_012150328.1, XP_003707360.1
OG0002199	XP_033329126.1	XP_012146706.1, XP_012146705.1
OG0002200	XP_033329416.1	XP_012141342.1
OG0002201	XP_033336592.1	XP_003702875.1
OG0002202	XP_033339653.1	XP_012152143.1
OG0002202	XP_033324591.1	XP_012145000.1
OG0002203	XP_033341493.1	XP_012151506.1
OG0002204	XP_033337259.1	XP_003705194.2, XP_012145183.1
OG0002206	XP_033323616.1, XP_033326094.1	XP_003704631.1
OG0002208	XP_033333860.1	XP_012140447.1, XP_003703168.1
OG0002209	XP_033338826.1, XP_033338407.1	XP_003703833.1, XP_003700680.2
OG0002211	XP_033342715.1	XP_012148003.1, XP_003699954.1
OG0002212	XP_033339888.1	XP_012144284.1, XP_003704871.1
OG0002213	XP_033331056.1	XP_012138601.1
OG0002214	XP_033320806.1	XP_003703367.1
OG0002215	XP_033328054.1, XP_033328055.1	XP_012139111.1, XP_012139112.1
OG0002217	XP_033339042.1	XP_012152182.1, XP_012152183.1
OG0002218	XP_033326308.1, XP_033326309.1	XP_012153608.1, XP_003708681.1
OG0002219	XP_033327409.1, XP_033327410.1	XP_012145933.1, XP_012145930.1, XP_012145932.1, XP_012145931.1, XP_012145929.1
OG0002220	XP_033328246.1	XP_003707397.1
OG0002221	XP_033335086.1, XP_033335084.1, XP_033335085.1	XP_012138709.1, XP_003702460.1
OG0002222	XP_033321010.1, XP_033321006.1	XP_012143595.1, XP_012143594.1
OG0002223	XP_033326203.1	XP_012141853.1, XP_012141854.1
OG0002224	XP_033330771.1	XP_012138459.1, XP_012138457.1
OG0002225	XP_033330154.1	XP_012142666.1, XP_012142670.1, XP_012142668.1
OG0002226	XP_033330143.1	XP_003704383.1
OG0002228	XP_033338406.1	XP_012134846.1, XP_012134852.1
OG0002229	XP_033342275.1, XP_033342278.1	XP_012135706.1, XP_012135193.1, XP_012135176.1, XP_012135185.1
OG0002230	XP_033340288.1, XP_033340291.1	XP_012137858.1, XP_012137860.1
OG0002231	XP_033328879.1, XP_033328877.1, XP_033328878.1	XP_003705037.1
OG0002236	XP_033335841.1, XP_033335842.1	XP_012139516.1, XP_012139517.1, XP_003702766.1
OG0002237	XP_033339967.1	XP_003708372.1
OG0002238	XP_033338069.1, XP_033338066.1	XP_003706164.1
OG0002239	XP_033321610.1	XP_003704069.1
OG0002240	XP_033329913.1, XP_033329914.1, XP_033329912.1, XP_033329915.1	XP_003701784.1
OG0002241	XP_033322274.1	XP_003705919.1
OG0002242	XP_033326392.1	XP_003699700.2
OG0002243	XP_033340251.1, XP_033340252.1	XP_003704645.1
OG0002244	XP_033332737.1	XP_012148057.1, XP_003706469.1
OG0002245	XP_033341742.1, XP_033341749.1	XP_012146265.1
OG0002246	XP_033338585.1, XP_033338583.1	XP_012154128.1
OG0002247	XP_033327035.1	XP_012142025.1, XP_012142024.1
OG0002248	XP_033322156.1	XP_003704071.1
OG0002249	XP_033340216.1, XP_033340217.1	XP_003702157.1
OG0002250	XP_033325067.1	XP_003707165.1
OG0002251	XP_033328382.1, XP_033328381.1	XP_003702164.1, XP_012138002.1
OG0002252	XP_033338708.1, XP_033338709.1	XP_003700427.1
OG0002253	XP_033321734.1	XP_003708119.1, XP_012152074.1, XP_012152072.1
OG0002255	XP_033328650.1	XP_003706437.1
OG0002256	XP_033327638.1	XP_003705527.1, XP_012145875.1, XP_012145876.1
OG0002257	XP_033341520.1	XP_003703742.2
OG0002258	XP_033331389.1, XP_033331362.1	XP_003703167.2
OG0002259	XP_033338645.1, XP_033338644.1	XP_003700454.1
OG0002260	XP_033323820.1	XP_003704823.1, XP_012144239.1
OG0002261	XP_033327958.1	XP_003707332.2
OG0002262	XP_033322721.1, XP_033322724.1, XP_033322722.1, XP_033322723.1, XP_033322717.1, XP_033322719.1, XP_033322720.1	XP_003702432.1
OG0002263	XP_033324948.1	XP_012148543.1, XP_012148545.1, XP_012148544.1
OG0002264	XP_033336415.1	XP_012139798.1
OG0002265	XP_033328470.1	XP_003706596.1
OG0002267	XP_033326624.1	XP_003706630.1
OG0002268	XP_033327127.1	XP_003706179.2
OG0002269	XP_033340400.1	XP_003702106.2
OG0002270	XP_033321779.1	XP_012152297.1, XP_012152296.1, XP_012152295.1, XP_003708169.1
OG0002271	XP_033335527.1	XP_003704977.1
OG0002272	XP_033327851.1	XP_003706490.1
OG0002273	XP_033328859.1	XP_003703723.1
OG0002274	XP_033329194.1, XP_033329195.1	XP_012141032.1
OG0002275	XP_033325593.1	XP_003702622.1
OG0002276	XP_033336534.1	XP_003702917.1, XP_012139531.1
OG0002277	XP_033321629.1, XP_033321611.1, XP_033321621.1	XP_012134756.1
