Orthogroup	Megalopta_genalis	Polistes_dominula
OG0001187	XP_033327329.1	XP_015188783.1
OG0001189	XP_033336245.1	XP_015185561.1
OG0001190	XP_033338253.1	XP_015174310.1, XP_015174309.1, XP_015174312.1
OG0001191	XP_033341679.1	XP_015177203.1, XP_015177266.1
OG0001193	XP_033336894.1	XP_015179540.1
OG0001195	XP_033330951.1, XP_033330953.1, XP_033330954.1	XP_015187704.1
OG0001197	XP_033332586.1	XP_015171203.1
OG0001197	XP_033332585.1, XP_033332584.1	XP_015171190.1
OG0001198	XP_033323595.1	XP_015182891.1, XP_015182890.1
OG0001199	XP_033330074.1	XP_015176915.1, XP_015176914.1, XP_015176913.1, XP_015176912.1
OG0001201	XP_033332536.1	XP_015183363.1
OG0001202	XP_033334443.1	XP_015181375.1
OG0001204	XP_033325410.1, XP_033325411.1, XP_033325409.1	XP_015178874.1, XP_015178876.1, XP_015178875.1, XP_015178877.1
OG0001205	XP_033322200.1	XP_015179313.1
OG0001205	XP_033325793.1	XP_015184912.1
OG0001206	XP_033328400.1	XP_015178002.1
OG0001207	XP_033335287.1	XP_015186400.1
OG0001208	XP_033324122.1	XP_015176539.1
OG0001209	XP_033322847.1	XP_015187398.1
OG0001210	XP_033332942.1	XP_015181180.1
OG0001211	XP_033340264.1, XP_033340254.1, XP_033340253.1	XP_015183488.1
OG0001212	XP_033328779.1	XP_015171700.1
OG0001214	XP_033324526.1, XP_033324525.1	XP_015176674.1
OG0001215	XP_033336550.1, XP_033336549.1	XP_015178220.1, XP_015178221.1, XP_015178219.1
OG0001216	XP_033331986.1, XP_033331993.1	XP_015171674.1
OG0001217	XP_033338712.1, XP_033338710.1	XP_015176078.1
OG0001218	XP_033339952.1, XP_033339953.1	XP_015173300.1, XP_015173299.1
OG0001219	XP_033338491.1, XP_033338492.1	XP_015184876.1
OG0001220	XP_033338496.1, XP_033338497.1, XP_033338495.1	XP_015182517.1
OG0001221	XP_033332841.1	XP_015176774.1
OG0001222	XP_033327693.1	XP_015191741.1, XP_015191739.1
OG0001223	XP_033322887.1	XP_015188320.1
OG0001224	XP_033338548.1, XP_033338552.1	XP_015188607.1, XP_015188608.1, XP_015188605.1
OG0001225	XP_033327582.1, XP_033327580.1	XP_015188945.1
OG0001226	XP_033323368.1, XP_033323367.1, XP_033323371.1, XP_033323370.1, XP_033323366.1	XP_015186603.1
OG0001228	XP_033321096.1	XP_015179126.1
OG0001229	XP_033339510.1	XP_015176745.1, XP_015176746.1, XP_015176718.1
OG0001230	XP_033328206.1, XP_033328205.1, XP_033328207.1, XP_033328204.1	XP_015184518.1, XP_015184491.1
OG0001231	XP_033334870.1	XP_015177060.1
OG0001232	XP_033328496.1	XP_015171372.1
OG0001233	XP_033327337.1	XP_015178688.1, XP_015178686.1
OG0001234	XP_033326409.1	XP_015174623.1, XP_015174621.1, XP_015174622.1
OG0001236	XP_033321426.1	XP_015185251.1, XP_015185250.1
OG0001237	XP_033342687.1	XP_015185478.1
OG0001238	XP_033337766.1, XP_033337767.1	XP_015173641.1, XP_015173650.1
OG0001239	XP_033331661.1	XP_015186664.1, XP_015186665.1, XP_015186666.1
OG0001240	XP_033342584.1, XP_033342582.1, XP_033342585.1, XP_033342583.1, XP_033342581.1	XP_015178294.1
OG0001241	XP_033334766.1, XP_033334769.1	XP_015190087.1, XP_015190089.1
OG0001242	XP_033340326.1, XP_033340325.1	XP_015191735.1, XP_015191763.1, XP_015191743.1
OG0001244	XP_033342274.1	XP_015171549.1, XP_015171550.1
OG0001245	XP_033330435.1	XP_015181465.1, XP_015181466.1
OG0001246	XP_033330518.1	XP_015181421.1
OG0001247	XP_033325507.1, XP_033325505.1	XP_015176779.1, XP_015176782.1, XP_015176783.1, XP_015176780.1
OG0001248	XP_033338006.1	XP_015183140.1
OG0001249	XP_033332368.1, XP_033332358.1	XP_015177561.1, XP_015177565.1, XP_015177562.1, XP_015177566.1
OG0001250	XP_033337904.1	XP_015191522.1, XP_015191523.1
OG0001251	XP_033332353.1	XP_015174771.1, XP_015174772.1
OG0001252	XP_033324821.1	XP_015174681.1
OG0001253	XP_033334669.1, XP_033334666.1	XP_015177639.1
OG0001254	XP_033321789.1	XP_015182745.1
OG0001255	XP_033321111.1	XP_015173425.1
OG0001256	XP_033326933.1	XP_015186656.1
OG0001257	XP_033329191.1	XP_015173761.1, XP_015173760.1
OG0001258	XP_033327208.1	XP_015172818.1
OG0001259	XP_033321335.1	XP_015175371.1
OG0001260	XP_033339643.1	XP_015184928.1
OG0001261	XP_033325790.1	XP_015184901.1
OG0001262	XP_033333808.1, XP_033333809.1	XP_015182580.1, XP_015182583.1, XP_015182582.1, XP_015182581.1
OG0001263	XP_033333282.1	XP_015178787.1, XP_015178793.1
OG0001264	XP_033321232.1	XP_015185167.1, XP_015185168.1
OG0001265	XP_033339929.1, XP_033329668.1	XP_015185428.1
OG0001266	XP_033333073.1, XP_033333074.1, XP_033333075.1, XP_033333076.1, XP_033333072.1	XP_015185887.1, XP_015185861.1, XP_015185879.1, XP_015185870.1
OG0001267	XP_033337655.1	XP_015176612.1
OG0001268	XP_033330923.1	XP_015186249.1
OG0001268	XP_033326114.1	XP_015173573.1
OG0001269	XP_033331143.1, XP_033331168.1	XP_015182444.1, XP_015182447.1
OG0001270	XP_033331492.1, XP_033331491.1, XP_033331490.1	XP_015180459.1, XP_015180458.1, XP_015180461.1
OG0001271	XP_033336434.1, XP_033321514.1	XP_015180489.1, XP_015180487.1
OG0001272	XP_033329520.1, XP_033329541.1	XP_015184964.1
OG0001273	XP_033334025.1, XP_033334023.1	XP_015184512.1
OG0001274	XP_033332718.1	XP_015177902.1, XP_015171720.1
OG0001277	XP_033321811.1	XP_015175198.1
OG0001278	XP_033341649.1, XP_033341650.1	XP_015178499.1
OG0001279	XP_033332151.1	XP_015183128.1
OG0001280	XP_033328482.1, XP_033328474.1	XP_015176453.1
OG0001282	XP_033325483.1	XP_015187689.1, XP_015187690.1, XP_015187692.1, XP_015187691.1
OG0001283	XP_033340604.1	XP_015175231.1
OG0001284	XP_033321750.1, XP_033321748.1	XP_015172687.1
OG0001286	XP_033323978.1	XP_015171745.1
OG0001287	XP_033328763.1	XP_015182461.1, XP_015182509.1
OG0001288	XP_033325575.1, XP_033325580.1	XP_015180066.1, XP_015180067.1, XP_015180068.1
OG0001289	XP_033333053.1, XP_033333052.1, XP_033333051.1, XP_033333050.1, XP_033333054.1	XP_015171075.1
OG0001290	XP_033341658.1	XP_015176240.1
OG0001291	XP_033338839.1	XP_015179207.1, XP_015179208.1
OG0001292	XP_033336590.1	XP_015187484.1, XP_015187483.1, XP_015187486.1, XP_015187485.1, XP_015187481.1, XP_015187482.1
OG0001293	XP_033325445.1	XP_015188324.1
OG0001294	XP_033340861.1, XP_033340870.1, XP_033340852.1, XP_033340830.1, XP_033340841.1	XP_015177500.1, XP_015177499.1, XP_015177501.1
OG0001295	XP_033321157.1	XP_015180422.1
OG0001296	XP_033324545.1	XP_015184529.1, XP_015184542.1
OG0001298	XP_033334359.1	XP_015188193.1
OG0001299	XP_033340775.1	XP_015182795.1
OG0001300	XP_033335256.1	XP_015187343.1
OG0001301	XP_033328498.1, XP_033328260.1, XP_033328427.1, XP_033328350.1	XP_015176169.1, XP_015176168.1
OG0001302	XP_033322974.1	XP_015176381.1
OG0001303	XP_033330552.1, XP_033330557.1	XP_015187064.1, XP_015187063.1, XP_015187066.1, XP_015187065.1, XP_015187062.1
OG0001304	XP_033324766.1, XP_033324765.1	XP_015185103.1, XP_015185111.1
OG0001305	XP_033332409.1	XP_015191788.1, XP_015190254.1
OG0001306	XP_033325497.1, XP_033325494.1	XP_015176775.1
OG0001308	XP_033324511.1	XP_015184548.1
OG0001310	XP_033325998.1, XP_033325997.1	XP_015171687.1
OG0001312	XP_033327364.1, XP_033327363.1, XP_033327365.1, XP_033327366.1	XP_015185662.1
OG0001314	XP_033338921.1	XP_015177007.1, XP_015177015.1
OG0001315	XP_033330904.1, XP_033330903.1	XP_015173856.1
OG0001317	XP_033326800.1	XP_015172216.1
OG0001318	XP_033321114.1	XP_015178547.1, XP_015178549.1, XP_015178548.1, XP_015178546.1
OG0001319	XP_033326623.1	XP_015184975.1
OG0001320	XP_033335361.1, XP_033335359.1	XP_015185261.1, XP_015185263.1, XP_015185262.1
OG0001321	XP_033337412.1	XP_015177276.1, XP_015177272.1, XP_015177271.1, XP_015177273.1, XP_015177274.1
OG0001322	XP_033337157.1	XP_015185054.1, XP_015185053.1
OG0001323	XP_033327590.1	XP_015174389.1
OG0001328	XP_033325943.1	XP_015177054.1
OG0001330	XP_033327119.1	XP_015172508.1
OG0001331	XP_033337458.1	XP_015190609.1
OG0001332	XP_033323630.1, XP_033323640.1, XP_033323032.1	XP_015173768.1
OG0001333	XP_033333461.1, XP_033333462.1, XP_033333460.1	XP_015171755.1, XP_015171746.1
OG0001334	XP_033337855.1, XP_033337854.1, XP_033337841.1	XP_015180201.1
OG0001335	XP_033339620.1	XP_015187927.1
OG0001338	XP_033342357.1	XP_015179016.1, XP_015179017.1
OG0001339	XP_033331285.1, XP_033331287.1, XP_033331286.1	XP_015188747.1, XP_015188734.1
OG0001340	XP_033339650.1, XP_033339649.1	XP_015175811.1
OG0001341	XP_033325431.1	XP_015186402.1
OG0001342	XP_033334101.1	XP_015177172.1
OG0001343	XP_033336674.1	XP_015179776.1
OG0001344	XP_033325798.1	XP_015188077.1
OG0001345	XP_033328117.1	XP_015175286.1, XP_015175285.1
OG0001346	XP_033341908.1	XP_015171640.1, XP_015171641.1
OG0001347	XP_033321822.1	XP_015184727.1
OG0001348	XP_033337642.1	XP_015175187.1, XP_015175188.1, XP_015175186.1
OG0001349	XP_033341785.1, XP_033324607.1	XP_015175721.1
OG0001350	XP_033343041.1	XP_015184960.1
OG0001351	XP_033340933.1	XP_015188176.1
OG0001352	XP_033335226.1, XP_033335225.1, XP_033335224.1	XP_015186386.1
OG0001353	XP_033323348.1	XP_015186606.1, XP_015186607.1
OG0001354	XP_033328214.1	XP_015184552.1
OG0001355	XP_033331297.1	XP_015191309.1, XP_015191308.1, XP_015191306.1, XP_015191307.1
OG0001356	XP_033322696.1	XP_015183376.1
OG0001357	XP_033340784.1	XP_015185993.1, XP_015185994.1
OG0001358	XP_033341573.1, XP_033341571.1	XP_015179882.1
OG0001359	XP_033338661.1, XP_033338656.1, XP_033338659.1, XP_033338658.1, XP_033338657.1	XP_015175348.1
OG0001360	XP_033341020.1, XP_033341024.1, XP_033341023.1, XP_033341021.1, XP_033341022.1	XP_015175191.1, XP_015175192.1, XP_015175189.1, XP_015175190.1
OG0001361	XP_033332431.1	XP_015189054.1
OG0001362	XP_033337167.1	XP_015189363.1
OG0001364	XP_033324267.1, XP_033324387.1	XP_015181043.1
OG0001365	XP_033342970.1	XP_015191302.1
OG0001366	XP_033332178.1	XP_015173762.1
OG0001368	XP_033324217.1, XP_033324216.1	XP_015184592.1
OG0001369	XP_033328476.1	XP_015181072.1
OG0001371	XP_033343106.1	XP_015181797.1
OG0001373	XP_033334491.1	XP_015181678.1
OG0001374	XP_033336465.1	XP_015188911.1, XP_015188912.1, XP_015188910.1
OG0001375	XP_033332162.1	XP_015188011.1
OG0001376	XP_033321505.1	XP_015188863.1, XP_015188865.1, XP_015188864.1
OG0001377	XP_033325219.1	XP_015171684.1, XP_015171685.1
OG0001378	XP_033331868.1	XP_015188444.1, XP_015188445.1, XP_015189349.1, XP_015189348.1
OG0001379	XP_033333766.1	XP_015188017.1
OG0001380	XP_033325963.1	XP_015189420.1, XP_015189421.1, XP_015189419.1
OG0001382	XP_033340856.1	XP_015186730.1
OG0001383	XP_033327241.1, XP_033327238.1, XP_033327237.1, XP_033327240.1, XP_033327239.1	XP_015189441.1
OG0001384	XP_033335089.1, XP_033335090.1, XP_033335088.1	XP_015182287.1
OG0001385	XP_033324055.1	XP_015191663.1
OG0001386	XP_033332148.1	XP_015186179.1
OG0001387	XP_033323892.1	XP_015187004.1
OG0001388	XP_033334641.1	XP_015187276.1
OG0001389	XP_033329037.1, XP_033322441.1	XP_015174485.1
OG0001390	XP_033331230.1	XP_015172438.1, XP_015172439.1, XP_015172440.1, XP_015172441.1
OG0001391	XP_033340978.1, XP_033340977.1	XP_015182508.1, XP_015182507.1, XP_015182506.1
OG0001392	XP_033326235.1, XP_033326236.1, XP_033326228.1, XP_033326234.1	XP_015188800.1
OG0001393	XP_033331823.1	XP_015172415.1, XP_015172442.1
OG0001394	XP_033329639.1	XP_015176205.1
OG0001395	XP_033332210.1	XP_015187548.1, XP_015187547.1, XP_015187546.1, XP_015187545.1
OG0001396	XP_033341459.1	XP_015190613.1
OG0001397	XP_033321033.1	XP_015184617.1
OG0001398	XP_033339038.1	XP_015174377.1, XP_015174376.1, XP_015174378.1
OG0001399	XP_033341554.1	XP_015190153.1, XP_015190152.1, XP_015190151.1
OG0001400	XP_033327579.1	XP_015183714.1
OG0001400	XP_033327368.1	XP_015183704.1
OG0001401	XP_033324988.1, XP_033324989.1, XP_033324990.1	XP_015187970.1, XP_015187969.1
OG0001402	XP_033331427.1	XP_015191194.1
OG0001403	XP_033327869.1, XP_033327875.1	XP_015187745.1
OG0001404	XP_033342345.1, XP_033342346.1	XP_015179890.1, XP_015179892.1, XP_015179891.1
OG0001405	XP_033338114.1	XP_015174612.1
OG0001406	XP_033323474.1, XP_033323476.1, XP_033323475.1	XP_015180352.1
OG0001407	XP_033340428.1, XP_033340427.1	XP_015184078.1, XP_015184080.1
OG0001408	XP_033329808.1	XP_015187566.1
OG0001409	XP_033322880.1	XP_015188310.1, XP_015188313.1
OG0001410	XP_033326787.1	XP_015185730.1
OG0001412	XP_033335401.1	XP_015191005.1
OG0001412	XP_033335771.1	XP_015191408.1
OG0001413	XP_033333089.1	XP_015178798.1
OG0001414	XP_033323484.1, XP_033323485.1, XP_033323486.1	XP_015175407.1, XP_015175408.1
OG0001415	XP_033340994.1	XP_015182075.1
OG0001417	XP_033334848.1, XP_033334847.1, XP_033334846.1, XP_033334849.1	XP_015188275.1
OG0001418	XP_033331754.1, XP_033321453.1, XP_033335309.1, XP_033335471.1, XP_033335515.1, XP_033335510.1, XP_033335511.1, XP_033339328.1, XP_033335514.1, XP_033335512.1	XP_015177476.1, XP_015189892.1, XP_015189760.1, XP_015176373.1
OG0001419	XP_033337007.1	XP_015175340.1, XP_015175323.1
OG0001421	XP_033323775.1, XP_033323776.1, XP_033323777.1, XP_033323784.1	XP_015182989.1
OG0001422	XP_033328316.1	XP_015191538.1
OG0001423	XP_033328804.1	XP_015178903.1
OG0001424	XP_033342016.1	XP_015184776.1
OG0001425	XP_033328615.1	XP_015188537.1
OG0001426	XP_033323404.1	XP_015179662.1
OG0001427	XP_033341537.1	XP_015175865.1
OG0001428	XP_033324199.1	XP_015172866.1
OG0001429	XP_033333465.1	XP_015171681.1
OG0001430	XP_033341692.1	XP_015179975.1
OG0001432	XP_033332456.1	XP_015178042.1
OG0001433	XP_033321462.1, XP_033321471.1	XP_015180891.1, XP_015180890.1, XP_015180889.1
OG0001434	XP_033323565.1	XP_015171792.1, XP_015171780.1, XP_015185559.1
OG0001436	XP_033336290.1	XP_015179615.1
OG0001437	XP_033335425.1	XP_015173073.1, XP_015173075.1, XP_015173074.1
OG0001438	XP_033322465.1, XP_033322466.1, XP_033322464.1	XP_015173771.1, XP_015173773.1
OG0001440	XP_033331189.1, XP_033339930.1	XP_015180748.1
OG0001441	XP_033337618.1, XP_033337623.1	XP_015171136.1
OG0001442	XP_033334776.1, XP_033334777.1	XP_015181968.1, XP_015181969.1
OG0001443	XP_033341889.1	XP_015183382.1
OG0001444	XP_033322506.1	XP_015190919.1
OG0001445	XP_033327764.1, XP_033327763.1	XP_015178126.1
OG0001446	XP_033325927.1	XP_015178763.1, XP_015178760.1
OG0001448	XP_033338668.1, XP_033338667.1, XP_033338669.1	XP_015171380.1
OG0001449	XP_033332321.1, XP_033332323.1, XP_033332324.1, XP_033332320.1, XP_033332322.1	XP_015174479.1
OG0001450	XP_033330587.1, XP_033330584.1	XP_015184954.1, XP_015184952.1, XP_015184951.1, XP_015184950.1
OG0001451	XP_033335047.1, XP_033335046.1	XP_015191159.1
OG0001453	XP_033331863.1	XP_015178218.1
OG0001455	XP_033337744.1	XP_015188001.1, XP_015188002.1, XP_015188000.1
OG0001457	XP_033339154.1, XP_033339155.1, XP_033339156.1, XP_033339194.1, XP_033339193.1, XP_033324163.1	XP_015184596.1
OG0001458	XP_033330895.1, XP_033330893.1, XP_033330892.1	XP_015175901.1, XP_015175900.1, XP_015175899.1
OG0001459	XP_033329392.1	XP_015171442.1
OG0001460	XP_033330576.1	XP_015190961.1, XP_015190965.1, XP_015190964.1, XP_015190963.1, XP_015190962.1, XP_015190960.1
OG0001461	XP_033328146.1	XP_015176344.1, XP_015176345.1
OG0001462	XP_033331097.1	XP_015191825.1
OG0001463	XP_033333161.1	XP_015177310.1
OG0001464	XP_033320813.1, XP_033320810.1	XP_015188722.1
OG0001466	XP_033321041.1	XP_015191372.1, XP_015191371.1
OG0001468	XP_033331781.1	XP_015182236.1
OG0001469	XP_033342476.1	XP_015173948.1
OG0001470	XP_033322494.1	XP_015183790.1
OG0001471	XP_033341583.1	XP_015173745.1
OG0001473	XP_033341943.1	XP_015187320.1, XP_015187319.1
OG0001474	XP_033325626.1, XP_033325489.1	XP_015177871.1, XP_015177872.1, XP_015177870.1, XP_015177869.1
OG0001475	XP_033341141.1	XP_015190515.1, XP_015190514.1, XP_015190517.1, XP_015190516.1
OG0001476	XP_033338396.1, XP_033338397.1, XP_033338392.1, XP_033338393.1, XP_033338394.1, XP_033338395.1	XP_015175246.1
OG0001477	XP_033326073.1	XP_015184346.1, XP_015184344.1, XP_015184345.1
OG0001478	XP_033331825.1	XP_015191461.1, XP_015191460.1
OG0001479	XP_033342437.1	XP_015183743.1
OG0001480	XP_033329780.1, XP_033329779.1, XP_033329778.1	XP_015183437.1, XP_015183438.1
OG0001481	XP_033332968.1	XP_015188658.1
OG0001482	XP_033338834.1	XP_015172163.1
OG0001483	XP_033325302.1	XP_015181718.1
OG0001484	XP_033330946.1	XP_015175898.1
OG0001485	XP_033325060.1	XP_015178622.1
OG0001486	XP_033335135.1, XP_033335134.1	XP_015175781.1, XP_015175780.1
OG0001487	XP_033325758.1	XP_015182757.1, XP_015182738.1, XP_015182748.1
OG0001488	XP_033320789.1	XP_015181799.1
OG0001489	XP_033322429.1	XP_015176967.1
OG0001490	XP_033337133.1	XP_015178127.1
OG0001491	XP_033336606.1, XP_033336604.1, XP_033336605.1, XP_033336602.1, XP_033336603.1	XP_015172098.1, XP_015172099.1
OG0001492	XP_033338934.1	XP_015174948.1
OG0001494	XP_033338609.1	XP_015188603.1, XP_015188604.1
OG0001495	XP_033327149.1	XP_015178123.1
OG0001496	XP_033332258.1, XP_033332257.1, XP_033332260.1, XP_033332256.1	XP_015186531.1
OG0001497	XP_033335024.1	XP_015182259.1
OG0001498	XP_033323594.1	XP_015171068.1
OG0001499	XP_033330091.1	XP_015177596.1
OG0001499	XP_033333713.1	XP_015176679.1
OG0001500	XP_033321201.1	XP_015185116.1
OG0001501	XP_033328422.1, XP_033328421.1	XP_015185121.1
OG0001502	XP_033328439.1	XP_015186599.1
OG0001503	XP_033334874.1	XP_015183782.1, XP_015183781.1
OG0001504	XP_033321622.1	XP_015185019.1
OG0001505	XP_033328209.1	XP_015174265.1, XP_015174264.1
OG0001506	XP_033338306.1, XP_033338305.1, XP_033338304.1	XP_015182578.1
OG0001507	XP_033324712.1	XP_015177328.1
OG0001507	XP_033324710.1	XP_015177327.1
OG0001508	XP_033333852.1	XP_015177702.1
OG0001509	XP_033327415.1	XP_015185640.1
OG0001510	XP_033334830.1, XP_033342219.1	XP_015185130.1
OG0001511	XP_033340665.1, XP_033340894.1, XP_033340664.1, XP_033340663.1, XP_033340660.1	XP_015182878.1
OG0001512	XP_033327405.1	XP_015189383.1
OG0001513	XP_033331658.1, XP_033331659.1, XP_033331657.1	XP_015186717.1
OG0001514	XP_033341747.1	XP_015176729.1, XP_015176728.1
OG0001515	XP_033331960.1	XP_015177834.1, XP_015177833.1
OG0001516	XP_033339005.1	XP_015185898.1, XP_015185899.1
OG0001517	XP_033324412.1	XP_015183612.1, XP_015183607.1
OG0001518	XP_033333447.1, XP_033333446.1	XP_015189264.1
OG0001519	XP_033335127.1	XP_015175798.1
OG0001520	XP_033341995.1	XP_015187128.1
OG0001520	XP_033341994.1	XP_015187111.1, XP_015187110.1
OG0001521	XP_033339329.1	XP_015180263.1
OG0001522	XP_033327915.1	XP_015175123.1
OG0001523	XP_033324854.1	XP_015180937.1
OG0001524	XP_033323194.1, XP_033323193.1, XP_033323192.1	XP_015186809.1
OG0001525	XP_033341568.1	XP_015184938.1
OG0001526	XP_033327852.1	XP_015178598.1, XP_015178596.1
OG0001527	XP_033339255.1, XP_033339256.1	XP_015173864.1, XP_015173865.1, XP_015173863.1
OG0001529	XP_033321653.1	XP_015174994.1
OG0001530	XP_033328918.1, XP_033328917.1, XP_033328919.1	XP_015176147.1
OG0001531	XP_033334035.1, XP_033334034.1	XP_015184383.1, XP_015187852.1
OG0001532	XP_033329479.1, XP_033329480.1	XP_015183811.1
OG0001533	XP_033322269.1, XP_033322277.1	XP_015189494.1
OG0001534	XP_033332433.1	XP_015189643.1
OG0001535	XP_033338217.1, XP_033338218.1	XP_015186975.1
OG0001536	XP_033328996.1	XP_015186566.1
OG0001537	XP_033331322.1, XP_033331319.1	XP_015188456.1
OG0001538	XP_033331672.1	XP_015186818.1, XP_015189908.1
OG0001539	XP_033339323.1	XP_015189287.1
OG0001540	XP_033341234.1	XP_015191170.1
OG0001541	XP_033340318.1	XP_015178821.1, XP_015178820.1
OG0001542	XP_033333820.1	XP_015172897.1, XP_015172896.1, XP_015172895.1, XP_015172894.1
OG0001543	XP_033324404.1, XP_033324402.1	XP_015176705.1, XP_015176695.1
OG0001545	XP_033337554.1, XP_033331183.1	XP_015190983.1
OG0001546	XP_033337144.1, XP_033337143.1	XP_015185052.1
OG0001547	XP_033325188.1	XP_015181840.1
OG0001548	XP_033323260.1, XP_033323265.1	XP_015185434.1
OG0001549	XP_033333515.1	XP_015188164.1
OG0001550	XP_033335370.1, XP_033335371.1, XP_033335372.1, XP_033335373.1, XP_033335362.1, XP_033335369.1, XP_033335363.1, XP_033335364.1, XP_033335366.1, XP_033335367.1, XP_033335368.1	XP_015177632.1, XP_015177631.1
OG0001551	XP_033332177.1	XP_015171737.1
OG0001552	XP_033331975.1	XP_015187635.1
OG0001553	XP_033321525.1	XP_015182983.1, XP_015182982.1
OG0001554	XP_033335487.1, XP_033335482.1	XP_015177936.1
OG0001555	XP_033325608.1, XP_033325605.1, XP_033325607.1, XP_033325606.1, XP_033325609.1	XP_015171140.1
OG0001556	XP_033330110.1	XP_015186765.1
OG0001557	XP_033334702.1	XP_015175627.1
OG0001558	XP_033337704.1, XP_033337702.1, XP_033337703.1	XP_015191297.1
OG0001559	XP_033332966.1	XP_015183022.1
OG0001561	XP_033339970.1, XP_033339969.1, XP_033339972.1	XP_015191824.1
OG0001562	XP_033328357.1	XP_015182895.1
OG0001563	XP_033341462.1	XP_015181815.1, XP_015181822.1
OG0001565	XP_033325424.1	XP_015174966.1
OG0001567	XP_033326103.1, XP_033326100.1, XP_033326106.1	XP_015184022.1, XP_015184019.1, XP_015184017.1
OG0001568	XP_033328178.1, XP_033328180.1	XP_015171293.1
OG0001569	XP_033336286.1, XP_033336285.1, XP_033336287.1, XP_033336289.1, XP_033336288.1	XP_015179612.1, XP_015179613.1, XP_015179614.1
OG0001570	XP_033322655.1, XP_033322657.1, XP_033322656.1	XP_015189116.1
OG0001571	XP_033328364.1	XP_015186942.1, XP_015186945.1, XP_015186944.1
OG0001572	XP_033339468.1	XP_015178634.1, XP_015178635.1, XP_015178633.1
OG0001573	XP_033328803.1	XP_015176456.1
OG0001574	XP_033330239.1	XP_015188741.1, XP_015188739.1
OG0001575	XP_033323472.1	XP_015187477.1, XP_015187476.1
OG0001576	XP_033323118.1	XP_015189138.1
OG0001577	XP_033329340.1	XP_015181769.1, XP_015181767.1, XP_015181768.1, XP_015181770.1
OG0001578	XP_033329773.1	XP_015172760.1, XP_015172758.1, XP_015172759.1, XP_015172755.1, XP_015172756.1, XP_015172754.1
OG0001579	XP_033340592.1	XP_015182527.1, XP_015182525.1
OG0001580	XP_033337604.1, XP_033337605.1	XP_015187407.1
OG0001581	XP_033339616.1, XP_033339615.1	XP_015187930.1
OG0001582	XP_033323093.1	XP_015183090.1
OG0001583	XP_033324983.1, XP_033324986.1, XP_033324985.1, XP_033324982.1	XP_015180361.1
OG0001584	XP_033328517.1, XP_033328521.1	XP_015176021.1
OG0001585	XP_033331088.1	XP_015191709.1
OG0001585	XP_033331092.1, XP_033331093.1	XP_015191710.1
OG0001586	XP_033341972.1	XP_015185311.1
OG0001587	XP_033333475.1	XP_015190749.1
OG0001588	XP_033335121.1, XP_033335117.1	XP_015179867.1, XP_015179870.1
OG0001592	XP_033326588.1, XP_033325215.1, XP_033325214.1	XP_015187036.1, XP_015187038.1, XP_015187037.1, XP_015187039.1
OG0001593	XP_033320857.1	XP_015181273.1
OG0001594	XP_033322653.1, XP_033322654.1	XP_015188973.1, XP_015188971.1, XP_015188972.1, XP_015188970.1
OG0001595	XP_033340635.1, XP_033340636.1	XP_015189340.1
OG0001596	XP_033337111.1	XP_015191635.1
OG0001598	XP_033336974.1	XP_015190339.1
OG0001600	XP_033339991.1, XP_033339992.1, XP_033339990.1	XP_015172667.1
OG0001601	XP_033341217.1, XP_033341216.1, XP_033341205.1	XP_015171493.1
OG0001602	XP_033328040.1	XP_015183839.1
OG0001602	XP_033328041.1	XP_015183800.1
OG0001603	XP_033330414.1, XP_033330422.1, XP_033330429.1	XP_015176177.1
OG0001604	XP_033332928.1, XP_033332924.1	XP_015188043.1, XP_015188050.1
OG0001606	XP_033338831.1	XP_015172640.1
OG0001607	XP_033336917.1	XP_015184717.1, XP_015184716.1
OG0001608	XP_033334922.1	XP_015187299.1, XP_015187300.1, XP_015187301.1
OG0001609	XP_033338735.1	XP_015188544.1, XP_015188515.1, XP_015188525.1, XP_015188505.1, XP_015188535.1
OG0001611	XP_033322576.1	XP_015189463.1
OG0001612	XP_033323072.1	XP_015190931.1, XP_015190929.1, XP_015190928.1
OG0001614	XP_033337936.1, XP_033337934.1	XP_015176267.1, XP_015176276.1
OG0001615	XP_033341753.1	XP_015182550.1
OG0001616	XP_033342748.1, XP_033342747.1	XP_015178045.1, XP_015178047.1
OG0001617	XP_033330712.1	XP_015190684.1
OG0001619	XP_033341836.1, XP_033341837.1, XP_033341835.1	XP_015190429.1
OG0001620	XP_033327573.1, XP_033327574.1, XP_033327571.1	XP_015188860.1
OG0001621	XP_033332724.1	XP_015190659.1
OG0001622	XP_033337476.1	XP_015186727.1, XP_015186728.1
OG0001623	XP_033332377.1	XP_015190034.1, XP_015190040.1
OG0001624	XP_033325167.1	XP_015176544.1
OG0001625	XP_033327626.1, XP_033327627.1	XP_015177101.1
OG0001626	XP_033330427.1	XP_015176231.1
OG0001627	XP_033322073.1	XP_015172961.1, XP_015172959.1, XP_015172958.1, XP_015172962.1
OG0001628	XP_033338104.1	XP_015171937.1
OG0001629	XP_033321365.1	XP_015172088.1
OG0001630	XP_033325738.1, XP_033325745.1	XP_015178835.1
OG0001631	XP_033342689.1	XP_015177368.1, XP_015177373.1
OG0001632	XP_033336063.1, XP_033336060.1, XP_033336062.1, XP_033336061.1	XP_015189426.1, XP_015189425.1
OG0001633	XP_033331985.1	XP_015182014.1
OG0001634	XP_033332462.1, XP_033332463.1	XP_015180733.1
