Orthogroup	Megalopta_genalis	Ceratina_calcarata
OG0001367	XP_033337104.1	XP_017879464.1
OG0001368	XP_033324217.1, XP_033324216.1	XP_017881299.1
OG0001369	XP_033328476.1	XP_017893611.1
OG0001371	XP_033343106.1	XP_017878765.1
OG0001372	XP_033333084.1	XP_017879762.1
OG0001373	XP_033334491.1	XP_017883954.1, XP_017883953.1, XP_017886223.1, XP_017883955.1
OG0001374	XP_033336465.1	XP_026673332.1, XP_017888065.2
OG0001375	XP_033332162.1	XP_017884465.1
OG0001375	XP_033332110.1	XP_017884481.1
OG0001376	XP_033321505.1	XP_017892499.1, XP_017892497.1
OG0001377	XP_033325219.1	XP_017877173.1
OG0001378	XP_033331868.1	XP_017887871.1
OG0001379	XP_033333766.1	XP_017893069.1
OG0001380	XP_033325963.1	XP_017875912.1
OG0001381	XP_033328703.1, XP_033328704.1	XP_017880799.1, XP_017880808.1, XP_026669592.1, XP_026669587.1, XP_017880791.1, XP_017880754.1, XP_026669588.1
OG0001382	XP_033340856.1	XP_026667542.1
OG0001383	XP_033327241.1, XP_033327238.1, XP_033327237.1, XP_033327240.1, XP_033327239.1	XP_017878984.1
OG0001384	XP_033335089.1, XP_033335090.1, XP_033335088.1	XP_017879068.1
OG0001385	XP_033324055.1	XP_017879493.1
OG0001386	XP_033332148.1	XP_017875382.1
OG0001387	XP_033323892.1	XP_017883516.1
OG0001388	XP_033334641.1	XP_017880362.1
OG0001389	XP_033329037.1	XP_026674453.1, XP_026675071.1
OG0001389	XP_033322441.1	XP_017892329.1
OG0001390	XP_033331230.1	XP_017887124.1
OG0001391	XP_033340978.1, XP_033340977.1	XP_017876528.1, XP_017876529.1
OG0001392	XP_033326235.1, XP_033326236.1, XP_033326228.1, XP_033326234.1	XP_017875693.1, XP_017875702.1
OG0001393	XP_033331823.1	XP_017879548.1
OG0001394	XP_033329639.1	XP_026674847.1
OG0001395	XP_033332210.1	XP_017877486.1
OG0001396	XP_033341459.1	XP_017887788.1, XP_026673200.1, XP_026673198.1, XP_026673199.1
OG0001397	XP_033321033.1	XP_017889289.1, XP_017889291.1
OG0001398	XP_033339038.1	XP_026672922.1, XP_017887263.1, XP_026672921.1
OG0001399	XP_033341554.1	XP_026673393.1
OG0001400	XP_033327368.1	XP_017883457.1
OG0001401	XP_033324988.1, XP_033324989.1, XP_033324990.1	XP_017889463.1, XP_017889465.1, XP_026673966.1
OG0001402	XP_033331427.1	XP_026667249.1
OG0001403	XP_033327869.1, XP_033327875.1	XP_026672021.1, XP_026672022.1
OG0001404	XP_033342345.1, XP_033342346.1	XP_017878479.1
OG0001405	XP_033338114.1	XP_017885433.1
OG0001406	XP_033323474.1, XP_033323476.1, XP_033323475.1	XP_017878387.1
OG0001407	XP_033340428.1, XP_033340427.1	XP_026673136.1, XP_017887725.1
OG0001409	XP_033322880.1	XP_017890921.1
OG0001410	XP_033326787.1	XP_017883413.1, XP_017883414.1, XP_026670994.1, XP_026670995.1, XP_026670996.1, XP_017883410.1, XP_017883406.1, XP_017883405.1, XP_017883401.1
OG0001412	XP_033335401.1	XP_026670137.1
OG0001412	XP_033335771.1	XP_017881765.1
OG0001413	XP_033333089.1	XP_017891083.1
OG0001414	XP_033323484.1, XP_033323485.1, XP_033323486.1	XP_017885076.1
OG0001415	XP_033340994.1	XP_017887419.1, XP_017887415.1
OG0001417	XP_033334848.1, XP_033334847.1, XP_033334846.1, XP_033334849.1	XP_017887492.1
OG0001418	XP_033331754.1, XP_033321453.1, XP_033335309.1, XP_033335471.1, XP_033335515.1, XP_033335510.1, XP_033335511.1, XP_033339328.1, XP_033335514.1, XP_033335512.1	XP_017885400.1
OG0001419	XP_033337007.1	XP_017882635.1, XP_026670647.1
OG0001421	XP_033323775.1, XP_033323776.1, XP_033323777.1, XP_033323784.1	XP_017892744.1, XP_017892743.1
OG0001422	XP_033328316.1	XP_017885854.1, XP_017885853.1, XP_026672326.1
OG0001423	XP_033328804.1	XP_026669133.1
OG0001424	XP_033342016.1	XP_017877030.1, XP_017877029.1, XP_017877033.1, XP_026667884.1, XP_017877034.1, XP_017877031.1
OG0001425	XP_033328615.1	XP_017875961.1
OG0001426	XP_033323404.1	XP_017887072.1, XP_017887075.1, XP_026672822.1, XP_017887071.1, XP_017887073.1, XP_017887074.1
OG0001427	XP_033341537.1	XP_017887786.1
OG0001428	XP_033324199.1	XP_017876422.1, XP_026667570.1, XP_017876425.1, XP_017876424.1, XP_017876423.1
OG0001429	XP_033333465.1	XP_017887819.1
OG0001430	XP_033341692.1	XP_017889757.1
OG0001432	XP_033332456.1	XP_017877191.1
OG0001433	XP_033321462.1, XP_033321471.1	XP_026670221.1, XP_017881880.1, XP_017887042.1
OG0001434	XP_033323565.1	XP_017889807.1
OG0001436	XP_033336290.1	XP_017875451.1, XP_026667144.1, XP_026667143.1, XP_017875452.1
OG0001437	XP_033335425.1	XP_017889324.1, XP_017889326.1, XP_017889327.1
OG0001438	XP_033322465.1, XP_033322466.1, XP_033322464.1	XP_017882586.1, XP_017882584.1, XP_017882585.1
OG0001440	XP_033331189.1, XP_033339930.1	XP_026669665.1, XP_026669663.1, XP_026669664.1, XP_017880753.1
OG0001441	XP_033337618.1, XP_033337623.1	XP_017877253.1, XP_017877251.1
OG0001442	XP_033334776.1, XP_033334777.1	XP_026669402.1, XP_017880297.1, XP_017880369.1
OG0001443	XP_033341889.1	XP_017876790.1
OG0001443	XP_033331998.1	XP_017893449.1, XP_017893448.1
OG0001444	XP_033322506.1	XP_026669184.1, XP_017879880.1
OG0001445	XP_033327764.1, XP_033327763.1	XP_017883167.1
OG0001446	XP_033325927.1	XP_026667209.1
OG0001448	XP_033338668.1, XP_033338667.1, XP_033338669.1	XP_026674245.1, XP_026674244.1, XP_017889974.1
OG0001449	XP_033332321.1, XP_033332323.1, XP_033332324.1, XP_033332320.1, XP_033332322.1	XP_017890385.1
OG0001450	XP_033330587.1, XP_033330584.1	XP_017882879.1, XP_017882880.1
OG0001451	XP_033335047.1, XP_033335046.1	XP_017888302.1, XP_017888301.1, XP_026673460.1
OG0001452	XP_033331391.1	XP_026669177.1, XP_026669869.1
OG0001453	XP_033331863.1	XP_017885844.1
OG0001455	XP_033337744.1	XP_017881514.1
OG0001457	XP_033339154.1, XP_033339155.1, XP_033339156.1, XP_033339194.1, XP_033339193.1, XP_033324163.1	XP_017880034.1
OG0001458	XP_033330895.1, XP_033330893.1, XP_033330892.1	XP_017884582.1
OG0001459	XP_033329392.1	XP_026675395.1
OG0001460	XP_033330576.1	XP_026671393.1, XP_017884092.1
OG0001461	XP_033328146.1	XP_017890699.1
OG0001462	XP_033331097.1	XP_017887335.1
OG0001463	XP_033333161.1	XP_026672318.1
OG0001464	XP_033320813.1, XP_033320810.1	XP_017880281.1
OG0001466	XP_033321041.1	XP_017888947.1, XP_017888948.1
OG0001468	XP_033331781.1	XP_017883650.1, XP_017883649.1
OG0001469	XP_033342476.1	XP_017882156.1
OG0001470	XP_033322494.1	XP_026670189.1
OG0001471	XP_033341583.1	XP_017877509.1
OG0001472	XP_033321728.1	XP_017880836.2
OG0001472	XP_033331242.1	XP_017882420.1
OG0001473	XP_033341943.1	XP_017879270.1
OG0001474	XP_033325626.1, XP_033325489.1	XP_017882124.1
OG0001475	XP_033341141.1	XP_026667272.1, XP_026667270.1, XP_017875766.1
OG0001476	XP_033338396.1, XP_033338397.1, XP_033338392.1, XP_033338393.1, XP_033338394.1, XP_033338395.1	XP_017880175.1
OG0001477	XP_033326073.1	XP_017882175.1
OG0001478	XP_033331825.1	XP_017884388.1
OG0001479	XP_033342437.1	XP_017887456.1
OG0001480	XP_033329780.1, XP_033329779.1, XP_033329778.1	XP_017891707.1
OG0001481	XP_033332968.1	XP_017879500.1
OG0001482	XP_033338834.1	XP_017883654.1, XP_026671100.1
OG0001483	XP_033325302.1	XP_017885452.1
OG0001484	XP_033330946.1	XP_017884916.1
OG0001486	XP_033335135.1, XP_033335134.1	XP_026672451.1, XP_026672454.1
OG0001487	XP_033325758.1	XP_017876635.1
OG0001488	XP_033320795.1	XP_017892990.2
OG0001488	XP_033320789.1	XP_026666533.1
OG0001489	XP_033322429.1	XP_017886494.1
OG0001490	XP_033337133.1	XP_017879617.1
OG0001491	XP_033336606.1, XP_033336604.1, XP_033336605.1, XP_033336602.1, XP_033336603.1	XP_017875538.1
OG0001492	XP_033338934.1	XP_017893678.1, XP_026666881.1
OG0001494	XP_033338609.1	XP_017880160.1
OG0001495	XP_033327149.1	XP_017882031.1
OG0001496	XP_033332258.1, XP_033332257.1, XP_033332260.1, XP_033332256.1	XP_017891409.1
OG0001497	XP_033335024.1	XP_017877619.1
OG0001498	XP_033323594.1	XP_017881140.1
OG0001499	XP_033330091.1	XP_017880154.1
OG0001499	XP_033333713.1	XP_017878329.1
OG0001500	XP_033321201.1	XP_026667478.1
OG0001502	XP_033328439.1	XP_017882984.1
OG0001503	XP_033334874.1	XP_017879970.1
OG0001504	XP_033321622.1	XP_017887359.1
OG0001505	XP_033328209.1	XP_017883156.1, XP_026670874.1
OG0001506	XP_033338306.1, XP_033338305.1, XP_033338304.1	XP_017882579.1
OG0001507	XP_033324712.1	XP_017889498.1
OG0001508	XP_033333852.1	XP_026675341.1
OG0001509	XP_033327415.1	XP_017888843.1
OG0001510	XP_033334830.1	XP_017879018.1
OG0001510	XP_033342219.1	XP_017892889.1
OG0001511	XP_033340665.1, XP_033340894.1, XP_033340664.1, XP_033340663.1, XP_033340660.1	XP_017885232.1
OG0001512	XP_033327405.1	XP_026673003.1
OG0001513	XP_033331658.1, XP_033331659.1, XP_033331657.1	XP_017884443.1
OG0001514	XP_033341747.1	XP_026674694.1
OG0001515	XP_033331960.1	XP_017893465.1, XP_017893493.1, XP_017893475.1, XP_017893483.1
OG0001516	XP_033339005.1	XP_026667281.1, XP_026667280.1, XP_017875828.1, XP_026667282.1
OG0001517	XP_033324412.1	XP_017886742.1
OG0001518	XP_033333447.1, XP_033333446.1	XP_026670093.1, XP_017881638.1
OG0001519	XP_033335127.1	XP_017886273.1
OG0001520	XP_033341995.1	XP_026668954.1
OG0001522	XP_033327915.1	XP_017886164.1
OG0001523	XP_033324854.1	XP_026668411.1, XP_026668410.1, XP_017878159.1
OG0001524	XP_033323194.1, XP_033323193.1, XP_033323192.1	XP_017875282.1
OG0001525	XP_033341568.1	XP_017889808.1, XP_017889806.1
OG0001526	XP_033327852.1	XP_026672942.1
OG0001527	XP_033339255.1, XP_033339256.1	XP_017881373.1
OG0001529	XP_033321653.1	XP_026672466.1, XP_026672474.1, XP_026672478.1, XP_026672488.1, XP_026672486.1, XP_017885398.1, XP_026672468.1
OG0001530	XP_033328918.1, XP_033328917.1, XP_033328919.1	XP_017889183.1
OG0001531	XP_033334035.1, XP_033334034.1	XP_017879505.1
OG0001532	XP_033329479.1	XP_026673838.1
OG0001532	XP_033329480.1	XP_017884610.1
OG0001533	XP_033322269.1, XP_033322277.1	XP_017892515.1, XP_017892516.1, XP_017892517.1, XP_026675396.1, XP_026675397.1
OG0001534	XP_033332433.1	XP_017880208.1, XP_017885096.2
OG0001535	XP_033338217.1, XP_033338218.1	XP_026675097.1, XP_017891037.1
OG0001537	XP_033331322.1, XP_033331319.1	XP_017882609.1, XP_017882610.1
OG0001538	XP_033331672.1	XP_017886236.1
OG0001539	XP_033339323.1	XP_026674421.1, XP_026674420.1
OG0001540	XP_033341234.1	XP_017889014.1
OG0001541	XP_033340318.1	XP_026675415.1, XP_017892553.1
OG0001542	XP_033333820.1	XP_026668701.1, XP_017878786.1
OG0001543	XP_033324404.1, XP_033324402.1	XP_026669849.1
OG0001545	XP_033331183.1	XP_026670107.1, XP_026675304.1, XP_026672402.1, XP_026674393.1, XP_017879402.2, XP_026672688.1
OG0001546	XP_033337144.1, XP_033337143.1	XP_017891805.1
OG0001547	XP_033325188.1	XP_026673903.1
OG0001548	XP_033323260.1	XP_017887079.1
OG0001549	XP_033333515.1	XP_017888159.1
OG0001550	XP_033335370.1, XP_033335371.1, XP_033335372.1, XP_033335373.1, XP_033335362.1, XP_033335369.1, XP_033335363.1, XP_033335364.1, XP_033335366.1, XP_033335367.1, XP_033335368.1	XP_017892140.2, XP_026674767.1, XP_017887182.1
OG0001551	XP_033332177.1	XP_017884371.2
OG0001552	XP_033331975.1	XP_026671455.1, XP_017884355.1
OG0001553	XP_033321525.1	XP_017884263.1, XP_017884262.1
OG0001554	XP_033335487.1, XP_033335482.1	XP_017888433.1, XP_026673527.1
OG0001555	XP_033325608.1, XP_033325605.1, XP_033325607.1, XP_033325606.1, XP_033325609.1	XP_017875845.1, XP_017875846.1
OG0001556	XP_033330110.1	XP_017893482.1
OG0001557	XP_033334702.1	XP_017877629.1
OG0001558	XP_033337704.1, XP_033337702.1, XP_033337703.1	XP_017878085.1
OG0001559	XP_033332966.1	XP_017877587.1, XP_017877585.1, XP_017877586.1, XP_026668180.1
OG0001561	XP_033339970.1, XP_033339969.1, XP_033339972.1	XP_017889717.1
OG0001562	XP_033328357.1	XP_026669458.1, XP_017880457.2
OG0001563	XP_033341462.1	XP_026673959.1, XP_026673955.1
OG0001565	XP_033325424.1	XP_017882130.1
OG0001567	XP_033326103.1, XP_033326100.1	XP_017882680.1
OG0001567	XP_033326106.1	XP_017882684.1
OG0001568	XP_033328178.1, XP_033328180.1	XP_026671175.1
OG0001569	XP_033336286.1, XP_033336285.1, XP_033336287.1, XP_033336289.1, XP_033336288.1	XP_017875431.1
OG0001570	XP_033322655.1, XP_033322657.1, XP_033322656.1	XP_017875150.1, XP_017875152.1, XP_017875151.1, XP_017885804.1
OG0001571	XP_033328364.1	XP_017890463.1
OG0001572	XP_033339468.1	XP_017879452.1
OG0001573	XP_033328803.1	XP_017892741.1
OG0001574	XP_033330239.1	XP_017886184.1
OG0001575	XP_033323472.1	XP_026666896.1
OG0001576	XP_033323118.1	XP_026667012.1
OG0001577	XP_033329340.1	XP_017885615.1, XP_026672158.1, XP_017885614.1
OG0001578	XP_033329773.1	XP_017882735.2, XP_026668736.1, XP_026668737.1, XP_017878774.1, XP_026668735.1
OG0001579	XP_033340592.1	XP_017876530.2
OG0001580	XP_033337604.1, XP_033337605.1	XP_017888347.1, XP_017888344.1
OG0001581	XP_033339616.1, XP_033339615.1	XP_026670294.1
OG0001582	XP_033323093.1	XP_026669615.1, XP_017880629.1, XP_017880628.1
OG0001583	XP_033324983.1, XP_033324986.1, XP_033324985.1, XP_033324982.1	XP_026673971.1
OG0001584	XP_033328517.1, XP_033328521.1	XP_017889139.1
OG0001585	XP_033331088.1	XP_017892996.1
OG0001585	XP_033331092.1, XP_033331093.1	XP_017893043.1
OG0001586	XP_033341972.1	XP_017879262.1, XP_017879261.1
OG0001587	XP_033333475.1	XP_017892383.1
OG0001588	XP_033335121.1, XP_033335117.1	XP_017881662.1
OG0001592	XP_033326588.1, XP_033325215.1, XP_033325214.1	XP_026674315.1
OG0001593	XP_033320857.1	XP_017889870.1
OG0001594	XP_033322653.1, XP_033322654.1	XP_026671535.1, XP_026671711.1
OG0001595	XP_033340635.1, XP_033340636.1	XP_017881535.1, XP_017881534.1
OG0001596	XP_033337111.1	XP_026672205.1, XP_026672211.1, XP_026672207.1, XP_026672206.1, XP_026672209.1, XP_017885740.1, XP_026672208.1, XP_026672210.1
OG0001598	XP_033336974.1	XP_017881745.1
OG0001599	XP_033323629.1	XP_017879217.1
OG0001600	XP_033339991.1, XP_033339992.1, XP_033339990.1	XP_026670083.1, XP_026670084.1, XP_017881650.1, XP_026670085.1
OG0001602	XP_033328041.1	XP_026674281.1
OG0001603	XP_033330414.1, XP_033330422.1, XP_033330429.1	XP_026667519.1
OG0001605	XP_033338293.1	XP_026673228.1
OG0001606	XP_033338831.1	XP_017888687.1
OG0001607	XP_033336917.1	XP_026675048.1, XP_017891714.1, XP_017891715.1, XP_017891716.1
OG0001608	XP_033334922.1	XP_017881106.1, XP_017881107.1, XP_017881105.1
OG0001609	XP_033338735.1	XP_017883252.1, XP_026671014.1
OG0001611	XP_033322576.1	XP_017880232.1
OG0001612	XP_033323072.1	XP_017881044.1, XP_017881043.1, XP_026669801.1, XP_026669802.1
OG0001613	XP_033330628.1	XP_026667518.1, XP_017879680.1, XP_017877003.1, XP_017877439.1
OG0001614	XP_033337936.1, XP_033337934.1	XP_017883388.1
OG0001615	XP_033341753.1	XP_026674697.1, XP_017890960.1
OG0001616	XP_033342748.1, XP_033342747.1	XP_017876471.1, XP_017876481.1
OG0001617	XP_033330712.1	XP_017876865.1
OG0001619	XP_033341836.1, XP_033341837.1, XP_033341835.1	XP_017874994.1, XP_017874993.1
OG0001620	XP_033327573.1, XP_033327574.1, XP_033327571.1	XP_026673662.1
OG0001621	XP_033332724.1	XP_026672226.1, XP_026672225.1, XP_017885786.1, XP_017885787.1, XP_017885788.1, XP_017885790.1
OG0001622	XP_033337476.1	XP_026675335.1
OG0001623	XP_033332377.1	XP_017877969.1
OG0001624	XP_033325167.1	XP_017880405.1
OG0001625	XP_033327626.1, XP_033327627.1	XP_017893078.1
OG0001626	XP_033330427.1	XP_017875692.1
OG0001627	XP_033322073.1	XP_017880923.1
OG0001628	XP_033338104.1	XP_017889213.2, XP_026666872.1
OG0001629	XP_033321365.1	XP_017888381.1, XP_017879817.1
OG0001631	XP_033342689.1	XP_017879946.1
OG0001632	XP_033336063.1, XP_033336060.1, XP_033336062.1, XP_033336061.1	XP_017884911.1
OG0001633	XP_033331985.1	XP_017893400.1
OG0001634	XP_033332462.1, XP_033332463.1	XP_017890676.1
OG0001635	XP_033332548.1, XP_033332549.1	XP_017886906.1
OG0001637	XP_033340713.1	XP_017886568.1
OG0001638	XP_033321532.1	XP_017882539.1
OG0001639	XP_033335751.1	XP_017884733.1
OG0001640	XP_033331048.1	XP_017875145.1
OG0001641	XP_033337119.1	XP_017891802.1
OG0001643	XP_033335649.1	XP_017884457.1
OG0001644	XP_033330310.1	XP_026667469.1
OG0001645	XP_033327269.1, XP_033327268.1	XP_017880045.1, XP_026669289.1, XP_026669290.1
OG0001646	XP_033333828.1	XP_026668720.1, XP_017878838.1, XP_017878836.1, XP_017878835.1
OG0001647	XP_033330811.1	XP_026674619.1
OG0001648	XP_033341546.1	XP_017875340.1
OG0001649	XP_033321164.1	XP_017881323.1
OG0001650	XP_033333007.1	XP_026675245.1
OG0001651	XP_033342552.1	XP_026667616.1, XP_026667603.1
OG0001652	XP_033329488.1	XP_017892220.1
OG0001653	XP_033330393.1	XP_017883279.1
OG0001654	XP_033335314.1	XP_017888603.1
OG0001655	XP_033328947.1	XP_017892397.1
OG0001656	XP_033325688.1	XP_017891121.1
OG0001657	XP_033340678.1, XP_033340677.1	XP_026672283.1, XP_017886007.1
OG0001658	XP_033337091.1	XP_017878018.1
OG0001659	XP_033324801.1	XP_017889582.1
OG0001660	XP_033320807.1	XP_017893028.1
OG0001661	XP_033320894.1	XP_026670628.1
OG0001663	XP_033325545.1, XP_033325546.1, XP_033325543.1, XP_033325547.1, XP_033325548.1	XP_017876718.1, XP_017876719.1
OG0001664	XP_033324394.1	XP_017883594.1, XP_017883592.1
OG0001665	XP_033342879.1	XP_017878558.1
OG0001666	XP_033332593.1, XP_033332594.1, XP_033332595.1	XP_017883967.1
OG0001667	XP_033327987.1	XP_017879513.1, XP_026669075.1
OG0001668	XP_033322995.1, XP_033322996.1, XP_033322994.1	XP_017882678.1, XP_026670676.1
OG0001669	XP_033336705.1	XP_017878986.1, XP_017878989.1
OG0001670	XP_033322617.1, XP_033322616.1	XP_017875801.1
OG0001671	XP_033320978.1	XP_017882254.1
OG0001672	XP_033321312.1	XP_026673491.1, XP_017888448.1
OG0001673	XP_033341305.1	XP_017891424.1
OG0001673	XP_033323992.1, XP_033327288.1	XP_017891429.1
OG0001674	XP_033328606.1, XP_033328605.1	XP_017888194.1
OG0001675	XP_033335980.1	XP_017884842.1
OG0001676	XP_033331076.1	XP_017885189.1, XP_017885190.1
OG0001677	XP_033329150.1	XP_026671202.1
OG0001678	XP_033330208.1	XP_026673248.1, XP_026673247.1, XP_017887877.1
OG0001679	XP_033342295.1, XP_033342294.1, XP_033342296.1	XP_026673450.1
OG0001680	XP_033338623.1	XP_017880192.1
OG0001681	XP_033332236.1	XP_026668087.1
OG0001682	XP_033327515.1, XP_033327533.1	XP_017880907.1
OG0001683	XP_033329603.1, XP_033329604.1	XP_017885079.1
OG0001684	XP_033341680.1	XP_017891459.2
OG0001685	XP_033338267.1	XP_017882422.2
OG0001686	XP_033342792.1	XP_017878346.1
OG0001687	XP_033323437.1	XP_026672887.1, XP_026672817.1
OG0001688	XP_033336256.1	XP_017877565.1, XP_017877567.1, XP_026668167.1, XP_026668168.1, XP_017877564.1
OG0001689	XP_033334832.1	XP_017888563.1
OG0001690	XP_033335859.1, XP_033335857.1	XP_017884563.1, XP_017884565.1
OG0001691	XP_033324459.1	XP_026671374.1, XP_017884155.1
OG0001692	XP_033338547.1, XP_033339979.1	XP_026675558.1
OG0001693	XP_033334042.1	XP_017875666.1
OG0001694	XP_033322137.1	XP_026672387.1, XP_026672388.1, XP_017886053.1
OG0001695	XP_033324788.1	XP_017889583.1
OG0001696	XP_033328992.1	XP_026667052.1
OG0001697	XP_033320906.1, XP_033320897.1	XP_017889914.1, XP_026674031.1, XP_026674032.1
OG0001699	XP_033329273.1, XP_033329278.1, XP_033329277.1, XP_033329275.1, XP_033329274.1	XP_017887230.1
OG0001700	XP_033330580.1, XP_033330582.1	XP_017882876.1, XP_026670779.1, XP_026670780.1
OG0001703	XP_033322886.1	XP_026674679.1
OG0001704	XP_033340004.1	XP_017888495.1, XP_017888494.1, XP_026673516.1, XP_026673517.1, XP_017888497.1, XP_017888496.1
OG0001706	XP_033339728.1	XP_017884418.1
OG0001707	XP_033332633.1	XP_017876145.1
OG0001708	XP_033329224.1, XP_033329226.1	XP_017883231.1
OG0001709	XP_033321919.1	XP_026672855.1, XP_026672844.1
OG0001710	XP_033321579.1	XP_017890623.2
OG0001711	XP_033336914.1	XP_017891682.1
OG0001712	XP_033333873.1, XP_033333908.1	XP_017876930.1
OG0001713	XP_033339348.1	XP_017879776.1
OG0001714	XP_033341279.1	XP_017875604.2
OG0001715	XP_033333962.1	XP_017886030.1
OG0001717	XP_033333786.1	XP_017878801.1
OG0001718	XP_033328315.1	XP_017893125.1
OG0001719	XP_033325254.1	XP_017875778.1
OG0001720	XP_033332755.1	XP_026668016.1, XP_017877352.1, XP_017877351.1
OG0001721	XP_033326442.1	XP_017893357.1
OG0001722	XP_033334018.1	XP_017879558.1
OG0001723	XP_033341640.1	XP_017889630.1, XP_026674230.1
OG0001724	XP_033328109.1	XP_017890174.1, XP_017890173.1
OG0001725	XP_033335517.1	XP_017883704.1
OG0001727	XP_033320981.1	XP_017881968.1
OG0001728	XP_033335316.1, XP_033335330.1	XP_026672112.1, XP_017888366.1, XP_026670200.1
OG0001729	XP_033325478.1	XP_017882117.1
OG0001730	XP_033336961.1, XP_033336973.1	XP_026670129.1
OG0001731	XP_033321051.1, XP_033321053.1	XP_017886957.1, XP_026672777.1
OG0001732	XP_033337160.1, XP_033337161.1, XP_033337158.1	XP_017891303.1
OG0001733	XP_033333659.1, XP_033333651.1	XP_017876967.1
OG0001734	XP_033328701.1	XP_017880438.1
OG0001735	XP_033342086.1, XP_033342085.1	XP_026668983.1, XP_017879315.1
OG0001736	XP_033329850.1	XP_026667205.1
OG0001737	XP_033330439.1	XP_017876323.1
OG0001738	XP_033334409.1	XP_017892670.1
OG0001739	XP_033331725.1, XP_033339903.1, XP_033331565.1	XP_026671212.1, XP_026667186.1, XP_017875591.1, XP_017883889.1, XP_017883890.1
OG0001740	XP_033331453.1	XP_017891938.1
OG0001741	XP_033334407.1, XP_033334406.1	XP_017892669.1
OG0001742	XP_033339438.1	XP_026675013.1
OG0001743	XP_033330230.1	XP_017891851.1, XP_026675172.1
OG0001744	XP_033322295.1	XP_026668408.1, XP_017878130.1
OG0001745	XP_033342401.1	XP_017881314.1, XP_017881315.1, XP_017881316.1, XP_017881317.1
OG0001746	XP_033324433.1	XP_017884117.1
OG0001747	XP_033342101.1	XP_017888647.2, XP_017888646.2
OG0001748	XP_033341803.1, XP_033341822.1	XP_017879238.1, XP_017879221.1
OG0001749	XP_033340152.1	XP_026673755.1, XP_026673765.1
OG0001750	XP_033333620.1, XP_033333619.1	XP_017892823.1, XP_017892824.1
OG0001751	XP_033341955.1	XP_026674532.1, XP_026674542.1, XP_017889998.1, XP_017889988.1
OG0001752	XP_033323998.1	XP_017885918.1
OG0001753	XP_033340758.1	XP_017891501.1
OG0001754	XP_033328816.1, XP_033328817.1	XP_026669134.1
OG0001755	XP_033339158.1	XP_017890270.1
OG0001756	XP_033330164.1	XP_026673089.1
OG0001757	XP_033331548.1	XP_026672195.1
OG0001758	XP_033337238.1	XP_017876414.1, XP_026667557.1, XP_017876411.1, XP_017876412.1, XP_017876413.1, XP_017876410.1
OG0001759	XP_033321524.1	XP_017890733.1
OG0001760	XP_033337146.1	XP_017887562.1
OG0001762	XP_033340719.1, XP_033340721.1, XP_033340722.1, XP_033340723.1, XP_033340720.1	XP_017876531.1
OG0001763	XP_033342962.1, XP_033342960.1, XP_033342961.1	XP_017878480.1
OG0001764	XP_033324121.1	XP_017883005.2
OG0001765	XP_033335227.1	XP_017888025.1, XP_017883317.1
OG0001766	XP_033342642.1	XP_017887354.1, XP_017887352.1, XP_017887351.1
OG0001767	XP_033324255.1, XP_033324254.1	XP_017879592.1
OG0001768	XP_033340879.1	XP_026670407.1
OG0001769	XP_033330762.1, XP_033330635.1	XP_026667520.1
OG0001770	XP_033340388.1, XP_033340387.1	XP_017887718.1
OG0001771	XP_033323850.1, XP_033323851.1, XP_033323852.1, XP_033323853.1, XP_033323849.1, XP_033323848.1	XP_017883067.1
OG0001772	XP_033340739.1, XP_033340738.1, XP_033340737.1	XP_017891863.1
OG0001773	XP_033339488.1, XP_033339849.1, XP_033332459.1	XP_017876882.1, XP_017876883.1
OG0001773	XP_033330976.1	XP_026671953.1
OG0001774	XP_033331574.1, XP_033333645.1	XP_026671015.1
OG0001775	XP_033339835.1, XP_033338545.1	XP_017885677.1
OG0001776	XP_033327937.1	XP_017887967.1
OG0001777	XP_033331520.1, XP_033331423.1	XP_017875660.1, XP_017875659.1
OG0001778	XP_033325625.1	XP_026674325.1
OG0001779	XP_033331694.1	XP_017876550.1
OG0001780	XP_033336217.1	XP_026671882.1, XP_017884824.1
OG0001781	XP_033333357.1	XP_017876214.2
OG0001782	XP_033340424.1, XP_033340425.1, XP_033340426.1, XP_033340421.1, XP_033340422.1, XP_033340423.1	XP_017880456.1
OG0001783	XP_033340312.1	XP_017887554.1
OG0001784	XP_033337484.1	XP_017886950.1
OG0001785	XP_033332190.1, XP_033332191.1	XP_017877910.1
OG0001786	XP_033340093.1	XP_017886515.1
OG0001787	XP_033325473.1, XP_033325474.1	XP_017883925.1
OG0001788	XP_033328800.1, XP_033328801.1, XP_033328799.1	XP_017879798.1, XP_017888608.1
OG0001789	XP_033339270.1	XP_017890156.1, XP_017890155.1
OG0001790	XP_033340405.1	XP_017891487.1
OG0001791	XP_033321506.1	XP_026675103.1, XP_017890893.1
OG0001792	XP_033335272.1, XP_033335274.1	XP_017879902.1
OG0001793	XP_033322777.1, XP_033322778.1, XP_033322775.1, XP_033322776.1, XP_033322779.1	XP_017893036.1
OG0001794	XP_033338249.1	XP_026675104.1
OG0001794	XP_033338250.1	XP_026675098.1
OG0001795	XP_033328261.1	XP_017890067.1
OG0001796	XP_033339909.1, XP_033326366.1	XP_026672728.1
OG0001797	XP_033321346.1	XP_017879490.1
OG0001799	XP_033336893.1	XP_017878056.1
