Orthogroup	Megalopta_genalis	Tribolium_castaneum
OG0001604	XP_033332928.1, XP_033332924.1	XP_008200661.1, XP_967231.3
OG0001605	XP_033338293.1	XP_008201547.1, XP_015840720.1
OG0001606	XP_033338831.1	XP_973145.3, XP_015834931.1, XP_008192087.1, XP_008192090.1, XP_008192091.1, XP_008192086.1, XP_015834933.1
OG0001607	XP_033336917.1	XP_976004.1, XP_008198242.1
OG0001608	XP_033334922.1	XP_972286.1
OG0001609	XP_033338735.1	XP_008199066.2
OG0001612	XP_033323072.1	XP_008200626.1, XP_008200627.1
OG0001614	XP_033337936.1, XP_033337934.1	XP_008194443.1, NP_001139415.1
OG0001615	XP_033341753.1	XP_967910.1
OG0001616	XP_033342748.1, XP_033342747.1	XP_967918.1, XP_015837909.1
OG0001617	XP_033330712.1	XP_973076.1
OG0001619	XP_033341836.1, XP_033341837.1, XP_033341835.1	XP_968073.1
OG0001620	XP_033327573.1, XP_033327574.1, XP_033327571.1	XP_967558.1
OG0001621	XP_033332724.1	XP_008194243.1
OG0001622	XP_033337476.1	XP_008194474.1, XP_001811901.2
OG0001623	XP_033332377.1	XP_974776.1, XP_974759.1
OG0001624	XP_033325167.1	NP_001153783.1
OG0001625	XP_033327626.1, XP_033327627.1	XP_973818.1
OG0001626	XP_033330427.1	XP_967659.3
OG0001627	XP_033322073.1	XP_008198503.1
OG0001628	XP_033338104.1	XP_015840508.1
OG0001629	XP_033321365.1	XP_968147.1, XP_008195384.1
OG0001630	XP_033325738.1, XP_033325745.1	XP_967133.1, XP_008193096.2
OG0001631	XP_033342689.1	XP_008198296.1, XP_008198297.1
OG0001632	XP_033336063.1, XP_033336060.1, XP_033336062.1, XP_033336061.1	XP_008198970.1
OG0001633	XP_033331985.1	XP_008195201.1
OG0001634	XP_033332462.1, XP_033332463.1	XP_008190427.1
OG0001635	XP_033332548.1, XP_033332549.1	XP_972058.1
OG0001637	XP_033340713.1	XP_968378.1
OG0001638	XP_033321532.1	XP_974870.1
OG0001639	XP_033335751.1	XP_008190658.1, XP_969463.1
OG0001640	XP_033331048.1	XP_968671.1, XP_968743.1
OG0001641	XP_033337119.1	NP_001161257.1
OG0001643	XP_033335649.1	XP_015838711.1, XP_008197729.1, XP_015838712.1
OG0001645	XP_033327269.1, XP_033327268.1	XP_968472.1
OG0001646	XP_033333828.1	XP_015836692.1
OG0001647	XP_033330811.1	XP_008196907.1
OG0001648	XP_033341546.1	XP_970811.3
OG0001649	XP_033321164.1	XP_968588.1
OG0001650	XP_033333007.1	XP_008196718.1
OG0001651	XP_033342552.1	XP_008201666.1
OG0001652	XP_033329489.1, XP_033329488.1	XP_008201098.1
OG0001653	XP_033330393.1	XP_969495.1
OG0001655	XP_033328947.1	XP_968200.2
OG0001656	XP_033325688.1	XP_966649.1
OG0001657	XP_033340678.1, XP_033340677.1	XP_972931.1
OG0001658	XP_033337091.1	XP_008194959.1
OG0001659	XP_033324801.1	XP_008200384.1
OG0001660	XP_033320807.1	XP_975550.1
OG0001661	XP_033320894.1	XP_008198980.1
OG0001662	XP_033322366.1	XP_015838476.1
OG0001663	XP_033325545.1, XP_033325546.1, XP_033325543.1, XP_033325547.1, XP_033325548.1	XP_008195710.1
OG0001664	XP_033324394.1	NP_001135406.1, XP_015836766.1
OG0001665	XP_033342879.1	XP_008200528.1
OG0001666	XP_033332593.1, XP_033332594.1, XP_033332595.1	XP_966660.1
OG0001667	XP_033327987.1	XP_970532.1
OG0001668	XP_033322995.1, XP_033322996.1, XP_033322994.1	XP_015837252.1
OG0001669	XP_033336705.1	XP_969894.1, XP_008190493.1, XP_008190492.1
OG0001670	XP_033322617.1, XP_033322616.1	XP_015840620.1
OG0001671	XP_033320982.1, XP_033320978.1	XP_008191116.1
OG0001672	XP_033321312.1	XP_972180.1
OG0001673	XP_033341305.1, XP_033323992.1, XP_033327288.1	XP_015836576.1
OG0001674	XP_033328606.1, XP_033328605.1	XP_008200693.1
OG0001675	XP_033335980.1	XP_973975.1
OG0001676	XP_033331076.1	XP_008193502.1
OG0001677	XP_033329150.1	XP_970641.1
OG0001678	XP_033330208.1	XP_974956.1, XP_015833321.1
OG0001679	XP_033342295.1, XP_033342294.1, XP_033342296.1	XP_975143.1
OG0001680	XP_033338623.1	XP_015838153.1
OG0001681	XP_033332236.1	XP_971049.1
OG0001682	XP_033327515.1, XP_033327533.1	XP_015839568.1, XP_008199877.1
OG0001683	XP_033329603.1, XP_033329604.1	XP_975042.1
OG0001684	XP_033341680.1	XP_015838963.1, XP_015839133.1, XP_015839136.1
OG0001685	XP_033338267.1	XP_008196454.1, XP_972983.2
OG0001686	XP_033342792.1	XP_008190435.1, XP_008190436.1
OG0001687	XP_033323437.1	XP_008194075.1, XP_015836165.1
OG0001688	XP_033336256.1	NP_001280530.1
OG0001689	XP_033334832.1	XP_015836120.1
OG0001690	XP_033335859.1, XP_033335857.1	XP_008194929.1
OG0001691	XP_033324459.1	XP_969223.1
OG0001692	XP_033338547.1, XP_033339979.1	XP_015836122.1, XP_015836121.1
OG0001693	XP_033334042.1	XP_008200041.1
OG0001694	XP_033322137.1	XP_008196858.1
OG0001695	XP_033324788.1	XP_008194025.1
OG0001696	XP_033328992.1	XP_008199058.1
OG0001697	XP_033320906.1, XP_033320897.1	XP_966430.2
OG0001699	XP_033329273.1, XP_033329278.1, XP_033329277.1, XP_033329275.1, XP_033329274.1	XP_966756.1
OG0001700	XP_033330580.1, XP_033330582.1	XP_008198754.1
OG0001703	XP_033322886.1	XP_973910.1
OG0001704	XP_033340004.1	XP_015839476.1
OG0001707	XP_033332633.1	XP_972022.1
OG0001708	XP_033329224.1, XP_033329226.1	XP_971764.2, XP_015838804.1
OG0001709	XP_033321919.1	XP_015835409.1
OG0001710	XP_033321579.1	XP_015836909.1
OG0001711	XP_033336914.1	XP_008197982.1, XP_015838980.1, XP_969573.1
OG0001712	XP_033333873.1, XP_033333908.1	XP_008191120.1, XP_015839938.1
OG0001713	XP_033339348.1	XP_008192792.1, XP_008192793.1
OG0001714	XP_033341277.1, XP_033341279.1	XP_968879.1
OG0001715	XP_033333962.1	XP_972976.2
OG0001717	XP_033333786.1	XP_970328.1
OG0001718	XP_033328315.1	XP_973987.1, XP_008190931.1
OG0001719	XP_033325254.1	XP_969295.1
OG0001720	XP_033332755.1	XP_008195419.1
OG0001721	XP_033326442.1	XP_971909.2, XP_001813448.1
OG0001722	XP_033334018.1	XP_015837216.1, XP_008199610.1
OG0001723	XP_033341640.1	XP_008193918.1
OG0001724	XP_033328109.1	XP_974615.1
OG0001725	XP_033335517.1	XP_971172.2
OG0001728	XP_033335316.1, XP_033335330.1	XP_015836419.1
OG0001729	XP_033325478.1	XP_015840335.1, XP_015833348.1
OG0001730	XP_033336961.1, XP_033336973.1	XP_015833482.1
OG0001731	XP_033321051.1, XP_033321053.1	XP_008191795.1, XP_970721.2
OG0001732	XP_033337160.1, XP_033337161.1, XP_033337158.1	XP_973118.1
OG0001733	XP_033333659.1, XP_033333651.1	XP_015835945.1
OG0001734	XP_033328701.1	XP_972923.1
OG0001735	XP_033342086.1, XP_033342085.1	XP_001814509.1
OG0001737	XP_033330439.1	XP_967723.2
OG0001738	XP_033334409.1	XP_015835145.1, XP_008200248.1, XP_001813427.1
OG0001739	XP_033331725.1, XP_033339903.1, XP_033331565.1	XP_968592.2
OG0001740	XP_033331453.1	XP_008193605.1, XP_008199012.1
OG0001742	XP_033339438.1	XP_015840747.1, XP_015840743.1
OG0001743	XP_033330230.1	XP_967142.1, XP_008197750.1, XP_008197749.1
OG0001744	XP_033322295.1, XP_033322296.1	XP_015838667.1, XP_008197600.1
OG0001745	XP_033342401.1	XP_008201469.1
OG0001746	XP_033324433.1	XP_968256.1, XP_008201143.1
OG0001748	XP_033341803.1, XP_033341822.1	XP_015836622.1, XP_015836619.1
OG0001749	XP_033340152.1, XP_033340159.1	XP_008193533.1
OG0001750	XP_033333620.1, XP_033333619.1	XP_970242.1, XP_008192912.1
OG0001751	XP_033341955.1	XP_969871.2
OG0001752	XP_033323998.1	XP_008198887.1, XP_001815490.2, XP_008192875.1, XP_008192876.1, XP_015834712.1, XP_015834710.1, XP_008192879.1
OG0001753	XP_033340758.1	XP_969955.1
OG0001756	XP_033330164.1	XP_968859.1, XP_015840285.1
OG0001757	XP_033331548.1	NP_001161929.1, NP_001161926.1
OG0001758	XP_033337238.1	XP_971002.1
OG0001759	XP_033321524.1	XP_966423.1
OG0001760	XP_033337146.1	XP_966763.1
OG0001762	XP_033340719.1, XP_033340721.1, XP_033340722.1, XP_033340723.1, XP_033340720.1	XP_008194069.1
OG0001763	XP_033342962.1, XP_033342960.1, XP_033342961.1	XP_008191831.1, XP_973224.1
OG0001764	XP_033324121.1	XP_008199965.1, XP_968569.3, XP_968643.1, XP_015837277.1, XP_015837276.1, XP_015837278.1, XP_975752.1
OG0001766	XP_033342642.1	XP_008201079.1, XP_008201080.1
OG0001767	XP_033324255.1, XP_033324254.1	XP_008193134.1, XP_015835802.1, XP_008193901.1
OG0001768	XP_033340879.1	XP_015834861.1
OG0001769	XP_033330762.1, XP_033330635.1	XP_008192898.1, XP_015834493.1, XP_008192826.1, XP_015834494.1, XP_008192895.1, XP_008192836.1
OG0001771	XP_033323850.1, XP_033323851.1, XP_033323852.1, XP_033323853.1, XP_033323849.1, XP_033323848.1	XP_008195425.2, XP_001808512.2
OG0001774	XP_033331574.1, XP_033333645.1	XP_969023.1
OG0001775	XP_033339835.1, XP_033338545.1	XP_970951.1, NP_001298082.1
OG0001776	XP_033327937.1	NP_001164088.1
OG0001777	XP_033331520.1, XP_033331423.1	XP_967221.1
OG0001778	XP_033325625.1	XP_970875.1
OG0001779	XP_033331694.1	XP_973494.1
OG0001780	XP_033336217.1	XP_968841.1
OG0001781	XP_033333357.1	XP_008192416.1
OG0001782	XP_033340424.1, XP_033340425.1, XP_033340426.1, XP_033340421.1, XP_033340422.1, XP_033340423.1	XP_973321.1
OG0001783	XP_033340312.1	XP_015833325.1, XP_972914.1, XP_008190904.1
OG0001784	XP_033337484.1	XP_970614.1
OG0001785	XP_033332190.1, XP_033332191.1	XP_969235.2
OG0001786	XP_033340093.1	XP_974171.1
OG0001787	XP_033325473.1, XP_033325474.1	XP_966837.1
OG0001789	XP_033339270.1	XP_975068.2
OG0001790	XP_033340405.1	XP_973834.1
OG0001791	XP_033321506.1	XP_008190467.1
OG0001792	XP_033335272.1, XP_033335274.1	XP_967089.1
OG0001793	XP_033322777.1, XP_033322778.1, XP_033322775.1, XP_033322776.1, XP_033322779.1	XP_975535.1
OG0001794	XP_033338250.1	XP_015834535.1
OG0001795	XP_033328261.1	XP_008195656.1
OG0001796	XP_033339909.1, XP_033326366.1	XP_015834572.1, XP_015839928.1
OG0001797	XP_033321346.1	XP_973014.1
OG0001799	XP_033336893.1	NP_001157183.1
OG0001800	XP_033341184.1, XP_033341185.1, XP_033341183.1	XP_966972.1
OG0001801	XP_033322697.1	XP_974888.3
OG0001802	XP_033342032.1	XP_975650.1
OG0001803	XP_033338050.1	XP_008199564.1
OG0001804	XP_033328045.1, XP_033328044.1	XP_008199910.1
OG0001805	XP_033336397.1	XP_008199909.1
OG0001806	XP_033341086.1	XP_008197947.1
OG0001807	XP_033340194.1	XP_008195294.1
OG0001808	XP_033341843.1	XP_972925.2
OG0001809	XP_033331854.1, XP_033331835.1, XP_033331845.1	XP_973657.1
OG0001810	XP_033332827.1	XP_015836863.1
OG0001811	XP_033341019.1	XP_973747.1
OG0001812	XP_033321917.1	XP_967937.1
OG0001813	XP_033337360.1	XP_008199635.1
OG0001814	XP_033325836.1, XP_033325833.1	XP_972868.1
OG0001815	XP_033339582.1, XP_033339583.1	XP_008199756.1
OG0001816	XP_033339115.1, XP_033339116.1	XP_973162.1
OG0001817	XP_033338408.1	XP_015837888.1, XP_974446.1
OG0001818	XP_033324037.1, XP_033324036.1	XP_015836560.1, XP_015836559.1
OG0001819	XP_033336925.1	XP_008194754.1
OG0001820	XP_033337108.1	XP_966351.2
OG0001821	XP_033328769.1, XP_033328770.1	XP_008193342.1
OG0001823	XP_033324872.1	XP_974250.1
OG0001825	XP_033342028.1, XP_033322495.1, XP_033322496.1	XP_015834320.1
OG0001826	XP_033332327.1	XP_008195586.1
OG0001827	XP_033339261.1	XP_008199970.1, XP_008199968.1
OG0001828	XP_033340413.1, XP_033340412.1	XP_008191114.2
OG0001829	XP_033333302.1	XP_968607.1
OG0001830	XP_033337253.1	XP_008200479.1
OG0001831	XP_033335982.1	XP_015835742.1, XP_015835744.1, XP_015835743.1
OG0001832	XP_033342646.1, XP_033342636.1	XP_015839131.1
OG0001833	XP_033320819.1	XP_015834094.1
OG0001834	XP_033334784.1, XP_033334783.1	NP_001164305.1
OG0001835	XP_033323101.1	XP_008190330.1, XP_008190331.1, XP_015832872.1
OG0001836	XP_033336701.1	XP_015837393.1, XP_015837408.1
OG0001837	XP_033342830.1	XP_008191765.1
OG0001838	XP_033340650.1	XP_973996.1
OG0001839	XP_033336632.1, XP_033336622.1	XP_968056.1, XP_015836876.1
OG0001840	XP_033337232.1	XP_008195127.1, XP_015836709.1
OG0001841	XP_033321309.1	XP_008199607.1
OG0001843	XP_033331786.1	XP_970048.1
OG0001844	XP_033336659.1, XP_033336660.1	XP_967434.1
OG0001845	XP_033332610.1	XP_972280.1
OG0001846	XP_033328152.1, XP_033328155.1	XP_971039.1
OG0001847	XP_033330093.1, XP_033330094.1	XP_969079.1
OG0001848	XP_033329418.1	XP_966931.1, XP_015840170.1
OG0001850	XP_033330793.1	XP_008197509.1
OG0001851	XP_033338488.1, XP_033338487.1, XP_033338486.1	XP_974730.2
OG0001852	XP_033343065.1, XP_033343064.1, XP_033343063.1, XP_033343062.1, XP_033343066.1	XP_008194931.1
OG0001853	XP_033325669.1, XP_033325670.1	XP_974684.1
OG0001855	XP_033331359.1	XP_008193347.1, XP_969166.1
OG0001856	XP_033338084.1	XP_970966.2
OG0001858	XP_033330211.1	XP_008196162.1
OG0001859	XP_033334191.1	XP_015835825.1, XP_015835826.1
OG0001861	XP_033324078.1	XP_970093.1
OG0001862	XP_033322706.1	XP_970196.2
OG0001863	XP_033327491.1, XP_033327490.1	XP_968848.1
OG0001864	XP_033339863.1	XP_008196595.1
OG0001865	XP_033333139.1, XP_033333147.1	XP_008196649.1, XP_970928.1
OG0001866	XP_033336383.1	XP_969990.1, XP_969855.1
OG0001867	XP_033332172.1, XP_033332173.1	XP_008193780.1
OG0001868	XP_033334802.1	XP_008191524.1, XP_008191525.1
OG0001869	XP_033321176.1	XP_968474.1
OG0001870	XP_033322633.1	XP_970830.2, XP_008200721.1, XP_008200720.1, XP_015836188.1, XP_966582.1, XP_008200719.1
OG0001871	XP_033327724.1, XP_033327723.1	XP_970702.1
OG0001872	XP_033322140.1	XP_975296.1
OG0001873	XP_033329258.1	XP_969187.1
OG0001874	XP_033327725.1	XP_971013.1
OG0001875	XP_033324785.1, XP_033324782.1, XP_033324784.1	XP_015833812.1, XP_008191230.1, XP_969031.2
OG0001876	XP_033332288.1	XP_015835298.1
OG0001877	XP_033324617.1, XP_033324614.1, XP_033324618.1	XP_973601.1
OG0001879	XP_033339056.1	XP_972523.1
OG0001880	XP_033333133.1, XP_033333136.1	XP_015837523.1, XP_015837518.1
OG0001881	XP_033333843.1	XP_969186.1
OG0001882	XP_033342020.1	XP_008192360.1
OG0001883	XP_033331959.1, XP_033331958.1	XP_008191423.1, XP_970042.1
OG0001884	XP_033328220.1	XP_008196596.1, XP_015837973.1
OG0001885	XP_033340345.1, XP_033341144.1, XP_033341154.1, XP_033341161.1	XP_967536.1
OG0001886	XP_033338085.1	XP_975677.2
OG0001887	XP_033327039.1	XP_008197283.1
OG0001888	XP_033336318.1	XP_008195157.1
OG0001889	XP_033331860.1	XP_976203.1
OG0001890	XP_033336322.1	XP_008199667.1
OG0001891	XP_033327843.1	XP_008192976.1
OG0001894	XP_033328392.1	XP_015834285.1
OG0001895	XP_033336132.1, XP_033336125.1	XP_015837161.1, XP_015837158.1
OG0001896	XP_033340979.1	XP_008199025.2, XP_015836575.1
OG0001897	XP_033326353.1	XP_973467.1
OG0001899	XP_033342612.1	XP_972476.1
OG0001900	XP_033333504.1	XP_973168.1
OG0001901	XP_033334873.1, XP_033334871.1, XP_033334872.1	XP_975551.3
OG0001902	XP_033324623.1, XP_033324620.1	XP_008200644.1, XP_008200643.1
OG0001903	XP_033330443.1, XP_033330441.1	XP_008195330.1
OG0001904	XP_033328278.1	XP_015838968.1
OG0001905	XP_033339110.1, XP_033339109.1	XP_015836844.1
OG0001906	XP_033331741.1	XP_008192297.1
OG0001907	XP_033329726.1	XP_008196697.1
OG0001908	XP_033326920.1	NP_001034524.1
OG0001909	XP_033321249.1, XP_033321258.1	XP_008192942.1
OG0001910	XP_033342036.1	XP_008200358.1
OG0001912	XP_033322190.1, XP_033322186.1	XP_015838680.1
OG0001913	XP_033326690.1, XP_033326697.1	XP_008190278.1
OG0001914	XP_033331977.1, XP_033331976.1	XP_015833095.1, XP_008190774.1
OG0001915	XP_033324316.1	XP_008195899.1, XP_015837384.1
OG0001916	XP_033341694.1	XP_968009.1, XP_008199227.1
OG0001917	XP_033330626.1	XP_969465.1
OG0001918	XP_033331339.1, XP_033331341.1, XP_033331340.1, XP_033331336.1, XP_033331337.1	XP_001812133.1
OG0001919	XP_033327722.1, XP_033327666.1	XP_008201301.1, XP_008201320.1
OG0001920	XP_033325395.1	XP_015839675.1
OG0001921	XP_033325549.1	XP_015838145.1
OG0001922	XP_033323250.1, XP_033323252.1	XP_015838207.1, XP_008196854.1
OG0001923	XP_033323344.1	XP_008198220.1
OG0001924	XP_033342124.1, XP_033342122.1	XP_008200040.1
OG0001925	XP_033323913.1	XP_015833560.1
OG0001926	XP_033337474.1, XP_033337473.1, XP_033337472.1	XP_974856.1
OG0001927	XP_033326238.1	XP_970922.1
OG0001928	XP_033320933.1, XP_033320938.1	XP_015840097.1, XP_008193263.1
OG0001929	XP_033325685.1	XP_969941.1
OG0001930	XP_033325385.1	XP_973098.1
OG0001931	XP_033330668.1	XP_968315.1
OG0001933	XP_033330320.1	XP_008197905.1
OG0001934	XP_033331289.1	XP_008195057.1, XP_008195056.1
OG0001935	XP_033340055.1, XP_033340054.1	XP_972743.1
OG0001936	XP_033337492.1	XP_015838605.1, XP_008193365.2, XP_008190649.2, XP_015836208.1, XP_015836206.1
OG0001937	XP_033321271.1	NP_001159380.1, XP_015837360.1, XP_015837617.1, NP_001159381.1
OG0001938	XP_033341104.1	XP_972867.1
OG0001939	XP_033337694.1	XP_975288.1
OG0001940	XP_033340348.1, XP_033340347.1	XP_968090.1
OG0001941	XP_033323315.1	XP_008197953.1, XP_008197949.1
OG0001942	XP_033338841.1	XP_008195032.1
OG0001944	XP_033322969.1, XP_033322967.1, XP_033322968.1	NP_001164311.1, NP_001164312.1, XP_008200790.1
OG0001945	XP_033335067.1	XP_015834904.1
OG0001946	XP_033342778.1, XP_033342777.1	XP_008197760.1
OG0001947	XP_033330927.1	XP_008200081.1
OG0001948	XP_033342187.1, XP_033342190.1, XP_033342191.1, XP_033342189.1	XP_015839318.1
OG0001949	XP_033330306.1, XP_033330307.1	XP_015838744.1
OG0001950	XP_033321946.1	XP_015834259.1
OG0001951	XP_033327536.1	XP_008198065.2, XP_008198067.1, XP_008198061.1
OG0001952	XP_033327303.1	XP_015835699.1, XP_015835703.1, XP_015835707.1, XP_015835694.1
OG0001953	XP_033329951.1, XP_033327408.1	XP_015838030.1, NP_001180378.1
OG0001954	XP_033335378.1, XP_033335380.1, XP_033335381.1, XP_033335379.1	XP_972227.1
OG0001955	XP_033340240.1, XP_033340239.1, XP_033340238.1	XP_971125.1
OG0001957	XP_033329870.1	XP_015838816.1
OG0001957	XP_033326980.1	XP_015838649.1
OG0001959	XP_033339272.1, XP_033339273.1, XP_033339274.1	XP_015838645.1
OG0001960	XP_033321263.1	XP_008200339.1
OG0001961	XP_033339667.1	XP_969940.1
OG0001962	XP_033323388.1	XP_015837014.1, XP_974612.1, XP_974632.1, XP_974652.1, XP_008195477.1
OG0001963	XP_033329457.1	XP_008191834.1
OG0001964	XP_033332092.1, XP_033332090.1, XP_033332091.1	XP_971585.1
OG0001965	XP_033340669.1	XP_008201279.1, XP_015840730.1, XP_015839909.1, XP_008195883.2
OG0001966	XP_033336472.1	XP_001809413.1
OG0001967	XP_033322561.1, XP_033322474.1	XP_001807448.1
OG0001968	XP_033324891.1	XP_008198558.1
OG0001969	XP_033324554.1	XP_008199546.1, XP_008199547.1, XP_008199548.1, XP_008199545.1
OG0001970	XP_033336275.1	XP_008195169.1
OG0001971	XP_033322853.1, XP_033322851.1, XP_033322852.1	XP_008191777.1
OG0001973	XP_033331793.1, XP_033331789.1, XP_033331787.1	XP_008198599.1
OG0001974	XP_033321877.1	XP_008197175.1
OG0001975	XP_033330571.1	XP_015833055.1, NP_001164144.1
OG0001976	XP_033328894.1, XP_033328898.1, XP_033328896.1, XP_033328895.1	XP_015833110.1, XP_008190652.1
OG0001977	XP_033330380.1	XP_015833284.1, XP_015833283.1, XP_973810.2
OG0001980	XP_033332519.1	XP_971979.1
OG0001981	XP_033321136.1	XP_008200848.1, XP_970028.2, XP_968593.1, XP_968666.1, XP_968739.1, XP_008191362.2
OG0001983	XP_033342992.1	XP_971263.2
OG0001984	XP_033338045.1	XP_008191058.1
OG0001987	XP_033331402.1	XP_969865.2
OG0001988	XP_033329629.1	XP_001812661.1
OG0001989	XP_033331257.1, XP_033331256.1, XP_033331258.1	XP_967120.2
OG0001990	XP_033328369.1, XP_033328416.1	XP_971866.1
OG0001991	XP_033342534.1	XP_975465.1
OG0001992	XP_033322162.1	XP_008200920.1
OG0001994	XP_033333127.1	XP_971533.1
OG0001995	XP_033332833.1	XP_008192557.1
OG0001997	XP_033341663.1	XP_968867.1, XP_008200402.1, XP_966438.1
OG0001998	XP_033329813.1	XP_008199937.1
OG0001999	XP_033325830.1	XP_967576.1, XP_008191346.1
OG0002000	XP_033335153.1	XP_015836974.1
OG0002001	XP_033322962.1, XP_033322961.1	XP_008190967.1, XP_008190968.1, XP_974902.1, XP_015833322.1
OG0002002	XP_033340101.1	NP_001034520.2
OG0002003	XP_033321265.1	XP_015838178.1, XP_968621.1
OG0002004	XP_033332375.1	XP_008201162.1, XP_974743.1
OG0002005	XP_033321881.1	XP_970311.1
OG0002006	XP_033325286.1	XP_008192345.1
OG0002007	XP_033320825.1	XP_008191274.1
OG0002009	XP_033337121.1, XP_033337122.1, XP_033337213.1	XP_970519.1
OG0002010	XP_033334090.1, XP_033334088.1	XP_973746.2
OG0002011	XP_033338506.1	XP_971545.1
OG0002012	XP_033337695.1	NP_001107817.1, XP_008192468.1
OG0002013	XP_033332756.1	XP_973466.1, XP_008194703.1
OG0002014	XP_033334469.1, XP_033334391.1	XP_008194388.1
OG0002015	XP_033335589.1	XP_001811459.1
OG0002016	XP_033339897.1	XP_969441.1
OG0002017	XP_033322358.1, XP_033322357.1	XP_008199875.1
OG0002018	XP_033338775.1	XP_969631.2, XP_015835856.1
OG0002019	XP_033342269.1	XP_968850.1, XP_015839177.1
OG0002020	XP_033327053.1, XP_033341687.1	XP_015839132.1
OG0002021	XP_033341026.1	XP_015836519.1
OG0002022	XP_033330606.1	XP_974755.2
OG0002023	XP_033330187.1	XP_972040.2
OG0002024	XP_033326388.1	XP_968623.1
OG0002025	XP_033327025.1	XP_008200104.1
OG0002026	XP_033339539.1	XP_015836199.1
OG0002027	XP_033326241.1	XP_008195541.1
OG0002028	XP_033331884.1	XP_008193942.1, XP_015836057.1, XP_008193941.1
OG0002029	XP_033335399.1	XP_008198388.1
OG0002030	XP_033322294.1	XP_008201254.2
OG0002032	XP_033328092.1, XP_033328085.1	XP_008199563.1
OG0002033	XP_033342327.1, XP_033324917.1	XP_974242.1, XP_008196193.1, XP_973827.2
OG0002034	XP_033339301.1	XP_008191432.1, XP_008198556.1
OG0002035	XP_033322584.1	XP_015834331.1
OG0002036	XP_033341906.1, XP_033328755.1, XP_033328745.1, XP_033337105.1, XP_033339865.1	XP_008193640.1
OG0002037	XP_033341316.1	XP_968226.1
OG0002038	XP_033337933.1	XP_975880.1
OG0002039	XP_033336414.1	XP_008191389.1
OG0002041	XP_033325116.1, XP_033325117.1	XP_970185.1
OG0002042	XP_033337308.1	XP_008195431.1
OG0002043	XP_033332748.1, XP_033332747.1	XP_008193412.1
OG0002044	XP_033324836.1, XP_033324837.1	XP_972243.1
OG0002045	XP_033323946.1	NP_001034540.1, XP_015834295.1
OG0002046	XP_033338089.1, XP_033338090.1	XP_008192066.1, XP_015834447.1
OG0002047	XP_033339189.1, XP_033339191.1, XP_033339190.1, XP_033339182.1, XP_033339188.1	XP_967875.1, XP_008200945.1
OG0002048	XP_033338178.1	XP_015832893.1, XP_008190487.1
OG0002049	XP_033332838.1, XP_033332836.1	XP_008194849.1
OG0002050	XP_033330871.1	XP_971138.1
OG0002051	XP_033323677.1	NP_001164092.1, XP_008195713.1
OG0002052	XP_033322201.1	XP_015837547.1
OG0002054	XP_033335645.1	XP_015836409.1
OG0002055	XP_033325848.1	XP_008198559.1
OG0002056	XP_033342389.1	XP_975463.1, XP_008201462.1, XP_008201461.1
OG0002057	XP_033336546.1	XP_975350.1
OG0002058	XP_033334796.1, XP_033339821.1	XP_008193741.1, XP_974607.1
OG0002059	XP_033336246.1	XP_969613.1
OG0002060	XP_033329657.1, XP_033329652.1	XP_008190346.1
OG0002061	XP_033323132.1	XP_008196537.1
OG0002062	XP_033334333.1	XP_001808961.1
OG0002063	XP_033331779.1	XP_966349.1
OG0002064	XP_033330194.1	XP_971594.2, XP_008197242.1
OG0002065	XP_033335764.1	XP_008190660.1
OG0002067	XP_033335279.1	XP_008199684.1
OG0002069	XP_033331638.1, XP_033337225.1	XP_008194753.1
OG0002070	XP_033342075.1	XP_008199445.1
OG0002071	XP_033340277.1	XP_971591.1
OG0002072	XP_033325972.1	XP_008194342.1
OG0002073	XP_033337711.1	XP_976020.1
OG0002074	XP_033322340.1, XP_033322339.1, XP_033322333.1	XP_969518.1
OG0002075	XP_033324047.1	XP_974640.1, XP_974146.1, XP_015832957.1, XP_967492.1
OG0002076	XP_033327390.1	XP_008201044.1, NP_001280534.1
OG0002077	XP_033336962.1, XP_033336884.1	XP_967357.1
OG0002078	XP_033342405.1	XP_008194370.1
OG0002079	XP_033331094.1	XP_015834267.1, XP_015836722.1
OG0002080	XP_033323307.1	XP_973096.1
OG0002081	XP_033337432.1	XP_001807880.1, XP_008194570.1
OG0002082	XP_033329080.1	XP_008192105.1
OG0002083	XP_033320970.1	XP_967458.1
OG0002084	XP_033323164.1	XP_008195932.1
OG0002085	XP_033333812.1	XP_969410.1
OG0002086	XP_033325988.1	XP_974176.1
OG0002087	XP_033338614.1	XP_015836902.1
OG0002088	XP_033325453.1	XP_008199834.1
OG0002089	XP_033336265.1	NP_001161917.1
OG0002091	XP_033332839.1	XP_969843.1
OG0002094	XP_033331902.1	XP_008193285.1
OG0002095	XP_033333377.1	XP_973222.1
OG0002096	XP_033325800.1, XP_033325799.1	XP_974674.2
OG0002097	XP_033326566.1	XP_969557.1
OG0002098	XP_033323341.1	XP_972070.1
OG0002099	XP_033338981.1	XP_015840771.1
OG0002100	XP_033331711.1	XP_008192294.1
OG0002101	XP_033327717.1, XP_033327711.1	XP_015834925.1, XP_008192122.2
OG0002102	XP_033339729.1	XP_971608.1
OG0002103	XP_033322989.1	XP_968825.1
OG0002104	XP_033332963.1	XP_976358.1, XP_008193781.1
OG0002105	XP_033323695.1	XP_975598.1
OG0002106	XP_033331719.1	NP_001164138.1, XP_008193600.1
OG0002107	XP_033341851.1	XP_008195685.1
