Orthogroup	Megalopta_genalis	Nasonia_vitripennis
OG0001019	XP_033335112.1	XP_001608115.1, XP_016842095.1
OG0001020	XP_033339021.1	XP_031779052.1
OG0001021	XP_033335004.1	XP_001602210.1
OG0001022	XP_033332662.1	XP_016836879.1
OG0001022	XP_033332665.1	XP_008215638.1
OG0001023	XP_033334891.1, XP_033334892.1	XP_001599379.2
OG0001024	XP_033335894.1, XP_033335895.1, XP_033335897.1	XP_016837715.1, XP_003427454.1, XP_003427453.1, XP_003427452.1, XP_008211089.1, XP_008211088.1
OG0001025	XP_033326022.1	XP_031785398.1, XP_001606010.2
OG0001026	XP_033337831.1	XP_031778012.1
OG0001027	XP_033328121.1, XP_033328119.1, XP_033328120.1	XP_008214395.1, XP_032452523.1, XP_032452522.1, XP_032452521.1, XP_031779616.1
OG0001028	XP_033342084.1	XP_001604584.2
OG0001028	XP_033320854.1	XP_001604446.1
OG0001029	XP_033332475.1, XP_033332487.1	XP_001607413.1, XP_032451642.1
OG0001030	XP_033324041.1	XP_003424575.2
OG0001031	XP_033341416.1, XP_033341415.1, XP_033341417.1, XP_033341414.1	XP_016842453.1
OG0001032	XP_033330122.1	XP_001607807.1
OG0001032	XP_033342599.1	XP_001606710.1
OG0001033	XP_033328959.1	XP_008210877.1, XP_001601768.1, XP_032457048.1, XP_032457046.1
OG0001034	XP_033324169.1	XP_031784406.1, XP_031784407.1
OG0001035	XP_033323993.1	XP_001606861.1, XP_008203558.1
OG0001036	XP_033333456.1, XP_033333452.1	XP_001607856.1
OG0001036	XP_033337123.1	XP_001605019.1
OG0001037	XP_033333213.1	XP_001601129.2
OG0001038	XP_033324259.1	XP_008207533.1, XP_003424853.1, XP_031778777.1
OG0001039	XP_033330410.1	XP_008206089.1, XP_032456318.1
OG0001040	XP_033341328.1	XP_032458030.1, XP_032458031.1, XP_032458027.1, XP_032458029.1, XP_032458032.1, XP_003424668.1, XP_031788693.1, XP_031788694.1, XP_032458028.1, XP_032458033.1
OG0001041	XP_033326930.1, XP_033326929.1	XP_031783039.1, NP_001136323.1
OG0001042	XP_033337407.1, XP_033337454.1, XP_033337435.1, XP_033337416.1, XP_033337426.1, XP_033337445.1	XP_008203825.1
OG0001043	XP_033328373.1, XP_033328372.1	XP_003424009.1, XP_016844819.1
OG0001044	XP_033340709.1, XP_033340717.1	XP_003424621.1, XP_016836857.1
OG0001045	XP_033333148.1	XP_001606266.1
OG0001046	XP_033338364.1, XP_033338361.1, XP_033338362.1, XP_033338360.1, XP_033338363.1	XP_031789307.1, XP_031789309.1, XP_016844569.2
OG0001048	XP_033328616.1	XP_008207429.3
OG0001049	XP_033334373.1	XP_031784881.1, XP_031784883.1
OG0001051	XP_033342478.1	XP_003427534.1, XP_016840524.1
OG0001052	XP_033324321.1	XP_001604954.1
OG0001054	XP_033338773.1, XP_033338774.1, XP_033338770.1, XP_033338771.1, XP_033338772.1	XP_016842506.1
OG0001055	XP_033323439.1	XP_031784964.1, XP_031784963.1
OG0001056	XP_033330201.1, XP_033330119.1	XP_008207347.1
OG0001057	XP_033328156.1	XP_001602018.1
OG0001058	XP_033320886.1	XP_032458090.1, XP_031789093.1
OG0001059	XP_033339480.1, XP_033339161.1	XP_008208155.1
OG0001060	XP_033337027.1	XP_031781772.1
OG0001061	XP_033325808.1, XP_033325809.1	XP_031786543.1
OG0001063	XP_033342623.1	XP_031787733.1
OG0001063	XP_033326899.1	XP_008208616.1
OG0001065	XP_033330489.1	XP_001604056.2, XP_003427340.1
OG0001067	XP_033334970.1	XP_001600313.2
OG0001068	XP_033340448.1	XP_016842107.1, XP_031784716.1
OG0001069	XP_033336175.1, XP_033336177.1, XP_033336172.1, XP_033336171.1, XP_033336174.1, XP_033336173.1, XP_033336176.1	XP_032453326.1, XP_008216452.1, XP_008216451.1, XP_008216448.1, XP_032453327.1, XP_001603550.2
OG0001070	XP_033328836.1	XP_001607507.3
OG0001071	XP_033321152.1	XP_016842081.1
OG0001072	XP_033323441.1	XP_031784957.1
OG0001073	XP_033338221.1	XP_003423859.1
OG0001073	XP_033338367.1	XP_031776847.1
OG0001074	XP_033321761.1	XP_008209334.1
OG0001074	XP_033321765.1	XP_031779121.1
OG0001075	XP_033334465.1	XP_031782154.1, XP_016839209.1, XP_031782151.1, XP_031782150.1, XP_031782153.1, XP_031782152.1
OG0001076	XP_033324478.1	XP_016837510.1, XP_016837509.1, XP_032453442.1
OG0001077	XP_033325061.1	XP_032453049.1
OG0001078	XP_033326059.1, XP_033326058.1	XP_008210269.1, XP_008210270.1, XP_008210271.1, XP_016843990.1, XP_016843989.1
OG0001079	XP_033338387.1, XP_033338386.1, XP_033338388.1	XP_008211650.1, XP_016840479.1, XP_008211646.1, XP_008211647.1, XP_016840480.1
OG0001081	XP_033324008.1	XP_001607983.2, XP_031788174.2
OG0001082	XP_033341268.1, XP_033341269.1, XP_033341271.1, XP_033341272.1	XP_008214725.1
OG0001083	XP_033336142.1	XP_031788178.1, XP_032457083.1, XP_031788180.1, XP_008215778.1, XP_008215779.1, XP_016842828.1, XP_031788177.1, XP_031788179.1
OG0001084	XP_033336597.1	XP_016838352.1, XP_003425934.1
OG0001085	XP_033332140.1, XP_033332139.1, XP_033332141.1	XP_031784469.1, XP_008211614.1, XP_032455784.1, XP_032455786.1, XP_032455785.1, XP_031784470.1, XP_031784471.1, XP_001606977.1
OG0001086	XP_033327099.1	XP_032453207.1, XP_001605628.1, XP_008204328.1, XP_008204329.1
OG0001087	XP_033336699.1, XP_033336698.1, XP_033336697.1, XP_033336696.1, XP_033336700.1, XP_033336695.1, XP_033336694.1	XP_003426616.1, XP_003426618.1, XP_032456285.1, XP_032456284.1
OG0001090	XP_033327128.1, XP_033327130.1	XP_032457605.1, XP_032457606.1, XP_001600472.1, XP_032457607.1
OG0001091	XP_033325831.1, XP_033325832.1	XP_031785408.1, XP_016840416.1
OG0001092	XP_033323362.1, XP_033323354.1	XP_001605819.1
OG0001093	XP_033340576.1, XP_033340575.1	XP_003427218.4, XP_031779285.1
OG0001094	XP_033340018.1	XP_031782503.1, XP_008213609.1
OG0001095	XP_033341802.1, XP_033341801.1, XP_033341800.1	XP_032457727.1
OG0001096	XP_033338473.1	XP_003425115.1, XP_031782797.1
OG0001097	XP_033331437.1	XP_003424766.1
OG0001098	XP_033338654.1	XP_031789531.1, XP_001603423.1, XP_016842518.1, XP_016842523.1
OG0001099	XP_033332278.1	XP_031787397.1
OG0001100	XP_033330655.1, XP_033330654.1, XP_033330961.1	XP_031783420.1
OG0001101	XP_033342811.1, XP_033342812.1, XP_033342810.1	XP_001600262.1
OG0001102	XP_033324282.1	XP_032457645.1, XP_001602465.1
OG0001103	XP_033337723.1	XP_001607402.1
OG0001104	XP_033327975.1	XP_016840630.1
OG0001105	XP_033323666.1, XP_033323665.1	NP_001165930.1
OG0001107	XP_033337995.1	XP_016842156.1
OG0001108	XP_033327279.1	XP_032457359.1, XP_031778262.1
OG0001109	XP_033332635.1	XP_001606469.2
OG0001110	XP_033334625.1	XP_031788465.1
OG0001111	XP_033325249.1, XP_033325248.1, XP_033325247.1	XP_016839633.1
OG0001112	XP_033321712.1	XP_031778614.1
OG0001113	XP_033337171.1	XP_031786692.1
OG0001115	XP_033327270.1	XP_001606127.2
OG0001116	XP_033325653.1	XP_001607643.1
OG0001117	XP_033325640.1, XP_033325642.1, XP_033325641.1	XP_008217800.1, XP_001605901.2
OG0001118	XP_033321496.1, XP_033321495.1, XP_033321494.1	XP_031782585.1, XP_032453978.1, XP_008203783.1
OG0001119	XP_033335082.1, XP_033335081.1	XP_003425014.1, XP_001602619.1, XP_016843971.1
OG0001121	XP_033323014.1	XP_031782800.1, XP_031782801.1, XP_031782799.1
OG0001122	XP_033330758.1	XP_008209601.1
OG0001123	XP_033322309.1, XP_033322308.1, XP_033322312.1, XP_033322310.1, XP_033322311.1, XP_033322307.1	XP_003424977.1
OG0001124	XP_033325871.1	XP_031788510.1
OG0001125	XP_033330109.1	XP_003425026.1
OG0001126	XP_033329500.1, XP_033329499.1, XP_033329498.1	XP_003424309.3
OG0001127	XP_033340486.1, XP_033340519.1	XP_031779496.1, XP_031779495.1
OG0001128	XP_033340447.1	XP_031784571.1, XP_003426947.1, XP_008208751.1, XP_031781216.1
OG0001129	XP_033327738.1	XP_008206205.1, XP_008206206.1
OG0001130	XP_033339147.1	XP_008214357.1
OG0001132	XP_033338146.1	XP_008205312.1, XP_032453720.1
OG0001133	XP_033333210.1	XP_008203489.1
OG0001134	XP_033323394.1	XP_008211472.1
OG0001135	XP_033326143.1, XP_033326144.1, XP_033326142.1, XP_033326141.1	XP_008212599.2
OG0001137	XP_033329863.1, XP_033329864.1	XP_008208627.1, XP_032452285.1, XP_032452284.1, XP_008208620.1
OG0001138	XP_033343008.1	XP_008211425.1, XP_031784853.1
OG0001139	XP_033342611.1, XP_033342580.1, XP_033320808.1	XP_032455231.1, XP_016845441.1, XP_001605918.1
OG0001140	XP_033338049.1	XP_001604284.1
OG0001141	XP_033329432.1, XP_033329433.1	NP_001234899.1, XP_008209307.1
OG0001142	XP_033338864.1, XP_033338863.1	XP_001599805.2, XP_008213880.1, XP_008213879.1, XP_008213881.1
OG0001143	XP_033325901.1, XP_033325895.1, XP_033325897.1, XP_033325898.1, XP_033325899.1, XP_033325900.1	XP_008214909.1
OG0001145	XP_033334364.1, XP_033334360.1, XP_033334362.1, XP_033334361.1, XP_033334363.1	XP_016840554.1
OG0001146	XP_033337181.1	XP_001603986.1
OG0001146	XP_033325828.1	XP_001604010.1
OG0001147	XP_033338209.1, XP_033338211.1, XP_033338212.1, XP_033338210.1	XP_016839832.1
OG0001149	XP_033334903.1	XP_003426568.1
OG0001150	XP_033326716.1	XP_008205817.1, XP_001600445.1
OG0001151	XP_033334650.1	XP_003427238.1, XP_001606424.1
OG0001152	XP_033331452.1, XP_033331451.1, XP_033331450.1, XP_033335406.1	XP_031784874.1
OG0001153	XP_033323509.1, XP_033323512.1	XP_031783844.1, XP_031783841.1
OG0001154	XP_033324878.1, XP_033324875.1	XP_008206054.1, XP_032456325.1
OG0001155	XP_033327789.1	XP_008213582.1, XP_008213583.1, XP_008213584.1, XP_001606200.2
OG0001156	XP_033331749.1	XP_016841496.1
OG0001157	XP_033338809.1, XP_033338798.1, XP_033338787.1	XP_032453390.1, XP_032453389.1, XP_008204796.2, XP_031780242.1, XP_031780240.1
OG0001158	XP_033328897.1	XP_003423881.1
OG0001159	XP_033337175.1, XP_033322893.1, XP_033322892.1, XP_033322889.1, XP_033322891.1, XP_033322890.1	XP_008204614.1, XP_008204613.1, XP_008204612.1, XP_008204616.1, XP_008204615.1
OG0001160	XP_033333704.1, XP_033333703.1	XP_031783145.1
OG0001161	XP_033336253.1	XP_016842404.1
OG0001161	XP_033336444.1	XP_016842367.1
OG0001162	XP_033338984.1, XP_033338982.1	XP_008211291.1, XP_008211292.1
OG0001163	XP_033323984.1, XP_033323985.1, XP_033323983.1	XP_031778211.1, XP_008213835.1, XP_008213832.1
OG0001164	XP_033330867.1	XP_032456105.1, XP_003425414.1, XP_031780035.1, XP_008202354.1
OG0001165	XP_033325372.1, XP_033325371.1	XP_031785004.1, XP_031785017.1, XP_032455050.1
OG0001166	XP_033340853.1	XP_008202132.3, XP_016842558.1
OG0001167	XP_033329069.1, XP_033329070.1, XP_033329071.1, XP_033329072.1, XP_033329073.1	XP_001599700.1, XP_032453011.1
OG0001169	XP_033336118.1, XP_033336119.1	XP_016837166.1
OG0001170	XP_033333082.1, XP_033333078.1, XP_033333083.1, XP_033333080.1, XP_033333081.1	XP_008208390.2
OG0001171	XP_033323480.1	XP_008207798.1
OG0001171	XP_033338191.1, XP_033323479.1	XP_008207791.1
OG0001172	XP_033337196.1, XP_033337191.1	XP_016837981.1, XP_016837977.1
OG0001173	XP_033325207.1	XP_008213758.1, XP_008214128.1, XP_031785628.1, XP_008208564.1, XP_031782630.1, XP_032453793.1, XP_008208561.1, XP_008208563.1, XP_008208562.1
OG0001174	XP_033325129.1	XP_003427068.2
OG0001175	XP_033328293.1, XP_033328292.1, XP_033328291.1	XP_032451865.1
OG0001176	XP_033334241.1, XP_033334242.1	XP_001606359.1, XP_008213597.1, XP_003424237.1, XP_008213598.1, XP_008213599.1, XP_032454441.1
OG0001179	XP_033326082.1, XP_033326083.1, XP_033326084.1	XP_016844755.1
OG0001180	XP_033323213.1	XP_031780373.1, XP_031780359.1, XP_031780372.1
OG0001181	XP_033322804.1	XP_003426398.1
OG0001182	XP_033342889.1, XP_033342895.1	XP_031788317.1, XP_031788315.1
OG0001183	XP_033321792.1, XP_033321801.1	XP_031781172.1, XP_031781176.1
OG0001184	XP_033334070.1, XP_033334075.1	XP_008206018.1, XP_008206017.1
OG0001186	XP_033327357.1, XP_033327358.1, XP_033327355.1, XP_033327356.1, XP_033327359.1	XP_031778274.1
OG0001187	XP_033327329.1	XP_031789618.1, NP_001177861.1, XP_032455508.1
OG0001189	XP_033336245.1	XP_031778557.1
OG0001190	XP_033338253.1	XP_031787754.1
OG0001193	XP_033336894.1	XP_032453254.1, XP_031780138.1
OG0001195	XP_033330951.1, XP_033330953.1, XP_033330954.1	XP_031780477.1
OG0001198	XP_033323595.1	XP_001603648.2
OG0001199	XP_033330074.1	XP_016845582.1, XP_001603603.1, XP_008210843.1, XP_008210844.1, XP_031783743.1
OG0001201	XP_033332536.1	XP_031789517.1
OG0001202	XP_033334443.1	XP_001605991.1
OG0001203	XP_033341315.1	XP_031778235.1
OG0001204	XP_033325410.1, XP_033325411.1, XP_033325409.1	XP_016845347.1
OG0001205	XP_033322200.1	XP_016845249.1
OG0001205	XP_033325793.1	XP_001608005.2
OG0001206	XP_033328400.1	NP_001164440.1, XP_016840293.1, XP_016840141.1, NP_001164439.1, XP_016840415.1, XP_016840420.1, XP_001603374.2, XP_001603488.1
OG0001207	XP_033335287.1	XP_001600298.1, XP_032451746.1, XP_016845612.1
OG0001209	XP_033322847.1	XP_008204166.1, XP_001602028.2
OG0001209	XP_033341708.1	XP_003424051.1
OG0001210	XP_033332942.1	XP_032451692.1
OG0001211	XP_033340264.1, XP_033340254.1, XP_033340253.1	XP_031780375.1, XP_032451743.1, XP_031787419.1, XP_001599348.1
OG0001212	XP_033328779.1	XP_003427293.1, XP_031782068.1, XP_016840065.1
OG0001214	XP_033324526.1, XP_033324525.1	XP_031788610.1, NP_001153354.1
OG0001215	XP_033336550.1, XP_033336549.1	XP_001606085.1
OG0001216	XP_033331986.1, XP_033331993.1	XP_008212669.1, XP_008212668.1, XP_001607154.1, XP_003424094.1
OG0001217	XP_033338712.1, XP_033338710.1	XP_008208960.1, XP_008208961.1, XP_032457629.1, XP_008208957.1
OG0001218	XP_033339952.1, XP_033339953.1	XP_031780901.1, XP_031780894.1
OG0001219	XP_033338491.1, XP_033338492.1	XP_001600086.1, XP_016839466.1
OG0001220	XP_033338496.1, XP_033338497.1, XP_033338495.1	XP_032451978.1
OG0001221	XP_033332841.1	XP_001606905.1, XP_001602519.1
OG0001222	XP_033327693.1	XP_003424722.1
OG0001223	XP_033322887.1	XP_031783617.1
OG0001224	XP_033338548.1, XP_033338552.1	XP_031783437.1, XP_001606683.2
OG0001226	XP_033323368.1, XP_033323367.1, XP_033323371.1, XP_033323370.1, XP_033323366.1	XP_003423948.1
OG0001228	XP_033321096.1	XP_008206068.1, XP_016841318.1, XP_031786999.1
OG0001229	XP_033339510.1	NP_001153391.1, XP_031787432.1
OG0001230	XP_033328206.1, XP_033328205.1, XP_033328207.1, XP_033328204.1	XP_031779835.1
OG0001231	XP_033334870.1	XP_003424718.1
OG0001232	XP_033328496.1	XP_008201738.1
OG0001233	XP_033327337.1	XP_016841983.1
OG0001234	XP_033326409.1	XP_031789576.1, XP_016838011.1, XP_008215436.1, XP_008215437.1, XP_001606923.2
OG0001236	XP_033321426.1	XP_008214895.1, XP_032455166.1, XP_032455167.1, XP_008214894.1
OG0001237	XP_033342687.1	XP_008203577.1
OG0001238	XP_033337766.1, XP_033337767.1	XP_016839677.1, XP_031778698.1
OG0001239	XP_033331661.1	XP_031783524.1
OG0001240	XP_033342584.1, XP_033342582.1, XP_033342585.1, XP_033342583.1, XP_033342581.1	XP_032452317.1
OG0001241	XP_033334766.1, XP_033334769.1	XP_008202652.1
OG0001242	XP_033340326.1, XP_033340325.1	XP_031782443.1
OG0001244	XP_033342274.1	XP_001598989.2
OG0001245	XP_033330435.1	XP_031778442.1, XP_016844253.1, XP_016844252.1
OG0001246	XP_033330518.1	XP_001603526.2
OG0001247	XP_033325507.1, XP_033325505.1	XP_031786079.1
OG0001248	XP_033338006.1	XP_003426352.2
OG0001249	XP_033332368.1, XP_033332358.1	XP_001606387.1
OG0001250	XP_033337904.1	XP_008203591.2
OG0001251	XP_033332353.1	XP_016839272.1
OG0001253	XP_033334669.1, XP_033334666.1	XP_032454163.1, XP_001604499.2
OG0001254	XP_033321789.1	XP_001601661.3, XP_016837527.1
OG0001255	XP_033321111.1	XP_031786642.1, XP_016845322.1, XP_031786647.1, XP_031786649.1, XP_031786645.1, XP_031786646.1, XP_031786644.1, XP_031786643.1
OG0001256	XP_033326933.1	XP_008216603.1
OG0001257	XP_033329191.1	XP_001605171.1
OG0001258	XP_033327208.1	XP_031785068.1
OG0001259	XP_033321335.1	XP_008210873.2
OG0001260	XP_033339643.1, XP_033339651.1	XP_031784155.1
OG0001261	XP_033325790.1	XP_003426500.1
OG0001262	XP_033333808.1, XP_033333809.1	XP_003427006.1
OG0001263	XP_033333282.1	XP_032455387.1, XP_031785199.1, XP_031785198.1, XP_031785197.1, XP_031785196.1
OG0001264	XP_033321232.1	XP_008210590.1, XP_032455062.1, XP_031785022.1, XP_001604690.1, XP_008210588.1, XP_008210589.1
OG0001265	XP_033339929.1, XP_033329668.1	XP_001603835.2
OG0001266	XP_033333073.1, XP_033333074.1, XP_033333075.1, XP_033333076.1, XP_033333072.1	XP_031785041.1
OG0001267	XP_033337655.1	XP_016838148.1
OG0001268	XP_033330923.1, XP_033326114.1	XP_008204079.1
OG0001269	XP_033331143.1, XP_033331168.1	XP_008212176.1, XP_008212177.1
OG0001270	XP_033331492.1, XP_033331491.1, XP_033331490.1	XP_001607738.1, XP_003423835.1
OG0001271	XP_033336434.1, XP_033321514.1	XP_016839228.2, XP_001603100.3, XP_032453914.1
OG0001272	XP_033329520.1, XP_033329541.1	NP_001128394.1
OG0001273	XP_033334025.1, XP_033334023.1	XP_031779768.1
OG0001274	XP_033332718.1	XP_032455581.1, XP_008211194.1
OG0001277	XP_033321811.1	XP_032452715.1, XP_031778793.1, XP_016838376.1
OG0001278	XP_033341649.1, XP_033341650.1	XP_001607447.1
OG0001279	XP_033332151.1, XP_033332153.1, XP_033332154.1	XP_031784720.1
OG0001280	XP_033328482.1, XP_033328474.1	XP_001603582.2, XP_008216915.1
OG0001281	XP_033332931.1	XP_008215096.2
OG0001282	XP_033325483.1	XP_031778437.1
OG0001283	XP_033340604.1	XP_031788385.1, XP_031788374.1
OG0001284	XP_033321750.1, XP_033321748.1	XP_031779643.1
OG0001286	XP_033323978.1	XP_001602489.1
OG0001287	XP_033328763.1	XP_016845176.2
OG0001288	XP_033325575.1, XP_033325580.1	XP_001600075.1
OG0001289	XP_033333053.1, XP_033333052.1, XP_033333051.1, XP_033333050.1, XP_033333054.1	XP_001603940.1, XP_008202665.1, XP_008202664.1
OG0001290	XP_033341658.1	XP_001605003.2
OG0001291	XP_033338839.1	XP_016845465.1
OG0001292	XP_033336590.1	XP_016844342.1
OG0001293	XP_033325445.1	XP_001605773.2
OG0001294	XP_033340861.1, XP_033340870.1, XP_033340852.1, XP_033340830.1, XP_033340841.1	XP_031784398.1, NP_001177860.1
OG0001295	XP_033321157.1	XP_031785480.1
OG0001296	XP_033324545.1	XP_031780598.1
OG0001298	XP_033334359.1	XP_001603521.1
OG0001299	XP_033340775.1	XP_001603317.1
OG0001300	XP_033335256.1	XP_001605636.1, XP_008203410.1, XP_008203409.1, XP_008203412.1, XP_032453849.1, XP_032453850.1, XP_001601102.1
OG0001301	XP_033328498.1, XP_033328260.1, XP_033328427.1, XP_033328350.1	XP_001602613.1
OG0001302	XP_033322974.1, XP_033322973.1	XP_032455800.1, XP_016840440.1
OG0001303	XP_033330552.1, XP_033330557.1	XP_031782037.1, XP_031782039.1
OG0001304	XP_033324766.1, XP_033324765.1	XP_032452034.1, XP_001602365.1
OG0001305	XP_033332409.1	XP_031789469.1
OG0001306	XP_033325497.1, XP_033325494.1	XP_031786527.1, XP_031786524.1
OG0001308	XP_033324511.1	XP_031780394.1, XP_016837698.1, XP_008204950.1, XP_016837697.1, XP_031780395.1
OG0001310	XP_033325998.1, XP_033325997.1	XP_016841187.1
OG0001312	XP_033327364.1, XP_033327363.1, XP_033327365.1, XP_033327366.1	XP_001604271.1
OG0001314	XP_033338921.1	XP_031783093.1, XP_016839081.1
OG0001315	XP_033330904.1, XP_033330903.1	XP_008216865.1, XP_032456015.1
OG0001317	XP_033326800.1	XP_001604048.2
OG0001318	XP_033321114.1	XP_031784182.1
OG0001320	XP_033335361.1, XP_033335359.1	XP_016845887.1, XP_008214189.1, XP_001599838.1
OG0001321	XP_033337412.1	XP_016843637.1
OG0001322	XP_033337157.1	XP_001606712.2, XP_031784354.1
OG0001323	XP_033327590.1	XP_001600757.1
OG0001323	XP_033327621.1	XP_001600857.1
OG0001328	XP_033325943.1	NP_001127781.1, XP_008201861.1
OG0001330	XP_033327119.1	XP_031784594.1, XP_016840913.1
OG0001331	XP_033337458.1	XP_001604681.1, XP_032453951.1
OG0001332	XP_033323630.1, XP_033323640.1, XP_033323032.1	XP_003423932.1, XP_016845208.1, XP_003423931.1, XP_001606872.1, XP_001606020.2
OG0001333	XP_033333461.1, XP_033333462.1, XP_033333460.1	XP_031786693.1
OG0001334	XP_033337855.1, XP_033337854.1, XP_033337841.1	XP_031788371.2
OG0001335	XP_033339620.1, XP_033339617.1	XP_032455686.1
OG0001336	XP_033334937.1	XP_003427227.1, XP_003427226.1, XP_032454792.1
OG0001338	XP_033342357.1	XP_031781497.1
OG0001339	XP_033331285.1, XP_033331287.1, XP_033331286.1	XP_016838241.1
OG0001340	XP_033339650.1, XP_033339649.1	XP_008217856.1, XP_008217855.1
OG0001341	XP_033325431.1	NP_001153453.1, XP_031779954.1, XP_031780250.1, XP_016838627.1, XP_001607285.1, XP_003425180.1
OG0001342	XP_033334101.1	XP_003425750.1, XP_008203939.1, XP_008203938.1, XP_016838980.1
OG0001343	XP_033336674.1, XP_033336370.1	XP_001601945.2
OG0001344	XP_033325798.1	XP_001607984.1, XP_008207578.1, XP_016841395.1, XP_008207579.1, XP_008207583.1, XP_032456891.1
OG0001345	XP_033328117.1	XP_031779614.1, XP_031779613.1, XP_031779615.1
OG0001346	XP_033341908.1	XP_031784481.1, XP_008210966.1, XP_016845924.1
OG0001347	XP_033321822.1	XP_001604698.1, XP_008216502.1, XP_008216503.1
OG0001348	XP_033337642.1	XP_001606863.2
OG0001349	XP_033341785.1, XP_033324607.1	XP_001602614.1, XP_032455495.1
OG0001350	XP_033343041.1	XP_001605715.1
OG0001352	XP_033335226.1, XP_033335225.1, XP_033335224.1	XP_032451869.1
OG0001353	XP_033323348.1	XP_016844059.1
OG0001355	XP_033321262.1, XP_033331301.1, XP_033331297.1	XP_008216928.1, XP_016844928.1, XP_032455994.1, XP_032455995.1
OG0001356	XP_033322696.1	XP_031778484.1
OG0001358	XP_033341573.1, XP_033341571.1	XP_008214674.1, XP_031786190.1
OG0001359	XP_033338661.1, XP_033338656.1, XP_033338659.1, XP_033338658.1, XP_033338657.1	XP_008202436.1, NP_001161242.1, XP_008213830.1
OG0001360	XP_033341020.1, XP_033341024.1, XP_033341023.1, XP_033341021.1, XP_033341022.1	XP_008201802.1
OG0001361	XP_033332431.1	XP_008207741.1, XP_031781504.1
OG0001362	XP_033337167.1	XP_008212411.1, XP_031778926.1
OG0001363	XP_033331207.1	XP_001603876.1
OG0001364	XP_033324267.1, XP_033324387.1	XP_031784670.1, XP_031782456.1, XP_016838632.1, XP_008204291.1
OG0001365	XP_033342970.1	XP_031783221.1, XP_008205206.1, XP_031783220.1
OG0001366	XP_033332178.1	XP_031785741.1
OG0001367	XP_033337104.1	XP_001607620.2, XP_032452776.1, XP_032452777.1, XP_032452775.1
OG0001368	XP_033324217.1, XP_033324216.1	XP_016843234.1, XP_032456342.1
OG0001369	XP_033328476.1	XP_001603580.1, XP_001604815.1
OG0001371	XP_033343106.1	XP_008206388.1, XP_008206386.1, XP_008206387.1, XP_032454229.1
OG0001372	XP_033333084.1	XP_008215222.1
OG0001373	XP_033334491.1	XP_032455323.1, XP_008211543.1
OG0001374	XP_033336465.1	XP_016839749.1, XP_001601730.2
OG0001375	XP_033332162.1, XP_033332110.1	XP_031781862.1
OG0001376	XP_033321505.1	XP_001604095.1
OG0001377	XP_033325219.1	XP_001602249.2
OG0001378	XP_033331868.1	XP_031779623.1
OG0001379	XP_033333766.1	XP_008215244.1
OG0001380	XP_033325963.1	XP_001600076.1
OG0001381	XP_033328703.1, XP_033328704.1	XP_016840301.1, NP_001123273.1, XP_031777621.1
OG0001382	XP_033340856.1	XP_031778337.1, NP_001136324.1, XP_001607300.1
OG0001383	XP_033327241.1, XP_033327238.1, XP_033327237.1, XP_033327240.1, XP_033327239.1	XP_031778494.1
OG0001384	XP_033335089.1, XP_033335090.1, XP_033335088.1	XP_008203379.1, XP_031783653.1
OG0001385	XP_033324055.1	XP_016843471.1
OG0001386	XP_033332148.1	XP_031785711.1
OG0001387	XP_033323892.1	XP_001600628.1
OG0001388	XP_033334641.1	XP_016839954.1
OG0001389	XP_033329037.1, XP_033322441.1	XP_016838503.1, XP_016838497.1
OG0001390	XP_033331230.1	XP_008216297.1, XP_032453396.1, XP_008216298.1, XP_031780589.1
OG0001391	XP_033340978.1, XP_033340977.1	XP_031780571.1, XP_001603996.1
OG0001393	XP_033331823.1	XP_008215399.2, XP_008215395.1
OG0001394	XP_033329639.1	XP_001605729.1
OG0001395	XP_033332210.1	XP_016839204.1
OG0001396	XP_033341459.1	XP_008202634.1
OG0001397	XP_033321033.1	XP_016844742.2
OG0001398	XP_033339038.1	XP_008209743.1
OG0001399	XP_033341554.1	XP_031789445.1
OG0001401	XP_033324988.1, XP_033324989.1, XP_033324990.1	XP_001608147.1, XP_031788358.1
OG0001402	XP_033331427.1	XP_001601941.1
OG0001403	XP_033327869.1, XP_033327875.1	XP_016843505.1
OG0001404	XP_033342345.1, XP_033342346.1	XP_003428151.1
OG0001405	XP_033338114.1	XP_001602174.1
OG0001406	XP_033323474.1, XP_033323476.1, XP_033323475.1	XP_001602260.2
OG0001407	XP_033340428.1, XP_033340427.1	XP_031780689.1
OG0001408	XP_033329808.1	NP_001229367.1
OG0001409	XP_033322880.1	XP_008216652.1
OG0001410	XP_033326787.1	XP_016845424.1
OG0001412	XP_033335771.1	XP_031780326.1
OG0001413	XP_033333089.1	XP_003425582.1
OG0001414	XP_033323484.1, XP_033323485.1, XP_033323486.1	XP_001603315.1
OG0001415	XP_033340994.1	XP_016845728.1
OG0001417	XP_033334848.1, XP_033334847.1, XP_033334846.1, XP_033334849.1	XP_001603474.2
OG0001418	XP_033331754.1, XP_033321453.1, XP_033335309.1, XP_033335471.1, XP_033335515.1, XP_033335510.1, XP_033335511.1, XP_033339328.1, XP_033335514.1, XP_033335512.1	XP_008205143.1
OG0001419	XP_033337007.1	XP_031780519.1
OG0001421	XP_033323775.1, XP_033323776.1, XP_033323777.1, XP_033323784.1	XP_031781761.1
OG0001422	XP_033328316.1	XP_031782188.1
OG0001423	XP_033328804.1	XP_001604317.2, XP_032454830.1
