Orthogroup	Megalopta_genalis	Acyrthosiphon_pisum
OG0000824	XP_033329993.1, XP_033340971.1	XP_029342026.1, XP_003248928.3, XP_003241462.2, XP_008182289.1
OG0000825	XP_033323810.1	XP_003241553.2
OG0000826	XP_033333926.1	XP_003244511.1
OG0000827	XP_033321005.1	XP_016656812.1, XP_008179252.2
OG0000828	XP_033339344.1	XP_003245187.1, XP_008184040.1
OG0000829	XP_033331374.1	XP_003245191.1
OG0000830	XP_033341344.1, XP_033341434.1, XP_033341256.1	XP_008178146.1
OG0000831	XP_033342109.1	XP_008189605.1, XP_008180570.1, XP_016657902.1
OG0000832	XP_033330764.1	XP_008182919.1
OG0000833	XP_033331390.1	XP_008183110.1
OG0000834	XP_033326133.1, XP_033326132.1, XP_033326129.1, XP_033326131.1, XP_033326130.1	XP_008183381.1
OG0000835	XP_033331703.1, XP_033324997.1	XP_008189794.1
OG0000836	XP_033341667.1, XP_033331961.1, XP_033339436.1, XP_033331387.1	XP_016663271.1
OG0000837	XP_033331555.1, XP_033331556.1, XP_033331558.1	XP_016663450.1
OG0000838	XP_033336040.1, XP_033336052.1	XP_016663923.1, XP_016663922.1, XP_016663921.1
OG0000839	XP_033329533.1	XP_029342210.1
OG0000840	XP_033340416.1	XP_029344086.1
OG0000849	XP_033326071.1, XP_033326070.1	NP_001155432.1
OG0000850	XP_033331573.1, XP_033331572.1	NP_001155554.1, XP_008179389.1
OG0000851	XP_033327445.1, XP_033327442.1, XP_033327443.1, XP_033327444.1	XP_003246520.1, NP_001155696.1, XP_029347342.1
OG0000852	XP_033334145.1, XP_033334146.1	XP_016661807.1, NP_001156121.1
OG0000853	XP_033338884.1	NP_001156172.1
OG0000854	XP_033341953.1, XP_033341954.1, XP_033341952.1	XP_008178183.1, XP_029340894.1, XP_008183153.1, XP_008181121.1, XP_008178737.1, XP_008180857.1, XP_008180959.1, NP_001229571.1, NP_001229572.1
OG0000855	XP_033328341.1	NP_001280372.1, XP_016660360.1, XP_016660358.1, XP_016660357.1, XP_001951501.1
OG0000856	XP_033335410.1	XP_001944203.2
OG0000856	XP_033335424.1	NP_001313579.1
OG0000857	XP_033336856.1	XP_001942608.1, XP_003247461.2, XP_029344421.1, XP_029344420.1
OG0000858	XP_033323980.1	XP_001948394.1
OG0000858	XP_033331275.1	XP_001943018.1
OG0000859	XP_033341427.1	XP_001943333.1
OG0000860	XP_033339012.1, XP_033339010.1, XP_033339011.1	XP_029348649.1, XP_029348648.1, XP_029345221.1, XP_001943371.2
OG0000861	XP_033323637.1	XP_001943495.2, XP_001947434.2
OG0000862	XP_033323788.1, XP_033323791.1, XP_033323792.1, XP_033323789.1, XP_033323790.1	XP_001943841.2
OG0000863	XP_033337885.1	XP_001944634.1
OG0000864	XP_033328031.1	XP_029345798.1, XP_029342614.1, XP_001945030.2, XP_008185465.2, XP_029346668.1
OG0000865	XP_033333958.1	XP_001951167.1, XP_029345436.1, XP_001945062.1
OG0000866	XP_033335441.1, XP_033335442.1, XP_033335439.1, XP_033335438.1, XP_033335443.1	XP_008183938.1, XP_001945084.3
OG0000867	XP_033321317.1	XP_001945535.1, XP_008181986.1
OG0000868	XP_033341158.1, XP_033341155.1	XP_008183386.1, XP_001945634.2
OG0000869	XP_033323815.1, XP_033323813.1, XP_033323812.1, XP_033323811.1	XP_001945684.1, XP_008185644.1
OG0000870	XP_033327373.1, XP_033327374.1	XP_001945801.1
OG0000871	XP_033335767.1, XP_033335765.1	XP_001946071.2, XP_016659112.1
OG0000872	XP_033342110.1	XP_001946312.1
OG0000873	XP_033326410.1	XP_001946748.1, XP_008187164.1
OG0000874	XP_033328455.1, XP_033328456.1	XP_003245660.1, XP_008184747.1, XP_003245661.1, XP_001946753.1
OG0000875	XP_033332238.1, XP_033332239.1, XP_033332240.1, XP_033332241.1	XP_001947094.1, XP_001950328.1
OG0000876	XP_033327623.1, XP_033327624.1, XP_033327622.1, XP_033327625.1	XP_001947490.1
OG0000877	XP_033332054.1	XP_016659610.1, XP_001947810.2, XP_008182746.1
OG0000878	XP_033329351.1, XP_033329435.1, XP_033329348.1	XP_001948817.3
OG0000879	XP_033337729.1, XP_033337731.1	XP_008186646.1, XP_001949000.1
OG0000880	XP_033335948.1, XP_033335947.1, XP_033335946.1	XP_001949920.1
OG0000881	XP_033320874.1, XP_033320873.1	XP_001950664.1
OG0000882	XP_033333427.1	XP_001951125.1
OG0000883	XP_033324661.1	XP_001951272.1, XP_029346319.1
OG0000884	XP_033324890.1	XP_001952050.1
OG0000885	XP_033329552.1, XP_033329551.1, XP_033329550.1, XP_033329549.1	XP_029346362.1, XP_001952390.3
OG0000886	XP_033324028.1	XP_003240757.1
OG0000887	XP_033333972.1, XP_033333973.1	XP_008180113.2, XP_003241963.1
OG0000888	XP_033329999.1	XP_003241970.1
OG0000890	XP_033337067.1, XP_033337074.1	XP_003243340.1
OG0000891	XP_033329049.1, XP_033329048.1	XP_003247112.1, XP_008186872.1
OG0000892	XP_033329142.1, XP_033329141.1, XP_033331857.1	XP_003248220.1
OG0000893	XP_033335146.1	XP_008178439.1
OG0000894	XP_033336733.1	XP_008183275.1, XP_016660008.1, XP_008183276.1
OG0000895	XP_033327441.1, XP_033327361.1	XP_008184057.1, XP_008184060.1
OG0000897	XP_033321303.1, XP_033321304.1, XP_033321302.1	XP_008187836.1, XP_029348219.1
OG0000898	XP_033324066.1, XP_033324065.1	XP_008188166.1, XP_016662338.1, XP_008188167.1
OG0000899	XP_033323280.1	XP_008190224.1
OG0000900	XP_033338649.1	XP_029348646.1, XP_029348252.1, XP_029348249.1, XP_016656087.1
OG0000901	XP_033342637.1	XP_016657701.1
OG0000902	XP_033325185.1	XP_029344113.1, XP_029342492.1
OG0000903	XP_033334211.1, XP_033334192.1	XP_029344196.1
OG0000904	XP_033338446.1, XP_033325719.1	XP_029344572.1
OG0000914	XP_033332627.1, XP_033332631.1	NP_001119658.1
OG0000916	XP_033341712.1, XP_033341741.1	NP_001139376.1, XP_008186625.1
OG0000917	XP_033339626.1	NP_001155773.1
OG0000918	XP_033334576.1	NP_001155912.1, NP_001155913.1, XP_029344818.1, NP_001280315.1, XP_008179505.1
OG0000919	XP_033332363.1, XP_033332362.1	NP_001156227.1
OG0000920	XP_033340048.1	NP_001156240.1
OG0000921	XP_033320915.1, XP_033320914.1	NP_001156300.1, XP_008187141.1
OG0000922	XP_033327302.1, XP_033327300.1, XP_033327301.1	XP_001946443.2, XP_008183734.1, XP_003248866.1, NP_001156609.1, XP_001944676.2
OG0000923	XP_033338947.1	NP_001164574.1, XP_008187055.1
OG0000924	XP_033331246.1, XP_033331247.1, XP_033331248.1, XP_033331249.1	NP_001229388.1
OG0000925	XP_033341174.1, XP_033341170.1	XP_008187537.1, NP_001233045.1
OG0000926	XP_033331236.1	XP_008182054.2, NP_001280355.1, XP_029344992.1
OG0000927	XP_033341765.1	NP_001280399.1
OG0000928	XP_033325475.1	XP_029341942.1, NP_001280428.1, XP_029341681.1
OG0000929	XP_033342980.1	NP_001280437.1
OG0000930	XP_033333008.1, XP_033333009.1, XP_033333010.1	NP_001313604.1, XP_008189583.1
OG0000931	XP_033339679.1	XP_029345416.1, XP_029345417.1, XP_016663327.1, XP_001952363.2, XP_016662613.2, XP_001942858.2
OG0000932	XP_033342708.1	XP_001943099.2
OG0000933	XP_033340317.1, XP_033339921.1, XP_033328903.1	XP_001943172.1, XP_008179604.1
OG0000934	XP_033324343.1	XP_001944196.2
OG0000935	XP_033338472.1	XP_001944948.1
OG0000936	XP_033322963.1	XP_001945205.2
OG0000937	XP_033329538.1, XP_033329619.1, XP_033329617.1, XP_033329618.1	XP_008178642.1, XP_001945217.2
OG0000938	XP_033337469.1	XP_001945652.1
OG0000939	XP_033328434.1, XP_033328388.1	XP_001945785.1
OG0000941	XP_033330406.1, XP_033330404.1, XP_033330407.1	XP_001945966.2
OG0000942	XP_033342180.1, XP_033342196.1, XP_033342171.1, XP_033342188.1	XP_001946481.2
OG0000943	XP_033324797.1, XP_033324795.1	XP_001946503.2
OG0000944	XP_033335860.1, XP_033335864.1	XP_001947363.2
OG0000945	XP_033340987.1, XP_033340989.1	XP_001948033.2
OG0000946	XP_033338836.1, XP_033330204.1	XP_003244186.1, XP_016659445.1, XP_003244189.1, XP_001948517.2
OG0000947	XP_033336331.1	XP_001948722.2, XP_008187405.1
OG0000948	XP_033331636.1, XP_033331637.1	XP_001949122.1
OG0000949	XP_033333797.1, XP_033343079.1, XP_033343080.1, XP_033343081.1, XP_033343082.1, XP_033320769.1	XP_001950177.2, XP_029346868.1
OG0000950	XP_033323558.1, XP_033323559.1, XP_033323560.1	XP_001951330.2
OG0000951	XP_033332639.1, XP_033332638.1	XP_001952160.1, XP_001952152.1
OG0000952	XP_033327799.1	XP_001952250.1
OG0000953	XP_033339478.1	XP_003240168.1
OG0000954	XP_033333557.1, XP_033333683.1	XP_003243748.1
OG0000955	XP_033330558.1	XP_029348703.1, XP_029341424.1, XP_016659608.2, XP_029341791.1, XP_003244295.1
OG0000957	XP_033327376.1, XP_033327377.1, XP_033327375.1	XP_003244828.1
OG0000958	XP_033336951.1, XP_033336953.1	XP_003245221.3, XP_029345967.1
OG0000959	XP_033339327.1, XP_033339325.1	XP_003245859.1
OG0000960	XP_033336039.1	XP_003246536.1, XP_008186054.1, XP_016662375.1, XP_029344665.1
OG0000961	XP_033324139.1, XP_033324058.1	XP_029346196.1, XP_003248547.1
OG0000962	XP_033330788.1, XP_033330791.1	XP_008178430.1, XP_008178426.1
OG0000963	XP_033333707.1	XP_008179407.1, XP_008179408.1
OG0000964	XP_033334231.1, XP_033334232.1	XP_008180409.1
OG0000965	XP_033325969.1	XP_008182226.1, XP_029344326.1
OG0000966	XP_033339240.1, XP_033339239.1	XP_008182879.1
OG0000967	XP_033327106.1	XP_016660332.1, XP_016660333.1, XP_008183656.2, XP_008183647.2
OG0000968	XP_033328909.1, XP_033328904.1, XP_033328905.1	XP_008184679.1, XP_008184681.1
OG0000969	XP_033329196.1	XP_016658579.1, XP_016659899.1, XP_016662258.2
OG0000969	XP_033323548.1	XP_008186924.1
OG0000970	XP_033342842.1, XP_033342843.1, XP_033342841.1	XP_016661949.1, XP_008187412.1
OG0000971	XP_033331031.1, XP_033331047.1	XP_008187914.1
OG0000972	XP_033342734.1	XP_008189931.1, XP_029343272.1, XP_016657202.1
OG0000973	XP_033339764.1	XP_016656963.1
OG0000974	XP_033330881.1, XP_033330888.1, XP_033330882.1	XP_016657883.1
OG0000975	XP_033327010.1, XP_033326986.1	XP_016660728.1, XP_029346858.1
OG0000976	XP_033322238.1, XP_033322154.1, XP_033322324.1	XP_016661759.1, XP_016661760.1
OG0000977	XP_033323828.1	XP_016662161.1
OG0000978	XP_033320772.1, XP_033334688.1	XP_016663179.1
OG0000979	XP_033330237.1, XP_033339159.1	XP_029341765.1, XP_029341057.1, XP_029341501.1
OG0000980	XP_033329496.1	XP_029342234.1, XP_029345153.1, XP_029346342.1
OG0000981	XP_033321480.1, XP_033326810.1	XP_029343351.1, XP_029342235.1
OG0000982	XP_033340630.1	XP_029343197.1
OG0000983	XP_033321222.1, XP_033321225.1, XP_033321223.1, XP_033321226.1	XP_029344536.1
OG0000984	XP_033328668.1	XP_029346848.1
OG0000984	XP_033328658.1	XP_029345642.1
OG0000985	XP_033320990.1	XP_029345675.1
OG0000986	XP_033338976.1, XP_033335560.1	XP_029345917.1
OG0000987	XP_033322185.1, XP_033324118.1	XP_029347197.1
OG0000992	XP_033330170.1, XP_033330171.1	NP_001119688.1, XP_008186477.1
OG0000993	XP_033321472.1	XP_008180030.1, NP_001155787.1, NP_001156279.1, NP_001155400.1
OG0000994	XP_033334244.1, XP_033334245.1	NP_001155677.1
OG0000995	XP_033320898.1	NP_001156043.1, NP_001155760.1
OG0000996	XP_033326795.1	XP_029347277.1, NP_001155868.1
OG0000997	XP_033323347.1	XP_001949764.1
OG0000998	XP_033333519.1, XP_033333518.1	NP_001156289.1, XP_016656740.1
OG0000999	XP_033330325.1	NP_001162142.1
OG0001000	XP_033331936.1, XP_033331946.1	NP_001233031.1, XP_008178887.1
OG0001001	XP_033336870.1	XP_008185400.1, NP_001233092.1
OG0001002	XP_033341676.1, XP_033341695.1	NP_001233101.1
OG0001003	XP_033340689.1	NP_001268887.1, XP_016656764.1
OG0001004	XP_033325389.1	XP_001946521.1
OG0001005	XP_033330827.1	XP_001942942.1
OG0001006	XP_033342465.1, XP_033342466.1	XP_001943026.2
OG0001007	XP_033336108.1	XP_029344489.1, XP_001943043.1
OG0001008	XP_033342998.1	XP_003246086.1, XP_001943103.2
OG0001009	XP_033325838.1, XP_033342936.1	XP_001943449.2
OG0001010	XP_033331831.1	XP_001943636.2, XP_001943523.1
OG0001011	XP_033337566.1	XP_001943714.1
OG0001012	XP_033333094.1	XP_001944015.1
OG0001013	XP_033323900.1, XP_033323902.1	XP_008180675.1, XP_003248807.2, XP_001944587.3
OG0001015	XP_033334862.1	XP_001951086.1, XP_003248708.1
OG0001016	XP_033328945.1, XP_033342709.1	XP_001945112.2
OG0001017	XP_033340793.1	XP_001945330.2, XP_016655808.2
OG0001019	XP_033335112.1	XP_001946692.2
OG0001020	XP_033339021.1	XP_001946841.2
OG0001021	XP_033335004.1	XP_001947318.2, XP_003242586.1, XP_003242585.1
OG0001022	XP_033332662.1, XP_033332665.1	XP_001947414.2
OG0001023	XP_033334891.1, XP_033334892.1	XP_001947762.1, XP_008180348.1
OG0001024	XP_033335894.1, XP_033335895.1, XP_033335897.1	XP_029343548.1, XP_001947776.2
OG0001025	XP_033326022.1	XP_029343659.1, XP_001948094.2
OG0001026	XP_033337831.1	XP_001948463.2, XP_001948416.2, XP_029346922.1, XP_029346921.1, XP_029346920.1
OG0001027	XP_033328121.1, XP_033328119.1, XP_033328120.1	XP_001948533.1
OG0001028	XP_033342084.1, XP_033320854.1	XP_001948556.2
OG0001029	XP_033332475.1, XP_033332487.1	XP_008190084.1, XP_029342788.1
OG0001030	XP_033324041.1	XP_016661322.1, XP_008184787.1, XP_003245679.1, XP_003245680.1, XP_008184785.1, XP_029342642.1, XP_001948670.2
OG0001031	XP_033341416.1, XP_033341415.1, XP_033341417.1, XP_033341414.1	XP_001949042.1
OG0001032	XP_033330122.1, XP_033330124.1, XP_033342599.1	XP_001949161.2
OG0001033	XP_033328959.1	XP_001949643.1
OG0001034	XP_033324169.1	XP_001949856.2, XP_016659465.1
OG0001035	XP_033323993.1	XP_001949960.1
OG0001036	XP_033333456.1, XP_033333452.1, XP_033337123.1	XP_001950214.2
OG0001037	XP_033333213.1	XP_029343413.1, XP_001950704.2
OG0001038	XP_033324259.1	XP_003245753.1, XP_001951213.2
OG0001039	XP_033330410.1	XP_001952170.1
OG0001040	XP_033341328.1	XP_001952444.1
OG0001041	XP_033326930.1, XP_033326929.1	XP_003240137.1
OG0001042	XP_033337407.1, XP_033337454.1, XP_033337435.1, XP_033337416.1, XP_033337426.1, XP_033337445.1	XP_003242156.1, XP_016657148.2
OG0001043	XP_033328373.1, XP_033328372.1	XP_003242212.1, XP_016657192.1
OG0001044	XP_033340709.1, XP_033340717.1	XP_029345616.1, XP_003246254.2
OG0001045	XP_033333148.1	XP_003246846.1, XP_029347130.1, XP_029347128.1, XP_029347129.1
OG0001046	XP_033338364.1, XP_033338361.1, XP_033338362.1, XP_033338360.1, XP_033338363.1	XP_003247064.1, XP_008186797.1
OG0001048	XP_033328616.1	XP_029341307.1, XP_008178442.1
OG0001049	XP_033334373.1	XP_008180098.1
OG0001050	XP_033334659.1	XP_016657682.1, XP_008180288.1
OG0001051	XP_033342478.1	XP_008189529.1, XP_008180713.1, XP_016656400.1
OG0001052	XP_033324321.1	XP_008182858.1, XP_008182857.1
OG0001053	XP_033324032.1, XP_033324034.1	XP_008184495.1
OG0001054	XP_033338773.1, XP_033338774.1, XP_033338770.1, XP_033338771.1, XP_033338772.1	XP_008185488.1, XP_008185487.1, XP_029347617.1
OG0001055	XP_033323439.1	XP_008187614.1
OG0001056	XP_033330201.1, XP_033330119.1	XP_008187892.1
OG0001057	XP_033328156.1	XP_008187989.1
OG0001058	XP_033320886.1	XP_029345982.1, XP_029345983.1, XP_008188372.2, XP_029345984.1
OG0001059	XP_033339480.1, XP_033339161.1	XP_008188476.1
OG0001060	XP_033337027.1	XP_008188543.1
OG0001061	XP_033325808.1, XP_033325809.1	XP_016655779.1
OG0001062	XP_033325321.1	XP_029341858.1
OG0001063	XP_033342623.1, XP_033326899.1	XP_029341043.1, XP_016656351.2, XP_029341494.1
OG0001065	XP_033330489.1	XP_016662735.1
OG0001066	XP_033342242.1, XP_033342247.1, XP_033342249.1	XP_029341094.1
OG0001067	XP_033334970.1	XP_029347427.1, XP_029342601.1
OG0001068	XP_033340448.1	XP_029342993.1, XP_029342992.1
OG0001069	XP_033336175.1, XP_033336177.1, XP_033336172.1, XP_033336171.1, XP_033336174.1, XP_033336173.1, XP_033336176.1	XP_029343159.1
OG0001070	XP_033328836.1	XP_029343506.1, XP_029343509.1
OG0001071	XP_033321152.1	XP_029344587.1, XP_029344586.1, XP_029344584.1, XP_029344588.1
OG0001072	XP_033323441.1	XP_029346976.1, XP_029346977.1
OG0001090	XP_033327128.1, XP_033327130.1	NP_001129420.1
OG0001091	XP_033325831.1, XP_033325832.1	NP_001153848.1, XP_029348531.1, XP_029341881.1, XP_001947968.1, XP_029347308.1, XP_001946133.2
OG0001092	XP_033323362.1, XP_033323354.1	NP_001155140.1, XP_008187000.1
OG0001093	XP_033340576.1, XP_033340575.1	XP_008179870.1, NP_001155505.1
OG0001094	XP_033340018.1	NP_001155508.1, XP_001949834.1
OG0001095	XP_033341802.1, XP_033341801.1, XP_033341800.1	NP_001156278.1, NP_001155646.1
OG0001096	XP_033338473.1	NP_001155662.1
OG0001097	XP_033331437.1	NP_001155680.1
OG0001098	XP_033338654.1	XP_016661622.1, NP_001155733.1
OG0001099	XP_033332278.1	XP_029348134.1, NP_001155764.1
OG0001100	XP_033330655.1, XP_033330654.1, XP_033330961.1	NP_001155768.1
OG0001101	XP_033342811.1, XP_033342812.1, XP_033342810.1	XP_001948284.2, XP_016657265.1, XP_029341296.1, NP_001156051.1
OG0001102	XP_033324282.1	NP_001156053.1
OG0001103	XP_033337723.1	XP_008182544.1, NP_001156129.1, XP_016657962.1, XP_008180461.1
OG0001104	XP_033327975.1	NP_001156133.1, XP_008181357.1
OG0001105	XP_033323666.1, XP_033323665.1	NP_001156173.1, NP_001233027.1
OG0001107	XP_033337995.1	NP_001233091.1, XP_001946336.2
OG0001108	XP_033327279.1	XP_008181413.1, XP_008181414.1, NP_001280378.1
OG0001109	XP_033332635.1	XP_008188103.1, NP_001280404.1, XP_029343710.1
OG0001110	XP_033334625.1	XP_001942870.1, XP_029341142.1
OG0001111	XP_033325249.1, XP_033325248.1, XP_033325247.1	XP_001943176.2
OG0001112	XP_033321712.1	XP_001943561.1
OG0001113	XP_033337171.1	XP_001943767.1
OG0001114	XP_033320960.1	XP_001943824.1
OG0001115	XP_033327270.1	XP_001944095.2
OG0001116	XP_033325653.1	XP_001944235.1
OG0001117	XP_033325640.1, XP_033325642.1, XP_033325641.1	XP_001944518.2
OG0001118	XP_033321496.1, XP_033321495.1, XP_033321494.1	XP_001944745.2, XP_003242948.1
OG0001119	XP_033335082.1, XP_033335081.1	XP_001945455.1
OG0001121	XP_033323014.1	XP_003240109.1, XP_001945890.2
OG0001122	XP_033330758.1	XP_029345343.1, XP_001946021.2, XP_029345344.1, XP_016663184.1, XP_008187069.1, XP_008187068.1
OG0001123	XP_033322309.1, XP_033322308.1, XP_033322312.1, XP_033322310.1, XP_033322311.1, XP_033322307.1	XP_001946462.2
OG0001124	XP_033325871.1	XP_001946733.1, XP_016656939.1, XP_016656937.1, XP_016656938.1
OG0001125	XP_033330109.1	XP_003242835.1, XP_001947132.2
OG0001126	XP_033329500.1, XP_033329499.1, XP_033329498.1	XP_016657415.1, XP_001947403.1
OG0001127	XP_033340486.1, XP_033340519.1	XP_001947574.2
OG0001128	XP_033340447.1	XP_001947778.1, XP_008186751.2
OG0001129	XP_033327738.1	XP_003243491.1, XP_001947806.2
OG0001130	XP_033339147.1	XP_016663878.1, XP_016663877.1, XP_029346824.1, XP_029346823.1, XP_001947874.1
OG0001131	XP_033330921.1, XP_033330920.1	XP_008187678.1, XP_001947895.2
OG0001132	XP_033338146.1	XP_001948183.1
OG0001133	XP_033333210.1	XP_008181566.1, XP_001948369.2, XP_029348595.1, XP_001948315.1, XP_001950289.2, XP_029342588.1, XP_001951217.2, XP_008189358.2
OG0001134	XP_033323394.1	XP_001948516.2
OG0001135	XP_033326143.1, XP_033326144.1, XP_033326142.1, XP_033326141.1	XP_029341736.1, XP_001949162.2, XP_016662877.1
OG0001136	XP_033323988.1	XP_001949200.2
OG0001137	XP_033329863.1, XP_033329864.1	XP_001949566.1
OG0001138	XP_033343008.1	XP_016659058.1, XP_001949598.1
OG0001139	XP_033342611.1, XP_033342580.1, XP_033320808.1	XP_001949754.1
OG0001140	XP_033338049.1	XP_001950299.1
OG0001141	XP_033329432.1, XP_033329433.1	XP_016663836.1, XP_001950325.2
OG0001142	XP_033338864.1, XP_033338863.1	XP_001950807.2, XP_029346999.1
OG0001143	XP_033325901.1, XP_033325895.1, XP_033325897.1, XP_033325898.1, XP_033325899.1, XP_033325900.1	XP_001950810.1
OG0001145	XP_033334364.1, XP_033334360.1, XP_033334362.1, XP_033334361.1, XP_033334363.1	XP_001950913.1
OG0001146	XP_033337181.1, XP_033325828.1	XP_001950937.1
OG0001147	XP_033338209.1, XP_033338211.1, XP_033338212.1, XP_033338210.1	XP_001950988.1
OG0001149	XP_033334903.1	XP_001951630.1
OG0001150	XP_033326716.1	XP_001951748.2, XP_008183754.1, XP_029346633.1
OG0001151	XP_033334650.1	XP_016658645.1, XP_001952434.2
OG0001152	XP_033331452.1, XP_033331451.1, XP_033331450.1, XP_033335406.1	XP_001952516.2
OG0001153	XP_033323509.1, XP_033323512.1	XP_029345485.1, XP_001952587.2
OG0001154	XP_033324878.1, XP_033324875.1	XP_016662028.1, XP_001952667.2
OG0001155	XP_033327789.1	XP_001952747.1
OG0001156	XP_033331749.1	XP_016664861.1, XP_003241429.1
OG0001157	XP_033338809.1, XP_033338798.1, XP_033338787.1	XP_003243823.1
OG0001158	XP_033328897.1	XP_016659863.1, XP_003244542.1, XP_016659864.1
OG0001159	XP_033337175.1, XP_033322893.1, XP_033322892.1, XP_033322889.1, XP_033322891.1, XP_033322890.1	XP_003245082.1
OG0001160	XP_033333704.1, XP_033333703.1	XP_003245361.2
OG0001161	XP_033336253.1	XP_008183803.1
OG0001161	XP_033336444.1	XP_003246305.2
OG0001162	XP_033338984.1, XP_033338982.1	XP_008179593.1, XP_003246402.2, XP_029343947.1, XP_029343948.1
OG0001163	XP_033323984.1, XP_033323985.1, XP_033323983.1	XP_003247117.1, XP_016663049.1, XP_008183882.1, XP_008181341.1
OG0001164	XP_033330867.1	XP_003247679.1
OG0001165	XP_033325372.1, XP_033325371.1	XP_008179184.1, XP_008179192.1
OG0001166	XP_033340853.1	XP_008179444.1
OG0001167	XP_033329069.1, XP_033329070.1, XP_033329071.1, XP_033329072.1, XP_033329073.1	XP_008181511.1, XP_008181512.1
OG0001168	XP_033339685.1, XP_033339684.1	XP_008183195.2, XP_029345196.1, XP_016662902.1, XP_029344862.1
OG0001169	XP_033336118.1, XP_033336119.1	XP_008183336.1, XP_029345140.1
OG0001170	XP_033333082.1, XP_033333078.1, XP_033333083.1, XP_033333080.1, XP_033333081.1	XP_008183769.1, XP_008183773.1, XP_016660433.1, XP_016660432.1, XP_016660431.1
OG0001171	XP_033323480.1, XP_033338191.1, XP_033323479.1	XP_008183856.1
OG0001172	XP_033337196.1, XP_033337191.1	XP_008184424.1
OG0001173	XP_033325207.1	XP_008184447.1
OG0001174	XP_033325129.1	XP_029345281.1, XP_008185305.1
OG0001175	XP_033328293.1, XP_033328292.1, XP_033328291.1	XP_008185682.1
OG0001176	XP_033334241.1, XP_033334242.1	XP_008188774.1
OG0001179	XP_033326082.1, XP_033326083.1, XP_033326084.1	XP_008190154.1
OG0001180	XP_033323213.1	XP_016657120.1
OG0001181	XP_033322804.1	XP_016657278.1
OG0001182	XP_033342889.1, XP_033342895.1	XP_016657683.1
OG0001183	XP_033321792.1, XP_033321801.1	XP_029343309.1, XP_016658013.1
OG0001184	XP_033334070.1, XP_033334075.1	XP_016659463.1
OG0001185	XP_033335392.1	XP_016660106.1, XP_016660104.1, XP_016660111.1
OG0001186	XP_033327357.1, XP_033327358.1, XP_033327355.1, XP_033327356.1, XP_033327359.1	XP_016660542.1, XP_016660541.1
OG0001187	XP_033327329.1	XP_016661530.1, XP_029346066.1
OG0001189	XP_033336245.1	XP_029343923.1
OG0001190	XP_033338253.1	XP_029344471.1
OG0001191	XP_033341679.1	XP_029346223.1
OG0001193	XP_033336894.1	XP_029346928.1, XP_029346927.1, XP_029346926.1, XP_029346925.1
OG0001214	XP_033324526.1, XP_033324525.1	NP_001153813.1, NP_001153811.1, NP_001153812.1
OG0001215	XP_033336550.1, XP_033336549.1	NP_001153873.1, XP_029347957.1
OG0001216	XP_033331986.1, XP_033331993.1	NP_001153944.1, XP_003249047.1
OG0001217	XP_033338712.1, XP_033338710.1	NP_001155454.1
OG0001218	XP_033339952.1, XP_033339953.1	NP_001155457.1, XP_008179466.1
OG0001219	XP_033338491.1, XP_033338492.1	NP_001155464.1, XP_001949090.1, XP_003248969.1
OG0001220	XP_033338496.1, XP_033338497.1, XP_033338495.1	NP_001155533.1
OG0001221	XP_033332841.1	XP_001951050.1
OG0001222	XP_033327693.1	NP_001155665.2, NP_001156815.1
OG0001223	XP_033322887.1	XP_008182091.1, NP_001155667.1
OG0001224	XP_033338548.1, XP_033338552.1	NP_001156103.1
OG0001225	XP_033327582.1, XP_033327580.1	NP_001156193.1
OG0001226	XP_033323368.1, XP_033323367.1, XP_033323371.1, XP_033323370.1, XP_033323366.1	NP_001156283.1, XP_029341458.1, XP_008184693.1, XP_008184699.1, XP_008184694.1
OG0001228	XP_033321096.1	XP_001947886.1, NP_001280309.1
OG0001229	XP_033339510.1	NP_001280441.1
OG0001230	XP_033328206.1, XP_033328205.1, XP_033328207.1, XP_033328204.1	XP_008184848.1, NP_001280446.1
OG0001231	XP_033334870.1	XP_001943183.2, XP_008186393.1
OG0001232	XP_033328496.1	XP_001942726.2, XP_001942882.2, XP_029342527.1, XP_016659130.1, XP_008182073.1, XP_001950130.3
OG0001233	XP_033327337.1	XP_001944566.2, XP_016662541.1, XP_016657430.1, XP_001943267.2
OG0001234	XP_033326409.1	XP_001943476.2
OG0001236	XP_033321426.1	XP_001944534.1
OG0001237	XP_033342687.1	XP_029343933.1, XP_001945027.2, XP_003245282.1, XP_003245283.1
OG0001238	XP_033337766.1, XP_033337767.1	XP_008188368.1, XP_001945158.2, XP_001950494.2
OG0001239	XP_033331661.1	XP_001945277.2, XP_008183013.1, XP_016656349.1
OG0001240	XP_033342584.1, XP_033342582.1, XP_033342585.1, XP_033342583.1, XP_033342581.1	XP_001945375.1
OG0001241	XP_033334766.1, XP_033334769.1	XP_029343094.1, XP_029343095.1, XP_001946090.2
OG0001242	XP_033340326.1, XP_033340325.1	XP_001946147.2
OG0001244	XP_033342274.1	XP_001946280.2
OG0001245	XP_033330435.1	XP_001946431.1
OG0001246	XP_033330518.1	XP_001947027.2
OG0001247	XP_033325507.1, XP_033325505.1	XP_001951687.2, XP_003243969.1, XP_001947095.2, XP_008182260.1
OG0001248	XP_033338006.1	XP_008180352.1, XP_001947336.2
OG0001249	XP_033332368.1, XP_033332358.1	XP_008179609.1, XP_001947420.1
