Orthogroup	Osmia_bicornis	Eufriesea_mexicana
OG0000699	XP_029044849.1, XP_029044850.1	XP_017755725.1
OG0000700	XP_029048555.1	XP_017766324.1
OG0000701	XP_029049661.1	XP_017753595.1
OG0000702	XP_029035691.1, XP_029035689.1, XP_029035692.1	XP_017759627.1
OG0000704	XP_029042168.1	XP_017767699.1
OG0000705	XP_029047307.1, XP_029047308.1, XP_029047306.1, XP_029047240.1	XP_017763750.1
OG0000706	XP_029055599.1	XP_017760158.1
OG0000707	XP_029036302.1	XP_017763037.1
OG0000708	XP_029055749.1, XP_029055751.1, XP_029055752.1, XP_029055753.1, XP_029055754.1	XP_017757450.1
OG0000710	XP_029032605.1, XP_029032607.1, XP_029032608.1	XP_017757009.1
OG0000711	XP_029039003.1, XP_029039005.1, XP_029039004.1	XP_017756189.1, XP_017756188.1, XP_017756190.1, XP_017756191.1
OG0000713	XP_029048014.1, XP_029048015.1, XP_029048013.1	XP_017761719.1
OG0000714	XP_029035420.1, XP_029035419.1, XP_029035418.1	XP_017754839.1
OG0000715	XP_029053037.1	XP_017753661.1
OG0000717	XP_029037380.1, XP_029037381.1	XP_017760780.1
OG0000718	XP_029041177.1	XP_017752757.1
OG0000719	XP_029046278.1, XP_029046280.1, XP_029046281.1, XP_029046282.1	XP_017757336.1
OG0000720	XP_029045065.1, XP_029045090.1, XP_029045064.1, XP_029045066.1	XP_017763142.1
OG0000721	XP_029047045.1	XP_017755929.1
OG0000722	XP_029040564.1	XP_017766221.1
OG0000723	XP_029052405.1	XP_017764628.1
OG0000724	XP_029050040.1, XP_029050041.1, XP_029050039.1	XP_017766910.1
OG0000725	XP_029034466.1, XP_029034467.1, XP_029034468.1, XP_029034469.1	XP_017759705.1
OG0000727	XP_029037335.1, XP_029037336.1	XP_017764225.1
OG0000728	XP_029046110.1, XP_029046091.1, XP_029046101.1	XP_017758634.1
OG0000729	XP_029047443.1	XP_017753245.1
OG0000730	XP_029043958.1, XP_029043956.1, XP_029043954.1	XP_017752630.1, XP_017752629.1
OG0000731	XP_029044547.1	XP_017761262.1
OG0000732	XP_029044548.1, XP_029044550.1, XP_029044549.1	XP_017760051.1, XP_017760052.1
OG0000733	XP_029044482.1, XP_029044481.1, XP_029044483.1	XP_017766626.1
OG0000734	XP_029046837.1, XP_029046838.1, XP_029046836.1	XP_017764168.1, XP_017764169.1
OG0000735	XP_029051552.1	XP_017758993.1
OG0000736	XP_029049604.1	XP_017764517.1
OG0000738	XP_029037041.1	XP_017752369.1
OG0000739	XP_029047217.1	XP_017752439.1, XP_017752440.1, XP_017752436.1, XP_017752437.1, XP_017752438.1
OG0000740	XP_029044564.1, XP_029044565.1, XP_029044566.1, XP_029044567.1	XP_017766169.1
OG0000741	XP_029050126.1	XP_017763367.1, XP_017763368.1, XP_017763366.1
OG0000742	XP_029054589.1, XP_029054613.1, XP_029054600.1, XP_029054614.1	XP_017758020.1
OG0000743	XP_029044746.1, XP_029044745.1	XP_017755779.1
OG0000744	XP_029052926.1	XP_017756850.1
OG0000745	XP_029045453.1, XP_029045454.1, XP_029045455.1	XP_017756655.1
OG0000746	XP_029046438.1, XP_029046437.1, XP_029046430.1	XP_017753711.1
OG0000747	XP_029051825.1	XP_017760417.1
OG0000748	XP_029047535.1	XP_017758436.1
OG0000749	XP_029039432.1	XP_017760638.1, XP_017760637.1
OG0000750	XP_029045928.1, XP_029045929.1	XP_017762996.1
OG0000751	XP_029045940.1	XP_017762997.1
OG0000752	XP_029056379.1	XP_017766493.1, XP_017766492.1
OG0000753	XP_029048182.1	XP_017767743.1
OG0000753	XP_029048179.1	XP_017767742.1
OG0000754	XP_029035463.1	XP_017758948.1
OG0000755	XP_029054684.1, XP_029054682.1	XP_017758785.1, XP_017758777.1
OG0000756	XP_029032734.1	XP_017753801.1, XP_017753795.1
OG0000757	XP_029049493.1	XP_017762635.1, XP_017762632.1, XP_017762634.1, XP_017762633.1, XP_017762637.1, XP_017762636.1
OG0000758	XP_029041904.1	XP_017767220.1, XP_017767222.1, XP_017767221.1
OG0000759	XP_029048986.1	XP_017758531.1, XP_017758530.1, XP_017758532.1
OG0000760	XP_029048948.1	XP_017761488.1, XP_017761487.1, XP_017761490.1
OG0000761	XP_029046554.1, XP_029046550.1	XP_017760895.1, XP_017760887.1
OG0000762	XP_029049769.1, XP_029049767.1, XP_029049765.1	XP_017760959.1
OG0000763	XP_029049754.1, XP_029049755.1, XP_029049753.1, XP_029049746.1	XP_017760820.1
OG0000764	XP_029047812.1, XP_029047813.1	XP_017756849.1, XP_017756848.1, XP_017756847.1
OG0000765	XP_029036549.1	XP_017765652.1
OG0000766	XP_029047586.1, XP_029047583.1, XP_029047584.1	XP_017765675.1
OG0000767	XP_029047468.1	XP_017753230.1, XP_017753233.1, XP_017753231.1, XP_017753232.1
OG0000768	XP_029055511.1, XP_029055510.1	XP_017753183.1
OG0000769	XP_029055442.1	XP_017753284.1, XP_017753283.1
OG0000770	XP_029054737.1	XP_017766416.1, XP_017766417.1
OG0000771	XP_029042393.1, XP_029042396.1, XP_029042392.1, XP_029042394.1, XP_029042395.1	XP_017762184.1
OG0000772	XP_029044070.1	XP_017762331.1
OG0000773	XP_029048472.1, XP_029048469.1	XP_017755700.1, XP_017755685.1
OG0000774	XP_029053014.1, XP_029053013.1, XP_029053011.1	XP_017764145.1, XP_017764146.1, XP_017764147.1
OG0000775	XP_029034034.1	XP_017754016.1, XP_017754014.1
OG0000776	XP_029047399.1	XP_017762567.1
OG0000777	XP_029039725.1	XP_017756509.1
OG0000777	XP_029039723.1	XP_017756508.1
OG0000778	XP_029039757.1, XP_029039761.1	XP_017764749.1, XP_017764748.1
OG0000779	XP_029048713.1	XP_017757032.1
OG0000780	XP_029053750.1	XP_017759982.1
OG0000781	XP_029042726.1, XP_029042727.1, XP_029042729.1	XP_017763717.1
OG0000782	XP_029041609.1, XP_029041610.1	XP_017765702.1
OG0000783	XP_029047193.1, XP_029047192.1	XP_017767028.1
OG0000784	XP_029035877.1	XP_017754569.1
OG0000784	XP_029035905.1	XP_017754571.1
OG0000785	XP_029048064.1	XP_017761738.1
OG0000786	XP_029043575.1, XP_029043573.1, XP_029043578.1, XP_029043577.1, XP_029043574.1	XP_017767583.1
OG0000787	XP_029050447.1	XP_017758927.1
OG0000788	XP_029041369.1, XP_029041370.1, XP_029041368.1	XP_017754651.1, XP_017754574.1, XP_017754499.1
OG0000789	XP_029033215.1	XP_017767132.1, XP_017767127.1
OG0000790	XP_029051284.1, XP_029048978.1, XP_029051286.1, XP_029051319.1, XP_029051283.1	XP_017766530.1
OG0000791	XP_029041889.1	XP_017767277.1
OG0000792	XP_029051378.1, XP_029051382.1	XP_017761586.1, XP_017761587.1, XP_017761588.1, XP_017761584.1, XP_017761585.1
OG0000793	XP_029042268.1, XP_029042267.1, XP_029042269.1	XP_017753596.1
OG0000794	XP_029038016.1, XP_029038015.1, XP_029038018.1, XP_029038017.1	XP_017764841.1
OG0000795	XP_029034425.1	XP_017759792.1
OG0000796	XP_029053525.1	XP_017765479.1
OG0000797	XP_029040702.1, XP_029040704.1	XP_017753030.1
OG0000798	XP_029048660.1	XP_017757041.1, XP_017757040.1, XP_017757042.1
OG0000799	XP_029054844.1, XP_029054843.1, XP_029035635.1, XP_029046675.1, XP_029055016.1, XP_029046674.1, XP_029046673.1, XP_029035584.1, XP_029035637.1, XP_029035634.1, XP_029035630.1, XP_029035668.1	XP_017759131.1
OG0000800	XP_029048672.1	XP_017757045.1, XP_017757044.1
OG0000801	XP_029054564.1	XP_017755308.1
OG0000802	XP_029036647.1, XP_029036648.1	XP_017755581.1
OG0000802	XP_029036670.1	XP_017755643.1
OG0000803	XP_029048706.1, XP_029048705.1, XP_029048707.1, XP_029048704.1, XP_029048703.1, XP_029048702.1	XP_017763891.1
OG0000804	XP_029040083.1, XP_029040086.1, XP_029040084.1, XP_029040082.1	XP_017767604.1
OG0000805	XP_029052655.1, XP_029052674.1, XP_029052663.1	XP_017762697.1
OG0000807	XP_029055525.1	XP_017762806.1
OG0000808	XP_029047159.1	XP_017756269.1, XP_017756265.1
OG0000809	XP_029044736.1	XP_017760653.1
OG0000810	XP_029033324.1	XP_017765192.1, XP_017765191.1
OG0000811	XP_029040465.1	XP_017759110.1
OG0000811	XP_029040464.1	XP_017759042.1
OG0000812	XP_029038086.1	XP_017764658.1, XP_017764657.1
OG0000813	XP_029052496.1	XP_017765206.1
OG0000814	XP_029036856.1	XP_017765064.1
OG0000815	XP_029034816.1, XP_029034813.1, XP_029034817.1, XP_029034815.1	XP_017765779.1
OG0000816	XP_029049328.1	XP_017764975.1, XP_017764974.1
OG0000817	XP_029045943.1, XP_029045950.1	XP_017763024.1
OG0000818	XP_029046643.1	XP_017762472.1
OG0000819	XP_029046648.1, XP_029046651.1, XP_029046649.1, XP_029046650.1	XP_017762488.1, XP_017762487.1
OG0000820	XP_029055449.1	XP_017753287.1, XP_017753286.1, XP_017753289.1, XP_017753293.1, XP_017753294.1, XP_017753292.1, XP_017753290.1, XP_017753291.1
OG0000821	XP_029032053.1, XP_029032052.1, XP_029032051.1	XP_017754754.1
OG0000822	XP_029056079.1, XP_029056076.1, XP_029056077.1	XP_017753412.1
OG0000823	XP_029036158.1	XP_017766607.1, XP_017766606.1
OG0000824	XP_029051867.1, XP_029051868.1, XP_029051541.1, XP_029051540.1	XP_017761638.1
OG0000825	XP_029047768.1, XP_029047758.1, XP_029047767.1	XP_017763669.1, XP_017763671.1
OG0000826	XP_029038260.1	XP_017759126.1
OG0000826	XP_029054852.1, XP_029055356.1	XP_017752470.1, XP_017765630.1
OG0000827	XP_029040144.1, XP_029040135.1, XP_029040130.1	XP_017754767.1
OG0000828	XP_029044835.1, XP_029044833.1, XP_029044834.1	XP_017758784.1
OG0000829	XP_029035345.1, XP_029035347.1, XP_029035348.1, XP_029035349.1, XP_029035344.1, XP_029035346.1	XP_017761724.1
OG0000830	XP_029040972.1	XP_017763595.1
OG0000831	XP_029032814.1, XP_029032810.1, XP_029032816.1, XP_029032812.1, XP_029032811.1, XP_029032815.1	XP_017757076.1
OG0000832	XP_029049351.1	XP_017755897.1
OG0000833	XP_029035330.1	XP_017764892.1, XP_017764889.1, XP_017764888.1, XP_017764890.1, XP_017764891.1
OG0000834	XP_029035828.1, XP_029035829.1	XP_017757172.1
OG0000835	XP_029045224.1	XP_017752192.1
OG0000836	XP_029046426.1, XP_029046425.1	XP_017754282.1
OG0000837	XP_029034228.1	XP_017756326.1
OG0000838	XP_029048098.1	XP_017756987.1, XP_017756995.1
OG0000839	XP_029044115.1, XP_029045378.1, XP_029045289.1, XP_029044030.1	XP_017752445.1
OG0000840	XP_029048754.1	XP_017765349.1
OG0000841	XP_029052015.1, XP_029052012.1	XP_017752722.1
OG0000842	XP_029033199.1	XP_017762932.1
OG0000845	XP_029038138.1	XP_017765505.1
OG0000847	XP_029045647.1	XP_017765362.1
OG0000848	XP_029040673.1, XP_029040676.1, XP_029040677.1, XP_029040674.1	XP_017756774.1, XP_017756775.1
OG0000849	XP_029042835.1	XP_017761112.1
OG0000849	XP_029042830.1	XP_017757069.1
OG0000850	XP_029053657.1, XP_029053659.1	XP_017760279.1
OG0000851	XP_029042759.1, XP_029042761.1	XP_017760346.1
OG0000852	XP_029035777.1	XP_017753524.1
OG0000853	XP_029040151.1	XP_017754921.1
OG0000853	XP_029040170.1	XP_017754913.1
OG0000854	XP_029054447.1	XP_017762231.1
OG0000855	XP_029041576.1, XP_029041575.1	XP_017765719.1
OG0000856	XP_029056504.1, XP_029056505.1, XP_029056507.1, XP_029056506.1, XP_029056503.1	XP_017765741.1, XP_017765739.1, XP_017765740.1
OG0000857	XP_029045173.1, XP_029045174.1, XP_029045172.1	XP_017762135.1
OG0000858	XP_029043835.1, XP_029043833.1, XP_029043832.1	XP_017767744.1, XP_017767745.1
OG0000859	XP_029038795.1, XP_029038794.1	XP_017755055.1, XP_017755054.1, XP_017755057.1
OG0000860	XP_029042728.1	XP_017767769.1
OG0000861	XP_029043109.1	XP_017764233.1
OG0000861	XP_029043110.1	XP_017764238.1
OG0000862	XP_029035786.1, XP_029035785.1	XP_017753180.1
OG0000863	XP_029031948.1, XP_029031949.1	XP_017764215.1
OG0000864	XP_029035901.1	XP_017756553.1
OG0000865	XP_029048351.1	XP_017763437.1
OG0000866	XP_029036961.1, XP_029036960.1	XP_017753827.1, XP_017753826.1
OG0000867	XP_029054207.1	XP_017755083.1
OG0000868	XP_029039110.1	XP_017752581.1
OG0000869	XP_029047320.1, XP_029047321.1	XP_017753115.1
OG0000870	XP_029035548.1	XP_017758621.1
OG0000871	XP_029037596.1, XP_029037598.1, XP_029037597.1	XP_017760625.1
OG0000872	XP_029050182.1, XP_029050199.1, XP_029050175.1, XP_029050191.1	XP_017763370.1
OG0000873	XP_029050455.1, XP_029050456.1	XP_017766134.1
OG0000874	XP_029038631.1, XP_029038632.1, XP_029038635.1	XP_017766193.1
OG0000875	XP_029038652.1	XP_017759121.1
OG0000875	XP_029038649.1	XP_017759124.1
OG0000876	XP_029044307.1, XP_029044308.1	XP_017763129.1
OG0000877	XP_029044274.1	XP_017758933.1, XP_017758934.1
OG0000879	XP_029033188.1, XP_029033186.1, XP_029033187.1	XP_017762194.1
OG0000880	XP_029038232.1, XP_029038231.1, XP_029038230.1, XP_029038233.1	XP_017752982.1, XP_017752983.1, XP_017752981.1, XP_017752980.1
OG0000881	XP_029045919.1	XP_017753874.1
OG0000882	XP_029049348.1	XP_017753983.1
OG0000883	XP_029045802.1	XP_017753908.1
OG0000884	XP_029044551.1	XP_017760047.1, XP_017760046.1
OG0000885	XP_029048874.1, XP_029048873.1	XP_017755569.1
OG0000886	XP_029032881.1, XP_029032882.1, XP_029032880.1, XP_029032879.1	XP_017752426.1
OG0000887	XP_029034269.1, XP_029034268.1	XP_017762688.1
OG0000888	XP_029032099.1, XP_029032096.1	XP_017765484.1
OG0000889	XP_029050063.1, XP_029050028.1	XP_017761029.1
OG0000890	XP_029043196.1	XP_017764244.1
OG0000891	XP_029039203.1, XP_029039205.1, XP_029039207.1, XP_029039204.1, XP_029039206.1	XP_017753135.1, XP_017753127.1
OG0000892	XP_029039002.1, XP_029039001.1	XP_017756186.1, XP_017756187.1
OG0000893	XP_029053715.1	XP_017764685.1
OG0000894	XP_029036898.1	XP_017759341.1
OG0000895	XP_029051156.1	XP_017763460.1
OG0000896	XP_029044579.1, XP_029044422.1	XP_017758301.1, XP_017758300.1
OG0000897	XP_029043884.1	XP_017767722.1, XP_017767721.1
OG0000898	XP_029049112.1	XP_017759025.1
OG0000899	XP_029050569.1, XP_029050570.1, XP_029050571.1, XP_029050568.1, XP_029050573.1	XP_017767547.1
OG0000901	XP_029039068.1	XP_017759896.1
OG0000902	XP_029041844.1	XP_017767154.1
OG0000903	XP_029035277.1	XP_017756714.1
OG0000904	XP_029045539.1	XP_017767507.1
OG0000904	XP_029045544.1	XP_017767510.1
OG0000905	XP_029049672.1, XP_029049675.1, XP_029049674.1, XP_029049673.1	XP_017760851.1
OG0000906	XP_029050101.1, XP_029050093.1, XP_029050098.1	XP_017754325.1
OG0000907	XP_029048023.1, XP_029048044.1, XP_029048033.1	XP_017766319.1
OG0000908	XP_029035856.1, XP_029035853.1	XP_017757213.1
OG0000909	XP_029036486.1	XP_017761336.1
OG0000910	XP_029036511.1, XP_029036510.1	XP_017757595.1
OG0000911	XP_029048484.1	XP_017758198.1
OG0000912	XP_029052096.1	XP_017762699.1, XP_017762698.1
OG0000913	XP_029055475.1	XP_017753209.1
OG0000915	XP_029033877.1	XP_017762924.1
OG0000916	XP_029038077.1, XP_029038074.1	XP_017764851.1, XP_017764852.1
OG0000917	XP_029040732.1, XP_029040731.1	XP_017764257.1, XP_017764256.1
OG0000918	XP_029035782.1	XP_017753320.1
OG0000919	XP_029039864.1, XP_029039863.1	XP_017756442.1
OG0000920	XP_029047573.1, XP_029047580.1	XP_017763913.1, XP_017763909.1
OG0000921	XP_029051958.1, XP_029051976.1, XP_029051974.1	XP_017754157.1, XP_017754165.1
OG0000922	XP_029050277.1, XP_029050278.1, XP_029050279.1, XP_029050276.1, XP_029050275.1	XP_017754215.1
OG0000923	XP_029035894.1	XP_017757215.1, XP_017757216.1, XP_017757217.1
OG0000924	XP_029043422.1, XP_029044957.1, XP_029044965.1	XP_017758318.1
OG0000925	XP_029042329.1, XP_029042280.1, XP_029042270.1	XP_017763578.1
OG0000926	XP_029038271.1	XP_017758644.1, XP_017761974.1
OG0000927	XP_029050315.1, XP_029050316.1	XP_017759525.1, XP_017759526.1
OG0000928	XP_029046379.1, XP_029046381.1, XP_029046380.1	XP_017761762.1
OG0000929	XP_029047000.1	XP_017764493.1
OG0000930	XP_029052900.1	XP_017756856.1, XP_017756855.1, XP_017756853.1
OG0000931	XP_029038759.1	XP_017758904.1, XP_017758906.1
OG0000932	XP_029033507.1, XP_029033552.1	XP_017767504.1
OG0000932	XP_029033509.1	XP_017767505.1
OG0000933	XP_029048881.1	XP_017754884.1
OG0000934	XP_029037466.1	XP_017754817.1, XP_017754818.1, XP_017754819.1
OG0000935	XP_029035396.1	XP_017759024.1
OG0000936	XP_029039782.1, XP_029039773.1	XP_017759056.1
OG0000937	XP_029032459.1, XP_029032458.1	XP_017761508.1, XP_017753252.1
OG0000938	XP_029036922.1	XP_017753861.1, XP_017753860.1
OG0000939	XP_029040917.1, XP_029040916.1	XP_017758121.1
OG0000940	XP_029048761.1	XP_017760981.1
OG0000941	XP_029053086.1	XP_017754378.1
OG0000942	XP_029037837.1	XP_017766061.1
OG0000943	XP_029047469.1, XP_029047470.1	XP_017753352.1, XP_017753353.1
OG0000944	XP_029032742.1, XP_029032745.1	XP_017753911.1, XP_017753931.1, XP_017753923.1, XP_017753939.1, XP_017753915.1
OG0000945	XP_029034077.1, XP_029034044.1	XP_017766044.1
OG0000946	XP_029034157.1, XP_029034156.1, XP_029034158.1, XP_029034159.1	XP_017758112.1, XP_017758111.1
OG0000947	XP_029052651.1, XP_029043707.1, XP_029043705.1	XP_017762517.1
OG0000948	XP_029034237.1, XP_029034236.1, XP_029034238.1, XP_029034235.1, XP_029034234.1	XP_017756349.1
OG0000949	XP_029031953.1, XP_029031952.1	XP_017759696.1
OG0000950	XP_029039753.1, XP_029039754.1, XP_029039755.1, XP_029039756.1	XP_017764734.1
OG0000951	XP_029036038.1, XP_029036036.1, XP_029036041.1, XP_029036040.1, XP_029036039.1	XP_017767552.1
OG0000952	XP_029041333.1	XP_017759458.1
OG0000953	XP_029048206.1, XP_029048207.1	XP_017767694.1, XP_017767695.1
OG0000954	XP_029048687.1	XP_017757479.1
OG0000955	XP_029044930.1, XP_029044935.1	XP_017757631.1, XP_017762323.1
OG0000956	XP_029048178.1	XP_017752647.1
OG0000957	XP_029053125.1, XP_029053133.1, XP_029053140.1, XP_029053813.1, XP_029053809.1, XP_029053822.1	XP_017765293.1
OG0000958	XP_029055645.1	XP_017762827.1
OG0000959	XP_029047093.1, XP_029047091.1, XP_029047094.1	XP_017764328.1
OG0000960	XP_029044195.1	XP_017754942.1, XP_017754936.1, XP_017754937.1
OG0000961	XP_029033295.1	XP_017756622.1, XP_017756609.1
OG0000962	XP_029050851.1, XP_029050850.1	XP_017761644.1
OG0000964	XP_029053171.1	XP_017763477.1
OG0000965	XP_029051803.1, XP_029051801.1	XP_017763547.1
OG0000966	XP_029050844.1	XP_017759011.1, XP_017759007.1, XP_017759008.1, XP_017759010.1, XP_017759006.1, XP_017759009.1
OG0000967	XP_029047793.1	XP_017756903.1
OG0000968	XP_029038651.1	XP_017756820.1, XP_017756883.1
OG0000969	XP_029039200.1	XP_017759150.1
OG0000970	XP_029039907.1	XP_017756475.1
OG0000971	XP_029042768.1	XP_017762295.1
OG0000972	XP_029048848.1	XP_017754836.1
OG0000973	XP_029041767.1	XP_017756134.1, XP_017756132.1, XP_017756133.1
OG0000974	XP_029056342.1	XP_017753956.1, XP_017753955.1
OG0000975	XP_029052179.1, XP_029052178.1	XP_017766666.1, XP_017766665.1, XP_017766664.1
OG0000977	XP_029046873.1	XP_017763188.1, XP_017763185.1, XP_017763186.1, XP_017763187.1, XP_017763191.1, XP_017763190.1
OG0000978	XP_029044476.1, XP_029044477.1	XP_017759555.1
OG0000979	XP_029034781.1, XP_029034779.1, XP_029034778.1	XP_017765774.1, XP_017765775.1
OG0000980	XP_029050026.1	XP_017767709.1
OG0000981	XP_029040403.1, XP_029040402.1	XP_017753724.1, XP_017753725.1, XP_017753726.1
OG0000982	XP_029052022.1	XP_017765320.1
OG0000983	XP_029042432.1, XP_029042434.1	XP_017753378.1, XP_017763443.1
OG0000984	XP_029039628.1, XP_029039627.1, XP_029039629.1	XP_017764706.1
OG0000985	XP_029042695.1, XP_029042694.1	XP_017766983.1
OG0000986	XP_029031887.1, XP_029031888.1	XP_017754483.1
OG0000987	XP_029042408.1, XP_029042403.1	XP_017760187.1, XP_017760168.1
OG0000988	XP_029055380.1, XP_029055371.1, XP_029055387.1, XP_029054912.1, XP_029054944.1, XP_029054984.1	XP_017752475.1
OG0000989	XP_029049388.1, XP_029049386.1	XP_017752482.1, XP_017752481.1
OG0000990	XP_029050772.1	XP_017756010.1, XP_017756013.1, XP_017756014.1, XP_017756011.1
OG0000991	XP_029042803.1, XP_029042490.1, XP_029042784.1, XP_029042794.1, XP_029042472.1, XP_029042480.1, XP_029042813.1	XP_017752172.1
OG0000992	XP_029045825.1, XP_029045826.1, XP_029045828.1	XP_017752817.1, XP_017752818.1
OG0000993	XP_029033498.1, XP_029033694.1	XP_017767342.1
OG0000994	XP_029056584.1, XP_029056583.1	XP_017754730.1
OG0000995	XP_029050333.1, XP_029050517.1, XP_029050344.1, XP_029050356.1	XP_017761679.1
OG0000996	XP_029034326.1	XP_017761272.1
OG0000997	XP_029038149.1	XP_017752256.1, XP_017752282.1
OG0000998	XP_029032211.1, XP_029032212.1	XP_017765132.1
OG0000999	XP_029049001.1, XP_029049000.1, XP_029048999.1	XP_017758422.1
OG0001000	XP_029036566.1, XP_029036567.1	XP_017757451.1
OG0001001	XP_029044624.1	XP_017757123.1
OG0001002	XP_029037773.1, XP_029037772.1	XP_017759417.1, XP_017759418.1
OG0001003	XP_029052878.1, XP_029052879.1	XP_017756922.1
OG0001004	XP_029056072.1, XP_029056062.1	XP_017752914.1
OG0001005	XP_029032650.1	XP_017760850.1
OG0001006	XP_029054200.1, XP_029054137.1, XP_029054125.1, XP_029054206.1, XP_029054130.1, XP_029054215.1	XP_017759608.1
OG0001007	XP_029051620.1	XP_017755927.1
OG0001008	XP_029048879.1, XP_029048880.1	XP_017755578.1
OG0001009	XP_029047980.1	XP_017755727.1
OG0001010	XP_029032601.1, XP_029032602.1, XP_029032604.1, XP_029032603.1, XP_029032600.1	XP_017755152.1
OG0001011	XP_029041707.1, XP_029041799.1	XP_017767775.1
OG0001012	XP_029053632.1	XP_017763469.1
OG0001013	XP_029036555.1, XP_029036557.1, XP_029036556.1	XP_017755634.1
OG0001015	XP_029055920.1, XP_029055921.1	XP_017765476.1
OG0001016	XP_029032518.1, XP_029032515.1, XP_029032516.1, XP_029032519.1, XP_029032514.1	XP_017765138.1
OG0001017	XP_029032438.1, XP_029032431.1	XP_017760237.1, XP_017760238.1
OG0001018	XP_029039857.1, XP_029039858.1	XP_017766228.1
OG0001019	XP_029045068.1	XP_017763139.1
OG0001020	XP_029033135.1, XP_029033137.1	XP_017764023.1
OG0001026	XP_029032546.1	XP_017760990.1, XP_017760983.1, XP_017760969.1, XP_017760976.1
OG0001027	XP_029054523.1, XP_029054784.1	XP_017756228.1, XP_017765355.1, XP_017763035.1, XP_017759466.1
OG0001029	XP_029041608.1	XP_017757062.1
OG0001030	XP_029037515.1	XP_017757920.1
OG0001032	XP_029048607.1	XP_017757031.1
OG0001033	XP_029036152.1, XP_029036151.1	XP_017766519.1
OG0001034	XP_029044839.1	XP_017758823.1
OG0001035	XP_029053494.1, XP_029053493.1	XP_017757689.1, XP_017757685.1
OG0001036	XP_029048313.1	XP_017759149.1
OG0001037	XP_029041789.1	XP_017767236.1
OG0001038	XP_029048236.1	XP_017765866.1
OG0001039	XP_029041012.1, XP_029041011.1	XP_017764930.1
OG0001040	XP_029048933.1, XP_029048935.1	XP_017754790.1
OG0001041	XP_029034282.1	XP_017759813.1
OG0001042	XP_029048832.1, XP_029048833.1, XP_029048831.1	XP_017761497.1
OG0001043	XP_029033403.1, XP_029033402.1, XP_029033405.1, XP_029033404.1	XP_017757912.1
OG0001044	XP_029052868.1	XP_017758879.1
OG0001045	XP_029041082.1	XP_017755110.1
OG0001046	XP_029032902.1, XP_029032900.1, XP_029032901.1	XP_017766425.1, XP_017766043.1
OG0001047	XP_029038291.1	XP_017754909.1, XP_017754907.1, XP_017754904.1, XP_017754905.1, XP_017754906.1, XP_017754903.1, XP_017754908.1
OG0001048	XP_029039903.1	XP_017754996.1
OG0001049	XP_029050196.1	XP_017764800.1, XP_017764799.1
OG0001050	XP_029045617.1	XP_017767443.1, XP_017767444.1
OG0001051	XP_029045310.1	XP_017764508.1, XP_017764489.1
OG0001052	XP_029044823.1, XP_029044825.1	XP_017755834.1
OG0001053	XP_029049959.1, XP_029049960.1, XP_029049958.1	XP_017766811.1
OG0001054	XP_029048574.1	XP_017763787.1
OG0001055	XP_029040181.1, XP_029040199.1, XP_029040191.1, XP_029040172.1	XP_017754373.1
OG0001056	XP_029045301.1, XP_029045304.1, XP_029045302.1	XP_017753114.1
OG0001057	XP_029051215.1	XP_017762243.1
OG0001058	XP_029046854.1	XP_017763216.1, XP_017763217.1
OG0001059	XP_029050312.1, XP_029050319.1, XP_029050305.1	XP_017761674.1
OG0001061	XP_029053378.1	XP_017754496.1
OG0001062	XP_029036634.1, XP_029036635.1, XP_029036637.1, XP_029036638.1, XP_029036636.1	XP_017761350.1
OG0001063	XP_029038093.1	XP_017764674.1
OG0001064	XP_029049459.1, XP_029049460.1	XP_017766054.1
OG0001065	XP_029034089.1, XP_029034090.1	XP_017766073.1
OG0001066	XP_029038364.1	XP_017763167.1, XP_017763157.1
OG0001067	XP_029051005.1	XP_017764456.1
OG0001068	XP_029045229.1	XP_017752193.1
OG0001069	XP_029049943.1, XP_029049945.1	XP_017766536.1
OG0001070	XP_029041991.1, XP_029041975.1	XP_017758288.1, XP_017758287.1
OG0001071	XP_029034142.1	XP_017759820.1
OG0001073	XP_029035249.1	XP_017761751.1
OG0001074	XP_029037330.1, XP_029037329.1	XP_017762846.1
OG0001075	XP_029047219.1, XP_029047227.1	XP_017758619.1
OG0001076	XP_029034265.1, XP_029034264.1, XP_029034263.1	XP_017759808.1
OG0001077	XP_029054153.1, XP_029054149.1	XP_017759611.1
OG0001078	XP_029037792.1, XP_029037791.1, XP_029037790.1	XP_017762084.1
OG0001079	XP_029050710.1	XP_017754609.1, XP_017754603.1
OG0001080	XP_029041181.1	XP_017761764.1, XP_017761747.1
OG0001081	XP_029052698.1, XP_029052697.1, XP_029052696.1, XP_029052699.1	XP_017752403.1
OG0001082	XP_029052561.1	XP_017757414.1
OG0001083	XP_029041293.1	XP_017762622.1, XP_017762621.1
OG0001084	XP_029037662.1	XP_017760566.1, XP_017760568.1
OG0001085	XP_029049249.1	XP_017766697.1
OG0001086	XP_029035644.1	XP_017765938.1
OG0001087	XP_029043720.1, XP_029043721.1	XP_017752273.1, XP_017752272.1, XP_017752271.1
OG0001088	XP_029050167.1, XP_029050168.1	XP_017761977.1, XP_017761980.1
OG0001089	XP_029044596.1	XP_017760302.1
OG0001090	XP_029047772.1	XP_017755839.1
OG0001091	XP_029043919.1	XP_017753666.1, XP_017753668.1, XP_017753669.1
OG0001092	XP_029039354.1, XP_029039355.1	XP_017757840.1
