Orthogroup	Osmia_bicornis	Megalopta_genalis
OG0001223	XP_029045059.1	XP_033332840.1
OG0001224	XP_029032746.1, XP_029032747.1	XP_033336590.1
OG0001225	XP_029045671.1	XP_033325717.1, XP_033325718.1
OG0001226	XP_029037323.1, XP_029037324.1	XP_033342510.1, XP_033342509.1
OG0001227	XP_029039546.1, XP_029039544.1, XP_029039547.1, XP_029039548.1	XP_033340933.1
OG0001228	XP_029045829.1, XP_029045830.1	XP_033327693.1
OG0001229	XP_029051940.1, XP_029051941.1, XP_029051939.1, XP_029051938.1	XP_033341382.1
OG0001230	XP_029055922.1	XP_033342198.1
OG0001230	XP_029055923.1	XP_033342197.1
OG0001231	XP_029043903.1	XP_033337191.1, XP_033337196.1
OG0001232	XP_029054768.1	XP_033326408.1
OG0001233	XP_029043518.1, XP_029043519.1	XP_033335850.1
OG0001234	XP_029047752.1, XP_029047751.1, XP_029047753.1, XP_029047743.1, XP_029047745.1, XP_029047746.1, XP_029047747.1, XP_029047748.1, XP_029047749.1, XP_029047750.1	XP_033340644.1
OG0001235	XP_029033284.1	XP_033327478.1
OG0001236	XP_029047403.1, XP_029047402.1	XP_033330422.1, XP_033330414.1, XP_033330429.1
OG0001238	XP_029055167.1, XP_029055058.1, XP_029055170.1, XP_029053883.1, XP_029055172.1, XP_029055286.1	XP_033326117.1
OG0001239	XP_029052983.1, XP_029052995.1, XP_029052191.1, XP_029052188.1	XP_033335400.1
OG0001240	XP_029054095.1, XP_029054096.1	XP_033339685.1, XP_033339684.1
OG0001241	XP_029051619.1	XP_033332744.1
OG0001242	XP_029051699.1	XP_033322967.1, XP_033322969.1, XP_033322968.1
OG0001243	XP_029039033.1, XP_029039080.1	XP_033327852.1
OG0001244	XP_029052972.1	XP_033337723.1
OG0001245	XP_029045165.1, XP_029043895.1	XP_033331053.1, XP_033331054.1, XP_033331052.1, XP_033331055.1
OG0001247	XP_029052705.1	XP_033339667.1
OG0001248	XP_029056676.1	XP_033323934.1
OG0001249	XP_029039372.1	XP_033323954.1
OG0001250	XP_029054275.1	XP_033340725.1
OG0001251	XP_029054140.1	XP_033341090.1
OG0001252	XP_029035694.1	XP_033334212.1
OG0001253	XP_029048693.1	XP_033328246.1
OG0001254	XP_029047866.1, XP_029047816.1	XP_033327208.1
OG0001256	XP_029041266.1	XP_033327378.1, XP_033327383.1
OG0001257	XP_029038045.1, XP_029038044.1	XP_033341379.1
OG0001258	XP_029048955.1	XP_033342738.1, XP_033342740.1, XP_033342739.1
OG0001260	XP_029045901.1	XP_033341559.1
OG0001261	XP_029046864.1	XP_033336144.1
OG0001262	XP_029046337.1	XP_033333051.1, XP_033333052.1, XP_033333053.1, XP_033333054.1, XP_033333050.1
OG0001263	XP_029036513.1, XP_029036522.1	XP_033338031.1, XP_033338510.1
OG0001264	XP_029056432.1	XP_033327410.1, XP_033327409.1
OG0001265	XP_029048939.1	XP_033335131.1, XP_033335132.1, XP_033335133.1, XP_033335130.1
OG0001266	XP_029049439.1	XP_033341456.1
OG0001268	XP_029035236.1	XP_033331858.1
OG0001269	XP_029049183.1, XP_029051531.1	XP_033322804.1
OG0001270	XP_029032694.1, XP_029032693.1, XP_029032692.1	XP_033335841.1, XP_033335842.1
OG0001271	XP_029032393.1, XP_029032403.1	XP_033333820.1
OG0001272	XP_029048885.1	XP_033331656.1, XP_033331655.1
OG0001273	XP_029043528.1	XP_033336652.1, XP_033336651.1, XP_033336650.1
OG0001275	XP_029043598.1	XP_033339756.1, XP_033339757.1, XP_033339759.1, XP_033339758.1
OG0001276	XP_029043347.1, XP_029043348.1, XP_029043346.1	XP_033335649.1
OG0001277	XP_029046698.1	XP_033326576.1, XP_033326578.1
OG0001278	XP_029053751.1, XP_029053617.1	XP_033330962.1
OG0001279	XP_029049830.1	XP_033338720.1, XP_033338461.1, XP_033338460.1, XP_033338462.1, XP_033338722.1, XP_033338719.1
OG0001280	XP_029041840.1, XP_029041839.1, XP_029041842.1, XP_029041841.1	XP_033330549.1
OG0001282	XP_029034270.1	XP_033334409.1
OG0001283	XP_029053155.1, XP_029053153.1	XP_033329584.1, XP_033329585.1
OG0001284	XP_029037693.1	XP_033323348.1
OG0001285	XP_029055612.1	XP_033320817.1
OG0001286	XP_029039950.1	XP_033340557.1, XP_033340549.1, XP_033340554.1, XP_033340556.1, XP_033340550.1, XP_033339898.1
OG0001287	XP_029040877.1	XP_033330998.1
OG0001287	XP_029040876.1	XP_033330995.1
OG0001288	XP_029036726.1	XP_033327653.1, XP_033327654.1
OG0001289	XP_029049484.1, XP_029051650.1, XP_029049313.1	XP_033322810.1, XP_033322811.1
OG0001290	XP_029034403.1, XP_029034401.1, XP_029034402.1	XP_033342191.1, XP_033342190.1, XP_033342189.1, XP_033342187.1
OG0001291	XP_029049801.1	XP_033342265.1, XP_033342264.1
OG0001292	XP_029049697.1, XP_029049700.1	XP_033334874.1
OG0001293	XP_029037123.1	XP_033328039.1, XP_033328067.1, XP_033328049.1, XP_033328057.1, XP_033328076.1
OG0001294	XP_029048724.1	XP_033324259.1
OG0001295	XP_029039644.1	XP_033337733.1
OG0001296	XP_029046183.1, XP_029046184.1	XP_033321779.1
OG0001297	XP_029051035.1	XP_033338645.1, XP_033338644.1
OG0001298	XP_029045092.1	XP_033332836.1, XP_033332838.1
OG0001299	XP_029055625.1, XP_029055626.1, XP_029055623.1	XP_033340188.1
OG0001300	XP_029049922.1, XP_029049925.1	XP_033338906.1
OG0001301	XP_029044998.1, XP_029044999.1, XP_029044997.1	XP_033331402.1
OG0001302	XP_029042310.1, XP_029042308.1	XP_033332078.1
OG0001303	XP_029032246.1	XP_033329928.1, XP_033329920.1
OG0001304	XP_029046415.1, XP_029046414.1	XP_033333036.1, XP_033333033.1
OG0001305	XP_029041290.1	XP_033334042.1
OG0001306	XP_029045785.1	XP_033341568.1
OG0001307	XP_029034664.1	XP_033322275.1, XP_033322276.1
OG0001308	XP_029046850.1, XP_029046847.1	XP_033332648.1
OG0001309	XP_029032869.1	XP_033331276.1, XP_033331278.1, XP_033331277.1, XP_033331274.1
OG0001310	XP_029041247.1	XP_033329274.1, XP_033329275.1, XP_033329278.1, XP_033329277.1, XP_033329273.1
OG0001311	XP_029038601.1	XP_033326876.1, XP_033326885.1, XP_033326867.1
OG0001313	XP_029050173.1, XP_029050174.1	XP_033342016.1
OG0001314	XP_029047941.1	XP_033332845.1
OG0001315	XP_029053044.1, XP_029053047.1, XP_029053046.1, XP_029053045.1	XP_033321132.1
OG0001316	XP_029050453.1, XP_029050454.1	XP_033322847.1
OG0001317	XP_029055519.1, XP_029055518.1	XP_033322653.1, XP_033322654.1
OG0001318	XP_029039329.1	XP_033338271.1, XP_033338275.1, XP_033338272.1, XP_033338273.1, XP_033338276.1, XP_033338274.1, XP_033338270.1
OG0001319	XP_029035221.1	XP_033333837.1
OG0001320	XP_029035716.1, XP_029035714.1, XP_029035713.1, XP_029035715.1	XP_033330143.1
OG0001321	XP_029036775.1	XP_033322995.1, XP_033322994.1, XP_033322996.1
OG0001322	XP_029043541.1	XP_033335857.1, XP_033335859.1
OG0001323	XP_029047507.1, XP_029047506.1	XP_033339795.1
OG0001324	XP_029047557.1	XP_033338969.1
OG0001325	XP_029054141.1, XP_029054142.1	XP_033341086.1
OG0001327	XP_029040824.1	XP_033324712.1, XP_033324710.1
OG0001328	XP_029036827.1	XP_033324782.1, XP_033324785.1, XP_033324784.1
OG0001329	XP_029033027.1	XP_033341583.1
OG0001330	XP_029044390.1	XP_033323784.1
OG0001331	XP_029042153.1	XP_033337253.1
OG0001332	XP_029052477.1	XP_033334609.1, XP_033334608.1
OG0001333	XP_029035459.1	XP_033334846.1, XP_033334847.1, XP_033334848.1, XP_033334849.1
OG0001334	XP_029042613.1, XP_029042612.1	XP_033335036.1
OG0001335	XP_029052344.1	XP_033337995.1
OG0001336	XP_029045435.1	XP_033336552.1, XP_033336553.1, XP_033336551.1
OG0001337	XP_029035578.1, XP_029035577.1	XP_033326624.1
OG0001338	XP_029056081.1, XP_029056238.1	XP_033326274.1, XP_033326277.1, XP_033326276.1, XP_033326280.1, XP_033326279.1, XP_033326275.1
OG0001339	XP_029033260.1	XP_033338827.1
OG0001340	XP_029036009.1, XP_029036007.1, XP_029036008.1	XP_033333515.1
OG0001341	XP_029033337.1	XP_033326695.1, XP_033326696.1
OG0001342	XP_029033286.1	XP_033334975.1, XP_033334974.1
OG0001343	XP_029045615.1, XP_029045614.1, XP_029045616.1	XP_033325392.1
OG0001344	XP_029035491.1	XP_033334521.1, XP_033334520.1, XP_033334519.1
OG0001345	XP_029037461.1, XP_029037460.1	XP_033342970.1
OG0001346	XP_029049773.1	XP_033342900.1
OG0001347	XP_029044208.1, XP_029044207.1, XP_029044206.1	XP_033332576.1
OG0001348	XP_029034596.1, XP_029034595.1, XP_029034597.1	XP_033325116.1, XP_033325117.1
OG0001349	XP_029052925.1, XP_029052923.1	XP_033331793.1, XP_033331789.1, XP_033331787.1
OG0001350	XP_029046713.1, XP_029046709.1	XP_033328085.1, XP_033328092.1
OG0001351	XP_029041468.1, XP_029041441.1, XP_029041459.1, XP_029041450.1, XP_029041478.1	XP_033331958.1, XP_033331959.1
OG0001352	XP_029051273.1	XP_033330306.1, XP_033330307.1
OG0001353	XP_029041595.1	XP_033338250.1
OG0001355	XP_029040662.1, XP_029040661.1	XP_033321920.1, XP_033321921.1
OG0001356	XP_029035110.1	XP_033327638.1
OG0001357	XP_029047467.1, XP_029047465.1, XP_029047466.1	XP_033329828.1
OG0001358	XP_029055484.1, XP_029055483.1	XP_033331117.1, XP_033331110.1
OG0001359	XP_029055471.1	XP_033329332.1
OG0001360	XP_029054624.1, XP_029054621.1	XP_033341873.1
OG0001361	XP_029054705.1	XP_033334236.1
OG0001362	XP_029048055.1, XP_029048065.1	XP_033327070.1
OG0001363	XP_029046270.1	XP_033327082.1, XP_033327075.1
OG0001364	XP_029042973.1, XP_029042972.1, XP_029042974.1, XP_029042971.1	XP_033338050.1
OG0001365	XP_029038504.1, XP_029038503.1	XP_033323941.1
OG0001366	XP_029032938.1, XP_029032939.1	XP_033333446.1, XP_033333447.1
OG0001367	XP_029045277.1, XP_029045278.1, XP_029045276.1	XP_033338769.1
OG0001368	XP_029032616.1	XP_033340810.1
OG0001370	XP_029035313.1	XP_033328392.1
OG0001371	XP_029048679.1, XP_029048682.1	XP_033334025.1, XP_033334023.1
OG0001372	XP_029038111.1	XP_033328595.1
OG0001373	XP_029050386.1, XP_029050387.1	XP_033321093.1, XP_033321092.1
OG0001374	XP_029037973.1, XP_029037974.1	XP_033341554.1
OG0001375	XP_029051455.1, XP_029051464.1	XP_033323554.1
OG0001376	XP_029036198.1, XP_029036200.1, XP_029036199.1	XP_033333377.1
OG0001377	XP_029040418.1, XP_029040409.1	XP_033328992.1
OG0001378	XP_029044921.1	XP_033325230.1, XP_033325229.1, XP_033325231.1, XP_033325228.1, XP_033325227.1, XP_033325226.1
OG0001379	XP_029047387.1, XP_029047386.1, XP_029047385.1, XP_029047388.1	XP_033326141.1, XP_033326143.1, XP_033326142.1, XP_033326144.1
OG0001380	XP_029041813.1	XP_033337475.1
OG0001381	XP_029032450.1, XP_029032448.1, XP_029032449.1	XP_033340295.1, XP_033328480.1
OG0001382	XP_029044085.1, XP_029044086.1, XP_029044084.1	XP_033341893.1
OG0001383	XP_029042078.1	XP_033333092.1, XP_033333093.1
OG0001384	XP_029040682.1, XP_029040683.1	XP_033321822.1
OG0001385	XP_029052058.1, XP_029052059.1	XP_033322063.1, XP_033322064.1
OG0001386	XP_029050908.1	XP_033341328.1
OG0001387	XP_029033855.1, XP_029033853.1	XP_033323237.1, XP_033323235.1
OG0001388	XP_029044333.1	XP_033336328.1, XP_033336337.1
OG0001390	XP_029050445.1, XP_029050444.1, XP_029050446.1	XP_033322772.1
OG0001391	XP_029055489.1, XP_029055490.1	XP_033329418.1
OG0001393	XP_029033304.1, XP_029033303.1	XP_033327373.1, XP_033327374.1
OG0001394	XP_029040372.1	XP_033328597.1
OG0001395	XP_029041343.1	XP_033333707.1
OG0001397	XP_029035425.1, XP_029035429.1	XP_033334726.1, XP_033334728.1
OG0001398	XP_029046665.1, XP_029046657.1	XP_033335330.1, XP_033335316.1
OG0001399	XP_029034580.1, XP_029034579.1	XP_033331341.1, XP_033331339.1, XP_033331337.1, XP_033331336.1, XP_033331340.1
OG0001400	XP_029038861.1	XP_033335287.1
OG0001401	XP_029052172.1	XP_033336318.1
OG0001402	XP_029045965.1, XP_029045962.1	XP_033327667.1
OG0001403	XP_029055575.1	XP_033330320.1
OG0001404	XP_029056464.1	XP_033324623.1
OG0001405	XP_029050983.1	XP_033338661.1, XP_033338658.1, XP_033338656.1, XP_033338657.1, XP_033338659.1
OG0001406	XP_029050209.1, XP_029050200.1	XP_033321919.1
OG0001407	XP_029056592.1	XP_033341994.1, XP_033341995.1
OG0001408	XP_029056587.1, XP_029056586.1	XP_033341955.1
OG0001409	XP_029046883.1, XP_029046876.1	XP_033337007.1
OG0001410	XP_029032491.1, XP_029032489.1	XP_033340448.1
OG0001412	XP_029049881.1	XP_033339038.1
OG0001413	XP_029033061.1	XP_033337290.1, XP_033337208.1, XP_033337367.1
OG0001414	XP_029047167.1	XP_033322031.1
OG0001415	XP_029050228.1	XP_033321881.1
OG0001416	XP_029050214.1	XP_033321879.1
OG0001417	XP_029038056.1	XP_033341132.1
OG0001418	XP_029033887.1	XP_033321847.1, XP_033321846.1, XP_033321849.1, XP_033321850.1, XP_033321848.1
OG0001419	XP_029040667.1	XP_033321815.1
OG0001421	XP_029046998.1	XP_033332133.1
OG0001421	XP_029046981.1	XP_033332131.1
OG0001422	XP_029046065.1	XP_033332154.1, XP_033332153.1, XP_033332151.1
OG0001424	XP_029035619.1	XP_033329813.1
OG0001425	XP_029032272.1	XP_033326486.1
OG0001426	XP_029042197.1	XP_033323347.1
OG0001427	XP_029042136.1	XP_033321426.1
OG0001429	XP_029036412.1	XP_033332140.1, XP_033332141.1, XP_033332139.1
OG0001430	XP_029041325.1, XP_029041326.1	XP_033339698.1
OG0001431	XP_029038844.1	XP_033322578.1
OG0001432	XP_029047424.1, XP_029047423.1, XP_029047422.1	XP_033330439.1
OG0001433	XP_029044691.1, XP_029044692.1	XP_033329726.1
OG0001434	XP_029048091.1, XP_029048090.1	XP_033329080.1
OG0001436	XP_029050164.1, XP_029050165.1	XP_033341897.1, XP_033341901.1, XP_033341900.1, XP_033341898.1, XP_033341899.1
OG0001437	XP_029043259.1, XP_029043260.1	XP_033338944.1, XP_033338943.1
OG0001438	XP_029038256.1, XP_029038257.1, XP_029038258.1	XP_033322801.1, XP_033322800.1
OG0001439	XP_029042557.1, XP_029042543.1, XP_029042882.1	XP_033329132.1, XP_033329130.1, XP_033329131.1
OG0001440	XP_029040050.1	XP_033324892.1, XP_033339798.1
OG0001441	XP_029039196.1	XP_033322277.1, XP_033322269.1
OG0001442	XP_029038479.1, XP_029038480.1, XP_029038477.1	XP_033324036.1, XP_033324037.1
OG0001443	XP_029047129.1	XP_033337317.1, XP_033337318.1, XP_033337316.1
OG0001444	XP_029051717.1, XP_029051718.1, XP_029051719.1	XP_033328620.1
OG0001445	XP_029051487.1, XP_029051486.1	XP_033329964.1, XP_033329963.1
OG0001446	XP_029044829.1, XP_029044832.1, XP_029044831.1	XP_033339115.1, XP_033339116.1
OG0001447	XP_029053119.1, XP_029053120.1, XP_029053121.1	XP_033333139.1
OG0001448	XP_029044847.1	XP_033323504.1
OG0001449	XP_029037435.1	XP_033337308.1
OG0001450	XP_029045700.1, XP_029045692.1	XP_033331453.1
OG0001451	XP_029040990.1	XP_033335118.1
OG0001452	XP_029053927.1	XP_033340039.1
OG0001453	XP_029042216.1	XP_033327405.1
OG0001454	XP_029046926.1	XP_033331953.1, XP_033331957.1
OG0001455	XP_029040235.1	XP_033330035.1
OG0001456	XP_029056116.1, XP_029056115.1, XP_029056118.1, XP_029056119.1	XP_033335349.1
OG0001457	XP_029041664.1	XP_033335256.1
OG0001458	XP_029052378.1	XP_033339446.1
OG0001459	XP_029043353.1, XP_029043362.1	XP_033335869.1, XP_033335868.1
OG0001460	XP_029045410.1	XP_033335912.1, XP_033335913.1, XP_033335914.1, XP_033335911.1
OG0001461	XP_029047728.1	XP_033320808.1
OG0001462	XP_029050133.1	XP_033341825.1
OG0001463	XP_029040935.1	XP_033324720.1
OG0001464	XP_029034823.1	XP_033322301.1
OG0001465	XP_029038878.1	XP_033321312.1
OG0001466	XP_029035252.1, XP_029035251.1, XP_029035254.1	XP_033321443.1
OG0001467	XP_029050956.1, XP_029050957.1, XP_029050958.1, XP_029050959.1	XP_033338629.1, XP_033338630.1
OG0001468	XP_029048784.1	XP_033328763.1
OG0001469	XP_029034249.1	XP_033339486.1
OG0001470	XP_029040793.1	XP_033340159.1
OG0001470	XP_029040788.1	XP_033340152.1
OG0001471	XP_029043180.1, XP_029043179.1	XP_033334210.1
OG0001472	XP_029035378.1	XP_033334575.1
OG0001473	XP_029055105.1	XP_033340360.1
OG0001474	XP_029039724.1, XP_029039739.1	XP_033328400.1
OG0001475	XP_029053566.1	XP_033330867.1
OG0001476	XP_029051651.1, XP_029051649.1, XP_029047038.1	XP_033329478.1
OG0001477	XP_029039384.1	XP_033333258.1, XP_033333219.1, XP_033333249.1, XP_033333239.1, XP_033333234.1, XP_033333229.1, XP_033333266.1
OG0001479	XP_029045433.1	XP_033336550.1, XP_033336549.1
OG0001480	XP_029040589.1	XP_033323141.1
OG0001481	XP_029041739.1	XP_033331363.1
OG0001482	XP_029044977.1, XP_029044979.1	XP_033330211.1
OG0001483	XP_029039039.1	XP_033336290.1
OG0001484	XP_029052768.1, XP_029052767.1, XP_029052769.1, XP_029052766.1	XP_033342636.1, XP_033342646.1
OG0001485	XP_029041592.1, XP_029041591.1, XP_029041594.1	XP_033338242.1, XP_033338240.1, XP_033338241.1
OG0001486	XP_029032843.1	XP_033326697.1, XP_033326690.1
OG0001487	XP_029038609.1	XP_033327337.1
OG0001488	XP_029036397.1, XP_029036396.1, XP_029036395.1	XP_033331134.1
OG0001489	XP_029040427.1	XP_033328707.1
OG0001490	XP_029042085.1	XP_033331667.1, XP_033331668.1, XP_033331669.1
OG0001491	XP_029045395.1, XP_029045396.1, XP_029045397.1	XP_033335845.1
OG0001492	XP_029033008.1	XP_033341720.1, XP_033333264.1
OG0001493	XP_029045853.1	XP_033332377.1
OG0001494	XP_029048168.1	XP_033338986.1
OG0001495	XP_029041697.1, XP_029041699.1, XP_029041702.1, XP_029041700.1, XP_029041701.1, XP_029041698.1	XP_033331305.1
OG0001496	XP_029036488.1	XP_033325609.1, XP_033325606.1, XP_033325607.1, XP_033325605.1, XP_033325608.1
OG0001497	XP_029037337.1	XP_033341747.1
OG0001498	XP_029052875.1, XP_029052874.1	XP_033335084.1, XP_033335086.1, XP_033335085.1
OG0001499	XP_029052870.1, XP_029052869.1	XP_033335081.1, XP_033335082.1
OG0001500	XP_029037083.1, XP_029037082.1	XP_033321733.1
OG0001501	XP_029039848.1, XP_029039856.1, XP_029039828.1, XP_029039862.1, XP_029039838.1	XP_033343106.1
OG0001502	XP_029037263.1	XP_033331289.1
OG0001503	XP_029042790.1, XP_029042789.1, XP_029042788.1, XP_029042791.1	XP_033335589.1
OG0001504	XP_029033248.1, XP_029033247.1	XP_033338408.1
OG0001505	XP_029046001.1, XP_029045993.1	XP_033332190.1, XP_033332191.1
OG0001506	XP_029042683.1, XP_029042681.1	XP_033342689.1
OG0001507	XP_029051421.1, XP_029051422.1	XP_033331607.1, XP_033331608.1
OG0001508	XP_029056573.1, XP_029056572.1	XP_033341000.1
OG0001509	XP_029045442.1, XP_029045441.1, XP_029045444.1, XP_029045443.1	XP_033336557.1
OG0001510	XP_029047289.1	XP_033329778.1, XP_033329779.1, XP_033329780.1
OG0001511	XP_029036406.1, XP_029036407.1, XP_029036408.1	XP_033328146.1
OG0001512	XP_029053396.1	XP_033342962.1, XP_033342961.1, XP_033342960.1
OG0001513	XP_029042956.1, XP_029042957.1	XP_033338045.1
OG0001514	XP_029047811.1, XP_029047809.1	XP_033339938.1, XP_033325696.1
OG0001516	XP_029037938.1	XP_033325254.1
OG0001517	XP_029040274.1, XP_029040149.1	XP_033326920.1
OG0001518	XP_029036213.1, XP_029036212.1	XP_033323610.1, XP_033323609.1
OG0001520	XP_029054260.1, XP_029054345.1	XP_033335208.1, XP_033335205.1, XP_033335207.1, XP_033335206.1
OG0001522	XP_029035585.1	XP_033323501.1, XP_033332412.1
OG0001525	XP_029048284.1, XP_029048287.1	XP_033321490.1
OG0001526	XP_029037274.1	XP_033333287.1, XP_033333286.1
OG0001527	XP_029039448.1	XP_033323070.1
OG0001528	XP_029041417.1, XP_029041411.1	XP_033323354.1, XP_033323362.1
OG0001529	XP_029036862.1, XP_029036864.1, XP_029036865.1	XP_033341648.1
OG0001530	XP_029037439.1	XP_033338838.1, XP_033338865.1
OG0001531	XP_029036140.1	XP_033323405.1
OG0001532	XP_029037745.1	XP_033322601.1, XP_033339394.1
OG0001533	XP_029052646.1	XP_033322729.1
OG0001534	XP_029046816.1	XP_033327629.1
OG0001535	XP_029045718.1	XP_033324394.1
OG0001537	XP_029053973.1	XP_033323928.1
OG0001538	XP_029039469.1	XP_033322303.1
OG0001539	XP_029048475.1	XP_033328645.1
OG0001540	XP_029037778.1	XP_033323982.1
OG0001541	XP_029051225.1, XP_029051224.1	XP_033330855.1, XP_033330854.1
OG0001542	XP_029041421.1	XP_033323372.1
OG0001543	XP_029036240.1	XP_033337183.1, XP_033337197.1, XP_033337189.1
OG0001544	XP_029046191.1	XP_033321785.1
OG0001545	XP_029043342.1	XP_033336262.1
OG0001547	XP_029041650.1, XP_029041649.1, XP_029041651.1	XP_033321550.1
OG0001548	XP_029056349.1, XP_029056350.1, XP_029056351.1	XP_033331118.1
OG0001549	XP_029048617.1	XP_033335361.1, XP_033335359.1
OG0001550	XP_029054033.1	XP_033331946.1, XP_033331936.1
OG0001551	XP_029042979.1, XP_029042978.1	XP_033338066.1, XP_033338069.1
OG0001552	XP_029043800.1, XP_029043744.1, XP_029043753.1, XP_029043792.1	XP_033331647.1
OG0001553	XP_029040979.1, XP_029040976.1	XP_033329336.1, XP_033329335.1
OG0001555	XP_029044063.1, XP_029044064.1	XP_033334474.1
OG0001557	XP_029045498.1, XP_029045497.1, XP_029045496.1, XP_029045495.1	XP_033326712.1
OG0001560	XP_029051544.1, XP_029051543.1	XP_033337461.1
OG0001561	XP_029050437.1	XP_033322763.1
OG0001562	XP_029045458.1, XP_029045456.1	XP_033325581.1
OG0001563	XP_029051427.1, XP_029051428.1	XP_033321005.1
OG0001564	XP_029050452.1	XP_033322879.1, XP_033322609.1, XP_033322858.1, XP_033339811.1
OG0001565	XP_029050558.1	XP_033340904.1
OG0001566	XP_029055384.1	XP_033340728.1
OG0001567	XP_029046921.1	XP_033325278.1, XP_033325279.1
OG0001568	XP_029048565.1, XP_029048562.1, XP_029048563.1	XP_033340241.1
OG0001570	XP_029043600.1	XP_033339762.1
OG0001571	XP_029039949.1, XP_029039948.1	XP_033327768.1, XP_033327766.1
OG0001572	XP_029050827.1	XP_033327253.1
OG0001573	XP_029044008.1, XP_029043976.1	XP_033329245.1
OG0001574	XP_029047303.1	XP_033340312.1
OG0001575	XP_029043233.1	XP_033334277.1
OG0001576	XP_029041657.1, XP_029041656.1	XP_033325034.1
OG0001577	XP_029050779.1	XP_033337579.1
OG0001578	XP_029047127.1	XP_033337590.1, XP_033337593.1, XP_033337592.1, XP_033337591.1
OG0001579	XP_029053391.1	XP_033342346.1, XP_033342345.1
OG0001580	XP_029049662.1	XP_033335111.1
OG0001581	XP_029041427.1, XP_029041426.1	XP_033332338.1, XP_033332337.1
OG0001582	XP_029052558.1, XP_029052557.1, XP_029052559.1	XP_033339110.1, XP_033339109.1
OG0001583	XP_029041538.1	XP_033321563.1, XP_033321564.1
OG0001584	XP_029032336.1, XP_029032335.1	XP_033333338.1, XP_033333339.1
OG0001585	XP_029035292.1	XP_033340704.1, XP_033340705.1, XP_033340706.1
OG0001586	XP_029040733.1	XP_033339853.1, XP_033333654.1
OG0001587	XP_029040385.1, XP_029040386.1	XP_033325282.1
OG0001588	XP_029040450.1, XP_029040449.1	XP_033340977.1, XP_033340978.1
OG0001589	XP_029051009.1, XP_029051010.1	XP_033338834.1
OG0001590	XP_029046969.1	XP_033334384.1
OG0001591	XP_029048540.1, XP_029048557.1	XP_033322977.1, XP_033322980.1
OG0001592	XP_029045512.1, XP_029055647.1	XP_033322796.1
OG0001593	XP_029037014.1, XP_029037017.1	XP_033324617.1
OG0001594	XP_029049320.1	XP_033338175.1
OG0001595	XP_029054221.1, XP_029054097.1	XP_033321033.1
OG0001596	XP_029037032.1, XP_029037031.1	XP_033322162.1
OG0001598	XP_029037327.1, XP_029037328.1	XP_033339663.1, XP_033339664.1
OG0001599	XP_029040982.1	XP_033339290.1, XP_033339291.1, XP_033339292.1, XP_033339289.1, XP_033339288.1
OG0001600	XP_029047346.1	XP_033326686.1
OG0001601	XP_029047430.1	XP_033328292.1, XP_033328291.1, XP_033328293.1
OG0001602	XP_029036315.1	XP_033330626.1
OG0001603	XP_029047319.1	XP_033332823.1
OG0001604	XP_029052695.1, XP_029052694.1	XP_033323240.1, XP_033331188.1
OG0001605	XP_029038178.1	XP_033333148.1
OG0001606	XP_029038242.1	XP_033332864.1
OG0001607	XP_029050261.1	XP_033322694.1
OG0001608	XP_029041092.1, XP_029041094.1	XP_033329269.1
OG0001609	XP_029046856.1, XP_029046857.1	XP_033324013.1
OG0001610	XP_029037661.1	XP_033336461.1
OG0001611	XP_029032885.1	XP_033331285.1, XP_033331286.1, XP_033331287.1
OG0001612	XP_029044362.1	XP_033335176.1
OG0001613	XP_029045824.1, XP_029045823.1	XP_033341643.1
OG0001614	XP_029037076.1	XP_033321729.1
OG0001615	XP_029031843.1, XP_029056679.1	XP_033324796.1
OG0001617	XP_029047840.1, XP_029047838.1, XP_029047837.1, XP_029047839.1	XP_033333296.1
OG0001618	XP_029047841.1, XP_029047842.1	XP_033333302.1
OG0001619	XP_029041505.1	XP_033332932.1
OG0001620	XP_029037286.1	XP_033333288.1
OG0001621	XP_029038717.1	XP_033321217.1
OG0001622	XP_029031946.1	XP_033325686.1
OG0001624	XP_029039799.1, XP_029039797.1, XP_029039798.1	XP_033340621.1
OG0001625	XP_029049382.1, XP_029049384.1, XP_029049383.1	XP_033342534.1
OG0001626	XP_029033011.1	XP_033333904.1
OG0001627	XP_029040420.1	XP_033325751.1
OG0001628	XP_029051400.1, XP_029051398.1, XP_029051402.1	XP_033331751.1
OG0001629	XP_029036979.1, XP_029036977.1	XP_033323594.1
OG0001630	XP_029040902.1	XP_033341601.1, XP_033341602.1, XP_033341603.1, XP_033341604.1, XP_033341600.1
OG0001631	XP_029045838.1	XP_033322366.1
OG0001632	XP_029033006.1	XP_033321861.1
OG0001633	XP_029055939.1, XP_029055940.1	XP_033334242.1, XP_033334241.1
OG0001634	XP_029054590.1	XP_033337344.1
OG0001635	XP_029055775.1	XP_033334031.1, XP_033334033.1, XP_033334032.1
OG0001637	XP_029032735.1, XP_029032736.1	XP_033335784.1
OG0001638	XP_029037722.1, XP_029037720.1	XP_033330927.1
OG0001639	XP_029056254.1, XP_029056252.1, XP_029056251.1, XP_029056250.1, XP_029056253.1, XP_029056248.1	XP_033323344.1
OG0001640	XP_029056228.1, XP_029056186.1	XP_033338715.1
OG0001641	XP_029054388.1	XP_033331068.1
OG0001642	XP_029045465.1, XP_029045466.1, XP_029045467.1	XP_033333922.1
OG0001644	XP_029039716.1	XP_033329281.1, XP_033329280.1, XP_033329282.1, XP_033329283.1, XP_033329284.1
