Orthogroup	Osmia_bicornis	Dufourea_novaeangliae
OG0001291	XP_029049801.1	XP_015437759.1
OG0001292	XP_029049697.1, XP_029049700.1	XP_015437335.1
OG0001293	XP_029037123.1	XP_015435941.1
OG0001294	XP_029048724.1	XP_015439893.1
OG0001295	XP_029039644.1	XP_015433718.1
OG0001296	XP_029046183.1, XP_029046184.1	XP_015431549.1
OG0001297	XP_029051035.1	XP_015430294.1
OG0001298	XP_029045092.1	XP_015434462.1
OG0001300	XP_029049922.1, XP_029049925.1	XP_015430393.1
OG0001301	XP_029044998.1, XP_029044999.1, XP_029044997.1	XP_015432385.1
OG0001303	XP_029032246.1	XP_015438098.1
OG0001304	XP_029046415.1, XP_029046414.1	XP_015439454.1
OG0001305	XP_029041290.1	XP_015435976.1
OG0001306	XP_029045785.1	XP_015432476.1
OG0001307	XP_029034664.1	XP_015439460.1
OG0001308	XP_029046850.1, XP_029046847.1	XP_015430558.1, XP_015430566.1
OG0001309	XP_029032869.1	XP_015435922.1, XP_015435923.1, XP_015435919.1
OG0001310	XP_029041247.1	XP_015435957.1
OG0001311	XP_029038601.1	XP_015431473.1
OG0001312	XP_029055892.1, XP_029055888.1	XP_015429130.1
OG0001313	XP_029050173.1, XP_029050174.1	XP_015438763.1
OG0001314	XP_029047941.1	XP_015436147.1
OG0001315	XP_029053044.1, XP_029053047.1, XP_029053046.1, XP_029053045.1	XP_015439859.1
OG0001316	XP_029050453.1, XP_029050454.1	XP_015436787.1
OG0001317	XP_029055519.1, XP_029055518.1	XP_015436789.1
OG0001318	XP_029039329.1	XP_015439370.1
OG0001319	XP_029035221.1	XP_015431758.1, XP_015431764.1, XP_015431761.1
OG0001320	XP_029035716.1, XP_029035714.1, XP_029035713.1, XP_029035715.1	XP_015436856.1
OG0001321	XP_029036775.1	XP_015439637.1
OG0001322	XP_029043541.1	XP_015434158.1
OG0001323	XP_029047507.1, XP_029047506.1	XP_015433459.1
OG0001324	XP_029047557.1	XP_015432526.1, XP_015432594.1
OG0001325	XP_029054141.1, XP_029054142.1	XP_015434909.1
OG0001327	XP_029040824.1	XP_015432502.1
OG0001327	XP_029040825.1	XP_015432505.1
OG0001328	XP_029036827.1	XP_015434901.1
OG0001329	XP_029033027.1	XP_015435921.1
OG0001330	XP_029044390.1	XP_015431980.1, XP_015431978.1
OG0001331	XP_029042153.1	XP_015433385.1
OG0001332	XP_029052477.1	XP_015436610.1
OG0001333	XP_029035459.1	XP_015436553.1
OG0001335	XP_029052344.1	XP_015430937.1, XP_015430936.1
OG0001336	XP_029045435.1	XP_015439133.1
OG0001337	XP_029035578.1, XP_029035577.1	XP_015436665.1
OG0001338	XP_029056081.1, XP_029056238.1	XP_015432133.1
OG0001339	XP_029033260.1	XP_015438670.1
OG0001340	XP_029036009.1, XP_029036007.1, XP_029036008.1	XP_015437075.1
OG0001341	XP_029033337.1	XP_015440411.1
OG0001342	XP_029033286.1	XP_015436581.1
OG0001343	XP_029045615.1, XP_029045614.1, XP_029045616.1	XP_015439577.1
OG0001344	XP_029035491.1	XP_015438803.1
OG0001345	XP_029037461.1, XP_029037460.1	XP_015437725.1
OG0001346	XP_029049773.1	XP_015437409.1
OG0001347	XP_029044208.1, XP_029044207.1, XP_029044206.1	XP_015430488.1
OG0001348	XP_029034596.1, XP_029034595.1, XP_029034597.1	XP_015432217.1
OG0001349	XP_029052925.1, XP_029052923.1	XP_015436237.1, XP_015436235.1
OG0001350	XP_029046713.1, XP_029046709.1	XP_015439664.1
OG0001351	XP_029041468.1, XP_029041441.1, XP_029041459.1, XP_029041450.1, XP_029041478.1	XP_015438160.1
OG0001352	XP_029051273.1	XP_015433773.1
OG0001353	XP_029041595.1, XP_029041647.1	XP_015428968.1
OG0001354	XP_029032327.1	XP_015434492.1, XP_015434493.1
OG0001355	XP_029040662.1, XP_029040661.1	XP_015433405.1
OG0001356	XP_029035110.1	XP_015428826.1
OG0001357	XP_029047467.1, XP_029047465.1, XP_029047466.1	XP_015429824.1
OG0001358	XP_029055484.1, XP_029055483.1	XP_015436717.1
OG0001359	XP_029055471.1	XP_015437911.1
OG0001360	XP_029054624.1, XP_029054621.1	XP_015433967.1
OG0001361	XP_029054705.1	XP_015431888.1
OG0001362	XP_029048055.1, XP_029048065.1	XP_015430773.1
OG0001363	XP_029046270.1	XP_015430838.1
OG0001364	XP_029042973.1, XP_029042972.1, XP_029042974.1, XP_029042971.1	XP_015430776.1
OG0001365	XP_029038504.1, XP_029038503.1	XP_015433820.1
OG0001366	XP_029032938.1, XP_029032939.1	XP_015434223.1
OG0001367	XP_029045277.1, XP_029045278.1, XP_029045276.1	XP_015428446.1
OG0001368	XP_029032616.1	XP_015437442.1
OG0001370	XP_029035313.1	XP_015430054.1, XP_015430056.1, XP_015430051.1, XP_015430053.1, XP_015430052.1, XP_015430055.1
OG0001371	XP_029048679.1, XP_029048682.1	XP_015440199.1, XP_015440200.1
OG0001372	XP_029038111.1	XP_015435449.1, XP_015435448.1, XP_015435447.1
OG0001374	XP_029037973.1, XP_029037974.1	XP_015435265.1
OG0001375	XP_029051455.1, XP_029051464.1	XP_015432546.1
OG0001376	XP_029036198.1, XP_029036200.1, XP_029036199.1	XP_015435700.1, XP_015435701.1
OG0001377	XP_029040418.1, XP_029040409.1	XP_015430092.1
OG0001378	XP_029044921.1	XP_015430136.1
OG0001379	XP_029047387.1, XP_029047386.1, XP_029047385.1, XP_029047388.1	XP_015436846.1
OG0001380	XP_029041813.1	XP_015431248.1
OG0001381	XP_029032450.1, XP_029032448.1, XP_029032449.1	XP_015438784.1, XP_015438551.1
OG0001383	XP_029042078.1	XP_015433341.1
OG0001384	XP_029040682.1, XP_029040683.1	XP_015439292.1
OG0001385	XP_029052058.1, XP_029052059.1	XP_015434229.1
OG0001386	XP_029050908.1	XP_015435380.1, XP_015435379.1
OG0001387	XP_029033855.1, XP_029033853.1	XP_015434278.1
OG0001388	XP_029044333.1	XP_015436964.1, XP_015436963.1
OG0001390	XP_029050445.1, XP_029050444.1, XP_029050446.1	XP_015436778.1
OG0001391	XP_029055489.1, XP_029055490.1	XP_015438236.1
OG0001393	XP_029033304.1, XP_029033303.1	XP_015437265.1
OG0001394	XP_029040372.1	XP_015430114.1
OG0001395	XP_029041343.1	XP_015436151.1
OG0001397	XP_029035425.1, XP_029035429.1	XP_015435557.1
OG0001398	XP_029046665.1, XP_029046657.1	XP_015432270.1, XP_015432269.1
OG0001400	XP_029038861.1	XP_015434630.1
OG0001402	XP_029045965.1, XP_029045962.1	XP_015437929.1, XP_015437928.1
OG0001403	XP_029055575.1	XP_015429918.1
OG0001405	XP_029050983.1	XP_015430299.1
OG0001406	XP_029050209.1, XP_029050200.1	XP_015429365.1
OG0001407	XP_029056592.1	XP_015435016.1, XP_015434945.1
OG0001408	XP_029056587.1, XP_029056586.1	XP_015432211.1
OG0001409	XP_029046883.1, XP_029046876.1	XP_015429751.1
OG0001410	XP_029032491.1, XP_029032489.1	XP_015429851.1
OG0001411	XP_029032931.1, XP_029032926.1, XP_029032925.1, XP_029032927.1, XP_029032928.1, XP_029032929.1, XP_029032930.1, XP_029032933.1	XP_015435947.1
OG0001412	XP_029049881.1	XP_015429350.1
OG0001413	XP_029033061.1	XP_015428598.1
OG0001414	XP_029047167.1	XP_015431526.1
OG0001415	XP_029050228.1	XP_015429376.1
OG0001416	XP_029050214.1	XP_015429379.1
OG0001417	XP_029038056.1	XP_015432876.1
OG0001418	XP_029033887.1	XP_015435816.1
OG0001419	XP_029040667.1	XP_015434084.1
OG0001421	XP_029046981.1	XP_015431690.1
OG0001422	XP_029046065.1	XP_015431712.1
OG0001423	XP_029048369.1	XP_015431790.1
OG0001424	XP_029035619.1	XP_015431729.1
OG0001426	XP_029042197.1	XP_015440230.1
OG0001427	XP_029042136.1	XP_015433343.1, XP_015433344.1
OG0001429	XP_029036412.1	XP_015433251.1, XP_015433249.1, XP_015433250.1
OG0001430	XP_029041325.1, XP_029041326.1	XP_015439975.1
OG0001431	XP_029038844.1	XP_015434643.1
OG0001432	XP_029047424.1, XP_029047423.1, XP_029047422.1	XP_015429823.1
OG0001433	XP_029044691.1, XP_029044692.1	XP_015433560.1
OG0001434	XP_029048091.1, XP_029048090.1	XP_015431985.1
OG0001435	XP_029048024.1	XP_015438068.1, XP_015438153.1
OG0001436	XP_029050164.1, XP_029050165.1	XP_015438775.1
OG0001437	XP_029043259.1, XP_029043260.1	XP_015430064.1
OG0001438	XP_029038256.1, XP_029038257.1, XP_029038258.1	XP_015434541.1
OG0001439	XP_029042557.1, XP_029042543.1, XP_029042882.1	XP_015436708.1
OG0001440	XP_029040050.1	XP_015434491.1
OG0001441	XP_029039196.1	XP_015431090.1
OG0001442	XP_029038479.1, XP_029038480.1, XP_029038477.1	XP_015433781.1
OG0001443	XP_029047129.1	XP_015437455.1
OG0001444	XP_029051717.1, XP_029051718.1, XP_029051719.1	XP_015435442.1
OG0001445	XP_029051487.1, XP_029051486.1	XP_015433377.1
OG0001446	XP_029044829.1, XP_029044832.1, XP_029044831.1	XP_015436134.1
OG0001447	XP_029053119.1, XP_029053120.1, XP_029053121.1	XP_015429962.1
OG0001448	XP_029044847.1	XP_015439502.1
OG0001449	XP_029037435.1	XP_015431128.1
OG0001450	XP_029045700.1, XP_029045692.1	XP_015428911.1
OG0001451	XP_029040990.1	XP_015428697.1
OG0001452	XP_029053927.1	XP_015430303.1
OG0001453	XP_029042216.1	XP_015428685.1
OG0001453	XP_029042235.1	XP_015428808.1
OG0001454	XP_029046922.1, XP_029046926.1	XP_015429816.1
OG0001455	XP_029040235.1	XP_015432190.1, XP_015432191.1
OG0001456	XP_029056116.1, XP_029056115.1, XP_029056118.1, XP_029056119.1	XP_015438616.1
OG0001457	XP_029041664.1	XP_015432681.1, XP_015432680.1
OG0001458	XP_029052378.1	XP_015428547.1
OG0001459	XP_029043353.1, XP_029043362.1	XP_015439222.1
OG0001460	XP_029045410.1	XP_015439225.1
OG0001462	XP_029050133.1	XP_015428578.1
OG0001463	XP_029040915.1, XP_029040914.1	XP_015437938.1
OG0001464	XP_029034823.1	XP_015434840.1
OG0001465	XP_029038878.1	XP_015433857.1, XP_015433860.1, XP_015433858.1, XP_015433859.1
OG0001466	XP_029035252.1, XP_029035251.1, XP_029035254.1	XP_015429945.1
OG0001467	XP_029050956.1, XP_029050957.1, XP_029050958.1, XP_029050959.1	XP_015430320.1
OG0001468	XP_029048784.1	XP_015433021.1, XP_015433020.1
OG0001469	XP_029034249.1	XP_015429461.1
OG0001470	XP_029040793.1, XP_029040788.1	XP_015432799.1
OG0001471	XP_029043180.1, XP_029043179.1	XP_015429447.1
OG0001472	XP_029035378.1	XP_015436615.1
OG0001473	XP_029055105.1	XP_015429883.1, XP_015429882.1, XP_015429884.1
OG0001474	XP_029039724.1, XP_029039739.1	XP_015429839.1
OG0001476	XP_029051651.1, XP_029051649.1, XP_029047038.1	XP_015435985.1
OG0001477	XP_029039384.1	XP_015431133.1
OG0001479	XP_029045433.1	XP_015439104.1
OG0001480	XP_029040589.1	XP_015430879.1
OG0001481	XP_029041739.1	XP_015437572.1, XP_015437571.1
OG0001482	XP_029044977.1, XP_029044979.1	XP_015432338.1
OG0001483	XP_029039039.1	XP_015438908.1
OG0001484	XP_029052768.1, XP_029052767.1, XP_029052769.1, XP_029052766.1	XP_015433224.1
OG0001485	XP_029041592.1, XP_029041591.1, XP_029041594.1	XP_015429124.1
OG0001486	XP_029032843.1	XP_015431486.1
OG0001487	XP_029038609.1	XP_015431474.1
OG0001488	XP_029036397.1, XP_029036396.1, XP_029036395.1	XP_015440058.1, XP_015440057.1
OG0001489	XP_029040427.1	XP_015430582.1, XP_015430585.1
OG0001490	XP_029042085.1	XP_015436828.1
OG0001491	XP_029045395.1, XP_029045396.1, XP_029045397.1	XP_015439227.1
OG0001492	XP_029033008.1	XP_015433404.1
OG0001493	XP_029045853.1	XP_015431734.1
OG0001494	XP_029048168.1	XP_015439824.1
OG0001495	XP_029041697.1, XP_029041699.1, XP_029041702.1, XP_029041700.1, XP_029041701.1, XP_029041698.1	XP_015432239.1
OG0001496	XP_029036488.1	XP_015439813.1, XP_015439812.1
OG0001497	XP_029037337.1	XP_015428567.1
OG0001498	XP_029052875.1, XP_029052874.1	XP_015436577.1
OG0001499	XP_029052870.1, XP_029052869.1	XP_015436536.1
OG0001500	XP_029037083.1, XP_029037082.1	XP_015435937.1
OG0001501	XP_029039848.1, XP_029039856.1, XP_029039828.1, XP_029039862.1, XP_029039838.1	XP_015437147.1
OG0001502	XP_029037263.1	XP_015434258.1
OG0001503	XP_029042790.1, XP_029042789.1, XP_029042788.1, XP_029042791.1	XP_015439998.1
OG0001504	XP_029033248.1, XP_029033247.1	XP_015438622.1
OG0001505	XP_029046001.1, XP_029045993.1	XP_015438089.1
OG0001506	XP_029042683.1, XP_029042681.1	XP_015438863.1
OG0001507	XP_029051421.1, XP_029051422.1	XP_015433408.1
OG0001508	XP_029056573.1, XP_029056572.1	XP_015430156.1
OG0001509	XP_029045442.1, XP_029045441.1, XP_029045444.1, XP_029045443.1	XP_015439041.1
OG0001510	XP_029047289.1	XP_015431709.1
OG0001511	XP_029036406.1, XP_029036407.1, XP_029036408.1	XP_015439639.1
OG0001512	XP_029053396.1	XP_015437322.1, XP_015437324.1, XP_015437323.1
OG0001513	XP_029042956.1, XP_029042957.1	XP_015431637.1
OG0001514	XP_029047811.1, XP_029047809.1	XP_015436352.1
OG0001516	XP_029037938.1	XP_015432932.1
OG0001517	XP_029040274.1, XP_029040149.1	XP_015437153.1
OG0001518	XP_029036213.1, XP_029036212.1	XP_015431506.1
OG0001520	XP_029053971.1	XP_015437419.1
OG0001525	XP_029048284.1, XP_029048287.1	XP_015429084.1
OG0001526	XP_029037274.1	XP_015439549.1
OG0001527	XP_029039448.1	XP_015437253.1, XP_015435215.1
OG0001528	XP_029041417.1, XP_029041411.1	XP_015433886.1, XP_015433879.1
OG0001529	XP_029036862.1, XP_029036864.1, XP_029036865.1	XP_015433151.1
OG0001530	XP_029037439.1	XP_015436152.1
OG0001531	XP_029036140.1	XP_015428643.1, XP_015428644.1, XP_015428645.1
OG0001532	XP_029037745.1	XP_015433143.1, XP_015437694.1
OG0001533	XP_029052646.1	XP_015432571.1
OG0001534	XP_029046816.1	XP_015433471.1, XP_015433464.1, XP_015433478.1
OG0001535	XP_029045718.1	XP_015439931.1, XP_015439932.1
OG0001536	XP_029036894.1, XP_029036896.1	XP_015434568.1, XP_015434569.1
OG0001538	XP_029039469.1	XP_015439327.1
OG0001539	XP_029048475.1	XP_015430112.1
OG0001540	XP_029037778.1	XP_015433844.1
OG0001541	XP_029051225.1, XP_029051224.1	XP_015430213.1
OG0001542	XP_029041421.1	XP_015433778.1
OG0001543	XP_029036240.1	XP_015432265.1
OG0001544	XP_029046191.1	XP_015431565.1
OG0001545	XP_029043342.1	XP_015438990.1
OG0001546	XP_029051937.1	XP_015431060.1
OG0001547	XP_029041650.1, XP_029041649.1, XP_029041651.1	XP_015429160.1
OG0001548	XP_029056349.1, XP_029056350.1, XP_029056351.1	XP_015436029.1
OG0001549	XP_029048617.1	XP_015430263.1
OG0001550	XP_029054033.1	XP_015429844.1, XP_015429845.1
OG0001551	XP_029042979.1, XP_029042978.1	XP_015437601.1
OG0001552	XP_029043800.1, XP_029043744.1, XP_029043753.1, XP_029043792.1	XP_015437094.1
OG0001554	XP_029042710.1, XP_029042709.1	XP_015438856.1
OG0001555	XP_029044063.1, XP_029044064.1	XP_015436617.1
OG0001556	XP_029048132.1	XP_015438998.1
OG0001557	XP_029045498.1, XP_029045497.1, XP_029045496.1, XP_029045495.1	XP_015440112.1
OG0001558	XP_029032144.1, XP_029032145.1	XP_015429154.1
OG0001559	XP_029053351.1	XP_015436748.1, XP_015436749.1
OG0001560	XP_029051544.1, XP_029051543.1	XP_015430418.1
OG0001561	XP_029050437.1	XP_015436769.1, XP_015436770.1
OG0001562	XP_029045458.1, XP_029045456.1	XP_015436747.1, XP_015436746.1
OG0001563	XP_029051427.1, XP_029051428.1	XP_015437657.1
OG0001564	XP_029050452.1	XP_015436777.1
OG0001565	XP_029050558.1	XP_015438554.1
OG0001566	XP_029055384.1	XP_015436276.1
OG0001567	XP_029046921.1	XP_015434499.1
OG0001568	XP_029048565.1, XP_029048562.1, XP_029048563.1	XP_015435189.1
OG0001569	XP_029045999.1	XP_015434818.1
OG0001570	XP_029043600.1	XP_015428537.1
OG0001571	XP_029039949.1, XP_029039948.1	XP_015428829.1
OG0001572	XP_029050827.1	XP_015430486.1
OG0001573	XP_029044008.1, XP_029043976.1	XP_015437184.1, XP_015437194.1
OG0001574	XP_029047303.1	XP_015429903.1
OG0001575	XP_029043233.1	XP_015428415.1
OG0001576	XP_029041657.1, XP_029041656.1	XP_015432167.1
OG0001577	XP_029050779.1	XP_015430902.1, XP_015430901.1
OG0001578	XP_029047127.1	XP_015437514.1
OG0001579	XP_029053391.1	XP_015437404.1
OG0001580	XP_029049662.1	XP_015437755.1
OG0001581	XP_029041427.1, XP_029041426.1	XP_015436048.1
OG0001582	XP_029052558.1, XP_029052557.1, XP_029052559.1	XP_015433269.1
OG0001583	XP_029041538.1	XP_015429077.1
OG0001584	XP_029032336.1, XP_029032335.1	XP_015433871.1
OG0001585	XP_029035292.1	XP_015438206.1
OG0001586	XP_029040733.1	XP_015431821.1
OG0001587	XP_029040385.1, XP_029040386.1	XP_015432988.1
OG0001588	XP_029040450.1, XP_029040449.1	XP_015431342.1
OG0001589	XP_029051009.1, XP_029051010.1	XP_015430392.1
OG0001590	XP_029046969.1	XP_015434409.1
OG0001591	XP_029048540.1, XP_029048557.1	XP_015434534.1
OG0001592	XP_029045512.1, XP_029055647.1	XP_015436703.1
OG0001593	XP_029037014.1, XP_029037017.1	XP_015434850.1
OG0001594	XP_029049320.1	XP_015430164.1
OG0001595	XP_029054221.1, XP_029054097.1	XP_015431048.1
OG0001596	XP_029037032.1, XP_029037031.1	XP_015429340.1
OG0001597	XP_029045021.1	XP_015432364.1
OG0001598	XP_029037327.1, XP_029037328.1	XP_015435193.1
OG0001599	XP_029040982.1	XP_015438042.1
OG0001600	XP_029047346.1	XP_015436913.1
OG0001601	XP_029047430.1	XP_015437682.1
OG0001602	XP_029036315.1	XP_015431859.1
OG0001603	XP_029047319.1	XP_015434383.1
OG0001604	XP_029052695.1, XP_029052694.1	XP_015434252.1
OG0001605	XP_029038178.1	XP_015429608.1
OG0001606	XP_029038242.1	XP_015429606.1
OG0001607	XP_029050261.1	XP_015432541.1, XP_015432542.1
OG0001608	XP_029041092.1, XP_029041094.1	XP_015439410.1
OG0001609	XP_029046856.1, XP_029046857.1	XP_015438923.1
OG0001610	XP_029037661.1	XP_015434184.1
OG0001611	XP_029032885.1	XP_015435924.1
OG0001612	XP_029044362.1	XP_015436926.1
OG0001613	XP_029045824.1, XP_029045823.1	XP_015439341.1
OG0001614	XP_029037076.1	XP_015435854.1
OG0001615	XP_029031843.1, XP_029056679.1	XP_015428684.1
OG0001616	XP_029031915.1	XP_015428995.1
OG0001617	XP_029047840.1, XP_029047838.1, XP_029047837.1, XP_029047839.1	XP_015436102.1
OG0001618	XP_029047841.1, XP_029047842.1	XP_015436324.1
OG0001619	XP_029041505.1	XP_015436271.1
OG0001620	XP_029037286.1	XP_015439552.1
OG0001621	XP_029038717.1	XP_015436308.1
OG0001622	XP_029031946.1	XP_015435370.1
OG0001623	XP_029033281.1, XP_029033297.1, XP_029033290.1	XP_015431672.1
OG0001624	XP_029039799.1, XP_029039797.1, XP_029039798.1	XP_015438512.1
OG0001625	XP_029049382.1, XP_029049384.1, XP_029049383.1	XP_015440304.1
OG0001627	XP_029040420.1	XP_015431395.1
OG0001628	XP_029051400.1, XP_029051398.1, XP_029051402.1	XP_015438365.1
OG0001629	XP_029036979.1, XP_029036977.1	XP_015429415.1
OG0001630	XP_029040902.1	XP_015437939.1
OG0001631	XP_029045835.1	XP_015439420.1
OG0001632	XP_029033006.1	XP_015431546.1
OG0001633	XP_029055939.1, XP_029055940.1	XP_015428980.1
OG0001634	XP_029054590.1	XP_015430921.1
OG0001635	XP_029055775.1	XP_015440041.1
OG0001637	XP_029032735.1, XP_029032736.1	XP_015439073.1, XP_015439072.1
OG0001638	XP_029037722.1, XP_029037720.1	XP_015438019.1
OG0001639	XP_029056254.1, XP_029056252.1, XP_029056251.1, XP_029056250.1, XP_029056253.1, XP_029056248.1	XP_015434670.1
OG0001640	XP_029056228.1, XP_029056186.1	XP_015438669.1
OG0001641	XP_029054388.1	XP_015436715.1, XP_015436716.1
OG0001642	XP_029045465.1, XP_029045466.1, XP_029045467.1	XP_015439645.1
OG0001643	XP_029031977.1, XP_029031980.1	XP_015437276.1
OG0001644	XP_029039716.1	XP_015428917.1, XP_015428918.1
OG0001645	XP_029051134.1	XP_015440424.1
OG0001646	XP_029037613.1	XP_015440543.1
OG0001647	XP_029038338.1, XP_029038339.1	XP_015440464.1, XP_015440465.1
OG0001648	XP_029037299.1, XP_029037308.1	XP_015436258.1
OG0001649	XP_029041461.1	XP_015436389.1
OG0001650	XP_029038966.1	XP_015433810.1
OG0001651	XP_029036355.1	XP_015439882.1
OG0001652	XP_029033280.1	XP_015439633.1
OG0001653	XP_029053070.1	XP_015431908.1
OG0001654	XP_029052229.1	XP_015431928.1
OG0001655	XP_029044304.1	XP_015428825.1
OG0001656	XP_029033426.1, XP_029033425.1, XP_029033427.1, XP_029033428.1	XP_015437268.1
OG0001657	XP_029047413.1	XP_015438195.1
OG0001658	XP_029043182.1	XP_015434984.1
OG0001659	XP_029043227.1, XP_029043226.1	XP_015435012.1
OG0001660	XP_029034207.1, XP_029034206.1, XP_029034209.1, XP_029034208.1, XP_029034210.1	XP_015433969.1
OG0001661	XP_029032091.1, XP_029032092.1	XP_015434992.1
OG0001662	XP_029036184.1	XP_015432534.1
OG0001663	XP_029043677.1, XP_029043676.1	XP_015429071.1
OG0001664	XP_029033025.1	XP_015428533.1, XP_015428586.1
OG0001665	XP_029055195.1	XP_015429864.1
OG0001666	XP_029039213.1	XP_015431149.1
OG0001667	XP_029042415.1	XP_015432737.1
OG0001668	XP_029043126.1	XP_015437005.1
OG0001669	XP_029048744.1, XP_029048743.1, XP_029048745.1	XP_015440078.1
OG0001670	XP_029051320.1	XP_015440480.1, XP_015440478.1
OG0001671	XP_029042341.1	XP_015437762.1
OG0001672	XP_029043197.1, XP_029043290.1	XP_015437156.1, XP_015437157.1
OG0001673	XP_029042751.1	XP_015438543.1
OG0001674	XP_029040139.1	XP_015431443.1
OG0001675	XP_029038046.1	XP_015429490.1
OG0001676	XP_029035770.1	XP_015429042.1
OG0001677	XP_029041102.1, XP_029041093.1, XP_029041085.1, XP_029041078.1	XP_015430313.1
OG0001678	XP_029049876.1, XP_029049875.1	XP_015429372.1
OG0001679	XP_029043390.1	XP_015431077.1, XP_015431078.1
OG0001680	XP_029033413.1, XP_029033411.1	XP_015439635.1
OG0001681	XP_029038135.1	XP_015429540.1, XP_015429541.1, XP_015429538.1, XP_015429539.1
OG0001682	XP_029041515.1, XP_029041514.1	XP_015432244.1
OG0001683	XP_029032106.1	XP_015429458.1
OG0001684	XP_029055941.1	XP_015428983.1
OG0001685	XP_029041638.1	XP_015429162.1
OG0001686	XP_029035982.1	XP_015430731.1
OG0001686	XP_029035980.1	XP_015430729.1
OG0001687	XP_029042927.1, XP_029042928.1	XP_015436950.1
OG0001688	XP_029046939.1, XP_029046942.1, XP_029046952.1, XP_029046931.1	XP_015431644.1
OG0001689	XP_029048503.1	XP_015436934.1
OG0001690	XP_029036508.1	XP_015433265.1
OG0001691	XP_029043891.1	XP_015439867.1
OG0001692	XP_029041305.1	XP_015429557.1
OG0001693	XP_029045077.1, XP_029045076.1, XP_029045078.1	XP_015434463.1
OG0001694	XP_029032666.1	XP_015436425.1
OG0001695	XP_029032320.1	XP_015433870.1
OG0001696	XP_029044209.1	XP_015430914.1, XP_015430915.1, XP_015430916.1, XP_015430917.1
OG0001697	XP_029033420.1, XP_029033422.1, XP_029033421.1	XP_015428967.1
OG0001698	XP_029051518.1, XP_029051519.1, XP_029051520.1	XP_015430544.1
OG0001700	XP_029039866.1, XP_029039865.1	XP_015431299.1
OG0001701	XP_029045702.1, XP_029040426.1	XP_015428958.1
OG0001702	XP_029049024.1	XP_015438449.1, XP_015438448.1, XP_015438447.1
OG0001703	XP_029051453.1	XP_015438608.1
OG0001704	XP_029037579.1	XP_015437290.1
OG0001705	XP_029044903.1, XP_029044906.1	XP_015436546.1
OG0001706	XP_029046509.1	XP_015437021.1
OG0001707	XP_029041748.1	XP_015432136.1
OG0001708	XP_029036078.1, XP_029036072.1, XP_029036076.1	XP_015432403.1
OG0001709	XP_029043791.1, XP_029043793.1, XP_029043788.1, XP_029043790.1, XP_029043786.1, XP_029043787.1	XP_015428541.1
OG0001710	XP_029053876.1	XP_015438123.1
OG0001711	XP_029035720.1, XP_029035719.1	XP_015437609.1
OG0001712	XP_029035729.1, XP_029035730.1	XP_015437612.1
OG0001713	XP_029038418.1, XP_029038419.1, XP_029038421.1	XP_015438727.1
OG0001715	XP_029045366.1	XP_015436471.1
OG0001716	XP_029038466.1, XP_029038465.1	XP_015435225.1
OG0001717	XP_029045449.1, XP_029045451.1, XP_029045450.1	XP_015439167.1
OG0001718	XP_029050462.1	XP_015430074.1
OG0001719	XP_029040918.1, XP_029040919.1	XP_015437972.1
OG0001720	XP_029034698.1	XP_015438377.1
OG0001721	XP_029050954.1	XP_015430391.1
OG0001722	XP_029049893.1	XP_015429325.1
OG0001723	XP_029032284.1, XP_029032285.1	XP_015437160.1
OG0001725	XP_029052641.1	XP_015432022.1
OG0001726	XP_029043219.1	XP_015435014.1
OG0001727	XP_029034160.1	XP_015435027.1
OG0001728	XP_029034278.1, XP_029034279.1	XP_015433096.1
OG0001729	XP_029034185.1, XP_029034186.1	XP_015434987.1
OG0001730	XP_029036310.1	XP_015431922.1
OG0001731	XP_029032073.1, XP_029032064.1	XP_015434989.1
OG0001732	XP_029046262.1	XP_015437108.1, XP_015437105.1
OG0001733	XP_029049896.1	XP_015429316.1
OG0001734	XP_029033085.1	XP_015435775.1
OG0001735	XP_029037811.1, XP_029037812.1, XP_029037810.1	XP_015432829.1
OG0001736	XP_029037157.1	XP_015435926.1
OG0001737	XP_029047068.1	XP_015431751.1, XP_015431750.1
OG0001738	XP_029046024.1	XP_015437598.1
OG0001739	XP_029040193.1	XP_015433121.1
OG0001740	XP_029046699.1	XP_015431675.1
OG0001741	XP_029033838.1, XP_029033818.1	XP_015436879.1
OG0001742	XP_029037770.1	XP_015436805.1
OG0001743	XP_029035666.1	XP_015431691.1
OG0001745	XP_029042142.1, XP_029042143.1	XP_015433278.1, XP_015433279.1
OG0001746	XP_029043822.1	XP_015433284.1
OG0001747	XP_029045166.1	XP_015432675.1
OG0001748	XP_029048720.1	XP_015439782.1
OG0001749	XP_029042783.1	XP_015440008.1
OG0001750	XP_029042062.1	XP_015439283.1
OG0001751	XP_029046466.1	XP_015440252.1
OG0001752	XP_029036617.1, XP_029036614.1	XP_015439802.1
OG0001753	XP_029046460.1, XP_029046459.1	XP_015439958.1
OG0001754	XP_029048092.1	XP_015431999.1
OG0001755	XP_029043103.1, XP_029043102.1, XP_029043104.1	XP_015435651.1
OG0001756	XP_029050805.1	XP_015432527.1
OG0001757	XP_029041507.1, XP_029041720.1	XP_015432062.1
OG0001758	XP_029055403.1	XP_015437137.1
OG0001759	XP_029047255.1	XP_015434435.1, XP_015434437.1
OG0001760	XP_029039212.1	XP_015431144.1
OG0001761	XP_029053483.1	XP_015437600.1
OG0001762	XP_029034896.1	XP_015433532.1
OG0001763	XP_029041226.1	XP_015429595.1
