Orthogroup	Habropoda_laboriosa	Drosophila_melanogaster
OG0001060	XP_017798068.1	NP_611421.1
OG0001061	XP_017790776.1, XP_017790768.1	NP_648303.1, NP_001033964.1
OG0001063	XP_017796567.1, XP_017789033.1	NP_001368937.1
OG0001064	XP_017790366.1, XP_017795419.1	NP_651088.1
OG0001065	XP_017790514.1, XP_017790523.1	NP_001036569.2
OG0001066	XP_017793380.1	NP_609599.1, NP_609604.1
OG0001067	XP_017793086.1, XP_017793087.1	NP_611561.1
OG0001068	XP_017792027.1	NP_001246786.1
OG0001069	XP_017797696.1	NP_647877.1
OG0001070	XP_017799386.1	NP_652021.1, NP_001259264.1
OG0001071	XP_017796974.1	NP_001369025.1
OG0001073	XP_017799416.1, XP_017799418.1	NP_651257.1, NP_651258.1
OG0001074	XP_017788486.1	NP_001259969.1
OG0001076	XP_017789934.1	NP_001260355.1
OG0001077	XP_017787604.1	NP_001162966.2
OG0001078	XP_017792576.1	NP_001261508.1
OG0001081	XP_017794598.1	NP_001259757.1, NP_001097171.2, NP_001034004.1
OG0001082	XP_017799383.1	NP_001261395.1
OG0001083	XP_017794732.1	NP_001163182.1
OG0001084	XP_017797736.1	NP_001261977.1
OG0001085	XP_017789773.1	NP_651472.2, NP_651701.1
OG0001090	XP_017798240.1	NP_001015155.1
OG0001091	XP_017790227.1	NP_001285121.1, NP_001162839.1
OG0001092	XP_017791777.1	NP_001259168.1
OG0001093	XP_017791608.1	NP_610035.4
OG0001094	XP_017788348.1	NP_001259316.1
OG0001095	XP_017788406.1	NP_610729.1, NP_001033818.1
OG0001096	XP_017798306.1	NP_001097086.1
OG0001097	XP_017789927.1	NP_524451.1
OG0001098	XP_017792425.1	NP_573359.1
OG0001099	XP_017788691.1	NP_001137973.1
OG0001100	XP_017796785.1	NP_001285120.1
OG0001101	XP_017793448.1	NP_650449.1
OG0001102	XP_017797114.1, XP_017797120.1, XP_017797128.1	NP_001284995.1, NP_524884.1
OG0001103	XP_017787457.1	NP_001245905.1
OG0001104	XP_017792186.1, XP_017792187.1	NP_610475.1
OG0001105	XP_017796391.1, XP_017788405.1	NP_001285263.1, NP_524696.2, NP_788903.1
OG0001106	XP_017790070.1, XP_017790069.1, XP_017790068.1, XP_017790067.1	NP_001097399.1
OG0001107	XP_017787476.1, XP_017787477.1	NP_477463.1, NP_477418.1
OG0001108	XP_017787438.1	NP_651123.1, NP_651124.1, NP_001262859.1, NP_001262858.1, NP_001287478.1, NP_650004.1
OG0001109	XP_017799546.1	NP_608327.2, NP_001287212.1, NP_001027071.1
OG0001110	XP_017793395.1	NP_001287185.1, NP_001260724.1
OG0001111	XP_017799217.1	NP_001260255.1
OG0001112	XP_017795314.1	NP_001245731.1
OG0001113	XP_017796065.1	NP_649587.1
OG0001114	XP_017793961.1	NP_788382.1
OG0001115	XP_017794095.1	NP_651307.2
OG0001116	XP_017790868.1	NP_001284912.1
OG0001117	XP_017791612.1	NP_647890.2
OG0001118	XP_017792580.1, XP_017792579.1	NP_730935.1
OG0001119	XP_017790278.1	NP_573179.1
OG0001120	XP_017790307.1	NP_001303491.1
OG0001120	XP_017790323.1	NP_001286419.1
OG0001121	XP_017798993.1	NP_523778.2
OG0001124	XP_017795466.1	NP_611463.1
OG0001125	XP_017792006.1	NP_996437.1
OG0001126	XP_017790511.1	NP_001263150.1
OG0001127	XP_017792412.1	NP_001259697.1
OG0001128	XP_017792408.1	NP_649862.1
OG0001129	XP_017793721.1	NP_001260832.1
OG0001130	XP_017788760.1	NP_001285414.1
OG0001131	XP_017794733.1, XP_017794736.1	NP_001262954.1
OG0001132	XP_017798283.1	NP_477136.1
OG0001133	XP_017790379.1	NP_001163633.1, NP_001262655.1
OG0001134	XP_017788785.1, XP_017788783.1	NP_650596.1
OG0001135	XP_017788325.1	NP_001261958.1
OG0001137	XP_017791724.1	NP_001162634.1, NP_569918.1
OG0001138	XP_017792825.1	NP_609847.1
OG0001139	XP_017793562.1, XP_017793521.1	NP_650430.1
OG0001140	XP_017791967.1, XP_017791969.1, XP_017791968.1	NP_610460.1
OG0001141	XP_017792956.1	NP_001261986.1, NP_001303470.1, NP_572194.1
OG0001142	XP_017798441.1	NP_001285029.1
OG0001143	XP_017790008.1	NP_524026.1
OG0001144	XP_017796702.1, XP_017796700.1	NP_649981.1
OG0001145	XP_017794335.1	NP_610183.1
OG0001146	XP_017796071.1, XP_017795555.1	NP_001163124.1
OG0001147	XP_017797841.1	NP_573361.1
OG0001148	XP_017795537.1	NP_651990.1
OG0001149	XP_017793333.1	NP_001246233.1
OG0001150	XP_017796677.1, XP_017796687.1, XP_017796693.1	NP_524167.1
OG0001151	XP_017795565.1	NP_001262934.1
OG0001152	XP_017792000.1	NP_608533.1
OG0001153	XP_017787961.1, XP_017787944.1	NP_609012.2
OG0001154	XP_017795909.1	NP_650326.3
OG0001155	XP_017792586.1, XP_017792588.1	NP_001245723.1
OG0001156	XP_017795451.1, XP_017795453.1, XP_017795452.1	NP_727144.1
OG0001157	XP_017787962.1	NP_524637.2
OG0001158	XP_017794186.1	NP_523922.1
OG0001159	XP_017790862.1	NP_001246974.1, NP_524850.2
OG0001160	XP_017796269.1	NP_001285873.1
OG0001161	XP_017787998.1	NP_477313.1
OG0001162	XP_017796046.1	NP_001246331.1
OG0001165	XP_017789600.1	NP_001247163.1
OG0001166	XP_017790887.1, XP_017790888.1	NP_524216.1, NP_727251.1
OG0001167	XP_017797480.1	NP_476980.1
OG0001168	XP_017796130.1	NP_477466.1
OG0001169	XP_017798652.1	NP_648620.1, NP_523655.1
OG0001170	XP_017795650.1	NP_524664.1
OG0001171	XP_017797867.1, XP_017797866.1	NP_001368984.1
OG0001172	XP_017796079.1, XP_017796077.1, XP_017796001.1	NP_001246928.1
OG0001173	XP_017794551.1	NP_001261097.1
OG0001174	XP_017796522.1, XP_017791429.1	NP_001104426.1
OG0001175	XP_017794203.1	NP_001261470.1
OG0001176	XP_017787744.1	NP_649439.1
OG0001178	XP_017787467.1	NP_477435.1
OG0001179	XP_017795447.1, XP_017795448.1	NP_001284976.1
OG0001180	XP_017795320.1	NP_001259321.1
OG0001181	XP_017793736.1	NP_573161.1
OG0001182	XP_017797539.1	NP_001246890.1
OG0001183	XP_017788177.1	NP_001246707.1
OG0001184	XP_017791578.1	NP_001287560.1
OG0001185	XP_017795033.1	NP_001137887.1
OG0001186	XP_017787503.1	NP_648908.1
OG0001187	XP_017787427.1, XP_017787426.1	NP_001261023.1
OG0001188	XP_017793637.1	NP_001163482.1
OG0001189	XP_017797116.1, XP_017798593.1, XP_017798592.1	NP_001097192.2
OG0001190	XP_017792754.1	NP_001097387.1
OG0001191	XP_017791789.1	NP_996290.1, NP_001262929.1
OG0001193	XP_017798119.1, XP_017798120.1, XP_017798118.1	NP_001163283.1
OG0001195	XP_017793235.1	NP_608725.1
OG0001197	XP_017795368.1, XP_017795364.1	NP_569979.1
OG0001198	XP_017793237.1	NP_476939.1
OG0001199	XP_017794193.1	NP_647878.1
OG0001201	XP_017794988.1	NP_611863.1
OG0001202	XP_017793302.1	NP_731269.2
OG0001203	XP_017793585.1, XP_017798964.1	NP_611025.2, NP_523750.2, NP_611808.2
OG0001204	XP_017790875.1	NP_001163181.1
OG0001205	XP_017791872.1, XP_017791131.1	NP_728441.1, NP_728444.1, NP_728438.2
OG0001206	XP_017791642.1	NP_001245695.1
OG0001207	XP_017791509.1	NP_001262204.1
OG0001208	XP_017790628.1	NP_001262609.1
OG0001211	XP_017787783.1	NP_788360.2, NP_001097455.1, NP_648203.1
OG0001214	XP_017789681.1	NP_572278.1
OG0001215	XP_017798547.1, XP_017798546.1	NP_001260930.1
OG0001216	XP_017794283.1	NP_609382.1
OG0001217	XP_017792789.1, XP_017792788.1	NP_523379.2
OG0001218	XP_017789176.1	NP_001285628.1
OG0001219	XP_017794970.1, XP_017794969.1, XP_017794971.1	NP_477043.1
OG0001220	XP_017794910.1	NP_476594.1
OG0001222	XP_017791866.1	NP_001262515.1
OG0001223	XP_017793281.1, XP_017793280.1, XP_017793279.1	NP_573055.1
OG0001224	XP_017794876.1, XP_017794877.1	NP_650632.1
OG0001225	XP_017791124.1	NP_611211.3, NP_573315.1
OG0001226	XP_017791766.1, XP_017791767.1, XP_017791768.1	NP_001259731.1
OG0001228	XP_017796637.1	NP_001260246.1
OG0001229	XP_017797851.1	NP_651876.1
OG0001230	XP_017792169.1	NP_001285360.1, NP_650407.1
OG0001231	XP_017789848.1	NP_001036283.1
OG0001232	XP_017792305.1	NP_001285827.1
OG0001233	XP_017788868.1	NP_001162628.1
OG0001234	XP_017791314.1	NP_001036706.2
OG0001236	XP_017794895.1	NP_001246793.1, NP_001261942.1
OG0001237	XP_017792990.1	NP_001246667.1
OG0001238	XP_017791251.1, XP_017791249.1	NP_001014689.3
OG0001239	XP_017797854.1	NP_001015221.1
OG0001240	XP_017789228.1	NP_001097042.1, NP_649903.1
OG0001241	XP_017790274.1	NP_733336.1
OG0001242	XP_017792291.1, XP_017792290.1	NP_001260760.1, NP_724538.1
OG0001244	XP_017793483.1	NP_001189177.2
OG0001245	XP_017790098.1	NP_001245557.1
OG0001246	XP_017790026.1	NP_476932.1
OG0001247	XP_017791643.1	NP_572740.1
OG0001248	XP_017788567.1	NP_001259908.1
OG0001249	XP_017792076.1	NP_572452.1
OG0001250	XP_017791228.1	NP_001259742.1
OG0001251	XP_017796273.1	NP_572932.2
OG0001255	XP_017795498.1	NP_001261169.1
OG0001256	XP_017789195.1	NP_728275.1
OG0001257	XP_017793031.1	NP_649873.1, NP_001287313.1, NP_732513.1
OG0001259	XP_017797413.1	NP_724582.1
OG0001260	XP_017793568.1, XP_017793567.1, XP_017793569.1	NP_525109.1
OG0001261	XP_017791159.1	NP_001097659.1
OG0001262	XP_017797401.1	NP_001188672.1
OG0001263	XP_017797309.1	NP_523511.2
OG0001264	XP_017795290.1, XP_017795289.1	NP_610425.1
OG0001265	XP_017798006.1	NP_001162912.1
OG0001267	XP_017787420.1	NP_001261146.1
OG0001269	XP_017794314.1	NP_612019.2
OG0001270	XP_017791916.1	NP_730968.1
OG0001271	XP_017787977.1	NP_651398.1
OG0001272	XP_017793344.1	NP_476658.1
OG0001273	XP_017792157.1	NP_611759.1, NP_611762.1, NP_001285109.1
OG0001274	XP_017793673.1	NP_476741.1
OG0001275	XP_017795918.1, XP_017795917.1	NP_001286478.1
OG0001277	XP_017789364.1	NP_611899.1
OG0001278	XP_017799281.1	NP_524327.1
OG0001279	XP_017797185.1	NP_524633.3
OG0001280	XP_017795758.1	NP_001036627.2
OG0001281	XP_017796815.1, XP_017796814.1	NP_001246506.1
OG0001282	XP_017789626.1	NP_649261.1
OG0001283	XP_017787817.1	NP_476902.1
OG0001284	XP_017789264.1	NP_001163032.1
OG0001286	XP_017794682.1	NP_610431.1
OG0001287	XP_017799309.1	NP_732006.2
OG0001288	XP_017794630.1	NP_001285508.1
OG0001289	XP_017790186.1	NP_001261265.1
OG0001290	XP_017799143.1	NP_649797.2, NP_650324.1, NP_651092.1
OG0001291	XP_017787574.1	NP_001163636.1
OG0001292	XP_017794711.1	NP_611945.3
OG0001293	XP_017791613.1, XP_017791614.1	NP_649850.1
OG0001294	XP_017791867.1	NP_611855.1
OG0001295	XP_017795856.1	NP_724562.2
OG0001298	XP_017794351.1	NP_001163084.1
OG0001299	XP_017791479.1	NP_609088.1
OG0001300	XP_017794851.1	NP_001259918.1
OG0001301	XP_017790952.1	NP_001188545.1
OG0001302	XP_017799004.1	NP_001188695.1
OG0001303	XP_017787889.1	NP_001261027.1
OG0001304	XP_017796582.1	NP_001246121.1
OG0001306	XP_017792109.1, XP_017792103.1	NP_001262403.1
OG0001307	XP_017793580.1, XP_017793581.1	NP_001356969.1
OG0001308	XP_017791535.1	NP_001245739.1, NP_727344.1
OG0001310	XP_017795523.1	NP_650685.1
OG0001312	XP_017798013.1, XP_017798014.1	NP_001285588.1
OG0001314	XP_017794954.1	NP_001246531.1
OG0001315	XP_017794688.1	NP_001285099.1, NP_728935.1
OG0001316	XP_017799149.1	NP_001246495.1
OG0001317	XP_017794755.1	NP_647998.2, NP_647996.1
OG0001317	XP_017797048.1	NP_648019.2
OG0001318	XP_017795381.1	NP_001188775.1
OG0001320	XP_017798369.1	NP_651060.1
OG0001322	XP_017796027.1	NP_651570.1
OG0001328	XP_017789480.1	NP_001097695.1
OG0001329	XP_017795671.1	NP_647948.1
OG0001330	XP_017798173.1	NP_001246537.1
OG0001331	XP_017791167.1	NP_001260303.1
OG0001332	XP_017791396.1, XP_017791323.1	NP_650887.1, NP_570011.1
OG0001333	XP_017797324.1	NP_649539.1
OG0001334	XP_017791000.1, XP_017791067.1	NP_001287343.1
OG0001335	XP_017790167.1	NP_609362.1
OG0001336	XP_017792872.1	NP_001162901.1
OG0001337	XP_017790338.1	NP_612097.1
OG0001338	XP_017792954.1	NP_572855.1
OG0001339	XP_017788142.1	NP_001260727.1
OG0001340	XP_017787707.1, XP_017787708.1	NP_001284961.1
OG0001341	XP_017795388.1	NP_001259867.1
OG0001342	XP_017788387.1	NP_001138093.1
OG0001343	XP_017798551.1, XP_017798665.1	NP_477025.1
OG0001344	XP_017791191.1	NP_652315.2
OG0001345	XP_017790730.1	NP_648955.1
OG0001346	XP_017796462.1	NP_001097946.1
OG0001347	XP_017796171.1	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2
OG0001348	XP_017791185.1	NP_608350.2
OG0001349	XP_017795887.1	NP_477480.1
OG0001350	XP_017789757.1	NP_788708.2
OG0001351	XP_017791835.1	NP_001246931.1
OG0001352	XP_017791357.1, XP_017791358.1	NP_731459.2
OG0001353	XP_017791776.1	NP_001261357.1
OG0001354	XP_017792160.1	NP_611792.1
OG0001355	XP_017796204.1	NP_572529.2
OG0001356	XP_017793554.1	NP_001014559.1
OG0001358	XP_017791793.1	NP_001014703.1
OG0001359	XP_017798445.1	NP_001259064.1, NP_651392.2
OG0001361	XP_017794937.1	NP_650778.2
OG0001362	XP_017796002.1	NP_001287357.1
OG0001363	XP_017788057.1, XP_017797183.1	NP_001286088.1, NP_001286786.1
OG0001364	XP_017798053.1	NP_001188754.1
OG0001365	XP_017793507.1	NP_001260427.1
OG0001367	XP_017789592.1	NP_001285525.1, NP_609868.1, NP_609869.1, NP_724098.2, NP_609173.2, NP_001033883.2
OG0001368	XP_017797669.1	NP_651733.1, NP_001287622.1, NP_651871.2
OG0001369	XP_017787776.1	NP_001303363.1
OG0001370	XP_017790328.1	NP_001162973.2
OG0001371	XP_017789071.1	NP_610796.1
OG0001372	XP_017795493.1, XP_017795662.1	NP_610444.2
OG0001373	XP_017797550.1, XP_017797549.1	NP_731872.1
OG0001374	XP_017787974.1	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2
OG0001375	XP_017793823.1	NP_001261379.1
OG0001376	XP_017788540.1	NP_001162697.1
OG0001377	XP_017796218.1, XP_017796217.1	NP_572840.1
OG0001378	XP_017791638.1	NP_572402.1
OG0001379	XP_017795741.1	NP_723501.2
OG0001380	XP_017793818.1	NP_001036421.1
OG0001381	XP_017797160.1	NP_650889.1
OG0001382	XP_017790870.1	NP_001260515.1, NP_001260514.1
OG0001383	XP_017789683.1	NP_001036470.1
OG0001384	XP_017790283.1	NP_001285453.1
OG0001385	XP_017790663.1	NP_001260880.1
OG0001386	XP_017789786.1	NP_001286474.1
OG0001387	XP_017788586.1	NP_609412.1
OG0001388	XP_017793374.1	NP_572320.2, NP_732840.1
OG0001389	XP_017798200.1	NP_788300.3
OG0001390	XP_017788795.1	NP_001286120.1
OG0001391	XP_017793959.1	NP_001163354.1
OG0001392	XP_017794574.1, XP_017794568.1	NP_001246912.1
OG0001393	XP_017787863.1	NP_001285132.1, NP_001188593.1
OG0001394	XP_017798918.1	NP_729025.1
OG0001395	XP_017788748.1	NP_001137624.1
OG0001396	XP_017799054.1	NP_001245761.1, NP_523412.1
OG0001397	XP_017791451.1	NP_649764.1
OG0001398	XP_017789423.1	NP_001246972.1, NP_523949.2
OG0001399	XP_017799057.1, XP_017799056.1	NP_569982.1
OG0001400	XP_017791099.1	NP_724042.1, NP_001188828.1, NP_788071.3
OG0001401	XP_017794782.1	NP_524675.1
OG0001402	XP_017789362.1	NP_612065.1
OG0001403	XP_017795520.1, XP_017795521.1	NP_001259193.1, NP_733426.1
OG0001405	XP_017789740.1	NP_731223.1
OG0001406	XP_017795275.1	NP_001015132.1
OG0001407	XP_017792269.1, XP_017792268.1	NP_001262226.1
OG0001408	XP_017791999.1	NP_001163646.1
OG0001409	XP_017793273.1, XP_017793278.1	NP_001162657.1
OG0001410	XP_017798015.1	NP_523844.2
OG0001412	XP_017796804.1	NP_001036250.1
OG0001412	XP_017796997.1	NP_651941.2
OG0001413	XP_017798877.1	NP_001303415.1
OG0001414	XP_017789735.1	NP_608864.1
OG0001415	XP_017788202.1	NP_996016.2
OG0001416	XP_017797924.1, XP_017796560.1	NP_723870.1
OG0001417	XP_017790300.1	NP_611932.2
OG0001418	XP_017797835.1	NP_001162911.1
OG0001419	XP_017789761.1	NP_001036356.1, NP_001260403.1
OG0001420	XP_017790537.1	NP_650569.1, NP_651139.1
OG0001421	XP_017797627.1	NP_649899.1
OG0001422	XP_017792051.1	NP_001189074.1
OG0001423	XP_017799000.1	NP_729234.2
OG0001424	XP_017797427.1	NP_001262495.1
OG0001425	XP_017799098.1	NP_788574.3
OG0001426	XP_017788995.1	NP_001163056.1
OG0001427	XP_017797929.1	NP_648499.1
OG0001428	XP_017792204.1	NP_608929.1
OG0001429	XP_017797335.1	NP_609625.2, NP_001260439.1, NP_609627.1
OG0001430	XP_017791857.1	NP_001287466.1
OG0001432	XP_017794814.1	NP_001188923.1, NP_611185.3
OG0001434	XP_017795012.1	NP_788618.1, NP_649928.1
OG0001436	XP_017798787.1	NP_650868.1, NP_649289.2
OG0001437	XP_017791426.1	NP_001286742.1
OG0001438	XP_017791377.1	NP_727644.3
OG0001440	XP_017788121.1	NP_611647.1
OG0001441	XP_017794102.1	NP_001027574.2
OG0001442	XP_017789976.1, XP_017792634.1	NP_001287592.1
OG0001443	XP_017796463.1, XP_017788958.1	NP_001096850.2
OG0001444	XP_017793576.1, XP_017792117.1, XP_017788623.1	NP_001034052.2
OG0001445	XP_017796099.1	NP_788715.2, NP_788714.1, NP_651058.1
OG0001446	XP_017789413.1	NP_648358.2
OG0001453	XP_017792327.1	NP_001285826.1
OG0001455	XP_017791217.1	NP_610092.2
OG0001456	XP_017795971.1	NP_001286295.1
OG0001457	XP_017791437.1	NP_001163688.1
OG0001458	XP_017797735.1	NP_476858.1
OG0001459	XP_017794179.1	NP_001097610.1, NP_001263148.1
OG0001460	XP_017787921.1	NP_476848.1
OG0001461	XP_017790724.1	NP_001287491.1, NP_001036749.2, NP_001262890.1
OG0001462	XP_017797572.1	NP_001262421.1
OG0001463	XP_017792066.1	NP_649574.1
OG0001464	XP_017789055.1	NP_651592.2, NP_569871.2, NP_001246485.1
OG0001465	XP_017795974.1	NP_001189124.1
OG0001466	XP_017789105.1, XP_017789014.1	NP_569951.1, NP_611911.1
OG0001467	XP_017795664.1	NP_001260304.1, NP_001260305.1, NP_001260306.1
OG0001468	XP_017790960.1	NP_001260652.1
OG0001469	XP_017792845.1	NP_523568.2
OG0001470	XP_017790397.1	NP_648768.1
OG0001471	XP_017788084.1	NP_648463.2, NP_001285545.1, NP_608514.1
OG0001472	XP_017791731.1	NP_725504.1, NP_001246828.1, NP_001286770.1
OG0001473	XP_017796519.1	NP_001287361.1
OG0001474	XP_017789690.1	NP_609560.2, NP_569850.1
OG0001475	XP_017799291.1	NP_001368987.1
OG0001477	XP_017792429.1	NP_001014453.1
OG0001478	XP_017794297.1	NP_001285042.1
OG0001479	XP_017793032.1	NP_001036624.1
OG0001480	XP_017795270.1	NP_524533.1
OG0001481	XP_017788580.1	NP_001286181.1
OG0001482	XP_017798332.1, XP_017798331.1	NP_651924.2
OG0001483	XP_017796274.1	NP_001262996.1
OG0001484	XP_017797823.1	NP_001188579.1
OG0001485	XP_017791434.1	NP_569913.1
OG0001485	XP_017787532.1	NP_523596.2
OG0001486	XP_017795560.1, XP_017795559.1	NP_476764.1
OG0001487	XP_017792607.1	NP_001188904.1
OG0001488	XP_017789028.1	NP_001189108.1
OG0001489	XP_017796318.1	NP_648555.1
OG0001491	XP_017788008.1	NP_609228.2
OG0001492	XP_017798468.1	NP_001263168.1
OG0001493	XP_017789724.1, XP_017789731.1	NP_001262195.1
OG0001494	XP_017794837.1	NP_001287233.1, NP_731250.1, NP_001262370.1
OG0001495	XP_017796883.1	NP_612063.2
OG0001496	XP_017797902.1	NP_609203.1
OG0001497	XP_017793157.1, XP_017793158.1	NP_001260853.1
OG0001498	XP_017798647.1	NP_729823.2
OG0001499	XP_017791508.1, XP_017795738.1	NP_572167.3
OG0001500	XP_017789214.1	NP_730859.1
OG0001501	XP_017792363.1	NP_001303373.1
OG0001502	XP_017792320.1	NP_001261464.1
OG0001503	XP_017793349.1	NP_665880.2
OG0001504	XP_017788080.1, XP_017788079.1	NP_001261440.1
OG0001505	XP_017792212.1	NP_001097527.1
OG0001507	XP_017796599.1	NP_001287269.1
OG0001508	XP_017796243.1	NP_001138130.2
OG0001509	XP_017797998.1	NP_001261116.1
OG0001510	XP_017793153.1	NP_001284936.1
OG0001511	XP_017792043.1	NP_649151.1
OG0001514	XP_017797872.1	NP_001188550.1
OG0001515	XP_017794281.1	NP_001259809.1
OG0001516	XP_017793269.1	NP_001163857.2, NP_001104417.3
OG0001517	XP_017791518.1	NP_731242.1
OG0001518	XP_017795253.1	NP_001036462.1
OG0001519	XP_017795575.1	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1
OG0001521	XP_017790710.1	NP_523422.4
OG0001522	XP_017789472.1	NP_001096867.3
OG0001524	XP_017791672.1	NP_001261067.1
OG0001525	XP_017793545.1	NP_477026.1
OG0001526	XP_017799536.1	NP_001369078.1
OG0001527	XP_017787359.1	NP_001259089.1
OG0001529	XP_017789359.1	NP_001162930.1
OG0001530	XP_017799092.1	NP_611501.1
OG0001531	XP_017793658.1	NP_651595.1
OG0001532	XP_017790246.1	NP_001162665.1
OG0001533	XP_017788554.1	NP_728534.2
OG0001534	XP_017794833.1	NP_731923.2
OG0001535	XP_017790618.1, XP_017790617.1, XP_017790619.1	NP_001261999.1
OG0001536	XP_017794317.1	NP_648357.1
OG0001537	XP_017792420.1	NP_001245892.1, NP_001260974.1
OG0001538	XP_017789640.1	NP_995639.1
OG0001539	XP_017788772.1	NP_524017.1
OG0001540	XP_017799111.1	NP_610693.1, NP_610694.1
OG0001541	XP_017792313.1	NP_001261940.1
OG0001542	XP_017793747.1	NP_609207.1
OG0001543	XP_017789634.1	NP_650901.2
OG0001545	XP_017788053.1	NP_523451.2
OG0001546	XP_017796054.1	NP_001247104.1
OG0001548	XP_017795300.1	NP_001285388.1
OG0001550	XP_017795035.1	NP_647968.3
OG0001551	XP_017794285.1	NP_001246815.1
OG0001552	XP_017794845.1, XP_017794871.1	NP_477317.1
OG0001553	XP_017794454.1	NP_651623.1
OG0001554	XP_017795000.1	NP_001261344.1
OG0001555	XP_017795046.1	NP_001246451.1
OG0001556	XP_017788978.1	NP_726771.1
OG0001557	XP_017795601.1	NP_001260951.1
OG0001558	XP_017798017.1	NP_001245722.1
OG0001559	XP_017789582.1	NP_650472.2
OG0001560	XP_017794399.1	NP_001246228.1
OG0001561	XP_017791836.1	NP_001260963.1
OG0001562	XP_017791476.1, XP_017791469.1	NP_001137943.2
OG0001563	XP_017794766.1	NP_001246300.1
OG0001564	XP_017791460.1	NP_650698.1
OG0001565	XP_017795471.1	NP_001286976.1
OG0001567	XP_017793208.1	NP_001137746.1
OG0001568	XP_017790732.1	NP_001263152.1
OG0001569	XP_017798527.1	NP_477320.1
OG0001570	XP_017793254.1	NP_648176.1
OG0001571	XP_017795778.1, XP_017795777.1, XP_017795779.1	NP_610075.2
OG0001575	XP_017790893.1	NP_524337.1
OG0001576	XP_017791694.1	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1
OG0001577	XP_017793981.1	NP_001285493.1
OG0001579	XP_017793956.1, XP_017793955.1	NP_001097592.1
OG0001580	XP_017794116.1, XP_017794117.1	NP_001285528.1
OG0001581	XP_017789969.1	NP_608983.2
OG0001582	XP_017788046.1	NP_001287593.1
OG0001583	XP_017794787.1	NP_001189157.1
OG0001584	XP_017799371.1	NP_648993.1
OG0001585	XP_017797653.1, XP_017797570.1	NP_001262143.1
OG0001586	XP_017796492.1	NP_647865.2
OG0001587	XP_017795617.1	NP_648090.1
OG0001588	XP_017795562.1	NP_001188558.1
OG0001589	XP_017790642.1	NP_726318.1
OG0001590	XP_017798313.1	NP_572910.1, NP_001285210.1
OG0001591	XP_017799406.1, XP_017791533.1, XP_017788388.1, XP_017787714.1, XP_017792886.1, XP_017797039.1	NP_001286018.1
OG0001592	XP_017797760.1	NP_647896.1
OG0001593	XP_017796571.1	NP_001287342.1
OG0001594	XP_017789111.1	NP_001259723.1
OG0001595	XP_017791480.1	NP_611252.1
OG0001596	XP_017797071.1	NP_730651.1
OG0001597	XP_017788415.1, XP_017788414.1, XP_017788412.1, XP_017788413.1	NP_572854.1
OG0001600	XP_017795725.1	NP_001286151.1
OG0001601	XP_017799074.1	NP_001097706.1
OG0001602	XP_017788654.1, XP_017788616.1	NP_001033958.1
OG0001603	XP_017794261.1	NP_001027070.1
OG0001604	XP_017796813.1	NP_001163129.1
OG0001606	XP_017798318.1	NP_523902.2
OG0001607	XP_017798285.1	NP_001285753.1
OG0001608	XP_017789234.1	NP_001260655.1
OG0001614	XP_017791121.1	NP_001259303.1, NP_569908.1
OG0001615	XP_017797878.1	NP_523764.1
OG0001616	XP_017789270.1	NP_001259833.1
OG0001617	XP_017787907.1	NP_524011.1
OG0001619	XP_017789723.1	NP_652526.1
OG0001620	XP_017787440.1, XP_017787439.1, XP_017787441.1	NP_609496.1
OG0001621	XP_017788589.1	NP_573362.1, NP_729837.1
OG0001622	XP_017788609.1	NP_572536.1
OG0001623	XP_017795277.1	NP_524400.2
OG0001624	XP_017787637.1	NP_788056.1
OG0001625	XP_017791190.1	NP_001262669.1
OG0001626	XP_017790279.1, XP_017790297.1, XP_017790288.1	NP_001259186.1
OG0001627	XP_017791687.1	NP_001303417.1
OG0001628	XP_017798287.1	NP_651052.1
OG0001629	XP_017795865.1, XP_017797110.1	NP_651782.1
OG0001630	XP_017790864.1	NP_729395.2
OG0001631	XP_017793160.1, XP_017793161.1, XP_017793162.1	NP_001261267.1
OG0001632	XP_017797737.1	NP_001245408.1
OG0001633	XP_017788797.1	NP_001246351.1
OG0001634	XP_017792806.1	NP_651054.1
OG0001635	XP_017792807.1	NP_001303479.1
OG0001636	XP_017788432.1	NP_728142.1
OG0001637	XP_017789823.1	NP_612046.1
OG0001638	XP_017796740.1, XP_017791850.1	NP_648826.2
OG0001639	XP_017798607.1	NP_572360.1
OG0001640	XP_017797617.1	NP_477027.1
OG0001641	XP_017796019.1	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1
OG0001642	XP_017788402.1	NP_725207.1
OG0001644	XP_017799542.1	NP_001262395.1
OG0001645	XP_017794085.1	NP_733058.1
OG0001646	XP_017793743.1, XP_017798088.1	NP_001285211.1
OG0001647	XP_017787994.1	NP_570025.1
OG0001648	XP_017799266.1	NP_001287187.1
OG0001649	XP_017795862.1	NP_609720.1, NP_524152.2
OG0001650	XP_017788577.1	NP_648222.3
OG0001651	XP_017789244.1, XP_017789243.1	NP_001259585.1
OG0001652	XP_017793602.1, XP_017793587.1	NP_788858.1
OG0001653	XP_017790915.1	NP_995788.1
