Orthogroup	Habropoda_laboriosa	Vespa_mandarinia
OG0001265	XP_017798006.1	XP_035743256.1
OG0001267	XP_017787420.1	XP_035718937.1
OG0001268	XP_017794719.1	XP_035725305.1, XP_035725304.1
OG0001269	XP_017794314.1	XP_035730718.1, XP_035730720.1
OG0001270	XP_017791916.1	XP_035732803.1, XP_035732802.1, XP_035732801.1, XP_035732800.1
OG0001271	XP_017787977.1	XP_035732504.1
OG0001272	XP_017793344.1	XP_035724189.1
OG0001273	XP_017792157.1	XP_035719773.1, XP_035719772.1, XP_035719770.1
OG0001274	XP_017793673.1	XP_035720662.1, XP_035720661.1
OG0001275	XP_017795918.1, XP_017795917.1	XP_035735154.1, XP_035735153.1
OG0001277	XP_017789364.1	XP_035739371.1, XP_035739372.1, XP_035739369.1, XP_035739370.1, XP_035739367.1, XP_035739368.1, XP_035739365.1, XP_035739366.1, XP_035739364.1, XP_035739373.1
OG0001278	XP_017799281.1	XP_035718527.1, XP_035718526.1, XP_035718525.1, XP_035718528.1
OG0001280	XP_017795758.1	XP_035744237.1, XP_035744236.1, XP_035744235.1
OG0001281	XP_017796815.1, XP_017796814.1	XP_035737905.1
OG0001282	XP_017789626.1	XP_035720417.1, XP_035720418.1, XP_035720420.1, XP_035720419.1, XP_035720421.1
OG0001283	XP_017787817.1	XP_035739286.1, XP_035739285.1, XP_035739284.1
OG0001284	XP_017789264.1	XP_035734609.1, XP_035734611.1
OG0001286	XP_017794682.1	XP_035743126.1
OG0001287	XP_017799309.1	XP_035729932.1, XP_035729930.1, XP_035729935.1, XP_035729939.1
OG0001288	XP_017794630.1	XP_035744139.1
OG0001289	XP_017790186.1	XP_035718903.1, XP_035718904.1, XP_035718901.1, XP_035718899.1, XP_035718900.1, XP_035718898.1
OG0001290	XP_017799143.1	XP_035732080.1
OG0001291	XP_017787574.1	XP_035739775.1, XP_035739774.1, XP_035739777.1, XP_035739776.1, XP_035739773.1, XP_035739781.1, XP_035739779.1, XP_035739778.1
OG0001292	XP_017794711.1	XP_035740631.1, XP_035740630.1, XP_035740629.1, XP_035740628.1
OG0001293	XP_017791613.1, XP_017791614.1	XP_035719793.1
OG0001294	XP_017791867.1	XP_035736216.1
OG0001295	XP_017795856.1	XP_035732764.1
OG0001298	XP_017794351.1	XP_035732584.1, XP_035732585.1, XP_035732582.1, XP_035732583.1
OG0001299	XP_017791479.1	XP_035727772.1
OG0001300	XP_017794851.1	XP_035719088.1, XP_035719087.1
OG0001301	XP_017790952.1	XP_035721452.1, XP_035721453.1, XP_035721454.1, XP_035721456.1, XP_035721455.1, XP_035721457.1
OG0001302	XP_017799006.1	XP_035717663.1
OG0001303	XP_017787889.1	XP_035737788.1, XP_035737782.1
OG0001304	XP_017796582.1	XP_035731088.1, XP_035731087.1
OG0001306	XP_017792109.1, XP_017792103.1	XP_035725748.1
OG0001307	XP_017793580.1, XP_017793581.1	XP_035739052.1, XP_035739051.1, XP_035739043.1
OG0001308	XP_017791535.1	XP_035719094.1, XP_035719093.1, XP_035719092.1, XP_035719091.1, XP_035719096.1
OG0001310	XP_017795523.1	XP_035743105.1
OG0001312	XP_017798013.1, XP_017798014.1	XP_035725122.1
OG0001313	XP_017798370.1	XP_035742168.1
OG0001314	XP_017794954.1	XP_035725375.1
OG0001315	XP_017794688.1	XP_035728566.1
OG0001316	XP_017799149.1	XP_035743974.1
OG0001317	XP_017797048.1	XP_035735882.1
OG0001318	XP_017795381.1	XP_035742971.1
OG0001319	XP_017796909.1, XP_017796912.1, XP_017796910.1, XP_017796915.1, XP_017796916.1, XP_017796913.1, XP_017796914.1	XP_035723870.1
OG0001320	XP_017798369.1	XP_035726547.1, XP_035726469.1, XP_035726632.1
OG0001321	XP_017794025.1	XP_035722318.1, XP_035722316.1
OG0001322	XP_017796027.1	XP_035724644.1
OG0001323	XP_017793063.1	XP_035742444.1
OG0001324	XP_017793837.1	XP_035742674.1, XP_035736364.1, XP_035736360.1, XP_035739239.1, XP_035738050.1, XP_035723738.1, XP_035742284.1, XP_035742473.1, XP_035742249.1, XP_035725540.1, XP_035742785.1, XP_035731253.1, XP_035737494.1, XP_035742477.1, XP_035740332.1, XP_035742646.1, XP_035739237.1, XP_035742248.1, XP_035739227.1, XP_035724081.1, XP_035741852.1, XP_035742777.1, XP_035737497.1, XP_035742673.1, XP_035737496.1
OG0001328	XP_017789480.1	XP_035731698.1, XP_035731696.1, XP_035731697.1, XP_035731700.1, XP_035731701.1, XP_035731699.1
OG0001329	XP_017795671.1	XP_035721000.1, XP_035720999.1
OG0001330	XP_017798173.1	XP_035731423.1
OG0001331	XP_017791167.1	XP_035742340.1
OG0001332	XP_017791396.1, XP_017791323.1	XP_035741316.1
OG0001333	XP_017797324.1	XP_035728809.1, XP_035728808.1
OG0001334	XP_017791000.1, XP_017791067.1	XP_035744111.1
OG0001335	XP_017790167.1	XP_035728155.1
OG0001337	XP_017790338.1	XP_035729631.1
OG0001338	XP_017792954.1	XP_035736800.1
OG0001339	XP_017788142.1	XP_035717770.1, XP_035717329.1, XP_035717330.1, XP_035717331.1
OG0001340	XP_017787707.1, XP_017787708.1	XP_035733304.1
OG0001341	XP_017795388.1	XP_035719766.1, XP_035719768.1, XP_035719767.1
OG0001342	XP_017788387.1	XP_035730554.1
OG0001343	XP_017798551.1	XP_035735794.1
OG0001343	XP_017798665.1	XP_035735796.1
OG0001344	XP_017791191.1	XP_035743053.1
OG0001345	XP_017790730.1	XP_035724254.1
OG0001346	XP_017796462.1	XP_035743533.1
OG0001347	XP_017796171.1	XP_035721417.1
OG0001348	XP_017791185.1	XP_035739297.1, XP_035739295.1, XP_035739294.1, XP_035739292.1, XP_035739291.1, XP_035739293.1, XP_035739289.1, XP_035739296.1
OG0001349	XP_017795887.1	XP_035737275.1
OG0001350	XP_017789757.1	XP_035728041.1
OG0001351	XP_017791835.1	XP_035736225.1
OG0001352	XP_017791357.1, XP_017791358.1	XP_035726719.1
OG0001353	XP_017791776.1	XP_035733802.1, XP_035733803.1, XP_035733801.1
OG0001354	XP_017792160.1	XP_035719802.1
OG0001355	XP_017796204.1	XP_035742236.1, XP_035742247.1
OG0001356	XP_017793554.1	XP_035719999.1, XP_035720001.1, XP_035720000.1, XP_035720002.1
OG0001357	XP_017792393.1	XP_035725865.1
OG0001358	XP_017791793.1	XP_035729894.1, XP_035729906.1, XP_035729897.1, XP_035729889.1
OG0001359	XP_017798445.1	XP_035724375.1
OG0001360	XP_017787809.1	XP_035739277.1, XP_035739279.1, XP_035739278.1
OG0001361	XP_017794937.1	XP_035731418.1
OG0001362	XP_017796002.1	XP_035719686.1
OG0001363	XP_017797183.1	XP_035734648.1
OG0001364	XP_017798053.1	XP_035732915.1, XP_035732913.1, XP_035732914.1
OG0001365	XP_017793507.1	XP_035743429.1
OG0001368	XP_017797669.1	XP_035717255.1
OG0001369	XP_017787776.1	XP_035733443.1
OG0001370	XP_017790328.1	XP_035721187.1
OG0001371	XP_017789071.1	XP_035738382.1
OG0001373	XP_017797550.1, XP_017797549.1	XP_035723967.1, XP_035723978.1
OG0001374	XP_017787974.1	XP_035723692.1, XP_035723693.1
OG0001375	XP_017793823.1	XP_035737859.1
OG0001376	XP_017788540.1	XP_035740431.1, XP_035740426.1, XP_035740429.1, XP_035740430.1, XP_035740425.1, XP_035740427.1
OG0001377	XP_017796218.1, XP_017796217.1	XP_035735132.1
OG0001378	XP_017791638.1	XP_035725634.1
OG0001379	XP_017795741.1	XP_035737881.1, XP_035737880.1
OG0001380	XP_017793818.1	XP_035740772.1, XP_035740773.1, XP_035740774.1
OG0001381	XP_017797160.1	XP_035724080.1
OG0001382	XP_017790870.1	XP_035730370.1
OG0001383	XP_017789683.1	XP_035724036.1
OG0001384	XP_017790283.1	XP_035726968.1
OG0001385	XP_017790663.1	XP_035732208.1, XP_035732210.1, XP_035732206.1, XP_035732207.1, XP_035732205.1, XP_035732209.1
OG0001386	XP_017789786.1	XP_035740449.1
OG0001387	XP_017788586.1	XP_035732545.1
OG0001388	XP_017793374.1	XP_035734878.1
OG0001390	XP_017788795.1	XP_035742117.1
OG0001391	XP_017793959.1	XP_035730076.1
OG0001392	XP_017794574.1, XP_017794568.1	XP_035737019.1, XP_035737028.1
OG0001393	XP_017787863.1	XP_035740933.1, XP_035740931.1
OG0001394	XP_017798918.1	XP_035721237.1
OG0001395	XP_017788748.1	XP_035719472.1
OG0001396	XP_017799054.1	XP_035725824.1, XP_035725825.1
OG0001397	XP_017791451.1	XP_035744070.1
OG0001398	XP_017789423.1	XP_035742426.1
OG0001399	XP_017799057.1, XP_017799056.1	XP_035717850.1
OG0001400	XP_017791099.1	XP_035741628.1
OG0001401	XP_017794782.1	XP_035737949.1
OG0001402	XP_017789362.1	XP_035742995.1
OG0001403	XP_017795520.1, XP_017795521.1	XP_035731217.1, XP_035731212.1
OG0001405	XP_017789740.1	XP_035729574.1
OG0001406	XP_017795275.1	XP_035731719.1
OG0001407	XP_017792269.1, XP_017792268.1	XP_035733314.1
OG0001408	XP_017791999.1	XP_035719033.1
OG0001409	XP_017793273.1, XP_017793278.1	XP_035719541.1, XP_035719544.1
OG0001410	XP_017798015.1	XP_035732860.1
OG0001412	XP_017796997.1	XP_035742548.1
OG0001413	XP_017798877.1	XP_035740982.1
OG0001414	XP_017789735.1	XP_035724862.1, XP_035724860.1
OG0001415	XP_017788202.1	XP_035728554.1, XP_035728552.1
OG0001416	XP_017797924.1, XP_017796560.1	XP_035736479.1
OG0001417	XP_017790300.1	XP_035742298.1, XP_035742299.1, XP_035742301.1, XP_035742297.1
OG0001418	XP_017797835.1	XP_035733747.1
OG0001419	XP_017789761.1	XP_035724786.1, XP_035724778.1
OG0001420	XP_017790537.1	XP_035733386.1
OG0001421	XP_017797627.1	XP_035720527.1
OG0001422	XP_017792051.1	XP_035743214.1
OG0001423	XP_017799000.1	XP_035722660.1
OG0001424	XP_017797427.1	XP_035729820.1, XP_035729819.1, XP_035729816.1, XP_035729818.1
OG0001425	XP_017799098.1	XP_035726568.1, XP_035726572.1
OG0001426	XP_017788995.1	XP_035732107.1
OG0001427	XP_017797929.1	XP_035725975.1
OG0001428	XP_017792204.1	XP_035734486.1
OG0001429	XP_017797335.1	XP_035728983.1
OG0001430	XP_017791857.1	XP_035729828.1
OG0001432	XP_017794814.1	XP_035723803.1
OG0001433	XP_017791205.1	XP_035738907.1
OG0001434	XP_017795012.1	XP_035726809.1, XP_035727180.1, XP_035726835.1, XP_035726805.1, XP_035726807.1, XP_035727336.1, XP_035726800.1, XP_035726801.1, XP_035726803.1, XP_035726828.1
OG0001436	XP_017798787.1	XP_035735687.1
OG0001437	XP_017791426.1	XP_035723764.1, XP_035723763.1
OG0001438	XP_017791377.1	XP_035741297.1
OG0001439	XP_017789580.1	XP_035724865.1
OG0001440	XP_017788121.1	XP_035718674.1, XP_035718673.1
OG0001441	XP_017794102.1	XP_035719956.1
OG0001442	XP_017789976.1, XP_017792634.1	XP_035733993.1
OG0001443	XP_017796463.1	XP_035739105.1
OG0001444	XP_017792117.1	XP_035720647.1, XP_035720649.1, XP_035720648.1
OG0001445	XP_017796099.1	XP_035724530.1, XP_035724531.1, XP_035724532.1
OG0001446	XP_017789413.1	XP_035722938.1
OG0001448	XP_017798374.1	XP_035719527.1, XP_035719526.1, XP_035719525.1, XP_035719524.1
OG0001449	XP_017787705.1	XP_035734028.1, XP_035734027.1, XP_035734026.1
OG0001451	XP_017795574.1	XP_035743610.1
OG0001453	XP_017792327.1	XP_035723822.1
OG0001455	XP_017791217.1	XP_035719144.1, XP_035719145.1, XP_035743387.1, XP_035743397.1
OG0001456	XP_017795971.1	XP_035728539.1
OG0001457	XP_017791437.1	XP_035744061.1
OG0001458	XP_017797735.1	XP_035732938.1, XP_035732935.1, XP_035732936.1, XP_035732932.1, XP_035732934.1, XP_035732937.1
OG0001459	XP_017794179.1	XP_035743512.1
OG0001460	XP_017787921.1	XP_035725939.1, XP_035725937.1, XP_035725936.1, XP_035725935.1, XP_035725938.1
OG0001461	XP_017790724.1	XP_035732071.1, XP_035732072.1
OG0001462	XP_017797572.1	XP_035732320.1
OG0001463	XP_017792066.1	XP_035722487.1
OG0001464	XP_017789055.1	XP_035734328.1, XP_035734326.1
OG0001465	XP_017795974.1	XP_035728604.1
OG0001466	XP_017789105.1, XP_017789014.1	XP_035743143.1
OG0001467	XP_017795664.1	XP_035743437.1
OG0001468	XP_017790960.1	XP_035726768.1
OG0001469	XP_017792845.1	XP_035740153.1
OG0001470	XP_017790397.1	XP_035732679.1
OG0001471	XP_017788084.1	XP_035741273.1
OG0001473	XP_017796519.1	XP_035734940.1
OG0001474	XP_017789690.1	XP_035739077.1
OG0001475	XP_017799291.1	XP_035717856.1
OG0001476	XP_017787599.1	XP_035731880.1
OG0001477	XP_017792429.1	XP_035740878.1, XP_035740881.1, XP_035740880.1, XP_035740879.1
OG0001478	XP_017794297.1	XP_035743449.1
OG0001479	XP_017793032.1	XP_035732480.1
OG0001480	XP_017795270.1	XP_035743666.1, XP_035743665.1
OG0001481	XP_017788580.1	XP_035720959.1
OG0001482	XP_017798332.1, XP_017798331.1	XP_035728409.1
OG0001483	XP_017796274.1	XP_035724368.1
OG0001485	XP_017791434.1	XP_035730779.1
OG0001485	XP_017787532.1	XP_035728266.1
OG0001486	XP_017795560.1, XP_017795559.1	XP_035737270.1
OG0001487	XP_017792607.1	XP_035730037.1
OG0001488	XP_017789028.1	XP_035738110.1
OG0001489	XP_017796318.1	XP_035726010.1
OG0001490	XP_017795993.1	XP_035724088.1
OG0001491	XP_017788008.1	XP_035727119.1
OG0001492	XP_017798468.1	XP_035739387.1
OG0001493	XP_017789724.1, XP_017789731.1	XP_035738712.1, XP_035738727.1, XP_035738733.1
OG0001494	XP_017794837.1	XP_035731260.1, XP_035731259.1, XP_035731258.1
OG0001495	XP_017796883.1	XP_035724055.1, XP_035724053.1, XP_035724054.1, XP_035724052.1
OG0001496	XP_017797902.1	XP_035733812.1
OG0001497	XP_017793157.1, XP_017793158.1	XP_035729500.1
OG0001498	XP_017798647.1	XP_035719605.1
OG0001499	XP_017791508.1	XP_035735460.1
OG0001499	XP_017795738.1	XP_035726067.1
OG0001500	XP_017789214.1	XP_035729281.1, XP_035729277.1
OG0001501	XP_017792363.1	XP_035736056.1
OG0001502	XP_017792320.1	XP_035736178.1
OG0001503	XP_017793349.1	XP_035731138.1
OG0001504	XP_017788080.1, XP_017788079.1	XP_035724977.1, XP_035724976.1
OG0001505	XP_017792212.1	XP_035740281.1
OG0001506	XP_017790165.1	XP_035724115.1, XP_035724116.1
OG0001507	XP_017796599.1	XP_035722516.1
OG0001508	XP_017796243.1	XP_035735828.1, XP_035735819.1
OG0001509	XP_017797998.1	XP_035725114.1
OG0001510	XP_017793153.1	XP_035736193.1, XP_035738093.1
OG0001511	XP_017792043.1	XP_035727478.1
OG0001512	XP_017787423.1	XP_035743937.1
OG0001514	XP_017797872.1	XP_035720547.1
OG0001515	XP_017794281.1	XP_035743549.1
OG0001516	XP_017793269.1	XP_035724326.1, XP_035724325.1
OG0001517	XP_017791518.1	XP_035741612.1
OG0001518	XP_017795253.1	XP_035724751.1, XP_035724750.1
OG0001519	XP_017795575.1	XP_035737253.1
OG0001520	XP_017796414.1	XP_035743161.1
OG0001521	XP_017790739.1, XP_017790740.1	XP_035731179.1
OG0001522	XP_017789472.1	XP_035739848.1
OG0001523	XP_017791583.1	XP_035728167.1
OG0001524	XP_017791672.1	XP_035730671.1, XP_035730669.1, XP_035730670.1
OG0001525	XP_017793545.1	XP_035728186.1, XP_035728182.1, XP_035728183.1, XP_035728184.1
OG0001526	XP_017799536.1	XP_035728083.1
OG0001527	XP_017787359.1	XP_035728445.1, XP_035728444.1
OG0001529	XP_017789359.1	XP_035739478.1
OG0001530	XP_017799092.1	XP_035742074.1, XP_035742073.1
OG0001531	XP_017793658.1	XP_035721679.1, XP_035721676.1, XP_035721680.1, XP_035721678.1
OG0001532	XP_017790246.1	XP_035728061.1, XP_035728062.1
OG0001533	XP_017788554.1	XP_035743685.1
OG0001534	XP_017794833.1	XP_035731294.1
OG0001535	XP_017790618.1, XP_017790617.1, XP_017790619.1	XP_035726470.1
OG0001536	XP_017794317.1	XP_035730724.1, XP_035730723.1
OG0001537	XP_017792420.1	XP_035717336.1
OG0001539	XP_017788772.1	XP_035736370.1, XP_035736369.1
OG0001540	XP_017799111.1	XP_035742193.1
OG0001541	XP_017792313.1	XP_035740966.1
OG0001542	XP_017793747.1	XP_035725107.1, XP_035725106.1, XP_035725108.1
OG0001543	XP_017789634.1	XP_035734388.1
OG0001545	XP_017788053.1	XP_035743288.1
OG0001546	XP_017796054.1	XP_035724101.1
OG0001547	XP_017792469.1	XP_035738371.1
OG0001548	XP_017795300.1	XP_035733159.1
OG0001549	XP_017792506.1	XP_035732687.1
OG0001550	XP_017795035.1	XP_035735400.1, XP_035735403.1
OG0001552	XP_017794845.1, XP_017794871.1	XP_035720372.1
OG0001553	XP_017794454.1	XP_035720814.1
OG0001554	XP_017795000.1	XP_035721118.1
OG0001555	XP_017795046.1	XP_035719215.1, XP_035719214.1, XP_035719213.1
OG0001556	XP_017788978.1	XP_035730674.1
OG0001557	XP_017795601.1	XP_035737148.1, XP_035737142.1
OG0001558	XP_017798017.1	XP_035742800.1, XP_035742835.1, XP_035742827.1, XP_035742810.1, XP_035742819.1
OG0001559	XP_017789582.1	XP_035735222.1, XP_035735223.1
OG0001560	XP_017794399.1	XP_035733162.1, XP_035733154.1
OG0001561	XP_017791836.1	XP_035729434.1, XP_035729435.1
OG0001562	XP_017791476.1, XP_017791469.1	XP_035727763.1, XP_035727765.1
OG0001565	XP_017795471.1	XP_035740221.1
OG0001567	XP_017793208.1	XP_035733419.1, XP_035733417.1
OG0001568	XP_017790732.1	XP_035719663.1
OG0001569	XP_017798527.1	XP_035735846.1
OG0001570	XP_017793254.1	XP_035736968.1
OG0001571	XP_017795778.1, XP_017795777.1, XP_017795779.1	XP_035720700.1
OG0001572	XP_017789701.1	XP_035727941.1
OG0001573	XP_017799294.1	XP_035744094.1
OG0001574	XP_017788858.1	XP_035734280.1, XP_035734289.1
OG0001575	XP_017790893.1	XP_035740609.1, XP_035740610.1
OG0001576	XP_017791694.1	XP_035718048.1
OG0001577	XP_017793981.1	XP_035719108.1, XP_035719116.1
OG0001578	XP_017798086.1	XP_035725745.1
OG0001579	XP_017793956.1, XP_017793955.1	XP_035729962.1, XP_035729961.1, XP_035729963.1
OG0001581	XP_017789969.1	XP_035727859.1
OG0001582	XP_017788046.1	XP_035735263.1
OG0001583	XP_017794787.1	XP_035736291.1
OG0001584	XP_017799371.1	XP_035739266.1
OG0001585	XP_017797653.1	XP_035732290.1
OG0001585	XP_017797570.1	XP_035732292.1
OG0001586	XP_017796492.1	XP_035741954.1
OG0001587	XP_017795617.1	XP_035741104.1, XP_035741103.1, XP_035741105.1
OG0001588	XP_017795562.1	XP_035732715.1
OG0001589	XP_017790642.1	XP_035742281.1, XP_035742282.1
OG0001590	XP_017798313.1	XP_035742142.1
OG0001591	XP_017799406.1, XP_017791533.1, XP_017788388.1, XP_017787714.1, XP_017792886.1, XP_017797039.1	XP_035733982.1, XP_035733981.1
OG0001592	XP_017797760.1	XP_035726707.1
OG0001593	XP_017796571.1	XP_035740704.1
OG0001594	XP_017789111.1	XP_035724403.1, XP_035724402.1
OG0001595	XP_017791480.1	XP_035727774.1
OG0001596	XP_017797071.1	XP_035733254.1
OG0001597	XP_017788415.1, XP_017788414.1, XP_017788412.1, XP_017788413.1	XP_035733267.1
OG0001597	XP_017788382.1	XP_035733002.1
OG0001598	XP_017797232.1	XP_035723486.1
OG0001600	XP_017795725.1	XP_035734659.1, XP_035734656.1, XP_035734657.1
OG0001601	XP_017799074.1	XP_035741630.1
OG0001602	XP_017788654.1	XP_035737823.1
OG0001602	XP_017788616.1	XP_035737830.1
OG0001603	XP_017794261.1	XP_035739186.1, XP_035739187.1
OG0001604	XP_017796813.1	XP_035737909.1, XP_035737914.1
OG0001605	XP_017796235.1	XP_035743515.1
OG0001605	XP_017796242.1	XP_035743631.1
OG0001606	XP_017798318.1	XP_035741397.1
OG0001607	XP_017798285.1	XP_035721439.1
OG0001608	XP_017789234.1	XP_035735061.1, XP_035735060.1
OG0001612	XP_017799366.1, XP_017799365.1, XP_017799364.1	XP_035725764.1
OG0001614	XP_017791121.1	XP_035729693.1, XP_035729699.1
OG0001615	XP_017797878.1	XP_035724682.1
OG0001616	XP_017789270.1	XP_035725033.1, XP_035725034.1
OG0001617	XP_017787907.1	XP_035742339.1
OG0001619	XP_017789723.1	XP_035723068.1, XP_035723071.1
OG0001620	XP_017787440.1, XP_017787439.1, XP_017787441.1	XP_035723185.1
OG0001621	XP_017788589.1	XP_035733218.1, XP_035733219.1
OG0001622	XP_017788609.1	XP_035740437.1
OG0001623	XP_017795277.1	XP_035723670.1
OG0001624	XP_017787637.1	XP_035742940.1
OG0001625	XP_017791190.1	XP_035727825.1
OG0001626	XP_017790279.1, XP_017790297.1, XP_017790288.1	XP_035731937.1, XP_035731939.1, XP_035731941.1, XP_035731938.1, XP_035731940.1
OG0001627	XP_017791687.1	XP_035725155.1, XP_035725156.1, XP_035725157.1, XP_035725158.1
OG0001628	XP_017798287.1	XP_035734380.1
OG0001629	XP_017795865.1, XP_017797110.1	XP_035732347.1
OG0001630	XP_017790864.1	XP_035736770.1, XP_035736774.1
OG0001631	XP_017793160.1, XP_017793161.1, XP_017793162.1	XP_035722044.1
OG0001632	XP_017797737.1	XP_035740780.1
OG0001633	XP_017788797.1	XP_035734051.1
OG0001634	XP_017792806.1	XP_035731640.1
OG0001635	XP_017792807.1	XP_035731776.1
OG0001636	XP_017788432.1	XP_035733127.1
OG0001637	XP_017789823.1	XP_035719918.1
OG0001638	XP_017796740.1	XP_035731767.1
OG0001639	XP_017798607.1	XP_035721241.1
OG0001640	XP_017797617.1	XP_035718059.1, XP_035721841.1, XP_035721840.1
OG0001641	XP_017796019.1	XP_035719662.1
OG0001642	XP_017788402.1	XP_035733123.1
OG0001643	XP_017797691.1	XP_035720944.1
OG0001645	XP_017794085.1	XP_035717414.1, XP_035717415.1, XP_035717412.1, XP_035717413.1, XP_035717411.1
OG0001646	XP_017798088.1	XP_035725754.1
OG0001647	XP_017787994.1	XP_035727074.1
OG0001648	XP_017799266.1	XP_035726598.1
OG0001649	XP_017795862.1	XP_035718504.1
OG0001650	XP_017788577.1	XP_035741136.1
OG0001651	XP_017789244.1, XP_017789243.1	XP_035724993.1
OG0001652	XP_017793602.1, XP_017793587.1	XP_035734304.1, XP_035734303.1
OG0001653	XP_017790915.1	XP_035724315.1
OG0001654	XP_017791347.1	XP_035725123.1
OG0001655	XP_017794236.1	XP_035734720.1
OG0001656	XP_017790946.1	XP_035726949.1, XP_035726948.1, XP_035726947.1
OG0001657	XP_017792392.1	XP_035725974.1
OG0001658	XP_017796992.1	XP_035731335.1, XP_035731338.1, XP_035731334.1, XP_035731337.1, XP_035731333.1
OG0001659	XP_017796597.1	XP_035724064.1
OG0001661	XP_017793892.1, XP_017793891.1	XP_035738618.1
OG0001662	XP_017796675.1	XP_035734917.1, XP_035734912.1
OG0001663	XP_017791598.1	XP_035719506.1
OG0001664	XP_017788645.1, XP_017788639.1	XP_035720672.1, XP_035720670.1
OG0001665	XP_017789292.1	XP_035740169.1
OG0001666	XP_017794583.1, XP_017794586.1, XP_017794584.1, XP_017794585.1	XP_035728853.1
OG0001667	XP_017792197.1	XP_035717186.1
OG0001668	XP_017793262.1	XP_035733407.1, XP_035733405.1, XP_035733406.1, XP_035733404.1, XP_035733403.1, XP_035733402.1
OG0001669	XP_017792688.1	XP_035743908.1
OG0001670	XP_017797873.1	XP_035720954.1, XP_035720953.1
OG0001671	XP_017793876.1	XP_035729073.1, XP_035729072.1
OG0001672	XP_017791223.1	XP_035732415.1, XP_035732416.1, XP_035732414.1
OG0001673	XP_017799244.1	XP_035738967.1
OG0001674	XP_017799245.1	XP_035721929.1
OG0001675	XP_017798751.1	XP_035723042.1
OG0001676	XP_017794152.1	XP_035720013.1, XP_035720011.1, XP_035720012.1, XP_035720009.1, XP_035720010.1, XP_035720016.1, XP_035720017.1
OG0001677	XP_017795798.1, XP_017795797.1	XP_035728893.1
OG0001678	XP_017794254.1	XP_035739191.1
OG0001679	XP_017789223.1	XP_035739958.1
OG0001680	XP_017787548.1, XP_017787547.1	XP_035731563.1, XP_035731564.1
OG0001681	XP_017788788.1	XP_035718864.1, XP_035718865.1
OG0001682	XP_017789514.1	XP_035722878.1, XP_035722875.1
OG0001683	XP_017794882.1	XP_035737098.1
OG0001684	XP_017799022.1, XP_017799034.1	XP_035723459.1
OG0001685	XP_017788060.1	XP_035731566.1
OG0001686	XP_017793018.1	XP_035736720.1
OG0001687	XP_017788725.1	XP_035732075.1
OG0001688	XP_017798487.1	XP_035735704.1, XP_035735701.1, XP_035735700.1, XP_035735699.1, XP_035735703.1, XP_035735702.1
OG0001689	XP_017789853.1	XP_035727653.1
OG0001690	XP_017797806.1	XP_035741845.1
OG0001691	XP_017789991.1, XP_017789992.1	XP_035734626.1
OG0001693	XP_017790115.1	XP_035723232.1
OG0001694	XP_017789348.1	XP_035736590.1
OG0001695	XP_017796714.1, XP_017796715.1, XP_017796713.1	XP_035724037.1
OG0001696	XP_017794582.1, XP_017794581.1	XP_035737044.1, XP_035737037.1
OG0001697	XP_017793560.1	XP_035728174.1
OG0001699	XP_017794255.1	XP_035743135.1
OG0001700	XP_017789552.1	XP_035727996.1
OG0001701	XP_017793264.1	XP_035733887.1
OG0001702	XP_017790324.1	XP_035735037.1, XP_035735039.1, XP_035735038.1
OG0001703	XP_017793259.1	XP_035719566.1
OG0001704	XP_017791498.1	XP_035725085.1
OG0001706	XP_017791445.1	XP_035730623.1
OG0001707	XP_017797534.1	XP_035732573.1, XP_035732574.1, XP_035732575.1, XP_035732572.1
OG0001709	XP_017789504.1	XP_035727211.1
OG0001711	XP_017798206.1	XP_035735878.1, XP_035735875.1, XP_035735876.1, XP_035735879.1, XP_035735874.1, XP_035735877.1
OG0001712	XP_017789844.1	XP_035717949.1, XP_035717946.1
OG0001713	XP_017789213.1	XP_035727580.1
OG0001714	XP_017792904.1	XP_035733669.1
OG0001715	XP_017795242.1	XP_035730023.1
OG0001716	XP_017797518.1	XP_035739670.1, XP_035739663.1
OG0001717	XP_017798111.1	XP_035725525.1
OG0001718	XP_017788200.1	XP_035740550.1
OG0001719	XP_017799086.1, XP_017799085.1, XP_017799084.1	XP_035729786.1
OG0001720	XP_017790527.1	XP_035730232.1, XP_035730231.1
OG0001721	XP_017797403.1	XP_035722174.1
OG0001722	XP_017792195.1	XP_035717959.1
OG0001723	XP_017791814.1	XP_035739522.1
OG0001724	XP_017790653.1	XP_035724251.1
OG0001725	XP_017792815.1	XP_035727405.1, XP_035727406.1, XP_035727407.1
OG0001726	XP_017792590.1	XP_035725641.1
OG0001727	XP_017793946.1	XP_035738581.1
OG0001728	XP_017795059.1	XP_035723533.1, XP_035723531.1
OG0001729	XP_017789767.1	XP_035720408.1
OG0001730	XP_017797255.1	XP_035718931.1, XP_035718936.1, XP_035718938.1
OG0001731	XP_017789010.1	XP_035730629.1, XP_035730630.1
OG0001732	XP_017796000.1	XP_035736651.1, XP_035736652.1, XP_035736653.1, XP_035736650.1, XP_035736649.1
OG0001733	XP_017789924.1	XP_035739692.1
OG0001734	XP_017797171.1	XP_035724184.1, XP_035724191.1
OG0001735	XP_017796517.1	XP_035740869.1
OG0001736	XP_017788466.1	XP_035736510.1
OG0001737	XP_017794221.1	XP_035723339.1, XP_035723341.1, XP_035723340.1
OG0001738	XP_017795108.1	XP_035728779.1
