Orthogroup	Habropoda_laboriosa	Nomia_melanderi
OG0001407	XP_017792269.1, XP_017792268.1	XP_031840571.1
OG0001408	XP_017791999.1	XP_031845838.1
OG0001409	XP_017793273.1, XP_017793278.1	XP_031838861.1
OG0001410	XP_017798015.1	XP_031842215.1
OG0001412	XP_017796804.1	XP_031842256.1
OG0001412	XP_017796997.1	XP_031842465.1
OG0001413	XP_017798877.1	XP_031832076.1, XP_031832078.1, XP_031832079.1, XP_031832075.1, XP_031832074.1, XP_031832073.1, XP_031832072.1, XP_031832077.1
OG0001414	XP_017789735.1	XP_031828996.1
OG0001415	XP_017788202.1	XP_031828398.1
OG0001416	XP_017797924.1	XP_031844043.1
OG0001416	XP_017796560.1	XP_031843941.1
OG0001417	XP_017790300.1	XP_031828788.1
OG0001418	XP_017797835.1	XP_031828555.1
OG0001419	XP_017789761.1	XP_031829129.1
OG0001420	XP_017790537.1	XP_031834856.1
OG0001421	XP_017797627.1	XP_031836420.1
OG0001422	XP_017792051.1	XP_031827885.1
OG0001423	XP_017799000.1	XP_031839233.1
OG0001424	XP_017797427.1	XP_031838252.1
OG0001425	XP_017799098.1	XP_031839299.1
OG0001426	XP_017788995.1	XP_031840044.1
OG0001427	XP_017797929.1	XP_031841959.1
OG0001428	XP_017792204.1	XP_031846609.1, XP_031846610.1
OG0001429	XP_017797335.1	XP_031840628.1
OG0001430	XP_017791857.1	XP_031843265.1
OG0001433	XP_017791205.1	XP_031830089.1
OG0001434	XP_017795012.1	XP_031847271.1, XP_031847269.1
OG0001436	XP_017798787.1	XP_031832816.1
OG0001437	XP_017791426.1	XP_031827516.1, XP_031827515.1, XP_031827514.1
OG0001438	XP_017791377.1	XP_031841452.1, XP_031841449.1
OG0001439	XP_017789580.1	XP_031828842.1
OG0001440	XP_017788121.1	XP_031848343.1
OG0001441	XP_017794102.1	XP_031829922.1
OG0001442	XP_017789976.1, XP_017792634.1	XP_031849773.1, XP_031849772.1, XP_031849770.1
OG0001443	XP_017796463.1	XP_031839788.1
OG0001443	XP_017788958.1	XP_031825444.1
OG0001444	XP_017793576.1	XP_031831152.1, XP_031831154.1
OG0001444	XP_017792117.1	XP_031846620.1
OG0001445	XP_017796099.1	XP_031833719.1, XP_031833714.1, XP_031833717.1, XP_031833720.1, XP_031833716.1, XP_031833715.1, XP_031833721.1, XP_031833722.1
OG0001446	XP_017789413.1	XP_031835816.1
OG0001448	XP_017798374.1	XP_031827108.1, XP_031827107.1, XP_031827106.1, XP_031827105.1
OG0001449	XP_017787705.1	XP_031828743.1, XP_031828742.1, XP_031828741.1
OG0001451	XP_017795574.1	XP_031838529.1, XP_031838528.1
OG0001453	XP_017792327.1	XP_031826053.1
OG0001455	XP_017791217.1	XP_031846547.1
OG0001456	XP_017795971.1	XP_031835688.1
OG0001457	XP_017791437.1	XP_031837818.1
OG0001458	XP_017797735.1	XP_031837239.1
OG0001459	XP_017794179.1	XP_031840415.1
OG0001460	XP_017787921.1	XP_031836190.1, XP_031836189.1
OG0001461	XP_017790724.1	XP_031833447.1
OG0001462	XP_017797572.1	XP_031836615.1
OG0001463	XP_017792066.1	XP_031828280.1
OG0001464	XP_017789055.1	XP_031848791.1, XP_031848818.1
OG0001465	XP_017795974.1	XP_031835477.1
OG0001466	XP_017789105.1, XP_017789014.1	XP_031840296.1
OG0001467	XP_017795664.1	XP_031826432.1
OG0001468	XP_017790960.1	XP_031835032.1
OG0001469	XP_017792845.1	XP_031838554.1
OG0001470	XP_017790397.1	XP_031828482.1
OG0001471	XP_017788084.1	XP_031844584.1, XP_031844591.1
OG0001472	XP_017791731.1	XP_031840708.1
OG0001473	XP_017796519.1	XP_031839580.1
OG0001474	XP_017789690.1	XP_031843810.1, XP_031843806.1, XP_031843807.1, XP_031843811.1, XP_031843805.1, XP_031843808.1
OG0001475	XP_017799291.1	XP_031839222.1
OG0001476	XP_017787599.1	XP_031841493.1
OG0001477	XP_017792429.1	XP_031843862.1
OG0001478	XP_017794297.1	XP_031828088.1
OG0001479	XP_017793032.1	XP_031835419.1, XP_031835424.1, XP_031835420.1, XP_031835421.1, XP_031835418.1, XP_031835425.1, XP_031835422.1, XP_031835423.1, XP_031835427.1, XP_031835426.1
OG0001480	XP_017795270.1	XP_031846063.1, XP_031846064.1, XP_031846065.1
OG0001481	XP_017788580.1	XP_031834003.1, XP_031834002.1, XP_031834005.1
OG0001482	XP_017798332.1, XP_017798331.1	XP_031827181.1, XP_031827183.1
OG0001483	XP_017796274.1	XP_031848611.1
OG0001484	XP_017797823.1	XP_031848946.1
OG0001485	XP_017791434.1	XP_031829186.1
OG0001485	XP_017787532.1	XP_031850040.1
OG0001486	XP_017795560.1, XP_017795559.1	XP_031829031.1
OG0001487	XP_017792607.1	XP_031843821.1
OG0001488	XP_017789028.1	XP_031838742.1
OG0001489	XP_017796318.1	XP_031829423.1
OG0001490	XP_017795993.1	XP_031833723.1
OG0001491	XP_017788008.1	XP_031845887.1
OG0001492	XP_017798468.1	XP_031827035.1, XP_031827036.1
OG0001493	XP_017789724.1, XP_017789731.1	XP_031845501.1
OG0001494	XP_017794837.1	XP_031827290.1
OG0001495	XP_017796883.1	XP_031833273.1
OG0001496	XP_017797902.1	XP_031837039.1, XP_031837027.1
OG0001497	XP_017793157.1, XP_017793158.1	XP_031850166.1, XP_031850167.1
OG0001498	XP_017798647.1	XP_031835154.1, XP_031835155.1
OG0001499	XP_017795738.1	XP_031841392.1
OG0001500	XP_017789214.1	XP_031837942.1
OG0001501	XP_017792363.1	XP_031826102.1, XP_031826101.1
OG0001502	XP_017792320.1	XP_031826090.1
OG0001504	XP_017788080.1, XP_017788079.1	XP_031844294.1
OG0001505	XP_017792212.1	XP_031825302.1
OG0001506	XP_017790165.1	XP_031827621.1
OG0001507	XP_017796599.1	XP_031847411.1
OG0001508	XP_017796243.1	XP_031833325.1
OG0001509	XP_017797998.1	XP_031829828.1, XP_031829826.1
OG0001510	XP_017793153.1	XP_031835725.1
OG0001511	XP_017792043.1	XP_031840627.1
OG0001512	XP_017787423.1	XP_031829643.1
OG0001514	XP_017797872.1	XP_031832788.1, XP_031832777.1
OG0001515	XP_017794281.1	XP_031828025.1, XP_031828026.1
OG0001516	XP_017793269.1	XP_031843657.1, XP_031843656.1, XP_031843658.1, XP_031843655.1
OG0001517	XP_017791518.1	XP_031846961.1
OG0001518	XP_017795253.1	XP_031834301.1
OG0001519	XP_017795575.1	XP_031829022.1
OG0001520	XP_017796414.1	XP_031839816.1
OG0001521	XP_017790739.1, XP_017790740.1	XP_031831321.1
OG0001522	XP_017789472.1	XP_031849471.1
OG0001523	XP_017791583.1	XP_031829443.1
OG0001524	XP_017791672.1	XP_031836831.1, XP_031836830.1, XP_031836829.1, XP_031836828.1
OG0001525	XP_017793545.1	XP_031842872.1
OG0001526	XP_017799536.1	XP_031840071.1, XP_031840070.1
OG0001527	XP_017787359.1	XP_031843505.1
OG0001529	XP_017789359.1	XP_031849561.1
OG0001530	XP_017799092.1	XP_031847195.1, XP_031847196.1
OG0001531	XP_017793658.1	XP_031831278.1
OG0001532	XP_017790246.1	XP_031831912.1
OG0001533	XP_017788554.1	XP_031837631.1
OG0001534	XP_017794833.1	XP_031841566.1, XP_031841565.1
OG0001535	XP_017790618.1, XP_017790617.1, XP_017790619.1	XP_031846345.1
OG0001536	XP_017794317.1	XP_031828294.1
OG0001537	XP_017792420.1	XP_031827557.1
OG0001538	XP_017789640.1	XP_031828630.1
OG0001539	XP_017788772.1	XP_031847605.1
OG0001540	XP_017799111.1	XP_031847112.1
OG0001541	XP_017792313.1	XP_031825960.1
OG0001542	XP_017793747.1	XP_031842282.1, XP_031842281.1
OG0001543	XP_017789634.1	XP_031846982.1, XP_031846983.1, XP_031846984.1, XP_031846981.1
OG0001545	XP_017788053.1	XP_031836862.1
OG0001546	XP_017796054.1	XP_031833599.1, XP_031833598.1, XP_031833597.1, XP_031833596.1, XP_031833595.1
OG0001547	XP_017792469.1	XP_031827553.1
OG0001548	XP_017795300.1	XP_031836897.1
OG0001549	XP_017792506.1	XP_031828566.1
OG0001550	XP_017795035.1	XP_031841469.1
OG0001551	XP_017794285.1	XP_031828278.1, XP_031828279.1
OG0001552	XP_017794845.1, XP_017794871.1	XP_031847706.1, XP_031847704.1
OG0001553	XP_017794454.1	XP_031834372.1, XP_031834382.1, XP_031834391.1, XP_031834409.1, XP_031834416.1, XP_031834400.1
OG0001554	XP_017795000.1	XP_031848676.1, XP_031841360.1
OG0001555	XP_017795046.1	XP_031831728.1
OG0001556	XP_017788978.1	XP_031844436.1, XP_031844428.1, XP_031844434.1, XP_031844435.1, XP_031844432.1, XP_031844433.1, XP_031844430.1, XP_031844431.1, XP_031844429.1, XP_031844437.1
OG0001557	XP_017795601.1	XP_031829095.1, XP_031829123.1
OG0001558	XP_017798017.1	XP_031846366.1, XP_031846367.1, XP_031846365.1
OG0001559	XP_017789582.1	XP_031846388.1
OG0001560	XP_017794399.1	XP_031838087.1
OG0001561	XP_017791836.1	XP_031842899.1
OG0001562	XP_017791469.1	XP_031827967.1
OG0001565	XP_017795471.1	XP_031830523.1
OG0001567	XP_017793208.1	XP_031846190.1
OG0001568	XP_017790732.1	XP_031833732.1, XP_031833729.1, XP_031833730.1, XP_031833733.1
OG0001569	XP_017798527.1	XP_031832840.1
OG0001570	XP_017793254.1	XP_031847232.1
OG0001571	XP_017795778.1, XP_017795777.1, XP_017795779.1	XP_031836088.1
OG0001572	XP_017789701.1	XP_031838225.1
OG0001573	XP_017799294.1	XP_031839197.1
OG0001574	XP_017788858.1	XP_031832399.1
OG0001575	XP_017790893.1	XP_031845824.1
OG0001576	XP_017791694.1	XP_031850534.1
OG0001577	XP_017793981.1	XP_031838344.1, XP_031838343.1
OG0001578	XP_017798086.1	XP_031842276.1
OG0001579	XP_017793956.1, XP_017793955.1	XP_031843797.1, XP_031843800.1
OG0001580	XP_017794116.1, XP_017794117.1	XP_031830012.1, XP_031830010.1, XP_031830004.1
OG0001581	XP_017789969.1	XP_031831029.1
OG0001582	XP_017788046.1	XP_031844673.1, XP_031844674.1
OG0001583	XP_017794787.1	XP_031842700.1, XP_031842704.1, XP_031842703.1, XP_031842701.1
OG0001584	XP_017799371.1	XP_031847584.1, XP_031847583.1
OG0001585	XP_017797653.1	XP_031839011.1
OG0001585	XP_017797570.1	XP_031839014.1
OG0001586	XP_017796492.1	XP_031839575.1, XP_031839576.1, XP_031839577.1, XP_031839574.1
OG0001587	XP_017795617.1	XP_031826521.1
OG0001588	XP_017795562.1	XP_031829015.1, XP_031829012.1, XP_031829014.1
OG0001589	XP_017790642.1	XP_031833628.1
OG0001590	XP_017798313.1	XP_031848865.1
OG0001591	XP_017799406.1, XP_017791533.1, XP_017788388.1, XP_017787714.1, XP_017792886.1, XP_017797039.1	XP_031850159.1
OG0001592	XP_017797760.1	XP_031842084.1
OG0001593	XP_017796571.1	XP_031842739.1, XP_031842737.1, XP_031842736.1
OG0001594	XP_017789111.1	XP_031848405.1, XP_031848413.1
OG0001595	XP_017791480.1	XP_031828163.1, XP_031828162.1, XP_031828161.1, XP_031828164.1
OG0001596	XP_017797071.1	XP_031843681.1, XP_031843682.1
OG0001597	XP_017788415.1, XP_017788414.1, XP_017788412.1, XP_017788413.1	XP_031834741.1
OG0001597	XP_017788382.1	XP_031834903.1
OG0001598	XP_017797232.1	XP_031845188.1
OG0001599	XP_017796498.1, XP_017796497.1	XP_031839950.1, XP_031839949.1, XP_031839952.1, XP_031839951.1, XP_031839954.1, XP_031839948.1, XP_031839953.1
OG0001600	XP_017795725.1	XP_031841942.1
OG0001601	XP_017799074.1	XP_031839452.1
OG0001602	XP_017788654.1	XP_031833421.1
OG0001602	XP_017788616.1	XP_031833423.1
OG0001603	XP_017794261.1	XP_031840356.1, XP_031840357.1
OG0001604	XP_017796813.1	XP_031841293.1
OG0001605	XP_017796235.1	XP_031834517.1
OG0001605	XP_017796242.1	XP_031834422.1
OG0001606	XP_017798318.1	XP_031827256.1
OG0001607	XP_017798285.1	XP_031848500.1, XP_031829359.1, XP_031829361.1, XP_031829364.1, XP_031829358.1, XP_031829362.1, XP_031829363.1
OG0001608	XP_017789234.1	XP_031849876.1, XP_031849877.1
OG0001609	XP_017787968.1	XP_031837457.1, XP_031837454.1, XP_031837456.1, XP_031837455.1, XP_031837458.1
OG0001610	XP_017792604.1	XP_031841683.1
OG0001611	XP_017791376.1, XP_017791452.1	XP_031838012.1, XP_031838015.1, XP_031838016.1, XP_031838013.1
OG0001612	XP_017799366.1, XP_017799365.1, XP_017799364.1	XP_031839394.1, XP_031839392.1
OG0001614	XP_017791121.1	XP_031828648.1
OG0001615	XP_017797878.1	XP_031834291.1
OG0001616	XP_017789270.1	XP_031835330.1
OG0001617	XP_017787907.1	XP_031836379.1
OG0001619	XP_017789723.1	XP_031844979.1
OG0001620	XP_017787440.1, XP_017787439.1, XP_017787441.1	XP_031830106.1
OG0001621	XP_017788589.1	XP_031834010.1
OG0001622	XP_017788609.1	XP_031837740.1, XP_031837744.1, XP_031837746.1, XP_031837745.1, XP_031837748.1, XP_031837747.1, XP_031837750.1, XP_031837749.1, XP_031837751.1, XP_031837742.1, XP_031837741.1
OG0001623	XP_017795277.1	XP_031834432.1, XP_031834433.1
OG0001624	XP_017787637.1	XP_031826338.1
OG0001625	XP_017791190.1	XP_031830045.1, XP_031830043.1
OG0001626	XP_017790279.1, XP_017790297.1, XP_017790288.1	XP_031843775.1
OG0001627	XP_017791687.1	XP_031841048.1, XP_031841046.1, XP_031841049.1
OG0001628	XP_017798287.1	XP_031845338.1
OG0001629	XP_017795865.1, XP_017797110.1	XP_031842132.1
OG0001630	XP_017790864.1	XP_031841245.1
OG0001631	XP_017793160.1, XP_017793161.1, XP_017793162.1	XP_031835641.1
OG0001632	XP_017797737.1	XP_031832990.1
OG0001633	XP_017788797.1	XP_031832359.1
OG0001634	XP_017792806.1	XP_031826904.1, XP_031826905.1, XP_031826906.1, XP_031826907.1, XP_031826908.1
OG0001635	XP_017792807.1	XP_031826900.1, XP_031826903.1, XP_031826901.1
OG0001636	XP_017788432.1	XP_031834825.1
OG0001637	XP_017789823.1	XP_031830621.1
OG0001638	XP_017796740.1	XP_031839939.1
OG0001638	XP_017791850.1	XP_031846856.1, XP_031846946.1
OG0001639	XP_017798607.1	XP_031845921.1
OG0001640	XP_017797617.1	XP_031838771.1
OG0001641	XP_017796019.1	XP_031825601.1
OG0001642	XP_017788402.1	XP_031834583.1, XP_031834581.1, XP_031834580.1, XP_031834582.1
OG0001643	XP_017797691.1	XP_031836700.1, XP_031836708.1, XP_031836736.1, XP_031836717.1, XP_031836726.1
OG0001644	XP_017799542.1	XP_031829905.1
OG0001645	XP_017794085.1	XP_031830812.1
OG0001646	XP_017793743.1, XP_017798088.1	XP_031842370.1, XP_031842369.1, XP_031842371.1, XP_031842372.1, XP_031842373.1
OG0001647	XP_017787994.1	XP_031833002.1, XP_031833003.1
OG0001648	XP_017799266.1	XP_031839384.1
OG0001649	XP_017795862.1	XP_031838162.1
OG0001650	XP_017788577.1	XP_031838027.1, XP_031838028.1, XP_031838026.1
OG0001651	XP_017789244.1, XP_017789243.1	XP_031835645.1
OG0001652	XP_017793587.1	XP_031845776.1
OG0001653	XP_017790915.1	XP_031835011.1
OG0001654	XP_017791347.1	XP_031841346.1, XP_031841345.1, XP_031841347.1
OG0001655	XP_017794236.1	XP_031840400.1, XP_031840403.1, XP_031840402.1, XP_031840399.1, XP_031840395.1, XP_031840401.1, XP_031840397.1, XP_031840396.1, XP_031840398.1
OG0001656	XP_017790946.1	XP_031843460.1, XP_031843461.1
OG0001657	XP_017792392.1	XP_031828070.1
OG0001658	XP_017796992.1	XP_031845086.1
OG0001659	XP_017796597.1	XP_031842781.1
OG0001660	XP_017789070.1	XP_031838745.1
OG0001661	XP_017793892.1, XP_017793891.1	XP_031830722.1
OG0001662	XP_017796675.1	XP_031842975.1, XP_031842972.1
OG0001663	XP_017791598.1	XP_031830949.1
OG0001664	XP_017788639.1	XP_031846630.1, XP_031846633.1
OG0001665	XP_017789292.1	XP_031835404.1
OG0001666	XP_017794583.1, XP_017794586.1, XP_017794584.1, XP_017794585.1	XP_031827309.1, XP_031827310.1
OG0001667	XP_017792197.1	XP_031825276.1, XP_031825275.1, XP_031825278.1, XP_031825277.1
OG0001668	XP_017793262.1	XP_031838281.1
OG0001669	XP_017792688.1	XP_031846532.1
OG0001670	XP_017797873.1	XP_031839004.1
OG0001671	XP_017793876.1	XP_031825890.1
OG0001672	XP_017791223.1	XP_031842152.1
OG0001673	XP_017799244.1	XP_031839115.1
OG0001674	XP_017799245.1	XP_031839364.1
OG0001675	XP_017798751.1	XP_031829591.1
OG0001676	XP_017794152.1	XP_031840461.1
OG0001677	XP_017795798.1, XP_017795797.1	XP_031840261.1
OG0001678	XP_017794254.1	XP_031840452.1
OG0001679	XP_017789223.1	XP_031849451.1
OG0001680	XP_017787548.1, XP_017787547.1	XP_031841525.1
OG0001681	XP_017788788.1	XP_031827727.1
OG0001682	XP_017789514.1	XP_031849461.1, XP_031849467.1
OG0001683	XP_017794882.1	XP_031832193.1, XP_031832196.1, XP_031832195.1, XP_031832194.1
OG0001684	XP_017799022.1	XP_031847317.1
OG0001685	XP_017788060.1	XP_031848351.1, XP_031848353.1, XP_031848349.1, XP_031848350.1, XP_031848352.1
OG0001686	XP_017793018.1	XP_031842039.1
OG0001687	XP_017788725.1	XP_031840036.1
OG0001688	XP_017798487.1	XP_031832826.1
OG0001689	XP_017789853.1	XP_031827835.1
OG0001690	XP_017797806.1	XP_031845963.1, XP_031845962.1
OG0001691	XP_017789991.1, XP_017789992.1	XP_031849612.1, XP_031849631.1, XP_031849602.1, XP_031849622.1
OG0001693	XP_017790115.1	XP_031832264.1
OG0001694	XP_017789348.1	XP_031840957.1, XP_031840960.1, XP_031840959.1
OG0001695	XP_017796714.1, XP_017796715.1, XP_017796713.1	XP_031842741.1
OG0001696	XP_017794582.1, XP_017794581.1	XP_031837569.1, XP_031837580.1
OG0001697	XP_017793560.1	XP_031842789.1, XP_031842788.1, XP_031842790.1
OG0001699	XP_017794255.1	XP_031832070.1, XP_031832069.1
OG0001700	XP_017789552.1	XP_031829500.1
OG0001701	XP_017793264.1	XP_031843576.1
OG0001702	XP_017790324.1	XP_031831737.1
OG0001703	XP_017793259.1	XP_031838862.1
OG0001704	XP_017791498.1	XP_031841304.1
OG0001706	XP_017791445.1	XP_031829174.1
OG0001707	XP_017797534.1	XP_031844027.1, XP_031844028.1, XP_031844029.1, XP_031844030.1
OG0001708	XP_017793934.1	XP_031832209.1
OG0001709	XP_017789504.1	XP_031844192.1, XP_031844195.1
OG0001711	XP_017798206.1	XP_031829368.1
OG0001712	XP_017789844.1	XP_031844403.1
OG0001713	XP_017789213.1	XP_031847260.1
OG0001714	XP_017792904.1	XP_031847682.1
OG0001715	XP_017795242.1	XP_031834273.1, XP_031834271.1, XP_031834272.1, XP_031834275.1, XP_031834276.1, XP_031834274.1
OG0001716	XP_017797518.1	XP_031848502.1
OG0001717	XP_017798111.1	XP_031842230.1
OG0001718	XP_017788200.1	XP_031828053.1
OG0001719	XP_017799086.1, XP_017799085.1, XP_017799084.1	XP_031832466.1, XP_031832465.1
OG0001720	XP_017790527.1	XP_031841824.1, XP_031841825.1
OG0001721	XP_017797403.1	XP_031834473.1
OG0001722	XP_017792195.1	XP_031825414.1
OG0001723	XP_017791814.1	XP_031825742.1
OG0001724	XP_017790653.1	XP_031833908.1, XP_031833907.1, XP_031833909.1
OG0001725	XP_017792815.1	XP_031827004.1, XP_031826998.1, XP_031827001.1, XP_031827000.1, XP_031827003.1, XP_031827002.1, XP_031827005.1
OG0001726	XP_017792590.1	XP_031837698.1
OG0001727	XP_017793946.1	XP_031830994.1
OG0001728	XP_017795059.1	XP_031841599.1
OG0001729	XP_017789767.1	XP_031843847.1
OG0001730	XP_017797255.1	XP_031845461.1
OG0001731	XP_017789010.1	XP_031840225.1, XP_031840224.1
OG0001732	XP_017796000.1	XP_031825632.1
OG0001733	XP_017789924.1	XP_031828990.1
OG0001734	XP_017797171.1	XP_031843970.1, XP_031843964.1
OG0001735	XP_017796517.1	XP_031839632.1
OG0001736	XP_017788466.1	XP_031836891.1
OG0001737	XP_017794221.1	XP_031840375.1
OG0001738	XP_017795108.1	XP_031832271.1
OG0001739	XP_017795472.1	XP_031830403.1, XP_031830404.1, XP_031830405.1
OG0001740	XP_017791384.1, XP_017791392.1	XP_031847749.1
OG0001741	XP_017795095.1	XP_031832270.1
OG0001742	XP_017789562.1	XP_031838273.1
OG0001743	XP_017788870.1	XP_031835988.1, XP_031835987.1, XP_031835989.1
OG0001744	XP_017796839.1	XP_031844786.1
OG0001745	XP_017798901.1	XP_031845646.1, XP_031845736.1
OG0001746	XP_017790066.1	XP_031847008.1
OG0001747	XP_017796858.1	XP_031834812.1, XP_031834813.1, XP_031834815.1
OG0001748	XP_017796452.1	XP_031839883.1
OG0001749	XP_017788365.1	XP_031832543.1
OG0001750	XP_017797356.1	XP_031838674.1
OG0001751	XP_017796400.1	XP_031840011.1
OG0001752	XP_017788532.1	XP_031848043.1
OG0001753	XP_017790149.1	XP_031830444.1
OG0001754	XP_017799002.1	XP_031839242.1
OG0001755	XP_017791170.1, XP_017788759.1	XP_031847626.1
OG0001756	XP_017788252.1	XP_031828217.1, XP_031828219.1, XP_031828218.1
OG0001757	XP_017788740.1, XP_017788737.1	XP_031836013.1
OG0001758	XP_017796060.1	XP_031833565.1
OG0001759	XP_017792584.1	XP_031834927.1, XP_031834922.1, XP_031834926.1, XP_031834932.1, XP_031834929.1, XP_031834930.1, XP_031834925.1, XP_031834924.1, XP_031834923.1, XP_031834921.1, XP_031834928.1
OG0001760	XP_017795647.1	XP_031826574.1, XP_031826572.1, XP_031826573.1, XP_031826577.1, XP_031826578.1, XP_031826576.1
OG0001762	XP_017793896.1	XP_031843907.1, XP_031843906.1
OG0001763	XP_017793036.1, XP_017793035.1	XP_031849416.1
OG0001764	XP_017793686.1	XP_031845677.1
OG0001765	XP_017791359.1	XP_031841393.1, XP_031841394.1
OG0001766	XP_017798815.1	XP_031849723.1
OG0001767	XP_017792208.1	XP_031825332.1, XP_031825333.1
OG0001768	XP_017790076.1	XP_031831083.1
OG0001769	XP_017792665.1	XP_031844864.1
OG0001771	XP_017793661.1	XP_031833495.1, XP_031833497.1
OG0001772	XP_017788238.1, XP_017788234.1, XP_017788237.1, XP_017788232.1, XP_017788233.1	XP_031828039.1, XP_031828038.1, XP_031828037.1, XP_031828043.1, XP_031828042.1, XP_031828041.1, XP_031828040.1
OG0001773	XP_017798319.1	XP_031826684.1
OG0001773	XP_017798312.1	XP_031826944.1
OG0001775	XP_017798439.1	XP_031827233.1, XP_031827232.1
OG0001776	XP_017793207.1	XP_031843430.1
OG0001777	XP_017789765.1, XP_017789772.1	XP_031835952.1
OG0001778	XP_017795229.1	XP_031831287.1, XP_031831286.1
OG0001779	XP_017793884.1	XP_031825865.1
OG0001780	XP_017798572.1	XP_031832634.1
OG0001781	XP_017797368.1	XP_031838612.1
OG0001782	XP_017792078.1	XP_031826370.1
OG0001783	XP_017795149.1	XP_031840584.1, XP_031840586.1, XP_031840585.1
OG0001784	XP_017798029.1	XP_031846360.1, XP_031846361.1, XP_031846362.1
OG0001785	XP_017797199.1, XP_017797200.1	XP_031846146.1, XP_031846147.1
OG0001786	XP_017795373.1	XP_031842036.1, XP_031842034.1
OG0001787	XP_017791838.1	XP_031825926.1
OG0001788	XP_017798997.1	XP_031839266.1, XP_031839267.1
OG0001789	XP_017790648.1	XP_031843335.1, XP_031843336.1
OG0001790	XP_017787502.1, XP_017787516.1	XP_031847472.1
OG0001791	XP_017790506.1, XP_017790507.1	XP_031839669.1
OG0001792	XP_017791405.1	XP_031827617.1, XP_031827615.1, XP_031827616.1, XP_031827614.1
OG0001793	XP_017789159.1	XP_031848318.1, XP_031848292.1, XP_031848300.1, XP_031848309.1
OG0001794	XP_017790352.1	XP_031846341.1, XP_031846344.1
OG0001795	XP_017788678.1	XP_031833431.1
OG0001796	XP_017794875.1	XP_031826710.1
OG0001797	XP_017794907.1	XP_031831441.1
OG0001799	XP_017798101.1	XP_031845574.1, XP_031845573.1, XP_031845575.1
OG0001800	XP_017788341.1	XP_031837609.1
OG0001801	XP_017793223.1	XP_031847175.1
OG0001803	XP_017798289.1	XP_031845154.1
OG0001804	XP_017788661.1, XP_017788660.1	XP_031833405.1, XP_031833404.1
OG0001805	XP_017798644.1	XP_031829576.1
OG0001806	XP_017790958.1	XP_031844730.1, XP_031844737.1
OG0001807	XP_017788285.1	XP_031846848.1
OG0001808	XP_017796496.1	XP_031839822.1
OG0001809	XP_017794298.1	XP_031828089.1, XP_031828090.1
OG0001810	XP_017790447.1, XP_017790446.1	XP_031841874.1
OG0001811	XP_017789341.1	XP_031849509.1
OG0001812	XP_017788724.1	XP_031841038.1
OG0001813	XP_017794048.1	XP_031846496.1, XP_031846487.1
OG0001814	XP_017790229.1	XP_031828671.1
OG0001816	XP_017794366.1	XP_031835110.1
OG0001817	XP_017787541.1	XP_031841477.1, XP_031841479.1, XP_031841478.1, XP_031841476.1
OG0001818	XP_017788560.1	XP_031848179.1
OG0001819	XP_017796381.1	XP_031829378.1
OG0001820	XP_017796387.1, XP_017793841.1	XP_031843675.1
OG0001821	XP_017794565.1	XP_031837582.1
OG0001822	XP_017790143.1	XP_031832110.1
OG0001823	XP_017795882.1	XP_031843246.1
OG0001824	XP_017794482.1	XP_031834808.1, XP_031834805.1
OG0001825	XP_017796474.1	XP_031839932.1, XP_031839933.1
OG0001826	XP_017792044.1	XP_031828237.1
OG0001827	XP_017790702.1	XP_031843330.1
OG0001828	XP_017792068.1	XP_031846759.1
OG0001830	XP_017796097.1	XP_031833585.1, XP_031833587.1, XP_031833588.1, XP_031833589.1, XP_031833582.1, XP_031833584.1, XP_031833586.1
OG0001831	XP_017798675.1	XP_031833024.1
OG0001832	XP_017796598.1	XP_031847523.1
OG0001833	XP_017795836.1	XP_031848951.1
OG0001834	XP_017792894.1, XP_017792893.1	XP_031849798.1, XP_031849797.1
OG0001835	XP_017788160.1	XP_031844534.1
OG0001836	XP_017787972.1	XP_031832946.1
OG0001837	XP_017793084.1	XP_031835392.1
OG0001838	XP_017792110.1	XP_031830797.1
OG0001839	XP_017798036.1	XP_031829772.1
OG0001840	XP_017796094.1	XP_031833557.1, XP_031833559.1
OG0001841	XP_017795639.1	XP_031831727.1
OG0001842	XP_017795964.1	XP_031835632.1
OG0001843	XP_017791221.1	XP_031838053.1
OG0001844	XP_017797809.1	XP_031845966.1
OG0001845	XP_017799544.1	XP_031829717.1
OG0001846	XP_017793705.1	XP_031833525.1, XP_031833523.1
OG0001847	XP_017791488.1	XP_031841389.1
OG0001848	XP_017794301.1	XP_031828019.1, XP_031828018.1
OG0001849	XP_017798891.1	XP_031831929.1
OG0001850	XP_017797754.1, XP_017797753.1	XP_031829651.1
OG0001851	XP_017794948.1	XP_031827273.1
OG0001852	XP_017793405.1	XP_031849323.1, XP_031849319.1, XP_031849318.1, XP_031849321.1, XP_031849320.1, XP_031849322.1
OG0001853	XP_017790883.1	XP_031835005.1
OG0001854	XP_017794822.1	XP_031826805.1
OG0001855	XP_017791362.1	XP_031841759.1
OG0001856	XP_017794392.1	XP_031846377.1
OG0001857	XP_017795724.1	XP_031841929.1, XP_031841909.1, XP_031841918.1
OG0001858	XP_017788813.1	XP_031844372.1, XP_031844373.1, XP_031844374.1
OG0001859	XP_017789873.1	XP_031827700.1
OG0001861	XP_017790754.1	XP_031833478.1, XP_031833475.1, XP_031833476.1, XP_031833473.1, XP_031833471.1, XP_031833472.1, XP_031833477.1
