Orthogroup	Habropoda_laboriosa	Tribolium_castaneum
OG0000965	XP_017791269.1	XP_015835969.1, XP_015835957.1
OG0000966	XP_017795082.1	XP_969046.1
OG0000967	XP_017798234.1, XP_017798235.1	XP_008195382.1
OG0000968	XP_017799341.1, XP_017799342.1	XP_008195614.1, XP_971104.2, XP_008195611.1
OG0000969	XP_017795682.1	XP_015840918.1, XP_008201276.1
OG0000970	XP_017793149.1	XP_968305.1
OG0000971	XP_017791832.1	XP_972282.2, XP_015837020.1
OG0000972	XP_017793369.1, XP_017793370.1	XP_967420.1
OG0000974	XP_017797705.1	XP_971298.2
OG0000975	XP_017796312.1	XP_015837167.1, XP_015837165.1, XP_015837173.1
OG0000976	XP_017789132.1	XP_008198905.1
OG0000977	XP_017793677.1, XP_017793679.1, XP_017793678.1	XP_015837319.1, XP_970802.1
OG0000978	XP_017795811.1, XP_017797450.1	XP_008199102.1
OG0000980	XP_017793379.1	XP_015840382.1, XP_015838797.1, XP_015840939.1
OG0000981	XP_017796495.1	XP_008199943.1
OG0000982	XP_017790225.1	XP_015835195.1, NP_001280502.1
OG0000983	XP_017788666.1	XP_967514.2, XP_008193998.2
OG0000984	XP_017795772.1	XP_008197144.1
OG0000984	XP_017795771.1	XP_008197146.1
OG0000985	XP_017793899.1	XP_008195583.1
OG0000986	XP_017790674.1, XP_017789780.1	XP_015837599.1
OG0000987	XP_017788248.1, XP_017794456.1	XP_015836128.1
OG0000988	XP_017793163.1	XP_015838738.1
OG0000989	XP_017788941.1, XP_017788944.1	XP_008194375.1
OG0000992	XP_017788843.1, XP_017788842.1	XP_974606.1
OG0000993	XP_017790440.1, XP_017790439.1	NP_001164130.1, NP_001164132.1
OG0000994	XP_017787743.1, XP_017787742.1	XP_968930.1
OG0000995	XP_017793902.1	XP_008198979.1
OG0000996	XP_017798002.1	XP_972738.1, XP_008200903.1
OG0000997	XP_017790667.1	XP_001812951.1
OG0000997	XP_017790718.1	XP_971180.1
OG0000998	XP_017796896.1	XP_015837903.1, XP_008196475.1
OG0000999	XP_017797216.1, XP_017799499.1, XP_017799501.1	NP_001038092.1, NP_001038091.1, XP_015835197.1
OG0001000	XP_017794216.1	XP_971954.1
OG0001001	XP_017792720.1, XP_017796721.1	XP_015837955.1, XP_008196172.1
OG0001002	XP_017793561.1	XP_969124.4, XP_971550.1
OG0001003	XP_017790012.1	XP_008193884.1
OG0001004	XP_017789906.1	XP_972250.1
OG0001005	XP_017794612.1	NP_001164000.1
OG0001006	XP_017792828.1	XP_015835270.1, XP_015835267.1
OG0001007	XP_017798760.1	XP_008198971.1
OG0001008	XP_017792993.1	NP_001306193.1, NP_001034521.1
OG0001009	XP_017793159.1	XP_015837854.1
OG0001010	XP_017792233.1	XP_008192053.1
OG0001011	XP_017787472.1	XP_974410.1
OG0001012	XP_017794933.1	XP_008195285.1
OG0001013	XP_017794724.1	XP_015836976.1
OG0001014	XP_017794470.1	XP_974871.1
OG0001015	XP_017792510.1	XP_008201197.1
OG0001016	XP_017799271.1	XP_969349.1
OG0001016	XP_017793345.1	XP_967560.1
OG0001017	XP_017797250.1	XP_969629.1, XP_008194028.1
OG0001018	XP_017797462.1	NP_001107779.1
OG0001019	XP_017793134.1	XP_015839056.1, XP_974292.2, XP_008198287.1
OG0001020	XP_017789381.1, XP_017789380.1	XP_970433.1
OG0001022	XP_017799605.1, XP_017799476.1	XP_015835414.1, XP_015835415.1
OG0001023	XP_017793074.1	XP_001811805.1
OG0001025	XP_017789768.1	XP_008193091.1
OG0001026	XP_017793169.1	XP_970449.1
OG0001027	XP_017790747.1	XP_015838508.1
OG0001028	XP_017796441.1	XP_015839464.1, XP_970163.1
OG0001029	XP_017791491.1	XP_015840479.1
OG0001030	XP_017794691.1	XP_015838296.1, XP_976275.1
OG0001031	XP_017799348.1	XP_975003.1, XP_975012.1
OG0001032	XP_017788914.1	XP_008197238.1
OG0001033	XP_017794185.1	XP_968121.1
OG0001034	XP_017790815.1	XP_015835089.1, XP_015835090.1, XP_008192440.2, XP_015835122.1, XP_008192433.1, XP_008192434.1, XP_015840598.1, XP_008201070.1
OG0001035	XP_017798930.1	XP_001816488.1
OG0001036	XP_017795616.1, XP_017795677.1	XP_015838416.1
OG0001037	XP_017790430.1, XP_017790431.1	XP_008201337.1
OG0001038	XP_017792175.1	XP_975102.1
OG0001039	XP_017796826.1	XP_008197122.1, XP_972852.1
OG0001040	XP_017799164.1	XP_008200571.1
OG0001041	XP_017789061.1	XP_971368.1, XP_008199393.1, XP_008199391.1
OG0001042	XP_017789326.1, XP_017789408.1	XP_008191863.1
OG0001043	XP_017792310.1	XP_008199231.1, XP_008199232.1
OG0001044	XP_017791575.1, XP_017795362.1	XP_015839545.1
OG0001045	XP_017790179.1	XP_974068.1
OG0001046	XP_017791432.1	XP_015835974.1
OG0001048	XP_017795776.1	XP_015836699.1, XP_008195153.1
OG0001049	XP_017794343.1	XP_008198519.1
OG0001050	XP_017790303.1, XP_017790304.1	XP_008197845.1, XP_008197843.1
OG0001052	XP_017795354.1	XP_015836414.1
OG0001053	XP_017793455.1, XP_017797131.1	XP_008201416.1
OG0001054	XP_017798355.1	XP_970597.2
OG0001055	XP_017788782.1	XP_971906.1
OG0001056	XP_017798040.1	XP_008199786.1
OG0001057	XP_017790819.1	XP_015838535.1
OG0001058	XP_017793882.1	XP_015833239.1, XP_015833240.1, XP_968118.1, XP_008190828.1
OG0001059	XP_017792663.1, XP_017787398.1	XP_001812701.1
OG0001060	XP_017798068.1	XP_975678.1
OG0001061	XP_017790776.1, XP_017790768.1	XP_008194269.1, XP_015835880.1
OG0001063	XP_017796567.1, XP_017789033.1	XP_008198790.1
OG0001064	XP_017790366.1, XP_017795419.1	XP_015839254.1, XP_973869.1
OG0001065	XP_017790514.1, XP_017790523.1	NP_001076808.1, XP_008195066.1
OG0001066	XP_017793380.1	XP_008194156.1, XP_015835951.1, XP_008194158.1, XP_971810.2
OG0001067	XP_017793086.1, XP_017793087.1	XP_015835194.1, XP_015835191.1, XP_015835193.1, XP_015835189.1
OG0001068	XP_017792027.1	XP_015833006.1, XP_015833002.1
OG0001069	XP_017797696.1	XP_008195047.1, XP_008195052.1, XP_970713.1
OG0001070	XP_017799386.1	XP_967757.1
OG0001071	XP_017796974.1	XP_015835573.1, XP_971088.1
OG0001072	XP_017788753.1	XP_968287.2
OG0001073	XP_017799416.1, XP_017799418.1	XP_015840906.1
OG0001074	XP_017788486.1	XP_968014.1
OG0001075	XP_017793293.1	XP_976192.1
OG0001076	XP_017789934.1	XP_015836852.1
OG0001077	XP_017787604.1	XP_969551.1
OG0001078	XP_017792576.1	XP_008197026.2
OG0001079	XP_017790812.1	XP_970516.1
OG0001081	XP_017794598.1	XP_972805.1, XP_008196164.1
OG0001082	XP_017799383.1	XP_974821.1
OG0001084	XP_017797736.1	XP_008193669.1
OG0001085	XP_017789773.1	XP_015836984.1, XP_966581.1
OG0001086	XP_017798124.1	XP_008196611.1
OG0001090	XP_017798240.1	XP_008193026.1, XP_969238.1
OG0001091	XP_017790227.1	XP_008191347.1
OG0001092	XP_017791777.1	XP_008192984.1, NP_001107766.2
OG0001093	XP_017791608.1	XP_967758.1
OG0001094	XP_017788348.1	XP_972722.1
OG0001095	XP_017788406.1	XP_974524.1
OG0001096	XP_017798306.1	XP_971402.1
OG0001097	XP_017789927.1	XP_973281.1
OG0001098	XP_017792425.1	XP_001808476.1
OG0001099	XP_017788691.1	XP_015838137.1
OG0001100	XP_017796785.1	XP_015833017.1, XP_974324.1
OG0001101	XP_017793448.1	XP_015835316.1, XP_008192958.1
OG0001102	XP_017797114.1, XP_017797120.1, XP_017797128.1	XP_008198777.1, XP_970498.1
OG0001103	XP_017787457.1	NP_001164136.1
OG0001104	XP_017792186.1, XP_017792187.1	XP_966537.1
OG0001105	XP_017796391.1, XP_017788405.1	XP_968687.1, XP_015836906.1, XP_015836904.1, XP_969139.2, XP_968617.1
OG0001106	XP_017790070.1, XP_017790069.1, XP_017790068.1, XP_017790067.1	XP_975213.1
OG0001107	XP_017787476.1, XP_017787477.1	XP_015835955.1, XP_967711.1
OG0001108	XP_017787438.1	XP_969212.1, XP_969136.1, XP_969065.1
OG0001109	XP_017799546.1	XP_015840812.1
OG0001110	XP_017793395.1	XP_008197884.1
OG0001111	XP_017799217.1	XP_975084.1
OG0001112	XP_017795314.1	XP_015839558.1, XP_008199112.1, XP_008199111.1, XP_008199113.1, XP_008199114.1
OG0001113	XP_017796065.1	XP_966673.1
OG0001114	XP_017793961.1	XP_966885.1, XP_008191103.1
OG0001115	XP_017794095.1	XP_968555.2
OG0001116	XP_017790868.1	XP_008199210.1
OG0001117	XP_017791612.1	XP_008199836.1
OG0001118	XP_017792580.1, XP_017792579.1	XP_972023.1
OG0001119	XP_017790278.1	XP_015833676.1
OG0001120	XP_017790307.1	XP_008195678.2
OG0001120	XP_017790323.1	XP_975429.1
OG0001121	XP_017798993.1	NP_001107840.1, XP_008201496.1
OG0001122	XP_017792702.1	XP_968775.1
OG0001123	XP_017796328.1	XP_008198553.1
OG0001124	XP_017795466.1	XP_975636.1
OG0001125	XP_017792006.1	XP_008190532.1, XP_008190533.1, XP_008190535.1, XP_008190536.1, XP_008190537.1, XP_015833013.1
OG0001126	XP_017790511.1	XP_971282.1, XP_015836202.1
OG0001127	XP_017792413.1, XP_017792412.1	XP_008198191.1
OG0001129	XP_017793721.1	XP_008195074.1
OG0001130	XP_017788760.1	XP_968477.1
OG0001131	XP_017794733.1, XP_017794736.1	XP_015840650.1, XP_008199422.1
OG0001132	XP_017798283.1	XP_967011.1
OG0001133	XP_017790379.1	XP_967241.1, XP_015832935.1
OG0001134	XP_017788785.1, XP_017788783.1	XP_008194083.1
OG0001135	XP_017788325.1	XP_968753.2
OG0001137	XP_017791724.1	XP_008198456.2
OG0001138	XP_017792825.1	XP_974752.2
OG0001139	XP_017793562.1, XP_017793521.1	XP_973786.1, XP_015835878.1
OG0001140	XP_017791967.1, XP_017791969.1, XP_017791968.1	XP_971142.1
OG0001141	XP_017792956.1	NP_001103250.1, NP_001103249.1, NP_001103248.1
OG0001142	XP_017798441.1	XP_008193039.1
OG0001143	XP_017790008.1	XP_969623.1
OG0001144	XP_017796702.1, XP_017796700.1	NP_001280546.1
OG0001145	XP_017794335.1	XP_973829.1
OG0001146	XP_017796071.1, XP_017795555.1	XP_967210.1
OG0001147	XP_017797841.1	XP_008201711.1
OG0001148	XP_017795537.1	XP_008191864.1
OG0001149	XP_017793333.1	XP_008193472.1
OG0001150	XP_017796677.1, XP_017796687.1, XP_017796693.1	XP_968505.1
OG0001151	XP_017795565.1	XP_008194307.1
OG0001152	XP_017792000.1	XP_015835806.1
OG0001153	XP_017787944.1	XP_008196650.2
OG0001154	XP_017795909.1	XP_015840392.1, XP_008195259.1
OG0001155	XP_017792586.1, XP_017792588.1	XP_008192108.1, XP_008192109.1, XP_974039.1
OG0001156	XP_017795451.1, XP_017795453.1, XP_017795452.1	XP_008192296.1
OG0001157	XP_017787962.1	XP_970548.1, XP_008199067.1
OG0001158	XP_017794186.1	XP_008197031.1, NP_001164280.1
OG0001159	XP_017790862.1	XP_008199533.1
OG0001160	XP_017796269.1	XP_972545.1
OG0001161	XP_017787998.1	NP_001164093.1
OG0001161	XP_017788003.1	XP_008198406.1
OG0001163	XP_017791998.1	XP_008196669.1, XP_972490.2
OG0001164	XP_017795510.1	XP_001815875.1
OG0001165	XP_017789600.1	XP_015835803.1, XP_008193882.1
OG0001166	XP_017790887.1, XP_017790888.1	XP_008191785.1, XP_015833648.1, XP_015833649.1
OG0001167	XP_017797480.1	XP_008190526.1
OG0001168	XP_017796130.1	XP_008194043.1, NP_001129235.1
OG0001169	XP_017798652.1	XP_971976.1, XP_008195314.1
OG0001170	XP_017795650.1	XP_008195103.1
OG0001171	XP_017797867.1, XP_017797866.1	XP_008201706.1, XP_008201707.1
OG0001172	XP_017796079.1, XP_017796077.1, XP_017796001.1	XP_015835716.1, XP_015835718.1
OG0001173	XP_017794551.1	XP_008191324.1
OG0001174	XP_017796522.1, XP_017791429.1	XP_971424.1
OG0001175	XP_017794203.1	XP_008200383.1
OG0001176	XP_017787744.1	XP_972928.1
OG0001178	XP_017787467.1	XP_975464.2
OG0001179	XP_017795447.1, XP_017795448.1	XP_008198975.1, XP_971602.1
OG0001180	XP_017795320.1	XP_008198633.1
OG0001181	XP_017793736.1	XP_008191878.1
OG0001182	XP_017797539.1	XP_015840100.1, XP_015840102.1
OG0001183	XP_017788177.1	XP_008193529.1
OG0001184	XP_017791578.1	XP_008201701.1, XP_015840686.1
OG0001186	XP_017787503.1	XP_969063.1
OG0001187	XP_017787427.1, XP_017787426.1	XP_968896.1, XP_015835887.1
OG0001188	XP_017793637.1	XP_001816493.1, XP_015837546.1, XP_015837545.1
OG0001189	XP_017797116.1, XP_017798593.1, XP_017798592.1	XP_008194526.1
OG0001190	XP_017792754.1	XP_008199702.1, XP_008199701.1
OG0001191	XP_017791789.1	XP_008201559.2, NP_001165842.1
OG0001193	XP_017798119.1, XP_017798120.1, XP_017798118.1	XP_967266.2
OG0001195	XP_017793235.1	XP_008195388.1, XP_008195387.1
OG0001197	XP_017795368.1, XP_017795364.1	XP_015840919.1, XP_008201266.1, XP_008201358.1
OG0001198	XP_017793237.1	XP_008192533.1
OG0001199	XP_017794193.1	XP_008190901.1
OG0001201	XP_017794988.1	XP_967431.2
OG0001202	XP_017793302.1	XP_008198196.1, XP_969574.1, XP_970203.1
OG0001203	XP_017793585.1, XP_017798964.1	XP_008198168.2, XP_015837354.1
OG0001204	XP_017790875.1	XP_015835914.1
OG0001205	XP_017791872.1, XP_017791131.1	XP_015832961.1
OG0001206	XP_017791642.1	XP_968926.1, XP_008192540.1, XP_008192547.1
OG0001207	XP_017791509.1	XP_008193742.1
OG0001208	XP_017790628.1	XP_008195493.1, XP_008195494.1, XP_008195495.1, XP_015836894.1, XP_015836892.1, XP_015836893.1
OG0001211	XP_017787783.1	XP_969398.1, XP_015836279.1, XP_015839975.1, XP_015839976.1, XP_008196675.1
OG0001214	XP_017789681.1	XP_008200001.1, XP_975934.1
OG0001215	XP_017798547.1, XP_017798546.1	XP_968957.1
OG0001216	XP_017794283.1	XP_015839295.1
OG0001217	XP_017792789.1, XP_017792788.1	XP_008192863.1
OG0001218	XP_017789176.1	XP_008201334.1
OG0001219	XP_017794970.1, XP_017794969.1, XP_017794971.1	XP_001816128.1
OG0001220	XP_017794910.1	XP_972076.1
OG0001222	XP_017791866.1	XP_968714.2
OG0001223	XP_017793281.1, XP_017793280.1, XP_017793279.1	XP_967177.1
OG0001224	XP_017794876.1, XP_017794877.1	XP_008191038.1, XP_975446.1
OG0001225	XP_017791124.1	XP_972067.1
OG0001226	XP_017791766.1, XP_017791767.1, XP_017791768.1	XP_974453.1
OG0001227	XP_017794326.1	XP_008199442.1
OG0001228	XP_017796637.1	XP_008197675.1
OG0001229	XP_017797851.1	XP_973115.2
OG0001230	XP_017792169.1	XP_967571.1
OG0001231	XP_017789848.1	XP_008197759.1, XP_008197754.1
OG0001232	XP_017792305.1	XP_008190354.1
OG0001233	XP_017788868.1	XP_008190817.1
OG0001234	XP_017791314.1	XP_972865.2
OG0001236	XP_017794895.1	XP_970017.1, XP_008194730.1
OG0001237	XP_017792990.1	XP_970990.1, XP_970935.1, XP_008198405.1, XP_008201442.1, XP_008201445.1
OG0001238	XP_017791251.1, XP_017791249.1	XP_015840481.1, XP_008199848.1
OG0001239	XP_017797854.1	XP_969339.3
OG0001240	XP_017789228.1	XP_008196847.1
OG0001241	XP_017790274.1	XP_008196700.1, NP_001280495.1
OG0001242	XP_017792291.1, XP_017792290.1	XP_015837308.1, XP_015837309.1
OG0001243	XP_017793502.1	XP_968084.1
OG0001244	XP_017793483.1	XP_974073.3
OG0001245	XP_017790098.1	XP_968503.1
OG0001246	XP_017790026.1	XP_008191948.1, XP_008191947.1
OG0001247	XP_017791643.1	XP_969111.2
OG0001248	XP_017788567.1	XP_975017.2
OG0001249	XP_017792076.1	XP_975542.1
OG0001250	XP_017791228.1	XP_015835066.1, XP_015835069.1, XP_015835068.1, XP_015835067.1, XP_008191723.1, XP_015835064.1, XP_015835065.1
OG0001251	XP_017796273.1	XP_008198694.1, XP_015839507.1, XP_015839508.1
OG0001252	XP_017799497.1	XP_008201627.1
OG0001253	XP_017790271.1	XP_008198623.1, XP_008198621.1
OG0001255	XP_017795498.1	XP_015839682.1, NP_001280536.1
OG0001256	XP_017789195.1	XP_015840550.1
OG0001257	XP_017793031.1	XP_972977.1, XP_973010.2
OG0001258	XP_017798081.1	NP_001034507.1
OG0001259	XP_017797413.1	XP_968406.2
OG0001260	XP_017793568.1, XP_017793567.1, XP_017793569.1	XP_974043.1, XP_015835245.1
OG0001261	XP_017791159.1	XP_969615.1
OG0001262	XP_017797401.1	XP_015836277.1
OG0001263	XP_017797309.1	XP_008194044.1, XP_966465.1
OG0001264	XP_017795290.1, XP_017795289.1	XP_008199359.1
OG0001265	XP_017798006.1	XP_008198824.1, XP_015839576.1, XP_008198826.1
OG0001267	XP_017787420.1	XP_008193924.1, XP_015835758.1, XP_008193926.1
OG0001268	XP_017794719.1, XP_017787623.1	XP_001812645.1
OG0001269	XP_017794314.1	XP_008199240.1
OG0001270	XP_017791916.1	XP_008195264.1
OG0001271	XP_017787977.1	XP_015837418.1
OG0001273	XP_017792157.1	XP_008196928.2, XP_008194333.1, XP_015835670.1
OG0001274	XP_017793673.1	XP_971741.1
OG0001275	XP_017795918.1, XP_017795917.1	XP_015838616.1, XP_008200892.1, XP_015838623.1, XP_008200889.1
OG0001278	XP_017799281.1	XP_968260.1
OG0001279	XP_017797185.1	XP_015833552.1
OG0001280	XP_017795758.1	XP_968053.2, XP_008192425.1
OG0001281	XP_017796815.1, XP_017796814.1	XP_008200663.1
OG0001282	XP_017789626.1	XP_968795.1
OG0001283	XP_017787817.1	XP_008195901.1
OG0001284	XP_017789264.1	XP_015835521.1, XP_008200427.2
OG0001286	XP_017794682.1	XP_973603.2
OG0001288	XP_017794630.1	XP_008195503.1
OG0001289	XP_017790186.1	XP_972155.1
OG0001291	XP_017787574.1	XP_973702.2
OG0001293	XP_017791613.1, XP_017791614.1	XP_967850.1
OG0001294	XP_017791867.1	XP_008190438.1
OG0001295	XP_017795856.1	XP_015837736.1, XP_008199992.1, XP_015837734.1, XP_015837735.1, XP_008197104.1, XP_015838076.1, XP_966433.1
OG0001298	XP_017794351.1	XP_001814199.1
OG0001299	XP_017791479.1	XP_008190539.1
OG0001300	XP_017794851.1	XP_971886.1
OG0001301	XP_017790952.1	XP_971367.2
OG0001302	XP_017799006.1	XP_015839006.1
OG0001303	XP_017787889.1	XP_015833856.1
OG0001304	XP_017796582.1	XP_008201630.1
OG0001305	XP_017797111.1, XP_017787786.1, XP_017797135.1	XP_015834192.1
OG0001306	XP_017792109.1, XP_017792103.1	XP_015835234.1, XP_015835237.1
OG0001307	XP_017793580.1, XP_017793581.1	XP_015835558.1
OG0001308	XP_017791535.1	XP_008200820.1
OG0001310	XP_017795523.1	XP_975420.1
OG0001312	XP_017798013.1, XP_017798014.1	XP_974931.1
OG0001313	XP_017797817.1, XP_017798370.1	XP_974660.1
OG0001314	XP_017794954.1	XP_015833753.1
OG0001315	XP_017794688.1	XP_015836908.1, XP_966473.2
OG0001316	XP_017799149.1	XP_008196392.1
OG0001317	XP_017797048.1	XP_967323.2
OG0001318	XP_017795381.1	XP_008199614.1
OG0001320	XP_017798369.1	XP_008199679.1
OG0001322	XP_017796027.1	XP_008196249.1
OG0001328	XP_017789480.1	XP_969305.1
OG0001329	XP_017795671.1	XP_008190670.1
OG0001330	XP_017798173.1	XP_008195392.1
OG0001331	XP_017791167.1	XP_975415.1
OG0001332	XP_017791396.1, XP_017791323.1	XP_008197848.1
OG0001333	XP_017797324.1	XP_008195720.1, XP_969089.1
OG0001334	XP_017791000.1, XP_017791067.1	XP_015838448.1
OG0001335	XP_017790167.1	XP_008193497.1
OG0001336	XP_017792872.1	XP_001815618.1
OG0001337	XP_017790338.1	XP_970871.1
OG0001338	XP_017792954.1	NP_001139390.1
OG0001339	XP_017788142.1	XP_970397.1
OG0001340	XP_017787707.1, XP_017787708.1	XP_008193660.1, XP_970247.1
OG0001341	XP_017795388.1	XP_008199365.1
OG0001342	XP_017788387.1	XP_008199415.1
OG0001343	XP_017798551.1, XP_017798665.1	XP_015835564.1, XP_008194046.1
OG0001344	XP_017791191.1	XP_967651.3
OG0001345	XP_017790730.1	XP_974634.1
OG0001346	XP_017796462.1	XP_008200257.1
OG0001347	XP_017796171.1	XP_973080.2
OG0001348	XP_017791185.1	XP_008194100.1
OG0001349	XP_017795887.1	XP_008197983.1
OG0001350	XP_017789757.1	XP_015837465.1, XP_015837464.1
OG0001351	XP_017791835.1	XP_015832916.1, XP_971672.1
OG0001352	XP_017791357.1, XP_017791358.1	XP_008199131.1
OG0001353	XP_017791776.1	XP_015833130.1, XP_015833131.1, XP_970090.1
OG0001355	XP_017796204.1	NP_001127921.1, XP_008197034.1
OG0001356	XP_017793554.1	XP_968380.1, NP_001280528.1
OG0001357	XP_017792393.1	XP_008195370.1
OG0001358	XP_017791793.1	XP_008196120.1, XP_008196123.1
OG0001359	XP_017798445.1	XP_972884.1, XP_972109.3
OG0001360	XP_017787809.1	XP_968834.1
OG0001362	XP_017796002.1	XP_015835360.1, XP_008200476.1
OG0001363	XP_017788057.1, XP_017797183.1	NP_001107813.1, XP_008193052.1
OG0001364	XP_017798053.1	XP_008201239.1, NP_001034514.1
OG0001365	XP_017793507.1	XP_971819.1
OG0001366	XP_017789779.1	XP_008195516.1
OG0001367	XP_017789592.1	XP_974803.1, XP_008196057.2
OG0001368	XP_017797669.1	XP_968199.1
OG0001369	XP_017787776.1	XP_971568.1, XP_008190885.1, XP_008190887.1, XP_008190886.1, XP_971622.1, XP_008190884.1
OG0001370	XP_017790328.1	XP_008199205.1
OG0001371	XP_017789071.1	XP_974014.1, XP_015835087.1, XP_015835088.1
OG0001372	XP_017795493.1, XP_017795662.1	XP_008194525.1
OG0001373	XP_017797550.1, XP_017797549.1	XP_968404.1, XP_015839616.1
OG0001374	XP_017787974.1	XP_001814181.1
OG0001375	XP_017793823.1	XP_008190523.1
OG0001376	XP_017788540.1	XP_972494.1
OG0001377	XP_017796218.1, XP_017796217.1	XP_008192006.1
OG0001378	XP_017791638.1	XP_974170.1
OG0001379	XP_017795741.1	XP_008200289.1
OG0001380	XP_017793818.1	XP_008198237.1
OG0001381	XP_017797160.1	XP_970624.1, XP_015837364.1, XP_015837357.1
OG0001382	XP_017790870.1	XP_015837790.1, XP_008196501.1, XP_975884.1, XP_008196500.1
OG0001383	XP_017789683.1	XP_008196388.1, XP_015837150.1
OG0001384	XP_017790283.1	XP_974696.2
OG0001385	XP_017790663.1	NP_001280529.1, XP_008200155.1, NP_001280662.1
OG0001386	XP_017789786.1	XP_015836790.1
OG0001387	XP_017788586.1	XP_973997.3
OG0001388	XP_017793374.1	XP_008198472.1, XP_015839126.1
OG0001389	XP_017798200.1	XP_008191705.2, XP_015835153.1, XP_015835175.1
OG0001390	XP_017788795.1	XP_008196746.1
OG0001391	XP_017793959.1	XP_015835294.1
OG0001392	XP_017794574.1, XP_017794568.1	XP_972774.2
OG0001393	XP_017787863.1	NP_001092812.1, XP_008191439.1
OG0001394	XP_017798918.1	XP_974474.1
OG0001395	XP_017788748.1	XP_008197875.1
OG0001396	XP_017799054.1	XP_001807060.1
OG0001397	XP_017791451.1	XP_015840901.1, XP_015840903.1
OG0001398	XP_017789423.1	XP_008199101.1, XP_974850.1
OG0001399	XP_017799057.1, XP_017799056.1	XP_015833723.1
OG0001400	XP_017791099.1	XP_008192848.1
OG0001401	XP_017794782.1	XP_966394.2
OG0001402	XP_017789362.1	XP_973256.1
OG0001403	XP_017795520.1, XP_017795521.1	XP_015834718.1
OG0001405	XP_017789740.1	XP_970709.2
OG0001406	XP_017795275.1	XP_001808764.1
OG0001408	XP_017791999.1	XP_973448.1
OG0001409	XP_017793273.1, XP_017793278.1	XP_008201593.1
OG0001410	XP_017798015.1	XP_015837864.1, NP_001280533.1
OG0001412	XP_017796804.1	XP_015833580.1
OG0001414	XP_017789735.1	XP_008192642.1, XP_008192641.1, XP_974537.1
OG0001415	XP_017788202.1	XP_015834284.1, XP_008197482.1
OG0001416	XP_017797924.1, XP_017796560.1	XP_008194088.1
OG0001417	XP_017790300.1	XP_973125.1
OG0001418	XP_017797835.1	XP_008191844.1
OG0001419	XP_017789761.1	XP_015838768.1, XP_015838769.1
OG0001420	XP_017790537.1	XP_015836480.1, XP_968142.1
OG0001421	XP_017797627.1	XP_974319.1
OG0001422	XP_017792051.1	XP_971902.1
OG0001423	XP_017799000.1	XP_976493.2
OG0001424	XP_017797427.1	XP_973684.1
OG0001425	XP_017799098.1	XP_015838773.1
OG0001426	XP_017788995.1	XP_015836693.1
OG0001427	XP_017797929.1	XP_008200281.1
OG0001428	XP_017792204.1	XP_972790.1
OG0001430	XP_017791857.1	XP_974921.1
OG0001432	XP_017794814.1	XP_001815304.2, XP_008190450.1
OG0001433	XP_017791205.1	XP_001810287.1
OG0001434	XP_017795012.1	XP_015838174.1
OG0001436	XP_017798787.1	XP_967350.1, XP_967269.1, XP_008195569.1, XP_008195564.1, XP_008195566.1
OG0001437	XP_017791426.1	XP_974738.1
OG0001438	XP_017791377.1	XP_015835335.1, XP_015835336.1
OG0001439	XP_017789580.1	XP_975295.1
OG0001440	XP_017788121.1	XP_969806.1
OG0001441	XP_017794102.1	XP_015838362.1, XP_015838361.1, XP_972088.1
OG0001444	XP_017793576.1, XP_017792117.1, XP_017788623.1	XP_008199773.1
OG0001451	XP_017795574.1	XP_008198505.1
OG0001453	XP_017792327.1	XP_008192135.1, XP_974780.1
OG0001455	XP_017791217.1	XP_008195504.1, XP_008195463.1
OG0001456	XP_017795971.1	XP_967649.1
OG0001457	XP_017791437.1	XP_972313.1
OG0001458	XP_017797735.1	XP_969998.1
OG0001459	XP_017794179.1	XP_008197038.1, XP_971056.1
OG0001460	XP_017787921.1	XP_968481.1
OG0001461	XP_017790724.1	XP_008195927.1
OG0001462	XP_017797572.1	XP_969537.1
OG0001463	XP_017792066.1	XP_975612.1
OG0001464	XP_017789055.1	XP_008192049.1, XP_008192050.1
OG0001465	XP_017795974.1	XP_970371.1
OG0001466	XP_017789105.1, XP_017789014.1	XP_971808.1
OG0001467	XP_017795664.1	XP_008190991.1
OG0001468	XP_017790960.1	XP_969120.1, NP_001164201.1
OG0001469	XP_017792845.1	XP_015835402.1
OG0001470	XP_017790397.1	XP_972043.2, XP_015839118.1, XP_008198420.1
OG0001471	XP_017788084.1	XP_966863.1
OG0001472	XP_017791731.1	XP_974027.1
OG0001473	XP_017796519.1	XP_969761.2
OG0001474	XP_017789690.1	XP_008197149.1
OG0001475	XP_017799291.1	XP_008194014.1
OG0001476	XP_017787599.1	XP_008196197.1, XP_008196196.1, XP_015837812.1
OG0001477	XP_017792429.1	XP_008193717.1
OG0001478	XP_017794297.1	XP_971848.1
OG0001479	XP_017793032.1	XP_015835497.1
OG0001480	XP_017795270.1	XP_968112.1, XP_015840540.1
OG0001481	XP_017788580.1	XP_008192172.1, XP_008192171.1
OG0001482	XP_017798332.1, XP_017798331.1	XP_008191953.1, XP_008191952.1
OG0001483	XP_017796274.1	XP_015832869.1
OG0001484	XP_017797823.1	XP_008197131.1
OG0001485	XP_017787532.1	XP_975329.1
OG0001486	XP_017795560.1, XP_017795559.1	XP_008197650.1, NP_001280513.1
OG0001487	XP_017792607.1	XP_015833845.1
OG0001488	XP_017789028.1	XP_015834903.1
OG0001491	XP_017788008.1	XP_970708.2
