Orthogroup	Habropoda_laboriosa	Aedes_aegypti
OG0000729	XP_017791080.1	XP_001659718.2
OG0000730	XP_017794253.1	XP_021699018.1
OG0000731	XP_017789891.1, XP_017789892.1	XP_021702680.1, XP_021702679.1, XP_021702677.1, XP_021702678.1, XP_021702675.1, XP_021702676.1
OG0000732	XP_017791734.1	XP_021702963.1
OG0000736	XP_017798699.1, XP_017798704.1, XP_017798703.1, XP_017798700.1, XP_017798701.1	XP_011493105.1
OG0000737	XP_017790941.1	XP_001663804.1
OG0000738	XP_017795990.1	XP_021707588.1
OG0000739	XP_017799493.1	XP_001656497.1, XP_001656498.1
OG0000740	XP_017799090.1	XP_001655652.1
OG0000741	XP_017789689.1	XP_001655538.2, XP_001660494.2
OG0000742	XP_017789593.1	XP_001658195.1, XP_021706475.1, XP_001655778.2
OG0000743	XP_017792070.1	XP_021702827.1, XP_021702829.1, XP_021702828.1
OG0000744	XP_017792455.1	XP_021704321.1, XP_001658540.2, XP_021710964.1
OG0000745	XP_017788688.1	XP_021709871.1, XP_021709872.1
OG0000746	XP_017792346.1	XP_001662225.1
OG0000747	XP_017793056.1	XP_001648748.1
OG0000748	XP_017796555.1	XP_001649806.1, XP_021710522.1, XP_021710524.1, XP_021710521.1, XP_001649780.1, XP_021710523.1
OG0000749	XP_017796333.1	XP_001651437.2
OG0000749	XP_017789611.1	XP_001658020.2, XP_021693932.1
OG0000750	XP_017793419.1	XP_021697452.1, XP_021697454.1, XP_021697453.1, XP_021697456.1, XP_021697459.1, XP_021697460.1, XP_021697457.1, XP_021697458.1, XP_021697455.1
OG0000751	XP_017787897.1	XP_021711925.1, XP_021699594.1
OG0000752	XP_017798489.1	XP_021709991.1, XP_001658559.1
OG0000753	XP_017787431.1	XP_021693406.1, XP_021693405.1, XP_021693404.1, XP_021693407.1, XP_021693408.1
OG0000754	XP_017794019.1, XP_017791818.1	XP_021693782.1
OG0000755	XP_017793840.1	XP_001649514.2
OG0000757	XP_017796135.1	XP_021701862.1, XP_021701864.1, XP_021701865.1, XP_021701860.1, XP_021701863.1, XP_021701861.1
OG0000758	XP_017796138.1, XP_017793427.1	XP_001660380.1
OG0000759	XP_017795003.1	XP_001651726.1, XP_001651725.1
OG0000760	XP_017794333.1	XP_001654546.2, XP_021693457.1, XP_021693459.1, XP_021693458.1
OG0000761	XP_017798069.1	XP_021703326.1, XP_021703325.1
OG0000762	XP_017790187.1	XP_021711578.1, XP_021711577.1, XP_021711579.1, XP_021711576.1
OG0000765	XP_017797887.1	XP_001651346.2
OG0000766	XP_017790842.1, XP_017790844.1	XP_021693801.1, XP_021693804.1, XP_021693803.1
OG0000767	XP_017795646.1	XP_021699700.1, XP_021699704.1
OG0000768	XP_017793461.1	XP_001649142.1
OG0000769	XP_017798302.1	XP_021700883.1
OG0000770	XP_017798582.1	XP_021705629.1
OG0000771	XP_017790168.1	XP_021695140.1, XP_021695138.1, XP_021695139.1, XP_021695136.1, XP_021695137.1, XP_021695133.1, XP_021695135.1, XP_021695132.1, XP_021695131.1, XP_001663841.2
OG0000772	XP_017788367.1	XP_021711611.1
OG0000773	XP_017795573.1	XP_021710932.1, XP_021710938.1, XP_021710937.1, XP_021710936.1, XP_021710935.1, XP_021710934.1, XP_001653446.1
OG0000774	XP_017789946.1	XP_001662478.2
OG0000775	XP_017795570.1, XP_017795569.1	XP_001663177.1, XP_021709658.1
OG0000777	XP_017797815.1, XP_017797814.1	XP_001653698.2, XP_021701199.1
OG0000778	XP_017792090.1	XP_001658605.1, XP_021697400.1, XP_021697401.1
OG0000779	XP_017793240.1	XP_021693680.1, XP_021693679.1, XP_021693682.1, XP_021693681.1, XP_021693677.1
OG0000780	XP_017789834.1	XP_021698236.1, XP_021698235.1
OG0000781	XP_017789404.1	XP_021704575.1, XP_021704574.1, XP_021704576.1
OG0000782	XP_017791089.1	XP_021705044.1
OG0000783	XP_017796219.1	XP_021711314.1, XP_021711312.1, XP_021711313.1
OG0000785	XP_017798803.1, XP_017798801.1, XP_017798804.1	XP_001648679.1, XP_001661611.2, XP_021697236.1, XP_021697237.1, XP_021697238.1, XP_021697239.1, XP_021697241.1
OG0000786	XP_017798383.1, XP_017798384.1	XP_001649965.1
OG0000787	XP_017791924.1	XP_001650234.1, XP_021693140.1
OG0000789	XP_017790180.1	XP_021710561.1, XP_021710560.1, XP_001659460.1
OG0000790	XP_017796319.1	XP_021694745.1
OG0000791	XP_017798342.1	XP_021711711.1
OG0000795	XP_017795189.1	XP_021701536.1
OG0000796	XP_017798209.1	XP_001652294.1
OG0000797	XP_017794086.1	XP_001654818.1
OG0000798	XP_017788566.1	XP_001651286.2
OG0000799	XP_017794371.1	XP_021703821.1, XP_001650264.1
OG0000800	XP_017794614.1	XP_001654814.1, XP_001654518.1, XP_001654517.1, XP_021709313.1, XP_021709312.1, XP_001652729.1, XP_001652728.1, XP_021693345.1, XP_001648938.1
OG0000801	XP_017793584.1	XP_021700978.1
OG0000801	XP_017792734.1	XP_021694725.1
OG0000802	XP_017790502.1	XP_021696602.1, XP_021696601.1, XP_021696603.1, XP_021696600.1
OG0000803	XP_017790866.1	XP_021696207.1, XP_001651092.2
OG0000804	XP_017790128.1, XP_017790130.1, XP_017790129.1	XP_001648786.1
OG0000805	XP_017797843.1	XP_021694562.1
OG0000806	XP_017797313.1	XP_021699241.1
OG0000807	XP_017792601.1, XP_017792600.1	XP_021708417.1
OG0000808	XP_017793900.1	XP_001653176.2
OG0000809	XP_017795579.1	XP_021711664.1, XP_021711648.1, XP_021711665.1
OG0000810	XP_017791353.1, XP_017791352.1	XP_001663023.1
OG0000811	XP_017790591.1	XP_021693898.1, XP_021693897.1, XP_021693896.1, XP_001650328.2
OG0000812	XP_017794184.1, XP_017788065.1	XP_021712474.1, XP_001650653.2
OG0000813	XP_017798434.1	XP_021710986.1, XP_021709626.1, XP_021701770.1, XP_021701765.1, XP_001652746.2
OG0000814	XP_017795341.1	XP_021702253.1
OG0000814	XP_017795334.1	XP_021702248.1, XP_021702251.1, XP_021702250.1, XP_021702249.1
OG0000815	XP_017799353.1, XP_017799352.1, XP_017799351.1, XP_017799349.1, XP_017799350.1	XP_021697473.1, XP_021697483.1
OG0000816	XP_017789819.1	XP_021700413.1, XP_021700426.1, XP_021700424.1, XP_021700423.1, XP_021700422.1, XP_021700421.1, XP_021700420.1, XP_021700418.1, XP_021700419.1, XP_021700414.1, XP_021700415.1, XP_021700416.1, XP_021700411.1, XP_021700412.1, XP_021700417.1, XP_021700425.1
OG0000817	XP_017788607.1	XP_001662510.3, XP_021709841.1, XP_021709842.1
OG0000819	XP_017796342.1, XP_017796340.1	XP_021698532.1, XP_021698523.1
OG0000820	XP_017796776.1, XP_017796777.1, XP_017796779.1, XP_017796778.1, XP_017796780.1	XP_021708390.1
OG0000821	XP_017790091.1	XP_001654202.2
OG0000822	XP_017794554.1, XP_017794541.1	XP_021693835.1, XP_021693834.1, XP_021693829.1, XP_021693833.1, XP_021693832.1, XP_021693831.1, XP_021693830.1
OG0000824	XP_017797967.1, XP_017791560.1	XP_021705882.1
OG0000825	XP_017794330.1	XP_001661591.1, XP_001661590.1
OG0000826	XP_017790818.1	XP_021705396.1, XP_001647887.1, XP_021705397.1
OG0000827	XP_017793877.1	XP_021712431.1, XP_021696096.1
OG0000828	XP_017789131.1	XP_001648136.1, XP_021712398.1
OG0000829	XP_017791408.1	XP_001658891.1
OG0000830	XP_017789464.1	XP_001659249.1
OG0000831	XP_017794412.1	XP_021709176.1, XP_021709173.1, XP_021709174.1, XP_021709175.1
OG0000832	XP_017792701.1	XP_021706142.1
OG0000833	XP_017787665.1	XP_021701250.1
OG0000835	XP_017791391.1	XP_001652709.2
OG0000836	XP_017787771.1	XP_021709808.1
OG0000837	XP_017791216.1	XP_021703515.1
OG0000838	XP_017798799.1	XP_021711771.1, XP_021711770.1, XP_021702877.1
OG0000839	XP_017793416.1	XP_001659467.2
OG0000840	XP_017792356.1	XP_001659498.2, XP_021709111.1
OG0000841	XP_017789910.1	XP_021698052.1, XP_021698051.1, XP_001658125.1, XP_001658124.1, XP_001658126.1, XP_001658123.1, XP_001654244.1, XP_001654245.2, XP_021713213.1
OG0000842	XP_017790762.1	XP_021700554.1, XP_021701284.1, XP_021701285.1, XP_021701286.1, XP_001654876.1, XP_021701287.1
OG0000843	XP_017792435.1	XP_021709907.1, XP_001660150.2, XP_021699938.1
OG0000844	XP_017787653.1	XP_021702806.1
OG0000849	XP_017795463.1	XP_021706608.1, XP_001654857.1, XP_001654856.1
OG0000850	XP_017794651.1, XP_017794650.1	XP_021700401.1, XP_021700402.1, XP_021700403.1
OG0000851	XP_017791206.1	XP_021707129.1
OG0000852	XP_017788266.1	XP_021708781.1
OG0000853	XP_017798444.1	XP_001660390.1
OG0000854	XP_017796481.1	XP_021703073.1, XP_021705114.1, XP_021705059.1, XP_021705001.1
OG0000855	XP_017788182.1	XP_021695372.1, XP_021695373.1
OG0000856	XP_017791336.1	XP_001663005.2
OG0000857	XP_017797062.1	XP_021712663.1, XP_001659917.1
OG0000858	XP_017794690.1	XP_011493174.1, XP_021704948.1
OG0000859	XP_017799081.1	XP_021708245.1, XP_021708244.1, XP_021708243.1, XP_021708404.1
OG0000860	XP_017789453.1	XP_001656757.2
OG0000861	XP_017788276.1, XP_017788273.1, XP_017788272.1, XP_017788275.1, XP_017788274.1, XP_017788271.1	XP_021699033.1, XP_001654492.2, XP_021699032.1
OG0000863	XP_017791270.1	XP_021711806.1, XP_021711828.1, XP_021711821.1, XP_021711815.1
OG0000864	XP_017788658.1	XP_001654191.2
OG0000865	XP_017792139.1	XP_021693445.1
OG0000866	XP_017791388.1	XP_021713171.1, XP_021713174.1, XP_021713172.1
OG0000867	XP_017795655.1	XP_021696900.1
OG0000868	XP_017787643.1	XP_021708415.1
OG0000870	XP_017799531.1	XP_021709637.1
OG0000871	XP_017798819.1	XP_021705667.1
OG0000872	XP_017797844.1	XP_021701784.1, XP_021701794.1, XP_021701771.1, XP_021701766.1, XP_021701804.1, XP_021701779.1
OG0000873	XP_017796881.1	XP_001651410.1, XP_001651411.2, XP_021703510.1
OG0000875	XP_017788828.1, XP_017788827.1	XP_021696370.1, XP_021696368.1
OG0000876	XP_017791166.1	XP_001661220.1, XP_021709052.1
OG0000877	XP_017788864.1	XP_001659194.1
OG0000878	XP_017798834.1	XP_001647568.1
OG0000879	XP_017797065.1	XP_021707480.1, XP_021704605.1
OG0000880	XP_017787990.1, XP_017787991.1	XP_001652873.1, XP_021701656.1, XP_021701658.1, XP_021701657.1, XP_021701652.1
OG0000880	XP_017798573.1	XP_021695777.1
OG0000881	XP_017793928.1	XP_001661364.1
OG0000883	XP_017794762.1	XP_021708167.1, XP_021708166.1, XP_021708168.1, XP_021708169.1, XP_021708170.1
OG0000884	XP_017794774.1	XP_021705057.1, XP_021705058.1
OG0000885	XP_017793864.1	XP_001655440.2
OG0000886	XP_017794728.1	XP_021709848.1
OG0000887	XP_017795424.1, XP_017795488.1	XP_001663800.2
OG0000888	XP_017799552.1	XP_021704185.1, XP_001653340.1, XP_001653339.1
OG0000890	XP_017796104.1	XP_021709688.1, XP_021709735.1, XP_021709693.1, XP_021709715.1, XP_021709702.1, XP_021709672.1, XP_021709725.1, XP_021709721.1, XP_021709747.1, XP_021709681.1, XP_021709731.1, XP_021709706.1, XP_021709759.1, XP_021709740.1, XP_021709752.1
OG0000892	XP_017795815.1, XP_017792347.1	XP_021713340.1
OG0000893	XP_017792550.1	XP_001657630.2
OG0000894	XP_017789694.1	XP_021696518.1
OG0000895	XP_017791742.1, XP_017791684.1	XP_021699140.1
OG0000896	XP_017792900.1	XP_021710162.1, XP_021703460.1, XP_021703463.1, XP_021703461.1
OG0000897	XP_017791029.1	XP_001662174.2
OG0000899	XP_017790922.1	XP_021707713.1
OG0000900	XP_017792426.1	XP_001659953.1, XP_001659954.2, XP_021697143.1, XP_021697141.1, XP_021697142.1, XP_021697140.1, XP_001660178.2, XP_001659951.1
OG0000901	XP_017798913.1	XP_021702705.1
OG0000903	XP_017787356.1	XP_021706437.1, XP_021706438.1, XP_021706439.1
OG0000905	XP_017792229.1	XP_001648294.1, XP_021705206.1
OG0000906	XP_017797468.1	XP_001654884.2
OG0000906	XP_017797952.1	XP_021699355.1
OG0000908	XP_017789831.1	XP_021698245.1, XP_021698243.1, XP_021698246.1, XP_001662247.2
OG0000909	XP_017798026.1	XP_011493717.1
OG0000910	XP_017788975.1	XP_021699295.1, XP_021699294.1, XP_021696190.1, XP_021696195.1, XP_021696193.1, XP_021696194.1
OG0000911	XP_017797725.1	XP_021696334.1, XP_021711908.1
OG0000912	XP_017791769.1	XP_021705223.1
OG0000914	XP_017799539.1	XP_021695121.1, XP_021695120.1
OG0000915	XP_017795981.1	XP_021703472.1, XP_011493087.1, XP_011493088.2
OG0000917	XP_017789717.1, XP_017789715.1, XP_017789716.1, XP_017789720.1, XP_017789718.1, XP_017789719.1	XP_021712600.1, XP_001651262.1
OG0000918	XP_017790282.1	XP_021696791.1, XP_001651544.1, XP_001651406.2, XP_001652677.1
OG0000919	XP_017795263.1	XP_001650507.1
OG0000920	XP_017797072.1, XP_017797132.1	XP_001659681.1
OG0000921	XP_017793845.1	XP_001661823.1
OG0000922	XP_017791118.1	XP_001657891.1
OG0000923	XP_017792555.1	XP_021697826.1
OG0000924	XP_017788050.1	XP_001660574.2, XP_021697628.1, XP_021697623.1, XP_021697622.1, XP_021697627.1, XP_021697626.1, XP_021697625.1, XP_021697624.1
OG0000925	XP_017799190.1, XP_017799188.1	XP_021710049.1, XP_021710050.1
OG0000927	XP_017796507.1	XP_001657339.1, XP_021706325.1, XP_021712812.1, XP_011493775.1, XP_021706322.1, XP_021706327.1
OG0000928	XP_017791611.1	XP_021707077.1, XP_021707078.1, XP_021707081.1, XP_021707082.1, XP_021707079.1, XP_021707080.1, XP_021707089.1, XP_021707085.1, XP_021707086.1, XP_021707087.1, XP_021707088.1, XP_021707084.1, XP_021707083.1
OG0000929	XP_017796620.1	XP_001663815.1
OG0000930	XP_017788579.1	XP_021699375.1
OG0000931	XP_017793528.1	XP_021695975.1
OG0000931	XP_017793527.1	XP_001657117.1
OG0000932	XP_017789549.1	XP_001656538.2, XP_021712586.1, XP_021711315.1, XP_021712583.1, XP_021712584.1
OG0000933	XP_017787846.1, XP_017799340.1	XP_001655641.2, XP_001649752.1
OG0000934	XP_017790788.1	XP_021698591.1, XP_021698590.1, XP_001653285.1
OG0000936	XP_017795640.1	XP_021699967.1
OG0000937	XP_017798863.1	XP_001661565.1
OG0000938	XP_017787520.1, XP_017787517.1, XP_017787518.1, XP_017787519.1	XP_021706045.1
OG0000941	XP_017790927.1	XP_021710750.1
OG0000942	XP_017795878.1	XP_021705490.1, XP_021705489.1, XP_021705488.1, XP_021705491.1, XP_021705493.1, XP_021705492.1
OG0000943	XP_017796651.1	XP_001649963.1
OG0000944	XP_017797688.1	XP_021708364.1, XP_001656408.1
OG0000945	XP_017789836.1, XP_017789835.1	XP_001656804.2, XP_021710330.1, XP_021710331.1, XP_021710333.1, XP_021710332.1
OG0000946	XP_017788729.1	XP_001649593.2
OG0000947	XP_017796699.1	XP_021693086.1, XP_021693089.1
OG0000948	XP_017794693.1	XP_001661146.1
OG0000949	XP_017789117.1, XP_017789116.1	XP_001652261.2
OG0000950	XP_017793232.1	XP_001659287.1, XP_021702711.1
OG0000951	XP_017799603.1	XP_011493172.2, XP_021699239.1
OG0000952	XP_017795522.1	XP_001650545.1, XP_021710285.1, XP_021710288.1, XP_021710289.1, XP_021710286.1
OG0000954	XP_017797582.1, XP_017797583.1	XP_021706595.1
OG0000955	XP_017787878.1	XP_021708583.1, XP_021705459.1, XP_021706039.1, XP_001648122.2
OG0000957	XP_017797990.1	XP_021704110.1
OG0000958	XP_017798180.1	XP_021705705.1, XP_021705704.1
OG0000959	XP_017793923.1, XP_017792258.1	XP_021701483.1
OG0000960	XP_017793594.1	XP_001660868.1, XP_021697034.1
OG0000961	XP_017797670.1	XP_021709272.1
OG0000962	XP_017788037.1	XP_021695937.1, XP_021695945.1
OG0000963	XP_017795718.1	XP_021709029.1
OG0000964	XP_017787929.1, XP_017788004.1	XP_021710052.1, XP_021710051.1
OG0000965	XP_017791269.1	XP_021697790.1, XP_021697783.1
OG0000966	XP_017795082.1	XP_021697003.1, XP_021712420.1
OG0000967	XP_017798234.1, XP_017798235.1	XP_001658537.1, XP_021696660.1
OG0000968	XP_017799341.1, XP_017799342.1	XP_021698741.1
OG0000969	XP_017795682.1	XP_001658856.2
OG0000970	XP_017793149.1	XP_021711849.1, XP_001651929.1
OG0000971	XP_017791832.1	XP_001653661.2, XP_001653662.2, XP_001653663.2
OG0000972	XP_017793369.1, XP_017793370.1	XP_021702148.1
OG0000974	XP_017797705.1	XP_021702688.1, XP_021702695.1, XP_021702707.1
OG0000975	XP_017796312.1	XP_021709197.1, XP_021709223.1, XP_021709213.1, XP_021709188.1
OG0000976	XP_017789132.1	XP_001648945.2
OG0000977	XP_017793677.1, XP_017793679.1, XP_017793678.1	XP_001662477.2, XP_021694110.1
OG0000978	XP_017797450.1	XP_021694981.1, XP_021712432.1, XP_021698446.1
OG0000980	XP_017793379.1	XP_021706413.1, XP_021701414.1, XP_021701415.1, XP_021698901.1
OG0000981	XP_017796495.1	XP_021704766.1
OG0000982	XP_017790225.1	XP_021711586.1, XP_021711584.1, XP_021711589.1, XP_021711590.1, XP_021711587.1, XP_021711588.1, XP_021711591.1, XP_021711592.1, XP_021711595.1, XP_021711593.1, XP_021711582.1, XP_021711581.1, XP_021711585.1, XP_021711594.1
OG0000983	XP_017788666.1	XP_021710716.1
OG0000984	XP_017795772.1	XP_021700789.1
OG0000984	XP_017795771.1	XP_021700790.1
OG0000985	XP_017793899.1	XP_021699811.1, XP_021699812.1, XP_021699813.1, XP_021699814.1, XP_001658285.1
OG0000987	XP_017788248.1, XP_017794456.1	XP_001652618.1
OG0000988	XP_017793163.1	XP_021692998.1, XP_021692997.1
OG0000989	XP_017788941.1, XP_017788944.1	XP_021693313.1
OG0000990	XP_017798046.1	XP_021705871.1, XP_021712621.1
OG0000992	XP_017788843.1, XP_017788842.1	XP_001653792.1
OG0000993	XP_017790440.1, XP_017790439.1	XP_001657349.1, XP_021712573.1
OG0000994	XP_017787743.1, XP_017787742.1	XP_021712595.1, XP_001656483.2
OG0000995	XP_017793902.1	XP_001662013.1
OG0000996	XP_017798002.1	XP_001651556.2, XP_001651557.2, XP_021712254.1, XP_021712255.1
OG0000997	XP_017790667.1	XP_001652880.1
OG0000997	XP_017790718.1	XP_001653426.2
OG0000998	XP_017796896.1	XP_001648735.1, XP_001659667.2, XP_021694971.1, XP_021694972.1
OG0000999	XP_017797216.1, XP_017799499.1, XP_017799501.1	XP_001660745.2, XP_001660748.2
OG0001000	XP_017794216.1	XP_001659938.2
OG0001001	XP_017792720.1, XP_017796721.1	XP_021696850.1, XP_001650605.1
OG0001002	XP_017793561.1	XP_001656815.1, XP_001648854.1
OG0001003	XP_017790012.1	XP_021698403.1, XP_001652606.1
OG0001004	XP_017789906.1	XP_021697696.1
OG0001005	XP_017794612.1	XP_001654066.1
OG0001006	XP_017792828.1	XP_021713406.1
OG0001007	XP_017798760.1	XP_021710083.1
OG0001008	XP_017792993.1	XP_011493242.2, XP_021700400.1
OG0001009	XP_017791086.1	XP_001660190.2
OG0001009	XP_017793159.1	XP_021702837.1
OG0001010	XP_017792233.1	XP_021703789.1, XP_021703788.1, XP_021703790.1, XP_021703785.1, XP_021703784.1, XP_021703787.1, XP_021703786.1
OG0001011	XP_017787472.1	XP_001661560.2
OG0001013	XP_017794724.1	XP_021699192.1
OG0001014	XP_017794470.1	XP_021705253.1
OG0001015	XP_017792510.1	XP_021713139.1
OG0001016	XP_017799271.1, XP_017793345.1	XP_001651894.1
OG0001017	XP_017797250.1	XP_021695035.1, XP_021695037.1, XP_021695038.1
OG0001018	XP_017797462.1	XP_021705853.1
OG0001019	XP_017793134.1	XP_021697833.1
OG0001020	XP_017789381.1, XP_017789380.1	XP_021700258.1
OG0001022	XP_017799605.1, XP_017799476.1	XP_021712919.1, XP_021709106.1
OG0001023	XP_017793074.1	XP_021705791.1
OG0001025	XP_017789768.1	XP_021710356.1, XP_021710355.1, XP_021710346.1, XP_021710347.1, XP_021710344.1, XP_021710345.1, XP_021710350.1, XP_021710351.1, XP_021710348.1, XP_021710354.1, XP_021710353.1, XP_021710352.1, XP_021710349.1, XP_021710343.1
OG0001026	XP_017793169.1	XP_001651472.2
OG0001027	XP_017790747.1	XP_001659550.1
OG0001028	XP_017796441.1, XP_017797428.1	XP_001648922.2
OG0001030	XP_017794691.1	XP_021705111.1
OG0001031	XP_017799348.1	XP_001647991.1
OG0001033	XP_017794185.1	XP_021697350.1, XP_001656170.2
OG0001034	XP_017790815.1	XP_001652910.1
OG0001035	XP_017798930.1	XP_001649392.1
OG0001036	XP_017795616.1, XP_017795677.1	XP_001658441.1
OG0001037	XP_017790430.1, XP_017790431.1	XP_021709959.1, XP_021709949.1, XP_021709968.1, XP_001654907.2
OG0001038	XP_017792175.1	XP_001657802.1
OG0001039	XP_017796826.1	XP_021704117.1, XP_001659756.2
OG0001040	XP_017799164.1	XP_001657084.1
OG0001041	XP_017789061.1	XP_021704065.1, XP_021704062.1, XP_021704064.1, XP_021704063.1, XP_001649235.1
OG0001042	XP_017789326.1, XP_017789408.1	XP_021695487.1, XP_021712349.1
OG0001043	XP_017792310.1	XP_021695359.1, XP_021695362.1
OG0001044	XP_017791575.1, XP_017795362.1	XP_021695598.1
OG0001045	XP_017790179.1	XP_021700792.1
OG0001046	XP_017791432.1	XP_021707939.1
OG0001048	XP_017795776.1	XP_021696480.1
OG0001049	XP_017794343.1	XP_021695688.1, XP_021695674.1, XP_021695699.1
OG0001050	XP_017790303.1, XP_017790304.1	XP_021704146.1
OG0001052	XP_017795354.1	XP_021694352.1, XP_021694362.1, XP_021694354.1, XP_021694356.1, XP_021694358.1, XP_021694360.1, XP_001654045.2, XP_021694374.1, XP_021694366.1, XP_021694350.1, XP_021694349.1, XP_021694370.1, XP_021694371.1, XP_021694380.1
OG0001053	XP_017793455.1, XP_017797131.1	XP_021695848.1
OG0001054	XP_017798355.1	XP_001653734.1
OG0001055	XP_017788782.1	XP_021708066.1
OG0001056	XP_017798040.1	XP_001648788.1
OG0001057	XP_017790819.1	XP_021712770.1, XP_021708993.1
OG0001058	XP_017793882.1	XP_001658030.3
OG0001059	XP_017792663.1, XP_017787398.1	XP_001653804.1
OG0001060	XP_017798068.1	XP_021707337.1, XP_021707336.1, XP_021707325.1, XP_021707326.1, XP_021707327.1, XP_021707328.1, XP_021707329.1, XP_021707330.1, XP_021707331.1, XP_021707332.1, XP_021707334.1, XP_021707335.1, XP_001661251.2, XP_021707333.1
OG0001061	XP_017790776.1, XP_017790768.1	XP_021698780.1
OG0001062	XP_017794836.1	XP_021707750.1, XP_021701069.1
OG0001063	XP_017796567.1, XP_017789033.1	XP_021705756.1
OG0001064	XP_017790366.1, XP_017795419.1	XP_021707107.1, XP_021712915.1, XP_001652913.1
OG0001065	XP_017790514.1, XP_017790523.1	XP_021698754.1, XP_021698753.1
OG0001066	XP_017793380.1	XP_021703827.1
OG0001067	XP_017793086.1, XP_017793087.1	XP_001664063.1, XP_021699345.1, XP_021699344.1
OG0001068	XP_017792027.1	XP_021696931.1, XP_021696940.1
OG0001069	XP_017797696.1	XP_001654715.2
OG0001070	XP_017799386.1	XP_021694239.1, XP_021712516.1, XP_021712488.1, XP_021697806.1, XP_021710600.1, XP_021708477.1, XP_001664118.2, XP_001664116.2
OG0001071	XP_017796974.1	XP_021708458.1
OG0001072	XP_017788781.1, XP_017788753.1	XP_001659014.2
OG0001073	XP_017799416.1, XP_017799418.1	XP_001648274.2
OG0001074	XP_017788486.1	XP_001649270.2
OG0001076	XP_017789934.1	XP_001655001.1
OG0001077	XP_017787604.1	XP_001658071.1
OG0001078	XP_017792576.1	XP_001659802.1, XP_001659805.1
OG0001079	XP_017790812.1	XP_001662144.1
OG0001081	XP_017794598.1	XP_021697847.1, XP_021697844.1, XP_021697843.1, XP_021697842.1, XP_021697841.1, XP_021697840.1, XP_021697839.1, XP_021697838.1, XP_021697837.1, XP_021697836.1, XP_021697846.1, XP_021697835.1
OG0001082	XP_017799383.1	XP_021698350.1, XP_021698352.1, XP_021698351.1, XP_021698353.1, XP_021698354.1, XP_021698355.1, XP_021698356.1, XP_021698357.1, XP_021712464.1
OG0001083	XP_017794732.1	XP_021698377.1
OG0001084	XP_017797736.1	XP_021699510.1, XP_021699509.1, XP_021699508.1, XP_021699507.1, XP_021699506.1, XP_021699505.1, XP_021699504.1, XP_021699503.1, XP_021699499.1, XP_021699497.1, XP_021699498.1, XP_021699501.1, XP_021699502.1, XP_021699511.1, XP_021712245.1
OG0001085	XP_017789773.1	XP_021702814.1
OG0001086	XP_017798124.1	XP_021708980.1
OG0001090	XP_017798240.1	XP_021695122.1, XP_001656254.2
OG0001091	XP_017790227.1	XP_021713022.1, XP_001654186.1, XP_001654185.1
OG0001092	XP_017791777.1	XP_001656078.2
OG0001093	XP_017791608.1	XP_021712436.1, XP_021700841.1
OG0001094	XP_017788348.1	XP_021707147.1, XP_001657391.1
OG0001095	XP_017788406.1	XP_001653701.1, XP_001653700.1
OG0001096	XP_017798306.1	XP_001658255.2
OG0001097	XP_017789927.1	XP_001648346.1
OG0001098	XP_017792425.1	XP_001663379.2
OG0001099	XP_017788691.1	XP_021706284.1, XP_021712729.1
OG0001100	XP_017796785.1	XP_001657489.1
OG0001101	XP_017793448.1	XP_021709309.1, XP_001653266.2, XP_021710599.1
OG0001102	XP_017797114.1, XP_017797120.1, XP_017797128.1	XP_001650617.1, XP_001650616.1
OG0001103	XP_017787457.1	XP_021700253.1, XP_021700254.1, XP_001656670.1
OG0001104	XP_017792186.1, XP_017792187.1	XP_001659382.1
OG0001105	XP_017796391.1, XP_017788405.1	XP_021706344.1, XP_001658060.1, XP_021712605.1, XP_001660658.2
OG0001106	XP_017790070.1, XP_017790069.1, XP_017790068.1, XP_017790067.1	XP_001652532.1
OG0001107	XP_017787476.1, XP_017787477.1	XP_001651390.1
OG0001108	XP_017787438.1	XP_001655181.1
OG0001109	XP_017799546.1	XP_001653053.1, XP_021710517.1, XP_021710518.1, XP_021710515.1, XP_021710516.1, XP_021710514.1
OG0001110	XP_017793395.1	XP_001652233.2, XP_021704703.1, XP_021704704.1, XP_021704705.1, XP_001656911.2
OG0001111	XP_017799217.1	XP_001649510.2
OG0001112	XP_017795314.1	XP_001651512.1
OG0001113	XP_017796065.1	XP_001651817.1
OG0001114	XP_017793961.1	XP_021705221.1, XP_021705222.1, XP_021705217.1, XP_021705218.1, XP_021705219.1, XP_021705220.1, XP_001650167.2
OG0001115	XP_017794095.1	XP_021713246.1
OG0001116	XP_017790868.1	XP_021712421.1, XP_021694799.1
OG0001117	XP_017791612.1	XP_021705905.1
OG0001118	XP_017792580.1, XP_017792579.1	XP_021707148.1
OG0001119	XP_017790278.1	XP_001648381.1
OG0001120	XP_017790307.1	XP_001661053.1
OG0001120	XP_017790323.1	XP_001650112.2
OG0001121	XP_017798993.1	XP_001652212.1, XP_021705915.1
OG0001122	XP_017792702.1	XP_021709578.1, XP_021709577.1, XP_021709580.1, XP_021709579.1, XP_021709583.1, XP_021709581.1, XP_021709584.1
OG0001123	XP_017796328.1	XP_001661722.1, XP_021693018.1, XP_021693021.1, XP_021693019.1, XP_021693020.1
OG0001124	XP_017795466.1	XP_021710981.1
OG0001125	XP_017792006.1	XP_001648386.2
