Orthogroup	Habropoda_laboriosa	Megalopta_genalis
OG0001778	XP_017795229.1	XP_033325625.1
OG0001779	XP_017793884.1	XP_033331694.1
OG0001780	XP_017798572.1	XP_033336217.1
OG0001781	XP_017797368.1	XP_033333357.1
OG0001782	XP_017792078.1	XP_033340424.1, XP_033340425.1, XP_033340426.1, XP_033340421.1, XP_033340422.1, XP_033340423.1
OG0001783	XP_017795149.1	XP_033340312.1
OG0001784	XP_017798029.1	XP_033337484.1
OG0001785	XP_017797199.1, XP_017797200.1	XP_033332190.1, XP_033332191.1
OG0001786	XP_017795373.1	XP_033340093.1
OG0001787	XP_017791838.1	XP_033325473.1, XP_033325474.1
OG0001788	XP_017798997.1	XP_033328800.1, XP_033328801.1, XP_033328799.1
OG0001789	XP_017790648.1	XP_033339270.1
OG0001790	XP_017787502.1, XP_017787516.1	XP_033340405.1
OG0001791	XP_017790506.1, XP_017790507.1	XP_033321506.1
OG0001792	XP_017791405.1	XP_033335272.1, XP_033335274.1
OG0001793	XP_017789159.1	XP_033322777.1, XP_033322778.1, XP_033322775.1, XP_033322776.1, XP_033322779.1
OG0001794	XP_017790352.1	XP_033338249.1, XP_033338250.1
OG0001795	XP_017788678.1	XP_033328261.1
OG0001796	XP_017794875.1	XP_033339909.1, XP_033326366.1
OG0001797	XP_017794907.1	XP_033321346.1
OG0001799	XP_017798101.1	XP_033336893.1
OG0001800	XP_017788341.1	XP_033341184.1, XP_033341185.1, XP_033341183.1
OG0001801	XP_017793223.1	XP_033322697.1
OG0001802	XP_017788416.1	XP_033342032.1
OG0001803	XP_017798289.1	XP_033338050.1
OG0001804	XP_017788661.1, XP_017788660.1	XP_033328045.1, XP_033328044.1
OG0001805	XP_017798644.1	XP_033336397.1
OG0001806	XP_017790958.1	XP_033341086.1
OG0001807	XP_017788285.1	XP_033340194.1
OG0001808	XP_017796496.1	XP_033341843.1
OG0001809	XP_017794298.1	XP_033331854.1, XP_033331835.1, XP_033331845.1
OG0001810	XP_017790447.1, XP_017790446.1	XP_033332827.1
OG0001811	XP_017789341.1	XP_033341019.1
OG0001812	XP_017788724.1	XP_033321917.1
OG0001813	XP_017794048.1	XP_033337360.1
OG0001814	XP_017790229.1	XP_033325836.1, XP_033325833.1
OG0001816	XP_017794366.1	XP_033339115.1, XP_033339116.1
OG0001817	XP_017787541.1	XP_033338408.1
OG0001818	XP_017788560.1	XP_033324037.1, XP_033324036.1
OG0001819	XP_017796381.1	XP_033336925.1
OG0001820	XP_017796387.1, XP_017793841.1	XP_033337108.1
OG0001821	XP_017794565.1	XP_033328769.1, XP_033328770.1
OG0001822	XP_017790143.1	XP_033333045.1, XP_033333043.1, XP_033333041.1, XP_033333048.1, XP_033333042.1, XP_033333047.1, XP_033333046.1
OG0001823	XP_017795882.1	XP_033324872.1
OG0001825	XP_017796474.1	XP_033342028.1, XP_033322495.1, XP_033322496.1
OG0001826	XP_017792044.1	XP_033332327.1
OG0001827	XP_017790702.1	XP_033339261.1
OG0001828	XP_017792068.1	XP_033340413.1, XP_033340412.1
OG0001830	XP_017796097.1	XP_033337253.1
OG0001831	XP_017798675.1	XP_033335982.1
OG0001832	XP_017796598.1	XP_033342646.1, XP_033342636.1
OG0001833	XP_017795836.1	XP_033320819.1
OG0001834	XP_017792894.1, XP_017792893.1	XP_033334784.1, XP_033334783.1
OG0001835	XP_017788160.1	XP_033323101.1
OG0001836	XP_017787972.1	XP_033336701.1
OG0001837	XP_017793084.1	XP_033342830.1
OG0001838	XP_017792110.1	XP_033340650.1
OG0001839	XP_017798036.1	XP_033336632.1, XP_033336622.1
OG0001840	XP_017796094.1	XP_033337232.1
OG0001841	XP_017795639.1	XP_033321309.1
OG0001843	XP_017791221.1	XP_033331786.1
OG0001844	XP_017797809.1	XP_033336659.1, XP_033336660.1
OG0001845	XP_017799544.1	XP_033332610.1
OG0001846	XP_017793705.1	XP_033328152.1
OG0001847	XP_017791488.1	XP_033330093.1, XP_033330094.1
OG0001848	XP_017794301.1	XP_033329418.1
OG0001849	XP_017798891.1	XP_033333140.1
OG0001850	XP_017797754.1, XP_017797753.1	XP_033330793.1
OG0001851	XP_017794948.1	XP_033338488.1, XP_033338487.1, XP_033338486.1
OG0001852	XP_017793405.1	XP_033343065.1, XP_033343064.1, XP_033343063.1, XP_033343062.1, XP_033343066.1
OG0001853	XP_017790883.1	XP_033325669.1, XP_033325670.1
OG0001855	XP_017791362.1	XP_033331359.1
OG0001856	XP_017794392.1	XP_033338084.1
OG0001857	XP_017795724.1	XP_033339986.1
OG0001858	XP_017788813.1	XP_033330211.1
OG0001859	XP_017789873.1	XP_033334191.1
OG0001860	XP_017791733.1	XP_033329838.1
OG0001861	XP_017790754.1	XP_033324078.1
OG0001862	XP_017793258.1	XP_033322706.1
OG0001863	XP_017791154.1, XP_017791153.1	XP_033327491.1, XP_033327490.1
OG0001864	XP_017796198.1	XP_033339863.1
OG0001865	XP_017792067.1	XP_033333139.1, XP_033333147.1
OG0001866	XP_017798718.1	XP_033336383.1
OG0001867	XP_017789784.1	XP_033332172.1, XP_033332173.1
OG0001868	XP_017793065.1	XP_033334802.1
OG0001869	XP_017793537.1	XP_033321176.1
OG0001870	XP_017789092.1, XP_017789091.1	XP_033322633.1
OG0001871	XP_017793734.1	XP_033327724.1, XP_033327723.1
OG0001872	XP_017794257.1	XP_033322140.1
OG0001873	XP_017798861.1	XP_033329258.1
OG0001874	XP_017793733.1	XP_033327725.1
OG0001875	XP_017791620.1	XP_033324785.1, XP_033324782.1, XP_033324784.1
OG0001876	XP_017794660.1	XP_033332288.1
OG0001877	XP_017795894.1	XP_033324617.1, XP_033324614.1, XP_033324618.1
OG0001878	XP_017794841.1	XP_033338500.1
OG0001879	XP_017796154.1	XP_033339056.1
OG0001880	XP_017790601.1	XP_033333133.1, XP_033333136.1
OG0001881	XP_017797470.1	XP_033333843.1
OG0001882	XP_017788444.1	XP_033342020.1
OG0001883	XP_017792086.1	XP_033331959.1, XP_033331958.1
OG0001884	XP_017795759.1	XP_033328220.1
OG0001885	XP_017787749.1	XP_033341144.1, XP_033341154.1, XP_033341161.1
OG0001886	XP_017798065.1	XP_033338085.1
OG0001887	XP_017796424.1	XP_033327039.1
OG0001888	XP_017798513.1	XP_033336318.1
OG0001889	XP_017792380.1	XP_033331860.1
OG0001890	XP_017798598.1	XP_033336322.1
OG0001891	XP_017796024.1	XP_033327843.1
OG0001892	XP_017792206.1, XP_017792207.1	XP_033328080.1, XP_033328081.1, XP_033328082.1
OG0001893	XP_017789830.1	XP_033325594.1
OG0001894	XP_017788208.1	XP_033328392.1
OG0001895	XP_017798560.1	XP_033336125.1
OG0001896	XP_017789814.1	XP_033340979.1
OG0001897	XP_017792467.1	XP_033326353.1
OG0001899	XP_017793378.1	XP_033342612.1
OG0001900	XP_017796938.1	XP_033333504.1
OG0001901	XP_017793421.1	XP_033334873.1, XP_033334871.1, XP_033334872.1
OG0001902	XP_017792923.1	XP_033324623.1
OG0001903	XP_017790151.1	XP_033330443.1, XP_033330441.1
OG0001904	XP_017792137.1	XP_033328278.1
OG0001905	XP_017790820.1	XP_033339110.1, XP_033339109.1
OG0001906	XP_017795460.1	XP_033331741.1
OG0001907	XP_017790153.1	XP_033329726.1
OG0001908	XP_017789053.1	XP_033326920.1
OG0001909	XP_017788624.1	XP_033321258.1
OG0001910	XP_017796487.1	XP_033342036.1
OG0001912	XP_017789374.1	XP_033322190.1
OG0001912	XP_017789373.1	XP_033322186.1
OG0001913	XP_017788497.1	XP_033326690.1, XP_033326697.1
OG0001914	XP_017794479.1	XP_033331976.1
OG0001915	XP_017790631.1	XP_033324316.1
OG0001916	XP_017796382.1	XP_033341694.1
OG0001917	XP_017787877.1	XP_033330626.1
OG0001919	XP_017789323.1	XP_033327722.1, XP_033327666.1
OG0001920	XP_017790921.1	XP_033325395.1
OG0001921	XP_017790912.1	XP_033325549.1
OG0001922	XP_017788435.1	XP_033323250.1, XP_033323252.1
OG0001923	XP_017787614.1	XP_033323344.1
OG0001924	XP_017795840.1	XP_033342122.1
OG0001925	XP_017794515.1	XP_033323913.1
OG0001926	XP_017787450.1, XP_017787451.1, XP_017787452.1	XP_033337474.1, XP_033337473.1, XP_033337472.1
OG0001927	XP_017794881.1	XP_033326238.1
OG0001928	XP_017793870.1	XP_033320933.1, XP_033320938.1
OG0001929	XP_017795389.1	XP_033325685.1
OG0001930	XP_017790170.1	XP_033325385.1
OG0001931	XP_017792740.1	XP_033330668.1
OG0001933	XP_017788181.1	XP_033330320.1
OG0001934	XP_017788059.1	XP_033331289.1
OG0001935	XP_017788329.1	XP_033340055.1, XP_033340054.1
OG0001936	XP_017787497.1	XP_033337492.1
OG0001937	XP_017797362.1	XP_033321271.1
OG0001938	XP_017791839.1	XP_033341104.1
OG0001939	XP_017788602.1	XP_033337694.1
OG0001940	XP_017795175.1	XP_033340348.1, XP_033340347.1
OG0001941	XP_017788269.1	XP_033323315.1
OG0001942	XP_017787537.1	XP_033338841.1
OG0001944	XP_017799157.1	XP_033322969.1, XP_033322967.1, XP_033322968.1
OG0001945	XP_017792958.1	XP_033335067.1
OG0001946	XP_017793389.1	XP_033342777.1
OG0001947	XP_017798164.1, XP_017798141.1	XP_033330927.1
OG0001948	XP_017787734.1	XP_033342187.1, XP_033342190.1, XP_033342191.1, XP_033342189.1
OG0001949	XP_017787365.1	XP_033330306.1, XP_033330307.1
OG0001950	XP_017788139.1	XP_033321946.1
OG0001951	XP_017793827.1, XP_017793829.1	XP_033327536.1
OG0001952	XP_017787415.1	XP_033327303.1
OG0001953	XP_017792662.1, XP_017787425.1	XP_033329951.1
OG0001953	XP_017787424.1	XP_033327408.1
OG0001954	XP_017791395.1	XP_033335378.1, XP_033335380.1, XP_033335381.1, XP_033335379.1
OG0001955	XP_017787642.1	XP_033340240.1, XP_033340239.1, XP_033340238.1
OG0001957	XP_017788462.1	XP_033326980.1
OG0001959	XP_017790743.1, XP_017790744.1	XP_033339272.1, XP_033339273.1, XP_033339274.1
OG0001960	XP_017796201.1	XP_033321263.1
OG0001961	XP_017788069.1, XP_017788070.1, XP_017788068.1	XP_033339667.1
OG0001962	XP_017788703.1	XP_033323388.1
OG0001963	XP_017790030.1	XP_033329457.1
OG0001964	XP_017789778.1	XP_033332092.1, XP_033332090.1, XP_033332091.1
OG0001965	XP_017792304.1	XP_033340669.1
OG0001966	XP_017798608.1	XP_033336472.1
OG0001967	XP_017793653.1, XP_017793652.1	XP_033322561.1, XP_033322474.1
OG0001968	XP_017789546.1	XP_033324891.1
OG0001969	XP_017795023.1	XP_033324554.1
OG0001970	XP_017798645.1	XP_033336275.1
OG0001971	XP_017789064.1	XP_033322853.1, XP_033322851.1, XP_033322852.1
OG0001973	XP_017791160.1	XP_033331793.1, XP_033331789.1, XP_033331787.1
OG0001974	XP_017796173.1	XP_033321877.1
OG0001975	XP_017787874.1	XP_033330571.1
OG0001976	XP_017791025.1	XP_033328894.1, XP_033328898.1, XP_033328896.1, XP_033328895.1
OG0001977	XP_017787779.1	XP_033330380.1
OG0001978	XP_017795294.1, XP_017795317.1	XP_033321930.1, XP_033321927.1, XP_033321928.1, XP_033321929.1, XP_033321932.1
OG0001979	XP_017794499.1	XP_033324498.1
OG0001980	XP_017794992.1	XP_033332519.1
OG0001981	XP_017795371.1	XP_033321136.1
OG0001982	XP_017796742.1	XP_033322532.1, XP_033322530.1, XP_033322531.1
OG0001983	XP_017793335.1	XP_033342609.1
OG0001984	XP_017791964.1	XP_033338045.1
OG0001987	XP_017788900.1, XP_017788899.1	XP_033331402.1
OG0001988	XP_017794234.1	XP_033329629.1
OG0001989	XP_017788148.1	XP_033331257.1, XP_033331256.1, XP_033331258.1
OG0001990	XP_017788250.1	XP_033328416.1
OG0001991	XP_017798955.1	XP_033342534.1
OG0001992	XP_017789417.1	XP_033322162.1
OG0001994	XP_017790509.1	XP_033333127.1
OG0001995	XP_017790497.1	XP_033332833.1
OG0001996	XP_017789613.1	XP_033335228.1
OG0001997	XP_017787566.1	XP_033341663.1
OG0001998	XP_017796933.1	XP_033329813.1
OG0001999	XP_017790073.1	XP_033325830.1
OG0002000	XP_017793103.1	XP_033335153.1
OG0002001	XP_017792497.1	XP_033322962.1, XP_033322961.1
OG0002002	XP_017792484.1	XP_033340101.1
OG0002003	XP_017796203.1, XP_017796202.1	XP_033321265.1
OG0002004	XP_017795278.1	XP_033332375.1
OG0002005	XP_017789516.1, XP_017789515.1	XP_033321881.1
OG0002006	XP_017794410.1	XP_033325286.1
OG0002007	XP_017795832.1	XP_033320825.1
OG0002009	XP_017796020.1	XP_033337121.1, XP_033337122.1, XP_033337213.1
OG0002010	XP_017790487.1	XP_033334090.1, XP_033334088.1
OG0002011	XP_017796379.1	XP_033338506.1
OG0002012	XP_017788386.1	XP_033337695.1
OG0002013	XP_017790253.1, XP_017790252.1	XP_033332756.1
OG0002014	XP_017788968.1	XP_033334391.1
OG0002015	XP_017795614.1	XP_033335589.1
OG0002016	XP_017790429.1	XP_033339897.1
OG0002017	XP_017796557.1	XP_033322358.1, XP_033322357.1
OG0002018	XP_017798377.1	XP_033338775.1
OG0002019	XP_017793373.1	XP_033342269.1
OG0002020	XP_017796886.1	XP_033327053.1, XP_033341687.1
OG0002021	XP_017787829.1	XP_033341026.1
OG0002022	XP_017792727.1	XP_033330606.1
OG0002023	XP_017788965.1	XP_033330187.1
OG0002024	XP_017796936.1	XP_033326388.1
OG0002025	XP_017798153.1	XP_033327025.1
OG0002026	XP_017787700.1	XP_033339539.1
OG0002027	XP_017794852.1	XP_033326241.1
OG0002028	XP_017792255.1	XP_033331884.1
OG0002029	XP_017798346.1, XP_017798344.1	XP_033335399.1
OG0002030	XP_017795096.1	XP_033322294.1
OG0002032	XP_017790837.1	XP_033328092.1, XP_033328085.1
OG0002034	XP_017790191.1	XP_033339301.1
OG0002035	XP_017798256.1	XP_033322584.1
OG0002036	XP_017794437.1	XP_033328755.1, XP_033328745.1, XP_033337105.1, XP_033339865.1
OG0002038	XP_017791106.1	XP_033337933.1
OG0002039	XP_017788001.1	XP_033336414.1
OG0002041	XP_017791400.1	XP_033325116.1, XP_033325117.1
OG0002042	XP_017788587.1	XP_033337308.1
OG0002043	XP_017793497.1	XP_033332748.1, XP_033332747.1
OG0002044	XP_017787390.1	XP_033324836.1, XP_033324837.1
OG0002045	XP_017788565.1	XP_033323946.1
OG0002046	XP_017798292.1	XP_033338089.1, XP_033338090.1
OG0002047	XP_017795083.1	XP_033339189.1, XP_033339191.1, XP_033339190.1, XP_033339182.1, XP_033339188.1
OG0002048	XP_017798250.1	XP_033338178.1
OG0002049	XP_017790481.1	XP_033332838.1, XP_033332836.1
OG0002050	XP_017794158.1	XP_033330871.1
OG0002051	XP_017795014.1	XP_033323677.1
OG0002054	XP_017798595.1	XP_033335645.1
OG0002055	XP_017789536.1	XP_033325848.1
OG0002056	XP_017798747.1	XP_033342389.1
OG0002057	XP_017798610.1	XP_033336546.1
OG0002058	XP_017792878.1	XP_033334796.1, XP_033339821.1
OG0002059	XP_017798655.1	XP_033336246.1
OG0002061	XP_017788071.1	XP_033323132.1
OG0002062	XP_017791056.1	XP_033334333.1
OG0002063	XP_017790046.1	XP_033331779.1
OG0002064	XP_017788816.1	XP_033330194.1
OG0002065	XP_017798818.1	XP_033335764.1
OG0002067	XP_017792812.1	XP_033335279.1
OG0002069	XP_017790423.1	XP_033331638.1, XP_033337225.1
OG0002070	XP_017796490.1	XP_033342075.1
OG0002071	XP_017792369.1	XP_033340277.1
OG0002072	XP_017791161.1	XP_033325972.1
OG0002073	XP_017798027.1	XP_033337711.1
OG0002074	XP_017796638.1	XP_033322340.1, XP_033322339.1, XP_033322333.1
OG0002075	XP_017788665.1	XP_033324047.1
OG0002076	XP_017794096.1	XP_033327390.1
OG0002077	XP_017796378.1	XP_033336962.1, XP_033336884.1
OG0002078	XP_017792826.1, XP_017792827.1	XP_033342405.1
OG0002079	XP_017797620.1	XP_033331094.1
OG0002080	XP_017788106.1	XP_033323307.1
OG0002081	XP_017794022.1	XP_033337432.1
OG0002082	XP_017789006.1	XP_033329080.1
OG0002083	XP_017793908.1	XP_033320970.1
OG0002084	XP_017788062.1	XP_033323164.1
OG0002085	XP_017797417.1	XP_033333812.1
OG0002086	XP_017792178.1	XP_033325988.1
OG0002087	XP_017798403.1	XP_033338614.1
OG0002088	XP_017795392.1	XP_033325453.1
OG0002089	XP_017798730.1	XP_033336265.1
OG0002090	XP_017792953.1	XP_033342349.1, XP_033342350.1, XP_033342351.1
OG0002091	XP_017790529.1	XP_033332839.1
OG0002092	XP_017798340.1	XP_033335532.1
OG0002094	XP_017787784.1	XP_033331902.1
OG0002095	XP_017791449.1	XP_033333377.1
OG0002096	XP_017791132.1	XP_033325800.1, XP_033325799.1
OG0002097	XP_017789668.1	XP_033326566.1
OG0002098	XP_017791772.1	XP_033323341.1
OG0002099	XP_017796136.1	XP_033338981.1
OG0002100	XP_017795487.1	XP_033331711.1
OG0002101	XP_017789124.1	XP_033327711.1
OG0002102	XP_017793777.1	XP_033339729.1
OG0002103	XP_017787830.1	XP_033322989.1
OG0002104	XP_017790634.1	XP_033332963.1
OG0002105	XP_017789142.1	XP_033323695.1
OG0002106	XP_017794627.1	XP_033331719.1
OG0002107	XP_017793238.1	XP_033341851.1
OG0002108	XP_017799356.1	XP_033324893.1
OG0002109	XP_017794923.1	XP_033332470.1, XP_033332471.1
OG0002110	XP_017794707.1	XP_033335705.1, XP_033336326.1
OG0002111	XP_017791966.1	XP_033331417.1
OG0002113	XP_017795435.1, XP_017795434.1	XP_033331753.1
OG0002114	XP_017796008.1	XP_033321101.1, XP_033321100.1
OG0002115	XP_017798347.1	XP_033330968.1
OG0002116	XP_017797836.1	XP_033321454.1
OG0002117	XP_017798139.1, XP_017798140.1	XP_033327108.1, XP_033327109.1
OG0002118	XP_017791158.1	XP_033339938.1, XP_033325696.1
OG0002119	XP_017789201.1	XP_033327718.1
OG0002120	XP_017795585.1	XP_033335131.1, XP_033335130.1, XP_033335132.1, XP_033335133.1
OG0002121	XP_017788552.1, XP_017788551.1	XP_033324053.1
OG0002122	XP_017795713.1	XP_033333719.1
OG0002123	XP_017799133.1	XP_033341169.1
OG0002124	XP_017798413.1	XP_033338624.1
OG0002125	XP_017791241.1	XP_033337446.1, XP_033337444.1
OG0002126	XP_017797509.1	XP_033340638.1
OG0002127	XP_017790551.1	XP_033338251.1, XP_033338252.1
OG0002128	XP_017790259.1	XP_033335080.1, XP_033335078.1, XP_033335079.1, XP_033335076.1, XP_033335077.1
OG0002129	XP_017790100.1	XP_033330437.1
OG0002130	XP_017797408.1	XP_033340798.1
OG0002131	XP_017798430.1	XP_033338906.1
OG0002132	XP_017797709.1	XP_033336668.1
OG0002134	XP_017797395.1	XP_033343130.1
OG0002136	XP_017793076.1	XP_033335149.1
OG0002137	XP_017794942.1	XP_033338681.1
OG0002138	XP_017796616.1	XP_033341651.1
OG0002139	XP_017791552.1	XP_033330542.1
OG0002140	XP_017789574.1	XP_033326796.1
OG0002141	XP_017790244.1	XP_033333036.1, XP_033333033.1
OG0002143	XP_017789575.1	XP_033326798.1
OG0002144	XP_017787785.1	XP_033340067.1
OG0002145	XP_017797893.1	XP_033325867.1
OG0002146	XP_017791503.1	XP_033335349.1
OG0002147	XP_017790421.1	XP_033321563.1, XP_033321564.1
OG0002148	XP_017789435.1	XP_033326919.1
OG0002149	XP_017797811.1	XP_033335868.1, XP_033335869.1
OG0002150	XP_017793377.1	XP_033342630.1
OG0002151	XP_017787558.1	XP_033338514.1
OG0002153	XP_017792959.1	XP_033334951.1, XP_033334953.1
OG0002154	XP_017791570.1	XP_033325425.1
OG0002155	XP_017798255.1	XP_033338128.1
OG0002156	XP_017793812.1, XP_017793794.1	XP_033326696.1, XP_033326695.1
OG0002157	XP_017788246.1	XP_033321443.1
OG0002158	XP_017794773.1, XP_017794772.1	XP_033324674.1
OG0002159	XP_017792445.1	XP_033331327.1
OG0002160	XP_017797853.1	XP_033331654.1
OG0002161	XP_017796937.1	XP_033327030.1
OG0002162	XP_017790705.1	XP_033324386.1
OG0002163	XP_017789446.1	XP_033323180.1
OG0002164	XP_017797712.1	XP_033336334.1
OG0002165	XP_017792341.1	XP_033340327.1
OG0002166	XP_017787915.1	XP_033330607.1, XP_033330608.1, XP_033330609.1
OG0002167	XP_017795634.1	XP_033333596.1
OG0002168	XP_017788389.1	XP_033341916.1
OG0002169	XP_017790477.1	XP_033332754.1
OG0002170	XP_017791615.1	XP_033325922.1, XP_033325920.1, XP_033325921.1, XP_033325918.1
OG0002171	XP_017790636.1	XP_033331401.1
OG0002172	XP_017790923.1	XP_033325565.1
OG0002173	XP_017792499.1	XP_033340098.1, XP_033340096.1
OG0002174	XP_017795204.1	XP_033322680.1
OG0002175	XP_017788766.1	XP_033339446.1, XP_033339509.1, XP_033339523.1
OG0002177	XP_017790545.1	XP_033329522.1
OG0002178	XP_017796729.1	XP_033340915.1
OG0002179	XP_017799510.1, XP_017799508.1	XP_033332653.1, XP_033332654.1
OG0002180	XP_017799163.1, XP_017799162.1	XP_033328741.1, XP_033328743.1, XP_033328742.1
OG0002181	XP_017793141.1	XP_033342304.1
OG0002182	XP_017788701.1	XP_033337517.1, XP_033337507.1
OG0002183	XP_017794883.1	XP_033321319.1
OG0002184	XP_017793701.1, XP_017793700.1	XP_033327976.1, XP_033327977.1
OG0002185	XP_017795854.1	XP_033326773.1
OG0002186	XP_017792062.1	XP_033329525.1
OG0002186	XP_017791650.1	XP_033323783.1
OG0002187	XP_017791364.1	XP_033324998.1
OG0002188	XP_017795788.1	XP_033329155.1
OG0002189	XP_017791208.1	XP_033329970.1
OG0002190	XP_017791114.1	XP_033327299.1, XP_033327297.1
OG0002191	XP_017789154.1	XP_033322763.1
OG0002192	XP_017795255.1	XP_033321337.1
OG0002193	XP_017797729.1	XP_033336651.1, XP_033336652.1, XP_033336650.1
OG0002194	XP_017787797.1	XP_033332579.1
OG0002195	XP_017796934.1	XP_033339965.1
OG0002196	XP_017788035.1	XP_033336631.1
OG0002197	XP_017792205.1	XP_033328063.1, XP_033328062.1, XP_033328061.1, XP_033328060.1, XP_033328065.1, XP_033328064.1
OG0002199	XP_017795201.1	XP_033329126.1
OG0002200	XP_017794242.1	XP_033329416.1
OG0002201	XP_017787986.1	XP_033336592.1
OG0002202	XP_017793774.1	XP_033339653.1
OG0002202	XP_017788511.1	XP_033324591.1
OG0002203	XP_017799114.1	XP_033341493.1
OG0002204	XP_017796061.1	XP_033337259.1
OG0002206	XP_017787836.1	XP_033323616.1, XP_033326094.1
OG0002208	XP_017789859.1	XP_033333860.1
OG0002209	XP_017787595.1	XP_033338826.1, XP_033338407.1
OG0002211	XP_017793467.1	XP_033342715.1
OG0002212	XP_017797359.1	XP_033339888.1
OG0002213	XP_017797647.1	XP_033331056.1
OG0002214	XP_017789136.1	XP_033320806.1
OG0002215	XP_017792179.1	XP_033328054.1, XP_033328055.1
OG0002217	XP_017789306.1	XP_033339042.1
OG0002218	XP_017792453.1	XP_033326308.1, XP_033326309.1
OG0002219	XP_017788588.1	XP_033327409.1, XP_033327410.1
OG0002220	XP_017792133.1	XP_033328246.1
OG0002221	XP_017790299.1	XP_033335086.1, XP_033335084.1, XP_033335085.1
OG0002222	XP_017793954.1	XP_033321010.1, XP_033321006.1
OG0002223	XP_017788301.1	XP_033326203.1
OG0002224	XP_017792691.1, XP_017792690.1, XP_017792689.1	XP_033330771.1
OG0002225	XP_017788756.1	XP_033330154.1
OG0002226	XP_017789876.1	XP_033330143.1
OG0002227	XP_017794783.1	XP_033324657.1, XP_033324653.1
OG0002228	XP_017787569.1, XP_017787570.1, XP_017787568.1	XP_033338406.1
OG0002229	XP_017793429.1	XP_033342275.1, XP_033342278.1
OG0002230	XP_017787839.1	XP_033340288.1, XP_033340291.1
OG0002231	XP_017799230.1, XP_017799231.1	XP_033328879.1, XP_033328877.1, XP_033328878.1
OG0002236	XP_017798601.1	XP_033335841.1, XP_033335842.1
OG0002237	XP_017796893.1	XP_033339967.1
OG0002238	XP_017798090.1	XP_033338069.1, XP_033338066.1
OG0002239	XP_017788041.1	XP_033321610.1
OG0002240	XP_017791077.1	XP_033329913.1, XP_033329914.1, XP_033329912.1, XP_033329915.1
OG0002241	XP_017796717.1, XP_017796718.1	XP_033322274.1
OG0002242	XP_017789623.1, XP_017789624.1	XP_033326392.1
OG0002243	XP_017787857.1	XP_033340251.1, XP_033340252.1
OG0002244	XP_017788516.1	XP_033332737.1
OG0002245	XP_017789340.1	XP_033341742.1, XP_033341749.1
OG0002246	XP_017798469.1	XP_033338585.1, XP_033338583.1
OG0002247	XP_017797173.1	XP_033327035.1
OG0002248	XP_017788125.1	XP_033322156.1
OG0002249	XP_017792075.1	XP_033340216.1, XP_033340217.1
OG0002250	XP_017787656.1	XP_033325067.1
OG0002251	XP_017792261.1	XP_033328382.1, XP_033328381.1
OG0002252	XP_017792804.1	XP_033338708.1, XP_033338709.1
OG0002253	XP_017788198.1	XP_033321734.1
OG0002254	XP_017793221.1	XP_033322671.1
OG0002255	XP_017799026.1	XP_033328650.1
OG0002256	XP_017797961.1	XP_033327638.1
OG0002257	XP_017799228.1	XP_033341520.1
OG0002258	XP_017789850.1, XP_017789851.1	XP_033331389.1, XP_033331362.1
OG0002259	XP_017798343.1	XP_033338645.1, XP_033338644.1
OG0002260	XP_017795090.1	XP_033323820.1
OG0002261	XP_017790738.1	XP_033327958.1
OG0002262	XP_017793516.1	XP_033322721.1, XP_033322724.1, XP_033322722.1, XP_033322723.1, XP_033322717.1, XP_033322719.1, XP_033322720.1
OG0002263	XP_017796327.1	XP_033324948.1
OG0002264	XP_017787980.1	XP_033336415.1
OG0002265	XP_017792335.1	XP_033328470.1
OG0002266	XP_017799567.1	XP_033330359.1
OG0002267	XP_017797176.1	XP_033326624.1
OG0002268	XP_017798114.1, XP_017798113.1	XP_033327127.1
OG0002269	XP_017792021.1	XP_033340400.1
OG0002270	XP_017789444.1	XP_033321779.1
OG0002271	XP_017791412.1	XP_033335527.1
OG0002272	XP_017797883.1	XP_033327851.1
OG0002273	XP_017799370.1	XP_033328859.1
OG0002274	XP_017792694.1	XP_033329194.1, XP_033329195.1
OG0002275	XP_017790860.1	XP_033325593.1
OG0002276	XP_017798642.1	XP_033336534.1
OG0002277	XP_017791925.1	XP_033321629.1, XP_033321611.1, XP_033321621.1
OG0002278	XP_017793386.1	XP_033342768.1
OG0002279	XP_017795765.1	XP_033328440.1, XP_033328431.1
OG0002280	XP_017797848.1	XP_033339663.1, XP_033339664.1
OG0002281	XP_017791004.1	XP_033321372.1
OG0002282	XP_017787905.1	XP_033339834.1, XP_033330632.1
OG0002283	XP_017795890.1	XP_033342354.1
OG0002284	XP_017792108.1	XP_033340930.1
OG0002285	XP_017788002.1	XP_033336612.1
OG0002286	XP_017795837.1	XP_033329100.1
OG0002287	XP_017797532.1	XP_033321217.1
OG0002288	XP_017795540.1	XP_033335036.1
OG0002289	XP_017792312.1	XP_033331839.1, XP_033331838.1
OG0002290	XP_017788288.1	XP_033340120.1, XP_033340121.1, XP_033340122.1
OG0002291	XP_017791894.1, XP_017791893.1	XP_033339776.1, XP_033339751.1
OG0002293	XP_017795785.1	XP_033343110.1
OG0002295	XP_017797938.1	XP_033323062.1
OG0002296	XP_017796824.1, XP_017796827.1	XP_033326686.1
OG0002297	XP_017788929.1, XP_017788927.1, XP_017788926.1	XP_033331545.1
OG0002298	XP_017789486.1	XP_033326237.1
OG0002300	XP_017787557.1	XP_033325199.1
OG0002301	XP_017797889.1, XP_017797139.1, XP_017797874.1	XP_033339951.1, XP_033339950.1, XP_033331972.1, XP_033332261.1
