Orthogroup	Eufriesea_mexicana	Megalopta_genalis
OG0000633	XP_017754409.1, XP_017754408.1	XP_033328316.1
OG0000634	XP_017762130.1	XP_033326258.1
OG0000635	XP_017753142.1	XP_033331835.1, XP_033331845.1, XP_033331854.1
OG0000636	XP_017766476.1	XP_033337078.1
OG0000636	XP_017766479.1	XP_033337385.1
OG0000637	XP_017753269.1, XP_017753267.1, XP_017753268.1	XP_033340677.1, XP_033340678.1
OG0000638	XP_017759175.1	XP_033337807.1
OG0000639	XP_017753625.1	XP_033325653.1
OG0000640	XP_017760890.1	XP_033340428.1, XP_033340427.1
OG0000641	XP_017763882.1, XP_017763881.1	XP_033328207.1, XP_033328205.1, XP_033328206.1, XP_033328204.1
OG0000642	XP_017755307.1	XP_033328081.1, XP_033328080.1, XP_033328082.1
OG0000643	XP_017765350.1	XP_033328663.1
OG0000644	XP_017754092.1	XP_033341546.1
OG0000645	XP_017757643.1	XP_033340238.1, XP_033340239.1, XP_033340240.1
OG0000646	XP_017762589.1	XP_033326203.1
OG0000647	XP_017757970.1	XP_033337476.1
OG0000648	XP_017752328.1	XP_033323093.1
OG0000650	XP_017752395.1	XP_033331249.1, XP_033331248.1, XP_033331246.1, XP_033331247.1
OG0000651	XP_017763889.1	XP_033328214.1
OG0000652	XP_017757459.1	XP_033323828.1
OG0000653	XP_017760597.1	XP_033332092.1, XP_033332091.1, XP_033332090.1
OG0000654	XP_017764526.1, XP_017764527.1, XP_017764528.1	XP_033327490.1, XP_033327491.1
OG0000655	XP_017767356.1	XP_033325385.1
OG0000656	XP_017762324.1	XP_033337175.1, XP_033322891.1, XP_033322893.1, XP_033322890.1, XP_033322889.1, XP_033322892.1
OG0000657	XP_017753016.1	XP_033330257.1, XP_033330258.1
OG0000660	XP_017752308.1	XP_033331183.1
OG0000661	XP_017756699.1	XP_033336951.1, XP_033336953.1
OG0000662	XP_017757187.1	XP_033338096.1, XP_033338056.1
OG0000663	XP_017760123.1	XP_033336917.1
OG0000664	XP_017755231.1	XP_033328279.1
OG0000665	XP_017767770.1	XP_033329156.1, XP_033329157.1
OG0000666	XP_017767432.1	XP_033325395.1
OG0000667	XP_017760672.1	XP_033343058.1
OG0000668	XP_017761418.1	XP_033335425.1
OG0000669	XP_017766508.1	XP_033330234.1
OG0000670	XP_017757730.1	XP_033328474.1, XP_033328482.1
OG0000671	XP_017760555.1, XP_017760552.1	XP_033330882.1, XP_033330881.1, XP_033330888.1
OG0000672	XP_017752184.1	XP_033335476.1, XP_033335477.1
OG0000673	XP_017763833.1	XP_033323558.1, XP_033323560.1, XP_033323559.1
OG0000674	XP_017754236.1	XP_033328909.1, XP_033328905.1, XP_033328904.1
OG0000675	XP_017760199.1	XP_033325266.1, XP_033325265.1, XP_033325263.1, XP_033325259.1, XP_033325258.1, XP_033325264.1, XP_033325260.1, XP_033325261.1
OG0000676	XP_017760978.1	XP_033328780.1
OG0000676	XP_017760977.1	XP_033328781.1
OG0000677	XP_017756324.1, XP_017756323.1	XP_033341802.1, XP_033341800.1, XP_033341801.1
OG0000678	XP_017759837.1, XP_017759838.1	XP_033340635.1, XP_033340636.1
OG0000679	XP_017759913.1	XP_033336680.1
OG0000680	XP_017761845.1	XP_033340870.1, XP_033340852.1, XP_033340841.1, XP_033340830.1, XP_033340861.1
OG0000681	XP_017763846.1	XP_033340425.1, XP_033340424.1, XP_033340426.1, XP_033340421.1, XP_033340423.1, XP_033340422.1
OG0000682	XP_017756466.1, XP_017756465.1, XP_017756468.1, XP_017756467.1, XP_017756464.1, XP_017756469.1	XP_033340575.1, XP_033340576.1
OG0000684	XP_017764355.1, XP_017764354.1, XP_017764356.1	XP_033326795.1
OG0000685	XP_017760186.1	XP_033326906.1, XP_033326903.1, XP_033326905.1
OG0000686	XP_017753192.1	XP_033332593.1, XP_033332595.1, XP_033332594.1
OG0000687	XP_017757936.1	XP_033333010.1, XP_033333008.1, XP_033333009.1
OG0000688	XP_017757449.1	XP_033328117.1
OG0000690	XP_017756906.1	XP_033334350.1, XP_033334349.1, XP_033334348.1
OG0000691	XP_017759848.1	XP_033336685.1
OG0000695	XP_017760718.1	XP_033342543.1
OG0000696	XP_017754998.1	XP_033332837.1
OG0000697	XP_017759226.1	XP_033333372.1, XP_033333373.1, XP_033333371.1, XP_033333370.1, XP_033333369.1
OG0000698	XP_017760605.1	XP_033336253.1
OG0000699	XP_017755725.1	XP_033323507.1
OG0000700	XP_017766324.1	XP_033343077.1
OG0000701	XP_017753595.1	XP_033332549.1, XP_033332548.1
OG0000702	XP_017759627.1	XP_033331300.1, XP_033331326.1
OG0000704	XP_017767699.1	XP_033337143.1, XP_033337144.1
OG0000705	XP_017763750.1	XP_033332976.1, XP_033328502.1, XP_033328457.1
OG0000706	XP_017760158.1	XP_033343080.1, XP_033343079.1, XP_033343082.1, XP_033343081.1, XP_033320769.1, XP_033333797.1
OG0000708	XP_017757450.1	XP_033332718.1
OG0000710	XP_017757009.1	XP_033340348.1, XP_033340347.1
OG0000711	XP_017756189.1, XP_017756188.1, XP_017756190.1, XP_017756191.1	XP_033335227.1
OG0000713	XP_017761719.1	XP_033333843.1
OG0000714	XP_017754839.1	XP_033334701.1
OG0000715	XP_017753661.1	XP_033321241.1, XP_033321218.1, XP_033321147.1, XP_033321130.1
OG0000717	XP_017760780.1	XP_033342830.1
OG0000719	XP_017757336.1	XP_033321653.1
OG0000720	XP_017763142.1	XP_033332942.1
OG0000721	XP_017755929.1	XP_033329526.1
OG0000722	XP_017766221.1	XP_033340721.1, XP_033340723.1, XP_033340720.1, XP_033340719.1, XP_033340722.1
OG0000723	XP_017764628.1	XP_033339147.1
OG0000724	XP_017766910.1	XP_033326796.1
OG0000725	XP_017759705.1	XP_033321000.1, XP_033320999.1
OG0000727	XP_017764225.1	XP_033341746.1
OG0000728	XP_017758634.1	XP_033332206.1, XP_033332201.1
OG0000729	XP_017753245.1	XP_033330604.1, XP_033330611.1
OG0000730	XP_017752629.1	XP_033331143.1, XP_033331168.1
OG0000731	XP_017761262.1	XP_033320986.1, XP_033320987.1, XP_033320989.1, XP_033320988.1
OG0000732	XP_017760051.1, XP_017760052.1	XP_033320886.1
OG0000733	XP_017766626.1	XP_033330170.1, XP_033330171.1
OG0000734	XP_017764168.1, XP_017764169.1	XP_033332637.1
OG0000735	XP_017758993.1	XP_033332638.1
OG0000736	XP_017764517.1	XP_033327329.1
OG0000737	XP_017756023.1, XP_017756024.1, XP_017756022.1, XP_017756026.1	XP_033327585.1
OG0000738	XP_017752369.1	XP_033338267.1
OG0000739	XP_017752439.1, XP_017752440.1, XP_017752436.1, XP_017752437.1, XP_017752438.1	XP_033323132.1
OG0000740	XP_017766169.1	XP_033320919.1
OG0000741	XP_017763367.1, XP_017763368.1, XP_017763366.1	XP_033323485.1, XP_033323486.1, XP_033323484.1
OG0000742	XP_017758020.1	XP_033332268.1, XP_033332265.1
OG0000743	XP_017755779.1	XP_033333462.1, XP_033333461.1, XP_033333460.1
OG0000744	XP_017756850.1	XP_033331589.1
OG0000745	XP_017756655.1	XP_033331572.1, XP_033331573.1
OG0000746	XP_017753711.1	XP_033338984.1, XP_033338982.1
OG0000747	XP_017760417.1	XP_033335547.1, XP_033335545.1
OG0000748	XP_017758436.1	XP_033331565.1, XP_033339903.1, XP_033331725.1
OG0000749	XP_017760638.1, XP_017760637.1	XP_033336594.1
OG0000750	XP_017762996.1	XP_033339970.1, XP_033339972.1, XP_033339969.1
OG0000751	XP_017762997.1	XP_033339830.1, XP_033327677.1, XP_033327676.1
OG0000752	XP_017766493.1, XP_017766492.1	XP_033342708.1
OG0000753	XP_017767742.1	XP_033327843.1
OG0000754	XP_017758948.1	XP_033334699.1, XP_033334698.1
OG0000755	XP_017758785.1, XP_017758777.1	XP_033334769.1, XP_033334766.1
OG0000756	XP_017753801.1, XP_017753795.1	XP_033335974.1, XP_033335975.1, XP_033335973.1, XP_033335976.1
OG0000757	XP_017762635.1, XP_017762632.1, XP_017762634.1, XP_017762633.1, XP_017762637.1, XP_017762636.1	XP_033338406.1
OG0000758	XP_017767220.1, XP_017767222.1, XP_017767221.1	XP_033335751.1
OG0000759	XP_017758531.1, XP_017758530.1, XP_017758532.1	XP_033340608.1, XP_033340606.1, XP_033340607.1
OG0000760	XP_017761488.1, XP_017761487.1, XP_017761490.1	XP_033342552.1
OG0000761	XP_017760895.1, XP_017760887.1	XP_033334633.1, XP_033334627.1, XP_033334626.1
OG0000762	XP_017760959.1	XP_033342242.1, XP_033342249.1, XP_033342247.1
OG0000763	XP_017760820.1	XP_033342275.1, XP_033342278.1
OG0000764	XP_017756849.1, XP_017756848.1, XP_017756847.1	XP_033325800.1, XP_033325799.1
OG0000765	XP_017765652.1	XP_033327875.1, XP_033327869.1
OG0000766	XP_017765675.1	XP_033323260.1, XP_033323265.1
OG0000767	XP_017753230.1, XP_017753233.1, XP_017753231.1, XP_017753232.1	XP_033330871.1
OG0000768	XP_017753183.1	XP_033328897.1
OG0000769	XP_017753284.1, XP_017753283.1	XP_033331986.1, XP_033331993.1
OG0000770	XP_017766416.1, XP_017766417.1	XP_033337445.1, XP_033337416.1, XP_033337435.1, XP_033337454.1, XP_033337426.1, XP_033337407.1
OG0000771	XP_017762184.1	XP_033332433.1
OG0000772	XP_017762331.1	XP_033342437.1
OG0000773	XP_017755700.1	XP_033328508.1
OG0000774	XP_017764145.1, XP_017764146.1, XP_017764147.1	XP_033329072.1, XP_033329071.1, XP_033329069.1, XP_033329070.1, XP_033329073.1
OG0000776	XP_017762567.1	XP_033341184.1, XP_033341183.1, XP_033341185.1
OG0000777	XP_017756508.1	XP_033337729.1, XP_033337731.1
OG0000778	XP_017764749.1, XP_017764748.1	XP_033330489.1
OG0000779	XP_017757032.1	XP_033329806.1, XP_033329807.1
OG0000780	XP_017759982.1	XP_033327238.1, XP_033327239.1, XP_033327240.1, XP_033327241.1, XP_033327237.1
OG0000781	XP_017763717.1	XP_033333808.1, XP_033333809.1
OG0000782	XP_017765702.1	XP_033338220.1, XP_033338219.1, XP_033338222.1
OG0000783	XP_017767028.1	XP_033322137.1
OG0000784	XP_017754569.1	XP_033323509.1
OG0000784	XP_017754571.1	XP_033323512.1
OG0000785	XP_017761738.1	XP_033333871.1, XP_033333872.1, XP_033333874.1, XP_033333875.1
OG0000786	XP_017767583.1	XP_033339728.1
OG0000787	XP_017758927.1	XP_033322776.1, XP_033322775.1, XP_033322778.1, XP_033322779.1, XP_033322777.1
OG0000788	XP_017754651.1, XP_017754574.1, XP_017754499.1	XP_033321164.1
OG0000789	XP_017767132.1, XP_017767127.1	XP_033338360.1, XP_033338364.1, XP_033338363.1, XP_033338362.1, XP_033338361.1
OG0000790	XP_017766530.1	XP_033333782.1
OG0000791	XP_017767277.1	XP_033336322.1
OG0000792	XP_017761586.1, XP_017761587.1, XP_017761588.1, XP_017761584.1, XP_017761585.1	XP_033335848.1
OG0000793	XP_017753596.1	XP_033338710.1, XP_033338712.1
OG0000794	XP_017764841.1	XP_033323992.1, XP_033327288.1
OG0000797	XP_017753030.1	XP_033338253.1
OG0000798	XP_017757041.1, XP_017757040.1, XP_017757042.1	XP_033336365.1, XP_033336374.1
OG0000800	XP_017757045.1, XP_017757044.1	XP_033341698.1, XP_033329805.1, XP_033329804.1, XP_033329803.1, XP_033329802.1, XP_033329801.1
OG0000801	XP_017755308.1	XP_033328060.1, XP_033328061.1, XP_033328063.1, XP_033328064.1, XP_033328065.1, XP_033328062.1
OG0000802	XP_017755581.1, XP_017755643.1	XP_033333084.1
OG0000803	XP_017763891.1	XP_033334018.1
OG0000804	XP_017767604.1	XP_033330443.1, XP_033330441.1
OG0000805	XP_017762697.1	XP_033341026.1
OG0000807	XP_017762806.1	XP_033328439.1
OG0000808	XP_017756269.1, XP_017756265.1	XP_033337605.1, XP_033337604.1
OG0000809	XP_017760653.1	XP_033337831.1
OG0000810	XP_017765192.1, XP_017765191.1	XP_033334733.1, XP_033334735.1
OG0000810	XP_017759178.1	XP_033324009.1
OG0000811	XP_017759110.1	XP_033331686.1
OG0000811	XP_017759267.1	XP_033331688.1, XP_033331683.1
OG0000812	XP_017764658.1, XP_017764657.1	XP_033341233.1
OG0000813	XP_017765206.1	XP_033322358.1, XP_033322357.1
OG0000814	XP_017765064.1	XP_033324764.1
OG0000814	XP_017765063.1	XP_033324767.1
OG0000815	XP_017765779.1	XP_033322307.1, XP_033322311.1
OG0000817	XP_017763024.1	XP_033341571.1, XP_033341573.1
OG0000818	XP_017762472.1	XP_033324424.1
OG0000819	XP_017762488.1, XP_017762487.1	XP_033338314.1
OG0000820	XP_017753287.1, XP_017753286.1, XP_017753289.1, XP_017753293.1, XP_017753294.1, XP_017753292.1, XP_017753290.1, XP_017753291.1	XP_033332177.1
OG0000821	XP_017754754.1	XP_033327789.1
OG0000822	XP_017753412.1	XP_033340004.1
OG0000823	XP_017766607.1, XP_017766606.1	XP_033332241.1, XP_033332240.1, XP_033332239.1, XP_033332238.1
OG0000824	XP_017761638.1	XP_033337458.1
OG0000825	XP_017763669.1, XP_017763671.1	XP_033326716.1
OG0000826	XP_017752470.1, XP_017765630.1	XP_033331059.1
OG0000827	XP_017754767.1	XP_033328423.1, XP_033328424.1, XP_033328425.1
OG0000828	XP_017758784.1	XP_033339157.1, XP_033339234.1, XP_033339235.1
OG0000829	XP_017761724.1	XP_033334343.1
OG0000830	XP_017763595.1	XP_033328704.1, XP_033328703.1
OG0000831	XP_017757076.1	XP_033330827.1
OG0000832	XP_017755897.1	XP_033326787.1
OG0000833	XP_017764892.1, XP_017764889.1, XP_017764888.1, XP_017764890.1, XP_017764891.1	XP_033328341.1
OG0000834	XP_017757172.1	XP_033327130.1, XP_033327128.1
OG0000835	XP_017752192.1	XP_033335517.1
OG0000836	XP_017754282.1	XP_033333048.1, XP_033333042.1, XP_033333041.1, XP_033333043.1, XP_033333045.1, XP_033333047.1, XP_033333046.1
OG0000837	XP_017756326.1	XP_033341972.1
OG0000838	XP_017756987.1, XP_017756995.1	XP_033322449.1
OG0000839	XP_017752445.1	XP_033331056.1
OG0000840	XP_017765349.1	XP_033328812.1, XP_033328681.1, XP_033328680.1, XP_033328682.1
OG0000841	XP_017752722.1	XP_033325185.1
OG0000842	XP_017762932.1	XP_033325168.1, XP_033325169.1
OG0000845	XP_017765505.1	XP_033327926.1, XP_033327925.1, XP_033327927.1, XP_033327928.1
OG0000847	XP_017765362.1	XP_033325936.1, XP_033325938.1, XP_033325939.1, XP_033325937.1
OG0000848	XP_017756774.1, XP_017756775.1	XP_033321712.1
OG0000849	XP_017757069.1	XP_033339653.1
OG0000850	XP_017760279.1	XP_033329580.1
OG0000851	XP_017760346.1	XP_033342852.1, XP_033342851.1
OG0000852	XP_017753524.1	XP_033338735.1
OG0000853	XP_017754921.1	XP_033333560.1
OG0000855	XP_017765719.1	XP_033321506.1
OG0000856	XP_017765741.1, XP_017765739.1, XP_017765740.1	XP_033325565.1
OG0000857	XP_017762135.1	XP_033338486.1, XP_033338487.1, XP_033338488.1
OG0000858	XP_017767744.1, XP_017767745.1	XP_033337157.1
OG0000859	XP_017755055.1, XP_017755054.1, XP_017755057.1	XP_033321210.1
OG0000860	XP_017767769.1	XP_033329141.1, XP_033329142.1
OG0000861	XP_017764233.1, XP_017764238.1	XP_033331781.1
OG0000862	XP_017753180.1	XP_033338268.1
OG0000863	XP_017764215.1	XP_033325688.1
OG0000864	XP_017756553.1	XP_033332321.1, XP_033332320.1, XP_033332324.1, XP_033332323.1, XP_033332322.1
OG0000865	XP_017763437.1	XP_033335149.1
OG0000866	XP_017753827.1, XP_017753826.1	XP_033324607.1, XP_033341785.1
OG0000867	XP_017755083.1	XP_033337519.1
OG0000868	XP_017752581.1	XP_033336171.1, XP_033336175.1, XP_033336176.1, XP_033336173.1, XP_033336174.1, XP_033336172.1, XP_033336177.1
OG0000869	XP_017753115.1	XP_033333213.1
OG0000870	XP_017758621.1	XP_033336856.1
OG0000871	XP_017760625.1	XP_033336445.1
OG0000873	XP_017766134.1	XP_033322852.1, XP_033322851.1, XP_033322853.1
OG0000874	XP_017766193.1	XP_033327361.1, XP_033327441.1
OG0000875	XP_017759121.1	XP_033331099.1
OG0000875	XP_017759124.1	XP_033331097.1
OG0000876	XP_017763129.1	XP_033322096.1, XP_033322105.1
OG0000879	XP_017762194.1	XP_033332431.1
OG0000880	XP_017752982.1, XP_017752983.1, XP_017752981.1, XP_017752980.1	XP_033329658.1, XP_033329659.1
OG0000881	XP_017753874.1	XP_033324878.1
OG0000881	XP_017753872.1	XP_033324875.1
OG0000882	XP_017753983.1	XP_033339427.1, XP_033339424.1, XP_033339425.1, XP_033339430.1, XP_033339428.1, XP_033339429.1, XP_033339426.1
OG0000883	XP_017753908.1	XP_033321116.1
OG0000884	XP_017760047.1, XP_017760046.1	XP_033320960.1
OG0000885	XP_017755569.1	XP_033331677.1, XP_033331674.1, XP_033331675.1, XP_033331673.1, XP_033331678.1
OG0000886	XP_017752426.1	XP_033331284.1
OG0000887	XP_017762688.1	XP_033334407.1, XP_033334406.1
OG0000888	XP_017765484.1	XP_033331975.1
OG0000889	XP_017761029.1	XP_033335482.1, XP_033335487.1
OG0000890	XP_017764244.1	XP_033325593.1
OG0000891	XP_017753135.1, XP_017753127.1	XP_033330410.1
OG0000892	XP_017756186.1, XP_017756187.1	XP_033335225.1, XP_033335226.1, XP_033335224.1
OG0000893	XP_017764685.1	XP_033325300.1, XP_033325301.1
OG0000894	XP_017759341.1	XP_033323187.1, XP_033323195.1
OG0000895	XP_017763460.1	XP_033329555.1
OG0000896	XP_017758301.1, XP_017758300.1	XP_033323774.1, XP_033323773.1
OG0000897	XP_017767722.1, XP_017767721.1	XP_033327829.1
OG0000898	XP_017759025.1	XP_033334835.1
OG0000899	XP_017767547.1	XP_033325483.1
OG0000900	XP_017757512.1	XP_033327991.1
OG0000901	XP_017759896.1	XP_033336285.1, XP_033336289.1, XP_033336288.1, XP_033336287.1, XP_033336286.1
OG0000902	XP_017767154.1	XP_033336118.1, XP_033336119.1
OG0000903	XP_017756714.1	XP_033326490.1, XP_033326488.1
OG0000904	XP_017767507.1	XP_033325494.1
OG0000904	XP_017767510.1	XP_033325497.1
OG0000905	XP_017760851.1	XP_033335113.1
OG0000906	XP_017754325.1	XP_033329838.1
OG0000907	XP_017766319.1	XP_033329773.1
OG0000908	XP_017757213.1	XP_033338085.1
OG0000909	XP_017761336.1	XP_033321225.1, XP_033321223.1, XP_033321222.1, XP_033321226.1
OG0000910	XP_017757595.1	XP_033331135.1
OG0000911	XP_017758198.1	XP_033337146.1
OG0000912	XP_017762699.1, XP_017762698.1	XP_033340604.1
OG0000913	XP_017753209.1	XP_033328947.1
OG0000914	XP_017755349.1	XP_033324547.1, XP_033324546.1
OG0000914	XP_017755351.1	XP_033338277.1
OG0000915	XP_017762924.1	XP_033333962.1
OG0000916	XP_017764851.1, XP_017764852.1	XP_033328825.1, XP_033328824.1
OG0000917	XP_017764257.1, XP_017764256.1	XP_033340054.1, XP_033340055.1
OG0000918	XP_017753320.1	XP_033338340.1
OG0000919	XP_017756442.1	XP_033340702.1
OG0000920	XP_017763913.1, XP_017763909.1	XP_033323213.1
OG0000921	XP_017754157.1, XP_017754165.1	XP_033341205.1, XP_033341217.1, XP_033341216.1
OG0000922	XP_017754215.1	XP_033341427.1
OG0000923	XP_017757215.1, XP_017757216.1, XP_017757217.1	XP_033327106.1
OG0000924	XP_017758318.1	XP_033322688.1
OG0000925	XP_017763578.1	XP_033329155.1
OG0000926	XP_017758644.1, XP_017761974.1	XP_033343130.1
OG0000927	XP_017759525.1, XP_017759526.1	XP_033329930.1, XP_033329929.1
OG0000928	XP_017761762.1	XP_033332755.1
OG0000929	XP_017764493.1	XP_033323479.1, XP_033338191.1
OG0000930	XP_017756856.1, XP_017756855.1, XP_017756853.1	XP_033331759.1
OG0000931	XP_017758904.1, XP_017758906.1	XP_033334373.1
OG0000932	XP_017767504.1	XP_033325927.1
OG0000933	XP_017754884.1	XP_033335121.1, XP_033335117.1
OG0000934	XP_017754817.1, XP_017754818.1, XP_017754819.1	XP_033335046.1, XP_033335047.1
OG0000935	XP_017759024.1	XP_033334669.1, XP_033334666.1
OG0000936	XP_017759056.1	XP_033340793.1
OG0000937	XP_017761508.1, XP_017753252.1	XP_033331889.1, XP_033331891.1, XP_033331890.1
OG0000939	XP_017758121.1	XP_033321096.1
OG0000940	XP_017760981.1	XP_033328958.1, XP_033328957.1
OG0000941	XP_017754378.1	XP_033332327.1
OG0000942	XP_017766061.1	XP_033323014.1
OG0000943	XP_017753352.1, XP_017753353.1	XP_033330208.1
OG0000944	XP_017753911.1, XP_017753931.1, XP_017753923.1, XP_017753939.1, XP_017753915.1	XP_033336142.1
OG0000945	XP_017766044.1	XP_033333263.1, XP_033333261.1, XP_033341490.1, XP_033341498.1, XP_033341497.1
OG0000946	XP_017758112.1, XP_017758111.1	XP_033342035.1
OG0000948	XP_017756349.1	XP_033341943.1
OG0000949	XP_017759696.1	XP_033341906.1, XP_033328755.1, XP_033328745.1, XP_033337105.1, XP_033339865.1
OG0000950	XP_017764734.1	XP_033330499.1
OG0000951	XP_017767552.1	XP_033327030.1
OG0000952	XP_017759458.1	XP_033338369.1
OG0000953	XP_017767694.1, XP_017767695.1	XP_033327839.1, XP_033327838.1
OG0000954	XP_017757479.1	XP_033324078.1
OG0000955	XP_017757631.1, XP_017762323.1	XP_033341155.1, XP_033341158.1
OG0000956	XP_017752636.1	XP_033339329.1
OG0000957	XP_017765293.1	XP_033322680.1
OG0000958	XP_017762827.1	XP_033328373.1
OG0000959	XP_017764328.1	XP_033337618.1, XP_033337623.1
OG0000960	XP_017754942.1, XP_017754936.1, XP_017754937.1	XP_033337549.1
OG0000961	XP_017756622.1	XP_033327463.1
OG0000961	XP_017756609.1	XP_033327589.1
OG0000962	XP_017761644.1	XP_033327512.1
OG0000963	XP_017761625.1	XP_033327301.1, XP_033327302.1, XP_033327300.1
OG0000964	XP_017763477.1	XP_033333140.1
OG0000965	XP_017763549.1	XP_033329619.1
OG0000965	XP_017763547.1	XP_033329617.1, XP_033329618.1
OG0000966	XP_017759011.1, XP_017759007.1, XP_017759008.1, XP_017759010.1, XP_017759006.1, XP_017759009.1	XP_033327520.1, XP_033327519.1, XP_033327521.1
OG0000967	XP_017756903.1	XP_033331786.1
OG0000968	XP_017756820.1	XP_033333402.1
OG0000968	XP_017756883.1	XP_033333664.1
OG0000968	XP_017756884.1	XP_033333675.1
OG0000969	XP_017759150.1	XP_033322201.1
OG0000970	XP_017756475.1	XP_033330542.1
OG0000971	XP_017762295.1	XP_033342993.1
OG0000973	XP_017756134.1, XP_017756132.1, XP_017756133.1	XP_033335441.1, XP_033335439.1, XP_033335443.1, XP_033335438.1, XP_033335442.1
OG0000974	XP_017753956.1	XP_033339438.1, XP_033339443.1
OG0000975	XP_017766666.1, XP_017766665.1, XP_017766664.1	XP_033332065.1, XP_033332064.1
OG0000976	XP_017759316.1, XP_017759317.1	XP_033336475.1
OG0000977	XP_017763188.1, XP_017763185.1, XP_017763186.1, XP_017763187.1, XP_017763191.1, XP_017763190.1	XP_033324041.1
OG0000978	XP_017759555.1	XP_033329195.1, XP_033329194.1
OG0000979	XP_017765774.1, XP_017765775.1	XP_033322245.1
OG0000980	XP_017767709.1	XP_033339436.1, XP_033331961.1, XP_033331387.1
OG0000981	XP_017753724.1, XP_017753725.1, XP_017753726.1	XP_033340038.1
OG0000982	XP_017765320.1	XP_033330764.1
OG0000983	XP_017763443.1	XP_033342122.1, XP_033342124.1
OG0000984	XP_017764706.1	XP_033330424.1
OG0000985	XP_017766983.1	XP_033334784.1, XP_033334783.1
OG0000986	XP_017754483.1	XP_033330119.1, XP_033330201.1
OG0000987	XP_017760187.1, XP_017760168.1	XP_033338552.1, XP_033338548.1
OG0000988	XP_017752475.1	XP_033331094.1
OG0000989	XP_017752482.1, XP_017752481.1	XP_033342401.1
OG0000990	XP_017756010.1, XP_017756013.1, XP_017756014.1, XP_017756011.1	XP_033337472.1, XP_033337474.1, XP_033337473.1
OG0000991	XP_017752172.1	XP_033329100.1
OG0000992	XP_017752817.1, XP_017752818.1	XP_033341650.1, XP_033341649.1
OG0000993	XP_017767342.1	XP_033331423.1, XP_033331520.1
OG0000994	XP_017754730.1	XP_033321495.1, XP_033321496.1, XP_033321494.1
OG0000995	XP_017761679.1	XP_033322627.1
OG0000996	XP_017761272.1	XP_033334283.1, XP_033334282.1
OG0000997	XP_017752256.1, XP_017752282.1	XP_033332747.1, XP_033332748.1
OG0000998	XP_017765132.1	XP_033321317.1
OG0000999	XP_017758422.1	XP_033325685.1
OG0001000	XP_017757451.1	XP_033339264.1, XP_033339265.1, XP_033339268.1, XP_033339267.1
OG0001001	XP_017757123.1	XP_033328896.1, XP_033328898.1, XP_033328895.1, XP_033328894.1
OG0001002	XP_017759417.1, XP_017759418.1	XP_033323983.1, XP_033323984.1, XP_033323985.1
OG0001003	XP_017756922.1	XP_033325972.1
OG0001004	XP_017752914.1	XP_033338841.1
OG0001005	XP_017760850.1	XP_033342868.1
OG0001006	XP_017759608.1	XP_033339193.1, XP_033324163.1
OG0001007	XP_017755927.1	XP_033332959.1
OG0001008	XP_017755578.1	XP_033331661.1
OG0001009	XP_017755727.1	XP_033339188.1, XP_033339182.1, XP_033339192.1, XP_033339189.1, XP_033339191.1, XP_033339190.1
OG0001010	XP_017755152.1	XP_033339880.1, XP_033340391.1
OG0001011	XP_017767775.1	XP_033329150.1
OG0001012	XP_017763469.1	XP_033333089.1
OG0001013	XP_017755634.1	XP_033339491.1
OG0001014	XP_017753601.1	XP_033332463.1, XP_033332462.1
OG0001015	XP_017765476.1	XP_033342172.1
OG0001017	XP_017760237.1, XP_017760238.1	XP_033322617.1, XP_033322616.1
OG0001018	XP_017766228.1	XP_033326058.1, XP_033326059.1
OG0001019	XP_017763139.1	XP_033333127.1
OG0001020	XP_017764023.1	XP_033335272.1, XP_033335274.1
OG0001028	XP_017755164.1	XP_033340387.1, XP_033340388.1
OG0001030	XP_017757920.1	XP_033337997.1, XP_033337998.1, XP_033337999.1, XP_033338001.1, XP_033337996.1
OG0001031	XP_017755525.1	XP_033337854.1, XP_033337855.1
OG0001032	XP_017757031.1	XP_033335191.1
OG0001033	XP_017766519.1	XP_033331545.1
OG0001034	XP_017758823.1	XP_033334008.1
OG0001036	XP_017759149.1	XP_033329811.1
OG0001037	XP_017767236.1	XP_033335672.1, XP_033335673.1
OG0001038	XP_017765865.1, XP_017765867.1	XP_033324282.1
OG0001039	XP_017764930.1	XP_033342110.1
OG0001040	XP_017754790.1	XP_033335135.1, XP_033335134.1
OG0001041	XP_017759813.1	XP_033339437.1
OG0001042	XP_017761497.1	XP_033342296.1, XP_033342294.1, XP_033342295.1
OG0001043	XP_017757912.1	XP_033337388.1
OG0001044	XP_017758879.1	XP_033335077.1, XP_033335076.1, XP_033335079.1, XP_033335078.1, XP_033335080.1
OG0001045	XP_017755110.1	XP_033329985.1, XP_033329986.1, XP_033329987.1
OG0001046	XP_017766425.1, XP_017766043.1	XP_033323120.1
OG0001047	XP_017754909.1, XP_017754907.1, XP_017754904.1, XP_017754905.1, XP_017754906.1, XP_017754903.1, XP_017754908.1	XP_033335072.1
OG0001048	XP_017754997.1	XP_033333426.1
OG0001048	XP_017754996.1	XP_033329026.1
OG0001049	XP_017764800.1, XP_017764799.1	XP_033342818.1, XP_033342819.1
OG0001050	XP_017767443.1, XP_017767444.1	XP_033331490.1, XP_033331492.1, XP_033331491.1
OG0001051	XP_017764508.1, XP_017764489.1	XP_033332261.1
OG0001052	XP_017755834.1	XP_033333619.1, XP_033333620.1
OG0001053	XP_017766811.1	XP_033330230.1
