Orthogroup	Eufriesea_mexicana	Osmia_lignaria
OG0001919	XP_017762866.1	XP_034195253.1, XP_034195252.1
OG0001920	XP_017765430.1	XP_034172309.1, XP_034172308.1
OG0001921	XP_017764935.1	XP_034181565.1, XP_034181566.1, XP_034181567.1
OG0001922	XP_017753845.1	XP_034179667.1, XP_034179666.1
OG0001923	XP_017762092.1	XP_034190949.1, XP_034190948.1
OG0001924	XP_017764896.1	XP_034172099.1
OG0001925	XP_017754987.1	XP_034185417.1, XP_034185418.1
OG0001926	XP_017755466.1	XP_034194037.1
OG0001927	XP_017762521.1	XP_034171690.1
OG0001928	XP_017757481.1	XP_034176914.1, XP_034176917.1, XP_034176915.1, XP_034176918.1
OG0001929	XP_017758655.1	XP_034189316.1, XP_034189317.1, XP_034189319.1
OG0001930	XP_017767668.1	XP_034177226.1
OG0001931	XP_017763315.1	XP_034191111.1, XP_034191112.1
OG0001932	XP_017754076.1	XP_034173423.1
OG0001933	XP_017757534.1, XP_017757533.1	XP_034192641.1
OG0001934	XP_017765802.1	XP_034190455.1
OG0001935	XP_017757122.1	XP_034175866.1
OG0001936	XP_017767529.1, XP_017767531.1	XP_034185995.1
OG0001937	XP_017756291.1	XP_034188688.1
OG0001938	XP_017762843.1, XP_017762844.1, XP_017762845.1	XP_034175969.1
OG0001939	XP_017759834.1	XP_034191302.1
OG0001940	XP_017766321.1	XP_034174201.1
OG0001941	XP_017762400.1	XP_034175018.1, XP_034175024.1
OG0001942	XP_017757277.1	XP_034194326.1, XP_034194330.1
OG0001944	XP_017767751.1, XP_017767750.1, XP_017767753.1, XP_017767752.1	XP_034180321.1
OG0001945	XP_017758400.1, XP_017758401.1	XP_034189879.1, XP_034189877.1
OG0001946	XP_017763680.1, XP_017763683.1	XP_034173983.1
OG0001948	XP_017765272.1	XP_034179915.1
OG0001949	XP_017765209.1	XP_034193769.1
OG0001950	XP_017759749.1	XP_034171010.1
OG0001951	XP_017766785.1	XP_034178295.1, XP_034178296.1
OG0001952	XP_017766658.1	XP_034178519.1, XP_034178518.1
OG0001953	XP_017759753.1	XP_034171716.1, XP_034171714.1, XP_034171717.1, XP_034171715.1
OG0001954	XP_017755826.1	XP_034186283.1, XP_034186265.1, XP_034186274.1
OG0001955	XP_017767242.1	XP_034180049.1
OG0001956	XP_017762811.1	XP_034185019.1
OG0001957	XP_017763344.1, XP_017761334.1	XP_034187848.1
OG0001958	XP_017758600.1	XP_034174536.1
OG0001959	XP_017762003.1	XP_034179081.1
OG0001960	XP_017760987.1	XP_034171509.1, XP_034171510.1
OG0001961	XP_017766599.1	XP_034178650.1, XP_034178649.1
OG0001962	XP_017764207.1	XP_034190684.1
OG0001963	XP_017752847.1	XP_034193954.1, XP_034193952.1, XP_034193955.1
OG0001964	XP_017760515.1	XP_034189429.1
OG0001965	XP_017765338.1, XP_017758776.1	XP_034195781.1
OG0001966	XP_017765634.1, XP_017754457.1	XP_034196309.1
OG0001967	XP_017765211.1	XP_034179710.1
OG0001968	XP_017759640.1	XP_034176163.1
OG0001969	XP_017764322.1	XP_034190321.1, XP_034190324.1, XP_034190323.1, XP_034190322.1
OG0001970	XP_017759746.1	XP_034171929.1
OG0001971	XP_017763173.1	XP_034191887.1
OG0001972	XP_017760923.1	XP_034174954.1
OG0001973	XP_017757432.1	XP_034177542.1
OG0001974	XP_017764875.1	XP_034175656.1, XP_034175641.1
OG0001975	XP_017758928.1	XP_034196143.1, XP_034196144.1, XP_034196142.1, XP_034196145.1
OG0001976	XP_017764673.1	XP_034173056.1
OG0001977	XP_017757330.1	XP_034194397.1
OG0001978	XP_017763689.1	XP_034174078.1
OG0001979	XP_017763861.1	XP_034196465.1
OG0001980	XP_017763874.1, XP_017763873.1	XP_034172340.1, XP_034172386.1
OG0001981	XP_017763733.1	XP_034191406.1
OG0001982	XP_017752590.1, XP_017752591.1	XP_034191905.1, XP_034191903.1
OG0001983	XP_017762044.1	XP_034178929.1
OG0001984	XP_017763111.1	XP_034189360.1, XP_034189359.1, XP_034189362.1
OG0001985	XP_017764465.1	XP_034186785.1
OG0001986	XP_017764448.1, XP_017764453.1	XP_034186756.1, XP_034186759.1
OG0001987	XP_017754662.1	XP_034191167.1
OG0001988	XP_017754657.1	XP_034191177.1
OG0001989	XP_017754635.1	XP_034191183.1
OG0001990	XP_017764634.1	XP_034178554.1, XP_034178555.1
OG0001991	XP_017766552.1	XP_034177993.1, XP_034177992.1
OG0001992	XP_017766679.1	XP_034177994.1
OG0001993	XP_017766634.1	XP_034177989.1, XP_034177991.1
OG0001994	XP_017761110.1	XP_034174303.1, XP_034174304.1
OG0001995	XP_017762399.1, XP_017762398.1	XP_034175856.1
OG0001996	XP_017762610.1	XP_034181112.1
OG0001997	XP_017752975.1	XP_034181538.1
OG0001998	XP_017765034.1	XP_034194414.1, XP_034194416.1
OG0001999	XP_017766851.1	XP_034177949.1
OG0002000	XP_017766502.1	XP_034177957.1
OG0002001	XP_017761877.1	XP_034175124.1, XP_034175206.1
OG0002002	XP_017762841.1	XP_034176571.1
OG0002003	XP_017765895.1, XP_017765889.1	XP_034174717.1
OG0002004	XP_017754264.1	XP_034181872.1
OG0002005	XP_017761641.1	XP_034190247.1, XP_034190246.1
OG0002006	XP_017763622.1	XP_034184967.1
OG0002008	XP_017755988.1	XP_034196509.1
OG0002009	XP_017753808.1, XP_017753809.1	XP_034193515.1
OG0002010	XP_017753815.1	XP_034193918.1, XP_034193917.1
OG0002011	XP_017761760.1	XP_034192402.1
OG0002012	XP_017752360.1	XP_034188268.1
OG0002013	XP_017757832.1	XP_034180615.1
OG0002014	XP_017766601.1	XP_034178085.1, XP_034178081.1
OG0002016	XP_017767614.1	XP_034195585.1
OG0002017	XP_017752800.1	XP_034179845.1, XP_034179846.1
OG0002018	XP_017767041.1	XP_034182451.1
OG0002019	XP_017753916.1	XP_034181259.1
OG0002020	XP_017756898.1	XP_034184327.1
OG0002021	XP_017755039.1, XP_017755040.1	XP_034183988.1, XP_034183989.1
OG0002022	XP_017756865.1, XP_017756866.1	XP_034186469.1, XP_034186561.1
OG0002023	XP_017765341.1, XP_017765844.1	XP_034195800.1
OG0002024	XP_017753710.1	XP_034176857.1, XP_034176852.1, XP_034176851.1
OG0002025	XP_017762957.1, XP_017762946.1	XP_034192925.1
OG0002026	XP_017766094.1	XP_034195470.1, XP_034195468.1
OG0002027	XP_017764506.1	XP_034192377.1
OG0002028	XP_017763701.1	XP_034183584.1, XP_034183585.1
OG0002029	XP_017754559.1	XP_034174135.1
OG0002030	XP_017763711.1	XP_034183362.1, XP_034183358.1
OG0002031	XP_017766223.1	XP_034189663.1
OG0002032	XP_017766219.1	XP_034190024.1
OG0002033	XP_017757979.1, XP_017758370.1	XP_034183804.1
OG0002034	XP_017758090.1, XP_017758440.1	XP_034183752.1, XP_034183751.1, XP_034183750.1
OG0002035	XP_017758404.1, XP_017758429.1	XP_034189539.1
OG0002036	XP_017759340.1	XP_034180382.1
OG0002037	XP_017767126.1	XP_034190764.1
OG0002038	XP_017766882.1	XP_034190757.1
OG0002039	XP_017757704.1	XP_034189073.1, XP_034189072.1
OG0002040	XP_017762991.1	XP_034193899.1, XP_034193900.1
OG0002041	XP_017758144.1	XP_034179532.1
OG0002042	XP_017765252.1, XP_017765250.1, XP_017765251.1	XP_034179719.1
OG0002043	XP_017759511.1	XP_034173800.1
OG0002044	XP_017754529.1	XP_034185158.1, XP_034185169.1
OG0002045	XP_017754534.1	XP_034185189.1
OG0002046	XP_017763501.1	XP_034181505.1
OG0002047	XP_017767026.1	XP_034188192.1, XP_034188193.1, XP_034188194.1
OG0002048	XP_017756064.1	XP_034188652.1
OG0002049	XP_017761701.1	XP_034195413.1
OG0002050	XP_017767711.1	XP_034177022.1
OG0002051	XP_017767731.1	XP_034176894.1, XP_034176893.1
OG0002052	XP_017755000.1	XP_034183369.1, XP_034183359.1
OG0002053	XP_017758741.1	XP_034175115.1
OG0002054	XP_017767428.1	XP_034190000.1
OG0002055	XP_017764315.1	XP_034184641.1
OG0002056	XP_017752517.1	XP_034185448.1
OG0002057	XP_017752539.1	XP_034185470.1
OG0002058	XP_017761211.1, XP_017761210.1, XP_017762404.1, XP_017762453.1	XP_034184831.1
OG0002059	XP_017761634.1	XP_034190559.1
OG0002060	XP_017757528.1	XP_034176936.1
OG0002061	XP_017756798.1	XP_034180367.1
OG0002062	XP_017759866.1	XP_034180103.1, XP_034180102.1
OG0002063	XP_017757806.1	XP_034178817.1
OG0002064	XP_017756203.1	XP_034186449.1, XP_034186448.1
OG0002065	XP_017757046.1	XP_034195048.1, XP_034195044.1, XP_034195053.1, XP_034195040.1
OG0002066	XP_017757243.1	XP_034194571.1
OG0002067	XP_017757161.1	XP_034194521.1, XP_034194492.1
OG0002068	XP_017759668.1	XP_034183281.1, XP_034183368.1
OG0002069	XP_017767370.1	XP_034189806.1
OG0002070	XP_017767226.1	XP_034191793.1
OG0002072	XP_017765381.1, XP_017765379.1, XP_017765380.1	XP_034189487.1
OG0002073	XP_017758447.1	XP_034186233.1
OG0002074	XP_017760860.1	XP_034175830.1
OG0002075	XP_017760799.1	XP_034175464.1
OG0002076	XP_017760955.1	XP_034193374.1, XP_034193373.1
OG0002077	XP_017757255.1	XP_034187509.1
OG0002078	XP_017767207.1	XP_034174459.1
OG0002079	XP_017756908.1	XP_034184437.1
OG0002080	XP_017756924.1	XP_034184368.1
OG0002081	XP_017754519.1	XP_034174655.1
OG0002082	XP_017758726.1, XP_017758725.1, XP_017758727.1	XP_034177125.1
OG0002083	XP_017757494.1	XP_034192646.1
OG0002084	XP_017757454.1	XP_034177564.1
OG0002085	XP_017757049.1	XP_034171202.1
OG0002086	XP_017758194.1	XP_034175726.1, XP_034175715.1
OG0002087	XP_017765123.1	XP_034180070.1
OG0002088	XP_017762718.1	XP_034184491.1, XP_034184141.1
OG0002089	XP_017759534.1	XP_034185627.1, XP_034185630.1
OG0002090	XP_017753322.1	XP_034174785.1
OG0002091	XP_017753282.1	XP_034174960.1
OG0002092	XP_017753125.1	XP_034181268.1
OG0002093	XP_017753187.1, XP_017753186.1	XP_034175192.1
OG0002094	XP_017756296.1	XP_034189406.1, XP_034189403.1
OG0002095	XP_017766352.1	XP_034170968.1
OG0002096	XP_017766351.1	XP_034171360.1
OG0002097	XP_017766389.1	XP_034189320.1
OG0002098	XP_017759286.1	XP_034186728.1
OG0002099	XP_017760100.1	XP_034187392.1
OG0002100	XP_017757188.1	XP_034187428.1
OG0002101	XP_017760120.1, XP_017760119.1	XP_034187732.1
OG0002102	XP_017761783.1, XP_017759822.1	XP_034191311.1, XP_034191310.1
OG0002103	XP_017753265.1, XP_017753263.1	XP_034178896.1
OG0002104	XP_017759499.1	XP_034185686.1, XP_034185685.1
OG0002105	XP_017761158.1	XP_034177656.1
OG0002106	XP_017763391.1	XP_034193089.1
OG0002108	XP_017762321.1	XP_034176220.1, XP_034176221.1
OG0002109	XP_017754050.1	XP_034172118.1
OG0002110	XP_017754079.1	XP_034173410.1
OG0002111	XP_017767602.1	XP_034195768.1
OG0002112	XP_017753703.1, XP_017753692.1	XP_034195659.1
OG0002113	XP_017758932.1	XP_034194001.1
OG0002114	XP_017757639.1	XP_034173225.1
OG0002115	XP_017759051.1	XP_034191969.1, XP_034191960.1
OG0002116	XP_017755105.1	XP_034181337.1, XP_034181336.1
OG0002117	XP_017757913.1	XP_034185441.1
OG0002118	XP_017763719.1	XP_034176317.1
OG0002119	XP_017763713.1	XP_034175230.1, XP_034175228.1
OG0002120	XP_017763727.1	XP_034176246.1
OG0002121	XP_017765637.1	XP_034182227.1
OG0002122	XP_017764812.1	XP_034188426.1
OG0002123	XP_017764933.1	XP_034181599.1
OG0002124	XP_017756794.1	XP_034182023.1, XP_034182025.1
OG0002125	XP_017766152.1	XP_034194750.1
OG0002126	XP_017764803.1	XP_034182302.1, XP_034182301.1
OG0002127	XP_017754557.1, XP_017754558.1	XP_034173934.1, XP_034173932.1
OG0002128	XP_017757131.1	XP_034173783.1, XP_034173782.1
OG0002130	XP_017756571.1	XP_034173718.1
OG0002131	XP_017756684.1	XP_034191563.1
OG0002132	XP_017758566.1, XP_017758567.1, XP_017758570.1, XP_017758569.1, XP_017758568.1	XP_034187335.1
OG0002133	XP_017759047.1	XP_034173898.1, XP_034173896.1
OG0002134	XP_017761384.1	XP_034192660.1
OG0002135	XP_017758221.1	XP_034177744.1
OG0002136	XP_017767650.1	XP_034177503.1
OG0002137	XP_017760165.1, XP_017760163.1	XP_034195828.1
OG0002138	XP_017761728.1	XP_034194751.1, XP_034194743.1
OG0002139	XP_017752299.1	XP_034181217.1
OG0002140	XP_017762832.1	XP_034176060.1, XP_034176067.1
OG0002141	XP_017760286.1	XP_034187921.1, XP_034187922.1
OG0002142	XP_017755884.1	XP_034185608.1
OG0002143	XP_017753459.1	XP_034173569.1
OG0002144	XP_017762351.1, XP_017752972.1, XP_017752973.1	XP_034181515.1
OG0002145	XP_017754930.1	XP_034185225.1, XP_034185224.1
OG0002146	XP_017752673.1, XP_017752671.1	XP_034181426.1, XP_034181423.1
OG0002147	XP_017758827.1	XP_034196424.1
OG0002148	XP_017764048.1, XP_017764049.1	XP_034171194.1
OG0002149	XP_017755819.1	XP_034184505.1
OG0002150	XP_017762940.1	XP_034185952.1, XP_034185953.1
OG0002151	XP_017758371.1	XP_034185772.1
OG0002152	XP_017753452.1	XP_034181421.1
OG0002153	XP_017763406.1	XP_034175496.1
OG0002154	XP_017761911.1	XP_034174912.1
OG0002155	XP_017752875.1	XP_034186537.1, XP_034186538.1, XP_034186536.1, XP_034186535.1
OG0002156	XP_017757735.1, XP_017757809.1, XP_017757734.1	XP_034178120.1
OG0002157	XP_017759935.1, XP_017759936.1	XP_034192107.1
OG0002158	XP_017757073.1	XP_034179978.1, XP_034179977.1
OG0002159	XP_017760563.1	XP_034191714.1
OG0002160	XP_017763176.1	XP_034180902.1
OG0002162	XP_017759077.1	XP_034172177.1, XP_034172176.1, XP_034172174.1, XP_034172173.1, XP_034172175.1
OG0002163	XP_017753828.1	XP_034179579.1
OG0002164	XP_017765216.1	XP_034179714.1
OG0002165	XP_017753777.1	XP_034193839.1
OG0002166	XP_017765283.1	XP_034187062.1
OG0002167	XP_017756690.1, XP_017756689.1	XP_034194172.1
OG0002168	XP_017753391.1, XP_017753392.1	XP_034175979.1
OG0002169	XP_017764850.1	XP_034172551.1, XP_034172552.1
OG0002170	XP_017755193.1	XP_034177825.1
OG0002171	XP_017755185.1	XP_034174511.1
OG0002172	XP_017762838.1	XP_034175242.1, XP_034175241.1, XP_034175240.1, XP_034175239.1
OG0002173	XP_017753214.1	XP_034174993.1
OG0002174	XP_017758055.1, XP_017758053.1	XP_034189189.1
OG0002175	XP_017757998.1	XP_034188250.1
OG0002176	XP_017756320.1	XP_034196499.1
OG0002177	XP_017758942.1, XP_017758943.1	XP_034188695.1
OG0002178	XP_017756412.1	XP_034189329.1
OG0002179	XP_017762928.1	XP_034194760.1, XP_034194759.1
OG0002180	XP_017755954.1	XP_034182762.1, XP_034182763.1, XP_034182760.1
OG0002182	XP_017755380.1, XP_017755377.1	XP_034182657.1
OG0002183	XP_017762338.1	XP_034182675.1
OG0002184	XP_017763822.1	XP_034183756.1
OG0002185	XP_017756484.1, XP_017756489.1	XP_034174264.1
OG0002186	XP_017764106.1	XP_034187662.1
OG0002187	XP_017756086.1	XP_034174964.1
OG0002188	XP_017767645.1	XP_034173821.1
OG0002189	XP_017767622.1	XP_034174791.1, XP_034174790.1
OG0002190	XP_017765803.1	XP_034184684.1
OG0002191	XP_017767658.1	XP_034177886.1, XP_034177887.1, XP_034177888.1
OG0002192	XP_017767725.1	XP_034177210.1, XP_034177209.1
OG0002193	XP_017753315.1	XP_034172715.1
OG0002194	XP_017755649.1, XP_017755648.1	XP_034177782.1
OG0002195	XP_017757504.1	XP_034192794.1
OG0002196	XP_017755623.1	XP_034177774.1
OG0002197	XP_017762030.1	XP_034177074.1
OG0002198	XP_017757517.1	XP_034177389.1
OG0002199	XP_017757515.1	XP_034176779.1
OG0002200	XP_017752848.1, XP_017752857.1	XP_034177413.1
OG0002201	XP_017761400.1	XP_034192717.1
OG0002202	XP_017755234.1	XP_034177484.1
OG0002203	XP_017755272.1, XP_017755276.1	XP_034192879.1
OG0002204	XP_017758228.1	XP_034184184.1, XP_034184180.1
OG0002205	XP_017756577.1	XP_034196204.1
OG0002206	XP_017766092.1	XP_034192915.1
OG0002207	XP_017761966.1	XP_034175548.1
OG0002208	XP_017763574.1	XP_034173207.1, XP_034173206.1
OG0002209	XP_017760263.1	XP_034171474.1
OG0002210	XP_017766163.1	XP_034195807.1
OG0002211	XP_017762616.1	XP_034181589.1, XP_034181590.1, XP_034181591.1
OG0002212	XP_017759799.1	XP_034176694.1, XP_034176660.1
OG0002214	XP_017754305.1, XP_017754306.1	XP_034181495.1
OG0002215	XP_017754279.1	XP_034181449.1, XP_034181450.1
OG0002216	XP_017759615.1	XP_034187532.1
OG0002218	XP_017759570.1	XP_034190387.1, XP_034190388.1
OG0002219	XP_017756629.1	XP_034185200.1
OG0002220	XP_017763450.1	XP_034192497.1
OG0002222	XP_017763710.1	XP_034183420.1
OG0002223	XP_017758967.1	XP_034190607.1
OG0002224	XP_017755734.1	XP_034184394.1, XP_034184393.1
OG0002225	XP_017758891.1	XP_034184560.1
OG0002226	XP_017758895.1	XP_034174269.1
OG0002227	XP_017755821.1	XP_034185997.1, XP_034186007.1
OG0002228	XP_017759215.1, XP_017759214.1, XP_017759216.1	XP_034175198.1
OG0002229	XP_017757911.1	XP_034191778.1
OG0002230	XP_017756481.1	XP_034190190.1, XP_034190187.1, XP_034190188.1
OG0002231	XP_017766240.1	XP_034190011.1
OG0002232	XP_017766222.1	XP_034190005.1
OG0002233	XP_017760668.1, XP_017760863.1	XP_034176128.1
OG0002234	XP_017761951.1	XP_034175438.1, XP_034175435.1
OG0002235	XP_017755188.1	XP_034181909.1
OG0002237	XP_017763258.1	XP_034193428.1
OG0002238	XP_017754383.1	XP_034193399.1, XP_034193397.1
OG0002239	XP_017754797.1	XP_034175960.1, XP_034175961.1
OG0002240	XP_017764650.1	XP_034173001.1
OG0002241	XP_017763735.1	XP_034182919.1
OG0002242	XP_017753418.1	XP_034186614.1
OG0002243	XP_017766495.1	XP_034178356.1
OG0002244	XP_017766837.1, XP_017766838.1	XP_034178233.1
OG0002245	XP_017757773.1	XP_034178170.1, XP_034178169.1, XP_034178171.1
OG0002247	XP_017759301.1	XP_034180336.1
OG0002248	XP_017760537.1	XP_034191678.1
OG0002249	XP_017759345.1	XP_034191470.1, XP_034195284.1, XP_034195275.1
OG0002250	XP_017760594.1	XP_034192089.1
OG0002251	XP_017766020.1	XP_034172581.1, XP_034172582.1
OG0002252	XP_017759336.1	XP_034191427.1
OG0002253	XP_017761854.1	XP_034179738.1, XP_034179744.1
OG0002254	XP_017764719.1	XP_034179014.1
OG0002255	XP_017762041.1	XP_034179348.1, XP_034179347.1, XP_034179346.1, XP_034179344.1, XP_034179343.1
OG0002256	XP_017764234.1	XP_034175977.1
OG0002257	XP_017753844.1	XP_034179668.1
OG0002258	XP_017756035.1	XP_034185331.1, XP_034185338.1
OG0002259	XP_017752860.1	XP_034178997.1
OG0002260	XP_017762485.1	XP_034186833.1
OG0002261	XP_017761035.1	XP_034177469.1
OG0002263	XP_017755892.1, XP_017759823.1, XP_017762593.1	XP_034179688.1
OG0002264	XP_017753362.1	XP_034179413.1
OG0002265	XP_017766374.1	XP_034170812.1
OG0002266	XP_017753400.1	XP_034176362.1
OG0002267	XP_017765480.1	XP_034189133.1, XP_034189134.1, XP_034189131.1, XP_034189130.1, XP_034189132.1
OG0002268	XP_017762849.1	XP_034190730.1, XP_034190729.1
OG0002269	XP_017767285.1, XP_017767284.1	XP_034180835.1, XP_034180836.1
OG0002270	XP_017752711.1	XP_034194012.1
OG0002272	XP_017754068.1	XP_034173415.1
OG0002273	XP_017767764.1, XP_017767763.1	XP_034192251.1
OG0002274	XP_017766079.1	XP_034195819.1
OG0002275	XP_017761187.1, XP_017761188.1	XP_034195855.1
OG0002276	XP_017763466.1	XP_034187930.1, XP_034187932.1, XP_034187931.1
OG0002277	XP_017754516.1	XP_034185187.1
OG0002278	XP_017758657.1	XP_034171667.1, XP_034171666.1, XP_034171668.1
OG0002279	XP_017761009.1, XP_017761008.1	XP_034186933.1, XP_034186934.1
OG0002280	XP_017762986.1	XP_034196592.1, XP_034196598.1
OG0002281	XP_017757955.1	XP_034191961.1
OG0002283	XP_017767034.1	XP_034194717.1
OG0002284	XP_017760107.1	XP_034187464.1, XP_034187463.1, XP_034187465.1
OG0002285	XP_017764542.1	XP_034173490.1, XP_034173491.1
OG0002287	XP_017754449.1	XP_034185946.1
OG0002288	XP_017763397.1	XP_034193098.1, XP_034193099.1
OG0002289	XP_017764558.1	XP_034190208.1
OG0002290	XP_017767396.1	XP_034186005.1, XP_034186006.1, XP_034186003.1, XP_034186004.1
OG0002291	XP_017767485.1	XP_034185835.1
OG0002292	XP_017761477.1	XP_034183749.1
OG0002293	XP_017762891.1	XP_034180618.1
OG0002294	XP_017758086.1	XP_034179218.1, XP_034179215.1
OG0002295	XP_017763958.1	XP_034171463.1
OG0002296	XP_017767048.1	XP_034182531.1
OG0002297	XP_017756336.1, XP_017756327.1	XP_034173693.1
OG0002298	XP_017758717.1, XP_017758718.1	XP_034177132.1, XP_034177131.1
OG0002299	XP_017757485.1	XP_034176863.1
OG0002300	XP_017753933.1	XP_034181816.1
OG0002301	XP_017756279.1	XP_034190356.1
OG0002302	XP_017760786.1	XP_034193286.1, XP_034193284.1, XP_034193287.1
OG0002303	XP_017765394.1	XP_034189444.1, XP_034189445.1
OG0002304	XP_017758390.1, XP_017758391.1	XP_034183370.1
OG0002305	XP_017759237.1	XP_034184181.1
OG0002306	XP_017755770.1	XP_034184311.1
OG0002307	XP_017755387.1	XP_034188480.1, XP_034188479.1
OG0002308	XP_017765935.1, XP_017765934.1, XP_017765825.1	XP_034174734.1, XP_034174733.1
OG0002309	XP_017764501.1	XP_034181193.1, XP_034185442.1
OG0002310	XP_017759517.1	XP_034190454.1
OG0002311	XP_017754175.1	XP_034173365.1, XP_034173366.1
OG0002312	XP_017752811.1, XP_017752803.1	XP_034177461.1
OG0002313	XP_017755238.1	XP_034177487.1, XP_034177486.1, XP_034177488.1
OG0002314	XP_017766022.1	XP_034172646.1
OG0002315	XP_017758734.1	XP_034192953.1
OG0002316	XP_017767279.1	XP_034180858.1
OG0002317	XP_017766299.1	XP_034183509.1
OG0002318	XP_017757446.1	XP_034177645.1, XP_034177646.1, XP_034177647.1
OG0002319	XP_017756688.1	XP_034186386.1
OG0002320	XP_017753769.1, XP_017753768.1	XP_034193677.1, XP_034193676.1
OG0002321	XP_017767724.1	XP_034177203.1, XP_034177201.1
OG0002322	XP_017767633.1	XP_034183941.1
OG0002323	XP_017764307.1	XP_034185350.1
OG0002324	XP_017760691.1	XP_034193456.1
OG0002325	XP_017767371.1	XP_034186086.1
OG0002326	XP_017764937.1	XP_034181544.1, XP_034181545.1
OG0002327	XP_017762721.1, XP_017762720.1	XP_034188902.1
OG0002328	XP_017766220.1	XP_034183535.1, XP_034183536.1
OG0002329	XP_017759579.1	XP_034185690.1
OG0002330	XP_017753346.1	XP_034172974.1
OG0002331	XP_017758558.1	XP_034173871.1
OG0002332	XP_017762495.1	XP_034186842.1
OG0002333	XP_017763728.1	XP_034176326.1
OG0002334	XP_017762814.1	XP_034172851.1
OG0002335	XP_017761407.1	XP_034190890.1, XP_034190891.1
OG0002336	XP_017757318.1	XP_034194519.1
OG0002337	XP_017752257.1	XP_034181568.1
OG0002338	XP_017754734.1	XP_034189127.1, XP_034189128.1, XP_034189129.1
OG0002339	XP_017767313.1	XP_034185798.1, XP_034185799.1, XP_034185797.1
OG0002340	XP_017767615.1	XP_034173829.1, XP_034173830.1
OG0002341	XP_017756676.1	XP_034191578.1
OG0002342	XP_017757842.1	XP_034180330.1
OG0002343	XP_017763526.1	XP_034187445.1
OG0002344	XP_017763247.1	XP_034173145.1
OG0002345	XP_017760658.1	XP_034171447.1
OG0002347	XP_017764894.1	XP_034181278.1
OG0002348	XP_017757241.1, XP_017757245.1, XP_017757244.1, XP_017757242.1	XP_034187417.1
OG0002349	XP_017754028.1, XP_017754029.1	XP_034172126.1, XP_034172128.1, XP_034172127.1
OG0002350	XP_017764025.1, XP_017764024.1	XP_034195598.1
OG0002351	XP_017759333.1	XP_034191490.1
OG0002352	XP_017767569.1	XP_034193217.1
OG0002353	XP_017761726.1	XP_034194468.1
OG0002354	XP_017760846.1	XP_034193274.1
OG0002355	XP_017760838.1	XP_034193300.1
OG0002356	XP_017764341.1	XP_034182547.1, XP_034182546.1, XP_034182549.1
OG0002357	XP_017765005.1	XP_034182757.1
OG0002358	XP_017761544.1	XP_034192083.1, XP_034192084.1
OG0002359	XP_017756795.1	XP_034180383.1
OG0002360	XP_017759111.1	XP_034172872.1, XP_034172873.1, XP_034172871.1
OG0002361	XP_017759054.1, XP_017759055.1	XP_034196350.1, XP_034196351.1, XP_034196352.1
OG0002362	XP_017752458.1	XP_034196186.1
OG0002362	XP_017755945.1	XP_034187608.1
OG0002363	XP_017758375.1, XP_017758376.1	XP_034186309.1
OG0002364	XP_017764117.1	XP_034186029.1, XP_034186032.1, XP_034186031.1, XP_034186030.1
OG0002365	XP_017763980.1	XP_034196240.1
OG0002367	XP_017758722.1, XP_017758731.1, XP_017758713.1	XP_034176195.1, XP_034176197.1, XP_034176196.1
OG0002368	XP_017761474.1	XP_034175207.1
OG0002369	XP_017766517.1	XP_034178108.1
OG0002370	XP_017761606.1	XP_034191893.1
OG0002372	XP_017760334.1, XP_017760333.1	XP_034190213.1
OG0002373	XP_017767074.1	XP_034188182.1
OG0002374	XP_017759148.1	XP_034171297.1
OG0002383	XP_017752386.1	XP_034188468.1
OG0002384	XP_017758120.1, XP_017758119.1	XP_034179183.1
OG0002385	XP_017767659.1	XP_034177880.1, XP_034177881.1, XP_034177879.1
OG0002386	XP_017758703.1	XP_034176204.1
OG0002387	XP_017762607.1	XP_034181526.1
OG0002388	XP_017763305.1	XP_034187069.1
OG0002389	XP_017755889.1	XP_034179420.1
OG0002390	XP_017756651.1	XP_034180429.1, XP_034180430.1, XP_034180431.1
OG0002391	XP_017762052.1	XP_034178932.1
OG0002392	XP_017761310.1	XP_034176648.1
OG0002393	XP_017755031.1	XP_034184582.1, XP_034184581.1
OG0002394	XP_017761292.1, XP_017761294.1	XP_034171887.1
OG0002395	XP_017759304.1	XP_034191979.1
OG0002396	XP_017767631.1, XP_017767632.1	XP_034196131.1
OG0002397	XP_017752229.1	XP_034178854.1
OG0002398	XP_017758285.1	XP_034196102.1
OG0002399	XP_017756025.1, XP_017756034.1	XP_034174476.1
OG0002400	XP_017759099.1	XP_034181836.1
OG0002401	XP_017755653.1	XP_034192865.1, XP_034192866.1
OG0002402	XP_017764176.1, XP_017764177.1	XP_034190362.1
OG0002403	XP_017767319.1	XP_034186063.1
OG0002404	XP_017763206.1	XP_034180646.1
OG0002405	XP_017754045.1	XP_034172073.1, XP_034172070.1
OG0002406	XP_017763093.1	XP_034180974.1
OG0002407	XP_017760942.1	XP_034176101.1
OG0002408	XP_017760357.1	XP_034176231.1
OG0002409	XP_017762815.1	XP_034172840.1
OG0002411	XP_017758171.1	XP_034193660.1
OG0002412	XP_017759493.1	XP_034195513.1
OG0002413	XP_017767435.1	XP_034190140.1
OG0002414	XP_017754069.1	XP_034173467.1
OG0002415	XP_017754718.1	XP_034171718.1
OG0002416	XP_017752665.1	XP_034174311.1, XP_034174310.1
OG0002417	XP_017757785.1	XP_034178699.1, XP_034178701.1
