Orthogroup	Eufriesea_mexicana	Bombus_terrestris
OG0001447	XP_017754393.1	XP_003396733.1
OG0001448	XP_017755737.1, XP_017755736.1	XP_012167129.2
OG0001449	XP_017757959.1	XP_012173394.1, XP_012173393.1
OG0001450	XP_017767345.1, XP_017767349.1	XP_020720734.1
OG0001451	XP_017755108.1	XP_020721006.1
OG0001452	XP_017765433.1	XP_003392862.1
OG0001453	XP_017755103.1	XP_012168897.1
OG0001453	XP_017755081.1	XP_020721039.1
OG0001454	XP_017757026.1	XP_020719511.1
OG0001455	XP_017756145.1, XP_017756143.1	XP_003399511.1
OG0001456	XP_017753420.1	XP_012169972.1, XP_012169974.1, XP_012169971.1
OG0001457	XP_017761048.1	XP_003399532.1
OG0001458	XP_017753363.1	XP_020721879.1
OG0001459	XP_017763227.1	XP_020722111.1
OG0001460	XP_017762887.1	XP_020722268.1, XP_020722269.1, XP_003400699.1
OG0001462	XP_017764248.1	XP_012176762.1, XP_012176764.1, XP_012176763.1
OG0001463	XP_017758133.1, XP_017758131.1	XP_020722599.1
OG0001464	XP_017762063.1, XP_017762062.1	XP_020722786.1
OG0001465	XP_017762491.1, XP_017762490.1, XP_017762492.1	XP_003402261.2
OG0001466	XP_017764898.1	XP_003396399.1
OG0001467	XP_017764431.1	XP_012170144.1
OG0001469	XP_017760779.1	XP_012172177.1, XP_012172215.1, XP_020724038.1, XP_012172198.1, XP_012172190.1
OG0001470	XP_017753068.1	XP_012175903.1
OG0001471	XP_017761276.1, XP_017761275.1	XP_012171226.1, XP_003393592.1, XP_020723737.1, XP_012171216.1
OG0001472	XP_017759026.1	XP_020720897.1, XP_012169101.1, XP_012169102.1, XP_012169103.1, XP_003398958.1, XP_020720896.1
OG0001473	XP_017764384.1, XP_017764385.1	XP_003396554.1
OG0001474	XP_017759657.1	XP_020719583.1, XP_020719584.1
OG0001475	XP_017759102.1	XP_012168461.1
OG0001476	XP_017754274.1	XP_012166489.1
OG0001477	XP_017756668.1	XP_012174519.1
OG0001478	XP_017765404.1	XP_003397073.1
OG0001479	XP_017759881.1	XP_012171569.1, XP_012171568.1, XP_012171570.1
OG0001480	XP_017764816.1	XP_020724078.1, XP_012175886.1
OG0001481	XP_017764323.1, XP_017764331.1	XP_012170298.1
OG0001482	XP_017766852.1, XP_017766853.1	XP_003400227.1
OG0001483	XP_017759912.1	XP_012171515.1, XP_003400563.1
OG0001484	XP_017765238.1	XP_012172145.1
OG0001485	XP_017757050.1	XP_003393823.1
OG0001486	XP_017767082.1	XP_003394255.1
OG0001487	XP_017767029.1	XP_012176080.1, XP_012176078.1, XP_012176076.1, XP_003394250.1, XP_012176077.1, XP_020724133.1
OG0001488	XP_017757493.1	XP_012164244.1, XP_003395722.1
OG0001489	XP_017759072.1, XP_017759071.1, XP_017763598.1	XP_003393249.1, XP_012165153.1
OG0001490	XP_017764262.1, XP_017764263.1	XP_012166785.1, XP_003397550.1
OG0001491	XP_017762871.1	XP_012171646.1, XP_012171645.1, XP_003400728.1
OG0001492	XP_017766191.1	XP_012175914.1
OG0001493	XP_017761094.1	XP_003395188.1
OG0001494	XP_017752746.1, XP_017752760.1, XP_017752755.1, XP_017752737.1, XP_017752729.1	XP_012163934.1
OG0001495	XP_017756160.1	XP_020721557.1, XP_020721556.1
OG0001496	XP_017755605.1	XP_012164431.1
OG0001497	XP_017764217.1, XP_017764218.1	XP_012176755.1
OG0001498	XP_017758854.1, XP_017758865.1	XP_020721102.1, XP_003398974.1
OG0001499	XP_017758958.1	XP_003398972.1, XP_012169129.1
OG0001500	XP_017766972.1	XP_003394216.1
OG0001501	XP_017766099.1, XP_017766100.1	XP_003396087.1, XP_012164771.1
OG0001502	XP_017752417.1, XP_017752418.1, XP_017752415.1, XP_017752416.1, XP_017752419.1	XP_003394468.2
OG0001503	XP_017755655.1	XP_012164409.1
OG0001504	XP_017761405.1	XP_003399846.1, XP_012170486.1
OG0001505	XP_017758618.1	XP_003395116.1
OG0001506	XP_017760383.1, XP_017760386.1	XP_020720976.1, XP_003398681.1
OG0001507	XP_017758417.1, XP_017757880.1	XP_012175372.1
OG0001508	XP_017762208.1	XP_012166942.1, XP_003397454.1
OG0001509	XP_017759891.1, XP_017759892.1	XP_012171561.1
OG0001510	XP_017761101.1	XP_003395191.1, XP_012163645.1
OG0001511	XP_017757457.1	XP_012164361.1
OG0001512	XP_017760813.1	XP_012169332.1
OG0001513	XP_017755957.1	XP_003402478.1, XP_020723341.1
OG0001514	XP_017756942.1	XP_020720035.1, XP_012166833.1
OG0001515	XP_017754887.1	XP_012168098.1, XP_012168097.1
OG0001516	XP_017761133.1, XP_017761131.1, XP_017761132.1	XP_020719723.1, XP_012169444.1
OG0001517	XP_017767762.1, XP_017767761.1	XP_012174753.1, XP_020723678.1
OG0001525	XP_017765706.1, XP_017765707.1	XP_003393855.1, XP_012175335.1, XP_012175339.1
OG0001526	XP_017758853.1	XP_012166790.1
OG0001527	XP_017755476.1	XP_003400548.1
OG0001528	XP_017759231.1	XP_003397991.1
OG0001529	XP_017758058.1	XP_012172197.1
OG0001530	XP_017759248.1	XP_020720003.1, XP_020720004.1
OG0001531	XP_017766636.1	XP_012170705.1, XP_020721926.1, XP_012170704.1
OG0001532	XP_017766273.1, XP_017753040.1	XP_003402761.1
OG0001533	XP_017766283.1	XP_003402775.1
OG0001534	XP_017758996.1	XP_003403105.1
OG0001535	XP_017761351.1	XP_012164167.1
OG0001536	XP_017762418.1	XP_003402719.1, XP_020723562.1
OG0001537	XP_017759098.1	XP_012168533.1
OG0001539	XP_017755686.1	XP_003393420.1
OG0001540	XP_017759414.1	XP_020723076.1, XP_003402026.1
OG0001541	XP_017759351.1	XP_003400669.1
OG0001542	XP_017759225.1	XP_003398015.2
OG0001543	XP_017766368.1	XP_003393976.1, XP_003393975.1
OG0001544	XP_017757326.1	XP_020724197.1, XP_012175940.1
OG0001545	XP_017762870.1	XP_012171650.1
OG0001546	XP_017755706.1	XP_012167159.1
OG0001546	XP_017755702.1	XP_020720109.1
OG0001547	XP_017757051.1	XP_003393812.1, XP_012174893.1
OG0001548	XP_017759470.1	XP_003398697.1, XP_012168705.1, XP_020720894.1
OG0001549	XP_017763319.1	XP_003399529.1, XP_020721649.1
OG0001550	XP_017752606.1	XP_003396466.1
OG0001551	XP_017760070.1	XP_012174160.1, XP_003402429.1
OG0001552	XP_017764267.1	XP_003397544.1
OG0001553	XP_017763073.1	XP_003397192.1
OG0001554	XP_017760349.1, XP_017760347.1	XP_020720887.1, XP_012168659.1, XP_012168660.1, XP_003398680.1
OG0001555	XP_017763925.1	XP_012168826.1
OG0001556	XP_017753713.1	XP_012173875.1
OG0001557	XP_017758745.1	XP_003395707.1
OG0001558	XP_017762970.1	XP_012175765.1
OG0001559	XP_017766293.1	XP_012174448.1
OG0001560	XP_017761630.1	XP_012174992.2
OG0001561	XP_017758923.1	XP_020723894.1, XP_012175490.1, XP_003402935.1
OG0001562	XP_017756680.1	XP_003400434.1
OG0001563	XP_017761143.1	XP_020720559.1
OG0001564	XP_017766131.1	XP_003396165.1
OG0001565	XP_017762937.1	XP_003398427.1
OG0001566	XP_017762803.1	XP_012165524.1, XP_020719614.1, XP_020719613.1, XP_020719612.1, XP_020719611.1, XP_012165525.1
OG0001567	XP_017757098.1, XP_017757099.1	XP_012166008.1, XP_012166009.1
OG0001568	XP_017763781.1	XP_020719373.1, XP_020719374.1, XP_012166115.1
OG0001570	XP_017767563.1	XP_012167253.1, XP_012167252.1, XP_003397659.1, XP_003397660.1, XP_003397658.1, XP_012167254.1
OG0001571	XP_017754444.1	XP_003396230.1
OG0001572	XP_017761643.1, XP_017761642.1	XP_012174974.1
OG0001573	XP_017752639.1	XP_003396457.1
OG0001574	XP_017756971.1	XP_012165807.1, XP_003396718.1, XP_012165809.1, XP_012165808.1
OG0001575	XP_017761273.1	XP_012171061.1, XP_012171050.1
OG0001576	XP_017756213.1	XP_003399490.1
OG0001577	XP_017764600.1	XP_020723780.1
OG0001578	XP_017752540.1	XP_003401693.1
OG0001579	XP_017760903.1	XP_012169320.1
OG0001580	XP_017760735.1	XP_012169270.1
OG0001581	XP_017764098.1	XP_012167536.1
OG0001582	XP_017757413.1	XP_020718687.1
OG0001583	XP_017765728.1	XP_003393843.1
OG0001584	XP_017765149.1	XP_003396994.1
OG0001585	XP_017753227.1	XP_003396301.3, XP_020719400.1
OG0001586	XP_017762755.1, XP_017762746.1, XP_017762743.1	XP_012163134.2
OG0001587	XP_017763570.1	XP_020721738.1
OG0001588	XP_017762560.1	XP_020720476.1
OG0001589	XP_017764469.1	XP_020721633.1
OG0001590	XP_017757085.1	XP_003396857.1
OG0001591	XP_017763779.1	XP_020719333.1
OG0001592	XP_017752447.1	XP_012164972.1
OG0001593	XP_017753773.1	XP_012172674.1
OG0001594	XP_017753971.1	XP_020722447.1
OG0001595	XP_017759609.1	XP_003397629.1, XP_020720213.1
OG0001596	XP_017764860.1	XP_020718242.1, XP_020718241.1, XP_012176117.1
OG0001597	XP_017766854.1	XP_003400228.1, XP_020721967.1
OG0001598	XP_017762854.1	XP_012169515.1, NP_001267859.1
OG0001599	XP_017763041.1	XP_020720813.1, XP_012166532.1
OG0001600	XP_017765962.1	XP_012163305.1, XP_012163307.1
OG0001601	XP_017753158.1	XP_012165145.1, XP_012165144.1, XP_012165146.1, XP_003396469.1
OG0001602	XP_017760989.1, XP_017760991.1	XP_012171519.1, XP_003393608.1
OG0001603	XP_017753120.1	XP_003397060.1
OG0001604	XP_017752341.1	XP_020724289.1
OG0001605	XP_017763075.1	XP_012166522.1, XP_003397182.1
OG0001606	XP_017763062.1	XP_003397179.1
OG0001607	XP_017762246.1	XP_003395928.1, XP_012164714.1, XP_012164713.1, XP_012164712.1
OG0001608	XP_017752280.1	XP_003403284.2
OG0001609	XP_017763207.1	XP_020722257.1
OG0001610	XP_017760600.1, XP_017760599.1	XP_012171806.1, XP_020722196.1, XP_012171807.1
OG0001611	XP_017752430.1, XP_017752429.1, XP_017752428.1	XP_012176348.1
OG0001612	XP_017767233.1	XP_012163339.1, XP_012163340.1, XP_012163336.1
OG0001613	XP_017752856.1, XP_017752855.1	XP_012172504.1
OG0001614	XP_017766933.1	XP_003394214.1
OG0001614	XP_017766947.1	XP_012176026.1
OG0001615	XP_017761058.1	XP_012170290.1
OG0001616	XP_017754743.1	XP_003394074.2, XP_020723984.1
OG0001617	XP_017755810.1	XP_012167107.1
OG0001618	XP_017755812.1	XP_003397757.1, XP_012167101.1, XP_012167103.1
OG0001619	XP_017758837.1, XP_017758836.1, XP_017758834.1, XP_017758835.1	XP_012167581.1
OG0001620	XP_017758855.1	XP_003397560.1
OG0001621	XP_017763245.1	XP_020720078.1, XP_020720079.1, XP_012167385.1, XP_020720077.1
OG0001622	XP_017764231.1	XP_012167079.1
OG0001623	XP_017754560.1	XP_020718283.1
OG0001624	XP_017757345.1	XP_003398405.1
OG0001625	XP_017760145.1, XP_017760144.1	XP_003403260.1
OG0001626	XP_017754566.1	XP_020718411.1
OG0001627	XP_017766235.1	XP_020720848.1, XP_012167894.1, XP_012167896.1
OG0001628	XP_017757565.1, XP_017758363.1	XP_003398462.1
OG0001629	XP_017760266.1	XP_012164993.1
OG0001630	XP_017758099.1	XP_012172220.1
OG0001632	XP_017755391.1	XP_012176556.1, XP_003394601.1
OG0001633	XP_017754757.1	XP_003394064.1, XP_012175783.1, XP_012175784.1, XP_012175787.1
OG0001634	XP_017764334.1, XP_017764333.1	XP_003401922.1, XP_012172996.1
OG0001635	XP_017757506.1	XP_003395581.1
OG0001636	XP_017757544.1	XP_003395365.2
OG0001637	XP_017753812.1	XP_012171976.1, XP_012171975.1
OG0001638	XP_017762450.1	XP_003398752.1, XP_012168753.1
OG0001639	XP_017762230.1	XP_012170503.1
OG0001640	XP_017752932.1	XP_003399725.1
OG0001641	XP_017752471.1	XP_003402569.2, XP_012164973.1
OG0001642	XP_017757408.1, XP_017757407.1	XP_012164501.1
OG0001643	XP_017759760.1	XP_012175669.1, XP_012175668.1
OG0001644	XP_017764717.1	XP_020720608.1
OG0001645	XP_017758395.1, XP_017758394.1	XP_020720477.1, XP_020720480.1
OG0001646	XP_017761902.1	XP_003398904.1
OG0001647	XP_017766974.1, XP_017766973.1	XP_003399203.1
OG0001648	XP_017765587.1, XP_017765589.1, XP_017765584.1	XP_003397943.1
OG0001649	XP_017764095.1	NP_001267840.1
OG0001650	XP_017752745.1	XP_012175821.1
OG0001651	XP_017761366.1, XP_017761367.1	XP_020718870.1
OG0001652	XP_017754512.1, XP_017754511.1	XP_003401954.1
OG0001653	XP_017761237.1	XP_012173482.1, XP_012173483.1, XP_012173481.1, XP_012173480.1, XP_012173479.1
OG0001654	XP_017761224.1	XP_020723109.1
OG0001655	XP_017763126.1	XP_020722958.1, XP_020722959.1, XP_012172932.1, XP_012172931.1, XP_020722957.1
OG0001656	XP_017756647.1	XP_003401674.1
OG0001657	XP_017753360.1, XP_017753361.1, XP_017753358.1, XP_017753356.1, XP_017753357.1	XP_012165182.1
OG0001658	XP_017755176.1	XP_012172759.1
OG0001659	XP_017755240.1, XP_017755233.1	XP_003393685.1, XP_020723878.1, XP_012172718.1
OG0001660	XP_017756311.1	XP_012173237.1
OG0001661	XP_017756409.1, XP_017756410.1	XP_003402630.1
OG0001662	XP_017766394.1	XP_020723751.1
OG0001663	XP_017762542.1, XP_017762541.1, XP_017762540.1	XP_003393881.1
OG0001664	XP_017765012.1	XP_012175907.1
OG0001665	XP_017764366.1	XP_003396560.1
OG0001666	XP_017757954.1	XP_012173351.1, XP_003402078.1
OG0001667	XP_017762114.1, XP_017762112.1, XP_017762113.1	XP_020721646.1, XP_012170048.2
OG0001668	XP_017760455.1	XP_012166741.1
OG0001669	XP_017755306.1	XP_012164103.2
OG0001670	XP_017763431.1	XP_003399396.1
OG0001671	XP_017764774.1	XP_012169750.1
OG0001672	XP_017763580.1	XP_012174706.1
OG0001673	XP_017752129.1, XP_017752127.1	XP_003402955.1
OG0001674	XP_017752700.1	XP_003394809.1
OG0001675	XP_017757645.1	XP_012165920.1
OG0001676	XP_017753498.1	XP_003393317.1, XP_012167432.1
OG0001677	XP_017763592.1	XP_003393247.1
OG0001678	XP_017757369.1	XP_012175868.1
OG0001679	XP_017757878.1	XP_003402091.1
OG0001680	XP_017757922.1, XP_017757921.1, XP_017757923.1	XP_020723132.1
OG0001681	XP_017763059.1	XP_003397185.1
OG0001682	XP_017765727.1	XP_012175172.1
OG0001683	XP_017761306.1, XP_017761305.1	XP_020723753.1, XP_020723764.1
OG0001685	XP_017765725.1	XP_012175102.1
OG0001686	XP_017757171.1	XP_020718474.1
OG0001687	XP_017760089.1	XP_003402417.1
OG0001688	XP_017758571.1	XP_003395122.1
OG0001689	XP_017766332.1	XP_003394932.1
OG0001690	XP_017757593.1	XP_020718794.1
OG0001691	XP_017753681.1	XP_003395430.1
OG0001692	XP_017752246.1	XP_020719917.1
OG0001693	XP_017763140.1	XP_012166228.2
OG0001694	XP_017764368.1, XP_017764370.1, XP_017764369.1	XP_020719351.1
OG0001695	XP_017765148.1	XP_012166157.1, XP_020719468.1, XP_003396998.1
OG0001696	XP_017764317.1, XP_017764318.1	XP_012172998.1
OG0001697	XP_017752501.1	XP_012172951.1, XP_012172952.1, XP_012172954.1, XP_003401684.1
OG0001698	XP_017761662.1	XP_003403222.1
OG0001699	XP_017759176.1	XP_012167336.1
OG0001700	XP_017760525.1	XP_012168087.1, XP_012168088.1
OG0001701	XP_017767328.1	XP_012167925.1
OG0001702	XP_017758541.1	XP_020720563.1
OG0001703	XP_017758483.1, XP_017758322.1	XP_012168191.1, XP_003398458.1
OG0001704	XP_017760924.1	XP_020720914.1
OG0001705	XP_017764459.1	XP_020721072.1
OG0001706	XP_017760732.1	XP_012169802.1, XP_012169803.1, XP_012169804.1, XP_012169807.1
OG0001707	XP_017756128.1	XP_012169947.1, XP_012169946.1
OG0001708	XP_017766686.1	XP_012171091.1
OG0001709	XP_017766835.1	XP_003400037.3
OG0001711	XP_017752985.1	XP_012170658.1
OG0001712	XP_017753017.1	XP_003402991.2
OG0001713	XP_017752642.1	XP_012171440.1, XP_012171442.1, XP_012171439.1, XP_003400537.1
OG0001714	XP_017762889.1	XP_003400770.1, XP_012171658.1
OG0001715	XP_017759356.1	XP_012171614.1
OG0001716	XP_017757816.1	XP_003400951.1
OG0001717	XP_017759863.1	XP_020722064.1
OG0001718	XP_017764625.1	XP_020721148.1
OG0001718	XP_017764619.1	XP_012168956.1
OG0001719	XP_017758096.1	XP_003401098.2
OG0001720	XP_017752821.1	XP_003401325.1
OG0001721	XP_017764439.1	XP_020721719.1
OG0001721	XP_017764436.1	XP_003400015.1
OG0001722	XP_017757302.1	XP_003394115.1
OG0001723	XP_017761056.1	XP_003396337.1
OG0001724	XP_017764869.1	XP_020723445.1, XP_020723444.1, XP_020723443.1, XP_020720457.1, XP_003402561.2
OG0001725	XP_017766285.1	XP_020719056.1, XP_020719057.1
OG0001726	XP_017755211.1	XP_012172744.1, XP_012172738.1, XP_012172730.1
OG0001727	XP_017758094.1	XP_012171087.1, XP_003393762.1, XP_012171074.1
OG0001728	XP_017760821.1	XP_012172103.2
OG0001729	XP_017758148.1	XP_012172440.2
OG0001730	XP_017766356.1	XP_003393784.1, XP_020721323.1
OG0001731	XP_017756396.1	XP_012174343.1, XP_012174349.1
OG0001732	XP_017757341.1	XP_003402812.1
OG0001733	XP_017757269.1	XP_020724230.1, XP_020724229.1, XP_020724231.1, XP_003394109.1
OG0001734	XP_017755370.1	XP_020724222.1
OG0001735	XP_017766017.1	XP_012169130.1
OG0001736	XP_017762381.1	XP_012175979.1, XP_012175978.1
OG0001737	XP_017758599.1	XP_012163575.1, XP_003395130.1
OG0001738	XP_017760064.1	XP_020723393.1
OG0001739	XP_017767605.1	XP_012169523.1, XP_003399319.1
OG0001740	XP_017754554.1	XP_012163658.1
OG0001741	XP_017756136.1	XP_012174045.1
OG0001742	XP_017762741.1	XP_012171346.1, XP_012171343.1
OG0001743	XP_017758553.1	XP_012163590.1
OG0001744	XP_017767600.1	XP_012169538.1
OG0001745	XP_017755676.1	XP_003403020.2, XP_003395421.1
OG0001746	XP_017755630.1	XP_003402391.2
OG0001747	XP_017762082.1	XP_012170329.1, XP_020721617.1, XP_020721618.1, XP_020721616.1, XP_003399743.1
OG0001748	XP_017755335.1, XP_017755333.1, XP_017755336.1	XP_012164116.1
OG0001749	XP_017755606.1, XP_017755610.1	XP_012164412.1
OG0001750	XP_017765806.1	XP_020723092.1, XP_012173499.1
OG0001751	XP_017757501.1	XP_020718664.1, XP_020718663.1
OG0001752	XP_017761119.1	XP_012173530.1
OG0001753	XP_017753662.1	XP_003395363.1
OG0001754	XP_017756811.1	XP_003396134.1
OG0001755	XP_017760454.1	XP_020720103.1
OG0001756	XP_017763730.1	XP_012164670.1
OG0001757	XP_017758345.1	XP_003395982.1
OG0001758	XP_017762773.1, XP_017762772.1	XP_003396658.1, XP_003396657.1
OG0001759	XP_017763807.1	XP_020719541.1, XP_020719542.1
OG0001760	XP_017757931.1	XP_012173353.1
OG0001761	XP_017759092.1	XP_003393279.1
OG0001762	XP_017763642.1	XP_012175031.1
OG0001763	XP_017761756.1	XP_020719847.1, XP_012166327.1, XP_012166328.1
OG0001764	XP_017763107.1	XP_012166533.1
OG0001765	XP_017764250.1	XP_020718391.1
OG0001766	XP_017764198.1	XP_003403196.2
OG0001767	XP_017757924.1	XP_012173415.1
OG0001767	XP_017757926.1	XP_012173416.1
OG0001768	XP_017758216.1	XP_020720008.1
OG0001769	XP_017757876.1	XP_020723137.1, XP_020723136.1, XP_003402045.1, XP_020723135.1, XP_020723138.1
OG0001770	XP_017762938.1	XP_003398434.1, XP_003398432.1, XP_003403021.1, XP_012174894.1, XP_003398436.1, XP_003398435.1
OG0001771	XP_017755347.1	XP_003394641.1
OG0001772	XP_017758101.1, XP_017758443.1	XP_012168185.1
OG0001773	XP_017758410.1	XP_003398079.2
OG0001774	XP_017756535.1	XP_012173920.1
OG0001775	XP_017757613.1	XP_020720722.1, XP_020720723.1
OG0001776	XP_017760048.1	XP_020720830.1, XP_003398587.1, XP_020720831.1
OG0001777	XP_017759091.1	XP_003396482.1
OG0001778	XP_017753995.1	XP_020719122.1
OG0001779	XP_017759108.1	XP_012171472.1, XP_012171475.1
OG0001780	XP_017760683.1	XP_020721180.1
OG0001781	XP_017763937.1	XP_003398859.1
OG0001782	XP_017752631.1	XP_012165121.1
OG0001783	XP_017754788.1	XP_012169185.1
OG0001784	XP_017755073.1	XP_020721286.1
OG0001785	XP_017753437.1	XP_012169880.2
OG0001787	XP_017766566.1	XP_020721826.1
OG0001788	XP_017766600.1	XP_020721799.1, XP_003400090.1
OG0001789	XP_017766591.1	XP_003400195.1, XP_012170946.1, XP_020721977.1
OG0001790	XP_017752214.1	XP_012170833.1
OG0001791	XP_017766655.1	XP_020721824.1, XP_003400080.1
OG0001792	XP_017753018.1	XP_012170780.1
OG0001793	XP_017759185.1	XP_012172648.2
OG0001794	XP_017759411.1	XP_003400905.1, XP_020722200.1
OG0001795	XP_017757815.1	XP_020722045.1
OG0001796	XP_017767216.1	XP_003400384.1, XP_020722141.1, XP_020722142.1, XP_020722144.1, XP_020722143.1
OG0001797	XP_017755462.1	XP_012171374.1, XP_012171373.1
OG0001798	XP_017765516.1	XP_012171864.2
OG0001799	XP_017760572.1	XP_020722155.1, XP_012171415.1, XP_012171417.1
OG0001800	XP_017760596.1	XP_020722335.1
OG0001802	XP_017759082.1	XP_012165203.1, XP_003393254.1
OG0001803	XP_017753878.1, XP_017753881.1	XP_003401457.1
OG0001804	XP_017753746.1	XP_012172687.1, XP_012172688.1, XP_012172686.1, XP_003401461.1
OG0001805	XP_017753747.1	XP_020723047.1, XP_020723049.1, XP_020723048.1, XP_003401969.1, XP_020723050.1
OG0001807	XP_017759545.1	XP_012169581.1, XP_012169582.1
OG0001808	XP_017752134.1	XP_012172855.1
OG0001809	XP_017765789.1	XP_012172596.1
OG0001810	XP_017763285.1	XP_012169843.1
OG0001811	XP_017753064.1	XP_003393176.3
OG0001812	XP_017761739.1	XP_003396846.1
OG0001813	XP_017753402.1	XP_012165648.1
OG0001814	XP_017760234.1	XP_003396211.3
OG0001815	XP_017762156.1	XP_020721678.1, XP_020721679.1
OG0001816	XP_017755063.1, XP_017755062.1, XP_017755061.1, XP_017755060.1, XP_017755064.1	XP_012167378.1
OG0001817	XP_017756356.1, XP_017756355.1	XP_003402641.1
OG0001818	XP_017752391.1	XP_012176399.1, XP_003394464.2
OG0001819	XP_017752804.1	XP_003401299.1
OG0001820	XP_017752824.1	XP_020722783.1, XP_003401340.1
OG0001821	XP_017760473.1	XP_020720219.1
OG0001822	XP_017764758.1	XP_012168297.1, XP_012168298.1, XP_020720613.1, XP_003398546.1
OG0001823	XP_017762347.1	XP_003402866.1
OG0001824	XP_017756678.1	XP_012174097.1, XP_020723409.1, XP_003402491.1, XP_012174095.1
OG0001825	XP_017753663.1	XP_003395354.1
OG0001826	XP_017757448.1, XP_017757447.1	XP_003402390.3
OG0001827	XP_017758940.1	XP_003402975.1
OG0001828	XP_017765674.1	XP_012167440.1, XP_003397848.1
OG0001829	XP_017765140.1	XP_003394308.1, XP_012176151.1, XP_020724287.1
OG0001830	XP_017759397.1, XP_017759394.1, XP_017759395.1	XP_012171685.1, XP_003400738.1
OG0001831	XP_017753829.1	XP_012172762.1
OG0001832	XP_017758299.1	XP_020719141.1, XP_020719140.1
OG0001833	XP_017752730.1	XP_003394305.1
OG0001834	XP_017752319.1, XP_017752320.1	XP_003394559.1
OG0001835	XP_017764476.1	XP_003399910.1
OG0001836	XP_017761906.1	XP_012169008.1
OG0001837	XP_017759672.1	XP_003396622.1
OG0001838	XP_017767325.1	XP_003398263.1, XP_012167951.1, XP_012167952.1, XP_012167953.1, XP_003398264.1
OG0001839	XP_017762269.1, XP_017762268.1	XP_003398793.1
OG0001840	XP_017753593.1, XP_017753594.1	XP_003402152.1
OG0001841	XP_017753477.1	XP_012165919.1, XP_020719210.1
OG0001842	XP_017753655.1	XP_003397482.2
OG0001843	XP_017765534.1, XP_017765533.1	XP_003398713.1
OG0001844	XP_017752750.1, XP_017752748.1	XP_003394281.1
OG0001845	XP_017755948.1	XP_020723090.1
OG0001846	XP_017763143.1, XP_017763146.1	XP_003397298.1
OG0001847	XP_017767609.1	XP_012167262.1
OG0001848	XP_017759993.1	XP_012173705.1, XP_003402147.1
OG0001849	XP_017761729.1	XP_020719091.1, XP_012164919.1, XP_012164920.1, XP_003396079.1, XP_020719092.1
OG0001850	XP_017760608.1	XP_003395478.1
OG0001851	XP_017759344.1	XP_020722319.1
OG0001852	XP_017757811.1, XP_017757812.1, XP_017757813.1	XP_012170829.1
OG0001853	XP_017753061.1	XP_012175885.1
OG0001854	XP_017761755.1	XP_020719753.1, XP_012166333.1
OG0001855	XP_017763274.1	XP_003393009.1
OG0001856	XP_017760142.1, XP_017760141.1	XP_003403259.1, XP_012175262.1
OG0001857	XP_017759486.1, XP_017759575.1	XP_003401806.1
OG0001858	XP_017754098.1	XP_012164416.1, XP_003393123.1, XP_012164423.1
OG0001859	XP_017754326.1	XP_003394694.1
OG0001860	XP_017761964.1	XP_003398605.1
OG0001861	XP_017761651.1	XP_003403029.1
OG0001862	XP_017767759.1	XP_020723706.1
OG0001863	XP_017763603.1	XP_003393245.1
OG0001864	XP_017764714.1	XP_012168351.1, XP_003398572.1
OG0001865	XP_017760459.1	XP_003397420.1
OG0001866	XP_017754599.1	XP_012173663.1, XP_012173662.1, XP_012173661.1, XP_020723216.1, XP_012173664.1
OG0001867	XP_017762480.1, XP_017762481.1	XP_012173812.1, XP_012173811.1
OG0001868	XP_017752931.1	XP_003399831.1
OG0001869	XP_017767343.1	XP_003398250.1, XP_012167929.1
OG0001870	XP_017756934.1	XP_003397409.1, XP_020720034.1
OG0001871	XP_017767556.1, XP_017762449.1	XP_012168767.1
OG0001872	XP_017753499.1	XP_012167516.1, XP_003393320.1
OG0001873	XP_017762379.1	XP_003394187.1, XP_012175967.1
OG0001874	XP_017762706.1	XP_003396669.1
OG0001875	XP_017763505.1	XP_003397208.1
OG0001876	XP_017755146.1	XP_003399272.2
OG0001878	XP_017755899.1	XP_012166732.1
OG0001879	XP_017764056.1	XP_012167615.2
OG0001880	XP_017767379.1	XP_012167823.1, XP_012167826.1
OG0001881	XP_017755143.1	XP_012169457.1
OG0001882	XP_017764986.1	XP_012172358.1, XP_012172363.1, XP_012172362.1, XP_012172361.1, XP_012172360.1
OG0001883	XP_017757066.1, XP_017757065.1	XP_012174691.1
OG0001885	XP_017764282.1	XP_020723896.1, XP_020718508.1, XP_020718507.1
OG0001886	XP_017763767.1	XP_020719407.1
OG0001887	XP_017758641.1	XP_020720763.1
OG0001888	XP_017760510.1	XP_020720810.1, XP_020720811.1
OG0001893	XP_017756870.1	XP_003397407.1
OG0001894	XP_017758286.1	NP_001267838.1
OG0001895	XP_017767088.1	XP_012167932.1
OG0001896	XP_017761500.1	XP_012169664.1
OG0001897	XP_017766828.1	XP_012170688.1
OG0001898	XP_017755509.1, XP_017755508.1	XP_012164287.1
OG0001899	XP_017759263.1	XP_003394648.1
OG0001900	XP_017760626.1	XP_020722346.1
OG0001901	XP_017755096.1	XP_003393693.2, XP_020722249.1
OG0001902	XP_017767161.1, XP_017767168.1	XP_012171932.1, XP_020722373.1
OG0001904	XP_017754627.1, XP_017756280.1	XP_003393794.1
OG0001905	XP_017764405.1, XP_017764404.1	XP_003399852.3
OG0001907	XP_017755739.1	XP_012167154.1
OG0001908	XP_017755222.1	XP_012172543.2
OG0001909	XP_017763934.1	XP_003398867.1
