Orthogroup	Anopheles_gambiae	Eufriesea_mexicana
OG0001535	XP_318386.5	XP_017765727.1
OG0001536	XP_308789.4, XP_556808.3, XP_001688789.1	XP_017752631.1
OG0001537	XP_320593.4, XP_317447.4	XP_017756128.1
OG0001538	XP_001687839.2	XP_017764264.1
OG0001539	XP_318061.4	XP_017764641.1
OG0001540	XP_315568.3, XP_001688680.1, XP_001688679.1	XP_017764661.1
OG0001541	XP_308645.4	XP_017761035.1
OG0001542	XP_317569.4	XP_017755216.1
OG0001543	XP_003436971.1	XP_017760035.1
OG0001545	XP_318635.3	XP_017752308.1
OG0001546	XP_312041.5	XP_017767699.1
OG0001547	XP_308339.4	XP_017756116.1
OG0001548	XP_001231112.2, XP_001231113.2, XP_001231111.2, XP_001231110.2	XP_017765675.1
OG0001550	XP_001230662.1	XP_017756522.1, XP_017756495.1
OG0001551	XP_001688523.1, XP_314100.4	XP_017753293.1, XP_017753287.1, XP_017753289.1, XP_017753294.1, XP_017753292.1, XP_017753286.1, XP_017753290.1, XP_017753291.1
OG0001552	XP_318541.4	XP_017765484.1
OG0001553	XP_313022.3	XP_017758661.1, XP_017758660.1, XP_017758659.1, XP_017758658.1
OG0001554	XP_001688023.1, XP_001688025.1	XP_017761029.1
OG0001555	XP_320393.4	XP_017755605.1
OG0001556	XP_308925.4	XP_017766589.1
OG0001557	XP_318856.3	XP_017754844.1
OG0001558	XP_310248.7, XP_316659.3	XP_017759570.1
OG0001559	XP_321922.5	XP_017755086.1
OG0001560	XP_307067.3, XP_319478.3, XP_307611.3, XP_319481.3, XP_001238163.1	XP_017761824.1
OG0001561	XP_313778.5	XP_017762996.1
OG0001562	XP_001688616.1, XP_001688617.1	XP_017759839.1
OG0001563	XP_552478.2	XP_017753860.1, XP_017753861.1
OG0001565	XP_308594.4	XP_017758432.1, XP_017758431.1
OG0001567	XP_552509.3	XP_017762421.1
OG0001568	XP_312875.5	XP_017757468.1
OG0001569	XP_308701.2	XP_017759896.1
OG0001570	XP_001237154.2	XP_017766275.1
OG0001571	XP_319421.4	XP_017757811.1, XP_017757812.1, XP_017757813.1
OG0001572	XP_321888.3, XP_003435792.1, XP_003435793.1	XP_017765781.1, XP_017765780.1
OG0001575	XP_317568.3	XP_017755712.1
OG0001576	XP_553723.1	XP_017755963.1
OG0001577	XP_310528.5	XP_017753933.1
OG0001579	XP_316180.4	XP_017766242.1
OG0001580	XP_001231055.3, XP_003437188.1, XP_003437189.1	XP_017756269.1, XP_017756265.1
OG0001581	XP_317108.3	XP_017757870.1
OG0001582	XP_313138.5	XP_017752328.1
OG0001583	XP_563637.3	XP_017753734.1
OG0001584	XP_311327.5	XP_017754014.1, XP_017754016.1
OG0001585	XP_316571.4, XP_001237834.2	XP_017752444.1, XP_017752441.1
OG0001586	XP_312095.5	XP_017756326.1
OG0001587	XP_308295.3	XP_017765123.1
OG0001588	XP_312218.5	XP_017754884.1
OG0001589	XP_308241.3, XP_311195.5	XP_017757481.1
OG0001590	XP_312916.5, XP_003436238.1, XP_001237434.2, XP_312156.3, XP_563375.3, XP_003436237.1, XP_312155.4, XP_309133.5, XP_311060.5, XP_311061.5	XP_017760242.1
OG0001591	XP_317090.2	XP_017754902.1, XP_017754900.1, XP_017754898.1, XP_017754899.1, XP_017754897.1
OG0001592	XP_317552.4	XP_017765453.1
OG0001593	XP_307791.5	XP_017765071.1
OG0001594	XP_003436556.1, XP_001688443.2	XP_017760183.1
OG0001595	XP_001688026.1	XP_017759837.1, XP_017759838.1
OG0001596	XP_313347.3	XP_017762763.1
OG0001598	XP_003436740.1, XP_003436741.1, XP_313104.2	XP_017765923.1
OG0001599	XP_001689120.2	XP_017756408.1, XP_017756407.1
OG0001600	XP_315510.4	XP_017754958.1
OG0001601	XP_309586.5	XP_017754165.1, XP_017754157.1
OG0001602	XP_307192.4, XP_313852.5	XP_017761399.1, XP_017761400.1
OG0001604	XP_314263.5	XP_017758901.1, XP_017758903.1
OG0001605	XP_003437084.1	XP_017764105.1
OG0001606	XP_001689072.1	XP_017763286.1
OG0001607	XP_001689143.1	XP_017760123.1
OG0001608	XP_319419.4	XP_017761482.1, XP_017761480.1
OG0001609	XP_321659.5	XP_017753524.1
OG0001614	XP_560351.3, XP_003436655.1	XP_017754529.1
OG0001615	XP_311852.2, XP_003436358.1, XP_003436357.1	XP_017764935.1
OG0001616	XP_320422.3, XP_309574.1	XP_017761466.1
OG0001617	XP_322024.4	XP_017755975.1, XP_017755969.1
OG0001619	XP_321321.5	XP_017753400.1
OG0001620	XP_319591.2	XP_017764518.1, XP_017764519.1
OG0001623	XP_312663.4	XP_017761094.1
OG0001624	XP_555021.3	XP_017766541.1, XP_017766625.1
OG0001625	XP_315994.4	XP_017758985.1
OG0001626	XP_309502.3, XP_564374.3	XP_017764714.1
OG0001627	XP_320536.3	XP_017759581.1
OG0001628	XP_311731.4	XP_017757209.1
OG0001629	XP_314557.3	XP_017762481.1, XP_017762480.1
OG0001630	XP_001688837.1, XP_001688836.1, XP_001688838.1, XP_316326.4	XP_017765400.1
OG0001631	XP_310839.5	XP_017760386.1, XP_017760383.1
OG0001633	XP_314323.3	XP_017766798.1
OG0001634	XP_001230888.3	XP_017753601.1
OG0001636	XP_003437190.1, XP_315309.4, XP_003437193.1, XP_003437194.1, XP_001688627.1, XP_001688628.1, XP_003437192.1, XP_003437191.1	XP_017755485.1
OG0001637	XP_316947.3	XP_017758517.1
OG0001638	XP_320601.4	XP_017753528.1, XP_017753540.1
OG0001639	XP_311186.5	XP_017767221.1, XP_017767222.1, XP_017767220.1
OG0001640	XP_554103.3	XP_017752461.1
OG0001641	XP_320141.4, XP_311577.4, XP_320549.4	XP_017753665.1
OG0001642	XP_320480.3	XP_017766423.1
OG0001644	XP_322002.5, XP_321919.5	XP_017761257.1
OG0001645	XP_320998.5	XP_017764307.1
OG0001646	XP_319692.3	XP_017766339.1
OG0001647	XP_310671.5	XP_017759307.1
OG0001648	XP_310884.2	XP_017754092.1
OG0001649	XP_315051.4	XP_017754651.1, XP_017754499.1, XP_017754574.1
OG0001650	XP_557360.3	XP_017757914.1
OG0001651	XP_003437027.1	XP_017761487.1, XP_017761488.1, XP_017761490.1
OG0001652	XP_322051.4, XP_003435750.1, XP_003435751.1	XP_017762622.1, XP_017762621.1
OG0001653	XP_320653.4	XP_017757704.1
OG0001654	XP_316322.4	XP_017756092.1
OG0001655	XP_317107.3	XP_017753209.1
OG0001656	XP_320117.3	XP_017764215.1
OG0001657	XP_309717.4	XP_017753268.1, XP_017753267.1, XP_017753269.1
OG0001658	XP_314661.3	XP_017767207.1
OG0001659	XP_562889.4	XP_017765105.1
OG0001660	XP_001230361.2, XP_309701.3	XP_017758922.1
OG0001662	XP_001688561.1, XP_314339.4	XP_017765231.1
OG0001663	XP_312168.5	XP_017756451.1
OG0001664	XP_321343.4	XP_017761351.1
OG0001665	XP_003436860.1, XP_003436866.1, XP_003436867.1, XP_003436863.1, XP_003436864.1, XP_003436865.1, XP_003436861.1, XP_315232.3	XP_017761496.1
OG0001666	XP_001687855.1	XP_017753192.1
OG0001667	XP_308664.3	XP_017755242.1
OG0001669	XP_318809.4	XP_017765749.1
OG0001670	XP_310718.5	XP_017760237.1, XP_017760238.1
OG0001671	XP_001689406.1	XP_017759383.1
OG0001672	XP_318539.2	XP_017762492.1, XP_017762490.1, XP_017762491.1
OG0001673	XP_317141.3	XP_017764841.1
OG0001674	XP_317052.4	XP_017754048.1
OG0001675	XP_316722.3, XP_001688955.1, XP_001688954.1	XP_017759347.1
OG0001676	XP_563676.2	XP_017753315.1
OG0001677	XP_311928.3	XP_017767775.1
OG0001678	XP_313618.5	XP_017753352.1, XP_017753353.1
OG0001679	XP_311576.3	XP_017761497.1
OG0001680	XP_318947.2	XP_017761407.1
OG0001681	XP_024667092.1	XP_017766594.1, XP_017766596.1
OG0001682	XP_001688188.1, XP_309431.3	XP_017755769.1
OG0001684	XP_307591.4, XP_313010.5	XP_017752134.1
OG0001685	XP_308495.3	XP_017752369.1
OG0001686	XP_313332.4	XP_017761307.1
OG0001687	XP_319096.3	XP_017766513.1
OG0001688	XP_308980.4, XP_001688145.1	XP_017759903.1
OG0001689	XP_553178.3	XP_017766782.1
OG0001690	XP_310193.4	XP_017759401.1
OG0001691	XP_001687982.1, XP_001237100.1, XP_308551.2	XP_017752762.1, XP_017752761.1
OG0001693	XP_309509.4	XP_017754267.1
OG0001694	XP_317241.4	XP_017767028.1
OG0001695	XP_311525.1, XP_311053.3	XP_017765096.1, XP_017765097.1, XP_017765098.1, XP_017765094.1, XP_017765095.1
OG0001696	XP_310413.7	XP_017755693.1
OG0001697	XP_003437059.1, XP_311206.3	XP_017753829.1
OG0001699	XP_322003.5	XP_017752266.1
OG0001700	XP_312660.5	XP_017761179.1
OG0001701	XP_317858.4	XP_017763828.1, XP_017763827.1
OG0001702	XP_312777.5, XP_003436390.1	XP_017763377.1
OG0001703	XP_003436874.1, XP_003436875.1, XP_315198.5	XP_017766294.1
OG0001704	XP_308365.4, XP_001687908.1	XP_017753412.1
OG0001706	XP_320092.4	XP_017767583.1
OG0001707	XP_311912.3	XP_017759082.1
OG0001708	XP_309293.4	XP_017752268.1
OG0001709	XP_001230626.3, XP_003436693.1	XP_017757351.1, XP_017757271.1
OG0001711	XP_317208.4	XP_017760099.1
OG0001712	XP_320207.4	XP_017752985.1
OG0001713	XP_318067.4	XP_017766156.1
OG0001714	XP_307259.4	XP_017754001.1, XP_017754010.1, XP_017753981.1
OG0001715	XP_318881.4	XP_017762924.1
OG0001716	XP_003435836.1, XP_551386.4, XP_003435835.1, XP_003435838.1, XP_003435837.1	XP_017761083.1, XP_017761080.1
OG0001717	XP_321495.3	XP_017766336.1
OG0001718	XP_556198.1, XP_315559.4	XP_017753458.1
OG0001719	XP_310666.5, XP_003436992.1	XP_017761132.1, XP_017761131.1, XP_017761133.1
OG0001720	XP_309530.2	XP_017761762.1
OG0001721	XP_308175.3	XP_017752665.1
OG0001722	XP_003435814.1, XP_321755.3	XP_017763891.1
OG0001723	XP_319532.3, XP_321724.3, XP_003435819.1, XP_001231183.1, XP_319537.3	XP_017761848.1
OG0001724	XP_315996.3	XP_017757448.1, XP_017757447.1
OG0001725	XP_312990.5	XP_017752192.1
OG0001726	XP_310802.4, XP_003436968.1, XP_003436967.1	XP_017756693.1, XP_017753612.1
OG0001727	XP_318889.3	XP_017766181.1
OG0001728	XP_555522.3	XP_017758701.1, XP_017758700.1
OG0001729	XP_001688020.1, XP_001237109.2, XP_565017.3, XP_001688022.1	XP_017767515.1
OG0001730	XP_321872.5	XP_017765928.1
OG0001731	XP_320608.2	XP_017756811.1
OG0001732	XP_316858.4	XP_017767650.1
OG0001733	XP_555086.4, XP_317088.3	XP_017758262.1
OG0001734	XP_316946.4	XP_017763592.1
OG0001735	XP_321102.4, XP_310440.5	XP_017758137.1
OG0001736	XP_317071.4, XP_317075.4	XP_017756067.1
OG0001737	XP_003437186.1	XP_017753173.1
OG0001738	XP_317066.4, XP_001689128.1	XP_017762686.1, XP_017762682.1
OG0001739	XP_315836.2	XP_017758436.1
OG0001740	XP_309567.4	XP_017767349.1, XP_017767345.1
OG0001742	XP_321539.2, XP_321540.2	XP_017753956.1
OG0001743	XP_310826.2	XP_017766811.1
OG0001744	XP_310145.3, XP_310146.3	XP_017762061.1
OG0001745	XP_312589.3	XP_017752481.1, XP_017752482.1
OG0001746	XP_320924.5	XP_017752754.1
OG0001748	XP_310266.7	XP_017756396.1
OG0001749	XP_319450.4	XP_017753068.1
OG0001750	XP_312178.3	XP_017755834.1
OG0001751	XP_554779.3	XP_017766343.1
OG0001752	XP_309607.4, XP_316957.4, XP_317360.4	XP_017757884.1, XP_017757885.1
OG0001753	XP_312783.5	XP_017762936.1
OG0001754	XP_001688280.2	XP_017765981.1, XP_017752778.1
OG0001755	XP_318553.4, XP_318543.4	XP_017764627.1
OG0001756	XP_311210.4	XP_017764896.1
OG0001757	XP_320893.4, XP_001237083.2	XP_017766520.1
OG0001758	XP_313840.4	XP_017767662.1
OG0001759	XP_308109.5	XP_017754749.1
OG0001760	XP_310291.7	XP_017758198.1
OG0001762	XP_556818.3	XP_017766221.1
OG0001763	XP_565619.1	XP_017760813.1
OG0001764	XP_321236.5	XP_017757505.1
OG0001765	XP_001231186.2	XP_017756189.1, XP_017756190.1, XP_017756188.1, XP_017756191.1
OG0001766	XP_315826.4, XP_001688731.1, XP_001688732.1, XP_001688733.2	XP_017765570.1, XP_017765577.1
OG0001768	XP_001230640.2	XP_017757774.1
OG0001769	XP_320186.4	XP_017763115.1
OG0001775	XP_001689282.1	XP_017754657.1
OG0001776	XP_560736.1, XP_311363.2, XP_307325.4	XP_017766284.1
OG0001777	XP_311275.2	XP_017767342.1
OG0001778	XP_003437154.1, XP_560169.2, XP_312560.3	XP_017755617.1, XP_017755616.1
OG0001779	XP_308598.4, XP_001688027.1	XP_017759610.1
OG0001780	XP_314488.4	XP_017761568.1
OG0001781	XP_313044.3, XP_309217.4, XP_003437171.1, XP_003437172.1, XP_003437173.1, XP_003437174.1, XP_003437175.1	XP_017755836.1
OG0001782	XP_315090.2	XP_017763846.1
OG0001783	XP_308171.3	XP_017756971.1
OG0001784	XP_309682.2	XP_017759486.1, XP_017759575.1
OG0001785	XP_312844.5, XP_003436412.1	XP_017758618.1
OG0001786	XP_320389.2	XP_017765430.1
OG0001787	XP_313766.4	XP_017767485.1
OG0001789	XP_316740.1	XP_017757494.1
OG0001790	XP_003436834.1, XP_313819.4	XP_017752217.1
OG0001791	XP_313615.4	XP_017765719.1
OG0001792	XP_317364.3	XP_017764023.1
OG0001793	XP_317244.3	XP_017758927.1
OG0001794	XP_317897.4	XP_017765692.1
OG0001796	XP_320948.2	XP_017762082.1
OG0001797	XP_320213.4	XP_017755615.1
OG0001799	XP_317542.4	XP_017755869.1
OG0001800	XP_322025.4	XP_017762567.1
OG0001801	XP_003437184.1, XP_309240.5	XP_017766270.1
OG0001802	XP_311303.4	XP_017756335.1
OG0001803	XP_319394.3	XP_017757247.1
OG0001804	XP_309016.3	XP_017761361.1
OG0001805	XP_001230802.2, XP_311500.4	XP_017759293.1
OG0001806	XP_001237938.1	XP_017757716.1
OG0001807	XP_001688881.1	XP_017764251.1
OG0001808	XP_321112.5	XP_017756341.1
OG0001809	XP_310183.4	XP_017753142.1
OG0001810	XP_311361.4	XP_017761764.1, XP_017761747.1
OG0001811	XP_320972.5	XP_017764919.1
OG0001812	XP_307843.4	XP_017767010.1
OG0001813	XP_318213.4	XP_017764316.1
OG0001814	XP_316569.3	XP_017767609.1
OG0001815	XP_309558.3	XP_017758576.1
OG0001816	XP_320770.4	XP_017758841.1
OG0001818	XP_310323.5	XP_017757910.1
OG0001820	XP_307539.4, XP_311694.5	XP_017762758.1, XP_017762759.1
OG0001821	XP_321552.2	XP_017755699.1
OG0001822	XP_318935.4	XP_017754282.1
OG0001823	XP_319031.4	XP_017753747.1
OG0001824	XP_313195.5, XP_003436768.1, XP_003436767.1, XP_003436769.1	XP_017759760.1
OG0001825	XP_309761.4	XP_017756412.1
OG0001826	XP_316335.3	XP_017754378.1
OG0001827	XP_312964.5	XP_017757601.1
OG0001828	XP_319800.4	XP_017763861.1
OG0001829	XP_320391.3	XP_017755812.1
OG0001830	XP_321851.5	XP_017767728.1
OG0001831	XP_311880.3	XP_017756799.1
OG0001832	XP_312521.5	XP_017765238.1
OG0001833	XP_315521.4	XP_017752144.1
OG0001834	XP_319184.4	XP_017766983.1
OG0001835	XP_314022.4, XP_558527.3	XP_017752364.1
OG0001836	XP_003437135.1, XP_560130.4	XP_017760537.1
OG0001837	XP_321014.5	XP_017760780.1
OG0001838	XP_321088.3	XP_017758454.1
OG0001839	XP_003436136.1, XP_312480.4	XP_017765802.1
OG0001840	XP_318482.1	XP_017767725.1
OG0001841	XP_001688202.2, XP_311414.4	XP_017755592.1
OG0001842	XP_320512.3	XP_017759743.1
OG0001843	XP_307776.4	XP_017756903.1
OG0001844	XP_312568.5	XP_017759330.1, XP_017759332.1
OG0001845	XP_319417.2	XP_017764185.1
OG0001846	XP_001688620.2	XP_017757495.1
OG0001847	XP_310788.4	XP_017753418.1
OG0001848	XP_308873.2	XP_017753313.1
OG0001850	XP_319034.3	XP_017760575.1
OG0001851	XP_317298.4	XP_017762135.1
OG0001852	XP_310775.5	XP_017760950.1
OG0001853	XP_319487.4	XP_017764241.1
OG0001854	XP_309469.4	XP_017762216.1
OG0001855	XP_307994.5, XP_003436054.1	XP_017764305.1, XP_017764289.1
OG0001856	XP_313353.5	XP_017758890.1
OG0001859	XP_001238249.2	XP_017766658.1
OG0001860	XP_320308.4	XP_017754325.1
OG0001861	XP_321709.4	XP_017757479.1
OG0001862	XP_003435833.1, XP_003435834.1, XP_321690.5	XP_017766276.1
OG0001863	XP_309095.4	XP_017764527.1, XP_017764528.1, XP_017764526.1
OG0001864	XP_317269.4	XP_017757737.1
OG0001865	XP_319334.2	XP_017754393.1
OG0001866	XP_315330.3	XP_017759395.1, XP_017759394.1, XP_017759397.1
OG0001867	XP_312464.4	XP_017762954.1
OG0001868	XP_003436044.1, XP_308030.5	XP_017763386.1
OG0001869	XP_318045.3	XP_017753907.1
OG0001870	XP_313568.2	XP_017760174.1
OG0001871	XP_312619.4	XP_017764027.1
OG0001872	XP_312232.5, XP_003436213.1	XP_017755107.1
OG0001873	XP_321783.5	XP_017763459.1
OG0001875	XP_311329.5	XP_017752712.1
OG0001876	XP_321464.5	XP_017762084.1
OG0001877	XP_319571.4	XP_017753773.1
OG0001878	XP_311975.4, XP_320738.4	XP_017759633.1
OG0001879	XP_317011.3	XP_017764812.1
OG0001880	XP_003436040.1, XP_308045.4	XP_017760311.1
OG0001882	XP_311133.5	XP_017756378.1
OG0001883	XP_313579.3, XP_003436781.1, XP_307412.4, XP_560083.3	XP_017756989.1
OG0001884	XP_001689191.1	XP_017757806.1
OG0001885	XP_313002.4	XP_017752385.1
OG0001886	XP_309838.4	XP_017757213.1
OG0001887	XP_317002.4, XP_553715.3	XP_017765937.1
OG0001888	XP_317311.2	XP_017761511.1, XP_017761513.1
OG0001889	XP_307262.4	XP_017753220.1
OG0001890	XP_316301.2	XP_017767277.1
OG0001891	XP_320814.4	XP_017767743.1, XP_017767742.1
OG0001892	XP_309357.2	XP_017755307.1
OG0001893	XP_001688942.1, XP_001688941.1, XP_001688940.1, XP_001688939.1	XP_017758503.1
OG0001894	XP_001688928.1, XP_316628.4	XP_017764916.1
OG0001895	XP_308248.4	XP_017761569.1
OG0001896	XP_307242.4, XP_319188.4	XP_017758410.1
OG0001897	XP_313366.5	XP_017756107.1
OG0001898	XP_321435.4	XP_017754421.1
OG0001899	XP_308974.4	XP_017760740.1
OG0001900	XP_316978.4	XP_017760473.1
OG0001901	XP_306805.2, XP_309655.5	XP_017760816.1
OG0001902	XP_003436023.1, XP_550721.4	XP_017764972.1, XP_017764962.1
OG0001903	XP_001687821.1	XP_017767604.1
OG0001904	XP_312286.5	XP_017763877.1
OG0001905	XP_562663.4	XP_017757413.1
OG0001908	XP_001237469.3	XP_017767761.1, XP_017767762.1
OG0001909	XP_316909.4	XP_017761393.1, XP_017761396.1
OG0001910	XP_001688999.1	XP_017762727.1
OG0001913	XP_312163.5	XP_017767082.1
OG0001914	XP_556085.3	XP_017765462.1
OG0001915	XP_003436857.1, XP_003436858.1, XP_315238.3, XP_321510.1	XP_017757476.1
OG0001916	XP_308004.3	XP_017765014.1
OG0001917	XP_564245.2	XP_017760991.1, XP_017760989.1
OG0001919	XP_317505.2, XP_001237937.1	XP_017767106.1
OG0001921	XP_320502.4	XP_017763586.1
OG0001922	XP_319376.3	XP_017767074.1
OG0001923	XP_001688815.1, XP_316251.4, XP_001688818.1, XP_001688817.1, XP_001688816.1	XP_017762230.1
OG0001924	XP_314937.4	XP_017763443.1, XP_017753378.1
OG0001925	XP_321757.5	XP_017761061.1
OG0001926	XP_318244.2	XP_017756010.1, XP_017756011.1, XP_017756013.1, XP_017756014.1
OG0001927	XP_317044.4	XP_017762217.1
OG0001928	XP_315547.4	XP_017763555.1
OG0001929	XP_317454.4	XP_017758422.1
OG0001930	XP_321897.3	XP_017767356.1
OG0001931	XP_311435.4	XP_017765319.1
OG0001933	XP_307887.5	XP_017764880.1
OG0001934	XP_311532.4	XP_017752418.1, XP_017752417.1, XP_017752416.1, XP_017752415.1, XP_017752419.1
OG0001936	XP_318100.4	XP_017756033.1
OG0001937	XP_001689103.1, XP_554647.3, XP_318122.4	XP_017755817.1
OG0001938	XP_558769.4	XP_017755683.1
OG0001939	XP_552338.3	XP_017757878.1
OG0001941	XP_319987.4	XP_017762381.1
OG0001942	XP_317665.3	XP_017752914.1
OG0001943	XP_003436473.1, XP_557438.4, XP_003436880.1	XP_017766281.1
OG0001944	XP_312420.3	XP_017764539.1
OG0001945	XP_003436058.1	XP_017754047.1
OG0001946	XP_317472.4	XP_017760758.1, XP_017760756.1, XP_017760757.1
OG0001947	XP_001688716.1, XP_315727.4	XP_017762450.1
OG0001949	XP_317607.1	XP_017752502.1
OG0001950	XP_315751.4	XP_017755402.1
OG0001951	XP_566154.4, XP_003436945.1, XP_003436946.1	XP_017756638.1
OG0001952	XP_001688471.1, XP_313906.4	XP_017762404.1, XP_017762453.1, XP_017761211.1, XP_017761210.1
OG0001953	XP_313932.4	XP_017765746.1, XP_017755082.1
OG0001954	XP_321431.4	XP_017756097.1
OG0001956	XP_311418.4	XP_017753105.1
OG0001959	XP_321366.4, XP_321367.3	XP_017757533.1, XP_017757534.1
OG0001960	XP_311552.4, XP_557151.3	XP_017757784.1
OG0001961	XP_320824.4	XP_017752378.1, XP_017752377.1, XP_017752376.1
OG0001962	XP_001238089.2, XP_307544.3, XP_552919.3	XP_017766862.1
OG0001963	XP_001689287.1	XP_017754260.1
OG0001964	XP_312847.5	XP_017760597.1
OG0001965	XP_317861.4	XP_017762781.1
OG0001966	XP_001688506.1	XP_017759308.1
OG0001967	XP_560052.3, XP_003436697.1, XP_003436698.1, XP_309601.4, XP_001688199.2	XP_017755508.1, XP_017755509.1
OG0001969	XP_311170.4	XP_017759640.1
OG0001971	XP_001237912.2	XP_017766134.1
OG0001973	XP_311464.4	XP_017756938.1
OG0001974	XP_311480.4	XP_017755388.1
OG0001975	XP_320440.4	XP_017755986.1, XP_017755984.1
OG0001976	XP_311164.5	XP_017757123.1
OG0001977	XP_313368.5	XP_017763738.1
OG0001987	XP_311198.2, XP_003437054.1	XP_017766719.1, XP_017766718.1, XP_017766720.1
OG0001988	XP_320295.4	XP_017753324.1
OG0001989	XP_318823.2, XP_312874.2	XP_017752320.1, XP_017752319.1
OG0001990	XP_313570.3	XP_017753470.1, XP_017753479.1
OG0001991	XP_001237311.3	XP_017760145.1, XP_017760144.1
OG0001992	XP_320931.5	XP_017764860.1
OG0001993	XP_308577.2	XP_017755146.1
OG0001994	XP_312541.3	XP_017763139.1
OG0001996	XP_313220.4	XP_017755075.1
OG0001997	XP_312608.5, XP_003436094.1, XP_313590.2	XP_017752289.1
OG0001998	XP_311821.3, XP_003436372.1	XP_017758605.1
OG0001999	XP_313593.3, XP_003436785.1	XP_017767582.1
OG0002000	XP_001237600.2	XP_017759545.1
OG0002001	XP_315690.3	XP_017755894.1
OG0002002	XP_314684.3	XP_017755889.1
OG0002004	XP_312664.3	XP_017761106.1
OG0002005	XP_308337.2	XP_017757315.1
OG0002006	XP_320203.4	XP_017759628.1
OG0002007	XP_315539.4	XP_017767759.1
OG0002009	XP_309809.3	XP_017753666.1, XP_017753669.1, XP_017753668.1
OG0002010	XP_001237747.2	XP_017752695.1
OG0002011	XP_316229.4	XP_017766231.1
OG0002012	XP_317892.4	XP_017766388.1
OG0002013	XP_308133.5	XP_017763091.1
OG0002014	XP_317430.4	XP_017766697.1, XP_017766694.1
OG0002015	XP_317330.3	XP_017755655.1
OG0002016	XP_321554.1	XP_017766359.1
OG0002018	XP_313721.3	XP_017754613.1, XP_017754612.1
OG0002019	XP_316694.4, XP_001688949.1, XP_001688948.1	XP_017760760.1
OG0002020	XP_313841.5, XP_003436836.1	XP_017767599.1
OG0002021	XP_319465.4	XP_017762697.1
OG0002022	XP_565083.3	XP_017765315.1
OG0002023	XP_310822.5	XP_017766536.1
OG0002024	XP_001237567.2	XP_017767611.1
OG0002025	XP_310557.3	XP_017757131.1
OG0002026	XP_309803.3	XP_017765553.1
OG0002027	XP_316518.4	XP_017762169.1
OG0002028	XP_317970.5	XP_017753177.1
OG0002029	XP_003437055.1, XP_003437056.1, XP_311201.5	XP_017754661.1
OG0002032	XP_317803.3	XP_017758759.1
OG0002033	XP_309550.3	XP_017753889.1
OG0002034	XP_003436757.1	XP_017763079.1
OG0002035	XP_320862.4	XP_017760243.1
OG0002036	XP_308782.4	XP_017759696.1
OG0002037	XP_307993.5	XP_017754054.1
OG0002038	XP_311849.4	XP_017754470.1
OG0002039	XP_001237805.2, XP_001688860.1	XP_017765511.1, XP_017765512.1
OG0002041	XP_315504.4	XP_017763990.1
OG0002042	XP_554712.3	XP_017757959.1
OG0002043	XP_321950.5	XP_017752282.1, XP_017752256.1
OG0002044	XP_321470.3	XP_017752860.1
OG0002045	XP_317480.2	XP_017757902.1
OG0002046	XP_001237906.2	XP_017757202.1, XP_017757204.1
OG0002047	XP_321707.4	XP_017755727.1
OG0002048	XP_321719.5	XP_017757250.1
OG0002049	XP_308112.4	XP_017763150.1
OG0002050	XP_308621.4	XP_017753232.1, XP_017753233.1, XP_017753231.1, XP_017753230.1
OG0002051	XP_314258.4	XP_017754517.1, XP_017754473.1
OG0002052	XP_308449.4	XP_017759150.1
OG0002053	XP_318560.4	XP_017761246.1
OG0002055	XP_001688950.1	XP_017767449.1
OG0002056	XP_001688309.2	XP_017760142.1, XP_017760141.1
OG0002057	XP_317676.4	XP_017759866.1
OG0002058	XP_559859.2, XP_559860.3, XP_310052.4, XP_310051.2, XP_310050.3	XP_017766985.1
OG0002059	XP_315936.4	XP_017760572.1
OG0002060	XP_318175.4	XP_017752975.1
OG0002061	XP_314708.4	XP_017752436.1, XP_017752438.1, XP_017752437.1, XP_017752440.1, XP_017752439.1
OG0002062	XP_556050.3	XP_017757107.1
OG0002063	XP_321610.3	XP_017757613.1
OG0002064	XP_308813.4	XP_017766552.1
OG0002065	XP_001237297.2	XP_017767275.1
OG0002066	XP_313794.4	XP_017758096.1
OG0002067	XP_001688412.2, XP_312994.5	XP_017752193.1
OG0002068	XP_001689094.1, XP_318072.4	XP_017753626.1
OG0002069	XP_001231045.2	XP_017760314.1
OG0002070	XP_313822.4	XP_017755240.1, XP_017755233.1
OG0002071	XP_314863.4	XP_017761158.1
OG0002072	XP_319942.4	XP_017756922.1
OG0002073	XP_319719.3	XP_017759529.1
OG0002074	XP_319526.5	XP_017765211.1
OG0002075	XP_003436320.1	XP_017761371.1
OG0002076	XP_310628.3	XP_017756261.1
OG0002077	XP_001688809.1	XP_017765013.1
OG0002078	XP_320005.4	XP_017761900.1
OG0002079	XP_316002.4	XP_017752475.1
OG0002080	XP_321669.3	XP_017752411.1
OG0002081	XP_318103.3	XP_017752559.1
OG0002082	XP_314465.4	XP_017756854.1
OG0002083	XP_316310.4	XP_017761027.1
OG0002084	XP_308209.4	XP_017766997.1
OG0002085	XP_312904.3, XP_003436417.1	XP_017763727.1
OG0002086	XP_317429.4	XP_017766239.1
OG0002087	XP_307968.3	XP_017754635.1
OG0002088	XP_318048.4	XP_017758462.1
OG0002089	XP_316471.3	XP_017761526.1
OG0002090	XP_555163.3	XP_017760923.1
OG0002091	XP_311401.4	XP_017763140.1
OG0002092	XP_308627.4, XP_320671.2	XP_017763315.1
OG0002093	XP_315440.3	XP_017754692.1
