Orthogroup	Anopheles_gambiae	Habropoda_laboriosa
OG0001463	XP_309942.4	XP_017792066.1
OG0001464	XP_318672.4, XP_321135.5	XP_017789055.1
OG0001465	XP_311607.2	XP_017795974.1
OG0001466	XP_312403.4	XP_017789105.1, XP_017789014.1
OG0001467	XP_554016.3	XP_017795664.1
OG0001468	XP_317127.3	XP_017790960.1
OG0001469	XP_311746.4	XP_017792845.1
OG0001470	XP_001230998.1, XP_001230999.1, XP_316361.2	XP_017790397.1
OG0001471	XP_314721.3	XP_017788084.1
OG0001472	XP_319592.3, XP_316821.4	XP_017791731.1
OG0001473	XP_557363.3	XP_017796519.1
OG0001474	XP_312327.5	XP_017789690.1
OG0001477	XP_557954.2	XP_017792429.1
OG0001478	XP_311138.3	XP_017794297.1
OG0001479	XP_315576.4	XP_017793032.1
OG0001480	XP_551238.2	XP_017795270.1
OG0001481	XP_559127.3	XP_017788580.1
OG0001482	XP_003436902.1	XP_017798332.1, XP_017798331.1
OG0001483	XP_001237195.3	XP_017796274.1
OG0001484	XP_313559.5, XP_003436773.1, XP_551109.3	XP_017797823.1
OG0001485	XP_321013.4	XP_017791434.1
OG0001485	XP_557938.3	XP_017787532.1
OG0001486	XP_308949.4	XP_017795560.1, XP_017795559.1
OG0001487	XP_314027.4	XP_017792607.1
OG0001488	XP_309709.4	XP_017789028.1
OG0001489	XP_308327.4, XP_001687895.1	XP_017796318.1
OG0001490	XP_311001.5	XP_017795993.1
OG0001492	XP_311683.4	XP_017798468.1
OG0001493	XP_001237650.2, XP_001237649.2	XP_017789724.1, XP_017789731.1
OG0001494	XP_308673.4	XP_017794837.1
OG0001495	XP_001237569.1	XP_017796883.1
OG0001496	XP_308382.3, XP_003437212.1	XP_017797902.1
OG0001497	XP_309507.4	XP_017793157.1, XP_017793158.1
OG0001498	XP_315666.4	XP_017798647.1
OG0001499	XP_562960.3	XP_017791508.1, XP_017795738.1
OG0001500	XP_307953.2	XP_017789214.1
OG0001501	XP_315768.3, XP_556409.3	XP_017792363.1
OG0001502	XP_315785.4	XP_017792320.1
OG0001503	XP_318862.3	XP_017793349.1
OG0001504	XP_316013.4	XP_017788080.1, XP_017788079.1
OG0001505	XP_321148.5	XP_017792212.1
OG0001507	XP_313800.4	XP_017796599.1
OG0001508	XP_310944.5	XP_017796243.1
OG0001509	XP_558145.3	XP_017797998.1
OG0001510	XP_313379.5	XP_017793153.1
OG0001511	XP_315679.3, XP_306983.4, XP_556304.2, XP_001230355.2, XP_315675.3	XP_017792043.1
OG0001512	XP_321940.4, XP_003435777.1	XP_017787423.1
OG0001514	XP_321808.4	XP_017797872.1
OG0001515	XP_316960.4	XP_017794281.1
OG0001516	XP_321387.5	XP_017793269.1
OG0001517	XP_311715.3, XP_003436478.1, XP_003436479.1	XP_017791518.1
OG0001518	XP_319785.4	XP_017795253.1
OG0001519	XP_564767.3	XP_017795575.1
OG0001520	XP_321797.4	XP_017796414.1
OG0001521	XP_316580.4	XP_017790710.1
OG0001522	XP_318144.4	XP_017789472.1
OG0001523	XP_313879.4	XP_017791583.1
OG0001524	XP_309210.4	XP_017791672.1
OG0001525	XP_313327.4	XP_017793545.1
OG0001526	XP_558644.3, XP_001230984.2	XP_017799536.1
OG0001527	XP_003436816.1, XP_313742.4	XP_017787359.1
OG0001529	XP_310236.3, XP_307879.4	XP_017789359.1
OG0001530	XP_308434.3	XP_017799092.1
OG0001531	XP_320985.2	XP_017793658.1
OG0001532	XP_318096.4	XP_017790246.1
OG0001533	XP_315707.4	XP_017788554.1
OG0001534	XP_003435886.1, XP_321515.4	XP_017794833.1
OG0001535	XP_318386.5	XP_017790618.1, XP_017790617.1, XP_017790619.1
OG0001536	XP_308789.4, XP_556808.3, XP_001688789.1	XP_017794317.1
OG0001537	XP_320593.4, XP_317447.4	XP_017792420.1
OG0001538	XP_001687839.2	XP_017789640.1
OG0001539	XP_318061.4	XP_017788772.1
OG0001540	XP_315568.3, XP_001688680.1, XP_001688679.1	XP_017799111.1
OG0001541	XP_308645.4	XP_017792313.1
OG0001542	XP_317569.4	XP_017793747.1
OG0001543	XP_003436971.1	XP_017789634.1
OG0001545	XP_318635.3	XP_017788053.1
OG0001546	XP_312041.5	XP_017796054.1
OG0001547	XP_308339.4	XP_017792469.1
OG0001548	XP_001231112.2, XP_001231113.2, XP_001231111.2, XP_001231110.2	XP_017795300.1
OG0001550	XP_001230662.1	XP_017795035.1
OG0001551	XP_001688523.1, XP_314100.4	XP_017794285.1
OG0001552	XP_318541.4	XP_017794845.1, XP_017794871.1
OG0001553	XP_313022.3	XP_017794454.1
OG0001554	XP_001688023.1, XP_001688025.1	XP_017795000.1
OG0001555	XP_320393.4	XP_017795046.1
OG0001556	XP_308925.4	XP_017788978.1
OG0001557	XP_318856.3	XP_017795601.1
OG0001558	XP_310248.7, XP_316659.3	XP_017798017.1
OG0001559	XP_321922.5	XP_017789582.1
OG0001560	XP_307067.3, XP_319478.3, XP_307611.3, XP_319481.3, XP_001238163.1	XP_017794399.1
OG0001561	XP_313778.5	XP_017791836.1
OG0001562	XP_001688616.1, XP_001688617.1	XP_017791476.1, XP_017791469.1
OG0001563	XP_552478.2	XP_017794766.1
OG0001565	XP_308594.4	XP_017795471.1
OG0001567	XP_552509.3	XP_017793208.1
OG0001568	XP_312875.5	XP_017790732.1
OG0001569	XP_308701.2	XP_017798527.1
OG0001570	XP_001237154.2	XP_017793254.1
OG0001571	XP_319421.4	XP_017795778.1, XP_017795777.1, XP_017795779.1
OG0001572	XP_321888.3, XP_003435792.1, XP_003435793.1	XP_017789701.1
OG0001575	XP_317568.3	XP_017790893.1
OG0001576	XP_553723.1	XP_017791694.1
OG0001577	XP_310528.5	XP_017793981.1
OG0001579	XP_316180.4	XP_017793956.1, XP_017793955.1
OG0001580	XP_001231055.3, XP_003437188.1, XP_003437189.1	XP_017794116.1, XP_017794117.1
OG0001581	XP_317108.3	XP_017789969.1
OG0001582	XP_313138.5	XP_017788046.1
OG0001583	XP_563637.3	XP_017794787.1
OG0001584	XP_311327.5	XP_017799371.1
OG0001585	XP_316571.4, XP_001237834.2	XP_017797653.1, XP_017797570.1
OG0001586	XP_312095.5	XP_017796492.1
OG0001587	XP_308295.3	XP_017795617.1
OG0001588	XP_312218.5	XP_017795562.1
OG0001589	XP_308241.3, XP_311195.5	XP_017790642.1
OG0001590	XP_312916.5, XP_003436238.1, XP_001237434.2, XP_312156.3, XP_563375.3, XP_003436237.1, XP_312155.4, XP_309133.5, XP_311060.5, XP_311061.5	XP_017798313.1
OG0001591	XP_317090.2	XP_017799406.1, XP_017791533.1, XP_017788388.1, XP_017787714.1, XP_017792886.1, XP_017797039.1
OG0001592	XP_317552.4	XP_017797760.1
OG0001593	XP_307791.5	XP_017796571.1
OG0001594	XP_003436556.1, XP_001688443.2	XP_017789111.1
OG0001595	XP_001688026.1	XP_017791480.1
OG0001596	XP_313347.3	XP_017797071.1
OG0001598	XP_003436740.1, XP_003436741.1, XP_313104.2	XP_017797232.1
OG0001599	XP_001689120.2	XP_017796498.1, XP_017796497.1
OG0001600	XP_315510.4	XP_017795725.1
OG0001601	XP_309586.5	XP_017799074.1
OG0001602	XP_307192.4, XP_313852.5	XP_017788654.1, XP_017788616.1
OG0001604	XP_314263.5	XP_017796813.1
OG0001605	XP_003437084.1	XP_017796235.1, XP_017796242.1
OG0001606	XP_001689072.1	XP_017798318.1
OG0001607	XP_001689143.1	XP_017798285.1
OG0001608	XP_319419.4	XP_017789234.1
OG0001609	XP_321659.5	XP_017787968.1
OG0001614	XP_560351.3, XP_003436655.1	XP_017791121.1
OG0001615	XP_311852.2, XP_003436358.1, XP_003436357.1	XP_017797878.1
OG0001616	XP_320422.3, XP_309574.1	XP_017789270.1
OG0001617	XP_322024.4	XP_017787907.1
OG0001619	XP_321321.5	XP_017789723.1
OG0001620	XP_319591.2	XP_017787440.1, XP_017787439.1, XP_017787441.1
OG0001623	XP_312663.4	XP_017795277.1
OG0001624	XP_555021.3	XP_017787637.1
OG0001625	XP_315994.4	XP_017791190.1
OG0001626	XP_309502.3, XP_564374.3	XP_017790279.1, XP_017790297.1, XP_017790288.1
OG0001627	XP_320536.3	XP_017791687.1
OG0001628	XP_311731.4	XP_017798287.1
OG0001629	XP_314557.3	XP_017795865.1, XP_017797110.1
OG0001630	XP_001688837.1, XP_001688836.1, XP_001688838.1, XP_316326.4	XP_017790864.1
OG0001631	XP_310839.5	XP_017793160.1, XP_017793161.1, XP_017793162.1
OG0001633	XP_314323.3	XP_017788797.1
OG0001634	XP_001230888.3	XP_017792806.1
OG0001636	XP_003437190.1, XP_315309.4, XP_003437193.1, XP_003437194.1, XP_001688627.1, XP_001688628.1, XP_003437192.1, XP_003437191.1	XP_017788432.1
OG0001637	XP_316947.3	XP_017789823.1
OG0001638	XP_320601.4	XP_017796740.1, XP_017791850.1
OG0001639	XP_311186.5	XP_017798607.1
OG0001640	XP_554103.3	XP_017797617.1
OG0001641	XP_320141.4, XP_311577.4, XP_320549.4	XP_017796019.1
OG0001642	XP_320480.3	XP_017788402.1
OG0001644	XP_322002.5, XP_321919.5	XP_017799542.1
OG0001645	XP_320998.5	XP_017794085.1
OG0001646	XP_319692.3	XP_017793743.1, XP_017798088.1
OG0001647	XP_310671.5	XP_017787994.1
OG0001648	XP_310884.2	XP_017799266.1
OG0001649	XP_315051.4	XP_017795862.1
OG0001650	XP_557360.3	XP_017788577.1
OG0001651	XP_003437027.1	XP_017789244.1, XP_017789243.1
OG0001652	XP_322051.4, XP_003435750.1, XP_003435751.1	XP_017793602.1, XP_017793587.1
OG0001653	XP_320653.4	XP_017790915.1
OG0001654	XP_316322.4	XP_017791347.1
OG0001655	XP_317107.3	XP_017794236.1
OG0001656	XP_320117.3	XP_017790946.1
OG0001657	XP_309717.4	XP_017792392.1
OG0001658	XP_314661.3	XP_017796992.1
OG0001659	XP_562889.4	XP_017796597.1
OG0001660	XP_001230361.2, XP_309701.3	XP_017789070.1
OG0001662	XP_001688561.1, XP_314339.4	XP_017796675.1
OG0001663	XP_312168.5	XP_017791598.1
OG0001664	XP_321343.4	XP_017788645.1, XP_017788639.1
OG0001665	XP_003436860.1, XP_003436866.1, XP_003436867.1, XP_003436863.1, XP_003436864.1, XP_003436865.1, XP_003436861.1, XP_315232.3	XP_017789292.1
OG0001666	XP_001687855.1	XP_017794583.1, XP_017794586.1, XP_017794584.1, XP_017794585.1
OG0001667	XP_308664.3	XP_017792197.1
OG0001669	XP_318809.4	XP_017792688.1
OG0001670	XP_310718.5	XP_017797873.1
OG0001671	XP_001689406.1	XP_017793876.1
OG0001672	XP_318539.2	XP_017791223.1
OG0001673	XP_317141.3	XP_017799244.1
OG0001674	XP_317052.4	XP_017799245.1
OG0001675	XP_316722.3, XP_001688955.1, XP_001688954.1	XP_017798751.1
OG0001676	XP_563676.2	XP_017794152.1
OG0001677	XP_311928.3	XP_017795798.1, XP_017795797.1
OG0001678	XP_313618.5	XP_017794254.1
OG0001679	XP_311576.3	XP_017789223.1
OG0001680	XP_318947.2	XP_017787548.1, XP_017787547.1
OG0001681	XP_024667092.1	XP_017788788.1
OG0001682	XP_001688188.1, XP_309431.3	XP_017789514.1
OG0001684	XP_307591.4, XP_313010.5	XP_017799022.1, XP_017799034.1
OG0001685	XP_308495.3	XP_017788060.1
OG0001686	XP_313332.4	XP_017793018.1
OG0001687	XP_319096.3	XP_017788725.1
OG0001688	XP_308980.4, XP_001688145.1	XP_017798487.1
OG0001689	XP_553178.3	XP_017789853.1
OG0001690	XP_310193.4	XP_017797806.1
OG0001691	XP_001687982.1, XP_001237100.1, XP_308551.2	XP_017789991.1, XP_017789992.1
OG0001693	XP_309509.4	XP_017790115.1
OG0001694	XP_317241.4	XP_017789348.1
OG0001695	XP_311525.1, XP_311053.3	XP_017796714.1, XP_017796715.1, XP_017796713.1
OG0001696	XP_310413.7	XP_017794582.1, XP_017794581.1
OG0001697	XP_003437059.1, XP_311206.3	XP_017793560.1
OG0001699	XP_322003.5	XP_017794255.1
OG0001700	XP_312660.5	XP_017789552.1
OG0001701	XP_317858.4	XP_017793264.1
OG0001702	XP_312777.5, XP_003436390.1	XP_017790324.1
OG0001703	XP_003436874.1, XP_003436875.1, XP_315198.5	XP_017793259.1, XP_017793185.1
OG0001704	XP_308365.4, XP_001687908.1	XP_017791498.1
OG0001706	XP_320092.4	XP_017791445.1
OG0001707	XP_311912.3	XP_017797534.1
OG0001708	XP_309293.4	XP_017793934.1
OG0001709	XP_001230626.3, XP_003436693.1	XP_017789504.1
OG0001711	XP_317208.4	XP_017798206.1
OG0001712	XP_320207.4	XP_017789844.1
OG0001713	XP_318067.4	XP_017789213.1
OG0001714	XP_307259.4	XP_017792904.1
OG0001715	XP_318881.4	XP_017795242.1
OG0001716	XP_003435836.1, XP_551386.4, XP_003435835.1, XP_003435838.1, XP_003435837.1	XP_017797518.1
OG0001717	XP_321495.3	XP_017798111.1
OG0001718	XP_556198.1, XP_315559.4	XP_017788200.1
OG0001719	XP_310666.5, XP_003436992.1	XP_017799086.1, XP_017799085.1, XP_017799084.1
OG0001720	XP_309530.2	XP_017790527.1
OG0001721	XP_308175.3	XP_017797403.1
OG0001722	XP_003435814.1, XP_321755.3	XP_017792195.1
OG0001723	XP_319532.3, XP_321724.3, XP_003435819.1, XP_001231183.1, XP_319537.3	XP_017791814.1
OG0001724	XP_315996.3	XP_017790653.1
OG0001725	XP_312990.5	XP_017792815.1
OG0001726	XP_310802.4, XP_003436968.1, XP_003436967.1	XP_017792590.1
OG0001727	XP_318889.3	XP_017793946.1
OG0001728	XP_555522.3	XP_017795059.1
OG0001729	XP_001688020.1, XP_001237109.2, XP_565017.3, XP_001688022.1	XP_017789767.1
OG0001730	XP_321872.5	XP_017797255.1
OG0001731	XP_320608.2	XP_017789010.1
OG0001732	XP_316858.4	XP_017796000.1
OG0001733	XP_555086.4, XP_317088.3	XP_017789924.1
OG0001734	XP_316946.4	XP_017797171.1
OG0001735	XP_321102.4, XP_310440.5	XP_017796517.1
OG0001736	XP_317071.4, XP_317075.4	XP_017788466.1
OG0001737	XP_003437186.1	XP_017794221.1
OG0001738	XP_317066.4, XP_001689128.1	XP_017795108.1
OG0001739	XP_315836.2	XP_017795472.1
OG0001740	XP_309567.4	XP_017791384.1, XP_017791392.1
OG0001742	XP_321539.2, XP_321540.2	XP_017789562.1
OG0001743	XP_310826.2	XP_017788870.1
OG0001744	XP_310145.3, XP_310146.3	XP_017796839.1
OG0001745	XP_312589.3	XP_017798901.1
OG0001746	XP_320924.5	XP_017790066.1
OG0001747	XP_551639.3	XP_017796858.1
OG0001748	XP_310266.7	XP_017796452.1
OG0001749	XP_319450.4	XP_017788365.1
OG0001750	XP_312178.3	XP_017797356.1
OG0001751	XP_554779.3	XP_017796400.1
OG0001752	XP_309607.4, XP_316957.4, XP_317360.4	XP_017788532.1
OG0001753	XP_312783.5	XP_017790149.1
OG0001754	XP_001688280.2	XP_017799002.1, XP_017799259.1
OG0001755	XP_318553.4, XP_318543.4	XP_017791170.1, XP_017788759.1
OG0001756	XP_311210.4	XP_017788252.1
OG0001757	XP_320893.4, XP_001237083.2	XP_017788740.1, XP_017788737.1
OG0001758	XP_313840.4	XP_017796060.1
OG0001759	XP_308109.5	XP_017792584.1
OG0001760	XP_310291.7	XP_017795647.1
OG0001762	XP_556818.3	XP_017793896.1
OG0001763	XP_565619.1	XP_017793036.1, XP_017793035.1
OG0001764	XP_321236.5	XP_017793686.1
OG0001765	XP_001231186.2	XP_017791359.1
OG0001766	XP_315826.4, XP_001688731.1, XP_001688732.1, XP_001688733.2	XP_017798815.1
OG0001768	XP_001230640.2	XP_017790076.1
OG0001769	XP_320186.4	XP_017792665.1
OG0001775	XP_001689282.1	XP_017798439.1
OG0001776	XP_560736.1, XP_311363.2, XP_307325.4	XP_017793207.1
OG0001777	XP_311275.2	XP_017789765.1, XP_017789772.1
OG0001778	XP_003437154.1, XP_560169.2, XP_312560.3	XP_017795229.1
OG0001779	XP_308598.4, XP_001688027.1	XP_017793884.1
OG0001780	XP_314488.4	XP_017798572.1
OG0001781	XP_313044.3, XP_309217.4, XP_003437171.1, XP_003437172.1, XP_003437173.1, XP_003437174.1, XP_003437175.1	XP_017797368.1
OG0001782	XP_315090.2	XP_017792078.1
OG0001783	XP_308171.3	XP_017795149.1
OG0001784	XP_309682.2	XP_017798029.1
OG0001785	XP_312844.5, XP_003436412.1	XP_017797199.1, XP_017797200.1
OG0001786	XP_320389.2	XP_017795373.1
OG0001787	XP_313766.4	XP_017791838.1
OG0001789	XP_316740.1	XP_017790648.1
OG0001790	XP_003436834.1, XP_313819.4	XP_017787502.1, XP_017787516.1
OG0001791	XP_313615.4	XP_017790506.1, XP_017790507.1
OG0001792	XP_317364.3	XP_017791405.1
OG0001793	XP_317244.3	XP_017789159.1
OG0001794	XP_317897.4	XP_017790352.1
OG0001796	XP_320948.2	XP_017794875.1
OG0001797	XP_320213.4	XP_017794907.1
OG0001799	XP_317542.4	XP_017798101.1
OG0001800	XP_322025.4	XP_017788341.1
OG0001801	XP_003437184.1, XP_309240.5	XP_017793223.1
OG0001802	XP_311303.4	XP_017788416.1
OG0001803	XP_319394.3	XP_017798289.1
OG0001804	XP_309016.3	XP_017788661.1, XP_017788660.1
OG0001805	XP_001230802.2, XP_311500.4	XP_017798644.1
OG0001806	XP_001237938.1	XP_017790958.1
OG0001807	XP_001688881.1	XP_017788285.1
OG0001808	XP_321112.5	XP_017796496.1
OG0001809	XP_310183.4	XP_017794298.1
OG0001810	XP_311361.4	XP_017790447.1, XP_017790446.1
OG0001811	XP_320972.5	XP_017789341.1
OG0001812	XP_307843.4	XP_017788724.1
OG0001813	XP_318213.4	XP_017794048.1
OG0001814	XP_316569.3	XP_017790229.1
OG0001816	XP_320770.4	XP_017794366.1
OG0001818	XP_310323.5	XP_017788560.1
OG0001820	XP_307539.4, XP_311694.5	XP_017796387.1, XP_017793841.1
OG0001821	XP_321552.2	XP_017794565.1
OG0001822	XP_318935.4	XP_017790143.1
OG0001823	XP_319031.4	XP_017795882.1
OG0001824	XP_313195.5, XP_003436768.1, XP_003436767.1, XP_003436769.1	XP_017794482.1
OG0001825	XP_309761.4	XP_017796474.1
OG0001826	XP_316335.3	XP_017792044.1
OG0001827	XP_312964.5	XP_017790702.1
OG0001828	XP_319800.4	XP_017792068.1
OG0001830	XP_321851.5	XP_017796097.1
OG0001831	XP_311880.3	XP_017798675.1
OG0001832	XP_312521.5	XP_017796598.1
OG0001833	XP_315521.4	XP_017795836.1
OG0001834	XP_319184.4	XP_017792894.1, XP_017792893.1
OG0001835	XP_314022.4, XP_558527.3	XP_017788160.1
OG0001836	XP_003437135.1, XP_560130.4	XP_017787972.1
OG0001837	XP_321014.5	XP_017793084.1
OG0001838	XP_321088.3	XP_017792110.1
OG0001839	XP_003436136.1, XP_312480.4	XP_017798036.1
OG0001840	XP_318482.1	XP_017796094.1
OG0001841	XP_001688202.2, XP_311414.4	XP_017795639.1
OG0001842	XP_320512.3	XP_017795964.1
OG0001843	XP_307776.4	XP_017791221.1
OG0001844	XP_312568.5	XP_017797809.1
OG0001845	XP_319417.2	XP_017799544.1
OG0001846	XP_001688620.2	XP_017793705.1
OG0001847	XP_310788.4	XP_017791488.1
OG0001848	XP_308873.2	XP_017794301.1
OG0001850	XP_319034.3	XP_017797754.1, XP_017797753.1
OG0001851	XP_317298.4	XP_017794948.1
OG0001852	XP_310775.5	XP_017793405.1
OG0001853	XP_319487.4	XP_017790883.1
OG0001854	XP_309469.4	XP_017794822.1
OG0001855	XP_307994.5, XP_003436054.1	XP_017791362.1
OG0001856	XP_313353.5	XP_017794392.1
OG0001859	XP_001238249.2	XP_017789873.1
OG0001860	XP_320308.4	XP_017791733.1
OG0001861	XP_321709.4	XP_017790754.1
OG0001862	XP_003435833.1, XP_003435834.1, XP_321690.5	XP_017793258.1
OG0001863	XP_309095.4	XP_017791154.1, XP_017791153.1
OG0001864	XP_317269.4	XP_017796198.1
OG0001865	XP_319334.2	XP_017792067.1
OG0001866	XP_315330.3	XP_017798718.1
OG0001867	XP_312464.4	XP_017789784.1
OG0001868	XP_003436044.1, XP_308030.5	XP_017793065.1
OG0001869	XP_318045.3	XP_017793537.1
OG0001870	XP_313568.2	XP_017789092.1, XP_017789091.1
OG0001871	XP_312619.4	XP_017793734.1
OG0001872	XP_312232.5, XP_003436213.1	XP_017794257.1
OG0001873	XP_321783.5	XP_017798861.1
OG0001875	XP_311329.5	XP_017791620.1
OG0001876	XP_321464.5	XP_017794660.1
OG0001877	XP_319571.4	XP_017795894.1
OG0001878	XP_311975.4, XP_320738.4	XP_017794841.1
OG0001879	XP_317011.3	XP_017796154.1
OG0001880	XP_003436040.1, XP_308045.4	XP_017790601.1
OG0001882	XP_311133.5	XP_017788444.1
OG0001883	XP_313579.3, XP_003436781.1, XP_307412.4, XP_560083.3	XP_017792086.1
OG0001884	XP_001689191.1	XP_017795759.1
OG0001885	XP_313002.4	XP_017787749.1
OG0001886	XP_309838.4	XP_017798065.1
OG0001887	XP_317002.4, XP_553715.3	XP_017796424.1
OG0001888	XP_317311.2	XP_017798513.1
OG0001889	XP_307262.4	XP_017792380.1
OG0001890	XP_316301.2	XP_017798598.1
OG0001891	XP_320814.4	XP_017796024.1
OG0001892	XP_309357.2	XP_017792206.1, XP_017792207.1
OG0001893	XP_001688942.1, XP_001688941.1, XP_001688940.1, XP_001688939.1	XP_017789830.1
OG0001894	XP_001688928.1, XP_316628.4	XP_017788208.1
OG0001895	XP_308248.4	XP_017798560.1
OG0001896	XP_307242.4, XP_319188.4	XP_017789814.1
OG0001897	XP_313366.5	XP_017792467.1
OG0001898	XP_321435.4	XP_017799201.1
OG0001899	XP_308974.4	XP_017793378.1
OG0001900	XP_316978.4	XP_017796938.1
OG0001901	XP_306805.2, XP_309655.5	XP_017793421.1
OG0001902	XP_003436023.1, XP_550721.4	XP_017792923.1
OG0001903	XP_001687821.1	XP_017790151.1
OG0001904	XP_312286.5	XP_017792137.1
OG0001905	XP_562663.4	XP_017790820.1
OG0001908	XP_001237469.3	XP_017789053.1
OG0001909	XP_316909.4	XP_017788624.1
OG0001910	XP_001688999.1	XP_017796487.1
OG0001912	XP_318591.3	XP_017789374.1, XP_017789373.1
OG0001913	XP_312163.5	XP_017788497.1
OG0001914	XP_556085.3	XP_017794479.1
OG0001915	XP_003436857.1, XP_003436858.1, XP_315238.3, XP_321510.1	XP_017790631.1
OG0001916	XP_308004.3	XP_017796382.1
OG0001917	XP_564245.2	XP_017787877.1
OG0001919	XP_317505.2, XP_001237937.1	XP_017789323.1
OG0001921	XP_320502.4	XP_017790912.1
OG0001922	XP_319376.3	XP_017788435.1
OG0001923	XP_001688815.1, XP_316251.4, XP_001688818.1, XP_001688817.1, XP_001688816.1	XP_017787614.1
OG0001924	XP_314937.4	XP_017795840.1
OG0001925	XP_321757.5	XP_017794515.1
OG0001926	XP_318244.2	XP_017787450.1, XP_017787451.1, XP_017787452.1
OG0001927	XP_317044.4	XP_017794881.1
OG0001928	XP_315547.4	XP_017793870.1
OG0001929	XP_317454.4	XP_017795389.1
OG0001930	XP_321897.3	XP_017790170.1
OG0001931	XP_311435.4	XP_017792740.1
OG0001933	XP_307887.5	XP_017788181.1
OG0001934	XP_311532.4	XP_017788059.1
OG0001936	XP_318100.4	XP_017787497.1
OG0001937	XP_001689103.1, XP_554647.3, XP_318122.4	XP_017797362.1
OG0001938	XP_558769.4	XP_017791839.1
OG0001939	XP_552338.3	XP_017788602.1
OG0001941	XP_319987.4	XP_017788269.1
OG0001942	XP_317665.3	XP_017787537.1
OG0001943	XP_003436473.1, XP_557438.4, XP_003436880.1	XP_017793244.1
OG0001944	XP_312420.3	XP_017799157.1
OG0001945	XP_003436058.1	XP_017792958.1
OG0001946	XP_317472.4	XP_017793389.1
OG0001947	XP_001688716.1, XP_315727.4	XP_017798164.1, XP_017798141.1
OG0001949	XP_317607.1	XP_017787365.1
OG0001950	XP_315751.4	XP_017788139.1
OG0001951	XP_566154.4, XP_003436945.1, XP_003436946.1	XP_017793827.1, XP_017793829.1
OG0001952	XP_001688471.1, XP_313906.4	XP_017787415.1
OG0001953	XP_313932.4	XP_017792662.1, XP_017787425.1, XP_017787424.1
OG0001954	XP_321431.4	XP_017791395.1
OG0001956	XP_311418.4	XP_017796758.1
OG0001959	XP_321366.4, XP_321367.3	XP_017790743.1, XP_017790744.1
OG0001960	XP_311552.4, XP_557151.3	XP_017796201.1
OG0001961	XP_320824.4	XP_017788069.1, XP_017788070.1, XP_017788068.1
OG0001962	XP_001238089.2, XP_307544.3, XP_552919.3	XP_017788703.1
OG0001963	XP_001689287.1	XP_017790030.1
OG0001964	XP_312847.5	XP_017789778.1
OG0001965	XP_317861.4	XP_017792304.1
OG0001966	XP_001688506.1	XP_017798608.1
OG0001967	XP_560052.3, XP_003436697.1, XP_003436698.1, XP_309601.4, XP_001688199.2	XP_017793653.1, XP_017793652.1
OG0001968	XP_562672.3	XP_017789546.1, XP_017789548.1
OG0001969	XP_311170.4	XP_017795023.1
OG0001971	XP_001237912.2	XP_017789064.1
OG0001973	XP_311464.4	XP_017791160.1
OG0001974	XP_311480.4	XP_017796173.1
OG0001975	XP_320440.4	XP_017787874.1
OG0001976	XP_311164.5	XP_017791025.1
OG0001977	XP_313368.5	XP_017787779.1
OG0001987	XP_311198.2, XP_003437054.1	XP_017788900.1, XP_017788899.1
OG0001988	XP_320295.4	XP_017794234.1
OG0001989	XP_318823.2, XP_312874.2	XP_017788148.1
OG0001990	XP_313570.3	XP_017788242.1, XP_017788250.1
OG0001991	XP_001237311.3	XP_017798955.1
OG0001992	XP_320931.5	XP_017789417.1
OG0001993	XP_308577.2	XP_017792661.1
OG0001994	XP_312541.3	XP_017790509.1
OG0001996	XP_313220.4	XP_017789613.1
OG0001997	XP_312608.5, XP_003436094.1, XP_313590.2	XP_017787566.1
OG0001998	XP_311821.3, XP_003436372.1	XP_017796933.1
OG0001999	XP_313593.3, XP_003436785.1	XP_017790073.1
OG0002000	XP_001237600.2	XP_017793103.1
OG0002001	XP_315690.3	XP_017792497.1
OG0002002	XP_314684.3	XP_017792484.1
OG0002003	XP_319151.4	XP_017796203.1, XP_017796202.1
OG0002004	XP_312664.3	XP_017795278.1
OG0002005	XP_308337.2	XP_017789516.1, XP_017789515.1
OG0002006	XP_320203.4	XP_017794410.1
OG0002007	XP_315539.4	XP_017795832.1
OG0002009	XP_309809.3	XP_017796020.1
OG0002010	XP_001237747.2	XP_017790487.1
OG0002011	XP_316229.4	XP_017796379.1
OG0002012	XP_317892.4	XP_017788386.1
OG0002013	XP_308133.5	XP_017790253.1, XP_017790252.1
OG0002014	XP_317430.4	XP_017788968.1
OG0002015	XP_317330.3	XP_017795614.1
OG0002016	XP_321554.1	XP_017790429.1
OG0002018	XP_313721.3	XP_017798377.1
OG0002019	XP_316694.4, XP_001688949.1, XP_001688948.1	XP_017793373.1
OG0002020	XP_313841.5, XP_003436836.1	XP_017796886.1
OG0002021	XP_319465.4	XP_017787829.1
OG0002022	XP_565083.3	XP_017792727.1
OG0002023	XP_310822.5	XP_017788965.1
OG0002024	XP_001237567.2	XP_017796936.1
OG0002025	XP_310557.3	XP_017798153.1
OG0002026	XP_309803.3	XP_017787700.1
OG0002027	XP_316518.4	XP_017794852.1
OG0002028	XP_317970.5	XP_017792255.1
OG0002029	XP_003437055.1, XP_003437056.1, XP_311201.5	XP_017798346.1, XP_017798344.1
OG0002032	XP_317803.3	XP_017790837.1
OG0002034	XP_003436757.1	XP_017790191.1
OG0002035	XP_320862.4	XP_017798256.1
OG0002036	XP_308782.4	XP_017794437.1
OG0002038	XP_311849.4	XP_017791106.1
