Orthogroup	Anopheles_gambiae	Nomia_melanderi
OG0000625	XP_311150.5	XP_031836538.1
OG0000626	XP_309478.3	XP_031827559.1
OG0000627	XP_313991.3, XP_308941.4	XP_031838500.1, XP_031838499.1, XP_031838501.1, XP_031838502.1
OG0000628	XP_003435800.1	XP_031848844.1
OG0000628	XP_003435801.1, XP_321860.5	XP_031835634.1
OG0000629	XP_307949.3	XP_031848840.1
OG0000630	XP_319210.4	XP_031837908.1
OG0000631	XP_315856.4	XP_031832583.1, XP_031832584.1, XP_031832581.1, XP_031832582.1
OG0000632	XP_306246.4	XP_031832369.1, XP_031832370.1
OG0000633	XP_314784.2	XP_031832759.1, XP_031832761.1, XP_031832760.1
OG0000634	XP_319410.4	XP_031841598.1
OG0000636	XP_319577.4	XP_031847773.1
OG0000637	XP_310856.5	XP_031838620.1
OG0000638	XP_562148.4	XP_031842266.1, XP_031842268.1
OG0000639	XP_309308.4	XP_031844980.1
OG0000640	XP_003436963.1, XP_310820.4, XP_003436962.1	XP_031827859.1
OG0000641	XP_316424.3	XP_031834996.1, XP_031834995.1, XP_031834994.1, XP_031834993.1, XP_031834992.1, XP_031834991.1, XP_031834986.1, XP_031834987.1, XP_031834988.1, XP_031834984.1, XP_031834989.1, XP_031834985.1, XP_031834997.1
OG0000642	XP_311230.3, XP_003437068.1, XP_003437069.1	XP_031839563.1
OG0000643	XP_560259.3	XP_031838855.1
OG0000643	XP_309230.3	XP_031838857.1
OG0000644	XP_001688516.1	XP_031834971.1, XP_031834920.1, XP_031834961.1, XP_031834980.1, XP_031834940.1, XP_031834990.1, XP_031834931.1, XP_031834951.1
OG0000645	XP_315876.4	XP_031837886.1
OG0000645	XP_001688363.2	XP_031837879.1
OG0000646	XP_003437070.1, XP_315052.4	XP_031846751.1, XP_031846752.1
OG0000647	XP_321059.2	XP_031832251.1
OG0000649	XP_314034.3, XP_001230969.2	XP_031843812.1
OG0000650	XP_320650.4	XP_031835080.1, XP_031835082.1, XP_031835077.1, XP_031835079.1, XP_031835078.1
OG0000651	XP_317650.4	XP_031840207.1
OG0000651	XP_317229.4	XP_031833975.1
OG0000653	XP_001230952.2	XP_031825303.1
OG0000655	XP_319245.3	XP_031846589.1, XP_031846579.1, XP_031846573.1, XP_031846571.1
OG0000656	XP_316542.4	XP_031842022.1
OG0000657	XP_001688791.1	XP_031832528.1, XP_031832547.1, XP_031832557.1, XP_031832507.1, XP_031832517.1, XP_031832538.1, XP_031832497.1
OG0000659	XP_313457.4	XP_031845453.1, XP_031845398.1, XP_031845351.1, XP_031845462.1, XP_031845360.1, XP_031845408.1, XP_031845444.1, XP_031845437.1, XP_031845418.1, XP_031845379.1, XP_031845428.1, XP_031845341.1, XP_031845370.1, XP_031845388.1
OG0000660	XP_307846.2, XP_001230584.2, XP_001687822.1, XP_307847.4	XP_031844621.1, XP_031844620.1, XP_031844619.1
OG0000661	XP_001238041.2	XP_031827471.1
OG0000662	XP_313337.4, XP_313338.3	XP_031840122.1
OG0000663	XP_317433.4	XP_031827685.1, XP_031827680.1, XP_031827682.1
OG0000664	XP_308050.5	XP_031846663.1
OG0000665	XP_001230383.1, XP_321303.3, XP_003435929.1, XP_003435928.1, XP_551025.3, XP_313434.3, XP_003436555.1	XP_031837757.1
OG0000666	XP_001238109.2, XP_319212.3	XP_031837666.1, XP_031837665.1
OG0000667	XP_319669.4	XP_031826633.1, XP_031826632.1, XP_031826630.1, XP_031826634.1
OG0000668	XP_001688078.1	XP_031829324.1, XP_031829314.1
OG0000669	XP_309585.5	XP_031829567.1, XP_031829575.1, XP_031829557.1, XP_031829584.1
OG0000670	XP_312110.5, XP_001688360.2, XP_308586.1, XP_312064.5, XP_001687933.1, XP_312063.2, XP_312068.4, XP_003436263.1	XP_031825466.1
OG0000671	XP_001688495.1, XP_001688496.1, XP_001688497.1, XP_558477.3, XP_001688494.1	XP_031846051.1, XP_031846050.1, XP_031846049.1
OG0000672	XP_317741.4	XP_031834187.1, XP_031834186.1, XP_031834231.1
OG0000673	XP_308041.5	XP_031832659.1
OG0000674	XP_310408.4, XP_003436633.1, XP_003436634.1	XP_031847159.1, XP_031845808.1
OG0000676	XP_317278.4	XP_031834225.1, XP_031844225.1
OG0000680	XP_320630.2	XP_031825263.1, XP_031826128.1
OG0000681	XP_321558.2	XP_031833781.1
OG0000681	XP_319533.2, XP_001231181.2	XP_031847891.1
OG0000682	XP_319299.4	XP_031835909.1
OG0000683	XP_319765.3	XP_031838108.1, XP_031838107.1
OG0000684	XP_001238071.2	XP_031839001.1
OG0000685	XP_319708.4	XP_031838669.1
OG0000686	XP_321442.4, XP_003435895.1	XP_031844166.1, XP_031844170.1, XP_031844173.1, XP_031844171.1, XP_031844168.1, XP_031844169.1, XP_031844167.1
OG0000687	XP_319825.4	XP_031845641.1, XP_031845652.1
OG0000688	XP_308581.3	XP_031833070.1
OG0000689	XP_314674.4, XP_314675.4	XP_031846614.1
OG0000690	XP_308564.3, XP_001688002.1	XP_031826160.1
OG0000691	XP_320710.4	XP_031846169.1
OG0000692	XP_001688676.1, XP_001688677.1, XP_556168.3, XP_315528.2, XP_001237680.1	XP_031831002.1, XP_031831000.1
OG0000693	XP_317603.4	XP_031844031.1
OG0000694	XP_313897.4, XP_001688469.1	XP_031831683.1, XP_031831690.1
OG0000695	XP_556108.3, XP_001237663.2	XP_031849598.1, XP_031849597.1, XP_031849596.1
OG0000696	XP_314098.2	XP_031834018.1, XP_031834017.1, XP_031834016.1
OG0000697	XP_311232.5	XP_031839637.1
OG0000698	XP_314131.4	XP_031831265.1, XP_031831266.1, XP_031831264.1
OG0000699	XP_312504.4	XP_031838249.1
OG0000704	XP_309375.4	XP_031848520.1, XP_031848522.1, XP_031848523.1, XP_031832818.1
OG0000705	XP_003435769.1	XP_031836722.1, XP_031836720.1, XP_031836721.1, XP_031836723.1, XP_031836724.1
OG0000706	XP_315558.4	XP_031828045.1, XP_031828052.1
OG0000707	XP_320621.4, XP_001689277.1, XP_552329.3, XP_320615.4, XP_320620.4, XP_320619.4	XP_031845098.1
OG0000708	XP_311193.4	XP_031825786.1, XP_031825783.1, XP_031825784.1, XP_031825782.1, XP_031825781.1, XP_031825780.1, XP_031825779.1, XP_031825785.1
OG0000709	XP_314703.4	XP_031829770.1, XP_031829779.1, XP_031829796.1, XP_031829787.1
OG0000711	XP_320429.3	XP_031827571.1
OG0000712	XP_001688392.2, XP_001688393.2, XP_001688394.2, XP_001688395.1, XP_312613.5	XP_031838926.1
OG0000713	XP_321588.5	XP_031833115.1, XP_031833116.1, XP_031833118.1, XP_031833119.1, XP_031833120.1, XP_031833121.1, XP_031833122.1, XP_031833123.1
OG0000714	XP_311086.2	XP_031847737.1
OG0000715	XP_003436561.1, XP_003437118.1, XP_316817.5, XP_003437119.1	XP_031829522.1, XP_031829519.1
OG0000716	XP_308561.4, XP_003435740.1	XP_031826538.1
OG0000717	XP_317161.4	XP_031839243.1
OG0000718	XP_566366.4	XP_031837081.1, XP_031848254.1, XP_031837291.1
OG0000719	XP_319824.3	XP_031846232.1
OG0000720	XP_307780.5	XP_031838988.1
OG0000720	XP_308196.4	XP_031825788.1
OG0000721	XP_310647.1	XP_031849727.1
OG0000722	XP_321617.4	XP_031829400.1
OG0000723	XP_311134.3	XP_031845199.1, XP_031845191.1
OG0000724	XP_564450.1, XP_312565.3	XP_031848940.1, XP_031846987.1
OG0000726	XP_309067.4, XP_308848.4, XP_565288.3	XP_031844347.1
OG0000727	XP_317811.4	XP_031835949.1, XP_031835944.1, XP_031835943.1, XP_031835946.1, XP_031835945.1, XP_031835950.1, XP_031835947.1, XP_031835948.1
OG0000728	XP_551486.2, XP_551485.2, XP_321793.2, XP_001689357.1	XP_031850225.1
OG0000729	XP_003436318.1, XP_563178.3	XP_031841058.1
OG0000730	XP_001237838.2	XP_031828345.1
OG0000731	XP_001238225.2, XP_001238226.1	XP_031844351.1, XP_031844353.1, XP_031844350.1, XP_031844355.1, XP_031844354.1, XP_031844357.1, XP_031844356.1
OG0000732	XP_319834.4	XP_031850346.1, XP_031850345.1, XP_031850348.1, XP_031850349.1
OG0000736	XP_309539.2	XP_031833144.1, XP_031833147.1, XP_031833148.1, XP_031833145.1
OG0000737	XP_321482.4, XP_001689335.2	XP_031846618.1, XP_031846635.1, XP_031846626.1
OG0000738	XP_003436514.1, XP_313282.5	XP_031833608.1
OG0000739	XP_001689185.1	XP_031839691.1
OG0000740	XP_308979.2	XP_031839277.1, XP_031839281.1, XP_031839280.1, XP_031839279.1, XP_031839278.1
OG0000741	XP_320004.4, XP_319076.3	XP_031842109.1
OG0000742	XP_314748.3, XP_003436764.1, XP_003436763.1, XP_313179.4	XP_031848256.1
OG0000743	XP_317315.3	XP_031846668.1
OG0000744	XP_311931.4, XP_001237485.2	XP_031841753.1
OG0000745	XP_320670.3	XP_031837051.1
OG0000746	XP_318705.3, XP_312838.4	XP_031826252.1, XP_031826254.1
OG0000747	XP_310665.3	XP_031849235.1, XP_031849233.1, XP_031849231.1, XP_031849232.1, XP_031849230.1
OG0000748	XP_320170.4, XP_320144.4	XP_031848949.1, XP_031834514.1
OG0000749	XP_003436933.1, XP_310951.5	XP_031829524.1
OG0000750	XP_308778.4	XP_031835558.1, XP_031835560.1, XP_031835561.1
OG0000751	XP_315755.4, XP_001688723.1	XP_031847228.1
OG0000751	XP_314756.4	XP_031847558.1
OG0000752	XP_317823.4, XP_310889.5	XP_031832824.1, XP_031832825.1
OG0000753	XP_312995.5	XP_031825759.1, XP_031825760.1, XP_031825756.1, XP_031825757.1, XP_031825758.1, XP_031825761.1, XP_031825762.1
OG0000754	XP_312756.5	XP_031838447.1, XP_031842490.1
OG0000755	XP_313657.4	XP_031843663.1, XP_031843664.1, XP_031843670.1, XP_031843671.1, XP_031843668.1, XP_031843669.1, XP_031843666.1, XP_031843667.1, XP_031843665.1
OG0000757	XP_314680.4	XP_031828697.1
OG0000758	XP_317050.4	XP_031850495.1, XP_031832262.1
OG0000759	XP_312018.5	XP_031841444.1
OG0000760	XP_001688456.2	XP_031835118.1
OG0000761	XP_553256.3	XP_031839051.1, XP_031839046.1, XP_031839047.1, XP_031839048.1, XP_031839049.1, XP_031839045.1, XP_031839042.1, XP_031839050.1
OG0000762	XP_001237444.3	XP_031832009.1, XP_031832010.1
OG0000765	XP_312371.1, XP_003436159.1	XP_031832930.1, XP_031832939.1, XP_031832909.1, XP_031832919.1, XP_031832925.1, XP_031832949.1, XP_031832902.1
OG0000766	XP_321355.5	XP_031847688.1
OG0000767	XP_315509.3, XP_001688672.1, XP_001688673.1	XP_031846672.1, XP_031846674.1
OG0000768	XP_309489.4	XP_031849249.1, XP_031849250.1
OG0000769	XP_311161.4, XP_315324.4	XP_031836758.1
OG0000770	XP_001688195.1	XP_031832794.1, XP_031832793.1
OG0000771	XP_308361.4, XP_001687775.2	XP_031828481.1
OG0000772	XP_001689245.1, XP_320299.4	XP_031837510.1
OG0000773	XP_317844.3	XP_031849947.1, XP_031849948.1, XP_031849945.1, XP_031849946.1, XP_031849943.1, XP_031849944.1
OG0000774	XP_312552.5	XP_031846257.1, XP_031846251.1, XP_031846252.1, XP_031846249.1, XP_031846250.1, XP_031846255.1, XP_031846256.1, XP_031846253.1, XP_031846254.1, XP_031846259.1
OG0000776	XP_001688474.1, XP_313915.3	XP_031847599.1, XP_031847598.1, XP_031847597.1, XP_031847596.1, XP_031847593.1, XP_031847594.1, XP_031847595.1, XP_031847600.1
OG0000777	XP_321280.5	XP_031832906.1, XP_031832905.1
OG0000778	XP_315543.3	XP_031846780.1, XP_031846778.1, XP_031846777.1, XP_031846779.1
OG0000779	XP_313129.1, XP_313127.2, XP_003436743.1	XP_031847701.1
OG0000780	XP_316669.4	XP_031830783.1
OG0000781	XP_321207.2	XP_031844318.1, XP_031844319.1, XP_031844320.1, XP_031844321.1
OG0000782	XP_320180.1	XP_031835282.1
OG0000783	XP_551936.2	XP_031836116.1, XP_031836115.1
OG0000785	XP_321503.2, XP_321497.2, XP_565056.3, XP_308620.4	XP_031832597.1, XP_031832596.1, XP_031832595.1, XP_031832598.1
OG0000786	XP_321356.5	XP_031827087.1, XP_031827088.1, XP_031827086.1
OG0000789	XP_307037.4	XP_031838365.1, XP_031838364.1
OG0000790	XP_316813.5	XP_031829531.1
OG0000795	XP_316941.3	XP_031840605.1
OG0000796	XP_311696.2	XP_031833218.1
OG0000797	XP_001688174.2	XP_031829294.1, XP_031829303.1, XP_031829271.1, XP_031829281.1, XP_031829289.1
OG0000798	XP_559058.3	XP_031837981.1, XP_031837977.1, XP_031837976.1, XP_031837979.1, XP_031837978.1, XP_031837980.1, XP_031837984.1, XP_031837982.1, XP_031837983.1
OG0000799	XP_317538.3	XP_031835311.1, XP_031835309.1
OG0000800	XP_001237468.3	XP_031837135.1, XP_031837136.1
OG0000801	XP_003437047.1, XP_001689387.2	XP_031833767.1
OG0000801	XP_310573.4	XP_031828757.1
OG0000802	XP_308510.4, XP_308511.4	XP_031843741.1
OG0000803	XP_308462.4, XP_310113.4	XP_031845957.1
OG0000804	XP_308552.4, XP_001687983.1	XP_031849672.1
OG0000805	XP_566364.4	XP_031848753.1
OG0000805	XP_311087.5	XP_031847040.1
OG0000806	XP_308596.4	XP_031838008.1
OG0000807	XP_321929.3	XP_031841799.1, XP_031841800.1, XP_031841801.1, XP_031841798.1
OG0000808	XP_313990.4, XP_003435719.1	XP_031825857.1
OG0000809	XP_003436050.1, XP_307995.5	XP_031831207.1, XP_031831202.1, XP_031831205.1
OG0000810	XP_322067.4	XP_031841727.1, XP_031841726.1
OG0000811	XP_001688164.1, XP_309085.4	XP_031841901.1
OG0000812	XP_308496.4	XP_031828031.1, XP_031836916.1
OG0000813	XP_309726.4, XP_309724.3, XP_554155.3, XP_320312.4	XP_031827180.1, XP_031827177.1
OG0000814	XP_316915.4	XP_031848131.1, XP_031848667.1
OG0000814	XP_318688.2	XP_031848239.1
OG0000815	XP_315593.4, XP_001688684.1	XP_031844738.1
OG0000816	XP_555284.3	XP_031830982.1
OG0000817	XP_320274.2	XP_031850377.1, XP_031850375.1, XP_031850374.1
OG0000819	XP_557579.3	XP_031829487.1, XP_031829482.1
OG0000820	XP_003436676.1, XP_318436.5	XP_031836434.1
OG0000821	XP_001689219.1	XP_031847922.1
OG0000822	XP_309064.5, XP_003435721.1	XP_031837400.1, XP_031837401.1
OG0000824	XP_003435788.1, XP_003435789.1, XP_321893.4	XP_031841093.1, XP_031830519.1
OG0000825	XP_314783.2, XP_557830.2	XP_031835128.1
OG0000826	XP_313758.4, XP_003436825.1	XP_031845666.1, XP_031845667.1
OG0000827	XP_001688260.1, XP_316485.4	XP_031825898.1
OG0000828	XP_311410.4	XP_031849066.1, XP_031849064.1, XP_031849065.1
OG0000829	XP_312898.3	XP_031845756.1, XP_031845737.1, XP_031845726.1, XP_031845765.1, XP_031845747.1
OG0000830	XP_309393.2	XP_031849546.1, XP_031849545.1, XP_031849547.1
OG0000831	XP_310750.5, XP_319460.3	XP_031834870.1
OG0000832	XP_320918.5, XP_003436034.1, XP_003436035.1, XP_003436036.1	XP_031844990.1
OG0000833	XP_001689140.1	XP_031827591.1, XP_031827577.1, XP_031827590.1
OG0000835	XP_319306.4	XP_031835224.1
OG0000838	XP_001237627.2	XP_031848070.1
OG0000840	XP_310379.7, XP_003436628.1, XP_003436446.1, XP_314237.4	XP_031825965.1, XP_031825964.1, XP_031825963.1, XP_031825962.1
OG0000841	XP_316016.3, XP_001688766.1, XP_319122.4, XP_319146.4, XP_311058.5	XP_031845758.1, XP_031845762.1
OG0000842	XP_318601.4, XP_001689137.1, XP_001689136.1	XP_031833893.1
OG0000843	XP_315164.4, XP_314344.5	XP_031841755.1
OG0000844	XP_553771.3	XP_031841977.1, XP_031841976.1
OG0000849	XP_563989.1	XP_031830980.1, XP_031830979.1, XP_031830981.1
OG0000850	XP_317465.2	XP_031846261.1, XP_031846260.1
OG0000851	XP_309827.4	XP_031830298.1, XP_031830299.1, XP_031830297.1
OG0000852	XP_552427.2	XP_031839705.1
OG0000853	XP_001237881.1	XP_031827045.1
OG0000854	XP_566387.4, XP_316496.3	XP_031839888.1, XP_031839889.1
OG0000855	XP_001687874.1, XP_001687873.1, XP_001687875.1, XP_308237.4, XP_001687876.1	XP_031828391.1, XP_031828390.1
OG0000856	XP_001689087.1, XP_318047.4	XP_031827414.1
OG0000857	XP_562320.4	XP_031845279.1
OG0000859	XP_001230995.1, XP_309522.4	XP_031839183.1
OG0000860	XP_321195.5	XP_031849518.1
OG0000861	XP_315658.3	XP_031839602.1
OG0000862	XP_001238522.2, XP_001238523.2, XP_003435843.1	XP_031836552.1
OG0000863	XP_312621.4	XP_031830070.1, XP_031830076.1, XP_031830075.1, XP_031830077.1, XP_031830072.1, XP_031830071.1, XP_031830074.1, XP_031830073.1
OG0000864	XP_312223.5, XP_319733.4	XP_031833408.1, XP_031833406.1
OG0000865	XP_315231.5	XP_031825305.1
OG0000866	XP_319528.4	XP_031841319.1
OG0000867	XP_315403.4	XP_031846275.1
OG0000870	XP_320737.4	XP_031849881.1, XP_031850156.1
OG0000871	XP_311516.4	XP_031845851.1, XP_031845852.1
OG0000872	XP_316840.3	XP_031835220.1
OG0000873	XP_557731.3	XP_031833177.1
OG0000875	XP_308629.2	XP_031827729.1, XP_031827731.1, XP_031827730.1
OG0000876	XP_312228.5	XP_031830042.1
OG0000877	XP_315841.3	XP_031832339.1
OG0000878	XP_308419.4	XP_031832067.1
OG0000879	XP_001689090.1, XP_001689089.1, XP_318058.4	XP_031848961.1, XP_031843912.1
OG0000880	XP_315613.4, XP_314829.4, XP_001237606.1	XP_031848104.1
OG0000881	XP_311105.2	XP_031830414.1, XP_031830410.1, XP_031830411.1, XP_031830408.1, XP_031830409.1, XP_031830412.1, XP_031830413.1, XP_031830415.1
OG0000883	XP_313339.4, XP_003436531.1	XP_031842467.1, XP_031842468.1
OG0000884	XP_307777.3	XP_031842896.1
OG0000886	XP_003436122.1, XP_312518.5	XP_031837659.1, XP_031837652.1
OG0000887	XP_321479.1	XP_031834027.1, XP_031834089.1
OG0000888	XP_321033.5	XP_031834007.1, XP_031834008.1, XP_031834006.1
OG0000890	XP_001237490.3, XP_003436386.1	XP_031845089.1
OG0000892	XP_003436835.1, XP_313833.5	XP_031840279.1, XP_031840278.1, XP_031840277.1
OG0000893	XP_318332.4	XP_031845113.1
OG0000894	XP_316113.4	XP_031833286.1
OG0000895	XP_308934.4	XP_031840800.1, XP_031840793.1
OG0000896	XP_320173.4, XP_318850.4	XP_031825838.1
OG0000897	XP_001237068.2, XP_001687904.1	XP_031846276.1
OG0000899	XP_003436759.1, XP_313176.5	XP_031837337.1
OG0000900	XP_315331.4, XP_555956.2, XP_315333.4	XP_031845551.1
OG0000901	XP_317516.4	XP_031837713.1
OG0000903	XP_312952.4, XP_312953.4	XP_031839765.1, XP_031839764.1
OG0000904	XP_001688859.1, XP_001688857.1, XP_001688856.1, XP_001688858.1, XP_316396.4	XP_031846428.1
OG0000905	XP_312929.3, XP_003436421.1	XP_031828171.1
OG0000906	XP_318613.4	XP_031838725.1
OG0000906	XP_309041.4, XP_309040.4	XP_031830813.1
OG0000908	XP_316672.4	XP_031830427.1
OG0000909	XP_318981.4	XP_031829834.1, XP_031829831.1, XP_031829833.1, XP_031829832.1
OG0000910	XP_001237085.1, XP_308481.1, XP_001237087.1, XP_308448.2, XP_308446.3	XP_031827757.1, XP_031827759.1
OG0000911	XP_001688047.1, XP_308622.4	XP_031848061.1, XP_031848054.1, XP_031848055.1, XP_031848056.1
OG0000912	XP_552325.3	XP_031843630.1, XP_031843622.1
OG0000914	XP_001688294.1	XP_031829731.1
OG0000915	XP_001238053.2, XP_001238056.2, XP_001238057.1, XP_318842.4, XP_318838.4	XP_031827475.1
OG0000916	XP_319584.4	XP_031850432.1
OG0000916	XP_319585.4	XP_031850436.1
OG0000917	XP_003436170.1	XP_031837793.1, XP_031837792.1, XP_031837791.1, XP_031837790.1
OG0000918	XP_003435743.1, XP_001687900.1, XP_001687901.1, XP_001687902.1	XP_031849896.1
OG0000919	XP_308247.4	XP_031846090.1
OG0000920	XP_318629.2	XP_031843972.1, XP_031843975.1, XP_031843974.1, XP_031843973.1
OG0000921	XP_003435754.1	XP_031830417.1, XP_031830420.1, XP_031830419.1, XP_031830418.1
OG0000922	XP_311884.5	XP_031830327.1
OG0000923	XP_556301.3	XP_031833875.1, XP_031833871.1
OG0000924	XP_315708.4	XP_031836909.1, XP_031836915.1, XP_031836911.1, XP_031836910.1, XP_031836913.1, XP_031836912.1, XP_031836914.1
OG0000925	XP_003436686.1	XP_031847158.1
OG0000927	XP_310706.3	XP_031839836.1
OG0000928	XP_563117.1, XP_003436339.1, XP_003436340.1	XP_031830819.1
OG0000929	XP_565460.2	XP_031847350.1
OG0000930	XP_003437155.1, XP_003437156.1, XP_309146.4, XP_003437157.1	XP_031838030.1
OG0000931	XP_321812.4	XP_031842654.1
OG0000932	XP_321361.5	XP_031829394.1, XP_031829395.1, XP_031829396.1
OG0000933	XP_308800.3	XP_031826029.1, XP_031847184.1
OG0000934	XP_308788.3	XP_031825491.1, XP_031825490.1, XP_031825493.1, XP_031825492.1, XP_031825494.1
OG0000935	XP_310832.5, XP_310834.4, XP_310684.3, XP_310833.5	XP_031841678.1
OG0000936	XP_314147.4	XP_031836984.1
OG0000937	XP_314129.4	XP_031834127.1
OG0000938	XP_318102.2	XP_031830083.1
OG0000941	XP_320660.4	XP_031835056.1, XP_031835053.1, XP_031835054.1, XP_031835055.1
OG0000942	XP_309480.3	XP_031843108.1
OG0000943	XP_321357.4	XP_031842773.1, XP_031842772.1
OG0000944	XP_313297.3	XP_031848559.1, XP_031848553.1, XP_031848552.1, XP_031848551.1, XP_031848558.1, XP_031848556.1, XP_031848554.1, XP_031848555.1, XP_031848560.1
OG0000945	XP_320578.4	XP_031830987.1, XP_031830991.1
OG0000946	XP_316421.3	XP_031844012.1, XP_031835959.1
OG0000948	XP_309921.3	XP_031837900.1
OG0000950	XP_319893.3	XP_031843586.1, XP_031843585.1, XP_031843584.1
OG0000951	XP_310711.2	XP_031829740.1, XP_031829741.1
OG0000952	XP_313752.4, XP_003436823.1, XP_003436822.1	XP_031841161.1
OG0000953	XP_317950.3, XP_317944.4, XP_317948.4, XP_554872.3	XP_031839534.1
OG0000955	XP_001238322.2, XP_561526.1, XP_320459.4	XP_031840301.1
OG0000957	XP_316912.4	XP_031829798.1
OG0000958	XP_318029.4	XP_031845528.1, XP_031845525.1, XP_031845526.1, XP_031845527.1, XP_031845530.1, XP_031845524.1
OG0000959	XP_319812.4	XP_031843845.1, XP_031843795.1
OG0000960	XP_316346.4	XP_031831337.1
OG0000961	XP_003436087.1	XP_031837755.1
OG0000961	XP_312657.5, XP_003436086.1	XP_031837903.1
OG0000962	XP_308166.4	XP_031829542.1, XP_031829543.1
OG0000963	XP_312843.1, XP_003436411.1, XP_003436410.1, XP_003436409.1	XP_031841332.1, XP_031841325.1
OG0000964	XP_320746.4	XP_031839871.1
OG0000965	XP_001688923.1, XP_001688924.1, XP_316615.4, XP_316614.4	XP_031838041.1, XP_031838046.1
OG0000966	XP_314043.4	XP_031840590.1, XP_031840615.1, XP_031840606.1, XP_031840597.1
OG0000967	XP_308187.4, XP_001687862.1	XP_031845246.1, XP_031845248.1, XP_031845247.1
OG0000968	XP_313931.4	XP_031847191.1
OG0000970	XP_320569.3	XP_031835789.1, XP_031835790.1, XP_031835791.1
OG0000971	XP_001688071.1	XP_031842853.1
OG0000972	XP_317352.3	XP_031835597.1
OG0000974	XP_001689389.2	XP_031829593.1, XP_031829600.1, XP_031829595.1
OG0000975	XP_317924.4	XP_031845071.1, XP_031845069.1, XP_031845033.1
OG0000976	XP_320253.2	XP_031840163.1, XP_031840165.1, XP_031840164.1
OG0000977	XP_312558.5	XP_031831267.1
OG0000978	XP_310715.5, XP_314327.3	XP_031849987.1
OG0000979	XP_319777.4, XP_309185.5	XP_031835974.1, XP_031832259.1
OG0000980	XP_313773.4, XP_553643.3, XP_309023.4, XP_315517.3	XP_031845699.1
OG0000981	XP_318419.5	XP_031842427.1
OG0000982	XP_001687830.2	XP_031831094.1
OG0000983	XP_311964.4	XP_031848747.1
OG0000984	XP_319605.4	XP_031836326.1
OG0000984	XP_552730.3	XP_031836325.1
OG0000985	XP_315127.2	XP_031825882.1
OG0000986	XP_313139.4	XP_031831865.1
OG0000986	XP_320937.5	XP_031831618.1
OG0000987	XP_320264.4	XP_031844672.1, XP_031829207.1
OG0000988	XP_024667085.1, XP_309588.5, XP_003436692.1	XP_031842060.1, XP_031842061.1, XP_031842062.1, XP_031842063.1, XP_031842064.1, XP_031842065.1
OG0000989	XP_321415.5, XP_003435899.1	XP_031827785.1
OG0000990	XP_321555.1	XP_031848117.1
OG0000992	XP_309992.2	XP_031835958.1
OG0000993	XP_003436444.1, XP_003436445.1	XP_031839722.1, XP_031839721.1
OG0000994	XP_309631.5	XP_031834946.1, XP_031834954.1
OG0000995	XP_308821.4, XP_001688099.1	XP_031830724.1, XP_031830725.1
OG0000996	XP_314487.3	XP_031842133.1
OG0000997	XP_315616.4	XP_031833364.1
OG0000997	XP_311426.1	XP_031833363.1
OG0000998	XP_311299.1, XP_316865.2, XP_003437127.1	XP_031829003.1, XP_031829004.1, XP_031829005.1
OG0000999	XP_317398.3, XP_001237925.1	XP_031830220.1
OG0001000	XP_003436472.1, XP_311698.5	XP_031828338.1, XP_031828339.1, XP_031828340.1, XP_031828341.1
OG0001001	XP_001688785.1, XP_316161.4, XP_001688784.1, XP_001688783.1	XP_031840300.1, XP_031840299.1, XP_031845112.1
OG0001002	XP_552293.2, XP_319645.4	XP_031842658.1
OG0001003	XP_314318.4	XP_031830560.1
OG0001004	XP_308942.4	XP_031847911.1
OG0001004	XP_320325.1	XP_031847925.1, XP_031847926.1
OG0001005	XP_321274.5	XP_031837283.1
OG0001006	XP_003436707.1, XP_309629.5	XP_031838535.1, XP_031838534.1
OG0001007	XP_001688444.2	XP_031833032.1, XP_031833031.1, XP_031833030.1, XP_031833029.1, XP_031833028.1, XP_031833027.1, XP_031833026.1
OG0001008	XP_310585.4	XP_031835367.1
OG0001008	XP_310530.3	XP_031835364.1, XP_031835365.1, XP_031835366.1
OG0001009	XP_310493.5	XP_031838051.1
OG0001009	XP_317322.4	XP_031835649.1
OG0001010	XP_310232.4	XP_031826530.1, XP_031826529.1
OG0001011	XP_314123.4	XP_031846370.1
OG0001013	XP_314060.4	XP_031837179.1
OG0001014	XP_312817.4	XP_031832622.1, XP_031832633.1
OG0001015	XP_313115.4	XP_031849460.1
OG0001015	XP_308884.2	XP_031841047.1
OG0001016	XP_563695.1	XP_031839438.1, XP_031849170.1
OG0001017	XP_311055.5	XP_031843977.1
OG0001018	XP_001688381.1	XP_031840129.1
OG0001019	XP_316696.4	XP_031835710.1, XP_031835709.1, XP_031835716.1, XP_031835715.1, XP_031835714.1, XP_031835712.1, XP_031835718.1, XP_031835717.1, XP_031835719.1, XP_031835720.1, XP_031835711.1
OG0001020	XP_314731.4	XP_031848395.1, XP_031848396.1, XP_031848391.1, XP_031848390.1, XP_031848388.1, XP_031848393.1, XP_031848392.1, XP_031848394.1
OG0001021	XP_309024.3	XP_031850028.1, XP_031850029.1, XP_031850026.1
OG0001022	XP_003436590.1, XP_310271.7	XP_031841172.1
OG0001023	XP_313173.5	XP_031850182.1
OG0001025	XP_314283.5	XP_031830711.1
OG0001026	XP_003436567.1, XP_313472.4	XP_031826561.1, XP_031826560.1, XP_031826559.1, XP_031826558.1, XP_031826562.1
OG0001027	XP_309944.3	XP_031833919.1
OG0001028	XP_311527.2	XP_031839668.1, XP_031836604.1
