Orthogroup	Anopheles_gambiae	Megachile_rotundata
OG0001637	XP_316947.3	XP_012137021.1, XP_012137022.1, XP_003701735.1
OG0001638	XP_320601.4	XP_012153931.1, XP_003700331.2, XP_003707829.1
OG0001639	XP_311186.5	XP_012139503.1, XP_012139505.1, XP_012139506.1, XP_012139500.1, XP_012139499.1, XP_012139501.1, XP_012139502.1
OG0001640	XP_554103.3	XP_003702429.1
OG0001641	XP_320141.4, XP_311577.4, XP_320549.4	XP_012150147.1
OG0001642	XP_320480.3	XP_003700849.1
OG0001644	XP_322002.5, XP_321919.5	XP_003702550.2
OG0001645	XP_320998.5	XP_003707512.1
OG0001646	XP_319692.3	XP_012137346.1
OG0001647	XP_310671.5	XP_012139375.1
OG0001648	XP_310884.2	XP_003703869.1
OG0001649	XP_315051.4	XP_012150556.1
OG0001650	XP_557360.3	XP_003704519.2
OG0001651	XP_003437027.1	XP_012148202.1, XP_012148180.1, XP_012148196.1
OG0001652	XP_322051.4, XP_003435750.1, XP_003435751.1	XP_012141240.1
OG0001653	XP_320653.4	XP_012147584.1
OG0001654	XP_316322.4	XP_012134616.1, XP_003700747.1
OG0001655	XP_317107.3	XP_003703150.1
OG0001656	XP_320117.3	XP_003699406.1
OG0001657	XP_309717.4	XP_003706618.1
OG0001658	XP_314661.3	XP_012137784.1
OG0001659	XP_562889.4	XP_012146888.1, XP_012146887.1
OG0001660	XP_001230361.2, XP_309701.3	XP_012140533.1
OG0001662	XP_001688561.1, XP_314339.4	XP_012153291.1, XP_012153289.1
OG0001663	XP_312168.5	XP_003699500.1
OG0001664	XP_321343.4	XP_012149935.1, XP_012149923.1
OG0001665	XP_003436860.1, XP_003436866.1, XP_003436867.1, XP_003436863.1, XP_003436864.1, XP_003436865.1, XP_003436861.1, XP_315232.3	XP_012148252.1
OG0001666	XP_001687855.1	XP_012147919.1, XP_003706369.1
OG0001667	XP_308664.3	XP_003702647.1
OG0001669	XP_318809.4	XP_012143194.1
OG0001670	XP_310718.5	XP_012148029.1, XP_012148028.1, XP_012148027.1, XP_003706491.1
OG0001671	XP_001689406.1	XP_012148803.1
OG0001672	XP_318539.2	XP_012134919.1
OG0001673	XP_317141.3	XP_003707973.1
OG0001674	XP_317052.4	XP_012151708.1
OG0001675	XP_316722.3, XP_001688955.1, XP_001688954.1	XP_003708343.2
OG0001676	XP_563676.2	XP_012140189.1, XP_012140188.1, XP_012140190.1
OG0001677	XP_311928.3	XP_012140510.1, XP_003703246.1, XP_012140509.1
OG0001678	XP_313618.5	XP_003708069.1
OG0001679	XP_311576.3	XP_003700555.1
OG0001680	XP_318947.2	XP_012144403.1
OG0001681	XP_024667092.1	XP_003704239.1
OG0001682	XP_001688188.1, XP_309431.3	XP_012152352.1
OG0001684	XP_307591.4, XP_313010.5	XP_012145799.1, XP_003705494.1
OG0001685	XP_308495.3	XP_003703991.1
OG0001686	XP_313332.4	XP_012135513.1
OG0001687	XP_319096.3	XP_012142809.1, XP_012142813.1
OG0001689	XP_553178.3	XP_003704259.1
OG0001690	XP_310193.4	XP_012152504.1
OG0001691	XP_001687982.1, XP_001237100.1, XP_308551.2	XP_003706344.1
OG0001692	XP_001238579.1	XP_012154182.1, XP_012154183.1, XP_012154184.1, XP_012154187.1, XP_012154185.1
OG0001693	XP_309509.4	XP_003703517.1, XP_012141375.1, XP_012141374.1
OG0001694	XP_317241.4	XP_003699911.1, XP_012145892.1
OG0001695	XP_311525.1, XP_311053.3	XP_003705899.1
OG0001696	XP_310413.7	XP_012147905.1, XP_012147901.1
OG0001697	XP_003437059.1, XP_311206.3	XP_003706011.1
OG0001699	XP_322003.5	XP_003703501.1
OG0001700	XP_312660.5	XP_012152399.1
OG0001701	XP_317858.4	XP_012143744.1
OG0001702	XP_312777.5, XP_003436390.1	XP_003702570.1
OG0001703	XP_003436874.1, XP_003436875.1, XP_315198.5	XP_003705789.1, XP_012146509.1, XP_003705790.1
OG0001704	XP_308365.4, XP_001687908.1	XP_003700189.1, XP_012152954.1
OG0001706	XP_320092.4	XP_003702391.1
OG0001707	XP_311912.3	XP_012147062.1, XP_003706041.1
OG0001708	XP_309293.4	XP_003703506.1
OG0001709	XP_001230626.3, XP_003436693.1	XP_012152385.1
OG0001711	XP_317208.4	XP_003708383.1, XP_012152751.1, XP_012152752.1
OG0001712	XP_320207.4	XP_012140448.1, XP_012140449.1
OG0001713	XP_318067.4	XP_012140723.1, XP_012140724.1
OG0001714	XP_307259.4	XP_012139220.1, XP_012139225.1
OG0001715	XP_318881.4	XP_012136821.1
OG0001716	XP_003435836.1, XP_551386.4, XP_003435835.1, XP_003435838.1, XP_003435837.1	XP_012148366.1
OG0001717	XP_321495.3	XP_012137287.1
OG0001718	XP_556198.1, XP_315559.4	XP_003705642.1
OG0001719	XP_310666.5, XP_003436992.1	XP_003706430.1, XP_012147835.1
OG0001720	XP_309530.2	XP_003707485.1
OG0001721	XP_308175.3	XP_012148358.1, XP_012148359.1
OG0001722	XP_003435814.1, XP_321755.3	XP_012150036.1
OG0001724	XP_315996.3	XP_012150271.1
OG0001725	XP_312990.5	XP_012154309.1, XP_012154308.1
OG0001726	XP_310802.4, XP_003436968.1, XP_003436967.1	XP_012134728.1
OG0001727	XP_318889.3	XP_003699745.1
OG0001728	XP_555522.3	XP_012134675.1
OG0001729	XP_001688020.1, XP_001237109.2, XP_565017.3, XP_001688022.1	XP_012149413.1
OG0001730	XP_321872.5	XP_012139893.1
OG0001731	XP_320608.2	XP_012146689.1, XP_003705854.1
OG0001732	XP_316858.4	XP_003705430.1, XP_012145657.1
OG0001733	XP_555086.4, XP_317088.3	XP_012136994.1
OG0001734	XP_316946.4	XP_012147074.1, XP_003706046.1
OG0001735	XP_321102.4, XP_310440.5	XP_003701533.1
OG0001736	XP_317071.4, XP_317075.4	XP_012152038.1
OG0001737	XP_003437186.1	XP_003706607.1
OG0001738	XP_317066.4, XP_001689128.1	XP_003701699.1
OG0001739	XP_315836.2	XP_012143056.1
OG0001740	XP_309567.4	XP_012148970.1, XP_003706817.1
OG0001742	XP_321539.2, XP_321540.2	XP_012136211.1
OG0001743	XP_310826.2	XP_003704286.2, XP_012142697.1, XP_012142698.1
OG0001744	XP_310145.3, XP_310146.3	XP_012146970.1
OG0001745	XP_312589.3	XP_012137160.1
OG0001746	XP_320924.5	XP_003703699.1
OG0001747	XP_551639.3	XP_012153715.1, XP_012153718.1, XP_012153719.1, XP_003700293.1, XP_012153716.1, XP_012153717.1, XP_012153714.1
OG0001748	XP_310266.7	XP_012136615.1
OG0001749	XP_319450.4	XP_012148449.1
OG0001750	XP_312178.3	XP_003699586.1
OG0001751	XP_554779.3	XP_003701501.1, XP_012136689.1
OG0001752	XP_309607.4, XP_316957.4, XP_317360.4	XP_012143489.1
OG0001753	XP_312783.5	XP_003706694.1
OG0001754	XP_001688280.2	XP_012141609.1, XP_012136273.1
OG0001756	XP_311210.4	XP_003706604.1
OG0001757	XP_320893.4, XP_001237083.2	XP_012142983.1
OG0001758	XP_313840.4	XP_003705252.1
OG0001759	XP_308109.5	XP_003701941.1, XP_012137503.1
OG0001760	XP_310291.7	XP_003702127.1
OG0001762	XP_556818.3	XP_012148878.1, XP_003706789.1
OG0001763	XP_565619.1	XP_003700566.1, XP_012154469.1
OG0001765	XP_001231186.2	XP_012136106.1
OG0001766	XP_315826.4, XP_001688731.1, XP_001688732.1, XP_001688733.2	XP_003701794.1, XP_012137180.1
OG0001768	XP_001230640.2	XP_003706687.1
OG0001769	XP_320186.4	XP_012138463.1
OG0001775	XP_001689282.1	XP_012154197.1
OG0001776	XP_560736.1, XP_311363.2, XP_307325.4	XP_012146502.1, XP_003705787.1
OG0001777	XP_311275.2	XP_003699193.1, XP_012135904.1
OG0001778	XP_003437154.1, XP_560169.2, XP_312560.3	XP_003700370.1
OG0001779	XP_308598.4, XP_001688027.1	XP_003706847.1
OG0001780	XP_314488.4	XP_003702781.1
OG0001781	XP_313044.3, XP_309217.4, XP_003437171.1, XP_003437172.1, XP_003437173.1, XP_003437174.1, XP_003437175.1	XP_012140213.1
OG0001782	XP_315090.2	XP_012138573.1, XP_003702394.1
OG0001783	XP_308171.3	XP_012153106.1, XP_012153190.1
OG0001784	XP_309682.2	XP_012148009.1, XP_012148010.1, XP_012148011.1
OG0001785	XP_312844.5, XP_003436412.1	XP_003708459.1, XP_012152861.1
OG0001786	XP_320389.2	XP_003703759.1
OG0001787	XP_313766.4	XP_003706905.1
OG0001789	XP_316740.1	XP_003702679.1
OG0001790	XP_003436834.1, XP_313819.4	XP_003705513.1
OG0001791	XP_313615.4	XP_012138231.1, XP_012138230.1, XP_012138229.1, XP_012138232.1
OG0001792	XP_317364.3	XP_003704979.1
OG0001793	XP_317244.3	XP_003703372.1
OG0001794	XP_317897.4	XP_012138228.1
OG0001796	XP_320948.2	XP_003704098.1
OG0001797	XP_320213.4	XP_003705276.1
OG0001799	XP_317542.4	XP_012152790.1
OG0001800	XP_322025.4	XP_003703789.1
OG0001801	XP_003437184.1, XP_309240.5	XP_003707540.1
OG0001802	XP_311303.4	XP_003701460.1
OG0001803	XP_319394.3	XP_003700826.1, XP_012135007.1, XP_012135006.1
OG0001804	XP_309016.3	XP_012139092.1, XP_012139091.1, XP_012139089.1, XP_003702672.1
OG0001805	XP_001230802.2, XP_311500.4	XP_012152572.1
OG0001806	XP_001237938.1	XP_003706448.1
OG0001807	XP_001688881.1	XP_012141865.1, XP_012141866.1, XP_012141867.1
OG0001808	XP_321112.5	XP_012136611.1
OG0001809	XP_310183.4	XP_003703087.1
OG0001810	XP_311361.4	XP_012150387.1, XP_012150386.1
OG0001811	XP_320972.5	XP_003699893.1, XP_012146304.1
OG0001812	XP_307843.4	XP_012152368.1, XP_012152367.1
OG0001813	XP_318213.4	XP_012150502.1
OG0001814	XP_316569.3	XP_012146115.1
OG0001815	XP_309558.3	XP_003706805.1, XP_012148924.1
OG0001816	XP_320770.4	XP_003707640.1, XP_012150641.1
OG0001818	XP_310323.5	XP_012143501.1
OG0001820	XP_307539.4, XP_311694.5	XP_003707104.1, XP_012149520.1
OG0001821	XP_321552.2	XP_012147907.1, XP_003706357.1
OG0001822	XP_318935.4	XP_003703530.1
OG0001823	XP_319031.4	XP_012136264.1
OG0001824	XP_313195.5, XP_003436768.1, XP_003436767.1, XP_003436769.1	XP_003700865.1, XP_012135183.1
OG0001825	XP_309761.4	XP_003701480.1
OG0001826	XP_316335.3	XP_012146129.1, XP_012146130.1, XP_012146131.1, XP_012146134.1, XP_012146132.1, XP_012146133.1, XP_003705635.1, XP_012146127.1, XP_012146128.1
OG0001827	XP_312964.5	XP_012139141.1
OG0001828	XP_319800.4	XP_003702396.1
OG0001829	XP_320391.3	XP_012144120.1, XP_012144119.1
OG0001830	XP_321851.5	XP_012145185.1
OG0001831	XP_311880.3	XP_012139389.1
OG0001832	XP_312521.5	XP_003705967.1
OG0001833	XP_315521.4	XP_003703423.1
OG0001834	XP_319184.4	XP_003707795.1, XP_012151120.1, XP_012151119.1
OG0001835	XP_314022.4, XP_558527.3	XP_003706134.1
OG0001836	XP_003437135.1, XP_560130.4	XP_012145254.1, XP_012145260.1
OG0001837	XP_321014.5	XP_012154447.1, XP_012154451.1, XP_012154450.1, XP_012154449.1, XP_012154448.1, XP_012154452.1, XP_003700606.1
OG0001838	XP_321088.3	XP_003701089.1
OG0001839	XP_003436136.1, XP_312480.4	XP_003705315.1, XP_012145347.1
OG0001840	XP_318482.1	XP_012145200.1
OG0001841	XP_001688202.2, XP_311414.4	XP_003700397.2
OG0001842	XP_320512.3	XP_003702260.1
OG0001843	XP_307776.4	XP_012150857.1, XP_012150858.1, XP_003707567.1
OG0001844	XP_312568.5	XP_012152496.1
OG0001845	XP_319417.2	XP_003702489.1
OG0001846	XP_001688620.2	XP_003707292.1
OG0001847	XP_310788.4	XP_012152980.1, XP_012153146.1
OG0001848	XP_308873.2	XP_012140215.1, XP_003703080.1
OG0001850	XP_319034.3	XP_003708098.1, XP_012152022.1
OG0001851	XP_317298.4	XP_003705365.1, XP_012145537.1
OG0001852	XP_310775.5	XP_003699279.1
OG0001853	XP_319487.4	XP_012136245.1
OG0001854	XP_309469.4	XP_012142510.1
OG0001855	XP_307994.5, XP_003436054.1	XP_012144474.1, XP_012144473.1
OG0001856	XP_313353.5	XP_012152678.1
OG0001859	XP_001238249.2	XP_003704257.1, XP_012143013.1
OG0001860	XP_320308.4	XP_012142237.1, XP_003703966.1
OG0001861	XP_321709.4	XP_012139144.1
OG0001863	XP_309095.4	XP_012144871.1, XP_003705098.1, XP_012144870.1
OG0001864	XP_317269.4	XP_003703202.2
OG0001865	XP_319334.2	XP_012146126.1, XP_003705671.1
OG0001866	XP_315330.3	XP_003708355.1
OG0001867	XP_312464.4	XP_003701904.1
OG0001868	XP_003436044.1, XP_308030.5	XP_003707740.1
OG0001869	XP_318045.3	XP_012146861.1, XP_012146862.1
OG0001870	XP_313568.2	XP_003703359.1
OG0001871	XP_312619.4	XP_003701743.1
OG0001872	XP_312232.5, XP_003436213.1	XP_003703430.1
OG0001873	XP_321783.5	XP_003703441.1, XP_012141056.1
OG0001875	XP_311329.5	XP_012145397.1
OG0001876	XP_321464.5	XP_012136906.1, XP_012136908.1
OG0001877	XP_319571.4	XP_012136259.1, XP_012136260.1
OG0001878	XP_311975.4, XP_320738.4	XP_012151380.1
OG0001879	XP_317011.3	XP_012142382.1
OG0001880	XP_003436040.1, XP_308045.4	XP_012148142.1, XP_012148144.1
OG0001882	XP_311133.5	XP_012136562.1
OG0001883	XP_313579.3, XP_003436781.1, XP_307412.4, XP_560083.3	XP_003708496.1
OG0001884	XP_001689191.1	XP_012143033.1
OG0001885	XP_313002.4	XP_012145796.1, XP_012145797.1
OG0001886	XP_309838.4	XP_003706184.1
OG0001887	XP_317002.4, XP_553715.3	XP_012136736.1
OG0001888	XP_317311.2	XP_003702770.1, XP_012139537.1
OG0001889	XP_307262.4	XP_012140097.1
OG0001890	XP_316301.2	XP_012139488.1, XP_003702907.1, XP_012139482.1, XP_012139483.1, XP_012139484.1, XP_012139485.1, XP_012139486.1, XP_012139487.1
OG0001891	XP_320814.4	XP_012137349.1, XP_012137347.1, XP_012137345.1, XP_012137348.1
OG0001892	XP_309357.2	XP_012150332.1
OG0001893	XP_001688942.1, XP_001688941.1, XP_001688940.1, XP_001688939.1	XP_003701078.2
OG0001894	XP_001688928.1, XP_316628.4	XP_012150887.1
OG0001895	XP_308248.4	XP_012139580.1
OG0001896	XP_307242.4, XP_319188.4	XP_012150977.1
OG0001897	XP_313366.5	XP_003704946.1, XP_012144428.1
OG0001898	XP_321435.4	XP_012153488.1
OG0001899	XP_308974.4	XP_003699368.1
OG0001900	XP_316978.4	XP_003702606.2, XP_012138993.1
OG0001901	XP_306805.2, XP_309655.5	XP_003707788.1, XP_012151293.1
OG0001902	XP_003436023.1, XP_550721.4	XP_012153258.1, XP_012153261.1
OG0001903	XP_001687821.1	XP_012140007.1
OG0001904	XP_312286.5	XP_012150029.1
OG0001905	XP_562663.4	XP_003702692.1, XP_012139166.1
OG0001908	XP_001237469.3	XP_012140618.1, XP_012140617.1, XP_012140619.1
OG0001909	XP_316909.4	XP_012150069.1, XP_012150073.1
OG0001910	XP_001688999.1	XP_003701443.2
OG0001912	XP_318591.3	XP_012146812.1, XP_012146779.1, XP_012146797.1
OG0001913	XP_312163.5	XP_012145489.1, XP_012145498.1
OG0001914	XP_556085.3	XP_012135228.1
OG0001915	XP_003436857.1, XP_003436858.1, XP_315238.3, XP_321510.1	XP_003702632.1
OG0001916	XP_308004.3	XP_012136862.1, XP_012136861.1
OG0001917	XP_564245.2	XP_003705443.1, XP_012145696.1
OG0001919	XP_317505.2, XP_001237937.1	XP_012152342.1
OG0001921	XP_320502.4	XP_003702595.1
OG0001922	XP_319376.3	XP_012145791.1
OG0001923	XP_001688815.1, XP_316251.4, XP_001688818.1, XP_001688817.1, XP_001688816.1	XP_012149647.1
OG0001924	XP_314937.4	XP_012153844.1, XP_012153840.1
OG0001925	XP_321757.5	XP_012148613.1
OG0001926	XP_318244.2	XP_012135847.1
OG0001927	XP_317044.4	XP_003704096.1, XP_012142442.1
OG0001928	XP_315547.4	XP_012143821.1
OG0001929	XP_317454.4	XP_003699719.1
OG0001930	XP_321897.3	XP_003706866.1, XP_012149134.1, XP_012149132.1, XP_012149133.1
OG0001931	XP_311435.4	XP_003702361.1
OG0001933	XP_307887.5	XP_003706624.1
OG0001934	XP_311532.4	XP_003704019.1, XP_012142173.1
OG0001936	XP_318100.4	XP_012135817.1
OG0001937	XP_001689103.1, XP_554647.3, XP_318122.4	XP_012144116.1
OG0001938	XP_558769.4	XP_003701429.1
OG0001939	XP_552338.3	XP_003704511.1
OG0001941	XP_319987.4	XP_012146566.1, XP_012146567.1, XP_012146574.1
OG0001942	XP_317665.3	XP_003700745.1
OG0001943	XP_003436473.1, XP_557438.4, XP_003436880.1	XP_012147474.1
OG0001944	XP_312420.3	XP_003703726.1, XP_003703814.1
OG0001945	XP_003436058.1	XP_012154441.1
OG0001946	XP_317472.4	XP_003699969.1
OG0001947	XP_001688716.1, XP_315727.4	XP_003705697.1
OG0001949	XP_317607.1	XP_012147996.1, XP_003706445.1, XP_012147995.1
OG0001950	XP_315751.4	XP_012144602.1
OG0001951	XP_566154.4, XP_003436945.1, XP_003436946.1	XP_012139300.1, XP_003702731.1
OG0001952	XP_001688471.1, XP_313906.4	XP_012135997.1
OG0001953	XP_313932.4	XP_012145326.1, XP_012145351.1
OG0001956	XP_311418.4	XP_003703905.1
OG0001957	XP_001238250.1	XP_012142305.1
OG0001959	XP_321366.4, XP_321367.3	XP_003702678.1
OG0001960	XP_311552.4, XP_557151.3	XP_003703234.1, XP_012140366.1, XP_012140367.1
OG0001961	XP_320824.4	XP_012142144.1, XP_003704004.1
OG0001962	XP_001238089.2, XP_307544.3, XP_552919.3	XP_003704351.1
OG0001963	XP_001689287.1	XP_012141356.1, XP_012141357.1, XP_012141360.1, XP_012141358.1, XP_012141359.1, XP_003703511.1
OG0001964	XP_312847.5	XP_012148107.1, XP_012148103.1, XP_012148104.1, XP_012148102.1, XP_012148105.1
OG0001965	XP_317861.4	XP_003702172.1, XP_012138026.1, XP_012138025.1
OG0001966	XP_001688506.1	XP_003708349.1
OG0001967	XP_560052.3, XP_003436697.1, XP_003436698.1, XP_309601.4, XP_001688199.2	XP_012153499.1
OG0001968	XP_562672.3	XP_003705340.2, XP_012147015.1
OG0001969	XP_311170.4	XP_003702437.1, XP_012138619.1, XP_012138618.1
OG0001971	XP_001237912.2	XP_003703284.1, XP_012140698.1
OG0001973	XP_311464.4	XP_012150814.1
OG0001974	XP_311480.4	XP_003706062.1
OG0001975	XP_320440.4	XP_012137208.1, XP_003701846.1
OG0001976	XP_311164.5	XP_012137825.1, XP_012137826.1
OG0001977	XP_313368.5	XP_003702139.1
OG0001987	XP_311198.2, XP_003437054.1	XP_012142901.1
OG0001988	XP_320295.4	XP_003703079.1
OG0001989	XP_318823.2, XP_312874.2	XP_012147323.1, XP_003706122.1
OG0001990	XP_313570.3	XP_003707657.2, XP_003707658.1
OG0001991	XP_001237311.3	XP_012135527.1, XP_012135526.1
OG0001992	XP_320931.5	XP_003699919.1
OG0001993	XP_308577.2	XP_012145304.1
OG0001994	XP_312541.3	XP_003703431.1
OG0001996	XP_313220.4	XP_012148191.1
OG0001997	XP_312608.5, XP_003436094.1, XP_313590.2	XP_003699645.1
OG0001998	XP_311821.3, XP_003436372.1	XP_012142139.1, XP_012142128.1, XP_012142140.1
OG0001999	XP_313593.3, XP_003436785.1	XP_003705603.1
OG0002000	XP_001237600.2	XP_012147747.1, XP_012147746.1, XP_012147745.1, XP_012147748.1
OG0002001	XP_315690.3	XP_003706433.1, XP_012147804.1
OG0002002	XP_314684.3	XP_012146246.1
OG0002003	XP_319151.4	XP_003703233.1, XP_012140369.1, XP_012140370.1
OG0002004	XP_312664.3	XP_003703011.1
OG0002005	XP_308337.2	XP_012152247.1
OG0002006	XP_320203.4	XP_003706758.1
OG0002007	XP_315539.4	XP_003703240.1
OG0002009	XP_309809.3	XP_003707309.1
OG0002010	XP_001237747.2	XP_003703696.1
OG0002011	XP_316229.4	XP_003701635.1
OG0002012	XP_317892.4	XP_012138348.1
OG0002013	XP_308133.5	XP_012141432.1
OG0002014	XP_317430.4	XP_012140431.1, XP_012140420.1
OG0002015	XP_317330.3	XP_003700402.1
OG0002016	XP_321554.1	XP_003701509.1
OG0002018	XP_313721.3	XP_003700546.1
OG0002019	XP_316694.4, XP_001688949.1, XP_001688948.1	XP_003700615.1
OG0002020	XP_313841.5, XP_003436836.1	XP_012143175.1
OG0002021	XP_319465.4	XP_003703149.1, XP_012140063.1, XP_012140062.1
OG0002022	XP_565083.3	XP_003702362.1
OG0002023	XP_310822.5	XP_012142679.1
OG0002024	XP_001237567.2	XP_012143161.1
OG0002025	XP_310557.3	XP_003706213.1
OG0002026	XP_309803.3	XP_012153897.1
OG0002027	XP_316518.4	XP_003704130.1
OG0002028	XP_317970.5	XP_003703134.1, XP_012140101.1
OG0002029	XP_003437055.1, XP_003437056.1, XP_311201.5	XP_003700421.1
OG0002032	XP_317803.3	XP_003707304.1
OG0002033	XP_309550.3	XP_012153387.1, XP_012143911.1, XP_012143910.1
OG0002034	XP_003436757.1	XP_003703586.1
OG0002035	XP_320862.4	XP_012148042.1
OG0002036	XP_308782.4	XP_012135179.1
OG0002037	XP_307993.5	XP_012151785.1
OG0002038	XP_311849.4	XP_012144842.1
OG0002039	XP_001237805.2, XP_001688860.1	XP_003702840.1
OG0002041	XP_315504.4	XP_012134878.1, XP_012134945.1
OG0002042	XP_554712.3	XP_012143342.1
OG0002043	XP_321950.5	XP_012141291.1, XP_012141293.1, XP_012141292.1, XP_012141290.1, XP_012141288.1
OG0002044	XP_321470.3	XP_012136341.1, XP_012136347.1
OG0002045	XP_317480.2	XP_012143496.1
OG0002046	XP_001237906.2	XP_003706185.1
OG0002047	XP_321707.4	XP_003704896.1
OG0002048	XP_321719.5	XP_012138294.1, XP_012138308.1
OG0002049	XP_308112.4	XP_012150356.1
OG0002050	XP_308621.4	XP_003708065.1
OG0002051	XP_314258.4	XP_003700857.1
OG0002052	XP_308449.4	XP_003704502.1
OG0002053	XP_318560.4	XP_012137462.1
OG0002055	XP_001688950.1	XP_003707010.1
OG0002056	XP_001688309.2	XP_003701093.1, XP_012135528.1
OG0002057	XP_317676.4	XP_003702834.1
OG0002058	XP_559859.2, XP_559860.3, XP_310052.4, XP_310051.2, XP_310050.3	XP_003707801.1
OG0002059	XP_315936.4	XP_012139338.1, XP_012139340.1, XP_012139339.1, XP_003702874.1
OG0002060	XP_318175.4	XP_012141197.1
OG0002061	XP_314708.4	XP_012151955.1
OG0002062	XP_556050.3	XP_012146355.1, XP_012146353.1
OG0002063	XP_321610.3	XP_003706896.1
OG0002064	XP_308813.4	XP_012142928.1
OG0002065	XP_001237297.2	XP_003702761.2
OG0002066	XP_313794.4	XP_012143894.1, XP_012143896.1, XP_012143897.1
OG0002067	XP_001688412.2, XP_312994.5	XP_012154310.1
OG0002068	XP_001689094.1, XP_318072.4	XP_003704477.1
OG0002069	XP_001231045.2	XP_003705335.1
OG0002070	XP_313822.4	XP_012136442.1
OG0002071	XP_314863.4	XP_003702033.1, XP_012137945.1
OG0002072	XP_319942.4	XP_003707613.1
OG0002073	XP_319719.3	XP_012147998.1
OG0002075	XP_003436320.1	XP_012149919.1, XP_012149920.1, XP_003707271.1
OG0002076	XP_310628.3	XP_012135597.1
OG0002077	XP_001688809.1	XP_003701633.1
OG0002078	XP_320005.4	XP_012149123.1
OG0002079	XP_316002.4	XP_003705877.1
OG0002080	XP_321669.3	XP_003705020.1
OG0002081	XP_318103.3	XP_003701177.1
OG0002082	XP_314465.4	XP_012146702.1
OG0002083	XP_316310.4	XP_012148780.1, XP_003706931.1
OG0002084	XP_308209.4	XP_003706522.2
OG0002085	XP_312904.3, XP_003436417.1	XP_003707196.1
OG0002086	XP_317429.4	XP_003707054.2
OG0002087	XP_307968.3	XP_003700492.1, XP_012154201.1, XP_012154202.1
OG0002088	XP_318048.4	XP_003699720.2, XP_012144235.1
OG0002089	XP_316471.3	XP_003702769.1
OG0002090	XP_555163.3	XP_012154459.1
OG0002091	XP_311401.4	XP_003707492.1
OG0002092	XP_308627.4, XP_320671.2	XP_003700521.2
OG0002093	XP_315440.3	XP_003700833.1, XP_012135088.1
OG0002094	XP_315346.4, XP_001688639.1, XP_001688638.1	XP_003704619.1
OG0002095	XP_315884.3	XP_012147718.1, XP_003706334.1
OG0002097	XP_318214.4	XP_012136159.1
OG0002098	XP_319705.4	XP_003700046.1
OG0002099	XP_312981.5	XP_003702572.1, XP_003704719.2
OG0002100	XP_311321.4	XP_003707021.1
OG0002101	XP_001687757.2	XP_012140864.1
OG0002102	XP_311046.4	XP_012153664.1, XP_012153667.1, XP_012153662.1
OG0002103	XP_315784.2	XP_003702025.1
OG0002104	XP_001688375.2	XP_012139164.1
OG0002106	XP_309767.4	XP_012137541.1
OG0002107	XP_552176.3	XP_003705786.1
OG0002108	XP_314584.4	XP_012141408.1
OG0002109	XP_317488.4	XP_003700184.1
OG0002110	XP_552825.2	XP_012137441.1
OG0002111	XP_565089.3	XP_003699750.1
OG0002113	XP_312496.4	XP_003699727.1
OG0002114	XP_321130.3	XP_003701865.1
OG0002115	XP_310531.5	XP_003706465.2
OG0002116	XP_001237253.3, XP_307206.3	XP_012148200.1, XP_012148201.1
OG0002117	XP_317624.2	XP_003706178.1
OG0002119	XP_003436955.1	XP_012140732.1
OG0002121	XP_001688347.2, XP_311831.5	XP_012144919.1
OG0002122	XP_003436181.1, XP_312307.1	XP_003700153.1
OG0002123	XP_308093.2	XP_003708022.1
OG0002124	XP_312866.5	XP_012154155.1
OG0002125	XP_003437024.1	XP_012144745.1
OG0002126	XP_001688245.1, XP_320137.2	XP_012147815.1
OG0002127	XP_001688406.2	XP_012138223.1
OG0002128	XP_001689182.1, XP_554046.3	XP_012138724.1
OG0002129	XP_321647.3	XP_012140017.1, XP_012140006.1
OG0002130	XP_311428.3	XP_003706018.1, XP_012147030.1
OG0002131	XP_320082.4	XP_012154220.1
OG0002132	XP_315505.3	XP_012152509.1, XP_012152510.1
OG0002134	XP_312543.3	XP_012149760.1
OG0002136	XP_321353.3	XP_003707738.1, XP_012151248.1, XP_012151247.1
OG0002137	XP_319319.4, XP_317671.4	XP_003705359.1
OG0002138	XP_320305.3	XP_003705988.1
OG0002139	XP_312366.5	XP_012149202.1, XP_003707042.1
OG0002140	XP_001688169.2	XP_012136173.1
OG0002141	XP_317885.4	XP_003703529.2, XP_012141410.1
OG0002142	XP_307498.3, XP_307652.4	XP_003702578.2, XP_012138955.1
OG0002143	XP_003436119.1, XP_003436118.1, XP_003436117.1, XP_312539.4	XP_003701374.1
OG0002144	XP_001688775.1, XP_316070.4, XP_316071.4	XP_012143665.1
OG0002145	XP_317618.4	XP_003700252.1
OG0002146	XP_558090.3	XP_012144454.1
OG0002147	XP_552208.3	XP_003702343.1
OG0002148	XP_319521.5	XP_003708174.1
OG0002149	XP_320386.4	XP_012139810.1
OG0002150	XP_319190.4	XP_003699249.1
OG0002151	XP_314261.5, XP_317218.3	XP_012134580.1
OG0002152	XP_320850.3	XP_012148397.1
OG0002153	XP_316803.5, XP_315069.4, XP_315070.4	XP_012154424.1
OG0002154	XP_311202.5	XP_012149072.1
OG0002155	XP_321714.3, XP_003435824.1, XP_003435823.1, XP_003435825.1	XP_012138208.1
OG0002156	XP_001689392.2	XP_012139476.1, XP_012139690.1
OG0002157	XP_315692.4	XP_012148346.1, XP_012148347.1, XP_012148348.1, XP_012148349.1
