Orthogroup	Anopheles_gambiae	Acyrthosiphon_pisum
OG0000584	XP_001237856.2, XP_003436985.1, XP_310701.5	XP_029341217.1, XP_029344802.1, NP_001233020.1, XP_008184503.1, XP_029344785.1, NP_001155674.1
OG0000585	XP_321716.4, XP_003435822.1	NP_001155736.1
OG0000586	XP_308512.4	NP_001155908.1
OG0000587	XP_309520.2	XP_001948433.1, XP_001944178.3, NP_001156229.1
OG0000588	XP_312032.5	NP_001156462.1, XP_008185322.1
OG0000589	XP_001688736.1, XP_001688735.1, XP_315853.4	XP_008183583.1, XP_001949827.1, XP_001947598.1, XP_029347133.1, XP_001946532.1, NP_001313590.1, XP_029347135.1, XP_029347136.1, XP_029345006.1, XP_016663019.1, XP_029346473.1
OG0000591	XP_310353.5	XP_001943166.1, XP_001949496.4
OG0000591	XP_307855.3	XP_001948414.2
OG0000592	XP_308389.4, XP_317633.3, XP_317638.4, XP_308390.4	XP_003247762.1, XP_001946696.2, XP_001943565.2
OG0000593	XP_309968.4, XP_309969.4	XP_001944454.2, XP_016656599.1
OG0000594	XP_310412.7	XP_001944510.1, XP_016659956.1
OG0000595	XP_309498.4	XP_001945171.1
OG0000595	XP_310612.5	XP_008187736.1, XP_029343107.1, XP_008186391.1
OG0000596	XP_308406.4	XP_016660355.2
OG0000596	XP_313021.5	XP_001945526.2
OG0000597	XP_314086.4	XP_029346194.1, XP_001950872.3, XP_016662072.1, XP_016662073.1, XP_001947992.2, XP_008183663.1, XP_001946757.2, XP_016660310.1, XP_008183665.1
OG0000598	XP_308205.4, XP_308207.2	XP_001947666.2, XP_008183737.1
OG0000598	XP_309229.4, XP_003437180.1	XP_001950892.1
OG0000599	XP_315432.4	XP_001949191.1
OG0000600	XP_001238414.3, XP_319201.4	XP_001949669.2
OG0000601	XP_313009.1	XP_001951658.1, XP_003246181.1
OG0000601	XP_313005.4	XP_001950538.1
OG0000602	XP_311846.5, XP_001689086.1, XP_318026.4	XP_001950931.1, XP_029345659.1
OG0000603	XP_561377.5, XP_313270.4	XP_001952527.1
OG0000604	XP_312372.4, XP_003436156.1, XP_003436155.1, XP_003436158.1, XP_003436157.1	XP_003240405.1, XP_016659400.1
OG0000605	XP_557495.3, XP_001688419.2	XP_008180944.1, XP_008185977.1, XP_029342027.1, XP_003243160.1
OG0000605	XP_552389.1	XP_008184245.1, XP_008184192.1, XP_016661382.1, XP_008180144.1
OG0000606	XP_003436708.1, XP_309640.5	XP_003243713.1, XP_008179811.1, XP_016657625.1, XP_016664132.1
OG0000609	XP_319246.4	XP_003247040.1
OG0000611	XP_313775.4	XP_008182169.1
OG0000612	XP_317513.3	XP_016663112.1
OG0000613	XP_310601.5	XP_016665058.2, XP_029341905.1
OG0000614	XP_321424.5	XP_029347847.1, XP_029345755.1
OG0000614	XP_559011.3	XP_029345094.1
OG0000619	XP_316024.4	NP_001119620.1
OG0000620	XP_552567.1	NP_001119693.1
OG0000621	XP_311411.3	NP_001155449.1, XP_008178126.1
OG0000622	XP_563974.2	NP_001155451.1
OG0000623	XP_321862.3	XP_008181802.1, NP_001155779.1
OG0000624	XP_001237058.2	XP_029346569.1, XP_008186582.1
OG0000624	XP_001687886.1, XP_308292.3	NP_001155814.1
OG0000625	XP_311150.5	NP_001156612.1
OG0000626	XP_309478.3	NP_001157405.1, NP_001156700.1
OG0000627	XP_313991.3, XP_308941.4	NP_001313551.1, XP_016663665.1
OG0000628	XP_003435801.1, XP_321860.5	XP_029344381.1
OG0000629	XP_307949.3	XP_003245664.2, XP_001943353.2
OG0000629	XP_001230593.3, XP_003436067.1, XP_307946.4	XP_016663367.1
OG0000630	XP_319210.4	XP_029341235.1, XP_003248256.2, XP_001943356.2, XP_029341593.1, XP_008183510.2, XP_003248907.2, XP_003249052.1, XP_001950210.2, XP_016665115.2
OG0000631	XP_315856.4	XP_008188517.1, XP_029342232.1, XP_029348412.1, XP_001943770.2, XP_001944782.1, XP_003243146.1
OG0000632	XP_306246.4	XP_001943796.1, XP_029342184.1
OG0000633	XP_314784.2	XP_029343122.1, XP_001945563.1
OG0000634	XP_319410.4	XP_001946193.5, XP_001948513.1
OG0000636	XP_319577.4	XP_029342986.1, XP_001946474.2, XP_008184598.1
OG0000637	XP_310856.5	XP_001946886.2
OG0000638	XP_562148.4	XP_001947138.1, XP_008184222.1, XP_008184223.1, XP_016660866.1, XP_008184221.1, XP_008184220.1
OG0000639	XP_309308.4	XP_001947904.1
OG0000640	XP_003436963.1, XP_310820.4, XP_003436962.1	XP_001948379.1
OG0000641	XP_316424.3	XP_001948633.1
OG0000642	XP_311230.3, XP_003437068.1, XP_003437069.1	XP_001949229.1, XP_008179851.1
OG0000643	XP_560259.3, XP_309230.3	XP_003245435.1, XP_001949448.1
OG0000644	XP_001688516.1	XP_001950271.1
OG0000645	XP_315876.4	XP_001950725.2
OG0000645	XP_001688363.2	XP_029344525.1
OG0000646	XP_003437070.1, XP_315052.4	XP_016657958.1, XP_001951007.1, XP_029346742.1, XP_029346743.1
OG0000647	XP_321059.2	XP_001951116.2
OG0000648	XP_318105.4	XP_003245689.1, XP_003242161.1
OG0000649	XP_314034.3, XP_001230969.2	XP_029341182.1, XP_029346979.1, XP_003244481.1, XP_029341181.1
OG0000650	XP_320650.4	XP_003246432.1
OG0000651	XP_317650.4, XP_317229.4	XP_003247009.1
OG0000653	XP_001230952.2	XP_008181156.1
OG0000655	XP_319245.3	XP_008181620.1
OG0000656	XP_316542.4	XP_008183337.1, XP_008183338.1
OG0000657	XP_001688791.1	XP_008186354.1
OG0000659	XP_313457.4	XP_016660491.1
OG0000660	XP_307846.2, XP_001230584.2, XP_001687822.1, XP_307847.4, XP_319437.4	XP_016660539.2
OG0000661	XP_001238044.2, XP_318783.4, XP_318768.4, XP_318769.4, XP_553534.3, XP_318800.4, XP_318773.4, XP_001689145.1, XP_553557.1, XP_318779.3	XP_016664461.2
OG0000661	XP_001238041.2	XP_029348293.1
OG0000662	XP_313337.4, XP_313338.3	XP_029341705.1, XP_029346479.1
OG0000663	XP_317433.4	XP_029342326.1
OG0000664	XP_308649.4, XP_311023.5, XP_308050.5	XP_029343053.1
OG0000665	XP_001230383.1, XP_321303.3, XP_003435929.1, XP_003435928.1, XP_551025.3, XP_313434.3, XP_003436555.1	XP_029343937.1
OG0000666	XP_001238109.2, XP_319212.3	XP_029343991.1
OG0000667	XP_319669.4	XP_029344002.1
OG0000668	XP_001688078.1	XP_029345637.1
OG0000669	XP_309585.5	XP_029347009.1
OG0000680	XP_320630.2	NP_001119660.1, XP_008189851.1
OG0000681	XP_321558.2, XP_319533.2, XP_001231181.2	XP_016659328.1, NP_001153525.1
OG0000682	XP_319299.4, XP_001688870.1, XP_001237158.1	NP_001155393.1, XP_008182210.1, NP_001267493.1, XP_008186960.1, XP_029343618.1, NP_001313605.1, NP_001155479.1
OG0000683	XP_319765.3	NP_001155481.1
OG0000684	XP_001238071.2	NP_001155644.1, XP_016662860.1
OG0000685	XP_319708.4	NP_001313600.1, NP_001156726.1
OG0000686	XP_321442.4, XP_003435895.1	XP_001942741.1
OG0000687	XP_319825.4	XP_001942765.1
OG0000688	XP_308581.3	XP_001942926.1
OG0000689	XP_314674.4, XP_314675.4	XP_001943336.2
OG0000690	XP_308564.3, XP_001688002.1	XP_008184851.1, XP_001946054.2, XP_029344519.1
OG0000691	XP_320710.4	XP_001946073.1, XP_003241430.1, XP_008178465.1, XP_001952703.2
OG0000692	XP_001688676.1, XP_001688677.1, XP_556168.3, XP_315528.2, XP_001237680.1	XP_001946699.1, XP_029347455.1
OG0000693	XP_317603.4	XP_001947047.2, XP_016656947.1
OG0000694	XP_313897.4, XP_001688469.1	XP_029345691.1, XP_008187750.1, XP_001950665.2, XP_001948147.2, XP_016655865.1, XP_008186608.1, XP_003241679.1, XP_003241678.1, XP_016656515.1, XP_016657356.2, XP_016662803.2
OG0000695	XP_556108.3, XP_001237663.2	XP_001949079.2, XP_029347773.1, XP_029341226.1
OG0000696	XP_314098.2	XP_001950288.1, XP_003247074.1
OG0000697	XP_003436907.1, XP_311078.5, XP_311232.5	XP_003247861.2, XP_001951353.2
OG0000698	XP_314131.4	XP_001951677.1
OG0000699	XP_312504.4	XP_003240569.1
OG0000700	XP_003436018.1, XP_320979.2	XP_008182208.1
OG0000704	XP_309375.4	XP_003244598.1
OG0000705	XP_003435769.1	XP_003246626.1
OG0000706	XP_315558.4	XP_003246815.1, XP_008186469.1, XP_008186470.1, XP_003248641.2, XP_008182767.2
OG0000707	XP_320621.4, XP_001689277.1, XP_552329.3, XP_320615.4, XP_320620.4, XP_320619.4	XP_003247162.1
OG0000708	XP_311193.4	XP_008178377.1
OG0000709	XP_314703.4	XP_008179400.1, XP_029347123.1
OG0000711	XP_320429.3	XP_008181778.1, XP_029347417.1, XP_016658910.1
OG0000712	XP_001688392.2, XP_001688393.2, XP_001688394.2, XP_001688395.1, XP_312613.5	XP_029343403.1, XP_008181834.1
OG0000713	XP_321588.5	XP_016659225.1, XP_008182238.1, XP_029344328.1
OG0000714	XP_311086.2	XP_008182728.1
OG0000715	XP_003436561.1, XP_003437118.1, XP_316817.5, XP_003437119.1	XP_008183424.1
OG0000716	XP_308561.4, XP_003435740.1	XP_008185071.1
OG0000717	XP_317161.4	XP_029343285.1, XP_008186737.1, XP_008186736.1
OG0000718	XP_566366.4	XP_016663726.1
OG0000719	XP_319824.3	XP_029341070.1, XP_029341073.1
OG0000720	XP_307780.5	XP_029344440.1
OG0000720	XP_308196.4	XP_029343675.1
OG0000721	XP_310647.1	XP_029344487.1, XP_029344486.1
OG0000722	XP_321617.4	XP_029346583.1
OG0000723	XP_311134.3	XP_029346730.1, XP_029346734.1
OG0000736	XP_309539.2	NP_001155375.1, XP_016658086.1
OG0000737	XP_321482.4, XP_001689335.2	XP_016663358.1, NP_001155484.1
OG0000738	XP_003436513.1	XP_008182822.1
OG0000738	XP_003436514.1, XP_313282.5	NP_001155539.1, XP_029346550.1
OG0000739	XP_001689185.1	NP_001155649.1
OG0000740	XP_308979.2	XP_008183991.1, NP_001156301.1
OG0000741	XP_320004.4, XP_319076.3	XP_008179667.1, NP_001156595.1, NP_001280465.1, XP_008183839.1
OG0000742	XP_314748.3	XP_001946012.1
OG0000743	XP_317315.3	NP_001192101.1, XP_029344784.1
OG0000744	XP_311931.4	XP_016663430.1, XP_001943030.2
OG0000744	XP_001237485.2	XP_029347118.1, XP_029347117.1, XP_008179977.1, XP_008179976.1, XP_008179975.1
OG0000745	XP_320670.3	XP_003244954.1, XP_001943033.1
OG0000746	XP_318705.3, XP_312838.4	XP_029344776.1, XP_029344777.1, XP_008186951.1, XP_001943086.2
OG0000747	XP_310665.3	XP_001943161.2
OG0000748	XP_320170.4, XP_320144.4	XP_029345925.1, XP_001943539.2
OG0000749	XP_003436933.1, XP_310951.5	XP_001943996.1
OG0000749	XP_003436731.1, XP_313043.5	XP_001944267.1
OG0000750	XP_308778.4	XP_001944397.3
OG0000751	XP_315755.4, XP_001688723.1	XP_001944597.2
OG0000751	XP_314756.4	XP_008185151.1
OG0000752	XP_317823.4	XP_001944830.2
OG0000752	XP_310889.5	XP_008183252.1
OG0000753	XP_312995.5	XP_001944864.1
OG0000754	XP_312756.5	XP_001945603.2
OG0000755	XP_313657.4	XP_001946913.2
OG0000756	XP_319445.4, XP_001238157.1	XP_001948209.1
OG0000757	XP_314677.3, XP_314680.4	XP_001948207.2
OG0000758	XP_317050.4	XP_001949398.1
OG0000759	XP_312018.5	XP_008180676.1, XP_008180677.1, XP_029347554.1, XP_016661927.1, XP_001952255.2, XP_008185514.1, XP_001950119.1
OG0000760	XP_001688456.2	XP_001952274.1, XP_001950880.1
OG0000761	XP_553256.3	XP_001951069.1
OG0000762	XP_001237444.3	XP_003240034.2, XP_008181472.1
OG0000763	XP_001687980.1	XP_029340915.1, XP_008178303.1
OG0000765	XP_312371.1, XP_003436159.1	XP_016662867.1, XP_008179296.1, XP_003241937.1
OG0000766	XP_321355.5	XP_003242410.1
OG0000767	XP_315509.3, XP_001688672.1, XP_001688673.1	XP_003242497.1
OG0000768	XP_309489.4	XP_003242754.2
OG0000769	XP_311161.4, XP_315324.4	XP_003243699.1, XP_016658959.1, XP_016658960.1, XP_016658961.1, XP_016658962.1, XP_016658963.1
OG0000770	XP_001688195.1	XP_003243896.2
OG0000771	XP_308361.4, XP_001687775.2	XP_003246709.1, XP_008180166.1, XP_008180167.1
OG0000772	XP_001689245.1, XP_320299.4	XP_003246953.1
OG0000773	XP_317844.3	XP_003247559.1
OG0000774	XP_312552.5	XP_008183902.3
OG0000776	XP_001688474.1, XP_313915.3	XP_016655940.1
OG0000777	XP_321280.5	XP_016657137.1
OG0000778	XP_315543.3	XP_016662047.1
OG0000779	XP_313129.1, XP_313127.2, XP_003436743.1	XP_029342860.1, XP_029342859.1, XP_029342861.1, XP_029342858.1
OG0000780	XP_316669.4, XP_001237849.2, XP_316668.4	XP_029343263.1
OG0000781	XP_321207.2	XP_029344213.1
OG0000782	XP_320180.1	XP_029344948.1
OG0000783	XP_551936.2	XP_029346817.1
OG0000784	XP_309665.3, XP_309666.3, XP_309669.1, XP_309670.3, XP_309667.1, XP_003436496.1	XP_029347518.1
OG0000795	XP_316941.3	NP_001156238.1, XP_008186286.1, XP_001951765.1, NP_001119696.2, XP_016660020.1, XP_016660021.1, XP_001946038.2, XP_029344502.1, XP_029344503.1, NP_001119641.1
OG0000796	XP_311696.2	XP_008186449.1, XP_016664985.1, XP_001943747.1, NP_001119670.1, NP_001119669.1
OG0000797	XP_001688174.2	NP_001155536.1, XP_008179738.1
OG0000798	XP_559058.3	XP_008181596.1, NP_001155751.1
OG0000799	XP_317538.3	NP_001191909.1
OG0000800	XP_001237468.3	XP_029344345.1, NP_001280254.1
OG0000801	XP_003437047.1, XP_001689387.2	XP_001942708.2
OG0000801	XP_310573.4	XP_029347083.1
OG0000802	XP_308510.4, XP_308511.4	XP_001944066.2, XP_016657154.1, XP_016657155.1, XP_003242174.1, XP_008179622.1
OG0000803	XP_310113.4	XP_008185697.1, XP_001944311.1
OG0000804	XP_308552.4, XP_001687983.1	XP_001944120.1, XP_008187383.1
OG0000805	XP_566364.4, XP_311087.5	XP_001944246.2
OG0000806	XP_308596.4	XP_008179699.1, XP_001944941.1
OG0000807	XP_321929.3	XP_003247579.1, XP_001945486.2, XP_003248704.2
OG0000808	XP_313990.4, XP_003435719.1	XP_029343847.1, XP_029343848.1, XP_001946418.2, XP_016659879.1
OG0000809	XP_003436050.1, XP_307995.5	XP_008186770.1, XP_001946703.2
OG0000810	XP_322067.4	XP_001947304.2, XP_029344161.1, XP_016657984.1, XP_016657989.1, XP_029344163.1, XP_008180697.1, XP_016663292.2
OG0000811	XP_001688164.1, XP_309085.4	XP_001947939.1
OG0000812	XP_308496.4	XP_001947963.1
OG0000813	XP_309726.4, XP_309724.3	XP_029346295.1
OG0000813	XP_554155.3	XP_001948027.2
OG0000814	XP_316915.4, XP_318688.2	XP_001948078.2
OG0000815	XP_315593.4, XP_001688684.1	XP_029345346.1, XP_001949153.2
OG0000816	XP_555284.3	XP_001949694.2
OG0000817	XP_320274.2	XP_029342612.1, XP_029342611.1, XP_029342610.1, XP_029342609.1, XP_029342613.1, XP_029342607.1, XP_029342608.1, XP_001950448.2
OG0000819	XP_557579.3	XP_001951678.2, XP_016659276.1
OG0000820	XP_003436676.1, XP_318436.5	XP_008185881.1, XP_008185880.1, XP_001952482.1
OG0000821	XP_001689219.1	XP_029344238.1, XP_003240215.1
OG0000822	XP_309064.5, XP_003435721.1	XP_003240675.3
OG0000824	XP_003435788.1, XP_003435789.1, XP_321893.4	XP_029342026.1, XP_003248928.3, XP_003241462.2, XP_008182289.1
OG0000825	XP_314783.2, XP_557830.2	XP_003241553.2
OG0000826	XP_313758.4, XP_003436825.1	XP_003244511.1
OG0000827	XP_316485.4	XP_016656812.1, XP_008179252.2
OG0000827	XP_308632.4	XP_003244861.1
OG0000828	XP_311410.4	XP_003245187.1, XP_008184040.1
OG0000829	XP_312898.3	XP_003245191.1
OG0000830	XP_309393.2	XP_008178146.1
OG0000831	XP_310750.5, XP_319460.3	XP_008189605.1, XP_008180570.1, XP_016657902.1
OG0000832	XP_320918.5, XP_003436034.1, XP_003436035.1, XP_003436036.1	XP_008182919.1
OG0000833	XP_001689140.1	XP_008183110.1
OG0000835	XP_319306.4, XP_319473.4	XP_008189794.1
OG0000838	XP_001237627.2	XP_016663923.1, XP_016663922.1, XP_016663921.1
OG0000840	XP_310379.7, XP_003436628.1, XP_003436446.1, XP_314237.4	XP_029344086.1
OG0000849	XP_563989.1	NP_001155432.1
OG0000850	XP_317465.2	NP_001155554.1, XP_008179389.1
OG0000851	XP_309827.4	XP_003246520.1, NP_001155696.1, XP_029347342.1
OG0000852	XP_552427.2	XP_016661807.1, NP_001156121.1
OG0000853	XP_001237881.1	NP_001156172.1
OG0000854	XP_566387.4, XP_316496.3	XP_008178183.1, XP_029340894.1, XP_008183153.1, XP_008181121.1, XP_008178737.1, XP_008180857.1, XP_008180959.1
OG0000855	XP_001687874.1, XP_001687873.1, XP_001687875.1, XP_308237.4, XP_001687876.1	NP_001280372.1, XP_016660360.1, XP_016660358.1, XP_016660357.1, XP_001951501.1
OG0000856	XP_001689087.1, XP_318047.4	NP_001313579.1
OG0000857	XP_562320.4	XP_001942608.1, XP_003247461.2, XP_029344421.1, XP_029344420.1
OG0000858	XP_552102.3	XP_001948394.1
OG0000859	XP_001230995.1, XP_309522.4	XP_001943333.1
OG0000860	XP_321195.5	XP_029348649.1, XP_029348648.1, XP_029345221.1, XP_001943371.2
OG0000861	XP_315658.3	XP_001943495.2, XP_001947434.2
OG0000862	XP_001238522.2, XP_001238523.2, XP_003435843.1	XP_001943841.2
OG0000863	XP_312621.4	XP_001944634.1
OG0000864	XP_312223.5, XP_319733.4	XP_029345798.1, XP_029342614.1, XP_001945030.2, XP_008185465.2, XP_029346668.1
OG0000865	XP_315231.5	XP_001951167.1, XP_029345436.1, XP_001945062.1
OG0000866	XP_319528.4	XP_008183938.1, XP_001945084.3
OG0000867	XP_315403.4	XP_001945535.1, XP_008181986.1
OG0000868	XP_001688433.2	XP_008183386.1, XP_001945634.2
OG0000870	XP_320737.4	XP_001945801.1
OG0000871	XP_311516.4	XP_001946071.2, XP_016659112.1
OG0000872	XP_316840.3	XP_001946312.1
OG0000873	XP_557731.3	XP_001946748.1, XP_008187164.1
OG0000875	XP_308629.2	XP_001947094.1, XP_001950328.1
OG0000876	XP_312228.5	XP_001947490.1
OG0000877	XP_315841.3	XP_016659610.1, XP_001947810.2, XP_008182746.1
OG0000878	XP_308419.4, XP_315059.4, XP_315060.4	XP_001948817.3
OG0000879	XP_001689090.1, XP_001689089.1, XP_318058.4	XP_008186646.1, XP_001949000.1
OG0000880	XP_315613.4, XP_314829.4, XP_001237606.1	XP_001949920.1
OG0000881	XP_311105.2	XP_001950664.1
OG0000883	XP_313339.4, XP_003436531.1	XP_001951272.1, XP_029346319.1
OG0000884	XP_307777.3	XP_001952050.1
OG0000886	XP_003436122.1, XP_312518.5	XP_003240757.1
OG0000887	XP_321479.1	XP_008180113.2, XP_003241963.1
OG0000888	XP_321033.5	XP_003241970.1
OG0000890	XP_001237490.3, XP_003436386.1	XP_003243340.1
OG0000892	XP_003436835.1, XP_313833.5	XP_003248220.1
OG0000893	XP_311929.4, XP_318332.4	XP_008178439.1
OG0000894	XP_316113.4	XP_008183275.1, XP_016660008.1, XP_008183276.1
OG0000895	XP_308934.4	XP_008184057.1, XP_008184060.1
OG0000896	XP_320173.4, XP_318850.4	XP_008185295.1
OG0000897	XP_001237068.2, XP_001687904.1	XP_008187836.1, XP_029348219.1
OG0000899	XP_003436759.1, XP_313176.5	XP_008190224.1
OG0000900	XP_315331.4, XP_555956.2, XP_315333.4	XP_029348646.1, XP_029348252.1, XP_029348249.1, XP_016656087.1
OG0000901	XP_319872.4, XP_319888.3, XP_317516.4, XP_310083.4	XP_016657701.1
OG0000903	XP_312952.4, XP_312953.4	XP_029344196.1
OG0000904	XP_001688859.1, XP_001688857.1, XP_001688856.1, XP_001688858.1, XP_316396.4	XP_029344572.1
OG0000914	XP_001688294.1	NP_001119658.1
OG0000915	XP_001238053.2, XP_001238056.2, XP_001238057.1, XP_318842.4, XP_318838.4	XP_029345454.1, XP_029345457.1, XP_029345460.1, XP_016664187.1, XP_016664185.1, XP_008188393.1, XP_029345458.1, XP_029345459.1, XP_029345455.1, XP_029345456.1, XP_008186744.1, NP_001129384.1
OG0000916	XP_319584.4, XP_319585.4	NP_001139376.1, XP_008186625.1
OG0000917	XP_003436170.1	NP_001155773.1
OG0000918	XP_003435743.1, XP_001687900.1, XP_001687901.1, XP_001687902.1	NP_001155912.1, NP_001155913.1, XP_029344818.1, NP_001280315.1, XP_008179505.1
OG0000919	XP_308247.4	NP_001156227.1
OG0000920	XP_318629.2	NP_001156240.1
OG0000921	XP_003435754.1	NP_001156300.1, XP_008187141.1
OG0000922	XP_311884.5	XP_001946443.2, XP_008183734.1, XP_003248866.1, NP_001156609.1, XP_001944676.2
OG0000923	XP_001238052.1, XP_306816.3, XP_556301.3	NP_001164574.1, XP_008187055.1
OG0000924	XP_315708.4	NP_001229388.1
OG0000925	XP_003436686.1	XP_008187537.1, NP_001233045.1
OG0000927	XP_310706.3	NP_001280399.1
OG0000928	XP_563117.1, XP_003436339.1, XP_003436340.1	XP_029341942.1, NP_001280428.1, XP_029341681.1
OG0000929	XP_565460.2, XP_565459.2	NP_001280437.1
OG0000930	XP_003437155.1, XP_003437156.1, XP_309146.4, XP_003437157.1	NP_001313604.1, XP_008189583.1
OG0000931	XP_308215.4, XP_321812.4	XP_029345416.1, XP_029345417.1, XP_016663327.1, XP_001952363.2, XP_016662613.2, XP_001942858.2
OG0000932	XP_321361.5	XP_001943099.2
OG0000933	XP_308800.3	XP_001943172.1, XP_008179604.1
OG0000934	XP_308788.3	XP_001944196.2
OG0000935	XP_310832.5, XP_310834.4, XP_310684.3, XP_310833.5	XP_001944948.1
OG0000936	XP_314147.4	XP_001945205.2
OG0000937	XP_314129.4	XP_008178642.1, XP_001945217.2
OG0000938	XP_318102.2	XP_001945652.1
OG0000941	XP_320660.4	XP_001945966.2
OG0000942	XP_317850.4, XP_309480.3	XP_001946481.2
OG0000943	XP_321357.4	XP_001946503.2
OG0000944	XP_313297.3	XP_001947363.2
OG0000945	XP_320578.4	XP_001948033.2
OG0000946	XP_316421.3	XP_003244186.1, XP_016659445.1, XP_003244189.1, XP_001948517.2
OG0000947	XP_313650.5	XP_001948722.2, XP_008187405.1
OG0000948	XP_309921.3	XP_001949122.1
OG0000950	XP_319893.3	XP_001951330.2
OG0000951	XP_310711.2	XP_001952160.1, XP_001952152.1
OG0000952	XP_313752.4, XP_003436823.1, XP_003436822.1	XP_001952250.1
OG0000953	XP_317950.3, XP_317944.4, XP_317948.4, XP_554872.3	XP_003240168.1
OG0000955	XP_001238322.2, XP_561526.1, XP_320459.4	XP_029348703.1, XP_029341424.1, XP_016659608.2, XP_029341791.1, XP_003244295.1
OG0000957	XP_316912.4	XP_003244828.1
OG0000958	XP_318029.4	XP_029345967.1
OG0000959	XP_319812.4	XP_003245859.1
OG0000960	XP_313575.5	XP_008188173.1
OG0000960	XP_316346.4	XP_003246536.1, XP_008186054.1, XP_016662375.1, XP_029344665.1
OG0000961	XP_003436087.1, XP_312657.5, XP_003436086.1	XP_029346196.1, XP_003248547.1
OG0000962	XP_308166.4	XP_008178430.1, XP_008178426.1
OG0000963	XP_312843.1, XP_003436411.1, XP_003436410.1, XP_003436409.1	XP_008179407.1, XP_008179408.1
OG0000964	XP_320746.4	XP_008180409.1
OG0000965	XP_001688923.1, XP_001688924.1, XP_316615.4, XP_316614.4	XP_008182226.1, XP_029344326.1
OG0000966	XP_314043.4	XP_008182879.1
OG0000967	XP_308187.4, XP_001687862.1	XP_016660332.1, XP_016660333.1, XP_008183656.2, XP_008183647.2
OG0000968	XP_313931.4	XP_008184679.1, XP_008184681.1
OG0000970	XP_320569.3	XP_016661949.1, XP_008187412.1
OG0000971	XP_001688071.1	XP_008187914.1
OG0000972	XP_317352.3	XP_008189931.1, XP_029343272.1, XP_016657202.1
OG0000974	XP_001689389.2	XP_016657883.1
OG0000975	XP_317924.4	XP_016660728.1, XP_029346858.1
OG0000976	XP_320253.2	XP_016661759.1, XP_016661760.1
OG0000977	XP_312558.5	XP_016662161.1
OG0000978	XP_310715.5, XP_314327.3	XP_016663179.1
OG0000979	XP_319777.4, XP_309185.5	XP_029341765.1, XP_029341057.1, XP_029341501.1
OG0000980	XP_313773.4	XP_029342234.1
OG0000980	XP_309023.4	XP_029345153.1
OG0000980	XP_315517.3	XP_029346342.1
OG0000981	XP_318419.5	XP_029343351.1, XP_029342235.1
OG0000982	XP_001687830.2	XP_029343197.1
OG0000983	XP_311964.4	XP_029344536.1
OG0000984	XP_319605.4	XP_029346848.1
OG0000984	XP_552730.3	XP_029345642.1
OG0000985	XP_315127.2	XP_029345675.1
OG0000986	XP_313139.4, XP_320937.5	XP_029345917.1
OG0000987	XP_320264.4	XP_029347197.1
OG0000988	XP_024667085.1, XP_309588.5, XP_003436692.1	XP_029347512.1
OG0000992	XP_309992.2	NP_001119688.1, XP_008186477.1
OG0000993	XP_003436444.1, XP_003436445.1	XP_008180030.1, NP_001155787.1, NP_001156279.1, NP_001155400.1
OG0000994	XP_309631.5	NP_001155677.1
OG0000995	XP_308821.4, XP_001688099.1	NP_001156043.1, NP_001155760.1
OG0000996	XP_314487.3	XP_029347277.1, NP_001155868.1
OG0000997	XP_315616.4	XP_001949764.1
OG0000997	XP_311426.1	XP_008184138.1, NP_001156089.1
OG0000998	XP_311299.1, XP_316865.2, XP_003437127.1	NP_001156289.1, XP_016656740.1
OG0000999	XP_317398.3, XP_001237925.1	NP_001162142.1
OG0001000	XP_003436472.1, XP_311698.5	NP_001233031.1, XP_008178887.1
OG0001001	XP_001688785.1, XP_316161.4, XP_001688784.1, XP_001688783.1	XP_008185400.1, NP_001233092.1
OG0001002	XP_308214.4, XP_552293.2, XP_319645.4	NP_001233101.1
OG0001003	XP_314318.4	NP_001268887.1, XP_016656764.1
OG0001004	XP_308942.4	XP_001946521.1
OG0001004	XP_320325.1	XP_008186856.1
OG0001004	XP_306852.1	NP_001280294.1
OG0001005	XP_321274.5	XP_001942942.1
OG0001006	XP_003436707.1, XP_309629.5	XP_001943026.2
OG0001007	XP_001688444.2	XP_029344489.1, XP_001943043.1
OG0001008	XP_310585.4	XP_003246086.1
OG0001008	XP_310530.3	XP_001943103.2
OG0001009	XP_310493.5, XP_317322.4	XP_001943449.2
OG0001010	XP_310232.4	XP_001943636.2, XP_001943523.1
OG0001011	XP_314123.4	XP_001943714.1
OG0001013	XP_314060.4	XP_008180675.1, XP_003248807.2, XP_001944587.3
OG0001014	XP_312817.4	XP_001944614.1
OG0001015	XP_313115.4	XP_001951086.1, XP_003248708.1
OG0001015	XP_308884.2	XP_001944801.1
OG0001016	XP_563695.1	XP_001945112.2
OG0001017	XP_311055.5	XP_001945330.2, XP_016655808.2
OG0001018	XP_001688381.1	XP_001946341.1
OG0001018	XP_313804.3	XP_008179450.1
OG0001019	XP_316696.4	XP_001946692.2
OG0001020	XP_314731.4	XP_001946841.2
OG0001021	XP_309024.3	XP_001947318.2, XP_003242586.1, XP_003242585.1
OG0001022	XP_003436590.1, XP_310271.7	XP_001947414.2
OG0001023	XP_313173.5	XP_001947762.1, XP_008180348.1
OG0001024	XP_319635.4	XP_029343548.1, XP_001947776.2
OG0001025	XP_314283.5	XP_029343659.1, XP_001948094.2
