Orthogroup	Anopheles_gambiae	Bombus_terrestris
OG0001288	XP_310977.5	XP_003400433.1
OG0001289	XP_003437137.1, XP_309110.3	XP_003397119.1
OG0001290	XP_311436.4	XP_020722575.1, XP_020722573.1, XP_012172537.1, XP_020722574.1, XP_012172530.1, XP_012172528.1
OG0001291	XP_313145.5	XP_003399823.1
OG0001292	XP_308278.3	XP_003400968.1
OG0001293	XP_311898.4	XP_003398070.1, XP_020720574.1, XP_020720575.1, XP_020720573.1
OG0001294	XP_321341.3	XP_020722687.1, XP_012172280.1, XP_012172281.1, XP_003401144.1
OG0001295	XP_314005.4, XP_001688503.1, XP_001688504.1	XP_012167568.1
OG0001296	XP_564508.3, XP_001687851.1, XP_001687850.1	XP_012173736.1
OG0001298	XP_308149.4	XP_020720458.1, XP_003397436.1
OG0001300	XP_314929.3	XP_003399532.1
OG0001301	XP_310852.4	XP_012167003.1, XP_012167004.1, XP_012167001.1, XP_003397488.1
OG0001302	XP_310129.4	XP_020719262.1
OG0001303	XP_320455.4	XP_020723753.1, XP_020723764.1
OG0001304	XP_001237568.1	XP_012172183.1, XP_012172182.1
OG0001306	XP_318367.5, XP_003436659.1, XP_003436658.1	XP_012167990.1
OG0001307	XP_001237138.3	XP_020723092.1, XP_012173499.1
OG0001308	XP_565909.3	XP_003403395.1
OG0001310	XP_310388.3	XP_012164424.1, XP_003395288.1, XP_003395287.1
OG0001312	XP_317732.2	XP_012173172.1, XP_012173171.1
OG0001314	XP_316418.4	XP_012173675.1
OG0001315	XP_001688741.1, XP_315896.4	XP_003393383.1, XP_003393384.1
OG0001316	XP_308707.4	XP_020719664.1, XP_003393487.1
OG0001317	XP_316638.4	XP_012163614.1
OG0001318	XP_319761.3	XP_012167356.1
OG0001320	XP_320705.4	XP_020721649.1, XP_003399529.1
OG0001322	XP_313611.5, XP_003436787.1	XP_020718696.1, XP_003395455.1, XP_003395454.1, XP_012163888.1
OG0001328	XP_321026.4	XP_003398532.1
OG0001329	XP_308396.4	XP_003396674.1
OG0001330	XP_320278.2	XP_012174141.1, XP_012174139.1, XP_003402412.1, XP_012174140.1
OG0001331	XP_310307.5, XP_003436600.1	XP_012174989.1, XP_003401741.1
OG0001332	XP_308202.3	XP_003399692.1
OG0001333	XP_312171.3	XP_012167648.1
OG0001334	XP_555006.1, XP_001238801.1	XP_003396830.1, XP_003396833.1, XP_003396832.1
OG0001335	XP_316939.3	XP_012168103.1, XP_003398388.1
OG0001336	XP_317297.3	XP_012168727.1
OG0001336	XP_310039.4	XP_003398724.1, XP_012168729.1, XP_012168730.1
OG0001337	XP_313722.3	XP_012165951.1
OG0001338	XP_316877.5	XP_003399107.1, XP_012169339.1, XP_012169340.1
OG0001339	XP_310597.2	XP_012176348.1
OG0001340	XP_551371.1, XP_003435845.1, XP_003435844.1	XP_003398713.1
OG0001341	XP_320076.4	XP_020720549.1
OG0001342	XP_320130.3	XP_003393794.1
OG0001343	XP_308170.4	XP_003400883.1, XP_012171660.1, XP_003400869.1
OG0001344	XP_314163.4	XP_020720468.1, XP_020720469.1, XP_003397501.1
OG0001345	XP_315997.4	XP_003395860.1, XP_012164396.1
OG0001346	XP_322022.5	XP_012173237.1
OG0001347	XP_001687935.1, XP_001687938.1	XP_003402828.1
OG0001348	XP_321887.4	XP_020723739.1, XP_003403220.1
OG0001349	XP_003436725.1, XP_003436724.1, XP_003436723.1	XP_003401462.1
OG0001350	XP_001230796.3	XP_012172004.1
OG0001351	XP_321338.3	XP_020722689.1, XP_020722688.1
OG0001352	XP_003436441.1, XP_553315.4	XP_003403023.2, XP_020721736.1
OG0001353	XP_001238315.2	XP_003398012.1
OG0001354	XP_315356.3	XP_012164101.1, XP_012164102.1, XP_012164099.1, XP_020718882.1, XP_020718883.1
OG0001355	XP_313397.5	XP_003400362.1
OG0001356	XP_315694.1	XP_003395933.1
OG0001357	XP_557821.3	XP_020719402.1, XP_012165269.1, XP_003396304.1
OG0001359	XP_308864.3, XP_003437100.1, XP_003437099.1, XP_311336.3	XP_012170120.1
OG0001361	XP_003436721.1	XP_020718847.1, XP_012170400.1, XP_020721674.1
OG0001362	XP_310355.6	XP_003395430.1
OG0001363	XP_003437112.1, XP_316789.3	XP_020720328.1
OG0001364	XP_310270.2	XP_012163097.1
OG0001365	XP_317619.4	XP_012169223.1
OG0001366	XP_308172.4	XP_020718835.1
OG0001367	XP_318458.3, XP_314722.4, XP_314725.4, XP_314724.4	XP_012168910.1
OG0001368	XP_312656.5	XP_020720007.1, XP_003397626.1
OG0001369	XP_308535.4	XP_020719634.1
OG0001370	XP_319250.4	XP_003396421.1, XP_012165453.1
OG0001371	XP_316138.4	XP_003396087.1, XP_012164771.1
OG0001372	XP_316026.3	XP_012164475.1, XP_012164477.1
OG0001373	XP_003437187.1, XP_318273.4	XP_012168781.1
OG0001374	XP_314564.3	XP_020722346.1
OG0001375	XP_316578.4, XP_001237835.2, XP_316574.4	XP_003399211.3, XP_003398956.1
OG0001376	XP_003437121.1	XP_012173351.1, XP_003402078.1
OG0001377	XP_312215.3	XP_012170811.1, XP_012170812.1, XP_003400191.1, XP_003400190.1
OG0001378	XP_320419.3	XP_012165673.1, XP_012165674.1, XP_012165675.1, XP_012165676.1
OG0001379	XP_319268.2	XP_012167520.1
OG0001380	XP_307876.4	XP_003402866.1
OG0001381	XP_316621.3, XP_001688925.1	XP_003393248.1
OG0001382	XP_319318.3	XP_003397478.2
OG0001383	XP_316646.4	XP_012168893.1
OG0001384	XP_320637.3	XP_012169115.1, XP_012169114.1, XP_003398965.1
OG0001385	XP_314364.3	XP_003395388.1
OG0001386	XP_314061.4	XP_012163760.1, XP_003395301.1
OG0001387	XP_319589.4	XP_012173529.1
OG0001388	XP_321258.5, XP_003435949.1	XP_012169807.1, XP_012169804.1, XP_012169803.1, XP_012169802.1
OG0001389	XP_309533.4, XP_001688850.1, XP_316369.3	XP_020719175.1
OG0001390	XP_319294.4	XP_012170950.1
OG0001391	XP_316352.3	XP_020720476.1
OG0001393	XP_316059.4	XP_003396669.1
OG0001394	XP_311608.4	XP_012166244.1
OG0001395	XP_308628.5	XP_012171081.1
OG0001396	XP_319240.5	XP_020719715.1, XP_003393199.1
OG0001397	XP_313548.1, XP_003436890.1	XP_003397629.1, XP_020720213.1
OG0001398	XP_310956.5, XP_003436931.1, XP_003436932.1	XP_020724226.1, XP_012175862.1, XP_012175860.1
OG0001399	XP_001230873.3, XP_313089.4	XP_012164033.1
OG0001400	XP_317549.3, XP_317551.4, XP_317550.3	XP_012175093.1, XP_012175100.1
OG0001401	XP_315885.2	XP_003401536.1, XP_012172796.1, XP_012172797.1
OG0001402	XP_316681.4	XP_020720808.1, XP_003398486.1
OG0001403	XP_003436814.1, XP_313732.5	XP_012167434.1
OG0001404	XP_317751.3	XP_012169320.1
OG0001405	XP_321345.3, XP_321346.4	XP_012172468.1
OG0001406	XP_313862.4	XP_003395194.1, XP_012163648.1, XP_012163647.1
OG0001407	XP_320518.4	XP_003396369.1, XP_012165352.1
OG0001408	XP_003437018.1, XP_565822.3	XP_003397685.1
OG0001409	XP_001688370.2	XP_012174454.1, XP_020723544.1
OG0001410	XP_314486.1	XP_003401764.1
OG0001413	XP_311009.5	XP_003397220.1, XP_012166565.1
OG0001414	XP_317350.4	XP_012166970.1
OG0001415	XP_001688819.1, XP_316253.4	XP_020719674.1, XP_020719671.1, XP_020719675.1
OG0001416	XP_317647.4, XP_555667.3	XP_012165008.1, XP_012164998.1
OG0001417	XP_308151.4	XP_012169107.1, XP_012169108.1
OG0001418	XP_314941.3	XP_012163163.1
OG0001419	XP_001688271.1, XP_310221.4	XP_020720226.1
OG0001420	XP_321838.4, XP_001688621.2	XP_003393869.1
OG0001421	XP_551368.4	XP_012164728.1, XP_020718987.1, XP_012164727.1, XP_012164592.1
OG0001422	XP_315120.4, XP_307270.4, XP_307269.4, XP_315119.4	XP_020719307.1
OG0001423	XP_001687887.1	XP_012165500.1
OG0001424	XP_307921.4	XP_003402316.1
OG0001425	XP_565883.4	XP_003392892.1
OG0001426	XP_319732.4	XP_020721936.1, XP_012171027.1, XP_003400252.1
OG0001427	XP_320403.3	XP_003393315.1
OG0001428	XP_314678.2	XP_012164126.1, XP_012164129.1, XP_012164128.1, XP_012164127.1, XP_012164125.1
OG0001429	XP_317285.4	XP_012167652.1
OG0001430	XP_320982.5	XP_020722429.1
OG0001432	XP_320633.4	XP_003399605.3
OG0001434	XP_307894.5, XP_003436082.1	XP_003393532.1
OG0001436	XP_316604.4, XP_001688913.1, XP_001688912.1	XP_012171515.1, XP_003400563.1
OG0001437	XP_319485.2	XP_003399945.1
OG0001438	XP_311976.5, XP_003436313.1	XP_020721546.1, XP_012170219.1
OG0001439	XP_001688176.1	XP_003397978.1
OG0001440	XP_320189.4	XP_020724292.1, XP_020724291.1, XP_012176379.1, XP_020724293.1
OG0001441	XP_311372.4	XP_012173022.1, XP_012173027.1
OG0001442	XP_307936.4	XP_003403381.2, XP_020724207.1, XP_020721312.1
OG0001443	XP_321956.5	XP_003402642.1, XP_020721946.1
OG0001444	XP_321723.5	XP_012164290.1, XP_012164162.1
OG0001445	XP_312030.5	XP_012163907.1
OG0001446	XP_318394.5, XP_003436668.1, XP_003436666.1, XP_003436667.1	XP_020720634.1, XP_020720633.1, XP_012168229.1
OG0001453	XP_310188.3	XP_012165298.2
OG0001455	XP_314502.4, XP_314504.3	XP_003403068.1
OG0001456	XP_320465.2	XP_012175619.1, XP_012175622.1, XP_012175621.1, XP_012175623.1, XP_020724044.1, XP_003393927.1
OG0001457	XP_311700.3	XP_003397628.1
OG0001458	XP_320742.3	XP_012171843.1
OG0001459	XP_308453.3	XP_012165214.1
OG0001460	XP_313156.2	XP_003393617.1
OG0001461	XP_321733.4	XP_012164361.1
OG0001462	XP_003436675.1, XP_318432.4	XP_003396187.1, XP_003396186.1
OG0001463	XP_309942.4	XP_003402394.2, XP_012165835.1
OG0001464	XP_318672.4, XP_321135.5	XP_012164758.1
OG0001465	XP_311607.2	XP_012175635.1, XP_003393935.1, XP_012175636.1
OG0001466	XP_312403.4	XP_003396061.1, XP_012164900.1
OG0001467	XP_554016.3	XP_003396679.1
OG0001468	XP_317127.3	XP_003397743.1, XP_003397722.1
OG0001469	XP_311746.4	XP_003398904.1
OG0001470	XP_001230998.1, XP_001230999.1, XP_316361.2	XP_003394496.1
OG0001471	XP_314721.3	XP_003394634.2, XP_020724160.1
OG0001472	XP_319592.3, XP_316821.4	XP_012176274.1, XP_003394685.1
OG0001473	XP_557363.3	XP_012173301.1
OG0001474	XP_312327.5	XP_012167830.1, XP_012167829.1
OG0001477	XP_557954.2	XP_020720672.1
OG0001478	XP_311138.3	XP_003396281.1
OG0001479	XP_315576.4	XP_003398797.1
OG0001480	XP_551238.2	XP_003395191.1, XP_012163645.1
OG0001481	XP_559127.3	XP_020723132.1
OG0001482	XP_003436902.1	XP_020721633.1
OG0001483	XP_001237195.3	XP_012163379.1
OG0001484	XP_313559.5, XP_003436773.1, XP_551109.3	XP_012171842.1
OG0001485	XP_557938.3	XP_012170254.1
OG0001486	XP_308949.4	XP_012169168.1
OG0001487	XP_314027.4	XP_012167898.1
OG0001488	XP_309709.4	XP_012174744.1, XP_020723656.1
OG0001489	XP_308327.4, XP_001687895.1	XP_003401445.1
OG0001490	XP_311001.5	XP_012163912.1, XP_012163914.1, XP_012163916.1
OG0001492	XP_311683.4	XP_003399630.1
OG0001493	XP_001237650.2, XP_001237649.2	XP_012168000.2
OG0001494	XP_308673.4	XP_003399563.1
OG0001495	XP_001237569.1	XP_003394831.1
OG0001496	XP_308382.3, XP_003437212.1	XP_003394882.1
OG0001497	XP_309507.4	XP_003399142.1, XP_020721145.1
OG0001498	XP_315666.4	XP_012164993.1
OG0001499	XP_562960.3	XP_003399467.1, XP_020721731.1, XP_003397849.1
OG0001500	XP_307953.2	XP_020720057.1, XP_003397807.1
OG0001501	XP_315768.3, XP_556409.3	XP_003396885.1
OG0001502	XP_315785.4	XP_003396866.1
OG0001503	XP_318862.3	XP_003399092.1, XP_003399093.1
OG0001504	XP_316013.4	XP_012176574.1
OG0001505	XP_321148.5	XP_020718881.1
OG0001507	XP_313800.4	XP_003401091.1, XP_012172228.1
OG0001508	XP_310944.5	XP_012176705.1, XP_012176699.1
OG0001509	XP_558145.3	XP_012173176.1
OG0001510	XP_313379.5	XP_012168991.1, XP_020721172.1
OG0001511	XP_315679.3, XP_306983.4, XP_556304.2, XP_001230355.2, XP_315675.3	XP_003396668.1
OG0001512	XP_321940.4, XP_003435777.1	XP_012168897.1, XP_020721039.1
OG0001513	XP_001687829.2	XP_003399308.1
OG0001514	XP_321808.4	XP_012176755.1
OG0001515	XP_316960.4	XP_012165605.1
OG0001516	XP_321387.5	XP_003402767.2
OG0001517	XP_311715.3, XP_003436478.1, XP_003436479.1	XP_003402258.1
OG0001518	XP_319785.4	XP_003394178.3
OG0001519	XP_564767.3	XP_012169169.1
OG0001520	XP_321797.4	XP_012174354.2, XP_012174355.1
OG0001521	XP_316580.4	XP_003395486.1
OG0001522	XP_318144.4	XP_020718251.1
OG0001523	XP_313879.4	XP_020722376.1
OG0001524	XP_309210.4	XP_003399206.1, XP_012169486.1, XP_012169487.1
OG0001525	XP_313327.4	XP_012172750.1, XP_003401499.1, XP_012172749.1
OG0001526	XP_558644.3, XP_001230984.2	XP_020720026.1, XP_012166840.1, XP_020720024.1
OG0001527	XP_003436816.1, XP_313742.4	XP_003397768.1
OG0001529	XP_310236.3, XP_307879.4	XP_012174646.1
OG0001531	XP_320985.2	XP_003395582.1
OG0001532	XP_318096.4	XP_012166490.1
OG0001533	XP_315707.4	XP_003402056.1
OG0001534	XP_003435886.1, XP_321515.4	XP_020721645.1
OG0001535	XP_318386.5	XP_012175172.1
OG0001536	XP_308789.4, XP_556808.3, XP_001688789.1	XP_012165121.1
OG0001537	XP_320593.4, XP_317447.4	XP_012169946.1, XP_012169947.1
OG0001538	XP_001687839.2	XP_020720324.1, XP_020720323.1
OG0001539	XP_318061.4	XP_012170914.1
OG0001541	XP_308645.4	XP_020719680.1, XP_003396341.1
OG0001542	XP_317569.4	XP_012163276.1, XP_012163274.1
OG0001543	XP_003436971.1	XP_012168843.1
OG0001545	XP_318635.3	XP_003394442.1, XP_012176378.1, XP_020724290.1
OG0001546	XP_312041.5	XP_012163794.1, XP_012163795.1, XP_003395645.1
OG0001547	XP_308339.4	XP_020721686.1
OG0001548	XP_001231112.2, XP_001231113.2, XP_001231111.2, XP_001231110.2	XP_003394368.2, XP_012176262.1
OG0001550	XP_001230662.1	XP_003399933.1
OG0001551	XP_001688523.1, XP_314100.4	XP_020719562.1, XP_020719563.1
OG0001552	XP_318541.4	XP_003393584.1, XP_012170334.1
OG0001553	XP_313022.3	XP_012175724.1, XP_003394028.1
OG0001554	XP_001688023.1, XP_001688025.1	XP_012169996.1, XP_012169992.1
OG0001555	XP_320393.4	XP_012164431.1
OG0001556	XP_308925.4	XP_003400217.1, XP_012170974.1
OG0001557	XP_318856.3	XP_012169157.2, XP_003398998.1
OG0001558	XP_310248.7, XP_316659.3	XP_020723020.1, XP_003401805.1
OG0001559	XP_321922.5	XP_003399174.3
OG0001560	XP_307067.3, XP_319478.3, XP_307611.3, XP_319481.3, XP_001238163.1	XP_012167417.2
OG0001561	XP_313778.5	XP_012172415.1, XP_003401267.1, XP_012172414.1
OG0001562	XP_001688616.1, XP_001688617.1	XP_012165869.1
OG0001563	XP_552478.2	XP_012172782.1, XP_012172784.1
OG0001565	XP_308594.4	XP_012168216.1, XP_012168217.1, XP_012168214.1, XP_012168215.1, XP_012168213.1, XP_020720602.1, XP_012168212.1
OG0001567	XP_552509.3	XP_012174475.1
OG0001568	XP_312875.5	XP_012164346.1, XP_012164344.1, XP_012164347.1
OG0001569	XP_308701.2	XP_003400682.1
OG0001570	XP_001237154.2	XP_003402743.1, XP_003402744.1
OG0001571	XP_319421.4	XP_012170829.1
OG0001572	XP_321888.3, XP_003435792.1, XP_003435793.1	XP_003401007.1, XP_020722481.1, XP_020722482.1
OG0001575	XP_317568.3	XP_003397584.1
OG0001576	XP_553723.1	XP_020723599.1
OG0001577	XP_310528.5	XP_020719874.1, XP_012166616.1
OG0001579	XP_316180.4	XP_003398242.2, XP_012167913.1, XP_012167914.1
OG0001580	XP_001231055.3, XP_003437188.1, XP_003437189.1	XP_020722899.1, XP_003401926.1
OG0001581	XP_317108.3	XP_003398383.1
OG0001582	XP_313138.5	XP_012176331.1
OG0001583	XP_563637.3	XP_003401531.3
OG0001584	XP_311327.5	XP_003393138.1, XP_012164649.1
OG0001585	XP_316571.4, XP_001237834.2	XP_012164963.1, XP_012164964.1
OG0001586	XP_312095.5	XP_003393715.1
OG0001587	XP_308295.3	XP_012165753.2
OG0001588	XP_312218.5	XP_020720969.1, XP_020720971.1, XP_020720970.1
OG0001589	XP_308241.3, XP_311195.5	XP_012164356.1
OG0001590	XP_312916.5, XP_003436238.1, XP_001237434.2, XP_312156.3, XP_563375.3, XP_003436237.1, XP_312155.4, XP_309133.5, XP_311060.5, XP_311061.5	XP_003396208.2
OG0001591	XP_317090.2	XP_020721213.1, XP_012168968.1
OG0001592	XP_317552.4	XP_020723335.1, XP_003402383.1
OG0001593	XP_307791.5	XP_020722498.1
OG0001594	XP_003436556.1, XP_001688443.2	XP_012164749.1, XP_012164750.1, XP_003396139.1
OG0001595	XP_001688026.1	XP_012165878.1, XP_012165877.1, XP_012165876.1, XP_003396765.1
OG0001596	XP_313347.3	XP_020721997.1
OG0001598	XP_003436740.1, XP_003436741.1, XP_313104.2	XP_012163499.1
OG0001599	XP_001689120.2	XP_003402629.1, XP_012174360.1, XP_012174361.1
OG0001600	XP_315510.4	XP_003397870.1
OG0001601	XP_309586.5	XP_020720744.1
OG0001602	XP_307192.4, XP_313852.5	XP_012163956.1, XP_012163954.1, XP_020718802.1
OG0001604	XP_314263.5	XP_012167570.1, XP_012167575.1
OG0001605	XP_003437084.1	XP_020718451.1, XP_012175532.1, XP_012163400.1
OG0001606	XP_001689072.1	XP_012169847.2
OG0001607	XP_001689143.1	XP_020723376.1, XP_003402461.1
OG0001608	XP_319419.4	XP_012169615.1, XP_012169614.1
OG0001614	XP_560351.3, XP_003436655.1	XP_003403084.2
OG0001615	XP_311852.2, XP_003436358.1, XP_003436357.1	XP_003402444.1
OG0001616	XP_320422.3, XP_309574.1	XP_003399340.1
OG0001617	XP_322024.4	XP_003393623.1
OG0001619	XP_321321.5	XP_012168493.1
OG0001620	XP_319591.2	XP_003401842.1
OG0001623	XP_312663.4	XP_003395188.1
OG0001624	XP_555021.3	XP_003399667.1
OG0001625	XP_315994.4	XP_003403106.1
OG0001626	XP_309502.3, XP_564374.3	XP_003398572.1, XP_012168351.1
OG0001627	XP_320536.3	XP_003394726.2
OG0001628	XP_311731.4	XP_020718456.1
OG0001629	XP_314557.3	XP_012173811.1, XP_012173812.1
OG0001630	XP_001688837.1, XP_001688836.1, XP_001688838.1, XP_316326.4	XP_003398527.1
OG0001631	XP_310839.5	XP_020720976.1, XP_003398681.1
OG0001633	XP_314323.3	XP_020721917.1
OG0001634	XP_001230888.3	XP_012173728.1
OG0001636	XP_003437190.1, XP_315309.4, XP_003437193.1, XP_003437194.1, XP_001688627.1, XP_001688628.1, XP_003437192.1, XP_003437191.1	XP_012173783.1
OG0001637	XP_316947.3	XP_012167750.1
OG0001638	XP_320601.4	XP_020724090.1, XP_003402244.1, XP_020723236.1
OG0001639	XP_311186.5	XP_012171149.1
OG0001640	XP_554103.3	XP_003396116.1
OG0001641	XP_320141.4, XP_311577.4, XP_320549.4	XP_003395440.1
OG0001642	XP_320480.3	XP_012173919.1, XP_003393925.1
OG0001644	XP_322002.5, XP_321919.5	XP_003403179.1
OG0001645	XP_320998.5	XP_003401724.1
OG0001646	XP_319692.3	XP_020718530.1, XP_003394922.1
OG0001647	XP_310671.5	XP_020722302.1
OG0001648	XP_310884.2	XP_012169955.1, XP_012170068.1, XP_012169905.1, XP_012170016.1, XP_012169839.1
OG0001649	XP_315051.4	XP_012167564.1, XP_003397875.2, XP_020720124.1, XP_012167563.1, XP_012167562.1
OG0001650	XP_557360.3	XP_003401930.1
OG0001651	XP_003437027.1	XP_012169672.1, XP_020721110.1, XP_012169670.1
OG0001652	XP_322051.4, XP_003435750.1, XP_003435751.1	XP_020719955.1, XP_003397370.1
OG0001653	XP_320653.4	XP_020720421.1
OG0001654	XP_316322.4	XP_012169926.1
OG0001655	XP_317107.3	XP_003396274.1
OG0001656	XP_320117.3	XP_020720327.1
OG0001657	XP_309717.4	XP_012165258.1, XP_012165259.1, XP_003396300.1, XP_020719401.1, XP_012165256.1
OG0001658	XP_314661.3	XP_003394971.1
OG0001659	XP_562889.4	XP_012172174.1
OG0001660	XP_001230361.2, XP_309701.3	XP_003402966.1
OG0001662	XP_001688561.1, XP_314339.4	XP_012172087.1, XP_020722522.1
OG0001663	XP_312168.5	XP_003398069.1
OG0001664	XP_321343.4	XP_012164167.1
OG0001665	XP_003436860.1, XP_003436866.1, XP_003436867.1, XP_003436863.1, XP_003436864.1, XP_003436865.1, XP_003436861.1, XP_315232.3	XP_012169681.1
OG0001666	XP_001687855.1	XP_003402540.1
OG0001667	XP_308664.3	XP_020718905.1
OG0001669	XP_318809.4	XP_012169423.1
OG0001670	XP_310718.5	XP_020719043.1, XP_020719044.1, XP_020719045.1
OG0001671	XP_001689406.1	XP_012167756.2
OG0001672	XP_318539.2	XP_003402261.2
OG0001673	XP_317141.3	XP_003393455.1
OG0001674	XP_317052.4	XP_012164368.2
OG0001675	XP_316722.3, XP_001688955.1, XP_001688954.1	XP_003400780.2, XP_012171703.1
OG0001676	XP_563676.2	XP_012165191.1
OG0001677	XP_311928.3	XP_012173379.1, XP_012173378.1, XP_003402094.1, XP_012173380.1, XP_012173377.1
OG0001678	XP_313618.5	XP_003396253.1, XP_012165166.1
OG0001679	XP_311576.3	XP_020721291.1, XP_020721289.1, XP_020721290.1
OG0001680	XP_318947.2	XP_012170489.1, XP_012170490.1
OG0001681	XP_024667092.1	XP_003400294.1
OG0001682	XP_001688188.1, XP_309431.3	XP_020724355.1
OG0001684	XP_307591.4, XP_313010.5	XP_012172856.2, XP_012172855.1
OG0001685	XP_308495.3	XP_012176402.1, XP_012176404.1, XP_012176403.1, XP_020724267.1
OG0001686	XP_313332.4	XP_012175263.1
OG0001687	XP_319096.3	XP_020721942.1, XP_020721937.1
OG0001689	XP_553178.3	XP_003400035.1
OG0001690	XP_310193.4	XP_012171710.1, XP_003400696.1
OG0001691	XP_001687982.1, XP_001237100.1, XP_308551.2	XP_012176663.1, XP_003394697.1
OG0001692	XP_001238579.1	XP_020723212.1, XP_020723209.1
OG0001693	XP_309509.4	XP_012166479.1
OG0001694	XP_317241.4	XP_020724349.1
OG0001695	XP_311525.1, XP_311053.3	XP_020722507.1, XP_003401031.1
OG0001696	XP_310413.7	XP_020721280.1
OG0001697	XP_003437059.1, XP_311206.3	XP_012172762.1
OG0001699	XP_322003.5	XP_012166736.1, XP_012166735.1
OG0001700	XP_312660.5	XP_012172001.1
OG0001701	XP_317858.4	XP_012174425.1, XP_012174426.1, XP_012174424.1, XP_003402727.1
OG0001702	XP_312777.5, XP_003436390.1	XP_012165448.1
OG0001703	XP_003436874.1, XP_003436875.1, XP_315198.5	XP_020723542.1
OG0001704	XP_308365.4, XP_001687908.1	XP_012170574.1
OG0001706	XP_320092.4	XP_003397655.3
OG0001707	XP_311912.3	XP_012165203.1, XP_003393254.1
OG0001708	XP_309293.4	XP_012175289.2
OG0001709	XP_001230626.3, XP_003436693.1	XP_020724319.1
OG0001711	XP_317208.4	XP_003402420.1
OG0001712	XP_320207.4	XP_012170658.1
OG0001713	XP_318067.4	XP_012164799.1
OG0001714	XP_307259.4	XP_012166492.1, XP_012166507.1
OG0001715	XP_318881.4	XP_003394181.1
OG0001716	XP_003435836.1, XP_551386.4, XP_003435835.1, XP_003435838.1, XP_003435837.1	XP_012173856.1
OG0001717	XP_321495.3	XP_012163286.1
OG0001718	XP_556198.1, XP_315559.4	XP_003396790.1
OG0001719	XP_310666.5, XP_003436992.1	XP_020719723.1, XP_012169444.1
OG0001720	XP_309530.2	XP_020719845.1, XP_003397044.1
OG0001721	XP_308175.3	XP_003394758.1
OG0001722	XP_003435814.1, XP_321755.3	XP_003395619.1
OG0001723	XP_319532.3, XP_321724.3, XP_003435819.1, XP_001231183.1, XP_319537.3	XP_020722798.1, XP_003401135.1
OG0001724	XP_315996.3	XP_003402390.3
OG0001725	XP_312990.5	XP_020723174.1, XP_020723175.1, XP_003402214.1
OG0001726	XP_310802.4, XP_003436968.1, XP_003436967.1	XP_012170079.1
OG0001728	XP_555522.3	XP_020721610.1
OG0001729	XP_001688020.1, XP_001237109.2, XP_565017.3, XP_001688022.1	XP_020720628.1
OG0001730	XP_321872.5	XP_020718288.1
OG0001731	XP_320608.2	XP_003396134.1
OG0001732	XP_316858.4	XP_012163872.1
OG0001733	XP_555086.4, XP_317088.3	XP_012163131.1
OG0001734	XP_316946.4	XP_003393247.1
OG0001735	XP_321102.4, XP_310440.5	XP_012172500.1, XP_003393670.1
OG0001736	XP_317071.4, XP_317075.4	XP_012176533.1
OG0001737	XP_003437186.1	XP_003396256.1, XP_012165175.1
OG0001738	XP_317066.4, XP_001689128.1	XP_012169921.1, XP_012169916.1, XP_012169906.1, XP_012169912.1, XP_003393557.1, XP_020722020.1
OG0001739	XP_315836.2	XP_012168204.1
OG0001740	XP_309567.4	XP_020720734.1
OG0001742	XP_321539.2, XP_321540.2	XP_020722478.1, XP_020722479.1
OG0001743	XP_310826.2	XP_003400184.1
OG0001744	XP_310145.3, XP_310146.3	XP_003401419.2
OG0001745	XP_312589.3	XP_020723864.1, XP_003403254.1
OG0001746	XP_320924.5	XP_003402326.1
OG0001747	XP_551639.3	XP_020720553.1, XP_012168560.1
OG0001748	XP_310266.7	XP_012174349.1, XP_012174343.1
OG0001749	XP_319450.4	XP_012175903.1
OG0001750	XP_312178.3	XP_003398027.1, XP_012167650.1
OG0001751	XP_554779.3	XP_012174773.1
OG0001752	XP_309607.4, XP_316957.4, XP_317360.4	XP_003402022.1
OG0001753	XP_312783.5	XP_003398429.1, XP_003398437.1
OG0001754	XP_001688280.2	XP_012165575.1, XP_020722608.1
OG0001755	XP_318553.4, XP_318543.4	XP_003400318.1
OG0001756	XP_311210.4	XP_003396398.2, XP_012165424.1, XP_012165425.1
OG0001757	XP_320893.4, XP_001237083.2	XP_012175463.2, XP_020721863.1, XP_003403012.2, XP_012171067.1, XP_012171066.1
OG0001758	XP_313840.4	XP_012163809.1
OG0001759	XP_308109.5	XP_003393749.1
OG0001760	XP_310291.7	XP_003396969.1
OG0001762	XP_556818.3	XP_003398244.1, XP_012167918.1
OG0001763	XP_565619.1	XP_012169332.1
OG0001764	XP_321236.5	XP_003395538.1
OG0001765	XP_001231186.2	XP_012174895.1
OG0001766	XP_315826.4, XP_001688731.1, XP_001688732.1, XP_001688733.2	XP_020723862.1, XP_012175234.1, XP_012175247.1
OG0001768	XP_001230640.2	XP_003398409.1
OG0001769	XP_320186.4	XP_012171890.1
OG0001775	XP_001689282.1	XP_003402217.1
OG0001776	XP_560736.1, XP_311363.2, XP_307325.4	XP_012174456.1
OG0001777	XP_311275.2	XP_003398481.1, XP_003398482.1
OG0001778	XP_003437154.1, XP_560169.2, XP_312560.3	XP_012175229.1
OG0001779	XP_308598.4, XP_001688027.1	XP_012167773.1
OG0001780	XP_314488.4	XP_003400461.1
OG0001781	XP_313044.3, XP_309217.4, XP_003437171.1, XP_003437172.1, XP_003437173.1, XP_003437174.1, XP_003437175.1	XP_003398046.1
OG0001782	XP_315090.2	XP_003396609.1
