Orthogroup	Anopheles_gambiae	Osmia_bicornis
OG0001282	XP_001688070.1	XP_029050569.1, XP_029050570.1, XP_029050571.1, XP_029050573.1, XP_029050568.1
OG0001283	XP_313998.3	XP_029052096.1
OG0001284	XP_001689151.1, XP_001689162.1	XP_029037069.1
OG0001286	XP_318853.2	XP_029038422.1
OG0001287	XP_551001.4	XP_029048784.1
OG0001288	XP_310977.5	XP_029045434.1
OG0001289	XP_003437137.1, XP_309110.3	XP_029046337.1
OG0001290	XP_311436.4	XP_029049968.1, XP_029049973.1
OG0001291	XP_313145.5	XP_029056056.1
OG0001292	XP_308278.3	XP_029032746.1, XP_029032747.1
OG0001293	XP_311898.4	XP_029040029.1, XP_029040028.1, XP_029040030.1
OG0001294	XP_321341.3	XP_029039533.1
OG0001295	XP_314005.4, XP_001688503.1, XP_001688504.1	XP_029041356.1
OG0001298	XP_308149.4	XP_029038752.1
OG0001300	XP_314929.3	XP_029041664.1
OG0001301	XP_310852.4	XP_029051368.1
OG0001303	XP_320455.4	XP_029032106.1
OG0001304	XP_001237568.1	XP_029036818.1, XP_029036817.1
OG0001305	XP_308312.4, XP_001687892.1, XP_308314.4	XP_029047272.1
OG0001306	XP_318367.5, XP_003436659.1, XP_003436658.1	XP_029045544.1, XP_029045539.1
OG0001307	XP_001237138.3	XP_029042062.1
OG0001308	XP_565909.3	XP_029038996.1
OG0001310	XP_310388.3	XP_029036677.1, XP_029036676.1, XP_029036675.1
OG0001312	XP_317732.2	XP_029034879.1
OG0001314	XP_316418.4	XP_029042388.1, XP_029042387.1
OG0001315	XP_001688741.1, XP_315896.4	XP_029032809.1, XP_029032806.1
OG0001316	XP_308707.4	XP_029054671.1, XP_029054670.1
OG0001317	XP_316638.4	XP_029048401.1
OG0001318	XP_319761.3	XP_029054022.1, XP_029054015.1, XP_029054074.1, XP_029054078.1
OG0001320	XP_320705.4	XP_029048617.1
OG0001322	XP_313611.5, XP_003436787.1	XP_029043835.1, XP_029043833.1, XP_029043832.1
OG0001329	XP_308396.4	XP_029032327.1
OG0001330	XP_320278.2	XP_029042912.1, XP_029042913.1, XP_029042914.1, XP_029042915.1
OG0001331	XP_310307.5, XP_003436600.1	XP_029051541.1, XP_029051540.1, XP_029051867.1, XP_029051868.1
OG0001332	XP_308202.3	XP_029033214.1
OG0001333	XP_312171.3	XP_029044746.1, XP_029044745.1
OG0001334	XP_555006.1, XP_001238801.1	XP_029032222.1
OG0001335	XP_316939.3	XP_029040504.1
OG0001337	XP_313722.3	XP_029038364.1
OG0001338	XP_316877.5	XP_029037588.1
OG0001339	XP_310597.2	XP_029032885.1
OG0001340	XP_551371.1, XP_003435845.1, XP_003435844.1	XP_029050499.1
OG0001341	XP_320076.4	XP_029034457.1
OG0001342	XP_320130.3	XP_029036316.1, XP_029036318.1, XP_029036317.1
OG0001343	XP_308170.4	XP_029039156.1, XP_029043379.1
OG0001344	XP_314163.4	XP_029047967.1, XP_029047966.1
OG0001345	XP_315997.4	XP_029036453.1, XP_029036454.1, XP_029036456.1, XP_029036455.1
OG0001346	XP_322022.5	XP_029034209.1, XP_029034208.1, XP_029034207.1, XP_029034206.1, XP_029034210.1
OG0001347	XP_001687935.1, XP_001687938.1	XP_029040682.1, XP_029040683.1
OG0001348	XP_321887.4	XP_029046770.1
OG0001349	XP_003436725.1, XP_003436724.1, XP_003436723.1	XP_029036960.1, XP_029036961.1
OG0001350	XP_001230796.3	XP_029056373.1
OG0001351	XP_321338.3	XP_029039548.1, XP_029039547.1, XP_029039546.1, XP_029039544.1
OG0001352	XP_003436441.1, XP_553315.4	XP_029039001.1, XP_029039002.1
OG0001353	XP_001238315.2	XP_029037693.1
OG0001354	XP_315356.3	XP_029048678.1
OG0001355	XP_313397.5	XP_029048591.1
OG0001356	XP_315694.1	XP_029050251.1
OG0001357	XP_557821.3	XP_029035295.1
OG0001359	XP_308864.3, XP_003437100.1, XP_003437099.1, XP_311336.3	XP_029050983.1
OG0001361	XP_003436721.1	XP_029033187.1, XP_029033186.1, XP_029033188.1
OG0001362	XP_310355.6	XP_029043889.1, XP_029043891.1
OG0001363	XP_003437112.1, XP_316789.3	XP_029052706.1, XP_029044244.1, XP_029043395.1
OG0001364	XP_310270.2	XP_029042894.1
OG0001365	XP_317619.4	XP_029037460.1, XP_029037461.1
OG0001368	XP_312656.5	XP_029054149.1, XP_029054153.1
OG0001369	XP_308535.4	XP_029047264.1, XP_029047262.1, XP_029047263.1
OG0001370	XP_319250.4	XP_029032157.1, XP_029032156.1
OG0001371	XP_316138.4	XP_029039828.1, XP_029039862.1, XP_029039838.1, XP_029039848.1, XP_029039856.1
OG0001372	XP_316026.3	XP_029036670.1, XP_029036648.1, XP_029036647.1
OG0001373	XP_003437187.1, XP_318273.4	XP_029038583.1
OG0001374	XP_314564.3	XP_029037603.1, XP_029037604.1, XP_029037601.1, XP_029037602.1
OG0001375	XP_316578.4, XP_001237835.2, XP_316574.4	XP_029035918.1, XP_029035922.1
OG0001376	XP_003437121.1	XP_029039213.1
OG0001377	XP_312215.3	XP_029053475.1
OG0001378	XP_320419.3	XP_029055326.1
OG0001379	XP_319268.2	XP_029041466.1
OG0001380	XP_307876.4	XP_029032982.1
OG0001381	XP_316621.3, XP_001688925.1	XP_029040972.1
OG0001382	XP_319318.3	XP_029044693.1
OG0001383	XP_316646.4	XP_029053750.1
OG0001384	XP_320637.3	XP_029052476.1
OG0001385	XP_314364.3	XP_029036528.1
OG0001386	XP_314061.4	XP_029046067.1
OG0001387	XP_319589.4	XP_029036625.1
OG0001388	XP_321258.5, XP_003435949.1	XP_029046509.1
OG0001389	XP_309533.4, XP_001688850.1, XP_316369.3	XP_029037728.1
OG0001390	XP_319294.4	XP_029044964.1
OG0001391	XP_316352.3	XP_029040450.1, XP_029040449.1
OG0001393	XP_316059.4	XP_029044648.1, XP_029044647.1, XP_029044646.1
OG0001394	XP_311608.4	XP_029051159.1
OG0001395	XP_308628.5	XP_029036082.1
OG0001396	XP_319240.5	XP_029034090.1, XP_029034089.1
OG0001397	XP_313548.1, XP_003436890.1	XP_029054221.1, XP_029054097.1
OG0001398	XP_310956.5, XP_003436931.1, XP_003436932.1	XP_029049881.1
OG0001399	XP_001230873.3, XP_313089.4	XP_029037974.1, XP_029037973.1
OG0001400	XP_317549.3, XP_317551.4, XP_317550.3	XP_029049393.1, XP_029051918.1
OG0001401	XP_315885.2	XP_029036921.1, XP_029036920.1
OG0001402	XP_316681.4	XP_029033711.1, XP_029033712.1, XP_029033714.1, XP_029033715.1, XP_029033490.1, XP_029033716.1, XP_029033491.1, XP_029033713.1, XP_029033494.1, XP_029033495.1, XP_029033492.1, XP_029033493.1
OG0001403	XP_003436814.1, XP_313732.5	XP_029036549.1, XP_029036610.1
OG0001404	XP_317751.3	XP_029053391.1
OG0001405	XP_321345.3, XP_321346.4	XP_029049321.1
OG0001406	XP_313862.4	XP_029046680.1, XP_029046677.1, XP_029046679.1
OG0001407	XP_320518.4	XP_029032536.1, XP_029032530.1
OG0001408	XP_003437018.1, XP_565822.3	XP_029048312.1
OG0001409	XP_001688370.2	XP_029052634.1, XP_029052630.1, XP_029052635.1, XP_029052636.1
OG0001410	XP_314486.1	XP_029049351.1
OG0001413	XP_311009.5	XP_029053632.1
OG0001414	XP_317350.4	XP_029050126.1
OG0001415	XP_001688819.1, XP_316253.4	XP_029052257.1, XP_029052234.1
OG0001416	XP_317647.4, XP_555667.3	XP_029050379.1, XP_029055801.1, XP_029050539.1
OG0001417	XP_308151.4	XP_029035459.1
OG0001418	XP_314941.3	XP_029053413.1
OG0001419	XP_001688271.1, XP_310221.4	XP_029046883.1, XP_029046876.1
OG0001420	XP_321838.4, XP_001688621.2	XP_029043708.1
OG0001421	XP_551368.4	XP_029044390.1
OG0001422	XP_315120.4, XP_307270.4, XP_307269.4, XP_315119.4	XP_029035369.1, XP_029035370.1, XP_029035367.1, XP_029035366.1, XP_029035365.1, XP_029035364.1, XP_029035368.1
OG0001423	XP_001687887.1	XP_029048768.1, XP_029048772.1, XP_029048771.1, XP_029048770.1, XP_029048764.1, XP_029048765.1, XP_029048767.1, XP_029048769.1, XP_029048773.1
OG0001424	XP_307921.4	XP_029050173.1, XP_029050174.1
OG0001425	XP_565883.4	XP_029042495.1
OG0001426	XP_319732.4	XP_029044523.1
OG0001427	XP_320403.3	XP_029034274.1, XP_029032743.1
OG0001428	XP_314678.2	XP_029048751.1
OG0001429	XP_317285.4	XP_029053294.1
OG0001430	XP_320982.5	XP_029045969.1
OG0001432	XP_320633.4	XP_029040225.1
OG0001434	XP_307894.5, XP_003436082.1	XP_029055958.1
OG0001436	XP_316604.4, XP_001688913.1, XP_001688912.1	XP_029039039.1
OG0001437	XP_319485.2	XP_029049522.1
OG0001438	XP_311976.5, XP_003436313.1	XP_029033232.1, XP_029033234.1, XP_029033233.1
OG0001439	XP_001688176.1	XP_029050191.1, XP_029050175.1, XP_029050182.1, XP_029050199.1
OG0001440	XP_320189.4	XP_029052701.1, XP_029052700.1
OG0001441	XP_311372.4	XP_029047093.1, XP_029047091.1, XP_029047094.1
OG0001442	XP_307936.4	XP_029046510.1, XP_029046513.1, XP_029046511.1
OG0001443	XP_321956.5	XP_029034117.1, XP_029034119.1, XP_029036181.1
OG0001444	XP_321723.5	XP_029055786.1
OG0001445	XP_312030.5	XP_029048244.1, XP_029048243.1
OG0001446	XP_318394.5, XP_003436668.1, XP_003436666.1, XP_003436667.1	XP_029033512.1, XP_029033509.1, XP_029033507.1, XP_029033552.1
OG0001453	XP_310188.3	XP_029032174.1
OG0001455	XP_314502.4, XP_314504.3	XP_029035016.1
OG0001456	XP_320465.2	XP_029056476.1
OG0001457	XP_311700.3	XP_029054206.1, XP_029054215.1, XP_029054130.1, XP_029054137.1, XP_029054125.1, XP_029054200.1
OG0001458	XP_320742.3	XP_029037398.1
OG0001459	XP_320168.4, XP_308453.3	XP_029055509.1
OG0001460	XP_313156.2	XP_029036249.1
OG0001461	XP_321733.4	XP_029036407.1, XP_029036408.1, XP_029036406.1
OG0001462	XP_003436675.1, XP_318432.4	XP_029038649.1, XP_029038652.1
OG0001463	XP_309942.4	XP_029053110.1
OG0001464	XP_318672.4, XP_321135.5	XP_029040572.1
OG0001465	XP_311607.2	XP_029056629.1, XP_029056628.1
OG0001466	XP_312403.4	XP_029041250.1, XP_029040137.1
OG0001467	XP_554016.3	XP_029032514.1, XP_029032515.1, XP_029032518.1, XP_029032516.1, XP_029032519.1
OG0001468	XP_317127.3	XP_029043109.1, XP_029043110.1
OG0001469	XP_311746.4	XP_029037613.1
OG0001470	XP_001230998.1, XP_001230999.1, XP_316361.2	XP_029038904.1, XP_029038905.1, XP_029038903.1
OG0001471	XP_314721.3	XP_029033027.1
OG0001472	XP_319592.3, XP_316821.4	XP_029037086.1, XP_029038615.1
OG0001473	XP_557363.3	XP_029034238.1, XP_029034236.1, XP_029034237.1, XP_029034234.1, XP_029034235.1
OG0001474	XP_312327.5	XP_029039988.1
OG0001477	XP_557954.2	XP_029040039.1
OG0001478	XP_311138.3	XP_029055557.1
OG0001479	XP_315576.4	XP_029044070.1
OG0001480	XP_551238.2	XP_029047289.1
OG0001481	XP_559127.3	XP_029033413.1, XP_029033411.1
OG0001482	XP_003436902.1	XP_029051009.1, XP_029051010.1
OG0001483	XP_001237195.3	XP_029053716.1
OG0001484	XP_313559.5, XP_003436773.1, XP_551109.3	XP_029037396.1
OG0001485	XP_557938.3	XP_029056153.1
OG0001486	XP_308949.4	XP_029048935.1, XP_029048933.1
OG0001487	XP_314027.4	XP_029040531.1
OG0001488	XP_309709.4	XP_029050400.1, XP_029050396.1, XP_029050399.1
OG0001489	XP_308327.4, XP_001687895.1	XP_029034683.1
OG0001490	XP_311001.5	XP_029042050.1
OG0001492	XP_311683.4	XP_029051008.1
OG0001493	XP_001237650.2, XP_001237649.2	XP_029033513.1
OG0001494	XP_308673.4	XP_029042364.1
OG0001495	XP_001237569.1	XP_029035135.1, XP_029035153.1, XP_029035126.1, XP_029035143.1
OG0001496	XP_308382.3, XP_003437212.1	XP_029054351.1
OG0001497	XP_309507.4	XP_029048447.1, XP_029048445.1, XP_029048444.1
OG0001498	XP_315666.4	XP_029036977.1, XP_029036979.1
OG0001499	XP_562960.3	XP_029040363.1
OG0001500	XP_307953.2	XP_029038777.1
OG0001501	XP_315768.3, XP_556409.3	XP_029055526.1, XP_029055527.1
OG0001502	XP_315785.4	XP_029055525.1
OG0001503	XP_318862.3	XP_029049700.1, XP_029049697.1
OG0001504	XP_316013.4	XP_029052689.1
OG0001505	XP_321148.5	XP_029048731.1
OG0001507	XP_313800.4	XP_029040825.1, XP_029040824.1
OG0001508	XP_310944.5	XP_029033156.1, XP_029033136.1
OG0001509	XP_558145.3	XP_029035096.1, XP_029035094.1
OG0001510	XP_313379.5	XP_029048819.1
OG0001511	XP_315679.3, XP_306983.4, XP_556304.2, XP_001230355.2, XP_315675.3	XP_029055474.1
OG0001512	XP_321940.4, XP_003435777.1	XP_029042216.1, XP_029042235.1
OG0001513	XP_001687829.2	XP_029048889.1
OG0001514	XP_321808.4	XP_029037337.1
OG0001515	XP_316960.4	XP_029055431.1
OG0001517	XP_311715.3, XP_003436478.1, XP_003436479.1	XP_029046635.1
OG0001518	XP_319785.4	XP_029032938.1, XP_029032939.1
OG0001519	XP_564767.3	XP_029048918.1
OG0001520	XP_321797.4	XP_029056592.1
OG0001522	XP_318144.4	XP_029046200.1
OG0001523	XP_313879.4	XP_029036752.1
OG0001524	XP_309210.4	XP_029033727.1
OG0001525	XP_313327.4	XP_029045785.1
OG0001526	XP_558644.3, XP_001230984.2	XP_029039080.1, XP_029039033.1
OG0001527	XP_003436816.1, XP_313742.4	XP_029039352.1
OG0001529	XP_310236.3, XP_307879.4	XP_029046278.1, XP_029046280.1, XP_029046281.1, XP_029046282.1
OG0001530	XP_308434.3	XP_029033999.1, XP_029033997.1, XP_029034001.1, XP_029034000.1, XP_029034003.1, XP_029034002.1
OG0001531	XP_320985.2	XP_029045528.1, XP_029045527.1, XP_029045531.1, XP_029045530.1
OG0001532	XP_318096.4	XP_029047041.1, XP_029047040.1, XP_029047039.1
OG0001533	XP_315707.4	XP_029039196.1
OG0001534	XP_003435886.1, XP_321515.4	XP_029042396.1, XP_029042393.1, XP_029042392.1, XP_029042395.1, XP_029042394.1
OG0001535	XP_318386.5	XP_029041515.1, XP_029041514.1
OG0001536	XP_308789.4, XP_556808.3, XP_001688789.1	XP_029043973.1, XP_029043998.1
OG0001537	XP_320593.4, XP_317447.4	XP_029041748.1
OG0001538	XP_001687839.2	XP_029043474.1, XP_029043706.1
OG0001539	XP_318061.4	XP_029052353.1
OG0001540	XP_315568.3, XP_001688680.1, XP_001688679.1	XP_029038083.1
OG0001541	XP_308645.4	XP_029032292.1, XP_029032291.1
OG0001542	XP_317569.4	XP_029032403.1, XP_029032393.1
OG0001543	XP_003436971.1	XP_029054496.1
OG0001545	XP_318635.3	XP_029037038.1, XP_029037156.1
OG0001546	XP_312041.5	XP_029042168.1
OG0001547	XP_308339.4	XP_029040329.1, XP_029040326.1
OG0001548	XP_001231112.2, XP_001231113.2, XP_001231111.2, XP_001231110.2	XP_029047586.1, XP_029047583.1, XP_029047584.1
OG0001551	XP_001688523.1, XP_314100.4	XP_029055449.1
OG0001552	XP_318541.4	XP_029032099.1, XP_029032096.1
OG0001553	XP_313022.3	XP_029055962.1, XP_029055964.1
OG0001554	XP_001688023.1, XP_001688025.1	XP_029050063.1, XP_029050028.1
OG0001555	XP_320393.4	XP_029036488.1
OG0001556	XP_308925.4	XP_029044980.1
OG0001557	XP_318856.3	XP_029035431.1
OG0001558	XP_310248.7, XP_316659.3	XP_029050297.1
OG0001559	XP_321922.5	XP_029041271.1, XP_029041274.1, XP_029041275.1, XP_029041272.1, XP_029041273.1
OG0001560	XP_307067.3, XP_319478.3, XP_307611.3, XP_319481.3, XP_001238163.1	XP_029041351.1
OG0001561	XP_313778.5	XP_029045928.1, XP_029045929.1
OG0001562	XP_001688616.1, XP_001688617.1	XP_029035187.1
OG0001563	XP_552478.2	XP_029036922.1, XP_029036925.1
OG0001565	XP_308594.4	XP_029052456.1
OG0001567	XP_552509.3	XP_029036870.1, XP_029036871.1, XP_029036873.1
OG0001568	XP_312875.5	XP_029036603.1
OG0001569	XP_308701.2	XP_029039068.1
OG0001570	XP_001237154.2	XP_029042704.1
OG0001571	XP_319421.4	XP_029049963.1
OG0001572	XP_321888.3, XP_003435792.1, XP_003435793.1	XP_029056363.1
OG0001575	XP_317568.3	XP_029047969.1
OG0001576	XP_553723.1	XP_029040570.1
OG0001577	XP_310528.5	XP_029046400.1
OG0001579	XP_316180.4	XP_029040562.1, XP_029040558.1
OG0001580	XP_001231055.3, XP_003437188.1, XP_003437189.1	XP_029047159.1
OG0001581	XP_317108.3	XP_029040501.1
OG0001582	XP_313138.5	XP_029047173.1, XP_029047172.1, XP_029047171.1
OG0001583	XP_563637.3	XP_029036943.1
OG0001584	XP_311327.5	XP_029034029.1, XP_029034034.1
OG0001585	XP_316571.4, XP_001237834.2	XP_029055399.1, XP_029055037.1
OG0001586	XP_312095.5	XP_029034228.1
OG0001587	XP_308295.3	XP_029032253.1
OG0001588	XP_312218.5	XP_029048881.1
OG0001589	XP_308241.3, XP_311195.5	XP_029036502.1, XP_029036500.1
OG0001590	XP_312916.5, XP_003436238.1, XP_001237434.2, XP_312156.3, XP_563375.3, XP_003436237.1, XP_312155.4, XP_309133.5, XP_311060.5, XP_311061.5	XP_029051587.1
OG0001591	XP_317090.2	XP_029038358.1, XP_029038356.1
OG0001592	XP_317552.4	XP_029037953.1
OG0001593	XP_307791.5	XP_029052765.1
OG0001594	XP_003436556.1, XP_001688443.2	XP_029055518.1, XP_029055519.1
OG0001595	XP_001688026.1	XP_029047246.1
OG0001596	XP_313347.3	XP_029051870.1, XP_029051869.1
OG0001598	XP_003436740.1, XP_003436741.1, XP_313104.2	XP_029035514.1
OG0001599	XP_001689120.2	XP_029032089.1, XP_029032088.1, XP_029032090.1
OG0001600	XP_315510.4	XP_029041422.1
OG0001601	XP_309586.5	XP_029051974.1, XP_029051976.1, XP_029051958.1
OG0001602	XP_307192.4, XP_313852.5	XP_029036644.1
OG0001604	XP_314263.5	XP_029044763.1
OG0001605	XP_003437084.1	XP_029039316.1
OG0001606	XP_001689072.1	XP_029048641.1
OG0001607	XP_001689143.1	XP_029042931.1
OG0001608	XP_319419.4	XP_029035490.1
OG0001609	XP_321659.5	XP_029035777.1
OG0001614	XP_560351.3, XP_003436655.1	XP_029035009.1, XP_029034998.1
OG0001615	XP_311852.2, XP_003436358.1, XP_003436357.1	XP_029041015.1, XP_029041014.1
OG0001616	XP_320422.3, XP_309574.1	XP_029048974.1
OG0001617	XP_322024.4	XP_029052247.1
OG0001619	XP_321321.5	XP_029048423.1
OG0001620	XP_319591.2	XP_029049615.1, XP_029049616.1
OG0001623	XP_312663.4	XP_029045853.1
OG0001624	XP_555021.3	XP_029033140.1
OG0001625	XP_315994.4	XP_029046814.1
OG0001626	XP_309502.3, XP_564374.3	XP_029039632.1, XP_029039631.1
OG0001627	XP_320536.3	XP_029052083.1
OG0001628	XP_311731.4	XP_029035837.1
OG0001629	XP_314557.3	XP_029038883.1
OG0001630	XP_001688837.1, XP_001688836.1, XP_001688838.1, XP_316326.4	XP_029045678.1
OG0001631	XP_310839.5	XP_029042683.1, XP_029042681.1
OG0001633	XP_314323.3	XP_029050350.1
OG0001636	XP_003437190.1, XP_315309.4, XP_003437193.1, XP_003437194.1, XP_001688627.1, XP_001688628.1, XP_003437192.1, XP_003437191.1	XP_029041561.1, XP_029041550.1, XP_029041560.1
OG0001637	XP_316947.3	XP_029049035.1, XP_029049034.1, XP_029049033.1, XP_029049032.1, XP_029049031.1
OG0001638	XP_320601.4	XP_029046644.1, XP_029033173.1
OG0001639	XP_311186.5	XP_029041904.1
OG0001640	XP_554103.3	XP_029043527.1, XP_029044243.1
OG0001641	XP_320141.4, XP_311577.4, XP_320549.4	XP_029043918.1
OG0001642	XP_320480.3	XP_029041523.1, XP_029041521.1, XP_029041520.1, XP_029041522.1
OG0001644	XP_322002.5, XP_321919.5	XP_029044240.1
OG0001645	XP_320998.5	XP_029044315.1, XP_029044314.1
OG0001646	XP_319692.3	XP_029033719.1
OG0001647	XP_310671.5	XP_029045431.1
OG0001648	XP_310884.2	XP_029050942.1, XP_029050943.1, XP_029050944.1
OG0001649	XP_315051.4	XP_029041370.1, XP_029041369.1, XP_029041368.1
OG0001650	XP_557360.3	XP_029037514.1, XP_029037512.1, XP_029037513.1
OG0001651	XP_003437027.1	XP_029048948.1
OG0001652	XP_322051.4, XP_003435750.1, XP_003435751.1	XP_029041293.1
OG0001653	XP_320653.4	XP_029044672.1, XP_029044670.1, XP_029044669.1, XP_029044671.1
OG0001654	XP_316322.4	XP_029041762.1, XP_029041760.1, XP_029041761.1, XP_029041758.1, XP_029041759.1, XP_029041763.1
OG0001655	XP_317107.3	XP_029055475.1
OG0001656	XP_320117.3	XP_029031948.1, XP_029031949.1
OG0001657	XP_309717.4	XP_029035294.1, XP_029035293.1
OG0001658	XP_314661.3	XP_029033443.1
OG0001659	XP_562889.4	XP_029036804.1
OG0001660	XP_001230361.2, XP_309701.3	XP_029050401.1
OG0001662	XP_001688561.1, XP_314339.4	XP_029045835.1, XP_029045838.1
OG0001663	XP_312168.5	XP_029039881.1, XP_029039882.1, XP_029039883.1
OG0001664	XP_321343.4	XP_029045726.1, XP_029045718.1
OG0001665	XP_003436860.1, XP_003436866.1, XP_003436867.1, XP_003436863.1, XP_003436864.1, XP_003436865.1, XP_003436861.1, XP_315232.3	XP_029038507.1
OG0001666	XP_001687855.1	XP_029035783.1
OG0001669	XP_318809.4	XP_029035840.1
OG0001670	XP_310718.5	XP_029032431.1, XP_029032438.1
OG0001671	XP_001689406.1	XP_029051433.1, XP_029051434.1
OG0001672	XP_318539.2	XP_029038878.1
OG0001673	XP_317141.3	XP_029038017.1, XP_029038016.1, XP_029038015.1, XP_029038018.1
OG0001674	XP_317052.4	XP_029050257.1
OG0001675	XP_316722.3, XP_001688955.1, XP_001688954.1	XP_029043446.1
OG0001676	XP_563676.2	XP_029055465.1
OG0001677	XP_311928.3	XP_029041707.1, XP_029041799.1
OG0001678	XP_313618.5	XP_029047469.1, XP_029047470.1
OG0001679	XP_311576.3	XP_029048832.1, XP_029048831.1, XP_029048833.1
OG0001680	XP_318947.2	XP_029033268.1, XP_029033269.1
OG0001681	XP_024667092.1	XP_029036098.1
OG0001682	XP_001688188.1, XP_309431.3	XP_029052026.1
OG0001684	XP_307591.4, XP_313010.5	XP_029049999.1
OG0001685	XP_308495.3	XP_029037041.1
OG0001686	XP_313332.4	XP_029049380.1
OG0001687	XP_319096.3	XP_029044510.1
OG0001688	XP_308980.4, XP_001688145.1	XP_029039157.1
OG0001689	XP_553178.3	XP_029043772.1, XP_029043780.1
OG0001690	XP_310193.4	XP_029043541.1
OG0001691	XP_001687982.1, XP_001237100.1, XP_308551.2	XP_029041172.1, XP_029041171.1
OG0001692	XP_001238579.1	XP_029042328.1
OG0001693	XP_309509.4	XP_029041290.1
OG0001694	XP_317241.4	XP_029047193.1, XP_029047192.1
OG0001695	XP_311525.1, XP_311053.3	XP_029036779.1
OG0001696	XP_310413.7	XP_029040418.1, XP_029040409.1
OG0001697	XP_003437059.1, XP_311206.3	XP_029045797.1
OG0001699	XP_322003.5	XP_029041247.1
OG0001700	XP_312660.5	XP_029056367.1
OG0001701	XP_317858.4	XP_029047529.1, XP_029047525.1
OG0001702	XP_312777.5, XP_003436390.1	XP_029048394.1, XP_029048396.1, XP_029048395.1, XP_029048397.1
OG0001703	XP_003436874.1, XP_003436875.1, XP_315198.5	XP_029053026.1, XP_029053028.1
OG0001704	XP_308365.4, XP_001687908.1	XP_029056076.1, XP_029056079.1, XP_029056077.1
OG0001706	XP_320092.4	XP_029043578.1, XP_029043574.1, XP_029043575.1, XP_029043573.1, XP_029043577.1
OG0001707	XP_311912.3	XP_029040459.1
OG0001708	XP_309293.4	XP_029041028.1
OG0001709	XP_001230626.3, XP_003436693.1	XP_029050200.1, XP_029050209.1
OG0001711	XP_317208.4	XP_029042921.1
OG0001712	XP_320207.4	XP_029035719.1, XP_029035720.1
OG0001713	XP_318067.4	XP_029048048.1, XP_029048047.1, XP_029048046.1
OG0001714	XP_307259.4	XP_029050791.1
OG0001715	XP_318881.4	XP_029033877.1
OG0001716	XP_003435836.1, XP_551386.4, XP_003435835.1, XP_003435838.1, XP_003435837.1	XP_029040492.1
OG0001717	XP_321495.3	XP_029033708.1, XP_029033699.1, XP_029033691.1
OG0001718	XP_556198.1, XP_315559.4	XP_029051687.1
OG0001719	XP_310666.5, XP_003436992.1	XP_029037938.1, XP_029037939.1
OG0001720	XP_309530.2	XP_029046381.1, XP_029046380.1, XP_029046379.1
OG0001721	XP_308175.3	XP_029039289.1, XP_029039323.1
OG0001722	XP_003435814.1, XP_321755.3	XP_029048706.1, XP_029048702.1, XP_029048703.1, XP_029048704.1, XP_029048705.1, XP_029048707.1
OG0001723	XP_319532.3, XP_321724.3, XP_003435819.1, XP_001231183.1, XP_319537.3	XP_029039495.1
OG0001724	XP_315996.3	XP_029036442.1, XP_029036443.1
OG0001725	XP_312990.5	XP_029045224.1
OG0001726	XP_310802.4, XP_003436968.1, XP_003436967.1	XP_029041968.1
OG0001727	XP_318889.3	XP_029044570.1
OG0001728	XP_555522.3	XP_029046665.1, XP_029046657.1
OG0001729	XP_001688020.1, XP_001237109.2, XP_565017.3, XP_001688022.1	XP_029050566.1
OG0001730	XP_321872.5	XP_029035550.1
OG0001731	XP_320608.2	XP_029048092.1
OG0001732	XP_316858.4	XP_029043901.1
OG0001733	XP_555086.4, XP_317088.3	XP_029040692.1
OG0001734	XP_316946.4	XP_029041078.1, XP_029041085.1, XP_029041093.1, XP_029041102.1
OG0001735	XP_321102.4, XP_310440.5	XP_029034196.1, XP_029034197.1
OG0001736	XP_317071.4, XP_317075.4	XP_029049568.1
OG0001737	XP_003437186.1	XP_029047424.1, XP_029047422.1, XP_029047423.1
OG0001738	XP_317066.4, XP_001689128.1	XP_029034270.1
OG0001739	XP_315836.2	XP_029047535.1
OG0001740	XP_309567.4	XP_029045700.1, XP_029045692.1
OG0001742	XP_321539.2, XP_321540.2	XP_029056342.1
OG0001743	XP_310826.2	XP_029049959.1, XP_029049960.1, XP_029049958.1
OG0001744	XP_310145.3, XP_310146.3	XP_029034818.1, XP_029034819.1
OG0001745	XP_312589.3	XP_029049388.1, XP_029049386.1
OG0001746	XP_320924.5	XP_029045290.1
OG0001747	XP_551639.3	XP_029044869.1, XP_029044868.1, XP_029044870.1
OG0001748	XP_310266.7	XP_029032073.1, XP_029032064.1
OG0001749	XP_319450.4	XP_029040788.1, XP_029040793.1
OG0001750	XP_312178.3	XP_029044823.1, XP_029044825.1
OG0001751	XP_554779.3	XP_029056586.1, XP_029056587.1
OG0001752	XP_309607.4, XP_316957.4, XP_317360.4	XP_029039201.1
OG0001753	XP_312783.5	XP_029050541.1
OG0001754	XP_001688280.2	XP_029040725.1, XP_029045989.1
OG0001755	XP_318553.4, XP_318543.4	XP_029052414.1, XP_029052415.1
OG0001756	XP_311210.4	XP_029035240.1
OG0001757	XP_320893.4, XP_001237083.2	XP_029036070.1
OG0001758	XP_313840.4	XP_029042180.1, XP_029042177.1, XP_029042178.1, XP_029042179.1
OG0001759	XP_308109.5	XP_029032105.1
OG0001760	XP_310291.7	XP_029048484.1
OG0001762	XP_556818.3	XP_029040564.1
OG0001763	XP_565619.1	XP_029053396.1
OG0001764	XP_321236.5	XP_029046456.1
