Orthogroup	Anopheles_gambiae	Nasonia_vitripennis
OG0001079	XP_320339.4	XP_008211650.1, XP_016840479.1, XP_008211646.1, XP_008211647.1, XP_016840480.1
OG0001081	XP_308790.4	XP_001607983.2, XP_031788174.2
OG0001082	XP_315574.3, XP_001237683.2	XP_008214725.1
OG0001083	XP_314359.3, XP_001688566.1	XP_031788178.1, XP_032457083.1, XP_031788180.1, XP_008215778.1, XP_008215779.1, XP_016842828.1, XP_031788177.1, XP_031788179.1
OG0001084	XP_556553.2	XP_016838352.1, XP_003425934.1
OG0001085	XP_317314.3	XP_031784469.1, XP_008211614.1, XP_032455784.1, XP_032455786.1, XP_032455785.1, XP_031784470.1, XP_031784471.1, XP_001606977.1
OG0001086	XP_001689067.1, XP_001238005.1, XP_317929.3	XP_032453207.1, XP_001605628.1, XP_008204328.1, XP_008204329.1
OG0001090	XP_315009.3	XP_032457605.1, XP_032457606.1, XP_001600472.1, XP_032457607.1
OG0001091	XP_003436096.1, XP_312603.5, XP_319738.2	XP_031785408.1, XP_016840416.1
OG0001092	XP_003436030.1, XP_320944.5, XP_003436029.1, XP_003436028.1	XP_001605819.1
OG0001093	XP_319293.4	XP_003427218.4, XP_031779285.1
OG0001094	XP_307411.2, XP_003436009.1, XP_003436008.1, XP_321028.5	XP_031782503.1, XP_008213609.1
OG0001095	XP_314827.2	XP_032457727.1, XP_032455535.1, NP_001135430.1
OG0001097	XP_317307.4	XP_003424766.1
OG0001098	XP_321240.5	XP_031789531.1, XP_001603423.1, XP_016842518.1, XP_016842523.1
OG0001099	XP_310965.5	XP_031787397.1
OG0001100	XP_314568.3	XP_031783420.1
OG0001101	XP_001688400.2, XP_312658.5	XP_001600262.1
OG0001102	XP_311181.2, XP_312618.2	XP_032457645.1, XP_001602465.1
OG0001103	XP_553744.3	XP_001607402.1
OG0001104	XP_308660.3	XP_016840630.1
OG0001105	XP_310975.1, XP_566239.1, XP_319078.2	NP_001165930.1
OG0001106	XP_320183.2	NP_001165789.1
OG0001107	XP_314706.4	XP_016842156.1
OG0001108	XP_311208.4	XP_032457359.1, XP_031778262.1
OG0001109	XP_321850.3	XP_001606469.2
OG0001110	XP_560496.3, XP_320439.4	XP_031788465.1
OG0001111	XP_321349.4	XP_016839633.1
OG0001112	XP_318149.4	XP_031778614.1
OG0001113	XP_307774.3	XP_031786692.1
OG0001115	XP_320996.5	XP_001606127.2
OG0001116	XP_310850.4	XP_001607643.1
OG0001117	XP_312919.4	XP_008217800.1, XP_001605901.2
OG0001118	XP_322006.1	XP_031782585.1, XP_032453978.1, XP_008203783.1
OG0001119	XP_003437115.1, XP_316802.5	XP_003425014.1, XP_001602619.1, XP_016843971.1
OG0001120	XP_318732.4	XP_001604234.2
OG0001121	XP_320248.4	XP_031782800.1, XP_031782801.1, XP_031782799.1
OG0001122	XP_320362.4	XP_008209601.1
OG0001123	XP_313330.5	XP_003424977.1
OG0001124	XP_312370.5	XP_031788510.1
OG0001126	XP_312385.5	XP_003424309.3
OG0001127	XP_003437008.1	XP_031779496.1, XP_031779495.1
OG0001128	XP_313287.4	XP_031784571.1, XP_003426947.1, XP_008208751.1
OG0001128	XP_315365.3, XP_001688644.1	XP_031781216.1
OG0001129	XP_308038.5, XP_003436041.1, XP_308996.3	XP_008206205.1, XP_008206206.1
OG0001130	XP_318345.4	XP_008214357.1
OG0001132	XP_320484.2	XP_008205312.1, XP_032453720.1
OG0001133	XP_311448.4, XP_003436891.1, XP_554228.4, XP_311449.4	XP_008203489.1
OG0001134	XP_319097.3	XP_008211472.1
OG0001135	XP_308076.3, XP_311350.2	XP_008212599.2
OG0001137	XP_024667094.1, XP_306688.4, XP_319223.4	XP_008208627.1, XP_032452285.1, XP_032452284.1, XP_008208620.1
OG0001138	XP_320011.4	XP_008211425.1, XP_031784853.1
OG0001139	XP_307945.5	XP_032455231.1, XP_016845441.1, XP_001605918.1
OG0001140	XP_317273.3	XP_001604284.1
OG0001141	XP_318646.4	NP_001234899.1, XP_008209307.1
OG0001142	XP_311392.4	XP_001599805.2, XP_008213880.1, XP_008213879.1, XP_008213881.1
OG0001143	XP_557018.3	XP_008214909.1
OG0001144	XP_307534.2, XP_313797.5	XP_001606352.1, XP_031787271.1
OG0001145	XP_308148.3	XP_016840554.1
OG0001146	XP_308872.2	XP_001603986.1, XP_001604010.1
OG0001147	XP_310582.2	XP_016839832.1
OG0001148	XP_314234.2	XP_008206679.1
OG0001149	XP_308972.4	XP_003426568.1
OG0001150	XP_315411.4	XP_008205817.1, XP_001600445.1
OG0001151	XP_312460.5	XP_003427238.1, XP_001606424.1
OG0001152	XP_310362.7	XP_031784874.1
OG0001153	XP_553211.3	XP_031783844.1, XP_031783841.1
OG0001154	XP_311713.5, XP_003436477.1	XP_008206054.1, XP_032456325.1
OG0001155	XP_310967.5	XP_008213582.1, XP_008213583.1, XP_008213584.1, XP_001606200.2
OG0001156	XP_003436005.1, XP_321037.5	XP_016841496.1
OG0001157	XP_311092.3	XP_032453390.1, XP_032453389.1, XP_008204796.2, XP_031780242.1, XP_031780240.1
OG0001158	XP_315369.4	XP_003423881.1
OG0001159	XP_552266.3	XP_008204614.1, XP_008204613.1, XP_008204612.1, XP_008204616.1, XP_008204615.1
OG0001160	XP_553588.1	XP_031783145.1
OG0001161	XP_312237.4	XP_016842404.1
OG0001161	XP_321654.3	XP_016842367.1
OG0001165	XP_321402.5, XP_003435904.1	XP_031785004.1, XP_031785017.1, XP_032455050.1
OG0001166	XP_003437030.1, XP_310514.3, XP_001237264.1	XP_008202132.3, XP_016842558.1
OG0001167	XP_316568.4	XP_001599700.1, XP_032453011.1
OG0001169	XP_317457.4	XP_016837166.1
OG0001171	XP_310580.4, XP_003437016.1	XP_008207798.1, XP_008207791.1
OG0001172	XP_321331.5, XP_003435918.1	XP_016837981.1, XP_016837977.1
OG0001173	XP_003436462.1	XP_008213758.1, XP_008214128.1, XP_031785628.1, XP_008208564.1, XP_031782630.1, XP_032453793.1, XP_008208561.1, XP_008208563.1, XP_008208562.1
OG0001174	XP_313500.1	XP_003427068.2
OG0001175	XP_316052.4	XP_032451865.1
OG0001176	XP_309066.4	XP_001606359.1, XP_008213597.1, XP_003424237.1, XP_008213598.1, XP_008213599.1, XP_032454441.1
OG0001177	XP_001231024.2	XP_008203401.1, XP_008214957.2
OG0001178	XP_320745.4	NP_001154998.1, XP_008203713.1
OG0001179	XP_318508.4	XP_016844755.1
OG0001180	XP_312107.4, XP_003436250.1	XP_031780373.1, XP_031780359.1, XP_031780372.1
OG0001181	XP_310584.5	XP_003426398.1
OG0001182	XP_320209.4	XP_031788317.1, XP_031788315.1
OG0001183	XP_001237762.2	XP_031781172.1, XP_031781176.1
OG0001184	XP_003436481.1, XP_558879.4, XP_003436480.1	XP_008206018.1, XP_008206017.1
OG0001186	XP_001237242.1	XP_031778274.1
OG0001187	XP_001230352.1, XP_321322.5	XP_031789618.1, NP_001177861.1, XP_032455508.1
OG0001189	XP_556172.2	XP_031778557.1
OG0001190	XP_314805.4	XP_031787754.1
OG0001193	XP_320433.1	XP_032453254.1, XP_031780138.1
OG0001195	XP_319946.4	XP_031780477.1
OG0001198	XP_317373.3	XP_001603648.2
OG0001199	XP_315370.3, XP_001688648.1	XP_016845582.1, XP_001603603.1, XP_008210843.1, XP_008210844.1, XP_031783743.1
OG0001201	XP_314343.4	XP_031779859.1, XP_031777353.1
OG0001202	XP_320320.4, XP_320321.3	XP_001605991.1
OG0001203	XP_308917.3, XP_313576.4	XP_031786379.1, XP_031786388.1, XP_031778235.1
OG0001204	XP_556259.3	XP_016845347.1
OG0001205	XP_310915.3	XP_016845249.1, XP_001608005.2
OG0001207	XP_320895.4, XP_320898.4	XP_001600298.1, XP_032451746.1, XP_016845612.1
OG0001214	XP_003437198.1, XP_003437199.1, XP_003437197.1, XP_318298.5, XP_003437202.1, XP_003437203.1, XP_003437201.1, XP_003437200.1	XP_031788610.1, NP_001153354.1
OG0001215	XP_315584.3	XP_001606085.1
OG0001216	XP_319631.4	XP_008212669.1, XP_008212668.1, XP_001607154.1, XP_003424094.1
OG0001217	XP_001237272.3	XP_008208960.1, XP_008208961.1, XP_032457629.1, XP_008208957.1
OG0001218	XP_311542.4	XP_031780901.1, XP_031780894.1
OG0001219	XP_321594.5	XP_001600086.1, XP_016839466.1
OG0001220	XP_317914.3, XP_320417.3	XP_032451978.1
OG0001221	XP_313849.2	XP_001606905.1, XP_001602519.1
OG0001222	XP_321456.5, XP_003435893.1	XP_003424722.1
OG0001223	XP_311768.3	XP_031783617.1
OG0001224	XP_315115.4	XP_031783437.1, XP_001606683.2
OG0001226	XP_557147.3	XP_003423948.1
OG0001227	XP_308208.3, XP_308302.4	XP_001601650.2
OG0001228	XP_308185.4	XP_008206068.1, XP_016841318.1, XP_031786999.1
OG0001229	XP_321154.5, XP_561425.4	NP_001153391.1, XP_031787432.1
OG0001230	XP_306740.3, XP_555129.1	XP_031779835.1
OG0001231	XP_316842.5	XP_003424718.1
OG0001232	XP_317470.4	XP_008201738.1
OG0001233	XP_564861.2, XP_309343.4	XP_016841983.1
OG0001234	XP_318427.5	XP_031789576.1, XP_016838011.1, XP_008215436.1, XP_008215437.1, XP_001606923.2
OG0001236	XP_308646.4	XP_008214895.1, XP_032455166.1, XP_032455167.1, XP_008214894.1
OG0001237	XP_316118.4, XP_001688780.1, XP_001688779.1	XP_008203577.1
OG0001238	XP_311357.4	XP_016839677.1, XP_031778698.1
OG0001239	XP_307938.5	XP_031783524.1
OG0001240	XP_318582.3	XP_032452317.1
OG0001241	XP_320914.4	XP_008202652.1
OG0001242	XP_308221.4	XP_031782443.1
OG0001244	XP_001689367.1	XP_001598989.2
OG0001245	XP_321648.3	XP_031778442.1, XP_016844253.1, XP_016844252.1
OG0001246	XP_310077.4	XP_001603526.2
OG0001247	XP_321174.5	XP_031786079.1
OG0001248	XP_310021.4	XP_003426352.2
OG0001249	XP_320124.6, XP_312729.4	XP_001606387.1
OG0001250	XP_003436645.1, XP_308104.5	XP_008203591.2
OG0001251	XP_310489.5, XP_001688288.2	XP_031783143.1, XP_016839272.1
OG0001253	XP_308343.4	XP_032454163.1, XP_001604499.2
OG0001254	XP_320968.4	XP_001601661.3, XP_016837527.1
OG0001255	XP_564170.3	XP_031786642.1, XP_016845322.1, XP_031786647.1, XP_031786649.1, XP_031786645.1, XP_031786646.1, XP_031786644.1, XP_031786643.1
OG0001256	XP_560153.3, XP_003437143.1	XP_008216603.1, XP_001607669.1
OG0001257	XP_562833.3, XP_003436381.1, XP_562831.2, XP_003436380.1	XP_001605171.1
OG0001258	XP_310177.3	XP_031785068.1
OG0001259	XP_311427.4	XP_008210873.2
OG0001260	XP_308216.2	XP_031784155.1
OG0001261	XP_320145.3	XP_003426500.1
OG0001262	XP_312902.5, XP_001237504.2	XP_003427006.1
OG0001263	XP_318757.4	XP_032455387.1, XP_031785199.1, XP_031785198.1, XP_031785197.1, XP_031785196.1
OG0001264	XP_317955.4	XP_008210590.1, XP_032455062.1, XP_031785022.1, XP_001604690.1, XP_008210588.1, XP_008210589.1
OG0001265	XP_559898.3	XP_001603835.2
OG0001267	XP_314507.4	XP_016838148.1
OG0001267	XP_317303.4	XP_016838147.1
OG0001268	XP_310216.4, XP_310215.4	XP_008204079.1
OG0001269	XP_309316.4	XP_008212176.1, XP_008212177.1
OG0001270	XP_307773.4	XP_001607738.1, XP_003423835.1
OG0001271	XP_312449.4	XP_016839228.2, XP_001603100.3, XP_032453914.1
OG0001272	XP_316157.2	NP_001128394.1
OG0001273	XP_310979.5	XP_031779768.1
OG0001274	XP_312084.5	XP_032455581.1, XP_008211194.1
OG0001277	XP_552532.3	XP_032452715.1, XP_031778793.1, XP_016838376.1
OG0001278	XP_321063.5	XP_001607447.1
OG0001279	XP_311100.5	XP_031784720.1
OG0001280	XP_319604.4	XP_001603582.2, XP_008216915.1
OG0001281	XP_001237136.2, XP_003435739.1	XP_008215096.2
OG0001282	XP_001688070.1	XP_031778437.1
OG0001283	XP_313998.3	XP_031788385.1, XP_031788374.1
OG0001284	XP_001689151.1, XP_001689162.1	XP_031779643.1
OG0001286	XP_318853.2	XP_001602489.1
OG0001287	XP_551001.4	XP_016845176.2
OG0001288	XP_310977.5	XP_001600075.1
OG0001289	XP_003437137.1, XP_309110.3	XP_001603940.1, XP_008202665.1, XP_008202664.1
OG0001290	XP_311436.4	XP_001605003.2
OG0001291	XP_313145.5	XP_016845465.1
OG0001292	XP_308278.3	XP_016844342.1
OG0001293	XP_311898.4	XP_001605773.2
OG0001294	XP_321341.3	XP_031784398.1, NP_001177860.1
OG0001295	XP_314005.4, XP_001688503.1, XP_001688504.1	XP_031785480.1
OG0001296	XP_564508.3, XP_001687851.1, XP_001687850.1	XP_031780598.1
OG0001298	XP_308149.4	XP_001603521.1
OG0001300	XP_314929.3	XP_001605636.1, XP_008203410.1, XP_008203409.1, XP_008203412.1, XP_032453849.1, XP_032453850.1, XP_001601102.1
OG0001301	XP_310852.4	XP_001602613.1
OG0001302	XP_310129.4	XP_032455800.1, XP_016840440.1
OG0001303	XP_320455.4	XP_031782037.1, XP_031782039.1
OG0001304	XP_001237568.1	XP_032452034.1, XP_001602365.1
OG0001305	XP_308312.4, XP_001687892.1, XP_308314.4	XP_031789469.1
OG0001306	XP_318367.5, XP_003436659.1, XP_003436658.1	XP_031786527.1, XP_031786524.1
OG0001307	XP_001237138.3	XP_016838472.1, XP_016838468.1
OG0001308	XP_565909.3	XP_031780394.1, XP_016837698.1, XP_008204950.1, XP_016837697.1, XP_031780395.1
OG0001310	XP_310388.3	XP_016841187.1
OG0001312	XP_317732.2	XP_001604271.1
OG0001313	XP_309300.4	XP_003426393.1
OG0001314	XP_316418.4	XP_031783093.1, XP_016839081.1
OG0001315	XP_001688741.1, XP_315896.4	XP_008216865.1, XP_032456015.1
OG0001316	XP_308707.4	XP_008206800.1
OG0001317	XP_316638.4	XP_001604048.2
OG0001318	XP_319761.3	XP_031784182.1
OG0001320	XP_320705.4	XP_016845887.1, XP_008214189.1, XP_001599838.1
OG0001322	XP_313611.5, XP_003436787.1	XP_001606712.2, XP_031784354.1
OG0001328	XP_321026.4	NP_001127781.1, XP_008201861.1
OG0001329	XP_308396.4	XP_001602942.2
OG0001330	XP_320278.2	XP_031784594.1, XP_016840913.1
OG0001331	XP_310307.5, XP_003436600.1	XP_001604681.1, XP_032453951.1
OG0001332	XP_308202.3	XP_003423932.1, XP_016845208.1, XP_003423931.1, XP_001606872.1, XP_001606020.2
OG0001333	XP_312171.3	XP_031786693.1
OG0001334	XP_555006.1, XP_001238801.1	XP_031788371.2
OG0001335	XP_316939.3	XP_032455686.1
OG0001336	XP_317297.3	XP_003427230.3
OG0001336	XP_310039.4	XP_003427227.1, XP_003427226.1, XP_032454792.1
OG0001337	XP_313722.3	XP_001605469.1, XP_032452044.1, XP_031777787.1, XP_031777786.1, XP_032452043.1, XP_008216360.1
OG0001338	XP_316877.5	XP_031781497.1
OG0001339	XP_310597.2	XP_016838241.1
OG0001340	XP_551371.1, XP_003435845.1, XP_003435844.1	XP_008217856.1, XP_008217855.1
OG0001341	XP_320076.4	XP_031780250.1, XP_016838627.1, XP_001607285.1, XP_003425180.1
OG0001342	XP_320130.3	XP_003425750.1, XP_008203939.1, XP_008203938.1, XP_016838980.1
OG0001343	XP_308170.4	XP_001601945.2
OG0001344	XP_314163.4	XP_001607984.1, XP_008207578.1, XP_016841395.1, XP_008207579.1, XP_008207583.1, XP_032456891.1
OG0001345	XP_315997.4	XP_031779614.1, XP_031779613.1, XP_031779615.1
OG0001346	XP_322022.5	XP_031784481.1, XP_008210966.1, XP_016845924.1
OG0001347	XP_001687935.1, XP_001687938.1	XP_001604698.1, XP_008216502.1, XP_008216503.1
OG0001348	XP_321887.4	XP_001606863.2
OG0001349	XP_003436725.1, XP_003436724.1, XP_003436723.1	XP_001602614.1, XP_032455495.1
OG0001350	XP_001230796.3	XP_001605715.1
OG0001352	XP_003436441.1, XP_553315.4	XP_032451869.1
OG0001353	XP_001238315.2	XP_016844059.1
OG0001355	XP_313397.5	XP_008216928.1, XP_016844928.1, XP_032455994.1, XP_032455995.1
OG0001356	XP_315694.1	XP_031778484.1
OG0001359	XP_308864.3, XP_003437100.1, XP_003437099.1, XP_311336.3	XP_008202436.1, NP_001161242.1, XP_008213830.1
OG0001361	XP_003436721.1	XP_008207741.1, XP_031781504.1
OG0001362	XP_310355.6	XP_008212411.1, XP_031778926.1
OG0001363	XP_003437112.1, XP_316789.3	XP_001603876.1
OG0001364	XP_310270.2	XP_031784670.1, XP_031782456.1, XP_016838632.1, XP_008204291.1
OG0001365	XP_317619.4	XP_031783221.1, XP_008205206.1, XP_031783220.1
OG0001366	XP_308172.4	XP_031785741.1
OG0001367	XP_318458.3, XP_314722.4, XP_314725.4, XP_314724.4	XP_001607620.2, XP_032452776.1, XP_032452777.1, XP_032452775.1
OG0001368	XP_312656.5	XP_016843234.1, XP_032456342.1
OG0001369	XP_308535.4	XP_001603580.1, XP_001604815.1
OG0001370	XP_319250.4	XP_031782058.1, XP_016839949.2, XP_016839948.2, XP_031782054.1, XP_031782055.1, XP_031782056.1, XP_031782057.1
OG0001371	XP_316138.4	XP_008206388.1, XP_008206386.1, XP_008206387.1, XP_032454229.1
OG0001372	XP_316026.3	XP_008215222.1
OG0001373	XP_003437187.1, XP_318273.4	XP_032455323.1, XP_008211543.1
OG0001374	XP_314564.3	XP_016839749.1, XP_001601730.2
OG0001375	XP_316578.4, XP_001237835.2, XP_316574.4	XP_031781862.1
OG0001376	XP_003437121.1	XP_001604095.1
OG0001377	XP_312215.3	XP_001602249.2
OG0001378	XP_320419.3	XP_031779623.1
OG0001379	XP_319268.2	XP_008215244.1
OG0001380	XP_307876.4	XP_001600076.1
OG0001381	XP_316621.3, XP_001688925.1	XP_016840301.1, NP_001123273.1, XP_031777621.1
OG0001382	XP_319318.3	XP_031778337.1, NP_001136324.1, XP_001607300.1
OG0001383	XP_316646.4	XP_031778494.1
OG0001384	XP_320637.3	XP_008203379.1, XP_031783653.1
OG0001385	XP_314364.3	XP_016843471.1
OG0001386	XP_314061.4	XP_031785711.1
OG0001387	XP_319589.4	XP_001600628.1
OG0001388	XP_321258.5, XP_003435949.1	XP_016839954.1
OG0001389	XP_309533.4, XP_001688850.1, XP_316369.3	XP_016838503.1, XP_016838497.1
OG0001390	XP_319294.4	XP_008216297.1, XP_032453396.1, XP_008216298.1, XP_031780589.1
OG0001391	XP_316352.3	XP_031780571.1, XP_001603996.1
OG0001393	XP_316059.4	XP_008215399.2, XP_008215395.1
OG0001394	XP_311608.4	XP_001605729.1
OG0001395	XP_308628.5	XP_016839204.1
OG0001396	XP_319240.5	XP_008202634.1
OG0001397	XP_313548.1, XP_003436890.1	XP_016844742.2
OG0001398	XP_310956.5, XP_003436931.1, XP_003436932.1	XP_008209743.1
OG0001399	XP_001230873.3, XP_313089.4	XP_031789445.1
OG0001401	XP_315885.2	XP_001608147.1, XP_031788358.1
OG0001402	XP_316681.4	XP_001601941.1
OG0001403	XP_003436814.1, XP_313732.5	XP_016843505.1
OG0001404	XP_317751.3	XP_003428151.1
OG0001405	XP_321345.3, XP_321346.4	XP_001602174.1
OG0001406	XP_313862.4	XP_001602260.2
OG0001407	XP_320518.4	XP_031780689.1
OG0001408	XP_003437018.1, XP_565822.3	NP_001229367.1
OG0001409	XP_001688370.2	XP_008216652.1
OG0001410	XP_314486.1	XP_016845424.1
OG0001413	XP_311009.5	XP_003425582.1
OG0001414	XP_317350.4	XP_001603315.1
OG0001415	XP_001688819.1, XP_316253.4	XP_016845728.1
OG0001416	XP_317647.4, XP_555667.3	XP_032453422.1, XP_031780074.1
OG0001417	XP_308151.4	XP_001603474.2
OG0001418	XP_314941.3	XP_008205143.1
OG0001419	XP_559774.3, XP_001688271.1, XP_310221.4	XP_031780519.1
OG0001420	XP_321838.4, XP_001688621.2	XP_016844953.1, XP_008217077.1, XP_008217075.1, XP_008217076.1, XP_008217074.1, XP_001605946.3
OG0001421	XP_551368.4	XP_031781761.1
OG0001422	XP_315120.4, XP_307270.4, XP_307269.4, XP_315119.4	XP_031782188.1
OG0001423	XP_001687887.1	XP_001604317.2, XP_032454830.1
OG0001424	XP_307921.4	XP_001600263.1, XP_032452738.1, XP_031779228.1
OG0001425	XP_565883.4	XP_008207268.1, XP_008207272.1, XP_001607404.2, XP_032456387.1, XP_003426697.1, XP_003426696.1
OG0001426	XP_319732.4	XP_008211483.1, XP_008211480.1
OG0001427	XP_320403.3	XP_031777486.1, XP_032457329.1, XP_031777482.1, XP_031777485.1, XP_031777484.1, XP_032457328.1, XP_032457331.1, XP_032457330.1, XP_032457333.1, XP_032457332.1, XP_032457335.1, XP_031777487.1, XP_032457334.1
OG0001428	XP_314678.2	XP_031778783.1
OG0001429	XP_317285.4	XP_016843680.1, XP_001607850.1
OG0001430	XP_320982.5	XP_031785396.1
OG0001432	XP_320633.4	XP_008203416.1, XP_008203417.1, XP_031783597.1, XP_031783599.1, XP_031783598.1, XP_001601402.2
OG0001434	XP_307894.5, XP_003436082.1	XP_008215594.1
OG0001436	XP_316604.4, XP_001688913.1, XP_001688912.1	XP_031781352.1
OG0001437	XP_319485.2	XP_032453529.1, XP_008213263.1
OG0001438	XP_311976.5, XP_003436313.1	XP_031788882.1, XP_031788941.1
OG0001439	XP_001688176.1	XP_031780726.1, XP_031780725.1, XP_031780723.1, XP_031780724.1
OG0001440	XP_320189.4	XP_001602114.1
OG0001442	XP_307936.4	XP_001606337.3
OG0001443	XP_321956.5	XP_001603355.2, XP_016839483.1, XP_031785694.1, XP_008213214.3, XP_008213218.1
OG0001444	XP_321723.5	XP_031784662.1, XP_031784621.1
OG0001445	XP_312030.5	XP_008211201.1
OG0001446	XP_318394.5, XP_003436668.1, XP_003436666.1, XP_003436667.1	XP_031779133.1, XP_031779135.1, XP_031779136.1
OG0001453	XP_310188.3	XP_031776832.1, XP_031776833.1, XP_032451695.1, XP_032451698.1, XP_032451697.1, XP_032451696.1
OG0001455	XP_314502.4, XP_314504.3	XP_001603088.1
OG0001456	XP_320465.2	XP_001605559.2
OG0001457	XP_311700.3	XP_001608297.1
OG0001458	XP_320742.3	XP_008202697.1
OG0001459	XP_308453.3	XP_001605881.1
OG0001460	XP_313156.2	XP_031782639.1, XP_031782638.1
OG0001461	XP_321733.4	XP_001602569.1, XP_031780556.1, XP_008204854.1
OG0001462	XP_003436675.1, XP_318432.4	NP_001164526.1
OG0001463	XP_309942.4	XP_001602379.1
OG0001464	XP_318672.4, XP_321135.5	NP_001153364.1
OG0001465	XP_311607.2	XP_032453603.1, NP_001161454.1
OG0001466	XP_312403.4	NP_001161682.1
OG0001467	XP_554016.3	XP_031782500.1
OG0001468	XP_317127.3	NP_001164370.1, XP_031789284.1
OG0001469	XP_311746.4	XP_001602514.1
OG0001470	XP_001230998.1, XP_001230999.1, XP_316361.2	XP_032453882.1, XP_008203498.1
OG0001471	XP_314721.3	XP_008208004.1, XP_001601824.1
OG0001472	XP_319592.3, XP_316821.4	XP_003427090.1, NP_001165814.1
OG0001473	XP_557363.3	XP_031782512.1, XP_016839548.1, XP_016839547.1
OG0001474	XP_312327.5	XP_001600273.1
OG0001477	XP_557954.2	XP_008209844.2, XP_031778493.1, XP_032452915.1
OG0001478	XP_311138.3	XP_001599569.1
OG0001479	XP_315576.4	NP_001153430.1, NP_001153431.1, XP_031788484.1
OG0001480	XP_551238.2	XP_001600183.2, XP_008203356.1, XP_016838825.1
OG0001481	XP_559127.3	XP_016839111.1
OG0001482	XP_003436902.1	XP_008202441.1
OG0001483	XP_001237195.3	XP_016837959.1, XP_031780377.1
OG0001484	XP_313559.5, XP_003436773.1, XP_551109.3	XP_031778072.1
OG0001485	XP_321013.4, XP_557938.3	XP_016841727.1, XP_032455540.1, XP_008215611.1
OG0001486	XP_308949.4	XP_016839609.1
OG0001487	XP_314027.4	XP_032452572.1, XP_031779199.1
OG0001488	XP_309709.4	XP_008217170.1
OG0001489	XP_308327.4, XP_001687895.1	XP_001607382.1, XP_001605381.1
OG0001490	XP_311001.5	XP_031785541.1, XP_008205449.1
OG0001492	XP_311683.4	XP_008208908.1, XP_001599155.1, XP_031784250.1, XP_032457879.1
OG0001493	XP_001237650.2, XP_001237649.2	XP_008216211.1
OG0001494	XP_308673.4	XP_001602075.1
OG0001495	XP_001237569.1	XP_032454129.1, XP_032454128.1, XP_008206224.1, XP_032454131.1, XP_032454130.1
OG0001496	XP_308382.3, XP_003437212.1	XP_001603226.2
OG0001497	XP_309507.4	XP_031784591.1, XP_031784593.1
OG0001498	XP_315666.4	XP_031777080.1
OG0001499	XP_562960.3	XP_001604715.2
OG0001501	XP_315768.3, XP_556409.3	XP_031776687.1, XP_016844938.1
OG0001502	XP_315785.4	XP_001600729.2
OG0001503	XP_318862.3	XP_016841337.1, XP_001605673.1
OG0001504	XP_316013.4	XP_032452412.1, XP_032452413.1, XP_032452414.1, XP_001602850.2
OG0001505	XP_321148.5	XP_031785573.1, XP_031785570.1
OG0001507	XP_313800.4	XP_008207502.1, XP_001607887.1
OG0001508	XP_310944.5	XP_016840258.1, XP_016840259.1
OG0001509	XP_558145.3	XP_008209597.1
OG0001510	XP_313379.5	XP_003424351.1, XP_031783578.1
OG0001512	XP_321940.4, XP_003435777.1	XP_031787727.1
OG0001513	XP_001687829.2	XP_003426035.2
OG0001514	XP_321808.4	XP_001602311.1
OG0001515	XP_316960.4	XP_008212670.2
OG0001516	XP_321387.5	XP_008212093.2
OG0001517	XP_311715.3, XP_003436478.1, XP_003436479.1	XP_008202933.1
OG0001518	XP_319785.4	XP_032458104.1, XP_008202852.1, XP_008202856.1, XP_032458103.1, XP_032458102.1, XP_008202855.1
OG0001519	XP_564767.3	XP_001602334.1
OG0001520	XP_321797.4	XP_008213297.1, NP_001123264.1, XP_008213377.2
OG0001521	XP_316580.4	XP_031780024.1
OG0001522	XP_318144.4	XP_001605107.1
OG0001523	XP_313879.4	XP_031788417.1
OG0001524	XP_309210.4	XP_031780585.1, XP_031780587.1
OG0001525	XP_313327.4	XP_016843586.1, XP_001601499.1
OG0001526	XP_558644.3, XP_001230984.2	XP_031787170.1
OG0001527	XP_003436816.1, XP_313742.4	XP_031781489.1
OG0001529	XP_310236.3, XP_307879.4	XP_016837523.1
OG0001531	XP_320985.2	XP_032455471.1, XP_032455472.1, XP_008213949.1, XP_032455473.1
OG0001532	XP_318096.4	XP_008213314.1, XP_003424261.1
OG0001533	XP_315707.4	XP_016843265.1, XP_003426298.1
OG0001534	XP_003435886.1, XP_321515.4	XP_003424346.1
OG0001535	XP_318386.5	XP_031783319.1
OG0001536	XP_308789.4, XP_556808.3, XP_001688789.1	XP_032454772.1, XP_008212180.1
OG0001537	XP_320593.4, XP_317447.4	XP_032454472.1, XP_001605883.1
OG0001538	XP_321591.4	XP_031779949.1, NP_001164571.1
OG0001538	XP_001687839.2	XP_031784266.1, NP_001161243.1
OG0001539	XP_318061.4	XP_032454016.1
OG0001540	XP_315568.3, XP_001688680.1, XP_001688679.1	XP_001600172.1
OG0001541	XP_308645.4	XP_016842669.1, XP_001603217.2
OG0001543	XP_003436971.1	XP_031781815.1, NP_001177856.1
OG0001545	XP_318635.3	XP_003425709.1, XP_031783661.1
OG0001546	XP_312041.5	XP_003426901.1
OG0001547	XP_308339.4	XP_031776662.1, XP_031776668.1
OG0001548	XP_001231112.2, XP_001231113.2, XP_001231111.2, XP_001231110.2	XP_031780231.1
OG0001551	XP_001688523.1, XP_314100.4	XP_016842120.1, XP_008217464.1
OG0001552	XP_318541.4	XP_031788326.1
OG0001553	XP_313022.3	XP_003424529.1
OG0001554	XP_001688023.1, XP_001688025.1	XP_001599461.2
