Orthogroup	Anopheles_gambiae	Drosophila_melanogaster
OG0001235	XP_306016.2, XP_308522.4	NP_611654.1, NP_001286709.1, NP_611653.1, NP_573047.1, NP_001262159.1
OG0001236	XP_308646.4	NP_001246793.1, NP_001261942.1
OG0001237	XP_316118.4, XP_001688780.1, XP_001688779.1	NP_001246667.1
OG0001238	XP_311357.4	NP_001014689.3
OG0001239	XP_307938.5	NP_001015221.1
OG0001240	XP_318582.3	NP_001097042.1, NP_649903.1
OG0001241	XP_320914.4	NP_733336.1
OG0001242	XP_308221.4	NP_001260760.1, NP_724538.1
OG0001244	XP_001689367.1	NP_001189177.2
OG0001245	XP_321648.3	NP_001245557.1
OG0001246	XP_310077.4	NP_476932.1
OG0001247	XP_321174.5	NP_572740.1
OG0001248	XP_310021.4	NP_001259908.1
OG0001249	XP_320124.6, XP_312729.4	NP_572452.1
OG0001250	XP_003436645.1, XP_308104.5	NP_001259742.1
OG0001251	XP_310489.5, XP_001688288.2	NP_572932.2
OG0001252	XP_317580.4	NP_610892.1, NP_611132.1, NP_001097338.1, NP_001261679.1, NP_001260959.1, NP_729613.1
OG0001252	XP_321111.3	NP_729394.1, NP_648244.1
OG0001254	XP_320968.4	NP_001285084.1
OG0001255	XP_564170.3	NP_001261169.1
OG0001256	XP_560153.3, XP_003437143.1	NP_728275.1
OG0001257	XP_562831.2, XP_003436380.1	NP_649873.1, NP_001287313.1, NP_732513.1
OG0001258	XP_310177.3	NP_001162998.1, NP_001286014.1
OG0001259	XP_311427.4	NP_724582.1
OG0001260	XP_308216.2	NP_525109.1
OG0001261	XP_320145.3	NP_001097659.1
OG0001262	XP_312902.5, XP_001237504.2	NP_001188672.1
OG0001263	XP_318757.4	NP_523511.2
OG0001264	XP_317955.4	NP_610425.1
OG0001265	XP_559898.3	NP_001162912.1
OG0001267	XP_314507.4	NP_001261146.1
OG0001267	XP_317303.4	NP_609711.1
OG0001269	XP_309316.4	NP_612019.2
OG0001270	XP_307773.4	NP_730968.1
OG0001271	XP_312449.4	NP_651398.1
OG0001272	XP_316157.2	NP_476658.1
OG0001273	XP_310979.5	NP_001285109.1
OG0001274	XP_312084.5	NP_476741.1
OG0001277	XP_552532.3	NP_611899.1
OG0001278	XP_321063.5	NP_524327.1
OG0001279	XP_311100.5	NP_524633.3
OG0001280	XP_319604.4	NP_001036627.2
OG0001281	XP_001237136.2, XP_003435739.1	NP_001246506.1
OG0001282	XP_001688070.1	NP_649261.1
OG0001283	XP_313998.3	NP_476902.1
OG0001284	XP_001689151.1, XP_001689162.1	NP_001163032.1
OG0001286	XP_318853.2	NP_610431.1
OG0001287	XP_551001.4	NP_732006.2
OG0001288	XP_310977.5	NP_001285508.1
OG0001289	XP_003437137.1, XP_309110.3	NP_001261265.1
OG0001290	XP_311436.4	NP_651092.1
OG0001291	XP_313145.5	NP_001163636.1
OG0001292	XP_308278.3	NP_611945.3
OG0001293	XP_311898.4	NP_649850.1
OG0001294	XP_321341.3	NP_611855.1
OG0001295	XP_314005.4, XP_001688503.1, XP_001688504.1	NP_724562.2
OG0001296	XP_001687851.1, XP_001687850.1	NP_001369075.1
OG0001298	XP_308149.4	NP_001163084.1
OG0001300	XP_314929.3	NP_001259918.1
OG0001301	XP_310852.4	NP_001188545.1
OG0001303	XP_320455.4	NP_001261027.1
OG0001304	XP_001237568.1	NP_001246121.1
OG0001305	XP_308312.4, XP_001687892.1, XP_308314.4	NP_001261304.1
OG0001306	XP_318367.5, XP_003436659.1, XP_003436658.1	NP_001262403.1
OG0001307	XP_319802.4	NP_001188960.1
OG0001307	XP_001237138.3	NP_001356969.1
OG0001308	XP_565909.3	NP_001245739.1, NP_727344.1
OG0001310	XP_310388.3	NP_650685.1
OG0001312	XP_317732.2	NP_001285588.1
OG0001313	XP_309300.4	NP_611656.2, NP_001286926.1, NP_728791.1, NP_001303369.1, NP_649015.2
OG0001314	XP_316418.4	NP_001246531.1
OG0001315	XP_001688741.1, XP_315896.4	NP_001285099.1, NP_728935.1
OG0001316	XP_308707.4	NP_001246495.1
OG0001317	XP_316638.4	NP_648019.2
OG0001318	XP_319761.3	NP_001188775.1
OG0001320	XP_320705.4	NP_651060.1
OG0001322	XP_313611.5, XP_003436787.1	NP_651570.1
OG0001328	XP_321026.4	NP_001097695.1
OG0001329	XP_308396.4	NP_647948.1
OG0001330	XP_320278.2	NP_001246537.1
OG0001331	XP_310307.5, XP_003436600.1	NP_001260303.1
OG0001332	XP_308202.3	NP_650887.1, NP_570011.1
OG0001333	XP_312171.3	NP_649539.1
OG0001334	XP_555006.1, XP_001238801.1	NP_001287343.1
OG0001335	XP_316939.3	NP_609362.1
OG0001336	XP_317297.3	NP_609967.1
OG0001336	XP_310039.4	NP_001162901.1
OG0001337	XP_313722.3	NP_612097.1
OG0001338	XP_316877.5	NP_572855.1
OG0001339	XP_310597.2	NP_001260727.1
OG0001340	XP_551371.1, XP_003435845.1, XP_003435844.1	NP_001284961.1
OG0001341	XP_320076.4	NP_001259867.1
OG0001342	XP_320130.3	NP_001138093.1
OG0001343	XP_308170.4	NP_477025.1
OG0001344	XP_314163.4	NP_652315.2
OG0001345	XP_315997.4	NP_648955.1
OG0001346	XP_322022.5	NP_001097946.1
OG0001347	XP_001687935.1, XP_001687938.1	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2
OG0001348	XP_321887.4	NP_608350.2
OG0001349	XP_003436725.1, XP_003436724.1, XP_003436723.1	NP_477480.1
OG0001350	XP_001230796.3	NP_788708.2
OG0001351	XP_321338.3	NP_001246931.1
OG0001352	XP_003436441.1, XP_553315.4	NP_731459.2
OG0001353	XP_001238315.2	NP_001261357.1
OG0001354	XP_315356.3	NP_611792.1
OG0001355	XP_313397.5	NP_572529.2
OG0001356	XP_315694.1	NP_001014559.1
OG0001359	XP_308864.3, XP_003437100.1, XP_003437099.1, XP_311336.3	NP_001259064.1
OG0001361	XP_003436721.1	NP_650778.2
OG0001362	XP_310355.6	NP_001287357.1
OG0001363	XP_003437112.1, XP_316789.3	NP_001286088.1, NP_001286786.1
OG0001364	XP_310270.2	NP_001188754.1
OG0001365	XP_317619.4	NP_001260427.1
OG0001366	XP_308172.4	NP_648508.1
OG0001367	XP_318458.3	NP_001285525.1
OG0001367	XP_314722.4	NP_609868.1, NP_609869.1, NP_724098.2
OG0001367	XP_314725.4, XP_314724.4	NP_609173.2, NP_001033883.2
OG0001368	XP_312656.5	NP_651733.1, NP_001287622.1, NP_651871.2
OG0001369	XP_308535.4	NP_001303363.1
OG0001370	XP_319250.4	NP_001162973.2
OG0001371	XP_316138.4	NP_610796.1
OG0001372	XP_316026.3	NP_610444.2
OG0001373	XP_003437187.1, XP_318273.4	NP_731872.1
OG0001374	XP_314564.3	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2
OG0001375	XP_316578.4, XP_001237835.2, XP_316574.4	NP_001261379.1
OG0001376	XP_003437121.1	NP_001162697.1
OG0001377	XP_312215.3	NP_572840.1
OG0001378	XP_320419.3	NP_572402.1
OG0001379	XP_319268.2	NP_723501.2
OG0001380	XP_307876.4	NP_001036421.1
OG0001381	XP_316621.3, XP_001688925.1	NP_650889.1
OG0001382	XP_319318.3	NP_001260515.1, NP_001260514.1
OG0001383	XP_316646.4	NP_001036470.1
OG0001384	XP_320637.3	NP_001285453.1
OG0001385	XP_314364.3	NP_001260880.1
OG0001386	XP_314061.4	NP_001286474.1
OG0001387	XP_319589.4	NP_609412.1
OG0001388	XP_321258.5, XP_003435949.1	NP_572320.2, NP_732840.1
OG0001389	XP_309533.4, XP_001688850.1, XP_316369.3	NP_788300.3
OG0001390	XP_319294.4	NP_001286120.1
OG0001391	XP_316352.3	NP_001163354.1
OG0001393	XP_316059.4	NP_001285132.1, NP_001188593.1
OG0001394	XP_311608.4	NP_729025.1
OG0001395	XP_308628.5	NP_001137624.1
OG0001396	XP_319240.5	NP_001245761.1, NP_523412.1
OG0001397	XP_313548.1, XP_003436890.1	NP_649764.1
OG0001398	XP_310956.5, XP_003436931.1, XP_003436932.1	NP_001246972.1, NP_523949.2
OG0001399	XP_001230873.3, XP_313089.4	NP_569982.1
OG0001400	XP_317549.3	NP_724042.1
OG0001400	XP_317551.4, XP_317550.3	NP_001188828.1, NP_788071.3
OG0001401	XP_315885.2	NP_524675.1
OG0001402	XP_316681.4	NP_612065.1
OG0001403	XP_003436814.1, XP_313732.5	NP_001259193.1, NP_733426.1
OG0001404	XP_317751.3	NP_609110.1
OG0001405	XP_321345.3, XP_321346.4	NP_731223.1
OG0001406	XP_313862.4	NP_001015132.1
OG0001407	XP_320518.4	NP_001262226.1
OG0001408	XP_003437018.1, XP_565822.3	NP_001163646.1
OG0001409	XP_001688370.2	NP_001162657.1
OG0001410	XP_314486.1	NP_523844.2
OG0001413	XP_309850.3	NP_001261618.1
OG0001413	XP_311009.5	NP_001303415.1
OG0001414	XP_317350.4	NP_608864.1
OG0001415	XP_001688819.1, XP_316253.4	NP_996016.2
OG0001416	XP_555667.3	NP_723870.1
OG0001417	XP_308151.4	NP_611932.2
OG0001418	XP_314941.3	NP_001162911.1
OG0001419	XP_001688271.1	NP_001036356.1
OG0001419	XP_310221.4	NP_001260403.1
OG0001420	XP_321838.4	NP_650569.1
OG0001420	XP_001688621.2	NP_651139.1
OG0001421	XP_551368.4	NP_649899.1
OG0001422	XP_315120.4, XP_307270.4, XP_307269.4, XP_315119.4	NP_001189074.1
OG0001423	XP_001687887.1	NP_729234.2
OG0001424	XP_307921.4	NP_001262495.1
OG0001425	XP_565883.4	NP_788574.3
OG0001426	XP_319732.4	NP_001163056.1
OG0001427	XP_320403.3	NP_648499.1
OG0001428	XP_314678.2	NP_608929.1
OG0001429	XP_317285.4	NP_609625.2, NP_001260439.1, NP_609627.1
OG0001430	XP_320982.5	NP_001287466.1
OG0001431	XP_560607.4, XP_001687815.1, XP_317900.3, XP_561173.5, XP_554837.3, XP_317913.2, XP_561267.1, XP_560562.1	NP_649852.2
OG0001431	XP_560786.5	NP_001247289.1
OG0001432	XP_320633.4	NP_001188923.1, NP_611185.3
OG0001434	XP_307894.5, XP_003436082.1	NP_788618.1, NP_649928.1
OG0001436	XP_316604.4, XP_001688913.1, XP_001688912.1	NP_650868.1, NP_649289.2
OG0001437	XP_319485.2	NP_001286742.1
OG0001438	XP_311976.5, XP_003436313.1	NP_727644.3
OG0001440	XP_320189.4	NP_611647.1
OG0001441	XP_311372.4	NP_001027574.2
OG0001442	XP_307936.4	NP_001287592.1
OG0001443	XP_321956.5	NP_001096850.2
OG0001444	XP_321723.5	NP_001034052.2
OG0001445	XP_312030.5	NP_788715.2, NP_788714.1, NP_651058.1
OG0001446	XP_318394.5, XP_003436668.1, XP_003436666.1, XP_003436667.1	NP_648358.2
OG0001453	XP_310188.3	NP_001285826.1
OG0001455	XP_314502.4, XP_314504.3	NP_610092.2
OG0001456	XP_320465.2	NP_001286295.1
OG0001457	XP_311700.3	NP_001163688.1
OG0001458	XP_320742.3	NP_476858.1
OG0001459	XP_320168.4	NP_001097610.1
OG0001459	XP_308453.3	NP_001263148.1
OG0001460	XP_313156.2	NP_476848.1
OG0001461	XP_321733.4	NP_001287491.1, NP_001036749.2, NP_001262890.1
OG0001462	XP_003436675.1, XP_318432.4	NP_001262421.1
OG0001463	XP_309942.4	NP_649574.1
OG0001464	XP_318672.4	NP_651592.2
OG0001464	XP_321135.5	NP_569871.2, NP_001246485.1
OG0001465	XP_311607.2	NP_001189124.1
OG0001466	XP_312403.4	NP_569951.1, NP_611911.1
OG0001467	XP_554016.3	NP_001260304.1, NP_001260305.1, NP_001260306.1
OG0001468	XP_317127.3	NP_001260652.1
OG0001469	XP_311746.4	NP_523568.2
OG0001470	XP_001230998.1, XP_001230999.1, XP_316361.2	NP_648768.1
OG0001471	XP_314721.3	NP_648463.2, NP_001285545.1, NP_608514.1
OG0001472	XP_319592.3	NP_725504.1, NP_001246828.1
OG0001472	XP_316821.4	NP_001286770.1
OG0001473	XP_557363.3	NP_001287361.1
OG0001474	XP_312327.5	NP_609560.2, NP_569850.1
OG0001477	XP_557954.2	NP_001014453.1
OG0001478	XP_311138.3	NP_001285042.1
OG0001479	XP_315576.4	NP_001036624.1
OG0001480	XP_551238.2	NP_524533.1
OG0001481	XP_559127.3	NP_001286181.1
OG0001482	XP_003436902.1	NP_651924.2
OG0001483	XP_001237195.3	NP_001262996.1
OG0001484	XP_313559.5, XP_003436773.1, XP_551109.3	NP_001188579.1
OG0001485	XP_321013.4	NP_569913.1
OG0001485	XP_557938.3	NP_523596.2
OG0001486	XP_308949.4	NP_476764.1
OG0001487	XP_314027.4	NP_001188904.1
OG0001488	XP_309709.4	NP_001189108.1
OG0001489	XP_308327.4, XP_001687895.1	NP_648555.1
OG0001490	XP_311001.5	NP_001246899.1
OG0001492	XP_311683.4	NP_001263168.1
OG0001493	XP_001237650.2, XP_001237649.2	NP_001262195.1
OG0001494	XP_308673.4	NP_001287233.1, NP_731250.1, NP_001262370.1
OG0001495	XP_001237569.1	NP_612063.2
OG0001496	XP_308382.3, XP_003437212.1	NP_609203.1
OG0001497	XP_309507.4	NP_001260853.1
OG0001498	XP_315666.4	NP_729823.2
OG0001499	XP_562960.3	NP_572167.3
OG0001500	XP_307953.2	NP_730859.1
OG0001501	XP_315768.3, XP_556409.3	NP_001303373.1
OG0001502	XP_315785.4	NP_001261464.1
OG0001503	XP_318862.3	NP_665880.2
OG0001504	XP_316013.4	NP_001261440.1
OG0001505	XP_321148.5	NP_001097527.1
OG0001507	XP_313800.4	NP_001287269.1
OG0001508	XP_310944.5	NP_001138130.2
OG0001509	XP_558145.3	NP_001261116.1
OG0001510	XP_313379.5	NP_001284936.1
OG0001511	XP_315679.3, XP_306983.4, XP_556304.2, XP_001230355.2, XP_315675.3	NP_649151.1
OG0001514	XP_321808.4	NP_001188550.1
OG0001515	XP_316960.4	NP_001259809.1
OG0001516	XP_321387.5	NP_001163857.2, NP_001104417.3
OG0001517	XP_311715.3, XP_003436478.1, XP_003436479.1	NP_731242.1
OG0001518	XP_319785.4	NP_001036462.1
OG0001519	XP_564767.3	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1
OG0001520	XP_321797.4	NP_572480.1, NP_001368953.1
OG0001521	XP_316580.4	NP_523422.4
OG0001522	XP_318144.4	NP_001096867.3
OG0001524	XP_309210.4	NP_001261067.1
OG0001525	XP_313327.4	NP_477026.1
OG0001526	XP_558644.3, XP_001230984.2	NP_001369078.1
OG0001527	XP_003436816.1, XP_313742.4	NP_001259089.1
OG0001529	XP_310236.3, XP_307879.4	NP_001162930.1
OG0001530	XP_308434.3	NP_611501.1
OG0001531	XP_320985.2	NP_651595.1
OG0001532	XP_318096.4	NP_001162665.1
OG0001533	XP_315707.4	NP_728534.2
OG0001534	XP_003435886.1, XP_321515.4	NP_731923.2
OG0001535	XP_318386.5	NP_001261999.1
OG0001536	XP_308789.4, XP_556808.3, XP_001688789.1	NP_648357.1
OG0001537	XP_320593.4, XP_317447.4	NP_001245892.1, NP_001260974.1
OG0001538	XP_001687839.2	NP_995639.1
OG0001539	XP_318061.4	NP_524017.1
OG0001540	XP_315568.3, XP_001688680.1, XP_001688679.1	NP_610693.1, NP_610694.1
OG0001541	XP_308645.4	NP_001261940.1
OG0001542	XP_317569.4	NP_609207.1
OG0001543	XP_003436971.1	NP_650901.2
OG0001545	XP_318635.3	NP_523451.2
OG0001546	XP_312041.5	NP_001247104.1
OG0001548	XP_001231112.2, XP_001231113.2, XP_001231111.2, XP_001231110.2	NP_001285388.1
OG0001550	XP_001230662.1	NP_647968.3
OG0001551	XP_001688523.1, XP_314100.4	NP_001246815.1
OG0001552	XP_318541.4	NP_477317.1
OG0001553	XP_313022.3	NP_651623.1
OG0001554	XP_001688023.1, XP_001688025.1	NP_001261344.1
OG0001555	XP_320393.4	NP_001246451.1
OG0001556	XP_308925.4	NP_726771.1
OG0001557	XP_321982.3	NP_001285174.1
OG0001557	XP_318856.3	NP_001260951.1
OG0001558	XP_310248.7, XP_316659.3	NP_001245722.1
OG0001559	XP_321922.5	NP_650472.2
OG0001560	XP_307067.3, XP_319478.3, XP_307611.3	NP_001246228.1
OG0001561	XP_313778.5	NP_001260963.1
OG0001562	XP_001688616.1, XP_001688617.1	NP_001137943.2
OG0001563	XP_552478.2	NP_001246300.1
OG0001565	XP_308594.4	NP_001286976.1
OG0001567	XP_552509.3	NP_001137746.1
OG0001568	XP_312875.5	NP_001263152.1
OG0001569	XP_308701.2	NP_477320.1
OG0001570	XP_001237154.2	NP_648176.1
OG0001571	XP_319421.4	NP_610075.2
OG0001575	XP_317568.3	NP_524337.1
OG0001576	XP_553723.1	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1
OG0001577	XP_310528.5	NP_001285493.1
OG0001579	XP_316180.4	NP_001097592.1
OG0001580	XP_001231055.3, XP_003437188.1, XP_003437189.1	NP_001285528.1
OG0001581	XP_317108.3	NP_608983.2
OG0001582	XP_313138.5	NP_001287593.1
OG0001583	XP_563637.3	NP_001189157.1
OG0001584	XP_311327.5	NP_648993.1
OG0001585	XP_316571.4, XP_001237834.2	NP_001262143.1
OG0001586	XP_312095.5	NP_647865.2
OG0001587	XP_308295.3	NP_648090.1
OG0001588	XP_312218.5	NP_001188558.1
OG0001589	XP_308241.3, XP_311195.5	NP_726318.1
OG0001590	XP_312916.5, XP_003436238.1, XP_001237434.2, XP_312156.3, XP_563375.3, XP_003436237.1, XP_312155.4, XP_309133.5	NP_572910.1
OG0001590	XP_311060.5	NP_001285210.1
OG0001591	XP_317090.2	NP_001286018.1
OG0001592	XP_317552.4	NP_647896.1
OG0001593	XP_307791.5	NP_001287342.1
OG0001594	XP_003436556.1, XP_001688443.2	NP_001259723.1
OG0001595	XP_001688026.1	NP_611252.1
OG0001596	XP_313347.3	NP_730651.1
OG0001600	XP_315510.4	NP_001286151.1
OG0001601	XP_309586.5	NP_001097706.1
OG0001602	XP_307192.4, XP_313852.5	NP_001033958.1
OG0001604	XP_314263.5	NP_001163129.1
OG0001606	XP_001689072.1	NP_523902.2
OG0001607	XP_001689143.1	NP_001285753.1
OG0001608	XP_319419.4	NP_001260655.1
OG0001614	XP_560351.3, XP_003436655.1	NP_001259303.1, NP_569908.1
OG0001615	XP_311852.2, XP_003436358.1, XP_003436357.1	NP_523764.1
OG0001616	XP_320422.3, XP_309574.1	NP_001259833.1
OG0001617	XP_322024.4	NP_524011.1
OG0001619	XP_321321.5	NP_652526.1
OG0001620	XP_319591.2	NP_609496.1
OG0001623	XP_312663.4	NP_524400.2
OG0001624	XP_555021.3	NP_788056.1
OG0001625	XP_315994.4	NP_001262669.1
OG0001626	XP_309502.3, XP_564374.3	NP_001259186.1
OG0001627	XP_320536.3	NP_001303417.1
OG0001628	XP_311731.4	NP_651052.1
OG0001629	XP_314557.3	NP_651782.1
OG0001630	XP_001688837.1, XP_001688836.1, XP_001688838.1, XP_316326.4	NP_729395.2
OG0001631	XP_310839.5	NP_001261267.1
OG0001633	XP_314323.3	NP_001246351.1
OG0001634	XP_001230888.3	NP_651054.1
OG0001636	XP_003437190.1, XP_315309.4, XP_003437193.1, XP_003437194.1, XP_001688627.1, XP_001688628.1, XP_003437192.1, XP_003437191.1	NP_728142.1
OG0001637	XP_316947.3	NP_612046.1
OG0001638	XP_320601.4	NP_648826.2
OG0001639	XP_311186.5	NP_572360.1
OG0001640	XP_554103.3	NP_477027.1
OG0001641	XP_320141.4, XP_311577.4, XP_320549.4	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1
OG0001642	XP_320480.3	NP_725207.1
OG0001644	XP_322002.5	NP_001262395.1
OG0001645	XP_320998.5	NP_733058.1
OG0001646	XP_319692.3	NP_001285211.1
OG0001647	XP_310671.5	NP_570025.1
OG0001648	XP_310884.2	NP_001287187.1
OG0001649	XP_315051.4	NP_609720.1, NP_524152.2
OG0001650	XP_557360.3	NP_648222.3
OG0001651	XP_003437027.1	NP_001259585.1
OG0001652	XP_322051.4, XP_003435750.1, XP_003435751.1	NP_788858.1
OG0001653	XP_320653.4	NP_995788.1
OG0001654	XP_316322.4	NP_001246814.1
OG0001655	XP_317107.3	NP_001245567.1
OG0001656	XP_320117.3	NP_569872.1
OG0001657	XP_309717.4	NP_001286489.1
OG0001658	XP_314661.3	NP_001259992.1
OG0001659	XP_562889.4	NP_730944.2
OG0001660	XP_001230361.2, XP_309701.3	NP_648750.1
OG0001661	XP_308822.4, XP_001688101.1, XP_001688100.1	NP_001261775.1
OG0001662	XP_001688561.1, XP_314339.4	NP_001097377.2
OG0001663	XP_312168.5	NP_649918.1
OG0001664	XP_321343.4	NP_648183.3
OG0001665	XP_003436860.1, XP_003436866.1, XP_003436867.1, XP_003436863.1, XP_003436864.1, XP_003436865.1, XP_003436861.1, XP_315232.3	NP_001014619.2
OG0001666	XP_001687855.1	NP_001163472.1, NP_649145.1
OG0001667	XP_308664.3	NP_001261574.1
OG0001669	XP_318809.4	NP_001287417.1
OG0001670	XP_310718.5	NP_001138149.1
OG0001671	XP_001689406.1	NP_732316.2
OG0001672	XP_318539.2	NP_001246400.1
OG0001673	XP_317141.3	NP_649883.1
OG0001674	XP_317052.4	NP_001260539.1
OG0001675	XP_316722.3, XP_001688955.1, XP_001688954.1	NP_001261382.1
OG0001676	XP_563676.2	NP_001163073.2
OG0001677	XP_311928.3	NP_001260561.1
OG0001679	XP_311576.3	NP_611460.1
OG0001680	XP_318947.2	NP_001260364.1, NP_001033899.1
OG0001681	XP_024667092.1	NP_001163282.1
OG0001682	XP_001688188.1	NP_001285158.1
OG0001684	XP_307591.4, XP_313010.5	NP_001368993.1, NP_001368940.1
OG0001685	XP_308495.3	NP_001097520.2
OG0001686	XP_313332.4	NP_731649.2
OG0001687	XP_319096.3	NP_609069.1
OG0001688	XP_308980.4, XP_001688145.1	NP_001104382.3
OG0001690	XP_310193.4	NP_652015.1
OG0001693	XP_309509.4	NP_001245400.1
OG0001694	XP_317241.4	NP_610256.1
OG0001695	XP_311525.1, XP_311053.3	NP_001262760.1
OG0001696	XP_310413.7	NP_001247156.1
OG0001697	XP_003437059.1, XP_311206.3	NP_001245797.1
OG0001699	XP_322003.5	NP_733303.2
OG0001700	XP_312660.5	NP_001189311.1
OG0001701	XP_317858.4	NP_995862.1
OG0001702	XP_312777.5, XP_003436390.1	NP_651170.1
OG0001703	XP_003436874.1, XP_003436875.1, XP_315198.5	NP_001262871.1, NP_651242.1
OG0001704	XP_308365.4, XP_001687908.1	NP_001356971.1
OG0001706	XP_320092.4	NP_001247116.1
OG0001707	XP_311912.3	NP_001262589.2
OG0001708	XP_309293.4	NP_001287390.1
OG0001709	XP_001230626.3, XP_003436693.1	NP_001303494.1
OG0001711	XP_317208.4	NP_608741.1
OG0001712	XP_320207.4	NP_001188885.2
OG0001713	XP_318067.4	NP_001033943.2
OG0001714	XP_307259.4	NP_649156.1
OG0001715	XP_318881.4	NP_001285698.1
OG0001716	XP_003435836.1, XP_551386.4, XP_003435835.1, XP_003435838.1, XP_003435837.1	NP_001163671.1
OG0001717	XP_321495.3	NP_611675.2
OG0001718	XP_556198.1, XP_315559.4	NP_001287021.1, NP_001261456.1, NP_001261457.1
OG0001719	XP_310666.5, XP_003436992.1	NP_001245568.1
OG0001720	XP_309530.2	NP_610938.1
OG0001722	XP_003435814.1, XP_321755.3	NP_723401.1
OG0001723	XP_319532.3, XP_321724.3, XP_003435819.1, XP_001231183.1, XP_319537.3	NP_524242.2, NP_001287190.1
OG0001724	XP_315996.3	NP_001261391.1
OG0001725	XP_312990.5	NP_524401.2
OG0001726	XP_310802.4, XP_003436968.1, XP_003436967.1	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1
OG0001727	XP_318889.3	NP_001036351.2
OG0001727	XP_001689195.1, XP_001689196.1, XP_319626.4	NP_608475.1, NP_609417.1
OG0001728	XP_555522.3	NP_001286002.1
OG0001729	XP_001688020.1, XP_001237109.2, XP_565017.3, XP_001688022.1	NP_001286919.1
OG0001730	XP_321872.5	NP_001247378.2, NP_001245717.1, NP_001245715.1
OG0001731	XP_320608.2	NP_572995.1, NP_001163445.1
OG0001732	XP_316858.4	NP_651725.1
OG0001733	XP_555086.4	NP_001260590.1, NP_523506.1, NP_523578.1
OG0001733	XP_317088.3	NP_523507.2
OG0001734	XP_316946.4	NP_608563.1
OG0001735	XP_321102.4	NP_609387.1
OG0001736	XP_317530.3	NP_001014495.1
OG0001736	XP_311183.5	NP_001097944.1
OG0001736	XP_317071.4, XP_317075.4	NP_001097937.1
OG0001737	XP_003437186.1	NP_001259675.1, NP_001033853.1
OG0001738	XP_001689128.1	NP_001014543.1
OG0001739	XP_315836.2	NP_001246653.1
OG0001740	XP_309567.4	NP_001036555.1
OG0001742	XP_321539.2, XP_321540.2	NP_733224.2
OG0001743	XP_310826.2	NP_001285126.1
OG0001744	XP_310145.3, XP_310146.3	NP_651315.2
OG0001745	XP_312589.3	NP_650743.1
OG0001746	XP_320924.5	NP_524852.2
OG0001747	XP_551639.3	NP_001261633.1
OG0001748	XP_310266.7	NP_001189227.1
OG0001749	XP_319450.4	NP_001036722.1
OG0001750	XP_312178.3	NP_001261148.1
OG0001751	XP_554779.3	NP_001286159.1
OG0001752	XP_309607.4, XP_316957.4, XP_317360.4	NP_651792.1, NP_651791.2
OG0001753	XP_312783.5	NP_523391.3
OG0001754	XP_001688280.2	NP_651671.1
OG0001755	XP_318553.4, XP_318543.4	NP_573318.1, NP_609759.1
OG0001756	XP_311210.4	NP_649646.3
OG0001757	XP_320893.4	NP_733185.2, NP_648528.1, NP_001261732.1
OG0001757	XP_001237083.2	NP_001287549.1
OG0001758	XP_313840.4	NP_001163069.1
OG0001759	XP_308109.5	NP_001287202.1
OG0001760	XP_310291.7	NP_732069.3
OG0001761	XP_314747.4	NP_001188832.1
OG0001762	XP_556818.3	NP_001261764.1
OG0001763	XP_565619.1	NP_650223.1
OG0001764	XP_321236.5	NP_001287421.2, NP_650876.1
OG0001765	XP_001231186.2	NP_731461.1
OG0001766	XP_315826.4, XP_001688731.1, XP_001688732.1, XP_001688733.2	NP_001261659.1
OG0001768	XP_001230640.2	NP_572805.1
OG0001775	XP_001689282.1	NP_523735.2
OG0001776	XP_560736.1, XP_311363.2, XP_307325.4	NP_620470.1
OG0001777	XP_311275.2	NP_001245758.1
OG0001778	XP_003437154.1, XP_560169.2, XP_312560.3	NP_001262233.1
OG0001779	XP_308598.4, XP_001688027.1	NP_648194.1, NP_726718.1, NP_001261626.1, NP_648160.2, NP_648052.1
OG0001780	XP_314488.4	NP_610617.1
OG0001781	XP_313044.3, XP_309217.4, XP_003437171.1, XP_003437172.1, XP_003437173.1, XP_003437174.1, XP_003437175.1	NP_650423.1
OG0001782	XP_315090.2	NP_649000.1
OG0001783	XP_308171.3	NP_647892.1
OG0001784	XP_309682.2	NP_001163585.1
OG0001785	XP_312844.5, XP_003436412.1	NP_524416.1
OG0001786	XP_320389.2	NP_001260689.1
OG0001787	XP_313766.4	NP_648786.1
OG0001788	XP_320052.4	NP_001036396.2
OG0001789	XP_316740.1	NP_651728.1
OG0001790	XP_003436834.1, XP_313819.4	NP_649460.3
OG0001791	XP_313615.4	NP_572504.1
OG0001792	XP_317364.3	NP_611734.1
OG0001793	XP_317244.3	NP_608828.2
OG0001794	XP_317897.4	NP_001259442.1
OG0001795	XP_003436276.1, XP_312034.5, XP_003436277.1	NP_730901.1
OG0001796	XP_320948.2	NP_477212.1
OG0001797	XP_001238271.1	NP_001286694.1, NP_001163244.1
OG0001797	XP_320213.4	NP_523830.2
