Orthogroup	Anopheles_gambiae	Bombyx_mori
OG0001046	XP_312227.5	XP_004929883.1, XP_004929882.1
OG0001048	XP_308398.3	XP_037876905.1, XP_037876906.1
OG0001049	XP_001687845.1, XP_001687846.1, XP_308153.4	XP_037866893.1, XP_037866897.1, XP_021207763.2
OG0001050	XP_320316.4	NP_001037042.1
OG0001052	XP_310662.5	XP_004926923.1
OG0001053	XP_001687881.1, XP_308279.2	NP_001036970.1, XP_021203004.2
OG0001054	XP_314840.4	XP_037877208.1, XP_037872743.1
OG0001055	XP_311983.4	XP_037874322.1
OG0001056	XP_308553.4, XP_001687984.1, XP_001687985.1	XP_021208201.1, XP_012551775.1, XP_004933144.1, XP_004933143.1
OG0001057	XP_309938.3	XP_012546102.1
OG0001058	XP_311505.1	XP_037869696.1
OG0001059	XP_003435972.1, XP_321126.5	NP_001165393.1, XP_037873012.1
OG0001061	XP_315958.4, XP_001688754.1	XP_012544018.2
OG0001063	XP_312857.5	XP_012545541.3
OG0001064	XP_564324.1, XP_310275.7	XP_012548764.2
OG0001065	XP_313928.3	NP_001106139.1, XP_012544167.1
OG0001066	XP_001238515.3, XP_308515.4	XP_004929225.1
OG0001067	XP_001688943.1, XP_557321.3	XP_012549214.1
OG0001068	XP_001237855.2, XP_316699.4, XP_001688951.1	XP_037876252.1, XP_021208008.2, XP_012551482.1
OG0001069	XP_312834.5	XP_004932579.1
OG0001070	XP_317977.5, XP_318025.4, XP_318028.4	XP_004930760.1, XP_004930761.1
OG0001071	XP_312799.5	XP_012544371.1, XP_012544374.1
OG0001072	XP_550917.4	XP_037867427.1, XP_037867426.1, XP_037874093.1, XP_037874090.1
OG0001073	XP_311915.3	XP_021203320.2, XP_021203319.1
OG0001074	XP_307839.4	XP_004930337.1
OG0001075	XP_001688625.1	XP_037872729.1
OG0001076	XP_313348.4	XP_037874441.1, XP_004929657.1
OG0001077	XP_319424.2, XP_319425.2	NP_001040222.1
OG0001078	XP_320176.3, XP_320177.4	XP_012546938.2
OG0001079	XP_320339.4	XP_012545888.2
OG0001081	XP_308790.4	XP_004925864.1, XP_012545586.2
OG0001083	XP_314359.3, XP_001688566.1	XP_004925857.1
OG0001084	XP_556553.2	XP_004931981.2
OG0001085	XP_317314.3	XP_004924088.1, XP_004924087.1
OG0001086	XP_001689067.1, XP_001238005.1, XP_317929.3	XP_004926056.1, XP_012545716.1
OG0001090	XP_315009.3	NP_001037162.1, XP_012549564.1
OG0001091	XP_003436096.1, XP_312603.5, XP_319738.2	XP_004929855.2
OG0001092	XP_003436030.1, XP_320944.5, XP_003436029.1, XP_003436028.1	XP_012548309.1, NP_001037470.1
OG0001093	XP_319293.4	XP_004931699.1
OG0001094	XP_307411.2, XP_003436009.1, XP_003436008.1, XP_321028.5	XP_012547124.1, NP_001040452.1
OG0001095	XP_314827.2	NP_001040518.1
OG0001097	XP_317307.4	NP_001040313.1
OG0001098	XP_321240.5	XP_004926527.1
OG0001099	XP_310965.5	NP_001093089.1
OG0001100	XP_314568.3	NP_001040216.1
OG0001101	XP_001688400.2, XP_312658.5	XP_004922168.1, XP_037873380.1
OG0001102	XP_311181.2, XP_312618.2	NP_001037114.1
OG0001103	XP_553744.3	NP_001037108.1
OG0001104	XP_308660.3	XP_004934317.1
OG0001105	XP_310975.1, XP_566239.1, XP_319078.2	XP_037871716.1, XP_037871717.1
OG0001106	XP_320183.2	XP_004927328.1, XP_004927327.1, XP_004927329.1
OG0001107	XP_314706.4	XP_004926469.1
OG0001108	XP_311208.4	XP_012545260.1, XP_004925487.1, NP_001040228.2, XP_004925489.1, XP_021203928.2
OG0001109	XP_321850.3	XP_012545410.1
OG0001110	XP_560496.3, XP_320439.4	XP_004930468.1
OG0001111	XP_321349.4	XP_004924201.1
OG0001112	XP_318149.4	NP_001266326.1, XP_012547737.1
OG0001113	XP_307774.3	XP_004931327.2
OG0001114	XP_318236.4	XP_004932918.1, XP_012551624.1
OG0001115	XP_320996.5	XP_004931997.1
OG0001116	XP_310850.4	XP_037868483.1
OG0001117	XP_312919.4	XP_012549213.2
OG0001118	XP_322006.1	XP_004922745.1
OG0001119	XP_003437115.1, XP_316802.5	XP_004929815.1, XP_012549045.1
OG0001120	XP_318732.4	XP_004922742.2
OG0001120	XP_315358.4	XP_004933542.1
OG0001121	XP_320248.4	XP_021207858.2, NP_001180543.1
OG0001122	XP_320362.4	XP_037869135.1
OG0001123	XP_313330.5	XP_004931101.1, XP_004931100.1
OG0001124	XP_312370.5	XP_037873124.1
OG0001126	XP_312385.5	XP_037872173.1
OG0001127	XP_003437008.1	XP_012551002.1
OG0001128	XP_315365.3, XP_001688644.1	XP_012551412.2, NP_001232932.1
OG0001129	XP_308038.5, XP_003436041.1, XP_308996.3	XP_021203161.1
OG0001130	XP_318345.4	NP_001106222.1
OG0001131	XP_003435809.1, XP_321814.4, XP_551513.3	NP_001036904.1, XP_021205859.1
OG0001132	XP_320484.2	XP_037870554.1
OG0001133	XP_311448.4, XP_003436891.1, XP_554228.4, XP_311449.4	XP_004930615.1
OG0001134	XP_319097.3	XP_037877752.1
OG0001135	XP_308076.3, XP_311350.2	XP_037877715.1, XP_037877714.1
OG0001137	XP_024667094.1, XP_306688.4, XP_319223.4	XP_004933072.1, XP_004924833.1
OG0001138	XP_320011.4	XP_037877664.1, NP_001040359.1
OG0001139	XP_307945.5	XP_004931780.2, XP_012544364.1, XP_012544366.1
OG0001140	XP_317273.3	XP_021205705.1, NP_001103403.1
OG0001141	XP_318646.4	XP_037872989.1, XP_012546552.1
OG0001142	XP_311392.4	XP_037868754.1
OG0001143	XP_557018.3	XP_004931875.1
OG0001144	XP_307534.2	XP_012548247.2
OG0001144	XP_313797.5	XP_037876489.1, XP_037876488.1
OG0001145	XP_308148.3	XP_012543901.1
OG0001146	XP_308872.2	XP_004921594.1
OG0001147	XP_310582.2	XP_012547142.2
OG0001148	XP_314234.2	XP_004928140.1, XP_012547674.1, XP_037873134.1
OG0001149	XP_308972.4	XP_037867251.1
OG0001150	XP_315411.4	XP_004925200.1, XP_021203010.1
OG0001151	XP_312460.5	XP_012545538.1, NP_001103478.1
OG0001152	XP_310362.7	XP_012547811.1, XP_012547814.1
OG0001153	XP_553211.3	XP_004924521.2
OG0001154	XP_311713.5, XP_003436477.1	XP_037868706.1, XP_004924023.1
OG0001155	XP_310967.5	XP_037871158.1
OG0001156	XP_003436005.1, XP_321037.5	XP_004928302.1
OG0001157	XP_311092.3	XP_004926833.1
OG0001158	XP_315369.4	XP_012551780.2
OG0001159	XP_552266.3	XP_037876270.1
OG0001160	XP_553588.1	XP_004921968.1, XP_037877276.1
OG0001161	XP_312237.4	NP_001093315.1
OG0001165	XP_321402.5, XP_003435904.1	XP_037871563.1, XP_037871559.1
OG0001166	XP_003437030.1, XP_310514.3, XP_001237264.1	XP_037869122.1
OG0001167	XP_316568.4	XP_004925143.1
OG0001169	XP_317457.4	XP_004933290.1, XP_004933289.1
OG0001171	XP_310580.4, XP_003437016.1	XP_037871074.1, XP_037871077.1
OG0001172	XP_321331.5, XP_003435918.1	XP_037871481.1, NP_001139127.1
OG0001173	XP_003436462.1	XP_004923145.2, XP_037875779.1
OG0001174	XP_313500.1	XP_004931972.1
OG0001175	XP_316052.4	XP_037875209.1
OG0001176	XP_309066.4	XP_004931359.1
OG0001178	XP_320745.4	XP_021204911.1, XP_004927733.1
OG0001179	XP_318508.4	XP_012550481.2
OG0001180	XP_312107.4, XP_003436250.1	XP_037872073.1
OG0001181	XP_310584.5	XP_004927791.1
OG0001182	XP_320209.4	XP_037875884.1
OG0001183	XP_001237762.2	XP_037869217.1, XP_037869220.1
OG0001184	XP_003436481.1, XP_558879.4, XP_003436480.1	XP_012549667.1, XP_012549669.1
OG0001185	XP_317794.3, XP_557418.3, XP_309856.4	XP_037874622.1, NP_001165114.1
OG0001186	XP_001237242.1	XP_004924300.1
OG0001187	XP_001230352.1, XP_321322.5	XP_012551805.2
OG0001189	XP_556172.2	XP_037877740.1
OG0001191	XP_559733.2	XP_021204668.1, XP_037870110.1
OG0001191	XP_309365.2	XP_021204693.1
OG0001193	XP_320433.1	NP_001093292.1, XP_021203117.2, NP_001103402.1
OG0001195	XP_319946.4	XP_037877359.1
OG0001196	XP_003437074.1, XP_003437077.1, XP_003437075.1, XP_003437076.1, XP_003436234.1, XP_003436235.1, XP_001237436.3, XP_003436233.1, XP_001230786.3	XP_004924057.2, XP_021202221.2, XP_004932607.1
OG0001198	XP_317373.3	XP_004925553.1
OG0001199	XP_315370.3, XP_001688648.1	XP_012551521.2, XP_021207983.2, XP_037868317.1, XP_037868319.1, XP_037868313.1
OG0001200	XP_308550.4, XP_315686.1, XP_315684.2, XP_556314.2, XP_556312.2, XP_315687.1, XP_315688.1, XP_307014.4, XP_001688707.1, XP_001688706.1, XP_556332.3, XP_001688708.1, XP_556335.3, XP_315702.4, XP_308541.4, XP_316711.4, XP_001237857.2, XP_001688952.1, XP_564960.3, XP_312513.5	XP_004933632.2, XP_004928296.1, XP_012547458.1, XP_012547461.1
OG0001201	XP_314343.4	XP_004925984.1
OG0001202	XP_320320.4, XP_320321.3	XP_037869396.1, XP_037869397.1
OG0001203	XP_308917.3, XP_313576.4	NP_001296540.1
OG0001204	XP_556259.3	XP_037874979.1
OG0001205	XP_310915.3	XP_004933672.2
OG0001208	XP_563571.4	XP_037876320.1, XP_012553119.1, XP_021209257.1
OG0001214	XP_003437198.1, XP_003437199.1, XP_003437197.1, XP_318298.5, XP_003437202.1, XP_003437203.1, XP_003437201.1, XP_003437200.1	NP_001040279.1, XP_012551201.1
OG0001215	XP_315584.3	XP_037872613.1, XP_037872615.1, XP_021208348.1
OG0001216	XP_319631.4	XP_012550836.2
OG0001217	XP_001237272.3	XP_004927890.1
OG0001218	XP_311542.4	NP_001040120.1
OG0001219	XP_321594.5	XP_004929153.2
OG0001220	XP_317914.3, XP_320417.3	XP_004930794.1
OG0001221	XP_311899.3	XP_004921766.3, XP_004928226.1, XP_004928227.1
OG0001221	XP_313849.2	XP_012545938.1, NP_001040197.1, XP_004930220.1
OG0001222	XP_321456.5, XP_003435893.1	XP_004922174.2
OG0001223	XP_311768.3	XP_037872237.1
OG0001224	XP_315115.4	XP_004926867.1
OG0001225	XP_003437152.1, XP_309141.2, XP_001688166.1	NP_001040311.1
OG0001227	XP_308208.3, XP_308302.4	XP_021209023.1, XP_021209021.1, XP_021209019.1
OG0001228	XP_308185.4	XP_012545774.2, XP_037876543.1
OG0001229	XP_321154.5, XP_561425.4	NP_001037132.1, XP_012548070.1
OG0001230	XP_306740.3, XP_555129.1	NP_001037259.1
OG0001231	XP_316842.5	XP_037869352.1
OG0001231	XP_319125.4	XP_037866604.1
OG0001232	XP_317470.4	XP_037869261.1, XP_037869262.1
OG0001233	XP_309343.4	XP_012549545.1
OG0001234	XP_318427.5	XP_037874331.1, XP_021203183.1, XP_004925455.2
OG0001235	XP_001688180.1, XP_309345.4, XP_321411.3	XP_037868434.1, XP_004926653.1, NP_001037536.3
OG0001235	XP_306016.2, XP_308522.4	XP_004923692.2
OG0001236	XP_308646.4	XP_004931956.1
OG0001238	XP_311357.4	XP_021203590.2, XP_021203599.1
OG0001239	XP_307938.5	XP_012548121.3
OG0001240	XP_318582.3	NP_001040150.1
OG0001241	XP_320914.4	XP_012551265.1
OG0001242	XP_308221.4	XP_021203674.1, XP_004926232.2
OG0001244	XP_001689367.1	XP_004931363.1
OG0001245	XP_321648.3	XP_012547946.1, XP_021205147.1, XP_037871844.1, XP_037871843.1
OG0001246	XP_310077.4	XP_021205319.1, XP_021205320.1, XP_012547940.1, XP_021205318.1
OG0001247	XP_321174.5	NP_001280620.1, XP_012547444.1
OG0001248	XP_310021.4	NP_001266436.1
OG0001249	XP_320124.6, XP_312729.4	XP_037873698.1
OG0001250	XP_003436645.1, XP_308104.5	XP_012547191.3, XP_037871060.1
OG0001251	XP_310489.5, XP_001688288.2	XP_021202275.2, XP_021202277.2
OG0001252	XP_317580.4	XP_037875361.1
OG0001252	XP_321111.3	NP_001108470.1
OG0001253	XP_308343.4	XP_037868796.1
OG0001254	XP_320968.4	XP_012548031.1
OG0001255	XP_564170.3	XP_004932670.4
OG0001256	XP_560153.3, XP_003437143.1	XP_037870663.1, NP_001036985.1
OG0001257	XP_562831.2, XP_003436380.1	XP_012546555.1
OG0001258	XP_310177.3	XP_037870191.1
OG0001259	XP_311427.4	XP_037874041.1
OG0001260	XP_308216.2	NP_001040211.1
OG0001261	XP_320145.3	XP_021208090.1
OG0001262	XP_312902.5, XP_001237504.2	XP_021205442.1
OG0001263	XP_318757.4	NP_001037452.1
OG0001264	XP_317955.4	XP_037867170.1
OG0001265	XP_559898.3	NP_001266388.1
OG0001267	XP_314507.4	XP_037866491.1
OG0001268	XP_310216.4, XP_310215.4	XP_021205844.2
OG0001269	XP_309316.4	XP_037869606.1
OG0001270	XP_307773.4	NP_001040175.1
OG0001271	XP_310015.4	XP_021208477.2
OG0001272	XP_316157.2	XP_037871475.1, NP_001093314.1, NP_001098702.1, NP_001098700.1
OG0001273	XP_310979.5	XP_037866725.1, NP_001116823.2
OG0001274	XP_312084.5	XP_012544435.2
OG0001277	XP_552532.3	XP_004931850.2, XP_021207347.2
OG0001278	XP_321063.5	XP_037875820.1
OG0001279	XP_311100.5	XP_012546213.2
OG0001280	XP_319604.4	XP_012550549.1, NP_001098067.2
OG0001281	XP_001237136.2, XP_003435739.1	XP_004932331.1
OG0001283	XP_313998.3	XP_012551935.1, NP_001037644.1
OG0001284	XP_001689151.1, XP_001689162.1	XP_012544695.2, XP_012544697.2
OG0001286	XP_318853.2	XP_004933304.1
OG0001287	XP_551001.4	XP_037874173.1
OG0001288	XP_024667093.1	XP_004932948.1
OG0001288	XP_310977.5	XP_037876362.1
OG0001289	XP_003437137.1, XP_309110.3	XP_004922571.1
OG0001291	XP_313145.5	XP_021202357.1, NP_001037055.1
OG0001292	XP_308278.3	XP_037877060.1
OG0001293	XP_311898.4	XP_004923001.1, XP_004923002.1
OG0001294	XP_321341.3	XP_021204295.1
OG0001295	XP_314005.4, XP_001688503.1, XP_001688504.1	XP_004933504.2, XP_037873395.1
OG0001296	XP_564508.3, XP_001687851.1, XP_001687850.1	XP_037868617.1
OG0001298	XP_308149.4	XP_037867209.1
OG0001300	XP_314929.3	XP_037876736.1
OG0001301	XP_310852.4	XP_037869383.1
OG0001302	XP_310129.4	XP_037870217.1, XP_037870210.1
OG0001303	XP_320455.4	XP_037875592.1, XP_037875594.1
OG0001304	XP_001237568.1	XP_004930048.2
OG0001305	XP_308312.4, XP_001687892.1, XP_308314.4	NP_001108348.1
OG0001306	XP_318367.5, XP_003436659.1, XP_003436658.1	XP_037872003.1, XP_037872009.1
OG0001307	XP_319802.4	XP_037869482.1
OG0001307	XP_001237138.3	XP_037871814.1
OG0001308	XP_565909.3	XP_037868945.1, XP_004931237.2
OG0001309	XP_321140.5, XP_003435969.1, XP_309327.4, XP_320263.4, XP_320844.4, XP_320261.4, XP_319658.4, XP_001237291.3, XP_557970.3, XP_001230468.2, XP_560999.5, XP_320269.4, XP_309096.4, XP_001230350.1, XP_001238284.2, XP_003436670.1, XP_318412.5, XP_314667.4	XP_004925656.1
OG0001309	XP_320258.3, XP_560320.2, XP_552595.2, XP_317712.4	XP_021205421.1
OG0001310	XP_310388.3	XP_004931319.1
OG0001312	XP_317732.2	NP_001040409.1
OG0001313	XP_309300.4	XP_004931506.1
OG0001314	XP_316418.4	XP_037868789.1, XP_037868793.1, XP_037868792.1, XP_037868791.1, XP_037868790.1, XP_037868795.1, XP_037868794.1
OG0001315	XP_001688741.1, XP_315896.4	XP_037871474.1, XP_012546336.2
OG0001316	XP_308707.4	NP_001036998.2
OG0001317	XP_316638.4	XP_004930756.1
OG0001318	XP_319761.3	XP_037866753.1, NP_001040253.1
OG0001320	XP_320705.4	XP_004924759.1, XP_004924776.1
OG0001322	XP_313611.5, XP_003436787.1	XP_012545066.1, XP_012545062.1
OG0001328	XP_321026.4	XP_004923057.1
OG0001329	XP_308396.4	XP_004927515.1, XP_037873856.1
OG0001330	XP_320278.2	XP_037874170.1
OG0001331	XP_310307.5, XP_003436600.1	XP_021204676.1, NP_001037564.1
OG0001332	XP_308202.3	NP_001037586.1
OG0001333	XP_312171.3	XP_037871533.1, NP_001037243.1
OG0001334	XP_555006.1, XP_001238801.1	XP_012545428.1, NP_001136083.1
OG0001335	XP_316939.3	XP_004930207.1, XP_004930205.1
OG0001336	XP_317297.3	XP_004930909.1
OG0001336	XP_310039.4	XP_004930907.1
OG0001337	XP_313722.3	XP_004930268.2, XP_012544537.2
OG0001338	XP_316877.5	XP_037868459.1
OG0001339	XP_310597.2	NP_001244268.1, NP_001266404.1
OG0001340	XP_551371.1, XP_003435845.1, XP_003435844.1	NP_001037165.1, XP_012545340.1
OG0001341	XP_320076.4	XP_004932389.1
OG0001341	XP_320077.4	NP_001140192.1
OG0001342	XP_320130.3	XP_037866745.1, NP_001037011.1
OG0001343	XP_308170.4	XP_037875228.1
OG0001345	XP_315997.4	XP_004930391.1
OG0001346	XP_322022.5	XP_037867854.1, XP_037867853.1, XP_037867852.1
OG0001347	XP_001687935.1, XP_001687938.1	XP_004924763.1
OG0001348	XP_321887.4	XP_037868035.1
OG0001349	XP_003436725.1, XP_003436724.1, XP_003436723.1	XP_037868296.1, XP_004932184.1
OG0001350	XP_001230796.3	XP_021206894.1, XP_037877388.1, XP_037877464.1, NP_001093288.1
OG0001351	XP_321338.3	XP_004927142.1
OG0001352	XP_003436441.1, XP_553315.4	XP_012550733.1
OG0001353	XP_001238315.2	XP_004922173.1
OG0001354	XP_315356.3	XP_037873431.1, XP_037873434.1
OG0001355	XP_313397.5	XP_012552803.2
OG0001356	XP_315694.1	XP_012548900.1
OG0001357	XP_557821.3	XP_021209301.1, XP_021209300.1
OG0001359	XP_308864.3, XP_003437100.1, XP_003437099.1, XP_311336.3	NP_001040366.1
OG0001362	XP_310355.6	XP_004922990.2
OG0001363	XP_003437112.1, XP_316789.3	XP_004929272.1
OG0001364	XP_310270.2	XP_012552135.1
OG0001365	XP_317619.4	NP_001171773.1
OG0001366	XP_308172.4	XP_021208338.1
OG0001368	XP_312656.5	XP_004930597.1
OG0001369	XP_308535.4	XP_021209165.1, XP_004923234.1
OG0001370	XP_319250.4	XP_004925873.1
OG0001371	XP_316138.4	XP_021208861.2
OG0001373	XP_003437187.1, XP_318273.4	XP_004924045.1, XP_037868833.1
OG0001375	XP_316578.4, XP_001237835.2, XP_316574.4	NP_001243941.1
OG0001376	XP_003437121.1	XP_037872952.1
OG0001377	XP_312215.3	XP_004928133.1
OG0001378	XP_320419.3	XP_004933406.1
OG0001379	XP_319268.2	XP_021204324.1, XP_004927180.1
OG0001380	XP_307876.4	NP_001243931.1
OG0001381	XP_316621.3, XP_001688925.1	XP_012544235.1
OG0001382	XP_319318.3	XP_004924008.1, XP_037868775.1
OG0001383	XP_316646.4	XP_037871400.1
OG0001384	XP_320637.3	XP_037870879.1, XP_037870878.1, XP_037870877.1, XP_037870876.1, XP_037870875.1
OG0001385	XP_314364.3	NP_001127743.1, XP_021205799.1, NP_001127738.1, XP_021205793.1, NP_001127718.1, XP_037873374.1
OG0001386	XP_314061.4	XP_037877052.1
OG0001387	XP_319589.4	XP_012551998.1, XP_012551999.1, XP_012552000.1
OG0001388	XP_321258.5, XP_003435949.1	XP_012551899.1, XP_012551818.1, XP_021207492.1, XP_012551932.1, XP_037869508.1
OG0001389	XP_309533.4, XP_001688850.1, XP_316369.3	XP_037866835.1, XP_021206196.1
OG0001390	XP_319294.4	XP_004923976.1, XP_012543955.1
OG0001391	XP_316352.3	XP_004931964.1, XP_012550804.1
OG0001393	XP_316059.4	NP_001108457.1, XP_012548872.1, NP_001108458.1
OG0001394	XP_311608.4	XP_037872972.1, XP_037872971.1, XP_012551207.1
OG0001395	XP_308628.5	XP_037868467.1
OG0001396	XP_319240.5	XP_012546276.2
OG0001397	XP_313548.1, XP_003436890.1	XP_021208952.1, XP_037868947.1
OG0001398	XP_310956.5, XP_003436931.1, XP_003436932.1	XP_037871681.1
OG0001399	XP_001230873.3, XP_313089.4	XP_021203857.1, XP_004926442.1, XP_021203856.1
OG0001400	XP_317549.3, XP_317551.4, XP_317550.3	XP_004926572.1, XP_037870367.1
OG0001401	XP_315885.2	XP_004923967.2
OG0001402	XP_316681.4	XP_004931504.1
OG0001403	XP_003436814.1, XP_313732.5	XP_037873037.1
OG0001404	XP_317751.3	XP_037873980.1
OG0001405	XP_321345.3, XP_321346.4	NP_001243976.1
OG0001406	XP_313862.4	XP_037867555.1, XP_012549636.1
OG0001407	XP_320518.4	XP_004932096.2
OG0001409	XP_001688370.2	XP_037872234.1, XP_037872231.1
OG0001410	XP_314486.1	XP_021203216.2, XP_012545273.2, XP_012545274.2
OG0001413	XP_309850.3, XP_311009.5	XP_004931236.2
OG0001414	XP_317350.4	XP_004926796.1
OG0001415	XP_001688819.1, XP_316253.4	XP_037877821.1, XP_037877823.1
OG0001416	XP_317647.4, XP_555667.3	XP_037866526.1
OG0001417	XP_308151.4	XP_004921935.1, XP_037872611.1, XP_037872612.1
OG0001418	XP_314941.3	XP_012547297.1
OG0001419	XP_001688271.1, XP_310221.4	XP_012548678.1
OG0001420	XP_321838.4, XP_001688621.2	XP_012552202.1, XP_037876612.1, XP_004922782.1
OG0001421	XP_551368.4	XP_004929664.1
OG0001422	XP_315120.4, XP_307270.4, XP_307269.4, XP_315119.4	XP_004932407.1
OG0001423	XP_001687887.1	XP_004923479.2
OG0001424	XP_307921.4	XP_012544948.2
OG0001426	XP_319732.4	XP_037870983.1
OG0001427	XP_320403.3	XP_004927183.1
OG0001428	XP_314678.2	XP_037866655.1
OG0001429	XP_317285.4	NP_001036947.1
OG0001430	XP_320982.5	XP_037866431.1
OG0001431	XP_001689066.1, XP_001230479.2, XP_306506.3, XP_554830.1, XP_001230478.1, XP_001238000.1, XP_306007.1, XP_317911.4, XP_306233.4, XP_001230326.1, XP_001230373.1, XP_317898.4, XP_317912.2, XP_306729.2, XP_320496.4, XP_561485.2, XP_317891.4, XP_001687808.1, XP_307326.4, XP_310974.5, XP_001689041.1, XP_560607.4, XP_001687815.1, XP_317900.3, XP_561173.5, XP_554837.3, XP_317913.2, XP_561267.1, XP_560562.1, XP_560786.5	XP_021205836.1
OG0001432	XP_320633.4	XP_012544966.1, XP_012544981.1, XP_012544970.1, XP_012544974.1
OG0001434	XP_307894.5, XP_003436082.1	XP_037876486.1
OG0001436	XP_316604.4, XP_001688913.1, XP_001688912.1	XP_004922451.1, XP_004922450.1
OG0001437	XP_319485.2	NP_001153671.1
OG0001440	XP_320189.4	XP_004930927.1
OG0001441	XP_311372.4	XP_037877608.1, XP_037877601.1
OG0001442	XP_307936.4	NP_001119723.1
OG0001443	XP_321956.5	XP_037874392.1
OG0001444	XP_321723.5	XP_012544068.1, XP_037876196.1, XP_037876194.1
OG0001445	XP_312030.5	NP_001164469.1
OG0001446	XP_318394.5, XP_003436668.1, XP_003436666.1, XP_003436667.1	XP_037872969.1
OG0001453	XP_310188.3	NP_001037144.1, XP_012548545.1
OG0001455	XP_314502.4, XP_314504.3	XP_004932665.1, XP_037875264.1
OG0001456	XP_320465.2	XP_021209082.1
OG0001457	XP_311700.3	XP_012549706.1
OG0001458	XP_320742.3	NP_001243920.1
OG0001459	XP_308453.3	XP_021209024.1
OG0001460	XP_313156.2	XP_012544554.1
OG0001461	XP_321733.4	XP_012544433.2
OG0001462	XP_003436675.1, XP_318432.4	XP_004929675.1, XP_004929676.1
OG0001463	XP_309942.4	XP_037877408.1, XP_037877516.1, XP_037877454.1, XP_037877390.1, XP_037877345.1, XP_037877590.1, XP_037872607.1, XP_037872606.1
OG0001464	XP_318672.4, XP_321135.5	XP_021207479.1
OG0001465	XP_311607.2	XP_004927891.1, XP_004927887.1
OG0001466	XP_312403.4	XP_004934358.1
OG0001467	XP_554016.3	XP_037869859.1, XP_037869858.1
OG0001468	XP_317127.3	NP_001036939.1
OG0001469	XP_311746.4	XP_004923021.1, XP_004923022.1
OG0001470	XP_001230998.1, XP_001230999.1, XP_316361.2	XP_021207359.1, XP_021207329.1
OG0001471	XP_314721.3	XP_004931777.2
OG0001472	XP_319592.3	XP_004928523.1
OG0001472	XP_316821.4	NP_001266343.1
OG0001473	XP_557363.3	XP_004921751.1
OG0001474	XP_312327.5	XP_004928242.1
OG0001477	XP_557954.2	XP_037877391.1, XP_037877482.1, XP_004929266.2
OG0001478	XP_311138.3	NP_001170882.1, XP_012551408.1
OG0001479	XP_315576.4	NP_001036956.1, XP_012549120.1
OG0001480	XP_551238.2	XP_004930565.1
OG0001481	XP_559127.3	XP_012547389.2, XP_004927794.2
OG0001482	XP_003436902.1	XP_021206661.1
OG0001484	XP_313559.5, XP_003436773.1, XP_551109.3	XP_012547006.1
OG0001485	XP_321013.4	XP_004930031.2
OG0001485	XP_557938.3	XP_004929453.1
OG0001486	XP_308949.4	XP_012553363.1
OG0001487	XP_314027.4	XP_012550436.1
OG0001488	XP_309709.4	XP_037869760.1
OG0001489	XP_308327.4, XP_001687895.1	XP_037868752.1
OG0001490	XP_311001.5	XP_004924569.1
OG0001492	XP_311683.4	XP_004927896.1, XP_004927895.1, XP_004927894.1
OG0001494	XP_308673.4	XP_037877591.1, XP_037867606.1
OG0001495	XP_001237569.1	XP_021207491.2
OG0001496	XP_308382.3, XP_003437212.1	XP_004927986.1
OG0001497	XP_309507.4	XP_004928336.2
OG0001498	XP_315666.4	XP_037869992.1, XP_037870010.1
OG0001499	XP_562960.3	XP_004928205.1
OG0001500	XP_307953.2	XP_037871997.1, XP_012552773.2
OG0001501	XP_315768.3, XP_556409.3	XP_037866800.1
OG0001502	XP_315785.4	XP_037868504.1, XP_037868499.1, XP_037868500.1, XP_037868495.1
OG0001503	XP_318862.3	XP_021206043.2
OG0001504	XP_316013.4	XP_004932089.1, XP_004932087.1, XP_021207668.1, XP_012550964.1
OG0001505	XP_321148.5	XP_037867872.1
OG0001507	XP_313800.4	XP_004933054.1, XP_021208141.1
OG0001508	XP_310944.5	NP_001091838.1, XP_012548520.2
OG0001509	XP_558145.3	XP_037874937.1
OG0001510	XP_313379.5	XP_037868375.1
OG0001511	XP_315679.3, XP_306983.4, XP_556304.2, XP_001230355.2, XP_315675.3	XP_037870240.1, NP_001106220.1
OG0001512	XP_321940.4, XP_003435777.1	XP_012547158.3
OG0001513	XP_001687829.2	XP_004928885.1, XP_021205524.1, XP_037872382.1, XP_004928886.1
OG0001514	XP_321808.4	NP_001243989.1, XP_012551916.2
OG0001515	XP_316960.4	XP_037869339.1, XP_012552167.1, XP_004933624.1
OG0001516	XP_321387.5	XP_012548192.1
OG0001517	XP_311715.3, XP_003436478.1, XP_003436479.1	XP_004930586.1
OG0001518	XP_319785.4	XP_012547971.1
OG0001519	XP_564767.3	XP_037877043.1
OG0001520	XP_321797.4	XP_004926900.1
OG0001521	XP_316580.4	XP_037873615.1
OG0001522	XP_318144.4	NP_001189459.1, XP_012547725.2
OG0001523	XP_313879.4	XP_037867735.1
OG0001524	XP_309210.4	XP_004928551.2
OG0001525	XP_313327.4	XP_004928511.1
OG0001526	XP_558644.3, XP_001230984.2	XP_037869703.1
OG0001527	XP_003436816.1, XP_313742.4	XP_012547691.1, XP_012547692.1, XP_004928271.1
OG0001529	XP_310236.3, XP_307879.4	NP_001103396.1, XP_021202150.1
OG0001530	XP_308434.3	XP_004928962.1
OG0001531	XP_320985.2	XP_004927972.1
OG0001533	XP_315707.4	XP_037872089.1
OG0001534	XP_003435886.1, XP_321515.4	XP_012548708.1
OG0001536	XP_308789.4, XP_556808.3, XP_001688789.1	XP_021207987.1
