Orthogroup	Anopheles_gambiae	Solenopsis_invicta
OG0000717	XP_317161.4	XP_011164323.1, XP_011164322.1, XP_011164321.1
OG0000718	XP_566366.4	XP_025992101.1
OG0000719	XP_319824.3	XP_039304225.1, XP_039304226.1
OG0000720	XP_307780.5	XP_039302434.1
OG0000720	XP_308196.4	XP_039314720.1
OG0000721	XP_310647.1	XP_025988246.1, XP_039305016.1, XP_039305030.1, XP_011167439.2, XP_011167438.2
OG0000722	XP_321617.4	XP_039314078.1, XP_011167944.1
OG0000723	XP_311134.3	XP_039305662.1, XP_039305658.1
OG0000724	XP_564450.1, XP_312565.3	XP_011170525.1, XP_011170523.1
OG0000726	XP_309067.4, XP_308848.4, XP_565288.3	XP_011167998.2
OG0000727	XP_317811.4	XP_025986180.1
OG0000728	XP_551486.2, XP_551485.2, XP_321793.2, XP_001689357.1	XP_039312815.1, XP_039312814.1, XP_011169151.3, XP_039312816.1, XP_011168956.1, XP_011169150.1
OG0000729	XP_003436318.1, XP_563178.3	XP_011168583.1
OG0000730	XP_001237838.2	XP_039314139.1, XP_039314140.1
OG0000731	XP_001238225.2, XP_001238226.1	XP_039311188.1, XP_011167996.2
OG0000732	XP_319834.4	XP_039301972.1, XP_011162337.1, XP_011162336.1, XP_011162333.1, XP_011162334.1, XP_011162335.1
OG0000736	XP_309539.2	XP_011157298.1
OG0000737	XP_321482.4, XP_001689335.2	XP_011162103.1
OG0000738	XP_003436513.1	XP_011173300.1
OG0000738	XP_003436514.1, XP_313282.5	XP_025995486.1, XP_039304747.1, XP_025995485.2, XP_025995484.2
OG0000739	XP_001689185.1	XP_025986669.1, XP_011158895.1
OG0000740	XP_308979.2	XP_011165468.1, XP_011165469.1, XP_011165467.1, XP_011165466.1
OG0000741	XP_320004.4, XP_319076.3	XP_011176093.2
OG0000742	XP_314748.3, XP_003436764.1, XP_003436763.1, XP_313179.4	XP_039306568.1, XP_039306567.1
OG0000743	XP_317315.3	XP_011176100.1, XP_011176099.1, XP_011176096.1, XP_011176097.1, XP_011176098.1
OG0000744	XP_311931.4, XP_001237485.2	XP_011163408.1
OG0000745	XP_320670.3	XP_039312216.1, XP_039312218.1, XP_039312219.1, XP_025993584.1, XP_011159126.1, XP_011159127.1, XP_039312050.1, XP_039312217.1
OG0000746	XP_318705.3, XP_312838.4	XP_039301874.1, XP_025993870.1
OG0000747	XP_310665.3	XP_025994764.1, XP_025994766.1, XP_025994765.1
OG0000748	XP_320170.4, XP_320144.4	XP_025992939.2, XP_039311919.1
OG0000749	XP_003436731.1, XP_313043.5	XP_011156808.3
OG0000750	XP_308778.4	XP_039308189.1, XP_011168047.1
OG0000751	XP_314756.4	XP_011163217.2
OG0000752	XP_317823.4, XP_310889.5	XP_011161185.1, XP_011161184.1
OG0000753	XP_312995.5	XP_011164714.1, XP_011164712.1, XP_011164713.1, XP_039314207.1
OG0000754	XP_312756.5	XP_025994006.1, XP_039314803.1
OG0000755	XP_313657.4	XP_011160539.1
OG0000757	XP_314680.4	XP_011173081.1
OG0000758	XP_317050.4	XP_011163862.2, XP_011164604.1
OG0000759	XP_312018.5	XP_025988751.1
OG0000760	XP_001688456.2	XP_011162144.1, XP_011162146.1, XP_011162145.1
OG0000761	XP_553256.3	XP_025996446.1
OG0000762	XP_001237444.3	XP_025987473.1
OG0000763	XP_001687980.1	XP_039301895.1
OG0000765	XP_312371.1, XP_003436159.1	XP_011176280.1, XP_011176281.1
OG0000766	XP_321355.5	XP_025988764.1, XP_039314286.1
OG0000767	XP_315509.3, XP_001688672.1, XP_001688673.1	XP_011171183.1, XP_011171178.1
OG0000768	XP_309489.4	XP_011168953.1, XP_011168954.1
OG0000769	XP_311161.4, XP_315324.4	XP_039302316.1
OG0000770	XP_001688195.1	XP_025991245.1, XP_039314063.1
OG0000771	XP_308361.4, XP_001687775.2	XP_025987164.1, XP_011158232.1, XP_025987165.1
OG0000772	XP_001689245.1, XP_320299.4	XP_039313911.1, XP_039313913.1
OG0000773	XP_317844.3	XP_025987110.1
OG0000774	XP_312552.5	XP_011165924.1
OG0000776	XP_001688474.1, XP_313915.3	XP_011163200.1
OG0000777	XP_321280.5	XP_025997179.1, XP_025997180.1, XP_011165269.1
OG0000778	XP_315543.3	XP_011164824.1
OG0000779	XP_313129.1, XP_313127.2, XP_003436743.1	XP_039308346.1, XP_039308351.1, XP_039308349.1, XP_039308355.1
OG0000780	XP_316669.4	XP_011160559.1, XP_011160558.1, XP_025988495.1, XP_011160560.1, XP_025988494.1
OG0000781	XP_321207.2	XP_011159966.1
OG0000782	XP_320180.1	XP_025991730.1, NP_001291540.1
OG0000783	XP_551936.2	XP_011176408.1
OG0000785	XP_321503.2, XP_321497.2, XP_565056.3, XP_308620.4	XP_039302168.1
OG0000786	XP_321356.5	XP_011155618.2
OG0000789	XP_307037.4	XP_011161800.1, XP_011161799.1, XP_011161803.1, XP_011161801.1
OG0000790	XP_316813.5	XP_011159162.2
OG0000795	XP_316941.3	XP_011168338.1
OG0000796	XP_311696.2	XP_011161421.1
OG0000797	XP_001688174.2	XP_011162370.1, XP_011162428.1
OG0000798	XP_559058.3	XP_011165295.1
OG0000799	XP_317538.3	XP_025989311.1, XP_039305768.1
OG0000800	XP_001237468.3	XP_011160666.1, XP_011160664.1
OG0000801	XP_003437047.1, XP_001689387.2	XP_025992851.1
OG0000801	XP_310573.4	XP_011164184.2
OG0000802	XP_308510.4, XP_308511.4	XP_025988488.1
OG0000803	XP_308462.4, XP_310113.4	XP_011155983.1
OG0000804	XP_308552.4, XP_001687983.1	XP_039306726.1, XP_039306725.1, XP_011171429.1
OG0000805	XP_311087.5	XP_025994786.1
OG0000806	XP_308596.4	XP_011169594.1, XP_011169595.1, XP_011169597.1
OG0000807	XP_321929.3	XP_011161813.1, XP_011161815.1, XP_011161814.1
OG0000808	XP_313990.4, XP_003435719.1	XP_025993559.1, XP_011160772.1
OG0000809	XP_003436050.1, XP_307995.5	XP_025990549.1, XP_039304796.1
OG0000810	XP_322067.4	XP_039302094.1, XP_011162024.2, XP_011162023.2
OG0000811	XP_001688164.1, XP_309085.4	XP_011168281.1, XP_011168282.1
OG0000812	XP_308496.4	XP_011172218.1
OG0000813	XP_309726.4, XP_309724.3, XP_554155.3, XP_320312.4	XP_025994548.1, XP_039313899.1
OG0000814	XP_316915.4	XP_011170174.1, XP_039315469.1
OG0000815	XP_315593.4, XP_001688684.1	XP_011159180.2, XP_011159181.1
OG0000816	XP_555284.3	XP_011160544.1
OG0000817	XP_320274.2	XP_025987139.1
OG0000819	XP_557579.3	XP_039311826.1, XP_039311828.1
OG0000820	XP_003436676.1, XP_318436.5	XP_039301687.1
OG0000821	XP_001689219.1	XP_025995382.1
OG0000822	XP_309064.5, XP_003435721.1	XP_025991295.2
OG0000824	XP_003435788.1, XP_003435789.1, XP_321893.4	XP_025993701.2, XP_039305933.1
OG0000825	XP_314783.2, XP_557830.2	XP_039306488.1, XP_039306489.1, XP_039307020.1, XP_011171356.2, XP_011171353.1, XP_025989843.2
OG0000826	XP_313758.4, XP_003436825.1	XP_039304012.1, XP_011159412.1, XP_011159413.1, XP_011159411.1
OG0000827	XP_001688260.1, XP_316485.4	XP_039308960.1, XP_039308963.1
OG0000828	XP_311410.4	XP_039315579.1
OG0000829	XP_312898.3	XP_011162079.1, XP_011162078.1
OG0000830	XP_309393.2	XP_011168523.1, XP_011168522.1, XP_011168521.1
OG0000831	XP_310750.5, XP_319460.3	XP_039310174.1
OG0000832	XP_320918.5, XP_003436034.1, XP_003436035.1, XP_003436036.1	XP_039308938.1
OG0000833	XP_001689140.1	XP_025988976.2, XP_025988982.2, XP_025988988.2
OG0000835	XP_319473.4	XP_011164859.1
OG0000838	XP_001237627.2	XP_039307130.1
OG0000840	XP_310379.7, XP_003436628.1, XP_003436446.1, XP_314237.4	XP_039314110.1
OG0000841	XP_316016.3, XP_001688766.1, XP_319122.4, XP_319146.4, XP_311058.5	XP_025987401.1
OG0000842	XP_318601.4, XP_001689137.1, XP_001689136.1	XP_039304445.1, XP_039304448.1
OG0000843	XP_315164.4, XP_314344.5	XP_039313882.1, XP_039313881.1, XP_039313883.1, XP_039313878.1, XP_039313880.1, XP_039313879.1
OG0000844	XP_553771.3	XP_039310169.1
OG0000849	XP_563989.1	XP_011156555.1, XP_011163639.1
OG0000850	XP_317465.2	XP_011159981.1
OG0000851	XP_309827.4	XP_011158376.1
OG0000852	XP_552427.2	XP_025986713.2, XP_025986712.2, XP_011158922.2, XP_039305863.1, XP_039305862.1
OG0000853	XP_001237881.1	XP_039313865.1
OG0000854	XP_566387.4, XP_316496.3	XP_011158684.1
OG0000855	XP_001687874.1, XP_001687873.1, XP_001687875.1, XP_308237.4, XP_001687876.1	XP_011176305.1
OG0000856	XP_001689087.1, XP_318047.4	XP_011172010.2
OG0000857	XP_562320.4	XP_011163622.1
OG0000858	XP_552102.3	XP_039309658.1
OG0000859	XP_001230995.1, XP_309522.4	XP_011168368.1, XP_011168610.1, XP_011168692.1, XP_011168455.1
OG0000860	XP_321195.5	XP_039308843.1, XP_011168506.1
OG0000861	XP_315658.3	XP_011158929.2
OG0000862	XP_001238522.2, XP_001238523.2, XP_003435843.1	XP_011175531.2, XP_025988112.2
OG0000863	XP_312621.4	XP_039302141.1
OG0000864	XP_312223.5, XP_319733.4	XP_039314769.1, XP_025988781.2
OG0000865	XP_315231.5	XP_011169349.1, XP_011169329.1, XP_011169345.1
OG0000867	XP_315403.4	XP_039309625.1
OG0000870	XP_320737.4	XP_039310472.1, XP_025996069.2
OG0000871	XP_311516.4	XP_025986886.1
OG0000872	XP_316840.3	XP_011175455.1, XP_011175453.1, XP_011175456.1, XP_011175452.1
OG0000873	XP_557731.3	XP_011176166.2
OG0000875	XP_308629.2	XP_011164437.1, XP_039309316.1
OG0000876	XP_312228.5	XP_011158998.1, XP_011159005.1
OG0000877	XP_315841.3	XP_039311088.1, XP_011161480.1
OG0000878	XP_308419.4	XP_025986289.1
OG0000878	XP_315059.4, XP_315060.4	XP_011158559.1
OG0000879	XP_001689090.1, XP_001689089.1, XP_318058.4	XP_025990421.1, XP_025990422.1
OG0000880	XP_315613.4, XP_314829.4, XP_001237606.1	XP_011161203.1
OG0000881	XP_311105.2	XP_011160040.2
OG0000883	XP_313339.4, XP_003436531.1	XP_039303708.1, XP_039303709.1, XP_039303706.1
OG0000884	XP_307777.3	XP_039304041.1, XP_039304042.1, XP_039304043.1, XP_039315276.1, XP_039304390.1, XP_039304756.1, XP_039313970.1
OG0000886	XP_003436122.1, XP_312518.5	XP_011172801.1, XP_011170327.1
OG0000887	XP_321479.1	XP_039308747.1, XP_039308527.1
OG0000888	XP_321033.5	XP_011175978.1
OG0000890	XP_001237490.3, XP_003436386.1	XP_039314335.1
OG0000892	XP_003436835.1, XP_313833.5	XP_011164335.1
OG0000894	XP_316113.4	XP_025986498.1
OG0000895	XP_308934.4	XP_025990648.1
OG0000896	XP_320173.4, XP_318850.4	XP_039311139.1
OG0000897	XP_001237068.2, XP_001687904.1	XP_011158516.1
OG0000899	XP_003436759.1, XP_313176.5	XP_039313083.1
OG0000900	XP_315331.4, XP_555956.2, XP_315333.4	XP_011171987.1
OG0000901	XP_317516.4	XP_025986962.1
OG0000903	XP_312952.4, XP_312953.4	XP_011158890.2
OG0000905	XP_312929.3, XP_003436421.1	XP_011165800.2, XP_011165794.1, XP_011165795.1, XP_011165796.1, XP_011165797.1
OG0000906	XP_318613.4	XP_039313466.1
OG0000906	XP_309041.4, XP_309040.4	XP_039306787.1
OG0000907	XP_003435870.1, XP_321568.5, XP_003435871.1, XP_003435872.1, XP_003435873.1, XP_003435874.1	XP_039315588.1, XP_025985839.1, XP_025985841.1
OG0000908	XP_316672.4	XP_011160553.2, XP_011160554.2
OG0000909	XP_318981.4	XP_039308150.1
OG0000910	XP_001237085.1, XP_308481.1, XP_001237087.1, XP_308448.2, XP_308446.3	XP_011164763.2
OG0000911	XP_001688047.1, XP_308622.4	XP_025993971.2, XP_025993970.2, XP_025993966.2
OG0000912	XP_552325.3	XP_011169376.1
OG0000914	XP_001688294.1	XP_039308448.1, XP_039308446.1, XP_039308447.1
OG0000915	XP_001238053.2, XP_001238056.2, XP_001238057.1, XP_318842.4, XP_318838.4	XP_025987634.1
OG0000916	XP_319584.4	XP_025995363.1
OG0000917	XP_003436170.1	XP_011165923.1
OG0000918	XP_003435743.1, XP_001687900.1, XP_001687901.1, XP_001687902.1	XP_011157236.1
OG0000919	XP_308247.4	XP_025988014.1
OG0000920	XP_318629.2	XP_011165873.1
OG0000921	XP_003435754.1	XP_011165106.1, XP_011165105.1
OG0000922	XP_311884.5	XP_011171960.2
OG0000923	XP_556301.3	XP_039306250.1, XP_039306253.1
OG0000924	XP_315708.4	XP_011155993.1
OG0000925	XP_003436686.1	XP_011168106.1, XP_025992349.1
OG0000927	XP_310706.3	XP_011172154.1
OG0000928	XP_563117.1, XP_003436339.1, XP_003436340.1	XP_011160605.3
OG0000929	XP_565460.2	XP_011169685.1
OG0000929	XP_565459.2	XP_011169682.1
OG0000930	XP_003437155.1, XP_003437156.1, XP_309146.4, XP_003437157.1	XP_039309672.1, XP_039305396.1
OG0000931	XP_308215.4	XP_011166210.2
OG0000932	XP_321361.5	XP_011170039.1
OG0000933	XP_308800.3	XP_011171324.1
OG0000934	XP_308788.3	XP_039304912.1, XP_039304911.1
OG0000935	XP_310832.5, XP_310834.4, XP_310684.3, XP_310833.5	XP_011164079.1
OG0000936	XP_314147.4	XP_011173270.1, XP_011173276.1
OG0000937	XP_314129.4	XP_039307703.1, XP_039307702.1
OG0000938	XP_318102.2	XP_025989696.1
OG0000941	XP_320660.4	XP_011164512.2
OG0000942	XP_317850.4	XP_011169617.2
OG0000942	XP_309480.3	XP_011156703.1, XP_039314337.1, XP_039314336.1
OG0000943	XP_321357.4	XP_011166146.1, XP_025988490.1
OG0000944	XP_313297.3	XP_025996268.1
OG0000945	XP_320578.4	XP_011160565.1, XP_011160563.1, XP_039303714.1
OG0000946	XP_316421.3	XP_011165533.2, XP_011161547.1
OG0000947	XP_313650.5	XP_039314950.1
OG0000948	XP_309921.3	XP_011172825.1
OG0000950	XP_319893.3	XP_011166764.1
OG0000951	XP_310711.2	XP_039301861.1, XP_011158539.1
OG0000952	XP_313752.4, XP_003436823.1, XP_003436822.1	XP_039310385.1
OG0000953	XP_317950.3, XP_317944.4, XP_317948.4, XP_554872.3	XP_025989139.1, XP_011155835.2
OG0000955	XP_001238322.2, XP_561526.1, XP_320459.4	XP_011162740.2
OG0000957	XP_316912.4	XP_011168741.1, XP_039312334.1
OG0000958	XP_318029.4	XP_011162112.1
OG0000959	XP_319812.4	XP_039308943.1
OG0000960	XP_313575.5	XP_011167205.2
OG0000960	XP_316346.4	XP_039307029.1
OG0000961	XP_312657.5, XP_003436086.1	XP_011156839.1
OG0000962	XP_308166.4	XP_025991221.1, XP_025991228.1
OG0000963	XP_312843.1, XP_003436411.1, XP_003436410.1, XP_003436409.1	XP_025991764.1, XP_025991763.1
OG0000964	XP_320746.4	XP_011158913.1, XP_011158916.1
OG0000965	XP_001688923.1, XP_001688924.1, XP_316615.4, XP_316614.4	XP_025990144.1
OG0000966	XP_314043.4	XP_025990155.1
OG0000967	XP_308187.4, XP_001687862.1	XP_011165638.2, XP_011165637.1
OG0000968	XP_313931.4	XP_039307503.1, XP_039307502.1
OG0000970	XP_320569.3	XP_011156652.2, XP_011156653.2
OG0000972	XP_317352.3	XP_025996480.1, XP_025996479.1, XP_025996478.1
OG0000974	XP_001689389.2	XP_011158478.1, XP_039315669.1
OG0000975	XP_317924.4	XP_039305372.1, XP_039305351.1, XP_039305332.1
OG0000976	XP_320253.2	XP_011166681.1, XP_011166682.1, XP_011166683.1
OG0000977	XP_312558.5	XP_011170453.1, XP_025988785.1
OG0000978	XP_310715.5, XP_314327.3	XP_039312849.1
OG0000979	XP_319777.4, XP_309185.5	XP_039310714.1, XP_025989398.2
OG0000981	XP_318419.5	XP_011175614.2
OG0000982	XP_001687830.2	XP_039312643.1
OG0000983	XP_311964.4	XP_025996299.1, XP_011161616.1, XP_011161615.1
OG0000984	XP_319605.4	XP_011168645.1
OG0000984	XP_552730.3	XP_011168644.1
OG0000985	XP_315127.2	XP_011166971.1
OG0000986	XP_320937.5	XP_025989999.1, XP_025989996.1
OG0000987	XP_320264.4	XP_039313616.1, XP_011168290.2
OG0000989	XP_321415.5, XP_003435899.1	XP_025986626.1, XP_011158016.1
OG0000990	XP_321555.1	XP_011157427.1, XP_011157429.1, XP_011157428.1, XP_025995188.1
OG0000992	XP_309992.2	XP_039309285.1
OG0000993	XP_003436444.1, XP_003436445.1	XP_011158936.1, XP_011158937.1
OG0000994	XP_309631.5	XP_039302337.1, XP_011170722.1
OG0000995	XP_308821.4, XP_001688099.1	XP_039309136.1, XP_011175780.2
OG0000996	XP_314487.3	XP_025989662.1, XP_011164800.1
OG0000997	XP_315616.4	XP_039302938.1
OG0000997	XP_311426.1	XP_011155662.1
OG0000998	XP_311299.1, XP_316865.2, XP_003437127.1	XP_011159136.2
OG0000999	XP_317398.3, XP_001237925.1	XP_025988924.1
OG0001000	XP_003436472.1, XP_311698.5	XP_039305721.1, XP_025987551.1, XP_039305714.1
OG0001001	XP_001688785.1, XP_316161.4, XP_001688784.1, XP_001688783.1	XP_011155828.1, XP_011163623.1
OG0001002	XP_552293.2, XP_319645.4	XP_011166211.1
OG0001003	XP_314318.4	XP_025992817.1, XP_011165020.1, XP_011165021.1
OG0001004	XP_308942.4	XP_011169693.1
OG0001005	XP_321274.5	XP_039306361.1, XP_039306362.1, XP_011161118.1, XP_011161120.1, XP_011161119.1
OG0001006	XP_003436707.1, XP_309629.5	XP_011175337.3, XP_011175336.2
OG0001007	XP_001688444.2	XP_025996086.1
OG0001008	XP_310585.4	XP_039313823.1
OG0001008	XP_310530.3	XP_025995609.2, XP_011173151.2
OG0001009	XP_310493.5	XP_011166446.1
OG0001009	XP_317322.4	XP_039305198.1
OG0001010	XP_310232.4	XP_039308328.1, XP_039308327.1, XP_039308329.1, XP_039308333.1
OG0001011	XP_314123.4	XP_025993924.1, XP_011159821.2
OG0001013	XP_314060.4	XP_039307293.1
OG0001014	XP_312817.4	XP_011157434.1
OG0001015	XP_313115.4	XP_011161194.1, XP_025991211.1, XP_011161193.1
OG0001015	XP_308884.2	XP_011161195.1
OG0001016	XP_563695.1	XP_025992910.1, XP_011169863.1
OG0001017	XP_311055.5	XP_025988474.1
OG0001018	XP_001688381.1	XP_039302706.1
OG0001018	XP_313804.3	XP_039302708.1
OG0001019	XP_316696.4	XP_011163380.1
OG0001020	XP_314731.4	XP_011159873.1
OG0001021	XP_309024.3	XP_011163049.2
OG0001022	XP_003436590.1, XP_310271.7	XP_011158427.1, XP_025991400.1, XP_039301782.1, XP_039301783.1, XP_011158425.2
OG0001023	XP_313173.5	XP_025993731.2, XP_025993732.2
OG0001024	XP_319635.4	XP_039307132.1
OG0001025	XP_314283.5	XP_011167003.2
OG0001026	XP_003436567.1, XP_313472.4	XP_039308723.1, XP_039308721.1, XP_039308722.1
OG0001027	XP_309944.3	XP_039308919.1
OG0001028	XP_311527.2	XP_011170350.2, XP_011163544.1
OG0001030	XP_309545.3	XP_025992589.2, XP_025992588.2
OG0001031	XP_315208.4	XP_039307586.1
OG0001032	XP_310000.4	XP_039308244.1
OG0001033	XP_310453.2	XP_011172421.1, XP_011172423.1
OG0001034	XP_310276.4	XP_039303076.1, XP_011171224.1
OG0001035	XP_321735.4	XP_025992621.1
OG0001036	XP_319657.4	XP_011165277.1, XP_025993616.1
OG0001037	XP_315158.3	XP_025993818.1
OG0001038	XP_319690.4	XP_011160153.1
OG0001039	XP_310813.5	XP_011161111.1
OG0001040	XP_311818.2	XP_011165337.1, XP_011165336.1
OG0001041	XP_310153.4	XP_025988910.1, XP_025988911.1, XP_011164254.1, XP_039301989.1
OG0001042	XP_308531.3	XP_025996045.1, XP_025996043.1, XP_025996044.1, XP_025996042.1
OG0001043	XP_308245.4	XP_011166024.2, XP_025992543.2
OG0001044	XP_315822.5	XP_011169612.1, XP_011169610.1
OG0001045	XP_310646.5	XP_011162672.2
OG0001046	XP_312227.5	XP_011162026.1, XP_025987025.1, XP_011162025.1
OG0001048	XP_308398.3	XP_039305995.1
OG0001049	XP_001687845.1, XP_001687846.1, XP_308153.4	XP_011166480.1, XP_011166481.1
OG0001050	XP_320316.4	XP_011159776.1, XP_011159778.1
OG0001052	XP_310662.5	XP_011160586.1
OG0001053	XP_001687881.1, XP_308279.2	XP_011157154.1
OG0001054	XP_314840.4	XP_039313698.1, XP_039313699.1
OG0001055	XP_311983.4	XP_011157954.1
OG0001056	XP_308553.4, XP_001687984.1, XP_001687985.1	XP_039301672.1, XP_011167342.1
OG0001057	XP_309938.3	XP_025992790.1, XP_011155465.1
OG0001058	XP_311505.1	XP_025991914.2
OG0001059	XP_003435972.1, XP_321126.5	XP_011155850.2, XP_025992160.1
OG0001061	XP_315958.4, XP_001688754.1	XP_011161404.1
OG0001063	XP_312857.5	XP_025989549.2, XP_039313025.1
OG0001064	XP_564324.1, XP_310275.7	XP_025994664.2
OG0001065	XP_313928.3	XP_025993227.1, XP_025993228.1
OG0001066	XP_001238515.3, XP_308515.4	XP_025991457.2, XP_039307737.1
OG0001067	XP_001688943.1, XP_557321.3	XP_025986088.2
OG0001068	XP_001237855.2, XP_316699.4, XP_001688951.1	XP_011164046.1, XP_039309169.1
OG0001069	XP_312834.5	XP_039301790.1, XP_011161238.2
OG0001070	XP_317977.5, XP_318025.4, XP_318028.4	XP_039310287.1, XP_039307351.1, XP_025993526.1, XP_039307349.1
OG0001071	XP_312799.5	XP_025992820.1
OG0001072	XP_550917.4	XP_039311109.1
OG0001073	XP_311915.3	XP_011166357.1, XP_011166496.2
OG0001074	XP_307839.4	XP_011159283.1, XP_011159282.2
OG0001076	XP_313348.4	XP_011159538.1
OG0001077	XP_319424.2, XP_319425.2	XP_011170429.1, XP_011170430.1, XP_011170428.1
OG0001078	XP_320176.3, XP_320177.4	XP_025986036.1, XP_025986037.1, XP_011166956.1, XP_039308895.1
OG0001079	XP_320339.4	XP_025991664.1, XP_011159694.1
OG0001082	XP_315574.3, XP_001237683.2	XP_011172611.1, XP_025994767.1
OG0001083	XP_314359.3, XP_001688566.1	XP_011159372.2
OG0001084	XP_556553.2	XP_011155352.1, XP_011155351.2
OG0001085	XP_317314.3	XP_025989431.1, XP_025989433.1
OG0001086	XP_001689067.1, XP_001238005.1, XP_317929.3	XP_011165624.1
OG0001090	XP_315009.3	XP_011165641.1
OG0001091	XP_003436096.1, XP_312603.5, XP_319738.2	XP_025990318.1
OG0001092	XP_003436030.1, XP_320944.5, XP_003436029.1, XP_003436028.1	XP_011166457.1, XP_039306837.1
OG0001093	XP_319293.4	XP_011169511.1
OG0001094	XP_307411.2, XP_003436009.1, XP_003436008.1, XP_321028.5	XP_039308804.1, XP_039308803.1, XP_039304718.1, XP_011162536.1, XP_039311022.1, XP_039310600.1, XP_011162537.1
OG0001095	XP_314827.2	XP_011158680.1
OG0001097	XP_317307.4	XP_011171301.1
OG0001098	XP_321240.5	XP_039314597.1
OG0001099	XP_003436928.1	XP_011159174.1, XP_039311351.1
OG0001099	XP_310965.5	XP_039311772.1, XP_039311773.1, XP_011159129.1
OG0001100	XP_314568.3	XP_011166885.1
OG0001101	XP_001688400.2, XP_312658.5	XP_011169060.1, XP_025986266.1
OG0001102	XP_311181.2, XP_312618.2	XP_011173598.1
OG0001103	XP_553744.3	XP_025992892.1
OG0001104	XP_308660.3	XP_011165981.1, XP_011165982.1, XP_039310830.1
OG0001105	XP_310975.1, XP_566239.1, XP_319078.2	XP_011158662.1
OG0001106	XP_320183.2	XP_039306727.1, XP_011171425.1
OG0001107	XP_314706.4	XP_011171628.1
OG0001108	XP_311208.4	XP_011175804.1
OG0001109	XP_321850.3	XP_025997087.1
OG0001110	XP_560496.3, XP_320439.4	XP_039305008.1, XP_025987622.2
OG0001111	XP_321349.4	XP_011167411.1
OG0001112	XP_318149.4	XP_025997156.1
OG0001113	XP_307774.3	XP_011155666.1
OG0001114	XP_318236.4	XP_039308544.1
OG0001115	XP_320996.5	XP_025987003.1
OG0001116	XP_310850.4	XP_025995356.1, XP_039313579.1, XP_039313578.1, XP_011164317.1
OG0001117	XP_312919.4	XP_011160593.1, XP_039304729.1, XP_039304728.1, XP_011160592.1
OG0001118	XP_322006.1	XP_011170731.1, XP_011170733.1, XP_011170732.1
OG0001119	XP_003437115.1, XP_316802.5	XP_025989072.1
OG0001120	XP_318732.4	XP_039302541.1
OG0001120	XP_315358.4	XP_039302542.1
OG0001121	XP_320248.4	XP_025991526.1, XP_039307815.1
OG0001122	XP_320362.4	XP_011155854.1
OG0001123	XP_313330.5	XP_025989167.1, XP_025989166.1
OG0001124	XP_312370.5	XP_011163637.1, XP_011163636.1
OG0001126	XP_312385.5	XP_011166887.2, XP_025985954.2
OG0001127	XP_003437008.1	XP_011158552.1, XP_011158551.3
OG0001128	XP_313287.4	XP_011156523.3
OG0001128	XP_315365.3, XP_001688644.1	XP_011163428.1
OG0001129	XP_308038.5, XP_003436041.1, XP_308996.3	XP_011156357.1, XP_039307593.1
OG0001130	XP_318345.4	XP_025986574.2, XP_011161459.2, XP_039310703.1
OG0001131	XP_003435809.1, XP_321814.4, XP_551513.3	XP_039301948.1, XP_011157851.1
OG0001132	XP_320484.2	XP_011163174.1
OG0001134	XP_319097.3	XP_011160255.1, XP_011160257.1, XP_025992574.1
OG0001135	XP_308076.3, XP_311350.2	XP_039313398.1
OG0001137	XP_024667094.1, XP_306688.4, XP_319223.4	XP_011157895.1, XP_025995386.1
OG0001138	XP_320011.4	XP_011168199.1
OG0001139	XP_307945.5	XP_025985879.1, XP_039309052.1, XP_025985881.1, XP_025993909.2
OG0001140	XP_317273.3	XP_011165958.1
OG0001141	XP_318646.4	XP_025995593.1
OG0001142	XP_311392.4	XP_011155375.3
OG0001143	XP_557018.3	XP_011169579.1
OG0001144	XP_307534.2, XP_313797.5	XP_025992524.1, XP_011166007.2
OG0001145	XP_308148.3	XP_011168245.2
OG0001146	XP_308872.2	XP_039308020.1, XP_011157448.1, XP_039308018.1
OG0001147	XP_310582.2	XP_011166309.1
OG0001148	XP_314234.2	XP_011172034.1
OG0001149	XP_308972.4	XP_039312701.1, XP_011169138.1
OG0001150	XP_315411.4	XP_039310944.1
OG0001151	XP_312460.5	XP_011167664.1, XP_011167665.1, XP_025993787.1, XP_011167666.1
OG0001152	XP_310362.7	XP_011159091.2
OG0001153	XP_553211.3	XP_025989988.2, XP_039312520.1
OG0001154	XP_311713.5, XP_003436477.1	XP_039304154.1, XP_039304148.1
OG0001155	XP_310967.5	XP_011172072.1, XP_039302712.1
OG0001156	XP_003436005.1, XP_321037.5	XP_011159299.2
OG0001157	XP_311092.3	XP_011157466.1, XP_039303668.1, XP_039303663.1
OG0001158	XP_315369.4	XP_025991651.1
OG0001159	XP_552266.3	XP_011167339.1
OG0001160	XP_553588.1	XP_039311819.1
OG0001161	XP_312237.4	XP_011167380.1
OG0001161	XP_321654.3	XP_011156243.2
OG0001165	XP_321402.5, XP_003435904.1	XP_025985971.2
OG0001166	XP_003437030.1, XP_310514.3, XP_001237264.1	XP_011168537.1, XP_011168538.1
OG0001167	XP_316568.4	XP_011156104.1
OG0001168	XP_318706.4	XP_011176352.1
OG0001169	XP_317457.4	XP_039306262.1, XP_039306261.1, XP_011157746.1
OG0001171	XP_310580.4, XP_003437016.1	XP_025994529.1, XP_025994523.1
OG0001172	XP_321331.5, XP_003435918.1	XP_025987963.1, XP_025987960.1
OG0001173	XP_003436462.1	XP_011158513.2, XP_039310526.1
