Orthogroup	Polistes_dominula	Aedes_aegypti
OG0001456	XP_015173849.1	XP_021706989.1
OG0001457	XP_015184596.1	XP_001656531.1
OG0001458	XP_015175901.1, XP_015175900.1, XP_015175899.1	XP_021709031.1
OG0001459	XP_015171442.1	XP_001658793.2
OG0001460	XP_015190961.1, XP_015190965.1, XP_015190964.1, XP_015190963.1, XP_015190962.1, XP_015190960.1	XP_001663584.2
OG0001461	XP_015176344.1, XP_015176345.1	XP_001649395.2
OG0001462	XP_015191825.1	XP_021710250.1, XP_021710252.1
OG0001463	XP_015177202.1, XP_015177310.1	XP_021706165.1, XP_021706164.1
OG0001464	XP_015188722.1	XP_001656398.1, XP_001664152.2, XP_001651087.1, XP_001651086.1
OG0001465	XP_015173627.1, XP_015173626.1	XP_011493120.1, XP_021707681.1, XP_021707682.1, XP_021707683.1
OG0001466	XP_015191372.1, XP_015191371.1	XP_001652327.1
OG0001467	XP_015191228.1	XP_001649724.2
OG0001468	XP_015182236.1	XP_001648269.1
OG0001469	XP_015173948.1	XP_001655637.2, XP_021694126.1, XP_021712662.1, XP_021712661.1, XP_021694127.1, XP_021712660.1
OG0001470	XP_015183790.1	XP_001650785.1, XP_001650784.1, XP_001652204.1
OG0001471	XP_015173745.1	XP_001657926.1
OG0001472	XP_015175682.1	XP_001656628.1
OG0001473	XP_015187320.1, XP_015187319.1	XP_021699212.1
OG0001474	XP_015177871.1, XP_015177872.1, XP_015177870.1, XP_015177869.1	XP_001662447.1
OG0001475	XP_015190515.1, XP_015190514.1, XP_015190517.1, XP_015190516.1	XP_001664045.2
OG0001476	XP_015175246.1	XP_021705887.1
OG0001477	XP_015184346.1, XP_015184344.1, XP_015184345.1	XP_001654194.2
OG0001478	XP_015191461.1, XP_015191460.1	XP_021711922.1, XP_021699182.1
OG0001479	XP_015183743.1	XP_001655863.1
OG0001480	XP_015183437.1, XP_015183438.1	XP_021708351.1
OG0001481	XP_015188658.1	XP_021711458.1, XP_021711459.1, XP_021711454.1, XP_021711457.1, XP_021711456.1, XP_021711455.1
OG0001482	XP_015172163.1	XP_021694591.1, XP_021694590.1, XP_021694592.1, XP_021694593.1, XP_021694594.1, XP_021694595.1, XP_001661357.2
OG0001483	XP_015181718.1	XP_021713037.1, XP_021710729.1, XP_021711353.1, XP_021713109.1, XP_021712820.1, XP_021713247.1, XP_021713178.1, XP_021711820.1, XP_021712986.1, XP_021710117.1, XP_021712319.1
OG0001484	XP_015175898.1	XP_021713154.1, XP_021707140.1, XP_021707142.1, XP_021707144.1, XP_021707145.1, XP_021707146.1, XP_021707138.1, XP_021707137.1, XP_021707141.1, XP_021707139.1, XP_021707143.1
OG0001485	XP_015177502.1	XP_001657384.1, XP_021712680.1
OG0001485	XP_015178622.1	XP_021700466.1
OG0001486	XP_015175781.1, XP_015175780.1	XP_001648831.2, XP_021701667.1, XP_001659833.2
OG0001487	XP_015182757.1, XP_015182738.1, XP_015182748.1	XP_021697348.1, XP_021697349.1, XP_021697346.1, XP_021697347.1, XP_021697353.1, XP_021697354.1, XP_021697351.1, XP_021697352.1, XP_021697355.1
OG0001488	XP_015181799.1	XP_021710667.1
OG0001489	XP_015176967.1	XP_021696755.1, XP_021696757.1, XP_021696756.1, XP_021696759.1, XP_021696758.1, XP_021696752.1, XP_021696753.1, XP_021696750.1, XP_021696751.1, XP_021696749.1, XP_021696754.1
OG0001490	XP_015178127.1, XP_015178132.1	XP_021701945.1, XP_021701935.1
OG0001492	XP_015174948.1	XP_001662155.1, XP_001654105.1, XP_021713033.1
OG0001493	XP_015191116.1, XP_015191113.1	XP_021698974.1
OG0001494	XP_015188603.1, XP_015188604.1	XP_021697267.1, XP_021697268.1, XP_021697269.1
OG0001495	XP_015178123.1	XP_021707805.1
OG0001496	XP_015186531.1	XP_021695727.1, XP_011493651.1, XP_001655836.1
OG0001497	XP_015182259.1	XP_021707615.1
OG0001498	XP_015171068.1	XP_021697831.1
OG0001499	XP_015177596.1, XP_015176679.1	XP_001651889.2
OG0001500	XP_015185116.1	XP_021705614.1, XP_021705612.1, XP_021705613.1, XP_021705610.1, XP_021705611.1, XP_021705609.1
OG0001501	XP_015185127.1, XP_015185121.1	XP_021712753.1, XP_021699608.1
OG0001502	XP_015186599.1	XP_021699619.1
OG0001503	XP_015183782.1, XP_015183781.1	XP_021702842.1, XP_021702843.1, XP_021702844.1
OG0001504	XP_015185019.1	XP_001658122.1, XP_021698045.1, XP_021698047.1, XP_021698046.1, XP_021698048.1
OG0001505	XP_015174265.1, XP_015174264.1	XP_001660600.2, XP_021704345.1
OG0001506	XP_015182578.1	XP_021702222.1, XP_021702224.1, XP_021702223.1, XP_001663031.1
OG0001507	XP_015177328.1, XP_015177327.1	XP_021713312.1
OG0001508	XP_015177702.1	XP_001658818.2
OG0001509	XP_015185640.1	XP_021708146.1, XP_021708145.1, XP_021708148.1, XP_021708147.1, XP_021708149.1, XP_021708142.1, XP_021708144.1, XP_021708143.1
OG0001510	XP_015185130.1	XP_021707687.1
OG0001511	XP_015182878.1	XP_001654598.1, XP_021697822.1
OG0001512	XP_015189317.1, XP_015189383.1	XP_021705417.1, XP_021705418.1, XP_021705415.1, XP_021705416.1, XP_021705414.1
OG0001513	XP_015186717.1	XP_001654919.1, XP_021709538.1, XP_021709542.1, XP_021709539.1, XP_021709540.1, XP_021709543.1, XP_021709541.1, XP_001654920.1, XP_021709544.1
OG0001514	XP_015176729.1, XP_015176728.1	XP_001655385.1, XP_021705456.1
OG0001515	XP_015177834.1, XP_015177833.1	XP_021703402.1, XP_021703403.1, XP_021703404.1, XP_021703405.1
OG0001516	XP_015185898.1, XP_015185899.1	XP_001657534.2
OG0001517	XP_015183612.1, XP_015183607.1	XP_021712247.1
OG0001518	XP_015189264.1	XP_021702663.1
OG0001519	XP_015175798.1	XP_021695723.1, XP_021695724.1
OG0001520	XP_015187128.1, XP_015187111.1, XP_015187110.1	XP_001659529.1
OG0001521	XP_015180263.1	XP_001663347.2
OG0001522	XP_015175123.1	XP_021710700.1
OG0001523	XP_015180935.1, XP_015180937.1	XP_021693518.1
OG0001524	XP_015186809.1	XP_021693893.1, XP_021693937.1
OG0001525	XP_015184938.1	XP_021706611.1, XP_021706609.1, XP_021706610.1
OG0001526	XP_015178598.1, XP_015178596.1	XP_021699965.1, XP_021699966.1, XP_021699961.1
OG0001527	XP_015173864.1, XP_015173865.1, XP_015173863.1	XP_021705511.1, XP_001659060.1
OG0001529	XP_015174994.1	XP_001653365.2, XP_001653366.2
OG0001530	XP_015176147.1	XP_001659200.1
OG0001531	XP_015184383.1, XP_015187852.1	XP_001654172.1, XP_021711999.1
OG0001532	XP_015183811.1	XP_021705174.1
OG0001533	XP_015189494.1	XP_021697618.1
OG0001534	XP_015189643.1	XP_021707804.1
OG0001535	XP_015186975.1	XP_001654088.2
OG0001536	XP_015186566.1	XP_021698558.1, XP_021698552.1
OG0001537	XP_015188456.1	XP_021710074.1, XP_001655561.2
OG0001539	XP_015189287.1	XP_001655433.2
OG0001540	XP_015191170.1	XP_021711753.1, XP_021698365.1, XP_021698362.1, XP_021698363.1, XP_021698361.1, XP_021698364.1
OG0001541	XP_015178821.1, XP_015178820.1	XP_021698640.1, XP_021698641.1, XP_021698643.1, XP_021698642.1, XP_021698644.1
OG0001542	XP_015172897.1, XP_015172896.1, XP_015172895.1, XP_015172894.1	XP_021703912.1
OG0001543	XP_015176705.1, XP_015176695.1	XP_021695126.1, XP_021695125.1, XP_021695123.1, XP_001656251.2
OG0001545	XP_015190983.1	XP_021703178.1
OG0001546	XP_015185052.1	XP_021694031.1
OG0001547	XP_015181840.1	XP_021696774.1, XP_021696775.1, XP_021696776.1, XP_021696777.1, XP_021696778.1
OG0001548	XP_015185434.1	XP_021709810.1
OG0001550	XP_015177632.1, XP_015177631.1	XP_021707016.1, XP_021707017.1
OG0001551	XP_015171737.1	XP_001649247.2
OG0001552	XP_015187635.1	XP_021709518.1, XP_021709510.1
OG0001553	XP_015182983.1, XP_015182982.1	XP_001649155.2
OG0001554	XP_015177936.1	XP_021699256.1
OG0001555	XP_015171140.1	XP_021708369.1
OG0001556	XP_015186765.1	XP_021698930.1
OG0001557	XP_015175627.1	XP_021703099.1
OG0001558	XP_015191297.1	XP_001650847.2, XP_021712862.1, XP_021698214.1, XP_021698215.1
OG0001559	XP_015183022.1	XP_021709809.1
OG0001560	XP_015190671.1	XP_021700177.1
OG0001561	XP_015191824.1	XP_001659517.1
OG0001562	XP_015182895.1	XP_021699829.1, XP_021699830.1
OG0001563	XP_015181815.1, XP_015181822.1	XP_021707780.1
OG0001565	XP_015174966.1	XP_001654340.2, XP_021699250.1, XP_021699255.1, XP_021699253.1, XP_021699252.1, XP_021699251.1
OG0001567	XP_015184022.1, XP_015184019.1, XP_015184017.1	XP_021705207.1
OG0001568	XP_015171293.1	XP_021707976.1, XP_001649607.2, XP_021707970.1
OG0001569	XP_015179612.1, XP_015179613.1, XP_015179614.1	XP_001653986.2
OG0001570	XP_015189116.1	XP_021697701.1
OG0001571	XP_015186942.1, XP_015186945.1, XP_015186944.1	XP_021701795.1, XP_021711966.1
OG0001572	XP_015178634.1, XP_015178635.1, XP_015178633.1	XP_001661833.2, XP_001661834.1
OG0001575	XP_015187477.1, XP_015187476.1	XP_001662131.2, XP_001648863.2
OG0001576	XP_015189138.1	XP_021700231.1
OG0001577	XP_015181769.1, XP_015181767.1, XP_015181768.1, XP_015181770.1	XP_021694857.1
OG0001579	XP_015182527.1, XP_015182525.1	XP_021697228.1
OG0001580	XP_015187407.1	XP_021708412.1
OG0001581	XP_015187930.1	XP_021701022.1, XP_021701021.1, XP_021701019.1, XP_021701020.1, XP_021701017.1, XP_021701018.1, XP_021701015.1, XP_021701016.1, XP_021701023.1
OG0001582	XP_015183090.1	XP_021693418.1
OG0001583	XP_015180361.1	XP_001653136.2
OG0001584	XP_015176021.1	XP_021697527.1
OG0001585	XP_015191709.1, XP_015191710.1	XP_021699005.1
OG0001586	XP_015185311.1	XP_021704945.1, XP_001654729.2
OG0001587	XP_015191489.1, XP_015190749.1	XP_001659266.1
OG0001588	XP_015179867.1, XP_015179870.1	XP_021708908.1
OG0001590	XP_015172057.1	XP_001648508.2, XP_021709476.1, XP_001662559.2, XP_001658622.2, XP_001662400.2, XP_001662401.2
OG0001591	XP_015174470.1, XP_015174467.1, XP_015174468.1	XP_001649539.2
OG0001592	XP_015187036.1, XP_015187038.1, XP_015187037.1, XP_015187039.1	XP_001652031.2, XP_001652030.2
OG0001593	XP_015181273.1	XP_021706070.1, XP_021706066.1, XP_021706068.1, XP_021706069.1, XP_021706060.1, XP_021706061.1, XP_021706062.1, XP_021706063.1, XP_021706065.1, XP_021706067.1, XP_001652228.1
OG0001594	XP_015188973.1, XP_015188971.1, XP_015188972.1, XP_015188970.1	XP_001652589.2
OG0001595	XP_015189340.1	XP_001654339.2
OG0001596	XP_015191635.1	XP_001655002.2
OG0001597	XP_015178307.1	XP_001655545.1
OG0001598	XP_015190339.1	XP_001657509.1, XP_001660818.2, XP_001657506.2
OG0001600	XP_015172667.1	XP_001662110.1, XP_021699697.1, XP_021699698.1
OG0001601	XP_015171493.1	XP_021693003.1, XP_021693005.1, XP_021712673.1
OG0001602	XP_015183839.1, XP_015183800.1	XP_021711854.1, XP_021693787.1
OG0001603	XP_015176177.1	XP_021694636.1
OG0001604	XP_015188043.1, XP_015188050.1	XP_021698607.1, XP_021698608.1
OG0001606	XP_015172640.1	XP_021698821.1, XP_021698822.1
OG0001607	XP_015184717.1, XP_015184716.1	XP_021701306.1
OG0001608	XP_015187299.1, XP_015187300.1, XP_015187301.1	XP_021701802.1, XP_021701803.1, XP_021701800.1, XP_021701801.1
OG0001609	XP_015188544.1, XP_015188515.1, XP_015188525.1, XP_015188505.1, XP_015188535.1	XP_021710794.1, XP_021710793.1, XP_021710792.1
OG0001614	XP_015176267.1, XP_015176276.1	XP_001661445.1
OG0001615	XP_015182550.1	XP_001649059.1, XP_001649058.1
OG0001616	XP_015178045.1, XP_015178047.1	XP_021712922.1, XP_001654033.1
OG0001617	XP_015190684.1	XP_021712041.1, XP_001651134.1
OG0001619	XP_015190429.1	XP_001659711.1
OG0001620	XP_015188860.1	XP_001650713.1
OG0001621	XP_015190659.1	XP_001653624.2
OG0001622	XP_015186727.1, XP_015186728.1	XP_001660625.1
OG0001623	XP_015190034.1, XP_015190040.1	XP_001653270.2
OG0001624	XP_015176544.1	XP_001656550.2
OG0001625	XP_015177101.1	XP_001661087.1
OG0001626	XP_015176231.1	XP_001649135.1
OG0001627	XP_015172961.1, XP_015172959.1, XP_015172958.1, XP_015172962.1	XP_021707044.1, XP_011493541.1, XP_001654478.1
OG0001628	XP_015171937.1	XP_021693961.1
OG0001629	XP_015172088.1	XP_001660169.1
OG0001630	XP_015178835.1	XP_021699215.1, XP_021699214.1
OG0001631	XP_015177368.1, XP_015177373.1	XP_021704306.1
OG0001633	XP_015182014.1	XP_021698387.1, XP_021698388.1, XP_021698385.1, XP_021698386.1, XP_021698396.1, XP_021698395.1, XP_021698391.1, XP_021698392.1, XP_021698389.1, XP_021698393.1, XP_021698394.1, XP_021698390.1
OG0001634	XP_015180733.1	XP_021707434.1, XP_021707433.1, XP_001649577.2
OG0001635	XP_015179819.1, XP_015179811.1, XP_015179829.1, XP_015179838.1	XP_001660621.2
OG0001636	XP_015178335.1	XP_001661101.1
OG0001637	XP_015189563.1, XP_015188558.1, XP_015188556.1	XP_001658256.1
OG0001638	XP_015179077.1	XP_001662068.2
OG0001639	XP_015175995.1	XP_021706741.1
OG0001640	XP_015180722.1, XP_015184760.1, XP_015184759.1, XP_015184761.1	XP_021711928.1, XP_001660977.2
OG0001641	XP_015171298.1	XP_001649767.2, XP_021710563.1, XP_001649763.2, XP_021710569.1
OG0001642	XP_015178349.1	XP_021704630.1, XP_021704631.1, XP_001648127.2
OG0001645	XP_015180126.1	XP_021713239.1
OG0001646	XP_015172870.1	XP_001651173.2
OG0001647	XP_015183151.1	XP_021710653.1, XP_021710277.1
OG0001648	XP_015188305.1	XP_001651963.2
OG0001649	XP_015174582.1, XP_015174583.1	XP_021699402.1
OG0001650	XP_015172351.1, XP_015172362.1	XP_001660443.2
OG0001651	XP_015178101.1	XP_021712338.1
OG0001652	XP_015172002.1	XP_021709162.1
OG0001653	XP_015182639.1	XP_021704764.1, XP_021704765.1
OG0001655	XP_015177740.1	XP_021712934.1, XP_021695115.1
OG0001656	XP_015182234.1	XP_001660613.1
OG0001657	XP_015185995.1	XP_001650988.2
OG0001658	XP_015172255.1	XP_021701909.1
OG0001659	XP_015178120.1	XP_001649004.2, XP_021712038.1
OG0001660	XP_015181932.1, XP_015181931.1	XP_021710671.1
OG0001662	XP_015187280.1	XP_001661416.2, XP_021712562.1
OG0001663	XP_015188339.1	XP_021708803.1
OG0001664	XP_015171691.1, XP_015171697.1	XP_021712961.1
OG0001665	XP_015173995.1	XP_021711561.1, XP_001654204.2, XP_001651001.2, XP_021693638.1
OG0001666	XP_015173812.1	XP_021695946.1
OG0001667	XP_015176389.1	XP_021699681.1
OG0001668	XP_015184028.1	XP_021705214.1
OG0001669	XP_015190370.1	XP_021703010.1, XP_021703012.1, XP_021703011.1, XP_021703006.1, XP_021703008.1, XP_021703009.1, XP_021703007.1
OG0001670	XP_015171522.1, XP_015171521.1	XP_001663817.1
OG0001671	XP_015190867.1	XP_021708990.1
OG0001672	XP_015172033.1	XP_021709521.1, XP_021709522.1, XP_021709520.1
OG0001673	XP_015180771.1	XP_001660487.1
OG0001674	XP_015184415.1	XP_021702429.1, XP_021702434.1, XP_021702435.1, XP_021702430.1, XP_021702431.1, XP_021702432.1, XP_021702433.1
OG0001675	XP_015190090.1	XP_021699206.1, XP_021699205.1, XP_021699208.1, XP_021699207.1
OG0001676	XP_015171676.1	XP_001652395.2
OG0001677	XP_015173312.1, XP_015173313.1	XP_001652096.1
OG0001678	XP_015176003.1	XP_001652786.2
OG0001679	XP_015174082.1, XP_015174081.1, XP_015174083.1	XP_021712412.1, XP_001660326.1
OG0001680	XP_015179524.1	XP_021700806.1, XP_021712519.1
OG0001681	XP_015180758.1, XP_015180757.1	XP_001658183.2
OG0001682	XP_015177297.1, XP_015177294.1, XP_015177286.1	XP_021710725.1, XP_021710723.1, XP_021710727.1
OG0001684	XP_015173233.1, XP_015173232.1	XP_021694318.1
OG0001685	XP_015178482.1	XP_021696569.1
OG0001686	XP_015182332.1, XP_015182331.1, XP_015182334.1, XP_015182333.1	XP_021693026.1, XP_021693027.1, XP_021693024.1, XP_021693025.1, XP_021693022.1
OG0001687	XP_015176262.1	XP_001648656.2
OG0001688	XP_015179659.1	XP_001655654.1
OG0001689	XP_015177005.1, XP_015177074.1	XP_021695340.1, XP_021702951.1, XP_001654676.1, XP_001652436.1, XP_021702788.1, XP_021702787.1
OG0001690	XP_015186314.1, XP_015186310.1	XP_001652822.2
OG0001691	XP_015177829.1, XP_015177828.1	XP_021697807.1, XP_021711737.1
OG0001692	XP_015190462.1	XP_021706079.1, XP_021706080.1
OG0001693	XP_015172583.1, XP_015172582.1	XP_021699846.1, XP_021699847.1, XP_021699845.1
OG0001694	XP_015180898.1, XP_015180899.1	XP_001657811.1
OG0001695	XP_015178111.1	XP_021695027.1
OG0001696	XP_015182100.1, XP_015182092.1	XP_021707171.1
OG0001697	XP_015184921.1	XP_001655183.2
OG0001699	XP_015191510.1	XP_021706338.1, XP_001652000.1
OG0001700	XP_015184942.1	XP_021709327.1, XP_021709333.1, XP_021709340.1
OG0001701	XP_015181941.1	XP_021709749.1
OG0001702	XP_015179413.1, XP_015179414.1	XP_001657404.2
OG0001703	XP_015184472.1	XP_021694077.1, XP_021694076.1
OG0001704	XP_015178919.1	XP_021695754.1, XP_021695753.1
OG0001706	XP_015186456.1	XP_021703194.1
OG0001707	XP_015185946.1	XP_021710585.1, XP_021710586.1
OG0001708	XP_015174840.1, XP_015174838.1, XP_015174843.1, XP_015174844.1, XP_015174841.1, XP_015174842.1, XP_015174839.1, XP_015174845.1	XP_021705236.1
OG0001709	XP_015171892.1, XP_015171880.1	XP_021692980.1
OG0001711	XP_015179743.1	XP_001650198.2
OG0001712	XP_015186849.1, XP_015186847.1	XP_021711134.1
OG0001713	XP_015184183.1	XP_021705608.1, XP_021705607.1, XP_021705606.1, XP_021705605.1
OG0001714	XP_015173979.1, XP_015173977.1	XP_001661880.1
OG0001715	XP_015179856.1, XP_015179857.1, XP_015179855.1, XP_015179854.1	XP_001660978.1
OG0001716	XP_015181525.1, XP_015181527.1, XP_015181532.1, XP_015181530.1, XP_015181531.1, XP_015181528.1, XP_015181529.1	XP_021708325.1
OG0001717	XP_015172875.1	XP_001648674.1
OG0001718	XP_015186676.1, XP_015186675.1, XP_015186674.1	XP_021698837.1, XP_021698835.1, XP_021698836.1, XP_021698839.1, XP_001648403.1, XP_021698838.1
OG0001719	XP_015189225.1, XP_015189226.1	XP_001653610.1
OG0001720	XP_015187771.1	XP_021707046.1
OG0001722	XP_015183513.1	XP_021700019.1
OG0001723	XP_015179054.1	XP_001658810.2, XP_021708657.1, XP_021708698.1, XP_001658813.1, XP_021708687.1, XP_001660077.1, XP_001663216.2
OG0001724	XP_015175280.1, XP_015175279.1	XP_001658110.2
OG0001725	XP_015182838.1	XP_021709391.1
OG0001726	XP_015183554.1	XP_021706047.1
OG0001727	XP_015175104.1	XP_021701407.1, XP_021701408.1, XP_021701410.1, XP_021701411.1, XP_021701412.1, XP_021701413.1, XP_021701406.1
OG0001728	XP_015190161.1	XP_021700273.1
OG0001729	XP_015187677.1, XP_015187674.1, XP_015187673.1, XP_015187676.1, XP_015187675.1	XP_021696384.1, XP_021696372.1, XP_021696389.1
OG0001730	XP_015186424.1	XP_021707010.1, XP_021707011.1, XP_021707007.1, XP_021707008.1
OG0001731	XP_015186461.1, XP_015186460.1	XP_021708554.1, XP_021708557.1
OG0001732	XP_015179252.1, XP_015179256.1	XP_021694992.1
OG0001733	XP_015181621.1	XP_021695329.1, XP_021702423.1, XP_021702422.1, XP_021701342.1, XP_021712901.1, XP_021701341.1, XP_021702192.1
OG0001734	XP_015174635.1, XP_015174634.1	XP_021703177.1, XP_001658259.2
OG0001735	XP_015188127.1	XP_021703341.1, XP_021706414.1
OG0001736	XP_015181565.1	XP_001657611.1
OG0001737	XP_015187076.1	XP_001659930.2
OG0001738	XP_015174058.1	XP_001660400.1, XP_021697734.1
OG0001739	XP_015178550.1	XP_021695605.1, XP_021695606.1
OG0001740	XP_015188917.1, XP_015188913.1	XP_021704328.1
OG0001741	XP_015172220.1	XP_001649571.2, XP_021710883.1, XP_021710884.1
OG0001742	XP_015178632.1, XP_015178629.1, XP_015178628.1	XP_021708254.1
OG0001743	XP_015172123.1	XP_001660114.1
OG0001744	XP_015176642.1	XP_021704069.1, XP_021704068.1
OG0001745	XP_015181631.1, XP_015181632.1	XP_021713007.1
OG0001746	XP_015177893.1	XP_001649222.1, XP_021710593.1, XP_021710589.1, XP_021710590.1, XP_021710587.1, XP_021710592.1, XP_021710591.1
OG0001747	XP_015189491.1, XP_015189492.1	XP_021706970.1
OG0001748	XP_015187137.1	XP_021708833.1, XP_021708840.1
OG0001749	XP_015176030.1	XP_021706440.1
OG0001750	XP_015171096.1, XP_015171107.1, XP_015171086.1	XP_001647895.2
OG0001751	XP_015178965.1	XP_001648099.1
OG0001752	XP_015190353.1, XP_015190354.1	XP_001659769.2, XP_001651958.2, XP_001655198.2
OG0001753	XP_015172267.1	XP_001652244.1
OG0001754	XP_015179044.1	XP_001652911.1
OG0001755	XP_015181109.1	XP_001653062.1
OG0001756	XP_015178162.1	XP_001655179.1
OG0001757	XP_015180560.1, XP_015180559.1	XP_001661597.2, XP_001661598.2, XP_001655682.2, XP_021705284.1
OG0001758	XP_015178263.1	XP_001656095.2
OG0001759	XP_015184280.1	XP_001657407.2
OG0001760	XP_015188230.1	XP_001657581.2
OG0001761	XP_015180608.1, XP_015180607.1	XP_021701351.1, XP_021701354.1, XP_021701350.1, XP_001658196.1, XP_021701346.1, XP_021701347.1, XP_021701345.1, XP_021701348.1, XP_021701349.1, XP_021701344.1, XP_021701352.1
OG0001762	XP_015182502.1	XP_001661603.1
OG0001763	XP_015183777.1, XP_015183776.1	XP_021707256.1, XP_001662871.1
OG0001764	XP_015171787.1	XP_001663376.2
OG0001765	XP_015186387.1	XP_001663710.1
OG0001766	XP_015181567.1	XP_021699736.1
OG0001767	XP_015184699.1, XP_015184700.1	XP_021702187.1, XP_021702186.1
OG0001768	XP_015179106.1	XP_021707862.1, XP_021707851.1, XP_021707864.1, XP_021707860.1, XP_021707856.1, XP_021707857.1, XP_021707858.1, XP_021707859.1, XP_021707852.1, XP_021707853.1, XP_021707854.1, XP_021707855.1, XP_021707863.1
OG0001769	XP_015183571.1	XP_021711093.1, XP_021711094.1
OG0001774	XP_015172916.1, XP_015172915.1, XP_015172655.1	XP_021700405.1, XP_001663729.1, XP_021700404.1
OG0001775	XP_015190417.1	XP_001655999.2
OG0001776	XP_015182852.1, XP_015182851.1, XP_015182850.1	XP_021710782.1
OG0001777	XP_015182894.1	XP_001654587.1
OG0001778	XP_015184509.1, XP_015184510.1	XP_001655466.1, XP_021701850.1
OG0001779	XP_015190052.1	XP_001654343.1
OG0001780	XP_015172198.1	XP_021712259.1, XP_021707611.1, XP_021712258.1, XP_021707612.1, XP_021707614.1, XP_021707613.1, XP_021712257.1
OG0001781	XP_015181541.1	XP_001658016.1, XP_001654360.1
OG0001782	XP_015182964.1	XP_001663680.2
OG0001783	XP_015177531.1	XP_001662178.1
OG0001784	XP_015191381.1, XP_015191380.1	XP_021693607.1
OG0001785	XP_015183238.1	XP_001647846.1, XP_021693061.1
OG0001786	XP_015181662.1	XP_001652846.1, XP_001652845.1
OG0001787	XP_015189726.1, XP_015189724.1, XP_015189725.1	XP_001661418.1
OG0001789	XP_015172016.1	XP_001650308.2
OG0001790	XP_015173377.1	XP_021713380.1
OG0001791	XP_015190967.1	XP_001660244.1
OG0001792	XP_015173089.1	XP_001653344.1
OG0001793	XP_015181906.1, XP_015181905.1	XP_001657814.1
OG0001794	XP_015172744.1, XP_015172746.1	XP_021699339.1
OG0001796	XP_015181575.1	XP_001650832.1
OG0001797	XP_015174317.1, XP_015174316.1, XP_015174318.1	XP_001655339.1
OG0001799	XP_015181058.1	XP_001650267.3
OG0001800	XP_015182626.1	XP_001661937.2
OG0001801	XP_015189112.1	XP_001656302.2
OG0001802	XP_015184099.1	XP_001648600.1
OG0001803	XP_015173684.1	XP_001654138.1
OG0001804	XP_015172505.1	XP_001651535.2
OG0001805	XP_015183215.1	XP_001658946.1
OG0001806	XP_015172073.1	XP_021703614.1, XP_021703613.1, XP_021703612.1, XP_001650209.1
OG0001807	XP_015175022.1	XP_021697949.1, XP_021697948.1, XP_021697946.1
OG0001808	XP_015178818.1, XP_015178817.1	XP_001648504.1, XP_001648505.2, XP_021711910.1
OG0001809	XP_015191458.1	XP_021704020.1
OG0001810	XP_015187768.1	XP_021710388.1, XP_001648205.1
OG0001811	XP_015179133.1, XP_015179132.1	XP_021706968.1
OG0001812	XP_015184446.1	XP_021703749.1, XP_001649272.1, XP_001647949.1, XP_021704430.1
OG0001813	XP_015176884.1, XP_015176882.1	XP_021706119.1, XP_001660430.2
OG0001814	XP_015189098.1	XP_021699004.1
OG0001815	XP_015187920.1	XP_021706600.1, XP_001654420.1
OG0001816	XP_015182630.1	XP_021711934.1, XP_021705859.1
OG0001818	XP_015172030.1	XP_001648308.1
OG0001820	XP_015191623.1, XP_015191616.1	XP_001656491.2
OG0001821	XP_015181495.1, XP_015181492.1	XP_021705923.1
OG0001822	XP_015171073.1	XP_021701245.1
OG0001823	XP_015176859.1	XP_001657128.2
OG0001824	XP_015189023.1	XP_021706910.1
OG0001825	XP_015185295.1, XP_015185294.1	XP_001658727.1
OG0001826	XP_015177308.1	XP_021697012.1
OG0001827	XP_015182624.1, XP_015182623.1, XP_015182625.1	XP_021712977.1, XP_021712976.1, XP_021712975.1, XP_021712974.1, XP_021712973.1, XP_021712972.1
OG0001828	XP_015174436.1	XP_021712291.1, XP_001658462.1
OG0001829	XP_015178827.1	XP_001654783.1
OG0001830	XP_015178071.1	XP_021710578.1, XP_021710575.1, XP_021710579.1, XP_021710577.1, XP_021710576.1
OG0001831	XP_015174645.1, XP_015174646.1, XP_015174647.1	XP_001657882.2
OG0001832	XP_015181212.1	XP_021707800.1, XP_021707803.1, XP_021707802.1, XP_021707801.1
OG0001833	XP_015181683.1	XP_001660568.1, XP_021697617.1
OG0001834	XP_015182779.1	XP_001658587.2
OG0001835	XP_015183122.1	XP_021699457.1, XP_021699456.1
OG0001836	XP_015180630.1, XP_015180614.1	XP_021696438.1, XP_021696292.1
OG0001837	XP_015189164.1	XP_001657385.1
OG0001838	XP_015180604.1, XP_015180605.1	XP_001662943.2
OG0001839	XP_015174931.1	XP_001656241.1, XP_001656242.2
OG0001840	XP_015178155.1	XP_021693014.1
OG0001841	XP_015184784.1, XP_015184800.1, XP_015184809.1, XP_015184791.1	XP_001662612.2, XP_021706346.1
OG0001843	XP_015189252.1	XP_001647861.1
OG0001844	XP_015186283.1, XP_015186282.1	XP_001648000.2, XP_021693221.1, XP_001647999.2, XP_021693222.1
OG0001845	XP_015171481.1, XP_015171482.1, XP_015171479.1, XP_015171480.1, XP_015171483.1	XP_001654410.1
OG0001846	XP_015179950.1	XP_021693741.1, XP_021693743.1, XP_021693742.1
OG0001847	XP_015177683.1	XP_021696658.1, XP_001653615.1, XP_021712569.1, XP_021712570.1
OG0001848	XP_015171583.1	XP_001660510.1
OG0001850	XP_015191839.1, XP_015191837.1	XP_001657137.1
OG0001851	XP_015184861.1	XP_001658707.2
