Orthogroup	Polistes_dominula	Acyrthosiphon_pisum
OG0000971	XP_015175695.1	XP_008187914.1
OG0000972	XP_015171553.1, XP_015171554.1	XP_008189931.1, XP_029343272.1, XP_016657202.1
OG0000973	XP_015186443.1	XP_016656963.1
OG0000974	XP_015189633.1, XP_015189632.1	XP_016657883.1
OG0000975	XP_015177036.1, XP_015177027.1	XP_016660728.1, XP_029346858.1
OG0000976	XP_015186917.1	XP_016661759.1, XP_016661760.1
OG0000977	XP_015171419.1	XP_016662161.1
OG0000978	XP_015175367.1, XP_015190980.1	XP_016663179.1
OG0000979	XP_015171776.1, XP_015191604.1	XP_029341765.1, XP_029341057.1, XP_029341501.1
OG0000981	XP_015191624.1	XP_029343351.1, XP_029342235.1
OG0000983	XP_015184122.1, XP_015184123.1	XP_029344536.1
OG0000984	XP_015172434.1	XP_029346848.1
OG0000984	XP_015172433.1	XP_029345642.1
OG0000985	XP_015179027.1, XP_015179026.1, XP_015179029.1	XP_029345675.1
OG0000986	XP_015181002.1, XP_015172997.1, XP_015173003.1, XP_015173002.1	XP_029345917.1
OG0000987	XP_015174917.1, XP_015172232.1	XP_029347197.1
OG0000988	XP_015174119.1, XP_015174118.1, XP_015174120.1	XP_029347512.1
OG0000992	XP_015176311.1	NP_001119688.1, XP_008186477.1
OG0000993	XP_015179484.1	XP_008180030.1, NP_001155787.1, NP_001156279.1, NP_001155400.1
OG0000994	XP_015182304.1, XP_015182305.1	NP_001155677.1
OG0000995	XP_015174088.1, XP_015188779.1	NP_001156043.1, NP_001155760.1
OG0000996	XP_015185752.1	XP_029347277.1, NP_001155868.1
OG0000997	XP_015188106.1	XP_001949764.1
OG0000997	XP_015188102.1	XP_008184138.1, NP_001156089.1
OG0000998	XP_015179630.1	NP_001156289.1, XP_016656740.1
OG0000999	XP_015177401.1	NP_001162142.1
OG0001000	XP_015172622.1, XP_015187087.1, XP_015187088.1	NP_001233031.1, XP_008178887.1
OG0001001	XP_015185344.1, XP_015179997.1	XP_008185400.1, NP_001233092.1
OG0001002	XP_015184907.1	NP_001233101.1
OG0001003	XP_015171955.1	NP_001268887.1, XP_016656764.1
OG0001004	XP_015173692.1	XP_001946521.1
OG0001004	XP_015181012.1	XP_008186856.1
OG0001005	XP_015190463.1	XP_001942942.1
OG0001006	XP_015173951.1, XP_015173950.1	XP_001943026.2
OG0001007	XP_015174648.1	XP_029344489.1, XP_001943043.1
OG0001008	XP_015181878.1	XP_003246086.1
OG0001008	XP_015181872.1	XP_001943103.2
OG0001009	XP_015180568.1, XP_015181885.1	XP_001943449.2
OG0001010	XP_015178164.1	XP_001943636.2, XP_001943523.1
OG0001011	XP_015173222.1	XP_001943714.1
OG0001012	XP_015185266.1	XP_001944015.1
OG0001013	XP_015177366.1, XP_015177365.1	XP_008180675.1, XP_003248807.2, XP_001944587.3
OG0001014	XP_015187836.1, XP_015187835.1	XP_001944614.1
OG0001015	XP_015177456.1	XP_001951086.1, XP_003248708.1
OG0001015	XP_015179864.1	XP_001944801.1
OG0001016	XP_015188536.1, XP_015177132.1	XP_001945112.2
OG0001017	XP_015177391.1	XP_001945330.2, XP_016655808.2
OG0001018	XP_015173309.1	XP_001946341.1
OG0001018	XP_015173310.1	XP_008179450.1
OG0001019	XP_015177206.1	XP_001946692.2
OG0001020	XP_015187551.1	XP_001946841.2
OG0001022	XP_015191555.1, XP_015191556.1	XP_001947414.2
OG0001023	XP_015186868.1	XP_001947762.1, XP_008180348.1
OG0001025	XP_015173183.1, XP_015173182.1	XP_029343659.1, XP_001948094.2
OG0001026	XP_015180087.1	XP_001948463.2, XP_001948416.2, XP_029346922.1, XP_029346921.1, XP_029346920.1
OG0001027	XP_015175288.1	XP_001948533.1
OG0001028	XP_015188132.1, XP_015182313.1	XP_001948556.2
OG0001029	XP_015177580.1, XP_015177573.1, XP_015177567.1	XP_008190084.1, XP_029342788.1
OG0001030	XP_015178239.1	XP_016661322.1, XP_008184787.1, XP_003245679.1, XP_003245680.1, XP_008184785.1, XP_029342642.1, XP_001948670.2
OG0001031	XP_015189664.1	XP_001949042.1
OG0001032	XP_015171354.1, XP_015172562.1	XP_001949161.2
OG0001033	XP_015177748.1, XP_015177749.1, XP_015177752.1, XP_015177751.1, XP_015177750.1, XP_015177747.1	XP_001949643.1
OG0001034	XP_015179826.1, XP_015179827.1, XP_015179830.1, XP_015179831.1, XP_015179832.1	XP_001949856.2, XP_016659465.1
OG0001035	XP_015171590.1, XP_015171589.1	XP_001949960.1
OG0001036	XP_015189522.1, XP_015186622.1	XP_001950214.2
OG0001037	XP_015178992.1	XP_029343413.1, XP_001950704.2
OG0001038	XP_015184808.1, XP_015184811.1, XP_015184810.1, XP_015184807.1	XP_003245753.1, XP_001951213.2
OG0001039	XP_015189450.1, XP_015189451.1	XP_001952170.1
OG0001040	XP_015184842.1	XP_001952444.1
OG0001041	XP_015186655.1, XP_015186654.1	XP_003240137.1
OG0001042	XP_015172705.1	XP_003242156.1, XP_016657148.2
OG0001043	XP_015185068.1, XP_015185072.1	XP_003242212.1, XP_016657192.1
OG0001044	XP_015180939.1, XP_015180940.1, XP_015180941.1	XP_029345616.1, XP_003246254.2
OG0001045	XP_015185458.1, XP_015185459.1, XP_015185456.1, XP_015185457.1, XP_015185462.1, XP_015185463.1, XP_015185461.1	XP_003246846.1, XP_029347130.1, XP_029347128.1, XP_029347129.1
OG0001046	XP_015173825.1, XP_015173826.1	XP_003247064.1, XP_008186797.1
OG0001048	XP_015186928.1	XP_029341307.1, XP_008178442.1
OG0001050	XP_015175709.1, XP_015175708.1	XP_016657682.1, XP_008180288.1
OG0001051	XP_015191452.1	XP_008189529.1, XP_008180713.1, XP_016656400.1
OG0001052	XP_015180357.1, XP_015180358.1	XP_008182858.1, XP_008182857.1
OG0001053	XP_015171805.1	XP_008184495.1
OG0001054	XP_015173173.1	XP_008185488.1, XP_008185487.1, XP_029347617.1
OG0001055	XP_015190402.1	XP_008187614.1
OG0001056	XP_015179749.1, XP_015179748.1	XP_008187892.1
OG0001057	XP_015175264.1	XP_008187989.1
OG0001058	XP_015173539.1	XP_029345982.1, XP_029345983.1, XP_008188372.2, XP_029345984.1
OG0001059	XP_015187659.1, XP_015173846.1	XP_008188476.1
OG0001060	XP_015173589.1	XP_008188543.1
OG0001061	XP_015191193.1	XP_016655779.1
OG0001062	XP_015178303.1	XP_029341858.1
OG0001062	XP_015188610.1	XP_016664545.1
OG0001063	XP_015171771.1, XP_015175807.1	XP_029341043.1, XP_016656351.2, XP_029341494.1
OG0001064	XP_015175528.1, XP_015175527.1	XP_016662408.1
OG0001065	XP_015174858.1, XP_015174857.1	XP_016662735.1
OG0001066	XP_015180531.1, XP_015180532.1, XP_015180530.1	XP_029341094.1
OG0001067	XP_015182289.1	XP_029347427.1, XP_029342601.1
OG0001068	XP_015184896.1	XP_029342993.1, XP_029342992.1
OG0001069	XP_015183176.1	XP_029343159.1
OG0001070	XP_015178305.1	XP_029343506.1, XP_029343509.1
OG0001071	XP_015188159.1, XP_015188158.1, XP_015188153.1, XP_015188152.1, XP_015188154.1, XP_015188155.1, XP_015188156.1	XP_029344587.1, XP_029344586.1, XP_029344584.1, XP_029344588.1
OG0001072	XP_015187375.1, XP_015190524.1	XP_029346976.1, XP_029346977.1
OG0001090	XP_015175110.1	NP_001129420.1
OG0001091	XP_015189101.1, XP_015189103.1	NP_001153848.1, XP_029348531.1, XP_029341881.1, XP_001947968.1, XP_029347308.1, XP_001946133.2
OG0001092	XP_015191425.1, XP_015191467.1	NP_001155140.1, XP_008187000.1
OG0001093	XP_015187165.1, XP_015187166.1	XP_008179870.1, NP_001155505.1
OG0001094	XP_015176080.1	NP_001155508.1, XP_001949834.1
OG0001095	XP_015184068.1	NP_001156278.1, NP_001155646.1
OG0001096	XP_015171385.1	NP_001155662.1
OG0001097	XP_015179419.1, XP_015179409.1	NP_001155680.1
OG0001098	XP_015184515.1	XP_016661622.1, NP_001155733.1
OG0001099	XP_015191447.1	XP_029348134.1, NP_001155764.1
OG0001100	XP_015174604.1	NP_001155768.1
OG0001101	XP_015177055.1	XP_001948284.2, XP_016657265.1, XP_029341296.1, NP_001156051.1
OG0001102	XP_015176575.1, XP_015176574.1, XP_015176576.1	NP_001156053.1
OG0001103	XP_015176930.1	XP_008182544.1, NP_001156129.1, XP_016657962.1, XP_008180461.1
OG0001104	XP_015188143.1, XP_015188146.1	NP_001156133.1, XP_008181357.1
OG0001105	XP_015180113.1	NP_001156173.1, NP_001233027.1
OG0001106	XP_015177824.1, XP_015177823.1	XP_029341550.1, NP_001156267.1
OG0001107	XP_015188221.1, XP_015188220.1, XP_015188224.1, XP_015188222.1, XP_015188219.1, XP_015188218.1, XP_015172943.1	NP_001233091.1, XP_001946336.2
OG0001108	XP_015186207.1	XP_008181413.1, XP_008181414.1, NP_001280378.1
OG0001109	XP_015171708.1	XP_008188103.1, NP_001280404.1, XP_029343710.1
OG0001110	XP_015174699.1	XP_001942870.1, XP_029341142.1
OG0001111	XP_015189229.1, XP_015189231.1	XP_001943176.2
OG0001112	XP_015186816.1, XP_015186814.1	XP_001943561.1
OG0001113	XP_015175661.1, XP_015175660.1	XP_001943767.1
OG0001114	XP_015177983.1	XP_001943824.1
OG0001115	XP_015180257.1	XP_001944095.2
OG0001116	XP_015182647.1	XP_001944235.1
OG0001117	XP_015186405.1	XP_001944518.2
OG0001118	XP_015184284.1, XP_015184283.1	XP_001944745.2, XP_003242948.1
OG0001119	XP_015174575.1, XP_015174576.1, XP_015174573.1, XP_015174574.1, XP_015174577.1	XP_001945455.1
OG0001120	XP_015190181.1	XP_001945509.2
OG0001120	XP_015191352.1	XP_003245192.1
OG0001121	XP_015183325.1	XP_003240109.1, XP_001945890.2
OG0001122	XP_015190629.1	XP_029345343.1, XP_001946021.2, XP_029345344.1, XP_016663184.1, XP_008187069.1, XP_008187068.1
OG0001123	XP_015177504.1, XP_015177505.1	XP_001946462.2
OG0001124	XP_015180596.1	XP_001946733.1, XP_016656939.1, XP_016656937.1, XP_016656938.1
OG0001125	XP_015182013.1	XP_003242835.1, XP_001947132.2
OG0001126	XP_015182667.1	XP_016657415.1, XP_001947403.1
OG0001128	XP_015185085.1	XP_001947778.1
OG0001128	XP_015185078.1	XP_008186751.2
OG0001129	XP_015184969.1	XP_003243491.1, XP_001947806.2
OG0001130	XP_015181166.1	XP_016663878.1, XP_016663877.1, XP_029346824.1, XP_029346823.1, XP_001947874.1
OG0001131	XP_015183955.1	XP_008187678.1, XP_001947895.2
OG0001132	XP_015191585.1	XP_001948183.1
OG0001133	XP_015175083.1, XP_015189802.1	XP_008181566.1, XP_001948369.2, XP_029348595.1, XP_001948315.1, XP_001950289.2, XP_029342588.1, XP_001951217.2, XP_008189358.2
OG0001134	XP_015179664.1	XP_001948516.2
OG0001135	XP_015174347.1, XP_015174346.1, XP_015174345.1, XP_015174344.1	XP_029341736.1, XP_001949162.2, XP_016662877.1
OG0001136	XP_015171439.1	XP_001949200.2
OG0001137	XP_015176189.1	XP_001949566.1
OG0001138	XP_015178519.1, XP_015178520.1, XP_015178521.1, XP_015178522.1	XP_016659058.1, XP_001949598.1
OG0001139	XP_015189092.1, XP_015187655.1	XP_001949754.1
OG0001140	XP_015190502.1	XP_001950299.1
OG0001141	XP_015175991.1	XP_016663836.1, XP_001950325.2, XP_001951742.2, XP_008185997.1
OG0001142	XP_015174958.1	XP_001950807.2, XP_029346999.1
OG0001143	XP_015178784.1	XP_001950810.1
OG0001144	XP_015173283.1, XP_015173284.1, XP_015173282.1	XP_001950825.2
OG0001145	XP_015188195.1	XP_001950913.1
OG0001146	XP_015184502.1, XP_015184501.1	XP_001950937.1
OG0001147	XP_015191828.1, XP_015191829.1	XP_001950988.1
OG0001148	XP_015179879.1, XP_015179878.1	XP_001951126.1
OG0001149	XP_015189152.1, XP_015189151.1	XP_001951630.1
OG0001150	XP_015182986.1	XP_001951748.2, XP_008183754.1, XP_029346633.1
OG0001151	XP_015191401.1, XP_015191400.1, XP_015191399.1	XP_016658645.1, XP_001952434.2
OG0001152	XP_015183414.1, XP_015183413.1	XP_001952516.2
OG0001153	XP_015191605.1, XP_015191606.1	XP_029345485.1, XP_001952587.2
OG0001154	XP_015183455.1	XP_016662028.1, XP_001952667.2
OG0001155	XP_015188999.1	XP_001952747.1
OG0001156	XP_015176838.1	XP_016664861.1, XP_003241429.1
OG0001157	XP_015190398.1, XP_015190397.1	XP_003243823.1
OG0001158	XP_015187148.1	XP_016659863.1, XP_003244542.1, XP_016659864.1
OG0001159	XP_015175311.1	XP_003245082.1
OG0001160	XP_015177704.1	XP_003245361.2
OG0001161	XP_015190331.1	XP_008183803.1
OG0001161	XP_015178959.1	XP_003246305.2
OG0001162	XP_015180991.1, XP_015180988.1	XP_008179593.1, XP_003246402.2, XP_029343947.1, XP_029343948.1
OG0001163	XP_015180082.1, XP_015180085.1	XP_003247117.1, XP_016663049.1, XP_008183882.1, XP_008181341.1
OG0001164	XP_015186011.1	XP_003247679.1
OG0001165	XP_015173072.1, XP_015173071.1	XP_008179184.1, XP_008179192.1
OG0001166	XP_015177607.1, XP_015177606.1	XP_008179444.1
OG0001167	XP_015185361.1, XP_015185360.1	XP_008181511.1, XP_008181512.1
OG0001168	XP_015172453.1, XP_015172452.1, XP_015172451.1, XP_015172449.1, XP_015172448.1	XP_008183195.2, XP_029345196.1, XP_016662902.1, XP_029344862.1
OG0001169	XP_015171515.1	XP_008183336.1, XP_029345140.1
OG0001170	XP_015185911.1	XP_008183769.1, XP_008183773.1, XP_016660433.1, XP_016660432.1, XP_016660431.1
OG0001171	XP_015191603.1, XP_015191598.1	XP_008183856.1
OG0001172	XP_015171202.1, XP_015171200.1	XP_008184424.1
OG0001173	XP_015189669.1	XP_008184447.1
OG0001174	XP_015173128.1	XP_029345281.1, XP_008185305.1
OG0001175	XP_015176134.1	XP_008185682.1
OG0001176	XP_015182301.1, XP_015182300.1	XP_008188774.1
OG0001177	XP_015189549.1, XP_015189414.1	XP_008189302.1
OG0001178	XP_015171826.1	XP_008189853.1
OG0001179	XP_015186516.1	XP_008190154.1
OG0001180	XP_015187233.1, XP_015187221.1	XP_016657120.1
OG0001181	XP_015172124.1, XP_015172126.1	XP_016657278.1
OG0001183	XP_015172681.1, XP_015172673.1	XP_029343309.1, XP_016658013.1
OG0001184	XP_015172607.1, XP_015172608.1	XP_016659463.1
OG0001185	XP_015177630.1, XP_015177626.1, XP_015177624.1	XP_016660106.1, XP_016660104.1, XP_016660111.1
OG0001186	XP_015186151.1	XP_016660542.1, XP_016660541.1
OG0001187	XP_015188783.1	XP_016661530.1, XP_029346066.1
OG0001188	XP_015185921.1, XP_015185920.1, XP_015185922.1	XP_016664405.1, XP_016662933.1
OG0001189	XP_015185561.1	XP_029343923.1
OG0001190	XP_015174310.1, XP_015174309.1, XP_015174312.1	XP_029344471.1
OG0001191	XP_015177203.1, XP_015177266.1	XP_029346223.1
OG0001193	XP_015179540.1	XP_029346928.1, XP_029346927.1, XP_029346926.1, XP_029346925.1
OG0001214	XP_015176674.1	NP_001153813.1, NP_001153811.1, NP_001153812.1
OG0001215	XP_015178220.1, XP_015178221.1, XP_015178219.1	NP_001153873.1, XP_029347957.1
OG0001216	XP_015171674.1	NP_001153944.1, XP_003249047.1
OG0001217	XP_015176078.1	NP_001155454.1
OG0001218	XP_015173300.1, XP_015173299.1	NP_001155457.1, XP_008179466.1
OG0001219	XP_015184876.1	NP_001155464.1, XP_001949090.1, XP_003248969.1
OG0001220	XP_015182517.1	NP_001155533.1
OG0001221	XP_015176774.1	XP_001951050.1
OG0001222	XP_015191741.1, XP_015191739.1	NP_001155665.2, NP_001156815.1
OG0001223	XP_015188320.1	XP_008182091.1, NP_001155667.1
OG0001224	XP_015188607.1, XP_015188608.1, XP_015188605.1	NP_001156103.1
OG0001225	XP_015188945.1	NP_001156193.1
OG0001226	XP_015186603.1	NP_001156283.1, XP_029341458.1, XP_008184693.1, XP_008184699.1, XP_008184694.1
OG0001228	XP_015179126.1	XP_001947886.1, NP_001280309.1
OG0001229	XP_015176745.1, XP_015176746.1, XP_015176718.1	NP_001280441.1
OG0001230	XP_015184518.1, XP_015184491.1	XP_008184848.1, NP_001280446.1
OG0001231	XP_015177060.1	XP_001943183.2, XP_008186393.1
OG0001232	XP_015171372.1	XP_001942726.2, XP_001942882.2, XP_029342527.1, XP_016659130.1, XP_008182073.1, XP_001950130.3
OG0001233	XP_015178688.1, XP_015178686.1	XP_001944566.2, XP_016662541.1, XP_016657430.1, XP_001943267.2
OG0001234	XP_015174623.1, XP_015174621.1, XP_015174622.1	XP_001943476.2
OG0001236	XP_015185251.1, XP_015185250.1	XP_001944534.1
OG0001237	XP_015185478.1	XP_029343933.1, XP_001945027.2, XP_003245282.1, XP_003245283.1
OG0001238	XP_015173641.1, XP_015173650.1	XP_008188368.1, XP_001945158.2, XP_001950494.2
OG0001239	XP_015186664.1, XP_015186665.1, XP_015186666.1	XP_001945277.2, XP_008183013.1, XP_016656349.1
OG0001240	XP_015178294.1	XP_001945375.1
OG0001241	XP_015190087.1, XP_015190089.1	XP_029343094.1, XP_029343095.1, XP_001946090.2
OG0001242	XP_015191735.1, XP_015191763.1, XP_015191743.1	XP_001946147.2
OG0001243	XP_015178458.1, XP_015178456.1, XP_015178457.1	XP_016661917.1, XP_008185497.1, XP_001946228.1, XP_016658048.1, XP_008180749.1, XP_008185263.1
OG0001244	XP_015171549.1, XP_015171550.1	XP_001946280.2
OG0001245	XP_015181465.1, XP_015181466.1	XP_001946431.1
OG0001246	XP_015181421.1	XP_001947027.2
OG0001247	XP_015176779.1, XP_015176782.1, XP_015176783.1, XP_015176780.1	XP_001951687.2, XP_003243969.1, XP_001947095.2, XP_008182260.1
OG0001248	XP_015183140.1	XP_008180352.1, XP_001947336.2
OG0001249	XP_015177561.1, XP_015177565.1, XP_015177562.1, XP_015177566.1	XP_008179609.1, XP_001947420.1
OG0001250	XP_015191522.1, XP_015191523.1	XP_001947917.2
OG0001251	XP_015174771.1, XP_015174772.1	XP_029344523.1, XP_029344522.1, XP_001948243.2
OG0001252	XP_015174681.1	XP_001948261.1
OG0001253	XP_015177639.1	XP_001948411.2, XP_008187442.1
OG0001254	XP_015182745.1	XP_001948594.2
OG0001255	XP_015173425.1	XP_001948774.2
OG0001256	XP_015186656.1, XP_015186657.1	XP_001949446.1
OG0001257	XP_015173761.1, XP_015173760.1	XP_001949480.1
OG0001258	XP_015172818.1	XP_001949498.2
OG0001259	XP_015175373.1, XP_015175371.1	XP_001949584.1, XP_008184333.1, XP_003242568.1
OG0001260	XP_015184928.1	XP_001950152.1
OG0001261	XP_015184901.1	XP_001950183.1
OG0001262	XP_015182580.1, XP_015182583.1, XP_015182582.1, XP_015182581.1	XP_001950417.1
OG0001263	XP_015178787.1, XP_015178793.1	XP_001950431.1
OG0001264	XP_015185167.1, XP_015185168.1	XP_001950522.1, XP_016657964.1
OG0001265	XP_015185428.1	XP_029347050.1, XP_001950878.2
OG0001266	XP_015185887.1, XP_015185861.1, XP_015185879.1, XP_015185870.1	XP_001950947.2
OG0001267	XP_015176612.1	XP_001951732.1
OG0001268	XP_015186249.1, XP_015173573.1	XP_001952629.1, XP_008187935.1
OG0001269	XP_015182444.1, XP_015182447.1	XP_003240957.1
OG0001270	XP_015180459.1, XP_015180458.1, XP_015180461.1	XP_003241121.1
OG0001271	XP_015180489.1, XP_015180487.1	XP_029342269.1, XP_029342268.1
OG0001272	XP_015184964.1	XP_003242523.1, XP_016657578.1, XP_016657577.1, XP_029347236.1, XP_029345765.1
OG0001273	XP_015184512.1	XP_029341105.1, XP_003243017.1
OG0001274	XP_015177902.1, XP_015171720.1	XP_003243163.1, XP_029347052.1
OG0001275	XP_015175751.1	XP_003243501.1
OG0001277	XP_015175198.1	XP_003243733.1
OG0001278	XP_015178499.1	XP_003244422.1
OG0001279	XP_015183128.1	XP_008183368.1, XP_003244722.1
OG0001280	XP_015176453.1	XP_003245599.2
OG0001281	XP_015188051.1, XP_015188053.1	XP_003246179.1
OG0001282	XP_015187689.1, XP_015187690.1, XP_015187692.1, XP_015187691.1	XP_003248149.1
OG0001283	XP_015175231.1	XP_003248478.1
OG0001284	XP_015172687.1	XP_008182531.1, XP_003248714.1
OG0001285	XP_015189849.1, XP_015189918.1, XP_015189837.1	XP_029343544.1, XP_029342364.1, XP_029342371.1, XP_029342373.1, XP_029342374.1, XP_029342363.1, XP_029343515.1, XP_029343532.1, XP_029343545.1, XP_016664607.1, XP_029342372.1, XP_029342370.1, XP_029343566.1, XP_003248732.1, XP_029343546.1, XP_029343554.1
OG0001286	XP_015171745.1	XP_008178165.1
OG0001287	XP_015182461.1, XP_015182509.1	XP_008178607.1
OG0001288	XP_015180066.1, XP_015180067.1, XP_015180068.1	XP_008181487.1, XP_008182181.1, XP_008182182.1, XP_029347449.1
OG0001289	XP_015171075.1	XP_008181498.1
OG0001290	XP_015176240.1	XP_016657448.1, XP_008181527.1
OG0001291	XP_015179207.1, XP_015179208.1	XP_029343815.1, XP_008184750.1, XP_008184749.1
OG0001292	XP_015187484.1, XP_015187483.1, XP_015187486.1, XP_015187485.1, XP_015187481.1, XP_015187482.1	XP_029343143.1, XP_008185152.1
OG0001293	XP_015188324.1	XP_008185156.1
OG0001294	XP_015177500.1, XP_015177499.1, XP_015177501.1	XP_008186956.1
OG0001295	XP_015180422.1	XP_008187592.1
OG0001298	XP_015188193.1	XP_016657557.1
OG0001299	XP_015182795.1	XP_016659670.1, XP_016659669.1
OG0001300	XP_015187343.1	XP_016660087.1
OG0001301	XP_015176169.1, XP_015176168.1	XP_016660634.1, XP_016660633.1
OG0001302	XP_015176381.1	XP_029347290.1, XP_016662733.1
OG0001303	XP_015187064.1, XP_015187063.1, XP_015187066.1, XP_015187065.1, XP_015187062.1	XP_029341792.1
OG0001304	XP_015185103.1, XP_015185111.1	XP_029342867.1
OG0001305	XP_015191788.1, XP_015190254.1	XP_029348564.1, XP_029342894.1
OG0001306	XP_015176775.1	XP_029344330.1
OG0001307	XP_015182317.1	XP_029345473.1
OG0001308	XP_015184548.1	XP_029346361.1, XP_029346360.1
OG0001328	XP_015177054.1	NP_001127773.1, XP_029341919.1
OG0001329	XP_015188643.1, XP_015188639.1, XP_015188642.1, XP_015188641.1, XP_015188640.1	NP_001155492.1, XP_029344755.1
OG0001330	XP_015172508.1	NP_001155497.1, XP_008186537.1
OG0001331	XP_015190609.1	NP_001155755.1
OG0001332	XP_015173768.1	XP_001952298.1, NP_001155769.1
OG0001333	XP_015171755.1, XP_015171746.1	NP_001155777.1
OG0001334	XP_015180201.1	NP_001191927.1, NP_001156237.1
OG0001335	XP_015187925.1, XP_015187927.1	XP_016663531.1, NP_001156244.1
OG0001337	XP_015176315.1	NP_001191891.1
OG0001338	XP_015179016.1, XP_015179017.1	NP_001191907.1, XP_008181953.1
OG0001339	XP_015188747.1, XP_015188734.1	XP_016662840.1, XP_016660308.1, NP_001280409.1, NP_001280286.1
OG0001340	XP_015175811.1	NP_001280445.1
OG0001341	XP_015186402.1	NP_001313591.2
OG0001342	XP_015177172.1	XP_001942660.2, XP_008185917.1, XP_029346331.1, XP_016662253.1, XP_016662252.1
OG0001343	XP_015179776.1	XP_001942773.2
OG0001344	XP_015188077.1	XP_016660225.1, XP_001943014.1
OG0001345	XP_015175286.1, XP_015175285.1	XP_001943716.2
OG0001346	XP_015171640.1, XP_015171641.1	XP_001943720.2, XP_029345723.1, XP_029345724.1
OG0001347	XP_015184727.1	XP_001944211.2, XP_016658906.1
OG0001348	XP_015175187.1, XP_015175188.1, XP_015175186.1	XP_001944238.2
OG0001349	XP_015175721.1	XP_001944356.1
OG0001350	XP_015184960.1	XP_001944460.2
OG0001351	XP_015188176.1	XP_001945250.1
OG0001352	XP_015186386.1	XP_001945276.1
OG0001353	XP_015186606.1, XP_015186607.1	XP_001945743.2, XP_008186641.1
OG0001354	XP_015184552.1	XP_001945744.2
OG0001355	XP_015191309.1, XP_015191308.1, XP_015191306.1, XP_015191307.1	XP_008189594.1, XP_001946293.2
OG0001356	XP_015183376.1	XP_003244441.1, XP_001946367.2, XP_016659772.1
OG0001357	XP_015185993.1, XP_015185994.1	XP_001947400.1
OG0001358	XP_015179882.1	XP_003246991.1, XP_001947503.2
OG0001359	XP_015175348.1	XP_001947632.1
OG0001360	XP_015175191.1, XP_015175192.1, XP_015175189.1, XP_015175190.1	XP_001947656.2
OG0001361	XP_015189054.1	XP_001947660.2
OG0001362	XP_015189363.1	XP_001947761.1
OG0001363	XP_015172972.1, XP_015172973.1	XP_001947957.1
OG0001364	XP_015181043.1	XP_003241886.1, XP_001948070.1, XP_016656778.1, XP_029344899.1, XP_008179197.1
OG0001365	XP_015191302.1	XP_001948118.2
OG0001366	XP_015173762.1	XP_001950714.1
OG0001368	XP_015184592.1	XP_001948360.1
OG0001369	XP_015181072.1	XP_001948582.1
OG0001370	XP_015184410.1	XP_001948788.2, XP_008187828.1
OG0001371	XP_015181797.1	XP_001948959.2
OG0001373	XP_015181678.1	XP_001949375.2, XP_029342280.1
OG0001374	XP_015188911.1, XP_015188912.1, XP_015188910.1	XP_003244126.1, XP_003240930.1, XP_001949438.1, XP_003247548.1
OG0001375	XP_015188011.1	XP_001949712.2
OG0001376	XP_015188863.1, XP_015188865.1, XP_015188864.1	XP_001949866.1, XP_029343706.1
OG0001377	XP_015171684.1, XP_015171685.1	XP_016657316.1, XP_001951160.1
OG0001378	XP_015188444.1, XP_015188445.1, XP_015189349.1, XP_015189348.1	XP_001951169.1
OG0001379	XP_015188017.1	XP_001951442.2, XP_003248624.2
OG0001380	XP_015189420.1, XP_015189421.1, XP_015189419.1	XP_001951739.1
OG0001382	XP_015186730.1	XP_001952349.1, XP_029347207.1
OG0001383	XP_015189441.1	XP_001952705.1
OG0001384	XP_015182287.1	XP_003241026.1
OG0001385	XP_015191663.1	XP_003242732.1
OG0001386	XP_015186179.1	XP_003242991.1, XP_029342070.1
OG0001387	XP_015187004.1	XP_003243016.1
OG0001388	XP_015187276.1	XP_003243736.1
OG0001389	XP_015174485.1	XP_003243952.1
OG0001390	XP_015172438.1, XP_015172439.1, XP_015172440.1, XP_015172441.1	XP_003245614.1
OG0001391	XP_015182508.1, XP_015182507.1, XP_015182506.1	XP_003246597.1
OG0001392	XP_015188800.1	XP_003246638.2
OG0001393	XP_015172415.1, XP_015172442.1	XP_003246906.1
OG0001394	XP_015176205.1	XP_003247560.1
OG0001395	XP_015187548.1, XP_015187547.1, XP_015187546.1, XP_015187545.1	XP_003248979.1, XP_029343280.1, XP_029343286.1
OG0001396	XP_015190613.1	XP_008178335.1, XP_029341036.1, XP_029341085.1, XP_008184856.2
OG0001397	XP_015184617.1	XP_029346232.1, XP_008178482.1, XP_016656264.1, XP_016656263.1, XP_016656261.1
OG0001398	XP_015174377.1, XP_015174376.1, XP_015174378.1	XP_008179523.1
OG0001399	XP_015190153.1, XP_015190152.1, XP_015190151.1	XP_008180076.2, XP_008180968.1, XP_008181458.1
OG0001400	XP_015183714.1, XP_015183704.1	XP_008180537.1
OG0001401	XP_015187970.1, XP_015187969.1	XP_008182079.1
OG0001402	XP_015191194.1	XP_008183444.1, XP_008183443.1
OG0001403	XP_015187745.1	XP_008183955.3
OG0001404	XP_015179890.1, XP_015179892.1, XP_015179891.1	XP_008184962.1
OG0001405	XP_015174612.1	XP_008185959.1
OG0001406	XP_015180352.1	XP_008186629.1
OG0001407	XP_015184078.1, XP_015184080.1	XP_008186697.1
OG0001408	XP_015187566.1	XP_008186789.1
OG0001409	XP_015188310.1, XP_015188313.1	XP_008187143.1
OG0001410	XP_015185730.1	XP_008187332.1
