Orthogroup	Polistes_dominula	Solenopsis_invicta
OG0001601	XP_015171493.1	XP_039303295.1
OG0001602	XP_015183839.1	XP_025988800.1
OG0001602	XP_015183800.1	XP_025988804.2
OG0001603	XP_015176177.1	XP_039314417.1, XP_039314415.1, XP_011160104.1, XP_025987808.1, XP_025987807.1, XP_025987806.1, XP_025987809.1
OG0001604	XP_015188043.1, XP_015188050.1	XP_039306393.1, XP_039306391.1
OG0001606	XP_015172640.1	XP_039303892.1
OG0001607	XP_015184717.1, XP_015184716.1	XP_025988460.1, XP_039305259.1
OG0001608	XP_015187299.1, XP_015187300.1, XP_015187301.1	XP_039312323.1
OG0001609	XP_015188544.1, XP_015188515.1, XP_015188525.1, XP_015188505.1, XP_015188535.1	XP_025987980.1, XP_011157468.1, XP_011157467.1
OG0001611	XP_015189463.1	XP_011157083.1
OG0001612	XP_015190931.1, XP_015190929.1, XP_015190928.1	XP_025991527.2
OG0001614	XP_015176267.1, XP_015176276.1	XP_039302685.1
OG0001615	XP_015182550.1	XP_011159603.1
OG0001616	XP_015178045.1, XP_015178047.1	XP_011165539.1
OG0001617	XP_015190684.1	XP_025996452.1
OG0001619	XP_015190429.1	XP_039310054.1, XP_039310053.1, XP_025992244.2, XP_011169725.1
OG0001620	XP_015188860.1	XP_011172508.2
OG0001621	XP_015190659.1	XP_011163719.2
OG0001622	XP_015186727.1, XP_015186728.1	XP_011163366.1
OG0001623	XP_015190034.1, XP_015190040.1	XP_011173601.1
OG0001624	XP_015176544.1	XP_025988947.1
OG0001625	XP_015177101.1	XP_011158987.1
OG0001626	XP_015176231.1	XP_011166369.1
OG0001627	XP_015172961.1, XP_015172959.1, XP_015172958.1, XP_015172962.1	XP_025992429.1
OG0001628	XP_015171937.1	XP_039313243.1, XP_011165694.2
OG0001629	XP_015172088.1	XP_011164801.1, NP_001291532.1
OG0001630	XP_015178835.1	XP_011169550.2, XP_011169546.2
OG0001631	XP_015177368.1, XP_015177373.1	XP_025994075.2
OG0001632	XP_015189426.1, XP_015189425.1	XP_025996098.1, XP_039312892.1, XP_039312891.1
OG0001633	XP_015182014.1	XP_025990458.1
OG0001634	XP_015180733.1	XP_011163706.1
OG0001635	XP_015179819.1, XP_015179811.1, XP_015179829.1, XP_015179838.1	XP_025990186.1
OG0001636	XP_015178335.1	XP_011161744.1
OG0001637	XP_015189563.1, XP_015188558.1, XP_015188556.1	XP_011160567.1, XP_039303715.1
OG0001638	XP_015179077.1	XP_011173071.2
OG0001639	XP_015175995.1	XP_011162004.1, XP_039302197.1
OG0001640	XP_015180722.1, XP_015184760.1, XP_015184759.1, XP_015184761.1	XP_011162453.1
OG0001641	XP_015171298.1	XP_011167461.1
OG0001642	XP_015178349.1	XP_011161737.1
OG0001643	XP_015187681.1	XP_025995866.2
OG0001645	XP_015180126.1	XP_011162052.1, XP_011162053.1
OG0001646	XP_015172870.1	XP_025991119.1
OG0001647	XP_015183151.1	XP_011167238.1
OG0001648	XP_015188305.1	XP_011161583.1, XP_039310226.1
OG0001649	XP_015174582.1, XP_015174583.1	XP_011160573.1
OG0001650	XP_015172351.1, XP_015172362.1	XP_039306040.1, XP_039306042.1, XP_039306041.1, XP_039306043.1
OG0001651	XP_015178101.1	XP_039307391.1, XP_039307390.1
OG0001652	XP_015172002.1	XP_025989514.1, XP_011170123.1
OG0001653	XP_015182639.1	XP_011164509.2
OG0001655	XP_015177740.1	XP_011172420.1, XP_011172419.1
OG0001656	XP_015182234.1	XP_025989933.1, XP_011176122.1
OG0001657	XP_015185995.1	XP_011156207.1
OG0001658	XP_015172255.1	XP_025987786.1, XP_011169230.1
OG0001659	XP_015178120.1	XP_011156725.1
OG0001660	XP_015181932.1, XP_015181931.1	XP_011175649.1
OG0001661	XP_015174019.1, XP_015174020.1	XP_025991899.1, XP_011161848.1
OG0001662	XP_015187280.1	XP_011166179.1, XP_011166174.1
OG0001663	XP_015188339.1	XP_011160600.1
OG0001664	XP_015171691.1, XP_015171697.1	XP_039315097.1, XP_039315095.1
OG0001665	XP_015173995.1	XP_011162304.1
OG0001666	XP_015173812.1	XP_011157454.1
OG0001667	XP_015176389.1	XP_039314599.1
OG0001668	XP_015184028.1	XP_011164357.1, XP_011164356.1
OG0001669	XP_015190370.1	XP_011157251.2
OG0001670	XP_015171522.1, XP_015171521.1	XP_039313082.1, XP_025995976.1
OG0001671	XP_015190867.1	XP_039308958.1
OG0001672	XP_015172033.1	XP_039303278.1
OG0001673	XP_015180771.1	XP_011156255.2
OG0001674	XP_015184415.1	XP_025992958.2, XP_039307971.1, XP_025992957.2, XP_011163203.2
OG0001675	XP_015190090.1	XP_011161210.1, XP_011161211.1
OG0001676	XP_015171676.1	XP_011173208.2
OG0001677	XP_015173312.1, XP_015173313.1	XP_011166896.1
OG0001678	XP_015176003.1	XP_011160108.1, XP_011160107.1
OG0001679	XP_015174082.1, XP_015174081.1, XP_015174083.1	XP_011158431.1
OG0001680	XP_015179524.1	XP_011162712.1, XP_039310111.1
OG0001681	XP_015180758.1, XP_015180757.1	XP_039309619.1
OG0001682	XP_015177297.1, XP_015177294.1, XP_015177286.1	XP_011171824.1
OG0001684	XP_015173233.1	XP_039310942.1
OG0001685	XP_015178482.1	XP_039303275.1
OG0001686	XP_015182332.1, XP_015182331.1, XP_015182334.1, XP_015182333.1	XP_011162209.1, XP_039301716.1, XP_039301714.1, XP_039301715.1
OG0001687	XP_015176262.1	XP_025992568.1
OG0001689	XP_015177074.1	XP_025986564.1, XP_025986563.1
OG0001690	XP_015186314.1, XP_015186310.1	XP_039306829.1, XP_011157264.1
OG0001691	XP_015177829.1, XP_015177828.1	XP_011171427.1
OG0001692	XP_015190462.1	XP_011155633.1
OG0001693	XP_015172583.1, XP_015172582.1	XP_025987446.1, XP_039310517.1
OG0001694	XP_015180898.1, XP_015180899.1	XP_011168616.2
OG0001695	XP_015178111.1	XP_011156723.1
OG0001696	XP_015182100.1, XP_015182092.1	XP_039310023.1, XP_039310017.1
OG0001697	XP_015184921.1	XP_039304291.1, XP_039304292.1, XP_025993247.1, XP_025993246.1, XP_025993245.1
OG0001698	XP_015188715.1	XP_039308538.1, XP_039308540.1, XP_039308539.1, XP_039303306.1, XP_039307233.1, XP_039310133.1, XP_039305301.1
OG0001699	XP_015191510.1	XP_025986701.1, XP_011158791.1, XP_011158789.1, XP_011158790.1
OG0001700	XP_015184942.1	XP_011167786.2
OG0001701	XP_015181941.1	XP_025988830.1, XP_011164170.2, XP_039302064.1
OG0001702	XP_015179413.1, XP_015179414.1	XP_011162940.1
OG0001703	XP_015184472.1	XP_011164234.2
OG0001704	XP_015178919.1	XP_011167326.1
OG0001705	XP_015189956.1, XP_015189583.1, XP_015189713.1, XP_015189698.1	XP_039312388.1
OG0001706	XP_015186456.1	XP_011158625.1
OG0001707	XP_015185946.1	XP_011155612.1
OG0001708	XP_015174840.1, XP_015174838.1, XP_015174843.1, XP_015174844.1, XP_015174841.1, XP_015174842.1, XP_015174839.1, XP_015174845.1	XP_011164603.1, XP_025991942.1
OG0001709	XP_015171892.1, XP_015171880.1	XP_025990188.1, XP_025990194.1
OG0001711	XP_015179743.1	XP_011165612.1
OG0001712	XP_015186849.1, XP_015186847.1	XP_011166117.1, XP_011166096.1
OG0001713	XP_015184183.1	XP_011166931.1
OG0001714	XP_015173977.1	XP_025987284.1
OG0001715	XP_015179856.1, XP_015179857.1, XP_015179855.1, XP_015179854.1	XP_011159122.2
OG0001716	XP_015181525.1, XP_015181527.1, XP_015181532.1, XP_015181530.1, XP_015181531.1, XP_015181528.1, XP_015181529.1	XP_025989710.2
OG0001717	XP_015172875.1	XP_011155359.1, XP_039311597.1, XP_025991129.1, XP_011155367.1
OG0001718	XP_015186676.1, XP_015186675.1, XP_015186674.1	XP_011168466.1
OG0001719	XP_015189225.1, XP_015189226.1	XP_011169234.1
OG0001720	XP_015187771.1	XP_025989851.1, XP_011175636.1, XP_025989850.1
OG0001722	XP_015183513.1	XP_011169266.2
OG0001723	XP_015179054.1	XP_011173007.1
OG0001724	XP_015175280.1, XP_015175279.1	XP_039304618.1, XP_025992218.1
OG0001725	XP_015182838.1	XP_011174902.2
OG0001726	XP_015183554.1	XP_025989444.1
OG0001727	XP_015175104.1	XP_011161620.1
OG0001728	XP_015190161.1	XP_039313676.1, XP_039313680.1
OG0001729	XP_015187677.1, XP_015187674.1, XP_015187673.1, XP_015187676.1, XP_015187675.1	XP_039308930.1, XP_039308926.1
OG0001730	XP_015186424.1	XP_025987718.2, XP_025987717.2
OG0001731	XP_015186461.1, XP_015186460.1	XP_011175411.2
OG0001732	XP_015179252.1, XP_015179256.1	XP_039304441.1, XP_011159479.1
OG0001734	XP_015174635.1, XP_015174634.1	XP_039314386.1
OG0001735	XP_015188127.1	XP_011170355.1, XP_039305740.1
OG0001737	XP_015187076.1	XP_039315088.1, XP_011160101.1
OG0001738	XP_015174058.1	XP_039310354.1
OG0001739	XP_015178550.1	XP_011170792.1
OG0001740	XP_015188917.1, XP_015188913.1	XP_011166965.1, XP_025985931.1
OG0001741	XP_015172220.1	XP_025987359.1
OG0001742	XP_015178632.1, XP_015178629.1, XP_015178628.1	XP_039303639.1, XP_025991103.2
OG0001743	XP_015172123.1	XP_011161430.1
OG0001744	XP_015176642.1	XP_039314453.1, XP_039314456.1
OG0001745	XP_015181631.1, XP_015181632.1	XP_011162193.2
OG0001746	XP_015177893.1	XP_011164075.1
OG0001747	XP_015189491.1, XP_015189492.1	XP_039309971.1
OG0001748	XP_015187137.1	XP_039302590.1, XP_039302582.1
OG0001749	XP_015176030.1	XP_039307685.1, XP_039307681.1
OG0001750	XP_015171096.1, XP_015171107.1, XP_015171086.1	XP_011155871.1
OG0001751	XP_015178965.1	XP_011155816.1, XP_011155818.1
OG0001752	XP_015190353.1, XP_015190354.1	XP_039305802.1
OG0001753	XP_015172267.1	XP_011165025.1, XP_039312598.1, XP_039312597.1, XP_039312596.1
OG0001754	XP_015179044.1	XP_039305540.1, XP_039305545.1
OG0001755	XP_015181109.1	XP_011158260.1
OG0001756	XP_015178162.1	XP_039313053.1, XP_039313054.1
OG0001757	XP_015180560.1, XP_015180559.1	XP_039308870.1
OG0001758	XP_015178263.1	XP_039303751.1, XP_025990540.1
OG0001759	XP_015184280.1	XP_011170736.1
OG0001760	XP_015188230.1	XP_039311097.1
OG0001761	XP_015180608.1, XP_015180607.1	XP_039304606.1
OG0001762	XP_015182502.1	XP_011161105.1, XP_011161112.1
OG0001763	XP_015183777.1, XP_015183776.1	XP_011156236.1
OG0001764	XP_015171787.1	XP_039312890.1
OG0001765	XP_015186387.1	XP_011156559.1
OG0001766	XP_015181567.1	XP_011162202.2, XP_025986966.2
OG0001767	XP_015184699.1, XP_015184700.1	XP_011160151.1
OG0001768	XP_015179106.1	XP_011165067.2
OG0001769	XP_015183571.1	XP_025990023.2, XP_039308397.1, XP_039308396.1, XP_039308395.1, XP_039308393.1, XP_039308394.1
OG0001772	XP_015182109.1	XP_011168440.2
OG0001773	XP_015185590.1, XP_015185589.1, XP_015179978.1, XP_015189844.1	XP_039304162.1
OG0001774	XP_015172916.1, XP_015172915.1, XP_015172655.1	XP_025990865.1
OG0001775	XP_015190417.1	XP_025993879.1, XP_011176339.1, XP_011176338.1
OG0001776	XP_015182852.1, XP_015182851.1, XP_015182850.1	XP_011166850.1
OG0001777	XP_015182894.1	XP_011163067.1
OG0001778	XP_015184509.1, XP_015184510.1	XP_011160655.1, XP_011160649.1
OG0001779	XP_015190052.1	XP_011160763.1
OG0001780	XP_015172198.1	XP_039306100.1, XP_011160811.1
OG0001781	XP_015181541.1	XP_011168846.1
OG0001782	XP_015182964.1	XP_011168428.1
OG0001783	XP_015177531.1	XP_025989077.1, XP_011168314.1
OG0001784	XP_015191381.1, XP_015191380.1	XP_011168601.2, XP_011168600.2
OG0001785	XP_015183238.1	XP_011157927.1
OG0001786	XP_015181662.1	XP_011164288.1, XP_025988909.1, XP_011164286.1
OG0001787	XP_015189726.1, XP_015189724.1, XP_015189725.1	XP_011165044.1
OG0001788	XP_015176807.1	XP_025988821.1, XP_025988822.1
OG0001789	XP_015172016.1	XP_011166253.1, XP_011166254.1, XP_039304453.1
OG0001790	XP_015173377.1	XP_011163941.1
OG0001791	XP_015190967.1	XP_011158709.1
OG0001792	XP_015173089.1	XP_011164881.1
OG0001793	XP_015181906.1, XP_015181905.1	XP_025989823.1
OG0001794	XP_015172744.1	XP_025994735.1
OG0001794	XP_015172746.1	XP_025994732.1
OG0001795	XP_015187606.1	XP_011169692.1
OG0001796	XP_015181575.1	XP_011156619.1
OG0001797	XP_015174317.1, XP_015174316.1, XP_015174318.1	XP_011167269.1
OG0001799	XP_015181058.1	XP_039311598.1, XP_011168273.2, XP_011168270.2
OG0001800	XP_015182626.1	XP_011168246.1
OG0001801	XP_015189112.1	XP_039303673.1
OG0001802	XP_015184099.1	XP_011158769.1
OG0001803	XP_015173684.1	XP_039305517.1
OG0001804	XP_015172505.1	XP_011170600.1, XP_011170595.1
OG0001805	XP_015183215.1	XP_011161311.1, XP_011161313.1, XP_011161312.1, XP_011161314.1
OG0001806	XP_015172073.1	XP_011175795.2
OG0001807	XP_015175022.1	XP_011162553.2
OG0001808	XP_015178818.1, XP_015178817.1	XP_011157802.1
OG0001809	XP_015191458.1	XP_011155517.1
OG0001810	XP_015187768.1	XP_039313299.1, XP_011160318.1
OG0001811	XP_015179133.1, XP_015179132.1	XP_011168515.1
OG0001812	XP_015184446.1	XP_011159277.1, XP_011159276.1, XP_039304732.1
OG0001813	XP_015176884.1, XP_015176882.1	XP_039315397.1
OG0001814	XP_015189098.1	XP_025990231.1, XP_039306034.1, XP_039305487.1, XP_039305488.1, XP_039305486.1, XP_039312318.1
OG0001815	XP_015187920.1	XP_011163797.1, XP_039306189.1, XP_039306185.1
OG0001816	XP_015182630.1	XP_039314317.1
OG0001817	XP_015175196.1	XP_039310065.1, XP_011162718.2, XP_011162719.2, XP_011162717.2
OG0001818	XP_015172030.1	XP_025989845.1, XP_025989844.1
OG0001819	XP_015172254.1	XP_039311733.1, XP_011165265.1
OG0001820	XP_015191623.1, XP_015191616.1	XP_011160496.1
OG0001821	XP_015181495.1, XP_015181492.1	XP_025991257.1, XP_025991254.1
OG0001822	XP_015171073.1	XP_011162501.1, XP_025987461.1
OG0001823	XP_015176859.1	XP_011164610.1, XP_025991955.1
OG0001824	XP_015189023.1	XP_011155809.1
OG0001825	XP_015185295.1, XP_015185294.1	XP_025987936.1, XP_025987937.1, XP_025987935.1, XP_025987934.1, XP_025987938.1
OG0001826	XP_015177308.1	XP_011172390.1
OG0001827	XP_015182624.1, XP_015182623.1, XP_015182625.1	XP_039304416.1
OG0001828	XP_015174436.1	XP_011168343.1, XP_039309295.1
OG0001829	XP_015178827.1	XP_025992741.1, XP_025992742.1, XP_025992743.1, XP_025992744.1, XP_025992745.1
OG0001830	XP_015178071.1	XP_011159754.1
OG0001831	XP_015174645.1, XP_015174646.1, XP_015174647.1	XP_025995670.1, XP_025995668.1, XP_025995669.1, XP_039312889.1
OG0001832	XP_015181212.1	XP_039315007.1
OG0001833	XP_015181683.1	XP_039313344.1
OG0001834	XP_015182779.1	XP_011163399.2
OG0001835	XP_015183122.1	XP_011168711.1, XP_011168712.1
OG0001836	XP_015180630.1, XP_015180614.1	XP_039307187.1
OG0001837	XP_015189164.1	XP_011157877.1, XP_011157961.1, XP_011157801.1
OG0001838	XP_015180604.1, XP_015180605.1	XP_025994570.1, XP_039304235.1, XP_039304229.1, XP_039304230.1, XP_039304231.1, XP_039304232.1, XP_039304234.1, XP_039304228.1
OG0001839	XP_015174931.1	XP_039308920.1
OG0001840	XP_015178155.1	XP_011159388.1
OG0001841	XP_015184784.1, XP_015184800.1, XP_015184809.1, XP_015184791.1	XP_039303300.1
OG0001843	XP_015189252.1	XP_011166162.1
OG0001844	XP_015186283.1, XP_015186282.1	XP_025992119.1
OG0001845	XP_015171481.1, XP_015171482.1, XP_015171479.1, XP_015171480.1, XP_015171483.1	XP_011166954.1
OG0001846	XP_015179950.1	XP_011155530.1, XP_011155531.1
OG0001847	XP_015177683.1	XP_011158153.2, XP_039311870.1, XP_011158155.1
OG0001848	XP_015171583.1	XP_011172427.1
OG0001849	XP_015173371.1, XP_015173373.1, XP_015173368.1, XP_015173370.1, XP_015173369.1, XP_015173374.1	XP_011168927.1
OG0001850	XP_015191837.1	XP_025991413.1
OG0001851	XP_015184861.1	XP_011159639.2, XP_011159640.2
OG0001852	XP_015177102.1	XP_011169062.2
OG0001853	XP_015179541.1	XP_011156362.2
OG0001854	XP_015186318.1	XP_039314594.1
OG0001855	XP_015188895.1	XP_011162018.1
OG0001856	XP_015172642.1	XP_011166372.1
OG0001857	XP_015174873.1	XP_039304741.1, XP_025993230.2
OG0001858	XP_015181165.1	XP_011160902.1
OG0001859	XP_015177708.1	XP_011167983.1
OG0001860	XP_015175115.1, XP_015175116.1, XP_015175118.1, XP_015175117.1	XP_011157896.1
OG0001861	XP_015183897.1	XP_011155579.1, XP_039303738.1
OG0001862	XP_015176316.1	XP_011161432.3, XP_039310938.1, XP_025985893.1
OG0001863	XP_015189022.1	XP_039301789.1, XP_011158443.1
OG0001864	XP_015191388.1	XP_011168664.2
OG0001865	XP_015177898.1, XP_015177903.1	XP_011157758.1
OG0001867	XP_015173866.1	XP_025989927.1
OG0001868	XP_015182245.1	XP_025986322.1, XP_025986321.1
OG0001869	XP_015184920.1	XP_025994490.1
OG0001870	XP_015188975.1	XP_025989757.1
OG0001871	XP_015184971.1	XP_011166857.1, XP_011166858.1, XP_011166859.1
OG0001872	XP_015185508.1	XP_011159588.1
OG0001873	XP_015176909.1, XP_015176900.1, XP_015176926.1, XP_015176918.1	XP_011165220.1, XP_011165221.1
OG0001874	XP_015181225.1	XP_011164300.1
OG0001875	XP_015180928.1	XP_039314795.1
OG0001876	XP_015185316.1	XP_011169038.1
OG0001879	XP_015171396.1, XP_015171398.1, XP_015171397.1, XP_015171399.1	XP_011163848.2
OG0001880	XP_015172835.1	XP_039314499.1, XP_039314493.1
OG0001881	XP_015174193.1, XP_015174194.1, XP_015174192.1	XP_011164275.1
OG0001882	XP_015184076.1	XP_011158770.1
OG0001883	XP_015184878.1	XP_011169787.1
OG0001884	XP_015176448.1	XP_025988158.2
OG0001885	XP_015173241.1	XP_025992055.1, XP_039310763.1
OG0001886	XP_015179758.1, XP_015179757.1, XP_015179756.1	XP_011165698.2
OG0001887	XP_015175304.1	XP_025986914.1
OG0001888	XP_015172515.1	XP_039306164.1, XP_039306162.1
OG0001889	XP_015183494.1	XP_039309851.1, XP_039309805.1, XP_039309662.1, XP_039309892.1, XP_039309725.1, XP_039309750.1
OG0001890	XP_015173409.1	XP_011166970.2
OG0001891	XP_015178248.1	XP_011167450.1
OG0001892	XP_015176599.1	XP_025987389.1
OG0001893	XP_015178509.1	XP_011160550.2, XP_011160548.2, XP_011160552.2, XP_011160551.2
OG0001894	XP_015184100.1	XP_025990876.2, XP_025990883.2
OG0001895	XP_015172424.1	XP_025994229.1, XP_025994233.1
OG0001896	XP_015188572.1	XP_011160557.2
OG0001897	XP_015184071.1, XP_015184072.1	XP_039314067.1
OG0001898	XP_015190841.1	XP_011164999.1
OG0001899	XP_015186838.1, XP_015186837.1, XP_015186839.1, XP_015186840.1	XP_011164419.2
OG0001900	XP_015172465.1	XP_025991978.2
OG0001901	XP_015183753.1	XP_039308637.1
OG0001902	XP_015191182.1	XP_025986551.1
OG0001903	XP_015181389.1	XP_025988270.2
OG0001904	XP_015184523.1	XP_011169183.1, XP_025987819.1
OG0001905	XP_015185923.1	XP_025995563.1, XP_025995564.1
OG0001906	XP_015176835.1	XP_025990505.1
OG0001907	XP_015177182.1	XP_011171468.2
OG0001908	XP_015186132.1, XP_015186130.1, XP_015186129.1	XP_039313610.1, XP_011166685.1
OG0001909	XP_015177471.1	XP_025996302.1, XP_025996300.1
OG0001910	XP_015171741.1	XP_025996984.1, XP_011162911.1, XP_011162903.1, XP_011162904.1, XP_039303625.1, XP_039303626.1, XP_039303624.1
OG0001912	XP_015175178.1	XP_039304141.1
OG0001913	XP_015175176.1, XP_015175174.1	XP_025993747.1
OG0001914	XP_015187657.1, XP_015187658.1	XP_025996808.1
OG0001914	XP_015187649.1	XP_039307056.1, XP_039307054.1
OG0001915	XP_015191657.1, XP_015191659.1	XP_011170489.1
OG0001916	XP_015173586.1	XP_011163484.1
OG0001917	XP_015186077.1, XP_015186078.1, XP_015186080.1	XP_011162663.1
OG0001918	XP_015175250.1	XP_039301732.1
OG0001919	XP_015181481.1	XP_011159962.2
OG0001920	XP_015186981.1	XP_011168258.1
OG0001921	XP_015184705.1	XP_039312174.1
OG0001922	XP_015181655.1	XP_025988179.2, XP_025988182.1
OG0001923	XP_015173943.1	XP_039302208.1
OG0001924	XP_015182393.1	XP_011162462.2
OG0001925	XP_015188258.1	XP_011162425.1
OG0001926	XP_015177247.1, XP_015177246.1	XP_025993858.1
OG0001927	XP_015173319.1	XP_039311888.1
OG0001928	XP_015174352.1	XP_025990418.2, XP_039308867.1
OG0001929	XP_015188549.1	XP_011160578.1
OG0001930	XP_015186481.1	XP_011165943.2
OG0001931	XP_015188196.1	XP_011156252.1
OG0001933	XP_015187502.1	XP_011165813.1
OG0001934	XP_015178211.1, XP_015178161.1	XP_039307111.1, XP_011158198.1
OG0001935	XP_015176604.1	XP_025987348.1, XP_011162557.1
OG0001936	XP_015177238.1	XP_039303347.1
OG0001937	XP_015185094.1	XP_025992699.1
OG0001938	XP_015179969.1	XP_011164650.1
OG0001939	XP_015175414.1	XP_011162377.1
OG0001941	XP_015175093.1, XP_015175086.1	XP_011164493.2
OG0001942	XP_015173382.1	XP_039315528.1, XP_039315527.1
OG0001943	XP_015184456.1, XP_015184455.1	XP_025988815.2, XP_011164241.2, XP_011164240.2, XP_011164239.2
OG0001944	XP_015184304.1	XP_039307825.1
OG0001946	XP_015178438.1	XP_011168051.1
OG0001947	XP_015185978.1	XP_039304812.1, XP_039304814.1
OG0001948	XP_015187833.1, XP_015187832.1	XP_039303605.1, XP_039303603.1, XP_039303604.1, XP_025990667.1, XP_025990669.1, XP_025990666.1
OG0001950	XP_015189119.1, XP_015189118.1	XP_011159348.1
OG0001951	XP_015171087.1	XP_011161681.1
OG0001952	XP_015187849.1	XP_025987848.2
OG0001954	XP_015178926.1	XP_011171405.1
OG0001955	XP_015189220.1	XP_039310166.1
OG0001956	XP_015177852.1	XP_011176228.1, XP_039312025.1
OG0001957	XP_015176367.1	XP_039306351.1, XP_039306347.1
OG0001959	XP_015183053.1, XP_015183227.1	XP_039311222.1, XP_011167700.1, XP_011166246.1, XP_025990423.1, XP_011168840.1
OG0001960	XP_015191311.1	XP_011168667.2, XP_011168666.2
OG0001961	XP_015176951.1	XP_011159117.1
OG0001963	XP_015178671.1	XP_025987329.1
OG0001964	XP_015185506.1	XP_011170815.1
OG0001965	XP_015188667.1, XP_015188707.1	XP_011165971.3
OG0001966	XP_015179595.1	XP_011156473.1, XP_039301838.1
OG0001968	XP_015180922.1	XP_025993548.2
OG0001969	XP_015172127.1	XP_025990813.1
OG0001970	XP_015179592.1, XP_015179590.1	XP_011175180.2
OG0001971	XP_015187399.1	XP_039302372.1, XP_011172043.1
OG0001974	XP_015174716.1	XP_039312911.1, XP_011164013.1, XP_011164019.1
OG0001975	XP_015190920.1	XP_039306273.1
OG0001976	XP_015186881.1, XP_015186879.1, XP_015186880.1	XP_011175704.1
OG0001977	XP_015178741.1	XP_039312209.1, XP_011163239.2, XP_039306960.1, XP_039308853.1, XP_039308615.1, XP_025989079.1
OG0001978	XP_015186454.1, XP_015186450.1	XP_025987987.1
OG0001980	XP_015172239.1	XP_011162093.1, XP_011162094.1, XP_025986884.1
OG0001981	XP_015178508.1	XP_039306583.1, XP_039306585.1, XP_039306581.1, XP_039306582.1, XP_039306586.1
OG0001982	XP_015179983.1	XP_039305717.1, XP_039305715.1, XP_025987663.2, XP_039305716.1
OG0001983	XP_015186826.1	XP_039312850.1
OG0001984	XP_015179979.1, XP_015173123.1	XP_039311144.1, XP_039312185.1, XP_011168276.1, XP_011165961.1
OG0001984	XP_015172587.1	XP_025995197.1
OG0001987	XP_015184561.1	XP_039309520.1
OG0001988	XP_015171751.1	XP_011172432.1
OG0001989	XP_015191507.1	XP_011155994.1
OG0001990	XP_015172109.1	XP_011160281.1
OG0001991	XP_015182325.1	XP_011162213.1
OG0001992	XP_015182726.1	XP_011166417.1
OG0001993	XP_015189999.1	XP_011161945.1
OG0001994	XP_015174737.1	XP_011157615.1
OG0001995	XP_015187522.1	XP_011160305.1
OG0001996	XP_015191471.1	XP_039306908.1
OG0001997	XP_015176362.1	XP_011176266.1
OG0001998	XP_015171608.1	XP_011165662.3, XP_039305288.1
OG0001999	XP_015189100.1	XP_011163699.1
OG0002000	XP_015175539.1, XP_015175540.1, XP_015175541.1	XP_011167421.1
OG0002001	XP_015171295.1, XP_015171286.1	XP_011155895.1
OG0002002	XP_015189974.1, XP_015189923.1	XP_011155883.1
OG0002003	XP_015191312.1	XP_011168665.1
OG0002004	XP_015184488.1, XP_015184485.1, XP_015184486.1, XP_015184489.1, XP_015184490.1	XP_011173600.1
OG0002005	XP_015191528.1	XP_011158219.1
OG0002006	XP_015171621.1	XP_025990495.1
OG0002007	XP_015175387.1	XP_011175469.1
OG0002009	XP_015171301.1, XP_015171300.1	XP_011167462.1
OG0002010	XP_015186184.1	XP_011159621.1, XP_011159651.1
OG0002011	XP_015173491.1, XP_015173490.1, XP_015173489.1	XP_011175427.1
OG0002012	XP_015183509.1	XP_011167163.1
OG0002013	XP_015185440.1, XP_015185439.1, XP_015185441.1	XP_011162687.2
OG0002014	XP_015177048.1	XP_011158023.1
OG0002015	XP_015190658.1, XP_015190657.1, XP_015190655.1, XP_015190656.1	XP_011159334.1
OG0002016	XP_015171523.1	XP_011158764.2
OG0002017	XP_015179342.1	XP_025988462.1
OG0002018	XP_015175219.1	XP_011166334.1, XP_011167845.1
OG0002019	XP_015171673.1	XP_011156334.1
OG0002020	XP_015182556.1	XP_039306807.1
OG0002021	XP_015175193.1	XP_011156180.1, XP_039309468.1, XP_039309469.1
OG0002022	XP_015188995.1	XP_011168593.2
OG0002023	XP_015181142.1	XP_025986607.1, XP_039310710.1
OG0002024	XP_015178190.1	XP_011156937.2, XP_025994650.2, XP_011156936.2, XP_011176120.1
OG0002025	XP_015182776.1	XP_011173487.2, XP_039305713.1
OG0002026	XP_015175844.1	XP_011157414.1
OG0002027	XP_015174092.1, XP_015174085.1	XP_025993797.2
OG0002028	XP_015177836.1	XP_039303455.1, XP_039303453.1
OG0002029	XP_015184188.1, XP_015184187.1	XP_011164082.1
OG0002030	XP_015176640.1	XP_025989480.1, XP_025989485.1, XP_025989488.1, XP_025989483.1, XP_025989484.1, XP_025989479.1, XP_039314460.1, XP_025989481.1
OG0002031	XP_015187145.1, XP_015187142.1, XP_015187141.1, XP_015187140.1, XP_015187139.1, XP_015187143.1	XP_025994510.2, XP_011157785.2
OG0002032	XP_015179900.1, XP_015179899.1	XP_011165871.1
OG0002033	XP_015175752.1	XP_039314338.1
OG0002034	XP_015187701.1, XP_015187700.1	XP_011162529.1
OG0002036	XP_015188208.1, XP_015189027.1	XP_025996420.1
OG0002037	XP_015175060.1, XP_015188620.1	XP_025989827.1, XP_011168570.1
OG0002038	XP_015189514.1	XP_039302742.1, XP_011172587.1, XP_039302745.1, XP_039302743.1, XP_039302744.1, XP_011172602.1
OG0002039	XP_015188408.1, XP_015187737.1	XP_011171335.2
OG0002040	XP_015183117.1	XP_039301804.1, XP_025997050.1
OG0002041	XP_015189240.1, XP_015189241.1	XP_025987866.1
