Orthogroup	Polistes_dominula	Habropoda_laboriosa
OG0001417	XP_015188275.1	XP_017790300.1
OG0001418	XP_015177476.1, XP_015189892.1, XP_015189760.1, XP_015176373.1	XP_017797835.1
OG0001419	XP_015175340.1, XP_015175323.1	XP_017789761.1
OG0001420	XP_015183990.1	XP_017790537.1
OG0001421	XP_015182989.1	XP_017797627.1
OG0001422	XP_015191538.1	XP_017792051.1
OG0001423	XP_015178903.1	XP_017799000.1
OG0001424	XP_015184776.1	XP_017797427.1
OG0001425	XP_015188537.1	XP_017799098.1
OG0001426	XP_015179662.1	XP_017788995.1
OG0001427	XP_015175865.1	XP_017797929.1
OG0001428	XP_015172866.1	XP_017792204.1
OG0001429	XP_015171681.1	XP_017797335.1
OG0001430	XP_015179975.1	XP_017791857.1
OG0001432	XP_015178042.1	XP_017794814.1
OG0001433	XP_015180891.1, XP_015180890.1, XP_015180889.1	XP_017791205.1
OG0001434	XP_015171792.1, XP_015171780.1, XP_015185559.1	XP_017795012.1
OG0001436	XP_015179615.1	XP_017798787.1
OG0001437	XP_015173073.1, XP_015173075.1, XP_015173074.1	XP_017791426.1
OG0001438	XP_015173771.1, XP_015173773.1	XP_017791377.1
OG0001439	XP_015175391.1	XP_017789580.1
OG0001440	XP_015180748.1	XP_017788121.1
OG0001441	XP_015171136.1	XP_017794102.1
OG0001442	XP_015181968.1, XP_015181969.1	XP_017789976.1, XP_017792634.1
OG0001443	XP_015183382.1	XP_017796463.1
OG0001444	XP_015190919.1	XP_017793576.1
OG0001444	XP_015171715.1	XP_017792117.1
OG0001445	XP_015178126.1	XP_017796099.1
OG0001446	XP_015178763.1, XP_015178760.1	XP_017789413.1
OG0001448	XP_015171380.1	XP_017798374.1
OG0001449	XP_015174479.1	XP_017787705.1
OG0001451	XP_015191159.1	XP_017795574.1
OG0001453	XP_015178218.1	XP_017792327.1
OG0001455	XP_015188001.1, XP_015188002.1, XP_015188000.1	XP_017791217.1
OG0001456	XP_015173849.1	XP_017795971.1
OG0001457	XP_015184596.1	XP_017791437.1
OG0001458	XP_015175901.1, XP_015175900.1, XP_015175899.1	XP_017797735.1
OG0001459	XP_015171442.1	XP_017794179.1
OG0001460	XP_015190961.1, XP_015190965.1, XP_015190964.1, XP_015190963.1, XP_015190962.1, XP_015190960.1	XP_017787921.1
OG0001461	XP_015176344.1, XP_015176345.1	XP_017790724.1
OG0001462	XP_015191825.1	XP_017797572.1
OG0001463	XP_015177310.1	XP_017792066.1
OG0001464	XP_015188722.1	XP_017789055.1
OG0001465	XP_015173627.1, XP_015173626.1	XP_017795974.1
OG0001466	XP_015191372.1, XP_015191371.1	XP_017789105.1, XP_017789014.1
OG0001467	XP_015191228.1	XP_017795664.1
OG0001468	XP_015182236.1	XP_017790960.1
OG0001469	XP_015173948.1	XP_017792845.1
OG0001470	XP_015183790.1	XP_017790397.1
OG0001471	XP_015173745.1	XP_017788084.1
OG0001473	XP_015187320.1, XP_015187319.1	XP_017796519.1
OG0001474	XP_015177871.1, XP_015177872.1, XP_015177870.1, XP_015177869.1	XP_017789690.1
OG0001475	XP_015190515.1, XP_015190514.1, XP_015190517.1, XP_015190516.1	XP_017799291.1
OG0001476	XP_015175246.1	XP_017787599.1
OG0001477	XP_015184346.1, XP_015184344.1, XP_015184345.1	XP_017792429.1
OG0001478	XP_015191461.1, XP_015191460.1	XP_017794297.1
OG0001479	XP_015183743.1	XP_017793032.1
OG0001480	XP_015183437.1, XP_015183438.1	XP_017795270.1
OG0001481	XP_015188658.1	XP_017788580.1
OG0001482	XP_015172163.1	XP_017798332.1, XP_017798331.1
OG0001483	XP_015181718.1	XP_017796274.1
OG0001484	XP_015175898.1	XP_017797823.1
OG0001485	XP_015177502.1	XP_017791434.1
OG0001485	XP_015178622.1	XP_017787532.1
OG0001486	XP_015175781.1, XP_015175780.1	XP_017795560.1, XP_017795559.1
OG0001487	XP_015182757.1, XP_015182738.1, XP_015182748.1	XP_017792607.1
OG0001488	XP_015181799.1	XP_017789028.1
OG0001489	XP_015176967.1	XP_017796318.1
OG0001490	XP_015178127.1	XP_017795993.1
OG0001491	XP_015172098.1, XP_015172099.1	XP_017788008.1
OG0001492	XP_015174948.1	XP_017798468.1
OG0001493	XP_015191116.1, XP_015191113.1	XP_017789724.1, XP_017789731.1
OG0001494	XP_015188603.1, XP_015188604.1	XP_017794837.1
OG0001495	XP_015178123.1	XP_017796883.1
OG0001496	XP_015186531.1	XP_017797902.1
OG0001497	XP_015182259.1	XP_017793157.1, XP_017793158.1
OG0001498	XP_015171068.1	XP_017798647.1
OG0001499	XP_015177596.1	XP_017791508.1
OG0001499	XP_015176679.1	XP_017795738.1
OG0001500	XP_015185116.1	XP_017789214.1
OG0001501	XP_015185121.1	XP_017792363.1
OG0001502	XP_015186599.1	XP_017792320.1
OG0001503	XP_015183782.1, XP_015183781.1	XP_017793349.1
OG0001504	XP_015185019.1	XP_017788080.1, XP_017788079.1
OG0001505	XP_015174265.1, XP_015174264.1	XP_017792212.1
OG0001506	XP_015182578.1	XP_017790165.1
OG0001507	XP_015177328.1	XP_017796599.1
OG0001508	XP_015177702.1	XP_017796243.1
OG0001509	XP_015185640.1	XP_017797998.1
OG0001510	XP_015185130.1	XP_017793153.1
OG0001511	XP_015182878.1	XP_017792043.1
OG0001512	XP_015189317.1, XP_015189383.1	XP_017787423.1
OG0001514	XP_015176729.1, XP_015176728.1	XP_017797872.1
OG0001515	XP_015177834.1, XP_015177833.1	XP_017794281.1
OG0001516	XP_015185898.1, XP_015185899.1	XP_017793269.1
OG0001517	XP_015183612.1, XP_015183607.1	XP_017791518.1
OG0001518	XP_015189264.1	XP_017795253.1
OG0001519	XP_015175798.1	XP_017795575.1
OG0001520	XP_015187128.1	XP_017796414.1
OG0001521	XP_015180263.1	XP_017790710.1
OG0001521	XP_015180548.1	XP_017790739.1, XP_017790740.1
OG0001522	XP_015175123.1	XP_017789472.1
OG0001523	XP_015180937.1	XP_017791583.1
OG0001524	XP_015186809.1	XP_017791672.1
OG0001525	XP_015184938.1	XP_017793545.1
OG0001526	XP_015178598.1, XP_015178596.1	XP_017799536.1
OG0001527	XP_015173864.1, XP_015173865.1, XP_015173863.1	XP_017787359.1
OG0001529	XP_015174994.1	XP_017789359.1
OG0001530	XP_015176147.1	XP_017799092.1
OG0001531	XP_015184383.1, XP_015187852.1	XP_017793658.1
OG0001532	XP_015183811.1	XP_017790246.1
OG0001533	XP_015189494.1	XP_017788554.1
OG0001534	XP_015189643.1	XP_017794833.1
OG0001535	XP_015186975.1	XP_017790618.1, XP_017790617.1, XP_017790619.1
OG0001536	XP_015186566.1	XP_017794317.1
OG0001537	XP_015188456.1	XP_017792420.1
OG0001538	XP_015186818.1, XP_015189908.1	XP_017789640.1
OG0001539	XP_015189287.1	XP_017788772.1
OG0001540	XP_015191170.1	XP_017799111.1
OG0001541	XP_015178821.1, XP_015178820.1	XP_017792313.1
OG0001542	XP_015172897.1, XP_015172896.1, XP_015172895.1, XP_015172894.1	XP_017793747.1
OG0001543	XP_015176705.1, XP_015176695.1	XP_017789634.1
OG0001545	XP_015190983.1	XP_017788053.1
OG0001546	XP_015185052.1	XP_017796054.1
OG0001547	XP_015181840.1	XP_017792469.1
OG0001548	XP_015185434.1	XP_017795300.1
OG0001549	XP_015188164.1	XP_017792506.1
OG0001550	XP_015177632.1, XP_015177631.1	XP_017795035.1
OG0001551	XP_015171737.1	XP_017794285.1
OG0001552	XP_015187635.1	XP_017794845.1, XP_017794871.1
OG0001553	XP_015182983.1, XP_015182982.1	XP_017794454.1
OG0001554	XP_015177936.1	XP_017795000.1
OG0001555	XP_015171140.1	XP_017795046.1
OG0001556	XP_015186765.1	XP_017788978.1
OG0001557	XP_015175627.1	XP_017795601.1
OG0001558	XP_015191297.1	XP_017798017.1
OG0001559	XP_015183022.1	XP_017789582.1
OG0001560	XP_015190671.1	XP_017794399.1
OG0001561	XP_015191824.1	XP_017791836.1
OG0001562	XP_015182895.1	XP_017791476.1, XP_017791469.1
OG0001563	XP_015181815.1, XP_015181822.1	XP_017794766.1
OG0001565	XP_015174966.1	XP_017795471.1
OG0001567	XP_015184022.1, XP_015184019.1, XP_015184017.1	XP_017793208.1
OG0001568	XP_015171293.1	XP_017790732.1
OG0001569	XP_015179612.1, XP_015179613.1, XP_015179614.1	XP_017798527.1
OG0001570	XP_015189116.1	XP_017793254.1
OG0001571	XP_015186942.1, XP_015186945.1, XP_015186944.1	XP_017795778.1, XP_017795777.1, XP_017795779.1
OG0001572	XP_015178634.1, XP_015178635.1, XP_015178633.1	XP_017789701.1
OG0001573	XP_015176456.1	XP_017799294.1
OG0001574	XP_015188741.1, XP_015188739.1	XP_017788858.1
OG0001575	XP_015187477.1, XP_015187476.1	XP_017790893.1
OG0001576	XP_015189138.1	XP_017791694.1
OG0001577	XP_015181769.1, XP_015181767.1, XP_015181768.1, XP_015181770.1	XP_017793981.1
OG0001578	XP_015172760.1, XP_015172758.1, XP_015172759.1, XP_015172755.1, XP_015172756.1, XP_015172754.1	XP_017798086.1
OG0001579	XP_015182527.1, XP_015182525.1	XP_017793956.1, XP_017793955.1
OG0001580	XP_015187407.1	XP_017794116.1, XP_017794117.1
OG0001581	XP_015187930.1	XP_017789969.1
OG0001582	XP_015183090.1	XP_017788046.1
OG0001583	XP_015180361.1	XP_017794787.1
OG0001584	XP_015176021.1	XP_017799371.1
OG0001585	XP_015191709.1	XP_017797653.1
OG0001585	XP_015191710.1	XP_017797570.1
OG0001586	XP_015185311.1	XP_017796492.1
OG0001587	XP_015190749.1	XP_017795617.1
OG0001588	XP_015179867.1, XP_015179870.1	XP_017795562.1
OG0001590	XP_015172057.1	XP_017798313.1
OG0001591	XP_015174470.1, XP_015174467.1, XP_015174468.1	XP_017799406.1, XP_017791533.1, XP_017788388.1, XP_017787714.1, XP_017792886.1, XP_017797039.1
OG0001592	XP_015187036.1, XP_015187038.1, XP_015187037.1, XP_015187039.1	XP_017797760.1
OG0001593	XP_015181273.1	XP_017796571.1
OG0001594	XP_015188973.1, XP_015188971.1, XP_015188972.1, XP_015188970.1	XP_017789111.1
OG0001595	XP_015189340.1	XP_017791480.1
OG0001596	XP_015191635.1	XP_017797071.1
OG0001597	XP_015178329.1	XP_017788415.1, XP_017788414.1, XP_017788412.1, XP_017788413.1
OG0001597	XP_015178307.1	XP_017788382.1
OG0001598	XP_015190339.1	XP_017797232.1
OG0001600	XP_015172667.1	XP_017795725.1
OG0001601	XP_015171493.1	XP_017799074.1
OG0001602	XP_015183839.1	XP_017788654.1
OG0001602	XP_015183800.1	XP_017788616.1
OG0001603	XP_015176177.1	XP_017794261.1
OG0001604	XP_015188043.1, XP_015188050.1	XP_017796813.1
OG0001606	XP_015172640.1	XP_017798318.1
OG0001607	XP_015184717.1, XP_015184716.1	XP_017798285.1
OG0001608	XP_015187299.1, XP_015187300.1, XP_015187301.1	XP_017789234.1
OG0001609	XP_015188544.1, XP_015188515.1, XP_015188525.1, XP_015188505.1, XP_015188535.1	XP_017787968.1
OG0001610	XP_015183214.1	XP_017793168.1, XP_017792604.1
OG0001611	XP_015189463.1	XP_017791376.1, XP_017791452.1
OG0001612	XP_015190931.1, XP_015190929.1, XP_015190928.1	XP_017799366.1, XP_017799365.1, XP_017799364.1
OG0001614	XP_015176267.1, XP_015176276.1	XP_017791121.1
OG0001615	XP_015182550.1	XP_017797878.1
OG0001616	XP_015178045.1, XP_015178047.1	XP_017789270.1
OG0001617	XP_015190684.1	XP_017787907.1
OG0001619	XP_015190429.1	XP_017789723.1
OG0001620	XP_015188860.1	XP_017787440.1, XP_017787439.1, XP_017787441.1
OG0001621	XP_015190659.1	XP_017788589.1
OG0001622	XP_015186727.1, XP_015186728.1	XP_017788609.1
OG0001623	XP_015190034.1, XP_015190040.1	XP_017795277.1
OG0001624	XP_015176544.1	XP_017787637.1
OG0001625	XP_015177101.1	XP_017791190.1
OG0001626	XP_015176231.1	XP_017790279.1, XP_017790297.1, XP_017790288.1
OG0001627	XP_015172961.1, XP_015172959.1, XP_015172958.1, XP_015172962.1	XP_017791687.1
OG0001628	XP_015171937.1	XP_017798287.1
OG0001629	XP_015172088.1	XP_017795865.1, XP_017797110.1
OG0001630	XP_015178835.1	XP_017790864.1
OG0001631	XP_015177368.1, XP_015177373.1	XP_017793160.1, XP_017793161.1, XP_017793162.1
OG0001632	XP_015189426.1, XP_015189425.1	XP_017797737.1
OG0001633	XP_015182014.1	XP_017788797.1
OG0001634	XP_015180733.1	XP_017792806.1
OG0001635	XP_015179819.1, XP_015179811.1, XP_015179829.1, XP_015179838.1	XP_017792807.1
OG0001636	XP_015178335.1	XP_017788432.1
OG0001637	XP_015189563.1, XP_015188558.1, XP_015188556.1	XP_017789823.1
OG0001638	XP_015179077.1	XP_017791850.1
OG0001639	XP_015175995.1	XP_017798607.1
OG0001640	XP_015180722.1, XP_015184760.1, XP_015184759.1, XP_015184761.1	XP_017797617.1
OG0001641	XP_015171298.1	XP_017796019.1
OG0001642	XP_015178349.1	XP_017788402.1
OG0001643	XP_015187681.1	XP_017797691.1
OG0001645	XP_015180126.1	XP_017794085.1
OG0001646	XP_015172870.1	XP_017798088.1
OG0001647	XP_015183151.1	XP_017787994.1
OG0001648	XP_015188305.1	XP_017799266.1
OG0001649	XP_015174582.1, XP_015174583.1	XP_017795862.1
OG0001650	XP_015172351.1, XP_015172362.1	XP_017788577.1
OG0001651	XP_015178101.1	XP_017789244.1, XP_017789243.1
OG0001652	XP_015172002.1	XP_017793602.1, XP_017793587.1
OG0001653	XP_015182639.1	XP_017790915.1
OG0001655	XP_015177740.1	XP_017794236.1
OG0001656	XP_015182234.1	XP_017790946.1
OG0001657	XP_015185995.1	XP_017792392.1
OG0001658	XP_015172255.1	XP_017796992.1
OG0001659	XP_015178120.1	XP_017796597.1
OG0001660	XP_015181932.1, XP_015181931.1	XP_017789070.1
OG0001661	XP_015174019.1, XP_015174020.1	XP_017793892.1, XP_017793891.1
OG0001662	XP_015187280.1	XP_017796675.1
OG0001663	XP_015188339.1	XP_017791598.1
OG0001664	XP_015171691.1, XP_015171697.1	XP_017788645.1, XP_017788639.1
OG0001665	XP_015173995.1	XP_017789292.1
OG0001666	XP_015173812.1	XP_017794583.1, XP_017794586.1, XP_017794584.1, XP_017794585.1
OG0001667	XP_015176389.1	XP_017792197.1
OG0001668	XP_015184028.1	XP_017793262.1
OG0001669	XP_015190370.1	XP_017792688.1
OG0001670	XP_015171522.1, XP_015171521.1	XP_017797873.1
OG0001671	XP_015190867.1	XP_017793876.1
OG0001672	XP_015172033.1	XP_017791223.1
OG0001673	XP_015180771.1	XP_017799244.1
OG0001674	XP_015184415.1	XP_017799245.1
OG0001675	XP_015190090.1	XP_017798751.1
OG0001676	XP_015171676.1	XP_017794152.1
OG0001677	XP_015173312.1, XP_015173313.1	XP_017795798.1, XP_017795797.1
OG0001678	XP_015176003.1	XP_017794254.1
OG0001679	XP_015174082.1, XP_015174081.1, XP_015174083.1	XP_017789223.1
OG0001680	XP_015179524.1	XP_017787548.1, XP_017787547.1
OG0001681	XP_015180758.1, XP_015180757.1	XP_017788788.1
OG0001682	XP_015177297.1, XP_015177294.1, XP_015177286.1	XP_017789514.1
OG0001684	XP_015173233.1	XP_017799034.1
OG0001685	XP_015178482.1	XP_017788060.1
OG0001686	XP_015182332.1, XP_015182331.1, XP_015182334.1, XP_015182333.1	XP_017793018.1
OG0001687	XP_015176262.1	XP_017788725.1
OG0001688	XP_015179659.1	XP_017798487.1
OG0001689	XP_015177074.1	XP_017789853.1
OG0001690	XP_015186314.1, XP_015186310.1	XP_017797806.1
OG0001691	XP_015177829.1, XP_015177828.1	XP_017789991.1, XP_017789992.1
OG0001693	XP_015172583.1, XP_015172582.1	XP_017790115.1
OG0001694	XP_015180898.1, XP_015180899.1	XP_017789348.1
OG0001695	XP_015178111.1	XP_017796714.1, XP_017796715.1, XP_017796713.1
OG0001696	XP_015182100.1, XP_015182092.1	XP_017794582.1, XP_017794581.1
OG0001697	XP_015184921.1	XP_017793560.1
OG0001699	XP_015191510.1	XP_017794255.1
OG0001700	XP_015184942.1	XP_017789552.1
OG0001701	XP_015181941.1	XP_017793264.1
OG0001702	XP_015179413.1, XP_015179414.1	XP_017790324.1
OG0001703	XP_015184472.1	XP_017793259.1
OG0001704	XP_015178919.1	XP_017791498.1
OG0001706	XP_015186456.1	XP_017791445.1
OG0001707	XP_015185946.1	XP_017797534.1
OG0001708	XP_015174840.1, XP_015174838.1, XP_015174843.1, XP_015174844.1, XP_015174841.1, XP_015174842.1, XP_015174839.1, XP_015174845.1	XP_017793934.1
OG0001709	XP_015171892.1, XP_015171880.1	XP_017789504.1
OG0001711	XP_015179743.1	XP_017798206.1
OG0001712	XP_015186849.1, XP_015186847.1	XP_017789844.1
OG0001713	XP_015184183.1	XP_017789213.1
OG0001714	XP_015173977.1	XP_017792904.1
OG0001715	XP_015179856.1, XP_015179857.1, XP_015179855.1, XP_015179854.1	XP_017795242.1
OG0001716	XP_015181525.1, XP_015181527.1, XP_015181532.1, XP_015181530.1, XP_015181531.1, XP_015181528.1, XP_015181529.1	XP_017797518.1
OG0001717	XP_015172875.1	XP_017798111.1
OG0001718	XP_015186676.1, XP_015186675.1, XP_015186674.1	XP_017788200.1
OG0001719	XP_015189225.1, XP_015189226.1	XP_017799086.1, XP_017799085.1, XP_017799084.1
OG0001720	XP_015187771.1	XP_017790527.1
OG0001722	XP_015183513.1	XP_017792195.1
OG0001723	XP_015179054.1	XP_017791814.1
OG0001724	XP_015175280.1, XP_015175279.1	XP_017790653.1
OG0001725	XP_015182838.1	XP_017792815.1
OG0001726	XP_015183554.1	XP_017792590.1
OG0001727	XP_015175104.1	XP_017793946.1
OG0001728	XP_015190161.1	XP_017795059.1
OG0001729	XP_015187677.1, XP_015187674.1, XP_015187673.1, XP_015187676.1, XP_015187675.1	XP_017789767.1
OG0001730	XP_015186424.1	XP_017797255.1
OG0001731	XP_015186461.1, XP_015186460.1	XP_017789010.1
OG0001732	XP_015179252.1, XP_015179256.1	XP_017796000.1
OG0001733	XP_015181621.1	XP_017789924.1
OG0001734	XP_015174635.1, XP_015174634.1	XP_017797171.1
OG0001735	XP_015188127.1	XP_017796517.1
OG0001736	XP_015181565.1	XP_017788466.1
OG0001737	XP_015187076.1	XP_017794221.1
OG0001738	XP_015174058.1	XP_017795108.1
OG0001739	XP_015178550.1	XP_017795472.1
OG0001740	XP_015188917.1, XP_015188913.1	XP_017791384.1, XP_017791392.1
OG0001741	XP_015172220.1	XP_017795095.1
OG0001742	XP_015178632.1, XP_015178629.1, XP_015178628.1	XP_017789562.1
OG0001743	XP_015172123.1	XP_017788870.1
OG0001744	XP_015176642.1	XP_017796839.1
OG0001745	XP_015181631.1, XP_015181632.1	XP_017798901.1
OG0001746	XP_015177893.1	XP_017790066.1
OG0001747	XP_015189491.1, XP_015189492.1	XP_017796858.1
OG0001748	XP_015187137.1	XP_017796452.1
OG0001749	XP_015176030.1	XP_017788365.1
OG0001750	XP_015171096.1, XP_015171107.1, XP_015171086.1	XP_017797356.1
OG0001751	XP_015178965.1	XP_017796400.1
OG0001752	XP_015190353.1, XP_015190354.1	XP_017788532.1
OG0001753	XP_015172267.1	XP_017790149.1
OG0001754	XP_015179044.1	XP_017799002.1
OG0001755	XP_015181109.1	XP_017791170.1, XP_017788759.1
OG0001756	XP_015178162.1	XP_017788252.1
OG0001757	XP_015180560.1, XP_015180559.1	XP_017788740.1, XP_017788737.1
OG0001758	XP_015178263.1	XP_017796060.1
OG0001759	XP_015184280.1	XP_017792584.1
OG0001760	XP_015188230.1	XP_017795647.1
OG0001762	XP_015182502.1	XP_017793896.1
OG0001763	XP_015183777.1, XP_015183776.1	XP_017793036.1, XP_017793035.1
OG0001764	XP_015171787.1	XP_017793686.1
OG0001765	XP_015186387.1	XP_017791359.1
OG0001766	XP_015181567.1	XP_017798815.1
OG0001767	XP_015184699.1, XP_015184700.1	XP_017792208.1
OG0001768	XP_015179106.1	XP_017790076.1
OG0001769	XP_015183571.1	XP_017792665.1
OG0001772	XP_015182109.1	XP_017788238.1, XP_017788234.1, XP_017788237.1, XP_017788232.1, XP_017788233.1
OG0001775	XP_015190417.1	XP_017798439.1
OG0001776	XP_015182852.1, XP_015182851.1, XP_015182850.1	XP_017793207.1
OG0001777	XP_015182894.1	XP_017789765.1, XP_017789772.1
OG0001778	XP_015184509.1, XP_015184510.1	XP_017795229.1
OG0001779	XP_015190052.1	XP_017793884.1
OG0001780	XP_015172198.1	XP_017798572.1
OG0001781	XP_015181541.1	XP_017797368.1
OG0001782	XP_015182964.1	XP_017792078.1
OG0001783	XP_015177531.1	XP_017795149.1
OG0001784	XP_015191381.1, XP_015191380.1	XP_017798029.1
OG0001785	XP_015183238.1	XP_017797199.1, XP_017797200.1
OG0001786	XP_015181662.1	XP_017795373.1
OG0001787	XP_015189726.1, XP_015189724.1, XP_015189725.1	XP_017791838.1
OG0001788	XP_015176807.1	XP_017798997.1
OG0001789	XP_015172016.1	XP_017790648.1
OG0001790	XP_015173377.1	XP_017787502.1, XP_017787516.1
OG0001791	XP_015190967.1	XP_017790506.1, XP_017790507.1
OG0001792	XP_015173089.1	XP_017791405.1
OG0001793	XP_015181906.1, XP_015181905.1	XP_017789159.1
OG0001794	XP_015172744.1, XP_015172746.1	XP_017790352.1
OG0001795	XP_015187606.1	XP_017788678.1
OG0001796	XP_015181575.1	XP_017794875.1
OG0001797	XP_015174317.1, XP_015174316.1, XP_015174318.1	XP_017794907.1
OG0001799	XP_015181058.1	XP_017798101.1
OG0001800	XP_015182626.1	XP_017788341.1
OG0001801	XP_015189112.1	XP_017793223.1
OG0001802	XP_015184099.1	XP_017788416.1
OG0001803	XP_015173684.1	XP_017798289.1
OG0001804	XP_015172505.1	XP_017788661.1, XP_017788660.1
OG0001805	XP_015183215.1	XP_017798644.1
OG0001806	XP_015172073.1	XP_017790958.1
OG0001807	XP_015175022.1	XP_017788285.1
OG0001808	XP_015178818.1, XP_015178817.1	XP_017796496.1
OG0001809	XP_015191458.1	XP_017794298.1
OG0001810	XP_015187768.1	XP_017790447.1, XP_017790446.1
OG0001811	XP_015179133.1, XP_015179132.1	XP_017789341.1
OG0001812	XP_015184446.1	XP_017788724.1
OG0001813	XP_015176884.1, XP_015176882.1	XP_017794048.1
OG0001814	XP_015189098.1	XP_017790229.1
OG0001816	XP_015182630.1	XP_017794366.1
OG0001817	XP_015175196.1	XP_017787541.1
OG0001818	XP_015172030.1	XP_017788560.1
OG0001819	XP_015172254.1	XP_017796381.1
OG0001820	XP_015191623.1, XP_015191616.1	XP_017796387.1, XP_017793841.1
OG0001821	XP_015181495.1, XP_015181492.1	XP_017794565.1
OG0001822	XP_015171073.1	XP_017790143.1
OG0001823	XP_015176859.1	XP_017795882.1
OG0001824	XP_015189023.1	XP_017794482.1
OG0001825	XP_015185295.1, XP_015185294.1	XP_017796474.1
OG0001826	XP_015177308.1	XP_017792044.1
OG0001827	XP_015182624.1, XP_015182623.1, XP_015182625.1	XP_017790702.1
OG0001828	XP_015174436.1	XP_017792068.1
OG0001830	XP_015178071.1	XP_017796097.1
OG0001831	XP_015174645.1, XP_015174646.1, XP_015174647.1	XP_017798675.1
OG0001832	XP_015181212.1	XP_017796598.1
OG0001833	XP_015181683.1	XP_017795836.1
OG0001834	XP_015182779.1	XP_017792894.1, XP_017792893.1
OG0001835	XP_015183122.1	XP_017788160.1
OG0001836	XP_015180630.1, XP_015180614.1	XP_017787972.1
OG0001837	XP_015189164.1	XP_017793084.1
OG0001838	XP_015180604.1, XP_015180605.1	XP_017792110.1
OG0001839	XP_015174931.1	XP_017798036.1
OG0001840	XP_015178155.1	XP_017796094.1
OG0001841	XP_015184784.1, XP_015184800.1, XP_015184809.1, XP_015184791.1	XP_017795639.1
OG0001843	XP_015189252.1	XP_017791221.1
OG0001844	XP_015186283.1, XP_015186282.1	XP_017797809.1
OG0001845	XP_015171481.1, XP_015171482.1, XP_015171479.1, XP_015171480.1, XP_015171483.1	XP_017799544.1
OG0001846	XP_015179950.1	XP_017793705.1
OG0001847	XP_015177683.1	XP_017791488.1
OG0001848	XP_015171583.1	XP_017794301.1
OG0001849	XP_015173371.1, XP_015173373.1, XP_015173368.1, XP_015173370.1, XP_015173369.1, XP_015173374.1	XP_017798891.1
OG0001850	XP_015191839.1	XP_017797754.1, XP_017797753.1
OG0001851	XP_015184861.1	XP_017794948.1
OG0001852	XP_015177102.1	XP_017793405.1
OG0001853	XP_015179541.1	XP_017790883.1
OG0001854	XP_015186318.1	XP_017794822.1
OG0001855	XP_015188895.1	XP_017791362.1
OG0001856	XP_015172642.1	XP_017794392.1
OG0001857	XP_015174873.1	XP_017795724.1
OG0001858	XP_015181165.1	XP_017788813.1
OG0001859	XP_015177708.1	XP_017789873.1
OG0001860	XP_015175115.1, XP_015175116.1, XP_015175118.1, XP_015175117.1	XP_017791733.1
OG0001861	XP_015183897.1	XP_017790754.1
OG0001862	XP_015176316.1	XP_017793258.1
OG0001863	XP_015189022.1	XP_017791154.1, XP_017791153.1
OG0001864	XP_015191388.1	XP_017796198.1
OG0001865	XP_015177898.1, XP_015177903.1	XP_017792067.1
OG0001866	XP_015179699.1	XP_017798718.1
OG0001867	XP_015173866.1	XP_017789784.1
OG0001868	XP_015182245.1	XP_017793065.1
OG0001869	XP_015184920.1	XP_017793537.1
OG0001870	XP_015188975.1	XP_017789092.1, XP_017789091.1
OG0001871	XP_015184971.1	XP_017793734.1
OG0001872	XP_015185508.1	XP_017794257.1
OG0001873	XP_015176909.1, XP_015176900.1, XP_015176926.1, XP_015176918.1	XP_017798861.1
OG0001874	XP_015181225.1	XP_017793733.1
OG0001875	XP_015180928.1	XP_017791620.1
OG0001876	XP_015185316.1	XP_017794660.1
OG0001877	XP_015179520.1	XP_017795894.1
OG0001878	XP_015171151.1	XP_017794841.1
OG0001879	XP_015171396.1, XP_015171398.1, XP_015171397.1, XP_015171399.1	XP_017796154.1
OG0001880	XP_015172835.1	XP_017790601.1
OG0001881	XP_015174193.1, XP_015174194.1, XP_015174192.1	XP_017797470.1
OG0001882	XP_015184076.1	XP_017788444.1
OG0001883	XP_015184878.1	XP_017792086.1
OG0001884	XP_015176448.1	XP_017795759.1
OG0001885	XP_015173241.1	XP_017787749.1
OG0001886	XP_015179758.1, XP_015179757.1, XP_015179756.1	XP_017798065.1
OG0001887	XP_015175304.1	XP_017796424.1
OG0001888	XP_015172515.1	XP_017798513.1
OG0001889	XP_015183494.1	XP_017792380.1
OG0001890	XP_015173409.1	XP_017798598.1
OG0001891	XP_015178248.1	XP_017796024.1
OG0001892	XP_015176599.1	XP_017792206.1, XP_017792207.1
OG0001893	XP_015178509.1	XP_017789830.1
OG0001894	XP_015184100.1	XP_017788208.1
OG0001895	XP_015172410.1	XP_017798560.1
OG0001896	XP_015188572.1	XP_017789814.1
OG0001897	XP_015184071.1, XP_015184072.1	XP_017792467.1
OG0001898	XP_015190841.1	XP_017799201.1
OG0001899	XP_015186838.1, XP_015186837.1, XP_015186839.1, XP_015186840.1	XP_017793378.1
OG0001900	XP_015172465.1	XP_017796938.1
OG0001901	XP_015183753.1	XP_017793421.1
OG0001902	XP_015191182.1	XP_017792923.1
OG0001903	XP_015181389.1	XP_017790151.1
OG0001904	XP_015184523.1	XP_017792137.1
OG0001905	XP_015185923.1	XP_017790820.1
OG0001906	XP_015176835.1	XP_017795460.1
OG0001907	XP_015177182.1	XP_017790153.1
OG0001908	XP_015186132.1, XP_015186130.1, XP_015186129.1	XP_017789053.1
OG0001909	XP_015177471.1	XP_017788624.1
OG0001910	XP_015171741.1	XP_017796487.1
OG0001912	XP_015175178.1	XP_017789373.1
