Orthogroup	Polistes_dominula	Bombyx_mori
OG0000611	XP_015181298.1, XP_015181297.1, XP_015181296.1	XP_037875935.1, XP_037875867.1
OG0000612	XP_015179263.1	XP_037869346.1
OG0000613	XP_015188507.1	XP_037876749.1
OG0000614	XP_015187538.1	XP_012545240.3
OG0000614	XP_015174915.1	XP_037866969.1
OG0000615	XP_015181651.1, XP_015181650.1, XP_015181654.1, XP_015181653.1, XP_015181652.1, XP_015181649.1	XP_021205668.1
OG0000616	XP_015184088.1, XP_015184091.1	XP_037870892.1
OG0000617	XP_015186988.1, XP_015186989.1, XP_015186987.1	XP_021207335.1
OG0000619	XP_015190413.1, XP_015190412.1, XP_015190415.1, XP_015190414.1	NP_001040292.1
OG0000620	XP_015172097.1	NP_001037235.1, XP_012553376.1
OG0000622	XP_015184720.1	XP_004924086.1, XP_037876184.1
OG0000623	XP_015186678.1, XP_015186677.1, XP_015186679.1	XP_004922821.1
OG0000624	XP_015183343.1, XP_015183349.1	NP_001091773.1, XP_012552771.1
OG0000625	XP_015186903.1, XP_015186904.1, XP_015186905.1	XP_004927886.2
OG0000626	XP_015183650.1, XP_015183649.1, XP_015183645.1, XP_015183646.1, XP_015183647.1, XP_015183648.1	NP_001040113.1
OG0000627	XP_015180643.1, XP_015180644.1	XP_004932920.1
OG0000628	XP_015173970.1, XP_015173969.1, XP_015173968.1	XP_012552805.2
OG0000629	XP_015177997.1	XP_037871792.1
OG0000630	XP_015190676.1, XP_015190549.1	NP_001037096.1, NP_001093291.1, XP_004924240.1
OG0000631	XP_015177364.1	XP_037867286.1, XP_004930051.1, XP_004930052.1, XP_021206285.1, XP_004930050.1
OG0000632	XP_015172160.1, XP_015172161.1, XP_015172162.1	XP_004923704.1
OG0000633	XP_015183047.1, XP_015183046.1	XP_004933329.1
OG0000634	XP_015185676.1	XP_004922934.1
OG0000634	XP_015185639.1	XP_037868782.1
OG0000635	XP_015184631.1	XP_012546801.1
OG0000636	XP_015178010.1	XP_012545872.1
OG0000637	XP_015173254.1	XP_004922689.2, XP_037871170.1
OG0000639	XP_015187910.1, XP_015187909.1, XP_015187911.1	XP_012547437.3
OG0000640	XP_015186374.1	XP_004933428.1
OG0000641	XP_015180654.1	XP_012552077.1
OG0000642	XP_015181404.1, XP_015181405.1	NP_001037634.1
OG0000643	XP_015173274.1	XP_021202080.1
OG0000645	XP_015188661.1	XP_037873711.1
OG0000645	XP_015175009.1	XP_012549833.2
OG0000646	XP_015172229.1	XP_012551416.1, NP_001040400.1
OG0000647	XP_015187418.1, XP_015187419.1	XP_004927346.1
OG0000648	XP_015173778.1	NP_001159616.1, XP_012548053.2
OG0000649	XP_015182725.1, XP_015182709.1, XP_015182700.1, XP_015182718.1, XP_015182691.1	XP_004931606.2, XP_012550437.2
OG0000650	XP_015177656.1	XP_004921591.3
OG0000651	XP_015186623.1	XP_037866568.1
OG0000651	XP_015187789.1	XP_037876752.1
OG0000653	XP_015184478.1	XP_012549713.1
OG0000654	XP_015185844.1, XP_015183230.1	XP_037866824.1
OG0000655	XP_015189604.1, XP_015189586.1, XP_015189599.1	XP_021209202.2
OG0000656	XP_015175864.1	XP_037869598.1, XP_037869597.1, XP_037869603.1, XP_037869601.1, XP_037869602.1, XP_037869599.1, XP_037869600.1
OG0000657	XP_015183362.1	XP_012552939.1
OG0000659	XP_015182064.1, XP_015182065.1	XP_037868442.1
OG0000660	XP_015180142.1	XP_004924867.1
OG0000661	XP_015179223.1	XP_021206765.2
OG0000662	XP_015181970.1	NP_001037592.1, NP_001188510.1
OG0000664	XP_015174258.1	XP_012552085.2
OG0000665	XP_015184641.1	XP_012546690.1, NP_001037035.1
OG0000666	XP_015190545.1, XP_015190567.1	NP_001103399.1
OG0000667	XP_015188831.1	XP_021207812.1
OG0000668	XP_015189393.1	XP_037872593.1
OG0000669	XP_015186031.1	XP_004933157.2
OG0000670	XP_015179260.1	XP_004929651.1
OG0000671	XP_015185728.1	XP_037868997.1
OG0000672	XP_015176566.1, XP_015176565.1, XP_015176600.1	XP_012550782.2, XP_012550774.2
OG0000673	XP_015189488.1, XP_015189486.1, XP_015189489.1	XP_012552754.1
OG0000677	XP_015172889.1, XP_015172888.1, XP_015172884.1, XP_015172890.1	XP_004932520.1, XP_004932519.1
OG0000680	XP_015181835.1	NP_001091751.1
OG0000681	XP_015179283.1	XP_037867017.1
OG0000682	XP_015176964.1	NP_001073122.1, XP_037873015.1, NP_001296534.1
OG0000683	XP_015178545.1	XP_037876258.1
OG0000684	XP_015183369.1, XP_015183372.1	NP_001182007.1, XP_037870649.1
OG0000685	XP_015186626.1	NP_001106738.1
OG0000685	XP_015178476.1	XP_004929928.1
OG0000686	XP_015186259.1	XP_004931716.1, XP_012550658.1, XP_004931717.1
OG0000687	XP_015180013.1	XP_004929003.2
OG0000688	XP_015172768.1, XP_015172770.1, XP_015172769.1, XP_015172771.1	XP_012551595.1
OG0000689	XP_015173015.1	XP_004930967.1
OG0000690	XP_015185113.1	XP_004928958.2
OG0000691	XP_015184030.1	NP_001040457.1, XP_012546748.1
OG0000692	XP_015175100.1, XP_015175099.1, XP_015175101.1, XP_015175098.1	NP_001040129.2, XP_021207136.1
OG0000693	XP_015186916.1, XP_015186887.1, XP_015186878.1, XP_015186870.1, XP_015186907.1, XP_015186897.1	XP_012546443.3
OG0000694	XP_015181364.1	XP_021206559.1, XP_021206556.1
OG0000695	XP_015186274.1, XP_015186273.1	XP_037869370.1, XP_037869371.1
OG0000696	XP_015188314.1, XP_015188340.1, XP_015188347.1, XP_015188365.1, XP_015188355.1, XP_015188323.1, XP_015188332.1	NP_001040393.1
OG0000698	XP_015184506.1	XP_004921603.1
OG0000699	XP_015179117.1	XP_012547468.1
OG0000701	XP_015184656.1	XP_004930613.1
OG0000703	XP_015180074.1, XP_015180072.1, XP_015180071.1, XP_015180075.1	XP_004923237.1
OG0000704	XP_015179716.1	XP_037876977.1
OG0000705	XP_015183007.1	XP_004929787.1, XP_021205955.1
OG0000706	XP_015186669.1	XP_012551505.1, XP_012551504.1, XP_004932797.1
OG0000707	XP_015184241.1, XP_015184240.1	NP_001155191.2, XP_037873775.1, NP_001355993.1
OG0000708	XP_015179149.1	XP_021207022.1, NP_001108338.1
OG0000709	XP_015185512.1, XP_015185514.1	XP_004929950.2
OG0000710	XP_015190493.1	NP_001036980.1, XP_037868181.1
OG0000711	XP_015175488.1	XP_012543949.1, XP_004923951.1, XP_037875686.1
OG0000712	XP_015184996.1, XP_015184992.1	XP_012545977.1, NP_001040221.1
OG0000713	XP_015173455.1	XP_012548767.3
OG0000714	XP_015191354.1, XP_015191358.1	XP_037876868.1, XP_037876867.1
OG0000715	XP_015180973.1, XP_015180975.1, XP_015180971.1	XP_012549620.1, XP_012549614.1, XP_004930551.1, XP_004930549.1
OG0000716	XP_015185112.1	XP_004929845.2
OG0000717	XP_015190318.1	XP_004929437.1
OG0000718	XP_015172333.1	XP_037876788.1, XP_037876789.1, XP_037876790.1
OG0000719	XP_015184347.1, XP_015184348.1, XP_015184349.1, XP_015184351.1, XP_015184352.1, XP_015184350.1	XP_037866625.1, XP_037866624.1, XP_037866626.1
OG0000720	XP_015183286.1	XP_004932841.1
OG0000720	XP_015190628.1	XP_037867094.1
OG0000721	XP_015174375.1	XP_004930414.1
OG0000722	XP_015171285.1	XP_004929890.1
OG0000723	XP_015180385.1, XP_015180374.1	NP_001177296.1, XP_021207427.1
OG0000724	XP_015179218.1, XP_015179211.1, XP_015179216.1	NP_001040506.1, XP_037876131.1
OG0000726	XP_015176244.1	XP_004928847.1, XP_037872348.1, XP_037872349.1, XP_037872350.1, XP_037872478.1, NP_001098698.1, XP_004928846.1
OG0000727	XP_015188819.1, XP_015188820.1	XP_037867225.1
OG0000728	XP_015181373.1, XP_015183596.1, XP_015181385.1	XP_012548877.1
OG0000729	XP_015184372.1	XP_004928141.1
OG0000730	XP_015188769.1, XP_015188775.1	XP_004932828.1
OG0000731	XP_015177761.1	XP_037877799.1, XP_037877798.1, XP_037877800.1
OG0000736	XP_015172347.1	NP_001040246.1
OG0000737	XP_015176140.1, XP_015176143.1, XP_015176141.1	NP_001040368.1
OG0000738	XP_015185037.1	XP_004924641.1
OG0000739	XP_015174351.1	NP_001040352.1
OG0000740	XP_015186238.1, XP_015186254.1, XP_015186246.1	NP_001040365.1
OG0000741	XP_015187999.1	XP_004930084.2, XP_021206312.2, XP_004930045.1
OG0000742	XP_015178589.1	XP_037874830.1, NP_001182627.1, XP_012547722.1
OG0000743	XP_015185275.1, XP_015185274.1, XP_015185273.1	XP_012549042.1
OG0000744	XP_015179932.1	XP_037876561.1, XP_004931243.1
OG0000745	XP_015179849.1, XP_015179852.1, XP_015179850.1	XP_037868291.1, XP_037868290.1
OG0000746	XP_015177864.1	XP_004924851.2, XP_012544735.2
OG0000747	XP_015189222.1, XP_015189230.1	XP_004923047.1
OG0000748	XP_015183127.1	XP_037876847.1
OG0000749	XP_015180980.1	XP_012549547.1, NP_001093280.1
OG0000750	XP_015185680.1	XP_012550509.1
OG0000751	XP_015186057.1	XP_004930153.1, XP_021206213.1
OG0000751	XP_015176176.1	XP_021206300.1
OG0000752	XP_015179722.1, XP_015179724.1, XP_015179727.1, XP_015179726.1, XP_015179723.1, XP_015179728.1, XP_015179725.1	XP_021202442.1
OG0000753	XP_015176325.1	XP_012551688.1
OG0000754	XP_015181776.1, XP_015177253.1	XP_037868771.1, XP_037868772.1, XP_037868773.1
OG0000755	XP_015191582.1	XP_004924580.2
OG0000756	XP_015182790.1, XP_015182788.1	XP_004929844.1
OG0000757	XP_015181657.1	XP_037866653.1
OG0000758	XP_015178144.1, XP_015174833.1	XP_004933034.1
OG0000759	XP_015177931.1	XP_037867745.1
OG0000760	XP_015178058.1	XP_004932969.2, XP_004931360.2
OG0000761	XP_015191843.1	XP_004922823.1, XP_004922822.1
OG0000762	XP_015183904.1, XP_015183902.1, XP_015183903.1, XP_015183901.1	XP_012548241.1
OG0000765	XP_015176727.1	XP_037872221.1
OG0000766	XP_015173730.1, XP_015173731.1	XP_004924574.1
OG0000767	XP_015190178.1, XP_015190180.1	XP_037877077.1, XP_037877075.1, XP_037877073.1
OG0000768	XP_015186865.1, XP_015186866.1	XP_004925051.1
OG0000769	XP_015179961.1, XP_015179960.1	XP_004922632.1
OG0000770	XP_015191816.1	XP_012550680.1
OG0000771	XP_015175532.1	XP_037866557.1, XP_012550069.3
OG0000772	XP_015176089.1, XP_015176092.1	XP_004931548.1
OG0000773	XP_015177905.1	XP_004932442.1
OG0000774	XP_015191157.1	XP_037876249.1
OG0000775	XP_015189462.1, XP_015189456.1	XP_004931734.1
OG0000776	XP_015184371.1, XP_015184370.1	XP_021202064.1
OG0000777	XP_015191081.1, XP_015191082.1, XP_015191083.1, XP_015191075.1, XP_015191076.1, XP_015191077.1, XP_015191078.1, XP_015191084.1, XP_015191085.1, XP_015191080.1	XP_037872977.1, XP_004926416.1
OG0000778	XP_015181118.1, XP_015181119.1	XP_004929803.1
OG0000779	XP_015188486.1	XP_012547038.1, XP_037876468.1
OG0000781	XP_015177398.1	NP_001037007.1, XP_021205141.1
OG0000782	XP_015189387.1	NP_001127742.1, NP_001127707.1, XP_037869522.1, NP_001127708.1
OG0000783	XP_015171665.1	XP_021204084.1, XP_004926839.1, XP_012546380.1, XP_037873292.1, XP_021204085.1
OG0000784	XP_015188141.1	XP_037876530.1, XP_004933027.3, XP_004933100.2
OG0000785	XP_015191733.1	XP_004927708.1, XP_004928875.1
OG0000786	XP_015174812.1, XP_015174813.1, XP_015174814.1, XP_015174815.1, XP_015174816.1, XP_015174817.1	XP_012547680.1, XP_004922232.1
OG0000788	XP_015183575.1, XP_015183574.1, XP_015183573.1, XP_015183572.1	XP_012547408.1, XP_004930242.1
OG0000789	XP_015175543.1, XP_015175544.1, XP_015175545.1, XP_015175546.1	XP_004927596.1
OG0000790	XP_015180977.1	XP_021206530.1
OG0000795	XP_015182090.1	NP_001040432.1, XP_004925887.1
OG0000796	XP_015188342.1, XP_015172763.1, XP_015184689.1	NP_001037680.1
OG0000797	XP_015183656.1	XP_037868469.1
OG0000798	XP_015191261.1	XP_004929300.1, XP_004932113.2
OG0000799	XP_015180676.1	XP_037870309.1, XP_037870306.1
OG0000800	XP_015171144.1, XP_015171145.1	NP_001037584.1
OG0000801	XP_015174497.1	XP_004928112.3
OG0000802	XP_015174781.1	XP_004921957.1
OG0000803	XP_015177675.1, XP_015177672.1, XP_015177673.1, XP_015177674.1	NP_001037362.2, NP_001037436.1, XP_037874083.1
OG0000804	XP_015177827.1	NP_001130045.1, XP_012548882.1
OG0000806	XP_015180020.1, XP_015180026.1, XP_015180025.1, XP_015180024.1, XP_015180023.1, XP_015180022.1	XP_037874829.1
OG0000807	XP_015185915.1	NP_001093289.1
OG0000808	XP_015174339.1, XP_015174340.1	XP_037874837.1, XP_037874835.1, XP_037874836.1
OG0000809	XP_015190648.1, XP_015190653.1	NP_001104808.1, XP_012551063.1
OG0000810	XP_015175370.1	NP_001124351.1
OG0000811	XP_015175059.1, XP_015175058.1	XP_037870082.1
OG0000812	XP_015177868.1, XP_015177866.1, XP_015191437.1	XP_037869034.1, NP_001124378.1
OG0000813	XP_015185493.1	XP_012547376.2, XP_037867425.1, XP_012549697.1
OG0000814	XP_015177459.1	NP_001040319.1
OG0000814	XP_015177461.1	XP_004921629.1
OG0000815	XP_015190690.1, XP_015190692.1	XP_021205706.1, NP_001121193.1
OG0000816	XP_015178477.1	XP_012545929.1
OG0000817	XP_015172113.1	NP_001127736.1
OG0000818	XP_015171841.1	XP_004926256.1
OG0000819	XP_015177455.1, XP_015177452.1	XP_021202238.1
OG0000820	XP_015173350.1	XP_012548803.1
OG0000821	XP_015187205.1	XP_004923956.1
OG0000822	XP_015189041.1, XP_015189039.1, XP_015189042.1	XP_037867860.1
OG0000823	XP_015184871.1, XP_015184870.1, XP_015184873.1, XP_015184872.1	XP_021203877.1, XP_004922052.1
OG0000824	XP_015191755.1, XP_015191754.1, XP_015180593.1	XP_037875009.1
OG0000825	XP_015187740.1	NP_001159617.1, NP_001171331.1, NP_001037201.2, NP_001159619.1
OG0000826	XP_015187846.1, XP_015187847.1	XP_004927216.1
OG0000827	XP_015190880.1	XP_004923725.1
OG0000829	XP_015174247.1	XP_012552175.1, XP_004922732.1
OG0000830	XP_015176486.1	XP_004928810.3
OG0000831	XP_015187648.1, XP_015187641.1	NP_001296502.1, NP_001296536.1
OG0000832	XP_015182201.1	XP_037873226.1
OG0000835	XP_015172107.1	NP_001037426.1
OG0000837	XP_015189396.1, XP_015189394.1, XP_015189395.1	XP_037868528.1
OG0000838	XP_015172378.1, XP_015172379.1, XP_015172381.1	XP_037872648.1, XP_037872699.1, XP_037872685.1
OG0000839	XP_015176907.1, XP_015176906.1, XP_015176905.1	NP_001121191.1, NP_001108339.1, XP_021202428.1
OG0000840	XP_015171609.1, XP_015171610.1	XP_012549066.1
OG0000841	XP_015185470.1	XP_004927568.1, XP_037875239.1, NP_001040333.1
OG0000842	XP_015188377.1	XP_004930273.1, XP_004930272.1, XP_021206240.1, XP_004930058.1, XP_012549336.1, XP_012549335.1
OG0000843	XP_015179933.1, XP_015179934.1	XP_037867708.1, XP_037867709.1, XP_037867710.1, XP_021203074.1, XP_004930787.1
OG0000844	XP_015189208.1, XP_015189210.1	NP_001037544.1, XP_012549900.1
OG0000849	XP_015184255.1, XP_015184256.1	NP_001037271.1
OG0000850	XP_015172914.1, XP_015172913.1	XP_012549718.1, NP_001037438.1
OG0000851	XP_015174236.1	XP_012546396.1, XP_037867570.1
OG0000852	XP_015177376.1, XP_015177375.1	XP_037869580.1, XP_012551596.1, XP_012551598.1, XP_004932899.1, XP_012551597.1, XP_037869581.1
OG0000853	XP_015174954.1, XP_015174955.1	XP_004921970.1, XP_037877273.1
OG0000854	XP_015178802.1	XP_004927904.1
OG0000855	XP_015184043.1, XP_015184042.1, XP_015184044.1	XP_004929913.1
OG0000856	XP_015173180.1	XP_037875396.1
OG0000856	XP_015173076.1	XP_012552833.1, XP_004923038.1
OG0000857	XP_015176568.1, XP_015176569.1	XP_004930683.2, XP_037874887.1, XP_004924743.1
OG0000859	XP_015190125.1	XP_037868777.1
OG0000860	XP_015179289.1, XP_015179285.1, XP_015179286.1, XP_015179287.1	XP_004928613.1
OG0000861	XP_015191192.1	XP_037871434.1, XP_021208843.2
OG0000862	XP_015182915.1	XP_037874542.1, XP_037874543.1, XP_037874541.1
OG0000863	XP_015182553.1	XP_012547296.2, XP_037870680.1
OG0000864	XP_015172499.1, XP_015172500.1, XP_015172502.1	XP_012551032.1, XP_012551031.1, XP_012551030.1, XP_012551028.1
OG0000865	XP_015183510.1	XP_012546894.1
OG0000867	XP_015182439.1	XP_012544946.1, XP_012544941.1, XP_012544943.1, XP_012546240.3, XP_004926683.2
OG0000868	XP_015187718.1	XP_004921940.1, XP_012546467.2
OG0000870	XP_015188337.1	XP_004930430.1
OG0000872	XP_015191392.1, XP_015191394.1	NP_001243979.1, XP_037870657.1
OG0000873	XP_015178193.1	XP_037875475.1
OG0000874	XP_015188271.1, XP_015188272.1, XP_015188268.1, XP_015188269.1	XP_021203419.1
OG0000875	XP_015187543.1, XP_015187544.1	XP_037868347.1, XP_037868348.1
OG0000876	XP_015177109.1	NP_001040334.1
OG0000877	XP_015182039.1	NP_001162052.1
OG0000878	XP_015175960.1	XP_021206190.1
OG0000878	XP_015175813.1	XP_012549125.1, NP_001037343.1
OG0000879	XP_015171508.1	XP_037866911.1
OG0000880	XP_015183148.1	XP_021201849.1
OG0000881	XP_015180069.1	XP_004930563.1
OG0000883	XP_015181057.1	NP_001040482.1, XP_037875584.1, NP_001040419.1
OG0000884	XP_015181805.1, XP_015181806.1, XP_015181804.1	XP_004930701.1
OG0000885	XP_015185049.1	XP_037875651.1
OG0000887	XP_015190553.1	XP_004924370.1
OG0000888	XP_015177484.1	XP_037873151.1, XP_037873150.1
OG0000890	XP_015176405.1	XP_004925284.2, XP_021203053.2
OG0000892	XP_015181682.1, XP_015176616.1	XP_037872295.1
OG0000893	XP_015176564.1, XP_015176562.1, XP_015176560.1, XP_015176561.1, XP_015176559.1	XP_021206965.1
OG0000894	XP_015183135.1, XP_015183134.1	XP_021207181.2
OG0000895	XP_015176394.1	XP_037869197.1, XP_037869199.1, XP_037869202.1
OG0000896	XP_015174542.1, XP_015174696.1	NP_001036879.1, XP_037868882.1
OG0000897	XP_015189525.1, XP_015189527.1, XP_015189526.1, XP_015189528.1	XP_004931523.2
OG0000898	XP_015180246.1, XP_015190508.1	XP_012543985.1
OG0000899	XP_015176107.1	XP_004930536.1
OG0000900	XP_015181904.1, XP_015181903.1	XP_037874927.1, XP_004930670.2
OG0000901	XP_015181566.1	XP_012550223.1
OG0000903	XP_015175275.1	NP_001127725.1, NP_001127723.1, XP_037871108.1, XP_037871467.1
OG0000904	XP_015172854.1	XP_037874726.1
OG0000905	XP_015175895.1, XP_015180562.1	XP_021208506.1
OG0000906	XP_015185582.1	XP_021203497.2
OG0000907	XP_015176710.1	XP_012550911.1, XP_021207106.1, NP_001038956.1, XP_037873555.1, XP_004924154.1, XP_012544119.2, XP_004925428.1
OG0000908	XP_015188569.1, XP_015188570.1	XP_037867243.1, XP_004932353.1, XP_012551163.1, XP_012551165.1
OG0000909	XP_015185735.1	XP_004930983.1
OG0000910	XP_015176527.1	NP_001037448.1, XP_012552141.1, NP_001093293.1, XP_037876985.1
OG0000911	XP_015175720.1	XP_012551019.1
OG0000912	XP_015171542.1, XP_015171559.1, XP_015171551.1, XP_015171534.1, XP_015171525.1	XP_037877785.1, XP_037877790.1
OG0000914	XP_015176440.1	XP_037867418.1, XP_037867416.1, XP_037867415.1, XP_037867414.1, XP_037867412.1, XP_037867413.1
OG0000916	XP_015187295.1	NP_001036919.1
OG0000917	XP_015188187.1	NP_001040140.1
OG0000918	XP_015182251.1	XP_004931164.1, XP_021207019.1, XP_004931165.1
OG0000919	XP_015175896.1	XP_012550870.1
OG0000920	XP_015186775.1	NP_001091805.1
OG0000921	XP_015171942.1, XP_015171935.1	NP_001296561.1
OG0000922	XP_015188485.1, XP_015188484.1, XP_015188483.1, XP_015188482.1	XP_004933384.1, XP_004933383.1, XP_004924748.1
OG0000923	XP_015188407.1, XP_015189566.1, XP_015189867.1	NP_001036982.1, XP_021202800.1
OG0000924	XP_015191506.1	XP_004930377.1
OG0000925	XP_015179065.1, XP_015176121.1, XP_015176120.1	XP_004928502.1, XP_021202497.2
OG0000926	XP_015175681.1, XP_015175680.1	XP_021208548.2, NP_001040142.1
OG0000927	XP_015187147.1, XP_015187146.1	XP_004928837.2
OG0000928	XP_015188321.1	XP_004922999.1
OG0000929	XP_015184722.1	NP_001040294.1
OG0000930	XP_015188871.1, XP_015188869.1, XP_015188868.1	XP_037872623.1
OG0000931	XP_015184924.1	NP_001296549.1
OG0000931	XP_015184923.1	XP_004932395.2
OG0000932	XP_015178736.1	XP_037868696.1, XP_037868697.1, XP_037868695.1, XP_037868693.1
OG0000933	XP_015178985.1, XP_015184783.1	NP_001036876.1
OG0000934	XP_015191661.1, XP_015191660.1	XP_004922485.2
OG0000935	XP_015179974.1	XP_004932223.1, NP_001091765.1, XP_037872945.1, XP_037872946.1, XP_004932225.1
OG0000936	XP_015188683.1	XP_012550455.1
OG0000937	XP_015188421.1	XP_004927554.3, XP_021204568.1
OG0000938	XP_015177378.1	XP_012552500.1
OG0000939	XP_015172108.1	XP_004922398.2
OG0000941	XP_015182643.1, XP_015182644.1, XP_015182645.1	XP_037868215.1
OG0000942	XP_015174181.1	XP_004927448.1
OG0000942	XP_015175750.1	XP_037875810.1
OG0000943	XP_015181727.1, XP_015181728.1	XP_012544451.1
OG0000944	XP_015172595.1, XP_015172596.1	XP_021208208.1, XP_037867074.1
OG0000945	XP_015188560.1, XP_015188559.1	NP_001040531.1
OG0000946	XP_015179090.1, XP_015187698.1	XP_004929214.1
OG0000947	XP_015171774.1	XP_037872693.1, XP_037872707.1
OG0000948	XP_015181362.1, XP_015181363.1	XP_004929142.1, XP_004929141.1
OG0000949	XP_015188750.1, XP_015188751.1	NP_001296553.1
OG0000950	XP_015186768.1	XP_037870486.1, XP_037870487.1
OG0000951	XP_015189476.1, XP_015189477.1	XP_004928270.1
OG0000952	XP_015187741.1	XP_004928289.1
OG0000953	XP_015180772.1, XP_015180896.1	XP_037877732.1
OG0000954	XP_015182023.1, XP_015181551.1	XP_004927115.1, XP_037877524.1
OG0000955	XP_015187096.1, XP_015187099.1	XP_037876067.1, XP_021209092.1
OG0000957	XP_015190064.1	XP_037870134.1, XP_037877293.1
OG0000958	XP_015181014.1, XP_015181015.1, XP_015181013.1	NP_001127714.1, NP_001127740.1, XP_037873765.1
OG0000959	XP_015182535.1, XP_015186927.1	XP_037874880.1, XP_012544647.1
OG0000960	XP_015178044.1	NP_001040502.1
OG0000960	XP_015172046.1	XP_037873523.1
OG0000961	XP_015184605.1	XP_037867675.1, XP_037867674.1
OG0000962	XP_015185526.1, XP_015185519.1	XP_021205129.1, NP_001299580.1
OG0000963	XP_015176676.1, XP_015176675.1	NP_001091829.1
OG0000964	XP_015171839.1, XP_015171858.1	XP_037870832.1, XP_037870835.1
OG0000965	XP_015180575.1, XP_015180584.1	XP_037874770.1, XP_037874755.1
OG0000966	XP_015178543.1, XP_015178535.1	XP_037872227.1
OG0000967	XP_015178106.1, XP_015178134.1, XP_015178125.1, XP_015178116.1	NP_001116812.1
OG0000968	XP_015176144.1	XP_037873409.1, XP_037873416.1
OG0000970	XP_015175044.1	XP_004924882.2
OG0000971	XP_015175695.1	XP_037870111.1, XP_012548870.1
OG0000972	XP_015171553.1, XP_015171554.1	XP_037866506.1
OG0000973	XP_015186443.1	XP_004930164.1
OG0000974	XP_015189633.1, XP_015189632.1	XP_037872739.1
OG0000975	XP_015177036.1, XP_015177027.1	XP_037873866.1, XP_037873895.1, XP_037873893.1
OG0000976	XP_015186917.1	XP_004927917.2
OG0000977	XP_015171419.1	XP_004923422.2, XP_004928914.1
OG0000978	XP_015175367.1, XP_015190980.1	XP_021208192.1
OG0000979	XP_015171776.1, XP_015191604.1	XP_021206860.2
OG0000983	XP_015184122.1, XP_015184123.1	XP_004924077.1, XP_004924076.1
OG0000984	XP_015172433.1	NP_001037051.1
OG0000985	XP_015179027.1, XP_015179026.1, XP_015179029.1	XP_021206754.2, XP_012549882.2, XP_004922470.2
OG0000986	XP_015181002.1	XP_037876430.1, XP_021202300.1, XP_021202305.1, XP_021202303.1, XP_021202302.1, XP_021202301.1
OG0000987	XP_015174917.1, XP_015172232.1	XP_012548339.1
OG0000988	XP_015174119.1, XP_015174118.1, XP_015174120.1	NP_001164649.1
OG0000989	XP_015176292.1	XP_012546534.2, XP_012546538.2
OG0000990	XP_015175953.1	NP_001127719.1
OG0000992	XP_015176311.1	NP_001040289.1, XP_012548308.1
OG0000993	XP_015179484.1	NP_001037364.1, XP_037872127.1
OG0000994	XP_015182304.1, XP_015182305.1	NP_001040167.1
OG0000995	XP_015174088.1, XP_015188779.1	NP_001106230.1
OG0000996	XP_015185752.1	NP_001036909.1
OG0000997	XP_015188106.1	XP_004933539.1
OG0000997	XP_015188102.1	XP_004930162.1
OG0000998	XP_015179630.1	NP_001108463.1, XP_021204265.2
OG0000999	XP_015177401.1	XP_037871889.1, NP_001036847.1
OG0001000	XP_015172622.1, XP_015187087.1, XP_015187088.1	XP_004927100.1
OG0001001	XP_015185344.1, XP_015179997.1	NP_001091815.1
OG0001002	XP_015184907.1	NP_001091821.1
OG0001003	XP_015171955.1	XP_004930115.1, XP_004930116.1
OG0001004	XP_015173692.1	XP_021207158.1
OG0001004	XP_015181012.1	XP_004931500.1
OG0001005	XP_015190463.1	XP_004930344.1
OG0001006	XP_015173951.1, XP_015173950.1	XP_037877686.1, XP_037877687.1
OG0001007	XP_015174648.1	XP_012551579.1
OG0001008	XP_015181878.1	NP_001243922.1, XP_037869044.1
OG0001008	XP_015181872.1	NP_001037034.1
OG0001009	XP_015180568.1, XP_015181885.1	XP_037876105.1
OG0001011	XP_015173222.1	XP_004930447.2
OG0001012	XP_015185266.1	XP_012551938.1, XP_037873592.1
OG0001013	XP_015177366.1, XP_015177365.1	XP_004933411.1, XP_004933410.1
OG0001014	XP_015187836.1, XP_015187835.1	XP_004926225.3
OG0001015	XP_015177456.1	XP_004931112.2, XP_037868988.1
OG0001015	XP_015179864.1	XP_004931226.2
OG0001016	XP_015188536.1, XP_015177132.1	XP_004932217.1
OG0001017	XP_015177391.1	XP_012548326.1, XP_012548337.1, XP_004922144.1, XP_021204671.1
OG0001018	XP_015173309.1	XP_037875036.1, NP_001091845.1
OG0001018	XP_015173310.1	NP_001037289.1
OG0001019	XP_015177206.1	XP_037869186.1
OG0001020	XP_015187551.1	XP_004925875.1
OG0001022	XP_015191555.1, XP_015191556.1	XP_012548973.1
OG0001023	XP_015186868.1	XP_021202636.2
OG0001025	XP_015173183.1, XP_015173182.1	XP_012544535.2
OG0001026	XP_015180087.1	XP_004922009.1
OG0001027	XP_015175288.1	XP_004925186.1
OG0001028	XP_015182313.1	NP_001040546.1, XP_012546310.1
OG0001030	XP_015178239.1	XP_004932570.1
OG0001031	XP_015189664.1	XP_037877146.1
OG0001032	XP_015171354.1	XP_004923640.1
OG0001033	XP_015177748.1, XP_015177749.1, XP_015177752.1, XP_015177751.1, XP_015177750.1, XP_015177747.1	XP_012545394.1, NP_001161188.1
OG0001034	XP_015179826.1, XP_015179827.1, XP_015179830.1, XP_015179831.1, XP_015179832.1	XP_037875314.1, XP_037875312.1
OG0001035	XP_015171590.1, XP_015171589.1	XP_037870647.1
OG0001036	XP_015189522.1, XP_015186622.1	XP_004931447.2
