Orthogroup	Polistes_dominula	Bombus_terrestris
OG0000803	XP_015177675.1, XP_015177672.1, XP_015177673.1, XP_015177674.1	XP_020720273.1, XP_020720272.1, XP_003397466.1
OG0000804	XP_015177827.1	XP_003394698.1
OG0000805	XP_015182111.1	XP_003396039.1
OG0000805	XP_015191705.1	XP_012174200.1
OG0000806	XP_015180020.1, XP_015180026.1, XP_015180025.1, XP_015180024.1, XP_015180023.1, XP_015180022.1	XP_003397751.1, XP_012167092.1, XP_012167093.1
OG0000807	XP_015185915.1	XP_003399650.1, XP_012170173.1, XP_012170172.1
OG0000808	XP_015174339.1	XP_020720805.1
OG0000808	XP_015174340.1	XP_012167781.1
OG0000809	XP_015190648.1, XP_015190653.1	XP_020718937.1, XP_003395415.2, XP_003402523.3
OG0000810	XP_015175370.1	XP_020721358.1, XP_003399739.1
OG0000811	XP_015175059.1, XP_015175058.1	XP_012166695.1
OG0000812	XP_015177868.1, XP_015177866.1	XP_003396592.1
OG0000812	XP_015191437.1	XP_003394553.1
OG0000813	XP_015185493.1	XP_003399910.1
OG0000814	XP_015177459.1	XP_003402088.1
OG0000814	XP_015177461.1	XP_003401929.1
OG0000815	XP_015190690.1, XP_015190692.1	XP_012165603.1, XP_012165623.1, XP_012165628.1
OG0000816	XP_015178477.1	XP_003398314.1
OG0000817	XP_015172113.1	XP_003394391.1
OG0000818	XP_015171841.1	XP_003394690.1
OG0000819	XP_015177455.1	XP_020722584.1
OG0000819	XP_015177452.1	XP_012172650.1
OG0000820	XP_015173350.1	XP_012164535.1, XP_012164536.1, XP_003395969.1, XP_012164534.1
OG0000821	XP_015187205.1	XP_003398511.1
OG0000822	XP_015189041.1, XP_015189039.1, XP_015189042.1	XP_003393415.1, XP_012168194.1
OG0000823	XP_015184871.1, XP_015184870.1, XP_015184873.1, XP_015184872.1	XP_003399445.1
OG0000824	XP_015191755.1, XP_015191754.1	XP_012173206.2
OG0000824	XP_015180593.1	XP_012175405.1
OG0000825	XP_015187740.1	XP_012167590.1
OG0000826	XP_015187846.1, XP_015187847.1	XP_020718930.1, XP_012164048.1, XP_012164050.1, XP_012164046.1, XP_003395588.1, XP_020718931.1
OG0000827	XP_015190880.1	XP_020720559.1, XP_020720562.1
OG0000829	XP_015174247.1	XP_003399769.1
OG0000830	XP_015176486.1	XP_003394299.1
OG0000831	XP_015187648.1	XP_012170449.1, XP_012170452.1
OG0000832	XP_015182201.1	XP_020724015.1, XP_020724009.1, XP_020724013.1, XP_020724012.1, XP_003393627.1, XP_020724011.1, XP_020724010.1, XP_020724014.1
OG0000833	XP_015179083.1, XP_015179069.1	XP_020721531.1, XP_020721525.1, XP_020721530.1
OG0000834	XP_015188791.1, XP_015188793.1	XP_012168056.1, XP_003393407.1
OG0000835	XP_015172107.1	XP_003399682.1
OG0000836	XP_015175593.1	XP_020722762.1
OG0000837	XP_015189396.1, XP_015189394.1, XP_015189395.1	XP_003397404.1, XP_012166829.1, XP_012166828.1
OG0000839	XP_015176907.1, XP_015176906.1, XP_015176905.1	XP_003397300.2
OG0000840	XP_015171609.1, XP_015171610.1	XP_020719311.1, XP_012165321.1, XP_012165322.1, XP_003396339.1
OG0000841	XP_015185470.1	XP_003397175.1
OG0000842	XP_015188377.1	XP_003395726.1
OG0000843	XP_015179933.1, XP_015179934.1	XP_020721707.1, XP_020721708.1, XP_003399517.1, XP_012169962.1, XP_012169961.1
OG0000844	XP_015189208.1, XP_015189210.1	XP_012176282.1, XP_003392928.1
OG0000846	XP_015180905.1, XP_015188409.1, XP_015188578.1, XP_015184250.1, XP_015189712.1	XP_012175295.2, XP_020724151.1, XP_020724153.1, XP_012176310.1, XP_003394317.1, XP_020723870.1
OG0000849	XP_015184255.1, XP_015184256.1	XP_012168166.1
OG0000850	XP_015172914.1, XP_015172913.1	XP_020722106.1
OG0000851	XP_015174236.1	XP_020722809.1
OG0000852	XP_015177376.1, XP_015177375.1	XP_003393795.1
OG0000853	XP_015174954.1, XP_015174955.1	XP_012170145.1
OG0000854	XP_015178802.1	XP_003402671.1
OG0000855	XP_015184043.1, XP_015184042.1, XP_015184044.1	XP_012165430.1, XP_012165429.1, XP_020719312.1
OG0000856	XP_015173180.1	XP_012170655.1
OG0000856	XP_015173076.1	XP_012170595.1
OG0000857	XP_015176568.1, XP_015176569.1	XP_003395095.1
OG0000858	XP_015172512.1	XP_012170951.1
OG0000859	XP_015190125.1	XP_012164139.1, XP_012164154.1, XP_012164160.1, XP_012164147.1
OG0000860	XP_015179289.1, XP_015179285.1, XP_015179286.1, XP_015179287.1	XP_003394311.1
OG0000861	XP_015191192.1	XP_020723751.1
OG0000862	XP_015182915.1	XP_003395982.1
OG0000863	XP_015182553.1	XP_003403039.1, XP_012175002.1, XP_012175001.1
OG0000864	XP_015172499.1, XP_015172500.1, XP_015172502.1	XP_012163958.1
OG0000865	XP_015183510.1	XP_012164079.1, XP_020718611.1
OG0000866	XP_015172995.1, XP_015172994.1, XP_015172996.1, XP_015172993.1	XP_003399480.1
OG0000867	XP_015182439.1	XP_012166142.1, XP_003396980.1, XP_020719315.1, XP_020719313.1, XP_020719314.1
OG0000868	XP_015187718.1	XP_020723310.1
OG0000869	XP_015183581.1, XP_015183579.1, XP_015183578.1, XP_015183577.1, XP_015183582.1	XP_012167588.1, XP_003397889.1
OG0000870	XP_015188337.1	XP_003401670.1, XP_012172959.1, XP_012172958.1
OG0000871	XP_015172789.1, XP_015172790.1, XP_015172791.1, XP_015172788.1, XP_015172792.1	XP_003400941.1
OG0000872	XP_015191392.1, XP_015191394.1	XP_012176769.1
OG0000873	XP_015178193.1	XP_012176736.1
OG0000874	XP_015188271.1, XP_015188272.1, XP_015188268.1, XP_015188269.1	XP_003396333.1, XP_012165312.1, XP_012165311.1
OG0000875	XP_015187543.1, XP_015187544.1	XP_003400299.1, XP_012171080.1
OG0000876	XP_015177109.1	XP_003403104.1, XP_012175097.1, XP_012175096.1
OG0000877	XP_015182039.1	XP_012171004.1, XP_012171005.1, XP_012171009.1, XP_012171010.1, XP_012171003.1, XP_020721912.1, XP_020721911.1, XP_020721910.1, XP_012171011.1
OG0000878	XP_015175960.1	XP_012166400.1
OG0000878	XP_015175813.1	XP_012166398.1
OG0000879	XP_015171508.1	XP_003400151.1
OG0000880	XP_015183148.1	XP_012171495.1, XP_020722002.1, XP_003400662.1
OG0000881	XP_015180069.1	XP_020720593.1, XP_003398360.1, XP_012168067.1, XP_012168068.1, XP_012168069.1, XP_012168071.1
OG0000882	XP_015182834.1	XP_003398034.1
OG0000883	XP_015181057.1	XP_012172830.1
OG0000884	XP_015181805.1, XP_015181806.1, XP_015181804.1	XP_012172789.1, XP_020722724.1, XP_012172793.1
OG0000885	XP_015185049.1	XP_012166636.1
OG0000886	XP_015180290.1, XP_015180299.1	XP_003400850.1
OG0000887	XP_015190553.1	XP_003402795.1
OG0000888	XP_015177484.1	XP_012172930.1, XP_003401651.1
OG0000890	XP_015176405.1	XP_003395103.1
OG0000891	XP_015180316.1, XP_015180317.1, XP_015180313.1, XP_015180318.1, XP_015180315.1, XP_015180319.1, XP_015180314.1	XP_020720870.1, XP_003398739.1, XP_020720871.1
OG0000892	XP_015181682.1, XP_015176616.1	XP_003402957.1
OG0000893	XP_015176564.1	XP_012165090.1
OG0000893	XP_015176562.1, XP_015176560.1, XP_015176561.1, XP_015176559.1	XP_012165087.1
OG0000894	XP_015183135.1, XP_015183134.1	XP_012168877.1, XP_003398880.1, XP_012168876.1, XP_012168875.1, XP_012168874.1, XP_012168873.1
OG0000895	XP_015176394.1	XP_012176521.1
OG0000896	XP_015174542.1	XP_020722610.1
OG0000896	XP_015174696.1	XP_012172386.1
OG0000897	XP_015189525.1, XP_015189527.1, XP_015189526.1, XP_015189528.1	XP_012165977.1, XP_012165978.1, XP_012165980.1
OG0000898	XP_015180246.1	XP_003395307.1
OG0000898	XP_015190508.1	XP_003393516.1
OG0000899	XP_015176107.1	XP_012167012.1, XP_003397491.1
OG0000900	XP_015181904.1, XP_015181903.1	XP_020721653.1
OG0000901	XP_015181566.1	XP_003403269.2
OG0000902	XP_015188426.1	XP_012170198.1, XP_003399677.2, XP_012170197.2, XP_003403002.3, XP_020721954.1
OG0000904	XP_015178828.1	XP_012168259.1
OG0000905	XP_015175895.1, XP_015180562.1	XP_020719514.1, XP_020719515.1
OG0000906	XP_015185582.1	XP_020720661.1
OG0000908	XP_015188569.1, XP_015188570.1	XP_003398198.1, XP_012167738.1, XP_020720671.1
OG0000909	XP_015185735.1	XP_020722950.1
OG0000910	XP_015176527.1	XP_012170668.1
OG0000911	XP_015175720.1	XP_012171867.1, XP_012171868.1, XP_012171871.1, XP_012171870.1
OG0000912	XP_015171542.1, XP_015171559.1, XP_015171551.1, XP_015171534.1, XP_015171525.1	XP_003398020.1
OG0000913	XP_015175619.1	XP_012169154.2
OG0000914	XP_015176440.1	XP_012175153.1
OG0000916	XP_015187295.1	XP_003394165.1
OG0000917	XP_015188187.1	XP_003403224.1
OG0000918	XP_015182251.1	XP_003398959.1
OG0000919	XP_015175896.1	XP_003395200.1, XP_012163649.1
OG0000920	XP_015186775.1	XP_003392877.1, XP_003392876.1
OG0000921	XP_015171942.1, XP_015171935.1	XP_003398323.1
OG0000922	XP_015188485.1, XP_015188484.1, XP_015188483.1, XP_015188482.1	XP_012174981.1, XP_020723817.1, XP_020723818.1, XP_020723816.1, XP_020723815.1, XP_003403218.1, XP_012174982.1
OG0000923	XP_015188407.1	XP_012165484.1
OG0000923	XP_015189867.1	XP_020719661.1
OG0000924	XP_015191506.1	XP_012176362.2
OG0000925	XP_015176121.1, XP_015176120.1	XP_020724045.1
OG0000927	XP_015187147.1, XP_015187146.1	XP_012174351.1, XP_003402684.1
OG0000928	XP_015188321.1	XP_020720576.1, XP_003402550.2
OG0000929	XP_015184722.1	XP_003401209.1
OG0000930	XP_015188871.1, XP_015188869.1, XP_015188868.1	XP_003401932.1, XP_012173409.1
OG0000931	XP_015184924.1	XP_012172739.1
OG0000931	XP_015184923.1	XP_012172732.1
OG0000932	XP_015178736.1	XP_003400982.1
OG0000933	XP_015178985.1	XP_003396897.1
OG0000933	XP_015184783.1	XP_003393129.2
OG0000934	XP_015191661.1, XP_015191660.1	XP_003395692.1
OG0000935	XP_015179974.1	XP_020721705.1
OG0000936	XP_015188683.1	XP_020719426.1, XP_012166123.1
OG0000937	XP_015188421.1	XP_020719824.1
OG0000938	XP_015177378.1	XP_012173298.1, XP_012173299.1, XP_012173296.1, XP_003401876.1, XP_003401877.1, XP_012173297.1
OG0000939	XP_015172108.1	XP_020719355.1
OG0000939	XP_015171764.1	XP_020719492.1
OG0000941	XP_015182643.1, XP_015182644.1, XP_015182645.1	XP_012167700.1, XP_012167701.1, XP_012167699.1, XP_003397976.1
OG0000942	XP_015175750.1	XP_012172696.1
OG0000943	XP_015181727.1, XP_015181728.1	XP_020722511.1, XP_020722513.1, XP_020722514.1, XP_012172295.2
OG0000944	XP_015172595.1, XP_015172596.1	XP_003400723.1, XP_012171735.1
OG0000945	XP_015188560.1, XP_015188559.1	XP_003398247.1
OG0000946	XP_015187698.1	XP_012171053.1
OG0000947	XP_015181411.1	XP_012171910.2, XP_012174856.1, XP_020722252.1
OG0000947	XP_015171774.1	XP_020722503.1
OG0000948	XP_015181362.1, XP_015181363.1	XP_003400497.1, XP_012171372.1, XP_012171371.1, XP_012171370.1
OG0000949	XP_015188750.1, XP_015188751.1	XP_003396024.1
OG0000950	XP_015186768.1	XP_012174422.1, XP_012174421.1, XP_003402776.1
OG0000951	XP_015189476.1, XP_015189477.1	XP_003403130.1, XP_020723830.1
OG0000952	XP_015187741.1	XP_012167440.1, XP_003397848.1
OG0000954	XP_015182023.1	XP_003402919.1
OG0000954	XP_015181551.1	XP_003402952.1
OG0000955	XP_015187096.1, XP_015187099.1	XP_012171379.1
OG0000957	XP_015190064.1	XP_003401786.1
OG0000958	XP_015181014.1, XP_015181015.1, XP_015181013.1	NP_001291369.1, XP_012174015.1
OG0000959	XP_015182535.1	XP_020720657.1
OG0000959	XP_015186927.1	XP_003398238.1
OG0000960	XP_015178044.1	XP_012164276.1
OG0000960	XP_015172046.1	XP_012164277.1
OG0000961	XP_015184605.1	XP_020720008.1
OG0000962	XP_015185526.1, XP_015185519.1	XP_020721999.1
OG0000963	XP_015176676.1, XP_015176675.1	XP_003397850.1, XP_020720452.1
OG0000964	XP_015171839.1	XP_012174359.1, XP_003393771.1
OG0000965	XP_015180575.1	XP_003397396.1
OG0000965	XP_015180584.1	XP_020720241.1
OG0000966	XP_015178543.1, XP_015178535.1	XP_020720110.1, XP_012174260.1
OG0000967	XP_015178106.1, XP_015178134.1, XP_015178125.1, XP_015178116.1	XP_003394892.1
OG0000968	XP_015176144.1	XP_020724328.1
OG0000969	XP_015188638.1	XP_003396675.1
OG0000970	XP_015175044.1	XP_012168640.1, XP_003398677.1, XP_012168641.1
OG0000971	XP_015175695.1	XP_003401093.1
OG0000972	XP_015171553.1, XP_015171554.1	XP_003399041.1, XP_012169237.1, XP_012169238.1
OG0000973	XP_015186443.1	XP_020720258.1, XP_020720260.1, XP_020720259.1, XP_012167259.1, XP_012167260.1
OG0000974	XP_015189633.1, XP_015189632.1	XP_020721996.1, XP_003400890.1, XP_012171747.1
OG0000975	XP_015177036.1	XP_012174045.1
OG0000976	XP_015186917.1	XP_003396062.1, XP_012164905.1
OG0000977	XP_015171419.1	XP_012164019.1, XP_012164016.1, XP_012164018.1, XP_012164017.1, XP_012164022.1, XP_012164021.1, XP_012164025.1, XP_012164023.1, XP_012164020.1
OG0000978	XP_015175367.1	XP_020723704.1
OG0000978	XP_015190980.1	XP_012169494.1
OG0000979	XP_015171776.1	XP_020721981.1
OG0000979	XP_015191604.1	XP_020719817.1
OG0000981	XP_015191624.1	XP_012163634.1
OG0000983	XP_015184122.1, XP_015184123.1	XP_012163973.1, XP_003395529.1
OG0000984	XP_015172434.1	XP_012170831.1
OG0000984	XP_015172433.1	XP_003400352.2
OG0000985	XP_015179027.1, XP_015179026.1, XP_015179029.1	XP_003398411.1
OG0000986	XP_015181002.1	XP_003395318.1
OG0000987	XP_015174917.1	XP_020718255.1
OG0000987	XP_015172232.1	XP_020723968.1
OG0000988	XP_015174119.1, XP_015174118.1, XP_015174120.1	XP_003393336.1, XP_012166339.1, XP_003393337.1
OG0000989	XP_015176292.1	XP_020721825.1
OG0000990	XP_015175953.1	XP_012168758.1, XP_012168759.1, XP_012168760.1, XP_012168762.1, XP_012168764.1, XP_012168765.1, XP_012168766.1, XP_020721029.1
OG0000992	XP_015176311.1	XP_012171049.1
OG0000993	XP_015179484.1	XP_003393818.1
OG0000994	XP_015182304.1	XP_003394066.1
OG0000994	XP_015182305.1	XP_003394063.1
OG0000995	XP_015174088.1	XP_012168054.1
OG0000995	XP_015188779.1	XP_020720884.1
OG0000996	XP_015185752.1	XP_003401769.1, XP_012173148.1, XP_012173147.1, XP_012173146.1
OG0000997	XP_015188106.1	XP_003395510.1
OG0000997	XP_015188102.1	XP_020718730.1
OG0000998	XP_015179630.1	XP_012166749.1
OG0000999	XP_015177401.1	XP_012175190.1
OG0001000	XP_015172622.1, XP_015187087.1, XP_015187088.1	XP_003396466.1
OG0001001	XP_015185344.1	XP_003398637.1
OG0001001	XP_015179997.1	XP_003395094.1
OG0001002	XP_015184907.1	XP_003401492.1
OG0001003	XP_015171955.1	XP_003398428.1
OG0001004	XP_015173692.1	XP_020720697.1
OG0001005	XP_015190463.1	XP_003393385.1
OG0001006	XP_015173951.1, XP_015173950.1	XP_003398903.1, XP_012169008.1
OG0001007	XP_015174648.1	XP_012171583.1
OG0001008	XP_015181878.1, XP_015181872.1	XP_020721160.1
OG0001009	XP_015180568.1	XP_012166817.2
OG0001009	XP_015181885.1	XP_012169742.1
OG0001010	XP_015178164.1	XP_003396326.1
OG0001011	XP_015173222.1	XP_003401633.1
OG0001012	XP_015185266.1	XP_012164463.1
OG0001013	XP_015177366.1, XP_015177365.1	XP_003393382.1, XP_020718545.1
OG0001014	XP_015187836.1, XP_015187835.1	XP_012175742.1, XP_003394044.1
OG0001015	XP_015177456.1	XP_012165103.1
OG0001015	XP_015179864.1	XP_012165099.1
OG0001016	XP_015188536.1	XP_020719257.1
OG0001016	XP_015177132.1	XP_003398736.2
OG0001017	XP_015177391.1	XP_003393261.1, XP_012165340.1, XP_012165355.1, XP_012165362.1, XP_020720886.1
OG0001018	XP_015173309.1	XP_020723280.1
OG0001018	XP_015173310.1	XP_020723281.1
OG0001019	XP_015177206.1	XP_003398683.1
OG0001020	XP_015187551.1	XP_012175853.1, XP_012175856.1, XP_012175859.1, XP_012175858.1
OG0001022	XP_015191556.1	XP_012175206.1
OG0001023	XP_015186868.1	XP_012169769.1, XP_012169768.1
OG0001025	XP_015173183.1, XP_015173182.1	XP_003398201.1
OG0001026	XP_015180087.1	XP_020724246.1
OG0001027	XP_015175288.1	XP_020718817.1
OG0001028	XP_015188132.1	XP_003393673.1
OG0001028	XP_015182313.1	XP_012164667.1
OG0001029	XP_015177580.1, XP_015177573.1, XP_015177567.1	XP_012169880.2
OG0001030	XP_015178239.1	XP_020721992.1, XP_003400846.1
OG0001031	XP_015189664.1	XP_012169757.1, XP_012169752.1, XP_012169746.1, XP_012169763.1
OG0001032	XP_015171354.1	XP_012170957.1
OG0001033	XP_015177748.1, XP_015177749.1, XP_015177752.1, XP_015177751.1, XP_015177750.1, XP_015177747.1	XP_003396273.1
OG0001034	XP_015179826.1, XP_015179827.1, XP_015179830.1, XP_015179831.1, XP_015179832.1	XP_012164214.1
OG0001035	XP_015171590.1, XP_015171589.1	XP_012166278.1
OG0001036	XP_015189522.1	XP_020719237.1
OG0001036	XP_015186622.1	XP_003396970.1
OG0001037	XP_015178992.1	XP_003397063.1, XP_003397062.1, XP_012166344.1
OG0001038	XP_015184808.1, XP_015184811.1, XP_015184810.1, XP_015184807.1	XP_003395639.1
OG0001039	XP_015189450.1, XP_015189451.1	XP_003400481.1
OG0001040	XP_015184842.1	XP_012163729.1, XP_003393071.1
OG0001041	XP_015186655.1, XP_015186654.1	XP_003402975.1
OG0001042	XP_015172705.1	XP_020722909.1
OG0001043	XP_015185068.1, XP_015185072.1	XP_012165560.1, XP_003396982.1
OG0001044	XP_015180939.1, XP_015180940.1, XP_015180941.1	XP_012172024.1, XP_012172023.1, XP_020722709.1, XP_003400994.1, XP_012172025.1
OG0001045	XP_015185458.1, XP_015185459.1, XP_015185456.1, XP_015185457.1, XP_015185462.1, XP_015185463.1, XP_015185461.1	XP_003397182.1, XP_012166522.1
OG0001046	XP_015173825.1, XP_015173826.1	XP_020721361.1
OG0001048	XP_015186928.1	XP_003400324.1
OG0001051	XP_015191452.1	XP_012169012.1, XP_012169011.1, XP_012169010.1
OG0001052	XP_015180357.1, XP_015180358.1	XP_012164443.1
OG0001054	XP_015173173.1	XP_012170074.1, XP_012170075.1, XP_012170073.1, XP_012170071.1, XP_020721696.1
OG0001055	XP_015190402.1	XP_012170680.1
OG0001056	XP_015179749.1, XP_015179748.1	XP_003402872.1, XP_012174598.1, XP_012174597.1, XP_012174596.1
OG0001057	XP_015175264.1	XP_012164261.1
OG0001058	XP_015173539.1	XP_012168390.1, XP_012168389.1, XP_012168391.1
OG0001059	XP_015187659.1	XP_003393651.1
OG0001059	XP_015173846.1	XP_003397773.1
OG0001060	XP_015173589.1	XP_012163202.1
OG0001061	XP_015191193.1	XP_012168011.1, XP_020720840.1
OG0001063	XP_015171771.1	XP_020722594.1
OG0001063	XP_015175807.1	XP_020719112.1
OG0001064	XP_015175528.1, XP_015175527.1	XP_020722284.1, XP_020722285.1
OG0001065	XP_015174858.1, XP_015174857.1	XP_020720506.1, XP_020720504.1, XP_020720505.1
OG0001066	XP_015180531.1, XP_015180532.1, XP_015180530.1	XP_012169239.1
OG0001067	XP_015182289.1	XP_003399396.1
OG0001068	XP_015184896.1	XP_012165849.1
OG0001069	XP_015183176.1	XP_003400830.1
OG0001070	XP_015178305.1	XP_020720555.1
OG0001071	XP_015188159.1, XP_015188158.1, XP_015188153.1, XP_015188152.1, XP_015188154.1, XP_015188155.1, XP_015188156.1	XP_003397816.1
OG0001072	XP_015187375.1	XP_012170687.1
OG0001073	XP_015182688.1	XP_003397563.1
OG0001074	XP_015181351.1	XP_003394236.1
OG0001074	XP_015181344.1	XP_003394238.1
OG0001076	XP_015187043.1, XP_015187060.1	XP_020723292.1
OG0001077	XP_015176545.1, XP_015176546.1	XP_003399720.1, XP_003399719.1
OG0001078	XP_015174323.1	XP_003398213.1
OG0001079	XP_015180274.1, XP_015180275.1	XP_012163931.1
OG0001081	XP_015180222.1, XP_015180218.1	XP_020722259.1
OG0001082	XP_015178374.1, XP_015178373.1	XP_020718769.1
OG0001083	XP_015180124.1, XP_015180122.1	XP_020722087.1, XP_003400911.1
OG0001084	XP_015179989.1	XP_012171819.1
OG0001085	XP_015173687.1	XP_012163774.1
OG0001086	XP_015172964.1	XP_020718465.1, XP_012163236.1, XP_012163235.1, XP_012163234.1, XP_012163233.1, XP_003395250.1, XP_020718463.1
OG0001087	XP_015188495.1	XP_020722157.1, XP_003400585.1, XP_003400584.1
OG0001090	XP_015175110.1	XP_003394894.1, XP_003394895.1
OG0001091	XP_015189101.1, XP_015189103.1	XP_003397668.1
OG0001092	XP_015191425.1, XP_015191467.1	XP_003397991.1
OG0001093	XP_015187165.1, XP_015187166.1	XP_012175412.1, XP_012175413.1, XP_012175411.1
OG0001094	XP_015176080.1	XP_012175854.1, XP_012175843.1
OG0001095	XP_015184068.1	XP_012174330.1
OG0001096	XP_015171385.1	XP_020721467.1, XP_012170293.1, XP_003399736.1, XP_020721468.1
OG0001097	XP_015179419.1, XP_015179409.1	XP_003398536.1
OG0001098	XP_015184515.1	XP_012170564.1, XP_012170563.1, XP_012170562.1, XP_012170561.1, XP_012170568.1, XP_012170566.1, XP_012170569.1, XP_012170565.1
OG0001099	XP_015191447.1	XP_012167227.1
OG0001100	XP_015174604.1	XP_003395980.1
OG0001101	XP_015177055.1	XP_003399060.1
OG0001102	XP_015176575.1, XP_015176574.1, XP_015176576.1	XP_003395066.1, XP_003395067.1
OG0001103	XP_015176930.1	XP_012173261.1, XP_012173260.1, XP_003401858.1
OG0001104	XP_015188143.1, XP_015188146.1	XP_020718898.1
OG0001105	XP_015180113.1	XP_003402656.1
OG0001106	XP_015177824.1, XP_015177823.1	XP_012173949.1, XP_003402322.1, XP_012173950.1
OG0001107	XP_015188221.1, XP_015188220.1, XP_015188224.1, XP_015188222.1, XP_015188219.1, XP_015188218.1, XP_015172943.1	XP_012173130.1, XP_003401755.1
OG0001108	XP_015186207.1	XP_003401737.1
OG0001109	XP_015171708.1	XP_012175154.1
OG0001110	XP_015174699.1	XP_003399407.1
OG0001111	XP_015189229.1, XP_015189231.1	XP_012169483.1, XP_012169484.1, XP_012169476.1, XP_012169458.1, XP_012169464.1, XP_012169453.1
OG0001112	XP_015186816.1, XP_015186814.1	XP_012174674.1
OG0001113	XP_015175661.1, XP_015175660.1	XP_003395429.1
OG0001114	XP_015177983.1	XP_020720606.1
OG0001115	XP_015180257.1	XP_003401766.1
OG0001116	XP_015182647.1	XP_003397472.1
OG0001117	XP_015186405.1	XP_020720702.1
OG0001118	XP_015184284.1, XP_015184283.1	XP_003393752.1, XP_012170929.1, XP_012170923.1
OG0001119	XP_015174575.1, XP_015174576.1, XP_015174573.1, XP_015174574.1, XP_015174577.1	XP_003398972.1, XP_012169129.1
OG0001120	XP_015190181.1	XP_003396813.1
OG0001120	XP_015191352.1	XP_003396815.1
OG0001121	XP_015183325.1	XP_012163127.1
OG0001122	XP_015190629.1	XP_012172103.2
OG0001124	XP_015180596.1	XP_012168157.1
OG0001125	XP_015182013.1	XP_003396616.1, XP_020719415.1
OG0001126	XP_015182667.1	XP_003397039.1
OG0001128	XP_015185085.1	XP_012165573.1
OG0001128	XP_015185078.1	XP_020719571.1
OG0001129	XP_015184969.1	XP_003395954.1, XP_012164551.1
OG0001130	XP_015181166.1	XP_020721883.1, XP_003400316.2, XP_012170922.1, XP_012170921.1, XP_020721882.1
OG0001131	XP_015183955.1	XP_020720749.1
OG0001132	XP_015191585.1	XP_003394768.1
OG0001134	XP_015179664.1	XP_003400253.1
OG0001135	XP_015174347.1, XP_015174346.1, XP_015174345.1, XP_015174344.1	XP_003393299.1
OG0001136	XP_015171439.1	XP_003400547.1
OG0001137	XP_015176189.1	XP_020724122.1
OG0001138	XP_015178519.1, XP_015178520.1, XP_015178521.1, XP_015178522.1	XP_012169017.1, XP_003398913.1
OG0001140	XP_015190502.1	XP_003402479.1, XP_012174082.1
OG0001141	XP_015175991.1	XP_012169554.1, XP_012169555.1
OG0001142	XP_015174958.1	XP_020721719.1, XP_003400015.1
OG0001143	XP_015178784.1	XP_003398491.1
OG0001144	XP_015173282.1	XP_003401087.1
OG0001145	XP_015188195.1	XP_003397437.1, XP_012166925.1
OG0001146	XP_015184502.1, XP_015184501.1	XP_020718965.1
OG0001147	XP_015191828.1, XP_015191829.1	XP_003394869.1, XP_003394870.1
OG0001148	XP_015179879.1, XP_015179878.1	XP_012169181.1, XP_020720975.1
OG0001149	XP_015189152.1, XP_015189151.1	XP_012169249.1
OG0001150	XP_015182986.1	XP_003395168.1
OG0001151	XP_015191401.1, XP_015191400.1, XP_015191399.1	XP_003398933.2
OG0001152	XP_015183414.1, XP_015183413.1	XP_020720795.1
OG0001153	XP_015191605.1	XP_020718572.1
OG0001153	XP_015191606.1	XP_020718573.1
OG0001154	XP_015183455.1	XP_020722635.1, XP_020722631.1
OG0001155	XP_015188999.1	XP_003393745.1
OG0001156	XP_015176838.1	XP_003398458.1, XP_012168191.1
OG0001157	XP_015190398.1, XP_015190397.1	XP_012167432.1, XP_003393317.1
OG0001158	XP_015187148.1	XP_012165204.1
OG0001159	XP_015175311.1	XP_012168627.1
OG0001160	XP_015177704.1	XP_003394748.1
OG0001161	XP_015190331.1	XP_012171801.1
OG0001162	XP_015180991.1, XP_015180988.1	XP_020718634.1
OG0001163	XP_015180082.1, XP_015180085.1	XP_020723064.1
OG0001164	XP_015186011.1	XP_012168461.1
OG0001165	XP_015173072.1	XP_020720601.1
OG0001166	XP_015177607.1, XP_015177606.1	XP_003397967.1, XP_012167688.1
OG0001167	XP_015185361.1, XP_015185360.1	XP_003402307.1
OG0001168	XP_015172453.1, XP_015172452.1, XP_015172451.1, XP_015172449.1, XP_015172448.1	NP_001267850.1
OG0001169	XP_015171515.1	XP_020722015.1, XP_020722014.1, XP_020722016.1, XP_020722017.1
OG0001170	XP_015185911.1	XP_003395867.1
OG0001171	XP_015191603.1	XP_020718338.1
OG0001172	XP_015171202.1, XP_015171200.1	XP_003395441.1, XP_012163864.1
OG0001173	XP_015189669.1	XP_003393427.1
OG0001174	XP_015173128.1	XP_003399965.1
OG0001175	XP_015176134.1	XP_012165146.1, XP_012165144.1, XP_012165145.1, XP_003396469.1
OG0001176	XP_015182301.1, XP_015182300.1	XP_003394064.1, XP_012175787.1, XP_012175784.1, XP_012175783.1
OG0001177	XP_015189549.1, XP_015189414.1	XP_020723249.1, XP_012168080.1
OG0001179	XP_015186516.1	XP_003398477.1
OG0001180	XP_015187233.1, XP_015187221.1	XP_003399205.2, XP_012174888.2
OG0001181	XP_015172124.1, XP_015172126.1	XP_003395966.1, XP_012164569.1
OG0001183	XP_015172681.1, XP_015172673.1	XP_020724335.1
OG0001184	XP_015172607.1, XP_015172608.1	XP_012167179.1, XP_012167180.1
OG0001185	XP_015177630.1, XP_015177626.1, XP_015177624.1	XP_012170652.1
OG0001186	XP_015186151.1	XP_012173098.1
OG0001187	XP_015188783.1	XP_012173234.1
