Orthogroup	Polistes_dominula	Tribolium_castaneum
OG0001455	XP_015188001.1, XP_015188002.1, XP_015188000.1	XP_008195504.1, XP_008195463.1
OG0001456	XP_015173849.1	XP_967649.1
OG0001457	XP_015184596.1	XP_972313.1
OG0001458	XP_015175901.1, XP_015175900.1, XP_015175899.1	XP_969998.1
OG0001459	XP_015171442.1	XP_971056.1
OG0001460	XP_015190961.1, XP_015190965.1, XP_015190964.1, XP_015190963.1, XP_015190962.1, XP_015190960.1	XP_968481.1
OG0001461	XP_015176344.1, XP_015176345.1	XP_008195927.1
OG0001462	XP_015191825.1	XP_969537.1
OG0001463	XP_015177202.1, XP_015177310.1	XP_975612.1
OG0001464	XP_015188722.1	XP_008192049.1, XP_008192050.1
OG0001465	XP_015173627.1, XP_015173626.1	XP_970371.1
OG0001466	XP_015191372.1, XP_015191371.1	XP_971808.1
OG0001467	XP_015191228.1	XP_008190991.1
OG0001468	XP_015182236.1	XP_969120.1, NP_001164201.1
OG0001469	XP_015173948.1	XP_015835402.1
OG0001470	XP_015183790.1	XP_972043.2, XP_015839118.1, XP_008198420.1
OG0001471	XP_015173745.1	XP_966863.1
OG0001472	XP_015175682.1	XP_974027.1
OG0001473	XP_015187320.1, XP_015187319.1	XP_969761.2
OG0001474	XP_015177871.1, XP_015177872.1, XP_015177870.1, XP_015177869.1	XP_008197149.1
OG0001475	XP_015190515.1, XP_015190514.1, XP_015190517.1, XP_015190516.1	XP_008194014.1
OG0001476	XP_015175246.1	XP_008196197.1, XP_008196196.1, XP_015837812.1
OG0001477	XP_015184346.1, XP_015184344.1, XP_015184345.1	XP_008193717.1
OG0001478	XP_015191461.1, XP_015191460.1	XP_971848.1
OG0001479	XP_015183743.1	XP_015835497.1
OG0001480	XP_015183437.1, XP_015183438.1	XP_968112.1, XP_015840540.1
OG0001481	XP_015188658.1	XP_008192172.1, XP_008192171.1
OG0001482	XP_015172163.1	XP_008191953.1, XP_008191952.1
OG0001483	XP_015181718.1	XP_015832869.1
OG0001484	XP_015175898.1	XP_008197131.1
OG0001485	XP_015178622.1	XP_975329.1
OG0001486	XP_015175781.1, XP_015175780.1	XP_008197650.1, NP_001280513.1
OG0001487	XP_015182757.1, XP_015182738.1, XP_015182748.1	XP_015833845.1
OG0001488	XP_015181799.1	XP_015834903.1
OG0001490	XP_015178132.1	XP_008196389.1, XP_974383.1, XP_008196042.1, XP_008195752.1
OG0001491	XP_015172098.1, XP_015172099.1	XP_970708.2
OG0001492	XP_015174948.1	XP_973907.1
OG0001493	XP_015191116.1, XP_015191113.1	XP_001812538.1, XP_008194282.1
OG0001494	XP_015188603.1, XP_015188604.1	XP_975427.2
OG0001495	XP_015178123.1	XP_972502.1, XP_975469.1
OG0001496	XP_015186531.1	XP_008191879.1, XP_008191880.1
OG0001497	XP_015182259.1	XP_973523.2, XP_008191647.1, XP_008191650.1, XP_008191649.1
OG0001498	XP_015171068.1	XP_008200217.1, XP_969950.2
OG0001499	XP_015177596.1, XP_015176679.1	XP_974456.3
OG0001500	XP_015185116.1	XP_015835209.1, NP_001280507.1
OG0001501	XP_015185127.1, XP_015185121.1	XP_015833023.1
OG0001502	XP_015186599.1	XP_015833027.1
OG0001503	XP_015183782.1, XP_015183781.1	XP_971310.1, XP_008195559.1
OG0001505	XP_015174265.1, XP_015174264.1	XP_015839664.1, XP_970228.2, XP_015838048.1
OG0001506	XP_015182578.1	XP_973081.1
OG0001507	XP_015177328.1, XP_015177327.1	XP_008197549.1, XP_970874.1
OG0001508	XP_015177702.1	XP_008201537.1
OG0001509	XP_015185640.1	XP_008196908.1
OG0001510	XP_015185130.1	XP_015838190.1
OG0001511	XP_015182878.1	XP_970235.1
OG0001512	XP_015189317.1, XP_015189383.1	XP_015838487.1
OG0001513	XP_015186717.1	XP_008195017.1
OG0001514	XP_015176729.1, XP_015176728.1	XP_968217.2
OG0001515	XP_015177834.1, XP_015177833.1	XP_967539.1
OG0001516	XP_015185898.1, XP_015185899.1	XP_015836356.1
OG0001517	XP_015183612.1, XP_015183607.1	XP_970104.3
OG0001518	XP_015189264.1	XP_967543.1
OG0001519	XP_015175798.1	XP_967329.1, XP_001811319.1, XP_015837971.1, XP_015838004.1, XP_008196924.1, XP_967414.1
OG0001520	XP_015187111.1, XP_015187110.1	XP_008194955.2
OG0001521	XP_015180263.1	XP_008196004.1
OG0001521	XP_015180548.1	XP_015837067.1
OG0001522	XP_015175123.1	XP_008198803.1
OG0001523	XP_015180935.1, XP_015180937.1	XP_008198896.1, XP_008198895.1
OG0001524	XP_015186809.1	XP_008200329.1
OG0001525	XP_015184938.1	XP_969909.1
OG0001526	XP_015178598.1, XP_015178596.1	XP_008190710.1
OG0001527	XP_015173864.1, XP_015173865.1, XP_015173863.1	XP_975382.1
OG0001529	XP_015174994.1	XP_008197492.1
OG0001530	XP_015176147.1	XP_972321.1
OG0001531	XP_015184383.1, XP_015187852.1	XP_974940.1
OG0001532	XP_015183811.1	XP_008201526.1, XP_966735.2
OG0001533	XP_015189494.1	XP_015839661.1
OG0001534	XP_015189643.1	XP_969604.2
OG0001535	XP_015186975.1	XP_969480.1, XP_971061.2
OG0001536	XP_015186566.1	XP_015833087.1
OG0001537	XP_015188456.1	XP_972795.1
OG0001538	XP_015186818.1, XP_015189908.1	NP_001076809.1, XP_008195552.1
OG0001539	XP_015189287.1	XP_015839205.1, XP_008198054.1, NP_001164115.1, XP_001813274.1, XP_015836535.1
OG0001540	XP_015191170.1	XP_973817.2, XP_008200667.1
OG0001541	XP_015178821.1, XP_015178820.1	XP_968546.2
OG0001542	XP_015172897.1, XP_015172896.1, XP_015172895.1, XP_015172894.1	XP_008192060.1
OG0001543	XP_015176705.1, XP_015176695.1	XP_008199669.1
OG0001545	XP_015190983.1	XP_975212.1
OG0001546	XP_015185052.1	XP_015836962.1, XP_015836964.1, XP_015836965.1, XP_015836963.1
OG0001547	XP_015181840.1	XP_008196118.1
OG0001549	XP_015188164.1	XP_967893.2
OG0001551	XP_015171737.1	XP_015832989.1
OG0001552	XP_015187635.1	XP_008190770.1, XP_008190772.1
OG0001553	XP_015182983.1, XP_015182982.1	XP_008200044.1
OG0001554	XP_015177936.1	XP_008193024.1
OG0001555	XP_015171140.1	XP_015835901.1
OG0001556	XP_015186765.1	XP_970686.2
OG0001557	XP_015175627.1	XP_008190378.1
OG0001559	XP_015183022.1	XP_015836282.1
OG0001560	XP_015190671.1	XP_015837120.1, XP_015837119.1, XP_015837117.1
OG0001561	XP_015191824.1	XP_008201574.1
OG0001562	XP_015182895.1	XP_015833433.1, XP_008192389.1
OG0001563	XP_015181815.1, XP_015181822.1	XP_008192558.1, XP_008192559.1
OG0001565	XP_015174966.1	XP_975257.1
OG0001566	XP_015189627.1	XP_008201287.1, XP_015835215.1, XP_015836111.1, XP_015833200.1, XP_015837869.1, XP_015837488.1, XP_015833749.1, XP_015837861.1, XP_015834539.1, XP_008201297.1, XP_015839374.1, XP_015835289.1, XP_015839894.1, XP_015833844.1, XP_015837108.1
OG0001567	XP_015184022.1, XP_015184019.1, XP_015184017.1	XP_974106.1
OG0001568	XP_015171293.1	XP_974421.1, XP_008195811.1
OG0001569	XP_015179612.1, XP_015179613.1, XP_015179614.1	XP_970921.1
OG0001570	XP_015189116.1	XP_974899.2
OG0001571	XP_015186942.1, XP_015186945.1, XP_015186944.1	XP_973610.2
OG0001572	XP_015178634.1, XP_015178635.1, XP_015178633.1	XP_971371.1
OG0001573	XP_015176456.1	XP_015833275.1
OG0001574	XP_015188741.1, XP_015188739.1	XP_008199698.1
OG0001575	XP_015187477.1, XP_015187476.1	XP_008197647.1
OG0001576	XP_015189138.1	XP_008193716.1
OG0001577	XP_015181769.1, XP_015181767.1, XP_015181768.1, XP_015181770.1	XP_967646.1
OG0001579	XP_015182527.1, XP_015182525.1	XP_015836149.1
OG0001580	XP_015187407.1	XP_008201637.1, XP_967750.1
OG0001581	XP_015187930.1	XP_968816.1
OG0001582	XP_015183090.1	XP_015840194.1
OG0001583	XP_015180361.1	XP_008194225.1, XP_015835660.1
OG0001584	XP_015176021.1	XP_008195851.1
OG0001586	XP_015185311.1	XP_967561.1, XP_972037.1
OG0001587	XP_015191489.1, XP_015190749.1	XP_968197.1
OG0001588	XP_015179867.1, XP_015179870.1	XP_015834889.1
OG0001590	XP_015172057.1	XP_966455.1
OG0001591	XP_015174470.1, XP_015174467.1, XP_015174468.1	XP_967809.1
OG0001592	XP_015187036.1, XP_015187038.1, XP_015187037.1, XP_015187039.1	XP_970967.2
OG0001593	XP_015181273.1	XP_015836546.1
OG0001594	XP_015188973.1, XP_015188971.1, XP_015188972.1, XP_015188970.1	XP_971722.1
OG0001595	XP_015189340.1	XP_971845.3
OG0001596	XP_015191635.1	XP_008190483.1
OG0001597	XP_015178329.1	XP_967895.1
OG0001597	XP_015178307.1	XP_967819.1
OG0001598	XP_015190339.1	XP_970210.1, XP_971398.1
OG0001601	XP_015171493.1	XP_008199668.1, XP_008199653.1
OG0001602	XP_015183839.1, XP_015183800.1	XP_015838387.1, XP_015838385.1
OG0001603	XP_015176177.1	XP_015834051.1, XP_968352.3
OG0001604	XP_015188043.1, XP_015188050.1	XP_008200661.1, XP_967231.3
OG0001606	XP_015172640.1	XP_973145.3, XP_015834931.1, XP_008192087.1, XP_008192090.1, XP_008192091.1, XP_008192086.1, XP_015834933.1
OG0001607	XP_015184717.1, XP_015184716.1	XP_976004.1, XP_008198242.1
OG0001608	XP_015187299.1, XP_015187300.1, XP_015187301.1	XP_972286.1
OG0001609	XP_015188544.1, XP_015188515.1, XP_015188525.1, XP_015188505.1, XP_015188535.1	XP_008199066.2
OG0001612	XP_015190931.1, XP_015190929.1, XP_015190928.1	XP_008200626.1, XP_008200627.1
OG0001614	XP_015176267.1, XP_015176276.1	XP_008194443.1, NP_001139415.1
OG0001615	XP_015182550.1	XP_967910.1
OG0001616	XP_015178045.1, XP_015178047.1	XP_967918.1, XP_015837909.1
OG0001617	XP_015190684.1	XP_973076.1
OG0001619	XP_015190429.1	XP_968073.1
OG0001620	XP_015188860.1	XP_967558.1
OG0001621	XP_015190659.1	XP_008194243.1
OG0001622	XP_015186727.1, XP_015186728.1	XP_008194474.1, XP_001811901.2
OG0001623	XP_015190034.1, XP_015190040.1	XP_974776.1, XP_974759.1
OG0001624	XP_015176544.1	NP_001153783.1
OG0001625	XP_015177101.1	XP_973818.1
OG0001626	XP_015176231.1	XP_967659.3
OG0001627	XP_015172961.1, XP_015172959.1, XP_015172958.1, XP_015172962.1	XP_008198503.1
OG0001628	XP_015171937.1	XP_015840508.1
OG0001629	XP_015172088.1	XP_968147.1, XP_008195384.1
OG0001630	XP_015178835.1	XP_967133.1, XP_008193096.2
OG0001631	XP_015177368.1, XP_015177373.1	XP_008198296.1, XP_008198297.1
OG0001632	XP_015189426.1, XP_015189425.1	XP_008198970.1
OG0001633	XP_015182014.1	XP_008195201.1
OG0001634	XP_015180733.1	XP_008190427.1
OG0001635	XP_015179819.1, XP_015179811.1, XP_015179829.1, XP_015179838.1	XP_972058.1
OG0001636	XP_015178335.1	XP_001808212.1
OG0001637	XP_015189563.1, XP_015188558.1, XP_015188556.1	XP_968378.1
OG0001638	XP_015179077.1	XP_974870.1
OG0001639	XP_015175995.1	XP_008190658.1, XP_969463.1
OG0001640	XP_015180722.1, XP_015184760.1, XP_015184759.1, XP_015184761.1	XP_968671.1, XP_968743.1
OG0001641	XP_015171298.1	NP_001161257.1
OG0001642	XP_015178349.1	XP_975475.2
OG0001643	XP_015187681.1	XP_015838711.1, XP_008197729.1, XP_015838712.1
OG0001645	XP_015180126.1	XP_968472.1
OG0001646	XP_015172870.1	XP_015836692.1
OG0001647	XP_015183151.1	XP_008196907.1
OG0001648	XP_015188305.1	XP_970811.3
OG0001649	XP_015174582.1, XP_015174583.1	XP_968588.1
OG0001650	XP_015172351.1, XP_015172362.1	XP_008196718.1
OG0001651	XP_015178101.1	XP_008201666.1
OG0001652	XP_015172002.1	XP_008201098.1
OG0001653	XP_015182639.1	XP_969495.1
OG0001655	XP_015177740.1	XP_968200.2
OG0001656	XP_015182234.1	XP_966649.1
OG0001657	XP_015185995.1	XP_972931.1
OG0001658	XP_015172255.1	XP_008194959.1
OG0001659	XP_015178120.1	XP_008200384.1
OG0001660	XP_015181932.1, XP_015181931.1	XP_975550.1
OG0001661	XP_015174019.1, XP_015174020.1	XP_008198980.1
OG0001662	XP_015187280.1	XP_015838476.1
OG0001663	XP_015188339.1	XP_008195710.1
OG0001664	XP_015171691.1, XP_015171697.1	NP_001135406.1, XP_015836766.1
OG0001665	XP_015173995.1	XP_008200528.1
OG0001666	XP_015173812.1	XP_966660.1
OG0001667	XP_015176389.1	XP_970532.1
OG0001668	XP_015184028.1	XP_015837252.1
OG0001669	XP_015190370.1	XP_969894.1, XP_008190493.1, XP_008190492.1
OG0001670	XP_015171522.1, XP_015171521.1	XP_015840620.1
OG0001671	XP_015190867.1	XP_008191116.1
OG0001672	XP_015172033.1	XP_972180.1
OG0001673	XP_015180771.1	XP_015836576.1
OG0001674	XP_015184415.1	XP_008200693.1
OG0001675	XP_015190090.1	XP_973975.1
OG0001676	XP_015171676.1	XP_008193502.1
OG0001677	XP_015173312.1, XP_015173313.1	XP_970641.1
OG0001678	XP_015176003.1	XP_974956.1, XP_015833321.1
OG0001679	XP_015174082.1, XP_015174081.1, XP_015174083.1	XP_975143.1
OG0001680	XP_015179524.1	XP_015838153.1
OG0001681	XP_015180758.1, XP_015180757.1	XP_971049.1
OG0001682	XP_015177297.1, XP_015177294.1, XP_015177286.1	XP_015839568.1, XP_008199877.1
OG0001684	XP_015173233.1, XP_015173232.1	XP_015838963.1, XP_015839133.1, XP_015839136.1
OG0001685	XP_015178482.1	XP_008196454.1, XP_972983.2
OG0001686	XP_015182332.1, XP_015182331.1, XP_015182334.1, XP_015182333.1	XP_008190435.1, XP_008190436.1
OG0001687	XP_015176262.1	XP_008194075.1, XP_015836165.1
OG0001688	XP_015179659.1	NP_001280530.1
OG0001689	XP_015177005.1, XP_015177074.1	XP_015836120.1
OG0001690	XP_015186314.1, XP_015186310.1	XP_008194929.1
OG0001691	XP_015177829.1, XP_015177828.1	XP_969223.1
OG0001692	XP_015190462.1	XP_015836122.1, XP_015836121.1
OG0001693	XP_015172583.1, XP_015172582.1	XP_008200041.1
OG0001694	XP_015180898.1, XP_015180899.1	XP_008196858.1
OG0001695	XP_015178111.1	XP_008194025.1
OG0001696	XP_015182100.1, XP_015182092.1	XP_008199058.1
OG0001697	XP_015184921.1	XP_966430.2
OG0001699	XP_015191510.1	XP_966756.1
OG0001700	XP_015184942.1	XP_008198754.1
OG0001701	XP_015181941.1	XP_008195151.1, XP_008195147.1
OG0001702	XP_015179413.1, XP_015179414.1	XP_971283.1
OG0001703	XP_015184472.1	XP_973910.1
OG0001704	XP_015178919.1	XP_015839476.1
OG0001707	XP_015185946.1	XP_972022.1
OG0001708	XP_015174840.1, XP_015174838.1, XP_015174843.1, XP_015174844.1, XP_015174841.1, XP_015174842.1, XP_015174839.1, XP_015174845.1	XP_971764.2, XP_015838804.1
OG0001709	XP_015171892.1, XP_015171880.1	XP_015835409.1
OG0001711	XP_015179743.1	XP_008197982.1, XP_015838980.1, XP_969573.1
OG0001712	XP_015186849.1, XP_015186847.1	XP_008191120.1, XP_015839938.1
OG0001713	XP_015184183.1	XP_008192792.1, XP_008192793.1
OG0001714	XP_015173979.1, XP_015173977.1	XP_968879.1
OG0001715	XP_015179856.1, XP_015179857.1, XP_015179855.1, XP_015179854.1	XP_972976.2
OG0001716	XP_015181525.1, XP_015181527.1, XP_015181532.1, XP_015181530.1, XP_015181531.1, XP_015181528.1, XP_015181529.1	XP_008194318.1
OG0001717	XP_015172875.1	XP_970328.1
OG0001718	XP_015186676.1, XP_015186675.1, XP_015186674.1	XP_973987.1, XP_008190931.1
OG0001719	XP_015189225.1, XP_015189226.1	XP_969295.1
OG0001720	XP_015187771.1	XP_008195419.1
OG0001722	XP_015183513.1	XP_015837216.1, XP_008199610.1
OG0001723	XP_015179054.1	XP_008193918.1
OG0001724	XP_015175280.1, XP_015175279.1	XP_974615.1
OG0001725	XP_015182838.1	XP_971172.2
OG0001726	XP_015183554.1	XP_972049.2, XP_015839452.1
OG0001728	XP_015190161.1	XP_015836419.1
OG0001729	XP_015187677.1, XP_015187674.1, XP_015187673.1, XP_015187676.1, XP_015187675.1	XP_015840335.1, XP_015833348.1
OG0001730	XP_015186424.1	XP_015833482.1
OG0001731	XP_015186461.1, XP_015186460.1	XP_008191795.1, XP_970721.2
OG0001732	XP_015179252.1, XP_015179256.1	XP_973118.1
OG0001733	XP_015181621.1	XP_015835945.1
OG0001734	XP_015174635.1, XP_015174634.1	XP_972923.1
OG0001735	XP_015188127.1	XP_001814509.1
OG0001737	XP_015187076.1	XP_967723.2
OG0001738	XP_015174058.1	XP_015835145.1, XP_008200248.1, XP_001813427.1
OG0001739	XP_015178550.1	XP_968592.2
OG0001740	XP_015188917.1, XP_015188913.1	XP_008193605.1, XP_008199012.1
OG0001742	XP_015178632.1, XP_015178629.1, XP_015178628.1	XP_015840747.1, XP_015840743.1
OG0001743	XP_015172123.1	XP_967142.1, XP_008197750.1, XP_008197749.1
OG0001744	XP_015176642.1	XP_015838667.1, XP_008197600.1
OG0001745	XP_015181631.1, XP_015181632.1	XP_008201469.1
OG0001746	XP_015177893.1	XP_968256.1, XP_008201143.1
OG0001748	XP_015187137.1	XP_015836622.1, XP_015836619.1
OG0001749	XP_015176030.1	XP_008193533.1
OG0001750	XP_015171096.1, XP_015171107.1, XP_015171086.1	XP_970242.1, XP_008192912.1
OG0001751	XP_015178965.1	XP_969871.2
OG0001752	XP_015190353.1, XP_015190354.1	XP_008198887.1, XP_001815490.2, XP_008192875.1, XP_008192876.1, XP_015834712.1, XP_015834710.1, XP_008192879.1
OG0001753	XP_015172267.1	XP_969955.1
OG0001756	XP_015178162.1	XP_968859.1, XP_015840285.1
OG0001757	XP_015180560.1, XP_015180559.1	NP_001161929.1, NP_001161926.1
OG0001758	XP_015178263.1	XP_971002.1
OG0001759	XP_015184280.1	XP_966423.1
OG0001760	XP_015188230.1	XP_966763.1
OG0001762	XP_015182502.1	XP_008194069.1
OG0001763	XP_015183777.1, XP_015183776.1	XP_008191831.1, XP_973224.1
OG0001764	XP_015171787.1	XP_008199965.1, XP_968569.3, XP_968643.1, XP_015837277.1, XP_015837276.1, XP_015837278.1, XP_975752.1
OG0001766	XP_015181567.1	XP_008201079.1, XP_008201080.1
OG0001767	XP_015184699.1, XP_015184700.1	XP_008193134.1, XP_015835802.1, XP_008193901.1
OG0001768	XP_015179106.1	XP_015834861.1
OG0001769	XP_015183571.1	XP_008192898.1, XP_015834493.1, XP_008192826.1, XP_015834494.1, XP_008192895.1, XP_008192836.1
OG0001774	XP_015172916.1, XP_015172915.1, XP_015172655.1	XP_969023.1
OG0001775	XP_015190417.1	XP_970951.1, NP_001298082.1
OG0001776	XP_015182852.1, XP_015182851.1, XP_015182850.1	NP_001164088.1
OG0001777	XP_015182894.1	XP_967221.1
OG0001778	XP_015184509.1, XP_015184510.1	XP_970875.1
OG0001779	XP_015190052.1	XP_973494.1
OG0001780	XP_015172198.1	XP_968841.1
OG0001781	XP_015181541.1	XP_008192416.1
OG0001782	XP_015182964.1	XP_973321.1
OG0001783	XP_015177531.1	XP_015833325.1, XP_972914.1, XP_008190904.1
OG0001784	XP_015191381.1, XP_015191380.1	XP_970614.1
OG0001785	XP_015183238.1	XP_969235.2
OG0001786	XP_015181662.1	XP_974171.1
OG0001787	XP_015189726.1, XP_015189724.1, XP_015189725.1	XP_966837.1
OG0001789	XP_015172016.1	XP_975068.2
OG0001790	XP_015173377.1	XP_973834.1
OG0001791	XP_015190967.1	XP_008190467.1
OG0001792	XP_015173089.1	XP_967089.1
OG0001793	XP_015181906.1, XP_015181905.1	XP_975535.1
OG0001794	XP_015172746.1	XP_015834535.1
OG0001795	XP_015187606.1	XP_008195656.1
OG0001796	XP_015181575.1	XP_015834572.1, XP_015839928.1
OG0001797	XP_015174317.1, XP_015174316.1, XP_015174318.1	XP_973014.1
OG0001799	XP_015181058.1	NP_001157183.1
OG0001800	XP_015182626.1	XP_966972.1
OG0001801	XP_015189112.1	XP_974888.3
OG0001802	XP_015184099.1	XP_975650.1
OG0001803	XP_015173684.1	XP_008199564.1
OG0001804	XP_015172505.1	XP_008199910.1
OG0001805	XP_015183215.1	XP_008199909.1
OG0001806	XP_015172073.1	XP_008197947.1
OG0001807	XP_015175022.1	XP_008195294.1
OG0001808	XP_015178818.1, XP_015178817.1	XP_972925.2
OG0001809	XP_015191458.1	XP_973657.1
OG0001810	XP_015187768.1	XP_015836863.1
OG0001811	XP_015179133.1, XP_015179132.1	XP_973747.1
OG0001812	XP_015184446.1	XP_967937.1
OG0001813	XP_015176884.1, XP_015176882.1	XP_008199635.1
OG0001814	XP_015189098.1	XP_972868.1
OG0001815	XP_015187920.1	XP_008199756.1
OG0001816	XP_015182630.1	XP_973162.1
OG0001817	XP_015175196.1	XP_015837888.1, XP_974446.1
OG0001818	XP_015172030.1	XP_015836560.1, XP_015836559.1
OG0001819	XP_015172254.1	XP_008194754.1
OG0001820	XP_015191623.1, XP_015191616.1	XP_966351.2
OG0001821	XP_015181495.1, XP_015181492.1	XP_008193342.1
OG0001823	XP_015176859.1	XP_974250.1
OG0001824	XP_015189023.1	XP_015834417.1
OG0001825	XP_015185295.1, XP_015185294.1	XP_015834320.1
OG0001826	XP_015177308.1	XP_008195586.1
OG0001827	XP_015182624.1, XP_015182623.1, XP_015182625.1	XP_008199970.1, XP_008199968.1
OG0001828	XP_015174436.1	XP_008191114.2
OG0001829	XP_015178827.1	XP_968607.1
OG0001830	XP_015178071.1	XP_008200479.1
OG0001831	XP_015174645.1, XP_015174646.1, XP_015174647.1	XP_015835742.1, XP_015835744.1, XP_015835743.1
OG0001832	XP_015181212.1	XP_015839131.1
OG0001833	XP_015181683.1	XP_015834094.1
OG0001834	XP_015182779.1	NP_001164305.1
OG0001835	XP_015183122.1	XP_008190330.1, XP_008190331.1, XP_015832872.1
OG0001836	XP_015180630.1, XP_015180614.1	XP_015837393.1, XP_015837408.1
OG0001837	XP_015189164.1	XP_008191765.1
OG0001838	XP_015180604.1, XP_015180605.1	XP_973996.1
OG0001839	XP_015174931.1	XP_968056.1, XP_015836876.1
OG0001840	XP_015178155.1	XP_008195127.1, XP_015836709.1
OG0001841	XP_015184784.1, XP_015184800.1, XP_015184809.1, XP_015184791.1	XP_008199607.1
OG0001843	XP_015189252.1	XP_970048.1
OG0001844	XP_015186283.1, XP_015186282.1	XP_967434.1
OG0001845	XP_015171481.1, XP_015171482.1, XP_015171479.1, XP_015171480.1, XP_015171483.1	XP_972280.1
OG0001846	XP_015179950.1	XP_971039.1
OG0001847	XP_015177683.1	XP_969079.1
OG0001848	XP_015171583.1	XP_966931.1, XP_015840170.1
OG0001850	XP_015191839.1, XP_015191837.1	XP_008197509.1
OG0001851	XP_015184861.1	XP_974730.2
OG0001852	XP_015177102.1	XP_008194931.1
OG0001853	XP_015179541.1	XP_974684.1
OG0001854	XP_015186318.1	XP_974711.1, XP_008190957.1, XP_974693.1
OG0001855	XP_015188895.1	XP_008193347.1, XP_969166.1
OG0001856	XP_015172642.1	XP_970966.2
OG0001858	XP_015181165.1	XP_008196162.1
OG0001859	XP_015177708.1	XP_015835825.1, XP_015835826.1
OG0001861	XP_015183897.1	XP_970093.1
OG0001862	XP_015176316.1	XP_970196.2
OG0001863	XP_015189022.1	XP_968848.1
OG0001864	XP_015191388.1	XP_008196595.1
OG0001865	XP_015177898.1, XP_015177903.1	XP_008196649.1, XP_970928.1
OG0001866	XP_015179699.1	XP_969990.1, XP_969855.1
OG0001867	XP_015173866.1	XP_008193780.1
OG0001868	XP_015182245.1	XP_008191524.1, XP_008191525.1
OG0001869	XP_015184920.1	XP_968474.1
OG0001870	XP_015188975.1	XP_970830.2, XP_008200721.1, XP_008200720.1, XP_015836188.1, XP_966582.1, XP_008200719.1
OG0001871	XP_015184971.1	XP_970702.1
OG0001872	XP_015185508.1	XP_975296.1
OG0001873	XP_015176909.1, XP_015176900.1, XP_015176926.1, XP_015176918.1	XP_969187.1
OG0001874	XP_015181225.1	XP_971013.1
OG0001875	XP_015180928.1	XP_015833812.1, XP_008191230.1, XP_969031.2
OG0001876	XP_015185316.1	XP_015835298.1
OG0001877	XP_015179522.1, XP_015179520.1	XP_973601.1
OG0001879	XP_015171396.1, XP_015171398.1, XP_015171397.1, XP_015171399.1	XP_972523.1
OG0001880	XP_015172835.1	XP_015837523.1, XP_015837518.1
OG0001881	XP_015174193.1, XP_015174194.1, XP_015174192.1	XP_969186.1
OG0001882	XP_015184076.1	XP_008192360.1
OG0001883	XP_015184878.1	XP_008191423.1, XP_970042.1
OG0001884	XP_015176448.1	XP_008196596.1, XP_015837973.1
OG0001885	XP_015173241.1	XP_967536.1
OG0001886	XP_015179758.1, XP_015179757.1, XP_015179756.1	XP_975677.2
OG0001887	XP_015175304.1	XP_008197283.1
OG0001888	XP_015172515.1	XP_008195157.1
OG0001889	XP_015183494.1	XP_976203.1
OG0001890	XP_015173409.1	XP_008199667.1
OG0001891	XP_015178248.1	XP_008192976.1
OG0001894	XP_015184100.1	XP_015834285.1
OG0001895	XP_015172424.1, XP_015172410.1	XP_015837161.1, XP_015837158.1
OG0001896	XP_015188572.1	XP_008199025.2, XP_015836575.1
OG0001897	XP_015184071.1, XP_015184072.1	XP_973467.1
OG0001898	XP_015190841.1	XP_015837675.1, XP_008194172.1
OG0001899	XP_015186838.1, XP_015186837.1, XP_015186839.1, XP_015186840.1	XP_972476.1
OG0001900	XP_015172465.1	XP_973168.1
OG0001901	XP_015183753.1	XP_975551.3
OG0001902	XP_015191182.1	XP_008200644.1, XP_008200643.1
OG0001903	XP_015181389.1	XP_008195330.1
OG0001904	XP_015184523.1	XP_008200364.2, XP_015838968.1
OG0001905	XP_015185923.1	XP_015836844.1
OG0001906	XP_015176835.1	XP_008192297.1
OG0001907	XP_015177182.1	XP_008196697.1
OG0001908	XP_015186132.1, XP_015186130.1, XP_015186129.1	NP_001034524.1
OG0001909	XP_015177471.1	XP_008192942.1
OG0001910	XP_015171741.1	XP_008200358.1
OG0001912	XP_015175178.1	XP_015838680.1
OG0001913	XP_015175176.1, XP_015175174.1	XP_008190278.1
OG0001914	XP_015187657.1, XP_015187658.1, XP_015187649.1	XP_015833095.1, XP_008190774.1
OG0001915	XP_015191657.1, XP_015191659.1	XP_008195899.1, XP_015837384.1
OG0001916	XP_015173586.1	XP_968009.1, XP_008199227.1
OG0001917	XP_015186077.1, XP_015186078.1, XP_015186080.1	XP_969465.1
OG0001918	XP_015175251.1, XP_015175250.1	XP_001812133.1
OG0001919	XP_015181481.1	XP_008201301.1, XP_008201320.1
OG0001920	XP_015186981.1	XP_015839675.1
OG0001921	XP_015184705.1	XP_015838145.1
OG0001922	XP_015181655.1	XP_015838207.1, XP_008196854.1
OG0001923	XP_015173943.1	XP_008198220.1
OG0001924	XP_015182396.1, XP_015182393.1	XP_008200040.1
OG0001925	XP_015188258.1	XP_015833560.1
OG0001926	XP_015177247.1, XP_015177246.1	XP_974856.1
OG0001927	XP_015173319.1	XP_970922.1
OG0001928	XP_015174352.1	XP_015840097.1, XP_008193263.1
OG0001929	XP_015188549.1	XP_969941.1
OG0001930	XP_015186481.1	XP_973098.1
OG0001931	XP_015188196.1	XP_968315.1
OG0001933	XP_015187502.1	XP_008197905.1
OG0001934	XP_015178211.1, XP_015178161.1	XP_008195057.1, XP_008195056.1
OG0001935	XP_015176604.1	XP_972743.1
