Orthogroup	Polistes_dominula	Anopheles_gambiae
OG0001178	XP_015171826.1	XP_320745.4
OG0001179	XP_015186516.1	XP_318508.4
OG0001180	XP_015187233.1, XP_015187221.1	XP_312107.4, XP_003436250.1
OG0001181	XP_015172124.1, XP_015172126.1	XP_310584.5
OG0001183	XP_015172681.1, XP_015172673.1	XP_001237762.2
OG0001184	XP_015172607.1, XP_015172608.1	XP_003436481.1, XP_558879.4, XP_003436480.1
OG0001185	XP_015177630.1, XP_015177626.1, XP_015177624.1	XP_317794.3, XP_557418.3, XP_309856.4, XP_554727.1
OG0001186	XP_015186151.1	XP_001237242.1
OG0001187	XP_015188783.1	XP_001230352.1, XP_321322.5
OG0001189	XP_015185561.1	XP_556172.2
OG0001190	XP_015174310.1, XP_015174309.1, XP_015174312.1	XP_314805.4
OG0001191	XP_015177203.1, XP_015177266.1	XP_559733.2, XP_309365.2
OG0001193	XP_015179540.1	XP_320433.1
OG0001195	XP_015187704.1	XP_319946.4
OG0001197	XP_015171203.1, XP_015171190.1	XP_311347.4
OG0001198	XP_015182891.1, XP_015182890.1	XP_317373.3
OG0001199	XP_015176915.1, XP_015176914.1, XP_015176913.1, XP_015176912.1	XP_315370.3, XP_001688648.1
OG0001202	XP_015181375.1	XP_320320.4, XP_320321.3
OG0001203	XP_015183768.1, XP_015183767.1	XP_308917.3, XP_313576.4
OG0001204	XP_015178874.1, XP_015178876.1, XP_015178875.1, XP_015178877.1	XP_556259.3
OG0001205	XP_015179313.1, XP_015184912.1	XP_310915.3
OG0001207	XP_015186400.1	XP_320895.4, XP_320898.4
OG0001208	XP_015176539.1	XP_563571.4
OG0001214	XP_015176674.1	XP_003437198.1, XP_003437199.1, XP_003437197.1, XP_318298.5, XP_003437202.1, XP_003437203.1, XP_003437201.1, XP_003437200.1
OG0001215	XP_015178220.1, XP_015178221.1, XP_015178219.1	XP_315584.3
OG0001216	XP_015171674.1	XP_319631.4
OG0001217	XP_015176078.1	XP_001237272.3
OG0001218	XP_015173300.1, XP_015173299.1	XP_311542.4
OG0001219	XP_015184876.1	XP_321594.5
OG0001220	XP_015182517.1	XP_317914.3, XP_320417.3
OG0001221	XP_015176774.1	XP_313849.2
OG0001222	XP_015191741.1, XP_015191739.1	XP_321456.5, XP_003435893.1
OG0001223	XP_015188320.1	XP_311768.3
OG0001224	XP_015188607.1, XP_015188608.1, XP_015188605.1	XP_315115.4
OG0001225	XP_015188945.1	XP_003437152.1, XP_309141.2, XP_001688166.1
OG0001226	XP_015186603.1	XP_557147.3
OG0001228	XP_015179126.1	XP_308185.4
OG0001229	XP_015176745.1, XP_015176746.1, XP_015176718.1	XP_321154.5, XP_561425.4
OG0001230	XP_015184518.1, XP_015184491.1	XP_306740.3, XP_555129.1
OG0001231	XP_015177060.1	XP_316842.5
OG0001232	XP_015171372.1	XP_317470.4
OG0001233	XP_015178688.1, XP_015178686.1	XP_564861.2, XP_309343.4
OG0001234	XP_015174623.1, XP_015174621.1, XP_015174622.1	XP_318427.5
OG0001236	XP_015185251.1, XP_015185250.1	XP_308646.4
OG0001237	XP_015185478.1	XP_316118.4, XP_001688780.1, XP_001688779.1
OG0001238	XP_015173641.1, XP_015173650.1	XP_311357.4
OG0001239	XP_015186664.1, XP_015186665.1, XP_015186666.1	XP_307938.5
OG0001240	XP_015178294.1	XP_318582.3
OG0001241	XP_015190087.1, XP_015190089.1	XP_320914.4
OG0001242	XP_015191735.1, XP_015191763.1, XP_015191743.1	XP_308221.4
OG0001244	XP_015171549.1, XP_015171550.1	XP_001689367.1
OG0001245	XP_015181465.1, XP_015181466.1	XP_321648.3
OG0001246	XP_015181421.1	XP_310077.4
OG0001247	XP_015176779.1, XP_015176782.1, XP_015176783.1, XP_015176780.1	XP_321174.5
OG0001248	XP_015183140.1	XP_310021.4
OG0001249	XP_015177561.1, XP_015177565.1, XP_015177562.1, XP_015177566.1	XP_320124.6, XP_312729.4
OG0001250	XP_015191522.1, XP_015191523.1	XP_003436645.1, XP_308104.5
OG0001251	XP_015174771.1, XP_015174772.1	XP_310489.5, XP_001688288.2
OG0001252	XP_015174681.1	XP_310427.5
OG0001253	XP_015177639.1	XP_308343.4
OG0001254	XP_015182745.1	XP_320968.4
OG0001255	XP_015173425.1	XP_564170.3
OG0001256	XP_015186656.1, XP_015186657.1	XP_560153.3, XP_003437143.1
OG0001257	XP_015173761.1, XP_015173760.1	XP_562833.3, XP_003436381.1, XP_562831.2, XP_003436380.1
OG0001258	XP_015172818.1	XP_310177.3
OG0001259	XP_015175371.1	XP_311427.4
OG0001260	XP_015184928.1	XP_308216.2
OG0001261	XP_015184901.1	XP_320145.3
OG0001262	XP_015182580.1, XP_015182583.1, XP_015182582.1, XP_015182581.1	XP_312902.5, XP_001237504.2
OG0001263	XP_015178787.1, XP_015178793.1	XP_318757.4
OG0001264	XP_015185167.1, XP_015185168.1	XP_317955.4
OG0001265	XP_015185428.1	XP_559898.3
OG0001267	XP_015176612.1	XP_314507.4
OG0001268	XP_015186249.1, XP_015173573.1	XP_310216.4, XP_310215.4
OG0001269	XP_015182444.1, XP_015182447.1	XP_309316.4
OG0001270	XP_015180459.1, XP_015180458.1, XP_015180461.1	XP_307773.4
OG0001271	XP_015180489.1, XP_015180487.1	XP_312449.4
OG0001272	XP_015184964.1	XP_316157.2
OG0001273	XP_015184512.1	XP_310979.5
OG0001274	XP_015177902.1, XP_015171720.1	XP_312084.5
OG0001277	XP_015175198.1	XP_552532.3
OG0001278	XP_015178499.1	XP_321063.5
OG0001279	XP_015183128.1	XP_311100.5
OG0001280	XP_015176453.1	XP_319604.4
OG0001281	XP_015188051.1, XP_015188053.1	XP_001237136.2, XP_003435739.1
OG0001282	XP_015187689.1, XP_015187690.1, XP_015187692.1, XP_015187691.1	XP_001688070.1
OG0001283	XP_015175231.1	XP_313998.3
OG0001284	XP_015172687.1	XP_001689151.1, XP_001689162.1
OG0001286	XP_015171745.1	XP_318853.2
OG0001287	XP_015182461.1, XP_015182509.1	XP_551001.4
OG0001288	XP_015180066.1, XP_015180067.1, XP_015180068.1	XP_310977.5
OG0001289	XP_015171075.1	XP_003437137.1, XP_309110.3
OG0001290	XP_015176240.1	XP_311436.4
OG0001291	XP_015179207.1, XP_015179208.1	XP_313145.5
OG0001292	XP_015187484.1, XP_015187483.1, XP_015187486.1, XP_015187485.1, XP_015187481.1, XP_015187482.1	XP_308278.3
OG0001293	XP_015188324.1	XP_311898.4
OG0001294	XP_015177500.1, XP_015177499.1, XP_015177501.1	XP_321341.3
OG0001295	XP_015180422.1	XP_314005.4, XP_001688503.1, XP_001688504.1
OG0001298	XP_015188193.1	XP_308149.4
OG0001300	XP_015187343.1	XP_314929.3
OG0001301	XP_015176169.1, XP_015176168.1	XP_310852.4
OG0001302	XP_015176381.1	XP_310129.4
OG0001303	XP_015187064.1, XP_015187063.1, XP_015187066.1, XP_015187065.1, XP_015187062.1	XP_320455.4
OG0001304	XP_015185103.1, XP_015185111.1	XP_001237568.1
OG0001305	XP_015191788.1	XP_308312.4, XP_001687892.1, XP_308314.4
OG0001306	XP_015176775.1	XP_318367.5, XP_003436659.1, XP_003436658.1
OG0001307	XP_015182317.1	XP_001237138.3
OG0001308	XP_015184548.1	XP_565909.3
OG0001310	XP_015171687.1	XP_310388.3
OG0001312	XP_015185662.1	XP_317732.2
OG0001314	XP_015177007.1, XP_015177015.1	XP_316418.4
OG0001315	XP_015173856.1	XP_001688741.1, XP_315896.4
OG0001316	XP_015190443.1	XP_308707.4
OG0001317	XP_015172216.1	XP_316638.4
OG0001318	XP_015178547.1, XP_015178549.1, XP_015178548.1, XP_015178546.1	XP_319761.3
OG0001320	XP_015185261.1, XP_015185263.1, XP_015185262.1	XP_320705.4
OG0001322	XP_015185054.1, XP_015185053.1	XP_313611.5, XP_003436787.1
OG0001328	XP_015177054.1	XP_321026.4
OG0001329	XP_015188643.1, XP_015188639.1, XP_015188642.1, XP_015188641.1, XP_015188640.1	XP_308396.4
OG0001330	XP_015172508.1	XP_320278.2
OG0001331	XP_015190609.1	XP_310307.5, XP_003436600.1
OG0001332	XP_015173768.1	XP_308202.3
OG0001333	XP_015171755.1, XP_015171746.1	XP_312171.3
OG0001334	XP_015180201.1	XP_555006.1, XP_001238801.1
OG0001335	XP_015187925.1, XP_015187927.1	XP_316939.3
OG0001337	XP_015176315.1	XP_313722.3
OG0001338	XP_015179016.1, XP_015179017.1	XP_316877.5
OG0001339	XP_015188747.1, XP_015188734.1	XP_310597.2
OG0001340	XP_015175811.1	XP_551371.1, XP_003435845.1, XP_003435844.1
OG0001341	XP_015186402.1	XP_320076.4, XP_320077.4
OG0001342	XP_015177172.1	XP_320130.3
OG0001343	XP_015179776.1	XP_308170.4
OG0001344	XP_015188077.1	XP_314163.4
OG0001345	XP_015175286.1, XP_015175285.1	XP_315997.4
OG0001346	XP_015171640.1, XP_015171641.1	XP_322022.5
OG0001347	XP_015184727.1	XP_001687935.1, XP_001687938.1
OG0001348	XP_015175187.1, XP_015175188.1, XP_015175186.1	XP_321887.4
OG0001349	XP_015175721.1	XP_003436725.1, XP_003436724.1, XP_003436723.1
OG0001350	XP_015184960.1	XP_001230796.3
OG0001351	XP_015188176.1	XP_321338.3
OG0001352	XP_015186386.1	XP_003436441.1, XP_553315.4
OG0001353	XP_015186606.1, XP_015186607.1	XP_001238315.2
OG0001354	XP_015184552.1	XP_315356.3
OG0001355	XP_015191309.1, XP_015191308.1, XP_015191306.1, XP_015191307.1	XP_313397.5
OG0001356	XP_015183376.1	XP_315694.1
OG0001357	XP_015185993.1, XP_015185994.1	XP_557821.3
OG0001359	XP_015175348.1	XP_308864.3, XP_003437100.1, XP_003437099.1, XP_311336.3
OG0001361	XP_015189054.1	XP_003436721.1
OG0001362	XP_015189363.1	XP_310355.6
OG0001363	XP_015172972.1, XP_015172973.1	XP_003437112.1, XP_316789.3
OG0001364	XP_015181043.1	XP_310270.2
OG0001365	XP_015191302.1	XP_317619.4
OG0001366	XP_015173762.1	XP_308172.4
OG0001368	XP_015184592.1	XP_312656.5
OG0001369	XP_015181072.1	XP_308535.4
OG0001370	XP_015184410.1	XP_319250.4
OG0001371	XP_015181797.1	XP_316138.4
OG0001373	XP_015181678.1	XP_003437187.1, XP_318273.4
OG0001374	XP_015188911.1, XP_015188912.1, XP_015188910.1	XP_314564.3
OG0001375	XP_015188011.1	XP_316578.4, XP_001237835.2, XP_316574.4
OG0001376	XP_015188863.1, XP_015188865.1, XP_015188864.1	XP_003437121.1
OG0001377	XP_015171684.1, XP_015171685.1	XP_312215.3
OG0001378	XP_015188444.1, XP_015188445.1, XP_015189349.1, XP_015189348.1	XP_320419.3
OG0001379	XP_015188017.1	XP_319268.2
OG0001380	XP_015189420.1, XP_015189421.1, XP_015189419.1	XP_307876.4
OG0001382	XP_015186730.1	XP_319318.3
OG0001383	XP_015189441.1	XP_316646.4
OG0001384	XP_015182287.1	XP_320637.3
OG0001385	XP_015191663.1	XP_314364.3
OG0001386	XP_015186179.1	XP_314061.4
OG0001387	XP_015187004.1	XP_319589.4
OG0001388	XP_015187276.1	XP_321258.5, XP_003435949.1
OG0001389	XP_015174485.1	XP_309533.4, XP_001688850.1, XP_316369.3
OG0001390	XP_015172438.1, XP_015172439.1, XP_015172440.1, XP_015172441.1	XP_319294.4
OG0001391	XP_015182508.1, XP_015182507.1, XP_015182506.1	XP_316352.3
OG0001393	XP_015172415.1, XP_015172442.1	XP_316059.4
OG0001394	XP_015176205.1	XP_311608.4
OG0001395	XP_015187548.1, XP_015187547.1, XP_015187546.1, XP_015187545.1	XP_308628.5
OG0001396	XP_015190613.1	XP_319240.5
OG0001397	XP_015184617.1	XP_313548.1, XP_003436890.1
OG0001398	XP_015174377.1, XP_015174376.1, XP_015174378.1	XP_310956.5, XP_003436931.1, XP_003436932.1
OG0001399	XP_015190153.1, XP_015190152.1, XP_015190151.1	XP_001230873.3, XP_313089.4
OG0001400	XP_015183714.1, XP_015183704.1	XP_317549.3, XP_317551.4, XP_317550.3
OG0001401	XP_015187970.1, XP_015187969.1	XP_315885.2
OG0001402	XP_015191194.1	XP_316681.4
OG0001403	XP_015187745.1	XP_003436814.1, XP_313732.5
OG0001404	XP_015179890.1, XP_015179892.1, XP_015179891.1	XP_317751.3
OG0001405	XP_015174612.1	XP_321345.3, XP_321346.4
OG0001406	XP_015180352.1	XP_313862.4
OG0001407	XP_015184078.1, XP_015184080.1	XP_320518.4
OG0001408	XP_015187566.1	XP_003437018.1, XP_565822.3
OG0001409	XP_015188310.1, XP_015188313.1	XP_001688370.2
OG0001410	XP_015185730.1	XP_314486.1
OG0001413	XP_015178798.1	XP_311009.5
OG0001414	XP_015175407.1, XP_015175408.1	XP_317350.4
OG0001415	XP_015182075.1	XP_001688819.1, XP_316253.4
OG0001416	XP_015181549.1	XP_317647.4, XP_555667.3
OG0001417	XP_015188275.1	XP_308151.4
OG0001418	XP_015177476.1, XP_015189892.1, XP_015189760.1, XP_015176373.1	XP_314941.3
OG0001419	XP_015175340.1, XP_015175323.1	XP_001688271.1, XP_310221.4
OG0001420	XP_015183990.1	XP_321838.4, XP_001688621.2
OG0001421	XP_015182989.1	XP_551368.4
OG0001422	XP_015191538.1	XP_315120.4, XP_307270.4, XP_307269.4, XP_315119.4
OG0001423	XP_015178903.1	XP_001687887.1
OG0001424	XP_015184776.1	XP_307921.4
OG0001425	XP_015188537.1	XP_565883.4
OG0001426	XP_015179662.1	XP_319732.4
OG0001427	XP_015175865.1	XP_320403.3
OG0001428	XP_015172866.1	XP_314678.2
OG0001429	XP_015171681.1	XP_317285.4
OG0001430	XP_015179975.1	XP_320982.5
OG0001432	XP_015178042.1	XP_320633.4
OG0001434	XP_015171792.1, XP_015171780.1, XP_015185559.1	XP_307894.5, XP_003436082.1
OG0001436	XP_015179615.1	XP_316604.4, XP_001688913.1, XP_001688912.1
OG0001437	XP_015173073.1, XP_015173075.1, XP_015173074.1	XP_319485.2
OG0001438	XP_015173771.1, XP_015173773.1	XP_311976.5, XP_003436313.1
OG0001439	XP_015175391.1	XP_001688176.1
OG0001440	XP_015180748.1	XP_320189.4
OG0001441	XP_015171136.1	XP_311372.4
OG0001442	XP_015181968.1, XP_015181969.1	XP_307936.4
OG0001443	XP_015183382.1	XP_321956.5
OG0001444	XP_015190919.1, XP_015171715.1	XP_321723.5
OG0001445	XP_015178126.1	XP_312030.5
OG0001446	XP_015178763.1, XP_015178760.1	XP_318394.5, XP_003436668.1, XP_003436666.1, XP_003436667.1
OG0001453	XP_015178218.1	XP_310188.3
OG0001455	XP_015188001.1, XP_015188002.1, XP_015188000.1	XP_314502.4, XP_314504.3
OG0001456	XP_015173849.1	XP_320465.2
OG0001457	XP_015184596.1	XP_311700.3
OG0001458	XP_015175901.1, XP_015175900.1, XP_015175899.1	XP_320742.3
OG0001459	XP_015171442.1	XP_308453.3
OG0001460	XP_015190961.1, XP_015190965.1, XP_015190964.1, XP_015190963.1, XP_015190962.1, XP_015190960.1	XP_313156.2
OG0001461	XP_015176344.1, XP_015176345.1	XP_321733.4
OG0001462	XP_015191825.1	XP_003436675.1, XP_318432.4
OG0001463	XP_015177202.1, XP_015177310.1	XP_309942.4
OG0001464	XP_015188722.1	XP_318672.4, XP_321135.5
OG0001465	XP_015173627.1, XP_015173626.1	XP_311607.2
OG0001466	XP_015191372.1, XP_015191371.1	XP_312403.4
OG0001467	XP_015191228.1	XP_554016.3
OG0001468	XP_015182236.1	XP_317127.3
OG0001469	XP_015173948.1	XP_311746.4
OG0001470	XP_015183790.1	XP_001230998.1, XP_001230999.1, XP_316361.2
OG0001471	XP_015173745.1	XP_314721.3
OG0001472	XP_015175682.1	XP_319592.3, XP_316821.4
OG0001473	XP_015187320.1, XP_015187319.1	XP_557363.3
OG0001474	XP_015177871.1, XP_015177872.1, XP_015177870.1, XP_015177869.1	XP_312327.5
OG0001477	XP_015184346.1, XP_015184344.1, XP_015184345.1	XP_557954.2
OG0001478	XP_015191461.1, XP_015191460.1	XP_311138.3
OG0001479	XP_015183743.1	XP_315576.4
OG0001480	XP_015183437.1, XP_015183438.1	XP_551238.2
OG0001481	XP_015188658.1	XP_559127.3
OG0001482	XP_015172163.1	XP_003436902.1
OG0001483	XP_015181718.1	XP_001237195.3
OG0001484	XP_015175898.1	XP_313559.5, XP_003436773.1, XP_551109.3
OG0001485	XP_015177502.1	XP_321013.4
OG0001485	XP_015178622.1	XP_557938.3
OG0001486	XP_015175781.1, XP_015175780.1	XP_308949.4
OG0001487	XP_015182757.1, XP_015182738.1, XP_015182748.1	XP_314027.4
OG0001488	XP_015181799.1	XP_309709.4
OG0001489	XP_015176967.1	XP_308327.4, XP_001687895.1
OG0001490	XP_015178127.1, XP_015178132.1	XP_311001.5
OG0001492	XP_015174948.1	XP_311683.4
OG0001493	XP_015191116.1, XP_015191113.1	XP_001237650.2, XP_001237649.2
OG0001494	XP_015188603.1, XP_015188604.1	XP_308673.4
OG0001495	XP_015178123.1	XP_001237569.1
OG0001496	XP_015186531.1	XP_308382.3, XP_003437212.1
OG0001497	XP_015182259.1	XP_309507.4
OG0001498	XP_015171068.1	XP_315666.4
OG0001499	XP_015177596.1, XP_015176679.1	XP_562960.3
OG0001500	XP_015185116.1	XP_307953.2
OG0001501	XP_015185127.1, XP_015185121.1	XP_315768.3, XP_556409.3
OG0001502	XP_015186599.1	XP_315785.4
OG0001503	XP_015183782.1, XP_015183781.1	XP_318862.3
OG0001504	XP_015185019.1	XP_316013.4
OG0001505	XP_015174265.1, XP_015174264.1	XP_321148.5
OG0001507	XP_015177328.1, XP_015177327.1	XP_313800.4
OG0001508	XP_015177702.1	XP_310944.5
OG0001509	XP_015185640.1	XP_558145.3
OG0001510	XP_015185130.1	XP_313379.5
OG0001511	XP_015182878.1	XP_315679.3, XP_306983.4, XP_556304.2, XP_001230355.2, XP_315675.3
OG0001512	XP_015189317.1, XP_015189383.1	XP_321940.4, XP_003435777.1
OG0001513	XP_015186717.1	XP_001687829.2
OG0001514	XP_015176729.1, XP_015176728.1	XP_321808.4
OG0001515	XP_015177834.1, XP_015177833.1	XP_316960.4
OG0001516	XP_015185898.1, XP_015185899.1	XP_321387.5
OG0001517	XP_015183612.1, XP_015183607.1	XP_311715.3, XP_003436478.1, XP_003436479.1
OG0001518	XP_015189264.1	XP_319785.4
OG0001519	XP_015175798.1	XP_564767.3
OG0001520	XP_015187128.1, XP_015187111.1, XP_015187110.1	XP_321797.4
OG0001521	XP_015180263.1	XP_316580.4
OG0001522	XP_015175123.1	XP_318144.4
OG0001523	XP_015180935.1, XP_015180937.1	XP_313879.4
OG0001524	XP_015186809.1	XP_309210.4
OG0001525	XP_015184938.1	XP_313327.4
OG0001526	XP_015178598.1, XP_015178596.1	XP_558644.3, XP_001230984.2
OG0001527	XP_015173864.1, XP_015173865.1, XP_015173863.1	XP_003436816.1, XP_313742.4
OG0001529	XP_015174994.1	XP_310236.3, XP_307879.4
OG0001530	XP_015176147.1	XP_308434.3
OG0001531	XP_015184383.1, XP_015187852.1	XP_320985.2
OG0001532	XP_015183811.1	XP_318096.4
OG0001533	XP_015189494.1	XP_315707.4
OG0001534	XP_015189643.1	XP_003435886.1, XP_321515.4
OG0001535	XP_015186975.1	XP_318386.5
OG0001536	XP_015186566.1	XP_308789.4, XP_556808.3, XP_001688789.1
OG0001537	XP_015188456.1	XP_320593.4, XP_317447.4
OG0001538	XP_015186818.1, XP_015189908.1	XP_001687839.2
OG0001539	XP_015189287.1	XP_318061.4
OG0001540	XP_015191170.1	XP_315568.3, XP_001688680.1, XP_001688679.1
OG0001541	XP_015178821.1, XP_015178820.1	XP_308645.4
OG0001542	XP_015172897.1, XP_015172896.1, XP_015172895.1, XP_015172894.1	XP_317569.4
OG0001543	XP_015176705.1, XP_015176695.1	XP_003436971.1
OG0001545	XP_015190983.1	XP_318635.3
OG0001546	XP_015185052.1	XP_312041.5
OG0001547	XP_015181840.1	XP_308339.4
OG0001548	XP_015185434.1	XP_001231112.2, XP_001231113.2, XP_001231111.2, XP_001231110.2
OG0001550	XP_015177632.1, XP_015177631.1	XP_001230662.1
OG0001551	XP_015171737.1	XP_001688523.1, XP_314100.4
OG0001552	XP_015187635.1	XP_318541.4
OG0001553	XP_015182983.1, XP_015182982.1	XP_313022.3
OG0001554	XP_015177936.1	XP_001688023.1, XP_001688025.1
OG0001555	XP_015171140.1	XP_320393.4
OG0001556	XP_015186765.1	XP_308925.4
OG0001557	XP_015175627.1	XP_318856.3
OG0001558	XP_015191297.1	XP_310248.7, XP_316659.3
OG0001559	XP_015183022.1	XP_321922.5
OG0001560	XP_015190671.1	XP_307067.3, XP_319478.3, XP_307611.3, XP_319481.3, XP_001238163.1
OG0001561	XP_015191824.1	XP_313778.5
OG0001562	XP_015182895.1	XP_001688616.1, XP_001688617.1
OG0001563	XP_015181815.1, XP_015181822.1	XP_552478.2
OG0001565	XP_015174966.1	XP_308594.4
OG0001567	XP_015184022.1, XP_015184019.1, XP_015184017.1	XP_552509.3
OG0001568	XP_015171293.1	XP_312875.5
OG0001569	XP_015179612.1, XP_015179613.1, XP_015179614.1	XP_308701.2
OG0001570	XP_015189116.1	XP_001237154.2
OG0001571	XP_015186942.1, XP_015186945.1, XP_015186944.1	XP_319421.4
OG0001572	XP_015178634.1, XP_015178635.1, XP_015178633.1	XP_321888.3, XP_003435792.1, XP_003435793.1
OG0001575	XP_015187477.1, XP_015187476.1	XP_317568.3
OG0001576	XP_015189138.1	XP_553723.1
OG0001577	XP_015181769.1, XP_015181767.1, XP_015181768.1, XP_015181770.1	XP_310528.5
OG0001579	XP_015182527.1, XP_015182525.1	XP_316180.4
OG0001580	XP_015187407.1	XP_001231055.3, XP_003437188.1, XP_003437189.1
OG0001581	XP_015187930.1	XP_317108.3
OG0001582	XP_015183090.1	XP_313138.5
OG0001583	XP_015180361.1	XP_563637.3
OG0001584	XP_015176021.1	XP_311327.5
OG0001585	XP_015191709.1, XP_015191710.1	XP_316571.4, XP_001237834.2
OG0001586	XP_015185311.1	XP_312095.5
OG0001587	XP_015191489.1, XP_015190749.1	XP_308295.3
OG0001588	XP_015179867.1, XP_015179870.1	XP_312218.5
OG0001590	XP_015172057.1	XP_312916.5, XP_003436238.1, XP_001237434.2, XP_312156.3, XP_563375.3, XP_003436237.1, XP_312155.4, XP_309133.5, XP_311060.5, XP_311061.5
OG0001591	XP_015174470.1, XP_015174467.1, XP_015174468.1	XP_317090.2
OG0001592	XP_015187036.1, XP_015187038.1, XP_015187037.1, XP_015187039.1	XP_317552.4
OG0001593	XP_015181273.1	XP_307791.5
OG0001594	XP_015188973.1, XP_015188971.1, XP_015188972.1, XP_015188970.1	XP_003436556.1, XP_001688443.2
OG0001595	XP_015189340.1	XP_001688026.1
OG0001596	XP_015191635.1	XP_313347.3
OG0001598	XP_015190339.1	XP_003436740.1, XP_003436741.1, XP_313104.2
OG0001600	XP_015172667.1	XP_315510.4
OG0001601	XP_015171493.1	XP_309586.5
OG0001602	XP_015183839.1, XP_015183800.1	XP_307192.4, XP_313852.5
OG0001604	XP_015188043.1, XP_015188050.1	XP_314263.5
OG0001606	XP_015172640.1	XP_001689072.1
OG0001607	XP_015184717.1, XP_015184716.1	XP_001689143.1
OG0001608	XP_015187299.1, XP_015187300.1, XP_015187301.1	XP_319419.4
OG0001609	XP_015188544.1, XP_015188515.1, XP_015188525.1, XP_015188505.1, XP_015188535.1	XP_321659.5
OG0001614	XP_015176267.1, XP_015176276.1	XP_560351.3, XP_003436655.1
OG0001615	XP_015182550.1	XP_311852.2, XP_003436358.1, XP_003436357.1
OG0001616	XP_015178045.1, XP_015178047.1	XP_320422.3, XP_309574.1
OG0001617	XP_015190684.1	XP_322024.4
OG0001619	XP_015190429.1	XP_321321.5
OG0001620	XP_015188860.1	XP_319591.2
OG0001623	XP_015190034.1, XP_015190040.1	XP_312663.4
OG0001624	XP_015176544.1	XP_555021.3
OG0001625	XP_015177101.1	XP_315994.4
OG0001626	XP_015176231.1	XP_309502.3, XP_564374.3
OG0001627	XP_015172961.1, XP_015172959.1, XP_015172958.1, XP_015172962.1	XP_320536.3
OG0001628	XP_015171937.1	XP_311731.4
OG0001629	XP_015172088.1	XP_314557.3
OG0001630	XP_015178835.1	XP_001688837.1, XP_001688836.1, XP_001688838.1, XP_316326.4
OG0001631	XP_015177368.1, XP_015177373.1	XP_310839.5
OG0001633	XP_015182014.1	XP_314323.3
OG0001634	XP_015180733.1	XP_001230888.3
OG0001636	XP_015178335.1	XP_003437190.1, XP_315309.4, XP_003437193.1, XP_003437194.1, XP_001688627.1, XP_001688628.1, XP_003437192.1, XP_003437191.1
OG0001637	XP_015189563.1, XP_015188558.1, XP_015188556.1	XP_316947.3
OG0001638	XP_015179077.1	XP_320601.4
OG0001639	XP_015175995.1	XP_311186.5
OG0001640	XP_015180722.1, XP_015184760.1, XP_015184759.1, XP_015184761.1	XP_554103.3
OG0001641	XP_015171298.1	XP_320141.4, XP_311577.4, XP_320549.4
OG0001642	XP_015178349.1	XP_320480.3
OG0001645	XP_015180126.1	XP_320998.5
OG0001646	XP_015172870.1	XP_319692.3
OG0001647	XP_015183151.1	XP_310671.5
OG0001648	XP_015188305.1	XP_310884.2
OG0001649	XP_015174582.1, XP_015174583.1	XP_315051.4
OG0001650	XP_015172351.1, XP_015172362.1	XP_557360.3
OG0001651	XP_015178101.1	XP_003437027.1
OG0001652	XP_015172002.1	XP_322051.4, XP_003435750.1, XP_003435751.1
OG0001653	XP_015182639.1	XP_320653.4
OG0001655	XP_015177740.1	XP_317107.3
OG0001656	XP_015182234.1	XP_320117.3
OG0001657	XP_015185995.1	XP_309717.4
OG0001658	XP_015172255.1	XP_314661.3
OG0001659	XP_015178120.1	XP_562889.4
OG0001660	XP_015181932.1, XP_015181931.1	XP_001230361.2, XP_309701.3
OG0001662	XP_015187280.1	XP_001688561.1, XP_314339.4
OG0001663	XP_015188339.1	XP_312168.5
OG0001664	XP_015171691.1, XP_015171697.1	XP_321343.4
OG0001665	XP_015173995.1	XP_003436860.1, XP_003436866.1, XP_003436867.1, XP_003436863.1, XP_003436864.1, XP_003436865.1, XP_003436861.1, XP_315232.3
OG0001666	XP_015173812.1	XP_001687855.1
OG0001667	XP_015176389.1	XP_308664.3
OG0001669	XP_015190370.1	XP_318809.4
OG0001670	XP_015171522.1, XP_015171521.1	XP_310718.5
OG0001671	XP_015190867.1	XP_001689406.1
OG0001672	XP_015172033.1	XP_318539.2
OG0001673	XP_015180771.1	XP_317141.3
OG0001674	XP_015184415.1	XP_317052.4
OG0001675	XP_015190090.1	XP_316722.3, XP_001688955.1, XP_001688954.1
OG0001676	XP_015171676.1	XP_563676.2
OG0001677	XP_015173312.1, XP_015173313.1	XP_311928.3
OG0001678	XP_015176003.1	XP_313618.5
OG0001679	XP_015174082.1, XP_015174081.1, XP_015174083.1	XP_311576.3
OG0001680	XP_015179524.1	XP_318947.2
OG0001681	XP_015180758.1, XP_015180757.1	XP_024667092.1
OG0001682	XP_015177297.1, XP_015177294.1, XP_015177286.1	XP_001688188.1, XP_309431.3
OG0001684	XP_015173233.1, XP_015173232.1	XP_307591.4, XP_313010.5
OG0001685	XP_015178482.1	XP_308495.3
OG0001686	XP_015182332.1, XP_015182331.1, XP_015182334.1, XP_015182333.1	XP_313332.4
OG0001687	XP_015176262.1	XP_319096.3
OG0001688	XP_015179659.1	XP_308980.4, XP_001688145.1
OG0001689	XP_015177005.1, XP_015177074.1	XP_553178.3
OG0001690	XP_015186314.1, XP_015186310.1	XP_310193.4
OG0001691	XP_015177829.1, XP_015177828.1	XP_001687982.1, XP_001237100.1, XP_308551.2
OG0001692	XP_015190462.1	XP_001238579.1
