Orthogroup	Habropoda_laboriosa	Megachile_rotundata
OG0001211	XP_017796132.1	XP_012136967.1
OG0001212	XP_017799228.1	XP_003703742.2
OG0001213	XP_017790005.1	XP_003700686.1, XP_012134904.1
OG0001214	XP_017790283.1	XP_003702464.1
OG0001215	XP_017794970.1, XP_017794969.1, XP_017794971.1	XP_003705366.1
OG0001216	XP_017796715.1, XP_017796714.1, XP_017796713.1	XP_003705899.1
OG0001217	XP_017793400.1	XP_003705734.1
OG0001218	XP_017789690.1	XP_003706861.1
OG0001220	XP_017788157.1	XP_003706128.1
OG0001221	XP_017798431.1, XP_017798432.1	XP_012154233.1, XP_003700416.1
OG0001222	XP_017791168.1	XP_003705089.1, XP_012144822.1, XP_012144821.1
OG0001223	XP_017790396.1	XP_003707478.1, XP_003706539.1
OG0001224	XP_017794711.1	XP_012144876.1, XP_012144883.1, XP_003699801.1, XP_012144890.1
OG0001225	XP_017789753.1	XP_012149409.1, XP_003706936.1
OG0001226	XP_017793450.1	XP_012148713.1, XP_012148708.1, XP_012148700.1
OG0001227	XP_017791835.1	XP_003708582.1
OG0001228	XP_017791866.1	XP_012136253.1, XP_012136252.1, XP_003701434.1
OG0001229	XP_017799288.1	XP_012151678.1, XP_012151680.1, XP_003707905.2
OG0001230	XP_017797298.1	XP_012139840.1, XP_003699567.1
OG0001231	XP_017796001.1, XP_017796079.1, XP_017796077.1	XP_012150146.1, XP_012150144.1
OG0001232	XP_017789975.1	XP_012135376.1
OG0001234	XP_017791843.1	XP_012153335.1
OG0001235	XP_017799491.1	XP_003702734.1
OG0001236	XP_017794261.1	XP_003706605.2, XP_003706606.1
OG0001238	XP_017793474.1	XP_012151359.1, XP_012152408.1, XP_012145919.1
OG0001238	XP_017795069.1	XP_012149903.1
OG0001240	XP_017796130.1	XP_003704983.1
OG0001241	XP_017794032.1	XP_012141294.1
OG0001242	XP_017799157.1	XP_003703726.1, XP_003703814.1
OG0001244	XP_017787457.1	XP_012135822.1, XP_003701133.1
OG0001245	XP_017797568.1	XP_012138596.1
OG0001246	XP_017788908.1	XP_012142934.1, XP_012142944.1
OG0001247	XP_017788069.1, XP_017788070.1, XP_017788068.1	XP_003704004.1, XP_012142144.1
OG0001248	XP_017799141.1	XP_012151826.1
OG0001249	XP_017794718.1	XP_012145780.1, XP_012145782.1, XP_012145781.1
OG0001250	XP_017790866.1	XP_003705540.1, XP_012145915.1
OG0001251	XP_017790988.1, XP_017794542.1	XP_003705538.1
OG0001252	XP_017789839.1	XP_003703219.2, XP_012140463.1
OG0001253	XP_017792133.1	XP_003707397.1
OG0001254	XP_017798081.1	XP_003708412.1
OG0001255	XP_017797716.1	XP_012139865.1, XP_012139866.1, XP_012139868.1
OG0001257	XP_017787634.1	XP_003706382.1, XP_012147976.1
OG0001258	XP_017789236.1	XP_012148125.1
OG0001259	XP_017792995.1	XP_012134731.1
OG0001260	XP_017793549.1	XP_003705943.2
OG0001261	XP_017794720.1	XP_003705479.1
OG0001262	XP_017790186.1	XP_003703531.1
OG0001263	XP_017795870.1	XP_003700119.1
OG0001264	XP_017788588.1	XP_012145932.1, XP_012145929.1, XP_012145930.1, XP_012145933.1, XP_012145931.1
OG0001266	XP_017799398.1, XP_017799399.1	XP_012151472.1
OG0001267	XP_017790324.1	XP_003702570.1
OG0001268	XP_017792260.1, XP_017792257.1, XP_017792259.1	XP_003703099.1
OG0001269	XP_017793736.1	XP_012140845.1, XP_003703409.1
OG0001270	XP_017798601.1	XP_003702766.1, XP_012139517.1, XP_012139516.1
OG0001271	XP_017793747.1	XP_003699473.1
OG0001272	XP_017797864.1	XP_012153814.1, XP_003700308.1
OG0001273	XP_017797729.1	XP_003708303.1, XP_012152485.1
OG0001274	XP_017792197.1	XP_003702647.1
OG0001275	XP_017791454.1	XP_003702389.1
OG0001276	XP_017797691.1	XP_012139802.1
OG0001277	XP_017797220.1	XP_003706281.1
OG0001278	XP_017796784.1	XP_003701748.2
OG0001279	XP_017798412.1	XP_003700414.1
OG0001280	XP_017794687.1	XP_012137538.1, XP_012137537.1, XP_012137536.1, XP_003701953.1
OG0001281	XP_017798421.1	XP_012154366.1
OG0001282	XP_017795108.1	XP_003701699.1
OG0001283	XP_017790404.1	XP_012148167.1, XP_003706537.1
OG0001284	XP_017791776.1	XP_003699999.1
OG0001285	XP_017789075.1	XP_012140641.1
OG0001286	XP_017793878.1	XP_003706949.2
OG0001287	XP_017791844.1	XP_012143939.1
OG0001288	XP_017796648.1	XP_003705937.1
OG0001289	XP_017793735.1	XP_012140849.1, XP_003703321.1
OG0001290	XP_017787734.1	XP_003706760.1
OG0001291	XP_017793331.1	XP_003699247.1
OG0001292	XP_017793349.1	XP_012154512.1
OG0001293	XP_017789522.1	XP_003708216.2
OG0001294	XP_017792175.1	XP_012149996.1
OG0001295	XP_017795348.1	XP_003701048.2
OG0001296	XP_017789444.1	XP_012152297.1, XP_012152296.1, XP_003708169.1, XP_012152295.1
OG0001297	XP_017798343.1	XP_003700454.1
OG0001298	XP_017790481.1	XP_012150356.1
OG0001299	XP_017792042.1, XP_017792041.1, XP_017792040.1	XP_012138152.1
OG0001301	XP_017788899.1, XP_017788900.1	XP_012142901.1
OG0001302	XP_017790332.1	XP_003705579.2
OG0001303	XP_017794233.1	XP_003708529.1
OG0001304	XP_017790244.1	XP_003703529.2, XP_012141410.1
OG0001305	XP_017790115.1	XP_003703517.1, XP_012141375.1, XP_012141374.1
OG0001306	XP_017793545.1	XP_003706007.1
OG0001307	XP_017796344.1, XP_017796346.1	XP_012142579.1
OG0001308	XP_017787403.1	XP_012135790.1
OG0001309	XP_017788166.1	XP_012147328.1
OG0001310	XP_017794255.1	XP_003703501.1
OG0001311	XP_017788607.1	XP_003706519.1
OG0001312	XP_017796866.1	XP_012138174.1
OG0001313	XP_017797427.1	XP_003707239.2
OG0001314	XP_017797312.1	XP_012144281.1
OG0001315	XP_017796004.1	XP_003701890.1
OG0001316	XP_017789063.1	XP_003703377.1
OG0001317	XP_017789111.1	XP_003703415.1
OG0001318	XP_017796263.1	XP_003707819.2
OG0001319	XP_017787943.1	XP_012142005.1
OG0001320	XP_017789876.1	XP_003704383.1
OG0001321	XP_017793262.1	XP_012146313.1, XP_003705703.1, XP_012146311.1
OG0001322	XP_017797806.1	XP_012152504.1
OG0001323	XP_017793267.1	XP_012143743.1, XP_003704657.1
OG0001324	XP_017793178.1	XP_012143735.1, XP_012143736.1, XP_012143737.1
OG0001325	XP_017790958.1	XP_003706448.1
OG0001326	XP_017791823.1	XP_003700661.1
OG0001327	XP_017796599.1	XP_003704760.1
OG0001328	XP_017791620.1	XP_012145397.1
OG0001329	XP_017788084.1	XP_003707710.1, XP_003707711.1
OG0001330	XP_017797627.1	XP_012140761.1
OG0001331	XP_017796097.1	XP_012145185.1
OG0001332	XP_017790289.1, XP_017790286.1, XP_017790290.1	XP_003702466.1
OG0001333	XP_017790300.1	XP_012135871.1
OG0001334	XP_017795540.1	XP_012152776.1
OG0001335	XP_017787477.1, XP_017787476.1	XP_012135902.1, XP_012135901.1, XP_003701151.1
OG0001336	XP_017798634.1, XP_017798633.1	XP_012139885.1
OG0001337	XP_017797176.1	XP_003706630.1
OG0001338	XP_017792438.1	XP_003708682.2
OG0001339	XP_017787542.1	XP_012144417.1, XP_012144416.1, XP_012144418.1
OG0001340	XP_017792506.1	XP_012140344.1, XP_012140345.1
OG0001341	XP_017793812.1	XP_012139690.1, XP_012139476.1
OG0001342	XP_017798678.1	XP_003701811.1
OG0001343	XP_017791655.1	XP_012149073.1, XP_003706849.1
OG0001344	XP_017789219.1	XP_012150954.1
OG0001345	XP_017793507.1	XP_003699312.1
OG0001346	XP_017793506.1	XP_003699285.1
OG0001347	XP_017799534.1	XP_012138858.1, XP_012138859.1
OG0001348	XP_017791400.1	XP_012134945.1
OG0001349	XP_017791160.1	XP_012150814.1
OG0001350	XP_017790837.1	XP_003707304.1
OG0001351	XP_017792086.1	XP_003708496.1
OG0001352	XP_017787365.1	XP_012147995.1, XP_003706445.1, XP_012147996.1
OG0001353	XP_017790352.1	XP_012138228.1
OG0001354	XP_017795671.1	XP_003702186.1
OG0001355	XP_017795318.1, XP_017795319.1	XP_012145014.1
OG0001356	XP_017797961.1	XP_012145876.1, XP_012145875.1, XP_003705527.1
OG0001357	XP_017794157.1	XP_012151905.1, XP_012151904.1
OG0001358	XP_017794245.1	XP_012140181.1
OG0001359	XP_017794173.1	XP_003703109.1
OG0001360	XP_017788392.1	XP_012136582.1, XP_003701567.1
OG0001361	XP_017799142.1	XP_003702313.1
OG0001362	XP_017798198.1	XP_012152832.1
OG0001363	XP_017798121.1	XP_012152829.1, XP_012152828.1
OG0001364	XP_017798289.1	XP_012135007.1, XP_003700826.1, XP_012135006.1
OG0001365	XP_017795339.1	XP_003704488.1, XP_012143509.1
OG0001365	XP_017795340.1	XP_012143510.1
OG0001366	XP_017795253.1	XP_012136815.1, XP_003701655.1
OG0001367	XP_017794864.1	XP_003707837.1
OG0001368	XP_017792262.1	XP_003702091.1, XP_012138129.1
OG0001370	XP_017788208.1	XP_012150887.1
OG0001371	XP_017792157.1	XP_012150032.1, XP_012150030.1
OG0001372	XP_017799112.1	XP_012151546.1, XP_012151547.1
OG0001373	XP_017789193.1	XP_012140549.1, XP_012140548.1
OG0001374	XP_017799057.1, XP_017799056.1	XP_003708009.2
OG0001375	XP_017793531.1	XP_003702431.1
OG0001376	XP_017791449.1	XP_003706334.1, XP_012147718.1
OG0001377	XP_017794582.1, XP_017794581.1	XP_012147901.1, XP_012147905.1
OG0001379	XP_017788325.1	XP_012141843.1
OG0001380	XP_017788564.1	XP_012143326.1, XP_003704518.2
OG0001381	XP_017787841.1, XP_017787769.1	XP_012137864.1
OG0001382	XP_017795842.1	XP_012153832.1
OG0001383	XP_017795282.1	XP_003705277.1, XP_012145131.1
OG0001384	XP_017796171.1	XP_012142354.1, XP_012142355.1, XP_012142356.1, XP_003704077.1
OG0001385	XP_017791723.1	XP_003703999.1
OG0001386	XP_017799164.1	XP_012151831.1
OG0001387	XP_017791699.1	XP_012151089.1
OG0001388	XP_017791974.1, XP_017791975.1, XP_017791977.1, XP_017791976.1	XP_012152907.1
OG0001389	XP_017793269.1	XP_012143739.1, XP_012143740.1, XP_012143741.1
OG0001390	XP_017789101.1	XP_003703277.1
OG0001391	XP_017794301.1	XP_012140215.1, XP_003703080.1
OG0001392	XP_017798815.1	XP_003701794.1
OG0001393	XP_017799531.1	XP_003702735.2
OG0001394	XP_017794567.1	XP_012147899.1, XP_012147898.1, XP_012147900.1, XP_012147896.1, XP_003706359.1
OG0001395	XP_017795718.1	XP_012151581.1, XP_003700039.1
OG0001396	XP_017796813.1	XP_012151094.1
OG0001397	XP_017795600.1	XP_012154576.1
OG0001398	XP_017795059.1	XP_012134675.1
OG0001399	XP_017791322.1	XP_003704958.2, XP_012144468.1
OG0001400	XP_017791509.1	XP_003701320.2, XP_012136118.1, XP_012136117.1
OG0001401	XP_017798513.1	XP_012139537.1, XP_003702770.1
OG0001402	XP_017791796.1	XP_012136249.1, XP_012136243.1, XP_012136244.1
OG0001403	XP_017788181.1	XP_003706624.1
OG0001404	XP_017792923.1	XP_012153258.1
OG0001405	XP_017797096.1, XP_017798445.1	XP_003700477.1
OG0001406	XP_017789504.1	XP_012152385.1
OG0001407	XP_017796414.1	XP_012136785.1, XP_012136623.1, XP_012136622.1
OG0001408	XP_017796400.1	XP_003701501.1, XP_012136689.1
OG0001409	XP_017789761.1	XP_003701939.2
OG0001411	XP_017789324.1	XP_003708224.1
OG0001412	XP_017789423.1	XP_012152189.1
OG0001413	XP_017796377.1	XP_012136857.1, XP_012136858.1, XP_012136860.1, XP_012136859.1
OG0001414	XP_017788089.1	XP_012147615.1
OG0001415	XP_017789515.1, XP_017789516.1	XP_012152247.1
OG0001416	XP_017789302.1	XP_012152228.1, XP_012152227.1, XP_003708194.2
OG0001417	XP_017799059.1	XP_012141645.1, XP_012141648.1, XP_012141647.1, XP_012141646.1
OG0001418	XP_017788572.1	XP_003708232.1
OG0001419	XP_017796157.1	XP_012142359.1, XP_012142360.1, XP_012142357.1, XP_012142358.1
OG0001421	XP_017796646.1	XP_012134961.1
OG0001422	XP_017797185.1	XP_012134966.1
OG0001423	XP_017796773.1, XP_017796782.1	XP_003703953.1, XP_012142104.1, XP_012142105.1
OG0001424	XP_017796933.1	XP_012142139.1, XP_012142128.1, XP_012142140.1
OG0001425	XP_017793796.1	XP_012141998.1
OG0001426	XP_017790718.1	XP_003707296.1
OG0001426	XP_017790667.1	XP_003700349.1
OG0001427	XP_017794895.1	XP_003705225.1, XP_012145120.1
OG0001428	XP_017792137.1	XP_012150029.1
OG0001429	XP_017789773.1	XP_003700405.2, XP_012154064.1
OG0001430	XP_017789791.1	XP_012137323.1
OG0001431	XP_017791136.1	XP_012143544.1, XP_003704582.1
OG0001432	XP_017794221.1	XP_003706607.1
OG0001433	XP_017790153.1	XP_012138989.1, XP_012138990.1
OG0001434	XP_017789006.1	XP_012146702.1
OG0001435	XP_017797466.1, XP_017797467.1	XP_012148404.1
OG0001436	XP_017797412.1	XP_003707217.2
OG0001437	XP_017788688.1	XP_012138984.1
OG0001438	XP_017797399.1	XP_012149746.1, XP_012149747.1
OG0001439	XP_017795786.1	XP_012140521.1
OG0001440	XP_017795623.1	XP_012137832.1, XP_012137835.1
OG0001441	XP_017788554.1	XP_012143278.1, XP_003704557.1
OG0001442	XP_017788560.1	XP_012143501.1
OG0001443	XP_017793967.1	XP_012135633.1, XP_012135632.1, XP_012153578.1
OG0001444	XP_017799358.1	XP_012141743.1
OG0001445	XP_017791164.1	XP_012150476.1, XP_012150475.1, XP_012150477.1, XP_003707506.1
OG0001446	XP_017794366.1	XP_003707640.1, XP_012150641.1
OG0001447	XP_017792067.1	XP_012146126.1, XP_003705671.1
OG0001448	XP_017790876.1	XP_012144165.1, XP_012144166.1
OG0001449	XP_017788587.1	XP_012143342.1
OG0001450	XP_017791392.1, XP_017791384.1	XP_003706817.1, XP_012148970.1
OG0001451	XP_017789732.1	XP_012145393.1
OG0001452	XP_017797463.1	XP_003706426.1
OG0001453	XP_017787423.1	XP_012145321.1
OG0001454	XP_017792085.1, XP_017792084.1	XP_012153186.1
OG0001455	XP_017792442.1	XP_003701301.2
OG0001456	XP_017791503.1	XP_012144454.1
OG0001457	XP_017794851.1	XP_003707701.1
OG0001458	XP_017788766.1	XP_012142629.1, XP_003704291.1, XP_012142631.1, XP_012142632.1, XP_012142633.1, XP_012142630.1
OG0001459	XP_017797811.1	XP_012139810.1
OG0001460	XP_017797798.1	XP_012152627.1
OG0001461	XP_017793521.1	XP_012146880.1
OG0001461	XP_017793562.1	XP_003705950.1, XP_012146881.1
OG0001462	XP_017797845.1	XP_003700296.2
OG0001464	XP_017796840.1	XP_003705981.1, XP_012146974.1
OG0001465	XP_017791223.1	XP_012134919.1
OG0001466	XP_017788246.1	XP_012148349.1, XP_012148346.1, XP_012148348.1, XP_012148347.1
OG0001467	XP_017798298.1	XP_012154157.1, XP_003700478.1
OG0001468	XP_017799309.1	XP_012144664.1, XP_012144673.1, XP_012144668.1
OG0001469	XP_017792678.1	XP_012137296.1
OG0001470	XP_017788365.1	XP_012148449.1
OG0001471	XP_017787926.1	XP_012147647.1
OG0001472	XP_017790281.1	XP_003702468.2
OG0001473	XP_017792295.1	XP_003702063.1
OG0001474	XP_017791642.1	XP_012138565.1
OG0001475	XP_017795510.1	XP_003702522.1
OG0001476	XP_017790093.1	XP_003703508.1, XP_012141349.1, XP_003703611.1
OG0001477	XP_017793839.1	XP_003707106.1
OG0001478	XP_017790480.1	XP_003704809.1
OG0001479	XP_017798547.1, XP_017798546.1	XP_012139788.1, XP_003702833.1, XP_012139787.1
OG0001480	XP_017788471.1	XP_012142388.1, XP_012142384.1
OG0001481	XP_017791319.1	XP_003704915.1, XP_012144478.1
OG0001482	XP_017788813.1	XP_003704198.1
OG0001483	XP_017798787.1	XP_012139669.1
OG0001484	XP_017796598.1	XP_003705967.1
OG0001485	XP_017790512.1	XP_003702327.1
OG0001486	XP_017788497.1	XP_012145498.1, XP_012145489.1
OG0001487	XP_017788868.1	XP_003706513.1
OG0001488	XP_017790777.1	XP_012150188.1
OG0001489	XP_017796447.1	XP_003706044.1
OG0001490	XP_017789679.1	XP_003705600.2
OG0001491	XP_017797744.1	XP_003708274.1
OG0001492	XP_017796365.1	XP_012136877.1
OG0001493	XP_017795277.1	XP_012139935.1, XP_012139932.1, XP_012139931.1, XP_003703031.1, XP_012139934.1, XP_012139930.1
OG0001494	XP_017790673.1	XP_003700355.1, XP_012154003.1
OG0001495	XP_017792422.1	XP_003700702.1
OG0001496	XP_017795046.1	XP_003700399.1
OG0001497	XP_017797872.1	XP_012153734.1, XP_012153732.1, XP_003700242.1, XP_012153733.1
OG0001498	XP_017790299.1	XP_003702460.1, XP_012138709.1
OG0001499	XP_017790278.1	XP_003702461.1
OG0001500	XP_017788735.1	XP_003708120.1, XP_012152069.1, XP_012152068.1, XP_012152067.1
OG0001501	XP_017789071.1	XP_003703366.2
OG0001502	XP_017788059.1	XP_012142173.1, XP_003704019.1
OG0001503	XP_017795614.1	XP_003700402.1
OG0001504	XP_017787541.1	XP_012134861.1
OG0001505	XP_017797200.1, XP_017797199.1	XP_003708459.1, XP_012152861.1
OG0001506	XP_017793162.1, XP_017793161.1, XP_017793160.1	XP_003699352.1
OG0001507	XP_017795428.1	XP_003707024.1
OG0001508	XP_017790948.1	XP_012136404.1
OG0001509	XP_017798548.1	XP_003702830.1, XP_012139785.1
OG0001510	XP_017795270.1	XP_003703030.1
OG0001511	XP_017790724.1	XP_003707359.1, XP_012150325.1, XP_012150326.1, XP_012150324.1
OG0001512	XP_017793036.1, XP_017793035.1	XP_012154469.1, XP_003700566.1
OG0001513	XP_017791964.1	XP_003700790.2
OG0001514	XP_017791158.1	XP_012150849.1
OG0001515	XP_017790058.1, XP_017795026.1, XP_017795027.1, XP_017797029.1, XP_017795873.1, XP_017792766.1, XP_017792767.1, XP_017792768.1, XP_017795924.1, XP_017795396.1, XP_017795853.1, XP_017796556.1	XP_012151015.1
OG0001516	XP_017799085.1, XP_017799084.1, XP_017799086.1	XP_012147835.1, XP_003706430.1
OG0001517	XP_017789053.1	XP_012140618.1, XP_012140617.1, XP_012140619.1
OG0001519	XP_017794503.1	XP_012136794.1, XP_012145924.1, XP_012152951.1, XP_012151353.1, XP_012143528.1, XP_012147626.1, XP_003702583.1, XP_012137479.1, XP_012146527.1, XP_012151346.1
OG0001520	XP_017796723.1	XP_012150534.1
OG0001525	XP_017790458.1	XP_003702289.1
OG0001526	XP_017787391.1	XP_003700025.2
OG0001527	XP_017796963.1, XP_017796958.1	XP_003707107.1
OG0001528	XP_017791777.1	XP_003700030.1
OG0001529	XP_017796613.1	XP_003705969.1
OG0001530	XP_017794123.1	XP_012149189.1
OG0001531	XP_017788854.1	XP_012142889.1
OG0001532	XP_017793240.1	XP_003705698.1
OG0001533	XP_017793198.1, XP_017793199.1	XP_012146524.1, XP_012146523.1
OG0001534	XP_017791098.1	XP_003701123.1
OG0001535	XP_017788639.1, XP_017788645.1	XP_012149923.1
OG0001536	XP_017793261.1	XP_003705700.1, XP_012146303.1
OG0001537	XP_017795501.1	XP_012138921.1, XP_003702557.1, XP_012138922.1, XP_012138923.1, XP_012138920.1
OG0001538	XP_017796664.1	XP_003705921.1
OG0001539	XP_017794575.1	XP_003706362.1
OG0001540	XP_017792657.1	XP_012135343.1
OG0001541	XP_017788027.1	XP_003702877.2
OG0001542	XP_017791775.1	XP_012149313.1, XP_003700021.1
OG0001543	XP_017788384.1	XP_003702302.1, XP_012138338.1
OG0001544	XP_017789459.1	XP_003708168.1
OG0001545	XP_017797771.1	XP_012152600.1, XP_012152604.1, XP_012152602.1, XP_012152601.1, XP_003708268.1
OG0001546	XP_017795081.1	XP_012146044.1
OG0001546	XP_017793751.1	XP_012134552.1
OG0001547	XP_017790544.1	XP_003702267.1
OG0001548	XP_017792705.1	XP_003705590.1
OG0001550	XP_017794216.1	XP_003708469.1
OG0001551	XP_017798090.1	XP_003706164.1
OG0001552	XP_017789662.1	XP_003705597.1
OG0001554	XP_017792991.1	XP_003699346.2
OG0001555	XP_017793309.1	XP_012138635.1, XP_003702471.1, XP_012138636.1, XP_012138638.1, XP_012138634.1
OG0001556	XP_017797527.1	XP_012148401.1, XP_012148400.1
OG0001557	XP_017790839.1, XP_017790840.1	XP_003700347.1
OG0001558	XP_017794477.1	XP_012148684.1
OG0001559	XP_017793239.1	XP_003706229.1
OG0001560	XP_017791222.1	XP_003705064.1
OG0001561	XP_017789154.1	XP_012140684.1
OG0001562	XP_017794714.1	XP_003707113.1
OG0001563	XP_017793877.1	XP_012148808.1, XP_003706957.1
OG0001564	XP_017789134.1	XP_003703282.1
OG0001565	XP_017790189.1	XP_003706691.1
OG0001566	XP_017792322.1	XP_003702171.2
OG0001567	XP_017791043.1	XP_003704642.1
OG0001568	XP_017787781.1	XP_012143720.1
OG0001569	XP_017789546.1	XP_003705340.2
OG0001569	XP_017789548.1	XP_012147015.1
OG0001570	XP_017791455.1	XP_012138509.1
OG0001571	XP_017798450.1	XP_003701062.1
OG0001572	XP_017794012.1	XP_012135711.1, XP_003701108.1, XP_012135710.1, XP_012135712.1
OG0001574	XP_017795149.1	XP_012153190.1
OG0001575	XP_017787910.1	XP_012147660.1, XP_012147659.1, XP_012147655.1
OG0001576	XP_017791366.1	XP_012134628.1
OG0001577	XP_017794004.1	XP_003702482.1
OG0001578	XP_017794087.1	XP_003701267.1, XP_012135645.1, XP_012135646.1
OG0001580	XP_017793391.1	XP_003699282.1, XP_012135099.1, XP_012135102.1
OG0001581	XP_017795723.1	XP_012151721.1, XP_012151698.1, XP_012151705.1, XP_012151726.1, XP_012151711.1
OG0001582	XP_017790820.1	XP_003702692.1
OG0001583	XP_017790421.1	XP_003702343.1
OG0001584	XP_017795678.1	XP_003702206.1
OG0001585	XP_017792391.1	XP_003706617.1
OG0001586	XP_017789923.1	XP_003701721.2
OG0001587	XP_017799285.1	XP_003706440.1, XP_012147864.1, XP_012147865.1
OG0001588	XP_017793959.1	XP_003706785.1
OG0001589	XP_017798332.1, XP_017798331.1	XP_012154088.1
OG0001590	XP_017791005.1	XP_003705722.1
OG0001591	XP_017787847.1	XP_012143690.1, XP_012143698.1
OG0001592	XP_017797651.1	XP_003702428.1
OG0001594	XP_017789616.1	XP_012136190.1, XP_012136191.1
OG0001595	XP_017791451.1	XP_012136000.1
OG0001596	XP_017789417.1	XP_003699919.1
OG0001598	XP_017797848.1	XP_003700243.1
OG0001599	XP_017790018.1	XP_012141284.1
OG0001600	XP_017796827.1, XP_017796824.1	XP_012137497.1
OG0001601	XP_017794203.1	XP_003708528.1
OG0001602	XP_017787877.1	XP_012145696.1, XP_003705443.1
OG0001603	XP_017790550.1	XP_012141487.1
OG0001604	XP_017788054.1	XP_003703988.2
OG0001605	XP_017790179.1	XP_012141449.1
OG0001606	XP_017790060.1	XP_003703542.1, XP_012141451.1
OG0001607	XP_017793556.1	XP_012151849.1
OG0001608	XP_017794159.1	XP_003703503.1
OG0001609	XP_017794725.1	XP_012145762.1
OG0001610	XP_017788012.1	XP_012149586.1
OG0001611	XP_017788142.1	XP_003706127.1
OG0001612	XP_017798170.1	XP_003700830.1
OG0001613	XP_017787906.1, XP_017787914.1	XP_003699660.2
OG0001614	XP_017789224.1	XP_012152061.1
OG0001615	XP_017794726.1, XP_017794735.1	XP_003707825.1
OG0001616	XP_017787764.1	XP_003700983.1
OG0001617	XP_017797331.1	XP_003704840.1
OG0001619	XP_017794135.1	XP_012150623.1
OG0001620	XP_017799587.1	XP_012151337.1
OG0001621	XP_017797532.1	XP_012150362.1
OG0001622	XP_017790954.1	XP_012136026.1
OG0001623	XP_017787952.1, XP_017787951.1	XP_012141945.1
OG0001624	XP_017789965.1	XP_012148947.1, XP_012148946.1
OG0001625	XP_017798955.1	XP_012135527.1, XP_012135526.1
OG0001627	XP_017792564.1	XP_012148833.1, XP_003707039.1
OG0001628	XP_017795431.1	XP_012144386.1
OG0001629	XP_017798647.1	XP_012149886.1, XP_012149890.1, XP_012149885.1
OG0001630	XP_017796658.1	XP_012136217.1, XP_012136218.1
OG0001631	XP_017796675.1	XP_012153291.1
OG0001632	XP_017796166.1	XP_012147179.1, XP_012147178.1
OG0001633	XP_017787744.1	XP_003700974.2
OG0001634	XP_017794033.1	XP_012150513.1
OG0001635	XP_017793674.1	XP_003705218.1, XP_012145076.1
OG0001636	XP_017793659.1	XP_012145100.1
OG0001638	XP_017798141.1, XP_017798164.1	XP_003705697.1
OG0001639	XP_017787614.1	XP_012149647.1
OG0001640	XP_017787607.1	XP_003700743.1
OG0001641	XP_017797571.1	XP_012146650.1
OG0001642	XP_017790626.1	XP_012145244.1
OG0001643	XP_017794482.1	XP_012135183.1, XP_003700865.1
OG0001644	XP_017790078.1	XP_012149328.1
OG0001645	XP_017798833.1	XP_003701084.1
OG0001646	XP_017792845.1	XP_003699309.1, XP_012149002.1, XP_012148936.1, XP_012148869.1, XP_012149074.1
OG0001647	XP_017792881.1, XP_017792880.1	XP_012151170.1
OG0001648	XP_017795400.1	XP_003700016.1
OG0001649	XP_017797118.1, XP_017797115.1, XP_017795753.1	XP_012150604.1, XP_012150605.1
OG0001650	XP_017789926.1	XP_012134905.1
OG0001651	XP_017788663.1	XP_003707270.1
OG0001652	XP_017788516.1	XP_012148057.1, XP_003706469.1
OG0001653	XP_017793600.1	XP_012139422.1
OG0001654	XP_017793637.1	XP_012139341.1
OG0001655	XP_017799540.1	XP_012138882.1
OG0001656	XP_017799513.1	XP_003702732.2
OG0001657	XP_017794247.1	XP_012148273.1
OG0001658	XP_017796444.1	XP_003701541.2
OG0001659	XP_017796490.1	XP_012136442.1
OG0001660	XP_017796462.1	XP_003701550.1
OG0001661	XP_017796417.1	XP_012136627.1, XP_012136628.1
OG0001662	XP_017788271.1, XP_017788275.1, XP_017788274.1, XP_017788273.1, XP_017788272.1, XP_017788276.1	XP_003701514.1
OG0001663	XP_017790561.1	XP_003702233.1
OG0001664	XP_017796374.1	XP_003701632.1
OG0001665	XP_017792372.1	XP_003702064.2
OG0001666	XP_017788540.1	XP_012143285.1, XP_003704560.2
OG0001668	XP_017796901.1	XP_012139006.1, XP_012139007.1, XP_012139008.1, XP_003702610.1
OG0001669	XP_017792196.1	XP_012150006.1
OG0001670	XP_017793087.1, XP_017793086.1	XP_012151227.1, XP_012151224.1, XP_003707733.2
OG0001671	XP_017793104.1	XP_003699324.1
OG0001672	XP_017795796.1	XP_012140485.1
OG0001673	XP_017795822.1	XP_012140569.1
OG0001674	XP_017790239.1	XP_003703053.1
OG0001675	XP_017787670.1, XP_017787673.1	XP_012147979.1, XP_012147981.1
OG0001676	XP_017787962.1	XP_003706419.1
OG0001677	XP_017797171.1	XP_003706046.1, XP_012147074.1
OG0001678	XP_017789352.1	XP_003708139.1
OG0001679	XP_017788602.1	XP_003704511.1
OG0001680	XP_017788580.1	XP_012148072.1
OG0001681	XP_017790063.1	XP_003703489.1
OG0001682	XP_017790619.1, XP_017790617.1, XP_017790618.1	XP_003702338.1
OG0001683	XP_017787889.1	XP_012145689.1
OG0001684	XP_017797828.1	XP_012135073.1
OG0001685	XP_017790551.1	XP_012138223.1
OG0001686	XP_017798113.1	XP_003706179.2
OG0001687	XP_017798207.1	XP_003708452.1, XP_012152757.1, XP_012152758.1
OG0001688	XP_017796041.1	XP_012134948.1
OG0001689	XP_017798212.1	XP_012135018.1
OG0001690	XP_017790786.1	XP_003707459.2, XP_012150295.1, XP_012150294.1
OG0001691	XP_017796002.1	XP_012150152.1, XP_003707306.2
