Orthogroup	Habropoda_laboriosa	Apis_mellifera
OG0000864	XP_017787705.1	XP_001122272.2, XP_001122287.2, XP_001122304.3
OG0000865	XP_017793076.1	XP_001122322.2
OG0000866	XP_017795887.1	XP_001122465.1
OG0000867	XP_017792683.1	XP_026300402.1, XP_026300397.1, XP_016772838.2, XP_026300405.1, XP_624298.3, XP_026300396.1, XP_001122575.3, XP_006572097.2
OG0000868	XP_017797696.1	XP_003249139.1
OG0000869	XP_017790431.1, XP_017790430.1	XP_393500.1, XP_003249222.1
OG0000870	XP_017797062.1	XP_016767384.1, XP_003249365.1
OG0000871	XP_017788026.1	XP_003249665.2, XP_006560278.2
OG0000872	XP_017789580.1	XP_003249667.1
OG0000873	XP_017789064.1	XP_006562488.2, XP_026296991.1, XP_003250107.2
OG0000874	XP_017791742.1	XP_016766988.1, XP_003250368.1
OG0000875	XP_017797572.1	XP_392422.2
OG0000876	XP_017799585.1	XP_003251165.1, XP_006568081.1
OG0000877	XP_017789195.1	XP_392405.3
OG0000878	XP_017791259.1	XP_003251850.1
OG0000879	XP_017794937.1	XP_003251907.2
OG0000880	XP_017794056.1, XP_017794065.1	XP_006558274.1
OG0000881	XP_017795909.1	XP_006558313.1
OG0000882	XP_017789565.1	XP_006558364.1
OG0000883	XP_017793535.1, XP_017793536.1	XP_006559256.3
OG0000884	XP_017793961.1	XP_006559286.2
OG0000885	XP_017797900.1	XP_006559927.1, XP_016773305.1
OG0000886	XP_017788147.1	XP_006560558.2
OG0000887	XP_017795095.1	XP_026302182.1, XP_006561144.2, XP_006561143.2
OG0000888	XP_017794871.1, XP_017794845.1	XP_016766181.1, XP_006561183.1
OG0000889	XP_017795000.1	XP_006561260.1, XP_016770977.1
OG0000890	XP_017790860.1	XP_006562012.1, XP_026296965.1
OG0000891	XP_017796826.1	XP_006562044.3
OG0000892	XP_017791358.1, XP_017791357.1	XP_624128.3, XP_006562315.2
OG0000894	XP_017789689.1	XP_006563740.2, XP_006563741.2, XP_623497.2
OG0000895	XP_017798864.1	XP_016769242.1, XP_006563910.1
OG0000896	XP_017797650.1	XP_006564182.3
OG0000897	XP_017796031.1	XP_006564243.2, XP_006564247.2, XP_006564245.2, XP_396620.5, XP_016767700.2, XP_016767699.2
OG0000898	XP_017790280.1	XP_006564428.1, XP_006564427.1, XP_391899.4
OG0000899	XP_017789626.1	XP_006564543.1
OG0000900	XP_017793667.1	XP_006564814.1, XP_006564813.1, XP_026296732.1
OG0000901	XP_017798527.1	XP_006564990.1, XP_026300765.1, XP_625030.1
OG0000902	XP_017798652.1	XP_006565704.1, XP_394044.2
OG0000903	XP_017793795.1	XP_006566002.1
OG0000904	XP_017792103.1	XP_006566054.1
OG0000905	XP_017793461.1	XP_006566739.1
OG0000906	XP_017791733.1	XP_006566847.1, XP_026295376.1, XP_026295377.1
OG0000907	XP_017798086.1	XP_006567173.2
OG0000908	XP_017798065.1	XP_006567216.2
OG0000909	XP_017788666.1	XP_016767678.1, XP_016767677.1, XP_006567729.2
OG0000910	XP_017790795.1	XP_016767618.1, XP_006567855.1, XP_006567856.1
OG0000911	XP_017795647.1	XP_016768497.1, XP_016768496.1, XP_016768495.1, XP_006568356.1
OG0000912	XP_017787817.1	XP_016768751.1, XP_006568427.1
OG0000913	XP_017794236.1	XP_006568644.1
OG0000914	XP_017789942.1	XP_006569219.1
OG0000915	XP_017795242.1	XP_006569265.3
OG0000916	XP_017798942.1	XP_006570705.1
OG0000917	XP_017788329.1	XP_006571436.1, XP_006571434.1
OG0000918	XP_017795366.1	XP_006571481.2
OG0000919	XP_017791555.1	XP_026299259.1, XP_006572362.1
OG0000920	XP_017795320.1	XP_016766674.2, XP_016766672.2
OG0000921	XP_017799074.1	XP_016766791.1
OG0000922	XP_017799081.1	XP_016767058.2, XP_026300869.1
OG0000923	XP_017798235.1, XP_017798234.1	XP_016767229.1
OG0000924	XP_017789003.1	XP_396654.1, XP_016768016.1
OG0000925	XP_017795788.1	XP_026297261.1, XP_026297262.1, XP_026297259.1, XP_026297260.1, XP_016768233.1
OG0000926	XP_017797395.1	XP_016768353.1
OG0000927	XP_017798028.1	XP_016769083.2, XP_395960.3
OG0000928	XP_017790527.1	XP_392615.1, XP_016769284.1
OG0000929	XP_017797867.1	XP_016769313.1
OG0000929	XP_017797866.1	XP_016769308.1
OG0000930	XP_017791150.1, XP_017791148.1, XP_017791149.1	XP_016769618.2, XP_016769617.2, XP_016769616.2
OG0000931	XP_017794343.1	XP_016769663.1, XP_026298576.1, XP_624798.3
OG0000932	XP_017789413.1	XP_026299020.1, XP_016769759.1
OG0000933	XP_017795562.1	XP_016770532.1, XP_016770533.1
OG0000934	XP_017795574.1	XP_016770585.1, XP_016770584.1
OG0000935	XP_017790271.1	XP_016770711.2
OG0000936	XP_017797250.1	XP_396993.3, XP_016770770.1
OG0000937	XP_017792400.1	XP_016771723.2
OG0000938	XP_017794766.1	XP_016772119.1
OG0000939	XP_017796637.1	XP_016772279.1
OG0000940	XP_017799090.1	XP_016772832.1
OG0000941	XP_017792044.1	XP_016773199.1
OG0000942	XP_017798993.1	XP_026302064.1, XP_016773223.2
OG0000943	XP_017794254.1	XP_016773295.1, XP_392138.3
OG0000944	XP_017794732.1	XP_016773334.2, XP_016773335.2
OG0000945	XP_017798954.1	XP_016773569.1, XP_026300573.1
OG0000946	XP_017796529.1	XP_016773609.1, XP_016773612.1
OG0000947	XP_017790612.1	XP_016773625.2
OG0000948	XP_017796519.1	XP_016773638.2
OG0000949	XP_017794437.1	XP_026294976.1
OG0000950	XP_017790502.1	XP_026295316.1
OG0000951	XP_017796937.1	XP_026295815.1
OG0000952	XP_017791935.1	XP_026296428.1, XP_026296427.1, XP_026296426.1, XP_026296425.1, XP_026296424.1, XP_026296423.1, XP_026296422.1, XP_026296421.1, XP_026296420.1
OG0000953	XP_017796048.1	XP_624137.2, XP_026296492.1
OG0000954	XP_017790754.1	XP_026296639.1
OG0000955	XP_017787643.1	XP_026296644.1
OG0000956	XP_017790710.1	XP_026296663.1
OG0000957	XP_017795204.1	XP_026296921.1
OG0000958	XP_017792310.1	XP_026297477.1
OG0000959	XP_017794102.1	XP_026297830.1, XP_026297821.1, XP_026297824.1
OG0000960	XP_017787470.1, XP_017787453.1	XP_026298038.1
OG0000961	XP_017793181.1	XP_026298042.1
OG0000962	XP_017794042.1	XP_026298067.1
OG0000963	XP_017791118.1	XP_026298070.1, XP_026298072.1
OG0000964	XP_017798891.1	XP_026298150.1, XP_026298149.1, XP_393000.3
OG0000965	XP_017798863.1	XP_395098.4
OG0000966	XP_017791137.1	XP_026298338.1
OG0000967	XP_017791221.1	XP_026298492.1, XP_396332.3
OG0000968	XP_017799581.1	XP_026298613.1
OG0000970	XP_017791552.1	XP_026298880.1
OG0000971	XP_017792985.1	XP_026299493.1
OG0000972	XP_017795537.1	XP_026299849.1
OG0000973	XP_017791388.1	XP_026299926.1
OG0000974	XP_017789563.1	XP_026300294.1, XP_026300287.1, XP_026300286.1
OG0000975	XP_017788896.1	XP_026300637.1, XP_026300638.1
OG0000976	XP_017798641.1	XP_026300757.1, XP_026300756.1, XP_026300755.1
OG0000977	XP_017794691.1	XP_026300920.1
OG0000978	XP_017792694.1	XP_026301232.1
OG0000979	XP_017796315.1, XP_017796314.1	XP_026301318.1, XP_026301319.1, XP_026301316.1, XP_026301317.1
OG0000980	XP_017787771.1	XP_026301323.1
OG0000981	XP_017788308.1	XP_397511.4, XP_026302107.1
OG0000982	XP_017792701.1	XP_026302189.1
OG0000983	XP_017795840.1	XP_026302295.1, XP_026302298.1
OG0000984	XP_017790268.1	XP_391836.2
OG0000985	XP_017792893.1, XP_017792894.1	XP_391916.3
OG0000986	XP_017798040.1	XP_392256.2
OG0000987	XP_017794876.1, XP_017794877.1	XP_392390.1
OG0000988	XP_017797620.1	XP_392419.3
OG0000989	XP_017798901.1	XP_392464.3
OG0000990	XP_017787451.1, XP_017787452.1, XP_017787450.1	XP_392721.1
OG0000991	XP_017795837.1	XP_392823.3
OG0000992	XP_017799281.1	XP_392893.3
OG0000993	XP_017789765.1, XP_017789772.1	XP_393059.1, XP_623303.1
OG0000994	XP_017792580.1, XP_017792579.1	XP_393072.2
OG0000995	XP_017797660.1, XP_017797661.1	XP_393127.4
OG0000996	XP_017787890.1	XP_393285.1
OG0000997	XP_017793497.1	XP_393404.2
OG0000998	XP_017795655.1	XP_393553.4
OG0000999	XP_017795389.1	XP_393673.3
OG0001000	XP_017790689.1	XP_394579.2
OG0001001	XP_017791025.1	XP_394673.4
OG0001002	XP_017791998.1	XP_394764.3
OG0001003	XP_017791161.1	XP_394778.2
OG0001004	XP_017787537.1	XP_394981.4
OG0001005	XP_017793477.1	XP_395023.4
OG0001006	XP_017791437.1	XP_395405.1
OG0001007	XP_017789897.1	XP_395426.5
OG0001008	XP_017797854.1	XP_395451.4
OG0001009	XP_017795083.1	XP_395924.2
OG0001010	XP_017795140.1	XP_396824.1
OG0001011	XP_017795797.1, XP_017795798.1	XP_623490.2
OG0001012	XP_017798877.1	XP_623536.3
OG0001013	XP_017795066.1	XP_623581.2
OG0001014	XP_017792806.1	XP_623646.2
OG0001015	XP_017794695.1	XP_624163.1
OG0001016	XP_017795664.1	XP_624385.4
OG0001017	XP_017797873.1	XP_624386.1
OG0001018	XP_017792576.1	XP_624526.2
OG0001019	XP_017790509.1	XP_625034.1
OG0001020	XP_017791405.1	XP_625134.3
OG0001030	XP_017788575.1	NP_001071280.1, XP_026298398.1
OG0001031	XP_017791067.1	NP_001071291.1, XP_026298647.1
OG0001032	XP_017796506.1	NP_001091688.1, XP_026295760.1
OG0001033	XP_017788926.1, XP_017788929.1, XP_017788927.1	XP_006559366.1, NP_001161192.1
OG0001034	XP_017794341.1, XP_017794340.1	NP_001165874.1
OG0001035	XP_017790887.1, XP_017790888.1	NP_001171496.1
OG0001036	XP_017791994.1	NP_001229370.1
OG0001037	XP_017798599.1	NP_001229387.1
OG0001038	XP_017797120.1	XP_026295758.1
OG0001038	XP_017797114.1	NP_001229398.1
OG0001039	XP_017797844.1	NP_001229485.1, XP_026298404.1
OG0001040	XP_017795559.1, XP_017795560.1	NP_001252514.1, XP_006564386.1
OG0001041	XP_017792736.1	NP_001257756.1
OG0001042	XP_017789223.1	NP_001264229.1
OG0001043	XP_017788571.1	NP_001265259.1
OG0001044	XP_017790259.1	XP_001120093.2
OG0001045	XP_017792743.1	XP_001120606.1
OG0001046	XP_017796851.1	XP_001120679.2
OG0001047	XP_017790265.1	XP_001120691.3
OG0001049	XP_017793011.1, XP_017793010.1	XP_006570421.1, XP_006570422.1, XP_001121373.1
OG0001050	XP_017791916.1	XP_001121503.2
OG0001051	XP_017797874.1, XP_017797139.1, XP_017797889.1	XP_001121644.3, XP_016772550.2
OG0001052	XP_017797356.1	XP_001122103.1, XP_016769468.1
OG0001053	XP_017788870.1	XP_001122418.1
OG0001054	XP_017787857.1	XP_001122640.1, XP_026299740.1, XP_016770528.1
OG0001055	XP_017792015.1	XP_016771263.1, XP_001122896.1
OG0001056	XP_017790534.1	XP_003249537.2
OG0001057	XP_017793516.1	XP_003249613.1
OG0001058	XP_017794728.1	XP_003249660.1
OG0001059	XP_017797636.1	XP_003249843.1, XP_003249842.1
OG0001060	XP_017795052.1	XP_003250969.2
OG0001061	XP_017788589.1	XP_006567760.1, XP_003251079.1
OG0001062	XP_017788658.1	XP_003251146.1, XP_016767771.1
OG0001063	XP_017799110.1	XP_016773370.2, XP_016773371.2, XP_016773372.2, XP_016773369.2, XP_006570697.2, XP_006570698.2, XP_003251596.2, XP_016773373.2
OG0001064	XP_017798970.1	XP_026297226.1, XP_003251699.2
OG0001065	XP_017799054.1	XP_003251700.2
OG0001066	XP_017790338.1	XP_006557510.1
OG0001067	XP_017798387.1	XP_006557746.1, XP_026301708.1
OG0001068	XP_017792812.1	XP_006557829.1
OG0001069	XP_017788965.1	XP_006557893.1, XP_006557894.1, XP_026300485.1
OG0001070	XP_017789058.1, XP_017789059.1	XP_396653.1, XP_006558182.1
OG0001071	XP_017792728.1	XP_006558403.1, XP_006558402.1, XP_006558401.1, XP_006558404.1
OG0001073	XP_017791072.1, XP_017791071.1	XP_006558644.1, XP_006558645.1
OG0001074	XP_017797851.1	XP_006558672.1
OG0001075	XP_017797035.1, XP_017797030.1	XP_006558763.1
OG0001077	XP_017797669.1	XP_006558888.1, XP_396702.1, XP_006558887.1
OG0001078	XP_017794660.1	XP_006559144.1, XP_006559138.1
OG0001079	XP_017798426.1	XP_006559452.1
OG0001079	XP_017798312.1	XP_026301567.1
OG0001080	XP_017790447.1	XP_006559673.1
OG0001080	XP_017790446.1	XP_006559672.1
OG0001081	XP_017788099.1	XP_006559757.1
OG0001082	XP_017790637.1	XP_006559947.1
OG0001082	XP_017790781.1	XP_397205.2, XP_006567961.1
OG0001083	XP_017793602.1	XP_006560202.1
OG0001083	XP_017793587.1	XP_016768462.1
OG0001084	XP_017787998.1	XP_623371.1, XP_006560282.1
OG0001084	XP_017788003.1	XP_006560283.2
OG0001085	XP_017788968.1	XP_006560410.1
OG0001086	XP_017797256.1	XP_006560620.1
OG0001087	XP_017793728.1	XP_006560912.1
OG0001088	XP_017797405.1	XP_006561334.2
OG0001089	XP_017790406.1	XP_026297863.1, XP_006561512.1
OG0001090	XP_017797332.1	XP_006561691.1, XP_396411.5
OG0001091	XP_017796020.1	XP_625149.1, XP_006562150.1, XP_006562151.1
OG0001093	XP_017794688.1	XP_006562371.1, XP_016771801.1
OG0001094	XP_017791534.1	XP_006562436.1
OG0001095	XP_017789634.1	XP_006562473.1, XP_006562474.1, XP_026299439.1, XP_623560.2
OG0001096	XP_017793805.1	XP_006562703.1, XP_006562704.1
OG0001097	XP_017793215.1, XP_017793214.1	XP_393529.3, XP_006562838.1
OG0001098	XP_017793264.1	XP_016768015.1, XP_016768020.1, XP_624673.3, XP_006563314.1
OG0001099	XP_017788139.1	XP_006563984.1, XP_006563986.1, XP_026295570.1, XP_623136.3
OG0001100	XP_017791683.1	XP_006564069.2
OG0001101	XP_017797549.1, XP_017797550.1	XP_006564089.1
OG0001102	XP_017795201.1	XP_006564156.1, XP_026297023.1
OG0001103	XP_017789600.1	XP_016769827.2, XP_006564520.1
OG0001104	XP_017794088.1	XP_006564626.1
OG0001105	XP_017793690.1	XP_006564825.1
OG0001106	XP_017795646.1	XP_006565506.1, XP_006565505.2
OG0001107	XP_017792527.1, XP_017792526.1	XP_006565537.1
OG0001108	XP_017798587.1	XP_006565760.1
OG0001109	XP_017792825.1	XP_006566401.1
OG0001110	XP_017789234.1	XP_006566547.1, XP_016770624.1, XP_016770623.2
OG0001111	XP_017793389.1	XP_006566698.1
OG0001112	XP_017793421.1	XP_006566772.2, XP_016770289.2, XP_016770290.2
OG0001113	XP_017791353.1, XP_017791352.1	XP_391943.1, XP_006566930.1
OG0001114	XP_017791159.1	XP_006567398.1, XP_026298661.1
OG0001115	XP_017790732.1	XP_006567935.1
OG0001116	XP_017791672.1	XP_006568047.1
OG0001117	XP_017792076.1	XP_006568191.1
OG0001118	XP_017796469.1	XP_006568764.1, XP_006568765.1, XP_006568763.1
OG0001119	XP_017796507.1	XP_006568873.1
OG0001120	XP_017788815.1, XP_017788891.1	XP_006569033.1
OG0001121	XP_017791598.1	XP_006569237.2
OG0001122	XP_017798108.1	XP_006569359.1, XP_006569358.1, XP_016767260.1
OG0001123	XP_017792363.1	XP_006569496.1, XP_006569498.1
OG0001124	XP_017789176.1	XP_006569578.2, XP_394630.3
OG0001125	XP_017792368.1	XP_016773406.1, XP_006569604.1, XP_006569605.1, XP_623422.1
OG0001126	XP_017792346.1	XP_006569630.1, XP_006569631.1
OG0001127	XP_017792216.1	XP_006570320.1, XP_016767740.1
OG0001128	XP_017794915.1	XP_026296489.1, XP_006570321.2
OG0001129	XP_017793128.1	XP_006570497.1, XP_006570498.1, XP_006570499.1
OG0001130	XP_017799383.1	XP_397334.3, XP_006571217.1, XP_016773438.1
OG0001131	XP_017796950.1, XP_017796373.1	XP_006571730.2
OG0001132	XP_017797932.1	XP_006571742.2
OG0001133	XP_017792745.1	XP_006571913.1, XP_006571912.1
OG0001134	XP_017795255.1	XP_623917.2, XP_006571946.2
OG0001135	XP_017792652.1	XP_026294834.1, XP_006572184.2
OG0001136	XP_017792740.1	XP_006572346.1, XP_026302266.1
OG0001137	XP_017798073.1	XP_026295927.1, XP_016767220.2
OG0001138	XP_017792212.1	XP_016767602.2, XP_026296386.1, XP_026296389.1, XP_026296385.1, XP_026296387.1
OG0001140	XP_017789069.1	XP_016768234.1
OG0001141	XP_017793554.1	XP_016768310.1, XP_016768313.1, XP_396491.1, XP_016768312.1, XP_016768311.1
OG0001142	XP_017795634.1	XP_016768696.2, XP_026297646.1
OG0001143	XP_017787472.1	XP_016769245.2
OG0001144	XP_017796814.1	XP_016769585.1
OG0001144	XP_017796815.1	XP_016769580.1
OG0001145	XP_017791643.1	XP_016769849.1
OG0001146	XP_017789823.1	XP_396322.3, XP_016769931.2
OG0001147	XP_017795565.1	XP_016770657.1, XP_026299394.1
OG0001148	XP_017788035.1	XP_026300741.1, XP_026300745.1, XP_026300743.1, XP_016771852.2, XP_026300744.1
OG0001149	XP_017796671.1	XP_016772196.2
OG0001150	XP_017798444.1	XP_016772418.2
OG0001151	XP_017799146.1	XP_016772668.1
OG0001152	XP_017788257.1, XP_017788207.1	XP_016773366.1
OG0001153	XP_017796517.1	XP_016773594.2, XP_016773595.2
OG0001154	XP_017787874.1	XP_026294727.1
OG0001155	XP_017792691.1, XP_017792689.1, XP_017792690.1	XP_026294816.1
OG0001156	XP_017798264.1	XP_026295824.1
OG0001157	XP_017798961.1	XP_026296199.1
OG0001158	XP_017796886.1	XP_026296296.1, XP_026296289.1
OG0001159	XP_017788521.1	XP_026296361.1
OG0001160	XP_017795024.1	XP_026296677.1
OG0001161	XP_017795831.1	XP_026296914.1
OG0001162	XP_017796932.1	XP_026297068.1
OG0001163	XP_017792014.1	XP_026297130.1
OG0001164	XP_017795640.1	XP_026297445.1
OG0001165	XP_017791638.1	XP_026297486.1
OG0001166	XP_017790030.1	XP_026297487.1
OG0001167	XP_017787839.1	XP_026297541.1, XP_026297545.1
OG0001168	XP_017787797.1	XP_026297768.1
OG0001169	XP_017799476.1, XP_017799605.1	XP_026298033.1
OG0001170	XP_017790952.1	XP_026298239.1, XP_026298240.1
OG0001171	XP_017789980.1	XP_026298259.1
OG0001172	XP_017791135.1	XP_026298341.1
OG0001173	XP_017791080.1	XP_026298549.1
OG0001174	XP_017791269.1	XP_026298590.1
OG0001175	XP_017799478.1	XP_026298726.1
OG0001176	XP_017791625.1, XP_017791569.1	XP_026298736.1
OG0001178	XP_017797195.1	XP_026298830.1
OG0001179	XP_017788577.1	XP_026298834.1, XP_026298833.1
OG0001180	XP_017795714.1	XP_026298838.1
OG0001181	XP_017795471.1	XP_026299072.1
OG0001182	XP_017793395.1	XP_026299374.1
OG0001184	XP_017794201.1	XP_026299555.1, XP_026299554.1, XP_026299556.1
OG0001185	XP_017794257.1	XP_026299612.1
OG0001186	XP_017793359.1	XP_026299663.1, XP_026299660.1
OG0001187	XP_017793158.1, XP_017793157.1	XP_026299752.1
OG0001188	XP_017792960.1	XP_026299799.1
OG0001189	XP_017792070.1	XP_026299887.1, XP_394248.2
OG0001190	XP_017793019.1	XP_026299903.1
OG0001191	XP_017788751.1	XP_026300579.1
OG0001192	XP_017798799.1	XP_026300981.1
OG0001193	XP_017797814.1, XP_017797815.1	XP_026300986.1
OG0001194	XP_017798608.1	XP_026300995.1
OG0001195	XP_017793524.1	XP_026301204.1
OG0001196	XP_017789757.1	XP_026301333.1, XP_026301332.1, XP_026301331.1
OG0001197	XP_017791396.1	XP_391934.3
OG0001198	XP_017787412.1	XP_393060.4
OG0001199	XP_017797491.1	XP_393096.3
OG0001200	XP_017793707.1	XP_393196.4
OG0001201	XP_017793416.1	XP_393293.2
OG0001202	XP_017793734.1	XP_393301.3
OG0001203	XP_017793955.1, XP_017793956.1	XP_393727.2
OG0001204	XP_017793453.1	XP_393737.2
OG0001205	XP_017798757.1	XP_394040.3
OG0001206	XP_017792290.1	XP_394201.3
OG0001207	XP_017788402.1	XP_394292.3
OG0001208	XP_017789264.1	XP_394429.4
OG0001209	XP_017788824.1	XP_394440.3
OG0001210	XP_017788660.1, XP_017788661.1	XP_394859.1
OG0001211	XP_017796132.1	XP_395404.2
OG0001212	XP_017799228.1	XP_395702.3
OG0001213	XP_017790005.1	XP_395752.2
OG0001214	XP_017790283.1	XP_396789.2
OG0001215	XP_017794970.1, XP_017794969.1, XP_017794971.1	XP_397127.5
OG0001216	XP_017796715.1, XP_017796714.1, XP_017796713.1	XP_397181.1
OG0001217	XP_017793400.1	XP_397379.4
OG0001218	XP_017789690.1	XP_623681.1
OG0001219	XP_017790994.1	XP_624251.3
OG0001220	XP_017788157.1	XP_624457.1
OG0001221	XP_017798431.1, XP_017798432.1	XP_624707.2
OG0001222	XP_017791168.1	XP_624872.2
OG0001223	XP_017790396.1	XP_624977.1, XP_624964.1
OG0001224	XP_017794711.1	XP_625028.1
OG0001225	XP_017789753.1	XP_625037.1
OG0001226	XP_017793450.1	XP_625148.1
OG0001227	XP_017791835.1	XP_625226.1
OG0001228	XP_017791866.1	XP_625228.3
OG0001240	XP_017796130.1	NP_001229399.1, NP_001011566.1
OG0001241	XP_017794032.1	NP_001011576.1, XP_026297363.1
OG0001242	XP_017799157.1	XP_026295054.1, NP_001011594.1
OG0001243	XP_017799536.1	NP_001011602.1
OG0001244	XP_017787457.1	NP_001091636.1, NP_001011626.2
OG0001245	XP_017797568.1	XP_006557552.1, NP_001011643.1
OG0001246	XP_017788908.1	XP_006558516.1
OG0001247	XP_017788069.1, XP_017788070.1, XP_017788068.1	XP_026295136.1, NP_001035357.1
OG0001248	XP_017799141.1	XP_006571287.1
OG0001249	XP_017794718.1	XP_006560237.1, NP_001071285.1
OG0001250	XP_017790866.1	NP_001139210.1, XP_006563265.1
OG0001251	XP_017790988.1, XP_017794542.1	NP_001153522.1
OG0001251	XP_017792943.1	NP_001153544.1
OG0001252	XP_017789839.1	XP_001121036.2, NP_001157188.1, XP_006564106.1
OG0001253	XP_017792133.1	NP_001157189.1, XP_016767530.2
OG0001254	XP_017798081.1	XP_016768607.2
OG0001255	XP_017797716.1	NP_001167612.1, XP_006557598.1
OG0001256	XP_017792700.1	NP_001257748.1
OG0001257	XP_017787634.1	XP_006571516.1, NP_001265264.1
OG0001258	XP_017789236.1	XP_026299313.1, NP_001265610.1
OG0001259	XP_017792995.1	XP_026301730.1, NP_001314886.1
OG0001259	XP_017790713.1	XP_003251102.1, NP_001314883.1
OG0001260	XP_017793549.1	XP_006559253.1, XP_006559252.1, XP_001119855.2
OG0001261	XP_017794720.1	XP_006560242.1, XP_006560241.1, XP_001119882.2, XP_006560243.1
OG0001262	XP_017790186.1	XP_001120054.2
OG0001263	XP_017795870.1	XP_001120061.2, XP_006567415.1
OG0001264	XP_017788588.1	XP_001120215.2
OG0001265	XP_017795585.1	XP_026299847.1, XP_001120472.1
OG0001266	XP_017799398.1, XP_017799399.1	XP_026302033.1, XP_026302034.1, XP_001120512.5
OG0001267	XP_017790324.1	XP_006557524.1, XP_006557525.1, XP_001120701.2
OG0001268	XP_017792260.1, XP_017792257.1, XP_017792259.1	XP_001121102.2
OG0001269	XP_017793736.1	XP_001121169.2
OG0001270	XP_017798601.1	XP_001121176.1
OG0001271	XP_017793747.1	XP_001121775.2, XP_016767210.2
OG0001272	XP_017797864.1	XP_001122042.3
OG0001273	XP_017797729.1	XP_001122623.2
OG0001274	XP_017792197.1	XP_001122704.2, XP_026296440.1, XP_006570316.1
OG0001275	XP_017791454.1	XP_001123019.2
OG0001276	XP_017797691.1	XP_001123355.3
OG0001277	XP_017797220.1	XP_003249096.1
OG0001278	XP_017796784.1	XP_003249130.2
OG0001279	XP_017798412.1	XP_003249154.1
OG0001280	XP_017794687.1	XP_003249385.1
OG0001281	XP_017798308.1	XP_026301501.1
OG0001282	XP_017795108.1	XP_003249819.2
OG0001283	XP_017790404.1	XP_003249882.1, XP_026298283.1, XP_026298282.1
OG0001284	XP_017791776.1	XP_003249908.1
OG0001285	XP_017789075.1	XP_006562526.1, XP_006562527.1, XP_003250091.1
OG0001286	XP_017793878.1	XP_003250169.1
OG0001287	XP_017791844.1	XP_003250260.1, XP_016772345.1
OG0001288	XP_017796648.1	XP_003250277.1
OG0001289	XP_017793735.1	XP_003250418.1
OG0001290	XP_017787734.1	XP_003250512.2
OG0001291	XP_017793331.1	XP_003250884.1
OG0001292	XP_017793349.1	XP_397549.2
OG0001293	XP_017789522.1	XP_016772918.1, XP_003251236.1, XP_016772914.1
OG0001294	XP_017792175.1	XP_006570286.1, XP_003251510.1, XP_016767749.1
OG0001295	XP_017795348.1	XP_026300498.1, XP_026300497.1, XP_003251801.1
OG0001296	XP_017789444.1	XP_396430.1, XP_006557323.1
OG0001297	XP_017798343.1	XP_026301503.1, XP_016772440.1, XP_006557346.1
OG0001298	XP_017790481.1	XP_006557379.2
OG0001299	XP_017792042.1, XP_017792041.1, XP_017792040.1	XP_006557478.1, XP_006557479.1
OG0001300	XP_017798430.1	XP_016772551.2
OG0001301	XP_017788899.1, XP_017788900.1	XP_006557926.1
OG0001302	XP_017790332.1	XP_006558107.2, XP_395356.4
OG0001303	XP_017794233.1	XP_395880.4, XP_006558682.1, XP_006558681.1
OG0001304	XP_017790244.1	XP_006559207.1, XP_006559209.1
OG0001305	XP_017790115.1	XP_006559220.1
OG0001306	XP_017793545.1	XP_393635.1, XP_006559250.1
OG0001307	XP_017796344.1, XP_017796346.1	XP_393383.3
OG0001308	XP_017787403.1	XP_006559518.1
OG0001309	XP_017788166.1	XP_006560560.2
OG0001310	XP_017794255.1	XP_006560897.1
OG0001311	XP_017788607.1	XP_006560939.1, XP_016766761.1, XP_016766762.1
OG0001312	XP_017796866.1	XP_006561226.1, XP_006561229.1
OG0001313	XP_017797427.1	XP_006561339.1
OG0001314	XP_017797312.1	XP_006561684.1, XP_624894.1
OG0001315	XP_017796004.1	XP_006562156.1
OG0001316	XP_017789063.1	XP_006562487.1
OG0001317	XP_017789111.1	XP_624254.3, XP_006562530.1
OG0001318	XP_017796263.1	XP_006562743.1
OG0001319	XP_017787943.1	XP_006562777.1, XP_026295829.1
OG0001320	XP_017789876.1	XP_006562807.1
OG0001321	XP_017793262.1	XP_006562826.1
OG0001322	XP_017797806.1	XP_006563111.2, XP_006563110.2
OG0001323	XP_017793267.1	XP_006563315.1, XP_016768023.1
OG0001324	XP_017793178.1	XP_026295755.1, XP_006563318.2, XP_026295759.1
OG0001325	XP_017790958.1	XP_006563359.1, XP_026302126.1
OG0001326	XP_017791823.1	XP_006563421.1
OG0001327	XP_017796599.1	XP_006563542.1
OG0001328	XP_017791620.1	XP_016772169.1, XP_006563722.1
OG0001329	XP_017788084.1	XP_006563973.1, XP_026295194.1
OG0001330	XP_017797627.1	XP_006564186.1, XP_026297333.1
OG0001331	XP_017796097.1	XP_006564281.1
OG0001332	XP_017790289.1, XP_017790286.1, XP_017790290.1	XP_006564414.1, XP_026299658.1, XP_006564413.1
OG0001333	XP_017790300.1	XP_006564416.1, XP_006564415.1
OG0001334	XP_017795540.1	XP_006564486.1
OG0001335	XP_017787477.1, XP_017787476.1	XP_006564735.1
OG0001336	XP_017798634.1, XP_017798633.1	XP_006564903.1, XP_006564906.1, XP_006564907.1
OG0001337	XP_017797176.1	XP_006565202.1
OG0001338	XP_017792438.1	XP_006565266.1
OG0001339	XP_017787542.1	XP_006565292.1, XP_016770927.1
OG0001340	XP_017792506.1	XP_006565363.2
OG0001341	XP_017793812.1	XP_006565490.3
